Orthogroup	Camelina_sativa	Arabidopsis_arenosa
OG0002226	XP_010492163.1, XP_010419992.1, XP_010453485.1	jg5193
OG0002227	XP_010473113.1	jg17615
OG0002227	XP_010488844.1, XP_019091569.1, XP_010475640.1	jg29204
OG0002228	XP_010488010.1, XP_010475555.1, XP_010457986.1	jg29137
OG0002229	XP_010510124.1, XP_010418713.1	jg18263
OG0002229	XP_010485061.1, XP_010475254.1, XP_019091784.1	jg28895
OG0002230	XP_010475085.1, XP_010457476.1	jg28750
OG0002230	XP_010481857.1, XP_010494330.1, XP_010442018.1	jg20860
OG0002231	XP_010457458.1	jg28739
OG0002231	XP_010494354.1, XP_010481829.1	jg20833
OG0002232	XP_019095580.1, XP_019095579.1, XP_010441907.1, XP_010494432.1	jg20764
OG0002232	XP_010482496.1, XP_010457391.1, XP_010475005.1	jg28692
OG0002233	XP_019094360.1	jg28680, jg28702, jg19788, jg16077
OG0002233	XP_010422457.1	jg7842
OG0002234	XP_010448471.1, XP_010433681.1, XP_010438922.1	jg9955
OG0002234	XP_010482458.1, XP_010442941.1, XP_019087228.1	jg21786
OG0002235	XP_010448459.1, XP_010438910.1, XP_019086623.1	jg9948
OG0002235	XP_010499594.1, XP_010460860.1, XP_010478478.1	jg31614
OG0002236	XP_010482567.1, XP_010444562.1, XP_010442742.1	jg21912
OG0002237	XP_010478277.1, XP_010499434.1, XP_010460690.1	jg31428
OG0002237	XP_010413775.1, XP_010469397.1	jg18515
OG0002239	XP_010509692.1, XP_019099747.1	jg18605
OG0002239	XP_010460891.1, XP_010478517.1	jg31652
OG0002240	XP_010460969.1, XP_010499691.1, XP_010478892.1	jg31770
OG0002240	XP_010509589.1, XP_010505076.1, XP_010516746.1	jg18692
OG0002241	XP_010461063.1, XP_010499787.1	jg31889
OG0002241	XP_010516717.1, XP_010505044.1, XP_010509621.1	jg18662
OG0002242	XP_010484556.1, XP_010464552.1, XP_010444696.1	jg23675
OG0002242	XP_010503702.1, XP_010515391.1, XP_010426575.1	jg14894
OG0002243	XP_010491336.1	jg4569
OG0002243	XP_010457733.1, XP_010483867.1, XP_010444008.1	jg23128
OG0002244	XP_010443891.1, XP_010483739.1, XP_010456769.1	jg23024
OG0002245	XP_010497097.1	jg6321, jg6319
OG0002245	XP_010493616.1, XP_010493618.1, XP_010454773.1, XP_010421279.1	jg6320
OG0002247	XP_010420925.1, XP_010493189.1, XP_010454385.1	jg5941
OG0002247	XP_010514709.1, XP_010503024.1, XP_010425806.1	jg13992
OG0002248	XP_019093713.1, XP_010450803.1, XP_010440650.1, XP_010496005.1	jg11607
OG0002248	XP_010470043.2, XP_010450275.1	jg11606
OG0002249	XP_010443750.1, XP_019093009.1	jg22910
OG0002249	XP_010426044.1, XP_010503228.1	jg14398
OG0002250	XP_019098488.1, XP_010483469.1, XP_010454084.1	jg22783
OG0002250	XP_010431524.1, XP_010485548.1, XP_010463527.1	jg23958
OG0002251	XP_010443447.1, XP_010483282.1, XP_010452498.1	jg22661
OG0002251	XP_010433589.1, XP_010438831.1, XP_010448367.1	jg9885
OG0002252	XP_010433528.1, XP_010438780.1	jg9828
OG0002252	XP_010443316.1, XP_010483142.1, XP_010451346.1	jg22546
OG0002253	XP_010482888.1, XP_010448660.1	jg22305
OG0002253	XP_010433408.1, XP_010438660.1, XP_010448179.1	jg9743
OG0002254	XP_010480329.1	jg28621
OG0002254	XP_010456000.1, XP_019084363.1	jg7945
OG0002255	XP_010516492.1, XP_010489236.1, XP_010467393.1	jg27754
OG0002255	XP_010439405.1, XP_010434107.1, XP_010448972.1	jg10363
OG0002256	XP_010464838.1, XP_010486783.1, XP_010494961.1	jg25079
OG0002256	XP_010491127.1, XP_010423420.1, XP_010452490.1	jg4338
OG0002257	XP_010464790.1, XP_010490021.1, XP_010486720.1	jg25045
OG0002257	XP_010452440.1, XP_010423477.1	jg4289
OG0002258	XP_010509119.1, XP_010517142.1, XP_010505470.1	jg19029
OG0002258	XP_010423693.1, XP_010452238.1, XP_010490844.1	jg4101
OG0002259	XP_010490762.1, XP_010423796.1	jg4024
OG0002259	XP_010495047.1, XP_019089977.1, XP_010424806.1	jg4025
OG0002260	XP_010509206.1, XP_010517111.1, XP_010505440.1	jg18992
OG0002261	XP_010450605.1, XP_010441250.1	jg12706
OG0002261	XP_010514411.1, XP_010502683.1, XP_010425459.1	jg13426
OG0002262	XP_010430000.1, XP_010417742.1, XP_010472977.1	jg3754
OG0002262	XP_010459070.1, XP_010497101.1, XP_010476624.1	jg30024
OG0002263	XP_010472951.1, XP_010429982.1, XP_010417726.1	jg3740
OG0002263	XP_010497204.1, XP_010476640.1	jg30037
OG0002264	XP_010417670.2, XP_010472884.1, XP_010429917.1	jg3689
OG0002264	XP_010459123.1, XP_010476686.1, XP_010497475.1	jg30078
OG0002265	XP_010477474.1, XP_010459955.1, XP_010498681.1	jg30778
OG0002265	XP_010416772.1, XP_010472004.1, XP_010428912.1	jg3477
OG0002266	XP_010416730.1, XP_010471971.1, XP_019085046.1	jg3445
OG0002266	XP_010480589.1, XP_010498657.1	jg30755
OG0002267	XP_010471856.1, XP_010416620.1, XP_010428760.1	jg3356
OG0002267	XP_010477393.1, XP_010498581.1, XP_010459838.1	jg30676
OG0002268	XP_010428670.1, XP_010416530.1, XP_010471769.1, XP_010459728.1, XP_010498476.1, XP_010477282.1	jg3278
OG0002269	XP_010477198.1, XP_010459651.1, XP_010498397.1	jg30500
OG0002270	XP_010459638.1, XP_010498387.1, XP_010477186.1	jg30491
OG0002270	XP_019085013.1, XP_010471645.1, XP_010416415.1	jg3194
OG0002271	XP_010413607.1, XP_010469237.1, XP_010512304.1	jg16060
OG0002271	XP_010480105.1, XP_010501181.1, XP_010462417.1	jg33734, jg33737
OG0002272	XP_010500491.1, XP_010465177.1, XP_010487098.1	jg25324
OG0002272	XP_010501167.1, XP_010462406.1, XP_010480093.1	jg33710
OG0002273	XP_010487113.1, XP_010465193.1, XP_010500673.1	jg25334
OG0002273	XP_010480071.1, XP_019091861.1, XP_010501151.1	jg33696
OG0002274	XP_010488387.1, XP_010512358.1, XP_010466657.1	jg26584
OG0002274	XP_010450052.1, XP_010440481.1, XP_010435138.1	jg11342
OG0002275	XP_010435122.1, XP_010450038.1, XP_010440462.1	jg11325
OG0002275	XP_010450039.1, XP_010435123.1, XP_010440463.1	jg11326
OG0002276	XP_010428262.1, XP_010471397.1, XP_010416145.1	jg2980
OG0002276	XP_010459409.2, XP_010476957.2, XP_010498171.1	jg30320
OG0002277	XP_010415539.1, XP_010511937.1, XP_010470885.1	jg2490
OG0002277	XP_010477869.1, XP_010460324.1, XP_010499054.1	jg31128
OG0002278	XP_010447984.1, XP_010433224.1, XP_010438464.1	jg9595
OG0002278	XP_010489010.1, XP_010467787.1	jg28286
OG0002279	XP_010433167.1, XP_010438388.1, XP_010447920.1	jg9556
OG0002279	XP_010495919.1, XP_010489072.1, XP_010416079.1	jg28237
OG0002280	XP_010435893.1, XP_010441192.1, XP_010450663.1	jg12659
OG0002280	XP_010514475.1, XP_010502767.1	jg13518
OG0002281	XP_010425482.1, XP_010502705.1, XP_010514435.1	jg13467
OG0002281	XP_010436009.1, XP_010441230.1, XP_010450627.1	jg12691
OG0002282	XP_010458797.1, XP_010476343.1, XP_010495328.1	jg29810
OG0002282	XP_010514231.1, XP_010502490.1, XP_010425263.1	jg13279
OG0002283	XP_010479423.1, XP_010500543.1, XP_010461840.1	jg33116
OG0002284	XP_010500825.1, XP_010462064.1, XP_010479732.1	jg33411
OG0002284	XP_010487455.1, XP_010503795.1	jg25654
OG0002285	XP_010516579.1, XP_010504887.1, XP_010509768.1	jg18534
OG0002285	XP_010504888.1, XP_010509767.1, XP_010516580.1	jg18535
OG0002286	XP_010509595.1, XP_019099753.1, XP_010513041.1	jg18685, jg18681
OG0002287	XP_010434798.1, XP_010440126.2, XP_010449753.1	jg10961
OG0002287	XP_010516774.1, XP_010505091.1, XP_010509573.1	jg18705
OG0002288	XP_010495770.1, XP_010484763.1, XP_010445785.1	jg20394
OG0002288	XP_010436506.1, XP_010449539.1, XP_010439925.1	jg10816
OG0002289	XP_010440017.1, XP_010434680.1, XP_010449628.1	jg10885
OG0002289	XP_010481330.1, XP_010494975.1, XP_010441467.1	jg20299
OG0002290	XP_010486671.1, XP_010486370.1, XP_010468101.1	jg27436, jg24998
OG0002290	XP_010418602.1, XP_010468102.1	jg7251
OG0002291	XP_010515430.1, XP_010426600.1, XP_010503726.1	jg14928
OG0002291	XP_010496445.1, XP_010501821.1, XP_010500138.1	jg32608
OG0002292	XP_010431199.1, XP_010503686.1	jg14881
OG0002292	XP_010426555.1, XP_010503685.1, XP_019101897.1	jg14880
OG0002293	XP_010439185.1, XP_010448718.1, XP_010433915.1	jg10171
OG0002293	XP_010485051.1, XP_010473231.1, XP_010446028.1	jg21792
OG0002294	XP_010494514.1, XP_010481723.1, XP_010441841.1	jg20668
OG0002294	XP_010434312.1, XP_010439609.1, XP_010449215.1	jg10550
OG0002295	XP_010436004.1, XP_010421830.1, XP_010455321.1	jg7223
OG0002295	XP_010476530.1, XP_010458977.1, XP_010496379.1	jg29948
OG0002296	XP_019102478.1	jg18702
OG0002296	XP_010440104.1, XP_010449722.1, XP_010434772.1	jg10941
OG0002297	XP_010518526.1, XP_010507809.1	jg20228
OG0002297	XP_019098606.1, XP_010468891.1, XP_010497016.2, XP_010512714.1, XP_019093187.1, XP_010413203.1	jg16378
OG0002298	XP_010506559.1, XP_010518223.1, XP_010508105.1	jg19978
OG0002298	XP_010512458.1, XP_010469048.1	jg16176
OG0002299	XP_010504643.1, XP_010516333.1, XP_010427588.1	jg15721, jg15659
OG0002299	XP_010505925.2, XP_010512910.1, XP_019082317.1	jg19430
OG0002300	XP_010505831.1, XP_010517518.1, XP_010508808.1	jg19346, jg17835
OG0002300	XP_019099730.1, XP_019085853.1, XP_010412800.1	jg15613
OG0002301	XP_010505737.1, XP_010508901.1, XP_010517427.1	jg19258
OG0002301	XP_010427402.1, XP_010504473.1, XP_010516193.1	jg15566
OG0002302	XP_019102539.1	jg19168
OG0002302	XP_010427293.1, XP_010504382.1	jg15469
OG0002303	XP_010504339.1, XP_010516057.1, XP_010427242.1	jg15440
OG0002303	XP_019102538.1, XP_010505594.1, XP_010509039.1	jg19126
OG0002304	XP_019098996.1, XP_010458966.1	jg29942
OG0002304	XP_010477761.1	jg31019
OG0002305	XP_010436948.1, XP_010446361.1	jg8321
OG0002306	XP_019091897.1	jg28830
OG0002306	XP_010433092.1, XP_010422243.1, XP_010496155.1	jg7681
OG0002307	XP_010429080.1, XP_010416915.1, XP_010472156.1	jg16576
OG0002307	XP_010437034.1, XP_010431887.1, XP_010446453.1	jg8391
OG0002308	XP_010446585.1, XP_010431981.1, XP_010437123.1	jg8501
OG0002308	XP_010416995.1, XP_010429155.1, XP_010472223.1	jg16664
OG0002309	XP_010513439.2, XP_019091108.1, XP_019098621.1	jg32276
OG0002310	XP_010437070.1, XP_010455445.1	jg7396
OG0002310	XP_010421965.1, XP_010455446.1, XP_010437037.1	jg7399
OG0002311	XP_019087922.1, XP_010434235.1, XP_019088961.1	jg10469
OG0002311	XP_010448545.1, XP_010433751.1, XP_019088264.1, XP_010448537.1, XP_010438999.1, XP_010448539.1	jg9334
OG0002312	XP_010434648.1, XP_010449596.1, XP_010439986.1	jg10862
OG0002313	XP_010482207.1, XP_010442389.1	jg21556
OG0002314	XP_010502987.1, XP_010425764.1, XP_010514668.1	jg13830
OG0002315	XP_019099431.1, XP_010479258.1, XP_010461657.1	jg32912
OG0002316	XP_010500369.1, XP_010479266.1	jg32924
OG0002316	XP_010465835.1, XP_010487672.1, XP_010505870.1	jg25887
OG0002317	XP_010500380.1, XP_010463283.1, XP_010479275.1	jg32929
OG0002317	XP_010506007.1, XP_010487683.1, XP_010465844.1	jg25901
OG0002318	XP_010487746.1, XP_019092122.1, XP_019102516.1	jg25954
OG0002318	XP_010479307.1, XP_010461706.1, XP_010500419.1	jg32958
OG0002319	XP_019099844.1, XP_010412590.1, XP_010426065.1	jg14415
OG0002319	XP_019099868.1	jg14409
OG0002320	XP_010479747.1, XP_010457078.1, XP_010474803.1	jg28441
OG0002320	XP_010419617.1, XP_010456257.1, XP_019088650.1	jg8177
OG0002321	XP_010457083.1, XP_019094355.1, XP_019098071.1	jg28446
OG0002321	XP_010427322.1	jg8171
OG0002322	XP_010427031.1, XP_010456286.1, XP_010419590.1	jg8197
OG0002322	XP_010479896.1, XP_010457089.1	jg28450
OG0002323	XP_010428797.1, XP_019084619.1	jg8057
OG0002323	XP_010474667.1, XP_010481058.1, XP_010457237.2	jg28560, jg28561
OG0002324	XP_010487504.1, XP_019091364.1	jg29100, jg29103
OG0002325	XP_010511579.1, XP_010414915.1, XP_010470366.1	jg1521
OG0002325	XP_010475706.1	jg29248
OG0002326	XP_010475895.1, XP_010490965.1, XP_010458379.1	jg29419
OG0002326	XP_010470205.1, XP_010511032.1, XP_010414661.1	jg1059, jg1057
OG0002327	XP_010513990.1, XP_010424992.1	jg13034
OG0002327	XP_010476507.1, XP_010458954.1	jg29934
OG0002328	XP_010459160.1, XP_010476727.1	jg30110
OG0002328	XP_010472827.1, XP_019100293.1, XP_010417633.1, XP_010429862.1	jg3654
OG0002329	XP_010476737.1, XP_010497767.1, XP_019091288.1	jg30117
OG0002329	XP_019093440.1, XP_010417617.1, XP_010429841.1	jg3640
OG0002330	XP_010476902.1, XP_010498100.1, XP_019091970.1	jg30272
OG0002330	XP_010471297.1, XP_010416028.1, XP_010428155.1	jg2900
OG0002331	XP_019093343.1	jg3034
OG0002332	XP_010416314.1, XP_010428446.1, XP_010471547.1	jg3109
OG0002332	XP_010459523.1, XP_010477077.1, XP_010501519.1	jg30407
OG0002333	XP_010428083.1, XP_010471235.1	jg2850
OG0002333	XP_010477512.1, XP_010460009.1, XP_010498724.1	jg30814
OG0002334	XP_010477691.1, XP_010460163.1, XP_010498895.1	jg30956
OG0002334	XP_010415706.1, XP_010471024.1, XP_010427800.1	jg2639
OG0002335	XP_010460207.1, XP_010498954.1, XP_010477749.1	jg31013
OG0002335	XP_010512071.1, XP_010415671.1, XP_010471000.1	jg2600
OG0002336	XP_010430267.1, XP_010418202.1	jg705
OG0002336	XP_010473443.1, XP_010418208.1, XP_010430269.1	jg699
OG0002337	XP_010510986.1, XP_010414621.1, XP_010470168.1	jg1006
OG0002337	XP_010510987.1, XP_010470169.1, XP_010414623.1	jg1007
OG0002338	XP_010513105.1, XP_010513103.1, XP_010473877.1, XP_019082528.1	jg18356
OG0002338	XP_010481310.1, XP_010494993.1, XP_010441439.1	jg20283
OG0002339	XP_010489337.1, XP_010515455.1, XP_010467472.1	jg27843
OG0002339	XP_010467474.1, XP_019083789.1, XP_010489340.1	jg27842
OG0002340	XP_010489221.1, XP_010467377.1, XP_010516630.1	jg27706
OG0002340	XP_010437573.1, XP_010432382.1, XP_010447041.1	jg8880
OG0002341	XP_010447220.1, XP_010432541.1, XP_019087297.1, XP_010444985.1, XP_010444986.1, XP_010437745.1	jg9015
OG0002342	XP_019092351.1, XP_010468619.1, XP_010488963.2, XP_010517398.1	jg27575
OG0002342	XP_019088717.1, XP_010432474.1, XP_010447158.1	jg8962
OG0002343	XP_010438020.1, XP_010432844.1, XP_010447519.1	jg9243
OG0002343	XP_010429444.1, XP_010417219.1, XP_010472471.1	jg16964
OG0002344	XP_010417215.1, XP_010472468.1, XP_010429442.1	jg16960
OG0002345	XP_010417177.1, XP_010417183.1, XP_010429399.1, XP_010472435.1, XP_019083742.1	jg16906
OG0002345	XP_010438094.1, XP_010432913.1, XP_010447630.1	jg9298
OG0002346	XP_010443192.1, XP_010449765.1, XP_010483006.1	jg22389
OG0002346	XP_010448232.1, XP_010438716.1, XP_010433462.1	jg9785
OG0002352	XP_010447720.1, XP_010438180.1, XP_010432988.1, XP_010436326.1, XP_010451104.2, XP_010438179.1	jg9370
OG0002353	XP_010453929.1, XP_010420453.1, XP_010492691.2	jg5572
OG0002353	XP_019099050.1, XP_010463779.1, XP_010485664.1	jg24162
OG0002354	XP_010453886.1, XP_010420414.1, XP_010492638.1	jg5536
OG0002354	XP_010506605.1, XP_010463760.1, XP_010485647.1	jg24143
OG0002355	XP_010424133.1	jg5533
OG0002355	XP_010453885.1, XP_010492637.1, XP_010420413.1	jg5535
OG0002356	XP_010492579.1, XP_010420366.1, XP_010453828.1	jg5496
OG0002356	XP_010503203.1, XP_010463723.1	jg24116
OG0002357	XP_010452298.1, XP_010490903.1, XP_010423636.1	jg4156
OG0002358	XP_010451879.1	jg24022
OG0002358	XP_010420222.1	jg5382
OG0002360	XP_010492051.1, XP_010453365.1, XP_010419874.1	jg5123
OG0002360	XP_010460477.1, XP_010499190.1	jg31250
OG0002361	XP_010454834.1, XP_010493758.1	jg6384
OG0002361	XP_010491779.1, XP_010453126.1, XP_010419646.1	jg4922
OG0002362	XP_010484281.1, XP_010444440.1	jg23491
OG0002362	XP_010491636.1, XP_010422923.1, XP_010453001.1	jg4813
OG0002363	XP_010423046.1, XP_010491506.1, XP_010452877.1	jg4716
OG0002364	XP_010454648.1, XP_010493480.1	jg6207
OG0002364	XP_010491489.1	jg4703
OG0002365	XP_010491415.1, XP_010491414.1, XP_010423156.1, XP_010452762.1, XP_010452761.1, XP_010423155.1	jg14358, jg4634
OG0002367	XP_019101451.1, XP_010414412.1	jg17919, jg17920
OG0002368	XP_010457592.1, XP_010475188.1	jg28850
OG0002368	XP_010469585.1, XP_010413993.1, XP_010510015.1	jg18315
OG0002369	XP_010481836.1, XP_010441996.1	jg20843
OG0002369	XP_010457462.2, XP_010475074.1	jg28741
OG0002370	XP_010481807.2, XP_010441966.2	jg20809
OG0002370	XP_010475059.1	jg28734
OG0002371	XP_010457396.1, XP_010475009.1, XP_010482529.1	jg28696
OG0002371	XP_010441914.1, XP_010481767.1, XP_010494425.1	jg20772
OG0002372	XP_010448389.1, XP_010433598.1, XP_010438841.1	jg9899
OG0002372	XP_010448394.1, XP_010438844.1, XP_010433604.1	jg9901
OG0002373	XP_019100862.1	jg1026
OG0002373	XP_019100861.1, XP_019100860.1	jg1025
OG0002374	XP_010451479.1, XP_019088034.1	jg11078
OG0002375	XP_010502381.1, XP_010425159.1	jg13162
OG0002375	XP_010514126.1	jg13163
OG0002376	XP_019093245.1, XP_010483770.1, XP_010443924.1, XP_010456940.1, XP_019088564.1, XP_010483771.1, XP_010443925.2, XP_019086943.1	jg23050
OG0002377	XP_010425833.1, XP_010514732.1, XP_010503051.1	jg14053
OG0002377	XP_019097191.1, XP_010454429.1, XP_010420958.1	jg5974
OG0002378	XP_010514767.1, XP_010503080.1, XP_010425841.1	jg14142
OG0002378	XP_010421015.1, XP_010493301.1, XP_010454490.1	jg6036
OG0002379	XP_010426127.1, XP_010503300.1, XP_010515008.1	jg14470
OG0002380	XP_010438032.1, XP_010447502.1	jg9255
OG0002380	XP_010451794.1, XP_010443380.1, XP_010483206.1	jg22602
OG0002381	XP_010482984.1, XP_010443166.1, XP_010449567.1	jg22370
OG0002381	XP_010438710.1, XP_010433452.1, XP_010448225.1	jg9779
OG0002382	XP_010448429.1, XP_010443040.1, XP_010482869.1	jg22287
OG0002382	XP_010448164.1, XP_010433392.1, XP_010438645.1	jg9731
OG0002383	XP_010438615.1, XP_010448134.1, XP_010433367.1	jg9706
OG0002383	XP_010482828.1, XP_010442995.1	jg22207
OG0002385	XP_010495361.1, XP_010486792.1, XP_010464842.1	jg25090, jg15459
OG0002386	XP_019092123.1, XP_010486076.1	jg24996
OG0002386	XP_010490980.1, XP_010423551.1, XP_010452364.1	jg4215
OG0002387	XP_010423637.1, XP_010452296.1, XP_010490902.1	jg4155
OG0002387	XP_010486617.1, XP_010481335.1, XP_010464686.1	jg24955
OG0002388	XP_010441331.1, XP_010447780.1, XP_010436115.1	jg12789
OG0002388	XP_010473675.1, XP_010418473.1, XP_010430539.1	jg424
OG0002390	XP_010428844.1, XP_010416714.1, XP_010471958.1	jg3430
OG0002390	XP_010459907.1, XP_010477436.1	jg30738
OG0002391	XP_010471918.1, XP_010428806.1, XP_010416665.1	jg3399
OG0002391	XP_010496322.1, XP_010459876.1, XP_019095425.1	jg30708
OG0002392	XP_010471775.1	jg3287
OG0002392	XP_010459738.1, XP_010498487.1, XP_010477297.1	jg30595
OG0002393	XP_010514804.1, XP_010467531.1, XP_010489389.1	jg27888
OG0002394	XP_010446831.1	jg8726
OG0002394	XP_010489433.1, XP_019092374.1	jg27928
OG0002395	XP_010465108.1, XP_010499897.1, XP_010487050.1	jg25274
OG0002395	XP_010481201.1, XP_010449744.1, XP_010462468.1, XP_010501230.1	jg33779
OG0002396	XP_010465239.1, XP_010501142.1, XP_010487147.1	jg25370
OG0002396	XP_010462357.1, XP_010480032.1, XP_010501120.1	jg33670
OG0002397	XP_010465273.1, XP_010501473.1, XP_010487180.1	jg25402
OG0002397	XP_010501092.1	jg33654
OG0002398	XP_010462202.1, XP_010500961.1, XP_010479877.1	jg25522, jg33527
OG0002399	XP_010516847.1, XP_019091991.1, XP_010489202.1	jg27675
OG0002399	XP_010447066.1, XP_010437604.1, XP_010437603.1, XP_010432404.1	jg8901
OG0002400	XP_019096582.1, XP_010462156.2, XP_010479833.1	jg33504
OG0002401	XP_010516836.1, XP_010505156.1, XP_010509497.1	jg18756
OG0002401	XP_010515749.1, XP_010426896.1, XP_010504020.1	jg15199
OG0002402	XP_010435332.1	jg11651
OG0002402	XP_010466954.1, XP_019083598.1	jg26880
OG0002403	XP_010497055.1, XP_010513796.1, XP_019098538.1, XP_010488603.1, XP_019092296.1	jg26832
OG0002404	XP_010450192.1	jg11479
OG0002404	XP_010488519.1, XP_010513353.1, XP_010466819.1	jg26723
OG0002405	XP_010435198.1	jg11390
OG0002406	XP_010467690.1, XP_010489567.1, XP_010414483.1	jg17347
OG0002406	XP_010440408.1, XP_010450005.1, XP_010435081.1	jg11286
OG0002406	XP_010440409.1, XP_010435085.1	jg11288
OG0002407	XP_010449972.1, XP_010435049.1	jg11248
OG0002407	XP_010511345.1, XP_010466522.1	jg26473
OG0002408	XP_010416118.1, XP_010471384.1, XP_010416117.1, XP_010428236.1	jg2967
OG0002409	XP_010471436.1, XP_010428304.1, XP_010416185.1	jg3011
OG0002409	XP_010476966.1, XP_010498180.1	jg30327
OG0002410	XP_010471516.1, XP_010428412.1	jg3084
OG0002410	XP_019089151.1, XP_019086042.1	jg11293
OG0002411	XP_010459514.1, XP_010498283.1, XP_010477071.1	jg30396
OG0002411	XP_010416300.1, XP_010428428.1	jg3096
OG0002412	XP_010459541.1, XP_010498298.1, XP_010477092.1	jg30419
OG0002412	XP_010428467.1, XP_010416333.1	jg3128
OG0002413	XP_010511858.1, XP_010415479.1, XP_010470809.1	jg2424
OG0002413	XP_010426022.1, XP_010514918.1	jg14373
OG0002414	XP_010470823.1, XP_010415493.1, XP_010511876.1	jg2437
OG0002414	XP_010460348.1	jg31161
OG0002415	XP_010460343.1, XP_010477890.1, XP_010499077.1	jg31143
OG0002415	XP_010415496.1, XP_010470827.1, XP_010513667.1	jg2441
OG0002416	XP_010511882.1, XP_010474220.1	jg2443
OG0002416	XP_019091232.1, XP_010499079.1, XP_010477891.1	jg31145
OG0002417	XP_010499048.1, XP_010460319.1, XP_010477863.1	jg31124
OG0002417	XP_010470899.1, XP_010415558.1, XP_010511946.1	jg2503
OG0002418	XP_010511923.1, XP_010415524.1, XP_019093181.1	jg2480
OG0002418	XP_010470906.1, XP_010511952.1, XP_019083262.1	jg2508
OG0002419	XP_010447962.1, XP_010433204.1, XP_010438431.1	jg9577
OG0002419	XP_019096276.1, XP_010467824.1	jg28261
OG0002420	XP_019091733.1	jg12754
OG0002420	XP_010473609.1, XP_010418390.1	jg506
OG0002421	XP_010475753.1, XP_010489871.1, XP_010458206.1	jg29285
OG0002422	XP_019085794.1, XP_010514506.1, XP_010502806.1	jg13559
OG0002422	XP_010441163.1, XP_010435914.1, XP_010450682.2	jg12638
OG0002423	XP_010458719.1, XP_010476261.1	jg29741
OG0002423	XP_010502624.1, XP_010425404.1, XP_010514346.1	jg13377
OG0002424	XP_010458551.1, XP_010492929.1, XP_010476078.1	jg29587
OG0002425	XP_010494748.1, XP_010441650.1	jg20485
OG0002425	XP_010434526.1, XP_010439849.1, XP_010496228.1	jg10744
OG0002426	XP_010441733.1, XP_010481593.1, XP_010494641.1	jg20547
OG0002426	XP_010449392.1, XP_010434447.1, XP_010439755.1	jg10665
OG0002427	XP_010478203.1, XP_010499358.1, XP_010460622.1	jg31361
OG0002427	XP_010469417.1, XP_010509822.1	jg18491
OG0002428	XP_010494997.1, XP_010441436.1, XP_010481303.1, XP_010447952.1, XP_010433198.1, XP_010497383.1, XP_010438423.1	jg20278
OG0002429	XP_010449621.1, XP_010434674.1, XP_010440011.1	jg10880
OG0002429	XP_010494972.1, XP_010441464.1, XP_019096038.1	jg20302
OG0002430	XP_010434997.1	jg7505
OG0002430	XP_010448704.1, XP_010439170.1, XP_010433903.1	jg10156
OG0002431	XP_010486012.1, XP_010464084.1, XP_010429082.1	jg24466
OG0002432	XP_010448831.1, XP_010439279.1, XP_010433987.1	jg10247
OG0002432	XP_010455638.1, XP_010433825.1, XP_010422173.1	jg7606
OG0002433	XP_019099641.1, XP_010412499.1, XP_010427116.1	jg14094, jg14087
OG0002433	XP_019093385.1, XP_019083159.1, XP_019085825.1	jg17052
OG0002434	XP_010455684.1, XP_010433458.1	jg7646
OG0002434	XP_010448868.1, XP_010434016.1, XP_010439311.1	jg10272
OG0002435	XP_010455710.1, XP_010422233.1, XP_010433251.1	jg7665
OG0002436	XP_010448911.1, XP_010434063.1, XP_010439347.1	jg10303
OG0002437	XP_010481709.1, XP_010441826.1, XP_010494530.1	jg20655
OG0002437	XP_010439624.1, XP_010449260.1, XP_010434331.1	jg10566
OG0002438	XP_010449140.1	jg10482
OG0002438	XP_019086697.1, XP_010439550.1	jg10483
OG0002439	XP_010482286.1	jg21641
OG0002439	XP_010448582.1, XP_010433791.1, XP_010439061.1	jg10051
OG0002440	XP_010455865.1, XP_010422429.1, XP_010431445.1	jg7804
OG0002440	XP_010449113.1, XP_010434231.1, XP_010439515.1	jg10454
OG0002441	XP_010449046.1, XP_010434168.1, XP_010439462.1	jg10408
OG0002442	XP_019087801.1, XP_010434151.2	jg10398
OG0002443	XP_010514852.1, XP_010503164.1, XP_010495848.1, XP_010503163.1, XP_010514856.1, XP_010495847.1	jg14276, jg14275
OG0002444	XP_010452274.1	jg4121
OG0002444	XP_010480615.1, XP_019094200.1, XP_010462525.1	jg21363, jg28512
OG0002445	XP_010474561.1, XP_010431665.1	jg893
OG0002445	XP_019093056.1, XP_010418039.1, XP_019085269.1	jg889
OG0002446	XP_010512452.1, XP_010469042.1, XP_010413448.1	jg16169
OG0002447	XP_010508394.1, XP_010517943.1, XP_010506257.1	jg19704
OG0002447	XP_010512233.1	jg16011
OG0002448	XP_019094241.1	jg32893
OG0002449	XP_010427678.1, XP_010516424.1, XP_010504727.1	jg15808
OG0002449	XP_010479644.1, XP_010500735.1	jg33316
OG0002450	XP_010508659.1, XP_010517679.1	jg19466
OG0002450	XP_010516358.1, XP_010427616.1, XP_010427615.1	jg15753
OG0002451	XP_010508729.1, XP_010507680.1, XP_010517621.1	jg19413
OG0002451	XP_010516317.1, XP_010504630.1, XP_010427573.1	jg15675
OG0002452	XP_010516307.1, XP_010504618.1, XP_010427561.1, XP_010504620.1, XP_010516306.1	jg15682
OG0002453	XP_010427097.1, XP_010515945.1, XP_010504223.1	jg15364
OG0002453	XP_010505522.1, XP_010509167.1	jg19054
OG0002454	XP_010516951.1, XP_010509397.1	jg18852
