Orthogroup	Camelina_sativa	Cochlearia_excelsa
OG0000690	XP_010437822.1, XP_010437786.1, XP_010447303.1, XP_010437783.1, XP_010447264.1, XP_010449766.1, XP_010432586.1	g18149, g23193
OG0000691	XP_010492434.1, XP_010453734.1, XP_010420262.1	g5081
OG0000691	XP_010485483.1, XP_010479901.1, XP_010463643.1, XP_010485482.1	g7879, g6216
OG0000693	XP_010414106.1, XP_010504164.1, XP_010515890.1, XP_010427048.1, XP_010510181.1, XP_010469691.1, XP_010435439.1, XP_010440723.1, XP_010450383.1	g51261, g51258, g39834
OG0000694	XP_010413984.1, XP_010510001.1, XP_010469576.1, XP_010469575.1, XP_019101350.1	g39803
OG0000694	XP_010451508.1	g47095
OG0000695	XP_010434809.1, XP_010449772.1, XP_010440144.1	g17578
OG0000695	XP_010508205.1, XP_010506454.1, XP_010518130.1	g18804
OG0000696	XP_019099698.1, XP_010426440.1	g2629
OG0000696	XP_010496627.1, XP_010430611.1	g40738
OG0000696	XP_010448086.1, XP_010433324.1, XP_010438562.1	g47643
OG0000697	XP_019086921.1, XP_010446211.1, XP_019095665.1, XP_010455937.1, XP_010477494.1	g860, g862
OG0000697	XP_019086918.1, XP_010446209.1, XP_010477473.1, XP_019095664.1, XP_010446210.1, XP_010477548.1	g41317, g41316, g41315, g28789
OG0000700	XP_010500682.1, XP_010479572.1, XP_010461945.1, XP_010463359.1, XP_010501941.1, XP_010481094.1, XP_010451760.1	g28045, g28051
OG0000701	XP_010446797.1, XP_019092159.1, XP_019096487.1, XP_010485040.2, XP_010445418.2, XP_019098160.1	g45114
OG0000701	XP_010507074.1, XP_019086347.1	g53817
OG0000702	XP_010508667.1, XP_010505976.1	g52005
OG0000702	XP_010516363.1, XP_010427625.1	g2106
OG0000703	XP_010508951.1, XP_010517363.1, XP_010505684.1	g37337
OG0000703	XP_010427364.1, XP_010504441.1, XP_010516161.1	g19065
OG0000705	XP_010517390.1, XP_010508934.1	g37342
OG0000705	XP_010486480.1, XP_010464557.1, XP_010469822.1	g13022, g7512
OG0000706	XP_010507961.1, XP_010518372.1	g50800
OG0000706	XP_010428363.1, XP_010456152.1, XP_010422714.1	g45222
OG0000707	XP_010517998.1, XP_010506317.1	g52160, g37530
OG0000707	XP_010424860.1	g10812
OG0000707	XP_010465202.1	g13190
OG0000708	XP_010487505.1, XP_010504253.1	g12089
OG0000708	XP_010465666.1, XP_010504325.1, XP_010487507.1	g12085, g12088, g12084, g12086, g12087, g12083
OG0000709	XP_010450181.1, XP_010430693.1, XP_010495788.1, XP_010445783.1, XP_010479612.1	g36961, g52861
OG0000711	XP_010513340.1	g44311
OG0000713	XP_010481169.2	g50114
OG0000713	XP_019100816.1, XP_010476531.1	g4632, g39532, g41835, g11246, g13726, g32823
OG0000714	XP_010470147.1, XP_019099461.1, XP_010478434.1, XP_019091140.1	g51082, g51084, g28179
OG0000716	XP_010462399.1, XP_010480083.1, XP_010501159.1	g36715
OG0000716	XP_010465189.1, XP_010500599.1, XP_010487110.1, XP_010483125.1, XP_010443301.1, XP_010451233.1	g54319
OG0000717	XP_010476481.1, XP_010495938.1, XP_010458925.1	g31518
OG0000717	XP_010512030.1, XP_010415633.1, XP_010470974.1	g45812
OG0000718	XP_010514264.1, XP_010502529.1, XP_010425291.1	g16643
OG0000719	XP_010444136.1, XP_010442706.1, XP_010482540.1	g1309
OG0000719	XP_019095432.1, XP_019087838.1, XP_010444097.1	g41199, g41183, g41184
OG0000719	XP_019087836.1, XP_019091109.1	g1310
OG0000720	XP_010451152.1, XP_010512670.1, XP_010468924.1	g18725, g18726, g18727, g18724
OG0000721	XP_019096804.1, XP_019087910.1, XP_019085927.1	g6096
OG0000723	XP_019085974.1, XP_010502237.1, XP_019102136.1, XP_010430669.1, XP_019099573.1, XP_010518559.1	g1518, g1520
OG0000724	XP_010415109.1, XP_010470445.1, XP_010511115.1	g30842, g49434
OG0000726	XP_019087636.1, XP_010474053.1, XP_010446293.1	g4059
OG0000726	XP_010513373.1, XP_010513372.1, XP_010414614.1, XP_010470164.1	g44626
OG0000728	XP_010420482.1, XP_010453953.1, XP_010492712.1, XP_010420481.1, XP_010492711.1, XP_010453955.1	g45753
OG0000729	XP_010474538.2, XP_010417893.1, XP_010510777.1	g53541
OG0000730	XP_010472873.1, XP_010417661.1, XP_010429901.1, XP_010429900.1	g46550
OG0000730	XP_010510101.1, XP_010469632.1, XP_010414034.1	g39816
OG0000730	XP_010459127.1, XP_010476692.1, XP_010497514.1	g31624
OG0000732	XP_010493773.1, XP_010421373.1, XP_010454847.1, XP_010454845.1, XP_010421372.1, XP_010493774.1	g587
OG0000732	XP_010462634.1, XP_010499903.1	g9735
OG0000733	XP_019095963.1	g29815, g45374, g5711
OG0000735	XP_019087672.1, XP_010485243.2, XP_010477764.1, XP_010477443.1	g28860
OG0000736	XP_010454858.1, XP_010483550.1, XP_010443684.1, XP_010454869.1, XP_010483549.1, XP_010443683.1	g50687, g39240
OG0000737	XP_010456013.1, XP_019088954.1, XP_010422573.1	g39592
OG0000737	XP_019096794.1, XP_019090945.1	g49396
OG0000738	XP_010490860.1	g29827
OG0000738	XP_010426925.1, XP_010515772.1, XP_010504045.1	g2392
OG0000740	XP_010428953.1, XP_010472047.1, XP_010416813.1	g46440
OG0000740	XP_010461289.1, XP_010501783.1, XP_019098257.1	g32883, g27873
OG0000740	XP_010455312.1, XP_010421819.1, XP_010436066.1	g40242
OG0000741	XP_010428409.1, XP_010416278.1, XP_010471515.1	g46133, g44537
OG0000742	XP_010493715.1	g36539
OG0000742	XP_019090765.1	g28026
OG0000743	XP_019093697.1	g37256
OG0000744	XP_010418597.1, XP_010512465.1, XP_019093809.1	g18713
OG0000745	XP_010447847.1, XP_010433091.1	g47697
OG0000745	XP_010448308.1, XP_010433536.1, XP_010438786.1	g23710
OG0000746	XP_010442014.1, XP_010481852.1	g18426
OG0000747	XP_010504657.1	g6993
OG0000747	XP_010481239.1, XP_010474854.1, XP_010457265.1	g49388, g30789, g26898
OG0000748	XP_019100854.1, XP_010492480.1, XP_010473217.1, XP_010419423.2, XP_010513366.1, XP_010495214.1	g17396, g44135, g44131
OG0000749	XP_010445976.1	g10211
OG0000749	XP_010442374.1, XP_010482195.1, XP_010440260.1, XP_010429957.1, XP_010417708.1, XP_010450186.1, XP_010435242.1, XP_010472460.1, XP_010429429.1	g4581
OG0000750	XP_010461047.1, XP_010483258.1, XP_019095754.1, XP_019087024.1, XP_010443431.1, XP_010452123.1, XP_019095903.1, XP_010435753.1	g23088, g23092
OG0000753	XP_019083870.1	g4925
OG0000761	XP_010425797.1	g14408, g6195
OG0000763	XP_010453409.1, XP_010419913.1	g5274
OG0000763	XP_010492088.1, XP_010453404.1, XP_010492084.1, XP_010453406.1, XP_019083797.1	g29359
OG0000764	XP_010429138.1, XP_010472216.1, XP_010416979.1	g38506
OG0000764	XP_010422882.1, XP_010453041.1, XP_010491671.1	g29511
OG0000764	XP_010437103.1, XP_010446543.1, XP_010431959.1	g22739
OG0000766	XP_010493358.1, XP_010454530.1, XP_010421060.1	g28866, g807
OG0000766	XP_010514800.1, XP_010503124.1, XP_010425892.1	g3089
OG0000767	XP_010452633.1, XP_010491273.1, XP_019084710.1	g5584
OG0000767	XP_010452631.1	g5583, g1670
OG0000768	XP_010465504.1, XP_010444798.1, XP_010484645.1	g50704
OG0000768	XP_010466351.1, XP_010488111.1, XP_019096416.1	g45398
OG0000769	XP_019091003.1, XP_010497000.1	g31589
OG0000769	XP_010425789.1, XP_010514702.1, XP_010496529.1	g38177, g9749
OG0000770	XP_010436945.1, XP_010446359.1, XP_010431786.1, XP_019085062.1, XP_010416837.1	g31913, g50129
OG0000771	XP_010484597.1, XP_010444750.1, XP_010465026.1	g19649
OG0000771	XP_019085560.1, XP_010431228.1, XP_010431225.1, XP_019085562.1, XP_010503739.1, XP_010515441.1, XP_010412701.1, XP_010431224.1, XP_019101900.1, XP_010431223.1	g11359, g19349
OG0000772	XP_010511591.1, XP_010470561.1	g41820
OG0000772	XP_019089666.1, XP_019086823.1, XP_010440918.1	g46750
OG0000774	XP_010414534.1	g6414
OG0000774	XP_010438775.1, XP_010433522.1, XP_010448293.1	g47581
OG0000775	XP_019094958.1, XP_010459732.1, XP_010477290.1	g27461
OG0000777	XP_019099936.1, XP_010412403.1, XP_010443318.1, XP_010485056.1	g36973
OG0000777	XP_010485505.1, XP_010463538.1, XP_010417107.1, XP_010505482.1	g12736
OG0000781	XP_019093738.1, XP_019101453.1, XP_010414440.1	g37867, g37860, g37868
OG0000782	XP_010435181.1, XP_010440522.1, XP_010450096.1	g24567
OG0000782	XP_010457641.1, XP_010475248.1, XP_010485034.1	g49502
OG0000783	XP_010469737.1, XP_010418732.1, XP_010509928.1, XP_010513166.1, XP_010509950.1, XP_010513163.1	g51317, g51340, g51316
OG0000784	XP_010478191.1, XP_010460601.1, XP_010499327.1, XP_019099246.1	g50452, g50492
OG0000786	XP_010493123.1, XP_010454319.1, XP_010420854.1	g706
OG0000787	XP_010483173.1, XP_010443345.1, XP_010451557.1	g1090
OG0000787	XP_010438795.1, XP_010433544.1, XP_010448319.1	g23718
OG0000787	XP_010515757.1, XP_010504030.1	g11321
OG0000788	XP_010447263.1, XP_010437782.1, XP_010432580.1	g18150
OG0000788	XP_010452374.1, XP_019084512.1, XP_010490994.1	g29776
OG0000789	XP_010517031.1, XP_010509313.1, XP_010505352.1, XP_010515876.1, XP_010504144.1, XP_010427033.1	g37224
OG0000790	XP_010470750.1, XP_010511789.1	g44868
OG0000793	XP_019101893.1, XP_010465426.1	g12159
OG0000793	XP_010479886.1, XP_010462211.1, XP_010500970.1	g54285
OG0000793	XP_010508551.1	g52074
OG0000794	XP_010514555.1, XP_010425631.1	g10410
OG0000795	XP_010477806.1, XP_010460258.1, XP_010498991.1, XP_010512010.1, XP_010415618.1, XP_010514604.1, XP_010425679.1, XP_010502889.1	g44749
OG0000796	XP_010458785.1, XP_010495228.1, XP_010476329.1, XP_010458784.1, XP_010495219.1	g10608
OG0000796	XP_010460344.1, XP_010499103.1, XP_010477897.1	g32196
OG0000797	XP_010426157.1	g2808
OG0000797	XP_019102271.1	g19524
OG0000797	XP_019100186.1, XP_010515030.1, XP_010426159.1	g2807
OG0000799	XP_019099485.1, XP_019091489.1, XP_010479694.1	g36525
OG0000799	XP_010479692.1, XP_010462029.1, XP_010500781.1	g36524
OG0000800	XP_010440331.1, XP_010435024.1, XP_010449963.1, XP_010435367.1	g17612
OG0000801	XP_019082841.1, XP_010512662.1, XP_010468932.1	g1754
OG0000803	XP_010517962.1, XP_019101195.1, XP_010506285.1, XP_010506284.1	g38223, g37478
OG0000803	XP_010508369.1, XP_010517963.1, XP_010506287.1	g37524
OG0000804	XP_010464565.1, XP_010486487.1, XP_010470587.1	g7507, g2527
OG0000809	XP_010451581.1	g15438
OG0000813	XP_010470313.1, XP_010414801.1, XP_010463707.1	g6899, g13299
OG0000813	XP_019083703.1, XP_019100925.1, XP_010430570.1, XP_010470476.1, XP_010415146.1, XP_010470959.1, XP_019082767.1	g54336
OG0000814	XP_010458569.1, XP_010476094.1, XP_019094519.1, XP_010493078.1, XP_010458566.1, XP_010480436.1	g27166
OG0000814	XP_010412707.1	g6867
OG0000816	XP_010433396.1, XP_010438654.1	g39401
OG0000817	XP_010452487.1, XP_010423422.1, XP_010491117.1	g29708
OG0000817	XP_010468804.1, XP_010490413.1, XP_010418761.1, XP_010464837.1, XP_010467200.1, XP_010518348.1, XP_010488864.1, XP_019092361.1, XP_010464833.1, XP_010486779.1, XP_010494792.1	g13113
OG0000818	XP_010490545.1, XP_019084583.1, XP_010451972.1, XP_019097851.1	g5834
OG0000818	XP_019084622.1, XP_010490542.1, XP_019084408.1	g5833
OG0000821	XP_010470096.1, XP_010510634.1	g51076
OG0000822	XP_010449626.1, XP_010434780.1, XP_010440015.1, XP_010434676.1	g24320, g47203
OG0000824	XP_019096697.1, XP_019102404.1, XP_010466197.1, XP_010487984.1, XP_010487986.1, XP_010466198.1, XP_010508575.1, XP_019091945.1, XP_010500495.1, XP_010481054.1, XP_010468316.1	g11934
OG0000825	XP_019101257.1, XP_019096390.1, XP_019096389.1, XP_010468229.1, XP_010489885.1, XP_010505165.1, XP_010465753.1, XP_019092236.1, XP_010487594.2, XP_010465750.1, XP_019099024.1, XP_010487598.1, XP_010468228.1, XP_010505154.1	g6958
OG0000826	XP_010457801.1, XP_010457804.1, XP_010457805.1, XP_010457800.1, XP_010475402.1, XP_010475404.1, XP_010457796.1, XP_010486383.1	g31014
OG0000827	XP_010511106.1, XP_010414747.1, XP_010470268.1	g41060
OG0000827	XP_019095146.1, XP_010490475.1, XP_010475854.1	g49716
OG0000827	XP_010418733.1, XP_010513167.1	g27098
OG0000828	XP_010460287.1, XP_010477837.1, XP_010499017.1	g50360, g27587
OG0000828	XP_010511968.1, XP_010415588.1, XP_010470927.1	g32151
OG0000829	XP_010512635.1, XP_010470410.1, XP_019082605.1, XP_010495309.1, XP_010470411.1, XP_010512408.1, XP_019101021.1, XP_019098579.1, XP_019093289.1, XP_019082604.1, XP_010513791.1, XP_019097414.1	g11006
OG0000832	XP_010510584.1	g39999
OG0000832	XP_010503253.1, XP_010426076.1, XP_010514963.1	g2880
OG0000832	XP_010483546.1, XP_010454830.1	g1260
OG0000833	XP_010473970.1, XP_010510460.1	g46873
OG0000834	XP_010474693.1	g49354
OG0000835	XP_010414128.1, XP_010510197.1, XP_010469710.1, XP_010470005.1, XP_010456898.1, XP_010507170.1, XP_010430953.2, XP_010412516.1, XP_010507169.2, XP_010516153.1, XP_010427355.1, XP_010504428.1, XP_010510198.1, XP_010414129.1, XP_010469709.1	g37905
OG0000836	XP_010493854.1, XP_010493852.1, XP_010470509.1, XP_010493853.1, XP_019084700.1, XP_019090354.1, XP_019090368.1, XP_010493851.1, XP_010454935.1	g18547, g18546
OG0000837	XP_010456630.1, XP_010456626.2, XP_010495349.1, XP_010495353.1, XP_010456628.1, XP_010456629.1, XP_010424217.1	g778
OG0000839	XP_010490757.1, XP_010452149.1	g29846, g5767
OG0000839	XP_010474807.1, XP_010486534.1, XP_010464613.1	g7481
OG0000840	XP_010501061.1, XP_010462303.1, XP_010479978.1	g27998
OG0000841	XP_019095888.1, XP_010441071.1, XP_010442444.1, XP_019088505.1, XP_010482269.1, XP_010442449.2, XP_010482272.1, XP_010441081.1, XP_010442446.1	g26701
OG0000842	XP_010500509.1, XP_010479456.1, XP_010500510.1, XP_010461808.1	g36403, g36381
OG0000843	XP_010512568.1, XP_010413332.1, XP_010469007.1	g1795
OG0000844	XP_010427451.1	g2152
OG0000844	XP_019100548.1	g51911
OG0000845	XP_010421581.1, XP_010478719.1, XP_010455091.1, XP_010461134.1, XP_010493980.1, XP_010499858.1	g27798, g32658
OG0000846	XP_010493893.1, XP_010454980.1, XP_010421499.1	g4864
OG0000847	XP_010450733.1	g28734
OG0000849	XP_019092634.1	g14388
OG0000849	XP_019087792.1	g34461
OG0000850	XP_019093411.1, XP_019082747.1	g24753
OG0000851	XP_010446495.1, XP_010437071.1	g48007
OG0000851	XP_019093295.1, XP_010431920.1, XP_019085893.1, XP_010429263.1, XP_010417074.1, XP_010446494.1, XP_019087900.1, XP_010436205.1	g38444
OG0000853	XP_019094929.1, XP_019097980.1	g50344
OG0000857	XP_010495859.1, XP_010507198.1, XP_010412556.1	g46806
OG0000857	XP_010453164.1, XP_010491837.1	g29451
OG0000858	XP_010481916.1, XP_010442089.1, XP_010494266.1	g37044
OG0000859	XP_010493145.1, XP_010420878.1, XP_010454343.1	g28935
OG0000860	XP_019097810.1, XP_010424242.1, XP_019084083.1, XP_010489174.2, XP_019092544.1, XP_010467668.2, XP_010425275.1, XP_010495628.1, XP_010445898.1, XP_010484872.2	g13766
OG0000861	XP_010456747.1, XP_010483732.1, XP_010443885.1	g828
OG0000861	XP_010507194.1, XP_010430993.1, XP_010514846.1	g3011
OG0000861	XP_010514842.1, XP_010503158.1, XP_010425940.1	g3012
OG0000862	XP_010433897.1	g25381, g9895, g5011
OG0000863	XP_010472814.1, XP_010417621.1, XP_010429848.1	g44317
OG0000863	XP_010487004.1, XP_010499471.1, XP_010465058.1	g13146
OG0000865	XP_010514895.1, XP_019098301.1, XP_010425997.1	g2943
OG0000865	XP_010425994.1, XP_010514894.1, XP_010425996.1	g19586
OG0000866	XP_010472626.1, XP_010419351.1	g14335
OG0000867	XP_010481347.1, XP_010494951.1, XP_010441486.1, XP_010445782.1	g10891, g40691
OG0000867	XP_019093044.1	g47213
OG0000867	XP_010439990.1, XP_010434652.1, XP_010449600.1	g24255
OG0000868	XP_010503684.1, XP_010426554.1, XP_010503687.1, XP_010426559.1, XP_010503688.1, XP_010426560.1, XP_010431201.2	g2592
OG0000869	XP_010449277.1, XP_010446294.1, XP_019087368.1	g3375
OG0000869	XP_019086230.1, XP_019089483.1, XP_010451287.1, XP_010439637.1, XP_010434349.1, XP_010439642.1, XP_010445222.1, XP_010449279.1, XP_010434351.1, XP_010445260.1, XP_010451280.1, XP_010451279.1, XP_010451281.1	g40440
OG0000870	XP_010427442.1, XP_010427430.1, XP_010516230.1, XP_010504524.1	g2161
OG0000870	XP_010511552.1, XP_010415166.1, XP_010470498.1	g29778, g12365
OG0000871	XP_010509329.1, XP_010517018.1, XP_010505337.1	g51643
OG0000871	XP_010515864.1, XP_010427021.1, XP_010504136.1	g19181, g2336
OG0000872	XP_010441846.1, XP_010494506.1	g19425
OG0000872	XP_010518043.1	g37548
OG0000873	XP_019097767.1, XP_010453889.1, XP_010497291.1	g29149, g29151
OG0000874	XP_010458799.1, XP_010476346.1	g49875
OG0000874	XP_010476352.1, XP_010476347.1, XP_010476348.1, XP_019098980.1	g31459, g53611
OG0000875	XP_010478722.1, XP_010499856.1, XP_010499857.1, XP_010461133.1, XP_010478721.1	g32657
OG0000876	XP_010415000.2, XP_010480264.2, XP_010511293.2	g18479
OG0000882	XP_019094933.1	g27747
OG0000882	XP_010478884.1, XP_010499686.1, XP_010460963.1	g50590
OG0000884	XP_019086669.1, XP_010446116.1, XP_010475750.1, XP_010475782.1, XP_019086670.1, XP_019095800.1	g39398
OG0000885	XP_010440362.1, XP_010496131.1, XP_010435004.1, XP_019092016.1, XP_010488240.1, XP_010511086.1	g17702
OG0000887	XP_019097961.1, XP_019099376.1, XP_019091523.1, XP_019094926.1, XP_019094524.1	g5006
OG0000888	XP_010434401.1, XP_019083130.1, XP_010414679.1	g47313
OG0000889	XP_010439452.1, XP_019089731.1, XP_019086610.1	g47385
OG0000890	XP_010454073.1, XP_010434945.1, XP_010420587.1, XP_010440282.1, XP_010449924.1, XP_010492838.1	g29042, g4923
OG0000891	XP_019097560.1, XP_019085583.1, XP_019092234.1, XP_010426132.1	g3462
OG0000894	XP_010515366.1, XP_010426530.1, XP_010503668.1	g19373, g2597
OG0000895	XP_010454397.1, XP_010493200.1	g740
OG0000895	XP_010467898.1	g39567, g16340, g53264, g42175
OG0000896	XP_019091086.1	g11430, g26094
OG0000896	XP_010427288.1, XP_010427287.1, XP_019101081.1, XP_010516086.1, XP_010516089.1, XP_010504375.1, XP_010427289.1, XP_010516088.1, XP_010504373.1, XP_019102287.1, XP_019102286.1	g37070, g37071, g37072
OG0000897	XP_010423318.1, XP_010452599.1, XP_010491234.1	g29666
OG0000897	XP_010464921.1, XP_010498224.1, XP_010486858.1	g13126, g7345, g12305
OG0000898	XP_019089855.1, XP_019084502.1, XP_019097982.1	g29730, g5640
OG0000898	XP_019096835.1, XP_019101139.1, XP_019092786.1	g12349
OG0000899	XP_010417472.1, XP_010472701.1, XP_010429696.1	g46468
OG0000899	XP_010429695.1, XP_010417473.1, XP_010472700.1	g46469
OG0000900	XP_019095007.1, XP_019099525.1, XP_019091182.1	g36677
OG0000901	XP_010427378.1, XP_010427376.1, XP_010427343.1, XP_010516169.1, XP_010504451.1, XP_010427374.1	g2066, g12613
OG0000903	XP_010438316.1, XP_010433112.1, XP_010433111.1, XP_010447870.1, XP_010438315.1	g23485
OG0000903	XP_010447874.1, XP_010438317.1, XP_010433115.1	g17010
OG0000904	XP_010487839.1, XP_010507446.1, XP_019092700.1	g6829, g11975
OG0000904	XP_010461802.1, XP_010479396.1, XP_010500505.1	g36401
OG0000905	XP_010434398.1	g17414
OG0000905	XP_019088674.1, XP_010434405.1, XP_010451365.2	g47314
OG0000906	XP_010433827.2	g17236
OG0000906	XP_019089369.1, XP_019087889.1, XP_010433826.1, XP_010448628.1	g23857
OG0000907	XP_010435678.2, XP_010496432.1, XP_010485352.1	g7952
OG0000907	XP_010506342.1, XP_010512857.2, XP_010518022.1	g37537
OG0000908	XP_010516501.1, XP_010504806.1, XP_010427757.1	g11209, g1980, g18951
OG0000908	XP_010517775.1, XP_010506078.1	g52055
OG0000910	XP_010509086.1, XP_010517234.1, XP_010505560.2, XP_010505558.1, XP_010509090.1, XP_010517229.1, XP_010509088.1, XP_010505562.2, XP_010435559.1	g38113, g37307
OG0000911	XP_010437050.1, XP_010436203.1, XP_010450995.1	g22703
OG0000911	XP_010472169.1, XP_010416930.1, XP_010429095.1, XP_010429097.1, XP_010416931.1	g36959, g50882, g54088
OG0000912	XP_010455077.1, XP_010421566.1	g7695
OG0000912	XP_010429374.1, XP_010464086.1, XP_010486014.1	g4794, g10126
OG0000913	XP_019088791.1, XP_010450904.1	g18093
OG0000913	XP_010463663.1, XP_010485561.1, XP_010498313.1	g7867
OG0000914	XP_010427832.1, XP_010456210.1	g25399
OG0000915	XP_010474697.1, XP_010457173.1, XP_010480662.1, XP_010495011.1, XP_010481285.1, XP_010441417.1	g49348, g25407
OG0000916	XP_010495079.2	g31437
OG0000916	XP_010476016.1	g27204
OG0000916	XP_010462691.1, XP_010501456.1, XP_010476344.1	g27224
OG0000917	XP_010477503.1, XP_010459997.1, XP_010498712.1	g27518
OG0000918	XP_010484754.1	g53710
OG0000919	XP_010447572.1, XP_010447566.1, XP_019097689.1, XP_010496010.1, XP_019089267.1, XP_019097390.1	g16101
OG0000922	XP_010490121.1, XP_010492056.1, XP_010513659.1, XP_010488591.1, XP_010510250.1, XP_010513748.1, XP_010468469.1	g29369
OG0000923	XP_010503417.1, XP_010426267.1, XP_019102279.1	g2757
OG0000923	XP_010483980.1, XP_010444119.1	g340
OG0000924	XP_010435266.1, XP_010440584.1, XP_010450207.1, XP_010498927.1, XP_010460178.1, XP_010477728.1	g50312
OG0000924	XP_010453775.1, XP_010420302.1, XP_019097801.1	g29200
OG0000925	XP_019097607.1, XP_010454826.1	g18564
OG0000925	XP_010422812.1, XP_010491753.1	g29481
OG0000926	XP_010447531.1, XP_010438012.1, XP_010432832.1	g23312
OG0000926	XP_010453063.1, XP_010422849.1, XP_010491703.1	g45532, g5417, g29502
OG0000927	XP_010414345.1, XP_019101426.1, XP_010469929.1, XP_019101925.1, XP_010504458.1, XP_010491108.1, XP_010423436.1, XP_010452479.1	g29713
OG0000928	XP_010510326.1, XP_010469823.1, XP_010414239.1	g39900, g51220
OG0000928	XP_010486562.1, XP_010475419.1, XP_010457824.1	g31022
OG0000929	XP_010457811.1, XP_019098865.1	g31018, g49550
OG0000930	XP_019089944.1	g3079
OG0000931	XP_010427307.1, XP_010516106.1, XP_010504391.1	g2212, g19095
OG0000932	XP_010433266.1, XP_010438509.1, XP_010448036.1	g17066, g23580
OG0000932	XP_010459999.1, XP_010477504.1, XP_010498713.1	g50244
OG0000933	XP_010443444.2, XP_010443445.1, XP_019088065.1, XP_010482989.1	g1115
OG0000934	XP_010438826.1, XP_010433578.1, XP_010448359.1, XP_019086936.1	g23730
OG0000934	XP_010483227.1, XP_010443403.1, XP_010451899.1	g39310
OG0000936	XP_010436246.1, XP_010446885.1, XP_010437434.1	g18231
OG0000939	XP_010500058.1, XP_010496064.1, XP_010461342.1	g27912
OG0000939	XP_010459961.1, XP_010498683.1, XP_010477480.1	g50234
OG0000940	XP_019088540.1, XP_010433295.1, XP_010438539.1, XP_010448066.1, XP_019091527.1, XP_010478153.1	g23591
OG0000944	XP_010515381.1, XP_010503689.1, XP_019084825.1	g2591
OG0000947	XP_010507838.1, XP_010497805.1, XP_010518505.1, XP_010506828.1	g37763
OG0000947	XP_010512694.1, XP_010413216.1, XP_010468902.1	g18748
OG0000948	XP_010516338.1, XP_010504652.1, XP_010427593.1, XP_010427594.1	g18992
OG0000949	XP_010427292.1	g51777, g2220
OG0000949	XP_010509011.1, XP_010505623.1, XP_010517299.1	g37318
OG0000950	XP_010486198.1, XP_010464259.1, XP_010444089.1	g12477
OG0000951	XP_010446873.1, XP_010437416.1, XP_010432222.1	g22969
OG0000951	XP_010440740.1, XP_010450391.1, XP_010467089.1, XP_010488774.1, XP_019084404.1	g11622
OG0000952	XP_010458237.1, XP_010490093.1, XP_010475788.1	g27082
OG0000952	XP_010475786.1, XP_010458234.1, XP_010490072.1	g49628, g49629
OG0000955	XP_010458840.1, XP_010476406.1, XP_010493976.1, XP_019084268.1	g31477, g14015, g53182, g14019, g14375, g27771, g53183
OG0000957	XP_010431938.1, XP_010437081.1, XP_010446517.1	g22720
OG0000957	XP_019089345.1, XP_010431940.1, XP_019087979.1, XP_010446520.1	g22721
OG0000958	XP_010460330.1, XP_019094448.1, XP_010499064.1	g27596
OG0000960	XP_010495484.1	g31974, g24409, g23553, g44765, g31973, g15602
OG0000962	XP_019099880.1, XP_019085819.1	g1560
OG0000962	XP_010502413.1, XP_010425188.1	g10642, g16672
OG0000963	XP_010492304.2, XP_010420136.2	g29281
OG0000963	XP_010516020.2, XP_010489291.2, XP_010489287.1, XP_010516008.1, XP_010489475.1, XP_010467417.1, XP_010489288.1, XP_019083845.1	g14070
OG0000964	XP_019082536.1, XP_010497335.1, XP_010473910.1, XP_010510143.1, XP_010418725.1, XP_010513149.1, XP_019093230.1	g37911
OG0000965	XP_010433609.1, XP_010438848.1, XP_010448403.1	g47552, g23748
OG0000966	XP_010503548.1, XP_010515238.1, XP_010426404.1	g19445
OG0000967	XP_010454875.1, XP_010493803.1, XP_010421396.1, XP_010421401.1, XP_010454877.1	g602
OG0000968	XP_010483655.1, XP_010443804.1, XP_010455588.1, XP_010455999.1, XP_010456016.1, XP_010483657.1, XP_010455580.1	g41318
OG0000968	XP_019095666.1	g28800
OG0000969	XP_010483436.1, XP_010453676.1, XP_010443567.1	g1171
OG0000969	XP_010452439.1, XP_010423480.1, XP_010491069.1	g5642
OG0000970	XP_010514493.1, XP_010425561.1, XP_010502789.1	g10456, g10455
OG0000971	XP_010441638.1, XP_010494770.1, XP_010441636.1, XP_010494765.1, XP_010481507.1, XP_010495745.1	g43973
OG0000973	XP_010441488.1, XP_010494949.1, XP_010481349.1	g40690, g10892
OG0000974	XP_010464461.1, XP_010461980.1	g12990
OG0000974	XP_010486756.1, XP_010464809.1, XP_010488269.1	g12335
OG0000975	XP_010504182.1, XP_010427058.1, XP_010515904.1, XP_010515905.1, XP_010504184.1, XP_010427059.1	g2322
OG0000976	XP_019095617.1, XP_010473628.1, XP_010444369.1, XP_019095618.1, XP_010442730.1	g3840, g28360, g4496, g26454
OG0000976	XP_010481968.1, XP_019087232.1, XP_010494207.1	g37017, g37018
OG0000978	XP_010485869.1, XP_010419205.1, XP_010463973.1	g12824, g12583, g7738
OG0000978	XP_010447045.1, XP_010432386.1, XP_010437575.1	g47886
OG0000979	XP_010462534.1	g41683, g41660, g41662, g41633, g36993, g36966, g36967
OG0000980	XP_010425759.1, XP_010502978.1, XP_010425761.1, XP_010502982.1	g10340
OG0000982	XP_010458875.1	g38543
OG0000983	XP_010492492.1, XP_010420293.1, XP_010453766.1	g45719, g5064
OG0000984	XP_010463051.1, XP_010485464.1, XP_010463620.1	g7889
OG0000984	XP_010462164.1	g12689
