Orthogroup	Camelina_sativa	Cardamine_hirsuta
OG0003289	XP_010511384.1, XP_010466525.1	CARHR098370
OG0003289	XP_010449974.1, XP_010435053.1	CARHR221460
OG0003290	XP_010420938.1, XP_010466491.1, XP_019097036.1	CARHR098110
OG0003290	XP_010440360.1, XP_010496130.1, XP_010435006.1	CARHR221720
OG0003291	XP_010473603.1, XP_010418382.1, XP_010430459.1, XP_019098617.1, XP_010430460.1, XP_010418383.1, XP_019093582.1	CARHR047760
OG0003292	XP_010498990.1, XP_010477805.1, XP_010462883.1	CARHR025090
OG0003293	XP_010500786.1, XP_010462032.1	CARHR042080
OG0003294	XP_019092622.1, XP_019095663.1, XP_019096720.1	CARHR090600
OG0003295	XP_010439864.1, XP_010517548.1, XP_010434547.1	CARHR225150
OG0003297	XP_010460029.1, XP_010460010.1, XP_010460021.1, XP_010459998.1, XP_010444206.1, XP_010484049.1, XP_010459987.1, XP_010444207.1, XP_010484048.1	CARHR277080
OG0003298	XP_010491251.1, XP_010491106.1, XP_019090452.1	CARHR207550
OG0003298	XP_010449326.1, XP_010439678.1, XP_010434382.1	CARHR226400
OG0003299	XP_010442612.1, XP_019095713.1, XP_010443022.1	CARHR264060
OG0003300	XP_010482002.1, XP_010442152.1, XP_010494162.1	CARHR284880
OG0003300	XP_010500575.1, XP_010479477.1	CARHR040310
OG0003301	XP_010484688.1, XP_019094763.1	CARHR281670
OG0003301	XP_010515547.1, XP_010426694.1, XP_010503831.1	CARHR160970
OG0003302	XP_010518283.1, XP_010508057.1, XP_019100650.1	CARHR141460
OG0003303	XP_010505502.1, XP_010509149.1	CARHR133290
OG0003303	XP_010515935.1, XP_010504209.1	CARHR164080
OG0003304	XP_010445101.1	CARHR234850
OG0003305	XP_010440638.1, XP_010450261.1, XP_010435325.1, XP_010466949.1, XP_010514092.1, XP_010488637.1	CARHR218290
OG0003306	XP_010493643.1, XP_010482076.1, XP_010442249.1	CARHR102050, CARHR183990
OG0003307	XP_010470707.1, XP_010511738.1, XP_010415367.1	CARHR060430
OG0003308	XP_010414627.1	CARHR109330
OG0003309	XP_010501129.1, XP_010480043.1	CARHR044840
OG0003309	XP_010487132.1, XP_010465214.1, XP_010500993.1	CARHR088390
OG0003310	XP_010500158.1	CARHR036040
OG0003310	XP_010436428.1, XP_010424424.1, XP_019084288.1, XP_010424421.1, XP_010421741.1, XP_010455253.1	CARHR259390
OG0003311	XP_010506755.1, XP_010518417.1, XP_010507916.1	CARHR142630
OG0003312	XP_019083397.1, XP_010471767.1	CARHR069720
OG0003312	XP_010506340.1, XP_010518024.1, XP_010508315.1	CARHR139440
OG0003313	XP_010490334.1, XP_019092357.1	CARHR106690
OG0003313	XP_010447050.1, XP_010437581.1, XP_010432390.1	CARHR242940
OG0003314	XP_010423254.1, XP_010485911.1, XP_010464018.1	CARHR079420, CARHR185710
OG0003315	XP_010421504.1, XP_010493898.1, XP_010454989.1	CARHR187050
OG0003316	XP_010496741.1, XP_010454155.1, XP_010420679.1	CARHR194020
OG0003317	XP_010464329.1, XP_010449720.1, XP_010486262.1	CARHR081830
OG0003317	XP_010493705.1	CARHR183250
OG0003318	XP_010465490.1, XP_010487355.1, XP_010502796.1, XP_010502809.1, XP_010465493.1	CARHR090330
OG0003319	XP_010504697.1, XP_010465706.1, XP_010487553.1	CARHR092090
OG0003319	XP_019088639.1	CARHR290700
OG0003320	XP_010461775.1, XP_010479374.1, XP_010500481.1	CARHR039400
OG0003321	XP_010438473.1, XP_010433233.1, XP_010447992.1	CARHR236100
OG0003321	XP_010437906.1, XP_010447378.1, XP_010432711.1	CARHR240410
OG0003322	XP_010450863.1, XP_010441009.1, XP_010435788.1	CARHR264020
OG0003323	XP_010466497.1, XP_010466496.2, XP_010488241.1	CARHR098140
OG0003323	XP_010511117.1, XP_010466499.1, XP_010488243.1	CARHR098150
OG0003324	XP_010433020.1, XP_010447758.1, XP_010438209.1	CARHR238070
OG0003324	XP_010467737.1, XP_010489449.1	CARHR146550
OG0003325	XP_010511759.1, XP_019083234.1	CARHR060540
OG0003325	XP_010482220.1, XP_010442413.1, XP_010440606.1	CARHR182030
OG0003326	XP_019085569.1, XP_010503877.1	CARHR161400
OG0003327	XP_010474753.1, XP_010480196.1, XP_010457115.1	CARHR000850
OG0003327	XP_010422790.1, XP_010456230.1, XP_010427577.1	CARHR249030
OG0003328	XP_010427945.1, XP_010422754.1, XP_010456193.1	CARHR249330
OG0003328	XP_010462522.1, XP_010474728.1	CARHR001110
OG0003329	XP_010447691.1, XP_010438148.1	CARHR238520
OG0003330	XP_010475483.1	CARHR007020
OG0003330	XP_010469922.1, XP_019101425.1	CARHR122980
OG0003331	XP_010458123.1, XP_019094375.1	CARHR214520
OG0003332	XP_010496058.1	CARHR014850
OG0003332	XP_010425045.1, XP_010502280.1, XP_010514043.1	CARHR145170
OG0003333	XP_010497462.1	CARHR016380
OG0003334	XP_010477142.1, XP_010459595.1	CARHR019910
OG0003335	XP_010498475.1, XP_010477281.1, XP_010459727.1, XP_010480558.1, XP_010459726.1, XP_010498474.1	CARHR020900
OG0003336	XP_010477560.1	CARHR023230
OG0003336	XP_010471153.1, XP_010415846.1	CARHR064650
OG0003337	XP_010415760.1	CARHR063990
OG0003337	XP_010460101.1, XP_010477608.1, XP_010498824.1	CARHR023640
OG0003338	XP_010471006.1, XP_010419120.1, XP_010512077.1	CARHR063160
OG0003339	XP_010444762.1, XP_019095369.1, XP_010465149.1	CARHR281090, CARHR281080
OG0003339	XP_010444760.1, XP_010484608.1, XP_010465137.1	CARHR281100
OG0003340	XP_010440028.1, XP_010449637.1, XP_010449635.1, XP_010434686.1, XP_010494984.1, XP_010481322.1, XP_010441455.1	CARHR173910
OG0003341	XP_010441851.2	CARHR178310, CARHR178300
OG0003342	XP_019093487.1, XP_010415129.1, XP_010511506.1	CARHR057680
OG0003342	XP_010435550.1, XP_010440827.1, XP_010450477.1	CARHR215890
OG0003343	XP_010445067.1, XP_010445066.1, XP_010433095.1, XP_010447851.1, XP_019086560.1, XP_010447850.1, XP_010438297.1	CARHR237300
OG0003344	XP_010502543.1, XP_010492649.1, XP_010506988.1, XP_010506987.1, XP_010518639.1	CARHR113770, CARHR113800, CARHR113790, CARHR113780
OG0003345	XP_010436088.1, XP_010441301.1, XP_010447379.1, XP_010436089.1, XP_010441303.1, XP_019091755.1	CARHR212960
OG0003347	XP_019086053.1, XP_010437449.1, XP_010446903.1, XP_019089794.1	CARHR243940
OG0003348	XP_019089464.1, XP_019086519.1, XP_019089473.1, XP_019098208.1, XP_019086434.1	CARHR193120
OG0003349	XP_010437657.1, XP_010432451.1, XP_010447123.1	CARHR242630
OG0003350	XP_010436296.1, XP_019088576.1, XP_010447403.1	CARHR240230
OG0003351	XP_010428072.1, XP_019083166.1, XP_010415943.1, XP_010428067.1, XP_010428074.1	CARHR064940
OG0003352	XP_010474758.1	CARHR000800
OG0003353	XP_010433357.1, XP_019087329.1, XP_010448122.1	CARHR235180
OG0003355	XP_019088729.1, XP_019088727.1, XP_010448671.1	CARHR287000, CARHR289570, CARHR261540, CARHR261550
OG0003356	XP_010501622.1, XP_010460551.1, XP_010478138.1	CARHR152810
OG0003361	XP_010473949.1, XP_010442800.1, XP_019098334.1, XP_010485085.1, XP_019087634.1, XP_010446061.1, XP_010473956.1, XP_010485086.1, XP_019086338.1, XP_010473274.1, XP_010485052.1, XP_010513500.1	CARHR265600, CARHR265610
OG0003362	XP_010418807.1	CARHR122170
OG0003364	XP_019085301.1, XP_019102198.1, XP_019102199.1	CARHR148240
OG0003364	XP_019089782.1, XP_019087161.1, XP_019086140.1	CARHR213400
OG0003366	XP_010487234.1, XP_010465328.1, XP_010501861.1	CARHR089420
OG0003367	XP_019085809.1, XP_019083089.1, XP_010417295.1, XP_019085787.1, XP_010472531.1	CARHR116240
OG0003369	XP_010488615.1, XP_010466926.1, XP_010422484.2	CARHR101350, CARHR292100, CARHR101400, CARHR101390, CARHR101380
OG0003372	XP_010515109.1, XP_010503420.1, XP_010426270.1	CARHR156710
OG0003373	XP_010499285.1, XP_010460561.1, XP_010478146.1	CARHR027370
OG0003373	XP_010480688.1	CARHR027460
OG0003374	XP_010461094.1, XP_010478698.1, XP_010499820.1	CARHR032160
OG0003375	XP_010442732.1, XP_010442578.1, XP_010482424.1	CARHR257230
OG0003376	XP_010441957.1, XP_010494382.1	CARHR103470
OG0003378	XP_010453780.1, XP_010492507.1, XP_010420308.1	CARHR197080
OG0003379	XP_010447300.1, XP_010436857.1	CARHR213050
OG0003379	XP_010447290.1, XP_010447266.1, XP_010441290.1, XP_010436075.1, XP_010441291.1, XP_010447277.1, XP_010436076.1	CARHR213040
OG0003381	XP_010486890.1	CARHR200910
OG0003384	XP_010446642.1, XP_010437201.1, XP_019086135.1	CARHR245990
OG0003385	XP_010452795.1, XP_010423125.1, XP_010491442.1	CARHR205000
OG0003386	XP_019097854.1, XP_019084376.1, XP_010456436.1	CARHR205410
OG0003387	XP_010482369.1, XP_010442545.1	CARHR257690
OG0003387	XP_010438954.1, XP_010433708.1, XP_010448500.1	CARHR232340
OG0003388	XP_010433711.1, XP_010448505.1	CARHR232290
OG0003389	XP_010469573.1, XP_010509998.1, XP_010413980.1	CARHR126420
OG0003390	XP_010457861.1, XP_010486989.1, XP_010475452.1	CARHR006690
OG0003390	XP_019101412.1, XP_010414291.1, XP_010469882.1	CARHR123520
OG0003391	XP_010494313.1, XP_010442034.1, XP_019095584.1, XP_019095784.1, XP_019090338.1, XP_010424443.1, XP_010469529.1	CARHR180290
OG0003392	NP_001289907.1, XP_010481774.1, XP_010441951.1	CARHR179150
OG0003393	XP_010478486.1, XP_010499601.1, XP_010460867.1	CARHR030100
OG0003394	XP_010516645.1, XP_010478492.1, XP_010460872.1, XP_010499606.1	CARHR030110
OG0003395	XP_010463712.1, XP_010484440.1	CARHR279860
OG0003395	XP_010503643.1, XP_010426502.1, XP_010515340.1	CARHR158850
OG0003396	XP_010444404.1, XP_010484251.1, XP_010462907.1	CARHR278620
OG0003397	XP_010436275.1, XP_019088707.1, XP_010447221.1	CARHR241680
OG0003398	XP_010478231.1, XP_019088378.1, XP_019095858.1, XP_010446249.1	CARHR277020
OG0003399	XP_010459480.1, XP_010484009.1, XP_010444160.1	CARHR276760
OG0003400	XP_010444142.1, XP_010459411.1	CARHR276670
OG0003401	XP_010454684.1, XP_010493527.1, XP_010421206.1	CARHR189580
OG0003402	XP_010454404.1, XP_010420940.1, XP_010493208.1	CARHR191930
OG0003405	XP_010451380.1, XP_010443314.1, XP_010483144.1	CARHR270370, CARHR000660
OG0003406	XP_010438930.1, XP_010442197.1, XP_010482029.1	CARHR184450
OG0003408	XP_010491024.1, XP_010423514.1, XP_010452396.2	CARHR208320
OG0003409	XP_019097291.1, XP_019084396.1, XP_019089981.1	CARHR209780
OG0003410	XP_010452044.1, XP_010490628.1, XP_010423897.1	CARHR211240
OG0003411	XP_010486435.1, XP_010466212.1, XP_010464505.1	CARHR083200
OG0003412	XP_010464503.1, XP_010486431.1	CARHR083160
OG0003413	XP_010498880.1, XP_019096163.1, XP_010464994.1	CARHR086870
OG0003414	XP_010476801.1, XP_010459228.1	CARHR017240
OG0003415	XP_010437020.1, XP_010431876.1, XP_010446432.1	CARHR247590, CARHR106830
OG0003416	XP_010428716.1, XP_010416572.1, XP_010471806.1	CARHR070080
OG0003417	XP_010462421.1, XP_010501186.1	CARHR087970
OG0003418	XP_010462269.1, XP_010501024.1	CARHR043950
OG0003419	XP_010462239.1, XP_010501267.2, XP_019094599.1, XP_010500990.1, XP_010479904.1, XP_010502001.1, XP_010462234.1, XP_010479902.2, XP_010462235.1, XP_010500991.1	CARHR043660
OG0003420	XP_010429291.1	CARHR130830
OG0003421	XP_010488445.1, XP_010512699.1, XP_010466721.1	CARHR099650
OG0003422	XP_010429275.1, XP_010417081.1	CARHR292870
OG0003422	XP_010446681.1, XP_010432071.1, XP_010437243.1	CARHR245650
OG0003424	XP_019085360.1, XP_019101831.1	CARHR292460
OG0003424	XP_010502850.1, XP_010514553.1, XP_010425628.1	CARHR292470
OG0003425	XP_010477823.1, XP_010460270.1, XP_010499003.1	CARHR025220
OG0003426	XP_010494788.1, XP_010441613.1, XP_019096036.1	CARHR175600
OG0003426	XP_010434545.1, XP_019082296.1	CARHR225160
OG0003427	XP_010479682.1, XP_010462018.1, XP_010500762.1	CARHR041920
OG0003428	XP_010479681.1, XP_010500763.1	CARHR041930
OG0003429	XP_010500915.1, XP_010462143.1	CARHR043130
OG0003430	XP_010514618.1, XP_010502906.1, XP_010425693.1	CARHR152100
OG0003431	XP_010439824.1, XP_010434499.1, XP_010449481.1	CARHR225540
OG0003432	XP_010426883.1, XP_010515734.1, XP_010504010.1	CARHR162450
OG0003433	XP_010507375.1, XP_010431232.1	CARHR160250
OG0003434	XP_010482473.1, XP_010443104.1, XP_010442620.1	CARHR264100
OG0003435	XP_010482456.1, XP_010442753.1, XP_010442607.1	CARHR256790
OG0003435	XP_019101782.1	CARHR256780
OG0003437	XP_010422367.1, XP_010455831.1	CARHR158190
OG0003438	XP_010439573.1, XP_010449168.1	CARHR227270
OG0003440	XP_010434110.1, XP_010439408.1, XP_010448974.1, XP_010456354.1, XP_010495039.1, XP_010456356.1, XP_010497681.1, XP_010424818.1	CARHR228660
OG0003441	XP_010461272.1, XP_010478880.1, XP_010499996.1	CARHR033890
OG0003442	XP_010518054.1, XP_010508284.1, XP_010506380.1	CARHR139740
OG0003443	XP_010413020.1, XP_010507707.1, XP_010512890.1, XP_010516516.1, XP_010504822.1, XP_010427771.1	CARHR169060
OG0003445	XP_010516304.1, XP_010504616.1, XP_010427557.1, XP_019084912.1	CARHR167160, CARHR163700
OG0003446	XP_010445692.1, XP_010441229.1, XP_010517441.1, XP_010505748.1, XP_010508867.1, XP_010508889.1	CARHR135290
OG0003447	XP_010488743.1, XP_010412518.1, XP_010467056.1	CARHR103030
OG0003448	XP_010513401.1, XP_010466841.1, XP_010488538.1	CARHR100450
OG0003449	XP_010446758.1, XP_010432147.1, XP_010437317.1	CARHR245030
OG0003450	XP_010429163.1, XP_010417000.1, XP_010472230.1	CARHR053880, CARHR246670
OG0003452	XP_010478829.1	CARHR033540
OG0003453	XP_010497084.1, XP_010507784.1, XP_010512809.1, XP_019102007.1	CARHR142820
OG0003454	XP_010518436.1, XP_010507895.1, XP_010489259.1, XP_010467404.1, XP_010516167.1	CARHR142750
OG0003455	XP_010508112.1, XP_010508111.1, XP_010506554.1, XP_010518213.1	CARHR141040
OG0003457	XP_010506297.1, XP_010508356.1, XP_010517976.1	CARHR139120
OG0003458	XP_010508358.1, XP_010517972.1, XP_010506295.1, XP_010512863.1, XP_010517973.1, XP_010507728.1	CARHR139100
OG0003459	XP_010496739.1, XP_010420680.1, XP_010454158.1	CARHR194010
OG0003459	XP_010436766.1, XP_010486109.1, XP_010464186.1	CARHR080720
OG0003460	XP_010489697.1	CARHR080820
OG0003460	XP_010438158.1, XP_010438009.1, XP_010438265.1, XP_019096331.1	CARHR080810
OG0003461	XP_010464249.1, XP_010486185.1, XP_010468047.1, XP_010500154.1, XP_010463219.1, XP_010443175.1	CARHR213130, CARHR176030, CARHR176040, CARHR213100, CARHR213110, CARHR213090, CARHR213140, CARHR081210
OG0003462	XP_010464536.1, XP_010468550.1, XP_010486461.1	CARHR083390
OG0003462	XP_010486478.1, XP_010464556.1, XP_010469926.1	CARHR083530
OG0003463	XP_010464849.1, XP_010495834.1, XP_010486801.1	CARHR145210, CARHR086010
OG0003464	XP_010486863.1, XP_010464927.1, XP_010498264.1	CARHR086460, CARHR086470
OG0003465	XP_010487121.1, XP_010465206.1, XP_010500769.1	CARHR088310
OG0003466	XP_010501087.1, XP_010487141.1, XP_010465232.1, XP_010465226.1, XP_010487142.1, XP_010465233.1, XP_010501099.1	CARHR088450
OG0003467	XP_019096376.1, XP_010503542.1, XP_010465579.1	CARHR090980
OG0003468	XP_010448574.1, XP_010433781.1, XP_010439047.1, XP_010448572.1, XP_010433778.1, XP_010439052.1	CARHR231770
OG0003469	XP_010432928.1, XP_010438115.1, XP_010447651.1, XP_019089376.1	CARHR238770
OG0003471	XP_010488306.1, XP_010458028.2	CARHR007850
OG0003471	XP_010475591.1, XP_010458027.1, XP_010488284.1	CARHR007840
OG0003472	XP_010490088.1, XP_010458239.1, XP_010475787.1	CARHR009490
OG0003473	XP_010458320.1, XP_010490486.1	CARHR010070
OG0003474	XP_010490792.1, XP_010475883.1, XP_019090815.1	CARHR010310
OG0003474	XP_010470222.1, XP_010511038.1, XP_010414702.1	CARHR283810
OG0003475	XP_010476218.1, XP_010462668.1, XP_010494199.1	CARHR012750
OG0003477	XP_010458972.1, XP_010496327.1, XP_010476526.1	CARHR015140
OG0003478	XP_010431471.1	CARHR223680
OG0003479	XP_010498131.1, XP_010459355.1	CARHR018210
OG0003479	XP_010441150.1, XP_010435944.1, XP_019089643.1, XP_010450687.1, XP_019086830.1, XP_019087025.1	CARHR262030
OG0003480	XP_010442708.1, XP_010482543.1, XP_010444124.1	CARHR264880
OG0003481	XP_010481370.1, XP_010494928.1	CARHR173550
OG0003481	XP_010434707.1, XP_010449661.1	CARHR223760
OG0003482	XP_010489599.1, XP_010414738.1, XP_010467718.1, XP_019088689.1	CARHR092300
OG0003483	XP_010506629.1, XP_010508042.1, XP_010502959.1, XP_010514644.1, XP_010425732.1	CARHR141560
OG0003484	XP_010431777.1, XP_010436936.1	CARHR294150
OG0003485	XP_010446649.1	CARHR245950
OG0003485	XP_010437212.1, XP_010432048.1	CARHR245960
OG0003486	XP_010437422.1	CARHR244150
OG0003487	XP_019089824.1, XP_019088843.1	CARHR242800
OG0003488	XP_010429389.1, XP_010472427.1, XP_010417172.1	CARHR117900
OG0003488	XP_010447639.1, XP_010432923.1, XP_010438102.1	CARHR238840
OG0003489	XP_010498817.1, XP_010460090.1, XP_010477599.1, XP_010477597.1, XP_010477600.1, XP_010460094.1	CARHR023550, CARHR023570, CARHR023560, CARHR023580, CARHR024050, CARHR024040
OG0003491	XP_010460255.1, XP_010477802.1, XP_010498989.1	CARHR025070
OG0003491	XP_010497463.2	CARHR062580
OG0003494	XP_019094606.1, XP_019096699.1	CARHR045300
OG0003495	XP_019100914.1	CARHR147670
OG0003495	XP_010510919.1, XP_010415058.1, XP_010418966.1, XP_010470392.1, XP_010482235.1, XP_010448420.1, XP_010440786.1	CARHR146870
OG0003496	XP_010511589.1, XP_010470560.1, XP_010470559.1, XP_010415221.1, XP_010511861.1, XP_019082626.1	CARHR058980
OG0003497	XP_010513629.1, XP_010496863.1	CARHR220460, CARHR056340
OG0003497	XP_010511737.1, XP_010470704.1, XP_010415365.1	CARHR059750
OG0003498	XP_019088641.1, XP_010427127.1, XP_019088638.1, XP_010456267.1, XP_019102548.1, XP_010419598.1, XP_019088637.1, XP_019083748.1, XP_019085035.1, XP_019093391.1, XP_010426785.1, XP_010513888.1, XP_019085833.1, XP_010457318.1, XP_019094760.1, XP_010481623.1, XP_019094940.1, XP_019091001.1	CARHR002680
OG0003502	XP_010445172.1, XP_010442809.1, XP_010445163.1	CARHR265660
OG0003505	XP_010501647.1	CARHR223000
OG0003513	XP_010468454.1, XP_010422179.1, XP_019085358.1, XP_010455645.1	CARHR254120
OG0003514	XP_010492623.1, XP_010420397.1, XP_010453866.1	CARHR196270
OG0003515	XP_010453737.1, XP_010420265.1, XP_010492440.1	CARHR197440
OG0003516	XP_010419718.1, XP_019089870.1, XP_010491880.1	CARHR201750
OG0003517	XP_010487918.1, XP_010507992.1, XP_010466135.1	CARHR095280
OG0003518	XP_010515697.1, XP_010503977.1, XP_010426852.1	CARHR204450
OG0003519	XP_010457301.1, XP_010483808.1, XP_010443959.1	CARHR275170
OG0003520	XP_010491383.1, XP_010452732.1, XP_010423183.1	CARHR205520
OG0003521	XP_010510790.1, XP_010473118.1, XP_010417879.1	CARHR119810
OG0003522	XP_010510739.1, XP_010473163.1, XP_010510743.1, XP_010473160.1	CARHR120330
OG0003523	XP_010414542.1, XP_010510637.1, XP_010470099.1, XP_010470100.1, XP_010510639.1, XP_010414545.1, XP_010513287.1, XP_019101474.1, XP_010470098.1, XP_010414541.1	CARHR121270
OG0003525	XP_010414269.1, XP_010469856.1, XP_010510365.1	CARHR123850
OG0003526	XP_010469734.1, XP_010469722.1	CARHR068770
OG0003527	XP_010418730.1, XP_010469705.1, XP_010510200.1	CARHR125030
OG0003528	XP_010469733.1, XP_010510184.1, XP_010414109.1	CARHR125230, CARHR008820
OG0003529	XP_010414020.1, XP_010510060.2, XP_010469622.1	CARHR126050
OG0003530	XP_010494351.1, XP_010441993.1, XP_010481834.1	CARHR179900
OG0003531	XP_019095691.1, XP_010460751.2, XP_010478345.2	CARHR029110
OG0003532	XP_010456874.1, XP_010424543.1, XP_010468673.1, XP_010501677.1, XP_010480777.1, XP_010460890.1	CARHR030270
OG0003533	XP_010444693.1, XP_010484552.1	CARHR280550
OG0003534	XP_010464230.1, XP_010444667.1	CARHR053680, CARHR181410
OG0003535	XP_010484363.1, XP_019088721.1, XP_010463069.1	CARHR279420
OG0003536	XP_010483920.1, XP_010458394.1, XP_010444061.1	CARHR275990, CARHR205950
OG0003537	XP_019093435.1, XP_019088254.1, XP_010483864.1, XP_010457757.1, XP_010457781.1, XP_010457823.1, XP_010483862.1, XP_010444011.1, XP_019093420.1	CARHR275580
OG0003538	XP_010445193.1	CARHR289290
OG0003540	XP_010493406.1, XP_010421096.1	CARHR190550
OG0003541	XP_010456500.1, XP_010483698.1, XP_010443847.1, XP_010485265.1	CARHR274170
OG0003542	XP_019093043.1	CARHR066880
OG0003542	XP_019090245.1	CARHR260420
OG0003543	XP_010483581.1, XP_010455085.1, XP_010483585.1, XP_010443707.1, XP_010443710.1	CARHR285860
OG0003544	XP_010443689.1, XP_010483558.1, XP_010485237.1, XP_010454932.1	CARHR285750
OG0003545	XP_010453468.1, XP_010443548.1, XP_010483400.1	CARHR272100
OG0003546	XP_010452800.1, XP_010443488.1, XP_010483318.1	CARHR271540
OG0003547	XP_010443286.1, XP_010450977.1	CARHR269770
OG0003547	XP_010488317.1, XP_010475597.1, XP_010458030.1	CARHR007870
OG0003548	XP_010449962.1, XP_010483016.1, XP_010443202.1	CARHR268940, CARHR268950
OG0003549	XP_010423240.1, XP_010419059.1, XP_010452676.1, XP_019097526.1, XP_010491325.1	CARHR205930
OG0003550	XP_010491146.1, XP_010423397.1, XP_010452509.1	CARHR207240
OG0003551	XP_010452418.1, XP_010491044.1	CARHR208090
OG0003551	XP_019101142.1, XP_010464776.1	CARHR085440
OG0003552	XP_010469571.1, XP_010421791.1, XP_010415390.1, XP_010467893.1, XP_010489492.1	CARHR109910
OG0003554	XP_010425510.1, XP_010502744.1	CARHR148830
OG0003554	XP_010441204.1, XP_010450645.1, XP_010435985.1	CARHR261430
OG0003555	XP_010429767.1, XP_010417515.1	CARHR072650
OG0003556	XP_010498709.1, XP_010477500.1, XP_010459995.1	CARHR071730, CARHR022760
OG0003557	XP_010467487.1, XP_010489352.1, XP_010515356.1	CARHR293610
OG0003558	XP_019091372.1	CARHR039830, CARHR039820, CARHR039840
OG0003559	XP_010440467.1, XP_010435133.1, XP_010450044.1	CARHR220600
OG0003559	XP_010466646.1, XP_010488382.1	CARHR099230
OG0003560	XP_010440446.1, XP_010435108.1, XP_010450023.1	CARHR220780
OG0003563	XP_010416116.1, XP_010471385.1, XP_010428237.1	CARHR066270, CARHR066280
OG0003564	XP_019099077.1, XP_010477094.1, XP_010459546.1	CARHR019580
OG0003565	XP_010425226.1, XP_010502447.1, XP_010425227.1, XP_010514195.1, XP_010502446.1, XP_010425228.1, XP_010514198.1	CARHR146670
OG0003566	XP_010511991.1, XP_010415599.1	CARHR062460
OG0003567	XP_010494682.1, XP_010481547.1, XP_010441687.1	CARHR176340
OG0003568	XP_010442098.1, XP_010494256.1	CARHR181160
OG0003569	XP_010471423.1, XP_010428287.1, XP_010416171.1	CARHR023920, CARHR023930, CARHR066660
OG0003571	XP_010449149.1, XP_010439560.1, XP_010434265.1, XP_019086234.1, XP_010434264.1	CARHR227430, CARHR227410
OG0003572	XP_010439654.1, XP_010434362.1, XP_010449299.1	CARHR226580
OG0003573	XP_019089790.1, XP_019089357.1, XP_019088572.1, XP_019086515.1, XP_019086017.1	CARHR222920
OG0003574	XP_010503909.1, XP_010515642.1, XP_010426792.1	CARHR161630
OG0003575	XP_010512693.1	CARHR173240
OG0003576	XP_019093699.1, XP_010512622.1	CARHR241110
OG0003577	XP_019101140.1, XP_010506730.1, XP_010518396.1	CARHR142420
OG0003577	XP_010413297.1, XP_010468977.1, XP_010512607.1	CARHR172560
OG0003578	XP_010423448.1, XP_010452470.1, XP_010491096.1, XP_010413372.1, XP_010469116.1, XP_010512522.1	CARHR078640, CARHR004860
OG0003579	XP_019083554.1, XP_010415079.1	CARHR186390, CARHR186410
OG0003579	XP_010469149.1, XP_010512409.1, XP_010413523.1	CARHR171130
OG0003580	XP_019084892.1, XP_010504501.1	CARHR166300
OG0003581	XP_010516458.1, XP_010504759.1, XP_010427718.1	CARHR168460
OG0003583	XP_010419421.1, XP_010495213.1	CARHR165140
OG0003583	XP_010427268.1, XP_010426629.1, XP_019084885.1, XP_010427260.1, XP_010516069.1, XP_010427266.1	CARHR165150
OG0003584	XP_010431152.1, XP_019085336.1, XP_010504085.1	CARHR163170
OG0003585	XP_010496372.1, XP_010482761.1, XP_010442936.1	CARHR266770
OG0003585	XP_010445966.1, XP_010442938.1, XP_010482769.1	CARHR266800
OG0003586	XP_010415209.1, XP_010470548.1, XP_010496349.1	CARHR214630
OG0003587	XP_010504478.1, XP_010516199.1, XP_010427409.1, XP_010430627.1	CARHR166100
OG0003587	XP_010508891.1, XP_010505747.1, XP_010517440.1	CARHR135280
OG0003588	XP_010413023.1, XP_010419444.1, XP_019100711.1, XP_019100785.1, XP_010507711.1	CARHR158020
OG0003589	XP_010505478.1, XP_010509127.1, XP_010517145.1	CARHR133180
OG0003590	XP_010509277.1, XP_010509278.1, XP_019100485.1, XP_010517051.1, XP_010505376.2	CARHR131760
OG0003591	XP_010452230.2, XP_010490831.1, XP_010424796.1, XP_010497198.1	CARHR209850
OG0003592	XP_010429647.1, XP_010417412.1, XP_019093388.1, XP_010503058.1, XP_010427122.1, XP_010514743.1, XP_010507158.1	CARHR115110
OG0003594	XP_010469061.1, XP_010455543.1, XP_010422091.1	CARHR255210
OG0003595	XP_010421514.1, XP_010455010.1	CARHR186940
OG0003596	XP_010421651.1, XP_010494034.1	CARHR185830
OG0003596	XP_019090031.1	CARHR054200
OG0003597	XP_010415905.1, XP_010490291.1	CARHR003460
OG0003597	XP_010457445.1, XP_010483095.1, XP_010475054.1	CARHR003470
OG0003599	XP_010492829.1, XP_010454051.1, XP_010420572.1	CARHR194810
OG0003600	XP_010492301.1, XP_019090337.1, XP_010420133.1	CARHR080680
OG0003601	XP_010489793.1, XP_010499267.1, XP_010465038.2, XP_010497315.1	CARHR087140
OG0003603	XP_010503804.1, XP_010487456.1, XP_010465617.1	CARHR091270
OG0003604	XP_010472431.1, XP_010429398.1, XP_019083721.1	CARHR117820
OG0003604	XP_010432914.1	CARHR238900
OG0003605	XP_010488046.1, XP_010466260.1, XP_010509121.1	CARHR096380
OG0003606	XP_010466267.1, XP_010488052.1, XP_010509183.1	CARHR096460
OG0003607	XP_010512483.1, XP_010488403.1	CARHR099410
OG0003608	XP_010488386.1, XP_010466655.1, XP_010512318.1	CARHR099270
OG0003610	XP_010470346.1, XP_010511192.1, XP_010414898.1	CARHR055610
OG0003612	XP_010426858.1, XP_010503985.1, XP_010515708.1	CARHR162200
OG0003613	XP_010477584.1, XP_019091229.1, XP_010498794.1	CARHR023400
