Orthogroup	Odontarrhena_muralis	Arabidopsis_lyrata_NCBI
OG0001223	Om002G082000	XP_002883920.1
OG0001223	Om001G031810	XP_002869181.2
OG0001224	Om005G187250	XP_020867893.1, XP_002892492.1
OG0001225	Om006G271930	XP_020879816.1, XP_002875345.2
OG0001226	Om006G269860	XP_020880926.1, XP_002875424.1
OG0001227	Om002G052210	XP_020885883.1
OG0001227	Om004G175150	XP_020879561.1
OG0001228	Om006G259380, Om001G007680, Om006G259320, Om006G259420	XP_002877393.1
OG0001228	Om006G259390, Om006G259350, Om006G259430, Om006G259310	XP_020882906.1, XP_002880784.2
OG0001229	Om006G249980	XP_002864486.1
OG0001230	Om006G236280	XP_002864755.1
OG0001230	Om004G169010	XP_002873305.1
OG0001231	Om006G236150	XP_002866459.1
OG0001231	Om004G169080	XP_002871264.2
OG0001232	Om001G003010	XP_020874306.1
OG0001232	Om001G003020	XP_020874304.1
OG0001233	Om001G009770	XP_002869798.1
OG0001233	Om008G352720	XP_002874733.1
OG0001234	Om004G138070	XP_020890246.1
OG0001235	Om002G083990	XP_020888615.1
OG0001235	Om001G034630	XP_020875128.1
OG0001237	Om008G321460	XP_020885384.1
OG0001237	Om005G208750, Om003G126420	XP_020881555.1
OG0001238	Om008G321570	XP_020883117.1
OG0001238	Om003G126200	XP_020881577.1
OG0001239	Om003G124340	XP_002876531.1
OG0001239	Om008G323910	XP_020882985.1
OG0001240	Om008G324750, Om008G324760	XP_020882737.1
OG0001240	Om008G324680	XP_020885300.1
OG0001241	Om008G324870	XP_002881921.1
OG0001241	Om008G324900, Om008G324890	XP_002881920.1
OG0001242	Om004G174520	XP_020878746.1
OG0001242	Om002G052480	XP_002882637.1
OG0001243	Om006G241260	XP_020878088.1
OG0001243	Om005G212570	XP_020889717.1
OG0001245	Om006G258010	XP_002877780.1
OG0001245	Om006G229530	XP_002866757.1
OG0001246	Om005G179070	XP_002889395.1
OG0001246	Om004G158830	XP_002874969.1
OG0001247	Om004G160440	XP_020878329.1
OG0001247	Om002G050370	XP_020888763.1
OG0001248	Om007G282850, Om007G282830, Om007G282860	XP_002879203.1, XP_020885470.1, XP_020885467.1, XP_002863049.2
OG0001249	Om008G333840	XP_020882848.1
OG0001250	Om007G299800	XP_020876572.1
OG0001250	Om002G043300	XP_020887847.1
OG0001251	Om002G043620	XP_002884314.1
OG0001251	Om007G299300	XP_002873742.1
OG0001252	Om002G043920	XP_020886877.1
OG0001253	Om002G047790	XP_020885877.1
OG0001253	Om007G294040	XP_020876889.1
OG0001254	Om003G095910	XP_002894316.1
OG0001254	Om008G338050	XP_002879579.1
OG0001255	Om004G133240	XP_020891132.1
OG0001255	Om005G198260	XP_020868944.1
OG0001256	Om004G142260	XP_020891089.1
OG0001256	Om005G198820	XP_020868107.1
OG0001257	Om004G141760	XP_020890577.1
OG0001257	Om005G199300	XP_002890250.1
OG0001258	Om005G200690	XP_020869698.1
OG0001258	Om004G139120	XP_020889791.1
OG0001259	Om005G201530	XP_002893054.1
OG0001259	Om004G137860	XP_020889651.1
OG0001261	Om005G194440	XP_020867066.1
OG0001262	Om005G194320	XP_020867063.1
OG0001262	Om005G194340, Om005G194330	XP_020867059.1
OG0001263	Om005G191580	XP_002889923.1
OG0001264	Om002G057540	XP_002884964.1
OG0001264	Om003G090210	XP_002891844.1
OG0001265	Om003G095680	XP_020868774.1
OG0001265	Om002G069140	XP_020887855.1
OG0001269	Om007G289700, Om007G289710	XP_002881327.1, XP_020868255.1
OG0001274	Om004G153070, Om018G373760	XP_020885752.1
OG0001274	Om001G027260	XP_002867317.1
OG0001275	Om005G202690	XP_020866686.1
OG0001275	Om001G033720	XP_020872134.1
OG0001276	Om005G222670	XP_020890113.1
OG0001276	Om005G189920	XP_020870433.1
OG0001277	Om005G222970	XP_002886530.1
OG0001278	Om002G076590	XP_002885789.1
OG0001279	Om007G300380	XP_002871647.1
OG0001279	Om002G042920	XP_020887568.1
OG0001280	Om006G269500	XP_002877154.1
OG0001280	Om002G054490	XP_002870774.1
OG0001281	Om005G227890	XP_002886356.1
OG0001281	Om007G318310	XP_020874452.1
OG0001282	Om006G250090	XP_020873597.1, XP_002866169.1
OG0001283	Om003G119930	XP_002876390.1
OG0001283	Om008G328480	XP_002879915.1
OG0001284	Om003G108870	XP_002865770.1
OG0001284	Om006G234900	XP_020889085.1
OG0001285	Om003G116080	XP_020877975.1
OG0001285	Om001G020050	XP_020874552.1
OG0001286	Om003G116830	XP_002864371.1
OG0001287	Om001G018860	XP_020873403.1
OG0001287	Om003G117080, Om004G145930	XP_020890653.1
OG0001288	Om004G163800	XP_020878517.1
OG0001288	Om006G240240	XP_002872166.1
OG0001289	Om001G000320	XP_002868059.1
OG0001289	Om008G362210	XP_020871835.1
OG0001290	Om008G351210	XP_002874678.1
OG0001290	Om001G010830	XP_002869770.1
OG0001291	Om001G011760, Om003G100450	XP_002891017.1
OG0001291	Om001G011750	XP_002891016.1
OG0001292	Om007G282020	XP_002879246.1
OG0001292	Om002G042860	XP_020888052.1
OG0001293	Om003G123470	XP_020879610.1
OG0001294	Om004G153730	XP_020883255.1
OG0001294	Om001G039610	XP_020874696.1
OG0001296	Om004G154220	XP_002880456.1
OG0001296	Om006G229750	XP_002879534.1
OG0001297	Om008G354250	XP_020876639.1
OG0001298	Om002G070950	XP_020872273.1
OG0001299	Om008G320350	XP_002882088.1
OG0001300	Om003G121550	XP_020880153.1
OG0001300	Om008G326760	XP_020884468.1
OG0001301	Om003G121140	XP_020879837.1
OG0001301	Om008G326930	XP_020884223.1
OG0001302	Om006G231010	XP_020879771.1
OG0001302	Om006G259630	XP_002877709.1
OG0001303	Om004G157140	XP_002872971.1
OG0001303	Om005G177770	XP_002892033.1
OG0001304	Om005G185790	XP_020867785.1
OG0001304	Om007G283550	XP_002880987.2
OG0001305	Om002G047540	XP_020887906.1
OG0001305	Om007G293740	XP_020876904.1
OG0001306	Om007G294020	XP_020876957.1
OG0001306	Om002G047760	XP_002884517.1
OG0001307	Om002G050190, Om002G050200	XP_020887079.1
OG0001308	Om006G255570	XP_020879706.1
OG0001308	Om008G337370	XP_020883185.1
OG0001309	Om008G334740	XP_020884800.1
OG0001309	Om006G253780	XP_002876236.1
OG0001310	Om005G197840	XP_002890191.1
OG0001310	Om004G132480	XP_020890451.1
OG0001311	Om007G293340	XP_002874414.2, XP_002865704.2
OG0001312	Om002G049930	XP_002882517.1
OG0001312	Om007G306710, Om009G363690	XP_020865594.1
OG0001313	Om001G038820, Om001G038860, Om001G038840, Om001G038810	XP_002888651.1
OG0001314	Om002G057470	XP_002882817.1
OG0001314	Om003G090100	XP_002894518.1
OG0001315	Om002G061400	XP_002882959.1
OG0001315	Om003G094330	XP_002894388.1
OG0001316	Om003G099760	XP_020868380.1
OG0001316	Om002G064010	XP_020889180.1
OG0001317	Om003G097220, Om002G067410	XP_002883212.1
OG0001318	Om003G100520, Om003G100530, Om003G100570, Om003G100550	XP_002868169.2
OG0001319	Om006G255230	XP_002877898.2
OG0001320	Om005G228140, Om004G165840, Om001G021540, Om001G034720, Om001G035350, Om001G036310	XP_020885804.1, XP_020872536.1
OG0001321	Om008G361800, Om008G361810	XP_020871696.1
OG0001321	Om008G361760, Om008G361770, Om008G361790, Om008G361780, Om008G361750	XP_020871795.1, XP_020869314.1
OG0001323	Om006G233070	XP_020873978.1, XP_020871486.1
OG0001328	Om001G027840	XP_002869325.1
OG0001328	Om004G154830	XP_002878766.1
OG0001330	Om002G083840	XP_020887871.1
OG0001330	Om001G035780, Om001G034460	XP_020873091.1
OG0001331	Om005G183170, Om011G365940, Om005G218380	XP_002894649.1
OG0001332	Om011G364990, Om020G374420	XP_002888230.1, XP_002888227.1
OG0001332	Om005G188110	XP_020868186.1
OG0001333	Om005G189740	XP_002889842.1
OG0001334	Om005G195510	XP_020869341.1
OG0001334	Om006G275200	XP_002875082.1
OG0001335	Om004G172750	XP_002873155.1
OG0001335	Om002G053520	XP_020888983.1
OG0001336	Om002G055270	XP_020888264.1
OG0001336	Om004G170320	XP_020878535.1
OG0001337	Om003G115730	XP_002866018.1
OG0001337	Om001G020770	XP_002867495.1
OG0001338	Om003G115720	XP_002866017.1
OG0001339	Om003G117680	XP_020879798.1
OG0001340	Om004G164210	XP_002871462.1
OG0001341	Om006G239760	XP_002874240.1
OG0001341	Om004G164720	XP_002873480.1
OG0001342	Om004G166010, Om004G166040	XP_002871402.1
OG0001342	Om006G232060	XP_002866657.1
OG0001343	Om004G167750	XP_020877926.1
OG0001343	Om006G237720	XP_020878973.1
OG0001344	Om001G000650	XP_020872415.1
OG0001344	Om008G361820	XP_002863376.1
OG0001345	Om001G002870	XP_020875078.1
OG0001345	Om008G358760	XP_002865227.1
OG0001346	Om001G006330	XP_002869923.1
OG0001346	Om001G006320	XP_002869924.1
OG0001347	Om002G042790	XP_020886972.1
OG0001348	Om002G084400	XP_020889004.1
OG0001349	Om002G084970	XP_020888708.1
OG0001349	Om001G035900	XP_020874362.1
OG0001350	Om004G154140	XP_002878626.1
OG0001350	Om001G039050	XP_020873029.1
OG0001351	Om008G323820	XP_002870402.1, XP_002870403.1
OG0001352	Om008G344590	XP_002874542.1
OG0001353	Om008G358330, Om008G358340	XP_020871903.1, XP_020874527.1
OG0001353	Om008G358400, Om008G358390	XP_020886167.1
OG0001354	Om003G128220	XP_002876682.2
OG0001354	Om008G319360	XP_020883983.1
OG0001355	Om003G126260	XP_002878373.1
OG0001355	Om008G321560	XP_020883118.1
OG0001356	Om003G122470	XP_002876473.1
OG0001357	Om003G121180	XP_020879839.1
OG0001358	Om008G327570	XP_002881805.1
OG0001358	Om003G120700	XP_002878160.1
OG0001359	Om006G267220	XP_002875766.1
OG0001359	Om006G245720	XP_020871232.1
OG0001360	Om005G182650	XP_020869139.1
OG0001360	Om007G279210	XP_020883689.1
OG0001361	Om007G279070	XP_020885723.1
OG0001361	Om005G181940	XP_020868344.1
OG0001362	Om002G068640	XP_020888534.1
OG0001362	Om007G285120	XP_020884280.1
OG0001363	Om001G019430	XP_020873615.1
OG0001364	Om007G300390	XP_020879196.1
OG0001364	Om002G042910	XP_020887565.1
OG0001365	Om002G043000	XP_002884288.1
OG0001365	Om007G300260	XP_002873709.1
OG0001366	Om007G299050	XP_020876596.1
OG0001366	Om002G043770	XP_020886904.1
OG0001367	Om002G049120	XP_002865745.1, XP_020889436.1
OG0001368	Om003G093080, Om002G088450, Om007G307280, Om008G339570	XP_020884342.1
OG0001368	Om008G338180	XP_020876219.1
OG0001370	Om005G203190	XP_002890421.1
OG0001370	Om004G135860	XP_020865599.1
OG0001371	Om004G144890, Om004G144920	XP_020869623.1, XP_020869621.1, XP_020867488.1
OG0001372	Om002G044560	XP_002882274.1
OG0001372	Om007G297490	XP_002871746.1
OG0001373	Om003G099110	XP_002891452.1
OG0001373	Om002G065230	XP_020888674.1
OG0001374	Om004G137820	XP_002889017.2
OG0001374	Om005G201480	XP_020870089.1
OG0001375	Om005G197110	XP_020868653.1
OG0001375	Om004G131490	XP_020891648.1
OG0001376	Om002G058580	XP_002885001.1
OG0001376	Om003G091280	XP_020870918.1
OG0001377	Om006G273910, Om006G273900	XP_002883017.1
OG0001377	Om002G062970	XP_002883018.1
OG0001378	Om003G099550	XP_020868743.1
OG0001378	Om002G064510	XP_020889242.1
OG0001379	Om002G067520	XP_020888584.1
OG0001379	Om003G097120	XP_020867110.1
OG0001380	Om003G096990	XP_002894255.1
OG0001380	Om002G067680	XP_020886279.1
OG0001381	Om005G190250	XP_002862238.2, XP_002894249.2, XP_002894248.2
OG0001381	Om003G099980	XP_020866173.1
OG0001382	Om004G154100	XP_020884240.1
OG0001383	Om001G025430, Om001G025440	XP_020875308.1
OG0001383	Om008G337760	XP_020874586.1, XP_002863804.1
OG0001384	Om005G226620	XP_002880490.2
OG0001391	Om002G055930	XP_020888341.1
OG0001391	Om002G055900, Om002G055910	XP_002884894.1
OG0001392	Om001G033620	XP_002867095.1
OG0001392	Om002G082830	XP_020887999.1
OG0001393	Om002G083710	XP_002886100.1
OG0001393	Om001G034290	XP_020874363.1
OG0001395	Om001G017560	XP_020873710.1
OG0001395	Om003G118160	XP_002864422.1
OG0001397	Om005G188800	XP_020867876.1
OG0001397	Om005G219700	XP_002888198.1
OG0001398	Om006G275330	XP_020880919.1
OG0001398	Om005G195600	XP_020868587.1
OG0001399	Om006G274430	XP_020880426.1
OG0001399	Om005G194500	XP_002892802.1
OG0001400	Om005G192980	XP_002889996.1
OG0001401	Om007G316150	XP_002870751.1
OG0001401	Om007G300200	XP_002873713.1
OG0001402	Om007G315710	XP_002870769.1
OG0001403	Om005G225360	XP_020865992.1
OG0001403	Om005G191810	XP_002889932.1
OG0001404	Om005G191440	XP_020868224.1
OG0001405	Om004G172430	XP_002873173.1
OG0001405	Om002G053760	XP_020886853.1
OG0001406	Om001G039040	XP_020873027.1
OG0001406	Om005G206430	XP_020878899.1
OG0001407	Om003G114110	XP_020890355.1
OG0001407	Om001G021830	XP_020872083.1
OG0001409	Om006G233910	XP_002864862.1
OG0001409	Om004G167300	XP_020877269.1
OG0001410	Om008G361440	XP_020869647.1
OG0001410	Om001G001020	XP_020875001.1
OG0001411	Om001G001800	XP_020874374.1, XP_002870062.1
OG0001411	Om001G001790	XP_002870063.2
OG0001412	Om001G004560	XP_020872411.1
OG0001412	Om008G357580	XP_020882647.1
OG0001412	Om002G088670	XP_020866027.1
OG0001413	Om001G008170	XP_020873434.1
OG0001414	Om001G012140, Om001G012130	XP_020866637.1, XP_002893765.1, XP_002865334.1
OG0001415	Om008G340660	XP_020882717.1
OG0001415	Om007G288810	XP_020869339.1
OG0001416	Om007G289920	XP_020867235.1
OG0001417	Om001G036800	XP_002869019.2
OG0001417	Om004G155350, Om004G152970	XP_002880527.1
OG0001418	Om001G040730	XP_002868892.1
OG0001418	Om004G155940	XP_020884489.1
OG0001419	Om006G250550	XP_020881646.1
OG0001420	Om008G354210	XP_002874812.1, XP_020878717.1
OG0001420	Om001G008240	XP_002869856.1
OG0001420	Om001G008280	XP_002869852.1
OG0001422	Om002G047000	XP_020886362.1
OG0001422	Om007G293430	XP_002874403.1
OG0001423	Om008G322990	XP_020870747.1, XP_020883907.1
OG0001423	Om003G124870	XP_020880879.1
OG0001424	Om004G173780	XP_020878253.1
OG0001425	Om006G268320	XP_002877261.1
OG0001425	Om006G242430	XP_002871954.1
OG0001427	Om004G158300	XP_002874998.1
OG0001427	Om005G178500	XP_002892067.1
OG0001428	Om005G179670	XP_020868246.1
OG0001428	Om004G159920	XP_020878261.1
OG0001429	Om004G159960	XP_020877969.1
OG0001429	Om003G128350	XP_002876686.1
OG0001430	Om005G181350	XP_020870451.1
OG0001431	Om005G181950	XP_002889525.1
OG0001431	Om007G279030	XP_002879409.1
OG0001432	Om005G183280	XP_020867690.1
OG0001432	Om007G280280	XP_002877944.1, XP_020885708.1
OG0001433	Om005G184040	XP_002892347.1
OG0001433	Om007G281110	XP_002879287.1
OG0001434	Om007G282800	XP_020885348.1, XP_020873860.1
OG0001434	Om004G170770	XP_002873234.1
OG0001435	Om005G185610	XP_002892418.1
OG0001435	Om007G283330	XP_020885140.1
OG0001436	Om007G296660	XP_020877783.1
OG0001436	Om002G045150	XP_002884399.1
OG0001437	Om007G296370	XP_002871787.1
OG0001437	Om002G045350	XP_020887007.1
OG0001438	Om007G293250	XP_020876962.1
OG0001438	Om002G046680	XP_020889000.1
OG0001439	Om004G140270	XP_002888953.1
OG0001439	Om005G200110	XP_020867086.1
OG0001440	Om005G204130	XP_002890456.2
OG0001440	Om004G134810	XP_002887683.1
OG0001441	Om004G142990	XP_002887418.1
OG0001441	Om005G205040	XP_002893236.1
OG0001442	Om005G207110	XP_002887330.1
OG0001442	Om004G143360	XP_020866029.1
OG0001443	Om005G208910	XP_002888732.1
OG0001444	Om007G286480, Om007G286460, Om007G286440, Om007G286470, Om007G286450	XP_020873750.1, XP_020873740.1, XP_020873735.1
OG0001445	Om005G189450	XP_020884617.1
OG0001445	Om005G189440	XP_002889836.2
OG0001446	Om004G168070	XP_002871299.1
OG0001446	Om006G237030	XP_002866419.1
OG0001447	Om004G143050	XP_002887416.1
OG0001447	Om004G143080	XP_002887414.1
OG0001448	Om003G090990	XP_002894488.1
OG0001448	Om002G058270	XP_020888057.1
OG0001449	Om002G059130	XP_002885032.1
OG0001449	Om003G091940	XP_002891775.1
OG0001450	Om003G091950	XP_002891774.1
OG0001450	Om002G059150	XP_020886846.1
OG0001451	Om003G093630	XP_002894422.1
OG0001452	Om003G093850	XP_020868052.1
OG0001452	Om002G060900	XP_020888633.1
OG0001453	Om003G094190	XP_020870956.1
OG0001454	Om002G061580	XP_020889475.1
OG0001454	Om003G094410	XP_002894383.1
OG0001455	Om002G063020	XP_020889213.1
OG0001455	Om003G100700	XP_020875330.1
OG0001456	Om002G067510	XP_020869528.1, XP_020869526.1, XP_020888588.1
OG0001456	Om003G097130	XP_002891573.1
OG0001457	Om002G068010	XP_020887968.1
OG0001457	Om003G096780	XP_020869093.1
OG0001459	Om005G203490, Om005G203470	XP_020869476.1
OG0001464	Om001G025060	XP_020872511.1
OG0001464	Om002G086890	XP_020889557.1
OG0001465	Om002G086750	XP_020886557.1
OG0001465	Om001G025360	XP_020874024.1
OG0001466	Om001G027980	XP_002867294.1
OG0001469	Om005G221120, Om006G260170	XP_020877215.1
OG0001470	Om008G338210	XP_002879568.1
OG0001471	Om005G189730	XP_002892611.1
OG0001472	Om005G195390	XP_020866504.1
OG0001473	Om006G274420	XP_020880428.1
OG0001473	Om005G194490	XP_020870392.1
OG0001475	Om005G191310	XP_002889907.1
OG0001475	Om005G224670	XP_020891481.1
OG0001477	Om004G169220	XP_020879500.1
OG0001478	Om002G052340	XP_002884748.1
OG0001478	Om004G174870	XP_002873071.1
OG0001479	Om003G124840	XP_002876543.1
OG0001480	Om007G285890	XP_002867630.1
OG0001481	Om004G161670	XP_020878352.1, XP_020886062.1, XP_020886059.1, XP_020886060.1
OG0001482	Om004G164380	XP_020878249.1
OG0001482	Om006G239940	XP_002872145.1
OG0001483	Om006G239530	XP_002872132.1
OG0001483	Om004G165050	XP_002871431.1
OG0001484	Om004G165080	XP_020876764.1
OG0001484	Om006G239500	XP_020878608.1
OG0001485	Om004G167070	XP_020878761.1
OG0001485	Om006G233730	XP_020885079.1
OG0001486	Om004G167310	XP_020877988.1
OG0001486	Om006G233960	XP_002866568.1
OG0001487	Om006G237600	XP_020877403.1
OG0001487	Om004G167840	XP_020879519.1
OG0001488	Om001G000580	XP_002870095.1
OG0001488	Om008G362000	XP_002863361.1
OG0001489	Om008G353670	XP_002872677.1
OG0001489	Om001G008780	XP_002867781.1
OG0001490	Om007G289490	XP_020867609.1
OG0001490	Om008G340460	XP_002879480.1
OG0001491	Om007G296320, Om007G292820, Om007G290420, Om001G003260	XP_002875741.1, XP_020867367.1
OG0001492	Om001G040700	XP_020872546.1
OG0001493	Om007G287820	XP_020866872.1
OG0001493	Om008G341470	XP_002863697.1
OG0001494	Om008G352950, Om008G352970	XP_020877665.1
OG0001495	Om008G362610	XP_002865114.1
OG0001495	Om008G362600	XP_002865115.1
OG0001496	Om002G073340	XP_020887700.1
OG0001496	Om003G103910	XP_002870373.2
OG0001497	Om003G101750, Om005G195880	XP_002870253.1
OG0001497	Om003G101790, Om003G101760	XP_020875008.1, XP_002870255.2
OG0001498	Om005G181210	XP_002889494.1
OG0001499	Om008G319160	XP_020883169.1, XP_002878480.1
OG0001500	Om008G319880	XP_020884366.1
OG0001500	Om003G127900	XP_020880147.1
OG0001501	Om008G320300, Om003G094850	XP_020883919.1
OG0001502	Om008G323120	XP_002881976.1
OG0001502	Om003G124860	XP_020880877.1
OG0001503	Om003G124290	XP_020881272.1
OG0001503	Om008G323980	XP_020884277.1
OG0001504	Om003G123850	XP_020882215.1
OG0001504	Om008G325120	XP_020883767.1
OG0001505	Om003G123720	XP_020881472.1
OG0001505	Om008G325410	XP_002881895.1
OG0001506	Om002G051310	XP_002882587.1
OG0001506	Om004G176920	XP_020878642.1
OG0001507	Om006G246570	XP_002864620.1
OG0001508	Om006G261900	XP_002877615.1
OG0001508	Om006G234200	XP_002866555.2
OG0001509	Om006G259970	XP_020882194.1
OG0001509	Om006G231280	XP_002866690.1
OG0001510	Om007G280310	XP_020878140.1, XP_020884120.1
OG0001510	Om005G183290	XP_020867692.1
OG0001511	Om005G185720	XP_020868705.1
OG0001511	Om007G283470	XP_002879167.1
OG0001512	Om005G186140	XP_020869561.1
OG0001512	Om007G284260	XP_020883807.1
OG0001513	Om002G042980	XP_020888154.1
OG0001514	Om002G045810	XP_002884427.1
OG0001515	Om002G048100	XP_020865722.1, XP_020886133.1, XP_002874712.2, XP_002874721.2
OG0001516	Om002G049260	XP_020886821.1
OG0001517	Om006G251060	XP_020880437.1
OG0001517	Om008G330500	XP_020883942.1
OG0001518	Om008G330630	XP_020885674.1
OG0001518	Om006G251210	XP_020882492.1
OG0001519	Om004G140300	XP_020889634.1
OG0001519	Om005G200090	XP_020867084.1
OG0001520	Om006G263160	XP_002877600.1
OG0001520	Om005G200890	XP_002890310.1
OG0001521	Om004G135310	XP_020890845.1
OG0001522	Om005G205690	XP_020868616.1
OG0001522	Om005G206910	XP_002887338.1
OG0001523	Om005G207890	XP_020865608.1
OG0001524	Om008G358820	XP_020869053.1
OG0001524	Om006G236220	XP_002866458.1
OG0001526	Om005G177980	XP_002892041.1
OG0001526	Om006G261330	XP_020881571.1
OG0001526	Om003G126190	XP_020883590.1
OG0001527	Om007G301640	XP_020876336.1, XP_002893911.1
OG0001527	Om004G130600	XP_020890383.1
OG0001528	Om007G300570	XP_020878035.1
OG0001529	Om005G191160	XP_002873931.1
OG0001530	Om001G041070	XP_002868470.1, XP_002891897.2
OG0001531	Om004G170570	XP_002871203.1
OG0001532	Om006G247300	XP_002866292.2
OG0001533	Om006G258630, Om006G258620	XP_020881881.1, XP_002876032.1, XP_002876033.1
OG0001534	Om004G132350, Om004G132360	XP_020865719.1, XP_020890428.1
OG0001535	Om003G090220	XP_002894511.1
OG0001535	Om002G057550	XP_002882820.1
OG0001536	Om002G058050	XP_020888907.1
OG0001536	Om003G090860	XP_020869277.1
OG0001537	Om003G094070	XP_020867820.1
OG0001537	Om002G061210	XP_002885097.1
OG0001538	Om002G062610	XP_020889133.1
OG0001538	Om003G095130	XP_020868345.1
OG0001539	Om001G007730, Om001G007640	XP_002885685.1
OG0001539	Om003G092250	XP_002885684.1
OG0001540	Om008G340100	XP_002881339.1, XP_002881014.1, XP_002881338.1
OG0001541	Om001G025840	XP_020869848.1, XP_002891930.1
OG0001541	Om003G128290	XP_020879705.1
OG0001544	Om003G101460	XP_020874432.1
OG0001544	Om003G101450, Om006G250200, Om006G250210, Om003G101440, Om005G215050	XP_002868199.1
OG0001545	Om008G358070	XP_002865272.1, XP_002865271.1
OG0001546	Om008G333560, Om008G333570, Om008G333580	XP_020884354.1, XP_020885741.1, XP_020889574.1
OG0001547	Om002G068490	XP_020887306.1
OG0001549	Om002G088380	XP_020887163.1
OG0001549	Om001G022730	XP_002867448.1
OG0001551	Om001G027710	XP_020874472.1
OG0001551	Om004G153310, Om018G373980	XP_020883908.1
OG0001552	Om001G028840	XP_002867265.1
OG0001553	Om005G221080	XP_002886607.1
OG0001553	Om005G189290	XP_002892586.2
OG0001554	Om005G190820	XP_020866929.1
OG0001554	Om005G223930	XP_020890608.1
OG0001555	Om005G192930	XP_020869889.1
OG0001555	Om006G273340	XP_002876920.1
OG0001556	Om008G336560	XP_020883460.1
OG0001556	Om006G272340	XP_020880096.1
OG0001558	Om004G172910	XP_020876997.1
OG0001558	Om002G053430	XP_020886650.1
OG0001559	Om003G107570	XP_002865753.1
OG0001560	Om005G199190, Om005G199900	XP_020871825.1
OG0001561	Om003G113700	XP_002864181.1, XP_020872491.1
OG0001562	Om003G118300	XP_002866125.1
OG0001562	Om004G172250, Om003G118290	XP_020876009.1
OG0001563	Om006G241030	XP_020879392.1
OG0001563	Om004G162330	XP_020878383.1
OG0001564	Om008G335730	XP_020883436.1
OG0001564	Om008G325320, Om008G325290, Om005G202470	XP_020867038.1
OG0001565	Om004G168220	XP_020878455.1
OG0001565	Om006G236930	XP_002864724.1
OG0001566	Om001G003510	XP_020874546.1
OG0001567	Om001G013140	XP_020868493.1
OG0001567	Om001G013120	XP_020868491.1
OG0001568	Om007G289080, Om007G289090	XP_020868244.1, XP_020868243.1, XP_020870418.1, XP_020870416.1
OG0001569	Om008G340300	XP_020883214.1
OG0001569	Om007G289800	XP_020867499.1
OG0001570	Om003G123760	XP_002876507.2
OG0001570	Om007G291650	XP_020868658.1
OG0001571	Om002G084010	XP_002884056.2
OG0001572	Om001G039360	XP_020874628.1
OG0001573	Om001G039820	XP_020875633.1
OG0001574	Om001G040780	XP_020874414.1
OG0001574	Om004G156020	XP_020884488.1
OG0001575	Om004G156180	XP_002880375.1
OG0001575	Om001G041040	XP_020875228.1
OG0001576	Om001G029490, Om002G058950	XP_002870808.2
OG0001577	Om007G315560	XP_002870777.1
OG0001578	Om008G362670, Om006G237840	XP_020888818.1
OG0001579	Om001G000100	XP_020874753.1
OG0001579	Om008G362650	XP_002863338.1
OG0001581	Om003G128570	XP_002878482.1
OG0001581	Om008G319170	XP_002880317.1
OG0001582	Om003G124270	XP_020880398.1
OG0001582	Om008G324000	XP_020883434.1
OG0001583	Om008G326860	XP_020885016.1
OG0001583	Om003G121060	XP_020881292.1
OG0001584	Om003G120740	XP_020881608.1
OG0001584	Om008G327650	XP_002879955.1
OG0001585	Om003G120340	XP_002876403.1
OG0001585	Om008G327920	XP_020884024.1
OG0001586	Om006G240880, Om006G240890, Om006G240900	XP_020878926.1
OG0001587	Om006G244320	XP_002874097.1
OG0001588	Om006G246680	XP_002866317.1, XP_002877515.1
OG0001589	Om006G261670	XP_002875918.1
OG0001590	Om006G251960	XP_002876300.1
OG0001590	Om006G231330	XP_020871654.1
OG0001591	Om005G179700	XP_020867327.1
OG0001591	Om004G159940	XP_020878256.1
OG0001592	Om005G180140	XP_002889445.1
OG0001592	Om004G160470, Om004G160460	XP_020878325.1
OG0001593	Om007G278260	XP_002879450.1
OG0001593	Om005G181680	XP_002892219.1
OG0001594	Om005G182480, Om005G182470	XP_020870787.1
OG0001594	Om007G279340	XP_002881221.1, XP_020885310.1
OG0001594	Om005G182490	XP_020870789.1
OG0001595	Om002G044690	XP_020885940.1
OG0001596	Om007G296130	XP_020878196.1
OG0001596	Om002G045490	XP_002882316.1
OG0001597	Om002G048240	XP_002884540.1
OG0001598	Om002G048810	XP_002882460.1
OG0001599	Om001G034380	XP_020880373.1
OG0001599	Om002G050380	XP_002865298.1
OG0001600	Om008G336990	XP_002881452.1
OG0001601	Om005G199270	XP_002892967.1
OG0001601	Om004G141820	XP_002888909.1
OG0001602	Om004G135040	XP_020890517.1
OG0001603	Om005G207310	XP_020891529.1
OG0001604	Om004G143680	XP_020867671.1
OG0001604	Om005G207450	XP_002887312.1
OG0001605	Om004G143720	XP_002893280.1
OG0001605	Om005G207530	XP_002887308.1
OG0001606	Om004G152170	XP_002880517.2
OG0001607	Om005G192070	XP_020870917.1
OG0001607	Om005G225600	XP_020891191.1
OG0001608	Om005G190190, Om005G190200	XP_020866044.1
OG0001609	Om007G294970	XP_020878974.1
OG0001609	Om005G180160	XP_002892154.1
OG0001610	Om002G053700, Om004G172500	XP_020876051.1
OG0001611	Om004G137880	XP_020889649.1
OG0001611	Om004G137870	XP_020889650.1
OG0001612	Om002G057420	XP_002882816.1
OG0001612	Om003G090050	XP_002894521.1
OG0001613	Om003G093520	XP_020867161.1
OG0001613	Om002G060570	XP_020886017.1
OG0001614	Om003G095940	XP_002894313.1
