Orthogroup	Odontarrhena_muralis	Arabidopsis_lyrata_Rawat
OG0002543	Om008G321630	AL4G44950
OG0002543	Om003G126150	AL5G43430
OG0002544	Om008G324390	AL4G42720
OG0002544	Om003G124160	AL5G41930
OG0002545	Om008G327780	AL4G39740
OG0002545	Om003G120490	AL5G38910
OG0002546	Om005G223600, Om005G223580, Om005G223690	AL4G40040
OG0002547	Om003G120350	AL5G38690
OG0002547	Om008G327970	AL4G39530
OG0002548	Om007G278310, Om008G333730	AL4G35730
OG0002548	Om004G174130	AL6G13070
OG0002551	Om006G245990	AL8G36040
OG0002552	Om005G189940, Om006G261690	AL5G28070
OG0002552	Om006G234150	AL8G40560
OG0002553	Om006G230380	AL8G44290
OG0002553	Om006G258940	AL5G30440
OG0002554	Om008G349110, Om006G229790, Om006G229770	AL8G44880, AL8G44890
OG0002555	Om004G158540	AL6G52610
OG0002555	Om005G178760	AL1G11340
OG0002556	Om004G158740	AL6G51830
OG0002556	Om005G178920	AL1G11510
OG0002557	Om005G183350	AL1G15860
OG0002557	Om007G280420	AL4G26720
OG0002558	Om002G081980, Om004G142620	AL1G52050, AL1G51930
OG0002558	Om001G019410	AL7G25820, AL2G26020
OG0002559	Om002G042630	AL3G10640
OG0002559	Om007G301000	AL6G25460
OG0002560	Om007G300020	AL6G26200
OG0002560	Om002G043100	AL3G11130
OG0002561	Om007G297980	AL6G27660
OG0002562	Om007G293330	AL6G40350
OG0002562	Om002G046800	AL3G15240
OG0002563	Om008G358000	AL3G11490, AL8G13590
OG0002564	Om002G048840, Om002G048850	AL3G17250, AL6G30140
OG0002565	Om006G255810	AL4G32150
OG0002566	Om008G335590	AL4G33890
OG0002567	Om005G197230	AL1G28440
OG0002568	Om004G137960	AL2G35300
OG0002568	Om005G201600	AL1G32370
OG0002569	Om004G136990	AL2G36140
OG0002569	Om005G202460	AL1G33170
OG0002570	Om005G202540	AL1G33390
OG0002571	Om004G135920	AL2G36670
OG0002571	Om005G203100	AL1G33960
OG0002572	Om004G134930	AL2G37510
OG0002572	Om005G203930	AL1G34750
OG0002573	Om005G208210	AL2G29410
OG0002573	Om004G144750	AL1G37980
OG0002574	Om004G146730	AL1G39600
OG0002574	Om005G210500	AL2G27610
OG0002575	Om005G194880, Om005G194980, Om005G194910, Om005G195000, Om001G025040	AL3G41580, AL3G41420
OG0002577	Om005G185180	AL1G17590
OG0002578	Om005G183810	AL1G16370
OG0002578	Om005G183800	AL1G16360
OG0002580	Om007G279840	AL4G27350
OG0002580	Om005G182880	AL1G15350
OG0002581	Om005G178870, Om007G305570	AL1G11450, AL1G22540
OG0002582	Om008G330130	AL4G38080
OG0002583	Om006G260240	AL5G29400
OG0002583	Om006G239330	AL6G36250
OG0002584	Om006G247270	AL8G35080
OG0002585	Om006G245810	AL8G36220
OG0002586	Om006G267290	AL5G20720, AL5G24630
OG0002587	Om005G201720	AL1G32470
OG0002587	Om004G138100	AL2G35430
OG0002588	Om004G139700	AL2G34170
OG0002588	Om005G200420, Om005G200430	AL1G31100, AL7G41340, AL7G41360
OG0002589	Om004G142230	AL2G32430
OG0002590	Om002G058800	AL3G26330
OG0002590	Om003G091560	AL1G62780
OG0002591	Om002G057760	AL3G25420
OG0002591	Om003G090550	AL1G63410
OG0002592	Om003G091390	AL1G62850
OG0002592	Om005G219360, Om002G058660	AL3G26250
OG0002593	Om002G060860	AL3G28040
OG0002594	Om003G094080	AL1G61050
OG0002594	Om002G061220	AL3G28250
OG0002595	Om002G061900	AL3G28750
OG0002595	Om003G094740	AL1G60440
OG0002596	Om002G062960	AL3G29570
OG0002596	Om003G100750	AL7G39370
OG0002597	Om002G063790	AL3G30280
OG0002597	Om003G099940	AL1G54550
OG0002598	Om002G064590	AL3G31010
OG0002599	Om002G069870	AL3G35890
OG0002600	Om002G043700	AL3G11690
OG0002600	Om003G102660	AL7G41650
OG0002601	Om001G038450	AL4G17060
OG0002601	Om001G029380	AL7G19310
OG0002602	Om002G057020	AL3G24790
OG0002603	Om003G095950	AL1G59240
OG0002604	Om007G278920, Om001G026100, Om001G006080, Om007G278910	AL1G56150, AL1G56240
OG0002605	Om003G119300	AL5G37770
OG0002605	Om008G329110	AL4G34480, nbis-gene-1133
OG0002606	Om008G326970	AL4G40540
OG0002607	Om003G117210, Om003G124640	AL5G42350
OG0002608	Om001G031230	AL3G37360
OG0002608	Om003G092420, Om002G073240	AL3G39210, AL3G39180
OG0002610	Om001G000970	AL7G36670
OG0002610	Om008G359690	AL8G12260
OG0002611	Om008G332990, Om008G332980	AL4G36170
OG0002612	Om001G029260	AL7G19460
OG0002612	Om001G029250	AL7G19470
OG0002614	Om005G192350	AL1G24460, AL5G15690
OG0002615	Om005G204330	AL1G35160
OG0002615	Om005G204320	AL1G35300
OG0002616	Om007G290040	AL5G23070, AL5G23090, AL5G22990, AL5G23050, AL3G34400, AL126U10040, AL3G34320
OG0002617	Om001G003280, Om001G003330, Om001G003320	AL7G52830, AL7G52820, AL7G52840
OG0002618	Om006G233830	AL8G40950, AL8G40970, AL8G40980
OG0002622	Om002G088000	AL3G47830
OG0002622	Om001G023370	AL7G23750
OG0002623	Om001G027230	AL4G14640
OG0002624	Om001G029870	AL7G18930
OG0002625	Om006G269700	AL2G20620
OG0002626	Om001G032770	AL7G16780
OG0002627	Om001G032930	AL7G16640
OG0002627	Om002G082410	AL3G52520
OG0002628	Om001G033610	AL7G16220
OG0002629	Om008G339210	AL4G31090
OG0002629	Om007G291820	AL1G45650
OG0002630	Om007G277280	AL1G46120, AL4G31610, AL212U10010
OG0002631	Om007G276150	AL7G37930
OG0002632	Om005G218520, Om011G366000	AL1G66150
OG0002632	Om005G187310	AL1G19740
OG0002633	Om005G187900	AL1G20190
OG0002634	Om005G219420	AL2G17680
OG0002635	Om005G190430	AL1G22580
OG0002635	Om005G223400	AL2G14420
OG0002636	Om005G195180	AL1G26730
OG0002636	Om006G275000	AL5G10960
OG0002637	Om005G193990	AL1G25860
OG0002637	Om006G274080	AL5G12920
OG0002638	Om005G192960	AL1G24940
OG0002639	Om006G271850	AL5G15970
OG0002639	Om004G175210	AL6G12060
OG0002640	Om006G270780	AL5G18590
OG0002641	Om007G315580	AL7G50800
OG0002642	Om005G212770	AL2G25760
OG0002643	Om007G314320	AL7G46640
OG0002643	Om005G213670, Om008G349440	AL2G24180
OG0002644	Om001G020920, Om001G020880	AL7G25140
OG0002645	Om006G249620	nbis-gene-2164, AL8G33120
OG0002645	Om001G018010	AL7G27030
OG0002646	Om004G173350	AL6G13720
OG0002646	Om002G053090	AL3G21580
OG0002647	Om003G107520	AL8G23640
OG0002648	Om003G114570	AL8G27810, nbis-gene-1768
OG0002649	Om003G115280	nbis-gene-124, nbis-gene-2118, AL281U10010
OG0002650	Om003G116030	AL8G29690
OG0002651	Om003G116250	AL8G30080
OG0002652	Om006G249410	AL8G33340
OG0002652	Om002G086410, Om002G086420	AL3G53000
OG0002653	Om004G164630	AL6G21490
OG0002653	Om006G239790	AL6G36760
OG0002654	Om006G231550	AL8G43220, AL112U10050
OG0002654	Om004G165250	AL6G21080
OG0002655	Om004G166030, Om004G166000	AL6G20510
OG0002655	Om006G232090	AL8G42710
OG0002656	Om006G232810	AL8G42020
OG0002656	Om004G166430	AL6G20140
OG0002657	Om001G001370	AL7G36380
OG0002657	Om008G360850, Om008G360860	AL8G11810
OG0002657	Om003G101600	AL7G40180
OG0002658	Om001G006450	AL7G33240
OG0002658	Om001G006470, Om007G317650	AL7G33230
OG0002659	Om001G008860	AL7G31330
OG0002659	Om008G353580	AL6G47650
OG0002660	Om008G353270	AL6G47320
OG0002660	Om001G009240	AL7G30990
OG0002661	Om001G010660	AL7G30000
OG0002661	Om008G351450	AL6G45790
OG0002662	Om001G014200	AL1G50560
OG0002663	Om007G288370	AL1G41630
OG0002664	Om001G035050	AL7G15410
OG0002665	Om002G084860	AL6G43540, AL3G51060
OG0002666	Om001G036230, Om002G068270, Om001G036220	AL7G14560
OG0002667	Om001G036470	AL7G14460
OG0002667	Om002G085650	AL3G51630
OG0002668	Om001G037260, Om001G037280, Om001G037270	AL7G13840, AL7G13850
OG0002669	Om004G154330	AL4G12410
OG0002669	Om001G038670, Om001G038640, Om001G038650	AL7G12920
OG0002670	Om004G155920	AL4G10790
OG0002670	Om001G040720	AL7G11180
OG0002672	Om007G315760	AL7G50580
OG0002673	Om008G343790	AL6G41440
OG0002673	Om005G195110	AL1G26650
OG0002674	Om002G074280	AL6G47460, AL6G47450
OG0002675	Om001G006840	AL7G32980
OG0002675	Om008G355470	AL6G48990
OG0002676	Om003G104840	AL9U11590
OG0002678	Om003G104450	AL3G39170
OG0002678	Om002G073220	AL8G12500
OG0002678	Om003G103880	AL7G42970
OG0002679	Om002G071590	AL7G41590, AL3G37490
OG0002680	Om002G071470	AL3G37380
OG0002681	Om003G126960	AL5G44160
OG0002682	Om008G325580	AL4G41820
OG0002683	Om008G327210, Om008G327190, Om008G327200	AL4G40320
OG0002684	Om008G327800	AL4G39710
OG0002684	Om003G120460	AL5G38890
OG0002685	Om002G051330	AL3G19910
OG0002686	Om004G173370	AL6G13700
OG0002686	Om007G299070	AL6G26820
OG0002687	Om001G029770	AL5G23920
OG0002687	Om006G245030	AL8G36970
OG0002688	Om006G267570	AL5G24510
OG0002688	Om006G245440	AL8G36600
OG0002689	Om006G245930, Om006G245950	AL8G36090
OG0002690	Om006G267000, Om006G245960	AL8G36060
OG0002691	Om006G261800	AL5G28040
OG0002691	Om006G234180	AL8G40530
OG0002692	Om004G157620	AL6G53000
OG0002693	Om005G180250	AL1G12860
OG0002693	Om004G160520	AL6G50000
OG0002694	Om007G293050	AL8G15720
OG0002695	Om007G280230	AL4G26920
OG0002695	Om005G183210	AL1G15740
OG0002696	Om005G185640	AL1G18080
OG0002696	Om007G283290	nbis-gene-1031
OG0002697	Om002G051150	AL3G19730
OG0002697	Om002G051140	AL3G19720
OG0002698	Om002G044740	AL3G12910
OG0002698	Om007G297130	AL6G28460
OG0002699	Om004G156870, Om002G044820	AL3G12970
OG0002700	Om002G045560	AL3G13810
OG0002701	Om002G049880	AL3G18420, AL8G21740
OG0002702	Om006G250810	AL5G37460
OG0002702	Om008G329930	AL4G38220
OG0002704	Om008G336140	AL4G33410
OG0002705	Om006G253600	AL5G35290
OG0002705	Om008G333280	AL4G36000
OG0002706	Om004G131710	AL2G40080
OG0002706	Om005G197250	AL1G28470
OG0002707	Om004G141160	AL2G33180
OG0002707	Om005G199470	AL1G30290
OG0002708	Om004G137980	AL2G35310
OG0002708	Om005G201610	AL1G32380
OG0002709	Om004G135410	AL2G37070
OG0002709	Om005G203530	AL1G34410
OG0002710	Om005G205410	AL1G36420
OG0002710	Om005G206380	AL2G31030
OG0002711	Om004G144560	AL1G37810
OG0002712	Om005G210530	AL2G27590, AL1G39750
OG0002713	Om005G210560	AL2G27570
OG0002714	Om005G195780	nbis-gene-88
OG0002715	Om008G335830, Om006G275190	AL5G10700
OG0002715	Om005G195500	AL1G26930
OG0002716	Om005G188890	AL1G21110
OG0002717	Om007G298470	AL6G27290
OG0002717	Om004G136830, Om004G136840	AL2G35970
OG0002718	Om007G297190	AL6G28410
OG0002719	Om006G239420	AL6G36370, AL6G36360, AL6G36400
OG0002720	Om006G257880	AL113U10020
OG0002721	Om006G260380	AL5G29120
OG0002721	Om006G239060	AL6G35990
OG0002722	Om005G209590	AL2G28380
OG0002723	Om004G133920	AL2G38400
OG0002723	Om005G204700	AL1G35660
OG0002724	Om005G202940	AL1G33820
OG0002724	Om004G136150	AL2G36510
OG0002725	Om002G057080	AL3G24840
OG0002725	Om002G057070	AL3G24830
OG0002726	Om002G060810	AL3G28000
OG0002726	Om003G093780	AL1G61280
OG0002727	Om003G094840	AL1G60280
OG0002727	Om002G062180	AL3G28940
OG0002728	Om003G097960	AL1G57020
OG0002728	Om002G066520	AL3G32540
OG0002729	Om002G068340	AL3G34360
OG0002730	Om002G069810	AL3G35810
OG0002731	Om002G070720	nbis-gene-758
OG0002731	Om003G102190	AL7G40920
OG0002732	Om003G095040, Om003G095020	AL1G60140
OG0002732	Om003G095090	AL1G60120
OG0002733	Om003G098420	AL1G56260, AL1G56180
OG0002734	Om008G339900	AL4G30570
OG0002735	Om006G254820	AL5G34220, AL5G32350
OG0002736	Om008G334650	AL4G34960
OG0002736	Om006G253880	AL5G35120
OG0002737	Om008G329140	AL4G38690
OG0002737	Om003G119290	AL5G37760
OG0002738	Om008G362730, Om004G135450, Om008G362740	AL8G10370
OG0002739	Om006G259500	AL5G29980
OG0002739	Om006G230820	AL8G43900
OG0002740	Om003G123360, Om003G123350	AL5G41070
OG0002741	Om005G201440	AL2G27440
OG0002741	Om004G147080	AL1G39840
OG0002743	Om001G031070	nbis-gene-1723
OG0002743	Om001G031110	nbis-gene-1722
OG0002745	Om005G190950, Om005G190960	AL1G22960
OG0002746	Om005G193830	AL1G25690
OG0002746	Om006G273940	AL5G13240
OG0002748	Om004G166360	AL6G20210
OG0002748	Om006G232730	AL8G42080
OG0002749	Om003G119030	AL8G32170
OG0002750	Om005G213150	AL2G25110, AL2G25120, AL2G25220, AL7G52650
OG0002753	Om001G022380	AL7G24280
OG0002754	Om001G023760	AL7G23400
OG0002754	Om002G087900	AL3G47950
OG0002755	Om001G028310	AL7G20280
OG0002757	Om001G032800	AL3G52320, AL7G16750
OG0002758	Om001G033730	AL3G49560
OG0002760	Om007G276790	AL4G31370, AL7G28140
OG0002761	Om005G225420	AL2G17180, AL2G16970, AL2G16990
OG0002762	Om005G223750	AL2G14290
OG0002762	Om005G190640	AL1G22720
OG0002763	Om005G195540	AL1G26970
OG0002764	Om005G193700	AL1G25520
OG0002764	Om006G273760	AL5G13420
OG0002765	Om004G167630	AL6G18840
OG0002766	Om007G314260	AL7G46560
OG0002767	Om005G225810	AL2G12330
OG0002767	Om005G192280	AL1G24390, AL1G24240
OG0002768	Om006G250360	AL8G32460
OG0002769	Om002G051970, Om002G051980	AL3G20600
OG0002769	Om008G351510	AL3G20590
OG0002770	Om003G111920	AL8G24880
OG0002771	Om006G232170	AL8G42600
OG0002772	Om006G233690	AL8G41110
OG0002772	Om004G167030	AL6G19650
OG0002773	Om004G168820, Om004G168770	AL6G17770
OG0002773	Om006G236440	AL8G38380
OG0002774	Om001G005210	AL7G33970
OG0002774	Om008G356980	AL8G14640, AL8G14610
OG0002775	Om001G005390	AL7G33850
OG0002775	Om008G356880	AL8G14740
OG0002776	Om001G007460	AL7G32480
OG0002776	Om001G007450	AL7G32490
OG0002777	Om001G008140	AL7G31970
OG0002778	Om001G006980	AL7G30360, AL4G16290
OG0002779	Om001G012920	AL1G48560
OG0002779	Om001G012910	AL1G48480
OG0002780	Om001G014540	AL1G50880, AL1G50870
OG0002781	Om001G038440	AL7G13100
OG0002782	Om001G039650	AL7G12160
OG0002783	Om001G041150	AL7G10790, AL2G17580
OG0002784	Om008G362160	AL8G10840
OG0002785	Om003G106070	AL7G44190
OG0002785	Om002G077980	AL3G43970
OG0002786	Om004G139510, Om002G077800, Om001G029450	AL3G43810
OG0002787	Om003G106580	AL7G44580
OG0002788	Om002G071780	AL3G37790
OG0002789	Om002G071170	AL166U10010, AL3G37130
OG0002789	Om003G102480	AL7G41200
OG0002790	Om002G070590	AL3G36580
OG0002790	Om002G070610	AL3G36610
OG0002791	Om003G101580	AL7G40160
OG0002791	Om002G069720	AL3G35770
OG0002792	Om007G316750	AL7G49720
OG0002792	Om002G054810	AL3G17410
OG0002793	Om008G320090	AL4G46490
OG0002793	Om003G127760	nbis-gene-1410
OG0002794	Om003G125810	AL5G43060
OG0002795	Om003G124940	AL5G42540
OG0002796	Om008G324990	AL4G42370
OG0002797	Om003G121020	AL5G39450
OG0002797	Om008G326850	AL4G40670
OG0002798	Om008G327430	AL4G39860, AL4G40080
OG0002798	Om003G120540	AL5G38950
OG0002799	Om004G176720	AL6G10710
OG0002800	Om004G174080	AL6G13120
OG0002801	Om006G242580	AL5G21270
OG0002802	Om006G242930	AL5G21710, AL6G32650
OG0002803	Om006G266300	AL5G26300
OG0002803	Om006G247160	AL3G40320, AL8G35200
OG0002804	Om006G258890	AL5G30460, AL8G44340
OG0002805	Om007G282270	AL4G24450
OG0002806	Om004G158840	AL6G51710
OG0002807	Om004G160720	AL6G49870
OG0002807	Om005G180360	AL1G12950
OG0002808	Om007G279420, Om007G279410	AL4G27830
OG0002808	Om005G182400	AL1G14920
OG0002809	Om007G280580	AL4G26590
OG0002810	Om005G184140	AL1G16680
OG0002810	Om007G281200	AL4G25730
OG0002812	Om007G284670	AL4G21400
OG0002813	Om002G042450	AL3G10460
OG0002813	Om007G301390	AL6G25100
OG0002814	Om007G299550	AL6G26470
OG0002814	Om002G043490	AL3G11450
OG0002815	Om002G044830	AL288U10020, AL3G12980
OG0002815	Om007G297030	AL6G28540
OG0002816	Om002G045890	AL492U10010, AL3G14140
OG0002817	Om007G295770	AL6G29740
OG0002818	Om002G046980	AL3G15380
OG0002819	Om007G295120	AL6G30380
OG0002819	Om002G048670	AL3G17040
OG0002821	Om002G049510	AL3G17950
OG0002821	Om007G304040	AL8G22720
OG0002822	Om002G046350	AL3G14620
OG0002823	Om006G255600	AL5G33520
OG0002823	Om008G337460	AL4G32350
OG0002824	Om006G254050	AL5G34910
OG0002824	Om008G334860	AL4G34790
OG0002825	Om004G130210	AL2G41230
OG0002825	Om005G196210	AL1G27600
OG0002826	Om004G131270	AL2G40470
OG0002826	Om005G196940	AL1G28180
OG0002827	Om005G198760	AL1G29760
OG0002827	Om004G142370	AL2G32340
OG0002828	Om005G198790	AL1G29790
OG0002828	Om004G142330	AL2G32380
OG0002829	Om005G199440, Om005G199430	AL1G30250
OG0002829	Om004G141650	AL2G33020
OG0002830	Om004G139310	AL2G34450
OG0002831	Om004G138970	AL2G34650
OG0002831	Om005G200810	AL1G31490
OG0002832	Om005G202620	AL1G33470
OG0002832	Om004G136520	AL2G36340
OG0002833	Om005G202630	AL1G33480
OG0002833	Om004G136510	AL2G36350
OG0002834	Om004G144470	AL1G37620
OG0002834	Om005G208000	AL2G29590
OG0002835	Om005G209680	AL2G28330
OG0002835	Om004G146400	AL1G39400
OG0002836	Om005G210220	AL2G27810, AL1G39740
OG0002837	Om005G210950	AL2G27300
OG0002838	Om001G006670, Om002G051050	AL7G28960
OG0002840	Om001G040750	AL7G11120
OG0002840	Om004G155980	AL4G10730
OG0002841	Om007G279460	AL4G27860
OG0002841	Om005G182370	AL1G14900
OG0002842	Om005G180110, Om005G180130	AL5G19010, AL1G12730
OG0002844	Om007G300560, Om007G300550	AL6G25710
OG0002845	Om007G295280	AL6G30150
OG0002846	Om007G303550	AL8G23320, AL253U10010, AL5G27650
OG0002847	Om002G056780	AL3G24590
OG0002847	Om003G089590	AL1G64320
OG0002848	Om006G239100	AL6G36030
OG0002849	Om006G260470	AL5G29020
OG0002849	Om006G238920	AL6G35760
OG0002850	Om006G236350	AL8G38500
OG0002850	Om006G236370	AL8G38420, AL8G38460
OG0002851	Om006G238240	AL6G34970
OG0002851	Om006G261280	AL5G28370
OG0002852	Om006G238130	AL6G34880
OG0002853	Om004G152780, Om004G152760	AL8G38580
OG0002854	Om006G247310	AL4G13320, AL4G13310
OG0002855	Om002G042780	AL3G10800
OG0002855	Om006G247440	nbis-gene-2169
OG0002856	Om006G247470	AL5G26470, AL8G34920
OG0002857	Om006G259130	AL5G30260
OG0002858	Om006G260610, Om006G260630	AL5G28920
OG0002859	Om006G245760	AL8G36260, AL5G24910
OG0002860	Om001G032850	AL7G16720
OG0002860	Om002G082200	AL3G52360
OG0002861	Om005G179190	AL1G11760
OG0002861	Om005G206880	AL2G30540
OG0002862	Om004G139540	AL2G34280
OG0002863	Om004G130930	AL2G40710
OG0002863	Om005G196710	AL1G28030
OG0002864	Om003G090410	nbis-gene-307
OG0002864	Om002G057700	AL3G25370
OG0002865	Om003G090970	AL1G63130
OG0002865	Om002G058150	AL3G25820
OG0002866	Om002G058560	AL3G26170
OG0002866	Om003G091270	AL1G62920
OG0002867	Om002G058730	AL3G26290
OG0002867	Om003G091480	AL1G62830
OG0002868	Om002G060820	AL3G28010
OG0002869	Om003G096560	AL1G58480
OG0002869	Om002G068310	AL3G34290
OG0002870	Om006G248710	AL132U10020
OG0002871	Om002G081120	AL3G46910
OG0002872	Om001G008150	AL7G31960, AL3G49330
OG0002873	Om001G025790	AL7G21890
OG0002873	Om002G086160	AL3G53110
OG0002874	Om005G177520, Om007G275560	AL3G54170
OG0002874	Om001G022110	AL7G24470
OG0002876	Om003G096250	AL4G25950
OG0002876	Om003G098370	AL1G56300
OG0002877	Om006G252490	AL5G36140
OG0002877	Om008G332170	AL5G26020, AL4G36590
OG0002878	Om008G329300	AL4G38540
OG0002878	Om003G119180	AL5G37710
OG0002879	Om003G120150	AL5G38570
OG0002879	Om008G328200	AL4G39330
OG0002880	Om003G120450	AL5G38880
OG0002881	Om003G120940	AL5G39380
OG0002885	Om002G063510	AL3G29990
OG0002886	Om007G298510	AL6G27240, AL6G27280
OG0002887	Om007G296100	AL6G29350, AL6G25370
OG0002890	Om002G088470	AL3G53730
OG0002890	Om001G022550	AL7G24220
OG0002891	Om001G026250	AL7G21670
OG0002892	Om004G148590	AL4G16440
OG0002893	Om001G028920	AL7G19740
OG0002894	Om006G268780	AL5G22490
OG0002894	Om001G029590	AL7G19120
OG0002895	Om001G030150	AL7G18750
OG0002896	Om001G031370	AL7G17780
OG0002897	Om001G033250, Om001G033240	AL7G16460
OG0002898	Om002G062900	AL3G29540
OG0002899	Om008G338580	AL4G31570
OG0002900	Om008G338290	AL4G31750
OG0002901	Om005G189330	AL1G21530, AL1G21630
OG0002901	Om005G221640	AL2G15720
OG0002902	Om005G223730	AL2G14320
OG0002903	Om005G195830, Om005G195820, Om007G305780	AL1G27220, AL1G27260, AL1G27240
OG0002904	Om005G195160	AL1G26710
OG0002904	Om002G087120	AL5G11000
OG0002905	Om006G269920	AL5G17690
OG0002906	Om005G226660	AL2G11600, AL7G48150
OG0002907	Om006G249330	AL8G33410, AL7G27190
OG0002909	Om002G053690	AL3G22070
OG0002909	Om004G172520	AL6G14430
OG0002910	Om004G170400	AL6G16380
OG0002910	Om002G055210	AL3G23210
OG0002911	Om002G056120	AL3G24060
OG0002911	Om007G302130	AL6G24500
OG0002912	Om003G115360	AL8G28700
OG0002912	Om004G145600	AL1G39010
OG0002913	Om003G116110	AL8G29840
OG0002914	Om003G118210	AL8G31620, AL7G26370
OG0002915	Om006G248150, Om006G248030	AL8G34150, AL8G34270
OG0002916	Om004G149230, Om004G148230	AL1G40840, AL1G40620
OG0002917	Om004G162910	AL6G22720, AL6G38120
OG0002918	Om006G237660	AL6G34400
OG0002918	Om004G167780	AL6G18670
OG0002919	Om004G168370	AL6G18110
OG0002920	Om006G235920	AL8G38880
OG0002921	Om001G000160	AL7G37350
OG0002921	Om008G362540	AL8G10600
OG0002922	Om001G000680	AL7G36850, AL8G11430
OG0002924	Om008G352030	AL6G47010, AL7G30800
OG0002925	Om001G009780	AL7G30600
OG0002926	Om001G011850	AL1G47350, AL6G44520
OG0002927	Om008G346410	AL6G43710
OG0002927	Om001G012490	AL1G48220
OG0002928	Om001G013220	AL1G48710
OG0002928	Om005G205910	AL2G31410
OG0002929	Om001G013520	AL1G49780
OG0002929	Om005G204780	AL1G35750
OG0002930	Om008G340690	AL4G29620
OG0002931	Om001G034890, Om001G034900	AL7G15550
OG0002932	Om001G037170	AL7G13880
OG0002932	Om004G152100	AL4G13510
OG0002933	Om001G038130	AL7G13440, AL2G17600
OG0002934	Om001G038930	AL7G12800
OG0002936	Om001G040850	AL7G11020
OG0002937	Om001G040980, Om001G040970	AL7G10910
OG0002937	Om001G041020	AL7G10890
OG0002938	Om001G041510	AL7G10440
OG0002938	Om004G156600	AL4G10080
OG0002940	Om001G023440	AL6G42110
OG0002942	Om002G072800	AL3G38630
OG0002943	Om007G317950	AL7G48430, AL7G48380
OG0002944	Om003G128120	AL5G45320
OG0002944	Om008G319440	AL4G47000
OG0002945	Om005G196470, Om002G043780	AL1G27830
OG0002946	Om008G321020	AL4G45630
OG0002946	Om003G126830	AL5G44040
OG0002947	Om008G322850	AL4G43990
OG0002948	Om008G323360	AL6G36130
OG0002949	Om008G323380	AL4G43470
OG0002949	Om008G323370	AL4G43490
OG0002950	Om006G229040	AL8G45600
OG0002950	Om006G257270	AL5G31900
OG0002951	Om008G324340	AL4G42750
OG0002952	Om008G324830	AL4G42450
OG0002952	Om003G123910	AL5G41660
OG0002953	Om008G325130	AL4G42240
OG0002953	Om003G123840	AL5G41500
OG0002954	Om003G123800	AL5G41460
OG0002954	Om008G325210	AL4G42150
OG0002955	Om004G176770	AL6G10610
OG0002955	Om002G051350	AL3G19930
OG0002956	Om006G242850	AL6G32580
OG0002956	Om006G243020	AL6G32770
OG0002957	Om006G245190	AL8G36830
OG0002958	Om006G244470, Om006G244440, Om008G341360, Om008G341350, Om006G244450, Om008G358580	AL6G34100
OG0002959	Om004G165630	AL6G20840
OG0002960	Om006G230750	AL8G43970
OG0002961	Om006G229690	AL8G44960
OG0002962	Om004G156990, Om004G156970	AL1G42320, AL1G42330
OG0002963	Om008G354200, Om008G354130, Om004G158530	AL6G52600
OG0002963	Om005G178750	AL1G11330
OG0002964	Om004G159690	AL6G50830
OG0002965	Om007G292980	AL8G15810
OG0002966	Om007G292770	AL8G15950
OG0002967	Om005G181180	AL1G13740
OG0002968	Om005G181200	AL1G13760
OG0002968	Om007G277570	AL8G16230
OG0002969	Om005G181620	AL1G14170
OG0002969	Om007G278390	AL4G28980
OG0002970	Om007G278500	AL4G28850
OG0002970	Om005G181510	AL1G14290
OG0002971	Om005G181520	AL1G14280
OG0002972	Om005G182410	AL1G14930
OG0002972	Om007G279400	AL4G27820
OG0002973	Om005G183640	AL1G16170
OG0002973	Om007G280830	AL4G26340, AL163U10030
OG0002974	Om007G283160	AL4G23420
OG0002974	Om005G185420	AL1G17820
OG0002975	Om001G029910	AL7G18900
OG0002976	Om007G301250	AL6G25250
OG0002976	Om002G042550	AL3G10560
OG0002977	Om007G301010	AL6G25450
OG0002978	Om006G247190	AL277U10010, AL3G40350
OG0002978	Om004G164390	AL6G21670
OG0002979	Om003G117430	AL8G30950
OG0002980	Om002G047350	AL3G15730
OG0002981	Om002G048640	AL3G17010, AL6G30440
OG0002982	Om008G337390	AL4G32410
OG0002982	Om006G255590	AL5G33530
OG0002983	Om008G336790	AL4G32860
OG0002983	Om006G255080	AL5G34000
OG0002984	Om008G336730	AL4G32920
OG0002985	Om006G254710	AL4G33520
OG0002986	Om008G343030, Om004G162030	AL6G22700
OG0002986	Om004G157520	AL6G22710
OG0002987	Om005G197020	AL1G28270
OG0002988	Om004G138030	AL2G35370
OG0002988	Om005G201660	AL1G32430
OG0002989	Om001G031510, Om001G031520	nbis-gene-855, nbis-gene-1783, nbis-gene-33
OG0002990	Om005G210760	AL1G39850
OG0002991	Om007G286510, Om007G286520	AL7G27570, AL7G27580
OG0002992	Om005G190470	AL3G53940, AL1G22620
OG0002993	Om005G187860, Om003G105910	AL1G20150, AL1G57770
OG0002994	Om001G019280	AL7G49800
OG0002995	Om005G180200	AL1G12780
OG0002996	Om007G294450	nbis-gene-1581
OG0002997	Om007G303310	AL6G40930, AL6G40920
OG0002998	Om004G169680	AL6G17060
OG0002998	Om002G055840	AL3G23850
OG0002999	Om004G171560	AL6G15340
OG0002999	Om008G333130	AL2G31390
OG0003000	Om006G236920, Om001G028230, Om002G074790	AL8G37880
OG0003001	Om006G235720	AL8G39050
OG0003001	Om004G169280	AL6G17400
OG0003002	Om008G340890, Om006G245180	AL8G36840
OG0003003	Om005G198510	AL1G29610
OG0003004	Om003G092840	AL1G61960
