Orthogroup	Odontarrhena_muralis	Eutrema_salsugineum
OG0001262	Om005G194320	XP_024008898.1
OG0001262	Om005G194340, Om005G194330	XP_006417038.2
OG0001263	Om005G191580	XP_006417255.1
OG0001264	Om002G057540	XP_006407228.1
OG0001264	Om003G090210	XP_006392621.1
OG0001265	Om003G095680	XP_006393032.1
OG0001265	Om002G069140	XP_006406308.1
OG0001269	Om007G289700, Om007G289710	XP_006410567.1, XP_024008168.1
OG0001274	Om004G153070, Om018G373760	XP_006404955.1
OG0001274	Om001G027260	XP_006412638.1
OG0001275	Om005G202690	XP_006416378.1
OG0001275	Om001G033720	XP_006412154.1
OG0001276	Om005G222670	XP_006392044.1, XP_006392035.1
OG0001276	Om005G189920	XP_006417387.1
OG0001277	Om005G222970	XP_006391994.1
OG0001279	Om007G300380	XP_006400026.1
OG0001279	Om002G042920	XP_024015666.1
OG0001280	Om006G269500	XP_024006937.1
OG0001280	Om002G054490	XP_006405620.1
OG0001281	Om005G227890	XP_006391654.1
OG0001281	Om007G318310	XP_006405320.1
OG0001282	Om006G250090	XP_006413221.1, XP_006401276.1
OG0001283	Om003G119930	XP_024012992.1
OG0001283	Om008G328480	XP_006411387.1
OG0001284	Om003G108870	XP_006402200.1
OG0001284	Om006G234900	XP_006394340.1
OG0001285	Om003G116080	XP_006401570.1
OG0001285	Om001G020050	XP_006413090.1
OG0001286	Om003G116830	XP_024012617.1
OG0001287	Om001G018860	XP_006413142.1
OG0001287	Om003G117080, Om004G145930	XP_006401477.1
OG0001288	Om004G163800	XP_006399646.1
OG0001288	Om006G240240	XP_006394799.1
OG0001289	Om008G362210	XP_006398420.2
OG0001290	Om008G351210	XP_006396933.1
OG0001290	Om001G010830	XP_006413535.1
OG0001291	Om001G011760, Om003G100450	XP_006415138.1, XP_006415180.1
OG0001291	Om001G011750	XP_006415139.1
OG0001292	Om007G282020	XP_024003929.1
OG0001292	Om002G042860	XP_006408491.1
OG0001293	Om003G123470	XP_006402705.1
OG0001293	Om003G123460	XP_006402707.1
OG0001294	Om004G153730	XP_006404690.1
OG0001294	Om001G039610	XP_006411796.1
OG0001296	Om004G154220	XP_024014094.1
OG0001296	Om006G229750	XP_006410675.2
OG0001297	Om008G354250	XP_024010114.1
OG0001298	Om002G070950	XP_006406145.1, XP_024005914.1
OG0001299	Om008G320350	XP_006397866.1, XP_006418589.2
OG0001300	Om003G121550	XP_006402806.1
OG0001300	Om008G326760	XP_006411496.1
OG0001301	Om003G121140	XP_006402830.1
OG0001301	Om008G326930	XP_006411483.1
OG0001302	Om006G231010	XP_006393963.1
OG0001302	Om006G259630	XP_006404094.1
OG0001303	Om004G157140	XP_006396209.1
OG0001304	Om005G185790	XP_006417754.1
OG0001304	Om007G283550	XP_006409877.1
OG0001305	Om002G047540	XP_006408080.1
OG0001305	Om007G293740	XP_006394953.1
OG0001306	Om007G294020	XP_006394936.1
OG0001306	Om002G047760	XP_006408054.1
OG0001307	Om002G050190, Om002G050200	XP_006407835.1
OG0001308	Om006G255570	XP_024013476.1
OG0001308	Om008G337370	XP_024003961.1
OG0001309	Om008G334740	XP_006410993.1
OG0001309	Om006G253780	XP_006403627.1
OG0001310	Om005G197840	XP_006416769.1
OG0001310	Om004G132480	XP_006389948.1
OG0001311	Om007G293340	XP_006395002.2, XP_006395003.1
OG0001312	Om002G049930	XP_006407858.1
OG0001312	Om007G306710, Om009G363690	XP_006395150.1
OG0001313	Om005G211210	XP_006391159.1
OG0001314	Om002G057470	XP_006407233.1
OG0001314	Om003G090100	XP_006392612.1
OG0001315	Om002G061400	XP_006406923.1
OG0001315	Om003G094330	XP_006392903.1
OG0001316	Om003G099760	XP_006393466.1
OG0001316	Om002G064010	XP_006406734.1
OG0001317	Om003G097220, Om002G067410	XP_006406437.1
OG0001318	Om003G100520, Om003G100530, Om003G100570, Om003G100550	XP_006414404.2
OG0001319	Om006G255230	XP_006403736.1
OG0001321	Om008G361760, Om008G361770, Om008G361790, Om008G361780, Om008G361750	XP_006398393.1
OG0001328	Om001G027840	XP_006412590.1
OG0001328	Om004G154830	XP_006404986.1
OG0001330	Om002G083840	XP_024016164.1
OG0001330	Om001G035780, Om001G034460	XP_024004417.1
OG0001331	Om005G183170, Om011G365940, Om005G218380	XP_024010405.1
OG0001331	Om011G365640, Om020G374530	XP_006392385.2
OG0001332	Om011G364990, Om020G374420	XP_006392338.1
OG0001332	Om005G188110	XP_006417535.1
OG0001333	Om005G221890	XP_006392092.1
OG0001333	Om005G189740	XP_006417401.1
OG0001334	Om005G195510	XP_006416959.2
OG0001334	Om006G275200	XP_006395874.1
OG0001335	Om004G172750	XP_006398914.1
OG0001335	Om002G053520	XP_006407545.1
OG0001336	Om002G055270	XP_006407421.1
OG0001336	Om004G170320	XP_006399111.1
OG0001337	Om003G115730	XP_006401627.2, XP_006401628.2
OG0001337	Om001G020770	XP_024005723.1
OG0001338	Om003G115720	XP_024012430.1
OG0001339	Om003G117680	XP_024011439.1
OG0001341	Om006G239760	XP_006394756.1
OG0001341	Om004G164720	XP_006399581.1
OG0001342	Om004G166010, Om004G166040	XP_006399496.1
OG0001342	Om006G232060	XP_024007437.1
OG0001343	Om004G167750	XP_006399319.1
OG0001343	Om006G237720	XP_024006868.1
OG0001344	Om001G000650	XP_006414199.1
OG0001344	Om008G361820	XP_006398394.1
OG0001345	Om001G002870	XP_006414055.1
OG0001345	Om008G358760	XP_006398258.1
OG0001346	Om001G006330	XP_006413851.1
OG0001346	Om001G006320	XP_006413852.1
OG0001347	Om002G042790	XP_006408498.2
OG0001348	Om002G084400	XP_006409254.1
OG0001349	Om002G084970	XP_006409200.1
OG0001349	Om001G035900	XP_006412019.1
OG0001350	Om004G154140	XP_024014244.1
OG0001350	Om001G039050	XP_006411833.1
OG0001351	Om008G323820	XP_006403054.1, XP_024006337.1
OG0001352	Om008G344590	XP_006397274.1
OG0001353	Om008G358330, Om008G358340	XP_024005178.1
OG0001353	Om008G358400, Om008G358390	XP_006398222.1
OG0001354	Om003G128220	XP_006402360.1
OG0001354	Om008G319360	XP_006397943.1
OG0001355	Om003G126260	XP_006402501.1
OG0001355	Om008G321560	XP_006397772.1
OG0001356	Om003G122470	XP_006402760.1
OG0001357	Om003G121180	XP_006402824.1
OG0001358	Om008G327570	XP_006411456.1
OG0001358	Om003G120700	XP_006402868.1
OG0001359	Om006G267220	XP_024009717.1
OG0001359	Om006G245720	XP_006400918.1
OG0001360	Om005G182650	XP_024008805.1
OG0001360	Om007G279210	XP_006410355.1
OG0001361	Om005G181940	XP_024008194.1
OG0001362	Om002G068640	XP_006406351.1
OG0001362	Om007G285120	XP_006408669.1
OG0001363	Om001G019430	XP_006413113.1
OG0001364	Om007G300390	XP_024012291.1
OG0001364	Om002G042910	XP_006408483.1
OG0001365	Om002G043000	XP_006408476.1
OG0001365	Om007G300260	XP_006400032.1
OG0001366	Om007G299050	XP_006400122.1
OG0001366	Om002G043770	XP_006408415.1
OG0001367	Om002G049120	XP_024007346.1, XP_006407939.1
OG0001368	Om003G093080, Om002G088450, Om007G307280, Om008G339570	XP_006405926.1
OG0001368	Om008G338180	XP_006405985.1
OG0001370	Om005G203190	XP_006416340.1
OG0001370	Om004G135860	XP_006390173.1
OG0001372	Om002G044560	XP_006408341.1
OG0001372	Om007G297490	XP_006400241.1
OG0001373	Om003G099110	XP_024006229.1
OG0001373	Om002G065230	XP_006406620.1
OG0001374	Om004G137820	XP_006390328.1
OG0001374	Om005G201480	XP_006416498.1
OG0001375	Om005G197110	XP_006416838.1
OG0001375	Om004G131490	XP_006389871.1
OG0001376	Om002G058580	XP_006407142.1
OG0001376	Om003G091280	XP_006392704.1
OG0001377	Om006G273910, Om006G273900	XP_006406816.1
OG0001377	Om002G062970	XP_006406765.2
OG0001378	Om003G099550	XP_006393407.1
OG0001378	Om002G064510	XP_006406692.1
OG0001379	Om002G067520	XP_006406428.2
OG0001379	Om003G097120	XP_006393155.1
OG0001380	Om003G096990	XP_024006357.1
OG0001380	Om002G067680	XP_006406423.1
OG0001381	Om008G323730	XP_006393494.1
OG0001382	Om004G154100	XP_006404724.2
OG0001383	Om001G025430, Om001G025440	XP_006412767.1
OG0001383	Om008G337760	XP_006405157.2, XP_024005817.1
OG0001384	Om005G226620	XP_006404806.1, XP_006404792.2, XP_006404801.1
OG0001392	Om001G033620	XP_006412163.1
OG0001392	Om002G082830	XP_006409401.1
OG0001393	Om002G083710	XP_006409346.1
OG0001393	Om001G034290	XP_006412126.1
OG0001394	Om001G002780	XP_006415264.1
OG0001394	Om007G277290	XP_006415265.1
OG0001395	Om001G017560	XP_006413165.1
OG0001395	Om003G118160	XP_006401393.1
OG0001397	Om005G188800	XP_006417482.1
OG0001397	Om005G219700	XP_006392273.1
OG0001398	Om006G275330	XP_006398540.1
OG0001398	Om005G195600	XP_006416955.1
OG0001399	Om006G274430	XP_024006797.1
OG0001399	Om005G194500	XP_024008579.1
OG0001400	Om005G192980	XP_006417140.1
OG0001401	Om007G316150	XP_006405589.1
OG0001402	Om007G315710	XP_006405605.1
OG0001403	Om005G225360	XP_006391810.1
OG0001403	Om005G191810	XP_006417240.2
OG0001404	Om005G224870	XP_006391856.1
OG0001404	Om005G191440	XP_006417266.1
OG0001405	Om004G172430	XP_006398940.1
OG0001405	Om002G053760	XP_006407522.1
OG0001406	Om001G039040	XP_006411834.1
OG0001406	Om005G206430	XP_006390781.1
OG0001407	Om003G114110	XP_006401767.1
OG0001407	Om001G021830	XP_006413006.1
OG0001408	Om004G165530, Om004G165500	XP_006399537.1
OG0001408	Om004G165470	XP_006399538.1
OG0001409	Om006G233910	XP_006394248.1
OG0001409	Om004G167300	XP_006399365.1
OG0001410	Om008G361440	XP_006398370.1
OG0001410	Om001G001020	XP_006414177.1
OG0001411	Om001G001800	XP_006414135.1
OG0001411	Om001G001790	XP_006414136.1
OG0001412	Om001G004560	XP_006413950.1
OG0001412	Om008G357580, Om002G088670	XP_006398162.1
OG0001413	Om001G008190	XP_006413716.1, XP_006413715.1
OG0001413	Om001G008170	XP_006413714.1
OG0001414	Om001G012140, Om001G012130	XP_006415105.1
OG0001415	Om008G340660	XP_006410537.1
OG0001415	Om007G288810	XP_006415658.1
OG0001416	Om007G289920	XP_006415565.1
OG0001417	Om001G036800	XP_006411958.2
OG0001417	Om004G155350, Om004G152970	XP_006404862.1
OG0001418	Om001G040730	XP_006411721.1
OG0001418	Om004G155940	XP_006404611.1
OG0001419	Om006G250550	XP_006399282.1
OG0001419	Om003G120220	XP_006402905.1
OG0001420	Om008G354210	XP_006396672.1
OG0001422	Om002G047000	XP_006408118.1
OG0001422	Om007G293430	XP_006394990.1
OG0001423	Om008G322990	XP_006397658.1
OG0001423	Om003G124870	XP_006402600.1
OG0001424	Om004G173780	XP_024012411.1
OG0001425	Om006G268320	XP_006419171.1
OG0001425	Om006G242430	XP_024012629.1
OG0001427	Om004G158300	XP_006396306.1
OG0001427	Om005G178500	XP_006418418.1
OG0001428	Om005G179670	XP_006418294.1
OG0001428	Om004G159920	XP_006396454.1
OG0001429	Om004G159960	XP_006396461.1
OG0001429	Om003G128350	XP_006402349.1
OG0001430	Om005G181350	XP_006418142.1
OG0001431	Om005G181950	XP_006418092.1
OG0001431	Om007G279030	XP_006410401.1
OG0001432	Om005G183280	XP_006417978.1
OG0001432	Om007G280280	XP_006410293.1
OG0001433	Om005G184040	XP_006417904.1
OG0001433	Om007G281110	XP_006410192.1
OG0001434	Om007G282800	XP_006409970.1
OG0001434	Om004G170770	XP_006399065.1
OG0001435	Om005G185610	XP_006417776.1
OG0001435	Om007G283330	XP_006409901.1
OG0001436	Om007G296660	XP_006400312.1
OG0001436	Om002G045150	XP_006408285.1
OG0001437	Om007G296370	XP_006400336.1
OG0001437	Om002G045350	XP_024015641.1
OG0001438	Om007G293250	XP_006395009.1
OG0001438	Om002G046680	XP_006408140.1
OG0001439	Om004G140270	XP_006390489.1
OG0001439	Om005G200110	XP_006416601.1
OG0001440	Om005G204130	XP_006416271.1
OG0001440	Om004G134810	XP_006390090.1
OG0001441	Om004G142990	XP_006390694.1
OG0001441	Om005G205040	XP_006416189.1
OG0001442	Om005G207110	XP_006390837.1
OG0001442	Om004G143360	XP_006416121.1
OG0001443	Om005G208910	XP_006390975.1
OG0001445	Om005G189450	XP_006417422.1
OG0001446	Om004G168070	XP_006399286.1
OG0001446	Om006G237030	XP_006394538.1
OG0001447	Om004G143050	XP_006390695.1
OG0001447	Om004G143080	XP_006390699.1, XP_024012363.1
OG0001448	Om003G090990	XP_024006293.1
OG0001448	Om002G058270	XP_006407162.2
OG0001449	Om002G059130	XP_006407095.1
OG0001449	Om003G091940	XP_006392744.1
OG0001450	Om003G091950	XP_006392745.1
OG0001450	Om002G059150	XP_006407094.1
OG0001451	Om003G093630	XP_006392839.1
OG0001451	Om002G060620	XP_006406983.1
OG0001452	Om003G093850	XP_006392856.2
OG0001452	Om002G060900	XP_006406961.1
OG0001453	Om003G094190	XP_006392878.1
OG0001453	Om002G061280	XP_006406938.1
OG0001454	Om002G061580	XP_006406905.1
OG0001454	Om003G094410	XP_006392910.1
OG0001455	Om002G063020	XP_006406815.1
OG0001455	Om003G100700	XP_024005411.1, XP_006414582.2
OG0001456	Om002G067510	XP_006406429.1
OG0001456	Om003G097130	XP_006393156.1
OG0001457	Om002G068010	XP_024015685.1
OG0001457	Om003G096780	XP_024006312.1
OG0001458	Om008G319780, Om008G319800, Om008G319790, Om007G303690, Om009G363450	XP_024010828.1
OG0001459	Om005G203510	XP_024008540.1
OG0001461	Om007G278700	XP_024007886.1
OG0001464	Om001G025060	XP_006412800.1
OG0001464	Om002G086890	XP_006409063.1
OG0001465	Om002G086750	XP_024016398.1
OG0001465	Om001G025360	XP_006412776.1
OG0001466	Om001G027980	XP_006412582.1
OG0001468	Om001G032010	XP_006412271.1
OG0001469	Om005G221120, Om006G260170	XP_024009921.1
OG0001469	Om007G292300	XP_006415318.1
OG0001470	Om008G338210	XP_006410739.1
OG0001471	Om005G189730	XP_006417402.1
OG0001472	Om005G195390	XP_006416963.1
OG0001473	Om006G274420	XP_006395757.1
OG0001473	Om005G194490	XP_006417017.1
OG0001475	Om005G191310	XP_006417277.1
OG0001475	Om005G224670	XP_006391897.1
OG0001477	Om004G169220	XP_006392085.1, XP_006399201.1
OG0001478	Om002G052340	XP_006407648.1
OG0001478	Om004G174870	XP_006398753.1
OG0001480	Om007G285890	XP_024005550.1
OG0001482	Om004G164380	XP_006399606.1
OG0001482	Om006G239940	XP_006394770.1
OG0001483	Om006G239530	XP_024007438.1
OG0001484	Om004G165080	XP_006399559.1
OG0001484	Om006G239500	XP_006394738.1
OG0001485	Om004G167070	XP_006399392.1
OG0001485	Om006G233730	XP_006394236.1
OG0001486	Om004G167310	XP_006399358.1
OG0001486	Om006G233960	XP_024007457.1
OG0001487	Om006G237600	XP_006394581.1
OG0001487	Om004G167840	XP_006399307.1
OG0001488	Om001G000580	XP_006414209.1
OG0001488	Om008G362000	XP_006398405.1
OG0001489	Om008G353670	XP_006396722.1
OG0001489	Om001G008780	XP_006413678.1
OG0001490	Om007G289490	XP_006415602.1
OG0001490	Om008G340460	XP_006410558.1
OG0001491	Om007G296320, Om007G292820, Om007G290420, Om001G003260	XP_006415528.1
OG0001492	Om001G040700	XP_006411724.1
OG0001493	Om007G287820	XP_006393620.1
OG0001493	Om008G341470	XP_006403303.1
OG0001495	Om008G362600	XP_006404527.1, XP_024010987.1
OG0001496	Om002G073340	XP_006418792.2
OG0001496	Om003G103910	XP_006414882.1
OG0001497	Om003G101750, Om005G195880	XP_024005841.1
OG0001497	Om003G101790, Om003G101760	XP_024005153.1
OG0001498	Om005G181210	XP_006418158.1, XP_006404607.1
OG0001500	Om008G319880	XP_006397908.1
OG0001500	Om003G127900	XP_006402392.1
OG0001501	Om008G320300, Om003G094850	XP_006397871.1
OG0001502	Om008G323120	XP_006397649.1
OG0001502	Om003G124860	XP_006402602.1
OG0001503	Om003G124290	XP_006402639.1
OG0001503	Om008G323980	XP_006397585.1
OG0001504	Om003G123850	XP_006402676.1
OG0001504	Om008G325120	XP_006397520.1
OG0001505	Om003G123720	XP_006402687.1
OG0001505	Om008G325410	XP_024010781.1
OG0001506	Om002G051310	XP_006407736.1
OG0001506	Om004G176920	XP_006398601.1
OG0001507	Om006G246570	XP_006400987.1
OG0001508	Om006G261900	XP_024013763.1
OG0001508	Om006G234200	XP_006394276.1
OG0001509	Om006G259970	XP_006404109.1
OG0001509	Om006G231280	XP_006393983.1
OG0001510	Om007G280310	XP_006410289.1
OG0001510	Om005G183290	XP_024008319.1
OG0001511	Om005G185720	XP_006417758.1
OG0001511	Om007G283470	XP_006409888.1
OG0001512	Om005G186140	XP_006417716.1
OG0001512	Om007G284260	XP_006409801.1, XP_006412464.2
OG0001513	Om002G042980	XP_006408478.1
OG0001514	Om002G045810	XP_006408225.1
OG0001514	Om007G295970	XP_006400376.1
OG0001515	Om002G048100	XP_006403382.2, XP_006408986.2, XP_006408030.2
OG0001516	Om002G049260	XP_006407926.1
OG0001517	Om006G251060	XP_006403038.1
OG0001517	Om008G330500	XP_006411267.1
OG0001518	Om008G330630	XP_024003793.1
OG0001518	Om006G251210	XP_006403403.1
OG0001519	Om004G140300	XP_006390492.1
OG0001519	Om005G200090	XP_006416602.1
OG0001520	Om006G263160	XP_006404290.1
OG0001520	Om005G200890	XP_006416541.1
OG0001521	Om004G135310	XP_006390135.1
OG0001522	Om005G205690	XP_006416127.1
OG0001522	Om005G206910	XP_006390822.1
OG0001524	Om008G358820	XP_006415761.1
OG0001524	Om006G236220	XP_006394463.1
OG0001526	Om005G177980	XP_006418460.1
OG0001526	Om006G261330	XP_006402505.1
OG0001527	Om007G301640	XP_006399931.1
OG0001527	Om004G130600	XP_006389810.1
OG0001528	Om004G137520	XP_006390276.1
OG0001529	Om008G327380	XP_006400467.1
OG0001530	Om001G041070	XP_006411685.1
OG0001531	Om004G170570	XP_024012106.1
OG0001532	Om006G247300	XP_006401042.1
OG0001533	Om006G258630, Om006G258620	XP_006404028.1
OG0001534	Om004G132350, Om004G132360	XP_024010827.1
OG0001535	Om003G090220	XP_006392622.1
OG0001535	Om002G057550	XP_006407227.1
OG0001536	Om002G058050	XP_006407180.1
OG0001536	Om003G090860	XP_006392674.1
OG0001537	Om003G094070	XP_006392875.1
OG0001537	Om002G061210	XP_006406947.1
OG0001538	Om002G062610	XP_006406832.1
OG0001538	Om003G095130	XP_006392973.1
OG0001539	Om001G007730, Om001G007640	XP_006418654.1, XP_024009691.1
OG0001540	Om008G340100	XP_006410596.1, XP_006410595.1
OG0001541	Om001G025840, Om003G128290	XP_006402354.2
OG0001544	Om003G101460	XP_006414502.1
OG0001544	Om003G101440, Om005G215050	XP_006414498.1
OG0001545	Om008G358070	XP_006398201.2
OG0001547	Om002G068490	XP_006407630.2
OG0001549	Om002G088380	XP_006408987.1
OG0001549	Om001G022730	XP_006412951.1
OG0001550	Om001G026600	XP_024004661.1
OG0001551	Om001G027710	XP_006412603.1
OG0001551	Om004G153310, Om018G373980	XP_024014214.1
OG0001552	Om001G028840	XP_006412518.1
OG0001553	Om005G221080	XP_006392146.1
OG0001553	Om005G189290	XP_024008472.1
OG0001554	Om005G190820	XP_006417328.1
OG0001554	Om005G223930	XP_006391952.1
OG0001555	Om005G192930	XP_006417144.1
OG0001555	Om006G273340	XP_024007058.1
OG0001556	Om008G336560	XP_006410854.1
OG0001556	Om006G272340	XP_006395549.1
OG0001557	Om002G051870	XP_024015086.1
OG0001558	Om004G172910	XP_006398899.1
OG0001558	Om002G053430	XP_006407560.1
OG0001559	Om003G107570	XP_006402246.1
OG0001560	Om005G199190, Om005G199900	XP_006402205.1
OG0001561	Om003G113700	XP_006413286.2
OG0001562	Om003G118300	XP_024012281.1
OG0001562	Om004G172250, Om003G118290	XP_006398952.1
OG0001563	Om006G241030	XP_006400502.1
OG0001563	Om004G162330	XP_006399751.1
OG0001564	Om008G335730	XP_006410924.1
OG0001564	Om008G325320, Om008G325290, Om005G202470	XP_006416410.1
OG0001565	Om004G168220	XP_006399270.1
OG0001565	Om006G236930	XP_006394530.1
OG0001566	Om008G358250	XP_006398217.1
OG0001566	Om001G003510	XP_006414009.1
OG0001567	Om001G013140	XP_006396080.1
OG0001567	Om001G013120	XP_006415017.1
OG0001568	Om007G289080, Om007G289090	XP_024008558.1, XP_006415633.1
OG0001569	Om008G340300	XP_006410572.1
OG0001569	Om007G289800	XP_006415572.1
OG0001570	Om003G123760	XP_006402683.1
OG0001570	Om007G291650	XP_006415396.1
OG0001571	Om002G084010	XP_006409309.2
OG0001572	Om001G039360	XP_006411810.1
OG0001573	Om001G039820	XP_006411773.1
OG0001574	Om001G040780	XP_006411716.1
OG0001574	Om004G156020	XP_024014328.1
OG0001575	Om004G156180	XP_006404572.1
OG0001575	Om001G041040	XP_006411692.1
OG0001576	Om001G029490, Om002G058950	XP_006405671.1
OG0001577	Om007G315560	XP_024014613.1
OG0001579	Om001G000100	XP_006414247.1
OG0001581	Om003G128570	XP_006402334.1
OG0001581	Om008G319170	XP_006397959.1
OG0001582	Om003G124270	XP_006402641.1
OG0001582	Om008G324000	XP_006397584.1
OG0001583	Om003G121060	XP_006402839.1
OG0001584	Om003G120740	XP_006402865.1
OG0001584	Om008G327650	XP_006411459.1
OG0001585	Om003G120340	XP_006402897.1, XP_006396061.1
OG0001585	Om008G327920	XP_006411415.1
OG0001586	Om006G240880, Om006G240890, Om006G240900	XP_006404982.1
OG0001587	Om006G244320	XP_006408697.2, XP_006408695.1
OG0001588	Om006G246680	XP_006400996.1, XP_006418854.1
OG0001589	Om006G234140	XP_006394269.1
OG0001589	Om006G261670	XP_006404227.1
OG0001590	Om006G251960	XP_024013413.1
OG0001590	Om006G231330	XP_006393990.1
OG0001591	Om005G179700	XP_006418291.1
OG0001591	Om004G159940	XP_006396457.1
OG0001592	Om005G180140	XP_006418254.1
OG0001592	Om004G160470, Om004G160460	XP_006396512.1
OG0001593	Om007G278260	XP_006410484.2
OG0001593	Om005G181680	XP_006418125.1
OG0001594	Om005G182480, Om005G182470	XP_006418051.1
OG0001594	Om007G279340	XP_006410370.1
OG0001595	Om002G044690	XP_006409226.2, XP_006408326.1
OG0001596	Om007G296130	XP_006400358.1
OG0001596	Om002G045490	XP_006408247.1
OG0001597	Om002G048240	XP_006408013.1
OG0001598	Om002G048810	XP_006407963.1
OG0001599	Om001G034380	XP_024007162.1
OG0001599	Om002G050380	XP_006407818.1
OG0001600	Om008G336990, Om006G256390, Om006G255310	XP_006403746.1, XP_024013436.1
OG0001601	Om005G199270	XP_024009142.1
OG0001601	Om004G141820	XP_006390589.1
OG0001602	Om005G203850	XP_024008890.1, XP_006416291.1
OG0001602	Om004G135040	XP_006390110.1
OG0001603	Om005G207310	XP_024012577.1
OG0001604	Om004G143680	XP_006416100.1
OG0001604	Om005G207450	XP_024012663.1
OG0001605	Om004G143720	XP_006416094.2
OG0001605	Om005G207530	XP_006390872.2
OG0001606	Om004G152170	XP_006404850.2
OG0001607	Om005G192070	XP_006417217.1
OG0001607	Om005G225600	XP_006391789.1
OG0001608	Om005G190190, Om005G190200	XP_006417366.1, XP_024007716.1
OG0001609	Om007G294970	XP_006400462.1
OG0001609	Om005G180160	XP_006418251.2
OG0001610	Om002G053700, Om004G172500	XP_006407528.1, XP_006406458.1
OG0001611	Om004G137880	XP_006390323.1
OG0001612	Om002G057420	XP_006407236.1
OG0001612	Om003G090050	XP_024006221.1
OG0001613	Om003G093520	XP_024006211.1, XP_006392832.2, XP_006392829.2
OG0001613	Om002G060570	XP_006406986.1
OG0001614	Om003G095940	XP_006393058.1
OG0001614	Om002G069020	XP_006406329.1
OG0001615	Om002G072780	XP_006418845.1, XP_006395416.2
OG0001615	Om005G181000, Om005G184980	XP_006393061.1
OG0001616	Om002G084190	XP_024016621.1
OG0001617	Om001G024810	XP_006412815.1
OG0001618	Om003G089510	XP_006392564.1
OG0001618	Om002G056680	XP_006407288.1, XP_006395291.1
OG0001619	Om006G255320	XP_006403747.1
OG0001619	Om008G337000	XP_006410827.1
OG0001620	Om001G001270, Om001G001210, Om001G001160, Om001G001290, Om001G001280, Om001G001170, Om001G001300, Om001G001150	XP_006416618.2, XP_006416692.2
OG0001624	Om001G033040, Om005G227770	XP_006391979.2, XP_024004752.1, XP_024004597.1, XP_024016550.1
OG0001626	Om008G331730, Om001G024570, Om003G093350, Om001G026690	XP_024012626.1, XP_024010443.1
OG0001628	Om002G083850, Om002G083860, Om005G194240, Om005G194230	XP_006397062.2
OG0001629	Om006G273430	XP_006395645.1
OG0001630	Om002G044480, Om002G044470, Om007G280110, Om007G280100	XP_024004113.1, XP_006410403.2
OG0001631	Om005G211770	XP_006391204.1
OG0001633	Om001G009140, Om001G009130	XP_006413732.1, XP_006413655.1, XP_006413652.2
OG0001642	Om001G031720	XP_006412301.1
OG0001643	Om001G033530	XP_006412169.1
OG0001644	Om005G189420	XP_006417426.1
OG0001646	Om006G272500	XP_006395558.1
OG0001646	Om005G192600	XP_006417166.1
OG0001647	Om007G317750	XP_006405416.1
OG0001647	Om006G271590	XP_006395477.1
OG0001648	Om007G317430	XP_006405430.1
OG0001648	Om006G271360	XP_006395460.1
OG0001649	Om007G316180	XP_006405588.1
OG0001650	Om006G269250	XP_006395260.1
OG0001650	Om007G315230	XP_006405673.1
OG0001651	Om006G250370	XP_006401301.1
OG0001652	Om002G051680	XP_006407700.2
OG0001652	Om004G176210	XP_006398657.1
OG0001653	Om002G052460	XP_006407636.1
OG0001654	Om004G174290	XP_024011507.1
OG0001654	Om002G052600	XP_006407628.1
OG0001655	Om004G171470	XP_006399013.1
OG0001655	Om002G054370	XP_006407474.1
OG0001656	Om002G056110	XP_006407336.1
OG0001657	Om001G019400	XP_006413118.1
OG0001657	Om003G116630	XP_006401514.1
OG0001658	Om003G117030	XP_006401482.1
OG0001658	Om001G018900	XP_006413135.1
OG0001659	Om004G168860, Om004G168870	XP_006399226.1
OG0001660	Om001G005920	XP_006413875.1
OG0001660	Om008G356450	XP_006398080.1
OG0001661	Om008G352120	XP_006396798.1
OG0001661	Om001G009550	XP_006413622.1
OG0001662	Om001G009750	XP_006413606.1
OG0001662	Om008G352460, Om008G352390	XP_024009981.1
OG0001663	Om008G346530	XP_006397109.1
OG0001663	Om005G205360	XP_006416151.1
OG0001664	Om008G339790	XP_006410614.2
OG0001664	Om008G354750, Om007G290960	XP_024008208.1
OG0001665	Om007G291250	XP_006415449.1
OG0001666	Om001G035390	XP_006412053.1
OG0001666	Om002G084410	XP_006409253.1
OG0001667	Om001G037950	XP_006411906.1
OG0001668	Om001G038350	XP_006411873.1
OG0001669	Om004G153630	XP_006404670.1, XP_006404666.1, XP_006404669.1, XP_006404667.1, XP_006404672.1
OG0001669	Om001G039870	XP_024005879.1
OG0001670	Om001G041140	XP_006411681.1
OG0001670	Om004G156260	XP_006404565.1
OG0001671	Om008G344380	XP_006397251.1
OG0001672	Om007G287990	XP_006415734.1
OG0001672	Om004G173040	XP_006398890.1
OG0001673	Om002G076100	XP_006395950.1, XP_006418569.1
OG0001674	Om003G103270	XP_006414763.1
OG0001674	Om003G103240	XP_006414761.1
OG0001675	Om003G127710	XP_006402413.1
OG0001677	Om003G123570	XP_006402694.1
OG0001677	Om008G325460	XP_006397489.1
OG0001678	Om003G122620	XP_024012819.1
OG0001678	Om008G326120	XP_006411553.1
OG0001679	Om003G122260	XP_006402779.1
OG0001679	Om008G326460	XP_006411510.1
OG0001681	Om006G229710	XP_006393852.1
OG0001682	Om004G160610	XP_006396528.1
OG0001682	Om005G180340	XP_006418235.1
OG0001683	Om007G277500	XP_006403156.1
OG0001684	Om007G278180	XP_006403261.1, XP_006403260.1
