Orthogroup	Odontarrhena_muralis	Noccaea_praecox
OG0000550	Om006G255770	Np001G054750, Np006G339520, Np003G166830, Np004G192230
OG0000551	Om006G232640	Np001G004080
OG0000551	Om001G040480	Np005G261440
OG0000551	Om004G166290	Np003G136120
OG0000552	Om008G319960	Np001G068490, Np004G230230
OG0000552	Om003G127880	Np006G321880
OG0000553	Om001G012520	Np004G207840, Np004G207340, Np004G207920, Np004G207120, Np004G207480, Np004G207460, Np004G207260, Np004G207680
OG0000554	Om001G002110, Om005G222990	Np002G118220
OG0000554	Om008G342670, Om008G342700	Np004G203530
OG0000555	Om008G352870, Om008G352880, Om001G004330	Np003G182070
OG0000555	Om003G102250	Np004G255160
OG0000556	Om002G049820	Np007G415980
OG0000556	Om002G074570	Np007G387580
OG0000557	Om003G124890, Om003G124880	Np001G065760
OG0000557	Om008G322980	Np006G325260
OG0000558	Om008G337590, Om008G327270	Np006G347620, Np006G353170, Np006G352480
OG0000559	Om004G174990	Np003G127110
OG0000559	Om004G175040	Np003G127100, Np007G378410
OG0000560	Om006G246000	Np003G152880
OG0000560	Om005G181410, Om005G181420, Om005G181400	Np003G172730, Np004G255940
OG0000562	Om002G048170	Np007G418000
OG0000562	Om007G301050	Np003G141560
OG0000562	Om007G294310	Np001G014270
OG0000564	Om001G028220	Np005G271440
OG0000564	Om003G093660, Om003G093650, Om003G093640	Np006G365200, Np006G365080
OG0000565	Om005G208860, Om005G208700, Om005G208690, Om005G208710, Om005G208350	Np004G228620
OG0000565	Om005G208340	Np002G085990
OG0000566	Om007G297320, Om006G242250, Om006G242050, Om006G242270, Om002G082780	Np003G148600
OG0000566	Om006G242260	Np003G148810
OG0000570	Om002G043360	Np007G423940
OG0000570	Om006G237000	Np001G009520
OG0000571	Om006G244500	Np003G151390
OG0000571	Om005G186030, Om005G186020	Np004G251270
OG0000574	Om007G304240, Om004G154680, Om008G343660, Om010G364840, Om010G364850, Om010G364860, Om004G146380, Om008G323470, Om007G309360, Om007G309350, Om007G309340, Om004G146370	Np004G208800, Np005G316550
OG0000575	Om001G031670, Om001G031700	Np001G043700
OG0000578	Om005G188980	Np004G248330
OG0000578	Om005G219910	Np002G114940
OG0000579	Om007G286810	Np005G280250
OG0000579	Om003G113910	Np003G165240
OG0000579	Om007G318320	Np005G319570
OG0000580	Om008G323850	Np006G325880
OG0000582	Om006G243850	Np003G150520
OG0000582	Om007G284590	Np006G357920
OG0000583	Om005G183560	Np006G355060
OG0000583	Om005G183570	Np004G253630
OG0000584	Om007G292850	Np001G040230
OG0000584	Om001G022800, Om002G088330	Np005G276330
OG0000586	Om002G083340	Np007G376540
OG0000586	Om008G342910	Np001G042940
OG0000587	Om004G158710	Np003G187920
OG0000587	Om008G320250	Np006G322270
OG0000587	Om005G178890	Np004G258420
OG0000588	Om002G060100	Np007G404890
OG0000588	Om008G326370	Np006G328260
OG0000588	Om003G093150	Np004G193210
OG0000589	Om006G245680	Np003G152530
OG0000589	Om006G267230	Np001G045760
OG0000590	Om002G047710	Np007G418620
OG0000590	Om005G179630	Np001G014720, Np001G014510
OG0000592	Om002G064890, Om002G064880	Np004G199190, Np007G393760
OG0000592	Om005G199600	Np004G237800
OG0000593	Om004G133070	Np001G046810
OG0000594	Om006G262800	Np001G048380
OG0000595	Om006G269050	Np001G044160
OG0000595	Om006G243810, Om006G243820	Np003G150480
OG0000596	Om007G281510, Om006G241720	Np003G148230, Np003G160400
OG0000597	Om003G115830	Np006G354380, Np006G348640
OG0000600	Om006G250410	Np003G157370
OG0000600	Om001G024270	Np005G275230
OG0000601	Om007G299770	Np003G142410
OG0000601	Om007G315410	Np005G315020
OG0000602	Om004G174460	Np003G127540
OG0000602	Om006G254960	Np001G056000
OG0000604	Om003G128580, Om008G319190	Np006G321040
OG0000604	Om007G285830	Np001G069260, Np005G281430
OG0000605	Om004G140130	Np002G079850
OG0000605	Om004G140160	Np002G079930
OG0000606	Om002G061700	Np005G282160, Np007G390220
OG0000606	Om004G129810	Np002G070400
OG0000606	Om003G094590	Np004G194450
OG0000607	Om002G066240	Np007G395540
OG0000608	Om003G120910	Np001G062520
OG0000613	Om002G043790	Np007G423380
OG0000614	Om004G167200, Om004G167190	Np003G135180
OG0000615	Om002G084910	Np007G375040
OG0000615	Om001G035770	Np005G267750
OG0000615	Om006G257560	Np001G052920
OG0000616	Om006G244670	Np003G151580
OG0000617	Om004G159110	Np003G187360, Np003G187350
OG0000617	Om004G158130	Np003G188770
OG0000618	Om004G133000	Np002G073260
OG0000618	Om001G020760	Np005G277620
OG0000619	Om008G336000	Np006G337730
OG0000619	Om006G254680	Np001G056250
OG0000620	Om007G289350, Om005G200260	Np004G237240
OG0000620	Om004G140080	Np002G079810
OG0000621	Om005G199690	Np005G311230
OG0000622	Om004G145830, Om004G145910	Np002G118950
OG0000625	Om002G043480	Np007G423770
OG0000625	Om001G028720	Np005G271050
OG0000626	Om005G226500	Np002G122720, Np002G122740
OG0000626	Om002G081100	Np002G122760
OG0000627	Om001G018740	Np005G278900
OG0000627	Om003G117480	Np003G159680
OG0000628	Om004G134080	Np002G074230
OG0000628	Om002G065810	Np004G204410, Np007G385740, Np007G394910, Np007G382110, Np006G331000
OG0000630	Om005G221290	Np005G313020, Np005G313030, Np005G313090, Np004G251690, Np001G019080, Np001G019090
OG0000631	Om001G012980	Np005G299240, Np003G169660
OG0000632	Om008G322280	Np003G189800, Np006G324480
OG0000633	Om006G268280	Np007G375870, Np003G164740, Np007G384960
OG0000633	Om004G129890	Np002G070420
OG0000634	Om006G259460, Om006G246380, Om006G246370, Om006G246400, Om006G246390	Np002G114880, Np002G114820, Np003G153190, Np004G230990, Np003G153200
OG0000635	Om007G280320	Np006G355290
OG0000636	Om004G171070	Np003G131030
OG0000636	Om004G171050	Np002G106300
OG0000636	Om004G171040, Om004G171060	Np003G131040
OG0000639	Om001G003060, Om001G003300, Om001G003110	Np005G271880
OG0000640	Om006G258730	Np001G051790, Np001G051800
OG0000641	Om005G193540, Om002G069920	Np007G382220, Np007G381820
OG0000641	Om002G069900, Om008G350820	Np007G382190
OG0000642	Om007G315380	Np005G315010
OG0000645	Om005G206760	Np005G305850, Np005G305860, Np005G306280
OG0000645	Om008G329430, Om005G208230	Np005G305900
OG0000646	Om006G269470	Np001G019030
OG0000646	Om002G043170	Np007G424180
OG0000647	Om002G052310	Np002G086910
OG0000648	Om003G128400, Om003G128430, Om003G128440	Np001G069150, Np002G105630, Np006G367970
OG0000649	Om006G253830	Np004G203870
OG0000649	Om004G136710	Np002G076880
OG0000650	Om008G359210	Np001G036540
OG0000650	Om008G359240, Om008G359230, Om008G359250	Np001G036510
OG0000650	Om008G359270, Om008G359310	Np001G036520
OG0000652	Om006G237830, Om006G237880, Om006G237860	Np001G010480
OG0000653	Om006G242630	Np003G149180
OG0000653	Om007G303200, Om007G305010, Om007G281870, Om006G265690	Np005G277700, Np004G224960, Np007G400540
OG0000654	Om006G246810, Om006G247060, Om006G245900	Np003G153660, Np003G152780, Np003G153740
OG0000658	Om003G106660, Om007G293840, Om006G254110	Np001G014790, Np001G020800, Np001G056790
OG0000659	Om001G024350	Np005G289090
OG0000660	Om005G185150	Np004G252140
OG0000660	Om006G246670	Np001G046620, Np003G153480
OG0000661	Om007G280270, Om008G327370	Np005G310030, Np002G115440, Np006G355350
OG0000662	Om007G299230	Np003G142770
OG0000662	Om002G043690	Np007G423510
OG0000662	Om007G299200	Np003G142780
OG0000663	Om005G211670	Np002G090300
OG0000663	Om004G147530, Om004G147600	Np004G209560
OG0000664	Om001G038790	Np003G145320, Np007G408110
OG0000665	Om008G325860, Om008G332120	Np001G021930
OG0000669	Om008G323950, Om001G002100, Om001G002090	Np006G325980
OG0000671	Om006G248300	Np005G314670, Np001G041910, Np005G314680
OG0000672	Om008G340360	Np006G342630
OG0000672	Om007G289610	Np004G212370
OG0000673	Om006G272930	Np001G023400, Np001G023380
OG0000673	Om004G158090	Np006G366260
OG0000674	Om005G179570	Np004G257640
OG0000674	Om008G319260	Np006G321110
OG0000674	Om004G159710	Np003G186810
OG0000675	Om005G196790, Om007G279730	Np006G356050
OG0000676	Om005G184580	Np004G252560
OG0000676	Om006G251430	Np001G059690
OG0000676	Om004G139720	Np002G079460
OG0000677	Om001G025590	Np004G227760, Np004G227730
OG0000682	Om002G081140	Np004G225340
OG0000685	Om001G024490	Np005G275060, Np005G275040
OG0000685	Om002G087370	Np005G279610
OG0000686	Om001G031630, Om001G031650, Om001G031590	Np005G264040
OG0000686	Om001G031660	Np002G091570, Np005G264050
OG0000687	Om007G275820	Np005G299500
OG0000687	Om008G322470, Om008G322490	Np006G324700
OG0000687	Om003G125660	Np001G066460
OG0000688	Om001G026700	Np001G025680, Np001G025750, Np001G025770, Np001G025740
OG0000688	Om002G067310	Np001G025840
OG0000689	Om005G205310, Om001G012690	Np004G208380, Np003G177370
OG0000692	Om003G122550	Np001G063690
OG0000692	Om008G326170	Np006G327970
OG0000693	Om006G251440	Np001G059680
OG0000693	Om008G331200	Np006G332870
OG0000695	Om004G140010	Np001G013590, Np002G079710
OG0000696	Om005G195930	Np004G241110
OG0000697	Om003G096400	Np004G199810
OG0000697	Om003G096530, Om003G095790, Om003G096510, Om003G095780	Np004G194590
OG0000698	Om002G052470, Om002G051930	Np007G412940, Np007G413170
OG0000699	Om008G325440	Np005G311360
OG0000700	Om072G377210, Om007G282900, Om072G377220, Om007G282910	Np006G360270, Np006G360280, Np006G350630
OG0000702	Om007G301290	Np003G141400
OG0000702	Om002G042520	Np007G424940
OG0000703	Om004G173900	Np003G128130
OG0000703	Om008G337070	Np006G339110
OG0000704	Om001G004670, Om001G004680	Np007G392710, Np005G289350
OG0000705	Om008G324600	Np001G039440
OG0000705	Om008G324590	Np006G326520
OG0000706	Om006G239960	Np001G012600, Np001G012640
OG0000706	Om006G232490	Np001G003850
OG0000707	Om005G211110	Np002G089600
OG0000708	Om005G190620	Np004G246770
OG0000709	Om007G296380	Np001G037930, Np001G053360
OG0000710	Om005G193740, Om005G194960, Om005G193780	Np004G243100, Np005G307730
OG0000711	Om005G226640	Np006G367030, Np005G316650
OG0000712	Om002G049340	Np007G416650
OG0000714	Om005G213220	Np002G093780
OG0000715	Om008G353360	Np003G182580, Np003G182590
OG0000716	Om005G211830, Om008G328670	Np003G178750, Np003G178770
OG0000716	Om001G030930	Np005G305680
OG0000717	Om005G203310	Np004G234260, Np006G363060
OG0000719	Om006G245640	Np003G152490
OG0000720	Om003G128230	Np001G068980
OG0000720	Om004G159420	Np003G187030
OG0000721	Om004G159540	Np003G186900
OG0000722	Om005G208970	Np002G086450
OG0000722	Om005G194430	Np004G242400
OG0000724	Om006G252130, Om006G252070, Om006G252080, Om006G252100, Om006G252120	Np001G058880
OG0000725	Om005G195040	Np006G342370
OG0000726	Om008G354650	Np006G359260
OG0000730	Om006G274110	Np001G024830
OG0000730	Om005G193950	Np004G242780
OG0000731	Om008G338680	Np001G022910, Np001G022900
OG0000732	Om006G250070	Np003G156910
OG0000732	Om006G255490	Np001G055070
OG0000734	Om006G235570	Np001G047060
OG0000734	Om003G112660	Np003G168400
OG0000735	Om003G118250	Np003G156630
OG0000736	Om004G165740	Np003G136540, Np004G219250
OG0000736	Om001G039680	Np005G262120
OG0000738	Om007G278680	Np006G357660
OG0000739	Om005G180900	Np004G256480
OG0000741	Om002G057710	Np007G407510
OG0000741	Om003G119120	Np003G157560
OG0000741	Om003G090420	Np004G191090
OG0000744	Om007G295300	Np003G182790, Np003G182850
OG0000749	Om005G193040	Np004G243770
OG0000749	Om004G147040	Np004G209100
OG0000749	Om006G272950	Np001G023430
OG0000750	Om007G291180, Om001G009690	Np005G319860, Np005G319800, Np005G319850, Np005G319920, Np005G300140
OG0000750	Om005G228190	Np002G124000
OG0000750	Om005G228180	Np002G123990, Np002G123980
OG0000751	Om004G173690	Np003G128310, Np002G120940
OG0000752	Om006G239670, Om006G239690, Om006G239700, Om006G239680	Np001G012300
OG0000752	Om004G164920	Np003G137130
OG0000753	Om001G015620	Np004G202950
OG0000754	Om001G015760	Np004G203100
OG0000754	Om008G342780	Np007G380060
OG0000755	Om008G355040	Np003G184650
OG0000755	Om008G355050	Np003G184660
OG0000757	Om004G175670	Np003G126650
OG0000758	Om004G131100	Np002G071380
OG0000758	Om005G196770	Np004G240340
OG0000759	Om006G247560	Np003G154280
OG0000759	Om007G282010	Np006G351730
OG0000759	Om005G184700	Np004G252480
OG0000760	Om008G329550, Om008G329460	Np003G174100
OG0000762	Om002G087650, Om001G015670	Np007G372630, Np007G372690
OG0000762	Om002G087620	Np007G372670
OG0000763	Om003G091650	Np004G192120, Np004G192100
OG0000763	Om003G091630	Np004G192090
OG0000764	Om003G096690, Om003G096670, Om003G096680	Np006G358630
OG0000765	Om006G259450, Om006G259750, Om005G210270, Om005G210060, Om005G210240, Om005G210230, Om006G260090, Om007G313620	Np001G053900, Np001G052380, Np001G053890
OG0000768	Om008G351690	Np003G180960, Np003G180950
OG0000772	Om006G270510	Np006G363870, Np001G019790
OG0000772	Om001G008990, Om001G008970	Np001G019770
OG0000773	Om005G209150	Np002G086730, Np001G019440
OG0000774	Om001G017860	Np005G279450
OG0000776	Om008G330800	Np006G332580
OG0000776	Om002G051640	Np007G410600, Np007G413670
OG0000777	Om003G091110	Np004G191610
OG0000779	Om001G008900	Np005G285590
OG0000779	Om008G353570	Np003G182860
OG0000780	Om001G039760	Np005G262020
OG0000781	Om008G324460, Om008G324450, Om008G324440, Om008G324430	Np004G205860, Np006G326390, Np006G326420
OG0000781	Om008G324410	Np006G326400, Np006G326410
OG0000783	Om006G243370	Np003G150010
OG0000783	Om006G268650	Np001G043770
OG0000784	Om001G001310	Np001G044430, Np001G044440
OG0000784	Om006G244140	Np003G150760
OG0000785	Om001G030640, Om001G030650	Np005G263420
OG0000785	Om004G172580	Np003G129340
OG0000787	Om002G056150, Om002G056160, Om002G056140	Np002G107730, Np007G408970
OG0000787	Om002G056130	Np007G408990, Np007G409000
OG0000788	Om006G267680	Np001G044750
OG0000788	Om006G244510	Np003G151370
OG0000789	Om004G131580	Np002G072050
OG0000789	Om002G056630	Np007G408550
OG0000790	Om003G091770, Om003G091720, Om003G091750	Np004G192160
OG0000790	Om003G091710	Np004G192150
OG0000791	Om003G119360, Om003G119330, Om003G119450	Np001G060720, Np001G060730, Np001G060700
OG0000793	Om004G131020	Np002G071290
OG0000794	Om002G070500, Om007G283840	Np006G325110, Np009G432170, Np006G344990, Np001G058610, Np006G358470, Np006G355840, Np001G012630, Np004G204830
OG0000796	Om001G008480	Np003G176790
OG0000798	Om001G000190	Np005G295420
OG0000801	Om002G053550	Np007G411650
OG0000801	Om004G172640	Np003G129290
OG0000801	Om002G053590, Om002G053560	Np007G411640
OG0000802	Om008G359660	Np001G035930
OG0000802	Om007G290710	Np004G213420
OG0000802	Om001G002180	Np007G403260, Np004G249950, Np005G291790
OG0000803	Om003G116420, Om001G004780	Np005G289240
OG0000804	Om005G228300	Np001G008670
OG0000806	Om008G323530	Np006G325750
OG0000807	Om008G323720	Np006G325830
OG0000807	Om002G042240	Np001G017730
OG0000807	Om002G042250	Np007G425260
OG0000808	Om007G283270	Np006G359850
OG0000809	Om004G146010	Np004G226080
OG0000809	Om005G194080	Np004G242880
OG0000809	Om005G194070	Np007G375690
OG0000810	Om003G096380, Om003G096550	Np004G196310
OG0000811	Om008G351930, Om008G351980	Np003G182060
OG0000812	Om007G284710	Np006G360800
OG0000813	Om002G063840	Np007G392340
OG0000813	Om002G063830, Om002G063810, Om002G063820	Np007G392330
OG0000814	Om002G070350, Om006G243840, Om006G245340	Np004G248040, Np003G152190
OG0000818	Om006G239010	Np001G011690
OG0000818	Om005G228870	Np002G124760
OG0000819	Om002G053630	Np007G411620
OG0000819	Om006G250650	Np001G060370
OG0000821	Om003G113100	Np003G167140
OG0000823	Om008G362180	Np001G032910
OG0000824	Om001G012010, Om001G012020	Np004G206080
OG0000825	Om003G126780	Np001G067480
OG0000825	Om004G158190	Np003G188710
OG0000825	Om008G321070	Np006G323070
OG0000826	Om008G323390	Np006G325670
OG0000827	Om003G116690	Np003G160770
OG0000827	Om004G176620	Np003G125640
OG0000828	Om005G219460, Om007G278890, Om008G356770	Np002G114920
OG0000829	Om002G045010	Np007G422090
OG0000829	Om007G296880	Np003G144870
OG0000830	Om005G202380	Np004G235230
OG0000830	Om004G136890	Np002G077080
OG0000831	Om005G202570	Np004G235010
OG0000833	Om002G059910	Np007G405010
OG0000834	Om003G098980	Np004G198720, Np004G198270
OG0000835	Om002G066410	Np007G395770
OG0000835	Om003G098020	Np004G198020
OG0000836	Om003G120370	Np007G379740
OG0000837	Om006G258280, Om006G258260	Np001G052330
OG0000837	Om005G190690	Np004G246680
OG0000839	Om001G015280	Np005G298450
OG0000843	Om006G236790	Np001G009350
OG0000844	Om002G052240	Np007G413220
OG0000844	Om004G175120	Np003G127060
OG0000845	Om007G285800	Np005G281480
OG0000846	Om001G030620	Np005G263400
OG0000847	Om006G232840	Np001G004290
OG0000849	Om004G158520	Np003G188230
OG0000849	Om003G127390	Np001G068010
OG0000850	Om003G126290	Np001G067070
OG0000850	Om003G126300	Np001G067080
OG0000851	Om008G327440	Np006G329620
OG0000852	Om008G353510, Om001G009030	Np005G285450
OG0000852	Om006G241870	Np003G148390
OG0000853	Om004G160710	Np003G185670
OG0000854	Om007G283720	Np006G359130
OG0000854	Om005G185890	Np004G251400
OG0000855	Om006G263670	Np001G047900
OG0000855	Om006G235120	Np001G007050
OG0000857	Om006G263880	Np007G379060
OG0000857	Om006G260880	Np001G050010
OG0000858	Om002G073040	Np007G385660, Np007G385670, Np007G385650
OG0000859	Om007G303050, Om007G303100, Om007G303190	Np001G067360, Np001G067600
OG0000860	Om005G226600	Np003G150810
OG0000861	Om005G180400	Np006G331400, Np006G331520, Np006G369390
OG0000861	Om005G180100	Np005G312050
OG0000862	Om006G239770	Np001G012360
OG0000867	Om005G213710	Np002G095100, Np002G095090
OG0000868	Om004G170100	Np003G132270
OG0000868	Om002G055490	Np007G409680
OG0000870	Om007G288540	Np004G211070, Np004G211050
OG0000870	Om008G340790	Np006G343600
OG0000871	Om002G043820	Np007G423340
OG0000871	Om007G298930	Np003G143050
OG0000871	Om007G314750	Np005G313500
OG0000872	Om007G279510	Np006G356960
OG0000873	Om002G045920	Np007G420880
OG0000873	Om007G295910	Np003G145930
OG0000875	Om005G184100	Np004G253090
OG0000875	Om003G126450	Np005G296410
OG0000875	Om003G126460	Np001G067240
OG0000877	Om003G127230, Om003G126920, Om007G303070, Om007G303150, Om007G303210	Np001G067350
OG0000879	Om005G184120, Om005G184110	Np004G253080
OG0000883	Om001G033060	Np005G265270
OG0000884	Om005G211060	Np002G089560
OG0000885	Om005G204940	Np004G232230
OG0000885	Om001G021960	Np005G276890
OG0000886	Om007G287460	Np004G202040
OG0000886	Om008G341510	Np001G041930
OG0000887	Om008G319930	Np004G203230
OG0000887	Om008G319920	Np006G321830
OG0000888	Om003G122230	Np001G063390
OG0000888	Om008G326480	Np006G328360
OG0000889	Om006G252000	Np001G059040
OG0000889	Om006G246440, Om006G246450	Np003G153220
OG0000890	Om006G254370	Np001G056520
OG0000890	Om008G335550	Np006G337120
OG0000891	Om005G204900	Np004G232290
OG0000891	Om005G204930	Np004G232260, Np004G232240
OG0000892	Om006G240260, Om006G240250	Np001G020020, Np001G013070, Np001G035680, Np001G035690, Np001G013080
OG0000894	Om002G087310, Om002G087350	Np007G373060
OG0000895	Om008G357430, Om008G357440	Np007G388290, Np007G388240, Np007G388230, Np007G388200
OG0000897	Om008G334790, Om008G334800	Np006G336490
OG0000900	Om005G193320	Np004G243530
OG0000900	Om005G193340	Np004G243540
OG0000901	Om002G082990, Om002G082970, Om007G275790	Np005G299620
OG0000902	Om004G171650, Om004G171970	Np003G129950, Np003G130390
OG0000902	Om002G054040	Np007G411160
OG0000903	Om004G164180, Om004G164000, Om007G288460	Np005G310350, Np005G310320, Np005G310400
OG0000904	Om004G165610	Np003G136670
OG0000904	Om001G028210	Np005G271510, Np005G304810
OG0000905	Om004G165730	Np003G136550
OG0000905	Om006G232350, Om006G232340	Np001G003730
OG0000906	Om006G232410	Np001G003800
OG0000908	Om001G040680	Np005G261310
OG0000908	Om002G047730	Np007G418610
OG0000908	Om004G155910	Np006G370050, Np006G370060
OG0000909	Om007G280210	Np005G308900
OG0000909	Om007G298720	Np003G143230
OG0000910	Om006G245280	Np003G152140
OG0000910	Om006G245290	Np003G152150
OG0000911	Om006G229870	Np001G001070
OG0000911	Om008G354630, Om006G260290	Np001G052210
OG0000912	Om004G160050	Np003G186440
OG0000913	Om004G143650	Np002G098460, Np002G085070, Np004G230500
OG0000914	Om002G045570	Np007G421330, Np007G421340
OG0000915	Om006G255370	Np001G055150
OG0000915	Om008G337180	Np006G339170
OG0000917	Om005G192690	Np004G244410
OG0000917	Om005G192650, Om005G192670	Np004G244420
OG0000918	Om008G337870	Np005G308580
OG0000918	Om008G356500, Om003G106650	Np005G315140
OG0000919	Om002G063780	Np007G392200
OG0000920	Om003G091660, Om003G091680	Np004G192130
OG0000920	Om003G091780	Np004G192180
OG0000920	Om003G091700	Np004G192140
OG0000921	Om003G097940	Np004G197960
OG0000923	Om005G226510, Om005G226520, Om005G226560	Np003G174020, Np003G174010, Np003G174080
OG0000924	Om001G036070	Np001G042690
OG0000930	Om002G087470	Np007G372890
OG0000930	Om001G024260	Np005G275240
OG0000931	Om006G251030	Np001G059980
OG0000931	Om002G050950	Np007G414460
OG0000931	Om002G054470	Np007G410830
OG0000932	Om008G335890	Np006G337590
OG0000932	Om002G055520	Np007G409650
OG0000933	Om003G113540	Np003G166010
OG0000935	Om008G355400	Np003G184850
OG0000935	Om001G006870	Np005G287510
OG0000936	Om001G007530	Np005G286820
OG0000937	Om001G011310	Np005G282980, Np005G282990, Np001G040890, Np005G283000
OG0000937	Om001G011350, Om001G011370, Om001G011380, Om001G011360	Np005G282970
OG0000938	Om001G038920, Om001G040050	Np005G261790
OG0000939	Om007G287520	Np006G370630
OG0000940	Om002G077500	Np007G389300
OG0000940	Om001G035380	Np005G267370
OG0000941	Om003G103370	Np005G306090
OG0000941	Om007G279860	Np006G355930
OG0000941	Om005G182890	Np004G254420
OG0000942	Om003G103160, Om008G324770, Om002G072360	Np007G384640, Np005G305670
OG0000943	Om004G134220, Om002G047770	Np007G418570
OG0000944	Om003G123810	Np006G326970
OG0000944	Om008G325180	Np001G064800
OG0000946	Om004G176870	Np003G125330
OG0000947	Om002G043520	Np007G423710
OG0000948	Om006G252140, Om008G331880	Np006G333720, Np001G058860
OG0000950	Om007G294240	Np001G014390
OG0000951	Om008G361670	Np001G033820
OG0000953	Om006G259150	Np001G051320
OG0000953	Om006G259180, Om006G259170, Om006G259120, Om008G347940	Np001G051400, Np001G051440
OG0000954	Om002G066730, Om002G066720, Om002G066750	Np007G396180
OG0000954	Om002G066760	Np007G396360
OG0000955	Om003G092760, Om003G092750	Np007G411870
OG0000958	Om005G222830	Np002G117820, Np002G117880
OG0000962	Om007G316390	Np005G316460
OG0000962	Om006G241490	Np001G019740
OG0000962	Om006G241480	Np001G019730
OG0000963	Om004G175750	Np003G126540
OG0000963	Om002G051940	Np007G413460
OG0000964	Om004G140590	Np003G174790, Np003G174780, Np003G174770
OG0000965	Om001G003760	Np005G290140
OG0000966	Om001G004110	Np005G289830
OG0000967	Om001G014390	Np004G204770
OG0000967	Om004G133940	Np002G073860
OG0000967	Om005G204690	Np004G232570
OG0000968	Om005G222930	Np005G312580, Np005G312550
OG0000968	Om007G314370	Np005G312530
OG0000970	Om006G230550	Np001G001900
OG0000970	Om006G259200	Np001G051300, Np001G051290
OG0000971	Om001G007710	Np001G061450
OG0000972	Om002G048190	Np007G417980
OG0000973	Om007G295090	Np003G146850
OG0000973	Om002G048680	Np007G417400
OG0000974	Om007G317210, Om008G337260	Np005G312080, Np006G339250
OG0000975	Om005G201730	Np004G235740
OG0000975	Om004G138120, Om004G138110	Np002G077940
OG0000976	Om005G195450	Np004G241570
OG0000977	Om006G266230	Np001G046820
OG0000977	Om006G266330	Np001G046780
OG0000978	Om003G089620	Np001G045400
OG0000978	Om008G332310, Om008G332280	Np001G045430
OG0000979	Om003G111780, Om003G100970	Np005G302200
OG0000979	Om003G100980	Np002G108850, Np002G108860, Np002G108870, Np002G108880, Np002G108890, Np002G108900, Np005G302210
OG0000980	Om007G291280, Om007G290430, Om004G166790, Om008G320140, Om001G030210	Np006G324530
OG0000981	Om001G007310	Np005G286060
OG0000982	Om001G012000, Om004G152870, Om006G262350, Om001G003310, Om008G344900, Om003G111900, Om001G020310, Om003G109370, Om007G297450, Om008G348940, Om005G223480, Om001G018790	Np005G304580, Np001G047360, Np006G355030, Np005G302170, Np003G168280, Np002G101230, Np001G040250, Np002G103000, Np002G107040, Np007G400770, Np006G350330, Np006G345760, Np009G431350
OG0000983	Om006G243470, Om003G120200, Om006G243520, Om006G243580	Np007G379370, Np007G379420, Np003G150170, Np003G150190
OG0000986	Om001G027480	Np005G272260
OG0000988	Om004G171150	Np003G130790
OG0000989	Om008G332220	Np001G042420
OG0000990	Om008G360190	Np001G035300
OG0000991	Om001G011970	Np004G206030
OG0000991	Om001G011990	Np004G205880, Np004G206060, Np004G206040
OG0000992	Om004G155780	Np006G370160
OG0000992	Om001G040490	Np005G261430
OG0000993	Om002G075390	Np007G388170
OG0000993	Om002G050290	Np001G017820
OG0000994	Om007G281890	Np004G201380
OG0000994	Om007G281910, Om007G281900, Om007G281920	Np006G352400, Np003G175240
OG0000995	Om007G280340	Np006G355270
OG0000995	Om004G166380	Np003G138420
OG0000996	Om005G184170	Np004G253030
OG0000997	Om002G045840	Np004G243660
OG0000998	Om008G331510	Np006G333330
OG0000999	Om001G036010, Om003G110780, Om001G036000	Np001G035730, Np004G224800, Np004G224820, Np004G224810, Np004G224830, Np001G042500
OG0001000	Om007G300700, Om007G300710, Om007G300750	Np003G141740
OG0001000	Om004G131560, Om002G083060	Np007G376630
OG0001001	Om006G240650	Np001G013560, Np001G013550, Np003G164990, Np001G013570
OG0001002	Om002G057480	Np007G407700, Np004G190790
OG0001003	Om002G061360	Np007G402750
OG0001003	Om003G094290	Np004G194240
OG0001004	Om008G331010, Om008G331290	Np006G333100
OG0001004	Om008G330570, Om008G330550	Np006G332210, Np006G332220
OG0001008	Om001G024130, Om001G024080, Om001G024040	Np005G275310, Np005G275300
OG0001008	Om001G024050	Np005G275320
OG0001009	Om001G024750, Om001G024770	Np005G274820
OG0001009	Om001G024740	Np005G274870
OG0001010	Om007G292680	Np004G217440
OG0001010	Om008G338500	Np006G340310
OG0001011	Om007G277180, Om007G277230, Om007G277190, Om007G277170	Np006G367860, Np004G218160, Np005G307100
OG0001012	Om005G217930, Om011G365520	Np002G111750
OG0001012	Om005G187750	Np004G249570
OG0001013	Om005G202510	Np002G113200, Np001G050250
OG0001015	Om005G196870, Om007G286650	Np005G280380
OG0001016	Om004G164330	Np003G137630
OG0001016	Om006G240010	Np001G012680
OG0001018	Om006G238170	Np001G010790
OG0001019	Om001G000610	Np005G293910
OG0001020	Om001G001040	Np005G293230
OG0001020	Om008G361270	Np001G034430
OG0001021	Om003G128720	Np001G069350
OG0001022	Om007G300600	Np002G077740
OG0001022	Om003G127940	Np001G068590
OG0001023	Om008G329680, Om008G329690, Om006G244550, Om004G175290	Np003G151290
OG0001024	Om007G280450	Np006G355180, Np006G355170
OG0001025	Om005G184240	Np004G252970, Np007G377620, Np003G155610, Np008G425890, Np005G269230
OG0001025	Om007G281330	Np006G347150, Np006G353650
OG0001026	Om002G042950	Np007G424500
OG0001026	Om007G300350	Np003G141970
OG0001028	Om006G252270	Np001G058770
