Orthogroup	Odontarrhena_muralis	Raphanus_sativus
OG0000967	Om001G014390	XP_018487120.1, XP_018447523.1
OG0000967	Om004G133940	XP_018452813.1, XP_018461727.1
OG0000967	Om005G204690	XP_018434632.1, XP_018489857.1
OG0000968	Om005G222930	XP_018458511.1, XP_018461817.1, XP_018460034.1
OG0000968	Om007G314370	XP_018461820.1
OG0000970	Om006G230550	XP_018438951.1, XP_018452221.1
OG0000970	Om006G259200	XP_018465206.1, XP_018469166.1, XP_018433894.1
OG0000971	Om001G007710	XP_018490983.1, XP_018438251.1, XP_018489194.1
OG0000972	Om007G294350	XP_018466337.1, XP_018482186.1
OG0000972	Om002G048190	XP_018490255.1, XP_018489908.1, XP_018486015.1, XP_018438290.1
OG0000973	Om002G048680	XP_018440343.1, XP_018487372.1, XP_018462416.1, XP_018462363.1, XP_018432842.1
OG0000974	Om007G317210, Om008G337260	XP_018443714.1, XP_018443703.1, XP_018466502.1, XP_018484331.1
OG0000975	Om005G201730	XP_018450527.1, XP_018468828.1, XP_018468732.1
OG0000975	Om005G201740	XP_018487575.1
OG0000976	Om005G195460, Om005G195450	XP_018475108.1, XP_018436863.1
OG0000977	Om006G266230	XP_018468637.1
OG0000977	Om006G266330	XP_018439383.1
OG0000978	Om003G089620	XP_018439686.1, XP_018437621.1, XP_018437119.1
OG0000979	Om003G100980	XP_018490157.1, XP_018479249.1
OG0000983	Om006G243470, Om003G120200, Om006G243520, Om006G243580	XP_018444614.1, XP_018475276.1, XP_018475434.1, XP_018474254.1, XP_018474250.1, XP_018474251.1, XP_018474259.1, XP_018474253.1, XP_018474256.1, XP_018448346.1
OG0000986	Om001G027480	XP_018492224.1
OG0000987	Om007G292380, Om008G336690	XP_018459286.1
OG0000987	Om002G075170	XP_018443598.1, XP_018477067.1, XP_018443620.1, XP_018443619.1, XP_018443597.1, XP_018473889.1
OG0000988	Om004G171150	XP_018445237.1, XP_018445576.1
OG0000989	Om003G113210	XP_018474166.1, XP_018472807.1, XP_018472810.1, XP_018462367.1, XP_018462376.1, XP_018444390.1, XP_018458813.1
OG0000989	Om008G332220	XP_018453068.1
OG0000991	Om001G011990	XP_018447322.1, XP_018432629.1
OG0000992	Om004G155780	XP_018438688.1, XP_018482405.1, XP_018482392.1
OG0000992	Om001G040490	XP_018483411.1
OG0000993	Om002G075390	XP_018457453.1, XP_018466415.1, XP_018485528.1
OG0000993	Om002G050290	XP_018461196.1
OG0000994	Om007G281890	XP_018464018.1, XP_018437973.1
OG0000994	Om007G281910, Om007G281900, Om007G281920	XP_018472987.1, XP_018439037.1
OG0000995	Om007G280340	XP_018476246.1, XP_018482882.1
OG0000996	Om005G184170	XP_018472672.1, XP_018493462.1
OG0000997	Om002G045840	XP_018451763.1, XP_018464558.1, XP_018439265.1
OG0000998	Om008G331510	XP_018442069.1, XP_018467520.1, XP_018477103.1
OG0000998	Om006G251870	XP_018487080.1, XP_018480621.1
OG0001000	Om007G300700, Om007G300710, Om007G300750	XP_018445207.1
OG0001000	Om004G131560, Om002G083060	XP_018487373.1
OG0001001	Om006G240650	XP_018482156.1, XP_018479308.1, XP_018435613.1
OG0001002	Om002G057480	XP_018488440.1, XP_018486180.1
OG0001003	Om002G061360	XP_018492929.1, XP_018433773.1
OG0001004	Om008G331010, Om008G331290	XP_018464225.1, XP_018467210.1
OG0001004	Om008G330570, Om008G330550	XP_018464705.1, XP_018436401.1, XP_018436400.1
OG0001008	Om001G024130, Om001G024080, Om001G024040	XP_018475125.1, XP_018450975.1
OG0001008	Om001G024050	XP_018450974.1, XP_018477277.1, XP_018460075.1
OG0001009	Om001G024750, Om001G024770	XP_018467867.1, XP_018447810.1, XP_018449870.1
OG0001009	Om001G024740	XP_018468810.1
OG0001010	Om007G292680	XP_018488855.1, XP_018479159.1
OG0001010	Om008G338500	XP_018439777.1, XP_018482911.1
OG0001011	Om007G277180, Om007G277230, Om007G277190, Om007G277170	XP_018485840.1, XP_018485733.1, XP_018485734.1
OG0001012	Om005G217930, Om011G365520	XP_018456276.1, XP_018456281.1, XP_018434278.1
OG0001012	Om005G187750	XP_018485602.1, XP_018451221.1, XP_018460012.1
OG0001013	Om005G202510	XP_018462004.1, XP_018488160.1, XP_018452150.1, XP_018469036.1, XP_018452122.1
OG0001015	Om005G196870, Om007G286650	XP_018481824.1, XP_018472436.1, XP_018447285.1
OG0001016	Om004G164330	XP_018475923.1, XP_018476395.1, XP_018442157.1, XP_018465326.1
OG0001016	Om006G240010	XP_018452808.1, XP_018455994.1, XP_018461074.1, XP_018484641.1
OG0001017	Om006G231580	XP_018486819.1
OG0001017	Om007G290270	XP_018450216.1, XP_018450810.1
OG0001017	Om004G165290	XP_018468375.1
OG0001018	Om006G238170	XP_018479282.1, XP_018438768.1
OG0001019	Om001G000610	XP_018482980.1
OG0001020	Om001G001040	XP_018458419.1, XP_018477844.1, XP_018447301.1
OG0001020	Om008G361270	XP_018454684.1, XP_018482806.1, XP_018466633.1, XP_018481735.1
OG0001021	Om003G128720	XP_018464258.1, XP_018489518.1, XP_018444206.1, XP_018481002.1
OG0001022	Om008G319700	XP_018476276.1
OG0001022	Om007G300600	XP_018443546.1
OG0001022	Om003G127940	XP_018492060.1
OG0001023	Om008G329680, Om008G329690, Om006G244550, Om004G175290	XP_018443256.1
OG0001024	Om007G280450	XP_018453667.1
OG0001025	Om005G184240	XP_018471445.1, XP_018486112.1
OG0001025	Om007G281330	XP_018440224.1, XP_018441711.1
OG0001026	Om002G042950	XP_018444431.1, XP_018489269.1
OG0001026	Om007G300350	XP_018465126.1, XP_018444852.1, XP_018475194.1, XP_018475193.1, XP_018475029.1
OG0001027	Om005G192920	XP_018450253.1, XP_018450251.1, XP_018462934.1
OG0001028	Om008G332050	XP_018437189.1, XP_018437542.1
OG0001028	Om006G252270	XP_018484866.1
OG0001029	Om005G204290	XP_018447904.1, XP_018447946.1, XP_018447984.1, XP_018434826.1, XP_018449083.1
OG0001029	Om004G134460	XP_018456104.1
OG0001030	Om005G201880	XP_018480382.1
OG0001030	Om004G138390	XP_018444092.1, XP_018468161.1
OG0001031	Om005G202080	XP_018486118.1, XP_018486203.1, XP_018462561.1, XP_018449747.1, XP_018438227.1
OG0001031	Om004G137500	XP_018463602.1, XP_018463480.1, XP_018443036.1, XP_018461233.1
OG0001032	Om004G135840	XP_018444011.1, XP_018480528.1
OG0001032	Om005G203240	XP_018481773.1
OG0001034	Om004G143630	XP_018435984.1
OG0001034	Om005G207300	XP_018461030.1, XP_018468569.1, XP_018461031.1
OG0001035	Om001G001130, Om005G227970, Om005G228070, Om006G251590	XP_018454003.1
OG0001035	Om002G046030, Om002G046020, Om002G046010, Om002G046000	XP_018454048.1, XP_018465980.1, XP_018455368.1, XP_018455448.1, XP_018455490.1
OG0001036	Om004G132870, Om004G132900	XP_018469725.1, XP_018472203.1
OG0001036	Om004G132850	XP_018457158.1
OG0001036	Om004G132860	XP_018452457.1, XP_018455870.1
OG0001037	Om004G131290, Om010G364800	XP_018440678.1, XP_018446310.1
OG0001038	Om002G057310, Om002G056940, Om002G056930, Om002G056960	XP_018438278.1, XP_018491542.1
OG0001038	Om002G056970	XP_018485877.1, XP_018489865.1, XP_018463084.1, XP_018438827.1
OG0001039	Om003G099660	XP_018488851.1, XP_018482975.1, XP_018449682.1
OG0001039	Om002G064180	XP_018462281.1, XP_018490006.1, XP_018441422.1, XP_018489783.1
OG0001040	Om003G095600	XP_018449142.1, XP_018466034.1, XP_018491990.1
OG0001040	Om002G069240	XP_018488229.1, XP_018492095.1, XP_018465596.1, XP_018459587.1
OG0001041	Om001G026750, Om006G271130, Om005G224060	XP_018440119.1, XP_018434209.1
OG0001041	Om006G264620	XP_018441219.1
OG0001042	Om004G167580	XP_018491601.1
OG0001043	Om003G095340	XP_018489572.1, XP_018488275.1
OG0001043	Om003G095330	XP_018435752.1
OG0001044	Om006G251940	XP_018446956.1, XP_018492247.1, XP_018491208.1, XP_018478920.1
OG0001045	Om004G138940, Om004G138480	XP_018439288.1, XP_018437949.1, XP_018475591.1
OG0001047	Om001G000430	XP_018461956.1
OG0001051	Om002G082920	XP_018453950.1, XP_018485796.1
OG0001051	Om001G033650	XP_018447407.1, XP_018459368.1
OG0001052	Om001G034140, Om001G033870	XP_018448474.1, XP_018479030.1, XP_018450275.1, XP_018450157.1, XP_018448473.1
OG0001053	Om005G218880	XP_018433182.1, XP_018457379.1
OG0001053	Om005G188400	XP_018466361.1, XP_018432640.1
OG0001054	Om005G223880	XP_018437662.1
OG0001054	Om005G223800, Om003G098880, Om005G223870	XP_018434548.1
OG0001055	Om005G206280	XP_018439442.1
OG0001056	Om002G053390	XP_018489986.1, XP_018489983.1, XP_018438560.1
OG0001057	Om001G021190	XP_018468388.1, XP_018483819.1
OG0001057	Om003G115800, Om008G321080	XP_018474188.1
OG0001058	Om001G000030	XP_018483001.1, XP_018461576.1, XP_018458064.1, XP_018463900.1, XP_018449812.1
OG0001058	Om001G035410	XP_018471730.1
OG0001059	Om008G357520	XP_018467094.1, XP_018466965.1
OG0001059	Om001G004750	XP_018481183.1, XP_018458667.1
OG0001060	Om003G103620	XP_018450869.1
OG0001060	Om002G072890	XP_018432620.1, XP_018461835.1, XP_018439510.1, XP_018440611.1, XP_018485458.1
OG0001061	Om002G071530	XP_018491929.1, XP_018435490.1, XP_018441443.1
OG0001061	Om003G102610	XP_018469701.1, XP_018463513.1, XP_018466238.1
OG0001062	Om006G259280	XP_018440873.1
OG0001062	Om006G230770	XP_018440933.1
OG0001063	Om005G212620, Om003G093110	XP_018441124.1, XP_018437602.1
OG0001064	Om008G336220	XP_018440140.1, XP_018459001.1, XP_018484284.1
OG0001064	Om006G254930	XP_018492187.1, XP_018484019.1
OG0001065	Om008G335950	XP_018474976.1, XP_018439646.1, XP_018437500.1
OG0001065	Om006G254630	XP_018486069.1, XP_018464954.1
OG0001066	Om008G335940	XP_018476986.1, XP_018435011.1, XP_018477761.1, XP_018477833.1
OG0001066	Om006G254620	XP_018485991.1, XP_018446474.1
OG0001067	Om004G132270	XP_018456445.1, XP_018461544.1
OG0001067	Om005G197660	XP_018450732.1, XP_018459779.1, XP_018465332.1
OG0001068	Om004G142650	XP_018478218.1, XP_018484904.1, XP_018445527.1, XP_018445531.1, XP_018457835.1, XP_018457824.1, XP_018444746.1, XP_018465795.1
OG0001069	Om004G138890	XP_018446462.1, XP_018446817.1, XP_018446811.1
OG0001069	Om005G201270	XP_018434520.1, XP_018451456.1, XP_018438162.1, XP_018438164.1
OG0001070	Om002G055400	XP_018479272.1, XP_018447478.1
OG0001070	Om002G084080	XP_018439483.1
OG0001071	Om005G194160, Om001G020980	XP_018485503.1, XP_018451808.1
OG0001071	Om005G194150	XP_018451401.1
OG0001072	Om006G261020, Om006G238440	XP_018484024.1
OG0001073	Om007G290400	XP_018439004.1, XP_018446825.1
OG0001075	Om002G061260	XP_018440649.1, XP_018490727.1, XP_018490710.1, XP_018465264.1, XP_018440645.1, XP_018492905.1, XP_018492908.1
OG0001076	Om002G053600, Om002G053620, Om002G053580	XP_018461839.1, XP_018468722.1, XP_018461840.1, XP_018462597.1, XP_018465667.1
OG0001077	Om008G358770	XP_018467822.1
OG0001084	Om002G088350	XP_018440483.1
OG0001084	Om001G022740	XP_018444977.1, XP_018477448.1, XP_018447047.1
OG0001085	Om002G087420	XP_018466787.1, XP_018467197.1, XP_018433617.1, XP_018433632.1, XP_018434332.1
OG0001085	Om001G024410	XP_018470108.1, XP_018468571.1, XP_018472445.1, XP_018448083.1, XP_018480592.1
OG0001086	Om001G030820	XP_018483752.1, XP_018470811.1, XP_018459256.1
OG0001087	Om001G033000	XP_018471129.1, XP_018447832.1
OG0001087	Om001G033030	XP_018471127.1
OG0001088	Om006G270910, Om006G270920	XP_018433658.1, XP_018478769.1, XP_018453258.1
OG0001089	Om006G270670	XP_018479370.1
OG0001089	Om003G100560	XP_018437667.1, XP_018438116.1, XP_018456019.1, XP_018467400.1, XP_018435658.1
OG0001090	Om006G257890	XP_018436673.1
OG0001090	Om006G257910	XP_018481600.1
OG0001091	Om006G261270	XP_018439344.1, XP_018472027.1
OG0001091	Om003G111530	XP_018475841.1
OG0001092	Om006G254090	XP_018455352.1, XP_018465179.1
OG0001092	Om003G117920	XP_018452987.1
OG0001092	Om004G169810	XP_018445826.1
OG0001093	Om006G241070	XP_018447814.1, XP_018442459.1
OG0001093	Om004G162590	XP_018445830.1
OG0001094	Om004G166070	XP_018442773.1, XP_018471318.1
OG0001094	Om006G232040	XP_018434759.1, XP_018452633.1, XP_018492457.1
OG0001095	Om003G104930, Om003G098310	XP_018454587.1, XP_018449401.1
OG0001096	Om003G121440	XP_018443004.1, XP_018444960.1, XP_018444961.1, XP_018477873.1, XP_018486062.1
OG0001096	Om008G327170	XP_018472926.1
OG0001097	Om006G246790	XP_018455562.1, XP_018455559.1, XP_018466462.1
OG0001097	Om006G246780	XP_018465905.1
OG0001098	Om006G260010	XP_018439133.1, XP_018463653.1, XP_018481662.1
OG0001098	Om006G231290	XP_018457011.1, XP_018455239.1, XP_018489766.1, XP_018491200.1, XP_018489764.1, XP_018437909.1
OG0001099	Om005G178490	XP_018473037.1
OG0001099	Om004G158290	XP_018463921.1, XP_018452323.1, XP_018473411.1, XP_018448007.1
OG0001100	Om007G279170	XP_018437722.1, XP_018481765.1, XP_018462603.1
OG0001100	Om005G182670	XP_018481821.1
OG0001101	Om007G301060	XP_018446070.1
OG0001101	Om008G356620	XP_018453436.1
OG0001102	Om002G043570	XP_018441361.1, XP_018489743.1, XP_018493378.1
OG0001102	Om007G299380	XP_018476865.1, XP_018446813.1
OG0001103	Om007G302690	XP_018483342.1, XP_018452508.1
OG0001104	Om002G046780, Om007G293310	XP_018483401.1, XP_018437455.1, XP_018434436.1, XP_018456643.1, XP_018492075.1, XP_018438913.1
OG0001105	Om004G130780	XP_018456806.1, XP_018470242.1, XP_018463352.1
OG0001105	Om005G196580	XP_018440067.1, XP_018464391.1
OG0001106	Om005G197880	XP_018438703.1, XP_018467058.1, XP_018464071.1
OG0001106	Om006G270430	XP_018462969.1, XP_018448592.1, XP_018443076.1, XP_018443074.1, XP_018456185.1
OG0001107	Om005G199420	XP_018488466.1, XP_018432733.1
OG0001108	Om004G139030, Om004G139050, Om004G139020	XP_018458497.1, XP_018445814.1, XP_018443067.1
OG0001108	Om005G200740	XP_018447868.1, XP_018447660.1
OG0001109	Om004G134660	XP_018455739.1, XP_018455748.1, XP_018468717.1
OG0001110	Om005G208460	XP_018453240.1, XP_018443112.1, XP_018443115.1, XP_018468924.1
OG0001110	Om004G144960	XP_018460979.1
OG0001111	Om005G212400	XP_018442884.1, XP_018446783.1, XP_018461681.1
OG0001111	Om006G235930	XP_018487232.1, XP_018450554.1
OG0001112	Om005G201500, Om005G201320	XP_018482171.1, XP_018458991.1, XP_018439916.1
OG0001113	Om004G169750	XP_018442213.1
OG0001114	Om001G014630, Om004G153880	XP_018443381.1, XP_018443376.1
OG0001115	Om004G142580	XP_018465082.1, XP_018468064.1, XP_018443106.1, XP_018443114.1, XP_018454615.1
OG0001115	Om005G198490	XP_018488230.1, XP_018450046.1, XP_018450057.1
OG0001116	Om003G095740	XP_018492785.1
OG0001116	Om002G069120	XP_018492181.1, XP_018458280.1, XP_018486930.1, XP_018489153.1
OG0001117	Om003G101000, Om003G101110	XP_018460766.1, XP_018469077.1, XP_018477475.1
OG0001118	Om003G091610	XP_018461446.1, XP_018448832.1
OG0001119	Om003G094110, Om003G094160	XP_018448481.1, XP_018448478.1, XP_018448476.1, XP_018465944.1, XP_018448477.1, XP_018448475.1, XP_018467722.1, XP_018467724.1, XP_018469635.1, XP_018467723.1, XP_018469177.1, XP_018450223.1
OG0001119	Om003G092090	XP_018448889.1, XP_018435330.1
OG0001120	Om001G035460	XP_018449453.1, XP_018480564.1, XP_018462645.1
OG0001121	Om003G116510	XP_018475649.1
OG0001122	Om001G029970, Om005G199250	XP_018489018.1, XP_018488962.1, XP_018462375.1
OG0001124	Om001G019470	XP_018450913.1, XP_018457205.1, XP_018484613.1, XP_018450914.1
OG0001125	Om007G292200	XP_018459283.1
OG0001125	Om008G338370	XP_018482491.1, XP_018436363.1, XP_018475583.1
OG0001126	Om001G006460	XP_018455685.1, XP_018454169.1, XP_018488606.1, XP_018455916.1, XP_018455693.1
OG0001127	Om005G194820	XP_018462460.1, XP_018488197.1, XP_018451217.1
OG0001127	Om006G274830	XP_018462817.1
OG0001128	Om005G193420	XP_018437571.1, XP_018484771.1
OG0001129	Om006G269590	XP_018482954.1, XP_018435189.1, XP_018482950.1, XP_018482951.1, XP_018435188.1, XP_018482952.1, XP_018482953.1
OG0001130	Om006G268210	XP_018483668.1, XP_018441936.1, XP_018433113.1, XP_018457768.1
OG0001131	Om006G249570	XP_018454333.1, XP_018454332.1
OG0001132	Om004G174860	XP_018472949.1, XP_018470609.1
OG0001132	Om002G052350	XP_018435331.1, XP_018488308.1
OG0001133	Om001G018910, Om001G014980, Om003G117020	XP_018470805.1, XP_018447944.1, XP_018452071.1, XP_018470574.1
OG0001134	Om004G161390	XP_018470782.1, XP_018445464.1, XP_018445550.1, XP_018473369.1, XP_018445548.1, XP_018445463.1, XP_018470784.1
OG0001135	Om006G232510	XP_018458200.1, XP_018439358.1, XP_018491643.1, XP_018491637.1
OG0001135	Om004G166180	XP_018446855.1, XP_018468596.1
OG0001136	Om001G000980	XP_018468897.1, XP_018447495.1, XP_018483857.1
OG0001136	Om008G361480	XP_018478656.1, XP_018452254.1
OG0001137	Om008G358120	XP_018442067.1, XP_018452096.1
OG0001137	Om001G003870	XP_018480585.1, XP_018468493.1
OG0001138	Om001G008770, Om005G215100	XP_018450871.1, XP_018463146.1, XP_018450766.1
OG0001139	Om007G288230	XP_018475616.1, XP_018469208.1, XP_018475617.1, XP_018461605.1
OG0001140	Om001G035650	XP_018459445.1, XP_018454959.1, XP_018480787.1, XP_018448120.1, XP_018490047.1, XP_018453378.1
OG0001141	Om006G251500, Om006G266990	XP_018491440.1, XP_018491437.1, XP_018440640.1
OG0001142	Om002G070970	XP_018486237.1, XP_018459666.1
OG0001142	Om003G102330	XP_018463472.1, XP_018449306.1
OG0001143	Om008G322550	XP_018482059.1, XP_018465594.1, XP_018474803.1, XP_018467285.1
OG0001143	Om003G125560	XP_018485142.1, XP_018443593.1, XP_018489522.1
OG0001145	Om002G047570	XP_018492643.1, XP_018487418.1
OG0001146	Om008G327790	XP_018473121.1, XP_018474623.1, XP_018440748.1
OG0001146	Om002G053170	XP_018490766.1
OG0001147	Om005G225200	XP_018455236.1, XP_018453076.1, XP_018456917.1
OG0001148	Om004G166470	XP_018468451.1
OG0001149	Om006G257580	XP_018450578.1, XP_018485038.1, XP_018440173.1, XP_018480373.1
OG0001149	Om006G229310	XP_018441256.1, XP_018437504.1
OG0001150	Om007G298860	XP_018472832.1, XP_018442292.1
OG0001150	Om002G043860	XP_018440953.1, XP_018491071.1
OG0001151	Om002G049430	XP_018493554.1, XP_018492484.1
OG0001151	Om007G303840	XP_018462135.1, XP_018434287.1, XP_018463316.1, XP_018478356.1, XP_018453171.1
OG0001152	Om006G250520	XP_018462535.1, XP_018432719.1, XP_018459226.1
OG0001152	Om008G329540	XP_018462550.1, XP_018461161.1, XP_018433749.1, XP_018463991.1
OG0001153	Om008G337320	XP_018467309.1, XP_018473140.1, XP_018433993.1
OG0001154	Om004G137780	XP_018442373.1, XP_018448305.1, XP_018442873.1
OG0001154	Om005G201420	XP_018440214.1, XP_018432666.1
OG0001155	Om004G136870	XP_018445638.1, XP_018445634.1, XP_018467219.1
OG0001155	Om005G202350	XP_018447475.1, XP_018434818.1, XP_018466870.1, XP_018435355.1
OG0001156	Om004G143890	XP_018481364.1, XP_018448131.1, XP_018449768.1
OG0001156	Om005G207750	XP_018465819.1, XP_018471527.1, XP_018453457.1
OG0001157	Om005G190350, Om005G190370, Om005G190400, Om005G190380	XP_018437946.1, XP_018465402.1
OG0001157	Om005G190210	XP_018491492.1
OG0001158	Om005G207150	XP_018471636.1
OG0001158	Om004G143390	XP_018440847.1
OG0001159	Om004G135720	XP_018443201.1, XP_018445856.1
OG0001159	Om004G135760, Om004G135740	XP_018480129.1, XP_018477759.1, XP_018477760.1, XP_018445857.1
OG0001160	Om003G090340	XP_018439320.1
OG0001160	Om002G057670	XP_018486503.1
OG0001161	Om002G069190	XP_018459590.1, XP_018485702.1
OG0001161	Om003G095640	XP_018449140.1, XP_018444133.1
OG0001165	Om004G163820, Om004G163810	XP_018487320.1
OG0001169	Om003G115820	XP_018478032.1, XP_018476575.1
OG0001170	Om002G047380, Om002G047370	XP_018456358.1, XP_018456360.1, XP_018488323.1
OG0001170	Om007G293670	XP_018441549.1
OG0001171	Om005G221900	XP_018458645.1, XP_018434204.1, XP_018452576.1
OG0001171	Om005G189750	XP_018435273.1
OG0001172	Om006G273870	XP_018480905.1
OG0001172	Om005G193820	XP_018483111.1
OG0001173	Om001G018260	XP_018472235.1
OG0001173	Om005G228160	XP_018454013.1
OG0001174	Om002G053840	XP_018432714.1, XP_018434691.1, XP_018461712.1
OG0001175	Om003G118430	XP_018472296.1, XP_018475868.1, XP_018455853.1
OG0001176	Om006G231760	XP_018457790.1, XP_018492299.1, XP_018492155.1
OG0001176	Om004G165430	XP_018446600.1, XP_018472105.1
OG0001177	Om004G168130, Om004G168100	XP_018470445.1, XP_018470447.1
OG0001178	Om004G168330	XP_018468287.1, XP_018443352.1
OG0001178	Om006G236820, Om006G236830, Om006G236840	XP_018460508.1
OG0001179	Om001G002710	XP_018470886.1
OG0001179	Om002G074090	XP_018493492.1
OG0001180	Om001G004420	XP_018451251.1, XP_018470207.1, XP_018472406.1
OG0001180	Om008G357690	XP_018433185.1, XP_018483781.1
OG0001181	Om001G007890	XP_018480642.1, XP_018477464.1
OG0001181	Om008G354480	XP_018452346.1, XP_018472664.1
OG0001182	Om008G340520	XP_018476255.1, XP_018434776.1
OG0001182	Om007G289260	XP_018460110.1, XP_018485375.1
OG0001183	Om001G035210	XP_018450393.1, XP_018450394.1
OG0001183	Om002G084370	XP_018457101.1, XP_018452146.1, XP_018485426.1, XP_018466323.1, XP_018441113.1
OG0001184	Om003G127310	XP_018484385.1, XP_018492511.1
OG0001184	Om008G320610	XP_018434986.1, XP_018437892.1, XP_018472770.1, XP_018477395.1
OG0001185	Om003G126820	XP_018491007.1, XP_018490477.1, XP_018446193.1
OG0001185	Om008G321040	XP_018438223.1, XP_018438034.1, XP_018475250.1, XP_018475258.1, XP_018465208.1
OG0001186	Om003G123550, Om003G123540	XP_018444080.1
OG0001187	Om007G279310	XP_018436975.1, XP_018475297.1
OG0001187	Om005G182570	XP_018447601.1, XP_018486734.1
OG0001188	Om004G170230	XP_018445710.1
OG0001189	Om002G042490	XP_018465216.1, XP_018432711.1, XP_018491986.1
OG0001189	Om007G301350	XP_018473693.1, XP_018446791.1, XP_018472373.1
OG0001190	Om002G045600	XP_018441868.1, XP_018485749.1
OG0001191	Om007G293620	XP_018478965.1, XP_018441789.1
OG0001191	Om002G047290	XP_018491655.1, XP_018465272.1, XP_018488546.1
OG0001192	Om003G100360	XP_018483742.1, XP_018470026.1
OG0001192	Om002G049400	XP_018451544.1
OG0001193	Om006G251660	XP_018484534.1, XP_018484531.1, XP_018493159.1
OG0001193	Om008G331060	XP_018472629.1
OG0001194	Om006G251130	XP_018490672.1
OG0001194	Om006G251160	XP_018467611.1, XP_018477637.1
OG0001194	Om002G050930	XP_018440503.1, XP_018493113.1
OG0001195	Om005G198660	XP_018450128.1, XP_018450129.1, XP_018460497.1, XP_018489796.1, XP_018486107.1
OG0001196	Om004G138870	XP_018464652.1, XP_018464065.1, XP_018468725.1, XP_018469121.1
OG0001197	Om006G253160	XP_018451030.1, XP_018489705.1, XP_018491682.1
OG0001197	Om006G253170	XP_018464295.1, XP_018482832.1
OG0001198	Om007G294050	XP_018438840.1, XP_018454056.1, XP_018454057.1, XP_018479319.1
OG0001200	Om006G241520	XP_018468467.1
OG0001200	Om003G090720	XP_018450200.1
OG0001200	Om003G090790	XP_018438049.1
OG0001201	Om006G238190	XP_018454750.1, XP_018454761.1, XP_018482064.1, XP_018462961.1, XP_018478164.1
OG0001201	Om006G261620	XP_018434134.1, XP_018493448.1
OG0001202	Om006G259060	XP_018434765.1
OG0001202	Om006G260190	XP_018469051.1, XP_018468994.1, XP_018458699.1, XP_018437092.1, XP_018437989.1
OG0001203	Om003G119970	XP_018441144.1, XP_018475259.1
OG0001204	Om003G101670	XP_018447877.1
OG0001205	Om002G060410	XP_018434754.1, XP_018466262.1, XP_018459439.1
OG0001207	Om003G100370	XP_018470027.1, XP_018483743.1
OG0001207	Om002G063290	XP_018463464.1, XP_018488920.1, XP_018489241.1
OG0001208	Om003G098430	XP_018459861.1, XP_018447239.1
OG0001208	Om002G065980	XP_018434145.1, XP_018491136.1
OG0001209	Om003G098060	XP_018447131.1
OG0001209	Om002G066390	XP_018491680.1, XP_018493490.1, XP_018439796.1
OG0001211	Om003G090480, Om008G342180	XP_018448901.1
OG0001218	Om002G046860	XP_018487417.1
OG0001218	Om004G150760	XP_018486113.1
OG0001219	Om003G118330	XP_018488007.1, XP_018443653.1
OG0001220	Om006G244160, Om006G244150	XP_018442343.1
OG0001222	Om001G027470	XP_018483241.1, XP_018465116.1, XP_018451238.1, XP_018450426.1, XP_018471939.1
OG0001222	Om004G153200, Om018G373910	XP_018465880.1
OG0001223	Om002G082000	XP_018489238.1
OG0001223	Om001G031810	XP_018449833.1, XP_018465585.1, XP_018482101.1, XP_018471140.1
OG0001224	Om005G187250	XP_018434605.1, XP_018448982.1, XP_018448981.1
OG0001225	Om006G271930	XP_018484847.1, XP_018434309.1, XP_018435182.1, XP_018434984.1, XP_018437148.1
OG0001226	Om006G269860	XP_018481777.1, XP_018481782.1, XP_018440923.1
OG0001227	Om002G052210	XP_018434911.1, XP_018487453.1, XP_018487083.1
OG0001227	Om004G175150	XP_018445525.1
OG0001228	Om006G259390, Om006G259350, Om006G259430, Om006G259310	XP_018438199.1
OG0001230	Om006G236280	XP_018439421.1, XP_018492573.1
OG0001230	Om004G169010	XP_018476180.1, XP_018470706.1
OG0001231	Om006G236150	XP_018489632.1, XP_018437444.1
OG0001231	Om004G169080	XP_018469262.1, XP_018444463.1, XP_018475288.1
OG0001232	Om001G003010	XP_018449884.1
OG0001232	Om001G003020	XP_018450916.1, XP_018450003.1
OG0001233	Om001G009770	XP_018471581.1, XP_018478670.1, XP_018478611.1
OG0001233	Om008G352720	XP_018452168.1, XP_018474794.1
OG0001234	Om004G138070	XP_018446199.1
OG0001234	Om007G287480	XP_018486206.1
OG0001235	Om002G083990	XP_018441930.1
OG0001235	Om001G034630	XP_018451821.1, XP_018448115.1, XP_018444337.1
OG0001236	Om008G342170	XP_018448902.1
OG0001237	Om008G321460	XP_018467375.1, XP_018480207.1, XP_018479129.1, XP_018436605.1
OG0001237	Om005G208750, Om003G126420	XP_018477180.1, XP_018492410.1, XP_018492399.1
OG0001238	Om008G321570	XP_018480918.1, XP_018479154.1, XP_018439973.1
OG0001238	Om003G126200	XP_018478618.1, XP_018478633.1, XP_018491597.1, XP_018491668.1
OG0001239	Om003G124340	XP_018445552.1, XP_018491107.1, XP_018491108.1
OG0001239	Om008G323910	XP_018482865.1, XP_018461829.1
OG0001240	Om008G324740	XP_018475419.1
OG0001240	Om008G324680	XP_018484217.1
OG0001241	Om008G324870	XP_018472676.1
OG0001241	Om008G324900, Om008G324890	XP_018474856.1, XP_018481275.1
OG0001242	Om004G174520	XP_018476601.1, XP_018471714.1, XP_018445240.1
OG0001242	Om002G052480	XP_018487458.1
OG0001243	Om006G241260	XP_018465831.1
