Orthogroup	Odontarrhena_muralis	Brassica_napus
OG0001766	Om001G012050	XP_013717448.1, XP_048615475.1, XP_013715166.1, XP_013707783.1
OG0001767	Om005G205800	XP_013649515.1, XP_013672388.1, XP_013691396.1, XP_013691688.1
OG0001768	Om007G288330	XP_013653238.1, XP_022568200.2, XP_013655116.1, XP_013681316.1
OG0001769	Om002G084600	XP_013749080.1, XP_013742016.1
OG0001769	Om001G035630	XP_013643636.1, XP_048601039.1, XP_013748967.1, XP_022561806.1
OG0001770	Om006G259560	XP_013698278.1, XP_013749393.1, XP_013686877.2, XP_013745455.1, XP_013748571.2, XP_013702327.1
OG0001771	Om004G154310	XP_013688350.1, XP_048633604.1, XP_048597461.1, XP_013711418.1
OG0001771	Om001G038770	XP_013656582.2, XP_013685559.1
OG0001772	Om001G041500	XP_013704563.1, XP_013671426.3, XP_013685721.2, XP_013656752.2
OG0001772	Om005G211660	XP_013688620.1, XP_013676446.2, XP_013649140.1, XP_013652250.1, XP_048591977.1
OG0001773	Om003G113680	XP_013688310.1, XP_013701595.2, XP_013713920.2, XP_048610145.1
OG0001773	Om008G340200	XP_013734259.1, XP_048608434.1, XP_013691992.1, XP_013744889.2
OG0001774	Om007G287910	XP_048592625.1, XP_048618401.1, XP_048614710.1, XP_048596089.1
OG0001774	Om008G341460	XP_013691625.2, XP_013647564.2, XP_013659375.1, XP_013747203.2
OG0001775	Om001G008380	XP_013731863.2, XP_048596554.1, XP_013737546.2, XP_013717191.3
OG0001775	Om008G353980	XP_013714463.1, XP_013662026.2
OG0001776	Om008G357950	XP_048609121.1
OG0001776	Om008G357920	XP_022570111.1, XP_048618306.1, XP_048618304.1, XP_013746992.1
OG0001777	Om004G159160	NP_001302511.1, XP_048625512.1
OG0001777	Om007G316940	XP_013743301.1, XP_013731307.2
OG0001778	Om008G319150	XP_048631837.1
OG0001778	Om003G128550	XP_013731562.1, XP_013671900.2, XP_013741765.1, XP_013711679.1, XP_013716806.2
OG0001779	Om003G128300	XP_048616270.1, XP_013749432.2, XP_013707844.2
OG0001779	Om008G319250	XP_013676491.1, XP_013688595.2, XP_013687838.1, XP_022574697.1
OG0001780	Om008G322630	XP_013680818.1, XP_013740645.2, XP_013752129.1, XP_022570769.1
OG0001780	Om003G125530	XP_013712129.1, XP_013710609.2, XP_048616191.1, XP_013652032.1
OG0001781	Om003G124590	XP_048634272.1, XP_048609631.1
OG0001781	Om008G323600	XP_013734771.3, XP_013683856.1, XP_022574269.1, XP_022574277.2
OG0001782	Om003G123090	XP_022560874.2, XP_048592462.1
OG0001782	Om008G325780	XP_013717462.1, XP_013646880.1, XP_013687858.1
OG0001783	Om006G242000	XP_013681957.2, XP_048627740.1, XP_048626653.1, XP_013731033.2, XP_013667314.1, XP_013736400.1, XP_013721994.3
OG0001784	Om006G230840	XP_013653495.1, XP_013686189.1, XP_013741699.1, XP_013709904.1
OG0001784	Om006G259520	XP_013691392.2, XP_013691297.2
OG0001785	Om004G157560	XP_048595104.1, XP_013731267.2
OG0001785	Om005G178240	NP_001302697.1, NP_001302842.1, XP_013730447.1, XP_013673054.2
OG0001786	Om005G178470	XP_013697748.2, XP_013665589.1
OG0001786	Om004G158260	XP_013660546.2, XP_048595124.1, XP_013735319.2, XP_013684344.2
OG0001787	Om004G159150	XP_013731963.2, XP_013722757.1
OG0001787	Om005G179160	XP_013695284.1, XP_013666380.1, XP_013677275.1, XP_013670381.1
OG0001788	Om004G159460	XP_013740786.2, XP_048607039.1
OG0001788	Om005G179440, Om003G116020	XP_013710421.2, XP_013660316.1, XP_013719188.1, XP_013697897.1
OG0001789	Om004G159990, Om004G160000	XP_013698067.2, XP_013722742.1
OG0001790	Om007G280560	XP_013675707.2, XP_013744309.1
OG0001790	Om005G183490	XP_013660628.2, XP_013737650.1
OG0001791	Om005G183900	XP_013657511.1, XP_013696407.1, XP_013723242.2
OG0001791	Om007G281060	XP_013748740.2, XP_048636788.1
OG0001792	Om007G281860	XP_048610279.1, XP_048636810.1, XP_013731160.2, XP_048609914.1
OG0001792	Om005G203340, Om005G184540	XP_013664536.2, XP_013697137.2
OG0001793	Om005G184770	XP_013697462.2, XP_013687154.2, XP_022564225.1, XP_013657545.1
OG0001793	Om007G282090	XP_013683286.1, XP_013683512.1
OG0001794	Om005G185160	XP_022563226.1, XP_013657551.1, XP_013687137.2, XP_048613821.1, XP_048597865.1
OG0001794	Om007G282570	XP_013747161.1, XP_013747154.2
OG0001795	Om007G298910	XP_048607935.1, XP_048626614.1, XP_013667613.2, XP_013720921.2
OG0001796	Om002G044610	XP_013740876.2, XP_013745020.2, XP_048636211.1, XP_048614220.1
OG0001796	Om007G297370	XP_013649806.1, XP_048602384.1
OG0001797	Om007G296780	XP_048607978.1, XP_048627015.1
OG0001797	Om002G045080	XP_048602275.1, XP_013682587.2, XP_013740880.2, XP_013745024.2
OG0001798	Om007G294650, Om005G212940	XP_048591107.1, XP_013646003.2
OG0001798	Om002G048320	XP_048632244.1, XP_048606075.1, XP_048618029.1, XP_022558795.2, XP_013695907.3
OG0001799	Om007G293700	XP_048591148.1, XP_013643918.1
OG0001799	Om002G048330	XP_013735920.2, XP_013684470.2, XP_022558650.2, XP_048636069.1
OG0001800	Om002G048990	XP_048600827.1, XP_013696865.1, XP_013714337.2
OG0001800	Om007G295460	XP_048624987.1, XP_048599119.1
OG0001801	Om007G305650	XP_013660747.1, XP_048625620.1, XP_013699479.1, XP_013677954.2
OG0001801	Om002G049720	XP_013750643.2, XP_013706277.1
OG0001802	Om004G157380	XP_013741469.1, XP_013741465.2, XP_013741466.1, XP_013716188.2, NP_001302912.1, XP_013647256.1, XP_013701069.2
OG0001803	Om008G337160	XP_013687590.1, XP_013744678.2, XP_013734362.2, XP_013644452.1
OG0001803	Om006G255350	XP_048616992.1, XP_013663112.1, XP_013663246.2
OG0001804	Om007G278010	XP_048617591.1, XP_013727020.1
OG0001804	Om005G197040	XP_048603925.1, XP_013641677.1, XP_013692610.2, XP_048597649.1, XP_013709928.1
OG0001805	Om004G132470	XP_048617545.1, XP_048592358.1
OG0001805	Om005G197810	XP_013641620.1, XP_013660461.1, XP_013712542.1, XP_013731235.2
OG0001806	Om005G198420	XP_013712191.2, XP_048597614.1, XP_013641560.1, XP_013744571.2, XP_013712315.2, XP_013682970.1
OG0001807	Om008G338460, Om008G338470	XP_013658313.2, XP_013682056.1, XP_013740515.1
OG0001807	Om005G201470	XP_013673003.1, XP_013739837.2
OG0001808	Om004G136980	XP_013717974.1, XP_013702663.2
OG0001808	Om005G202440	XP_013642036.2, XP_013642037.2, XP_013729979.3, XP_013730004.1
OG0001809	Om005G208300	XP_048617250.1, XP_013725761.1
OG0001809	Om004G144770	XP_013666516.1, XP_048592687.1, XP_013729680.2, XP_013698111.2, XP_013662861.1
OG0001810	Om004G146130	XP_013721740.1, XP_013651577.2, XP_013695692.1, XP_013646765.2, XP_048606754.1, XP_013685278.3, XP_013652323.2, XP_013700973.1
OG0001811	Om005G211370	XP_013716036.2, XP_013659964.1
OG0001812	Om005G211590	XP_013649289.2, XP_013702530.2, XP_013649137.2, XP_013649145.1, XP_022560843.2, XP_022545926.1, XP_013709977.2, XP_048619629.1, XP_013662575.1, XP_013662659.1
OG0001814	Om004G155870	XP_048621033.1, XP_013659153.1, XP_048608779.1, XP_013681287.2, XP_013716975.1, XP_048633550.1
OG0001814	Om001G040560	XP_013640791.1, XP_013735678.1
OG0001815	Om002G080770, Om007G295440	XP_013727679.2, XP_013683516.2, XP_013683179.2, XP_013667485.1
OG0001816	Om002G047120	XP_013750690.2, XP_013750734.2
OG0001816	Om007G293510	XP_013703569.2, XP_048617858.1
OG0001817	Om004G171380	XP_013676140.2, XP_013718854.1, XP_013678528.2, XP_013724066.2
OG0001817	Om002G054530	XP_013677113.2, XP_013729576.1, XP_022575533.1, XP_013640170.1
OG0001818	Om006G260370	XP_013642841.1, XP_013718237.1, XP_013714180.2, XP_013642403.2
OG0001818	Om006G239080	XP_013724679.2, XP_048595375.1, XP_013643420.2, XP_013643677.2
OG0001819	Om006G229570	XP_048595514.1, XP_013652812.2
OG0001819	Om006G258020	XP_048618583.1, XP_013737042.1, XP_048596988.1, XP_013697874.1
OG0001820	Om006G261480	XP_013683201.1, XP_048590842.1, XP_048632796.1, XP_048600294.1
OG0001820	Om006G261450, Om006G261340	XP_048590844.1
OG0001821	Om003G094580	XP_013702477.2, XP_013640355.1, XP_048636921.1, XP_022566574.2
OG0001821	Om002G061690	XP_013702963.1
OG0001822	Om002G069440	XP_022575263.1, XP_022558367.1, XP_048630248.1, XP_048632508.1, XP_013681805.1
OG0001822	Om003G095310	XP_013752508.1, XP_048616612.1
OG0001823	Om002G088090, Om003G118780	XP_013652707.1, XP_013682629.2, XP_013652705.1
OG0001824	Om008G335410	XP_013723927.1, XP_013689078.2, XP_013748346.2
OG0001824	Om006G254330	XP_013678308.1, XP_013737894.2, XP_013742861.2
OG0001825	Om008G331140	XP_013747365.1, XP_013691085.1, XP_013752155.1
OG0001826	Om003G119720	XP_013742188.1, XP_013742208.1, XP_013727397.2
OG0001826	Om008G328620	XP_013692201.1, XP_013747844.2, XP_013734489.2, XP_013647865.2
OG0001827	Om003G119940	XP_022556086.2, XP_048609704.1, XP_022574501.1
OG0001828	Om008G323210	XP_048611246.1, XP_013725501.2
OG0001828	Om003G124760	XP_013663813.1, XP_013712563.1, XP_048634270.1, XP_013670625.2
OG0001830	Om003G122150, Om003G122160	XP_013648354.2
OG0001830	Om003G122140	XP_048593047.1, XP_022555728.1, XP_048615953.1
OG0001831	Om008G362720	XP_013695765.2, XP_048637331.1, XP_013705787.2
OG0001832	Om008G338530, Om008G335500, Om008G335450	XP_048608450.1, XP_013740509.1, XP_013675443.2, XP_013675544.2, XP_048634443.1, XP_013744666.1, XP_013691743.1, XP_048629631.1, XP_022570390.1
OG0001833	Om001G028080	XP_048621643.1, XP_048619241.1, XP_013669757.2, XP_048636441.1
OG0001833	Om001G028070	XP_013652527.2
OG0001834	Om008G335330	XP_022547166.2, XP_048614116.1
OG0001834	Om008G335300	XP_013691896.2, XP_013641709.2, XP_013641714.2
OG0001834	Om005G196550, Om008G335310	XP_013641712.1
OG0001835	Om005G202280	XP_013645389.3, XP_022571314.2
OG0001836	Om005G224440	XP_013669214.2, XP_048625897.1, XP_048627855.1, XP_013660177.2, XP_013668704.1, XP_013710589.1
OG0001837	Om004G172100, Om006G261930	XP_013710210.2
OG0001837	Om004G172140, Om004G172120, Om004G172110	XP_013718898.1, XP_013718954.1, XP_013718899.1
OG0001838	Om001G000280, Om001G000290	XP_048591037.1, XP_013671691.1, XP_048591018.1, XP_048591050.1, XP_013750617.2, XP_013671693.1
OG0001839	Om004G176150	XP_013647349.1, XP_013714101.1, XP_048592823.1, XP_048607316.1, XP_013718469.1, XP_013654791.2, XP_013720213.1
OG0001844	Om001G024060	XP_013681570.2, XP_013661496.2
OG0001844	Om002G087490	XP_013745344.3, XP_013744428.2, XP_048621076.1, XP_048597544.1
OG0001845	Om001G026200	XP_013720364.1, XP_013740968.2
OG0001845	Om001G026130, Om001G026150, Om001G026160	XP_048602101.1, XP_013688925.1, XP_048621236.1, XP_013705809.2, XP_013738280.1, XP_048619204.1, XP_048620319.1, XP_048633055.1
OG0001846	Om002G083690	NP_001302871.1, XP_013724933.1
OG0001846	Om001G034280	XP_013670585.1, XP_022544686.2, NP_001302752.1, XP_048606314.1
OG0001847	Om007G276170	XP_013737696.1
OG0001847	Om007G276160	XP_048626430.1, XP_013737343.1, XP_048618852.1
OG0001848	Om005G189000	XP_013657760.1, XP_013750791.1, XP_013716117.2, XP_013641340.1, XP_013645748.1, XP_013645722.1, XP_013640913.1
OG0001849	Om005G222900	XP_048595767.1, XP_013687220.2
OG0001851	Om007G317310	XP_013651858.2
OG0001851	Om006G271240	XP_013644648.3, XP_022543596.2, XP_013725046.2, XP_013695383.2, XP_013697931.1, XP_048628262.1, XP_013724872.2
OG0001852	Om007G315660	XP_013647755.2, XP_013699197.1, XP_048610752.1, NP_001302993.1
OG0001853	Om006G255380, Om007G288500	XP_048596524.1, XP_013709913.2
OG0001854	Om005G214490	XP_022557362.2
OG0001855	Om005G215030	XP_022571536.1, XP_013699257.1, XP_022560969.1, XP_013722380.2
OG0001856	Om005G224800	XP_013644445.1, XP_013660711.2
OG0001856	Om005G191370	XP_013675231.2, XP_013655288.2, XP_048597766.1, XP_013708615.2
OG0001857	Om006G249860	XP_013685022.2, XP_013673254.1, XP_013732921.1, XP_013712724.1, XP_013667028.2
OG0001858	Om004G173240	XP_013668396.1, XP_048624412.1, XP_013724647.2, XP_022554194.1
OG0001858	Om002G053140	XP_013676541.2, XP_013640893.2
OG0001859	Om002G053510	XP_048600693.1, XP_013730916.1, XP_013640199.2, XP_013640213.1
OG0001859	Om004G172790	XP_013668180.1, XP_013729431.1
OG0001860	Om004G171350	XP_013715599.3
OG0001860	Om002G054540	XP_013729584.1, XP_013750149.1, XP_022575532.1
OG0001861	Om002G054630	XP_022575528.1, XP_013648173.1, XP_013736140.1, XP_013750142.1
OG0001861	Om004G171130	XP_013724014.1, XP_013678520.1, XP_048626715.1
OG0001862	Om004G170140	XP_048598521.1, XP_013670838.1
OG0001862	Om002G055460	XP_013646568.2, XP_013711216.1, XP_013750100.1
OG0001863	Om007G286190	XP_013740218.1, XP_048600137.1
OG0001863	Om003G112570	XP_013681219.1, XP_013640543.1, XP_022571443.2, XP_013710473.2
OG0001864	Om003G116120	XP_013719425.1, XP_013685947.1, XP_013733617.1, XP_013640718.1, XP_048611746.1, XP_022543822.2, XP_048593420.1
OG0001865	Om003G116350	XP_013675663.1, XP_022544934.2, XP_013686598.1, XP_013666741.1
OG0001865	Om001G020020	XP_048598649.1, XP_013742747.1
OG0001866	Om003G116580	XP_048624584.1, XP_022548980.1, XP_022544927.2, XP_048627419.1, XP_048627189.1, XP_048603121.1
OG0001866	Om001G019420	XP_013742583.2, XP_013741744.2
OG0001867	Om006G249280	XP_013696167.2, XP_013667069.2, XP_022566614.1, XP_048628763.1, XP_013741538.1, XP_013706062.2, XP_022572697.2, XP_013641325.1
OG0001868	Om006G240910	XP_013663186.2, XP_013667361.2
OG0001868	Om004G162720	XP_013727153.2, XP_013720817.1
OG0001869	Om006G231560	XP_048590939.1, XP_013643227.2
OG0001869	Om004G165280	XP_013678799.1, XP_048626232.1, XP_022554301.1
OG0001870	Om004G165450	XP_013681090.1, XP_013701231.2, XP_013666127.1, XP_048626245.1, XP_048626254.1, XP_048602761.1
OG0001871	Om006G232050	XP_013723063.1, XP_048616783.1, XP_048603275.1, XP_013675432.1, XP_013710341.1, XP_013741711.1
OG0001872	Om006G250170, Om006G232620	XP_048602716.1, XP_013678596.2, XP_048627677.1, XP_013680297.1, XP_013726735.2, XP_048607838.1
OG0001873	Om004G166720	XP_013680733.1, XP_048603456.1, XP_013680308.1, XP_013680313.2, XP_013737485.1, XP_013715306.2
OG0001874	Om005G225550	XP_022569892.1, XP_013715293.2, XP_013691290.2, XP_048603378.1, XP_013668413.2, XP_048637521.1, XP_013668367.2, XP_048606709.1
OG0001875	Om004G167850	XP_013718884.3, XP_013730175.1, XP_013715273.2
OG0001875	Om006G237550	XP_013655591.1, XP_013661064.1
OG0001876	Om006G237180	XP_013661074.2, XP_013677615.2, XP_013705346.2, XP_013736968.1
OG0001876	Om004G168040	XP_048624908.1, XP_013680376.1
OG0001877	Om004G168890	XP_013718949.1, XP_048603108.1, XP_013746781.1, XP_013715611.2
OG0001878	Om001G000310	XP_022562704.2, XP_013737319.1, XP_013677037.2
OG0001878	Om008G362390	XP_013697869.2, XP_013707599.1
OG0001879	Om001G001080	XP_013737273.2, XP_013703801.1
OG0001879	Om006G254640	XP_013718705.2, XP_048616285.1, XP_013732824.2
OG0001880	Om001G001830	XP_013688062.1, XP_013719649.1, XP_048594680.1, XP_013655976.2, XP_048622555.1, XP_013731785.1, XP_013655978.2
OG0001881	Om001G006590	XP_048605862.1, XP_048626763.1, XP_048601527.1, XP_013741407.1
OG0001882	Om008G354800	XP_013671913.1, XP_013659488.2
OG0001882	Om001G007480	XP_013671165.1, XP_013737089.1, XP_048594726.1, XP_013730024.1
OG0001883	Om008G354400	XP_013662008.1, XP_013712095.1
OG0001883	Om001G008000	XP_013656135.1, XP_013685756.2, XP_013642970.1, XP_013664738.1
OG0001884	Om005G195870	XP_013677757.2, XP_013661629.2, XP_048638287.1, XP_048614067.1, XP_013749553.2, XP_013641533.2
OG0001884	Om004G129530	XP_022567387.1, XP_013648533.2
OG0001885	Om001G012040	XP_013715121.2, XP_013707567.1, XP_048616849.1, XP_013662247.1
OG0001885	Om008G347930	XP_048624564.1, XP_013691455.2, XP_022552653.1, XP_013695270.2
OG0001886	Om001G014110	XP_048614636.1, XP_048636288.1, XP_048594463.1
OG0001886	Om008G343340	XP_048631965.1, XP_022554987.2
OG0001887	Om008G344790	XP_048631934.1, XP_048631937.1, XP_048631932.1, XP_048631933.1, XP_048606877.1, XP_048606878.1
OG0001887	Om001G014790	XP_048616942.1
OG0001888	Om007G289400	XP_013655102.2, XP_048626641.1, XP_022555675.1, XP_048634403.1, XP_022556325.1
OG0001889	Om002G085610	XP_013680216.2, XP_013695803.2, XP_013652965.1
OG0001889	Om001G036380	XP_013739904.2, XP_013747019.1
OG0001890	Om001G039100	XP_048627737.1, XP_013656573.1
OG0001890	Om001G039090	XP_013732886.1, XP_013669467.2, XP_048608929.1, XP_022555723.1, XP_048627728.1
OG0001891	Om001G017880	XP_048619094.1, XP_048619648.1, XP_013671576.2, XP_013741545.1
OG0001891	Om005G214820, Om005G189340	XP_048613926.1, XP_048590908.1
OG0001892	Om008G341440	XP_013644994.1, XP_013653656.2, XP_013667121.1, XP_048615374.1
OG0001892	Om007G287980	XP_022568191.1, XP_013653218.2
OG0001893	Om008G347990	XP_048631980.1, XP_013684078.2
OG0001893	Om008G347980	XP_013691689.2, XP_013656641.2, XP_013735558.2, XP_013684077.1
OG0001894	Om008G330850	XP_013686059.1, XP_048609377.1, XP_013716900.2, XP_013734558.2, XP_013687702.1, XP_013744822.1
OG0001895	Om008G362400, Om008G362420, Om008G362410	XP_013705313.3, XP_048637336.1, XP_013714145.1
OG0001896	Om003G104810	XP_013732885.2, XP_013675693.2, XP_048628645.1, XP_013667464.1, XP_013685253.1, XP_048621673.1
OG0001897	Om003G103660	XP_013680231.1, XP_048631101.1, XP_013687443.2, XP_013686437.1, XP_013651386.1, XP_013695613.1, XP_013695607.1, XP_013653535.1
OG0001898	Om002G071120	XP_048593069.1, XP_013641971.2, XP_048635195.1, XP_013696874.2
OG0001898	Om003G102430	XP_013668466.1, XP_013658974.2
OG0001900	Om007G318210	XP_013743468.1, XP_048612167.1, XP_048616966.1, XP_048592923.1
OG0001901	Om008G318990	XP_022558880.2, XP_048635568.1, XP_013655453.2, XP_013649069.2
OG0001901	Om003G128330	XP_013710758.1, XP_013716731.2
OG0001902	Om003G127700	XP_013648493.1, XP_013712402.1, XP_013663947.2
OG0001902	Om008G320130	XP_013751989.1, XP_013690489.2, XP_048608676.1
OG0001903	Om003G125620	XP_013707740.2, XP_013688082.1
OG0001903	Om008G322500	XP_013734791.2, XP_048631800.1, XP_048593031.1, XP_013728382.1
OG0001904	Om003G125510	XP_013690552.1, XP_022551677.1
OG0001904	Om008G322650	XP_048609346.1, XP_013752130.1, XP_013666706.2, XP_048631798.1
OG0001905	Om003G124360	XP_048616939.1, XP_013648275.2, XP_013663829.2, XP_022563986.2, XP_013742081.3
OG0001905	Om008G323900	XP_022554886.1
OG0001906	Om003G123560	XP_048620756.1, XP_013663742.1, XP_048591603.1, XP_013733228.1, XP_013742104.1
OG0001906	Om008G325480	XP_048609308.1, XP_048611212.1, XP_013690898.2
OG0001907	Om006G262480	XP_048633013.1, XP_013669163.1
OG0001908	Om001G033950	XP_013705919.1, XP_048591278.1, XP_022552577.1, XP_048602887.1, XP_048628368.1
OG0001909	Om005G179340	XP_048621866.1, XP_013697204.2, XP_048594342.1, XP_048613618.1, XP_013666364.2
OG0001910	Om007G293120	XP_013642643.1, XP_013731445.1, XP_013735453.2, XP_013673307.1
OG0001910	Om005G180580	XP_013664854.2
OG0001911	Om007G278040	XP_013659387.1, XP_013740952.1
OG0001911	Om005G181450	XP_013695096.2, XP_013665631.2
OG0001912	Om007G279800	XP_013698114.1, XP_048634348.1
OG0001912	Om005G182830	XP_048594292.1, XP_048621781.1, XP_022559534.1, XP_013666674.1
OG0001913	Om005G183110	XP_013660599.1, XP_048594278.1
OG0001913	Om007G280140	XP_013726229.1
OG0001914	Om007G280480	XP_013729405.3, XP_013744324.2
OG0001915	Om007G280730	XP_013747192.2, XP_048609975.1, XP_048610236.1, XP_013748758.2
OG0001915	Om005G183620	XP_013665675.2, XP_013696065.1
OG0001916	Om005G185100, Om002G073590	XP_013748911.2, XP_013748899.1, XP_048636842.1
OG0001917	Om005G185570	XP_013729483.1, XP_013657572.1, XP_013707848.1
OG0001918	Om005G205290	XP_048608778.1, XP_013681286.2
OG0001919	Om007G301400	XP_013740163.1, XP_013714082.1
OG0001919	Om002G042440	XP_048636278.1, XP_013729775.2, XP_013684265.1, XP_013735625.2
OG0001920	Om007G298360	XP_048626258.1, XP_013719865.2, XP_013649843.2
OG0001920	Om002G044080	XP_013682556.2, XP_013661919.2, XP_048614248.1, XP_048614253.1, XP_013750932.2
OG0001921	Om007G298300	XP_013729629.2, XP_048626748.1
OG0001921	Om002G044130	XP_048606026.1, XP_013735727.1, XP_048614245.1, XP_048636162.1
OG0001922	Om002G047840	XP_013677647.2, XP_048631387.1
OG0001922	Om007G294100	XP_022552954.1, XP_022558162.1, XP_048629344.1, XP_013660824.2, XP_022569937.1
OG0001923	Om006G263060	XP_022554824.2, XP_048636456.1, XP_048609409.1
OG0001923	Om006G252450	XP_013686490.2, XP_013647988.2
OG0001924	Om006G254590, Om006G254600	XP_022560477.1, XP_022544630.2
OG0001924	Om008G335870, Om008G335880	XP_048609257.1, XP_048636516.1, XP_048636515.1, XP_048634512.1, XP_048611050.1
OG0001925	Om008G334680	XP_013744793.1, XP_013698699.1, XP_048636495.1, XP_048610018.1, XP_048631666.1, XP_048608510.1
OG0001926	Om008G334240	XP_013702054.1, XP_048634556.1, XP_013725557.1, XP_048628396.1, XP_048636487.1
OG0001926	Om006G256730	XP_013737127.2, XP_048632715.1
OG0001927	Om004G130460	XP_048617605.1, XP_013727007.2
OG0001927	Om005G196440	XP_048614086.1, XP_013641480.1, NP_001302829.1, XP_013710700.2, XP_048621175.1, XP_048621174.1, XP_048594125.1, XP_013699622.1
OG0001928	Om004G133220	XP_013652083.2, XP_013674768.2
OG0001928	Om005G198220	XP_013712171.1, XP_048597625.1, XP_013744554.1, XP_013641588.1
OG0001929	Om004G141960	XP_013702550.1, XP_013649601.1, XP_013676621.1, XP_013695475.1, XP_013701423.1, XP_013701424.2
OG0001930	Om005G200480	XP_013723325.1, XP_048638402.1
OG0001930	Om004G139600	XP_013649764.1, XP_048617382.1, XP_048617388.1, XP_013702469.1
OG0001931	Om004G138990	NP_001303170.1, XP_013700628.1
OG0001931	Om005G200760	NP_001302905.1, XP_048627878.1, XP_013664631.1, XP_022553314.2, XP_013715645.2
OG0001932	Om005G201280	XP_013737958.2, XP_013746606.1, XP_013696537.1, XP_013641894.1
OG0001932	Om004G138920	XP_022568921.1
OG0001933	Om004G135540	XP_013646844.1, XP_013648725.1, XP_048617464.1, XP_013650092.1, XP_013648739.1, XP_013672298.1, XP_013693751.1
OG0001934	Om005G204640	XP_013752337.2, XP_048612780.1
OG0001934	Om004G134040	XP_048615980.1, XP_013699438.2
OG0001935	Om004G143370	XP_013738218.1, XP_013697574.2
OG0001935	Om005G207130	XP_013743681.1, XP_048591822.1, XP_048617282.1, XP_013702793.1
OG0001936	Om001G023770	XP_048593665.1, XP_048593667.1
OG0001937	Om004G145490	XP_022546723.1
OG0001937	Om005G209270	XP_013731549.1, XP_013731547.1, XP_013690129.2, XP_013649381.1, XP_013702291.1
OG0001938	Om005G200410	XP_013695506.2, XP_013659649.1
OG0001939	Om004G156080	XP_013743528.1, XP_013717051.2, XP_048597501.1, XP_048621042.1
OG0001939	Om001G040860	XP_013656684.2, XP_013701727.1, XP_013746809.1, XP_013735586.1
OG0001940	Om007G275580	XP_013672657.2
OG0001940	Om003G128050	XP_013660771.2, XP_048625610.1, XP_013644287.3, XP_022561120.1
OG0001941	Om008G361130	XP_013695779.2, XP_048608754.1, XP_022551081.2, XP_022550552.2
OG0001942	Om002G058530	XP_013672617.2, XP_048613080.1, XP_048618676.1
OG0001943	Om006G260840, Om002G055280	XP_013648189.1, XP_013644762.1, XP_013646471.1
OG0001943	Om004G170270	XP_048624160.1, XP_013715424.2
OG0001944	Om002G055050	XP_013648183.1, XP_048608936.1, XP_048635922.1, XP_048615215.1
OG0001944	Om004G170530	XP_048602648.1, XP_013718862.2
OG0001945	Om006G239300	XP_048632585.1, XP_048600311.1
OG0001946	Om006G238210	XP_022561266.1, XP_013643489.2
OG0001948	Om006G243640	XP_048605694.1, XP_013723534.1, XP_013667203.2, XP_013734954.1, XP_013715837.2, XP_013682232.1
OG0001949	Om006G242170, Om008G349600	XP_048599056.1, XP_048623369.1
OG0001950	Om002G058500	XP_048635829.1, XP_013745899.1, XP_013686361.2
OG0001950	Om003G091220	XP_048616468.1, XP_013640395.1
OG0001951	Om002G060120	XP_013684855.1, XP_013736284.1, XP_013719684.1, XP_048635786.1, XP_013693414.1
OG0001951	Om003G093170	XP_048628179.1, XP_013749000.2, XP_013732844.2
OG0001952	Om003G100590	XP_013655727.1, XP_013721108.2
OG0001952	Om002G063070	XP_013751633.2, XP_048612833.1
OG0001953	Om002G066670	XP_048635535.1, XP_013724532.2, XP_013714421.1
OG0001953	Om003G097860	XP_013749107.2, XP_048635137.1, XP_013735866.2, XP_013715086.1
OG0001954	Om002G068670	XP_013731926.1, XP_013678570.1, XP_013697853.1, XP_022575274.1, XP_048630331.1
OG0001955	Om003G095570	NP_001303061.1, XP_048636949.1, XP_013726844.2, XP_013655546.1, XP_013723606.2, XP_013702768.1, XP_048637753.1
OG0001956	Om002G081680	XP_048627802.1, XP_013742685.2, XP_013665830.2
OG0001957	Om008G339760	XP_013744548.2, XP_013729051.1, XP_013692700.2, XP_048636629.1
OG0001957	Om007G291060	XP_013707293.1, XP_013662459.1
OG0001958	Om002G080310	XP_048607101.1, XP_048632607.1, XP_013736701.1, XP_013733404.1
OG0001959	Om003G123980	XP_013701577.1, XP_022568212.1, XP_013742095.1
OG0001959	Om003G124010	XP_048611231.1
OG0001960	Om003G093690	XP_022561151.1, XP_013674974.2, XP_048628493.1, XP_013728291.2, XP_048615653.1, XP_048628494.1, XP_048636938.1, XP_048628490.1, XP_048594411.1, XP_048606527.1, XP_013698679.1, XP_013640582.1
OG0001961	Om003G097180	XP_013702182.1, XP_013676191.1, XP_022563815.2, XP_013702108.1
OG0001962	Om001G016520, Om001G004390, Om001G004380, Om005G185120	XP_013716482.1, XP_048597864.1, XP_013657145.2, XP_013716480.1, XP_048597866.1
OG0001963	Om004G160330	XP_013684153.2, XP_048632947.1, XP_048607018.1, XP_048607013.1, XP_013735417.2, XP_048607017.1, XP_013722897.2, XP_048595187.1
OG0001971	Om001G023940	XP_013685593.1, XP_013661489.1, XP_048637517.1, XP_013670831.1
OG0001971	Om002G087550	XP_013742379.1, XP_013744425.1
OG0001972	Om001G026000	XP_013688631.1, XP_013684413.3
OG0001972	Om002G086100	XP_048595606.1, XP_048625852.1, XP_013675640.1, XP_013652842.1
OG0001974	Om001G027730	XP_013650195.2, XP_013670783.1
