Orthogroup	Odontarrhena_muralis	Cardamine_amara
OG0002027	Om003G120430	evm.model.RL_7.635
OG0002027	Om008G327840	evm.model.RL_6.2288
OG0002028	Om006G244960	evm.model.RL_8.2111
OG0002029	Om005G178520, Om004G163610	evm.model.RL_5.39
OG0002029	Om004G158350	evm.model.RL_8.130
OG0002030	Om004G160070	evm.model.RL_8.281
OG0002030	Om005G179880	evm.model.RL_5.162
OG0002031	Om005G181490	evm.model.RL_6.1406
OG0002032	Om007G279240	evm.model.RL_6.1318
OG0002032	Om005G182620	evm.model.RL_5.392
OG0002033	Om005G184230	evm.model.RL_5.528
OG0002033	Om007G281320	evm.model.RL_6.1156
OG0002034	Om005G185280	evm.model.RL_5.604
OG0002034	Om007G282940	evm.model.RL_6.1014
OG0002035	Om003G117120	evm.model.RL_8.1621
OG0002036	Om007G299260	evm.model.RL_4.2057
OG0002036	Om002G043630, Om005G194130	evm.model.RL_1.143
OG0002037	Om007G299250	evm.model.RL_4.2056
OG0002037	Om002G043650	evm.model.RL_1.145
OG0002038	Om002G062950	evm.model.RL_1.1591
OG0002039	Om006G251670	evm.model.RL_7.800
OG0002039	Om008G331050	evm.model.RL_6.2090
OG0002040	Om008G336950	evm.model.RL_6.1752
OG0002040	Om006G255270	evm.model.RL_7.1089
OG0002041	Om008G336080	evm.model.RL_6.1871
OG0002041	Om006G254750	evm.model.RL_7.1052
OG0002042	Om008G333890, Om008G333900, Om008G333910	evm.model.RL_6.1945, evm.model.RL_6.1944, evm.model.RL_6.1986
OG0002043	Om005G196000	evm.model.RL_5.2127
OG0002044	Om005G196230	evm.model.RL_5.1407, evm.model.RL_5.1406
OG0002045	Om005G196530	evm.model.RL_5.1425
OG0002045	Om004G130530	evm.model.RL_3.2424
OG0002046	Om005G196930	evm.model.RL_5.1454
OG0002046	Om004G131250	evm.model.RL_3.2382
OG0002047	Om005G197450	evm.model.RL_5.1496
OG0002047	Om004G132100	evm.model.RL_3.2320
OG0002048	Om005G198740	evm.model.RL_5.1583
OG0002049	Om004G141840	evm.model.RL_3.1715
OG0002049	Om005G199260	evm.model.RL_5.1610
OG0002050	Om005G203040	evm.model.RL_5.3657
OG0002050	Om004G136030	evm.model.RL_3.2057
OG0002051	Om005G203120	evm.model.RL_5.3648
OG0002052	Om005G203290	evm.model.RL_5.3634
OG0002052	Om004G135680	evm.model.RL_3.2079
OG0002053	Om005G203670	evm.model.RL_5.3623, evm.model.RL_5.3610
OG0002053	Om004G135260	evm.model.RL_3.2109
OG0002054	Om005G205610	evm.model.RL_5.3466
OG0002054	Om005G206670	evm.model.RL_3.1520
OG0002055	Om004G143590	evm.model.RL_5.3443
OG0002055	Om005G207260	evm.model.RL_3.1464
OG0002057	Om001G028770	evm.model.RL_2.2714
OG0002057	Om001G016810	evm.model.RL_6.424
OG0002058	Om002G054980	evm.model.RL_6.278, evm.model.RL_1.1056
OG0002059	Om005G182430	evm.model.RL_5.375
OG0002059	Om007G279370	evm.model.RL_6.1331
OG0002060	Om005G207980	evm.model.RL_3.1424
OG0002060	Om007G300680	evm.model.RL_4.2145.1.687c86d7
OG0002063	Om004G169430	evm.model.RL_4.2843
OG0002063	Om006G247810	evm.model.RL_8.1913
OG0002064	Om006G257280	evm.model.RL_7.1240, evm.model.RL_7.1239
OG0002066	Om004G135550	evm.model.RL_3.2090
OG0002067	Om004G137060	evm.model.RL_3.1999
OG0002067	Om004G136610, Om004G136600	evm.model.RL_4.1085
OG0002068	Om004G132010	evm.model.RL_3.2328, evm.model.RL_3.2327
OG0002069	Om004G131890	evm.model.RL_3.2336
OG0002070	Om005G197200	evm.model.RL_5.1476
OG0002070	Om004G131620	evm.model.RL_3.2354
OG0002071	Om002G057590	evm.model.RL_1.1250
OG0002071	Om003G090250	evm.model.RL_5.3934.2.687c88c6
OG0002072	Om003G090630	evm.model.RL_5.3915
OG0002072	Om002G057860	evm.model.RL_1.1266
OG0002073	Om003G092900	evm.model.RL_5.3796.4.687c88c5
OG0002073	Om002G059990	evm.model.RL_1.1406.2.687c87ed
OG0002074	Om003G100200	evm.model.RL_2.1172
OG0002074	Om002G063560	evm.model.RL_1.1631
OG0002075	Om002G087690	evm.model.RL_1.3172
OG0002076	Om003G089420	evm.model.RL_5.4011
OG0002076	Om002G056580	evm.model.RL_1.1172
OG0002077	Om003G095670	evm.model.RL_5.1914
OG0002077	Om002G069170	evm.model.RL_1.2037
OG0002078	Om006G251490, Om006G251520	evm.model.RL_7.787
OG0002078	Om006G251550	evm.model.RL_7.788
OG0002079	Om004G166410, Om008G327820	evm.model.RL_4.952, evm.model.RL_3.1619, evm.model.RL_4.964
OG0002080	Om003G101160	evm.model.RL_2.1102
OG0002080	Om003G101230, Om003G101190	evm.model.RL_2.1103
OG0002081	Om002G065870	evm.model.RL_6.443
OG0002082	Om008G333070	evm.model.RL_6.1995
OG0002083	Om008G328370, Om008G328350, Om008G328400	evm.model.RL_6.2256
OG0002085	Om006G274630, Om006G274600, Om002G087630	evm.model.RL_4.431, evm.model.RL_4.432
OG0002093	Om001G032460	evm.model.RL_2.2948
OG0002095	Om002G083810	evm.model.RL_1.2906
OG0002095	Om001G034330	evm.model.RL_2.3053
OG0002096	Om005G218150, Om011G365770	evm.model.RL_3.655
OG0002096	Om005G187440	evm.model.RL_5.796
OG0002097	Om005G219500	evm.model.RL_3.544
OG0002097	Om005G188630	evm.model.RL_5.876
OG0002098	Om005G221650	evm.model.RL_3.390
OG0002098	Om006G246890, Om008G322200	evm.model.RL_3.436
OG0002099	Om005G189760	evm.model.RL_5.962
OG0002099	Om005G221910	evm.model.RL_3.405
OG0002101	Om007G317520	evm.model.RL_2.72
OG0002101	Om006G271470	evm.model.RL_7.2303
OG0002103	Om005G228710	evm.model.RL_3.26
OG0002104	Om005G226920	evm.model.RL_3.103, evm.model.RL_3.105
OG0002104	Om007G318160	evm.model.RL_2.140
OG0002105	Om005G225670	evm.model.RL_3.181
OG0002106	Om005G224520	evm.model.RL_3.261
OG0002106	Om005G191260	evm.model.RL_5.1066
OG0002107	Om003G119610	evm.model.RL_7.704
OG0002107	Om008G328900	evm.model.RL_6.2220
OG0002108	Om002G051460	evm.model.RL_1.807
OG0002109	Om004G174680	evm.model.RL_4.3331
OG0002110	Om002G052490	evm.model.RL_1.892
OG0002110	Om004G174510	evm.model.RL_4.3207
OG0002111	Om004G173250	evm.model.RL_4.3114
OG0002112	Om004G172230	evm.model.RL_4.3039
OG0002112	Om002G053820	evm.model.RL_1.984
OG0002113	Om003G114100	evm.model.RL_6.1071
OG0002114	Om001G021230	evm.model.RL_2.2287
OG0002114	Om003G115110	evm.model.RL_8.1448
OG0002115	Om001G019090	evm.model.RL_2.2203
OG0002115	Om003G116960	evm.model.RL_8.1603
OG0002116	Om003G117540	evm.model.RL_8.1635
OG0002117	Om004G161820	evm.model.RL_4.2313, evm.model.RL_5.3167
OG0002118	Om006G240600	evm.model.RL_4.1163
OG0002118	Om004G163430	evm.model.RL_4.2421
OG0002119	Om004G164940	evm.model.RL_4.2511, evm.model.RL_4.1232
OG0002120	Om006G238120	evm.model.RL_4.1368
OG0002120	Om004G167400	evm.model.RL_4.2692
OG0002121	Om006G236250	evm.model.RL_8.2255
OG0002121	Om004G169060	evm.model.RL_4.2817
OG0002122	Om008G362550	evm.model.RL_4.49
OG0002122	Om001G000150	evm.model.RL_2.1287
OG0002123	Om001G003360	evm.model.RL_2.1463
OG0002124	Om008G358210	evm.model.RL_4.292
OG0002125	Om001G005590	evm.model.RL_2.1566
OG0002125	Om008G356610	evm.model.RL_4.389
OG0002126	Om008G355180	evm.model.RL_8.415
OG0002126	Om001G007020	evm.model.RL_2.1635.1.687c86e3
OG0002127	Om008G350880	evm.model.RL_8.677
OG0002127	Om001G011090	evm.model.RL_2.1893
OG0002128	Om008G349780	evm.model.RL_8.718.1.687c8558
OG0002128	Om001G011680	evm.model.RL_5.2682.1.687c88bc
OG0002129	Om001G012640	evm.model.RL_5.2572
OG0002130	Om007G279600	evm.model.RL_6.1353
OG0002131	Om004G159440	evm.model.RL_8.236
OG0002131	Om005G179470	evm.model.RL_5.124
OG0002133	Om006G235890, Om001G034910	evm.model.RL_2.3081, evm.model.RL_2.3082
OG0002134	Om001G035620	evm.model.RL_2.3131
OG0002135	Om002G085990	evm.model.RL_1.3042
OG0002136	Om004G156300	evm.model.RL_6.31
OG0002136	Om001G041190	evm.model.RL_2.3444
OG0002137	Om007G315590, Om007G315600	evm.model.RL_2.276_evm.model.RL_2.277
OG0002138	Om008G340220	evm.model.RL_6.1522, evm.model.RL_1.2915
OG0002138	Om008G340230	evm.model.RL_6.1521
OG0002139	Om007G287540	evm.model.RL_5.2299
OG0002139	Om008G341530	evm.model.RL_4.589
OG0002140	Om008G347460	evm.model.RL_8.756, evm.model.RL_8.757
OG0002140	Om001G012150	evm.model.RL_8.758
OG0002141	Om002G073010	evm.model.RL_1.2290
OG0002142	Om003G128810	evm.model.RL_7.63
OG0002142	Om008G327150	evm.model.RL_6.2954
OG0002143	Om008G318810	evm.model.RL_6.2946
OG0002145	Om008G327060	evm.model.RL_6.2332
OG0002145	Om003G121400, Om003G121340	evm.model.RL_7.552
OG0002146	Om006G244120	evm.model.RL_4.1457
OG0002149	Om006G234620	evm.model.RL_8.2388
OG0002150	Om006G259210	evm.model.RL_7.1384
OG0002151	Om006G229950	evm.model.RL_8.2781
OG0002152	Om005G178170	evm.model.RL_8.2888
OG0002153	Om005G178080	evm.model.RL_8.2879
OG0002153	Om004G157660	evm.model.RL_8.67
OG0002154	Om007G292790	evm.model.RL_4.459
OG0002154	Om005G180930	evm.model.RL_5.245
OG0002155	Om007G277730	evm.model.RL_4.500
OG0002155	Om005G181260	evm.model.RL_5.275
OG0002156	Om007G278520	evm.model.RL_6.1404, evm.model.RL_6.1405
OG0002157	Om005G182510	evm.model.RL_6.1327
OG0002158	Om001G021010	evm.model.RL_2.2274_evm.model.RL_2.2275.2.687c99fb
OG0002159	Om002G043950	evm.model.RL_1.179
OG0002159	Om007G298660	evm.model.RL_4.2016
OG0002160	Om007G297010	evm.model.RL_4.1895
OG0002162	Om002G072610	evm.model.RL_1.2259.1.687c87ef
OG0002163	Om002G049390	evm.model.RL_1.611
OG0002165	Om004G161340	evm.model.RL_4.2275.2.687c86d8
OG0002165	Om002G050970	evm.model.RL_1.766
OG0002166	Om006G250840	evm.model.RL_7.731
OG0002166	Om008G330000	evm.model.RL_6.2158
OG0002167	Om008G331780	evm.model.RL_6.2066
OG0002168	Om008G338030	evm.model.RL_6.1675
OG0002168	Om006G256110	evm.model.RL_7.1150
OG0002169	Om008G333390, Om008G333380	evm.model.RL_6.1970
OG0002170	Om005G196840	evm.model.RL_5.1450
OG0002170	Om004G131130	evm.model.RL_3.2388
OG0002171	Om005G197080	evm.model.RL_5.1464
OG0002171	Om004G131420	evm.model.RL_3.2365.1.687c84be
OG0002172	Om005G197100	evm.model.RL_5.1466
OG0002172	Om004G131400	evm.model.RL_3.2363, evm.model.RL_3.2367
OG0002173	Om005G197420	evm.model.RL_5.1493
OG0002174	Om004G138720	evm.model.RL_5.1761, evm.model.RL_3.1909.1.687c84bd
OG0002175	Om004G135900	evm.model.RL_3.2064
OG0002175	Om005G203110	evm.model.RL_5.3649
OG0002176	Om005G205080	evm.model.RL_5.3508
OG0002177	Om005G205620	evm.model.RL_5.3465
OG0002177	Om005G206770	evm.model.RL_3.1512
OG0002178	Om005G207570, Om005G207580	evm.model.RL_3.1443
OG0002179	Om005G212170	evm.model.RL_3.1143
OG0002179	Om004G148110	evm.model.RL_5.3175
OG0002181	Om004G160280	evm.model.RL_2.2962
OG0002182	Om006G236900	evm.model.RL_8.2196
OG0002183	Om005G193300	evm.model.RL_5.1193
OG0002183	Om006G272790	evm.model.RL_7.2420
OG0002184	Om005G191190	evm.model.RL_5.2899, evm.model.RL_7.2187
OG0002185	Om005G191140	evm.model.RL_5.1061
OG0002185	Om005G224450	evm.model.RL_3.266
OG0002186	Om005G221870	evm.model.RL_3.400
OG0002186	Om005G189720	evm.model.RL_5.958
OG0002187	Om005G188060	evm.model.RL_5.836
OG0002187	Om002G050980	evm.model.RL_1.767
OG0002188	Om005G182900, Om005G182910	evm.model.RL_3.287, evm.model.RL_5.414, evm.model.RL_5.415
OG0002189	Om002G054780	evm.model.RL_1.1044
OG0002189	Om004G170890	evm.model.RL_4.2943
OG0002190	Om002G053730	evm.model.RL_1.976
OG0002190	Om004G172450	evm.model.RL_4.3055
OG0002191	Om002G068790, Om006G240730	evm.model.RL_1.2010
OG0002192	Om006G243460	evm.model.RL_7.2021, evm.model.RL_4.1509
OG0002193	Om006G241710	evm.model.RL_3.25, evm.model.RL_4.1647_evm.model.RL_4.1648
OG0002194	Om003G089680	evm.model.RL_5.3982
OG0002194	Om002G056880	evm.model.RL_1.1196
OG0002195	Om003G090280, Om003G090260	evm.model.RL_5.3933
OG0002196	Om003G100670	evm.model.RL_2.1136
OG0002196	Om002G063030	evm.model.RL_1.1598
OG0002197	Om002G064030	evm.model.RL_1.1665
OG0002197	Om003G099750	evm.model.RL_5.2188
OG0002198	Om002G064750	evm.model.RL_1.1711.1.687c87ee
OG0002198	Om003G099350	evm.model.RL_5.2150
OG0002199	Om002G065030	evm.model.RL_1.1727
OG0002199	Om003G099270	evm.model.RL_5.2143
OG0002201	Om002G083390	evm.model.RL_1.2876
OG0002201	Om002G083400	evm.model.RL_1.2877
OG0002202	Om002G083740, Om001G034310, Om007G306500	evm.model.RL_1.2895, evm.model.RL_1.2896, evm.model.RL_1.2897
OG0002203	Om004G171270	evm.model.RL_4.2978
OG0002205	Om003G097440	evm.model.RL_5.2027
OG0002206	Om003G097900	evm.model.RL_5.2060
OG0002206	Om002G066630	evm.model.RL_1.1833
OG0002207	Om003G100650	evm.model.RL_2.1138
OG0002207	Om003G100640	evm.model.RL_2.1139
OG0002208	Om003G120020	evm.model.RL_7.665
OG0002209	Om008G322160	evm.model.RL_6.2679
OG0002209	Om003G125950	evm.model.RL_7.277
OG0002210	Om001G031760	evm.model.RL_2.2907
OG0002213	Om005G215000	evm.model.RL_3.935
OG0002219	Om002G087540	evm.model.RL_1.3156, evm.model.RL_2.2439
OG0002220	Om001G024510	evm.model.RL_2.2472
OG0002221	Om002G087230	evm.model.RL_1.3138
OG0002222	Om001G029370	evm.model.RL_2.2755, evm.model.RL_6.472
OG0002223	Om001G027170	evm.model.RL_2.2608
OG0002223	Om008G342050	evm.model.RL_7.2619, evm.model.RL_5.3338
OG0002224	Om004G154800	evm.model.RL_6.358
OG0002224	Om001G028010	evm.model.RL_2.2669
OG0002225	Om001G028760	evm.model.RL_2.2713, evm.model.RL_6.422
OG0002226	Om001G031930	evm.model.RL_2.2919
OG0002226	Om002G081740	evm.model.RL_1.2762
OG0002227	Om002G083870	evm.model.RL_2.3057, evm.model.RL_1.2911
OG0002228	Om007G276870	evm.model.RL_5.2719.3.687c88bd
OG0002229	Om005G195670	evm.model.RL_5.1356
OG0002230	Om005G195100	evm.model.RL_5.1316
OG0002230	Om006G274890	evm.model.RL_7.2621
OG0002231	Om006G273470	evm.model.RL_7.2473
OG0002231	Om005G193400	evm.model.RL_5.1200.2.687c88b2
OG0002232	Om006G272750	evm.model.RL_7.2418
OG0002232	Om005G193310	evm.model.RL_5.1194
OG0002233	Om006G270620, Om006G270630	evm.model.RL_7.2169, evm.model.RL_7.2170
OG0002234	Om007G316300	evm.model.RL_2.252
OG0002235	Om005G213350	evm.model.RL_3.1046
OG0002236	Om005G214180	evm.model.RL_3.982, evm.model.RL_2.487
OG0002237	Om007G313680	evm.model.RL_2.541
OG0002237	Om005G214670	evm.model.RL_3.956
OG0002238	Om005G228220	evm.model.RL_3.55
OG0002239	Om005G224740	evm.model.RL_3.249
OG0002239	Om005G191340	evm.model.RL_5.1072
OG0002240	Om006G249610	evm.model.RL_8.1797
OG0002241	Om004G176460	evm.model.RL_4.3355
OG0002241	Om002G051500	evm.model.RL_1.811
OG0002242	Om002G053050	evm.model.RL_1.926
OG0002242	Om004G173380	evm.model.RL_4.3123
OG0002243	Om003G095690, Om005G224750	evm.model.RL_2.1062, evm.model.RL_8.2759
OG0002243	Om004G129970	evm.model.RL_3.2468
OG0002244	Om006G234810	evm.model.RL_8.2373
OG0002245	Om007G286030	evm.model.RL_2.2026
OG0002246	Om003G113060	evm.model.RL_8.1287
OG0002247	Om003G113170	evm.model.RL_8.1297
OG0002247	Om007G286410	evm.model.RL_2.2059
OG0002248	Om003G116130	evm.model.RL_8.1537
OG0002249	Om003G116870	evm.model.RL_8.1598
OG0002250	Om003G118090	evm.model.RL_8.1674
OG0002250	Om004G157570	evm.model.RL_2.2176
OG0002251	Om003G118560, Om003G118570	evm.model.RL_8.1705
OG0002252	Om006G249090	evm.model.RL_8.1834
OG0002253	Om004G161870	evm.model.RL_4.2315, evm.model.RL_5.3166
OG0002254	Om006G241020	evm.model.RL_4.1709
OG0002255	Om006G240790	evm.model.RL_4.1140
OG0002255	Om004G162850	evm.model.RL_4.2385
OG0002256	Om008G358550	evm.model.RL_4.273
OG0002256	Om001G003240	evm.model.RL_2.1459
OG0002257	Om001G008880	evm.model.RL_2.1734
OG0002257	Om001G008870	evm.model.RL_2.1733
OG0002258	Om007G291530	evm.model.RL_5.2852.6.687c88be
OG0002259	Om001G036060	evm.model.RL_2.3156
OG0002259	Om001G036050	evm.model.RL_2.3155
OG0002260	Om001G009370, Om001G009400	evm.model.RL_2.526, evm.model.RL_2.522
OG0002261	Om001G037080, Om001G037120, Om001G037110, Om001G037070	evm.model.RL_2.3216
OG0002261	Om001G037090, Om001G037130	evm.model.RL_2.3217
OG0002262	Om001G037920	evm.model.RL_2.3245
OG0002263	Om001G039810	evm.model.RL_2.3362
OG0002264	Om001G041380	evm.model.RL_2.3457
OG0002265	Om007G315430	evm.model.RL_2.296
OG0002266	Om008G341990	evm.model.RL_4.632
OG0002266	Om007G287350	evm.model.RL_5.2268
OG0002267	Om002G073200	evm.model.RL_1.2306
OG0002268	Om002G071970	evm.model.RL_1.2226
OG0002269	Om002G071560	evm.model.RL_1.2199
OG0002271	Om006G267950	evm.model.RL_1.2128
OG0002271	Om003G101990	evm.model.RL_2.1037
OG0002272	Om002G069570	evm.model.RL_2.1085.1.687c86e2
OG0002273	Om008G322130	evm.model.RL_6.2682
OG0002274	Om008G323700	evm.model.RL_6.2554
OG0002275	Om008G323920	evm.model.RL_6.2539
OG0002276	Om008G323930	evm.model.RL_6.2538
OG0002276	Om003G124310	evm.model.RL_7.368
OG0002277	Om003G121090	evm.model.RL_7.568
OG0002277	Om008G326900	evm.model.RL_6.2347
OG0002278	Om003G120520	evm.model.RL_7.625
OG0002278	Om008G327390	evm.model.RL_6.2301
OG0002279	Om004G176750	evm.model.RL_4.3383, evm.model.RL_8.1047
OG0002279	Om002G044630	evm.model.RL_1.240
OG0002280	Om006G269150	evm.model.RL_7.1858
OG0002280	Om006G244380	evm.model.RL_4.1433
OG0002281	Om006G244410	evm.model.RL_7.1850, evm.model.RL_4.1430
OG0002282	Om006G245100	evm.model.RL_8.2104
OG0002283	Om006G231820	evm.model.RL_8.2624
OG0002284	Om005G178350	evm.model.RL_5.15
OG0002284	Om004G158010	evm.model.RL_8.101
OG0002285	Om005G180570, Om005G180560	evm.model.RL_5.222
OG0002286	Om005G180870	evm.model.RL_5.242
OG0002286	Om007G292840	evm.model.RL_4.452
OG0002287	Om005G182950	evm.model.RL_5.420
OG0002288	Om007G280840	evm.model.RL_6.1209
OG0002288	Om005G183650	evm.model.RL_5.479
OG0002289	Om005G185250, Om005G185230	evm.model.RL_5.603, evm.model.RL_5.600
OG0002290	Om007G284920	evm.model.RL_6.800
OG0002290	Om005G186400, Om004G159190	evm.model.RL_5.700
OG0002291	Om001G030300	evm.model.RL_2.2821
OG0002292	Om007G301070, Om004G156820	evm.model.RL_4.2167
OG0002292	Om002G042600	evm.model.RL_1.61
OG0002293	Om002G043250	evm.model.RL_1.118, evm.model.RL_1.166
OG0002294	Om007G298650	evm.model.RL_4.2015
OG0002294	Om002G043960	evm.model.RL_1.180
OG0002295	Om007G298290	evm.model.RL_4.1995
OG0002295	Om002G044120	evm.model.RL_1.197
OG0002296	Om002G044320	evm.model.RL_1.217
OG0002297	Om007G297760	evm.model.RL_4.1960
OG0002298	Om002G045020	evm.model.RL_1.268
OG0002299	Om002G047980	evm.model.RL_1.501
OG0002301	Om002G049640	evm.model.RL_1.636, evm.model.RL_4.879.1.687c86d0
OG0002302	Om008G336130	evm.model.RL_6.1806
OG0002302	Om006G254810	evm.model.RL_7.1057
OG0002303	Om004G130500	evm.model.RL_3.2427
OG0002303	Om005G196500	evm.model.RL_5.1424
OG0002304	Om005G197220	evm.model.RL_5.1477
OG0002304	Om004G131630	evm.model.RL_3.2353
OG0002305	Om004G132000	evm.model.RL_3.2329.4.687c84be
OG0002305	Om005G197380	evm.model.RL_5.1489
OG0002306	Om005G197630	evm.model.RL_5.1509
OG0002306	Om004G132230	evm.model.RL_3.2308
OG0002307	Om005G200550	evm.model.RL_5.1709
OG0002307	Om004G139520	evm.model.RL_3.1859
OG0002308	Om005G203280	evm.model.RL_5.3635
OG0002308	Om004G135690	evm.model.RL_3.2077
OG0002309	Om004G134540	evm.model.RL_3.2163
OG0002310	Om005G204370	evm.model.RL_5.3561
OG0002310	Om004G134340	evm.model.RL_3.2175
OG0002311	Om005G208010	evm.model.RL_3.1423
OG0002312	Om004G144700	evm.model.RL_5.3376
OG0002312	Om005G208170	evm.model.RL_3.1410
OG0002313	Om005G209770	evm.model.RL_3.1297
OG0002314	Om005G212210	evm.model.RL_3.1139
OG0002315	Om001G026210	evm.model.RL_2.2557
OG0002320	Om004G158360	evm.model.RL_8.131
OG0002320	Om005G178530	evm.model.RL_5.40
OG0002321	Om002G056240	evm.model.RL_1.1151
OG0002321	Om004G161260	evm.model.RL_4.2270
OG0002322	Om004G136390, Om004G171860, Om004G136360	evm.model.RL_3.1701, evm.model.RL_3.1677
OG0002324	Om005G206660, Om005G206650	evm.model.RL_3.1523, evm.model.RL_3.1521_evm.model.RL_3.1522
OG0002325	Om002G055830, Om002G057160	evm.model.RL_1.1220
OG0002326	Om002G057530	evm.model.RL_1.1246
OG0002327	Om003G092230	evm.model.RL_5.3838
OG0002327	Om002G059370	evm.model.RL_1.1365
OG0002328	Om002G061320	evm.model.RL_1.1496.2.687c87ed
OG0002328	Om003G094220	evm.model.RL_5.3728
OG0002329	Om002G065240	evm.model.RL_1.1744
OG0002329	Om003G099100	evm.model.RL_5.2135
OG0002330	Om002G065460	evm.model.RL_5.2105
OG0002331	Om002G069070	evm.model.RL_1.2030
OG0002331	Om003G095830	evm.model.RL_5.1922
OG0002333	Om001G032720, Om001G032730	evm.model.RL_2.2966
OG0002334	Om001G022320	evm.model.RL_2.2340
OG0002335	Om003G094750	evm.model.RL_5.1863
OG0002335	Om002G061920	evm.model.RL_1.1534
OG0002336	Om002G061950	evm.model.RL_1.1536
OG0002337	Om006G255900	evm.model.RL_7.1142
OG0002337	Om008G337880	evm.model.RL_6.1692
OG0002338	Om006G250880	evm.model.RL_7.753
OG0002338	Om008G330120	evm.model.RL_6.2151
OG0002339	Om008G328120	evm.model.RL_6.2267
OG0002339	Om003G120170	evm.model.RL_7.657
OG0002341	Om008G353970	evm.model.RL_8.470
OG0002345	Om003G114180, Om004G144450	evm.model.RL_5.3394
OG0002348	Om001G022630	evm.model.RL_2.2356
OG0002349	Om001G022910	evm.model.RL_2.2372.2.687c86e5
OG0002349	Om002G088200	evm.model.RL_1.3220
OG0002350	Om001G023870	evm.model.RL_2.2431
OG0002351	Om001G026660	evm.model.RL_2.2581
OG0002352	Om001G027510	evm.model.RL_2.2631
OG0002353	Om001G033940	evm.model.RL_2.3040
OG0002354	Om007G292170	evm.model.RL_5.2803, evm.model.RL_6.1649
OG0002355	Om005G216430	evm.model.RL_3.736
OG0002355	Om002G047320	evm.model.RL_1.448
OG0002356	Om005G187980, Om007G308420	evm.model.RL_5.829
OG0002356	Om005G218770	evm.model.RL_3.570
OG0002357	Om005G189060	evm.model.RL_5.912
OG0002358	Om005G195120	evm.model.RL_5.1318
OG0002359	Om005G194760	evm.model.RL_5.1301
OG0002360	Om005G203380	evm.model.RL_7.2593, evm.model.RL_7.2592
OG0002361	Om007G317390	evm.model.RL_2.63
OG0002361	Om006G271300	evm.model.RL_7.2281
OG0002362	Om006G271070	evm.model.RL_7.2255
OG0002363	Om006G269760	evm.model.RL_7.2221
OG0002363	Om007G316790	evm.model.RL_2.14
OG0002364	Om008G336250	evm.model.RL_3.964
OG0002364	Om005G214540	evm.model.RL_3.963
OG0002365	Om005G215350	evm.model.RL_3.803, evm.model.RL_3.802, evm.model.RL_2.581
OG0002366	Om005G192120	evm.model.RL_5.1124
OG0002366	Om005G225630	evm.model.RL_3.183
OG0002367	Om003G119150	evm.model.RL_8.1726, evm.model.RL_2.2150
OG0002368	Om008G328710	evm.model.RL_6.2231
OG0002368	Om003G119820	evm.model.RL_7.680.1.687c84b5
OG0002369	Om008G329410	evm.model.RL_6.2183
OG0002369	Om008G329400	evm.model.RL_6.2184
OG0002370	Om002G051810	evm.model.RL_1.838
OG0002371	Om004G174240	evm.model.RL_4.3181
OG0002372	Om002G054270	evm.model.RL_1.1010
OG0002372	Om004G171700	evm.model.RL_4.3005
OG0002373	Om002G055760	evm.model.RL_1.1122
OG0002374	Om007G299120	evm.model.RL_2.1978
OG0002375	Om001G010430	evm.model.RL_2.1852
OG0002375	Om003G112400	evm.model.RL_8.1234
OG0002376	Om007G286550	evm.model.RL_2.2066
OG0002376	Om003G113340	evm.model.RL_8.1315
OG0002377	Om001G020490	evm.model.RL_2.2256
OG0002377	Om003G115880	evm.model.RL_8.1513
OG0002378	Om001G019530	evm.model.RL_2.2225
OG0002378	Om003G116450	evm.model.RL_8.1567.1.687c855c
OG0002379	Om006G249920	evm.model.RL_2.2129
OG0002380	Om006G232520	evm.model.RL_8.2569
OG0002380	Om004G166210	evm.model.RL_4.2589
OG0002381	Om006G233970	evm.model.RL_8.2433
OG0002382	Om004G168290	evm.model.RL_4.2768
OG0002382	Om006G236890	evm.model.RL_8.2197
OG0002383	Om008G359100	evm.model.RL_4.235
OG0002383	Om001G002370	evm.model.RL_2.1406
OG0002384	Om001G005940, Om008G356250	evm.model.RL_4.408, evm.model.RL_2.1579
OG0002385	Om008G355540	evm.model.RL_8.396
OG0002385	Om001G006760	evm.model.RL_2.1616
OG0002386	Om008G353450	evm.model.RL_8.526, evm.model.RL_8.527, evm.model.RL_8.528
OG0002387	Om001G037680	evm.model.RL_2.3241, evm.model.RL_6.229
OG0002388	Om001G038210	evm.model.RL_2.3261
OG0002389	Om001G041870	evm.model.RL_2.3497
OG0002389	Om008G338820	evm.model.RL_6.1629
OG0002390	Om008G338930	evm.model.RL_6.1617
OG0002390	Om007G276750	evm.model.RL_5.2706
OG0002392	Om001G006770	evm.model.RL_2.1617
OG0002392	Om008G355490	evm.model.RL_8.399
OG0002393	Om003G104420	evm.model.RL_2.815.1.687c86e1
OG0002393	Om002G074760	evm.model.RL_1.2386
OG0002394	Om002G074030	evm.model.RL_1.2340
OG0002395	Om002G073690	evm.model.RL_1.2327
OG0002396	Om003G103140	evm.model.RL_2.956
OG0002397	Om007G317220	evm.model.RL_2.51
OG0002397	Om006G271180	evm.model.RL_7.2270
OG0002398	Om003G128860	evm.model.RL_7.56
OG0002399	Om008G319120	evm.model.RL_7.86
OG0002400	Om006G262180	evm.model.RL_6.2786
OG0002400	Om003G127010	evm.model.RL_7.202
OG0002401	Om003G126210	evm.model.RL_7.247
OG0002402	Om008G322070	evm.model.RL_6.2688
