Orthogroup	Odontarrhena_muralis	Arabis_alpina
OG0001433	Om005G184040	Aa_G22700.h1.t1
OG0001433	Om007G281110	Aa_G86090.h1.t1
OG0001434	Om007G282800	Aa_G49080.h1.t1
OG0001434	Om004G170770	Aa_G195300.h1.t1
OG0001435	Om005G185610	Aa_G558420.h1.t1
OG0001435	Om007G283330	Aa_G682710.h1.t1
OG0001436	Om007G296660	Aa_G493690.h1.t1
OG0001436	Om002G045150	Aa_G44950.h1.t1
OG0001437	Om007G296370	Aa_G70380.h1.t1
OG0001437	Om002G045350	Aa_G438140.h1.t1
OG0001438	Om007G293250	Aa_G378500.h1.t1
OG0001438	Om002G046680	Aa_G4550.h1.t1
OG0001439	Om004G140270	Aa_G30470.h1.t1
OG0001439	Om005G200110	Aa_G132400.h1.t1
OG0001440	Om005G204130	Aa_G454160.h1.t1
OG0001440	Om004G134810	Aa_G129280.h1.t1
OG0001441	Om004G142990	Aa_G252080.h1.t1
OG0001441	Om005G205040	Aa_G528420.h1.t1
OG0001442	Om005G207110	Aa_G163340.h1.t1
OG0001442	Om004G143360	Aa_G738300.h1.t1, Aa_G839010.h1.t1
OG0001443	Om005G208910	Aa_G391780.h1.t1
OG0001445	Om005G189450	Aa_G43200.h1.t1
OG0001446	Om004G168070	Aa_G541380.h1.t1
OG0001446	Om006G237030	Aa_G94960.h1.t1
OG0001448	Om003G090990	Aa_G184690.h1.t1
OG0001448	Om002G058270	Aa_G614360.h1.t1
OG0001449	Om002G059130	Aa_G56320.h1.t1, Aa_G146970.h1.t1, Aa_G146980.h1.t1
OG0001449	Om003G091940	Aa_G127790.h1.t1
OG0001450	Om003G091950	Aa_G127780.h1.t1
OG0001450	Om002G059150	Aa_G56310.h1.t1
OG0001451	Om003G093630	Aa_G396720.h1.t1
OG0001452	Om003G093850	Aa_G173490.h1.t1
OG0001452	Om002G060900	Aa_G424000.h1.t1
OG0001453	Om003G094190	Aa_G173650.h1.t1
OG0001454	Om002G061580	Aa_G233740.h1.t1
OG0001454	Om003G094410	Aa_G386130.h1.t1
OG0001455	Om002G063020	Aa_G617180.h1.t1
OG0001455	Om003G100700	Aa_G327180.h1.t1
OG0001456	Om002G067510	Aa_G50590.h1.t1
OG0001456	Om003G097130	Aa_G334870.h1.t1
OG0001457	Om002G068010	Aa_G152440.h1.t1
OG0001457	Om003G096780	Aa_G36850.h1.t1
OG0001458	Om008G319780, Om008G319800, Om008G319790, Om007G303690	Aa_G249920.h1.t1
OG0001461	Om007G278700	Aa_G647150.h1.t1
OG0001464	Om001G025060	Aa_G301260.h1.t1
OG0001464	Om002G086890	Aa_G244920.h1.t1
OG0001465	Om002G086750	Aa_G632940.h1.t1
OG0001465	Om001G025360	Aa_G506690.h2.t1, Aa_G506690.h1.t1
OG0001466	Om001G027980	Aa_G59860.h1.t1
OG0001467	Om004G174840	Aa_G456500.h1.t1
OG0001468	Om001G032010	Aa_G274390.h1.t1, Aa_G97260.h1.t1, Aa_G97250.h1.t1, Aa_G97240.h1.t1
OG0001469	Om007G292300	Aa_G434830.h1.t1
OG0001470	Om008G338210	Aa_G24710.h1.t1
OG0001471	Om005G189730	Aa_G457530.h1.t1
OG0001472	Om005G195390	Aa_G375730.h1.t1
OG0001473	Om006G274420	Aa_G146230.h1.t1
OG0001473	Om005G194490	Aa_G117780.h1.t1
OG0001475	Om005G191310	Aa_G298930.h1.t1
OG0001475	Om005G224670	Aa_G739680.h1.t1
OG0001477	Om004G169220	Aa_G668080.h1.t1
OG0001478	Om002G052340	Aa_G34690.h1.t1
OG0001478	Om004G174870	Aa_G456470.h1.t1
OG0001479	Om003G124840	Aa_G103430.h1.t1
OG0001480	Om007G285890	Aa_G708330.h1.t1
OG0001482	Om004G164380	Aa_G765980.h1.t1
OG0001482	Om006G239940	Aa_G267330.h1.t1
OG0001483	Om006G239530	Aa_G169020.h1.t1
OG0001483	Om004G165050	Aa_G168510.h1.t1
OG0001484	Om006G239500	Aa_G169040.h1.t1
OG0001485	Om004G167070	Aa_G130410.h1.t1
OG0001485	Om006G233730	Aa_G76110.h1.t1
OG0001486	Om004G167310	Aa_G210850.h1.t1
OG0001487	Om006G237600	Aa_G97910.h1.t1
OG0001487	Om004G167840	Aa_G319300.h1.t1
OG0001488	Om001G000580	Aa_G520140.h1.t1
OG0001488	Om008G362000	Aa_G213800.h1.t1
OG0001489	Om008G353670	Aa_G561120.h1.t1, Aa_G912520.h1.t1
OG0001489	Om001G008780	Aa_G517260.h1.t1
OG0001490	Om007G289490	Aa_G688980.h1.t1
OG0001490	Om008G340460	Aa_G339570.h1.t1
OG0001492	Om001G040700	Aa_G352000.h1.t1
OG0001493	Om007G287820	Aa_G171140.h1.t1
OG0001493	Om008G341470	Aa_G584440.h1.t1
OG0001494	Om008G352950, Om008G352970	Aa_G410080.h1.t1, Aa_G410100.h1.t1
OG0001495	Om008G362610	Aa_G162820.h1.t1
OG0001495	Om008G362600	Aa_G162830.h1.t1
OG0001496	Om002G073340	Aa_G199030.h1.t1
OG0001496	Om003G103910	Aa_G198090.h1.t1
OG0001497	Om003G101750, Om005G195880	Aa_G351600.h1.t1
OG0001498	Om005G181210	Aa_G400480.h1.t1
OG0001499	Om003G128560	Aa_G206120.h2.t1, Aa_G206120.h1.t1
OG0001500	Om008G319880	Aa_G453050.h1.t1
OG0001500	Om003G127900	Aa_G511430.h1.t1, Aa_G741200.h1.t1
OG0001501	Om002G064990	Aa_G556040.h1.t1
OG0001501	Om008G320300, Om003G094850	Aa_G638270.h1.t1
OG0001502	Om008G323120	Aa_G265040.h1.t1
OG0001502	Om003G124860	Aa_G103440.h1.t1
OG0001503	Om003G124290	Aa_G132590.h1.t1
OG0001503	Om008G323980	Aa_G100500.h1.t1
OG0001504	Om003G123850	Aa_G451490.h1.t1
OG0001504	Om008G325120	Aa_G125270.h1.t1
OG0001505	Om003G123720	Aa_G340550.h1.t1
OG0001505	Om008G325410	Aa_G125460.h1.t1
OG0001506	Om002G051310	Aa_G24230.h1.t1
OG0001506	Om004G176920	Aa_G53880.h1.t1
OG0001507	Om006G246570	Aa_G297070.h1.t1
OG0001508	Om006G261900	Aa_G744770.h1.t1
OG0001508	Om006G234200	Aa_G75210.h1.t1
OG0001509	Om006G259970	Aa_G342170.h1.t1
OG0001509	Om006G231280	Aa_G23350.h1.t1
OG0001510	Om007G280310	Aa_G640470.h1.t1
OG0001510	Om005G183290	Aa_G220640.h1.t1
OG0001511	Om005G185720	Aa_G481460.h1.t1
OG0001511	Om007G283470	Aa_G60060.h1.t1
OG0001512	Om005G186140	Aa_G151840.h1.t1
OG0001513	Om002G042980	Aa_G14760.h1.t1
OG0001514	Om002G045810	Aa_G553060.h1.t1
OG0001515	Om002G048100	Aa_G51240.h1.t1, Aa_G217660.h1.t1
OG0001516	Om002G049260	Aa_G47360.h1.t1
OG0001517	Om006G251060	Aa_G287340.h1.t1
OG0001517	Om008G330500	Aa_G677190.h1.t1
OG0001518	Om008G330630	Aa_G224210.h1.t1
OG0001519	Om004G140300	Aa_G30440.h1.t1
OG0001519	Om005G200090	Aa_G132390.h1.t1
OG0001520	Om006G263160	Aa_G711570.h1.t1
OG0001521	Om004G135310	Aa_G215510.h1.t1
OG0001522	Om005G205690	Aa_G367250.h1.t1
OG0001522	Om005G206910	Aa_G665770.h1.t1
OG0001523	Om004G144440	Aa_G487290.h1.t1, Aa_G487290.h2.t1
OG0001524	Om008G358820	Aa_G807280.h1.t1, Aa_G807280.h2.t1, Aa_G845300.h2.t1, Aa_G845300.h1.t1
OG0001524	Om006G236220	Aa_G61550.h1.t1, Aa_G815830.h1.t1
OG0001526	Om005G177980	Aa_G94450.h1.t1
OG0001526	Om006G261330, Om003G126190	Aa_G57840.h1.t1
OG0001527	Om007G301640	Aa_G72800.h1.t1
OG0001527	Om004G130600	Aa_G21440.h1.t1
OG0001528	Om007G300570	Aa_G644340.h1.t1
OG0001528	Om004G137520	Aa_G64960.h1.t1, Aa_G618430.h1.t1
OG0001529	Om005G191160	Aa_G128890.h1.t1
OG0001530	Om001G041070	Aa_G15200.h1.t1
OG0001531	Om004G170570	Aa_G209830.h1.t1
OG0001534	Om004G132350, Om004G132360	Aa_G325470.h1.t1
OG0001535	Om003G090220	Aa_G193210.h1.t1
OG0001535	Om002G057550	Aa_G176040.h1.t1
OG0001536	Om002G058050	Aa_G207840.h1.t1
OG0001536	Om003G090860	Aa_G375490.h1.t1
OG0001537	Om003G094070	Aa_G173620.h1.t1
OG0001537	Om002G061210	Aa_G507810.h1.t1
OG0001538	Om002G062610	Aa_G367470.h1.t1
OG0001538	Om003G095130	Aa_G685890.h1.t1
OG0001539	Om001G007730, Om001G007640	Aa_G86320.h1.t1
OG0001540	Om008G340100	Aa_G12170.h1.t1
OG0001541	Om003G128290	Aa_G453300.h1.t1, Aa_G956300.h1.t1, Aa_G717830.h1.t1
OG0001543	Om001G037730, Om001G037830, Om001G037560, Om001G037820, Om001G037780, Om001G037750, Om004G137460	Aa_G146310.h1.t1
OG0001544	Om003G101460	Aa_G37950.h1.t1
OG0001544	Om003G101450, Om006G250200, Om006G250210, Om003G101440, Om005G215050	Aa_G37910.h1.t1, Aa_G37940.h1.t1
OG0001545	Om008G357880	Aa_G574970.h1.t1
OG0001545	Om006G267500	Aa_G285780.h1.t1
OG0001547	Om002G068490	Aa_G254140.h1.t1, Aa_G158680.h1.t1, Aa_G407420.h1.t1, Aa_G407390.h1.t1
OG0001549	Om002G088380	Aa_G194720.h1.t1
OG0001549	Om001G022730	Aa_G44740.h1.t1
OG0001550	Om002G054790	Aa_G285160.h1.t1
OG0001551	Om001G027710	Aa_G420450.h1.t1
OG0001551	Om004G153310, Om018G373980	Aa_G310020.h1.t1
OG0001552	Om001G028840	Aa_G598850.h1.t1
OG0001553	Om005G221080	Aa_G330600.h1.t1
OG0001553	Om005G189290	Aa_G535880.h1.t1
OG0001554	Om005G190820	Aa_G307220.h1.t1
OG0001554	Om005G223930	Aa_G328610.h1.t1
OG0001555	Om005G192930	Aa_G584870.h1.t1
OG0001555	Om006G273340	Aa_G329000.h1.t1
OG0001556	Om008G336560	Aa_G25330.h1.t1
OG0001556	Om006G272340	Aa_G25750.h1.t1
OG0001557	Om002G051870	Aa_G403660.h1.t1
OG0001558	Om004G172910	Aa_G73080.h1.t1
OG0001558	Om002G053430	Aa_G302850.h1.t1
OG0001559	Om003G107570	Aa_G82770.h1.t1
OG0001559	Om006G263210	Aa_G253430.h1.t1
OG0001560	Om005G199190, Om005G199900	Aa_G201680.h1.t1
OG0001561	Om003G113700	Aa_G151900.h1.t1, Aa_G239370.h1.t1
OG0001562	Om004G172250, Om003G118290	Aa_G303950.h1.t1
OG0001563	Om006G241030	Aa_G199520.h1.t1, Aa_G181390.h1.t1
OG0001563	Om004G162330	Aa_G138210.h1.t1
OG0001564	Om008G335730	Aa_G249260.h1.t1
OG0001564	Om008G325320, Om008G325290, Om005G202470	Aa_G436680.h1.t1
OG0001565	Om004G168220	Aa_G499300.h1.t1, Aa_G611200.h1.t1
OG0001565	Om006G236930	Aa_G620750.h1.t1
OG0001566	Om008G358250	Aa_G239410.h1.t1
OG0001566	Om001G003510	Aa_G78130.h1.t1
OG0001567	Om001G013140	Aa_G377040.h1.t1
OG0001567	Om001G013120	Aa_G377050.h1.t1
OG0001569	Om008G340300	Aa_G142210.h1.t1
OG0001569	Om007G289800	Aa_G465000.h1.t1
OG0001570	Om003G123760	Aa_G686880.h1.t1
OG0001570	Om007G291650	Aa_G476200.h1.t1
OG0001571	Om002G084010	Aa_G314480.h1.t1
OG0001572	Om001G039360	Aa_G294310.h1.t1
OG0001573	Om001G039820	Aa_G406840.h1.t1
OG0001574	Om001G040780	Aa_G351920.h1.t1
OG0001574	Om004G156020	Aa_G50350.h1.t1
OG0001575	Om001G041040	Aa_G137780.h1.t1
OG0001576	Om001G029490, Om002G058950	Aa_G443210.h1.t1
OG0001576	Om008G352860	Aa_G508120.h1.t1, Aa_G508110.h1.t1
OG0001577	Om007G315560	Aa_G245520.h1.t1
OG0001578	Om008G362670, Om006G237840	Aa_G248640.h2.t1, Aa_G248640.h1.t1
OG0001579	Om001G000100	Aa_G96250.h1.t1
OG0001581	Om003G128570	Aa_G364320.h1.t1
OG0001581	Om008G319170	Aa_G206090.h1.t1
OG0001582	Om003G124270	Aa_G132620.h1.t1
OG0001582	Om008G324000	Aa_G100480.h1.t1
OG0001583	Om008G326860	Aa_G210110.h1.t1
OG0001583	Om003G121060	Aa_G494440.h1.t1
OG0001584	Om003G120740	Aa_G114850.h1.t1
OG0001584	Om008G327650	Aa_G67170.h1.t1
OG0001585	Om003G120340	Aa_G614520.h1.t1
OG0001585	Om008G327920	Aa_G188430.h1.t1
OG0001586	Om006G240880, Om006G240890, Om006G240900	Aa_G112830.h1.t1
OG0001587	Om006G244320	Aa_G552150.h1.t1, Aa_G552140.h1.t1
OG0001587	Om003G104890	Aa_G264060.h1.t1
OG0001588	Om006G246680	Aa_G578540.h1.t1
OG0001589	Om006G234140	Aa_G75130.h1.t1
OG0001589	Om006G261670	Aa_G168330.h1.t1
OG0001590	Om006G251960	Aa_G306810.h1.t1
OG0001590	Om006G231330	Aa_G500350.h1.t1
OG0001591	Om005G179700	Aa_G6840.h1.t1
OG0001591	Om004G159940	Aa_G354880.h1.t1
OG0001592	Om005G180140	Aa_G135150.h1.t1
OG0001593	Om007G278260	Aa_G208610.h1.t1
OG0001593	Om005G181680	Aa_G38780.h1.t1
OG0001594	Om005G182480, Om005G182470	Aa_G235420.h1.t1
OG0001596	Om007G296130	Aa_G144970.h1.t1
OG0001596	Om002G045490	Aa_G185520.h1.t1
OG0001597	Om007G294390	Aa_G40910.h1.t1
OG0001597	Om002G048240	Aa_G648160.h1.t1
OG0001598	Om002G048810	Aa_G47700.h1.t1
OG0001599	Om002G050380	Aa_G174350.h1.t1
OG0001600	Om008G336990	Aa_G11740.h1.t1
OG0001601	Om005G199270	Aa_G80290.h1.t1
OG0001601	Om004G141820	Aa_G341860.h1.t1
OG0001602	Om005G203860, Om005G203850	Aa_G453460.h1.t1
OG0001602	Om004G135040	Aa_G104340.h1.t1
OG0001603	Om005G207310	Aa_G437990.h1.t1
OG0001604	Om004G143680	Aa_G62490.h1.t1
OG0001604	Om005G207450	Aa_G17680.h1.t1
OG0001605	Om004G143720	Aa_G62460.h1.t1
OG0001605	Om005G207530	Aa_G17630.h1.t1
OG0001606	Om004G152170	Aa_G499190.h1.t1
OG0001607	Om005G192070	Aa_G319730.h1.t1
OG0001607	Om005G225600	Aa_G274800.h1.t1
OG0001608	Om005G190190, Om005G190200	Aa_G89300.h1.t1
OG0001609	Om007G294970	Aa_G120320.h1.t1
OG0001609	Om005G180160	Aa_G135130.h1.t1
OG0001610	Om002G053700, Om004G172500	Aa_G331830.h1.t1
OG0001611	Om004G137880	Aa_G348800.h1.t1
OG0001611	Om004G137870	Aa_G348790.h1.t1
OG0001612	Om002G057420	Aa_G175960.h1.t1
OG0001612	Om003G090050	Aa_G696360.h1.t1
OG0001613	Om002G060570	Aa_G443920.h1.t1
OG0001614	Om003G095940	Aa_G582100.h1.t1
OG0001615	Om002G072780	Aa_G92460.h1.t1
OG0001615	Om005G181000	Aa_G582070.h1.t1
OG0001616	Om002G084190	Aa_G650580.h1.t1
OG0001617	Om002G087190	Aa_G143510.h1.t1
OG0001617	Om001G024810	Aa_G104110.h1.t1
OG0001618	Om003G089510	Aa_G205600.h1.t1
OG0001618	Om002G056680	Aa_G40000.h1.t1
OG0001619	Om006G255320	Aa_G395700.h1.t1
OG0001619	Om008G337000	Aa_G11750.h1.t1
OG0001620	Om001G001270, Om001G001210, Om001G001160, Om001G001290, Om001G001280, Om001G001170, Om001G001300, Om001G001150	Aa_G165030.h1.t1
OG0001626	Om006G234420	Aa_G119080.h1.t1
OG0001627	Om004G148280	Aa_G61880.h1.t1
OG0001628	Om002G083850, Om002G083860	Aa_G80850.h1.t1, Aa_G80840.h1.t1
OG0001628	Om005G194240, Om005G194230	Aa_G676710.h1.t1
OG0001629	Om006G273430	Aa_G329090.h1.t1
OG0001630	Om002G044480, Om002G044470, Om007G280110, Om007G280100	Aa_G529110.h1.t1, Aa_G154880.h1.t1, Aa_G154860.h1.t1
OG0001631	Om005G211770	Aa_G285640.h1.t1
OG0001633	Om001G009140, Om001G009130	Aa_G660310.h2.t1, Aa_G660310.h1.t1
OG0001642	Om001G031720	Aa_G614960.h1.t1
OG0001643	Om001G033530	Aa_G775730.h1.t1
OG0001644	Om005G189420	Aa_G530670.h1.t1, Aa_G479250.h1.t1
OG0001645	Om006G273540, Om006G273530	Aa_G408150.h1.t1
OG0001645	Om003G100820, Om003G100810	Aa_G408160.h1.t1
OG0001646	Om006G272500	Aa_G276810.h1.t1
OG0001646	Om005G192600	Aa_G26660.h1.t1
OG0001647	Om007G317750	Aa_G229820.h1.t1
OG0001647	Om006G271590	Aa_G508060.h1.t1
OG0001648	Om007G317430	Aa_G413260.h1.t1
OG0001648	Om006G271360	Aa_G263290.h1.t1
OG0001649	Om007G316180	Aa_G756290.h1.t1
OG0001650	Om006G269250	Aa_G263570.h1.t1
OG0001650	Om007G315230	Aa_G443200.h1.t1
OG0001651	Om006G250370	Aa_G22110.h1.t1
OG0001652	Om002G051680	Aa_G101320.h1.t1
OG0001652	Om004G176210	Aa_G18650.h1.t1
OG0001653	Om002G052460	Aa_G34550.h1.t1
OG0001654	Om004G174290	Aa_G170110.h1.t1
OG0001654	Om002G052600	Aa_G34470.h1.t1
OG0001655	Om004G171470	Aa_G170350.h1.t1
OG0001655	Om002G054370	Aa_G333260.h1.t1
OG0001656	Om002G056110	Aa_G40470.h1.t1, Aa_G218370.h1.t1
OG0001657	Om001G019400	Aa_G363790.h1.t1
OG0001657	Om003G116630	Aa_G149050.h1.t1
OG0001658	Om003G117030	Aa_G442010.h1.t1
OG0001658	Om001G018900	Aa_G86600.h1.t1
OG0001659	Om004G168860, Om004G168870	Aa_G275600.h1.t1
OG0001659	Om004G168880	Aa_G275590.h1.t1
OG0001660	Om001G005920	Aa_G245310.h1.t1
OG0001660	Om008G356450	Aa_G636850.h1.t1
OG0001661	Om008G352120	Aa_G35110.h1.t1
OG0001661	Om001G009550	Aa_G6220.h1.t1
OG0001662	Om001G009750	Aa_G19940.h1.t1
OG0001662	Om008G352460, Om008G352390	Aa_G225600.h1.t1
OG0001663	Om008G346530	Aa_G294820.h1.t1
OG0001663	Om005G205360	Aa_G121830.h1.t1
OG0001664	Om008G339790	Aa_G423410.h1.t1
OG0001664	Om008G354750	Aa_G156130.h1.t1
OG0001664	Om007G290960	Aa_G389880.h1.t1
OG0001665	Om007G291250	Aa_G138840.h1.t1
OG0001666	Om001G035390	Aa_G514770.h1.t1
OG0001666	Om002G084410	Aa_G261540.h1.t1
OG0001668	Om001G038350	Aa_G153230.h1.t1
OG0001669	Om004G153630	Aa_G91780.h1.t1
OG0001669	Om001G039870	Aa_G557570.h1.t1
OG0001670	Om001G041140	Aa_G137850.h1.t1
OG0001670	Om004G156260	Aa_G314670.h1.t1
OG0001671	Om001G014220	Aa_G717490.h1.t1
OG0001671	Om008G344380	Aa_G97550.h1.t1
OG0001672	Om007G287990	Aa_G130860.h1.t1
OG0001672	Om004G173040	Aa_G181570.h1.t1
OG0001674	Om003G103270	Aa_G250800.h1.t1
OG0001674	Om003G103240	Aa_G509790.h1.t1, Aa_G509790.h2.t1
OG0001675	Om003G127710	Aa_G2450.h1.t1
OG0001676	Om008G323260	Aa_G265150.h1.t1
OG0001677	Om003G123570	Aa_G568530.h1.t1
OG0001677	Om008G325460	Aa_G125560.h1.t1
OG0001678	Om003G122620	Aa_G114260.h1.t1
OG0001678	Om008G326120	Aa_G199980.h1.t1
OG0001679	Om003G122260	Aa_G433190.h1.t1
OG0001679	Om008G326460	Aa_G574090.h1.t1
OG0001681	Om006G229710	Aa_G43700.h1.t1
OG0001682	Om004G160610	Aa_G189100.h1.t1
OG0001682	Om005G180340	Aa_G134980.h1.t1
OG0001683	Om007G277500	Aa_G89660.h1.t1
OG0001684	Om007G278180	Aa_G520340.h1.t1
OG0001684	Om005G181740	Aa_G38720.h1.t1
OG0001685	Om005G181710	Aa_G38750.h1.t1
OG0001685	Om007G278190	Aa_G520350.h1.t1
OG0001686	Om007G278380	Aa_G208720.h1.t1
OG0001686	Om005G181630	Aa_G38820.h1.t1
OG0001687	Om005G181860	Aa_G477740.h1.t1
OG0001687	Om007G278640	Aa_G183660.h1.t1
OG0001688	Om005G183630	Aa_G751980.h1.t1
OG0001689	Om005G184150	Aa_G22540.h1.t1
OG0001689	Om007G281210	Aa_G359800.h1.t1
OG0001690	Om007G281480, Om007G281580	Aa_G552370.h1.t1
OG0001690	Om005G184350	Aa_G22350.h1.t1
OG0001691	Om005G184600	Aa_G441430.h1.t1
OG0001692	Om007G282070	Aa_G85630.h2.t1, Aa_G435910.h1.t1, Aa_G85630.h1.t1, Aa_G435910.h2.t1
OG0001693	Om007G283110	Aa_G412170.h1.t1
OG0001693	Om005G185370	Aa_G257570.h1.t1
OG0001694	Om007G297610	Aa_G162220.h1.t1
OG0001694	Om002G044500	Aa_G111780.h1.t1
OG0001695	Om005G186660	Aa_G442550.h1.t1
OG0001695	Om002G046260	Aa_G4180.h1.t1
OG0001696	Om002G047030	Aa_G4840.h1.t1, Aa_G719880.h1.t1
OG0001697	Om002G049380	Aa_G47240.h1.t1
OG0001698	Om008G331230	Aa_G38280.h1.t1
OG0001698	Om006G251420	Aa_G386970.h1.t1
OG0001699	Om006G254450	Aa_G402300.h1.t1
OG0001699	Om008G335740	Aa_G249250.h1.t1
OG0001700	Om004G132030	Aa_G80480.h1.t1
OG0001701	Om005G202490	Aa_G622560.h1.t1
OG0001701	Om004G136730	Aa_G87830.h1.t1
OG0001702	Om004G135300	Aa_G215520.h1.t1
OG0001702	Om005G203630	Aa_G627000.h1.t1
OG0001703	Om005G204270	Aa_G329440.h1.t1
OG0001703	Om004G134510, Om004G134520	Aa_G129500.h1.t1
OG0001704	Om005G205400	Aa_G121890.h1.t1
OG0001704	Om005G206360	Aa_G319550.h1.t1
OG0001705	Om004G143510	Aa_G62610.h1.t1
OG0001706	Om004G170840	Aa_G217940.h1.t1, Aa_G96750.h1.t1
OG0001707	Om006G243500, Om001G019970, Om001G019230, Om001G019320	Aa_G809410.h1.t1
OG0001708	Om007G294410	Aa_G40940.h1.t1
OG0001708	Om002G048250	Aa_G205780.h1.t1
OG0001709	Om006G234880	Aa_G406240.h1.t1
OG0001710	Om005G203520	Aa_G331030.h1.t1
OG0001711	Om002G062790	Aa_G269910.h1.t1, Aa_G317060.h1.t1
OG0001711	Om003G100880	Aa_G565080.h1.t1
OG0001712	Om003G098000	Aa_G362410.h1.t1
OG0001712	Om002G066430	Aa_G382290.h1.t1
OG0001713	Om003G097760	Aa_G92590.h1.t1
OG0001713	Om002G066890	Aa_G521620.h1.t1
OG0001714	Om002G068390	Aa_G250670.h1.t1
OG0001714	Om003G096360	Aa_G410590.h1.t1
OG0001715	Om002G074240	Aa_G400020.h1.t1
OG0001715	Om002G073870	Aa_G26940.h1.t1
OG0001719	Om001G033670	Aa_G548570.h1.t1
OG0001721	Om005G192720	Aa_G587920.h1.t1
OG0001722	Om003G118840	Aa_G379650.h1.t1, Aa_G778300.h1.t1
OG0001723	Om008G354820	Aa_G34560.h1.t1, Aa_G553540.h5.t1, Aa_G553540.h6.t1, Aa_G553540.h2.t1, Aa_G553540.h3.t1, Aa_G553540.h8.t1, Aa_G553540.h7.t1, Aa_G553540.h1.t1, Aa_G553540.h4.t1, Aa_G553540.h9.t1, Aa_G263110.h1.t1, Aa_G34570.h1.t1
OG0001724	Om007G281190	Aa_G694440.h1.t1, Aa_G67090.h1.t1, Aa_G359780.h1.t1, Aa_G694420.h1.t1
OG0001725	Om007G295930	Aa_G416160.h1.t1
OG0001727	Om006G249140	Aa_G575460.h1.t1
OG0001729	Om003G101660	Aa_G327210.h1.t1
OG0001730	Om001G022330	Aa_G18370.h1.t1
OG0001731	Om001G025510	Aa_G172830.h1.t1
OG0001731	Om001G025490	Aa_G172860.h1.t1
OG0001732	Om001G025650	Aa_G620360.h1.t1
OG0001732	Om002G086510	Aa_G190140.h1.t1
OG0001733	Om001G026390	Aa_G432050.h1.t1
OG0001733	Om004G155150, Om004G152530, Om004G152500	Aa_G166810.h1.t1
OG0001734	Om001G027010	Aa_G190660.h1.t1
OG0001734	Om004G154900, Om004G152250	Aa_G750950.h1.t1
OG0001735	Om002G080750	Aa_G269030.h1.t1
OG0001735	Om001G031710	Aa_G614950.h1.t1
OG0001736	Om001G034500	Aa_G548460.h1.t1
OG0001736	Om002G083880	Aa_G383770.h1.t1
OG0001737	Om005G224300, Om008G339290, Om005G224160	Aa_G263980.h1.t1
OG0001737	Om007G291760	Aa_G468660.h1.t1
OG0001738	Om007G276800	Aa_G52060.h1.t1, Aa_G16420.h1.t1
OG0001739	Om011G365610, Om020G374570	Aa_G361980.h1.t1
OG0001739	Om005G187890	Aa_G161040.h1.t1
OG0001740	Om005G219000	Aa_G46420.h1.t1
OG0001740	Om005G188440	Aa_G440230.h1.t1
OG0001741	Om005G188920	Aa_G318470.h1.t1
OG0001742	Om001G004530	Aa_G86440.h1.t1
OG0001743	Om005G189990	Aa_G232670.h1.t1
OG0001743	Om005G222730	Aa_G735160.h1.t1
OG0001744	Om007G317860	Aa_G298380.h1.t1
OG0001744	Om006G271810	Aa_G247890.h1.t1
OG0001745	Om007G317150	Aa_G27520.h1.t1, Aa_G266730.h1.t1
OG0001746	Om001G030190	Aa_G185360.h1.t1
OG0001746	Om007G316400	Aa_G151480.h1.t1
OG0001747	Om002G084790	Aa_G999890.h1.t1, Aa_G999890.h2.t1
OG0001747	Om002G052250, Om002G052270	Aa_G659790.h1.t1, Aa_G786360.h1.t1, Aa_G551030.h1.t1, Aa_G551040.h1.t1, Aa_G493370.h1.t1, Aa_G659800.h1.t1
OG0001748	Om007G314610	Aa_G417800.h1.t1
OG0001748	Om005G213090	Aa_G63770.h1.t1
OG0001749	Om005G228290	Aa_G186160.h1.t1
OG0001749	Om007G318200	Aa_G185100.h1.t1
OG0001750	Om004G171530	Aa_G603500.h1.t1, Aa_G603490.h1.t1
OG0001750	Om005G226430	Aa_G462370.h1.t1
OG0001751	Om002G055350	Aa_G102900.h1.t1
OG0001751	Om004G170240	Aa_G414680.h1.t1
OG0001753	Om002G055940	Aa_G40600.h1.t1
OG0001753	Om004G169640	Aa_G640340.h1.t1
OG0001754	Om003G112010	Aa_G153070.h1.t1
OG0001754	Om007G285960	Aa_G353720.h1.t1
OG0001755	Om007G286780	Aa_G29590.h1.t1, Aa_G238060.h1.t1
OG0001756	Om003G114260	Aa_G308710.h1.t1
OG0001757	Om003G118050	Aa_G641230.h1.t1, Aa_G69790.h1.t1
OG0001758	Om006G241000	Aa_G181430.h1.t1
OG0001758	Om004G162180	Aa_G155010.h1.t1
OG0001759	Om006G237070	Aa_G94940.h1.t1
OG0001760	Om008G362010	Aa_G213790.h1.t1
OG0001761	Om008G358970, Om008G358940	Aa_G207220.h1.t1
OG0001761	Om001G002630	Aa_G345110.h1.t1
OG0001762	Om008G358630	Aa_G176650.h1.t1
OG0001763	Om001G005220	Aa_G204130.h1.t1
OG0001764	Om008G353770	Aa_G320510.h1.t1
OG0001764	Om001G008640	Aa_G371050.h1.t1
OG0001766	Om008G347910	Aa_G273610.h1.t1
OG0001766	Om001G012050	Aa_G107870.h1.t1
OG0001767	Om005G205800	Aa_G344050.h1.t1
OG0001767	Om001G013410	Aa_G554680.h1.t1
OG0001768	Om007G288330	Aa_G48030.h1.t1
OG0001769	Om002G084600	Aa_G249570.h1.t1
