Orthogroup	Odontarrhena_muralis	Brassica_oleracea
OG0001835	Om005G202280	XP_013615075.1
OG0001836	Om005G224440	XP_013635017.1, XP_013610636.1
OG0001837	Om004G172140, Om004G172120, Om004G172110	XP_013616749.1, XP_013616656.1
OG0001838	Om001G000280, Om001G000290	XP_013639280.1, XP_013636832.1
OG0001839	Om004G176150	XP_013627899.1, XP_013620140.1
OG0001844	Om001G024060	XP_013598922.1
OG0001844	Om002G087490	XP_013608947.1, XP_013599949.1
OG0001845	Om001G026200	XP_013626287.1
OG0001845	Om001G026130, Om001G026150, Om001G026160	XP_013596762.1, XP_013598586.1
OG0001846	Om002G083690	XP_013599422.1
OG0001846	Om001G034280	XP_013611345.1, XP_013630727.1
OG0001847	Om007G276170	XP_013600386.1
OG0001847	Om007G276160	XP_013593966.1
OG0001848	Om005G189000	XP_013600664.1, XP_013600259.1, XP_013585674.1
OG0001849	Om005G222900	XP_013611546.1
OG0001851	Om006G271240	XP_013593203.1, XP_013611676.1, XP_013618157.1
OG0001852	Om007G315660	XP_013590191.1, XP_013613533.1
OG0001853	Om006G255380, Om007G288500	XP_013602819.1
OG0001854	Om005G214490	XP_013618880.1
OG0001855	Om005G215030	XP_013619513.1, XP_013590834.1
OG0001856	Om005G224800	XP_013605979.1
OG0001856	Om005G191370	XP_013601962.1, XP_013585011.1, XP_013602396.1
OG0001857	Om006G249860	XP_013615663.1, XP_013621869.1, XP_013606590.1
OG0001858	Om004G173240	XP_013613022.1, XP_013622313.1
OG0001858	Om002G053140	XP_013596595.1
OG0001859	Om002G053510	XP_013616660.1, XP_013584902.1
OG0001859	Om004G172790	XP_013606355.1
OG0001860	Om004G171350	XP_013611098.1
OG0001860	Om002G054540	XP_013592337.1, XP_013637968.1
OG0001861	Om002G054630	XP_013628411.1, XP_013638292.1
OG0001861	Om004G171130	XP_013622627.1
OG0001862	Om004G170140	XP_013606130.1
OG0001862	Om002G055460	XP_013618751.1, XP_013638267.1
OG0001863	Om007G286190	XP_013617970.1
OG0001863	Om003G112570	XP_013626734.1, XP_013619137.1, XP_013610579.1
OG0001864	Om003G116120	XP_013608769.1, XP_013618229.1, XP_013625297.1, XP_013607797.1, XP_013594923.1, XP_013605945.1
OG0001865	Om003G116350	XP_013612990.1, XP_013606290.1
OG0001865	Om001G020020	XP_013610404.1
OG0001866	Om003G116580	XP_013609438.1, XP_013620835.1
OG0001866	Om001G019420	XP_013600649.1
OG0001867	Om006G249280	XP_013608566.1, XP_013626541.1, XP_013594197.1, XP_013622194.1
OG0001868	Om006G240910	XP_013606734.1
OG0001868	Om004G162720	XP_013611491.1
OG0001869	Om006G231560	XP_013628521.1
OG0001869	Om004G165280	XP_013621525.1, XP_013628577.1
OG0001870	Om004G165450	XP_013627312.1, XP_013610069.1, XP_013618733.1
OG0001871	Om006G232050	XP_013623690.1, XP_013613612.1, XP_013610480.1
OG0001872	Om006G250170, Om006G232620	XP_013616026.1, XP_013630287.1
OG0001873	Om004G166720	XP_013618577.1, XP_013625025.1, XP_013611505.1
OG0001874	Om005G225550	XP_013607412.1, XP_013619017.1, XP_013627510.1, XP_013627504.1
OG0001875	Om004G167850	XP_013619027.1, XP_013600317.1, XP_013612245.1, XP_013612243.1
OG0001875	Om006G237550	XP_013606047.1
OG0001876	Om006G237180	XP_013607058.1, XP_013596245.1
OG0001876	Om004G168040	XP_013625590.1
OG0001877	Om004G168890	XP_013619263.1, XP_013609790.1
OG0001878	Om001G000310	XP_013597710.1
OG0001878	Om008G362390	XP_013593657.1
OG0001879	Om001G001080	XP_013593733.1
OG0001879	Om006G254640	XP_013619106.1
OG0001880	Om001G001830	XP_013615050.1, XP_013604228.1, XP_013604230.1
OG0001881	Om001G006590	XP_013627161.1, XP_013597292.1
OG0001882	Om008G354800	XP_013609380.1
OG0001882	Om001G007480	XP_013601775.1, XP_013621704.1
OG0001883	Om008G354400	XP_013612720.1
OG0001883	Om001G008000	XP_013623372.1, XP_013598335.1
OG0001884	Om005G195870	XP_013605910.1, XP_013585515.1, XP_013585514.1
OG0001884	Om004G129530	XP_013590430.1
OG0001885	Om001G012040	XP_013605775.1, XP_013592632.1
OG0001885	Om008G347930	XP_013609743.1, XP_013619524.1
OG0001886	Om001G014110	XP_013587392.1, XP_013600714.1
OG0001886	Om008G343340	XP_013630137.1
OG0001887	Om008G344790	XP_013630220.1
OG0001887	Om001G014790	XP_013591449.1
OG0001888	Om007G289400	XP_013626298.1, XP_013635531.1
OG0001889	Om002G085610	XP_013622150.1, XP_013606254.1
OG0001889	Om001G036380	XP_013592039.1
OG0001890	Om001G039100	XP_013623699.1
OG0001890	Om001G039090	XP_013639314.1
OG0001891	Om001G017880	XP_013593681.1, XP_013600083.1
OG0001891	Om005G214820, Om005G189340	XP_013639162.1
OG0001892	Om008G341440	XP_013598908.1, XP_013621033.1
OG0001892	Om007G287980	XP_013593949.1
OG0001893	Om008G347990	XP_013623417.1
OG0001893	Om008G347980	XP_013607978.1, XP_013612418.1, XP_013627196.1
OG0001894	Om008G330850	XP_013633927.1, XP_013625475.1, XP_013633716.1
OG0001895	Om008G362400, Om008G362420, Om008G362410	XP_013596167.1, XP_013610174.1
OG0001896	Om003G104810	XP_013597334.1, XP_013586942.1, XP_013603212.1, XP_013602620.1
OG0001897	Om002G072930	XP_013619608.1
OG0001897	Om003G103660	XP_013615696.1, XP_013594304.1, XP_013602419.1
OG0001898	Om002G071120	XP_013607430.1, XP_013585794.1
OG0001898	Om003G102430	XP_013601946.1
OG0001900	Om007G318210	XP_013637118.1, XP_013592312.1
OG0001901	Om008G318990	XP_013587013.1, XP_013591425.1
OG0001901	Om003G128330	XP_013604107.1
OG0001902	Om003G127700	XP_013590173.1, XP_013615363.1, XP_013605863.1
OG0001902	Om008G320130	XP_013634195.1
OG0001903	Om003G125620	XP_013631110.1
OG0001903	Om008G322500	XP_013630167.1, XP_013587926.1
OG0001904	Om003G125510	XP_013621969.1
OG0001904	Om008G322650	XP_013634088.1, XP_013635688.1
OG0001905	Om003G124360	XP_013591734.1, XP_013604199.1
OG0001905	Om008G323900	XP_013626324.1
OG0001906	Om003G123560	XP_013604709.1, XP_013636355.1
OG0001906	Om008G325480	XP_013634216.1, XP_013634366.1
OG0001907	Om006G262480	XP_013594440.1
OG0001908	Om001G033950	XP_013597180.1, XP_013617973.1
OG0001909	Om005G179340	XP_013614658.1, XP_013637891.1
OG0001910	Om007G293120	XP_013606271.1, XP_013622503.1
OG0001910	Om005G180580	XP_013600401.1
OG0001911	Om007G278040	XP_013610731.1
OG0001911	Om005G181450	XP_013584952.1, XP_013604007.1
OG0001912	Om007G279800	XP_013637139.1
OG0001912	Om005G182830	XP_013599680.1, XP_013637957.1
OG0001913	Om005G183110	XP_013605590.1
OG0001913	Om007G280140	XP_013631820.1
OG0001914	Om007G280480	XP_013633514.1, XP_013633513.1
OG0001915	Om007G280730	XP_013634648.1, XP_013633827.1
OG0001915	Om005G183620	XP_013584762.1
OG0001916	Om005G185100, Om002G073590	XP_013637358.1
OG0001917	Om005G185570	XP_013605880.1
OG0001918	Om005G205290	XP_013626608.1
OG0001919	Om007G301400	XP_013627353.1
OG0001919	Om002G042440	XP_013583563.1, XP_013623707.1
OG0001920	Om007G298360	XP_013618168.1
OG0001920	Om002G044080	XP_013633231.1, XP_013583760.1
OG0001921	Om007G298300	XP_013629349.1
OG0001921	Om002G044130	XP_013630420.1, XP_013587168.1
OG0001922	Om002G047840	XP_013625191.1
OG0001922	Om007G294100	XP_013615098.1, XP_013606557.1
OG0001923	Om006G263060	XP_013630397.1, XP_013631106.1
OG0001923	Om006G252450	XP_013592790.1
OG0001924	Om006G254590, Om006G254600	XP_013591880.1
OG0001924	Om008G335870, Om008G335880	XP_013631193.1, XP_013631169.1
OG0001925	Om008G334680	XP_013632096.1, XP_013631570.1, XP_013623308.1
OG0001926	Om008G334240	XP_013636470.1, XP_013637279.1
OG0001926	Om006G256730	XP_013598579.1
OG0001927	Om004G130460	XP_013591451.1
OG0001927	Om005G196440	XP_013585659.1, XP_013604161.1, XP_013602007.1
OG0001928	Om004G133220	XP_013590188.1
OG0001928	Om005G198220	XP_013605410.1, XP_013587632.1
OG0001929	Om004G141960	XP_013588126.1, XP_013621411.1, XP_013588594.1
OG0001930	Om005G200480	XP_013585291.1
OG0001930	Om004G139600	XP_013591385.1, XP_013591558.1
OG0001931	Om004G138990	XP_013589734.1
OG0001931	Om005G200760	XP_013605256.1, XP_013638157.1
OG0001932	Om005G201280	XP_013604809.1, XP_013586195.1
OG0001932	Om004G138920	XP_013591834.1
OG0001933	Om004G135540	XP_013585309.1, XP_013590277.1, XP_013591854.1, XP_013620759.1
OG0001934	Om005G204640	XP_013584988.1
OG0001934	Om004G134040	XP_013618421.1
OG0001935	Om004G143370	XP_013638942.1
OG0001935	Om005G207130	XP_013588327.1, XP_013589834.1
OG0001936	Om001G023770	XP_013623941.1, XP_013604859.1
OG0001937	Om004G145490	XP_013614494.1
OG0001937	Om005G209270	XP_013612633.1, XP_013592810.1
OG0001938	Om005G200410	XP_013584277.1
OG0001939	Om004G156080	XP_013636816.1
OG0001939	Om001G040860	XP_013629317.1, XP_013596272.1
OG0001940	Om007G275580	XP_013625825.1
OG0001940	Om003G128050	XP_013609213.1, XP_013597998.1
OG0001941	Om008G361130	XP_013627282.1, XP_013616873.1
OG0001942	Om002G058530	XP_013585067.1, XP_013596856.1
OG0001943	Om006G260840, Om002G055280	XP_013630802.1, XP_013633554.1
OG0001944	Om002G055050	XP_013626101.1, XP_013586615.1
OG0001944	Om004G170530	XP_013616680.1
OG0001945	Om006G239300	XP_013627012.1, XP_013604158.1
OG0001946	Om006G238210	XP_013595512.1
OG0001948	Om006G243640	XP_013616204.1, XP_013607339.1, XP_013622098.1
OG0001949	Om006G242170, Om008G349600	XP_013609829.1
OG0001950	Om002G058500	XP_013637862.1, XP_013621951.1
OG0001950	Om003G091220	XP_013587976.1
OG0001951	Om002G060120	XP_013628454.1, XP_013638630.1
OG0001951	Om003G093170	XP_013588649.1
OG0001952	Om003G100590	XP_013602102.1
OG0001952	Om002G063070	XP_013638356.1
OG0001953	Om002G066670	XP_013638372.1
OG0001953	Om003G097860	XP_013584099.1, XP_013604256.1
OG0001954	Om002G068670	XP_013608130.1, XP_013587572.1
OG0001955	Om003G095570	XP_013588384.1, XP_013622606.1, XP_013587834.1
OG0001956	Om002G081680	XP_013598408.1
OG0001957	Om008G339760	XP_013637263.1, XP_013637594.1
OG0001957	Om007G291060	XP_013587486.1
OG0001958	Om002G080310	XP_013627718.1, XP_013625456.1
OG0001959	Om003G123980	XP_013590724.1, XP_013632086.1
OG0001959	Om003G124010	XP_013632936.1
OG0001960	Om003G093690	XP_013596478.1, XP_013590162.1, XP_013621872.1, XP_013588375.1
OG0001961	Om003G097180	XP_013586605.1, XP_013591615.1
OG0001962	Om001G016520, Om001G004390, Om001G004380, Om005G185120	XP_013599803.1
OG0001963	Om004G160330	XP_013628040.1, XP_013628047.1, XP_013628046.1, XP_013628032.1, XP_013628034.1
OG0001971	Om001G023940	XP_013595334.1, XP_013636314.1
OG0001971	Om002G087550	XP_013607252.1
OG0001972	Om001G026000	XP_013616428.1
OG0001972	Om002G086100	XP_013608878.1, XP_013592988.1
OG0001974	Om001G027730	XP_013637734.1
OG0001975	Om001G031270	XP_013602645.1, XP_013598317.1, XP_013628637.1
OG0001976	Om001G033290	XP_013626401.1, XP_013595990.1, XP_013585716.1
OG0001977	Om008G338230	XP_013632152.1, XP_013631989.1
OG0001977	Om007G275940, Om007G275980	XP_013614117.1
OG0001978	Om005G190090	XP_013601959.1, XP_013583511.1, XP_013601931.1
OG0001979	Om006G274640	XP_013596599.1, XP_013606239.1
OG0001979	Om005G194690	XP_013600253.1
OG0001980	Om006G274410	XP_013616232.1
OG0001980	Om005G194480	XP_013587085.1
OG0001981	Om005G192640	XP_013601064.1, XP_013638621.1, XP_013600566.1
OG0001982	Om006G272160	XP_013595815.1
OG0001982	Om005G192430	XP_013584327.1
OG0001983	Om006G271570	XP_013592918.1, XP_013615919.1
OG0001983	Om007G317710	XP_013631743.1
OG0001984	Om006G271340	XP_013593858.1, XP_013611670.1
OG0001984	Om007G317420	XP_013592576.1
OG0001985	Om005G191720	XP_013583673.1, XP_013613826.1, XP_013602249.1
OG0001986	Om003G119710	XP_013600322.1
OG0001986	Om008G328610	XP_013634387.1
OG0001987	Om004G173310	XP_013612736.1
OG0001987	Om002G053110	XP_013587612.1
OG0001988	Om004G171170	XP_013622866.1, XP_013618074.1, XP_013606631.1
OG0001989	Om002G054880	XP_013585869.1, XP_013627193.1
OG0001990	Om003G115910	XP_013610499.1
OG0001991	Om003G116940	XP_013619993.1, XP_013610626.1, XP_013627861.1, XP_013627929.1, XP_013594635.1
OG0001992	Om003G118060	XP_013601277.1, XP_013616990.1, XP_013605999.1, XP_013616303.1
OG0001993	Om003G118380	XP_013606336.1, XP_013622357.1
OG0001995	Om004G162520	XP_013612653.1
OG0001995	Om006G240960	XP_013606966.1
OG0001996	Om004G163300	XP_013611835.1, XP_013628606.1
OG0001996	Om006G240660	XP_013594999.1
OG0001997	Om004G166500	XP_013612595.1, XP_013620271.1
OG0001997	Om004G154290	XP_013630947.1
OG0001998	Om004G166800	XP_013613314.1
OG0001998	Om006G233220	XP_013621839.1, XP_013612477.1
OG0001999	Om004G168530	XP_013609344.1
OG0001999	Om006G236530	XP_013597617.1
OG0002000	Om006G236270	XP_013620873.1, XP_013629508.1, XP_013612388.1
OG0002001	Om008G361450	XP_013612311.1, XP_013598243.1
OG0002001	Om001G001010	XP_013605597.1
OG0002002	Om001G005240	XP_013596041.1
OG0002002	Om008G356940	XP_013593206.1
OG0002003	Om001G008610	XP_013630103.1, XP_013625685.1
OG0002003	Om008G353820	XP_013628966.1
OG0002004	Om008G352250	XP_013608959.1, XP_013629540.1
OG0002004	Om001G009710	XP_013593377.1, XP_013595117.1, XP_013615756.1
OG0002005	Om001G011050	XP_013621406.1, XP_013594117.1
OG0002006	Om001G011140	XP_013599195.1
OG0002006	Om008G350700	XP_013609890.1
OG0002007	Om001G011150	XP_013627958.1, XP_013639483.1, XP_013595965.1
OG0002008	Om008G348100	XP_013629547.1
OG0002008	Om001G011710	XP_013585970.1
OG0002009	Om007G287260	XP_013603286.1
OG0002010	Om008G340550	XP_013635687.1
OG0002011	Om007G289690	XP_013629163.1, XP_013599003.1, XP_013587024.1
OG0002012	Om002G084180	XP_013598780.1
OG0002012	Om001G034750	XP_013600295.1, XP_013593348.1
OG0002013	Om002G084270	XP_013609704.1, XP_013626170.1
OG0002013	Om001G034940	XP_013596142.1
OG0002014	Om001G035480	XP_013594899.1, XP_013593929.1
OG0002014	Om002G084500	XP_013606637.1
OG0002015	Om002G085980	XP_013609203.1
OG0002015	Om001G036770	XP_013629097.1, XP_013595533.1, XP_013596190.1
OG0002016	Om001G038580, Om001G038560, Om001G038570	XP_013596324.1
OG0002018	Om004G156050	XP_013634624.1
OG0002018	Om001G040820	XP_013630243.1, XP_013599167.1, XP_013596260.1
OG0002020	Om003G118340	XP_013602979.1, XP_013600807.1
OG0002021	Om001G011260	XP_013599241.1
OG0002021	Om008G350590	XP_013609210.1
OG0002022	Om005G198860	XP_013633895.1
OG0002022	Om008G359650	XP_013595652.1
OG0002023	Om002G071280	XP_013630312.1, XP_013586582.1
OG0002023	Om003G102530	XP_013607896.1
OG0002024	Om003G102110	XP_013601873.1
OG0002024	Om002G070550	XP_013586186.1, XP_013607579.1
OG0002025	Om008G320880	XP_013631017.1
OG0002025	Om006G262130	XP_013626707.1
OG0002026	Om008G322960	XP_013637147.1
OG0002026	Om003G124910	XP_013632052.1
OG0002027	Om003G120430	XP_013591516.1, XP_013604737.1
OG0002027	Om008G327840	XP_013635758.1
OG0002028	Om006G244960	XP_013611935.1, XP_013620699.1
OG0002029	Om005G178520, Om004G163610	XP_013583876.1, XP_013583671.1
OG0002029	Om004G158350	XP_013628634.1
OG0002030	Om004G160070	XP_013614535.1, XP_013612197.1
OG0002030	Om005G179880	XP_013587292.1
OG0002031	Om005G181490	XP_013586138.1, XP_013602136.1
OG0002032	Om007G279240	XP_013635156.1
OG0002032	Om005G182620	XP_013586767.1
OG0002033	Om007G281320	XP_013634804.1, XP_013635132.1
OG0002034	Om005G185280	XP_013599708.1
OG0002034	Om007G282940	XP_013636444.1, XP_013636477.1
OG0002035	Om003G117120	XP_013618591.1
OG0002036	Om007G299260	XP_013606380.1, XP_013625161.1
OG0002036	Om002G043630, Om005G194130	XP_013635224.1
OG0002037	Om007G299250	XP_013618743.1, XP_013608432.1
OG0002037	Om002G043650	XP_013637208.1
OG0002038	Om002G062950	XP_013586173.1, XP_013629109.1, XP_013585081.1
OG0002039	Om006G251670	XP_013636520.1
OG0002039	Om008G331050	XP_013636231.1
OG0002040	Om006G255270	XP_013631188.1, XP_013591959.1, XP_013604347.1
OG0002041	Om006G254750	XP_013590178.1, XP_013600217.1, XP_013613777.1, XP_013613779.1
OG0002042	Om008G333890, Om008G333900, Om008G333910	XP_013634113.1, XP_013626256.1, XP_013634017.1
OG0002043	Om005G196000	XP_013592729.1, XP_013605795.1
OG0002044	Om005G196230	XP_013604974.1, XP_013587434.1
OG0002044	Om004G130240	XP_013591545.1, XP_013591616.1
OG0002045	Om005G196530	XP_013584573.1
OG0002045	Om004G130530	XP_013590540.1, XP_013590818.1
OG0002046	Om005G196930	XP_013585957.1
OG0002046	Om004G131250	XP_013590155.1, XP_013621336.1
OG0002047	Om005G197450	XP_013603217.1, XP_013584585.1
OG0002047	Om004G132100	XP_013589923.1
OG0002048	Om005G198740	XP_013583813.1
OG0002049	Om004G141840	XP_013616338.1
OG0002049	Om005G199260	XP_013602575.1
OG0002050	Om005G203040	XP_013602367.1, XP_013587614.1
OG0002050	Om004G136030	XP_013592504.1
OG0002051	Om005G203120	XP_013617016.1
OG0002051	Om008G326890	XP_013624872.1, XP_013627096.1
OG0002052	Om005G203290	XP_013599970.1, XP_013583832.1
OG0002052	Om004G135680	XP_013592235.1
OG0002053	Om005G203670	XP_013614612.1
OG0002053	Om004G135260	XP_013588567.1, XP_013588524.1
OG0002054	Om005G205610	XP_013596384.1
OG0002054	Om005G206670	XP_013618155.1, XP_013590335.1
OG0002055	Om004G143590	XP_013584611.1
OG0002055	Om005G207260	XP_013587797.1, XP_013592892.1
OG0002057	Om001G028770	XP_013625922.1, XP_013598035.1, XP_013611960.1
OG0002057	Om001G016810	XP_013631865.1
OG0002058	Om002G054980	XP_013636253.1
OG0002059	Om005G182430	XP_013638632.1, XP_013601999.1
OG0002059	Om007G279370	XP_013630890.1
OG0002060	Om005G207980	XP_013621642.1, XP_013592812.1
OG0002060	Om007G300680	XP_013620687.1
OG0002061	Om006G238560	XP_013593448.1
OG0002062	Om006G237120	XP_013611623.1
OG0002062	Om006G237100	XP_013593215.1
OG0002063	Om004G169430	XP_013613184.1
OG0002063	Om006G247810	XP_013618732.1, XP_013611528.1
OG0002064	Om006G257280	XP_013638459.1, XP_013602300.1, XP_013639505.1
OG0002066	Om004G135550	XP_013620267.1
OG0002066	Om005G203360	XP_013603010.1
OG0002068	Om004G132010	XP_013591488.1
OG0002069	Om004G131890	XP_013591502.1
OG0002069	Om004G131900	XP_013618281.1
OG0002070	Om005G197200	XP_013583650.1
OG0002070	Om004G131620	XP_013588454.1
OG0002071	Om002G057590	XP_013583763.1
OG0002071	Om003G090250	XP_013592277.1, XP_013625568.1
OG0002072	Om003G090630	XP_013588081.1, XP_013588206.1
OG0002072	Om002G057860	XP_013594717.1
OG0002073	Om003G092900	XP_013630728.1, XP_013592750.1
OG0002073	Om002G059990	XP_013638295.1
OG0002074	Om003G100200	XP_013626967.1
OG0002074	Om002G063560	XP_013623684.1, XP_013585556.1, XP_013619869.1
OG0002075	Om002G087690	XP_013610902.1
OG0002076	Om003G089420	XP_013625042.1
OG0002076	Om002G056580	XP_013586855.1, XP_013628744.1
OG0002077	Om003G095670	XP_013625315.1
OG0002077	Om002G069170	XP_013638693.1, XP_013618052.1
OG0002078	Om006G251550	XP_013600846.1
OG0002079	Om004G166410, Om008G327820	XP_013603798.1, XP_013603592.1, XP_013605150.1
OG0002080	Om003G101230, Om003G101190	XP_013598871.1
OG0002082	Om008G333070	XP_013630599.1
OG0002083	Om008G328370	XP_013627617.1
OG0002083	Om008G328350, Om008G328400	XP_013635253.1
OG0002084	Om004G143450, Om004G143460, Om004G143470, Om004G143480, Om004G148160, Om004G130160	XP_013617789.1, XP_013617791.1, XP_013590398.1, XP_013589723.1
OG0002085	Om006G274630, Om006G274600, Om002G087630	XP_013594802.1
OG0002086	Om001G005150	XP_013614717.1
OG0002086	Om001G005140, Om001G005160, Om001G005200	XP_013597377.1, XP_013635736.1
OG0002093	Om002G081050	XP_013595876.1
OG0002093	Om001G032460	XP_013591315.1
OG0002094	Om002G082280	XP_013627075.1
OG0002094	Om001G012400	XP_013627240.1
OG0002095	Om002G083810	XP_013598829.1
OG0002095	Om001G034330	XP_013628640.1, XP_013604944.1
OG0002096	Om005G218150, Om011G365770	XP_013609244.1
OG0002096	Om005G187440	XP_013614642.1
OG0002097	Om005G219500	XP_013609141.1
OG0002097	Om005G188630	XP_013602665.1
OG0002098	Om005G221650	XP_013612038.1
OG0002098	Om006G246890, Om008G322200	XP_013635891.1
OG0002099	Om005G189760	XP_013600168.1
OG0002099	Om005G221910	XP_013616440.1, XP_013606654.1
OG0002100	Om005G193850	XP_013599899.1, XP_013599695.1
OG0002101	Om006G271470	XP_013608665.1, XP_013593500.1, XP_013616046.1
OG0002102	Om002G050390	XP_013587301.1
OG0002104	Om005G226920	XP_013608612.1
OG0002104	Om007G318160	XP_013591081.1, XP_013635459.1
OG0002105	Om005G192200	XP_013584384.1
OG0002105	Om005G225670	XP_013613991.1, XP_013608926.1
OG0002106	Om005G224520	XP_013607297.1
OG0002106	Om005G191260	XP_013637775.1
OG0002107	Om003G119610	XP_013631426.1
OG0002107	Om008G328900	XP_013637012.1, XP_013636928.1
OG0002108	Om004G176520	XP_013619574.1
OG0002108	Om002G051460	XP_013617188.1, XP_013638506.1
OG0002109	Om004G174680	XP_013616240.1
OG0002110	Om002G052490	XP_013594833.1
OG0002110	Om004G174510	XP_013606049.1, XP_013622527.1
OG0002111	Om004G173250	XP_013607082.1
OG0002112	Om004G172230	XP_013606368.1, XP_013626508.1
OG0002112	Om002G053820	XP_013638651.1
OG0002114	Om001G021230	XP_013600950.1
OG0002114	Om003G115110	XP_013606252.1, XP_013618304.1
OG0002115	Om001G019090	XP_013601274.1, XP_013605309.1
OG0002115	Om003G116960	XP_013621458.1
OG0002116	Om003G117540	XP_013625958.1, XP_013596751.1, XP_013608956.1
OG0002117	Om004G161820	XP_013611768.1, XP_013628826.1, XP_013598053.1
OG0002118	Om006G240600	XP_013593576.1
OG0002118	Om004G163430	XP_013615950.1, XP_013628976.1
OG0002119	Om004G164940	XP_013621246.1, XP_013609746.1, XP_013598732.1, XP_013621593.1
OG0002120	Om006G238120	XP_013611203.1, XP_013597529.1
OG0002120	Om004G167400	XP_013606545.1
OG0002121	Om006G236250	XP_013629531.1
OG0002121	Om004G169060	XP_013608504.1, XP_013613366.1
OG0002122	Om008G362550	XP_013618843.1, XP_013593621.1
OG0002122	Om001G000150	XP_013605741.1, XP_013595934.1
OG0002123	Om001G003360	XP_013593432.1, XP_013597220.1
OG0002124	Om008G358210	XP_013612448.1, XP_013620718.1
OG0002125	Om001G005590	XP_013621757.1, XP_013609819.1
OG0002125	Om008G356610	XP_013613592.1
OG0002126	Om008G355180	XP_013612975.1
OG0002126	Om001G007020	XP_013607366.1
OG0002127	Om008G350880	XP_013606498.1
OG0002127	Om001G011090	XP_013606217.1
OG0002128	Om008G349780	XP_013621958.1
OG0002128	Om001G011680	XP_013637701.1
OG0002129	Om001G012640	XP_013605578.1, XP_013591476.1
OG0002130	Om007G279600	XP_013632599.1, XP_013632598.1
OG0002131	Om004G159440	XP_013621784.1, XP_013620527.1
OG0002132	Om001G034830	XP_013639161.1, XP_013598728.1
OG0002133	Om006G235890, Om001G034910	XP_013592252.1
OG0002133	Om001G035040	XP_013591069.1
OG0002134	Om001G035620	XP_013623390.1, XP_013597596.1
OG0002135	Om002G085990	XP_013593521.1
OG0002136	Om004G156300	XP_013603322.1
OG0002136	Om001G041190	XP_013595824.1, XP_013636265.1
OG0002137	Om007G315590	XP_013613522.1, XP_013613516.1
OG0002137	Om007G315600	XP_013613521.1
OG0002138	Om008G340220	XP_013631782.1
OG0002138	Om008G340230	XP_013636651.1, XP_013632338.1
OG0002139	Om007G287540	XP_013592044.1
OG0002139	Om008G341530	XP_013610748.1, XP_013600648.1
OG0002140	Om008G347460	XP_013626527.1
OG0002141	Om002G073010	XP_013627189.1, XP_013599430.1
OG0002142	Om003G128810	XP_013602084.1, XP_013634510.1, XP_013616744.1
OG0002143	Om003G128750	XP_013603504.1
OG0002143	Om008G318810	XP_013627089.1, XP_013635631.1
OG0002144	Om008G326450, Om008G326440	XP_013621990.1, XP_013621988.1
OG0002145	Om008G327060	XP_013634380.1, XP_013634020.1
OG0002145	Om003G121400, Om003G121340	XP_013603947.1
OG0002146	Om006G244120	XP_013612861.1, XP_013621630.1
OG0002148	Om006G245870	XP_013616637.1, XP_013608690.1
OG0002149	Om006G234620	XP_013612552.1, XP_013622101.1
OG0002150	Om006G259210	XP_013604687.1
OG0002151	Om006G229950	XP_013613099.1, XP_013621687.1, XP_013598748.1
OG0002152	Om005G178170	XP_013585400.1, XP_013604695.1
OG0002153	Om005G178080	XP_013638277.1
OG0002153	Om004G157660	XP_013622259.1
OG0002154	Om007G292790	XP_013595759.1, XP_013607238.1
OG0002154	Om005G180930	XP_013602057.1
OG0002155	Om007G277730	XP_013598234.1, XP_013621050.1
OG0002155	Om005G181260	XP_013600974.1, XP_013587157.1
OG0002156	Om007G278520	XP_013629134.1
OG0002157	Om005G182510	XP_013634261.1
OG0002158	Om001G021010	XP_013594121.1, XP_013600834.1
OG0002158	Om001G021020	XP_013619008.1
OG0002159	Om002G043950	XP_013630756.1, XP_013585166.1
OG0002159	Om007G298660	XP_013612903.1
OG0002160	Om002G044960	XP_013638749.1
OG0002161	Om002G046380	XP_013608205.1, XP_013617410.1, XP_013591668.1, XP_013613996.1
OG0002162	Om002G072610	XP_013596060.1
OG0002163	Om002G049390	XP_013626847.1, XP_013585696.1, XP_013584891.1
OG0002165	Om004G161340	XP_013621224.1, XP_013612480.1, XP_013625511.1
OG0002166	Om006G250840	XP_013605482.1, XP_013588220.1
OG0002166	Om008G330000	XP_013631871.1
OG0002167	Om008G331770	XP_013635234.1
OG0002167	Om008G331780	XP_013635020.1, XP_013635261.1
OG0002168	Om008G338030	XP_013637588.1, XP_013622415.1
OG0002168	Om006G256110	XP_013636221.1
OG0002169	Om008G333390, Om008G333380	XP_013637093.1
OG0002169	Om006G253970	XP_013605726.1
OG0002170	Om005G196840	XP_013586939.1
OG0002170	Om004G131130	XP_013621397.1
OG0002171	Om005G197080	XP_013604406.1, XP_013583777.1
OG0002171	Om004G131420	XP_013592546.1
OG0002172	Om005G197100	XP_013587619.1
OG0002172	Om004G131400	XP_013618639.1, XP_013588119.1
OG0002173	Om004G132040	XP_013590064.1, XP_013592868.1
OG0002174	Om004G138720	XP_013638349.1, XP_013592577.1, XP_013588196.1, XP_013619110.1
OG0002175	Om004G135900	XP_013592799.1
OG0002175	Om005G203110	XP_013599919.1, XP_013587668.1
OG0002176	Om005G205080	XP_013586103.1, XP_013593686.1
OG0002177	Om005G205620	XP_013596711.1, XP_013614910.1
OG0002177	Om005G206770	XP_013590558.1
OG0002178	Om005G207570, Om005G207580	XP_013619273.1
OG0002179	Om005G212170	XP_013619794.1
