Orthogroup	Odontarrhena_muralis	Capsella_rubella
OG0001086	Om001G030820	XP_006285500.1
OG0001087	Om001G033000	XP_006283828.1
OG0001087	Om001G033030	XP_006285747.1
OG0001088	Om006G270910, Om006G270920	XP_023638813.1
OG0001089	Om006G270670	XP_006292798.1
OG0001089	Om003G100560	XP_023638846.1
OG0001090	Om006G257890	XP_006299253.2
OG0001091	Om006G261270	XP_006290259.2
OG0001091	Om003G111530	XP_006279971.1
OG0001092	Om006G254090	XP_023636635.1
OG0001092	Om004G169810	XP_023636634.1
OG0001093	Om006G241070	XP_006289743.1
OG0001093	Om004G162590	XP_006289327.1
OG0001094	Om004G166070	XP_023637284.1
OG0001094	Om006G232040	XP_006280664.1
OG0001095	Om003G104930, Om003G098310	XP_006286071.1, XP_006282782.1, XP_006284931.1, XP_023634827.1
OG0001096	Om003G121440	XP_006291542.1
OG0001096	Om008G327170	XP_006294671.1
OG0001097	Om006G246790	XP_006281559.1
OG0001098	Om006G260010	XP_006293030.1
OG0001098	Om006G231290	XP_006280412.1
OG0001099	Om005G178490	XP_023632569.1
OG0001099	Om004G158290	XP_006290216.1
OG0001100	Om007G279170	XP_006295278.2
OG0001101	Om007G301060	XP_006287272.1
OG0001101	Om008G356620	XP_006287274.1
OG0001102	Om002G043570	XP_006297456.1
OG0001102	Om007G299380	XP_023636384.1
OG0001104	Om002G046780, Om007G293310	XP_006298797.1
OG0001105	Om004G130780	XP_006302834.1
OG0001105	Om005G196580	XP_006304205.1
OG0001106	Om005G197880	XP_006303394.1
OG0001106	Om006G270430	XP_006302954.1
OG0001107	Om005G199420	XP_006304270.1
OG0001108	Om004G139030, Om004G139050, Om004G139020	XP_006302076.1
OG0001108	Om005G200740	XP_006307129.1
OG0001109	Om004G134660	XP_006302119.2
OG0001109	Om005G204170	XP_006307302.1
OG0001111	Om005G212400	XP_006302876.2
OG0001111	Om006G235930	XP_023644968.1
OG0001112	Om005G201500, Om005G201320	XP_006279892.1
OG0001113	Om004G169750	XP_023635741.1, XP_006288159.1
OG0001114	Om001G014630, Om004G153880	XP_023644501.1, XP_023636118.1, XP_006289339.2, XP_023637685.1
OG0001115	Om004G142580	XP_006301311.1
OG0001115	Om005G198490	XP_006305861.1
OG0001116	Om003G095740	XP_006305022.1
OG0001116	Om002G069120	XP_006296586.2
OG0001117	Om003G101050	XP_023635657.1
OG0001119	Om003G092090	XP_023644568.1, XP_023644569.1, XP_023644555.1, XP_023644554.1
OG0001120	Om001G035460	XP_023635352.1
OG0001121	Om003G116500	XP_023639257.1
OG0001122	Om001G029970, Om005G199250	XP_006304534.1, XP_006279780.2
OG0001124	Om002G086830	XP_023642062.1
OG0001124	Om001G019470	XP_006281303.1, XP_006284740.1
OG0001125	Om007G292200	XP_006303624.1
OG0001125	Om008G338370	XP_006295691.1
OG0001126	Om001G006460	XP_023640842.1, XP_006301957.1, XP_006301689.1, XP_023643270.1
OG0001127	Om005G194820	XP_006307394.2
OG0001127	Om006G274830	XP_006290880.1
OG0001128	Om005G193420	XP_006303717.1
OG0001129	Om006G269590	XP_006291941.1
OG0001130	Om006G268210	XP_006292775.1
OG0001131	Om006G249570	XP_006281423.1
OG0001132	Om004G174860	XP_006287710.1
OG0001132	Om002G052350	XP_006297659.1
OG0001133	Om001G018910, Om001G014980, Om003G117020	XP_006284825.1, XP_006281365.1
OG0001134	Om004G161390	XP_006288427.1, XP_006288428.1
OG0001135	Om006G232510	XP_006281334.1
OG0001135	Om004G166180	XP_006288924.1
OG0001136	Om001G000980	XP_006285152.1
OG0001136	Om008G361480	XP_006281043.1
OG0001137	Om008G358120	XP_006280421.1
OG0001137	Om001G003870	XP_006283694.1
OG0001138	Om001G008770, Om005G215100	XP_006284645.1
OG0001138	Om002G043320	XP_006296630.2
OG0001139	Om007G288230	XP_006305779.1
OG0001140	Om001G035650	XP_006284661.1, XP_006299674.1
OG0001141	Om006G251500, Om006G266990	XP_006291120.1, XP_023639151.1
OG0001141	Om007G314500	XP_023638799.1
OG0001142	Om002G070970	XP_006298575.1
OG0001142	Om003G102330	XP_006282717.1
OG0001143	Om008G322550	XP_006294533.1
OG0001143	Om003G125560	XP_006291511.1
OG0001145	Om002G047570	XP_023642338.1
OG0001146	Om008G327790	XP_006294641.1
OG0001146	Om002G053170	XP_006298175.1
OG0001147	Om005G225200	XP_006302336.1
OG0001148	Om004G166470	XP_023640745.1
OG0001149	Om006G257580	XP_006293081.1
OG0001149	Om006G229310	XP_006282371.1
OG0001150	Om007G298860	XP_006290174.2
OG0001150	Om002G043860	XP_006298650.1
OG0001151	Om002G049430	XP_006298735.1
OG0001151	Om007G303840	XP_006281220.1
OG0001152	Om006G250520	XP_006292679.1
OG0001152	Om008G329540	XP_006293844.1
OG0001153	Om006G255540	XP_006291925.1
OG0001154	Om004G137780	XP_006302187.1
OG0001154	Om005G201420	XP_006304733.1
OG0001155	Om004G136870	XP_006302577.1
OG0001155	Om005G202350	XP_023645353.1
OG0001156	Om004G143890	XP_006306890.1
OG0001156	Om005G207750	XP_006300899.1
OG0001157	Om005G190350, Om005G190370, Om005G190400, Om005G190380	XP_006306761.2
OG0001157	Om005G190210	XP_023645613.1
OG0001158	Om005G207150	XP_023640625.1
OG0001158	Om004G143390	XP_006306980.2
OG0001159	Om004G135720	XP_006301690.1
OG0001159	Om004G135760, Om004G135740	XP_006301226.1
OG0001160	Om003G090340	XP_023645939.1
OG0001160	Om002G057670	XP_006298592.1
OG0001161	Om002G069190	XP_006297757.1
OG0001161	Om003G095640	XP_006307609.1
OG0001164	Om006G235230, Om006G235270	XP_006280579.2, XP_006280529.2, XP_006282210.2, XP_006280508.2, XP_006281449.1, XP_006279864.1
OG0001169	Om003G115820	XP_006280681.1
OG0001170	Om002G047380, Om002G047370	XP_006298991.2
OG0001170	Om007G293670	XP_023636813.1
OG0001171	Om005G221900	XP_006302971.1
OG0001172	Om006G273870	XP_023638647.1
OG0001172	Om005G193820	XP_006303839.1
OG0001173	Om001G018260	XP_006283373.1
OG0001173	Om005G228160	XP_006302049.1
OG0001174	Om002G053840	XP_006299590.1
OG0001175	Om003G118430	XP_006281213.1
OG0001176	Om006G231760	XP_006280992.1
OG0001176	Om004G165430	XP_006288536.1
OG0001177	Om004G168130, Om004G168100	XP_006289277.1, XP_023637352.1
OG0001178	Om004G168330	XP_006287698.1
OG0001178	Om006G236820, Om006G236830, Om006G236840	XP_006280431.1
OG0001179	Om001G002710	XP_006285388.1
OG0001179	Om002G074090	XP_006300268.2
OG0001179	Om003G104170	XP_006282938.2
OG0001180	Om001G004420	XP_006283480.1
OG0001180	Om008G357690	XP_006280231.1
OG0001181	Om001G007890	XP_006285476.1
OG0001181	Om008G354480	XP_023636874.1
OG0001182	Om008G340520	XP_006294394.1
OG0001182	Om007G289260	XP_006305057.1
OG0001183	Om001G035210	XP_023634197.1
OG0001183	Om002G084370	XP_006297376.1
OG0001184	Om003G127310	XP_023638081.1
OG0001184	Om008G320610	XP_006294447.1
OG0001185	Om003G126820	XP_006291551.1
OG0001185	Om008G321040	XP_006294723.1
OG0001186	Om003G123550, Om003G123540	XP_023639263.1, XP_023639267.1
OG0001187	Om007G279310	XP_023640447.1
OG0001187	Om005G182570	XP_006304851.1
OG0001188	Om004G170230	XP_006286939.1
OG0001188	Om007G281960	XP_006293588.2
OG0001189	Om002G042490	XP_023641075.1
OG0001189	Om007G301350	XP_006287684.1
OG0001190	Om002G045600	XP_006297091.1
OG0001191	Om007G293620	XP_006288797.1
OG0001191	Om002G047290	XP_006296629.1
OG0001192	Om003G100360	XP_006285325.1
OG0001192	Om002G049400	XP_006297392.1
OG0001193	Om006G251660	XP_006290649.1
OG0001193	Om008G331060	XP_006293364.2
OG0001194	Om006G251130	XP_006290813.1
OG0001194	Om002G050930	XP_006297293.1
OG0001195	Om005G198660	XP_006305422.2
OG0001196	Om004G138870	XP_006302679.1
OG0001196	Om005G201250	XP_006303306.1
OG0001197	Om006G253160	XP_006290657.1
OG0001197	Om005G188180	XP_006286531.1
OG0001198	Om007G294050	XP_006289398.1
OG0001200	Om006G241520	XP_006289968.1
OG0001201	Om006G238190	XP_006288378.1
OG0001201	Om006G261620	XP_006291603.1
OG0001202	Om006G259060	XP_023638263.1
OG0001202	Om006G260190	XP_006292765.1
OG0001203	Om003G119970	XP_006291436.1, XP_006284056.1, XP_006291365.1
OG0001205	Om002G060410	XP_006298478.1
OG0001207	Om003G100370	XP_006284629.1
OG0001207	Om002G063290	XP_023642276.1
OG0001208	Om003G098430	XP_023645213.1
OG0001208	Om002G065980	XP_006298561.1
OG0001209	Om003G098060	XP_006303933.1
OG0001209	Om002G066390	XP_006299075.1
OG0001218	Om002G046860	XP_023642694.1
OG0001219	Om003G118330	XP_006292471.1, XP_006292814.1
OG0001220	Om006G244160, Om006G244150	XP_023636254.1, XP_006289160.2
OG0001222	Om001G027470	XP_006285418.1
OG0001222	Om004G153200, Om018G373910	XP_006294309.1
OG0001223	Om002G082000	XP_006298926.2
OG0001223	Om001G031810	XP_023634395.1
OG0001224	Om005G187250	XP_023633143.1, XP_023633142.1
OG0001225	Om006G271930	XP_023637777.1, XP_006290672.1, XP_006290677.1
OG0001226	Om006G269860	XP_023638614.1, XP_023639202.1, XP_006291278.2
OG0001227	Om002G052210	XP_023641438.1
OG0001227	Om004G175150	XP_006288343.1
OG0001228	Om006G259390, Om006G259350, Om006G259430, Om006G259310	XP_006294378.1
OG0001229	Om006G249980	XP_023645176.1
OG0001230	Om006G236280	XP_006282301.1
OG0001230	Om004G169010	XP_006286992.1
OG0001231	Om006G236150	XP_006279688.1
OG0001231	Om004G169080	XP_006289257.1
OG0001232	Om001G003010	XP_006282896.1
OG0001232	Om001G003020	XP_006283578.1
OG0001233	Om001G009770	XP_006286135.1
OG0001233	Om008G352720	XP_006287663.1
OG0001234	Om004G138070	XP_006302934.1
OG0001235	Om002G083990	XP_006297928.2
OG0001235	Om001G034630	XP_006284044.1
OG0001237	Om008G321460	XP_023640459.1
OG0001237	Om005G208750, Om003G126420	XP_006290645.1
OG0001238	Om008G321570	XP_006296425.1
OG0001238	Om003G126200	XP_006292212.1
OG0001239	Om003G124340	XP_006290798.1
OG0001239	Om008G323910	XP_006293880.1
OG0001240	Om008G324750, Om008G324760	XP_023640207.1
OG0001241	Om008G324870	XP_006294749.1
OG0001241	Om008G324900, Om008G324890	XP_006296125.1
OG0001242	Om004G174520	XP_023636164.1
OG0001242	Om002G052480	XP_023641150.1
OG0001243	Om006G241260	XP_006287335.1
OG0001243	Om005G212570	XP_023645967.1, XP_006301879.1
OG0001245	Om006G258010	XP_006291804.1
OG0001245	Om006G229530	XP_023640090.1
OG0001246	Om005G179070	XP_006305170.1
OG0001246	Om004G158830	XP_023637179.1
OG0001247	Om004G160440	XP_006288913.1
OG0001247	Om002G050370	XP_006298847.1
OG0001248	Om007G282850, Om007G282830, Om007G282860	XP_006293626.1, XP_023639500.1, XP_006295787.1, XP_023636994.1
OG0001249	Om008G333840	XP_023640924.1
OG0001250	Om007G299800	XP_023636865.1
OG0001250	Om002G043300	XP_023642185.1
OG0001251	Om002G043620	XP_006298399.1
OG0001251	Om007G299300	XP_006288512.1
OG0001252	Om002G043920	XP_023641061.1
OG0001253	Om002G047790	XP_006299753.1
OG0001253	Om007G294040	XP_006290150.1
OG0001254	Om003G095910	XP_006307613.1
OG0001254	Om008G338050	XP_023640683.1
OG0001255	Om004G133240	XP_006303023.1
OG0001255	Om005G198260	XP_006304326.1
OG0001256	Om004G142260	XP_006302536.2
OG0001256	Om005G198820	XP_006304061.1
OG0001257	Om004G141760	XP_006301877.1
OG0001257	Om005G199300	XP_006303840.1
OG0001258	Om005G200690	XP_023632825.1
OG0001258	Om004G139120	XP_006303044.1
OG0001259	Om005G201530	XP_006305608.1
OG0001259	Om004G137860	XP_006302820.1
OG0001261	Om005G194440	XP_006307508.1
OG0001262	Om005G194320	XP_006307338.1
OG0001262	Om005G194340, Om005G194330	XP_006307363.1
OG0001263	Om005G191580	XP_023645485.1
OG0001264	Om002G057540	XP_006299300.1
OG0001264	Om003G090210	XP_006306349.1
OG0001265	Om003G095680	XP_006307147.1
OG0001265	Om002G069140	XP_006297313.1
OG0001268	Om001G028270, Om001G028250	XP_023634055.1
OG0001269	Om007G289700, Om007G289710	XP_023644761.1
OG0001274	Om004G153070, Om018G373760	XP_006296025.1
OG0001274	Om001G027260	XP_006282685.1
OG0001275	Om005G202690	XP_023645467.1
OG0001275	Om001G033720	XP_006283612.1
OG0001276	Om005G222670	XP_006300932.1
OG0001276	Om005G189920	XP_006305525.1
OG0001277	Om005G222970	XP_006301932.1, XP_006301401.1
OG0001278	Om002G076590	XP_006296728.1
OG0001279	Om007G300380	XP_006286494.1
OG0001279	Om002G042920	XP_006297525.1
OG0001280	Om006G269500	XP_023638413.1
OG0001280	Om002G054490	XP_006283825.1
OG0001281	Om005G227890	XP_006303083.1
OG0001281	Om007G318310	XP_006285359.1
OG0001282	Om006G250090	XP_006283991.1, XP_006280600.1
OG0001283	Om003G119930	XP_023638231.1
OG0001283	Om008G328480	XP_006295648.1
OG0001284	Om003G108870	XP_006280300.1
OG0001284	Om006G234900	XP_023633586.1
OG0001285	Om003G116080	XP_006281006.1
OG0001285	Om001G020050	XP_023634521.1
OG0001286	Om003G116830	XP_006280637.1
OG0001287	Om001G018860	XP_006283406.1
OG0001287	Om003G117080, Om004G145930	XP_006280225.1
OG0001288	Om004G163800	XP_006287989.1
OG0001288	Om006G240240	XP_006287976.1
OG0001289	Om001G000320	XP_006282678.1
OG0001289	Om008G362210	XP_006282206.1
OG0001290	Om008G351210	XP_006288443.1
OG0001290	Om001G010830	XP_023634587.1
OG0001291	Om001G011760, Om003G100450	XP_006304352.1
OG0001291	Om001G011750	XP_006303476.1
OG0001292	Om007G282020	XP_006294683.1
OG0001292	Om002G042860	XP_006298213.1
OG0001293	Om003G123470	XP_006290454.1
OG0001294	Om004G153730	XP_006296223.1
OG0001294	Om001G039610	XP_006283476.1
OG0001296	Om004G154220	XP_006293363.1
OG0001296	Om006G229750	XP_006293777.1
OG0001297	Om008G354250	XP_023635922.1
OG0001298	Om002G070950	XP_023634244.1
OG0001299	Om008G320350	XP_006293869.1
OG0001300	Om003G121550	XP_006291482.1
OG0001300	Om008G326760	XP_006294608.1
OG0001301	Om003G121140	XP_006290821.1
OG0001301	Om008G326930	XP_023639545.1
OG0001302	Om006G231010	XP_023635129.1
OG0001302	Om006G259630	XP_006291909.1
OG0001303	Om004G157140	XP_006287814.1
OG0001304	Om005G185790	XP_006305673.1
OG0001304	Om007G283550	XP_006294934.1
OG0001305	Om002G047540	XP_023641989.1
OG0001305	Om007G293740	XP_006289311.1
OG0001306	Om002G047760	XP_006298162.1
OG0001307	Om002G050190, Om002G050200	XP_006298680.1
OG0001308	Om006G255570	XP_006292114.2
OG0001308	Om008G337370	XP_023639506.1
OG0001309	Om008G334740	XP_006294669.1
OG0001309	Om006G253780	XP_006292744.1
OG0001310	Om005G197840	XP_006307407.1
OG0001310	Om004G132480	XP_006302220.1
OG0001311	Om007G293340	XP_023636558.1
OG0001312	Om002G049930	XP_006298644.1
OG0001312	Om007G306710, Om009G363690	XP_006279695.1
OG0001313	Om001G038820, Om001G038860, Om001G038840, Om001G038810	XP_006302859.1
OG0001314	Om002G057470	XP_006297676.1
OG0001314	Om003G090100	XP_006307505.1
OG0001315	Om002G061400	XP_006297003.1
OG0001315	Om003G094330	XP_006306783.2
OG0001316	Om003G099760	XP_006303597.2, XP_006303675.1
OG0001316	Om002G064010	XP_006297985.1
OG0001317	Om003G097220, Om002G067410	XP_006300082.1
OG0001318	Om003G100520, Om003G100530, Om003G100570, Om003G100550	XP_006284675.2
OG0001319	Om006G255230	XP_006291962.1
OG0001320	Om005G228140, Om004G165840, Om001G021540, Om001G034720, Om001G035350, Om001G036310	XP_006284860.2
OG0001321	Om008G361800, Om008G361810	XP_006281526.1, XP_006281589.1
OG0001321	Om008G361760, Om008G361770, Om008G361790, Om008G361780, Om008G361750	XP_006281663.1, XP_006301874.2
OG0001323	Om006G233070	XP_006286005.1
OG0001328	Om001G027840	XP_006286014.1
OG0001328	Om004G154830	XP_006294291.1
OG0001330	Om002G083840	XP_006297360.1
OG0001330	Om001G035780, Om001G034460	XP_006283444.1
OG0001331	Om005G183170, Om011G365940, Om005G218380	XP_023643321.1
OG0001331	Om011G365640, Om020G374530	XP_023643298.1
OG0001332	Om011G364990, Om020G374420	XP_023643602.1
OG0001332	Om005G188110	XP_006306171.1
OG0001333	Om005G189740	XP_006304923.1
OG0001334	Om005G195510	XP_006306843.1
OG0001334	Om006G275200	XP_006292297.1
OG0001335	Om004G172750	XP_023636388.1
OG0001335	Om002G053520	XP_023641398.1
OG0001336	Om002G055270	XP_006297639.1
OG0001336	Om004G170320	XP_023636555.1
OG0001337	Om003G115730	XP_006280563.1
OG0001337	Om001G020770	XP_006283844.1
OG0001338	Om003G115720	XP_006281475.1
OG0001339	Om003G117680	XP_023636051.1
OG0001340	Om004G164240, Om004G164210	XP_006287808.1, XP_006289730.1
OG0001341	Om006G239760	XP_006287242.1
OG0001341	Om004G164720	XP_023636702.1
OG0001342	Om004G166010, Om004G166040	XP_006288396.1
OG0001342	Om006G232060	XP_006281510.1
OG0001343	Om004G167750	XP_006288079.1
OG0001343	Om006G237720	XP_006288023.2
OG0001344	Om001G000650	XP_006286032.1
OG0001344	Om008G361820	XP_006281584.2
OG0001345	Om001G002870	XP_006284518.1
OG0001345	Om008G358760	XP_006281087.1
OG0001346	Om001G006330	XP_023634937.1
OG0001346	Om001G006320	XP_006283416.1
OG0001347	Om002G042790	XP_006298854.1
OG0001348	Om002G084400	XP_006298248.1
OG0001349	Om002G084970	XP_006299063.2
OG0001349	Om001G035900	XP_006286288.1, XP_006283620.1
OG0001350	Om004G154140	XP_006294943.1
OG0001350	Om001G039050	XP_006285120.1
OG0001351	Om008G323820	XP_006285435.1
OG0001351	Om004G160700	XP_006279430.1
OG0001352	Om008G344590	XP_006289448.1
OG0001353	Om008G358330, Om008G358340	XP_006280104.1
OG0001353	Om008G358400, Om008G358390	XP_006280075.1
OG0001354	Om003G128220	XP_006291967.1
OG0001354	Om008G319360	XP_006293393.1
OG0001355	Om003G126260	XP_006291850.1
OG0001355	Om008G321560	XP_006295053.1
OG0001356	Om003G122470	XP_006292016.1
OG0001357	Om003G121180	XP_006292009.1
OG0001358	Om008G327570	XP_006295937.1
OG0001358	Om003G120700	XP_023638556.1
OG0001359	Om006G267220	XP_006291710.1
OG0001359	Om006G245720	XP_023633463.1
OG0001360	Om005G182650	XP_023645240.1
OG0001360	Om007G279210	XP_006293566.1
OG0001361	Om007G279070	XP_023639642.1
OG0001361	Om005G181940	XP_023645130.1
OG0001362	Om002G068640	XP_006297205.1
OG0001362	Om007G285120	XP_006293460.1
OG0001363	Om001G019430	XP_006285104.1
OG0001364	Om007G300390	XP_023637662.1
OG0001364	Om002G042910	XP_023642084.1
OG0001365	Om002G043000	XP_023642332.1
OG0001365	Om007G300260	XP_006288253.1
OG0001366	Om007G299050	XP_023636345.1
OG0001366	Om002G043770	XP_023641066.1
OG0001367	Om002G049120	XP_023645806.1, XP_006298146.1
OG0001368	Om003G093080, Om002G088450, Om007G307280, Om008G339570	XP_006295898.1
OG0001368	Om008G338180	XP_023637720.1
OG0001370	Om005G203190	XP_006305316.2
OG0001370	Om004G135860	XP_006302740.1
OG0001372	Om002G044560	XP_006296882.1
OG0001372	Om007G297490	XP_006286949.1
OG0001373	Om003G099110	XP_006305620.2
OG0001373	Om002G065230	XP_023641548.1
OG0001374	Om004G137820	XP_006303004.2
OG0001374	Om005G201480	XP_006304325.1
OG0001375	Om005G197110	XP_006304162.1
OG0001375	Om004G131490	XP_006302763.1
OG0001376	Om002G058580	XP_006299874.1
OG0001376	Om003G091280	XP_006305079.1
OG0001377	Om006G273910, Om006G273900	XP_006298502.2
OG0001377	Om002G062970	XP_023643867.1, XP_006298733.1
OG0001378	Om003G099550	XP_023645618.1
OG0001379	Om002G067520	XP_023641677.1
OG0001379	Om003G097120	XP_006306192.1
OG0001380	Om003G096990	XP_006303537.1
OG0001380	Om002G067680	XP_006298339.2
OG0001381	Om005G190250	XP_006305822.1, XP_023632798.1
OG0001382	Om004G154100	XP_006293793.1
OG0001383	Om001G025430, Om001G025440	XP_006296148.1, XP_006285848.1
OG0001383	Om008G337760	XP_006295963.1, XP_023635413.1, XP_006279734.1
OG0001384	Om005G226620	XP_006296304.2
OG0001391	Om002G055930	XP_023642754.1
OG0001391	Om002G055900, Om002G055910	XP_006299183.1
OG0001392	Om001G033620	XP_006285214.1
OG0001392	Om002G082830	XP_006299920.1
OG0001393	Om002G083710	XP_006296934.1
OG0001393	Om001G034290	XP_006283076.1
OG0001394	Om001G002780	XP_006303533.1, XP_023632746.1, XP_023644422.1
OG0001395	Om001G017560	XP_006284484.1
OG0001395	Om003G118160	XP_023638053.1
OG0001397	Om005G188800	XP_023645993.1
OG0001397	Om005G219700	XP_006300698.1
OG0001398	Om006G275330	XP_006290827.1
OG0001398	Om005G195600	XP_006307153.1
OG0001399	Om006G274430	XP_006290810.1
OG0001399	Om005G194500	XP_006306966.1
OG0001400	Om005G192980	XP_006305243.1
OG0001401	Om007G316150	XP_006282728.1
OG0001401	Om007G300200	XP_006288701.1
OG0001402	Om007G315710	XP_006285608.1
OG0001403	Om005G225360	XP_006302977.1
OG0001403	Om005G191810	XP_006304732.1
OG0001404	Om005G224870	XP_023643501.1
OG0001404	Om005G191440	XP_006304906.1
OG0001405	Om004G172430	XP_006287286.1
OG0001405	Om002G053760	XP_023642013.1
OG0001406	Om001G039040	XP_023634102.1
OG0001406	Om005G206430	XP_006289490.1
OG0001407	Om003G114110	XP_006282408.2
OG0001407	Om001G021830	XP_023634581.1
OG0001409	Om006G233910	XP_006280327.1
OG0001409	Om004G167300	XP_006287542.1
OG0001410	Om008G361440	XP_006279629.1
OG0001410	Om001G001020	XP_006283833.1
OG0001411	Om001G001800	XP_006284920.1
OG0001412	Om001G004560	XP_006284552.1
OG0001412	Om008G357580	XP_006281129.1
OG0001413	Om001G008170	XP_006282967.1
OG0001414	Om001G012140, Om001G012130	XP_006305934.1, XP_006304333.1, XP_006304616.1, XP_006305802.1, XP_006305804.1, XP_006304338.1
OG0001415	Om008G340660	XP_006294729.2
OG0001415	Om007G288810	XP_006305292.1
OG0001416	Om007G289920	XP_006303318.1
OG0001417	Om001G036800	XP_006283895.2
OG0001417	Om004G155350, Om004G152970	XP_006294451.2
OG0001418	Om001G040730	XP_006284338.1
OG0001418	Om004G155940	XP_023640012.1
OG0001419	Om006G250550	XP_006285712.1, XP_006290875.1
OG0001419	Om003G120220	XP_006290907.1
OG0001420	Om008G354210	XP_023636619.1, XP_006289661.1
OG0001420	Om001G008240	XP_006283446.1
OG0001421	Om002G071350	XP_006298722.1
OG0001422	Om002G047000	XP_023642104.1
OG0001422	Om007G293430	XP_006287445.1
OG0001423	Om008G322990	XP_006294803.1
OG0001423	Om003G124870	XP_006291683.1
OG0001424	Om004G173780	XP_006289048.1
OG0001425	Om006G268320	XP_006292595.1
OG0001425	Om006G242430	XP_006290165.1
OG0001427	Om004G158300	XP_023636327.1
OG0001427	Om005G178500	XP_006306065.1
OG0001428	Om004G159920	XP_006288563.1
OG0001429	Om004G159960	XP_006287709.1
OG0001429	Om003G128350	XP_006291070.1
OG0001430	Om005G181350	XP_006306324.1
OG0001431	Om005G181950	XP_006306675.1
OG0001431	Om007G279030	XP_006293603.2
OG0001432	Om005G183280	XP_023644997.1
OG0001432	Om007G280280	XP_006294593.2
OG0001433	Om005G184040	XP_006306356.1
OG0001433	Om007G281110	XP_023640159.1
OG0001434	Om007G282800	XP_023639929.1
OG0001434	Om004G170770	XP_006290197.1, XP_006288477.1
OG0001435	Om005G185610	XP_006305197.1
OG0001435	Om007G283330	XP_006294419.2
OG0001436	Om007G296660	XP_006287454.2
OG0001436	Om002G045150	XP_006297506.1
OG0001437	Om007G296370	XP_006286451.1
OG0001437	Om002G045350	XP_006297040.1
OG0001438	Om007G293250	XP_006288375.1
OG0001438	Om002G046680	XP_006298244.1
OG0001439	Om004G140270	XP_006302222.1
OG0001439	Om005G200110	XP_023644651.1
OG0001440	Om005G204130	XP_006304134.2
OG0001440	Om004G134810	XP_006302830.1
OG0001441	Om004G142990	XP_006302079.1
OG0001441	Om005G205040	XP_006306912.1
OG0001442	Om005G207110	XP_023643163.1
OG0001442	Om004G143360	XP_006304266.1
OG0001443	Om005G208910	XP_006302877.1
OG0001444	Om007G286480, Om007G286460, Om007G286440, Om007G286470, Om007G286450	XP_006285403.1, XP_006284509.1
OG0001445	Om005G189450	XP_006295733.1
OG0001445	Om005G189440	XP_006305859.1
OG0001446	Om004G168070	XP_006288700.1
OG0001446	Om006G237030	XP_006281136.1
OG0001448	Om003G090990	XP_023632613.1
OG0001448	Om002G058270	XP_006296703.2
OG0001449	Om002G059130	XP_006297279.1
OG0001449	Om003G091940	XP_006307084.1
OG0001450	Om003G091950	XP_006307088.1
OG0001450	Om002G059150	XP_006297218.2
OG0001451	Om003G093630	XP_023632742.1
OG0001452	Om003G093850	XP_006305156.2
OG0001452	Om002G060900	XP_006297968.1
OG0001453	Om003G094190	XP_006305405.2
OG0001454	Om002G061580	XP_006297987.1
OG0001454	Om003G094410	XP_006305213.1
OG0001455	Om002G063020	XP_006298433.2
OG0001455	Om003G100700	XP_006285439.2
OG0001456	Om002G067510	XP_023645944.1, XP_006298107.1
OG0001456	Om003G097130	XP_006303590.2
OG0001457	Om002G068010	XP_006298403.1
OG0001457	Om003G096780	XP_006304201.1
OG0001459	Om005G203490, Om005G203470	XP_023632639.1
OG0001459	Om005G203510	XP_023633029.1
OG0001460	Om007G282180	XP_006301361.2
OG0001464	Om001G025060	XP_006295293.1
OG0001464	Om002G086890	XP_006298861.1
OG0001465	Om002G086750	XP_006297002.1
OG0001465	Om001G025360	XP_006283123.1
OG0001466	Om001G027980	XP_023635066.1
OG0001469	Om007G292300	XP_006307511.1
OG0001470	Om008G338210	XP_006295043.1
OG0001471	Om005G189730	XP_006305166.1
OG0001472	Om005G195390	XP_006305701.1
OG0001473	Om006G274420	XP_006291104.1
OG0001473	Om005G194490	XP_006307552.1
OG0001475	Om005G191310	XP_006306083.1
OG0001475	Om005G224670	XP_006302557.1
OG0001477	Om004G169220	XP_006286817.1
OG0001478	Om002G052340	XP_006299535.1
OG0001478	Om004G174870	XP_006288928.1
OG0001479	Om003G124840	XP_006292086.2
OG0001480	Om007G285890	XP_006285021.1
OG0001481	Om004G161670	XP_006287229.1, XP_006299070.1, XP_006299602.1
OG0001482	Om004G164380	XP_006287910.1
OG0001482	Om006G239940	XP_006287805.1
OG0001483	Om006G239530	XP_006289462.1
OG0001483	Om004G165050	XP_006289898.1
OG0001484	Om004G165080	XP_006288922.1
OG0001484	Om006G239500	XP_006290133.1
OG0001485	Om004G167070	XP_006287587.1
OG0001485	Om006G233730	XP_006279782.1
OG0001486	Om004G167310	XP_006287344.1
OG0001486	Om006G233960	XP_023632564.1
OG0001487	Om006G237600	XP_006287875.1
OG0001487	Om004G167840	XP_006287855.1
OG0001488	Om001G000580	XP_006284521.1
OG0001488	Om008G362000	XP_006281094.1
OG0001489	Om008G353670	XP_006288225.1
OG0001489	Om001G008780	XP_006284145.1
OG0001490	Om007G289490	XP_006303421.1
OG0001490	Om008G340460	XP_006295225.1
OG0001491	Om007G296320, Om007G292820, Om007G290420, Om001G003260	XP_006306337.1, XP_006303496.1, XP_006289244.1, XP_006289227.1, XP_006305700.1, XP_006305697.1, XP_006301053.1, XP_006300973.2, XP_006300349.1, XP_006303116.2, XP_006301316.1, XP_006301671.1, XP_006305962.1
