Orthogroup	Odontarrhena_muralis	Alyssum_gmelinii
OG0001171	Om005G221900	Ag004G373820
OG0001171	Om005G189750	Ag004G312950
OG0001172	Om006G273870	Ag008G662530
OG0001172	Om005G193820	Ag004G319120
OG0001173	Om001G018260	Ag007G619670
OG0001173	Om005G228160	Ag004G399590
OG0001174	Om002G053840	Ag005G474660
OG0001175	Om003G118430	Ag008G698260
OG0001176	Om006G231760	Ag008G733000
OG0001176	Om004G165430	Ag007G604920
OG0001177	Om004G168130, Om004G168100	Ag007G600560
OG0001178	Om004G168330	Ag007G600270
OG0001178	Om006G236820	Ag008G725720
OG0001178	Om006G236830	Ag008G725690
OG0001178	Om006G236840	Ag008G725670, Ag008G725680
OG0001179	Om001G002710	Ag006G574110
OG0001179	Om003G104170	Ag001G039020
OG0001180	Om001G004420	Ag006G570220
OG0001180	Om008G357690	Ag002G103040
OG0001181	Om001G007890	Ag006G566890
OG0001181	Om008G354480	Ag002G138060, Ag002G134550
OG0001182	Om008G340520	Ag002G160010
OG0001182	Om007G289260	Ag007G582580
OG0001183	Om001G035210	Ag003G286590
OG0001183	Om002G084370	Ag005G414160
OG0001184	Om003G127310	Ag001G095850
OG0001184	Om008G320610	Ag002G203750
OG0001185	Om003G126820	Ag001G095120
OG0001185	Om008G321040	Ag002G203300
OG0001186	Om003G123550, Om003G123540	Ag001G090400
OG0001187	Om007G279310	Ag007G589410
OG0001187	Om005G182570	Ag004G303790
OG0001188	Om004G170230	Ag006G504540
OG0001188	Om007G281960	Ag007G593130
OG0001189	Om002G042490	Ag001G100580
OG0001189	Om007G301350	Ag007G614050
OG0001190	Om002G045600	Ag005G486330
OG0001191	Om007G293620	Ag007G637060
OG0001191	Om002G047290	Ag005G484150
OG0001192	Om003G100360	Ag001G030940, Ag001G029590
OG0001192	Om002G049400	Ag005G480920
OG0001193	Om006G251660	Ag001G079120
OG0001193	Om008G331060	Ag002G183840
OG0001194	Om006G251130	Ag001G080130
OG0001194	Om006G251160	Ag001G080060
OG0001194	Om002G050930	Ag005G478840
OG0001195	Om005G198660	Ag004G327380
OG0001196	Om004G138870	Ag003G227660
OG0001196	Om005G201250	Ag004G332040
OG0001197	Om006G253160	Ag008G715480, Ag001G075470
OG0001198	Om007G294050	Ag003G225960, Ag003G226030, Ag003G225920, Ag003G226040, Ag007G636000
OG0001200	Om006G241520	Ag008G719020
OG0001200	Om003G090720	Ag001G002520
OG0001200	Om003G090790	Ag001G002590, Ag001G002580
OG0001201	Om006G238190	Ag008G723680
OG0001201	Om006G261620	Ag008G690580
OG0001202	Om006G259060	Ag001G060360
OG0001203	Om003G119970	Ag001G083410
OG0001204	Om008G327040	Ag002G193050, Ag002G193140, Ag002G193160, Ag002G193200, Ag002G193070, Ag002G193130, Ag002G193220, Ag002G193180
OG0001204	Om004G135940	Ag003G213790, Ag003G213830, Ag003G213680
OG0001205	Om002G060410	Ag005G464330
OG0001207	Om003G100370	Ag001G029600, Ag001G030950
OG0001207	Om002G063290	Ag005G459790
OG0001208	Om003G098430	Ag001G021110
OG0001208	Om002G065980	Ag005G452970
OG0001209	Om003G098060	Ag001G019490, Ag001G018930
OG0001209	Om002G066390	Ag005G451020
OG0001210	Om002G067480	Ag005G447410
OG0001210	Om003G097150	Ag001G015230
OG0001214	Om003G106620	Ag001G065530
OG0001214	Om002G076570	Ag004G367410, Ag001G070190, Ag002G167060, Ag006G526950, Ag003G212920, Ag004G351600
OG0001214	Om003G103820	Ag001G027510, Ag005G424450, Ag008G698490, Ag003G238460, Ag007G654930, Ag008G684040
OG0001214	Om008G344640, Om001G020250	Ag001G055260, Ag001G055200
OG0001217	Om008G355510	Ag002G130160
OG0001218	Om002G046860	Ag005G484660
OG0001219	Om003G118330	Ag008G697600
OG0001220	Om006G244160, Om006G244150	Ag008G714370
OG0001222	Om001G027470	Ag003G268120
OG0001223	Om001G031810	Ag003G273790
OG0001224	Om005G187250	Ag004G309570
OG0001225	Om006G271930	Ag008G667510, Ag004G374180
OG0001226	Om006G269860	Ag002G117630
OG0001227	Om002G052210	Ag005G476860
OG0001227	Om004G175150	Ag006G494080
OG0001228	Om006G259390, Om006G259350, Om006G259430, Om006G259310	Ag002G174110, Ag001G081960
OG0001229	Om006G249980	Ag004G384940, Ag004G385000, Ag004G385040, Ag004G384980, Ag004G385090, Ag004G384970
OG0001229	Om006G240530	Ag008G722120, Ag008G722140, Ag008G722160, Ag008G722130
OG0001230	Om006G236280	Ag008G726560
OG0001230	Om004G169010	Ag006G507850
OG0001231	Om006G236150	Ag008G726750
OG0001231	Om004G169080	Ag006G507570
OG0001232	Om001G003020	Ag006G572620
OG0001233	Om001G009770	Ag006G550770
OG0001233	Om008G352720	Ag003G263830, Ag003G263190, Ag008G694510, Ag002G143510
OG0001234	Om004G138070	Ag003G226160
OG0001234	Om007G287480	Ag007G584680
OG0001235	Om002G083990	Ag005G416000
OG0001235	Om001G034630	Ag003G285490
OG0001236	Om008G342170	Ag001G002170
OG0001237	Om008G321460	Ag002G202710
OG0001237	Om005G208750, Om003G126420	Ag001G094450
OG0001238	Om008G321570	Ag002G202580
OG0001238	Om003G126200	Ag001G094230
OG0001239	Om003G124340	Ag001G091800
OG0001239	Om008G323910	Ag002G198750
OG0001240	Om008G324700	Ag002G197880
OG0001240	Om008G324730	Ag002G197810
OG0001240	Om008G324740	Ag002G197830
OG0001240	Om008G324680	Ag002G197900
OG0001241	Om008G324870	Ag002G197710
OG0001241	Om008G324900, Om008G324890	Ag002G197700, Ag002G197690
OG0001242	Om004G174520	Ag006G495160
OG0001242	Om002G052480	Ag005G476520
OG0001243	Om006G241260	Ag008G719290
OG0001243	Om005G212570	Ag004G356370
OG0001243	Om006G241270	Ag008G719280
OG0001244	Om006G242110	Ag008G717950
OG0001245	Om006G258010	Ag001G063060
OG0001245	Om006G229530	Ag004G353940, Ag001G099840
OG0001246	Om005G179070	Ag004G299200
OG0001246	Om004G158830	Ag006G513920
OG0001247	Om004G160440	Ag007G599530
OG0001247	Om002G050370	Ag005G479440
OG0001248	Om007G282850, Om007G282830, Om007G282860	Ag007G594610, Ag007G594590
OG0001249	Om008G333840	Ag008G725240, Ag002G176480
OG0001250	Om007G299800	Ag007G618640
OG0001250	Om002G043300	Ag005G490080
OG0001251	Om002G043620	Ag005G489640
OG0001251	Om007G299300	Ag007G619870
OG0001252	Om002G043920, Om002G043910	Ag005G489110
OG0001253	Om002G047790	Ag005G483320
OG0001253	Om007G294040	Ag007G636010
OG0001254	Om003G095910	Ag001G011150
OG0001254	Om008G338050	Ag002G164800
OG0001255	Om004G133240	Ag003G214230
OG0001255	Om005G198260	Ag004G326380
OG0001256	Om004G142260	Ag003G238910
OG0001256	Om005G198820	Ag004G327570
OG0001257	Om004G141760	Ag003G237120
OG0001257	Om005G199300	Ag004G328540
OG0001258	Om005G200690	Ag004G331020
OG0001258	Om004G139120	Ag003G229650
OG0001259	Om005G201530	Ag004G332360, Ag004G332350
OG0001259	Om004G137860	Ag003G226980
OG0001260	Om003G111460	Ag008G701690
OG0001261	Om005G194440	Ag004G320170
OG0001262	Om005G194320	Ag004G319930
OG0001262	Om005G194340	Ag004G319960, Ag004G319980
OG0001262	Om005G194330	Ag004G319970, Ag004G319950
OG0001263	Om005G191580	Ag004G315430
OG0001264	Om002G057540	Ag005G469500
OG0001264	Om003G090210	Ag001G001400
OG0001265	Om003G095680	Ag001G010710
OG0001265	Om002G069140	Ag005G442590, Ag004G323700, Ag005G443740
OG0001266	Om004G146350, Om006G264180	Ag001G066040
OG0001266	Om008G344320, Om003G113010	Ag002G195710
OG0001268	Om004G145870, Om004G145960	Ag003G244910
OG0001268	Om001G028270, Om001G028250	Ag003G244900
OG0001269	Om007G289700, Om007G289710	Ag007G582170, Ag007G582150
OG0001274	Om004G153070, Om018G373760	Ag006G524860
OG0001274	Om001G027260	Ag003G267830
OG0001275	Om005G202690	Ag004G334620
OG0001275	Om001G033720	Ag003G283500
OG0001276	Om005G222670	Ag004G374720
OG0001276	Om005G189920	Ag004G313130
OG0001277	Om005G222970	Ag004G376210, Ag004G376220
OG0001278	Om002G076590	Ag008G670840
OG0001279	Om007G300380	Ag007G617160
OG0001279	Om002G042920	Ag005G490470
OG0001280	Om006G269500	Ag007G605820, Ag001G076190
OG0001280	Om002G054490	Ag005G473800
OG0001281	Om005G227890	Ag004G398000
OG0001281	Om007G318310	Ag005G451920, Ag004G354800, Ag004G322220, Ag007G656770
OG0001282	Om006G250090	Ag008G700450
OG0001283	Om003G119930	Ag001G083190
OG0001283	Om008G328480	Ag002G189930
OG0001284	Om003G108870	Ag001G040840
OG0001284	Om006G234900	Ag008G728600
OG0001285	Om003G116080	Ag001G057310
OG0001286	Om006G249100, Om003G116840	Ag008G694420
OG0001286	Om003G116830	Ag008G694390
OG0001287	Om003G117080, Om004G145930	Ag008G694960
OG0001288	Om004G163800	Ag007G607390
OG0001288	Om006G240240	Ag008G720640
OG0001289	Om001G000320	Ag006G577550
OG0001289	Om008G362210	Ag002G114270, Ag002G121960, Ag002G121970
OG0001290	Om008G351210	Ag002G146290
OG0001290	Om001G010830	Ag006G546920, Ag006G542020
OG0001291	Om001G011750	Ag006G540940
OG0001292	Om007G282020	Ag007G593410
OG0001292	Om002G042860	Ag005G490570
OG0001293	Om003G123470	Ag001G090280
OG0001293	Om003G123460	Ag001G090160
OG0001294	Om004G153730	Ag006G522710
OG0001294	Om001G039610	Ag003G293330
OG0001296	Om004G154220	Ag006G523450
OG0001296	Om006G229750	Ag002G206170, Ag008G733080
OG0001297	Om008G354250	Ag002G138870, Ag002G138840
OG0001297	Om008G354230	Ag002G138890
OG0001298	Om002G070950	Ag001G035220, Ag005G437770
OG0001299	Om008G320350	Ag002G204170
OG0001300	Om003G121550	Ag001G086290
OG0001300	Om008G326760	Ag002G193700
OG0001301	Om003G121140	Ag001G085710
OG0001301	Om008G326930	Ag002G193350
OG0001302	Om006G231010	Ag008G733920
OG0001302	Om006G259630	Ag001G058740
OG0001303	Om004G157140	Ag006G519040
OG0001303	Om005G177770	Ag004G297490
OG0001304	Om005G185790	Ag004G307690
OG0001304	Om007G283550	Ag007G595610
OG0001305	Om002G047540	Ag005G483870
OG0001305	Om007G293740	Ag007G636670
OG0001306	Om007G294020	Ag007G636130
OG0001306	Om002G047760	Ag005G483370
OG0001307	Om002G050190	Ag005G479630
OG0001307	Om002G050200	Ag005G479620
OG0001308	Om006G255570	Ag001G069930
OG0001309	Om008G334740	Ag002G174770
OG0001309	Om006G253780	Ag001G074030
OG0001310	Om005G197840	Ag004G325640
OG0001310	Om004G132480	Ag003G212510
OG0001311	Om007G293340	Ag007G579540
OG0001311	Om007G293350	Ag006G551840, Ag007G637700
OG0001312	Om007G306710, Om009G363690	Ag007G643960
OG0001313	Om005G211210	Ag004G353810
OG0001313	Om001G038820, Om001G038860	Ag003G214010
OG0001313	Om001G038840, Om001G038810	Ag003G292230, Ag003G292240, Ag003G292260
OG0001314	Om002G057470	Ag005G469610
OG0001314	Om003G090100	Ag001G001240
OG0001315	Om002G061400	Ag005G462720
OG0001315	Om003G094330	Ag001G008290
OG0001316	Om003G099760	Ag001G026620
OG0001316	Om002G064010	Ag005G458010
OG0001317	Om003G097220	Ag001G015320
OG0001317	Om002G067410	Ag005G447610
OG0001318	Om003G100520, Om003G100530, Om003G100570, Om003G100550	Ag001G031440, Ag001G030250
OG0001319	Om006G255230	Ag001G070950
OG0001320	Om005G228140	Ag004G399000
OG0001320	Om004G165840	Ag006G503170, Ag006G503570, Ag006G503520, Ag006G503160, Ag006G503130
OG0001320	Om001G021540, Om001G034720, Om001G035350, Om001G036310	Ag006G506760, Ag001G036260, Ag001G054250, Ag007G650490, Ag005G403060, Ag007G650540, Ag007G650520
OG0001321	Om008G361810	Ag002G115670, Ag002G120760
OG0001321	Om008G361760	Ag002G120660, Ag002G115790
OG0001321	Om008G361770	Ag002G115770, Ag002G120670
OG0001321	Om008G361790	Ag002G120680, Ag002G115760
OG0001321	Om008G361780	Ag002G120690, Ag002G115750
OG0001321	Om008G361750	Ag002G120650
OG0001323	Om006G233070	Ag008G731160, Ag008G731200
OG0001328	Om001G027840	Ag003G268990
OG0001328	Om004G154830	Ag006G527520
OG0001330	Om002G083840	Ag005G416240
OG0001330	Om001G035780, Om001G034460	Ag003G284980
OG0001331	Om005G183170, Om011G365940, Om005G218380	Ag004G366660
OG0001331	Om011G365640, Om020G374530	Ag004G367390, Ag004G386380
OG0001332	Om011G364990, Om020G374420	Ag004G367740
OG0001332	Om005G188110	Ag004G310650
OG0001333	Om005G221890	Ag004G373800
OG0001333	Om005G189740	Ag004G312940
OG0001334	Om005G195510	Ag004G322000
OG0001334	Om006G275200	Ag008G659210, Ag008G658100
OG0001335	Om004G172750	Ag006G498270
OG0001335	Om002G053520	Ag005G475210
OG0001336	Om002G055270	Ag005G472360
OG0001336	Om004G170320	Ag006G504280
OG0001337	Om003G115730	Ag008G688300, Ag008G690130
OG0001337	Om001G020770	Ag003G252180
OG0001338	Om003G115720	Ag008G690140, Ag008G688290
OG0001339	Om003G117680	Ag008G696250
OG0001340	Om004G164240, Om004G164210	Ag007G606800
OG0001341	Om006G239760	Ag008G721420
OG0001341	Om004G164720	Ag007G605860
OG0001342	Om004G166010, Om004G166040	Ag007G604080
OG0001342	Om006G232060	Ag008G732590
OG0001343	Om004G167750	Ag007G601080
OG0001343	Om006G237720	Ag008G724240
OG0001344	Om001G000650	Ag006G577190
OG0001344	Om008G361820	Ag002G115550, Ag002G120810
OG0001345	Om001G002870	Ag006G573830
OG0001345	Om008G358760	Ag002G105840
OG0001346	Om001G006330	Ag006G562080
OG0001346	Om001G006320	Ag006G562050
OG0001348	Om002G084400	Ag005G414310
OG0001349	Om002G084970	Ag005G412880
OG0001349	Om001G035890	Ag003G288320
OG0001349	Om001G035900	Ag003G288330
OG0001350	Om004G154140	Ag006G523310
OG0001350	Om001G039050	Ag003G292450
OG0001351	Om008G323820	Ag008G692420
OG0001351	Om004G160700	Ag007G599360
OG0001353	Om008G358330, Om008G358340	Ag002G104140, Ag006G572170, Ag006G572220, Ag006G572280, Ag006G572260
OG0001353	Om008G358400, Om008G358390	Ag002G104330
OG0001354	Om003G128220	Ag001G097810
OG0001354	Om008G319360	Ag002G205960
OG0001355	Om003G126260	Ag002G192810, Ag004G391720, Ag001G094260
OG0001355	Om008G321560	Ag002G202600
OG0001356	Om008G326300	Ag002G194950
OG0001356	Om003G122470	Ag001G088580
OG0001357	Om003G121180	Ag001G085760
OG0001358	Om008G327570	Ag002G191930
OG0001358	Om003G120700	Ag001G085020
OG0001359	Om006G267220	Ag001G051540
OG0001359	Om006G245720	Ag008G709910
OG0001360	Om005G182650	Ag004G303910
OG0001360	Om007G279210	Ag007G589230
OG0001361	Om007G279070	Ag007G589050
OG0001361	Om005G181940	Ag004G302990
OG0001362	Om002G068640	Ag005G444610
OG0001362	Om007G285120	Ag007G597690
OG0001363	Om001G019430	Ag007G607980
OG0001364	Om007G300390	Ag007G617140
OG0001364	Om002G042910	Ag005G490500, Ag005G490480
OG0001365	Om002G043000	Ag005G490390
OG0001365	Om007G300260	Ag007G617430
OG0001366	Om007G299050	Ag007G620560
OG0001366	Om002G043770	Ag005G489320
OG0001367	Om002G049120	Ag005G481380
OG0001368	Om003G093080	Ag001G006320
OG0001368	Om002G088450, Om007G307280, Om008G339570	Ag002G161550
OG0001368	Om008G338180	Ag002G164630
OG0001370	Om005G203190	Ag004G335860
OG0001370	Om004G135860	Ag003G219980
OG0001371	Om004G144890, Om004G144920	Ag006G511640
OG0001372	Om002G044560	Ag005G488090
OG0001372	Om007G297490	Ag007G624210
OG0001373	Om003G099110	Ag001G024310
OG0001373	Om002G065230	Ag005G455280
OG0001374	Om004G137820	Ag003G227090
OG0001374	Om005G201480	Ag004G332300
OG0001375	Om005G197110	Ag004G324750
OG0001375	Om004G131490	Ag003G210970
OG0001376	Om002G058580	Ag005G467830
OG0001376	Om003G091280	Ag001G003590
OG0001377	Om006G273910	Ag005G460210, Ag005G460220
OG0001377	Om006G273900	Ag005G460140
OG0001377	Om002G062970	Ag005G460240, Ag005G459960
OG0001378	Om003G099550	Ag001G025310, Ag001G024910
OG0001378	Om002G064510	Ag005G457100
OG0001379	Om002G067520	Ag005G433760
OG0001379	Om003G097120	Ag001G015150
OG0001380	Om003G096990	Ag001G014970
OG0001380	Om002G067680	Ag005G446840
OG0001381	Om003G099980	Ag001G027080
OG0001381	Om003G100020	Ag002G126310
OG0001381	Om008G323730	Ag001G027630
OG0001382	Om004G154100	Ag006G523210
OG0001382	Om001G039070	Ag003G292480
OG0001382	Om001G039060	Ag003G292460
OG0001383	Om001G025430, Om001G025440	Ag001G091440
OG0001384	Om005G226620	Ag004G388230, Ag004G393310, Ag004G388350, Ag004G393370, Ag004G388270
OG0001391	Om002G055930	Ag005G471460, Ag005G471470
OG0001391	Om002G055900	Ag005G471520
OG0001391	Om002G055910	Ag005G471490, Ag005G471510
OG0001392	Om001G033620	Ag003G283220
OG0001392	Om002G082830	Ag005G417600
OG0001393	Om002G083710	Ag005G416570
OG0001393	Om001G034290	Ag003G285320
OG0001394	Om001G002780	Ag003G215870, Ag006G573980
OG0001395	Om001G017560	Ag003G248450
OG0001395	Om003G118160	Ag008G696990
OG0001396	Om001G033080	Ag002G139930, Ag001G089620
OG0001397	Om005G188800	Ag004G311550
OG0001397	Om005G219700	Ag004G369260
OG0001398	Om006G275330	Ag008G659170, Ag008G658030
OG0001398	Om005G195600	Ag004G322320
OG0001399	Om006G274430	Ag008G660940
OG0001399	Om005G194500	Ag004G320580
OG0001400	Om005G192980	Ag004G317820
OG0001401	Om007G316150	Ag007G649510
OG0001401	Om007G300200	Ag007G617620
OG0001402	Om007G315710	Ag007G648970
OG0001403	Om005G225360	Ag004G381430
OG0001403	Om005G191810	Ag004G315750
OG0001404	Om005G224870	Ag004G380030
OG0001404	Om005G191440	Ag004G315290
OG0001405	Om004G172430	Ag006G499140
OG0001405	Om002G053760	Ag005G474760
OG0001406	Om001G039040	Ag003G292440
OG0001406	Om005G206430	Ag004G343080
OG0001407	Om003G114110	Ag008G684220
OG0001407	Om001G021830	Ag003G253170
OG0001408	Om004G165480	Ag007G604840
OG0001408	Om004G165510	Ag007G604800
OG0001408	Om004G165530	Ag007G604790
OG0001408	Om004G165500	Ag007G604830
OG0001408	Om004G165470	Ag007G604890
OG0001409	Om006G233910	Ag008G729870
OG0001409	Om004G167300	Ag007G601630
OG0001410	Om008G361440	Ag003G262850, Ag002G120020
OG0001410	Om001G001020	Ag006G576730
OG0001411	Om001G001800	Ag006G575480
OG0001412	Om001G004560	Ag006G569940
OG0001412	Om008G357580	Ag002G103010
OG0001413	Om001G008190	Ag006G556050
OG0001413	Om001G008170	Ag006G567740, Ag006G567750
OG0001414	Om001G012140, Om001G012130	Ag006G540270
OG0001415	Om008G340660	Ag002G159660
OG0001415	Om007G288810	Ag007G583150
OG0001416	Om007G289920	Ag007G581940
OG0001417	Om001G036800	Ag003G289380
OG0001417	Om004G155350, Om004G152970	Ag006G524320
OG0001418	Om001G040730	Ag003G295250
OG0001418	Om004G155940	Ag006G521500
OG0001419	Om006G250550	Ag001G081170
OG0001419	Om003G120220	Ag002G171060
OG0001420	Om008G354210	Ag002G138920
OG0001420	Om001G008240	Ag006G555900, Ag006G555880
OG0001421	Om003G102560	Ag001G036270
OG0001421	Om002G071350	Ag005G436870
OG0001422	Om002G047000	Ag005G484500
OG0001422	Om007G293430	Ag007G637440
OG0001423	Om008G322990	Ag002G200290
OG0001423	Om003G124870	Ag001G092640
OG0001424	Om004G173780	Ag006G496610
OG0001425	Om006G268320	Ag008G678130
OG0001425	Om006G242430	Ag008G717570
OG0001427	Om005G178500	Ag004G298430
OG0001428	Om005G179670	Ag004G299960
OG0001428	Om004G159920	Ag006G510260
OG0001429	Om004G159960	Ag006G510160
OG0001429	Om003G128350	Ag001G098000
OG0001430	Om005G181350	Ag004G302280
OG0001431	Om005G181950	Ag004G303000
OG0001431	Om007G279030	Ag007G589010
OG0001432	Om005G183280	Ag004G304890
OG0001432	Om007G280280	Ag007G590910
OG0001433	Om005G184040	Ag004G305660
OG0001433	Om007G281110	Ag007G591900
OG0001434	Om007G282800	Ag006G502530, Ag006G502540, Ag007G594530, Ag007G594550
OG0001434	Om004G170770	Ag006G502770, Ag006G502790
OG0001435	Om005G185610	Ag004G307510
OG0001435	Om007G283330	Ag006G521960, Ag007G595260
OG0001436	Om007G296660	Ag007G626910
OG0001436	Om002G045150	Ag005G487020
OG0001437	Om007G296370	Ag007G628100
OG0001437	Om002G045350	Ag005G486760
OG0001438	Om007G293250	Ag007G637910
OG0001438	Om002G046680	Ag005G484840
OG0001439	Om004G140270	Ag003G233670
OG0001439	Om005G200110	Ag004G329980
OG0001440	Om005G204130	Ag004G337770
OG0001440	Om004G134810	Ag003G218090
OG0001441	Om004G142990	Ag003G240490
OG0001441	Om005G205040	Ag004G339720
OG0001442	Om005G207110	Ag004G344190
OG0001442	Om004G143360	Ag003G226090
OG0001443	Om005G208910	Ag004G348030
OG0001444	Om007G286480	Ag007G585760
OG0001444	Om007G286460, Om007G286440, Om007G286470	Ag007G585910, Ag007G585900, Ag007G585820
OG0001444	Om007G286450	Ag007G585800
OG0001446	Om004G168070	Ag007G600600
OG0001446	Om006G237030	Ag008G725290
OG0001447	Om004G138170	Ag003G225820
OG0001447	Om004G143050	Ag004G377480
OG0001447	Om004G143080	Ag003G240560
OG0001448	Om003G090990	Ag001G002970
OG0001448	Om002G058270	Ag005G468240
OG0001449	Om002G059130	Ag005G466030
OG0001449	Om003G091940	Ag001G004450
OG0001450	Om003G091950	Ag001G004470
OG0001451	Om003G093630	Ag001G007040
OG0001452	Om003G093850	Ag001G007440
OG0001452	Om002G060900	Ag005G463470
OG0001453	Om003G094190	Ag001G007950
OG0001453	Om002G061280	Ag005G462940
OG0001454	Om002G061580	Ag005G462450
OG0001454	Om003G094410	Ag001G008380
OG0001455	Om002G063020	Ag005G460110
OG0001455	Om003G100700	Ag001G030470, Ag001G031670
OG0001456	Om002G067510	Ag005G447360
OG0001456	Om003G097130	Ag001G015190
OG0001457	Om002G068010	Ag005G446320
OG0001457	Om003G096780	Ag001G014090
OG0001458	Om008G319780	Ag002G205000, Ag008G670440, Ag002G203140, Ag005G446920
OG0001458	Om007G303690	Ag002G203130
OG0001458	Om009G363450	Ag008G670300
OG0001459	Om005G203490, Om005G203470	Ag004G336380
OG0001459	Om005G203510	Ag004G336470
OG0001460	Om007G282180	Ag007G593620
OG0001461	Om007G278700	Ag007G588610
OG0001464	Om001G025060	Ag003G259130
OG0001464	Om002G086890	Ag005G407160
OG0001465	Om002G086750	Ag005G408040
OG0001465	Om001G025360	Ag003G260200
OG0001466	Om001G027980	Ag003G269760
OG0001468	Om001G032010	Ag003G273420, Ag003G273430
OG0001469	Om005G221120, Om006G260170	Ag007G611450
OG0001469	Om007G292300	Ag007G579050
OG0001470	Om008G338210	Ag002G164510
OG0001470	Om007G276130	Ag001G101580
OG0001471	Om005G189730	Ag004G312930
OG0001472	Om005G195390	Ag004G321830
OG0001473	Om006G274420	Ag008G660970
OG0001473	Om005G194490	Ag004G320570
OG0001474	Om005G191010, Om005G190990, Om005G191000	Ag004G314730, Ag004G314710
OG0001475	Om005G191310	Ag004G315140
OG0001475	Om005G224670	Ag004G379590
OG0001477	Om004G169220	Ag006G506990
OG0001478	Om002G052340	Ag005G476680
OG0001478	Om004G174870	Ag006G494520
OG0001479	Om003G124840	Ag001G092540
OG0001480	Om007G285890	Ag007G598680
OG0001481	Om004G161670	Ag002G125790, Ag002G130280, Ag003G227030, Ag007G611190, Ag007G611220, Ag003G263070, Ag007G611060
OG0001482	Om004G164380	Ag007G606260
OG0001482	Om006G239940	Ag008G721150
OG0001483	Om006G239530	Ag008G721680
OG0001483	Om004G165050	Ag007G605530
OG0001484	Om004G165080	Ag007G605450
OG0001484	Om006G239500	Ag008G721760
OG0001485	Om004G167070	Ag007G602040
OG0001485	Om006G233730	Ag008G730290
OG0001486	Om004G167310	Ag007G601610
OG0001487	Om006G237600	Ag008G724400
OG0001487	Om004G167840	Ag007G600860
OG0001488	Om001G000580	Ag006G577270
OG0001488	Om008G362000	Ag002G115010, Ag002G121280
OG0001489	Om008G353670	Ag002G140760
OG0001489	Om001G008780	Ag006G553560
OG0001490	Om007G289490	Ag007G582360
OG0001490	Om008G340460	Ag002G160180
OG0001491	Om007G296320, Om007G292820, Om007G290420, Om001G003260	Ag007G581350, Ag007G581360
OG0001492	Om001G040700	Ag003G295180
OG0001493	Om007G287820	Ag007G584240
OG0001493	Om008G341470	Ag002G158160
OG0001494	Om008G352950, Om008G352970	Ag002G143040
OG0001495	Om008G362610	Ag002G123350
OG0001495	Om008G362600	Ag002G123340
OG0001496	Om002G073340	Ag005G431170
OG0001496	Om003G103910	Ag001G038640
OG0001497	Om003G101750, Om005G195880	Ag001G034180
OG0001497	Om003G101790, Om003G101760	Ag001G034190
OG0001498	Om005G181210	Ag004G302140
OG0001499	Om003G128560	Ag001G098150
OG0001500	Om008G319880	Ag002G204820
OG0001500	Om003G127900	Ag001G096910
OG0001501	Om002G064990	Ag005G455960, Ag005G455950
OG0001501	Om008G320300, Om003G094850	Ag002G204270
OG0001502	Om008G323120	Ag002G199890
OG0001502	Om003G124860	Ag001G092630
OG0001503	Om003G124290	Ag001G091690
OG0001503	Om008G323980	Ag002G198680
OG0001504	Om003G123850	Ag001G090880
OG0001504	Om008G325120	Ag002G197180
OG0001505	Om003G123720	Ag001G090690, Ag004G387710
OG0001505	Om008G325410	Ag002G196780
OG0001506	Om002G051310	Ag005G478370
OG0001506	Om004G176920	Ag006G491390
OG0001507	Om006G246570	Ag008G708090
OG0001508	Om006G234200	Ag008G729500
OG0001509	Om006G259970	Ag001G058080
OG0001509	Om006G231280	Ag008G733610
OG0001510	Om007G280310	Ag007G590940
OG0001510	Om005G183290	Ag004G304900
OG0001511	Om005G185720	Ag004G307620
OG0001511	Om007G283470	Ag007G595470
OG0001512	Om005G186140	Ag004G308200
OG0001512	Om007G284260	Ag007G596480
OG0001513	Om002G042980	Ag005G490410
OG0001513	Om002G042990	Ag005G490400
OG0001514	Om002G045810	Ag005G486110
OG0001514	Om007G295970	Ag007G631230
OG0001515	Om002G048100	Ag005G482910
OG0001516	Om002G049260	Ag005G481240
OG0001517	Om006G251060	Ag001G080350
OG0001517	Om008G330500	Ag002G185210
OG0001518	Om008G330630	Ag002G184990
OG0001518	Om006G251210	Ag001G080020
OG0001519	Om004G140300	Ag003G233700
OG0001519	Om005G200090	Ag004G329970
OG0001520	Om006G263160	Ag001G054920
OG0001520	Om005G200890	Ag004G331580
OG0001521	Om004G135310	Ag003G219030
OG0001522	Om005G205690	Ag004G341390
OG0001522	Om005G206910	Ag004G343960
OG0001523	Om004G144440	Ag003G242600
OG0001523	Om005G207890	Ag004G345430
OG0001524	Om008G358820	Ag002G106090
OG0001524	Om006G236220	Ag008G726610
OG0001526	Om006G261330	Ag008G691010
OG0001526	Om003G126190	Ag001G094220
OG0001527	Om007G301640	Ag007G613490
OG0001527	Om004G130600	Ag003G209110
OG0001528	Om007G300570	Ag007G616430
OG0001528	Om004G137520	Ag003G224390, Ag003G224420
OG0001529	Om008G327380	Ag008G692310
OG0001529	Om005G191160	Ag007G632450
OG0001530	Om001G041070	Ag003G295950, Ag003G295940, Ag003G295960
OG0001531	Om004G170570	Ag006G503410
OG0001532	Om006G247290, Om006G247280	Ag008G710300
OG0001532	Om006G247300	Ag008G706710, Ag008G706700
OG0001535	Om003G090220	Ag001G001430
OG0001535	Om002G057550	Ag005G469480
OG0001536	Om002G058050	Ag005G468450
