Orthogroup	Odontarrhena_muralis	Cardamine_glauca
OG0001902	Om008G320130	Cg005G158680
OG0001903	Om003G125620	Cg002G045960
OG0001903	Om008G322500	Cg005G160630
OG0001904	Om008G322650	Cg005G160730
OG0001905	Om003G124360	Cg002G046600
OG0001905	Om008G323900	Cg005G161630
OG0001906	Om003G123560	Cg002G047150
OG0001906	Om008G325480	Cg005G162650
OG0001907	Om006G262480	Cg002G058500
OG0001908	Om001G033950	Cg003G111300, Cg005G181890, Cg005G181870, Cg001G004960, Cg001G005050
OG0001909	Om005G179340	Cg006G243840
OG0001910	Om007G293120	Cg003G094400, Cg003G079620
OG0001910	Om005G180580	Cg006G242780
OG0001911	Om007G278040	Cg008G319040
OG0001911	Om005G181450	Cg006G242110
OG0001912	Om007G279800	Cg005G174640
OG0001912	Om005G182830	Cg006G240840
OG0001913	Om005G183110	Cg006G240590
OG0001913	Om007G280140	Cg005G174970
OG0001914	Om007G280480	Cg005G175220
OG0001915	Om007G280730	Cg005G175440
OG0001915	Om005G183620	Cg006G240040
OG0001916	Om007G282370	Cg005G177360
OG0001917	Om005G185570	Cg006G238320
OG0001918	Om005G205290	Cg004G141240
OG0001918	Om005G197370	Cg005G185230
OG0001919	Om007G301400	Cg008G294560
OG0001919	Om002G042440	Cg004G116330
OG0001920	Om007G298360	Cg008G296670
OG0001920	Om002G044080	Cg004G117860
OG0001921	Om007G298300	Cg008G296700
OG0001921	Om002G044130	Cg004G117920
OG0001922	Om002G047840	Cg004G121450
OG0001922	Om007G294100	Cg008G306560
OG0001923	Om006G263060	Cg005G166980
OG0001923	Om006G252450	Cg002G051450
OG0001924	Om006G254590, Om006G254600	Cg002G053070
OG0001924	Om008G335870, Om008G335880	Cg005G169220
OG0001926	Om008G334240	Cg005G168180
OG0001926	Om006G256730	Cg002G054980
OG0001927	Om004G130460	Cg007G281010
OG0001927	Om005G196440	Cg006G230230
OG0001928	Om004G133220	Cg007G279130
OG0001928	Om005G198220	Cg006G228830
OG0001929	Om005G199150	Cg006G228260
OG0001929	Om004G141960	Cg007G273470
OG0001930	Om005G200480	Cg006G227330
OG0001930	Om004G139600	Cg007G274820
OG0001931	Om004G138990	Cg007G275220
OG0001931	Om005G200760	Cg006G227090
OG0001932	Om005G201280	Cg006G226620
OG0001932	Om004G138920	Cg007G275580
OG0001933	Om004G135540	Cg006G224820, Cg007G277470
OG0001934	Om005G204640	Cg006G223800
OG0001934	Om004G134040	Cg007G278640
OG0001935	Om004G143370	Cg006G222700
OG0001935	Om005G207130	Cg007G271240
OG0001936	Om001G023770	Cg001G011470
OG0001937	Om004G145490	Cg006G221060
OG0001937	Om005G209270	Cg007G269890
OG0001938	Om005G200410	Cg006G219360
OG0001939	Om004G156080	Cg005G193460
OG0001940	Om007G275580	Cg006G244350
OG0001940	Om003G128050	Cg008G284520
OG0001941	Om008G361130	Cg008G299540
OG0001942	Om002G058520	Cg003G083690
OG0001942	Om002G058530	Cg004G129900, Cg003G083670, Cg003G083680
OG0001943	Om006G260840, Om002G055280	Cg004G127510
OG0001944	Om002G055050	Cg004G127300
OG0001944	Om004G170530	Cg008G287040
OG0001945	Om006G239300	Cg002G057330
OG0001947	Om008G357080, Om008G357160	Cg002G062580, Cg002G062590
OG0001949	Om006G242170, Om008G349600	Cg008G300890
OG0001950	Om002G058500	Cg004G129880
OG0001950	Om003G091220	Cg006G195270
OG0001951	Om002G060120	Cg004G131100
OG0001951	Om003G093170	Cg006G196380
OG0001952	Om002G063070	Cg004G133180
OG0001953	Om003G097860	Cg006G199870
OG0001954	Om002G068670	Cg004G137720
OG0001955	Om003G095570	Cg006G198080
OG0001955	Om002G069310	Cg004G138250
OG0001956	Om001G031980, Om002G081680	Cg004G150220, Cg004G151090
OG0001957	Om008G339760	Cg005G171880
OG0001957	Om007G291060	Cg006G215940
OG0001958	Om002G080310	Cg004G148740
OG0001959	Om003G123980	Cg002G046850
OG0001960	Om003G093690	Cg006G196690
OG0001961	Om003G097180	Cg006G199420
OG0001962	Om001G016520, Om001G004390, Om001G004380, Om005G185120	Cg008G308430
OG0001963	Om004G160330	Cg003G078840, Cg014G330690
OG0001971	Om001G023940	Cg001G011360
OG0001971	Om002G087550	Cg004G156150
OG0001972	Om001G026000	Cg001G010150
OG0001972	Om002G086100	Cg004G154910
OG0001973	Om001G027090	Cg001G009520
OG0001974	Om001G027730	Cg001G009190
OG0001975	Om002G080030	Cg004G148270
OG0001975	Om001G031270	Cg001G006690
OG0001976	Om001G033290	Cg001G005470
OG0001977	Om008G338230	Cg005G170850
OG0001977	Om007G275940, Om007G275980	Cg001G024570
OG0001978	Om005G190090	Cg006G234700
OG0001979	Om006G274640	Cg002G074500
OG0001979	Om005G194690	Cg006G231410
OG0001980	Om006G274410	Cg002G074300
OG0001980	Om005G194480	Cg006G231560
OG0001981	Om005G192640	Cg006G232870
OG0001982	Om006G272160	Cg002G071980
OG0001982	Om005G192430	Cg006G233030
OG0001983	Om006G271570	Cg002G071310
OG0001983	Om007G317710	Cg001G041670
OG0001984	Om006G271340	Cg002G071100
OG0001984	Om007G317420	Cg001G041480
OG0001985	Om005G191720	Cg001G018290
OG0001986	Om003G119710	Cg002G049560
OG0001986	Om008G328610	Cg005G164880
OG0001987	Om004G173310	Cg008G284890
OG0001987	Om002G053110	Cg004G125870
OG0001988	Om002G054590	Cg004G127010
OG0001988	Om004G171170	Cg008G286580
OG0001989	Om002G054880	Cg004G127190
OG0001989	Om004G170700	Cg008G286910
OG0001990	Om003G115910	Cg003G101490
OG0001991	Om003G116940	Cg003G102370
OG0001992	Om003G118060	Cg003G103210
OG0001993	Om003G118380	Cg003G103420
OG0001994	Om006G249190	Cg003G105150
OG0001995	Om004G162520	Cg008G292670
OG0001995	Om006G240960	Cg008G299970
OG0001996	Om004G163300	Cg008G292180
OG0001996	Om006G240660	Cg008G305720, Cg008G305690
OG0001997	Om004G166500	Cg008G290040
OG0001997	Om004G154290	Cg005G191980
OG0001998	Om004G166800	Cg008G289820
OG0001998	Om006G233220	Cg003G112140
OG0001999	Om004G168530	Cg008G288460
OG0001999	Om006G236530	Cg003G109300
OG0002000	Om006G236270	Cg003G109510
OG0002000	Om004G169020	Cg008G288160
OG0002001	Om008G361450	Cg008G324290
OG0002001	Om001G001010	Cg001G023040
OG0002002	Om001G005240	Cg001G020780
OG0002002	Om008G356940	Cg008G321440
OG0002003	Om001G008610	Cg001G018840
OG0002003	Om008G353820	Cg003G080670
OG0002004	Om008G352250	Cg003G081690
OG0002004	Om001G009710	Cg001G018110
OG0002005	Om001G011050	Cg001G017140
OG0002006	Om001G011140	Cg001G017060
OG0002006	Om008G350700	Cg003G083000
OG0002007	Om001G011150	Cg001G017040
OG0002008	Om008G348100	Cg003G083540
OG0002008	Om001G011710	Cg006G213040
OG0002009	Om007G287260	Cg006G202850, Cg006G202820, Cg006G202810
OG0002011	Om007G289690	Cg006G217390, Cg006G217380, Cg006G217400
OG0002012	Om002G084180	Cg004G153600
OG0002012	Om001G034750	Cg001G004690
OG0002013	Om002G084270	Cg004G153680
OG0002013	Om001G034940	Cg001G004580
OG0002014	Om001G035480	Cg001G004160
OG0002014	Om002G084500	Cg004G153890
OG0002015	Om002G085980	Cg004G154780
OG0002015	Om001G036770	Cg001G003370
OG0002016	Om001G038580, Om001G038560, Om001G038570	Cg001G002510
OG0002017	Om001G039480	Cg004G130600
OG0002018	Om004G156050	Cg005G193390
OG0002018	Om001G040820	Cg001G000930
OG0002019	Om007G292090	Cg006G214940
OG0002021	Om001G011260	Cg001G016980
OG0002021	Om008G350590	Cg003G083080
OG0002022	Om005G198860	Cg006G228390
OG0002022	Om008G359650	Cg008G323480
OG0002023	Om002G071280	Cg004G140130
OG0002023	Om003G102530	Cg001G027250
OG0002024	Om003G102110	Cg001G026770
OG0002024	Om002G070550	Cg004G139510
OG0002026	Om008G322960	Cg005G161020
OG0002027	Om003G120430	Cg002G048960
OG0002027	Om008G327840	Cg005G164380
OG0002028	Om006G244960	Cg003G108150
OG0002029	Om004G158350	Cg003G077090, Cg014G332540
OG0002030	Om004G160070	Cg003G078650, Cg014G330900
OG0002030	Om005G179880	Cg006G243320
OG0002032	Om007G279240	Cg005G174410
OG0002033	Om005G184230	Cg006G239480
OG0002033	Om007G281320	Cg005G176080
OG0002034	Om005G185280	Cg006G238580
OG0002034	Om007G282940	Cg005G177850
OG0002035	Om003G117120	Cg003G102560
OG0002036	Om007G299260	Cg008G296110
OG0002036	Om002G043630, Om005G194130	Cg004G117460
OG0002037	Om007G299250	Cg008G296120
OG0002037	Om002G043650	Cg004G117480
OG0002038	Om002G062950	Cg004G133100
OG0002038	Om002G047680, Om002G047660	Cg004G121310
OG0002039	Om006G251670	Cg002G050820
OG0002039	Om008G331050	Cg005G166440
OG0002040	Om008G336950	Cg005G169960
OG0002040	Om006G255270	Cg002G053670
OG0002041	Om008G336080	Cg005G169390
OG0002041	Om006G254750	Cg002G053190
OG0002042	Om008G333890, Om008G333900, Om008G333910	Cg005G167970, Cg005G167980, Cg005G167530, Cg005G167520
OG0002043	Om005G196000	Cg006G200780
OG0002044	Om005G196230	Cg006G230340
OG0002045	Om005G196530	Cg006G230160
OG0002045	Om004G130530	Cg005G174520
OG0002046	Om005G196930	Cg006G229890
OG0002046	Om004G131250	Cg007G280440
OG0002047	Om005G197450	Cg006G229470
OG0002047	Om004G132100	Cg007G279860
OG0002048	Om005G198740	Cg006G228520
OG0002049	Om004G141840	Cg007G273570
OG0002049	Om005G199260	Cg006G228210
OG0002050	Om005G203040	Cg006G225110
OG0002050	Om004G136030	Cg007G277130
OG0002051	Om005G203120	Cg006G225020
OG0002051	Om008G326890	Cg005G163740
OG0002052	Om005G203290	Cg006G224910
OG0002052	Om004G135680	Cg007G277330
OG0002053	Om005G203670	Cg006G224600
OG0002053	Om004G135260	Cg007G277690
OG0002054	Om005G205610	Cg006G222910
OG0002054	Om005G206670	Cg007G271650
OG0002055	Om004G143590	Cg006G222630
OG0002055	Om005G207260	Cg007G271160
OG0002057	Om001G028770	Cg001G008450
OG0002057	Om001G016810	Cg005G188390
OG0002058	Om002G054980	Cg005G190820, Cg004G127230
OG0002059	Om005G182430	Cg006G241170
OG0002059	Om007G279370	Cg005G174280
OG0002060	Om005G207980	Cg007G270740
OG0002060	Om007G300680	Cg008G295090
OG0002061	Om006G238560	Cg008G303630
OG0002063	Om004G169430	Cg008G287880
OG0002063	Om006G247810	Cg003G105960
OG0002064	Om006G257280	Cg002G055410, Cg002G055400
OG0002066	Om004G135550	Cg007G277450
OG0002066	Om005G203360	Cg006G224840
OG0002067	Om004G137060	Cg007G276470
OG0002068	Om004G132010	Cg007G279920
OG0002069	Om004G131890	Cg007G280000
OG0002069	Om004G131900	Cg007G279990
OG0002070	Om005G197200	Cg006G229670
OG0002070	Om004G131620	Cg007G280190
OG0002071	Om002G057590	Cg004G129260
OG0002071	Om003G090250	Cg006G194770
OG0002072	Om003G090630	Cg006G194930
OG0002072	Om002G057860	Cg004G129430
OG0002073	Om003G092900	Cg006G196270
OG0002073	Om002G059990	Cg004G131000
OG0002074	Om003G100200	Cg001G025020
OG0002074	Om002G063560	Cg004G133510
OG0002075	Om002G087690	Cg004G156270
OG0002076	Om003G089420	Cg006G194070
OG0002076	Om002G056580	Cg004G128470
OG0002077	Om003G095670	Cg006G198170
OG0002077	Om002G069170	Cg004G138110
OG0002078	Om006G251490, Om006G251520	Cg002G050670
OG0002078	Om006G251550	Cg002G050680
OG0002079	Om004G166410, Om008G327820	Cg008G307930
OG0002081	Om002G065870	Cg005G193450, Cg013G330410, Cg013G330470, Cg013G330460
OG0002082	Om008G333070	Cg005G167460
OG0002083	Om008G328370, Om008G328350, Om008G328400	Cg005G164730
OG0002085	Om006G274630, Om006G274600, Om002G087630	Cg008G320570, Cg008G320580, Cg008G320590
OG0002086	Om001G005140, Om001G005160, Om001G005200	Cg001G020820
OG0002093	Om002G081050	Cg004G150480
OG0002093	Om001G032460	Cg001G006000
OG0002094	Om002G082280	Cg004G152050, Cg001G005720
OG0002095	Om002G083810	Cg004G153190
OG0002095	Om001G034330	Cg001G004920
OG0002096	Om005G218150, Om011G365770	Cg007G253730
OG0002096	Om005G187440	Cg006G236720
OG0002097	Om005G219500	Cg007G251620
OG0002097	Om005G188630	Cg006G235840
OG0002098	Om005G221650	Cg007G249870
OG0002098	Om006G246890, Om008G322200	Cg007G250330
OG0002099	Om005G189760	Cg006G234960
OG0002099	Om005G221910	Cg007G250060
OG0002100	Om005G193850	Cg006G232100
OG0002101	Om007G317520	Cg001G041600
OG0002101	Om006G271470	Cg002G071240
OG0002103	Om005G228710	Cg007G245740
OG0002104	Om005G226920	Cg007G246440
OG0002104	Om007G318160	Cg001G042280
OG0002105	Om005G192200	Cg006G233240
OG0002105	Om005G225670	Cg007G247220
OG0002106	Om005G224520	Cg007G248090
OG0002106	Om005G191260	Cg006G233900
OG0002107	Om003G119610	Cg002G049630
OG0002107	Om008G328900	Cg005G165050
OG0002108	Om004G176520	Cg008G282610
OG0002108	Om002G051460	Cg004G124650
OG0002109	Om004G174680	Cg008G283920
OG0002110	Om002G052490	Cg004G125420
OG0002111	Om004G173250	Cg008G284920
OG0002112	Om004G172230	Cg008G285830
OG0002112	Om002G053820	Cg004G126390
OG0002114	Om001G021230	Cg001G012950
OG0002114	Om003G115110	Cg003G100450
OG0002115	Om001G019090	Cg001G013820
OG0002115	Om003G116960	Cg003G102380
OG0002116	Om003G117540	Cg003G102760
OG0002117	Om004G161820	Cg008G293240, Cg006G219390
OG0002118	Om006G240600	Cg008G305570
OG0002118	Om004G163430	Cg008G292110
OG0002119	Om004G164940	Cg008G291180, Cg008G304590
OG0002120	Om006G238120	Cg008G303290
OG0002120	Om004G167400	Cg008G289380
OG0002121	Om006G236250	Cg003G109530
OG0002121	Om004G169060	Cg008G288130
OG0002122	Om001G000150	Cg001G023660
OG0002123	Om001G003360	Cg001G021640
OG0002124	Om008G358210	Cg008G322530
OG0002125	Om001G005590	Cg001G020580
OG0002125	Om008G356610	Cg008G321180
OG0002126	Om008G355180	Cg003G079970, Cg003G094040
OG0002126	Om001G007020	Cg001G019750
OG0002127	Om008G350880	Cg003G082800
OG0002127	Om001G011090	Cg001G017100
OG0002128	Om008G349780	Cg003G083510
OG0002128	Om001G011680	Cg006G213050
OG0002129	Om001G012640	Cg006G210990
OG0002131	Om004G159440	Cg003G078110, Cg014G331580
OG0002131	Om005G179470	Cg006G243710
OG0002133	Om006G235890, Om001G034910	Cg001G004590
OG0002134	Om001G035620	Cg001G004040
OG0002135	Om002G085990	Cg004G154790
OG0002136	Om004G156300	Cg005G193700
OG0002136	Om001G041190	Cg001G000690
OG0002137	Om007G315590	Cg001G039620
OG0002137	Om007G315600	Cg001G039650
OG0002138	Om008G340220	Cg005G172260
OG0002138	Om008G340230	Cg005G172270
OG0002139	Om007G287540	Cg006G204280
OG0002139	Om008G341530	Cg008G318310
OG0002140	Om008G347460	Cg003G083980
OG0002141	Om002G073010	Cg004G141520
OG0002142	Om003G128810	Cg002G043670
OG0002142	Om008G327150	Cg005G157580
OG0002143	Om003G128750	Cg002G043710
OG0002143	Om008G318810	Cg005G157660
OG0002145	Om008G327060	Cg005G163890
OG0002145	Om003G121400, Om003G121340	Cg002G048290
OG0002146	Om006G244120	Cg008G302380
OG0002148	Om006G245870	Cg002G060870
OG0002149	Om006G234620	Cg003G110930
OG0002150	Om006G259210	Cg002G056800
OG0002151	Om006G229950	Cg003G115020
OG0002152	Om005G178170	Cg006G245080
OG0002153	Om005G178080	Cg006G245000
OG0002153	Om004G157660	Cg003G076450, Cg014G333130
OG0002154	Om007G292790	Cg008G320290
OG0002154	Om005G180930	Cg006G242550
OG0002155	Om007G277730	Cg008G319640
OG0002155	Om005G181260	Cg006G242250
OG0002156	Om007G278520	Cg005G173470
OG0002157	Om005G182510	Cg005G174320
OG0002158	Om001G021010	Cg001G013070
OG0002158	Om001G021020	Cg001G013060
OG0002159	Om002G043950	Cg004G117760
OG0002159	Om007G298660	Cg008G296530
OG0002160	Om007G297010	Cg008G297770
OG0002162	Om002G072610	Cg004G141150
OG0002163	Om002G049390	Cg004G122760, Cg004G122770
OG0002164	Om002G049440	Cg008G310460, Cg008G308800
OG0002165	Om004G161340	Cg008G293630
OG0002165	Om002G050970	Cg004G124230
OG0002166	Om006G250840	Cg002G050210
OG0002166	Om008G330000	Cg005G165730
OG0002167	Om008G331780	Cg005G166710
OG0002168	Om008G338030	Cg005G170700
OG0002168	Om006G256110	Cg002G054430
OG0002169	Om008G333390, Om008G333380	Cg005G167680
OG0002169	Om006G253970	Cg002G052380
OG0002170	Om005G196840	Cg006G229930
OG0002170	Om004G131130	Cg007G280510
OG0002171	Om005G197080	Cg006G229760
OG0002171	Om004G131420	Cg007G280300
OG0002172	Om005G197100	Cg006G229740
OG0002172	Om004G131400	Cg007G280280
OG0002174	Om004G138720	Cg007G275430
OG0002175	Om004G135900	Cg007G277200
OG0002175	Om005G203110	Cg006G225030
OG0002176	Om005G205080	Cg008G315760, Cg008G315770, Cg006G223390
OG0002177	Om005G205620	Cg006G222900
OG0002177	Om005G206770	Cg007G271570
OG0002178	Om005G207570, Om005G207580	Cg007G270930
OG0002179	Om005G212170	Cg007G267570
OG0002179	Om004G148110	Cg006G219480
OG0002181	Om004G160280	Cg001G005860
OG0002182	Om006G236900	Cg003G108970
OG0002183	Om005G193300	Cg006G232490
OG0002183	Om006G272790	Cg002G072720
OG0002184	Om005G191190	Cg006G216090
OG0002184	Om005G191200	Cg006G233940
OG0002185	Om005G191140	Cg006G233960
OG0002185	Om005G224450	Cg007G248180
OG0002186	Om005G221870	Cg007G250020
OG0002186	Om005G189720	Cg006G235000
OG0002187	Om005G188060	Cg006G236240
OG0002187	Om002G050980	Cg004G124240
OG0002188	Om005G182900, Om005G182910	Cg006G240770
OG0002189	Om002G054780	Cg004G127090
OG0002189	Om004G170890	Cg008G286800
OG0002190	Om002G053730	Cg004G126310
OG0002190	Om004G172450	Cg008G285670
OG0002191	Om002G068790, Om006G240730	Cg004G137790, Cg004G137800
OG0002192	Om006G243460	Cg002G064030, Cg008G301910
OG0002193	Om006G241710	Cg008G300500, Cg007G246770, Cg007G245690
OG0002194	Om003G089680	Cg006G194300
OG0002194	Om002G056880	Cg004G128730
OG0002195	Om003G090280, Om003G090260	Cg006G194780
OG0002196	Om003G100670	Cg001G025380
OG0002196	Om002G063030	Cg004G133160
OG0002197	Om002G064030	Cg004G133970
OG0002197	Om003G099750	Cg006G201650
OG0002198	Om002G064750	Cg004G134550
OG0002198	Om003G099350	Cg006G201290
OG0002199	Om002G065030	Cg004G134720
OG0002199	Om003G099270	Cg006G201210
OG0002201	Om002G083390	Cg004G152860
OG0002201	Om002G083400	Cg004G152870
OG0002202	Om002G083740, Om001G034310, Om007G306500	Cg004G153070
OG0002203	Om004G171270	Cg008G286460
OG0002204	Om002G086780	Cg004G155480
OG0002205	Om003G097440	Cg006G199610
OG0002206	Om003G097900	Cg006G199920
OG0002206	Om002G066630	Cg004G135960
OG0002207	Om003G100650	Cg001G025360
OG0002207	Om003G100640	Cg001G025350
OG0002208	Om003G120020	Cg002G049270, Cg002G049260
OG0002209	Om008G322160	Cg005G160360
OG0002209	Om003G125950	Cg002G045740
OG0002210	Om001G031760	Cg001G006380
OG0002213	Om005G215000	Cg007G262640, Cg007G263470, Cg007G263410, Cg007G263430, Cg007G262660, Cg007G263490, Cg007G262670, Cg007G263450
OG0002219	Om002G087540	Cg004G156140, Cg001G011330
OG0002220	Om001G024510	Cg001G011030
OG0002221	Om002G087230	Cg004G155910
OG0002222	Om001G029370	Cg001G007990, Cg005G187860
OG0002222	Om006G240230	Cg008G305200
OG0002223	Om001G027170	Cg001G009510
OG0002223	Om008G342050	Cg006G221310
OG0002224	Om004G154800	Cg005G189770
OG0002224	Om001G028010	Cg001G008980
OG0002225	Om001G028760	Cg001G008460, Cg005G188430
OG0002226	Om001G031930	Cg001G006260
OG0002226	Om002G081740	Cg004G151100, Cg004G150230
OG0002227	Om002G083870	Cg001G004880, Cg004G153250
OG0002228	Om007G276870	Cg006G213670
OG0002229	Om005G195670	Cg006G230820
OG0002230	Om005G195100	Cg006G231230
OG0002230	Om006G274890	Cg002G074860
OG0002231	Om006G273470	Cg002G073230
OG0002231	Om005G193400	Cg006G232400, Cg006G232390
OG0002232	Om006G272750	Cg002G072700
OG0002232	Om005G193310	Cg006G232480
OG0002234	Om007G316300	Cg001G040020
OG0002235	Om005G213350	Cg007G266400
OG0002236	Om005G214180	Cg007G265010, Cg001G035960
OG0002237	Om007G313680	Cg001G035020
OG0002238	Om005G228220	Cg007G246020
OG0002239	Om005G224740	Cg007G247940
OG0002239	Om005G191340	Cg006G233830
OG0002240	Om006G249610	Cg003G104800
OG0002240	Om006G256100	Cg001G014800
OG0002241	Om004G176460	Cg008G282660
OG0002241	Om002G051500	Cg004G124690
OG0002242	Om002G053050	Cg004G125810
OG0002242	Om004G173380	Cg008G284830
OG0002243	Om003G095690, Om005G224750	Cg001G026120
OG0002243	Om004G129970	Cg007G281470
OG0002244	Om006G234810	Cg003G110810
OG0002244	Om002G055320	Cg003G085440
OG0002245	Om007G286030	Cg001G015670
OG0002246	Om003G113060	Cg003G098410
OG0002247	Om003G113170	Cg003G098610
OG0002247	Om007G286410	Cg001G015340
OG0002248	Om003G116130	Cg003G101740
OG0002249	Om003G116870	Cg003G102340
OG0002250	Om003G118090	Cg003G103220
OG0002250	Om004G157570	Cg001G014100
OG0002251	Om003G118560, Om003G118570	Cg003G103590
OG0002252	Om006G249090	Cg003G105170
OG0002253	Om004G161870	Cg008G293200, Cg006G219380
OG0002254	Om006G241020	Cg008G299910
OG0002254	Om004G162410	Cg008G292760
OG0002255	Om006G240790	Cg008G305880
OG0002255	Om004G162850	Cg008G292450
OG0002256	Om008G358550	Cg008G322740
OG0002256	Om001G003240	Cg001G021680
OG0002257	Om001G008880	Cg001G018650
OG0002257	Om001G008870	Cg001G018660
OG0002258	Om007G291530	Cg006G215520
OG0002259	Om001G036060	Cg001G003810
OG0002259	Om001G036050	Cg001G003820
OG0002260	Om001G009370, Om001G009400	Cg001G035500
OG0002261	Om001G037080, Om001G037120, Om001G037110, Om001G037070	Cg001G003190
OG0002262	Om001G037920	Cg001G002910
OG0002263	Om001G039810	Cg001G001580
OG0002264	Om001G041380	Cg001G000540
OG0002265	Om007G315430	Cg001G039320
OG0002266	Om008G341990	Cg008G314510
OG0002266	Om007G287350	Cg006G203110
OG0002267	Om003G103830	Cg001G029190
OG0002267	Om002G073200	Cg004G141700
OG0002268	Om002G071970	Cg004G140750
OG0002268	Om003G102770	Cg001G027810
OG0002269	Om003G102640	Cg001G027450
OG0002269	Om002G071560	Cg004G140340
OG0002270	Om002G071290	Cg004G140150, Cg004G152360, Cg004G140140
OG0002270	Om003G102540	Cg001G027280
OG0002271	Om006G267950	Cg004G139400
OG0002271	Om003G101990	Cg001G026680
OG0002272	Om003G101380	Cg001G025890
OG0002273	Om003G125970	Cg002G045720
OG0002273	Om008G322130	Cg005G160330
OG0002274	Om008G323700	Cg005G161540
OG0002275	Om008G323920	Cg005G161650
OG0002276	Om008G323930	Cg005G161660
OG0002276	Om003G124310	Cg002G046640
OG0002277	Om003G121090	Cg002G048440
OG0002277	Om008G326900	Cg005G163750
OG0002278	Om003G120520	Cg002G048880
OG0002278	Om008G327390	Cg005G164220
OG0002279	Om004G176750	Cg003G091460
OG0002279	Om002G044630	Cg004G118350
OG0002280	Om006G269150	Cg002G062600
OG0002280	Om006G244380	Cg008G302650
OG0002281	Om006G244410	Cg002G062530, Cg008G302680
OG0002282	Om006G245100	Cg003G108050
OG0002283	Om006G231820	Cg003G113380
OG0002284	Om005G178350	Cg006G244780
OG0002284	Om004G158010	Cg014G332830, Cg003G076740
OG0002286	Om005G180870	Cg006G242590
OG0002286	Om007G292840	Cg008G320310
OG0002287	Om005G182950	Cg006G240730
OG0002288	Om007G280840	Cg005G175520
OG0002288	Om005G183650	Cg006G240010
OG0002289	Om005G185250, Om005G185230	Cg006G238660, Cg006G238610
OG0002290	Om007G284920	Cg005G181600
OG0002290	Om005G186400, Om004G159190	Cg006G237620
OG0002291	Om001G030300	Cg001G007260
OG0002292	Om007G301070, Om004G156820	Cg008G294830
OG0002292	Om002G042600	Cg004G116490
OG0002293	Om002G043250	Cg004G117150
OG0002294	Om007G298650	Cg008G296540
OG0002294	Om002G043960	Cg004G117770
OG0002295	Om007G298290	Cg008G296710
OG0002295	Om002G044120	Cg004G117910
OG0002296	Om007G297870	Cg008G296990
OG0002296	Om002G044320	Cg004G118120
OG0002297	Om007G297760	Cg008G297060
OG0002298	Om002G045020	Cg004G119140
OG0002299	Om007G294180	Cg008G306500
OG0002299	Om002G047980	Cg004G121530
OG0002301	Om002G049640	Cg004G123040, Cg008G309130, Cg008G310830
OG0002302	Om008G336130	Cg005G169440
OG0002302	Om006G254810	Cg002G053210
OG0002303	Om004G130500	Cg007G280660
OG0002303	Om005G196500	Cg006G230170
OG0002304	Om005G197220	Cg006G229660
OG0002304	Om004G131630	Cg007G280170
OG0002305	Om004G132000	Cg007G279940
OG0002305	Om005G197380	Cg006G229530
OG0002306	Om005G197630	Cg006G229300
OG0002306	Om004G132230	Cg007G279720
OG0002307	Om005G200550	Cg006G227290
OG0002308	Om005G203280	Cg006G224920
OG0002308	Om004G135690	Cg007G277310
OG0002309	Om004G134540	Cg007G278240
OG0002310	Om005G204370	Cg006G224030
OG0002310	Om004G134340	Cg007G278380
OG0002311	Om004G144480	Cg006G221980
OG0002311	Om005G208010	Cg007G270730
OG0002312	Om005G208170	Cg007G270630
OG0002313	Om005G209770	Cg007G269410
OG0002314	Om005G212210	Cg007G267530
OG0002315	Om001G026210	Cg001G010060
OG0002316	Om005G186980	Cg006G237080
OG0002320	Om004G158360	Cg014G332530, Cg003G077100
OG0002320	Om005G178530	Cg006G244570
OG0002321	Om002G056240	Cg004G128230
OG0002321	Om004G161260	Cg008G293680
OG0002322	Om004G136370, Om004G136390, Om004G171860, Om004G136360	Cg008G286110
OG0002324	Om005G206660, Om005G206650	Cg007G271660
OG0002325	Om002G055830, Om002G057160	Cg004G128970
OG0002326	Om002G057530	Cg004G129220
OG0002327	Om003G092230	Cg006G195870
OG0002327	Om002G059370	Cg004G130510
OG0002328	Om002G061320	Cg004G132100
OG0002328	Om003G094220	Cg006G197110
OG0002329	Om002G065240	Cg004G134960
OG0002329	Om003G099100	Cg006G201050
OG0002330	Om002G065460	Cg006G200510
OG0002331	Om002G069070	Cg004G138020
OG0002331	Om003G095830	Cg006G198260
OG0002333	Om001G032720, Om001G032730	Cg001G005820
OG0002334	Om001G022320	Cg001G012310
OG0002335	Om003G094750	Cg006G197470
OG0002335	Om002G061920	Cg004G132490
OG0002336	Om002G061950	Cg004G132510
OG0002336	Om003G094770	Cg006G197490
OG0002337	Om006G255900	Cg002G054340
OG0002337	Om008G337880	Cg005G170590
OG0002338	Om006G250880	Cg002G050230
OG0002338	Om008G330120	Cg005G165830
OG0002339	Om008G328120	Cg005G164610
OG0002339	Om003G120170	Cg002G049160
OG0002345	Om003G114180, Om004G144450	Cg006G222010
OG0002348	Om001G022630	Cg001G012140
OG0002349	Om001G022910	Cg001G011970
OG0002349	Om002G088200	Cg004G156820
OG0002350	Om001G023870	Cg001G011390
OG0002351	Om001G026660	Cg001G009800
OG0002352	Om001G027510	Cg001G009300
OG0002353	Om001G033940	Cg001G005060
OG0002354	Om007G292170	Cg006G214780
OG0002355	Om005G216430	Cg007G255720
OG0002355	Om002G047320	Cg004G121050
OG0002356	Om005G187980, Om007G308420	Cg006G236350
OG0002356	Om005G218770	Cg007G252150
