Orthogroup	Odontarrhena_muralis	Arabidopsis_thaliana
OG0003856	Om001G015410	AT1G44170.1
OG0003857	Om004G137470	AT3G45180.1
OG0003857	Om003G098400	AT5G42300.1
OG0003858	Om008G342960	AT5G42270.1, AT1G50250.1
OG0003862	Om008G359680	AT5G46190.2, AT4G18375.2
OG0003863	Om008G362810	AT5G47650.2
OG0003864	Om003G128480	AT3G62770.1
OG0003865	Om008G320580	AT2G46620.1
OG0003866	Om008G322290, Om003G095280	AT2G45330.1, AT5G23600.1
OG0003867	Om004G176580, Om001G028170	AT5G01290.1
OG0003868	Om006G244640	AT5G60690.1
OG0003869	Om006G244870	AT5G60500.1, AT5G60510.1
OG0003870	Om006G244990, Om006G245000	AT5G60400.3
OG0003871	Om006G245420	AT5G60030.1, AT1G75335.1
OG0003872	Om004G157760	AT4G00620.1, AT4G00600.1
OG0003873	Om004G158810, Om002G046340	AT4G01590.1, AT4G35685.1
OG0003874	Om004G160250	AT4G02720.1
OG0003875	Om005G181120	AT1G04080.3
OG0003876	Om007G280290	AT2G31580.1
OG0003878	Om002G048880	AT3G06350.1
OG0003879	Om002G049990	AT3G07270.1
OG0003880	Om007G313060, Om001G030540	AT4G00920.1, AT2G02770.1, AT1G30060.1, AT2G01800.1, AT4G00580.1
OG0003881	Om004G131240	AT1G80890.1
OG0003881	Om005G196920	AT1G16000.1
OG0003882	Om005G199830	AT1G18280.1
OG0003883	Om006G262990, Om005G187490	AT1G09400.1, AT1G17990.1, AT1G18020.1
OG0003884	Om004G145530	AT1G69485.1, AT1G26740.1
OG0003885	Om007G285810	AT4G24940.1
OG0003886	Om001G027040	AT4G30940.1
OG0003888	Om008G321890	AT1G23147.1, AT1G23145.1
OG0003889	Om005G186930	AT1G08920.2
OG0003890	Om007G280510, Om005G183430	AT2G31400.1
OG0003891	Om007G299240	AT5G15830.1
OG0003893	Om002G045740	AT3G04040.1
OG0003893	Om007G296020	AT5G18250.1
OG0003894	Om007G293660	AT5G27470.1
OG0003896	Om007G303660	AT5G49470.2
OG0003897	Om004G170910	AT5G05970.2
OG0003898	Om004G172190	AT5G05010.1
OG0003899	Om006G240470, Om006G240460	AT5G25757.1, AT5G25754.1
OG0003901	Om006G263830	AT3G47833.1
OG0003901	Om006G235320	AT5G62575.2
OG0003902	Om006G266310	AT3G47070.1
OG0003903	Om005G210670, Om001G039980	AT4G39670.1
OG0003904	Om004G135930	AT1G76530.1, AT1G76520.1
OG0003905	Om004G136070	AT1G76430.1
OG0003906	Om004G143830	AT1G23500.1
OG0003907	Om004G136780	AT1G75920.1
OG0003908	Om004G132450	AT1G78900.1
OG0003909	Om004G131800, Om004G131790	AT1G79410.1
OG0003910	Om002G058980	AT3G14210.1
OG0003911	Om002G059510	AT3G14550.1, AT3G14530.1, AT3G29430.1, AT3G32040.1, AT3G14510.1
OG0003912	Om003G093470, Om003G093480	AT1G53130.1
OG0003914	Om002G061910	AT3G16110.1
OG0003915	Om002G066270, Om002G066260, Om002G066290	AT3G19030.1
OG0003916	Om002G067180	AT3G19760.1
OG0003917	Om002G067890	AT3G20210.1
OG0003918	Om005G220450, Om002G068440, Om002G068420	AT3G20600.1, AT3G20590.1
OG0003919	Om002G069860	AT3G21750.1
OG0003920	Om002G071180	AT3G22840.1
OG0003921	Om002G087040	AT2G19470.1
OG0003921	Om004G174280	AT4G08800.1
OG0003922	Om003G092850	AT1G53440.1, AT1G53430.1
OG0003923	Om003G100070	AT1G47980.1
OG0003924	Om006G256830	AT3G51800.2
OG0003925	Om006G252230, Om006G252210	AT3G55220.1, AT3G55200.1
OG0003926	Om003G126100	AT3G61160.2
OG0003928	Om003G096620, Om003G106800, Om006G251040	AT3G04100.1
OG0003930	Om005G178280	AT1G23020.2
OG0003931	Om002G085250	AT5G40090.1
OG0003931	Om005G198910	AT1G17610.1
OG0003933	Om002G067490	AT3G29380.1
OG0003935	Om004G169180	AT5G07210.1, AT2G27070.1
OG0003937	Om006G230690	AT5G67310.1
OG0003948	Om004G154260, Om001G025260	AT4G29950.1
OG0003949	Om001G026530	AT4G30640.1
OG0003950	Om007G277270	AT1G32060.1
OG0003951	Om007G275620	AT4G16380.3
OG0003952	Om006G231350	AT1G56220.3
OG0003953	Om005G221940	AT1G60989.1
OG0003954	Om006G274850	AT2G02060.1
OG0003955	Om006G274350	AT2G02950.1
OG0003956	Om003G100100	AT2G46290.1, AT2G46280.1, AT5G57650.1
OG0003958	Om007G314060	AT5G37540.1
OG0003958	Om005G213960	AT1G66180.1
OG0003959	Om008G329220	AT2G40750.1
OG0003960	Om004G172710	AT5G04590.1
OG0003961	Om004G171820	AT5G05300.1
OG0003962	Om002G054840	AT3G11420.1
OG0003963	Om008G350090	AT1G63310.1
OG0003965	Om003G111660	AT5G50830.2
OG0003966	Om001G021840	AT4G28005.1
OG0003967	Om004G162540	AT5G12210.1
OG0003968	Om004G163460	AT5G11630.1
OG0003969	Om004G163730	AT5G11470.1
OG0003970	Om004G164930	AT5G10745.1
OG0003970	Om006G239660	AT5G24980.1
OG0003972	Om004G168510	AT5G07630.1
OG0003973	Om008G362150	AT5G47180.1
OG0003974	Om006G255710	AT3G52630.1
OG0003974	Om001G002590	AT4G18590.1
OG0003975	Om001G006420, Om008G357460	AT4G20880.1
OG0003976	Om008G346030	AT5G28550.1
OG0003977	Om005G221960, Om011G366040, Om005G218550, Om006G255100	AT3G53110.1
OG0003980	Om001G036340	AT4G36550.1
OG0003981	Om001G036540	AT4G36640.1
OG0003982	Om001G038230	AT4G37470.1
OG0003983	Om004G153920	AT2G22480.1
OG0003984	Om008G347510, Om008G347470	AT4G10280.1, AT4G10290.1
OG0003985	Om008G354310	AT4G04770.1
OG0003986	Om008G358610	AT5G45650.1
OG0003986	Om008G358600	AT5G45640.1
OG0003987	Om004G132750	AT3G25250.1
OG0003988	Om003G102760	AT4G14380.1
OG0003989	Om003G101330	AT4G15620.1
OG0003990	Om007G317920, Om008G324650	AT3G56520.1, AT5G41090.1
OG0003991	Om003G127840	AT3G62220.1
OG0003991	Om008G320040	AT2G47060.4
OG0003992	Om008G320240	AT2G46870.1
OG0003993	Om005G208760, Om003G126410	AT3G61370.1, AT4G07940.1
OG0003994	Om005G208950	AT1G66590.2, AT1G69750.1
OG0003995	Om008G324010	AT2G44065.1
OG0003996	Om008G324570, Om008G324520	AT2G43780.4
OG0003997	Om004G176880	AT5G01570.1
OG0003998	Om004G176010	AT5G02310.1
OG0003999	Om002G053210	AT3G10370.1
OG0004000	Om006G245080	AT3G45320.1
OG0004001	Om006G246270	AT5G59380.1
OG0004002	Om006G234120	AT5G63530.1
OG0004003	Om007G284600	AT2G27510.1
OG0004004	Om004G158200	AT4G01150.1
OG0004005	Om007G280650	AT2G30910.1, AT2G31300.2
OG0004006	Om007G284560	AT2G27550.1
OG0004008	Om002G047020	AT3G05050.1
OG0004009	Om003G099810	AT1G48140.1
OG0004010	Om002G050680	AT3G07890.1
OG0004011	Om008G330240	AT2G40240.1
OG0004012	Om008G331270	AT2G39940.1
OG0004013	Om006G251410	AT3G55780.1
OG0004014	Om001G005190, Om002G082800	AT1G42440.1
OG0004015	Om008G332330	AT2G39200.1
OG0004016	Om008G331980	AT2G39430.1
OG0004017	Om008G335840	AT2G37300.2
OG0004018	Om004G166200	AT5G09940.1
OG0004019	Om008G333370, Om008G333360	AT2G38640.1
OG0004022	Om008G344800, Om003G095430	AT2G24840.1
OG0004024	Om005G197300	AT1G16400.1, AT1G16410.1
OG0004025	Om004G143610	AT1G23220.1
OG0004026	Om003G111400	AT5G50400.1
OG0004027	Om007G286130	AT4G25230.1, AT5G51450.2
OG0004028	Om007G286590	AT4G25570.2
OG0004029	Om003G115180	AT5G53620.1
OG0004030	Om004G153400, Om018G374060	AT2G24450.1
OG0004031	Om008G338060	AT2G35810.1, AT2G35830.2, AT2G35820.2
OG0004032	Om004G156620	AT2G20930.1
OG0004033	Om005G191550	AT1G12200.1, AT1G63340.1, AT1G62580.1
OG0004034	Om008G346800, Om003G095140, Om003G095160, Om003G095150	AT1G10455.1, AT3G28853.1
OG0004035	Om005G185650, Om005G185490	AT1G07810.1, AT1G07670.1
OG0004036	Om003G116930	AT5G47880.1
OG0004037	Om005G179730	AT1G02920.1, AT1G02930.1
OG0004038	Om007G298990	AT5G16010.1
OG0004039	Om007G294420	AT5G26700.1
OG0004040	Om007G293540	AT5G27350.1, AT5G27360.3
OG0004041	Om006G236970	AT5G61190.5
OG0004042	Om001G009180, Om008G337020, Om003G097250	AT5G28630.1
OG0004043	Om003G091190, Om007G304020	AT5G49210.1
OG0004044	Om004G171950	AT5G05170.1
OG0004045	Om006G239570	AT5G24910.1
OG0004046	Om006G238230	AT5G23690.1
OG0004047	Om006G238150	AT5G23610.2
OG0004049	Om006G236550	AT5G61550.2
OG0004050	Om006G244300	AT3G44850.1, AT5G22840.1
OG0004051	Om006G243600	AT5G22200.1
OG0004052	Om005G206550, Om005G206530	AT1G71250.1
OG0004053	Om004G133490	AT1G78240.1
OG0004055	Om002G058070	AT3G13720.1, AT3G13710.1
OG0004056	Om003G100870	AT4G15802.1
OG0004057	Om002G063660	AT3G17120.1
OG0004058	Om002G063670	AT3G17130.1
OG0004059	Om002G064730	AT3G17970.1
OG0004060	Om002G064900	AT3G18140.1, AT2G22040.1
OG0004061	Om002G065100	AT3G18200.2
OG0004062	Om006G252810, Om002G065520	AT3G18490.1
OG0004063	Om002G065750, Om005G219130, Om005G219140	AT3G18690.1
OG0004064	Om003G096650	AT1G50700.2
OG0004065	Om002G069040	AT3G21070.3
OG0004066	Om002G070600	AT3G22320.1
OG0004067	Om002G073830, Om002G059230	AT3G24340.1
OG0004068	Om002G081650, Om003G098470, Om003G098810	AT2G15400.1, AT2G15430.1
OG0004069	Om003G098410	AT1G49320.1
OG0004070	Om002G060140	AT3G14990.1
OG0004071	Om003G119870	AT3G56910.1
OG0004072	Om003G120890	AT3G57690.1, AT2G41905.1
OG0004073	Om003G123500	AT3G59280.1
OG0004074	Om007G299680, Om007G318100	AT5G41290.1, AT5G41280.1
OG0004075	Om008G357330, Om008G357310	AT5G44990.1
OG0004076	Om008G356520	AT4G12330.1
OG0004076	Om001G031880, Om001G005620	AT5G44620.1
OG0004077	Om008G335180, Om008G335190, Om008G333480, Om008G333530, Om004G144030, Om006G274270, Om008G333500	AT5G44220.1
OG0004078	Om001G020660	AT4G27500.1
OG0004079	Om001G038990	ATCG00905.1, ATCG00065.1, ATCG01230.1
OG0004084	Om006G273030	AT3G25760.1, AT3G25770.1
OG0004086	Om005G213660, Om008G343050, Om004G171370, Om005G217030, Om007G313080, Om006G266520	AT4G07526.1, AT3G29790.1, AT3G43880.1, AT3G33528.1
OG0004087	Om007G279750	AT2G32050.1
OG0004091	Om001G026230	AT4G30450.1
OG0004092	Om001G026340, Om001G026350	AT4G30530.1
OG0004093	Om001G026970	AT4G30870.1
OG0004094	Om001G031500	AT4G33770.1
OG0004095	Om003G117830, Om001G031690	AT4G33880.1
OG0004096	Om001G032550	AT4G34320.1
OG0004097	Om011G365160, Om020G374450	AT1G58060.1
OG0004098	Om005G188590	AT1G10120.1
OG0004099	Om006G275390	AT2G01300.1
OG0004101	Om003G117490	AT5G55490.1
OG0004102	Om005G228840	AT1G64630.1
OG0004102	Om007G318500	AT5G41990.1
OG0004103	Om002G055450	AT3G11840.1
OG0004105	Om003G115990	AT5G54310.1
OG0004106	Om003G116440	AT5G54770.1
OG0004107	Om008G322560	AT2G40360.1
OG0004108	Om003G118500	AT5G56240.2
OG0004109	Om004G164070, Om006G240150	AT5G11260.2
OG0004110	Om004G166390	AT5G09760.2
OG0004112	Om006G236580	AT5G61500.1
OG0004113	Om001G002520	AT4G18530.1
OG0004114	Om001G002570	AT4G18570.1
OG0004115	Om001G002840	AT4G18770.1
OG0004116	Om001G006380	AT4G20860.1
OG0004117	Om001G006940	AT4G21200.1
OG0004118	Om001G007820	AT4G21710.1
OG0004119	Om008G346690	AT4G10070.1
OG0004120	Om001G006790	AT4G21110.1
OG0004121	Om001G015500	AT1G44100.1
OG0004122	Om001G015840	AT1G43710.1
OG0004123	Om007G289380	AT1G29140.1
OG0004125	Om001G036610	AT4G36670.1
OG0004126	Om008G336460	AT5G50440.1
OG0004127	Om001G038370	AT4G37608.1
OG0004128	Om001G041560	AT5G05320.1
OG0004129	Om005G185450	AT1G07650.2
OG0004132	Om001G016770	AT1G42560.1
OG0004133	Om008G341790	AT1G56630.1
OG0004134	Om007G286920	AT1G47830.1
OG0004135	Om008G350640	AT4G11010.1, AT4G23900.1
OG0004136	Om008G352240	AT4G12040.1
OG0004137	Om008G362030	AT5G47140.1
OG0004139	Om007G318020	AT5G41190.1
OG0004140	Om008G319490	AT2G47400.1
OG0004141	Om008G320060	AT2G47030.1, AT2G47040.1
OG0004142	Om008G323870	AT2G44200.1
OG0004142	Om008G323880	AT2G44195.1
OG0004143	Om008G324820	AT2G43640.1
OG0004144	Om008G325970	AT2G42940.1
OG0004145	Om008G326060	AT2G42870.1
OG0004147	Om006G242830	AT5G21010.1, AT3G43700.1
OG0004148	Om006G243400	AT5G22090.1
OG0004150	Om006G245300	AT5G60120.2
OG0004151	Om006G247070	AT5G58950.1
OG0004152	Om004G145680, Om006G233310	AT5G64120.1
OG0004153	Om004G157370	AT4G00300.1
OG0004154	Om004G158400, Om004G158390	AT4G00990.1
OG0004155	Om004G158450, Om004G158460	AT4G00910.1
OG0004156	Om004G159770	AT4G02380.3
OG0004157	Om004G159820	AT4G02400.1
OG0004158	Om007G277740	AT5G02940.2, AT5G43745.1
OG0004159	Om005G181290	AT1G04250.1
OG0004160	Om007G279870	AT2G31980.1
OG0004161	Om005G222790, Om007G279980, Om007G279990	AT2G31880.1
OG0004162	Om007G281490	AT2G30500.1
OG0004163	Om007G281630	AT2G30400.1
OG0004164	Om005G184430	AT1G06960.1
OG0004164	Om007G281760	AT2G30260.1
OG0004166	Om004G149480	AT2G26270.1, AT3G43930.1
OG0004167	Om001G020040	AT4G27310.1
OG0004168	Om007G301540	AT5G14270.2
OG0004168	Om002G042360	AT3G01770.1
OG0004169	Om002G044540	AT3G03090.1
OG0004170	Om002G045640	AT3G03960.1
OG0004171	Om002G046150	AT3G04470.1
OG0004172	Om002G046990	AT3G05020.1
OG0004173	Om002G046880	AT3G04970.1
OG0004174	Om002G050310	AT3G07560.1
OG0004175	Om008G329630	AT2G40475.1
OG0004176	Om008G335010	AT2G37770.2
OG0004178	Om005G197120	AT1G16250.1
OG0004179	Om005G200850	AT1G18970.1
OG0004180	Om005G202170	AT3G25940.1
OG0004181	Om005G202810	AT1G20750.1
OG0004181	Om005G202830	AT1G20720.2
OG0004182	Om004G143170	AT1G72040.1
OG0004183	Om004G148420	AT4G24580.1
OG0004184	Om007G285600	AT4G24690.1
OG0004185	Om007G285740	AT4G24820.1
OG0004186	Om007G290980	AT5G39800.1, AT5G40080.1
OG0004187	Om007G286020	AT4G25140.1
OG0004188	Om005G186330	AT5G51960.1
OG0004189	Om005G192480	AT1G12910.1
OG0004190	Om005G192010, Om005G192000, Om005G192020	AT1G12550.1
OG0004192	Om005G180040	AT1G03140.1, AT1G54590.1
OG0004193	Om007G298870	AT5G16100.2
OG0004194	Om007G298560	AT5G16300.1
OG0004195	Om007G297270	AT5G17270.1, AT5G37130.1
OG0004196	Om001G019690, Om007G294000	AT5G27820.1
OG0004197	Om004G169580	AT5G07000.1, AT5G07010.1
OG0004198	Om006G240630	AT5G25930.1
OG0004199	Om004G162820	AT4G31980.1
OG0004199	Om008G354920, Om008G354550	AT5G11290.2
OG0004201	Om006G237890	AT5G23380.1
OG0004203	Om006G235460, Om004G151720	AT4G28360.1, AT1G52370.1
OG0004204	Om006G235200	AT5G62620.1
OG0004205	Om006G247600	AT5G58560.1
OG0004206	Om006G260230	AT3G49570.1
OG0004207	Om006G268050	AT3G45650.2
OG0004207	Om006G268080	AT3G45660.2
OG0004208	Om004G140530, Om004G140510, Om006G239730	AT1G73790.1, AT4G09550.1
OG0004209	Om005G206310	AT1G71450.1
OG0004210	Om005G206060	AT1G71710.1
OG0004211	Om004G143160	AT1G72050.3
OG0004212	Om004G134270	AT1G77760.1
OG0004213	Om004G139780	AT1G74220.1
OG0004214	Om004G141700	AT1G73220.1
OG0004215	Om004G133330, Om001G023500	AT1G78360.1
OG0004216	Om004G130940	AT1G80730.1
OG0004217	Om002G056500	AT3G12700.1
OG0004219	Om002G061030	AT3G15540.1
OG0004220	Om002G061720	AT3G15990.1
OG0004223	Om002G066190	AT3G19000.1
OG0004224	Om002G066640	AT3G19290.3
OG0004225	Om002G066950	AT3G19580.1
OG0004226	Om002G069180	AT3G21180.1
OG0004227	Om002G069820	AT3G21700.3
OG0004228	Om002G069830	AT3G21710.2
OG0004229	Om002G070510	AT3G22240.1
OG0004230	Om002G070640	AT3G22380.2
OG0004231	Om002G071230	AT3G22845.1
OG0004232	Om002G072570, Om002G072560	AT3G23600.1
OG0004233	Om002G072860	AT3G23770.1
OG0004234	Om002G084810	AT2G17950.1
OG0004235	Om002G086680	AT2G19110.1
OG0004236	Om001G023600	AT4G28880.1
OG0004237	Om008G349870	AT5G36160.1
OG0004238	Om003G089760	AT1G55920.1
OG0004239	Om003G089920	AT1G55800.1
OG0004240	Om003G091580	AT1G54060.1
OG0004241	Om003G092180	AT1G53780.2, AT1G53750.1
OG0004242	Om003G092880	AT1G53390.1
OG0004243	Om003G093340	AT1G53210.1
OG0004245	Om003G099280	AT3G27740.1
OG0004246	Om003G099770	AT1G48200.1
OG0004248	Om002G049320	AT3G66656.1
OG0004249	Om004G163150	AT5G26050.1
OG0004251	Om003G120500	AT3G57390.1
OG0004252	Om008G326980	AT2G42150.1
OG0004253	Om003G125790	AT3G60740.1
OG0004254	Om003G126840	AT5G05620.1, AT3G61650.1
OG0004255	Om003G127930	AT3G62300.2
OG0004259	Om008G324320	AT1G43171.1, AT1G50220.1, AT5G54067.1, AT2G21920.1
OG0004262	Om005G226550, Om005G226610	AT1G63580.1, AT1G63590.1
OG0004265	Om003G115540, Om007G288150	AT1G27890.1, AT1G27820.1, AT1G61470.1
OG0004275	Om001G023720	AT4G29020.1
OG0004276	Om002G086110	AT3G25580.1, AT2G18990.1
OG0004277	Om001G025740	AT4G30210.3
OG0004278	Om001G027430	AT4G31130.1
OG0004279	Om001G027750	AT4G31380.1
OG0004280	Om001G030530	AT4G33210.1
OG0004281	Om001G031850	AT4G33980.2
OG0004282	Om001G032950	AT4G34590.1
OG0004283	Om001G033990	AT4G35180.1
OG0004284	Om007G292020	AT1G31280.1, AT1G31290.1
OG0004285	Om007G277060	AT1G32200.1
OG0004286	Om003G090610, Om005G217140	AT1G56240.1, AT1G56250.1
OG0004287	Om002G066020, Om001G007780	AT2G01340.1
OG0004288	Om006G274500	AT2G02720.1
OG0004289	Om006G273420	AT3G25590.1
OG0004290	Om006G271460	AT3G27230.1
OG0004290	Om007G317530	AT5G40830.1
OG0004291	Om007G293290, Om002G072900	AT5G47320.1
OG0004294	Om008G326470	AT1G54380.1, AT2G42510.2
OG0004295	Om008G328500	AT2G41190.1
OG0004296	Om002G052880	AT3G10050.1
OG0004297	Om002G054570	AT3G11230.2
OG0004298	Om002G055440	AT3G11830.1
OG0004299	Om003G111630	AT5G50850.1
OG0004300	Om003G112270	AT5G51230.1
OG0004301	Om001G004310	AT5G51300.1
OG0004302	Om003G112790	AT5G51590.1
OG0004304	Om006G248240	AT5G57990.1
OG0004305	Om006G240840	AT5G26210.1
OG0004306	Om004G161380	AT5G13450.1
OG0004307	Om004G163090	AT3G14390.1, AT5G11880.1
OG0004308	Om004G164800, Om004G164830, Om004G164860	AT5G10770.1
OG0004309	Om004G167500	AT5G08420.1
OG0004310	Om004G167890	AT5G08160.1
OG0004311	Om001G001510	AT4G18140.1
OG0004311	Om008G360040, Om003G110710	AT5G46410.2
OG0004312	Om001G001990	AT4G18340.1
OG0004313	Om009G363820	AT4G18980.1
OG0004314	Om001G005420	AT4G20040.1
OG0004315	Om001G006050	AT4G20420.1
OG0004316	Om001G006550	AT4G20970.1
OG0004317	Om005G210010, Om001G006780	AT4G21105.1
OG0004318	Om001G009390, Om001G009380	AT4G22710.1, AT4G22690.1
OG0004319	Om001G009610, Om001G009580, Om001G009620, Om001G009590	AT4G22790.1
OG0004320	Om001G010710	AT4G23420.3
OG0004321	Om001G011480	AT4G24060.1
OG0004322	Om008G349910	AT4G10670.1
OG0004323	Om001G013840	AT1G35430.1, AT4G09170.1
OG0004324	Om002G071000	AT3G22660.1
OG0004326	Om007G290080	AT1G29640.1
OG0004327	Om007G291020	AT1G30470.1
OG0004328	Om007G291240	AT1G30580.1
OG0004330	Om001G035240	AT4G35790.1
OG0004331	Om001G036900	AT4G37240.1
OG0004332	Om001G037040	AT4G37180.2
OG0004333	Om008G348280, Om008G346930	AT4G10080.1
OG0004334	Om008G352260	AT4G12020.2
OG0004335	Om001G005010	AT5G35810.1, AT3G54065.1
OG0004336	Om002G078840	AT5G35320.1
OG0004337	Om002G075930	AT2G04280.1, AT4G12700.1
OG0004338	Om003G105140	AT4G12790.1
OG0004339	Om003G102720	AT4G14420.1
OG0004340	Om003G102510	AT4G14713.1, AT4G14720.2
OG0004341	Om003G102320	AT4G14805.1
OG0004342	Om003G089540	AT1G53720.1, AT1G56085.1
OG0004343	Om003G128680	AT3G62930.1
OG0004344	Om008G320050	AT2G47050.1
OG0004345	Om008G320990	AT2G46370.4
OG0004346	Om008G321220	AT2G46140.1
OG0004347	Om008G323710	AT2G44270.1, AT1G76170.7
OG0004348	Om008G325620	AT2G43140.2
OG0004349	Om003G121540	AT3G58110.1
OG0004350	Om006G241430	AT5G19820.1
OG0004351	Om006G251880	AT3G55490.1, AT1G19080.1
OG0004352	Om008G330730	AT2G40080.1
OG0004353	Om006G243770	AT5G22380.1
OG0004354	Om006G246550	AT5G59050.1
OG0004355	Om006G233870	AT5G63690.1
OG0004356	Om006G233510	AT5G64040.2
OG0004357	Om006G231750	AT5G65440.3
OG0004358	Om006G230320	AT5G67060.1
OG0004359	Om006G230200	AT5G66920.1
OG0004361	Om004G157740	AT4G00585.1
OG0004362	Om005G180390	AT1G03475.1
OG0004363	Om007G278270	AT2G33410.1
OG0004364	Om007G278320	AT2G33380.1
OG0004365	Om005G183400	AT1G05960.2
OG0004366	Om007G280720	AT2G31230.1
OG0004367	Om007G280910	AT2G31081.1
OG0004368	Om007G281560	AT2G30470.1
OG0004369	Om007G281680	AT2G30360.1
OG0004370	Om007G281730	AT2G30300.1
OG0004371	Om007G282100	AT2G29980.1
OG0004372	Om002G042760	AT3G01420.1
OG0004373	Om002G044100	AT3G02750.3
OG0004374	Om002G047280	AT3G05220.1
OG0004375	Om002G047430	AT5G27550.1
OG0004376	Om002G047690	AT3G05545.1
OG0004377	Om002G048350, Om002G048340	AT3G05975.1
OG0004378	Om002G048590	AT3G06120.1
OG0004379	Om002G049000	AT3G06410.1
OG0004381	Om008G337750	AT2G36010.2
OG0004382	Om008G337570	AT2G36190.1
OG0004383	Om008G336400, Om008G336380	AT2G36950.1
OG0004385	Om005G196970	AT1G16040.1
OG0004386	Om005G199140	AT1G17720.1
OG0004387	Om004G141120	AT1G73450.1, AT1G73460.1
OG0004388	Om004G140100	AT1G74045.1
OG0004389	Om005G200530	AT1G18710.1
OG0004390	Om004G135140	AT1G77130.1
OG0004391	Om004G143200	AT1G72020.1
OG0004392	Om008G356340	AT5G44568.1
OG0004393	Om004G146090	AT1G26610.1
OG0004394	Om004G147490	AT1G25260.1
OG0004395	Om007G285750	AT4G24840.1
OG0004396	Om002G063050	AT2G24280.1
OG0004397	Om005G193110	AT1G13390.1
OG0004398	Om005G192370	AT1G12840.1
OG0004399	Om005G192230	AT1G12760.1
OG0004400	Om005G191110	AT1G11890.1
OG0004401	Om005G189870	AT1G11080.2
OG0004402	Om005G189270	AT1G70450.1, AT1G10620.1
OG0004403	Om005G188560	AT1G10070.1
OG0004404	Om005G187050	AT1G09040.1, AT1G09050.1
OG0004405	Om005G185940, Om005G185950	AT1G08050.1
OG0004406	Om005G185780	AT1G07890.1
OG0004407	Om007G300160	AT2G16930.1, AT5G15220.1
OG0004408	Om007G298630, Om006G264630, Om006G264640	AT5G16270.1
OG0004409	Om007G297670	AT5G16840.2
OG0004410	Om007G295680	AT5G18560.1
OG0004411	Om007G295430	AT5G18650.1
OG0004412	Om007G294380	AT5G26660.1
OG0004413	Om007G293780	AT5G27670.1
OG0004414	Om007G307890	AT5G48270.1
OG0004415	Om004G170620	AT5G06160.1
OG0004416	Om006G240410	AT5G25610.1
OG0004418	Om004G164600	AT5G23535.1
OG0004419	Om006G237610, Om004G167820	AT5G23140.1
OG0004420	Om006G236770	AT5G61340.2
OG0004421	Om006G260130	AT3G49645.2
OG0004422	Om005G211000, Om005G211010	AT1G68370.1
OG0004423	Om008G362530, Om005G209050	AT1G69680.1
OG0004424	Om005G208040	AT1G70260.1
OG0004425	Om005G207270	AT1G70700.3
OG0004426	Om005G205790	AT1G71910.1
OG0004427	Om004G143090, Om004G143110	AT1G72125.1, AT1G72120.1
OG0004428	Om004G138250	AT1G75520.1
OG0004429	Om004G139290	AT1G74590.1
OG0004430	Om004G139320	AT1G74550.1
OG0004430	Om004G139330	AT1G74540.1
OG0004431	Om004G142070	AT1G72880.1
OG0004432	Om004G132980	AT1G78600.2
OG0004433	Om004G132370	AT1G78955.1
OG0004434	Om004G131970	AT1G79270.1
OG0004435	Om004G131500	AT1G79580.1
OG0004436	Om002G056790	AT3G12920.1
OG0004437	Om002G058780	AT3G14080.1
OG0004438	Om002G058940	AT3G14200.1
OG0004440	Om002G060360	AT3G15170.1
OG0004441	Om002G060660	AT3G15355.1
OG0004442	Om002G060870	AT3G15490.1
OG0004443	Om002G062080	AT3G16220.1
OG0004445	Om002G067250	AT3G19830.1
OG0004445	Om003G097290	AT1G50260.1
OG0004446	Om002G067670	AT3G20050.1
OG0004447	Om002G068890	AT3G20898.1
OG0004448	Om002G068910	AT3G20920.1
OG0004449	Om008G321370	AT3G21320.1
OG0004450	Om002G070020	AT3G21865.1
OG0004451	Om002G071930	AT3G23250.1
OG0004452	Om003G127170	AT4G32990.1
OG0004453	Om002G085860	AT2G18510.1
OG0004454	Om002G085110	AT2G18160.1
OG0004455	Om002G086590	AT2G19060.1, AT2G19050.1
OG0004456	Om007G314570, Om005G215320, Om002G088290	AT2G20510.2, AT2G36070.1
OG0004457	Om003G094570	AT1G52400.1
OG0004458	Om003G095810	AT1G51510.1
OG0004459	Om003G103930, Om003G096910, Om003G096900, Om003G096940	AT1G50560.1, AT1G50520.1
OG0004460	Om003G099330	AT1G48610.1
OG0004461	Om007G290340	AT2G34410.1, AT1G29890.2
OG0004462	Om006G256660	AT3G51910.1
OG0004463	Om006G253720	AT3G53990.1
OG0004464	Om006G252330, Om006G252340	AT3G55120.1
OG0004465	Om006G250730	AT3G56190.1, AT3G56450.1
OG0004466	Om003G119660	AT3G56710.1
OG0004467	Om004G133600	AT5G53270.1, AT5G53260.1
OG0004468	Om003G121460	AT3G58060.1
OG0004469	Om003G121560	AT2G27340.2, AT3G58130.1
OG0004470	Om003G122350	AT3G58610.1
OG0004472	Om003G126550	AT3G61440.1
OG0004473	Om003G127960	AT5G48350.1
OG0004473	Om001G030340	AT3G62320.1
OG0004474	Om003G128790	AT3G63010.1
OG0004475	Om003G098530, Om003G098560	AT1G49190.2
OG0004477	Om001G005280	AT5G49690.1
OG0004478	Om003G125100	AT3G60415.1
OG0004481	Om001G031130	AT1G55990.1
OG0004481	Om001G031170, Om001G031150	AT4G33610.1
OG0004482	Om005G190480, Om005G190490, Om005G190530, Om005G190500, Om005G190520, Om005G190510	AT1G24145.1
