Orthogroup	Odontarrhena_muralis	Brassica_rapa
OG0000655	Om006G270570	XP_033147084.1
OG0000658	Om003G106660, Om007G293840, Om006G254110	XP_009139284.1, XP_009103883.2, XP_009116083.2, XP_033128345.1, XP_009111747.2, XP_009129876.1, XP_009151189.1
OG0000660	Om005G185150	XP_009110948.1
OG0000660	Om006G246670	XP_009149960.1, XP_009126715.1, XP_009120428.1
OG0000661	Om007G280270, Om008G327370	XP_033147704.1, XP_033147703.1, XP_009132808.2, XP_009132800.2, XP_009141153.1, XP_009141156.2
OG0000662	Om007G299230	XP_009121540.1
OG0000662	Om002G043690	NP_001288811.1, XP_009134666.2
OG0000662	Om007G299200	XP_009126071.1, XP_009121539.1
OG0000663	Om004G147530, Om004G147600	XP_009103050.1, XP_033132851.1, XP_009109858.1
OG0000664	Om001G038790	XP_009126224.2, XP_033141429.1
OG0000665	Om008G325860, Om008G332120	XP_009152013.1, XP_009152014.1
OG0000666	Om001G024180, Om001G024200	XP_018509456.1
OG0000669	Om008G323950, Om001G002100, Om001G002090	XP_009142992.1, XP_009142247.2, XP_018513612.1
OG0000671	Om006G248300	XP_009139821.1, XP_009139831.1, XP_033145949.1, XP_009140207.1
OG0000672	Om008G340360	XP_009132979.1, XP_009143793.1, XP_009141364.2
OG0000672	Om007G289610	XP_009115256.1
OG0000673	Om006G272930	XP_009152110.1, XP_033128899.1, XP_033128897.1
OG0000673	Om004G158090	XP_033142071.1, XP_009133984.1
OG0000674	Om005G179570	XP_009111182.2, XP_009119610.2
OG0000674	Om008G319260	XP_009118697.1, XP_009142519.2
OG0000674	Om004G159710	XP_009111298.1
OG0000675	Om005G196790, Om007G279730	XP_009149029.1, XP_009110466.1, XP_009117793.1, XP_009132842.1
OG0000676	Om006G251430	XP_033146574.1, XP_018510682.2
OG0000676	Om004G139720	XP_009106087.1, XP_009104770.1, XP_009128039.2
OG0000677	Om004G136950, Om004G145150	XP_009103118.1
OG0000677	Om001G025590	XP_009103117.1, XP_009110058.1, XP_009115434.2
OG0000678	Om003G121880	XP_033133642.1, XP_033133691.1, XP_033133968.1
OG0000682	Om002G081140	XP_033145258.1, XP_009128728.2, XP_033141181.1, XP_009104162.1, XP_033145947.1, XP_033147003.1, XP_033133869.1, XP_033141130.1, XP_009128331.1, XP_033132648.1, XP_033144013.1, XP_033137616.1, XP_033129223.1
OG0000685	Om001G024490	XP_009137849.2, XP_009128647.1
OG0000685	Om002G087370	XP_009109183.1, XP_009142114.1
OG0000686	Om001G031630, Om001G031650, Om001G031590	XP_009138241.1, XP_009108772.2, XP_009108771.2
OG0000686	Om001G031660	XP_033132567.1
OG0000687	Om007G275820	XP_009136779.1, XP_009146162.2
OG0000687	Om008G322470, Om008G322490	XP_009104091.1, XP_009133709.1
OG0000688	Om001G026700	XP_033141482.1
OG0000688	Om002G067310	XP_009101264.1, XP_009129159.1, XP_033141019.1
OG0000689	Om005G205310, Om001G012690	XP_009134165.1, XP_009114767.1, XP_009145157.1, XP_009113572.3
OG0000691	Om007G298400	XP_009114784.1
OG0000692	Om003G122540, Om003G122530	XP_009138937.1, XP_009116558.1
OG0000692	Om003G122550	XP_009116559.1, XP_009104171.1
OG0000692	Om008G326170	XP_009142877.1
OG0000693	Om006G251440	XP_009116275.2, XP_009139140.2
OG0000695	Om004G140010	XP_009106065.1
OG0000697	Om003G096530, Om003G095790, Om003G096510, Om003G095780	XP_018515541.1
OG0000699	Om008G325440	XP_018511597.1, XP_009144401.1, XP_009142183.1
OG0000700	Om072G377210, Om007G282900, Om072G377220, Om007G282910	XP_009124394.1, XP_033145137.1, XP_033145138.1, XP_009144398.2
OG0000702	Om007G301290	XP_033141368.1, XP_009121658.2, XP_009131410.2
OG0000702	Om002G042520	XP_009147447.1
OG0000703	Om004G173900	XP_009122681.1
OG0000703	Om008G337070	XP_009141596.2
OG0000703	Om006G255340	XP_009125243.2
OG0000704	Om001G004670, Om001G004680	XP_009133184.1, XP_009133165.2, XP_009137017.2
OG0000705	Om008G324600	XP_009142226.1
OG0000706	Om006G239960	XP_009129973.1
OG0000707	Om005G211110	XP_009127619.1
OG0000708	Om005G190620	XP_009118185.2
OG0000709	Om007G296380	XP_018509681.1, XP_009115843.1
OG0000710	Om005G193740, Om005G194960, Om005G193780	XP_009148668.1, XP_033128179.1, XP_033134915.1, XP_018510377.2, XP_018510527.2, XP_009117974.1, XP_009118029.1
OG0000711	Om005G226640	XP_033145483.1, XP_009139957.1
OG0000712	Om001G029690	XP_033135275.1
OG0000714	Om005G213220	XP_033140234.1
OG0000714	Om005G213140	XP_018509195.1
OG0000715	Om008G353360	XP_009114618.1, XP_009134272.1
OG0000716	Om001G030930	XP_009119398.1, XP_033145912.1
OG0000717	Om005G203310	XP_009103307.2, XP_009103306.1, XP_009110196.1, XP_009149590.1
OG0000718	Om002G055310	XP_009121182.1
OG0000718	Om004G177070	XP_009130626.1
OG0000719	Om006G245640	XP_009126643.1, XP_009120506.1, XP_009120505.1, XP_009131966.1
OG0000720	Om003G128230	XP_033131562.1, XP_009115870.1
OG0000720	Om004G159420	XP_009102816.1, XP_033140189.1
OG0000720	Om008G319350	XP_009118750.1
OG0000722	Om005G208970	XP_009105641.2
OG0000722	Om005G194430	XP_009117913.2, XP_009110550.1, XP_009148716.1
OG0000723	Om007G294640	XP_009129919.1, XP_009111696.1, XP_009151135.1
OG0000724	Om006G252130, Om006G252070, Om006G252080, Om006G252100, Om006G252120	XP_009139357.2, XP_033146550.1, XP_033146548.1, XP_033146544.1
OG0000726	Om001G037180, Om001G037210	XP_033147922.1
OG0000730	Om006G274110	XP_009114166.2, XP_009114171.1, XP_009129102.2, XP_009152206.2
OG0000730	Om005G193950	XP_018508167.2, XP_009148685.1, XP_009117944.1
OG0000731	Om008G338660	XP_009152073.2, XP_009129563.3
OG0000731	Om008G338680	XP_009152074.1
OG0000732	Om006G250070	XP_009126921.1
OG0000732	Om006G255490	XP_009148743.1
OG0000734	Om003G112660	XP_033146319.1, XP_009107343.1, XP_009132599.1
OG0000735	Om003G118250	XP_033139648.1
OG0000735	Om003G118240	XP_033139644.1
OG0000736	Om004G165740	XP_009122071.1, XP_009131149.1
OG0000736	Om001G039680	XP_009138550.2
OG0000738	Om007G278680	XP_009143902.1, XP_018512685.2, XP_009132883.2
OG0000739	Om005G180900	XP_009111137.3, XP_009119352.2
OG0000739	Om002G071940	XP_009108082.1
OG0000740	Om004G147780	XP_033134333.1
OG0000741	Om002G057710	XP_009135307.1
OG0000741	Om003G119120	XP_033144542.1
OG0000741	Om003G090420	XP_009103725.1, XP_009106876.1
OG0000742	Om068G377170	XP_033138842.1, XP_033129922.1, XP_033138930.1, XP_033138929.1
OG0000744	Om007G295290	XP_009131699.1
OG0000744	Om007G295300	XP_018509769.2
OG0000749	Om005G193040	XP_009152111.1
OG0000749	Om004G147040	XP_009103071.2, XP_009109883.2
OG0000750	Om007G291180, Om001G009690	XP_033145642.1
OG0000750	Om005G228180	XP_009113004.1
OG0000751	Om004G173690	XP_009130786.1, XP_009125523.1, XP_009150486.1, XP_033134796.1, XP_009122664.2
OG0000752	Om006G239670, Om006G239690, Om006G239700, Om006G239680	XP_009111649.1, XP_033140466.1, XP_009151025.1, XP_009151026.1
OG0000752	Om004G164920	XP_009131181.1
OG0000753	Om001G015620	XP_009123045.1
OG0000754	Om001G015760	XP_009107648.1
OG0000754	Om008G342780	XP_009136205.1, XP_009112251.2, XP_009123167.1
OG0000755	Om008G355040	XP_033135546.1, XP_009114502.1
OG0000755	Om008G355050	XP_009114501.1, XP_009144518.1
OG0000757	Om004G175670	XP_009141676.1
OG0000757	Om008G335340, Om006G254280	XP_009103881.1, XP_033137111.1
OG0000758	Om004G131100	XP_009106716.1, XP_009128391.1
OG0000758	Om005G196770	XP_009149028.1
OG0000759	Om007G282010	XP_009132709.1
OG0000759	Om005G184700	XP_009118992.3, XP_018510674.2, XP_009110956.2
OG0000760	Om006G250500	XP_009139107.1, XP_009116338.1
OG0000761	Om002G067830	XP_009136050.2
OG0000762	Om002G087650, Om001G015670	XP_033130573.1, XP_009102127.1
OG0000762	Om002G087620	XP_018511278.2, XP_033134716.1
OG0000763	Om003G091650	XP_009107058.1, XP_009106949.1, XP_009106947.1, XP_009107056.1
OG0000763	Om003G091630	XP_009147560.1, XP_009147557.1, XP_033133353.1
OG0000764	Om003G096690, Om003G096670, Om003G096680	XP_009147811.2, XP_009147833.2
OG0000772	Om006G270510	XP_009151865.1, XP_033140743.1, XP_009111599.1
OG0000773	Om005G209150	XP_009105516.1, XP_009127750.1, XP_009104992.1, XP_009110049.1, XP_009111611.1
OG0000774	Om001G017860	XP_009137585.1, XP_009109180.2, XP_009142147.2
OG0000775	Om004G172920	XP_009135111.1
OG0000776	Om008G330800	XP_009133397.1
OG0000776	Om002G051640	XP_009123454.1, XP_009146942.1, XP_009135066.2
OG0000777	Om001G020010	XP_009109147.2
OG0000777	Om003G091110	XP_009107080.1, XP_009106912.1
OG0000779	Om001G008900	XP_009135828.1, XP_009137252.1
OG0000779	Om008G353570	XP_009114601.1
OG0000779	Om008G353560	XP_033136512.1
OG0000780	Om001G039760	XP_009127742.1
OG0000780	Om004G165850	XP_009125321.1
OG0000781	Om008G324460, Om008G324450, Om008G324440, Om008G324430	XP_009133642.2, XP_009133637.2, XP_033142578.1, XP_009142974.1
OG0000781	Om008G324410	XP_009142972.2
OG0000783	Om006G243370	XP_009131855.1, XP_009120690.1, XP_009120689.2, XP_009126521.2
OG0000784	Om006G244140	XP_009131883.1
OG0000785	Om001G030640, Om001G030650	XP_009108808.1, XP_009123518.1
OG0000785	Om004G172580	XP_009122572.1
OG0000786	Om006G236980	XP_009130300.3
OG0000787	Om002G056150, Om002G056160, Om002G056140	XP_018514801.1, XP_033148411.1
OG0000787	Om002G056130	XP_033148417.1, XP_018513181.1
OG0000788	Om006G267680	XP_033128496.1, XP_009107824.2
OG0000788	Om006G244510	XP_009126582.2, XP_009120613.1
OG0000788	Om006G267760	XP_009149905.2, XP_009150093.1
OG0000789	Om004G131580	XP_009106677.1, XP_009128369.1, XP_009104523.2
OG0000789	Om002G056630	XP_009135249.2, XP_009146585.2, XP_009124670.2
OG0000790	Om003G091770, Om003G091720, Om003G091750	XP_033131859.1, XP_033131049.1
OG0000790	Om003G091710	XP_033132034.1, XP_018508416.1
OG0000792	Om003G120840	XP_033140794.1
OG0000793	Om004G131020	XP_033140998.1, XP_009137118.2
OG0000794	Om002G070500, Om007G283840	XP_018513869.1, XP_033145155.1, XP_033145148.1, XP_033134889.1, XP_009102820.2
OG0000798	Om007G276100, Om001G000190	XP_009136806.2, XP_009136839.1
OG0000799	Om005G222980	XP_033131136.1, XP_009110036.1, XP_033131861.1, XP_033130159.1, XP_033131728.1, XP_033133893.1, XP_033138373.1, XP_033144073.1
OG0000800	Om006G261660	XP_009152168.1, XP_009151494.1
OG0000801	Om002G053550	XP_009122576.1
OG0000801	Om004G172640	XP_009130829.1
OG0000801	Om002G053590, Om002G053560	XP_009146826.1
OG0000802	Om008G359660	XP_009101540.1
OG0000802	Om007G290710	XP_009115183.1
OG0000802	Om001G002180	XP_009131656.1
OG0000803	Om003G116420, Om001G004780	XP_009133224.2
OG0000804	Om005G228300	XP_033145682.1, XP_009147327.1
OG0000806	Om008G323550	XP_009142259.1
OG0000806	Om008G323530	XP_009133672.1
OG0000807	Om008G323720	XP_009142253.1
OG0000807	Om002G042240	XP_033134893.1, XP_033129641.1
OG0000807	Om002G042250	XP_009134576.1, XP_009124050.1
OG0000808	Om007G283270	XP_009140939.2, XP_009103712.1
OG0000808	Om006G246460	XP_009132004.1
OG0000809	Om004G146010	XP_009103102.1, XP_009115386.2, XP_009110029.1
OG0000810	Om003G096380, Om003G096550	XP_033128714.1
OG0000812	Om002G079240, Om006G260420, Om003G122710, Om003G122690	XP_009150151.1, XP_009151947.1
OG0000813	Om002G063840, Om006G261060	XP_009135523.1
OG0000813	Om002G063830, Om002G063810, Om002G063820	XP_033148597.1
OG0000814	Om002G070350, Om006G243840, Om006G245340	XP_033140223.1, XP_009126623.1, XP_009121323.1
OG0000819	Om002G053630	XP_009146823.1
OG0000819	Om006G250650	XP_009103992.1, XP_009139111.1, XP_009116322.1
OG0000820	Om002G048210	XP_009134854.1, XP_009123629.1, XP_009141770.1, XP_009133311.1
OG0000821	Om003G113100	XP_009106994.2, XP_009132572.1, XP_009127263.1
OG0000823	Om008G362180	XP_009101440.1, XP_009128949.1, XP_009114287.2
OG0000823	Om001G000380	XP_009108330.1, XP_009136852.1, XP_009130695.1
OG0000824	Om001G012010, Om001G012020	XP_009123738.1
OG0000825	Om003G126780	XP_009104323.1
OG0000825	Om008G321070	XP_009133768.1, XP_009142670.2
OG0000826	Om008G323390	XP_009143030.1, XP_009142262.2
OG0000827	Om003G116690	XP_009120024.1
OG0000827	Om004G176620	XP_033139781.1
OG0000828	Om005G219460, Om007G278890, Om008G356770	XP_009133160.2
OG0000829	Om002G045010	XP_009130368.1, XP_009130369.1
OG0000829	Om007G296880	XP_009131598.1
OG0000830	Om005G202380	XP_009149511.1, XP_033131956.1
OG0000830	Om004G136890	XP_009106252.1
OG0000831	Om005G202570	XP_009149529.2, XP_009103340.1
OG0000833	Om002G059910	XP_009146320.2, XP_009146321.2, XP_009116594.2, XP_009135396.1, XP_009135398.1
OG0000834	Om002G065630	XP_033148795.1, XP_033148805.1
OG0000834	Om003G098980	XP_009144995.1, XP_033128558.1
OG0000835	Om002G066410	XP_009112131.1, XP_009135617.1, XP_009145825.1
OG0000835	Om003G098020	XP_009107272.1, XP_009147873.1, XP_009145104.2
OG0000836	Om003G120370	XP_009116429.1, XP_009117182.2, XP_009116431.1
OG0000836	Om003G120360	XP_009104047.1
OG0000837	Om006G258280, Om006G258260	XP_033137025.1, XP_009115734.2, XP_033137048.1, XP_033134382.1, XP_033137047.1, XP_033137117.1
OG0000838	Om001G021120	XP_033146034.1
OG0000839	Om001G015280	XP_009107611.2, XP_009124888.1
OG0000842	Om005G227440	XP_009152068.2, XP_009129559.1
OG0000842	Om001G002220	XP_009121600.1
OG0000843	Om006G236790	XP_009108016.1
OG0000844	Om002G052240	XP_009146912.2, XP_009135047.2, XP_033146973.1
OG0000844	Om004G175120	XP_009122746.1, XP_009130738.1
OG0000845	Om007G285800	XP_009134065.1
OG0000846	Om001G030620	XP_009123591.1, XP_009138177.2
OG0000847	Om004G166450, Om004G166440	XP_033131649.1, XP_009122535.2
OG0000847	Om006G232840	XP_009112141.1, XP_009130462.1, XP_033128184.1
OG0000848	Om005G178800	XP_009118792.1, XP_009119670.1, XP_009111207.1
OG0000849	Om004G158520	XP_009111393.1
OG0000849	Om003G127390	XP_033134734.1
OG0000850	Om003G126290	XP_009116794.1, XP_009116793.1
OG0000850	Om003G126300	XP_009138780.1
OG0000851	Om008G327440	XP_009142777.2
OG0000851	Om003G120650	XP_009139032.1, XP_033135962.1
OG0000852	Om008G353510, Om001G009030	XP_009144500.1, XP_009134282.1, XP_009135868.1, XP_009114610.2
OG0000853	Om004G160710	XP_009134375.1, XP_009122199.1, XP_009122188.2
OG0000853	Om004G160690	XP_009144527.1, XP_009134376.3, XP_033135804.1
OG0000854	Om007G283720	XP_033145166.1, XP_009103676.1
OG0000854	Om005G185890	XP_009118398.1, XP_009110913.1, XP_009148049.1
OG0000855	Om006G263670	XP_009149857.2, XP_033132775.1, XP_009150212.1
OG0000855	Om006G235120	XP_009130227.2, XP_033136799.1, XP_009112096.3, XP_009151387.1
OG0000857	Om006G263880	XP_009123209.1
OG0000857	Om006G260880	XP_009149762.1, XP_009151778.1
OG0000858	Om002G073040	XP_009106277.2, XP_009107599.1, XP_033130385.1, XP_009102757.1
OG0000861	Om005G180100	XP_033148480.1, XP_033148481.1, XP_033148783.1
OG0000867	Om005G213710	XP_009135860.2, NP_001289193.1, XP_009105202.1
OG0000868	Om004G170100	XP_009122271.2, XP_009130948.2, XP_009125652.2
OG0000868	Om002G055490	XP_009121086.2, XP_009135191.1, XP_009146672.2
OG0000869	Om001G000390, Om008G362170	XP_009136853.1, XP_009114288.1, XP_009128948.1, XP_009101441.1
OG0000870	Om007G288540	XP_009109745.1, XP_009109746.1
OG0000870	Om008G340790	XP_033133447.1, XP_033147677.1
OG0000871	Om002G043820	XP_009147332.1, XP_009134679.1
OG0000871	Om007G314750	XP_009139790.1, XP_009125075.2
OG0000872	Om007G279510	XP_009141247.1
OG0000873	Om007G295910	XP_009120979.2, XP_009134755.1, XP_009131657.1, XP_009124006.2, XP_009125004.1
OG0000875	Om005G184100	XP_009119045.1
OG0000875	Om005G180310, Om001G026980	XP_009119544.1
OG0000875	Om005G180320	XP_009119545.1
OG0000875	Om003G126460	XP_009116811.1
OG0000876	Om002G086200	XP_009136399.1, XP_009136397.1
OG0000879	Om005G184110	XP_009118492.2, XP_009118490.2, XP_033136487.1, XP_033136486.1, XP_033136490.1
OG0000883	Om001G033060	XP_009108713.1, XP_009138316.1, XP_009110285.2
OG0000884	Om005G211060	XP_009127623.1, XP_033130272.1, XP_033131424.1
OG0000885	Om005G204940	XP_009145340.1, XP_009110136.2, XP_009103236.2
OG0000885	Om001G021960	XP_009144153.1, XP_009137757.1
OG0000886	Om008G341510	XP_009101818.1, XP_009123705.1
OG0000887	Om008G319930	XP_009117089.1
OG0000887	Om008G319920	XP_009117309.1
OG0000888	Om003G122230	XP_009104146.1, XP_009116529.1, XP_009138958.1
OG0000888	Om008G326480	XP_009142847.1, XP_009142071.1, XP_009133540.2
OG0000889	Om006G252000	XP_009116231.1, XP_009103953.1, XP_009139171.2
OG0000889	Om006G246440, Om006G246450	XP_009120438.1
OG0000890	Om006G254370	XP_009103879.1, XP_009116062.1
OG0000890	Om008G335550	XP_009133182.1, XP_009141669.1, XP_009143485.1
OG0000891	Om005G204900	XP_009145341.1
OG0000891	Om005G204930	XP_009103237.1, XP_009110138.1
OG0000892	Om006G240260, Om006G240250	XP_009151073.1, XP_009129961.1, XP_018510844.2, XP_033146797.1, XP_009135555.1
OG0000893	Om006G238770	XP_009139532.2, XP_009130083.1, XP_009141944.1
OG0000894	Om002G058710	XP_033130575.1
OG0000894	Om002G087350	XP_033136721.1
OG0000895	Om008G357430, Om008G357440	XP_009136124.1, XP_033137192.1, XP_033131073.1
OG0000897	Om008G334790, Om008G334800	XP_009133215.1
OG0000897	Om006G254020	XP_033146942.1
OG0000900	Om005G193320	XP_009117993.1
OG0000900	Om005G193340	XP_009117992.1, XP_009110579.1
OG0000901	Om002G082990, Om002G082970, Om007G275790	XP_033137268.1, XP_009145792.1, XP_009124841.1, XP_009145812.1
OG0000902	Om004G171650, Om004G171970	XP_009122147.1, XP_009130880.1
OG0000902	Om002G054040	XP_009122586.1, XP_009146798.2
OG0000903	Om004G164180, Om004G164000, Om007G288460	XP_033146919.1
OG0000904	Om001G028210	XP_009125304.2, XP_009131151.2, XP_009122062.2, XP_009108917.1, XP_009126736.2
OG0000905	Om004G165730	XP_009122072.1
OG0000905	Om006G232350	XP_009150573.1
OG0000906	Om004G166090	XP_009122099.1, XP_009125334.1, XP_033142799.1
OG0000907	Om001G002610, Om008G358980, Om008G358950	XP_009132011.1
OG0000908	Om001G040680	XP_009101890.1
OG0000908	Om002G047730	XP_009147223.1
OG0000908	Om004G155910	XP_009117380.1
OG0000909	Om007G280210	XP_009139627.1
OG0000909	Om007G298720	XP_009121507.1, XP_009131529.1
OG0000910	Om006G245280	XP_018510757.1
OG0000910	Om006G245290	XP_033140224.1
OG0000911	Om006G229870	XP_009112328.1, XP_009103493.2
OG0000912	Om004G160050	XP_009134424.1, XP_009111273.1
OG0000913	Om004G143650	XP_009103183.2, XP_009110108.1, XP_009115545.2, XP_009104949.1
OG0000913	Om005G207400	XP_009105729.1, XP_009127813.2
OG0000914	Om002G045570	XP_033134193.1, XP_009134748.1
OG0000915	Om006G255370	XP_009115989.2, XP_009125239.2, XP_009148749.1
OG0000915	Om008G337180	XP_033146123.1, XP_009143588.1, XP_009133081.1
OG0000916	Om005G194670	XP_009148827.2
OG0000916	Om005G194680	XP_009117895.1
OG0000917	Om005G192690	XP_009110600.1, XP_009140378.1, XP_009140379.2, XP_009112493.1, XP_009118033.1
OG0000917	Om005G192650, Om005G192670	XP_009110601.1, XP_009110602.2
OG0000919	Om002G063780	XP_033147539.1, XP_009136030.1
OG0000920	Om003G091660, Om003G091680	XP_009106950.1, XP_009106952.1
OG0000920	Om003G091780	XP_009147567.1
OG0000921	Om003G097940	XP_009145106.2, XP_009147879.1
OG0000923	Om005G226510, Om005G226520, Om005G226560	XP_009132432.1
OG0000924	Om001G036070	XP_009109316.1
OG0000930	Om002G087470	XP_009102137.1, XP_009112628.1, XP_009117521.2
OG0000930	Om001G024260	XP_009109044.1, XP_009128846.1, XP_009137845.1
OG0000931	Om006G251030	XP_033147832.1, XP_009135023.1
OG0000931	Om002G054470	XP_033147831.1, XP_009122366.2, XP_033142262.1
OG0000932	Om008G335890	XP_009141642.2, XP_009133144.1, XP_033148461.1
OG0000932	Om002G055520	XP_009121046.1, XP_009146669.1, XP_009135197.1
OG0000933	Om003G113540	XP_009127248.1
OG0000933	Om007G286610	XP_009132530.1
OG0000934	Om001G004220	XP_033136818.1
OG0000935	Om008G355400	XP_033142081.1, XP_009114487.1
OG0000935	Om001G006870	XP_009137170.1, XP_009108507.1, XP_009134478.1, XP_033138209.1
OG0000936	Om001G007510	XP_009134988.2
OG0000937	Om001G011310	XP_009137409.1
OG0000937	Om001G011350, Om001G011370	XP_009137605.1
OG0000937	Om001G011380, Om001G011360	XP_033143750.1
OG0000938	Om001G038920	XP_033129887.1, XP_009109459.1
OG0000938	Om001G040050	XP_009126140.1, XP_009126030.2
OG0000939	Om007G287520	XP_009101859.2, XP_009101857.2, XP_033142544.1, XP_009109461.2
OG0000939	Om004G156100, Om004G156110	XP_009117406.1
OG0000940	Om002G077500	XP_009148490.2, XP_009136177.2
OG0000940	Om001G035380	XP_009150005.2, XP_009109264.2
OG0000941	Om003G103370	XP_033132232.1, XP_009139544.2
OG0000941	Om007G279860, Om005G182890	XP_009111051.1
OG0000943	Om008G319230	XP_009111741.1, XP_009151179.1
OG0000944	Om008G325180	XP_009142937.1, XP_009133601.1, XP_009142194.1, XP_033130966.1, XP_009116617.1
OG0000946	Om004G176870	XP_009130644.2
OG0000946	Om004G176860	XP_009125403.1
OG0000947	Om002G043520	XP_009147367.1, XP_009117866.1, XP_009134656.1
OG0000948	Om006G252140	NP_001288915.1
OG0000948	Om008G331880	XP_009133367.1, XP_009141813.2, XP_009143312.1
OG0000950	Om007G294240	XP_009129901.1, XP_009151165.1
OG0000950	Om002G048110	XP_009124965.1
OG0000951	Om008G361670	XP_033136889.1, XP_009114315.1
OG0000952	Om008G324790	XP_009107417.1
OG0000953	Om006G259150	XP_009136538.1, XP_009115692.1
OG0000953	Om006G259180, Om006G259170, Om006G259120, Om008G347940	XP_009128936.1, XP_009136541.1
OG0000954	Om002G066730, Om002G066720, Om002G066750	XP_009145796.1, XP_009111878.1
OG0000954	Om002G066760	XP_009145795.1, XP_033132229.1
OG0000958	Om005G222830	XP_033133841.1, XP_033131949.1
OG0000959	Om005G201330, Om006G251530, Om005G202740	XP_009149519.1
OG0000961	Om004G130700	XP_033141455.1, XP_033141456.1, NP_001288940.1
OG0000962	Om007G316390	XP_033145627.1
OG0000962	Om004G164950	XP_009125282.1, XP_009122028.1
OG0000962	Om006G241480	XP_009111601.1
OG0000963	Om004G175750	XP_009125444.1, XP_009130697.1, XP_009122785.1
OG0000963	Om002G051940	XP_018511645.1, XP_009146932.1, XP_009135054.1
OG0000964	Om004G140590	XP_009118911.2, XP_009134023.2, XP_033143995.1, XP_033136312.1, XP_009113087.3
OG0000965	Om002G074180	XP_009117623.1
OG0000965	Om001G003760	XP_009137000.2, XP_018509337.2, XP_018510714.2
OG0000966	Om001G004110	XP_009137013.1
OG0000967	Om001G014390	XP_009107911.1
OG0000967	Om004G133940	XP_009106456.1
OG0000967	Om005G204690	XP_033134135.1, XP_033130846.1, XP_033137049.1
OG0000968	Om005G222930	XP_009140164.3, XP_009140165.3
OG0000968	Om007G314370	XP_009140163.1
OG0000970	Om006G230550	XP_009103441.1, XP_033131879.1
OG0000970	Om006G259200	XP_009101681.1, XP_033137035.1
OG0000971	Om001G007710	XP_009134750.2, XP_009102101.1, XP_033146837.1
OG0000972	Om007G294350	XP_033136548.1, XP_033129761.1, XP_018512095.1
OG0000972	Om002G048190	XP_033142910.1, XP_033134240.1, XP_033147700.1
OG0000973	Om002G048680	XP_009124937.1, XP_009129652.1, XP_009134877.1
OG0000974	Om007G317210, Om008G337260	XP_009141579.2
OG0000975	Om005G201730	XP_009110260.1, XP_009149461.1, XP_009149463.2
OG0000976	Om005G195460, Om005G195450	XP_009117862.1, XP_009117863.1
OG0000977	Om006G266330	XP_009149942.1
OG0000978	Om003G089620	XP_009127608.2, XP_018509501.1
OG0000978	Om008G332310, Om008G332280	XP_033128494.1
OG0000979	Om003G111780, Om003G100970	XP_033133731.1
OG0000979	Om003G100980	XP_009135963.1, XP_033143278.1
OG0000982	Om001G012000, Om004G152870, Om006G262350, Om001G003310, Om008G344900, Om003G111900, Om001G020310, Om003G109370, Om007G297450, Om008G348940, Om005G223480, Om001G018790	XP_033134797.1
OG0000983	Om006G243470, Om003G120200, Om006G243520, Om006G243580	XP_018511022.2, XP_033141978.1, XP_009121341.1
OG0000987	Om002G075170	XP_033128724.1, XP_033132309.1, XP_033131855.1, XP_033131905.1, XP_033131913.1, XP_033131914.1, XP_033131906.1, XP_033131907.1, XP_033130963.1, XP_033148553.1, XP_033131785.1, XP_033147988.1, XP_033147986.1
OG0000988	Om004G171150	XP_009122178.1
OG0000989	Om003G113210	XP_009132553.1, XP_009127254.1
OG0000989	Om008G332220	XP_009114054.1
OG0000991	Om001G011990	XP_033133849.1, XP_009123741.1
OG0000992	Om004G155780	XP_033137141.1, XP_033145418.1
OG0000992	Om001G040490	XP_009114168.1
OG0000993	Om002G075390	XP_009136123.2, XP_033131075.1
OG0000993	Om002G050290	XP_009151634.1
OG0000994	Om007G281890	XP_009144324.2
OG0000994	Om007G281910, Om007G281900, Om007G281920	XP_009132715.2, XP_009144325.3
OG0000995	Om007G280340	XP_009132793.1, XP_018514214.1
OG0000996	Om005G184170	XP_009119040.1, XP_009118488.1
OG0000997	Om002G045840	XP_009110581.2, XP_033128937.1, XP_009117998.2
OG0000998	Om008G331510	XP_009143296.1, NP_001288961.1, XP_009141827.1
OG0000998	Om006G251870	NP_001288942.1, XP_009139160.1
OG0001000	Om007G300700, Om007G300710, Om007G300750	XP_009131425.1, XP_009121628.1
OG0001000	Om004G131560, Om002G083060	XP_009136339.1, XP_009121194.1
OG0001001	Om006G240650	XP_009151113.1, XP_009129937.1, XP_033140417.1
OG0001002	Om002G057480	XP_009146528.1, XP_009147492.1, XP_033148487.1
OG0001003	Om002G061360	XP_009146207.1, XP_009115289.1
OG0001003	Om003G094290	XP_009144827.1
OG0001004	Om008G330570, Om008G330550	XP_009141871.1, XP_009144094.2
OG0001008	Om001G024130, Om001G024080, Om001G024040	XP_009128910.1, XP_033144108.1, XP_009109045.1
OG0001008	Om001G024050	XP_009109046.1, XP_009137842.1
OG0001009	Om001G024750, Om001G024770	XP_009128542.1, XP_009109027.1
OG0001009	Om001G024740	XP_009128553.1
OG0001010	Om007G292680	XP_009108006.1, XP_009145222.1, XP_009114942.1
OG0001010	Om008G338500	XP_033147602.1, XP_009141499.1
OG0001011	Om007G277180, Om007G277230, Om007G277190, Om007G277170	XP_009114918.1, XP_009145209.1
OG0001012	Om005G217930, Om011G365520	XP_009113355.1, XP_009122967.1
OG0001012	Om005G187750	XP_009148259.1, XP_009110817.1
