Orthogroup	Eutrema_salsugineum	Odontarrhena_muralis
OG0003508	XP_006409273.1	Om002G084300
OG0003509	XP_006412015.1	Om001G035990
OG0003510	XP_006404810.1	Om003G116770
OG0003510	XP_006411908.1	Om001G037930
OG0003511	XP_006405814.1	Om001G027950
OG0003512	XP_006403320.1	Om008G341560
OG0003513	XP_006396621.1	Om002G074850, Om008G355200
OG0003515	XP_006414262.1	Om005G212720, Om005G212670, Om007G302820
OG0003517	XP_024004575.1, XP_006415005.1, XP_024005027.1	Om003G105180
OG0003519	XP_024005359.1	Om003G103990, Om007G303340
OG0003522	XP_006403199.1, XP_006397690.1	Om008G322600
OG0003523	XP_006402809.1	Om003G121530
OG0003524	XP_006404223.1, XP_006394261.1	Om006G234080
OG0003525	XP_006399529.1	Om004G165620
OG0003525	XP_006394054.1	Om006G231980
OG0003526	XP_024013777.1	Om006G260080
OG0003527	XP_006393908.1	Om002G062740
OG0003528	XP_006410143.1	Om007G281820
OG0003529	XP_024011190.1	Om003G116650
OG0003530	XP_006400128.1	Om007G299010
OG0003531	XP_024012127.1	Om007G294730
OG0003532	XP_006407888.1	Om002G049650
OG0003533	XP_006392022.2	Om008G331950
OG0003534	XP_006403508.1	Om006G252550
OG0003535	XP_006414712.1	Om008G336980
OG0003536	XP_024008519.1	Om005G198140
OG0003536	XP_024008059.1	Om004G133110, Om004G133080
OG0003537	XP_006390541.1	Om004G140970
OG0003537	XP_006416626.1	Om005G199800
OG0003538	XP_006416549.1	Om005G200830
OG0003539	XP_006390718.2	Om004G143220
OG0003540	XP_006416116.1	Om004G143430
OG0003540	XP_006390847.1	Om005G207220
OG0003541	XP_006390895.1	Om005G207830
OG0003542	XP_006391180.1	Om005G211430, Om005G188760
OG0003544	XP_024015879.1	Om008G332550
OG0003545	XP_006405042.1, XP_024004426.1	Om004G154630
OG0003546	XP_006410328.2	Om007G279910
OG0003547	XP_006400266.1, XP_006400267.1	Om007G297200
OG0003549	XP_006407923.1, XP_006395061.1	Om002G049290
OG0003550	XP_006407860.1	Om002G049910, Om002G049900
OG0003551	XP_006394721.1	Om006G239340
OG0003552	XP_006404310.2	Om006G263550
OG0003553	XP_006394326.2	Om006G234740
OG0003554	XP_006404007.1	Om006G258300
OG0003554	XP_006404008.1	Om006G258310
OG0003555	XP_006404228.1	Om006G261680
OG0003556	XP_006416142.1	Om005G205540
OG0003557	XP_006396140.1	Om001G032370
OG0003558	XP_006389940.1	Om004G132420, Om005G197730
OG0003559	XP_006389882.1	Om004G131680
OG0003560	XP_024006286.1	Om003G092350, Om003G092380
OG0003561	XP_006407039.1	Om002G059950, Om002G059930, Om002G059940
OG0003562	XP_006406802.1	Om002G063240, Om002G063230
OG0003563	XP_024015617.1	Om002G066100
OG0003564	XP_006406285.1	Om003G095480
OG0003565	XP_006418852.1	Om002G072730
OG0003567	XP_006409123.1	Om002G086060
OG0003568	XP_006405305.1	Om007G289470
OG0003569	XP_024005975.1	Om003G089520
OG0003570	XP_024016669.1	Om006G258050, Om006G258060
OG0003572	XP_006414662.1, XP_006414664.1	Om003G102520
OG0003574	XP_006400317.1	Om007G296550
OG0003583	XP_024005880.1, XP_024008747.1, XP_024004359.1	Om001G030410
OG0003584	XP_006412837.1	Om001G024470, Om001G024480
OG0003585	XP_006403436.1	Om006G251650
OG0003586	XP_006412702.1, XP_006404883.1	Om001G026260
OG0003587	XP_024007040.1, XP_006405254.2	Om003G116620, Om001G014890, Om005G206400
OG0003588	XP_006398893.1	Om003G105560, Om003G105540, Om004G173010
OG0003588	XP_006398892.1	Om004G173020
OG0003589	XP_006412261.1	Om001G032230
OG0003590	XP_006409330.1	Om002G083820
OG0003592	XP_006392054.1	Om005G222170
OG0003595	XP_006395360.1	Om006G270500
OG0003596	XP_006405699.2	Om007G315110
OG0003597	XP_024008488.1	Om005G192210
OG0003598	XP_006407707.2	Om002G051510
OG0003599	XP_006407494.1	Om002G054110
OG0003600	XP_006406982.1	Om002G060630
OG0003600	XP_024011007.1	Om002G054900
OG0003601	XP_006405892.1	Om007G312910, Om007G307700
OG0003601	XP_006405903.2, XP_024014505.1	Om007G318330
OG0003602	XP_024010574.1	Om006G266700, Om005G219660, Om002G080290, Om008G351400, Om008G352590, Om005G195480, Om003G103440
OG0003603	XP_006413017.1	Om001G021650
OG0003604	XP_006413065.2	Om001G020730
OG0003605	XP_024013287.1, XP_006402396.1	Om003G127860
OG0003607	XP_024012332.1	Om004G163040
OG0003608	XP_024012576.1, XP_006417761.1	Om005G185670
OG0003609	XP_006399516.1	Om004G165790
OG0003610	XP_006399460.1	Om006G232760
OG0003611	XP_024004616.1	Om001G002140
OG0003612	XP_006414102.2	Om001G002320
OG0003613	XP_006394891.1	Om007G294430
OG0003614	XP_006415706.1	Om007G317030
OG0003615	XP_024009046.1, XP_024016736.1	Om007G289150
OG0003616	XP_006412060.1, XP_024004395.1, XP_006409259.1	Om001G035230
OG0003617	XP_006397146.1	Om008G345980
OG0003618	XP_006403710.1, XP_024011049.1	Om003G100680, Om006G254910
OG0003619	XP_006407505.1	Om002G053910, Om002G053930, Om002G053920
OG0003621	XP_006398096.1, XP_006398101.1	Om008G356730
OG0003624	XP_024011028.1	Om008G362570
OG0003625	XP_006397930.1	Om001G033190, Om008G319540
OG0003626	XP_006402393.1	Om003G127890
OG0003627	XP_006397758.1	Om008G321620, Om008G321610
OG0003628	XP_006402617.2, XP_006397633.1	Om003G124690
OG0003629	XP_006397613.1	Om008G323580
OG0003630	XP_006397568.1	Om008G324260
OG0003631	XP_006400657.1	Om006G242710
OG0003632	XP_006416992.1	Om005G195050
OG0003633	XP_006404015.1	Om006G229960
OG0003634	XP_006404013.1	Om006G258330
OG0003634	XP_006393869.1	Om006G229930
OG0003635	XP_006403924.1	Om006G257360
OG0003636	XP_006396275.1	Om004G157990
OG0003637	XP_024008853.1, XP_024010002.1	Om004G159900
OG0003638	XP_024008784.1, XP_024010518.1	Om004G160360
OG0003639	XP_024005802.1, XP_006408846.1	Om001G030260
OG0003640	XP_006408524.1	Om002G042580
OG0003642	XP_006394941.1	Om007G293950
OG0003643	XP_006411211.1	Om008G331030
OG0003644	XP_006392781.1, XP_024012421.1	Om004G129730
OG0003645	XP_006416799.1	Om005G197560
OG0003646	XP_006390493.1	Om005G200080
OG0003647	XP_006416524.1	Om005G201190
OG0003649	XP_024009275.1	Om005G211930
OG0003650	XP_006402793.1	Om003G121960
OG0003651	XP_006417149.1	Om005G192850
OG0003652	XP_006417937.1	Om005G183760
OG0003652	XP_024008094.1	Om005G183770
OG0003653	XP_006417998.2	Om005G219580, Om005G183070
OG0003654	XP_006418000.1	Om005G183040
OG0003655	XP_006400232.1	Om007G297620
OG0003655	XP_006408351.1	Om002G044460
OG0003656	XP_006400265.1	Om006G255510, Om006G255500
OG0003657	XP_006407313.1	Om002G056410
OG0003658	XP_006398925.1	Om004G172620
OG0003659	XP_006394483.1	Om006G236430
OG0003660	XP_006401077.1	Om006G247730
OG0003662	XP_006418866.1	Om006G266960
OG0003663	XP_006390989.1	Om005G209120
OG0003665	XP_006390674.2	Om002G069060, Om004G142710
OG0003666	XP_006389799.1	Om004G130480, Om008G331540
OG0003667	XP_006407263.1	Om002G057060
OG0003668	XP_006407193.1	Om002G057900, Om003G090650, Om003G093610
OG0003669	XP_024006220.1	Om003G091010
OG0003670	XP_006407122.1	Om002G058860, Om002G058850
OG0003671	XP_006406985.1	Om002G060590
OG0003672	XP_006414374.1	Om003G100190
OG0003674	XP_024009710.1, XP_006395200.1	Om002G075460
OG0003675	XP_006401345.1	Om003G118740
OG0003676	XP_006407879.1, XP_024005373.1	Om001G031360
OG0003677	XP_006392860.1, XP_006406957.1	Om003G093880
OG0003678	XP_006406362.1	Om001G004200, Om002G068540
OG0003679	XP_006410752.1, XP_006403816.1	Om006G256160
OG0003680	XP_024013440.1, XP_024013452.1	Om006G256000, Om006G255990
OG0003681	XP_006403664.1	Om006G254350
OG0003681	XP_006410939.1	Om008G335440
OG0003682	XP_024012838.1	Om006G250850
OG0003683	XP_006402271.1	Om003G129290
OG0003685	XP_024013539.1	Om006G253190, Om006G253180
OG0003695	XP_006412965.1	Om001G022540
OG0003697	XP_006412263.1	Om001G032180
OG0003698	XP_006412173.1	Om001G033480
OG0003699	XP_024008231.1	Om008G331900
OG0003700	XP_006414338.1	Om007G275810
OG0003701	XP_006395822.1, XP_024016052.1	Om001G008520
OG0003702	XP_006395539.1, XP_006401849.1	Om006G272200
OG0003703	XP_006391425.1	Om005G213820
OG0003704	XP_024015398.1	Om005G224960
OG0003704	XP_024004564.1	Om005G224950
OG0003705	XP_006411356.1	Om008G328960
OG0003707	XP_006402168.1	Om003G110270
OG0003709	XP_006401297.1	Om006G250330, Om001G006650
OG0003710	XP_006399823.1	Om004G161520
OG0003712	XP_006398083.1	Om008G356470
OG0003712	XP_006413885.1	Om001G005800
OG0003713	XP_006403109.1	Om008G355870
OG0003714	XP_006413664.1	Om001G009000, Om008G335490
OG0003715	XP_006396905.1	Om008G351530
OG0003716	XP_006402968.1	Om003G119580, Om007G306940
OG0003717	XP_006396224.1	Om004G157330, Om004G157980, Om004G157960
OG0003718	XP_024006124.1	Om003G127810, Om003G095320
OG0003718	XP_006409027.1	Om005G188660
OG0003719	XP_006398747.1	Om004G175030, Om004G175100
OG0003720	XP_006398673.1	Om004G176050
OG0003721	XP_006396918.1	Om008G351440
OG0003722	XP_006414958.1	Om002G074490
OG0003724	XP_006414478.1	Om003G101320
OG0003725	XP_006395370.1	Om007G316490
OG0003726	XP_024004903.1, XP_024010862.1	Om008G319450
OG0003727	XP_006397802.2	Om008G321160
OG0003728	XP_006397566.2	Om008G324280
OG0003728	XP_024010894.1	Om008G324270
OG0003729	XP_024008776.1, XP_006397564.1	Om008G324290
OG0003730	XP_006402818.1	Om003G121310
OG0003731	XP_006398767.1, XP_006408279.1	Om004G174640
OG0003732	XP_024011894.1, XP_024009959.1	Om006G246120, Om006G246070
OG0003733	XP_006403204.1	Om007G277770, Om005G181270
OG0003734	XP_006403223.1	Om007G277900
OG0003735	XP_024013339.1	Om007G278170
OG0003736	XP_006410406.1	Om007G278990
OG0003737	XP_024003871.1	Om007G278720
OG0003738	XP_006410300.2	Om007G280190, Om005G183150
OG0003740	XP_006417928.1	Om005G183860
OG0003741	XP_006409749.1	Om007G284440
OG0003742	XP_006417291.1	Om007G285320
OG0003744	XP_006405358.1	Om001G039780
OG0003745	XP_006408006.1	Om002G048310
OG0003746	XP_006407972.1, XP_006400453.1	Om002G048700
OG0003747	XP_006407855.1, XP_024006687.1	Om002G049950
OG0003748	XP_006407795.1	Om002G050620
OG0003750	XP_006403443.1	Om006G250920, Om006G251680
OG0003751	XP_024008162.1	Om005G178950
OG0003752	XP_006416717.1, XP_024008255.1	Om005G198470, Om005G198460
OG0003753	XP_006416236.1	Om005G204490
OG0003754	XP_006416018.1	Om004G144780
OG0003754	XP_006390927.1	Om005G208310
OG0003755	XP_006415951.1, XP_024009934.1	Om004G145570
OG0003756	XP_006413442.1, XP_006413443.2	Om002G070660
OG0003758	XP_006404696.1	Om004G153800, Om001G039530
OG0003760	XP_006417563.1	Om005G187720
OG0003761	XP_024008772.1	Om005G182580
OG0003762	XP_006409000.1	Om005G203500
OG0003763	XP_006418165.1	Om005G181160
OG0003764	XP_006396313.1	Om004G158370
OG0003765	XP_006400113.1, XP_024006891.1	Om007G299180
OG0003766	XP_006400131.2	Om007G298970
OG0003767	XP_006394608.1	Om006G237940, Om005G192900
OG0003768	XP_024014285.1, XP_006394332.1	Om006G234830
OG0003769	XP_024014644.1, XP_006401107.1	Om006G247910
OG0003771	XP_006401058.1	Om006G247480
OG0003772	XP_006412311.1, XP_006419126.1	Om001G031540
OG0003773	XP_006391039.1	Om005G209670
OG0003774	XP_006391005.2	Om005G209300
OG0003775	XP_024005851.1	Om004G133130, Om004G133160, Om004G133190, Om004G133250, Om004G133170, Om004G133180
OG0003776	XP_006389954.1	Om004G132640
OG0003777	XP_006389934.1	Om004G132320, Om004G132300, Om004G132330
OG0003778	XP_006406453.1	Om002G067240
OG0003779	XP_006406379.1	Om002G068230
OG0003779	XP_006406380.1	Om002G068220
OG0003781	XP_006418806.1	Om002G073190
OG0003782	XP_006396166.1	Om002G076450
OG0003783	XP_006396131.1	Om002G077600
OG0003784	XP_006392613.1	Om003G090110
OG0003785	XP_006392637.1	Om003G090450
OG0003786	XP_006392998.1	Om003G095490
OG0003787	XP_006393216.2	Om003G097840
OG0003788	XP_006403624.2	Om006G253810
OG0003789	XP_006403504.1	Om006G252520
OG0003790	XP_024012938.1	Om006G250570, Om006G250580, Om006G250600
OG0003792	XP_006402922.1, XP_024013000.1	Om003G120000
OG0003794	XP_006392847.1, XP_024013165.1, XP_024013602.1, XP_024013166.1	Om003G093740, Om003G093720
OG0003796	XP_024013374.1	Om008G352060, Om004G148810, Om004G148650, Om003G103920
OG0003797	XP_024008021.1	Om003G094540, Om004G144810
OG0003798	XP_024008146.1, XP_006416402.1	Om005G202530
OG0003799	XP_006391101.1	Om005G210420
OG0003802	XP_006399200.2	Om004G169260
OG0003803	XP_006413952.1	Om003G103280, Om001G004370
OG0003804	XP_006409842.1	Om007G283870, Om007G283880
OG0003805	XP_024012121.1	Om007G297940
OG0003806	XP_006400759.1	Om006G243970
OG0003807	XP_006394556.1	Om007G280460, Om006G268090, Om006G237350
OG0003823	XP_006412980.1	Om001G022270
OG0003824	XP_006412578.1	Om001G028040
OG0003827	XP_006412203.1	Om001G032990
OG0003828	XP_006415352.2	Om007G291980, Om007G291990
OG0003829	XP_024016660.1, XP_024009205.1	Om007G292290
OG0003831	XP_006417512.1	Om005G188410
OG0003832	XP_006398538.2	Om006G275360
OG0003833	XP_006410098.2	Om007G281620
OG0003834	XP_006391610.1	Om005G228640
OG0003835	XP_006391803.1	Om005G225410
OG0003836	XP_006398678.1	Om004G175790
OG0003837	XP_006399443.1, XP_006399444.1, XP_006399445.1	Om004G166530, Om004G166580, Om004G166550, Om004G166520
OG0003839	XP_024011846.1	Om003G115980
OG0003840	XP_006401441.1	Om003G117580
OG0003842	XP_006399780.1	Om004G162040, Om004G162050
OG0003843	XP_006394829.1	Om006G240540
OG0003844	XP_006398308.1	Om008G359700
OG0003844	XP_006414121.1	Om001G002000
OG0003845	XP_024004103.1	Om007G281020
OG0003846	XP_006413528.1	Om001G010930
OG0003847	XP_006413527.1	Om001G010940
OG0003848	XP_006415065.1	Om001G012440
OG0003849	XP_024008581.1	Om001G012630
OG0003850	XP_006393614.1	Om002G087150, Om007G287870, Om007G287880
OG0003851	XP_006415541.1	Om007G290300
OG0003852	XP_006412048.1	Om001G035450
OG0003853	XP_006411875.1	Om001G038330
OG0003854	XP_006405837.1	Om007G314290
OG0003855	XP_024010517.1, XP_006393712.2	Om001G015170
OG0003857	XP_006419064.1	Om004G137470
OG0003857	XP_024014685.1	Om003G098400
OG0003858	XP_006409314.1, XP_006391231.1	Om008G342960
OG0003859	XP_006396874.1	Om008G351760
OG0003860	XP_024008755.1	Om008G322930
OG0003862	XP_024010946.1, XP_024005492.1	Om008G359680
OG0003863	XP_024010990.1	Om008G362810
OG0003864	XP_006402343.1	Om003G128480
OG0003865	XP_006397194.1	Om008G320580
OG0003866	XP_024007891.1	Om008G322290, Om003G095280
OG0003867	XP_006404962.1	Om004G176580, Om001G028170
OG0003868	XP_006400821.1	Om006G244640
OG0003869	XP_006400842.1	Om006G244870
OG0003870	XP_006400852.1	Om006G244990, Om006G245000
OG0003871	XP_024011920.1	Om006G245420
OG0003872	XP_006396261.1	Om004G157760
OG0003873	XP_024010057.1, XP_006392185.1	Om004G158810, Om002G046340
OG0003874	XP_006396487.1	Om004G160250
OG0003875	XP_006418169.1, XP_006403157.1	Om005G181120
OG0003876	XP_024004216.1	Om007G280290
OG0003878	XP_006407957.1	Om002G048880
OG0003879	XP_024015613.1	Om002G049990
OG0003880	XP_006405934.2, XP_024014675.1	Om001G030540
OG0003881	XP_006389844.1	Om004G131240
OG0003881	XP_006416854.1	Om005G196920
OG0003882	XP_006416623.1	Om005G199830
OG0003883	XP_024008711.1, XP_006416647.2	Om006G262990, Om005G187490
OG0003884	XP_006415952.1	Om004G145530
OG0003885	XP_006413368.1	Om007G285810
OG0003887	XP_006416964.1	Om005G195380
OG0003889	XP_006417632.1	Om005G186930
OG0003890	XP_024016819.1, XP_024016680.1	Om007G280510
OG0003890	XP_006417966.1	Om005G183430
OG0003891	XP_006400109.1	Om007G299240
OG0003893	XP_006408229.1	Om002G045740
OG0003893	XP_024012306.1	Om007G296020
OG0003894	XP_024007203.1	Om007G293660
OG0003895	XP_006412002.1	Om001G005780
OG0003896	XP_024007009.1	Om007G303660
OG0003897	XP_006399059.1	Om004G170910
OG0003897	XP_006407453.1	Om002G054750
OG0003898	XP_006398959.1	Om004G172190
OG0003899	XP_006394822.1, XP_006394821.1	Om006G240470, Om006G240460
OG0003900	XP_006404117.1	Om006G260110
OG0003901	XP_006404332.1	Om006G263830
OG0003901	XP_006394376.1	Om006G235320
OG0003902	XP_006404417.1	Om006G266310
OG0003902	XP_006401030.1	Om006G247170
OG0003903	XP_006391122.1	Om005G210670
OG0003903	XP_006411760.1	Om001G039980
OG0003904	XP_006390184.1	Om004G135930
OG0003905	XP_006390198.1	Om004G136070
OG0003906	XP_006416079.1	Om004G143830
OG0003907	XP_024010935.1	Om004G136770, Om004G136780
OG0003908	XP_006389944.1	Om004G132450
OG0003910	XP_006407109.1, XP_006407111.1, XP_006407110.1	Om002G058980
OG0003912	XP_006406991.1	Om002G060530
OG0003912	XP_006392825.1	Om003G093470, Om003G093480
OG0003913	XP_006406925.2	Om002G061380
OG0003914	XP_024015139.1	Om002G061910
OG0003915	XP_024015374.1	Om002G066270, Om002G066260, Om002G066290
OG0003916	XP_006406464.1	Om002G067180
OG0003917	XP_006406410.1	Om002G067890
OG0003918	XP_006406366.1	Om005G220450, Om002G068440, Om002G068420
OG0003919	XP_006406238.1	Om002G069860
OG0003920	XP_006406123.1	Om002G071180
OG0003921	XP_024016158.1	Om002G087040
OG0003922	XP_006392789.1	Om003G092850
OG0003923	XP_006393503.1	Om003G100070
OG0003924	XP_006403880.1	Om006G256830
OG0003925	XP_006415630.1	Om006G252230, Om006G252210
OG0003926	XP_006402514.1	Om003G126100
OG0003928	XP_006408223.1	Om003G096620, Om003G106800, Om006G251040
OG0003931	XP_024014754.1	Om002G085250
OG0003933	XP_006395278.2	Om002G067490
OG0003935	XP_024012265.1	Om004G169180
OG0003936	XP_006413306.1	Om007G286380
OG0003948	XP_006412782.1	Om004G154260, Om001G025260
OG0003949	XP_006401419.1	Om001G026530
OG0003950	XP_006415259.1	Om007G277270
OG0003951	XP_006414360.1	Om007G275620
OG0003952	XP_024010137.1	Om006G231350
OG0003953	XP_006392071.1	Om005G221940
OG0003955	XP_006395749.1	Om006G274350
OG0003956	XP_006395439.1	Om003G100100
OG0003957	XP_006405475.1	Om007G317120, Om007G317190
OG0003958	XP_006405864.1	Om007G314060
OG0003958	XP_006391353.1	Om005G213960
OG0003959	XP_024003898.1	Om008G329220
OG0003960	XP_006407541.1	Om004G172710
OG0003961	XP_006407488.1	Om002G054220
OG0003963	XP_006397009.1	Om008G350090
OG0003965	XP_006402057.1	Om003G111660
OG0003966	XP_006413005.1	Om001G021840
OG0003967	XP_006399737.1, XP_006407374.1	Om004G162540
OG0003968	XP_006394834.1	Om006G240570
OG0003968	XP_006399671.2	Om004G163460
OG0003969	XP_024011169.1	Om004G163730
OG0003970	XP_006394748.1	Om006G239660
OG0003971	XP_024012007.1	Om004G167340
OG0003972	XP_006399246.1	Om004G168510
OG0003973	XP_006398414.1	Om008G362150
OG0003974	XP_006403783.1	Om006G255710
OG0003974	XP_006414085.1	Om001G002590
OG0003975	XP_024004341.1	Om001G006420, Om008G357460
OG0003976	XP_024005724.1	Om008G346030, Om001G009870
OG0003977	XP_006403724.1	Om005G221960, Om011G366040, Om005G218550, Om006G255100
OG0003979	XP_006415267.1, XP_006415266.1	Om007G277340, Om007G279740
OG0003980	XP_006411989.1	Om001G036340
OG0003981	XP_006411978.1	Om001G036540
OG0003982	XP_006411882.1	Om001G038230
OG0003983	XP_006404705.1	Om004G153920
OG0003983	XP_006411816.1	Om001G039300
OG0003984	XP_006397084.1	Om008G347510, Om008G347470
OG0003985	XP_024009821.1	Om008G354310
OG0003986	XP_024010965.1	Om008G358610
OG0003986	XP_006398245.2	Om008G358600
OG0003987	XP_006418639.1	Om004G132750
OG0003988	XP_006414714.1	Om003G102760
OG0003988	XP_006406057.1	Om002G071960
OG0003989	XP_006414479.1	Om003G101330
OG0003990	XP_024012937.1, XP_006405394.1	Om007G317920, Om008G324650
OG0003991	XP_006402399.1	Om003G127840
OG0003991	XP_024010735.1	Om008G320040
OG0003992	XP_006397878.1	Om008G320240
OG0003993	XP_006402488.1	Om005G208760, Om003G126410
OG0003994	XP_024012155.1	Om005G208950
OG0003995	XP_024010685.1	Om008G324010
OG0003996	XP_024010786.1	Om008G324570, Om008G324520
OG0003997	XP_024015410.1	Om002G051300, Om004G176880
OG0003998	XP_024011415.1	Om004G176010
OG0003999	XP_006407577.1	Om002G053210
OG0004000	XP_006400858.1	Om006G245080
OG0004001	XP_006400967.1	Om006G246270
OG0004003	XP_006409767.1	Om007G284600
OG0004004	XP_006396295.1	Om004G158200
OG0004005	XP_006410190.2	Om007G281130
OG0004006	XP_006409758.1	Om007G284560
OG0004007	XP_006408161.1	Om002G046530, Om008G340610
OG0004008	XP_006408116.1	Om002G047020
OG0004009	XP_006393474.1	Om003G099810
OG0004010	XP_006407784.2	Om002G050680
OG0004012	XP_006411238.1	Om008G331270
OG0004013	XP_006403417.2	Om006G251410
OG0004014	XP_024006196.1	Om001G005190, Om002G082800
OG0004015	XP_006411145.1	Om008G332330
OG0004016	XP_006411169.1	Om008G331980
OG0004017	XP_024003922.1	Om008G335840
OG0004018	XP_024004152.1	Om008G335720
OG0004018	XP_024012132.1	Om004G166200
OG0004019	XP_006411081.1	Om008G333370, Om008G333360
OG0004021	XP_006411063.1	Om008G333660
OG0004022	XP_006405049.1, XP_006403321.1	Om008G344800, Om003G095430
OG0004024	XP_006416821.1	Om005G197300
OG0004025	XP_006416110.1	Om004G143610
OG0004026	XP_006402109.2	Om003G111400
OG0004027	XP_024005170.1, XP_006401977.2	Om007G286130
OG0004028	XP_006413294.1	Om007G286590
OG0004029	XP_006401680.1	Om003G115240
OG0004030	XP_006404978.1	Om004G153400, Om018G374060
OG0004031	XP_006410753.1	Om008G338060
OG0004032	XP_006404537.1	Om004G156620
OG0004032	XP_006411646.1	Om001G041530
OG0004033	XP_006417258.1, XP_024005062.1	Om005G191550
OG0004034	XP_024006866.1	Om008G346800, Om003G095140, Om003G095160, Om003G095150, Om001G033170
OG0004035	XP_006417763.1	Om005G185650, Om005G185490
OG0004036	XP_024006896.1, XP_006393089.2	Om003G116930
OG0004037	XP_006418286.1	Om005G179730
OG0004038	XP_006400130.1	Om007G298990
OG0004039	XP_006394892.1	Om007G294420
OG0004040	XP_006394977.2	Om007G293540
OG0004041	XP_024007200.1	Om006G236970
OG0004043	XP_006395084.1	Om003G091190, Om007G304020
OG0004044	XP_006398979.1	Om004G171950
OG0004045	XP_006394743.1	Om006G239570
OG0004047	XP_024007513.1	Om006G238150
OG0004049	XP_006394493.2	Om006G236550
OG0004050	XP_006400792.1	Om006G244300
OG0004052	XP_006390789.1	Om005G206550, Om005G206530
OG0004053	XP_006390005.1	Om004G133490
OG0004054	XP_024015725.1	Om002G056740, Om001G010740
OG0004055	XP_006407177.1	Om002G058070
OG0004056	XP_024005386.1	Om003G100870
OG0004057	XP_006406764.1	Om002G063660
OG0004058	XP_006406763.1	Om002G063670
OG0004059	XP_006406668.1	Om002G064730
OG0004060	XP_006406648.1	Om002G064900
OG0004061	XP_006406637.2	Om002G065100
OG0004061	XP_006393368.2	Om003G099240
OG0004062	XP_006406598.1	Om006G252810, Om002G065520
OG0004063	XP_006406577.1	Om002G065750, Om005G219130, Om005G219140
OG0004064	XP_006406385.1	Om002G068130
OG0004065	XP_024015026.1, XP_024008676.1	Om002G069040
OG0004066	XP_006406183.1	Om002G070600
OG0004066	XP_006400544.1	Om006G241460
OG0004067	XP_006418756.1	Om002G073830, Om002G059230
OG0004068	XP_006393120.1, XP_024016466.1	Om002G081650, Om003G098470, Om003G098810
OG0004069	XP_006393268.1	Om003G098410
OG0004070	XP_006407025.1	Om002G060140
OG0004071	XP_006402933.1	Om003G119870
OG0004072	XP_024003910.1	Om003G120890
OG0004073	XP_006402703.1	Om003G123500
OG0004074	XP_024014753.1, XP_006405369.1	Om007G299680, Om007G318100
OG0004076	XP_006398084.1	Om001G031880, Om001G005620
OG0004077	XP_006404819.2	Om008G335180, Om008G335190, Om008G333480, Om008G333530, Om004G144030, Om006G274270, Om008G333500
OG0004079	XP_024006068.1	Om001G038990
OG0004080	XP_024006884.1	Om004G167870, Om004G140490, Om002G074900, Om002G074830, Om002G074800, Om001G000820
OG0004081	XP_006407549.1, XP_006407546.1	Om002G053500
OG0004082	XP_006396369.1	Om004G158950
OG0004084	XP_006395628.1	Om006G273030
OG0004087	XP_006410342.1	Om007G279750
OG0004091	XP_006412705.1	Om001G026230
OG0004092	XP_006412693.1	Om001G026340, Om001G026350
OG0004093	XP_006412649.1	Om001G026970
OG0004095	XP_006412303.1	Om003G117830, Om001G031690
OG0004096	XP_006412239.2	Om001G032550
OG0004097	XP_006392346.1	Om011G365160, Om020G374450
OG0004098	XP_006417495.1	Om005G188590
OG0004099	XP_006398518.1	Om006G275390
OG0004101	XP_006401451.1	Om003G117490
OG0004102	XP_006405288.1	Om007G318500
OG0004103	XP_006407405.1	Om002G055450
OG0004105	XP_006401585.1	Om003G115990
OG0004106	XP_006401539.1	Om003G116440
OG0004108	XP_006401361.1	Om003G118500
OG0004109	XP_006399627.1	Om004G164070
OG0004109	XP_006394793.1	Om006G240150
OG0004110	XP_006399459.1	Om004G166390
OG0004112	XP_006399245.1	Om004G168520
OG0004112	XP_006394498.1	Om006G236580
OG0004113	XP_006414091.2	Om001G002530, Om001G002520
OG0004114	XP_006414088.1	Om001G002570
OG0004115	XP_006414060.1	Om001G002840
OG0004116	XP_006413847.1	Om001G006380
OG0004117	XP_006413805.1	Om001G006940
OG0004118	XP_006413743.1	Om001G007820
OG0004120	XP_024010066.1, XP_006413821.1	Om001G006790
OG0004121	XP_006393747.1	Om001G015500
OG0004122	XP_006393773.1	Om001G015840
OG0004123	XP_006415610.1	Om007G289380
OG0004125	XP_006411974.1	Om001G036610
OG0004126	XP_006410866.1	Om008G336460
OG0004127	XP_006404769.1, XP_006411868.2	Om001G038370
OG0004129	XP_024007892.1	Om005G185450
OG0004130	XP_006405602.2	Om007G315740
OG0004132	XP_006410510.1	Om001G016770, Om008G340920
OG0004133	XP_006403324.1	Om008G341790
OG0004134	XP_006393518.1	Om007G286920
OG0004135	XP_024009963.1	Om008G350640
OG0004136	XP_006396803.1	Om008G352240
OG0004137	XP_006398409.1	Om008G362030
OG0004138	XP_006414693.2	Om003G102630
OG0004139	XP_006405384.1	Om007G318020
OG0004140	XP_006397935.1	Om008G319490
OG0004141	XP_006397894.1	Om008G320060
OG0004142	XP_006397599.1	Om008G323870
OG0004142	XP_024010824.1	Om008G323880
OG0004143	XP_006397536.1	Om008G324820
OG0004144	XP_006411566.1	Om008G325970
OG0004145	XP_006411559.1	Om008G326060
OG0004147	XP_006400672.1	Om006G242830
OG0004148	XP_006400714.1	Om006G243400
OG0004149	XP_006400806.1, XP_006400808.1	Om006G244560
OG0004151	XP_006401022.1	Om006G247070
OG0004152	XP_006394199.1	Om004G145680, Om006G233310
