Orthogroup	Eutrema_salsugineum	Aethionema_saxatile
OG0003885	XP_006413368.1	As007G163750
OG0003887	XP_006416964.1	As008G182590
OG0003889	XP_006417632.1	As008G189240
OG0003890	XP_024016819.1, XP_024016680.1, XP_006417966.1	As008G194200
OG0003891	XP_006400109.1	As009G201620
OG0003893	XP_024012306.1	As009G204140
OG0003894	XP_024007203.1	As009G206320
OG0003895	XP_006412002.1	As009G211380, As009G207230, As009G207290, As009G210320
OG0003896	XP_024007009.1	As009G207440
OG0003897	XP_006399059.1, XP_006407453.1	As009G212730
OG0003898	XP_006398959.1	As009G214230
OG0003899	XP_006394822.1, XP_006394821.1	As009G215120
OG0003901	XP_006404332.1	As010G223350
OG0003902	XP_006404417.1, XP_006401030.1	As010G224000
OG0003903	XP_006391122.1	As010G231110
OG0003904	XP_006390184.1	As010G236930
OG0003905	XP_006390198.1	As010G237050
OG0003906	XP_006416079.1	As010G237540
OG0003907	XP_024010935.1	As010G237560, As010G237570
OG0003908	XP_006389944.1	As010G242240
OG0003910	XP_006407109.1, XP_006407111.1, XP_006407110.1	As011G246310
OG0003912	XP_006406991.1	As011G247410
OG0003912	XP_006392825.1	As012G269980
OG0003913	XP_006406925.2	As011G247940
OG0003914	XP_006392940.1	As012G270820
OG0003914	XP_024015139.1	As011G248290
OG0003915	XP_024015374.1	As011G251160
OG0003916	XP_006406464.1	As011G251860
OG0003917	XP_006406410.1	As011G252470
OG0003918	XP_006406366.1	As011G252890
OG0003919	XP_006406238.1	As011G253850
OG0003920	XP_006406123.1	As011G254760
OG0003921	XP_024016158.1	As011G266120
OG0003922	XP_006392789.1	As012G269750
OG0003923	XP_006393503.1	As012G274150
OG0003924	XP_006403880.1	As012G278770
OG0003925	XP_006415630.1	As012G281550
OG0003926	XP_006402514.1	As012G287150
OG0003948	XP_006412782.1	As001G001850
OG0003950	XP_006415259.1	As001G016530
OG0003952	XP_024010137.1	As001G018840
OG0003953	XP_006392071.1	As001G021240
OG0003954	XP_006395816.1	As001G023250
OG0003955	XP_006395749.1	As001G023780
OG0003956	XP_006395439.1	As001G026420
OG0003957	XP_006395425.1	As001G026450
OG0003958	XP_006405864.1	As004G077260
OG0003958	XP_006391353.1	As001G029020
OG0003959	XP_024003898.1	As002G033730
OG0003960	XP_006407541.1	As009G214470, As002G035970
OG0003961	XP_006407488.1	As002G036570
OG0003962	XP_006407449.1	As002G037220
OG0003963	XP_006397009.1	As002G040080
OG0003964	XP_006414015.1	As002G040140
OG0003965	XP_006402057.1	As002G042610
OG0003966	XP_006413005.1	As002G044520
OG0003967	XP_006407374.1	As002G051060
OG0003968	XP_006394834.1, XP_006399671.2	As002G051630
OG0003969	XP_024011169.1	As002G051810
OG0003970	XP_006399572.1, XP_006394748.1	As002G052470
OG0003971	XP_006408891.2	As002G054270
OG0003972	XP_006399246.1	As002G055130
OG0003973	XP_006398414.1	As003G055920, As004G089980
OG0003974	XP_006403783.1, XP_006414085.1	As003G057050
OG0003975	XP_024004341.1	As003G058840
OG0003976	XP_024005724.1	As003G060960
OG0003977	XP_006403724.1	As012G276670, As003G066850
OG0003979	XP_006415267.1, XP_006415266.1	As003G071610, As003G071620, As003G071630
OG0003980	XP_006411989.1	As003G072720
OG0003981	XP_006411978.1	As003G072830
OG0003982	XP_006411882.1	As003G073740
OG0003983	XP_006404705.1, XP_006411816.1	As003G074540
OG0003984	XP_006397084.1	As004G083600
OG0003985	XP_024009821.1	As004G085790
OG0003986	XP_024010965.1	As004G088130
OG0003986	XP_006398245.2	As004G088120
OG0003987	XP_006418639.1	As011G257790
OG0003988	XP_006414714.1, XP_006406057.1	As004G095470
OG0003989	XP_006414479.1	As004G096680
OG0003990	XP_024012937.1, XP_006405394.1	As004G097720
OG0003991	XP_006402399.1, XP_024010735.1	As005G099930
OG0003993	XP_006402488.1	As005G101180, As006G126880
OG0003994	XP_024012155.1	As005G103050, As007G160380
OG0003995	XP_024010685.1	As005G103140
OG0003996	XP_024010786.1	As005G103420
OG0003997	XP_024015410.1	As005G106470
OG0003998	XP_024011415.1	As005G107400
OG0004000	XP_006400858.1	As005G114360
OG0004001	XP_006400967.1	As005G115180
OG0004003	XP_006409767.1	As006G130470, As005G117650
OG0004004	XP_006396295.1	As006G121940
OG0004005	XP_006410190.2	As006G127760
OG0004006	XP_006409758.1	As006G130440
OG0004007	XP_006408161.1	As006G137920
OG0004010	XP_006407784.2	As006G141640, As009G212110
OG0004011	XP_006403033.2	As012G282540
OG0004012	XP_006411238.1	As006G143040
OG0004013	XP_006403417.2, XP_006402880.1, XP_006402879.2, XP_006394010.2	As012G282260, As006G143070
OG0004014	XP_024006196.1	As006G143270
OG0004015	XP_006411145.1	As006G143670
OG0004016	XP_006411169.1	As006G143900
OG0004017	XP_024003922.1	As006G145950
OG0004018	XP_024004152.1	As006G146150
OG0004021	XP_006411063.1	As006G148300
OG0004022	XP_006405049.1, XP_006403321.1	As007G152020, As007G177620
OG0004024	XP_006416821.1	As007G162480, As007G152540
OG0004025	XP_006416110.1	As007G159370
OG0004026	XP_006413374.1, XP_006402109.2	As007G163630
OG0004027	XP_024005170.1, XP_006401977.2	As007G164540
OG0004028	XP_006413294.1	As007G165260
OG0004029	XP_006401680.1	As007G177730
OG0004030	XP_006404978.1	As007G178020
OG0004031	XP_006410753.1	As011G245950, As007G180840, As007G180850
OG0004032	XP_006404537.1, XP_006411646.1	As007G182130
OG0004033	XP_006417258.1, XP_024005062.1	As008G185010
OG0004034	XP_024006866.1	As008G187450
OG0004035	XP_006417763.1	As008G191840
OG0004036	XP_024006896.1, XP_006393089.2	As008G194270
OG0004037	XP_006418286.1	As008G197570
OG0004038	XP_006400130.1	As009G201890, As009G201900
OG0004039	XP_006394892.1	As009G205460
OG0004040	XP_006394977.2	As009G206590
OG0004043	XP_006395084.1	As009G208000
OG0004045	XP_006394743.1	As009G215710
OG0004046	XP_006404213.1	As009G216920
OG0004047	XP_024007513.1	As009G216980
OG0004048	XP_024007374.1	As009G217550
OG0004049	XP_006394493.2	As009G218170
OG0004050	XP_006400792.1	As010G225880
OG0004051	XP_006404481.1	As010G226350
OG0004052	XP_006390789.1	As010G234160
OG0004053	XP_006390005.1	As010G235210
OG0004054	XP_024015725.1	As011G244730
OG0004055	XP_006407177.1	As011G245670
OG0004056	XP_024005386.1	As012G274720, As011G248850
OG0004057	XP_006406764.1	As011G249280
OG0004058	XP_006406763.1	As011G249290
OG0004059	XP_006406668.1	As011G250020
OG0004060	XP_006406648.1	As011G250180
OG0004061	XP_006406637.2, XP_006393368.2	As011G250270
OG0004062	XP_006406598.1	As011G250550, As011G250570, As011G250600, As011G250560
OG0004063	XP_006406577.1	As011G250770
OG0004065	XP_024015026.1, XP_024008676.1	As011G253220
OG0004066	XP_006406183.1, XP_006400544.1	As011G254320
OG0004067	XP_006418756.1	As011G256390
OG0004068	XP_006393120.1, XP_024016466.1	As011G262720
OG0004069	XP_006393268.1	As012G273000
OG0004070	XP_006407025.1	As012G282310
OG0004071	XP_006402933.1	As012G283350
OG0004072	XP_024003910.1	As012G284150
OG0004073	XP_006402703.1	As012G285330
OG0004092	XP_006412693.1	As001G002580
OG0004093	XP_006412649.1	As001G003020
OG0004095	XP_006412303.1	As001G012460
OG0004096	XP_006412239.2	As001G014080
OG0004097	XP_006392346.1, XP_024004322.1	As001G019550
OG0004098	XP_006417495.1	As001G019910, As008G187860
OG0004099	XP_006398518.1	As001G022420
OG0004100	XP_024006860.1	As001G027270
OG0004101	XP_006401451.1	As001G029080
OG0004102	XP_006405288.1	As004G098370
OG0004103	XP_006407405.1	As002G037810, As002G037800, As002G037790
OG0004104	XP_006401870.1	As002G043900
OG0004105	XP_006401585.1	As002G046100
OG0004106	XP_006401539.1	As002G046540, As009G207520
OG0004107	XP_024010891.1	As002G046780
OG0004108	XP_006401361.1	As002G047980
OG0004109	XP_006399627.1, XP_006394793.1	As002G052000
OG0004110	XP_006399459.1	As002G053550
OG0004112	XP_006399245.1	As002G055140
OG0004112	XP_006394498.1	As009G218120
OG0004113	XP_006414091.2	As004G088410, As003G057000
OG0004114	XP_006414088.1	As003G057030, As004G088400
OG0004115	XP_006414060.1	As003G057230
OG0004116	XP_006413847.1	As003G058820
OG0004117	XP_006413805.1	As003G059100
OG0004118	XP_006413743.1	As003G059740
OG0004119	XP_006415067.1	As003G062860
OG0004120	XP_024010066.1, XP_006413821.1	As003G063760
OG0004121	XP_006393747.1	As003G064620
OG0004122	XP_006393773.1	As004G082890, As003G064780
OG0004123	XP_006415610.1	As003G069730
OG0004124	XP_006415422.1	As003G071390
OG0004125	XP_006411974.1	As003G072870
OG0004126	XP_024011304.1, XP_006410866.1	As003G073720
OG0004127	XP_006404769.1, XP_006411868.2	As003G073890
OG0004128	XP_006411647.1	As003G076290
OG0004129	XP_024007892.1	As004G078290
OG0004130	XP_006405602.2, XP_006395314.1	As004G078500
OG0004132	XP_006410510.1	As004G081620
OG0004133	XP_006403324.1	As004G082180
OG0004134	XP_006403380.1, XP_006393518.1	As004G082540
OG0004135	XP_024009963.1	As004G084160
OG0004136	XP_006396803.1	As004G084940
OG0004137	XP_006398409.1	As004G089940
OG0004138	XP_006414693.2	As004G095680
OG0004139	XP_006405384.1	As004G097850
OG0004140	XP_006397935.1	As005G099510
OG0004141	XP_006397894.1	As005G099950, As012G288140
OG0004142	XP_006397599.1	As005G103000
OG0004143	XP_006397536.1	As005G103610
OG0004146	XP_006402771.1	As012G284840
OG0004147	XP_006400672.1	As005G112540
OG0004148	XP_006400714.1	As005G113170
OG0004149	XP_006400806.1, XP_006400808.1	As005G113840
OG0004150	XP_006400879.1	As005G114510, As010G225010
OG0004151	XP_006401022.1	As005G115870
OG0004152	XP_006394199.1	As005G117090
OG0004153	XP_024009906.1	As006G121660
OG0004154	XP_006396316.1, XP_024010512.1	As006G122110
OG0004155	XP_024010491.1	As006G122150
OG0004156	XP_006396445.1	As006G123180
OG0004158	XP_024013263.1	As006G124850
OG0004159	XP_006418150.1	As008G196350
OG0004160	XP_006410333.1	As006G126710
OG0004161	XP_006410318.2	As006G126870
OG0004162	XP_006410153.1	As006G128050
OG0004163	XP_006410100.1	As006G128110
OG0004164	XP_006410137.1	As006G128260
OG0004165	XP_006409958.1, XP_006417798.1	As006G129050
OG0004166	XP_024013448.1	As006G131720
OG0004167	XP_006413091.1	As006G132450
OG0004168	XP_006408545.1	As006G133220
OG0004169	XP_006408343.1	As006G136100
OG0004170	XP_006408237.1	As006G137240
OG0004171	XP_006395036.1	As006G137640
OG0004172	XP_006408119.1	As006G138260
OG0004173	XP_006394982.1	As009G206620
OG0004175	XP_006411311.1	As006G142360
OG0004176	XP_006410969.1, XP_006410968.1	As006G146830
OG0004177	XP_006411017.1	As006G147500
OG0004178	XP_006416837.1	As007G152740
OG0004179	XP_006416546.1	As007G155390
OG0004180	XP_006416439.1, XP_024010931.1	As010G237660, As007G156240
OG0004181	XP_024007819.1	As007G156800
OG0004182	XP_006390713.1	As010G233100, As007G158660
OG0004184	XP_006413398.1	As007G163160
OG0004185	XP_006413379.1	As007G163590
OG0004186	XP_006397221.1, XP_006405594.1	As007G163940
OG0004187	XP_006413337.1	As007G164400
OG0004188	XP_006401882.1	As007G179030, As007G179010
OG0004189	XP_006417175.1, XP_006395537.1	As008G184410
OG0004190	XP_006417223.1	As008G184700, As008G184690
OG0004191	XP_006417707.1	As008G191410
OG0004192	XP_006418262.1	As008G197350
OG0004193	XP_006400142.1	As009G201990
OG0004194	XP_006400169.1	As009G202240
OG0004195	XP_006400259.1	As009G203180
OG0004196	XP_024007390.1, XP_024014317.1	As009G205970
OG0004197	XP_006399179.2	As009G211300
OG0004198	XP_006394841.1	As009G214930
OG0004200	XP_006394682.1, XP_006394681.1	As009G216370
OG0004201	XP_024006817.1	As009G217150
OG0004203	XP_024006984.1	As009G218930
OG0004204	XP_006394370.1	As009G219070
OG0004205	XP_006401067.1	As009G219810
OG0004206	XP_024013726.1, XP_024013793.1	As010G221690
OG0004207	XP_006419017.1	As010G225090, As010G225080, As010G225100, As010G225060, As010G225070
OG0004209	XP_006390770.1	As010G234300
OG0004210	XP_024007615.1	As010G234490
OG0004211	XP_006390710.1	As010G234890
OG0004212	XP_006390058.1	As010G235670
OG0004213	XP_006390447.1	As010G239270
OG0004214	XP_006390577.1	As010G240480
OG0004215	XP_006389993.2, XP_024008672.1, XP_006389995.2	As010G241600, As010G241620
OG0004216	XP_006389829.1	As010G243430
OG0004217	XP_006407304.1	As011G244640
OG0004218	XP_006406988.1	As011G247420
OG0004219	XP_006406955.1	As011G247730
OG0004220	XP_024015774.1	As011G248180, As012G270710
OG0004221	XP_024015326.1	As011G250150
OG0004222	XP_024006083.1	As011G250290, As011G250280, As012G273090
OG0004223	XP_006406544.1	As011G251120
OG0004224	XP_006406516.1	As011G251370, As012G272690
OG0004225	XP_006406484.1	As011G251650
OG0004226	XP_006406305.1	As011G253300
OG0004227	XP_006406241.1	As011G253800
OG0004228	XP_006406240.1	As011G253810
OG0004229	XP_006406195.1	As011G254240
OG0004230	XP_024014954.1	As011G254340
OG0004231	XP_006406122.1	As011G254780
OG0004233	XP_006418839.1	As011G255710
OG0004234	XP_006409217.2	As011G264880
OG0004235	XP_006409084.2	As011G265830
OG0004236	XP_024005652.1, XP_006412901.1	As011G266690
OG0004237	XP_006395916.1	As011G267270, As011G267280
OG0004238	XP_006392584.1	As012G267910
OG0004239	XP_024006072.1	As012G268080
OG0004240	XP_006392724.1	As012G269260
OG0004241	XP_006392756.1, XP_006409718.1	As012G269460
OG0004242	XP_006392792.1	As012G269770
OG0004244	XP_006393062.1	As012G271830
OG0004245	XP_006390999.1	As012G273560, As012G273570
OG0004246	XP_024006184.1	As012G280620, As012G273950
OG0004247	XP_024003805.1	As012G274970
OG0004248	XP_006407920.1	As012G275400, As012G276260
OG0004249	XP_006399697.1	As012G280760
OG0004251	XP_006402883.2	As012G283920
OG0004252	XP_006402819.1	As012G284390
OG0004253	XP_006402550.1	As012G286840
OG0004254	XP_006402461.1	As012G287640
OG0004255	XP_024012965.1	As012G288240
OG0004275	XP_024005360.1	As001G000870
OG0004276	XP_006412245.1	As001G002160
OG0004277	XP_006412733.1	As011G265640, As001G002210
OG0004279	XP_006412599.2	As001G003660
OG0004280	XP_006412379.1	As001G006810
OG0004281	XP_006412290.1	As001G013770
OG0004282	XP_006412208.1	As001G014300
OG0004283	XP_006412138.1	As001G015050
OG0004284	XP_006415349.1	As001G015880
OG0004285	XP_006415239.1	As001G016710
OG0004286	XP_024003684.1	As001G018890, As001G018880
OG0004287	XP_006398523.1	As001G022460
OG0004288	XP_024006669.1	As001G023610
OG0004289	XP_006395643.1	As001G024600
OG0004290	XP_006395469.1	As001G026120
OG0004291	XP_006418834.1	As001G026380, As011G255770
OG0004292	XP_006395363.1	As001G027050
OG0004293	XP_024010592.1	As001G030010
OG0004294	XP_006411509.2	As001G030160
OG0004295	XP_006411385.1	As002G033190
OG0004296	XP_024015515.1	As002G035220
OG0004297	XP_006407463.1	As002G037050
OG0004298	XP_006407404.1	As006G130640, As002G037710
OG0004299	XP_006402055.1	As007G162270, As002G042660
OG0004300	XP_006402000.1	As002G043250
OG0004301	XP_006401996.1, XP_006409296.1	As002G043300
OG0004302	XP_006401935.1	As002G043550
OG0004303	XP_024005124.1, XP_006401387.1	As002G047780
OG0004304	XP_006401143.1	As002G049650
OG0004306	XP_006399836.1	As006G141850, As002G051270
OG0004307	XP_006399705.1	As002G051350
OG0004309	XP_006399335.1	As002G054450
OG0004310	XP_006399302.1	As002G054710
OG0004312	XP_006414122.1	As003G056690
OG0004313	XP_006414030.1	As003G057420
OG0004314	XP_006413908.1	As003G058230
OG0004315	XP_006413866.1	As003G058610
OG0004316	XP_006413836.1	As003G058920
OG0004317	XP_024005924.1	As003G059020
OG0004318	XP_006413634.1	As003G060620
OG0004319	XP_006413620.1	As003G060790, As003G060800
OG0004320	XP_006413556.1	As003G061430, As003G061420
OG0004321	XP_006413480.1	As003G062130
OG0004322	XP_006397019.1	As003G062240, As010G221830
OG0004323	XP_006397197.1	As003G063810
OG0004324	XP_006406139.1	As006G145530, As003G067450
OG0004326	XP_006415559.1	As003G070110
OG0004327	XP_006415470.1	As003G071060
OG0004328	XP_024008715.1	As003G071160
OG0004330	XP_006412059.1	As003G072100
OG0004331	XP_006411952.1	As003G073090
OG0004332	XP_006411945.1	As003G073170
OG0004333	XP_006397105.1	As004G083380
OG0004334	XP_024009852.1	As004G084920
OG0004336	XP_024014072.1, XP_006403070.1	As004G091550
OG0004337	XP_024009679.1	As004G091730
OG0004338	XP_006415003.1, XP_006418615.1	As004G092930
OG0004339	XP_006414710.1	As004G095500, As011G255130
OG0004341	XP_006414638.1	As004G095920
OG0004343	XP_006402325.1	As012G288780, As005G098860
OG0004344	XP_006397895.1	As005G099940
OG0004345	XP_006397823.1	As005G100750
OG0004347	XP_006390227.1	As005G102940
OG0004348	XP_024003770.1	As005G104170
OG0004349	XP_024012854.1	As005G104940
OG0004350	XP_006400541.1	As005G110660
OG0004351	XP_024003899.1	As006G142910, As005G111560
OG0004352	XP_006411253.1	As005G111570
OG0004353	XP_024012032.1	As010G226220, As010G226230, As005G113390
OG0004354	XP_006400984.1	As005G115740
OG0004355	XP_006394247.1	As005G116660
OG0004356	XP_006394212.1	As005G117010
OG0004357	XP_024007425.1, XP_024012156.1	As005G118520
OG0004358	XP_006393904.1	As005G119610
OG0004359	XP_006393891.1	As005G119720
OG0004360	XP_006418493.2, XP_006413721.2	As008G199550
OG0004361	XP_024010061.1	As006G121370
OG0004363	XP_006410483.1	As006G125290
OG0004364	XP_006410478.1	As008G196110, As006G125340
OG0004365	XP_024008183.1	As006G127270, As008G194240
OG0004366	XP_006410255.1	As006G127430
OG0004367	XP_006410232.1	As006G127590
OG0004368	XP_006410148.1	As006G128080
OG0004369	XP_006410120.1	As006G128150
OG0004370	XP_006410134.1	As006G128230, As006G128220
OG0004372	XP_006408501.1	As009G206020, As006G132780
OG0004373	XP_024015621.1	As006G135750
OG0004374	XP_006408100.1	As006G138530
OG0004375	XP_024007327.1	As009G206280, As006G138610, As006G138590
OG0004376	XP_006408059.1	As006G138730
OG0004377	XP_006408003.1	As006G139470
OG0004378	XP_006407980.2	As006G139690
OG0004379	XP_006407949.1	As006G140010
OG0004380	XP_006407851.1	As006G141010
OG0004381	XP_006410774.1	As006G144560
OG0004382	XP_006410790.1	As006G144700
OG0004383	XP_006410870.1	As006G145490
OG0004384	XP_006410926.1	As006G146160
OG0004385	XP_006416850.1	As007G152550, As007G152530
OG0004386	XP_006416673.1	As010G240780, As007G154150
OG0004388	XP_006390474.2	As007G154920
OG0004389	XP_006416574.1	As007G155160
OG0004390	XP_006416296.2	As007G157430
OG0004391	XP_006390716.1	As007G158670
OG0004392	XP_024008462.1, XP_006405969.2, XP_024011091.1	As007G159020
OG0004393	XP_006415937.1	As007G160690, As007G160670
OG0004394	XP_006415839.1	As007G161540
OG0004395	XP_006413377.1	As007G163610
OG0004396	XP_006404933.1	As007G178290
OG0004398	XP_006417188.1	As008G184470
OG0004399	XP_006417201.1	As008G184550
OG0004400	XP_006417294.1, XP_024016224.1	As008G185490
OG0004401	XP_006417392.1	As008G186530
OG0004402	XP_006417444.1	As008G186970
OG0004403	XP_006417496.1	As008G187820
OG0004404	XP_024008983.1	As008G189000
OG0004405	XP_024008896.1	As008G191210
OG0004406	XP_006417755.1	As008G191790
OG0004407	XP_006400039.1, XP_006398167.1, XP_006402016.1	As009G201360
OG0004408	XP_006400164.1	As009G202170
OG0004409	XP_006400226.1	As009G202800
OG0004410	XP_006400405.1	As009G204440
OG0004411	XP_006400417.1	As009G204520
OG0004412	XP_006394897.1	As009G205510
OG0004413	XP_006394950.1	As009G206130
OG0004414	XP_006395202.1	As009G209000
OG0004415	XP_006399084.1	As009G212570
OG0004416	XP_006394816.2	As009G215230
OG0004417	XP_006394662.1	As009G216590
OG0004418	XP_006394617.1	As009G217040
OG0004419	XP_006394582.1	As009G217350
OG0004420	XP_006394517.2	As009G217950
OG0004421	XP_006404119.2, XP_006391484.1	As010G221640
OG0004422	XP_006391145.1	As010G229220, As010G229210
OG0004423	XP_006390983.1	As010G232750
OG0004424	XP_024009634.1, XP_006390904.1	As010G233230
OG0004425	XP_006390852.1	As010G233630
OG0004426	XP_024009740.1	As010G234750
OG0004427	XP_006390702.2, XP_024012361.1	As010G234950
OG0004428	XP_006390296.2	As010G237990
OG0004429	XP_024012484.1, XP_006392082.1	As010G238940, As010G238950
OG0004430	XP_006390412.1	As010G238980
OG0004431	XP_006390611.1	As010G240900
OG0004432	XP_006389971.1	As010G241990
OG0004433	XP_006389937.1	As010G242320
OG0004434	XP_006389902.1	As010G242650
OG0004435	XP_006389872.1	As010G243010
OG0004436	XP_006407282.1	As011G244750
OG0004437	XP_006407130.1	As011G246140
OG0004438	XP_006407114.1	As011G246280
OG0004440	XP_006407005.1	As011G247280
OG0004441	XP_006406978.1	As011G247520
OG0004442	XP_006406963.1	As011G247660
OG0004443	XP_006406859.1	As011G248380
OG0004444	XP_006406591.1	As011G250670
OG0004445	XP_006406452.1	As011G251920
OG0004446	XP_006406424.1	As011G252160
OG0004447	XP_006406334.1	As011G253150
OG0004448	XP_006406332.1	As011G253180, As012G271840
OG0004449	XP_006406284.1	As011G253600
OG0004450	XP_006406232.1	As011G253980
OG0004452	XP_006408841.1	As011G263640
OG0004453	XP_006409142.1	As011G265220
OG0004454	XP_006409191.1	As011G265530
OG0004455	XP_006409089.1	As011G265750
OG0004456	XP_006408974.1	As011G267180
OG0004457	XP_006392923.1, XP_006392917.1	As012G270680
OG0004458	XP_006393046.1	As012G271520
OG0004459	XP_006393140.1	As012G272100
OG0004460	XP_006393383.1	As012G273600
OG0004461	XP_006410586.1	As012G275430
OG0004462	XP_006403869.1	As012G275460
OG0004463	XP_006403631.1	As012G278020
OG0004464	XP_006403490.1	As012G281490
OG0004466	XP_006402958.1	As012G283150
OG0004467	XP_006401725.1	As012G283840
OG0004468	XP_006402812.1	As012G284460
OG0004469	XP_006408587.1, XP_006408676.1	As012G284540
OG0004470	XP_006402768.1	As012G284870
OG0004471	XP_024010800.1	As012G286860
OG0004472	XP_006402480.1	As012G287440
OG0004473	XP_006402385.1, XP_006392431.1	As012G288260
OG0004474	XP_006402318.2	As012G288860
OG0004498	XP_006412976.1	As001G000170
OG0004499	XP_006412943.1	As001G000420
OG0004500	XP_006412899.1	As001G000790
OG0004501	XP_006412781.1	As001G001860
OG0004502	XP_006401216.1	As001G002140, As002G049030
OG0004503	XP_006412730.1	As001G002250
OG0004504	XP_006412699.1	As001G002530
OG0004505	XP_006412687.1	As001G002630
OG0004506	XP_006412671.1	As001G002870
OG0004507	XP_024012761.1	As001G003820, As012G284650
OG0004508	XP_006412553.1	As001G004070
OG0004510	XP_006412506.1	As001G004650
OG0004511	XP_006412404.1, XP_024009876.1	As001G006600
OG0004512	XP_006412234.1	As001G013860
OG0004513	XP_006412223.1	As001G014180, As011G263170
OG0004514	XP_024005549.1	As001G017770, As001G017780
OG0004515	XP_006392221.1	As001G020380, As008G187160
OG0004516	XP_006392008.1, XP_006417373.1	As001G021640
OG0004518	XP_006413530.1	As001G022660
OG0004519	XP_006395883.1	As001G022670
OG0004520	XP_006415861.1	As001G024360
OG0004521	XP_006395615.1	As001G024900
OG0004522	XP_006395377.1, XP_006405538.1	As001G026910
OG0004523	XP_006395328.1	As001G027440
OG0004524	XP_006395274.1	As001G027910
OG0004525	XP_024007065.1, XP_006391568.1	As001G029530
OG0004526	XP_006391804.1	As001G031770
OG0004527	XP_006407316.1	As002G032370
OG0004528	XP_006401356.1	As002G048010, As002G048020, As002G035600, As002G048000
OG0004529	XP_024014891.1	As002G038860
OG0004530	XP_006400913.1	As004G088910
OG0004530	XP_006398487.1	As002G043980
OG0004531	XP_024012715.1	As002G047610
OG0004532	XP_006401365.1	As002G047950
OG0004533	XP_006401299.1	As002G048330, As002G048320
OG0004534	XP_006401287.2	As002G048480
OG0004535	XP_006401196.1	As002G049210
OG0004536	XP_006401153.1	As002G049590
OG0004537	XP_006395234.1	As002G050170
OG0004538	XP_006399773.1	As002G050780
OG0004539	XP_006399757.1	As002G050870
OG0004540	XP_006399722.1	As002G051190
OG0004541	XP_006409604.1	As002G051340, As003G066610
OG0004542	XP_006399612.2	As002G052120
OG0004543	XP_006399562.1	As002G052580
OG0004544	XP_006399522.1	As005G118330, As002G053000
OG0004545	XP_006399391.1	As002G054050
OG0004546	XP_006399295.1	As002G054780
OG0004547	XP_006399227.1	As002G055310
OG0004548	XP_006414103.1	As004G088510, As003G056860
OG0004549	XP_006414093.1	As003G056980
OG0004550	XP_006414007.1	As003G057550
OG0004552	XP_006413544.1	As003G061560
OG0004553	XP_006413542.1	As003G061580
OG0004554	XP_006413482.1	As003G062110
OG0004556	XP_006397469.1	As003G063970
OG0004558	XP_006415692.1	As003G068490
OG0004559	XP_006415654.1	As004G081350, As003G069100
OG0004560	XP_006415648.1	As003G069170
OG0004561	XP_006415548.1	As003G070250
OG0004562	XP_006415512.1	As003G070690
OG0004563	XP_006415403.1	As003G071430
OG0004564	XP_006412098.1	As003G071740
OG0004565	XP_006412091.1	As003G071820
OG0004566	XP_006411996.1	As003G072650
OG0004567	XP_006405879.1	As003G075090
OG0004568	XP_006395903.1	As004G076930
OG0004569	XP_006391521.1	As004G077080
OG0004570	XP_006399451.1, XP_006405607.1	As004G078450
OG0004571	XP_006404357.1	As004G078690
OG0004572	XP_006410669.1	As004G078860
OG0004573	XP_006398397.1	As004G089620
OG0004574	XP_006410737.1	As004G079990
OG0004575	XP_006410515.1	As004G081570
OG0004576	XP_006396996.1, XP_006414162.2, XP_024005705.1	As004G084010
OG0004577	XP_006396947.1	As004G084320
OG0004578	XP_006413774.1	As004G086090
OG0004579	XP_006398052.2	As004G086580, As004G086630
OG0004580	XP_006398056.1	As004G086670
OG0004581	XP_006398313.1	As004G088710
OG0004582	XP_006398399.1	As004G089650
OG0004583	XP_006414414.1, XP_024004574.1	As004G092640
OG0004584	XP_006414914.2	As004G094170, As004G094230, As004G094130, As004G094150, As004G094120
OG0004585	XP_006414816.1	As004G095110
OG0004586	XP_006406200.1	As011G254200, As004G096140
OG0004587	XP_006397744.1	As005G101410
OG0004588	XP_006397695.2	As005G101990
OG0004589	XP_006397643.1	As005G102570
OG0004590	XP_006397642.1	As005G102580
OG0004592	XP_006397511.1	As005G103900
OG0004593	XP_006398693.1	As005G107390
OG0004594	XP_006398787.1	As005G108270
OG0004595	XP_006400636.1	As005G112110
OG0004596	XP_006400669.1	As005G112490
OG0004597	XP_024011534.1	As005G113240
OG0004598	XP_006400777.1	As005G113640
OG0004599	XP_006394310.1	As005G116060
OG0004600	XP_006394246.2	As005G116670
OG0004601	XP_006394201.1	As005G117060, As005G117070
OG0004602	XP_006394143.1	As005G117530
OG0004603	XP_006394037.1	As005G118490
OG0004604	XP_006394025.1	As005G118570
OG0004605	XP_006393914.1	As005G119490
OG0004606	XP_006393858.1	As005G120070
OG0004608	XP_006394053.1	As006G121010
OG0004609	XP_006396430.1	As006G123070
OG0004610	XP_006403245.1	As006G125090
OG0004611	XP_006410442.1	As006G125600
OG0004612	XP_006410285.1	As006G127160
OG0004613	XP_024016667.1, XP_024013276.1	As006G129290
OG0004614	XP_024016037.1	As006G130790
OG0004615	XP_006409733.1, XP_006409759.1	As006G130930
OG0004616	XP_006404284.1	As006G133000, As006G132980
OG0004617	XP_006408542.1, XP_006399939.1	As006G133180
OG0004619	XP_024015443.1	As006G133560
OG0004620	XP_006407749.1	As006G141990, As006G133730
OG0004622	XP_006408359.1	As006G135970
OG0004624	XP_006408027.1	As006G139180
