Orthogroup	Eutrema_salsugineum	Cardamine_amara
OG0003632	XP_006416992.1	evm.model.RL_5.1313
OG0003633	XP_006404015.1	evm.model.RL_7.1319
OG0003633	XP_006393872.1	evm.model.RL_8.2780
OG0003634	XP_006393869.1	evm.model.RL_8.2783
OG0003635	XP_006403924.1	evm.model.RL_7.1245
OG0003636	XP_006396275.1	evm.model.RL_5.13, evm.model.RL_8.99
OG0003637	XP_024008853.1	evm.model.RL_5.141
OG0003638	XP_024008784.1	evm.model.RL_5.174
OG0003638	XP_024010518.1	evm.model.RL_8.307
OG0003639	XP_006408846.1	evm.model.RL_6.529
OG0003640	XP_006408524.1	evm.model.RL_1.59
OG0003641	XP_006394996.1	evm.model.RL_4.1002
OG0003641	XP_006408112.1	evm.model.RL_1.431
OG0003642	XP_006394941.1	evm.model.RL_4.1062
OG0003643	XP_006411211.1	evm.model.RL_6.2087
OG0003644	XP_024012421.1	evm.model.RL_3.2487, evm.model.RL_3.2488
OG0003645	XP_006416799.1	evm.model.RL_5.1504
OG0003646	XP_006390493.1	evm.model.RL_3.1802
OG0003647	XP_006416524.1	evm.model.RL_5.1760
OG0003648	XP_006416202.1	evm.model.RL_5.3524
OG0003649	XP_024009275.1	evm.model.RL_3.1157.3.687c84bb
OG0003650	XP_006402793.1	evm.model.RL_7.529
OG0003651	XP_006417149.1	evm.model.RL_5.1170
OG0003652	XP_006417937.1	evm.model.RL_5.488
OG0003652	XP_024008094.1	evm.model.RL_6.2251
OG0003655	XP_006400232.1	evm.model.RL_4.1951
OG0003656	XP_006400265.1	evm.model.RL_4.1912
OG0003657	XP_006407313.1	evm.model.RL_1.1161
OG0003658	XP_006398925.1	evm.model.RL_4.3070
OG0003659	XP_006394483.1	evm.model.RL_8.2242
OG0003660	XP_006401077.1	evm.model.RL_8.1920
OG0003662	XP_006418866.1	evm.model.RL_7.1702
OG0003663	XP_006390989.1	evm.model.RL_3.1353
OG0003665	XP_006390674.2	evm.model.RL_3.1625
OG0003666	XP_006389799.1	evm.model.RL_3.2429
OG0003667	XP_006407263.1	evm.model.RL_1.1211, evm.model.RL_1.1212
OG0003668	XP_006407193.1	evm.model.RL_1.1270
OG0003669	XP_024006220.1	evm.model.RL_5.3893
OG0003670	XP_006407122.1	evm.model.RL_1.1334, evm.model.RL_1.1335
OG0003671	XP_006406985.1	evm.model.RL_1.1455
OG0003672	XP_006406774.2	evm.model.RL_1.1630
OG0003673	XP_006418755.1	evm.model.RL_1.2333
OG0003674	XP_024009710.1	evm.model.RL_1.2445
OG0003674	XP_006395200.1	evm.model.RL_4.782
OG0003675	XP_006401345.1	evm.model.RL_8.1709
OG0003676	XP_006407879.1	evm.model.RL_1.2692
OG0003676	XP_024005373.1	evm.model.RL_2.2885
OG0003677	XP_006392860.1	evm.model.RL_5.3747
OG0003678	XP_006406362.1	evm.model.RL_1.1988
OG0003679	XP_006410752.1, XP_006403816.1	evm.model.RL_7.1155
OG0003680	XP_024013440.1, XP_024013452.1	evm.model.RL_7.1146
OG0003681	XP_006403664.1	evm.model.RL_7.1018
OG0003681	XP_006410939.1	evm.model.RL_6.1832
OG0003682	XP_024012838.1	evm.model.RL_7.730, evm.model.RL_8.940, evm.model.RL_8.955, evm.model.RL_8.932, evm.model.RL_8.957, evm.model.RL_8.949, evm.model.RL_8.959, evm.model.RL_8.930, evm.model.RL_8.947, evm.model.RL_8.938, evm.model.RL_8.945
OG0003683	XP_006402271.1, XP_024013560.1	evm.model.RL_7.1192, evm.model.RL_7.1191
OG0003685	XP_024013539.1	evm.model.RL_7.927
OG0003687	XP_006392255.1, XP_006392248.1	evm.model.RL_3.528
OG0003695	XP_006412965.1	evm.model.RL_2.2757, evm.model.RL_2.2349
OG0003696	XP_006412738.1	evm.model.RL_7.2464
OG0003697	XP_006412263.1	evm.model.RL_2.2936.2.687c86e7
OG0003698	XP_024005858.1	evm.model.RL_2.3014
OG0003698	XP_006412173.1	evm.model.RL_2.3012
OG0003699	XP_024008231.1	evm.model.RL_5.2532
OG0003701	XP_024016052.1	evm.model.RL_7.2617
OG0003702	XP_006395539.1, XP_006401849.1	evm.model.RL_7.2365
OG0003703	XP_024014803.1	evm.model.RL_2.418
OG0003703	XP_006391425.1	evm.model.RL_3.1041
OG0003704	XP_024004564.1	evm.model.RL_3.234
OG0003705	XP_006411356.1	evm.model.RL_6.2216
OG0003707	XP_006402168.1	evm.model.RL_8.1119
OG0003708	XP_006401431.1	evm.model.RL_8.1647
OG0003709	XP_006401297.1	evm.model.RL_8.2877, evm.model.RL_8.1741
OG0003710	XP_006399823.1	evm.model.RL_4.2293
OG0003711	XP_006414220.1	evm.model.RL_2.1302
OG0003712	XP_006398083.1	evm.model.RL_4.396.2.687c86ce
OG0003712	XP_006413885.1	evm.model.RL_2.1572
OG0003713	XP_006403109.1	evm.model.RL_4.430
OG0003714	XP_006413664.1	evm.model.RL_2.1740
OG0003715	XP_006396905.1	evm.model.RL_8.639
OG0003716	XP_006402968.1	evm.model.RL_7.707, evm.model.RL_7.708
OG0003717	XP_006396224.1	evm.model.RL_8.98
OG0003718	XP_006409027.1	evm.model.RL_1.2716
OG0003719	XP_006398747.1	evm.model.RL_4.3250
OG0003720	XP_006398673.1	evm.model.RL_4.1849, evm.model.RL_5.1099, evm.model.RL_4.3327
OG0003721	XP_006396918.1	evm.model.RL_8.643
OG0003723	XP_006414742.2	evm.model.RL_2.948
OG0003724	XP_024015504.1	evm.model.RL_1.2066
OG0003724	XP_006414478.1	evm.model.RL_2.1092
OG0003725	XP_006405552.1	evm.model.RL_2.213
OG0003726	XP_024004903.1, XP_024010862.1	evm.model.RL_6.2896
OG0003727	XP_006397802.2	evm.model.RL_6.2761
OG0003728	XP_006397566.2	evm.model.RL_6.2517
OG0003728	XP_024010894.1	evm.model.RL_6.2518
OG0003729	XP_024008776.1	evm.model.RL_6.2516
OG0003730	XP_006402818.1	evm.model.RL_7.555
OG0003731	XP_006398767.1, XP_006408279.1	evm.model.RL_5.1997.3.687c88b8, evm.model.RL_4.3217
OG0003732	XP_024011894.1, XP_024009959.1	evm.model.RL_8.2031
OG0003733	XP_006403204.1	evm.model.RL_4.505, evm.model.RL_5.276
OG0003734	XP_006403223.1	evm.model.RL_4.526, evm.model.RL_4.522_evm.model.RL_4.519.2.687c9995
OG0003735	XP_024013339.1	evm.model.RL_4.541
OG0003736	XP_006410406.1	evm.model.RL_6.1361
OG0003738	XP_006410300.2	evm.model.RL_6.1264, evm.model.RL_5.434
OG0003739	XP_024003918.1	evm.model.RL_6.1227
OG0003740	XP_006417928.1	evm.model.RL_5.495
OG0003741	XP_006409749.1	evm.model.RL_6.861
OG0003742	XP_006417291.1	evm.model.RL_6.1346, evm.model.RL_6.743
OG0003743	XP_006408449.1	evm.model.RL_1.122
OG0003744	XP_006405358.1	evm.model.RL_5.2322, evm.model.RL_2.138.2.687c86e0
OG0003745	XP_006408006.1	evm.model.RL_1.529
OG0003745	XP_006394877.1	evm.model.RL_4.1126
OG0003746	XP_006400453.1	evm.model.RL_4.1756
OG0003747	XP_006407855.1	evm.model.RL_1.666
OG0003748	XP_006407795.1	evm.model.RL_1.733
OG0003749	XP_006407769.1	evm.model.RL_1.757
OG0003750	XP_006403443.1	evm.model.RL_7.801
OG0003754	XP_006416018.1	evm.model.RL_5.3367
OG0003755	XP_006415951.1, XP_024009934.1	evm.model.RL_5.3308
OG0003756	XP_006413442.1, XP_006413443.2	evm.model.RL_2.1950
OG0003758	XP_006404696.1	evm.model.RL_6.141
OG0003759	XP_006416975.1	evm.model.RL_5.1327
OG0003761	XP_024008772.1	evm.model.RL_5.387
OG0003762	XP_006409000.1	evm.model.RL_6.1398, evm.model.RL_6.1443
OG0003763	XP_006418165.1	evm.model.RL_5.267
OG0003764	XP_006396313.1	evm.model.RL_8.132
OG0003765	XP_006400113.1	evm.model.RL_4.2051
OG0003765	XP_024006891.1	evm.model.RL_5.1655
OG0003766	XP_006400131.2	evm.model.RL_4.2038
OG0003767	XP_006394608.1	evm.model.RL_4.1384
OG0003768	XP_024014285.1, XP_006394332.1	evm.model.RL_8.2370
OG0003769	XP_024014644.1, XP_006401107.1	evm.model.RL_8.1903
OG0003770	XP_006404394.1	evm.model.RL_7.1650, evm.model.RL_7.1651, evm.model.RL_7.1652
OG0003771	XP_006404397.2	evm.model.RL_7.1654
OG0003771	XP_006401058.1	evm.model.RL_8.1939
OG0003772	XP_006412311.1	evm.model.RL_2.2893
OG0003772	XP_006419126.1	evm.model.RL_7.1902
OG0003773	XP_006391039.1	evm.model.RL_3.1307
OG0003774	XP_006391005.2	evm.model.RL_3.1340
OG0003775	XP_024005851.1	evm.model.RL_6.1048, evm.model.RL_3.2244
OG0003776	XP_006389954.1	evm.model.RL_3.2279
OG0003777	XP_006389934.1	evm.model.RL_3.2303
OG0003778	XP_006406453.1	evm.model.RL_1.1891
OG0003779	XP_006406379.1	evm.model.RL_1.1966
OG0003781	XP_006418806.1	evm.model.RL_1.2305
OG0003782	XP_006396166.1	evm.model.RL_1.2505
OG0003783	XP_006396131.1	evm.model.RL_1.2543
OG0003785	XP_006392637.1	evm.model.RL_5.3925
OG0003786	XP_006392998.1	evm.model.RL_5.1897
OG0003787	XP_006393216.2	evm.model.RL_5.2054, evm.model.RL_5.2053
OG0003788	XP_006403624.2	evm.model.RL_7.977
OG0003789	XP_006391488.2	evm.model.RL_8.328, evm.model.RL_3.104
OG0003790	XP_024012938.1	evm.model.RL_7.746
OG0003791	XP_006402961.1	evm.model.RL_7.699
OG0003792	XP_006402922.1, XP_024013000.1	evm.model.RL_7.666, evm.model.RL_7.1001
OG0003794	XP_024013602.1, XP_024013166.1	evm.model.RL_6.746
OG0003796	XP_024013374.1	evm.model.RL_8.562, evm.model.RL_8.563, evm.model.RL_6.1085
OG0003797	XP_024008053.1	evm.model.RL_5.3365
OG0003798	XP_006416402.1	evm.model.RL_5.3690
OG0003799	XP_006391101.1	evm.model.RL_3.1262
OG0003799	XP_024007767.1	evm.model.RL_5.3252
OG0003802	XP_006394422.1	evm.model.RL_8.2293
OG0003803	XP_006413952.1	evm.model.RL_2.1519, evm.model.RL_4.2973
OG0003804	XP_006409842.1	evm.model.RL_6.921
OG0003805	XP_024012121.1	evm.model.RL_4.1972
OG0003807	XP_006394556.1	evm.model.RL_8.2156
OG0003810	XP_024013783.1	evm.model.RL_7.1462
OG0003823	XP_006412980.1	evm.model.RL_2.2336
OG0003824	XP_006412578.1	evm.model.RL_2.2672
OG0003827	XP_006412203.1	evm.model.RL_2.2990
OG0003827	XP_024016217.1	evm.model.RL_1.2823
OG0003828	XP_006415352.2	evm.model.RL_5.2813
OG0003829	XP_024009205.1	evm.model.RL_5.2790
OG0003831	XP_006417512.1	evm.model.RL_5.858
OG0003832	XP_006398538.2	evm.model.RL_8.1197, evm.model.RL_7.2690
OG0003833	XP_006410098.2	evm.model.RL_6.1135
OG0003834	XP_006391610.1	evm.model.RL_7.2653
OG0003835	XP_006391803.1	evm.model.RL_3.197
OG0003836	XP_006398678.1	evm.model.RL_4.3323
OG0003838	XP_006401985.1	evm.model.RL_8.1237_evm.model.RL_8.1239.2.687c97bf
OG0003839	XP_024011846.1	evm.model.RL_8.1525
OG0003840	XP_006401441.1	evm.model.RL_8.1639
OG0003842	XP_006399780.1	evm.model.RL_4.2327
OG0003843	XP_024012391.1	evm.model.RL_4.2437
OG0003844	XP_006398308.1, XP_006414121.1	evm.model.RL_4.203
OG0003845	XP_024004103.1, XP_024004614.1	evm.model.RL_2.1431.2.687c86e3
OG0003846	XP_006413528.1	evm.model.RL_2.1882
OG0003847	XP_006413527.1	evm.model.RL_2.1883
OG0003848	XP_006415065.1	evm.model.RL_5.2603
OG0003849	XP_024008581.1	evm.model.RL_5.2573.6.687c88bc
OG0003850	XP_006393614.1	evm.model.RL_5.2271, evm.model.RL_5.2273
OG0003851	XP_006415541.1	evm.model.RL_5.2915
OG0003852	XP_006412048.1	evm.model.RL_2.3115.1.687c86e8
OG0003853	XP_006411875.1	evm.model.RL_2.3270_evm.model.RL_2.3271
OG0003854	XP_006405837.1	evm.model.RL_2.440
OG0003855	XP_006393712.2	evm.model.RL_5.2325
OG0003857	XP_006419064.1	evm.model.RL_7.1831
OG0003857	XP_024014685.1	evm.model.RL_4.696
OG0003858	XP_006391231.1	evm.model.RL_4.698, evm.model.RL_5.2017
OG0003859	XP_006396874.1	evm.model.RL_4.1158
OG0003860	XP_024008755.1	evm.model.RL_6.2720
OG0003862	XP_024010946.1	evm.model.RL_4.205.1.687c86cd
OG0003862	XP_024005492.1	evm.model.RL_2.1393.1.687c99f6
OG0003863	XP_024010990.1	evm.model.RL_4.19, evm.model.RL_4.22
OG0003864	XP_006402343.1	evm.model.RL_7.88
OG0003865	XP_006397194.1	evm.model.RL_6.2806
OG0003866	XP_024007891.1	evm.model.RL_6.2664
OG0003868	XP_006400821.1	evm.model.RL_8.2137
OG0003869	XP_006400842.1	evm.model.RL_8.2119
OG0003871	XP_024011920.1	evm.model.RL_8.2077, evm.model.RL_3.1947
OG0003872	XP_006396261.1	evm.model.RL_8.83
OG0003873	XP_024010057.1, XP_006392185.1	evm.model.RL_8.211
OG0003874	XP_006396487.1	evm.model.RL_8.297
OG0003875	XP_006418169.1	evm.model.RL_5.263
OG0003875	XP_006403157.1	evm.model.RL_5.707, evm.model.RL_5.776
OG0003876	XP_024004216.1	evm.model.RL_6.2015, evm.model.RL_6.1254
OG0003877	XP_024004373.1	evm.model.RL_2.2236
OG0003878	XP_006407957.1	evm.model.RL_1.569
OG0003879	XP_024015613.1	evm.model.RL_1.670
OG0003880	XP_006405934.2, XP_024014675.1	evm.model.RL_2.137
OG0003881	XP_006416854.1	evm.model.RL_5.1453
OG0003882	XP_006416623.1	evm.model.RL_5.1652.1.687c88b6
OG0003883	XP_006416647.2	evm.model.RL_5.1630
OG0003884	XP_006415952.1	evm.model.RL_5.3309
OG0003885	XP_006413368.1	evm.model.RL_2.2007
OG0003886	XP_006404929.1	evm.model.RL_6.312
OG0003887	XP_006416964.1	evm.model.RL_5.1223, evm.model.RL_5.1337
OG0003889	XP_006417632.1	evm.model.RL_5.752
OG0003890	XP_024016819.1, XP_024016680.1, XP_006417966.1	evm.model.RL_6.1236
OG0003891	XP_006400109.1	evm.model.RL_4.2055
OG0003893	XP_006408229.1	evm.model.RL_1.326
OG0003893	XP_024012306.1	evm.model.RL_4.1824
OG0003894	XP_024007203.1	evm.model.RL_4.1041
OG0003896	XP_024007009.1	evm.model.RL_4.928
OG0003897	XP_006399059.1	evm.model.RL_4.2945
OG0003898	XP_006398959.1	evm.model.RL_8.2460, evm.model.RL_4.3035
OG0003899	XP_006394822.1, XP_006394821.1	evm.model.RL_4.1174.1.687c86d2, evm.model.RL_4.1173.1.687c86d2
OG0003900	XP_006404117.1	evm.model.RL_7.1429
OG0003901	XP_006404332.1	evm.model.RL_7.1599, evm.model.RL_3.888
OG0003902	XP_006401030.1	evm.model.RL_8.1966
OG0003903	XP_006391122.1, XP_006411760.1	evm.model.RL_2.3374
OG0003904	XP_006390184.1	evm.model.RL_3.2062
OG0003905	XP_006390198.1	evm.model.RL_3.2054
OG0003906	XP_006416079.1	evm.model.RL_5.3417
OG0003907	XP_024010935.1	evm.model.RL_3.2002, evm.model.RL_3.2003
OG0003908	XP_006389944.1	evm.model.RL_3.2293
OG0003909	XP_006389892.1	evm.model.RL_3.2342
OG0003912	XP_006392825.1	evm.model.RL_5.3773
OG0003913	XP_006406925.2	evm.model.RL_1.1498
OG0003914	XP_024015139.1	evm.model.RL_1.1533
OG0003915	XP_024015374.1	evm.model.RL_1.1812
OG0003916	XP_006406464.1	evm.model.RL_1.1885
OG0003917	XP_006406410.1	evm.model.RL_1.1938, evm.model.RL_1.1937, evm.model.RL_7.2302
OG0003918	XP_006406366.1	evm.model.RL_1.1982
OG0003919	XP_006406238.1	evm.model.RL_1.2102
OG0003920	XP_006406123.1	evm.model.RL_1.2180
OG0003921	XP_024016158.1	evm.model.RL_1.3129
OG0003922	XP_006392789.1	evm.model.RL_5.3800
OG0003923	XP_006393503.1	evm.model.RL_5.2215
OG0003924	XP_006403880.1	evm.model.RL_7.1208, evm.model.RL_7.1212
OG0003925	XP_006415630.1	evm.model.RL_7.851, evm.model.RL_7.839
OG0003926	XP_006402514.1	evm.model.RL_7.258
OG0003930	XP_006418436.1	evm.model.RL_5.3461
OG0003933	XP_006395278.2	evm.model.RL_7.2077
OG0003935	XP_024012265.1	evm.model.RL_4.2827
OG0003938	XP_006416120.1	evm.model.RL_5.3451, evm.model.RL_1.3075, evm.model.RL_5.3410, evm.model.RL_5.3408
OG0003941	XP_024016623.1	evm.model.RL_1.2749
OG0003948	XP_006412782.1	evm.model.RL_2.2518
OG0003950	XP_006415259.1	evm.model.RL_5.2754
OG0003951	XP_006414360.1	evm.model.RL_2.1187
OG0003952	XP_024010137.1	evm.model.RL_5.139, evm.model.RL_3.710
OG0003954	XP_006395816.1	evm.model.RL_7.2611
OG0003955	XP_006395749.1	evm.model.RL_7.2561
OG0003956	XP_006395439.1	evm.model.RL_6.2772
OG0003957	XP_006395425.1	evm.model.RL_7.2262
OG0003958	XP_006405864.1	evm.model.RL_2.472
OG0003958	XP_006391353.1	evm.model.RL_3.994
OG0003959	XP_024003898.1	evm.model.RL_6.2198
OG0003961	XP_006407488.1	evm.model.RL_1.1005
OG0003962	XP_006407449.1	evm.model.RL_1.1048
OG0003963	XP_006391750.2, XP_006397009.1	evm.model.RL_3.158
OG0003964	XP_006414015.1	evm.model.RL_2.1468
OG0003965	XP_006402057.1	evm.model.RL_8.1188
OG0003966	XP_006413005.1	evm.model.RL_2.2311
OG0003968	XP_006394834.1	evm.model.RL_4.1166.2.687c86d2
OG0003968	XP_006399671.2	evm.model.RL_4.2427
OG0003969	XP_024011169.1	evm.model.RL_4.2443
OG0003971	XP_006408891.2	evm.model.RL_4.2688
OG0003972	XP_006399246.1	evm.model.RL_4.2784.2.687c86db
OG0003973	XP_006398414.1	evm.model.RL_4.76.2.687c86cc
OG0003974	XP_006403783.1	evm.model.RL_7.1122
OG0003974	XP_006414085.1	evm.model.RL_2.1416
OG0003975	XP_024004341.1	evm.model.RL_2.1598, evm.model.RL_5.1369
OG0003976	XP_024005724.1	evm.model.RL_2.1804
OG0003977	XP_006403724.1	evm.model.RL_7.1081
OG0003979	XP_006415267.1, XP_006415266.1	evm.model.RL_5.2611
OG0003980	XP_006411989.1	evm.model.RL_2.3172
OG0003981	XP_006411978.1	evm.model.RL_2.3179
OG0003982	XP_006411882.1	evm.model.RL_2.3263
OG0003983	XP_006404705.1	evm.model.RL_6.149
OG0003984	XP_006397084.1	evm.model.RL_8.755
OG0003985	XP_024009821.1	evm.model.RL_1.2920, evm.model.RL_8.456
OG0003986	XP_024010965.1	evm.model.RL_4.263
OG0003988	XP_006414714.1	evm.model.RL_2.958
OG0003989	XP_006414479.1	evm.model.RL_2.1091
OG0003990	XP_024012937.1, XP_006405394.1	evm.model.RL_7.716, evm.model.RL_2.103
OG0003991	XP_006402399.1	evm.model.RL_7.142
OG0003991	XP_024010735.1	evm.model.RL_6.2853
OG0003992	XP_006397878.1	evm.model.RL_6.2829
OG0003993	XP_006402488.1	evm.model.RL_7.234
OG0003994	XP_024012155.1	evm.model.RL_5.3330, evm.model.RL_3.1365, evm.model.RL_3.1367
OG0003995	XP_024010685.1	evm.model.RL_6.2531
OG0003996	XP_024010786.1	evm.model.RL_6.2502
OG0003998	XP_024011415.1	evm.model.RL_4.3306
OG0003999	XP_006407577.1	evm.model.RL_1.944
OG0004001	XP_006400967.1	evm.model.RL_8.2020
OG0004003	XP_006409767.1	evm.model.RL_6.838
OG0004006	XP_006409758.1	evm.model.RL_6.845
OG0004007	XP_006408161.1	evm.model.RL_1.388
OG0004008	XP_006408116.1	evm.model.RL_1.426_evm.model.RL_1.427.1.687c9a63
OG0004010	XP_006407784.2	evm.model.RL_1.742
OG0004011	XP_006403033.2	evm.model.RL_7.760
OG0004012	XP_006411238.1	evm.model.RL_6.2107
OG0004013	XP_006403417.2	evm.model.RL_7.780
OG0004013	XP_006402880.1, XP_006402879.2, XP_006394010.2	evm.model.RL_7.2003
OG0004014	XP_024006196.1	evm.model.RL_5.2405
OG0004015	XP_006411145.1	evm.model.RL_6.2033
OG0004016	XP_006411169.1	evm.model.RL_6.2054
OG0004017	XP_024003922.1	evm.model.RL_6.1852
OG0004018	XP_024012132.1	evm.model.RL_4.2588
OG0004019	XP_006411081.1	evm.model.RL_6.1971
OG0004021	XP_006411063.1	evm.model.RL_6.1958
OG0004022	XP_006405049.1, XP_006403321.1	evm.model.RL_6.385
OG0004024	XP_006416821.1	evm.model.RL_2.890, evm.model.RL_2.887, evm.model.RL_2.889, evm.model.RL_6.1160, evm.model.RL_2.888, evm.model.RL_5.1491, evm.model.RL_5.1486
OG0004025	XP_006416110.1	evm.model.RL_5.3441
OG0004026	XP_006413374.1	evm.model.RL_2.2002
OG0004027	XP_024005170.1	evm.model.RL_2.2037
OG0004027	XP_006401977.2	evm.model.RL_8.1246
OG0004028	XP_006413294.1	evm.model.RL_2.2070
OG0004028	XP_006401843.1	evm.model.RL_8.1324
OG0004030	XP_006404978.1	evm.model.RL_6.337
OG0004031	XP_006410753.1	evm.model.RL_6.1672
OG0004032	XP_006404537.1	evm.model.RL_6.8, evm.model.RL_4.82
OG0004033	XP_006417258.1	evm.model.RL_5.1086
OG0004035	XP_006417763.1	evm.model.RL_5.632
OG0004036	XP_006393089.2	evm.model.RL_5.2116
OG0004037	XP_006418286.1	evm.model.RL_8.47
OG0004038	XP_006400130.1	evm.model.RL_4.2039
OG0004039	XP_006394892.1	evm.model.RL_4.1112
OG0004040	XP_006394977.2	evm.model.RL_4.1027, evm.model.RL_4.1028
OG0004041	XP_024007200.1	evm.model.RL_8.2190
OG0004043	XP_006395084.1	evm.model.RL_7.1812, evm.model.RL_4.905
OG0004044	XP_006398979.1	evm.model.RL_4.3022
OG0004045	XP_006394743.1	evm.model.RL_4.1235
OG0004045	XP_006394742.1	evm.model.RL_4.1236
OG0004046	XP_006404213.1	evm.model.RL_7.1502
OG0004047	XP_024007513.1	evm.model.RL_4.1365.2.687c86d3
OG0004048	XP_024007374.1	evm.model.RL_8.2150
OG0004049	XP_006394493.2	evm.model.RL_8.2231
OG0004050	XP_006400792.1	evm.model.RL_7.1864, evm.model.RL_4.1441, evm.model.RL_4.1442
OG0004051	XP_006404481.1	evm.model.RL_7.1928
OG0004052	XP_006390789.1	evm.model.RL_3.1533, evm.model.RL_3.1534
OG0004053	XP_006390005.1	evm.model.RL_3.2221
OG0004054	XP_024015725.1	evm.model.RL_1.1188
OG0004055	XP_006407177.1	evm.model.RL_1.1287
OG0004057	XP_006406764.1	evm.model.RL_1.1637
OG0004058	XP_006406763.1	evm.model.RL_1.1638
OG0004059	XP_006406668.1	evm.model.RL_1.1709
OG0004060	XP_006406648.1	evm.model.RL_1.1726, evm.model.RL_6.109
OG0004061	XP_006406637.2	evm.model.RL_1.1731
OG0004062	XP_006406598.1	evm.model.RL_1.1760
OG0004063	XP_006406577.1	evm.model.RL_1.1781
OG0004065	XP_024015026.1, XP_024008676.1	evm.model.RL_1.2029
OG0004066	XP_006406183.1	evm.model.RL_1.2142
OG0004067	XP_006418756.1	evm.model.RL_1.2332
OG0004068	XP_006393120.1, XP_024016466.1	evm.model.RL_1.2757
OG0004069	XP_006393268.1	evm.model.RL_5.2090
OG0004070	XP_006407025.1	evm.model.RL_1.1418
OG0004071	XP_006402933.1	evm.model.RL_7.674
OG0004072	XP_024003910.1	evm.model.RL_6.2317
OG0004073	XP_006402703.1	evm.model.RL_7.429
OG0004074	XP_024014753.1, XP_006405369.1	evm.model.RL_2.129
OG0004075	XP_006398148.1	evm.model.RL_4.354
OG0004078	XP_024005223.1, XP_024011998.1	evm.model.RL_2.2263
OG0004080	XP_024006884.1	evm.model.RL_7.2483, evm.model.RL_7.2528, evm.model.RL_7.2471
OG0004081	XP_006407549.1, XP_006407546.1	evm.model.RL_1.943, evm.model.RL_1.994
OG0004082	XP_006396369.1	evm.model.RL_8.183, evm.model.RL_8.182, evm.model.RL_8.198
OG0004084	XP_006395628.1	evm.model.RL_7.2444
OG0004087	XP_006410342.1	evm.model.RL_6.1301
OG0004092	XP_006412693.1	evm.model.RL_2.2567
OG0004093	XP_006412649.1, XP_024005560.1	evm.model.RL_2.2598.1.687c86e6
OG0004095	XP_006412303.1	evm.model.RL_2.2900
OG0004096	XP_006412239.2	evm.model.RL_2.2954
OG0004097	XP_006392346.1	evm.model.RL_3.592
OG0004097	XP_024004322.1	evm.model.RL_3.594
OG0004098	XP_006417495.1	evm.model.RL_5.873
OG0004099	XP_006398518.1	evm.model.RL_7.2676
OG0004100	XP_024006860.1	evm.model.RL_7.2161
OG0004101	XP_006401451.1	evm.model.RL_8.1633
OG0004102	XP_006405288.1	evm.model.RL_2.190
OG0004103	XP_006407405.1	evm.model.RL_1.1095
OG0004105	XP_006401585.1	evm.model.RL_8.1526
OG0004106	XP_006401539.1	evm.model.RL_8.1566
OG0004107	XP_024010891.1	evm.model.RL_1.3004
OG0004108	XP_006401361.1	evm.model.RL_8.1701.5.687c855d
OG0004109	XP_006394793.1	evm.model.RL_4.2462
OG0004112	XP_006394498.1	evm.model.RL_8.2226
OG0004113	XP_006414091.2	evm.model.RL_2.1411
OG0004114	XP_006414088.1	evm.model.RL_2.1414
OG0004115	XP_006414060.1	evm.model.RL_2.1436
OG0004117	XP_006413805.1	evm.model.RL_2.1628
OG0004118	XP_006413743.1	evm.model.RL_2.1678
OG0004119	XP_006415067.1	evm.model.RL_5.2605
OG0004120	XP_024010066.1, XP_006413821.1	evm.model.RL_2.1619
OG0004121	XP_006393747.1	evm.model.RL_5.2351
OG0004122	XP_006393773.1	evm.model.RL_2.1003, evm.model.RL_5.2369
OG0004123	XP_006415610.1	evm.model.RL_6.1501, evm.model.RL_5.3013
OG0004124	XP_006415422.1	evm.model.RL_5.2853
OG0004125	XP_006411974.1	evm.model.RL_2.3182
OG0004126	XP_024011304.1	evm.model.RL_6.1785
OG0004126	XP_006410866.1	evm.model.RL_8.1159
OG0004127	XP_006411868.2	evm.model.RL_6.357
OG0004128	XP_006411647.1	evm.model.RL_2.3472
OG0004129	XP_024007892.1	evm.model.RL_5.616
OG0004130	XP_006405602.2	evm.model.RL_2.259
OG0004130	XP_006395314.1	evm.model.RL_7.2134
OG0004132	XP_006410510.1	evm.model.RL_6.1454, evm.model.RL_5.2394
OG0004133	XP_006403324.1	evm.model.RL_4.602
OG0004134	XP_006403380.1	evm.model.RL_4.665
OG0004134	XP_006393518.1	evm.model.RL_5.2228
OG0004135	XP_024009963.1	evm.model.RL_2.1905, evm.model.RL_8.684
OG0004136	XP_006396803.1	evm.model.RL_8.569
OG0004137	XP_006398409.1	evm.model.RL_4.85
OG0004138	XP_006414693.2	evm.model.RL_2.974
OG0004139	XP_006405384.1	evm.model.RL_2.112
OG0004140	XP_006397935.1	evm.model.RL_6.2893
OG0004141	XP_006397894.1	evm.model.RL_6.2851
OG0004142	XP_006397599.1	evm.model.RL_6.2545
OG0004143	XP_006397536.1	evm.model.RL_6.2490
OG0004144	XP_006411566.1	evm.model.RL_6.2419
OG0004145	XP_006411559.1	evm.model.RL_6.2413
OG0004146	XP_006402771.1	evm.model.RL_7.504
OG0004147	XP_006400672.1	evm.model.RL_4.1555
OG0004148	XP_006400714.1	evm.model.RL_4.1514
OG0004149	XP_006400806.1, XP_006400808.1, XP_006400807.1	evm.model.RL_4.1426.1.687c86d3
OG0004150	XP_006400879.1, XP_024009653.1	evm.model.RL_8.2087
OG0004151	XP_006401022.1	evm.model.RL_8.1975
