Orthogroup	Eutrema_salsugineum	Erysimum_linariifolium
OG0002249	XP_006401497.1	El007G337230
OG0002249	XP_024005263.1	El003G157420
OG0002250	XP_006401399.1	El007G336210
OG0002250	XP_024005403.1	El003G157820
OG0002251	XP_024011879.1	El007G335860
OG0002251	XP_006413183.1	El003G158040
OG0002252	XP_006401191.1	El007G334040
OG0002253	XP_006399795.1	El001G068650
OG0002253	XP_006415786.1	El002G112860
OG0002254	XP_006400503.1	El001G060910
OG0002254	XP_006399746.1	El001G069200
OG0002255	XP_024006829.1	El001G051670
OG0002255	XP_006399719.2	El001G069520
OG0002256	XP_006398242.1	El007G363770
OG0002256	XP_006414023.1	El003G167250
OG0002257	XP_006413672.1	El003G163280
OG0002258	XP_006415421.1	El002G117560
OG0002258	XP_024004138.1	El006G296290
OG0002259	XP_006412013.1	El003G145880
OG0002260	XP_006405173.1, XP_006405176.1, XP_006405179.2, XP_006405171.1, XP_006405168.2, XP_006405175.2, XP_024014014.1, XP_006405166.1, XP_006405169.1, XP_006413629.1, XP_006413632.1, XP_006413633.2	El001G010470, El003G184440, El003G162820, El003G184980, El003G184950, El003G185020
OG0002262	XP_006411909.1	El003G144880
OG0002262	XP_006404809.1	El006G318710
OG0002263	XP_006411774.1	El003G143360
OG0002263	XP_006404676.2	El006G320120
OG0002264	XP_006411658.2	El003G142130
OG0002265	XP_006405640.1	El003G189110
OG0002265	XP_006395281.1	El001G045450
OG0002266	XP_006403347.1	El007G357680
OG0002266	XP_006393606.1	El002G129390
OG0002267	XP_006414870.1	El003G176890
OG0002267	XP_024009232.1	El005G266960
OG0002268	XP_024014927.1	El005G264580
OG0002268	XP_024005665.1	El003G175120
OG0002269	XP_006414694.1	El003G174860
OG0002269	XP_006406101.1	El005G263150
OG0002270	XP_024015072.1	El005G262350
OG0002271	XP_006406202.1	El005G260990
OG0002271	XP_006414567.2, XP_006396034.2	El003G173930
OG0002272	XP_006414485.1	El003G172740
OG0002273	XP_006402530.1	El001G032880
OG0002273	XP_006397729.1	El006G282950
OG0002274	XP_006397605.1	El006G284460
OG0002274	XP_006402627.1	El001G031790
OG0002275	XP_006397594.1	El006G284670
OG0002276	XP_006397592.1	El006G284680
OG0002276	XP_006402637.1	El001G031600
OG0002277	XP_006402834.1	El001G029360
OG0002277	XP_006411487.1	El006G286890
OG0002278	XP_006402881.1	El001G028850
OG0002278	XP_006411441.1	El006G287540
OG0002279	XP_024012489.1, XP_006395895.2	El001G081630
OG0002279	XP_006408332.1	El005G237470
OG0002280	XP_006419090.1	El001G013710
OG0002280	XP_006400799.2	El001G057330
OG0002281	XP_006419086.1	El001G013790
OG0002281	XP_006400802.1	El001G057290
OG0002282	XP_006400863.1	El007G330640
OG0002282	XP_006400862.1	El007G330630
OG0002283	XP_006394041.2	El007G324760
OG0002284	XP_006418432.1	El002G083260
OG0002285	XP_006418558.1	El002G086190
OG0002286	XP_006418194.1	El002G085680
OG0002286	XP_006403136.1	El007G360160
OG0002287	XP_006418010.1	El002G087810
OG0002287	XP_006410325.1	El006G300410, El006G300400
OG0002288	XP_006410242.1	El006G301350
OG0002288	XP_006417946.1	El002G088600
OG0002289	XP_006417799.1, XP_024008212.1	El002G090020, El002G090050
OG0002290	XP_024015823.1	El006G307480
OG0002290	XP_006417691.1	El002G091150
OG0002291	XP_006412396.1	El003G149630
OG0002291	XP_024016002.1	El006G312770
OG0002292	XP_024012675.1	El001G066870
OG0002292	XP_006408522.1	El005G235470
OG0002293	XP_006408455.1	El005G236150
OG0002293	XP_006400066.1	El001G065990
OG0002294	XP_006400158.1	El001G065080
OG0002294	XP_006408398.1	El005G236870
OG0002295	XP_006400181.1	El001G064580
OG0002295	XP_006408384.1	El005G237020
OG0002296	XP_006408361.1	El005G237220
OG0002297	XP_024011859.1	El001G064150
OG0002298	XP_006400295.1	El001G063320
OG0002299	XP_024007328.1	El001G050710
OG0002299	XP_024014835.1	El005G240660
OG0002300	XP_006407908.1	El005G242040
OG0002300	XP_006395075.1	El007G345980, El007G345990
OG0002301	XP_024015614.1	El005G242210
OG0002301	XP_006395101.1	El007G346550
OG0002302	XP_006410887.1	El006G293460
OG0002302	XP_006403704.1	El001G023920
OG0002303	XP_024009748.1	El004G233970
OG0002303	XP_006416884.1	El002G099780
OG0002304	XP_006416829.2	El002G100300
OG0002304	XP_006389880.1	El004G233040
OG0002305	XP_024012471.1	El004G232750
OG0002305	XP_024008757.1	El002G100420
OG0002306	XP_006416793.1	El002G100650
OG0002306	XP_006389929.1	El004G232480
OG0002307	XP_006416573.1	El002G102920
OG0002307	XP_006390427.1	El004G226980
OG0002308	XP_006416334.1	El002G105470
OG0002308	XP_006390165.1	El004G229620
OG0002309	XP_006416256.1	El002G106340
OG0002309	XP_006390072.1	El004G230680
OG0002310	XP_006416241.1	El002G106460
OG0002310	XP_006390060.1	El004G230850
OG0002311	XP_006416046.1	El002G109270
OG0002311	XP_006390901.1	El004G221800
OG0002312	XP_006390919.1	El004G221700
OG0002313	XP_006415910.1	El002G110910
OG0002313	XP_006391056.1	El004G220160
OG0002314	XP_006415796.1	El002G112760
OG0002314	XP_006391250.1	El004G217990
OG0002315	XP_006412707.1	El003G152630
OG0002316	XP_006392480.1	El004G209540
OG0002318	XP_006392576.2	El002G141270
OG0002319	XP_006418305.1	El002G084470
OG0002320	XP_024009907.1	El001G001260
OG0002320	XP_006418415.2	El002G083470
OG0002321	XP_006407327.1	El005G248290
OG0002321	XP_006399849.1	El001G068110
OG0002322	XP_024012522.1	El001G077020, El001G078150
OG0002323	XP_024014859.1	El005G263160, El001G069990, El001G082130
OG0002325	XP_006407256.1	El005G249080
OG0002325	XP_006392589.1	El002G141030
OG0002326	XP_006407229.1	El005G249320
OG0002326	XP_006392617.1	El002G140680
OG0002327	XP_006392761.1	El002G139200
OG0002327	XP_006407088.1	El005G250670
OG0002328	XP_006406932.1	El005G252340
OG0002328	XP_006392894.1	El002G137520, El002G137510
OG0002329	XP_006406619.1	El005G255500
OG0002329	XP_006393359.1	El002G132570
OG0002330	XP_006393306.1	El005G255710, El002G133030
OG0002331	XP_006406322.1	El005G259080
OG0002331	XP_006393048.1	El002G135840
OG0002333	XP_006412228.1	El003G148020
OG0002333	XP_006409530.1	El005G273120
OG0002334	XP_006409006.1	El005G279220
OG0002334	XP_006412975.1	El003G155660
OG0002335	XP_024006290.1	El002G136920
OG0002336	XP_006406874.1	El005G252870
OG0002336	XP_006392943.2	El002G136900
OG0002337	XP_006403801.1	El001G022820
OG0002337	XP_024004143.1	El006G294940
OG0002338	XP_006403023.1	El001G027390
OG0002338	XP_006411286.1	El006G289280
OG0002339	XP_006411402.1	El006G287990
OG0002339	XP_006402910.1	El001G028500
OG0002340	XP_006409716.2	El004G214490
OG0002341	XP_024014028.1, XP_024009953.1, XP_024010525.1	El001G005430
OG0002341	XP_024010193.1	El001G005420
OG0002343	XP_024013370.1, XP_006404410.1	El001G016220, El001G016230, El006G306060
OG0002344	XP_024011173.1, XP_006401284.1	El007G335100
OG0002345	XP_024008163.1	El002G109230
OG0002348	XP_006412958.1	El003G155500
OG0002349	XP_006412940.1	El003G155320
OG0002349	XP_024016038.1	El005G278880
OG0002351	XP_006404903.1	El006G317660
OG0002351	XP_024004422.1	El003G152290
OG0002352	XP_006404968.1	El006G317030
OG0002352	XP_024005430.1	El003G151730
OG0002353	XP_006412140.1	El003G147220
OG0002354	XP_006410725.1	El006G295420
OG0002355	XP_006392477.1	El004G209620
OG0002355	XP_006408096.1	El005G240150
OG0002356	XP_006392319.2	El004G204590
OG0002357	XP_006402823.1	El001G029440
OG0002358	XP_006416987.1	El002G098690
OG0002359	XP_006417001.1	El002G098550
OG0002359	XP_006395802.1	El001G037270
OG0002361	XP_024014374.1	El003G191760
OG0002361	XP_024006691.1	El001G042240
OG0002362	XP_006395413.1	El001G042600
OG0002362	XP_006405491.1	El003G191330
OG0002363	XP_006395385.1	El001G043020
OG0002363	XP_024014780.1	El003G190900
OG0002364	XP_024009613.1	El004G214540
OG0002365	XP_024010596.1	El004G211800
OG0002365	XP_024006715.1	El003G183930
OG0002366	XP_006417213.1	El002G096130
OG0002366	XP_006391786.1	El004G196940
OG0002367	XP_024012117.1	El007G335420
OG0002367	XP_006413204.1	El003G158140
OG0002368	XP_006411373.1	El006G288350
OG0002368	XP_006402940.1	El001G028210
OG0002369	XP_024003777.1	El006G288930
OG0002369	XP_024003778.1	El006G288920
OG0002371	XP_024015502.1	El005G245120
OG0002371	XP_006398802.1	El001G079260
OG0002372	XP_024015337.1	El005G246400
OG0002372	XP_006398998.1	El001G076930
OG0002373	XP_006407365.1	El005G247940
OG0002374	XP_006402194.1	El007G344620
OG0002375	XP_006413562.1	El003G161880
OG0002375	XP_006401990.1	El007G342740
OG0002376	XP_006413299.1	El003G158980
OG0002376	XP_006401853.1	El007G341440
OG0002377	XP_006413074.1	El003G156770
OG0002378	XP_006413107.1	El003G157250
OG0002378	XP_006401538.1	El007G337590
OG0002379	XP_024004358.1	El003G158370
OG0002379	XP_006401263.1	El007G334930
OG0002380	XP_006394104.1	El007G325470
OG0002380	XP_006399478.1	El001G072110
OG0002381	XP_006399366.1	El001G073090
OG0002381	XP_006394252.1	El007G326910
OG0002382	XP_006399265.1	El001G073990
OG0002382	XP_024006999.1	El007G329610
OG0002383	XP_024010988.1	El007G364250
OG0002383	XP_006414096.1	El003G168040
OG0002384	XP_006398069.1	El007G361090
OG0002384	XP_006413874.1	El003G165450
OG0002385	XP_006396597.2	El001G004480
OG0002385	XP_006413825.1	El003G164980
OG0002386	XP_006396747.1	El001G006050
OG0002387	XP_006411914.1	El003G144930
OG0002387	XP_006404817.2	El006G318600
OG0002388	XP_006411887.2	El003G144440, El006G318890
OG0002389	XP_006411610.1	El003G141700
OG0002389	XP_006410701.2	El006G295660, El006G295670
OG0002390	XP_006403595.1, XP_006410691.1	El006G295770
OG0002390	XP_006415179.1	El002G119960
OG0002392	XP_006413823.1	El003G164970
OG0002392	XP_006396601.1	El001G004530
OG0002393	XP_006418678.1	El005G268410
OG0002394	XP_006414928.1	El003G177800
OG0002394	XP_006418746.1	El005G267670
OG0002395	XP_024004947.1	El003G177520
OG0002395	XP_006418765.2	El005G267420
OG0002396	XP_006406047.1	El005G264740
OG0002396	XP_024004714.1	El003G175150
OG0002397	XP_024014646.1	El003G191590
OG0002397	XP_006395444.1	El001G042350
OG0002398	XP_006398009.1	El006G279660
OG0002398	XP_006402312.1	El001G035390
OG0002399	XP_006402341.1	El001G035000
OG0002399	XP_006397967.1	El006G280110
OG0002400	XP_006397833.2	El006G281650
OG0002400	XP_024013022.1	El001G033850
OG0002401	XP_024010708.1	El006G282480
OG0002401	XP_006402503.1	El001G033130
OG0002402	XP_006397735.1	El006G282880
OG0002402	XP_024012912.1	El001G032900
OG0002403	XP_006390525.1	El004G226070
OG0002403	XP_006416645.1	El002G102140
OG0002404	XP_006397516.1	El006G285390
OG0002404	XP_006394664.1	El001G055880
OG0002406	XP_006400613.1	El001G059550
OG0002407	XP_006419135.1	El001G011720
OG0002408	XP_006419056.1	El001G014100
OG0002409	XP_006394100.2	El007G325390, El007G325400
OG0002410	XP_024013637.1	El001G019790
OG0002410	XP_006393965.1	El007G323940
OG0002411	XP_006390615.1	El004G224930
OG0002412	XP_024009079.1	El002G082990
OG0002412	XP_006396266.1	El001G000800
OG0002413	XP_006418437.1	El002G083180
OG0002414	XP_006418240.1	El002G085210
OG0002414	XP_006396527.1	El001G003680
OG0002415	XP_006418157.1	El002G086080
OG0002416	XP_006403234.1	El007G359070
OG0002416	XP_006418139.1	El002G086280
OG0002417	XP_024003830.1	El006G299220
OG0002417	XP_006418080.2	El002G087020
OG0002418	XP_006410331.1	El006G300310
OG0002418	XP_006418013.1	El002G087780
OG0002419	XP_006417882.1	El002G089160
OG0002419	XP_024003947.1	El006G302060
OG0002420	XP_006409812.1	El006G305970
OG0002420	XP_006409813.2	El006G305960
OG0002421	XP_006409753.1	El006G306490
OG0002421	XP_006417711.1	El002G090990
OG0002422	XP_006401534.1	El007G337560
OG0002422	XP_006413110.1	El003G157280
OG0002423	XP_006408441.1	El005G236330
OG0002423	XP_006400080.1	El001G065800
OG0002424	XP_006400112.1	El001G065490
OG0002424	XP_006408420.1	El005G236560
OG0002425	XP_006408416.1	El005G236610
OG0002425	XP_006400119.1	El001G065410
OG0002426	XP_006408413.1	El005G236680
OG0002426	XP_006400133.1	El001G065300
OG0002427	XP_006408340.1	El005G237400
OG0002427	XP_006400243.1	El001G063900
OG0002428	XP_024015519.1	El005G238480
OG0002428	XP_006400364.1	El001G062490
OG0002429	XP_006417840.1	El002G089590
OG0002429	XP_006417839.1	El002G089600
OG0002430	XP_006407756.1	El005G243730
OG0002430	XP_006407757.1	El005G243680
OG0002431	XP_006403472.1	El001G026210
OG0002432	XP_024004193.1	El006G290530
OG0002433	XP_024008159.1	El004G233690
OG0002433	XP_006416869.1	El002G099940
OG0002434	XP_006416789.1	El002G100670
OG0002435	XP_006390535.1	El004G225960
OG0002435	XP_006416627.1	El002G102360, El004G206980
OG0002436	XP_006416268.2	El002G106230
OG0002436	XP_006390082.1	El004G230570
OG0002437	XP_006416223.1	El002G107110, El002G106790
OG0002437	XP_006390029.1	El004G231310
OG0002438	XP_006416213.1	El002G107220
OG0002439	XP_024008892.1	El004G224090
OG0002439	XP_006416190.1	El002G107610
OG0002440	XP_024016495.1	El001G035970
OG0002441	XP_006416130.1	El002G108260
OG0002441	XP_006390814.1	El004G222870
OG0002442	XP_024009568.1	El004G222020
OG0002442	XP_006416073.1	El002G108880
OG0002443	XP_006415948.1	El002G111370
OG0002443	XP_006391013.1	El004G220580
OG0002444	XP_006391106.1	El004G219550
OG0002444	XP_006415897.1	El002G111750
OG0002445	XP_024011464.1	El007G341620
OG0002446	XP_006413042.1	El003G156370
OG0002446	XP_006401692.1	El007G339510
OG0002447	XP_024005798.1	El003G150140
OG0002447	XP_006405237.1	El006G313990
OG0002448	XP_024013581.1	El001G020660
OG0002448	XP_024006625.1	El002G127920
OG0002449	XP_006417174.1	El002G096500
OG0002449	XP_006395540.1	El001G041040
OG0002450	XP_024014436.1	El003G188190
OG0002450	XP_006417724.1	El002G090830
OG0002451	XP_006417735.1	El002G090710
OG0002451	XP_006409854.1	El006G305440
OG0002452	XP_006410015.1	El006G303300
OG0002453	XP_006396483.1	El001G003270
OG0002453	XP_006418268.1	El002G084870
OG0002454	XP_006418270.1	El002G084860
OG0002455	XP_006400242.1	El001G063910, El001G063930, El001G063920
OG0002456	XP_006400343.1	El001G062680
OG0002456	XP_024011790.1	El001G062570
OG0002457	XP_024012594.1	El001G061050
OG0002458	XP_024013676.1, XP_006403541.1	El001G025520
OG0002459	XP_006404302.1	El001G017590, El001G017580
OG0002460	XP_006401079.1	El007G333050
OG0002462	XP_006390185.1	El004G229430
OG0002462	XP_006416350.1	El002G105270
OG0002463	XP_006390213.1	El004G229130
OG0002463	XP_006416382.1	El002G104950
OG0002464	XP_006390435.1	El004G226900
OG0002464	XP_006390449.2	El007G349390
OG0002465	XP_006416913.1	El002G099440
OG0002465	XP_006389762.1	El004G234350
OG0002466	XP_006407141.1	El005G250120
OG0002467	XP_006392742.1	El005G250560
OG0002468	XP_006392821.2	El002G138520, El002G138640
OG0002468	XP_024015597.1	El005G251690
OG0002469	XP_006414392.1	El003G171620
OG0002469	XP_006406797.2	El005G253690
OG0002470	XP_006406729.1	El005G254370
OG0002470	XP_006393464.1	El002G131670
OG0002471	XP_006406708.1	El005G254560
OG0002472	XP_006406694.1	El005G254680
OG0002472	XP_006393408.1	El002G132000
OG0002473	XP_006406667.1	El005G254990
OG0002474	XP_006406152.1	El005G261440
OG0002475	XP_006414699.1	El003G174970
OG0002475	XP_006406092.1	El005G263640
OG0002477	XP_006412939.1	El003G155310
OG0002478	XP_024005964.1	El002G138420
OG0002479	XP_024003728.1	El006G296500
OG0002480	XP_006402988.2	El001G027760
OG0002482	XP_006418523.1, XP_006398412.1, XP_006398410.1	El007G366310
OG0002483	XP_006392618.1	El002G140670
OG0002484	XP_024011244.1, XP_024005129.1, XP_006401832.1	El003G189000, El007G335380, El007G335360, El007G335370
OG0002485	XP_006394883.1	El001G051370
OG0002489	XP_024012588.1	El007G341520
OG0002494	XP_006409019.1	El005G279490
OG0002494	XP_024005582.1	El003G155770
OG0002497	XP_006412586.1	El003G151460
OG0002498	XP_006412576.1	El003G151370
OG0002498	XP_006404999.2	El006G316700
OG0002499	XP_006400733.1	El001G058250
OG0002500	XP_006412257.1, XP_006409565.1	El005G272750
OG0002502	XP_006409615.1, XP_006410684.1	El006G295840
OG0002503	XP_024008309.1	El002G091630
OG0002504	XP_006392357.1	El004G205240
OG0002504	XP_006417527.1	El002G092800
OG0002505	XP_006417476.1	El002G093310
OG0002505	XP_006392245.1	El004G202180
OG0002506	XP_024016296.1	El004G201320
OG0002506	XP_024007869.1	El002G093580
OG0002507	XP_006395778.1	El001G037710
OG0002508	XP_006395722.1	El001G038290, El001G038360
OG0002508	XP_006417066.1	El002G097870
OG0002509	XP_024006830.1	El001G038690
OG0002510	XP_006417177.1	El002G096480
OG0002510	XP_006395535.1	El001G041110
OG0002511	XP_006395289.1	El001G044210, El001G044190, El001G044490
OG0002512	XP_006402628.1	El001G031800
OG0002512	XP_006392615.1	El002G140700
OG0002513	XP_006407517.1	El005G246100
OG0002513	XP_006398953.1	El001G077390, El001G077380, El001G077400
OG0002514	XP_024012250.1	El001G076750
OG0002515	XP_006407428.1	El005G247310
OG0002516	XP_006413282.1, XP_006413284.1	El003G158820, El003G158850
OG0002517	XP_006413036.1	El003G156320
OG0002517	XP_006401695.1	El007G339560, El007G339590
OG0002518	XP_006401444.2	El007G336590
OG0002518	XP_006413156.1	El003G157720
OG0002519	XP_006413158.1	El003G157740
OG0002519	XP_006401438.1	El007G336550
OG0002520	XP_006401395.1	El007G336170
OG0002520	XP_006413164.1	El003G157840
OG0002521	XP_006399720.1	El001G069500
OG0002522	XP_006394157.1	El007G326040
OG0002523	XP_006414233.1	El003G169650
OG0002524	XP_006396802.1	El001G006770
OG0002524	XP_006413619.1	El003G162670
OG0002525	XP_006397195.1	El001G010210
OG0002526	XP_006415455.1	El002G117200
OG0002526	XP_006413328.1	El003G159400
OG0002527	XP_006410651.1	El006G296150
OG0002527	XP_006415395.1	El002G117670
OG0002528	XP_006409220.2	El005G275510
OG0002528	XP_006412026.1	El003G146060
OG0002529	XP_024005744.1	El003G144970
OG0002529	XP_006404828.1	El006G318530
OG0002530	XP_006404763.1	El006G319160
OG0002530	XP_006411866.1	El003G144600
OG0002531	XP_006404691.1	El006G319950
OG0002531	XP_006411799.1	El003G143610
OG0002532	XP_024014226.1	El006G320540
OG0002532	XP_006405782.1, XP_006411739.1	El003G142840
OG0002533	XP_006411626.1	El003G141860
OG0002534	XP_006397203.1	El001G010270
OG0002535	XP_006396852.1	El001G007110
OG0002535	XP_006413590.1	El003G162450
OG0002536	XP_006413660.1	El003G163130
OG0002536	XP_024009997.1	El001G005980
OG0002537	XP_006396724.1	El001G005800
OG0002538	XP_006414820.1	El003G175970
OG0002538	XP_006414822.1	El003G175980
OG0002539	XP_006414708.1	El003G175060
OG0002539	XP_024005476.1	El003G175070
OG0002540	XP_006414486.1	El003G172750, El003G172760
OG0002541	XP_006402313.2	El001G035380
OG0002541	XP_006398008.1	El006G279670
OG0002542	XP_006397801.1	El006G281940
OG0002542	XP_006402470.1	El001G033580
OG0002543	XP_024012958.1	El001G033060
OG0002544	XP_024010859.1	El006G284960
OG0002544	XP_024012793.1	El001G031430
OG0002545	XP_006411428.1	El006G287730
OG0002547	XP_006402898.1, XP_006396062.1	El001G028670
OG0002547	XP_006411411.1	El006G287920
OG0002548	XP_006411059.2	El006G291740
OG0002548	XP_024012515.1	El001G079150
OG0002549	XP_006411248.1	El002G128910, El008G369100, El006G289730
OG0002551	XP_006418878.1	El001G015900
OG0002551	XP_006400946.1	El007G331580
OG0002552	XP_006394270.1	El007G327080
OG0002553	XP_006393906.1	El007G323340
OG0002553	XP_006404041.1	El001G020410
OG0002554	XP_024006718.1	El007G362220, El007G322730
OG0002555	XP_006396328.1	El001G001470
OG0002555	XP_024009065.1	El002G083720
OG0002556	XP_024010012.1	El001G001710
OG0002556	XP_006418367.1	El002G083870
OG0002557	XP_006417973.1	El002G088270
OG0002557	XP_006410282.1	El006G300960
OG0002558	XP_024008102.1	El005G264510
OG0002558	XP_006413117.2	El003G157330
OG0002559	XP_006408518.1	El005G235510
OG0002559	XP_006399983.1	El001G066790
OG0002560	XP_006400052.1	El001G066120
OG0002560	XP_006408464.1	El005G236030
OG0002561	XP_006400203.1	El001G064310
OG0002561	XP_006408365.1	El005G237190
OG0002562	XP_006395005.1	El001G048660
OG0002562	XP_006408134.1	El005G239710
OG0002565	XP_006403794.1	El006G294800
OG0002566	XP_006410932.2	El006G292910
OG0002567	XP_006416828.1	El002G100310
OG0002567	XP_006389883.1	El004G233020
OG0002568	XP_006390315.1	El004G227920
OG0002568	XP_024008265.1	El002G103940
OG0002569	XP_006390238.1	El004G228890
OG0002569	XP_024009109.1	El002G104640
OG0002570	XP_006416400.1	El002G104770
OG0002570	XP_006390224.1	El004G229000
OG0002571	XP_006390181.1	El004G229470
OG0002571	XP_006416346.1	El002G105310
OG0002572	XP_024011670.1	El004G230370
OG0002573	XP_006390923.1	El004G221650
OG0002573	XP_006416021.1	El002G109580
OG0002574	XP_006415899.1	El002G111730
OG0002574	XP_024006821.1	El004G219530
OG0002575	XP_006416009.1	El002G109730, El005G267440
OG0002576	XP_006417154.1	El002G096680
OG0002577	XP_006417804.1	El002G089980
OG0002578	XP_006417932.1, XP_006417931.1	El002G088740
OG0002579	XP_024008258.1	El002G088470
OG0002580	XP_006410335.1	El006G300270
OG0002580	XP_006418019.1	El002G087730
OG0002581	XP_006418376.1, XP_006418377.1	El002G083820, El002G094730
OG0002582	XP_006411285.1	El004G200330, El006G289290
OG0002583	XP_006404129.1	El001G019480
OG0002583	XP_006394720.1	El001G055030
OG0002584	XP_006404409.1	El001G016530
OG0002584	XP_006401041.1	El007G332610
OG0002585	XP_006400927.1	El007G331300
OG0002586	XP_006391125.1	El004G219360, El001G014990
OG0002587	XP_006390300.1	El004G228030
OG0002588	XP_006390440.1	El004G226850
OG0002589	XP_006416693.1	El002G101660
OG0002589	XP_006390622.1	El004G224850
OG0002590	XP_006407127.1	El005G250260
OG0002590	XP_006392722.1	El002G139700
OG0002591	XP_006407208.1	El005G249450
OG0002591	XP_006392644.1	El002G140370
OG0002592	XP_006392713.2	El002G139770
OG0002592	XP_006407134.1	El005G250190
OG0002593	XP_006392853.1	El002G137870
OG0002593	XP_006406964.1	El005G252050
OG0002594	XP_006392876.1	El002G137640
OG0002594	XP_006406945.1	El005G252250
OG0002595	XP_006392939.1	El002G136940
OG0002596	XP_024015241.1	El005G253420
OG0002596	XP_006414428.1	El003G172120
OG0002597	XP_006406748.1	El005G254160
OG0002597	XP_006393492.1	El002G131410
OG0002598	XP_006406684.1	El005G254770
OG0002598	XP_024006033.1	El002G132110
OG0002599	XP_006406237.1	El005G260140
OG0002601	XP_006392335.1, XP_006392345.1	El006G314180
OG0002601	XP_006412470.1	El003G150280
OG0002602	XP_006407266.1	El005G248970
OG0002603	XP_006406330.1	El005G258950
OG0002603	XP_006393059.1	El002G135710
OG0002604	XP_006393272.1	El002G133260
OG0002605	XP_006402985.1	El001G027780
OG0002605	XP_006411348.1	El006G288670
OG0002606	XP_006402822.1	El001G029450
OG0002607	XP_006402621.1	El001G015460, El001G031720
OG0002608	XP_024014948.1	El005G262740
OG0002610	XP_006414180.1	El003G168980
OG0002610	XP_024011126.1, XP_024011124.1	El007G364540
OG0002611	XP_006411111.1	El006G291190
OG0002612	XP_024005641.1	El003G150470
OG0002614	XP_006395519.1	El001G041300
OG0002615	XP_006416247.2, XP_006416246.2	El002G106430
OG0002617	XP_006393379.2	El003G186740, El003G186730, El004G205210
OG0002622	XP_024016004.1	El005G278680
OG0002622	XP_024004412.1	El003G155090
OG0002624	XP_006412430.1	El003G149920
OG0002626	XP_006412224.1	El003G147990, El002G127200
OG0002627	XP_024005171.1	El003G147850
OG0002627	XP_006409445.1	El005G273610
OG0002628	XP_006409405.1	El005G273920
OG0002628	XP_006412164.1	El003G147440
OG0002629	XP_006410666.1	El006G296020
OG0002629	XP_006415367.1	El002G118160
OG0002630	XP_006410715.1	El006G295540
OG0002631	XP_006410738.1	El006G295330
OG0002631	XP_006414306.1	El003G170530
OG0002632	XP_006392425.1	El004G207500
OG0002632	XP_006417592.1	El002G091990
OG0002633	XP_006417551.1	El002G092460
OG0002634	XP_006392284.1	El004G202960
OG0002634	XP_006417497.1	El002G093070
OG0002635	XP_006417353.1	El002G094740
OG0002635	XP_006391977.1	El004G199190
OG0002636	XP_006416979.1	El002G098770
OG0002636	XP_006395846.1	El001G036820
OG0002637	XP_006417065.1	El002G097880
OG0002637	XP_024007068.1	El001G038280
OG0002638	XP_024007440.1	El001G039710
OG0002638	XP_024008442.1	El002G096890
OG0002639	XP_006395500.1	El001G041580
OG0002639	XP_006398733.1	El001G080100
OG0002640	XP_006395337.1	El001G044240
OG0002640	XP_024006859.1	El001G044170
OG0002641	XP_006405624.1	El003G189270
OG0002641	XP_006395307.1	El001G044980
OG0002642	XP_006391504.1	El004G217310
OG0002642	XP_006405732.1	El003G188230
OG0002643	XP_024009245.1, XP_006405836.1	El003G186210
OG0002644	XP_024004569.1	El003G156560
OG0002645	XP_006401234.1	El007G334590
OG0002645	XP_006413246.1	El003G158500
OG0002646	XP_006398867.1	El001G078520
OG0002646	XP_006407591.1	El005G245580
OG0002647	XP_024005893.1	El003G160120
OG0002648	XP_006401738.1	El007G340010
OG0002648	XP_006413012.2	El003G156120
OG0002649	XP_024011217.1	El001G070270
OG0002650	XP_006401581.1	El007G338030
OG0002650	XP_006413080.1	El003G156860
OG0002651	XP_006401551.1	El007G337750
OG0002651	XP_024004325.1	El003G157080
OG0002652	XP_006401212.1	El007G334340
OG0002652	XP_006409098.1	El005G277370
OG0002653	XP_006399588.1	El001G070990
OG0002653	XP_006394759.1	El001G053980
OG0002654	XP_006394006.1	El007G324490
OG0002654	XP_024011632.1	El001G071380
OG0002655	XP_006399495.1	El001G071970
OG0002655	XP_006394069.2	El007G325070
OG0002656	XP_006394133.1	El007G325810
OG0002656	XP_006399456.1	El001G072320
OG0002657	XP_024004730.1	El003G168670
OG0002657	XP_024005487.1	El003G173070
OG0002658	XP_006413840.1	El003G165150
OG0002658	XP_024005714.1	El003G165140
OG0002659	XP_006413673.1	El003G163290
OG0002659	XP_024010188.1	El001G005870
OG0002660	XP_006396759.1	El001G006160
OG0002660	XP_006413641.1	El003G162910
OG0002661	XP_006413553.1	El003G161730
OG0002661	XP_006396917.1	El001G007610
OG0002662	XP_024010623.1	El002G123590
OG0002662	XP_006397184.1	El001G010040
OG0002663	XP_006410496.1	El006G298400
OG0002663	XP_006415698.1	El002G113730
OG0002664	XP_006412071.1	El003G146540
OG0002665	XP_006412025.1	El003G146040
OG0002665	XP_006409212.1	El005G275590
OG0002666	XP_006411995.1	El003G145720
OG0002667	XP_006411983.1	El003G145610
OG0002667	XP_006409162.1	El005G276690
OG0002668	XP_024005510.1	El003G145130
OG0002669	XP_006404747.2	El006G319320
OG0002670	XP_024014305.1	El006G320730
OG0002670	XP_024005293.1	El003G142680
OG0002671	XP_006405493.2	El003G191260
OG0002672	XP_006405600.1	El003G189620
OG0002672	XP_006405599.1	El003G189630
OG0002673	XP_024010059.1	El001G010320
OG0002673	XP_006416989.1	El002G098680
OG0002674	XP_006396750.1	El001G006080
OG0002675	XP_006413818.1	El003G164930
