Orthogroup	Conringia_planisiliqua	Odontarrhena_muralis
OG0001725	CP8_g54503_DN3_SP0_c.t1	Om007G295930
OG0001726	CP5_g1859_DN2_SP0_c.t1, CP5_g1858_DN3_SP0_c.t1	Om006G250130
OG0001726	CP66_g6455_DN1_SP0_c.t1, CP6_g7798_DN2_SP0_c.t1	Om009G362990, Om005G214280, Om006G258270, Om006G267810, Om008G320870, Om004G140910
OG0001729	CP6_g8309_DN3_SP0_c.t1, CP6_g7369_DN2_SP0_c.t1	Om003G101660
OG0001730	CP5_g1173_DN3_SP0_c.t1	Om001G022330
OG0001731	CP5_g993_DN3_SP8_c.t1	Om001G025510
OG0001731	CP5_g994_DN3_SP7_c.t1	Om001G025490
OG0001732	CP5_g985_DN3_SP0_c.t1	Om001G025650
OG0001732	CP10_g43623_DN2_SP0_c.t1	Om002G086510
OG0001733	CP5_g942_DN3_SP8_c.t1	Om001G026390
OG0001733	CP16_g55045_DN3_SP8_c.t1	Om004G155150, Om004G152530, Om004G152500
OG0001734	CP5_g906_DN3_SP8_c.t1, CP16_g54963_DN3_SP0_c.t1	Om001G027010
OG0001734	CP16_g55077_DN3_SP8_c.t1	Om004G154900, Om004G152250
OG0001735	CP17_g5100_DN2_SP0_c.t1	Om002G080750
OG0001735	CP5_g628_DN3_SP0_c.t1	Om001G031710
OG0001737	CP4_g25240_DN3_SP8_c.t1	Om005G224300, Om008G339290, Om005G224160
OG0001737	CP7_g44793_DN3_SP8_c.t1	Om007G291760
OG0001738	CP4_g25207_DN3_SP7_c.t1, CP7_g44644_DN3_SP8_c.t1	Om007G276800
OG0001739	CP2_g49568_DN3_SP7_c.t1	Om011G365610, Om020G374570
OG0001740	CP2_g49431_DN3_SP7_c.t1	Om005G219000
OG0001740	CP1_g37285_DN3_SP8_c.t1	Om005G188440
OG0001741	CP1_g37328_DN3_SP5_c.t1	Om005G188920
OG0001741	CP2_g49374_DN3_SP0_c.t1	Om006G242680
OG0001742	CP2_g49269_DN3_SP0_c.t1, CP2_g49271_DN3_SP0_c.t1	Om005G218130
OG0001742	CP12_g30923_DN3_SP0_c.t1	Om001G004530
OG0001743	CP1_g37413_DN3_SP8_c.t1	Om005G189990
OG0001743	CP2_g49155_DN3_SP8_c.t1	Om005G222730
OG0001744	CP19_g17931_DN3_SP0_c.t1	Om007G317860
OG0001744	CP13_g19312_DN3_SP2_c.t1	Om006G271810
OG0001745	CP13_g19261_DN3_SP8_c.t1	Om006G271170
OG0001745	CP5_g1356_DN3_SP4_c.t1	Om007G317150
OG0001746	CP13_g19189_DN3_SP0_c.t1, CP13_g19188_DN3_SP0_c.t1	Om001G030190
OG0001747	CP2_g48863_DN3_SP0_c.t1	Om002G084790
OG0001748	CP5_g1645_DN3_SP0_c.t1	Om007G314610
OG0001748	CP39_g21140_DN3_SP0_c.t1	Om005G213090
OG0001749	CP13_g19088_DN3_SP0_c.t1	Om005G228290
OG0001749	CP19_g17845_DN2_SP1_c.t1	Om007G318200
OG0001750	CP19_g17900_DN3_SP0_c.t1	Om004G171530
OG0001750	CP2_g48932_DN3_SP5_c.t1	Om005G226430
OG0001751	CP10_g43141_DN2_SP0_c.t1	Om002G055350
OG0001751	CP11_g33237_DN2_SP0_c.t1	Om004G170240
OG0001754	CP8_g52990_DN3_SP8_c.t1	Om003G112010
OG0001754	CP19_g18139_DN3_SP1_c.t1	Om007G285960
OG0001755	CP19_g18072_DN3_SP8_c.t1, CP8_g53210_DN3_SP0_c.t1	Om007G286780
OG0001756	CP8_g53247_DN3_SP0_c.t1	Om003G114260
OG0001757	CP8_g53574_DN3_SP8_c.t1, CP19_g17976_DN3_SP8_c.t1	Om003G118050
OG0001758	CP8_g54389_DN3_SP8_c.t1	Om006G241000
OG0001758	CP11_g32682_DN3_SP8_c.t1	Om004G162180
OG0001760	CP13_g19781_DN3_SP4_c.t1	Om008G362010
OG0001761	CP13_g19927_DN3_SP0_c.t1	Om008G358970, Om008G358940
OG0001761	CP6_g6947_DN3_SP0_c.t1	Om001G002630
OG0001762	CP13_g19950_DN3_SP8_c.t1	Om008G358630
OG0001763	CP6_g6832_DN3_SP7_c.t1	Om001G005220
OG0001766	CP20_g4218_DN3_SP6_c.t1	Om008G347910
OG0001766	CP7_g44573_DN3_SP8_c.t1	Om001G012050
OG0001767	CP9_g28809_DN3_SP7_c.t1	Om005G205800
OG0001767	CP7_g44452_DN3_SP6_c.t1	Om001G013410
OG0001768	CP7_g45086_DN3_SP0_c.t1	Om007G288330
OG0001769	CP10_g43735_DN3_SP0_c.t1	Om002G084600
OG0001769	CP5_g407_DN3_SP0_c.t1	Om001G035630
OG0001770	CP2_g47684_DN3_SP0_c.t1	Om006G230950
OG0001770	CP3_g14385_DN3_SP0_c.t1	Om006G259560
OG0001771	CP16_g54912_DN3_SP0_c.t1	Om004G154310
OG0001771	CP5_g230_DN2_SP0_c.t1	Om001G038770
OG0001772	CP5_g41_DN2_SP8_c.t1	Om001G041500
OG0001772	CP9_g28370_DN3_SP8_c.t1	Om005G211660
OG0001773	CP8_g53199_DN3_SP7_c.t1	Om003G113680
OG0001773	CP4_g25307_DN3_SP3_c.t1	Om008G340200
OG0001774	CP7_g45116_DN3_SP0_c.t1	Om007G287910
OG0001774	CP13_g20373_DN3_SP0_c.t1	Om008G341460
OG0001775	CP19_g18473_DN3_SP8_c.t1	Om001G008380
OG0001775	CP11_g31857_DN3_SP8_c.t1	Om008G353980
OG0001776	CP13_g20006_DN3_SP0_c.t1	Om008G357950
OG0001777	CP11_g32123_DN3_SP3_c.t1	Om004G159160
OG0001777	CP5_g1378_DN3_SP6_c.t1	Om007G316940
OG0001778	CP4_g23956_DN3_SP8_c.t1	Om008G319150
OG0001778	CP3_g13119_DN3_SP8_c.t1	Om003G128550
OG0001779	CP3_g13133_DN3_SP0_c.t1	Om003G128300
OG0001779	CP4_g23964_DN3_SP0_c.t1	Om008G319250
OG0001780	CP4_g24222_DN3_SP8_c.t1	Om008G322630
OG0001780	CP3_g13334_DN3_SP8_c.t1	Om003G125530
OG0001781	CP3_g13382_DN3_SP8_c.t1	Om003G124590
OG0001781	CP4_g24295_DN3_SP8_c.t1	Om008G323600
OG0001782	CP3_g13467_DN3_SP8_c.t1	Om003G123090
OG0001782	CP4_g24425_DN3_SP8_c.t1	Om008G325780
OG0001783	CP3_g16063_DN3_SP4_c.t1	Om008G359220
OG0001784	CP2_g47675_DN3_SP8_c.t1	Om006G230840
OG0001784	CP3_g14382_DN3_SP8_c.t1	Om006G259520
OG0001785	CP8_g54642_DN3_SP7_c.t1	Om004G157560
OG0001785	CP1_g36455_DN3_SP8_c.t1	Om005G178240
OG0001786	CP1_g36475_DN3_SP0_c.t1	Om005G178470
OG0001786	CP8_g54584_DN3_SP1_c.t1	Om004G158260
OG0001787	CP11_g32124_DN3_SP5_c.t1	Om004G159150
OG0001787	CP1_g36541_DN3_SP0_c.t1	Om005G179160
OG0001788	CP11_g32096_DN3_SP0_c.t1	Om004G159460
OG0001788	CP1_g36803_DN3_SP0_c.t1	Om005G179440, Om003G116020
OG0001790	CP4_g25612_DN3_SP6_c.t1	Om007G280560
OG0001790	CP1_g36897_DN3_SP5_c.t1	Om005G183490
OG0001791	CP1_g36928_DN3_SP8_c.t1	Om005G183900
OG0001791	CP4_g25664_DN3_SP8_c.t1	Om007G281060
OG0001792	CP4_g25742_DN3_SP8_c.t1	Om007G281860
OG0001792	CP1_g36988_DN3_SP8_c.t1	Om005G203340, Om005G184540
OG0001793	CP1_g37002_DN3_SP8_c.t1	Om005G184770
OG0001793	CP4_g25765_DN3_SP7_c.t1	Om007G282090
OG0001794	CP4_g25812_DN3_SP6_c.t1	Om007G282570
OG0001795	CP10_g42247_DN3_SP8_c.t1	Om002G043830
OG0001795	CP11_g32366_DN3_SP7_c.t1	Om007G298910
OG0001796	CP10_g42310_DN3_SP0_c.t1	Om002G044610
OG0001796	CP11_g32256_DN3_SP0_c.t1	Om007G297370
OG0001797	CP11_g32211_DN3_SP0_c.t1	Om007G296780
OG0001797	CP21_g11035_DN2_SP0_c.t1, CP4_g25872_DN2_SP0_c.t1, CP10_g42347_DN3_SP0_c.t1	Om002G045080
OG0001799	CP2_g48597_DN3_SP2_c.t1	Om007G293700
OG0001799	CP10_g42599_DN3_SP8_c.t1	Om002G048330
OG0001800	CP10_g42642_DN3_SP8_c.t1	Om002G048990
OG0001800	CP8_g54477_DN3_SP8_c.t1	Om007G295460
OG0001801	CP2_g48739_DN3_SP7_c.t1	Om007G305650
OG0001801	CP10_g42706_DN3_SP7_c.t1	Om002G049720
OG0001802	CP9_g28205_DN3_SP2_c.t1, CP9_g28203_DN3_SP0_c.t1, CP9_g28204_DN3_SP0_c.t1	Om004G157380
OG0001803	CP4_g25098_DN3_SP8_c.t1	Om008G337160
OG0001803	CP3_g14070_DN3_SP8_c.t1	Om006G255350
OG0001804	CP9_g29604_DN2_SP0_c.t1	Om007G278010
OG0001804	CP7_g46122_DN2_SP0_c.t1	Om005G197040
OG0001805	CP9_g29524_DN3_SP0_c.t1	Om004G132470
OG0001805	CP7_g46064_DN3_SP3_c.t1	Om005G197810
OG0001806	CP9_g28869_DN3_SP7_c.t1	Om004G142690
OG0001806	CP7_g46016_DN3_SP8_c.t1	Om005G198420
OG0001807	CP4_g25163_DN1_SP1_c.t1	Om008G338460, Om008G338470
OG0001807	CP7_g45806_DN2_SP0_c.t1	Om005G201470
OG0001808	CP9_g29252_DN3_SP0_c.t1	Om004G136980
OG0001808	CP7_g45731_DN3_SP0_c.t1	Om005G202440
OG0001809	CP9_g28616_DN1_SP0_c.t1	Om005G208300
OG0001809	CP7_g45372_DN3_SP0_c.t1	Om004G144770
OG0001810	CP7_g45295_DN3_SP0_c.t1, CP9_g28523_DN3_SP0_c.t1	Om004G146130
OG0001811	CP9_g28390_DN3_SP1_c.t1	Om005G211370
OG0001812	CP9_g28378_DN3_SP8_c.t1, CP7_g45200_DN3_SP8_c.t1	Om005G211590
OG0001815	CP8_g54475_DN3_SP3_c.t1	Om002G080770, Om007G295440
OG0001816	CP10_g42501_DN3_SP0_c.t1	Om002G047120
OG0001817	CP11_g33341_DN3_SP6_c.t1	Om004G171380
OG0001817	CP10_g43084_DN3_SP1_c.t1	Om002G054530
OG0001818	CP3_g14435_DN3_SP8_c.t1	Om006G260370
OG0001818	CP2_g48369_DN3_SP8_c.t1	Om006G239080
OG0001819	CP2_g47569_DN3_SP0_c.t1	Om006G229570
OG0001819	CP3_g14284_DN3_SP2_c.t1	Om006G258020
OG0001820	CP3_g14498_DN3_SP8_c.t1	Om006G261480
OG0001821	CP1_g37883_DN3_SP0_c.t1	Om003G094580
OG0001821	CP12_g29946_DN1_SP0_c.t1	Om002G061690
OG0001822	CP12_g30494_DN3_SP0_c.t1	Om002G069440
OG0001823	CP12_g29865_DN3_SP8_c.t1	Om002G088090, Om003G118780
OG0001824	CP4_g24979_DN3_SP7_c.t1	Om008G335410
OG0001824	CP3_g13986_DN3_SP8_c.t1	Om006G254330
OG0001825	CP4_g24740_DN2_SP2_c.t1	Om008G331140
OG0001826	CP3_g13677_DN3_SP8_c.t1	Om003G119720
OG0001826	CP4_g24606_DN3_SP8_c.t1	Om008G328620
OG0001827	CP3_g13652_DN3_SP0_c.t1	Om003G119940
OG0001828	CP4_g24268_DN3_SP4_c.t1	Om008G323210
OG0001828	CP3_g13372_DN3_SP8_c.t1	Om003G124760
OG0001833	CP5_g837_DN3_SP0_c.t1	Om001G028080
OG0001833	CP5_g838_DN3_SP0_c.t1	Om001G028070
OG0001835	CP7_g45748_DN3_SP0_c.t1	Om005G202280
OG0001836	CP2_g49056_DN3_SP1_c.t1	Om005G224440
OG0001837	CP11_g33390_DN3_SP0_c.t1	Om004G172140, Om004G172120, Om004G172110
OG0001838	CP6_g7086_DN3_SP3_c.t1, CP6_g7087_DN3_SP1_c.t1	Om001G000280, Om001G000290
OG0001839	CP6_g7993_DN3_SP0_c.t1, CP4_g25965_DN3_SP0_c.t1, CP11_g33672_DN3_SP0_c.t1	Om004G176150
OG0001844	CP5_g1074_DN3_SP0_c.t1	Om001G024060
OG0001844	CP10_g43545_DN3_SP0_c.t1	Om002G087490
OG0001845	CP5_g956_DN3_SP3_c.t1	Om001G026200
OG0001845	CP5_g957_DN3_SP1_c.t1, CP5_g958_DN3_SP0_c.t1	Om001G026130, Om001G026150, Om001G026160
OG0001846	CP10_g43839_DN3_SP8_c.t1	Om002G083690
OG0001846	CP5_g483_DN3_SP8_c.t1	Om001G034280
OG0001847	CP6_g7158_DN3_SP1_c.t1	Om007G276170
OG0001848	CP1_g37337_DN3_SP7_c.t1	Om005G189000
OG0001851	CP5_g1348_DN3_SP8_c.t1	Om007G317310
OG0001851	CP13_g19267_DN3_SP8_c.t1	Om006G271240
OG0001852	CP5_g1522_DN3_SP2_c.t1	Om007G315660
OG0001853	CP7_g44520_DN3_SP0_c.t1, CP3_g14974_DN3_SP0_c.t1, CP3_g14973_DN3_SP0_c.t1	Om006G255380, Om007G288500
OG0001854	CP9_g28096_DN3_SP0_c.t1	Om005G214490
OG0001855	CP9_g27789_DN3_SP3_c.t1	Om005G215030
OG0001856	CP2_g49035_DN2_SP0_c.t1	Om005G224800
OG0001856	CP1_g37512_DN3_SP0_c.t1	Om005G191370
OG0001858	CP11_g33475_DN3_SP7_c.t1	Om004G173240
OG0001858	CP10_g42989_DN3_SP7_c.t1	Om002G053140
OG0001859	CP10_g43017_DN3_SP8_c.t1	Om002G053510
OG0001859	CP11_g33439_DN3_SP8_c.t1	Om004G172790
OG0001860	CP11_g33340_DN3_SP7_c.t1	Om004G171350
OG0001860	CP10_g43085_DN3_SP8_c.t1	Om002G054540
OG0001862	CP11_g33247_DN3_SP1_c.t1	Om004G170140
OG0001862	CP10_g43148_DN3_SP0_c.t1	Om002G055460
OG0001863	CP19_g18122_DN3_SP7_c.t1	Om007G286190
OG0001863	CP8_g53051_DN3_SP0_c.t1	Om003G112570
OG0001864	CP5_g1286_DN3_SP6_c.t1, CP8_g53419_DN3_SP8_c.t1	Om003G116120
OG0001865	CP8_g53435_DN3_SP8_c.t1	Om003G116350
OG0001865	CP5_g1291_DN3_SP8_c.t1	Om001G020020
OG0001866	CP8_g53457_DN3_SP8_c.t1	Om003G116580
OG0001866	CP5_g1308_DN3_SP8_c.t1	Om001G019420
OG0001867	CP8_g53743_DN3_SP0_c.t1, CP19_g18058_DN3_SP0_c.t1	Om006G249280
OG0001868	CP8_g54382_DN3_SP6_c.t1	Om006G240910
OG0001868	CP11_g32722_DN3_SP3_c.t1	Om004G162720
OG0001869	CP2_g47732_DN3_SP8_c.t1	Om006G231560
OG0001869	CP11_g32872_DN3_SP8_c.t1	Om004G165280
OG0001870	CP2_g47756_DN3_SP0_c.t1	Om006G231800
OG0001870	CP11_g32886_DN3_SP0_c.t1	Om004G165450
OG0001871	CP2_g47777_DN3_SP0_c.t1	Om006G232050
OG0001871	CP11_g32925_DN3_SP0_c.t1	Om004G166020, Om004G166050
OG0001872	CP2_g47821_DN3_SP7_c.t1	Om006G232620
OG0001873	CP11_g32974_DN3_SP0_c.t1	Om004G166720
OG0001873	CP20_g4340_DN2_SP0_c.t1	Om004G166730
OG0001874	CP11_g33011_DN3_SP0_c.t1, CP3_g14810_DN3_SP0_c.t1, CP3_g14813_DN2_SP0_c.t1, CP3_g14818_DN1_SP0_c.t1, CP3_g14812_DN2_SP0_c.t1, CP3_g14815_DN1_SP0_c.t1, CP3_g15403_DN3_SP0_c.t1, CP3_g14814_DN3_SP0_c.t1, CP3_g14817_DN2_SP0_c.t1, CP3_g15406_DN2_SP0_c.t1, CP3_g15402_DN3_SP0_c.t1, CP3_g14816_DN2_SP0_c.t1	Om005G225550
OG0001875	CP11_g33072_DN3_SP8_c.t1	Om004G167850
OG0001875	CP2_g48241_DN3_SP8_c.t1	Om006G237550
OG0001876	CP2_g48209_DN3_SP8_c.t1, CP1_g38553_DN3_SP0_c.t1	Om006G237180
OG0001876	CP11_g33090_DN3_SP8_c.t1	Om004G168040
OG0001878	CP6_g7084_DN3_SP7_c.t1	Om001G000310
OG0001878	CP13_g19765_DN3_SP8_c.t1	Om008G362390
OG0001879	CP6_g7032_DN2_SP0_c.t1	Om001G001080
OG0001879	CP13_g19835_DN3_SP0_c.t1	Om006G254640
OG0001881	CP6_g6760_DN3_SP0_c.t1	Om001G006590
OG0001882	CP11_g31895_DN3_SP0_c.t1	Om008G354800
OG0001882	CP6_g6696_DN3_SP0_c.t1	Om001G007480
OG0001883	CP11_g31876_DN3_SP8_c.t1	Om008G354400
OG0001883	CP19_g18506_DN3_SP8_c.t1	Om001G008000
OG0001886	CP7_g44178_DN3_SP8_c.t1	Om001G014110
OG0001886	CP20_g4039_DN3_SP8_c.t1	Om008G343340
OG0001887	CP14_g23242_DN3_SP0_c.t1	Om008G344790
OG0001887	CP1_g41211_DN3_SP1_c.t1	Om001G014790
OG0001888	CP7_g44998_DN3_SP0_c.t1	Om007G289400
OG0001889	CP10_g43681_DN3_SP8_c.t1	Om002G085610
OG0001889	CP5_g360_DN3_SP6_c.t1	Om001G036380
OG0001890	CP5_g213_DN3_SP5_c.t1	Om001G039100
OG0001890	CP5_g214_DN3_SP5_c.t1	Om001G039090
OG0001891	CP19_g18046_DN3_SP8_c.t1	Om001G017880
OG0001891	CP1_g37367_DN3_SP6_c.t1	Om005G214820, Om005G189340
OG0001892	CP13_g20362_DN3_SP5_c.t1	Om008G341440
OG0001892	CP7_g45111_DN3_SP0_c.t1	Om007G287980
OG0001894	CP4_g24729_DN3_SP7_c.t1	Om008G330850
OG0001895	CP13_g19762_DN3_SP0_c.t1, CP13_g19764_DN3_SP0_c.t1	Om008G362400, Om008G362420, Om008G362410
OG0001896	CP6_g9451_DN2_SP0_c.t1	Om003G104810
OG0001896	CP10_g42751_DN2_SP0_c.t1	Om002G050160
OG0001897	CP12_g30763_DN3_SP3_c.t1	Om002G072930
OG0001897	CP6_g7616_DN3_SP0_c.t1	Om003G103660
OG0001898	CP12_g30638_DN3_SP3_c.t1	Om002G071120
OG0001898	CP6_g7447_DN3_SP0_c.t1	Om003G102430
OG0001899	CP12_g30571_DN3_SP0_c.t1	Om002G070370
OG0001900	CP19_g17847_DN3_SP8_c.t1	Om007G318210
OG0001901	CP1_g38301_DN3_SP6_c.t1	Om008G318990
OG0001901	CP3_g13132_DN3_SP8_c.t1	Om003G128330
OG0001902	CP3_g13182_DN3_SP0_c.t1	Om003G127700
OG0001902	CP4_g24024_DN3_SP0_c.t1	Om008G320130
OG0001903	CP3_g13327_DN3_SP0_c.t1	Om003G125620
OG0001903	CP4_g24214_DN3_SP0_c.t1	Om008G322500
OG0001904	CP4_g24223_DN3_SP0_c.t1	Om008G322650
OG0001905	CP3_g13389_DN3_SP8_c.t1	Om003G124360
OG0001905	CP4_g24310_DN3_SP7_c.t1	Om008G323900
OG0001910	CP11_g31931_DN3_SP3_c.t1	Om007G293120
OG0001910	CP1_g36708_DN3_SP2_c.t1	Om005G180580
OG0001911	CP13_g20290_DN3_SP0_c.t1	Om007G278040
OG0001911	CP1_g36641_DN3_SP0_c.t1	Om005G181450
OG0001912	CP4_g25548_DN3_SP8_c.t1	Om007G279800
OG0001912	CP1_g36838_DN3_SP8_c.t1	Om005G182830
OG0001913	CP4_g25579_DN3_SP4_c.t1	Om007G280140
OG0001915	CP4_g25627_DN3_SP2_c.t1	Om007G280730
OG0001915	CP1_g36907_DN3_SP1_c.t1	Om005G183620
OG0001916	CP4_g25791_DN3_SP0_c.t1	Om007G282370
OG0001917	CP1_g37057_DN3_SP0_c.t1	Om005G185570
OG0001918	CP18_g11542_DN3_SP8_c.t1	Om005G205290
OG0001919	CP11_g32529_DN3_SP0_c.t1	Om007G301400
OG0001919	CP10_g42126_DN3_SP0_c.t1	Om002G042440
OG0001920	CP11_g32332_DN3_SP0_c.t1	Om007G298360
OG0001920	CP10_g42264_DN3_SP8_c.t1	Om002G044080
OG0001921	CP11_g32329_DN3_SP8_c.t1	Om007G298300
OG0001921	CP10_g42269_DN3_SP8_c.t1	Om002G044130
OG0001922	CP10_g42556_DN3_SP4_c.t1	Om002G047840
OG0001922	CP2_g48571_DN3_SP6_c.t1	Om007G294100
OG0001923	CP4_g24793_DN3_SP0_c.t1	Om006G263060
OG0001923	CP3_g13842_DN3_SP2_c.t1	Om006G252450
OG0001925	CP4_g24928_DN3_SP0_c.t1	Om008G334680
OG0001926	CP4_g24907_DN3_SP7_c.t1	Om008G334240
OG0001926	CP3_g14184_DN3_SP8_c.t1	Om006G256730
OG0001927	CP9_g29669_DN3_SP7_c.t1	Om004G130460
OG0001927	CP7_g46165_DN3_SP8_c.t1	Om005G196440
OG0001928	CP9_g29481_DN3_SP0_c.t1	Om004G133220
OG0001928	CP7_g46033_DN3_SP5_c.t1	Om005G198220
OG0001929	CP9_g28934_DN3_SP8_c.t1	Om004G141960
OG0001930	CP7_g45885_DN1_SP0_c.t1	Om005G200480
OG0001930	CP9_g29077_DN3_SP0_c.t1	Om004G139600
OG0001931	CP9_g29111_DN3_SP8_c.t1	Om004G138990
OG0001931	CP7_g45864_DN3_SP8_c.t1	Om005G200760
OG0001932	CP7_g45819_DN3_SP3_c.t1	Om005G201280
OG0001932	CP9_g29146_DN3_SP1_c.t1	Om004G138920
OG0001933	CP7_g45654_DN3_SP7_c.t1, CP9_g29330_DN3_SP8_c.t1	Om004G135540
OG0001934	CP7_g45571_DN3_SP8_c.t1	Om005G204640
OG0001935	CP7_g45468_DN3_SP3_c.t1	Om004G143370
OG0001935	CP9_g28700_DN3_SP6_c.t1	Om005G207130
OG0001937	CP7_g45313_DN3_SP8_c.t1	Om004G145490
OG0001937	CP9_g28555_DN3_SP8_c.t1	Om005G209270
OG0001938	CP7_g45157_DN3_SP0_c.t1	Om005G200410
OG0001938	CP7_g45158_DN3_SP2_c.t1	Om006G237050
OG0001939	CP16_g54770_DN3_SP8_c.t1	Om004G156080
OG0001939	CP5_g90_DN3_SP8_c.t1	Om001G040860
OG0001940	CP3_g13148_DN3_SP0_c.t1, CP2_g48798_DN3_SP0_c.t1	Om003G128050
OG0001941	CP18_g12616_DN3_SP0_c.t1, CP8_g54425_DN3_SP0_c.t1, CP8_g54424_DN3_SP0_c.t1	Om008G361130
OG0001942	CP10_g43361_DN2_SP4_c.t1	Om002G058530
OG0001943	CP10_g43133_DN3_SP8_c.t1	Om006G260840, Om002G055280
OG0001944	CP10_g43118_DN3_SP3_c.t1	Om002G055050
OG0001944	CP11_g33212_DN3_SP4_c.t1	Om004G170530
OG0001945	CP3_g14421_DN1_SP0_c.t1	Om006G239300
OG0001946	CP2_g48294_DN3_SP0_c.t1	Om006G238210
OG0001948	CP8_g54174_DN3_SP0_c.t1	Om006G243640
OG0001949	CP8_g54279_DN3_SP2_c.t1	Om006G242170, Om008G349600
OG0001950	CP10_g43359_DN3_SP8_c.t1	Om002G058500
OG0001950	CP7_g46345_DN3_SP8_c.t1	Om003G091220
OG0001951	CP10_g43463_DN3_SP8_c.t1	Om002G060120
OG0001951	CP7_g46250_DN3_SP8_c.t1	Om003G093170
OG0001952	CP6_g7271_DN2_SP0_c.t1	Om003G100590
OG0001953	CP12_g30272_DN3_SP0_c.t1	Om002G066670
OG0001953	CP1_g38130_DN3_SP0_c.t1	Om003G097860
OG0001954	CP12_g30435_DN3_SP8_c.t1	Om002G068670
OG0001955	CP1_g37958_DN3_SP8_c.t1	Om003G095570
OG0001955	CP12_g30480_DN3_SP4_c.t1	Om002G069310
OG0001956	CP10_g44086_DN3_SP6_c.t1	Om002G081680
OG0001957	CP4_g25269_DN3_SP8_c.t1	Om008G339760
OG0001957	CP7_g44853_DN3_SP8_c.t1	Om007G291060
OG0001958	CP15_g34752_DN2_SP0_c.t1	Om002G080310
OG0001959	CP3_g13418_DN3_SP0_c.t1	Om003G123980
OG0001960	CP10_g43814_DN3_SP0_c.t1, CP7_g46220_DN3_SP0_c.t1	Om003G093690
OG0001961	CP1_g38078_DN3_SP8_c.t1	Om003G097180
OG0001962	CP7_g44261_DN3_SP0_c.t1, CP7_g44409_DN3_SP0_c.t1	Om001G016520, Om001G004390, Om001G004380, Om005G185120
OG0001963	CP11_g32024_DN3_SP0_c.t1	Om004G160330
OG0001971	CP5_g1083_DN3_SP8_c.t1	Om001G023940
OG0001972	CP5_g969_DN3_SP7_c.t1	Om001G026000
OG0001972	CP10_g43642_DN3_SP8_c.t1	Om002G086100
OG0001973	CP5_g901_DN3_SP3_c.t1	Om001G027090
OG0001974	CP5_g862_DN3_SP0_c.t1	Om001G027730
OG0001975	CP5_g646_DN3_SP8_c.t1	Om001G031270
OG0001976	CP5_g532_DN2_SP0_c.t1	Om001G033290
OG0001977	CP4_g25167_DN3_SP8_c.t1	Om008G338230
OG0001977	CP6_g7178_DN3_SP4_c.t1	Om007G275940, Om007G275980
OG0001978	CP1_g37420_DN3_SP8_c.t1	Om005G190090
OG0001979	CP13_g19571_DN3_SP8_c.t1	Om006G274640
OG0001979	CP1_g37758_DN3_SP8_c.t1	Om005G194690
OG0001980	CP13_g19549_DN3_SP8_c.t1	Om006G274410
OG0001980	CP1_g37741_DN3_SP8_c.t1	Om005G194480
OG0001981	CP1_g37606_DN3_SP5_c.t1	Om005G192640
OG0001982	CP13_g19344_DN3_SP5_c.t1	Om006G272160
OG0001982	CP1_g37590_DN3_SP7_c.t1	Om005G192430
OG0001983	CP13_g19291_DN3_SP8_c.t1	Om006G271570
OG0001983	CP19_g17946_DN3_SP8_c.t1	Om007G317710
OG0001984	CP13_g19278_DN3_SP8_c.t1	Om006G271340
OG0001984	CP5_g1335_DN3_SP8_c.t1	Om007G317420
OG0001985	CP2_g48997_DN3_SP0_c.t1, CP1_g37535_DN1_SP0_c.t1	Om005G191720
OG0001986	CP3_g13678_DN3_SP8_c.t1	Om003G119710
OG0001986	CP4_g24605_DN3_SP2_c.t1	Om008G328610
OG0001987	CP11_g33479_DN3_SP7_c.t1	Om004G173310
OG0001987	CP10_g42987_DN3_SP8_c.t1	Om002G053110
OG0001988	CP10_g43091_DN3_SP6_c.t1	Om002G054590
OG0001988	CP11_g33327_DN3_SP8_c.t1	Om004G171170
OG0001989	CP10_g43104_DN3_SP0_c.t1	Om002G054880
OG0001989	CP11_g33199_DN3_SP0_c.t1	Om004G170700
OG0001990	CP8_g53400_DN3_SP8_c.t1	Om003G115910
OG0001991	CP8_g53486_DN2_SP0_c.t1, CP19_g17947_DN3_SP0_c.t1	Om003G116940
OG0001992	CP8_g53575_DN3_SP0_c.t1	Om003G118060
OG0001993	CP8_g53598_DN3_SP8_c.t1	Om003G118380
OG0001995	CP11_g32710_DN3_SP6_c.t1	Om004G162520
OG0001995	CP8_g54386_DN3_SP2_c.t1	Om006G240960
OG0001997	CP11_g32963_DN3_SP8_c.t1	Om004G166500
OG0001997	CP16_g54907_DN3_SP8_c.t1	Om004G154290
OG0001998	CP11_g32983_DN2_SP0_c.t1	Om004G166800
OG0001998	CP2_g47877_DN3_SP0_c.t1	Om006G233220
OG0001999	CP11_g33132_DN3_SP1_c.t1	Om004G168530
OG0001999	CP2_g48147_DN3_SP0_c.t1	Om006G236530
OG0002000	CP2_g48123_DN3_SP7_c.t1	Om006G236270
OG0002000	CP11_g33164_DN3_SP7_c.t1	Om004G169020
OG0002001	CP13_g19827_DN3_SP0_c.t1	Om008G361450
OG0002001	CP6_g7038_DN3_SP0_c.t1	Om001G001010
OG0002002	CP6_g6829_DN2_SP4_c.t1	Om001G005240
OG0002002	CP13_g20093_DN3_SP7_c.t1	Om008G356940
OG0002003	CP19_g18464_DN3_SP8_c.t1	Om001G008610
OG0002003	CP11_g31827_DN3_SP7_c.t1	Om008G353820
