Orthogroup	Conringia_planisiliqua	Aethionema_saxatile
OG0002295	CP11_g32328_DN3_SP8_c.t1, CP10_g42268_DN3_SP6_c.t1	As006G135770
OG0002296	CP13_g19081_DN1_SP0_c.t1, CP10_g42288_DN3_SP0_c.t1	As006G135950
OG0002297	CP11_g32286_DN3_SP8_c.t1	As009G202760
OG0002297	CP10_g42293_DN3_SP1_c.t1	As006G136000
OG0002298	CP10_g42342_DN3_SP2_c.t1	As006G136540
OG0002299	CP1_g39598_DN3_SP0_c.t1, CP2_g48567_DN3_SP4_c.t1	As009G205760
OG0002299	CP10_g42562_DN3_SP2_c.t1	As006G139080
OG0002300	CP2_g48703_DN3_SP3_c.t1	As009G208050
OG0002301	CP10_g42699_DN3_SP8_c.t1, CP2_g48729_DN3_SP8_c.t1	As006G140570
OG0002302	CP4_g25033_DN3_SP0_c.t1	As006G145700
OG0002302	CP3_g14028_DN3_SP0_c.t1	As012G276990
OG0002303	CP9_g29665_DN3_SP8_c.t1	As010G243690
OG0002303	CP7_g46160_DN3_SP8_c.t1	As007G152260
OG0002304	CP7_g46111_DN3_SP8_c.t1	As007G152800
OG0002304	CP9_g29588_DN3_SP8_c.t1	As010G242920
OG0002305	CP9_g29565_DN3_SP7_c.t1	As010G242620
OG0002305	CP7_g46100_DN3_SP6_c.t1	As007G152910
OG0002306	CP7_g46080_DN3_SP7_c.t1	As007G153120
OG0002306	CP9_g29544_DN3_SP8_c.t1	As010G242410
OG0002307	CP7_g45881_DN3_SP2_c.t1	As007G155170
OG0002307	CP9_g29083_DN3_SP1_c.t1	As010G239080
OG0002308	CP7_g45663_DN3_SP8_c.t1	As007G157100
OG0002308	CP9_g29316_DN3_SP8_c.t1	As010G236750
OG0002309	CP7_g45593_DN3_SP4_c.t1	As007G157880
OG0002309	CP9_g29403_DN3_SP8_c.t1	As010G235820
OG0002310	CP7_g45585_DN3_SP8_c.t1	As007G158020
OG0002310	CP9_g29416_DN3_SP8_c.t1	As010G235690
OG0002311	CP7_g45397_DN3_SP1_c.t1	As007G159800
OG0002311	CP9_g28639_DN3_SP8_c.t1	As010G233250
OG0002313	CP7_g45274_DN3_SP3_c.t1	As007G160900
OG0002313	CP9_g28497_DN3_SP8_c.t1	As010G232070
OG0002314	CP7_g45167_DN3_SP8_c.t1	As007G161970
OG0002314	CP9_g28320_DN3_SP6_c.t1	As010G228200
OG0002315	CP5_g955_DN3_SP0_c.t1, CP16_g55033_DN3_SP5_c.t1	As007G179120
OG0002316	CP1_g37176_DN2_SP0_c.t1	As008G189100
OG0002318	CP1_g37045_DN2_SP0_c.t1	As008G192040
OG0002321	CP10_g43208_DN3_SP6_c.t1, CP11_g32615_DN3_SP8_c.t1	As009G210450
OG0002323	CP28_g33846_DN1_SP0_c.t1, CP2_g49430_DN1_SP0_c.t1	As010G226620
OG0002324	CP9_g28741_DN3_SP3_c.t1	As010G234070, As010G234060
OG0002325	CP10_g43273_DN3_SP0_c.t1	As011G245000
OG0002325	CP7_g46439_DN3_SP0_c.t1	As012G267960
OG0002326	CP10_g43300_DN3_SP0_c.t1	As011G245270
OG0002326	CP7_g46410_DN3_SP0_c.t1	As012G268280
OG0002327	CP7_g46293_DN3_SP0_c.t1	As012G269490
OG0002327	CP10_g43413_DN3_SP0_c.t1	As011G246480
OG0002328	CP12_g29910_DN3_SP3_c.t1	As011G247870
OG0002328	CP1_g37860_DN3_SP1_c.t1	As012G270520
OG0002329	CP12_g30169_DN3_SP0_c.t1	As011G250400
OG0002329	CP1_g38234_DN3_SP0_c.t1	As012G273150
OG0002330	CP1_g38200_DN3_SP1_c.t1	As012G273200
OG0002330	CP12_g30179_DN3_SP7_c.t1	As011G250470
OG0002331	CP12_g30458_DN3_SP8_c.t1, CP28_g33918_DN3_SP0_c.t1	As011G253230
OG0002331	CP1_g37976_DN3_SP8_c.t1	As012G271530
OG0002333	CP5_g564_DN3_SP8_c.t1	As011G262900
OG0002334	CP12_g29827_DN2_SP1_c.t1, CP5_g1174_DN3_SP1_c.t1	As011G267380
OG0002335	CP12_g29964_DN3_SP7_c.t1	As012G270830
OG0002336	CP1_g37899_DN3_SP8_c.t1	As012G270850
OG0002337	CP3_g14123_DN3_SP0_c.t1	As012G276000
OG0002338	CP3_g13741_DN3_SP8_c.t1, CP4_g24690_DN3_SP6_c.t1	As012G282580
OG0002339	CP16_g55633_DN3_SP7_c.t1, CP3_g13636_DN3_SP3_c.t1	As012G283640
OG0002348	CP12_g29834_DN3_SP7_c.t1, CP5_g1160_DN3_SP8_c.t1	As001G000290
OG0002349	CP5_g1140_DN3_SP8_c.t1	As001G000470
OG0002349	CP12_g29855_DN3_SP7_c.t1	As011G267120
OG0002351	CP16_g55059_DN3_SP0_c.t1, CP16_g55058_DN3_SP8_c.t1	As007G178570
OG0002351	CP5_g927_DN3_SP7_c.t1	As001G002790
OG0002352	CP16_g55112_DN3_SP8_c.t1	As007G178130
OG0002352	CP5_g873_DN3_SP6_c.t1	As001G003450
OG0002353	CP5_g495_DN3_SP5_c.t1	As001G015080, As001G015070
OG0002354	CP4_g25180_DN3_SP8_c.t1	As004G079070
OG0002355	CP2_g50300_DN3_SP6_c.t1, CP10_g42515_DN3_SP5_c.t1	As001G018710
OG0002356	CP1_g37252_DN2_SP0_c.t1	As008G188060
OG0002356	CP2_g49488_DN3_SP1_c.t1	As001G019650
OG0002357	CP3_g13555_DN3_SP8_c.t1	As001G020450
OG0002357	CP1_g37339_DN3_SP8_c.t1	As008G187120
OG0002358	CP13_g19614_DN3_SP0_c.t1	As008G182760, As001G023080
OG0002359	CP1_g37761_DN3_SP8_c.t1	As008G182860
OG0002359	CP13_g19588_DN3_SP8_c.t1	As001G023380
OG0002360	CP13_g19575_DN3_SP7_c.t1	As001G023460, As001G023470
OG0002361	CP5_g1338_DN3_SP0_c.t1	As004G097560
OG0002361	CP13_g19271_DN2_SP2_c.t1	As001G026270
OG0002362	CP5_g1370_DN2_SP0_c.t1	As004G097290
OG0002363	CP13_g19216_DN3_SP8_c.t1, CP5_g1390_DN3_SP2_c.t1	As001G026840
OG0002364	CP9_g28085_DN3_SP0_c.t1, CP9_g28075_DN3_SP0_c.t1	As001G029260
OG0002365	CP9_g27571_DN3_SP0_c.t1	As001G029650
OG0002365	CP5_g2063_DN3_SP0_c.t1	As004G076890
OG0002366	CP1_g37565_DN3_SP8_c.t1, CP2_g48970_DN3_SP8_c.t1	As001G031630
OG0002367	CP8_g53646_DN2_SP0_c.t1	As002G048220
OG0002367	CP19_g18007_DN3_SP0_c.t1	As002G033030
OG0002368	CP4_g24612_DN2_SP0_c.t1, CP4_g24615_DN2_SP0_c.t1	As002G033500, As002G033510
OG0002369	CP4_g24660_DN3_SP1_c.t1, CP4_g24659_DN3_SP2_c.t1	As002G033860
OG0002371	CP10_g42956_DN3_SP8_c.t1	As002G034980
OG0002371	CP11_g33540_DN3_SP5_c.t1	As005G108380
OG0002372	CP10_g43065_DN3_SP0_c.t1	As002G036740
OG0002372	CP11_g33360_DN3_SP0_c.t1	As009G213590
OG0002373	CP10_g43178_DN3_SP8_c.t1	As002G038720
OG0002374	CP19_g18187_DN3_SP3_c.t1, CP8_g52378_DN3_SP5_c.t1	As002G040940
OG0002375	CP19_g18328_DN3_SP0_c.t1	As003G061380
OG0002375	CP8_g53035_DN3_SP0_c.t1	As002G043310
OG0002376	CP19_g18091_DN3_SP0_c.t1	As007G165370
OG0002376	CP8_g53172_DN3_SP4_c.t1	As002G044030
OG0002377	CP5_g1267_DN3_SP7_c.t1	As006G132320
OG0002377	CP8_g53395_DN3_SP7_c.t1	As002G045900
OG0002378	CP5_g1299_DN3_SP8_c.t1	As006G132580
OG0002378	CP8_g53444_DN3_SP8_c.t1	As002G046560
OG0002379	CP8_g53684_DN3_SP8_c.t1	As002G048600
OG0002380	CP2_g47812_DN3_SP8_c.t1	As005G117870
OG0002380	CP11_g32938_DN3_SP6_c.t1	As002G053410
OG0002381	CP11_g33024_DN3_SP7_c.t1	As002G054200
OG0002381	CP2_g47942_DN3_SP7_c.t1	As005G116610
OG0002382	CP11_g33112_DN3_SP5_c.t1	As002G054990
OG0002382	CP2_g48178_DN3_SP2_c.t1	As009G217890
OG0002383	CP6_g6963_DN3_SP7_c.t1	As003G056960
OG0002384	CP6_g6795_DN3_SP6_c.t1	As003G058560
OG0002385	CP6_g6750_DN3_SP8_c.t1	As003G059010
OG0002386	CP11_g31780_DN3_SP0_c.t1	As004G085290
OG0002388	CP5_g263_DN3_SP0_c.t1	As003G073710
OG0002389	CP5_g9_DN3_SP4_c.t1, CP4_g25200_DN3_SP2_c.t1	As003G075930
OG0002390	CP4_g25212_DN3_SP4_c.t1, CP7_g44638_DN3_SP0_c.t1	As004G079660
OG0002391	CP20_g4208_DN3_SP0_c.t1, CP20_g4206_DN2_SP0_c.t1	As004G083620
OG0002392	CP6_g6749_DN3_SP3_c.t1, CP11_g31923_DN3_SP8_c.t1	As004G086380
OG0002393	CP6_g8609_DN3_SP0_c.t1	As004G093590
OG0002394	CP6_g8036_DN3_SP6_c.t1	As004G094020
OG0002394	CP12_g30834_DN3_SP7_c.t1	As011G256530
OG0002395	CP6_g7945_DN3_SP0_c.t1	As011G256330, As004G094350
OG0002396	CP12_g30694_DN3_SP8_c.t1	As011G255320
OG0002396	CP6_g7512_DN3_SP8_c.t1	As004G095390
OG0002397	CP5_g1354_DN3_SP0_c.t1, CP13_g19262_DN3_SP0_c.t1	As004G097460
OG0002398	CP4_g23913_DN3_SP8_c.t1	As005G098570
OG0002398	CP3_g13093_DN3_SP7_c.t1	As012G288950
OG0002399	CP4_g23953_DN3_SP2_c.t1	As005G099170
OG0002400	CP4_g24080_DN3_SP7_c.t1	As005G100690
OG0002400	CP3_g13223_DN3_SP7_c.t1	As012G287710
OG0002401	CP4_g24141_DN3_SP8_c.t1	As005G101260
OG0002402	CP4_g24177_DN3_SP8_c.t1	As005G101600
OG0002402	CP3_g13300_DN3_SP3_c.t1	As012G287030
OG0002403	CP9_g29005_DN3_SP8_c.t1	As005G103330, As010G239880
OG0002404	CP4_g24381_DN3_SP6_c.t1	As005G103860
OG0002404	CP2_g48324_DN3_SP8_c.t1	As009G216560
OG0002405	CP13_g19377_DN2_SP0_c.t1	As005G105420, As005G105440, As005G105430
OG0002406	CP8_g54273_DN3_SP5_c.t1, CP3_g16539_DN3_SP4_c.t1	As005G111770
OG0002407	CP3_g15990_DN2_SP0_c.t1	As010G227090
OG0002408	CP3_g14893_DN3_SP2_c.t1	As010G225340
OG0002408	CP8_g54076_DN3_SP7_c.t1	As005G114180
OG0002409	CP2_g47807_DN3_SP0_c.t1	As005G117920
OG0002410	CP2_g47691_DN3_SP3_c.t1	As005G119040
OG0002411	CP9_g28920_DN3_SP6_c.t1	As010G240950, As006G120970
OG0002412	CP1_g36439_DN3_SP0_c.t1, CP8_g54618_DN3_SP8_c.t1	As006G121270
OG0002413	CP8_g54644_DN3_SP8_c.t1	As006G121580
OG0002413	CP1_g36456_DN3_SP7_c.t1	As008G198970
OG0002414	CP1_g36733_DN3_SP0_c.t1	As008G197140
OG0002414	CP11_g31994_DN3_SP1_c.t1	As006G123790
OG0002416	CP1_g36645_DN3_SP6_c.t1	As006G125040, As008G196270
OG0002417	CP4_g25470_DN3_SP0_c.t1	As006G125930
OG0002417	CP1_g36585_DN3_SP2_c.t1	As008G195600
OG0002418	CP4_g25556_DN3_SP7_c.t1	As006G126740
OG0002418	CP1_g36847_DN3_SP8_c.t1	As008G194760
OG0002419	CP1_g36962_DN3_SP0_c.t1	As008G193350
OG0002419	CP4_g25698_DN3_SP4_c.t1	As006G127970
OG0002421	CP1_g37107_DN3_SP6_c.t1	As006G130420
OG0002422	CP8_g53447_DN3_SP8_c.t1	As006G132600
OG0002423	CP10_g42210_DN3_SP0_c.t1, CP11_g32412_DN3_SP0_c.t1	As006G135160
OG0002424	CP11_g32385_DN3_SP7_c.t1	As009G201660
OG0002424	CP10_g42236_DN3_SP4_c.t1	As006G135400
OG0002425	CP10_g42241_DN3_SP8_c.t1	As006G135440
OG0002425	CP11_g32378_DN3_SP7_c.t1	As009G201750
OG0002426	CP11_g32368_DN3_SP8_c.t1	As009G201930
OG0002427	CP10_g42306_DN3_SP8_c.t1	As006G136130
OG0002427	CP11_g32262_DN3_SP8_c.t1	As009G202970
OG0002428	CP10_g42389_DN3_SP8_c.t1	As006G137190
OG0002428	CP8_g54517_DN3_SP8_c.t1	As009G204040
OG0002429	CP1_g36998_DN2_SP0_c.t1	As006G139200
OG0002430	CP10_g42827_DN3_SP0_c.t1	As006G141940, As011G249920
OG0002431	CP3_g13820_DN3_SP8_c.t1	As012G281710
OG0002431	CP4_g24774_DN3_SP8_c.t1	As006G143550
OG0002433	CP9_g29640_DN3_SP2_c.t1	As010G243470
OG0002433	CP7_g46147_DN3_SP8_c.t1	As007G152330
OG0002434	CP7_g46078_DN3_SP7_c.t1	As007G153130
OG0002435	CP9_g28996_DN3_SP8_c.t1	As010G240000
OG0002435	CP7_g45934_DN3_SP8_c.t1	As007G154550
OG0002436	CP7_g45602_DN3_SP4_c.t1	As007G157780
OG0002436	CP9_g29393_DN3_SP0_c.t1	As010G235980
OG0002437	CP7_g45569_DN3_SP8_c.t1	As007G158170
OG0002438	CP7_g45559_DN2_SP0_c.t1, CP9_g29462_DN3_SP0_c.t1	As007G158300
OG0002439	CP9_g28849_DN2_SP1_c.t1	As010G235050
OG0002439	CP7_g45532_DN3_SP5_c.t1	As007G158550
OG0002441	CP7_g45481_DN3_SP8_c.t1	As007G159190
OG0002441	CP9_g28729_DN3_SP2_c.t1	As010G233950
OG0002442	CP9_g28656_DN3_SP0_c.t1	As010G233340
OG0002442	CP7_g45425_DN3_SP0_c.t1	As007G159670
OG0002443	CP7_g45304_DN3_SP3_c.t1	As007G160590
OG0002443	CP9_g28541_DN3_SP3_c.t1	As010G232560
OG0002444	CP9_g28458_DN3_SP8_c.t1	As010G231580
OG0002444	CP7_g45257_DN3_SP8_c.t1	As007G161090
OG0002445	CP19_g18096_DN3_SP5_c.t1	As007G165530
OG0002446	CP5_g1233_DN3_SP8_c.t1	As007G166970
OG0002447	CP5_g746_DN3_SP1_c.t1	As007G167050
OG0002448	CP3_g14318_DN2_SP0_c.t1, CP1_g38891_DN3_SP0_c.t1	As007G180990, As010G220930
OG0002449	CP1_g37594_DN3_SP0_c.t1, CP13_g19351_DN3_SP0_c.t1	As008G184400
OG0002450	CP1_g37093_DN3_SP8_c.t1	As008G190820
OG0002451	CP1_g37082_DN3_SP7_c.t1	As008G191270
OG0002452	CP1_g37020_DN3_SP7_c.t1	As008G192830
OG0002453	CP11_g32033_DN3_SP5_c.t1, CP1_g36760_DN3_SP8_c.t1	As008G197420
OG0002454	CP1_g36761_DN3_SP8_c.t1, CP11_g32037_DN3_SP1_c.t1	As008G197430
OG0002455	CP11_g32263_DN3_SP0_c.t1	As009G202980
OG0002456	CP11_g32162_DN3_SP0_c.t1	As009G203970, As011G262850
OG0002458	CP3_g13879_DN3_SP0_c.t1, CP3_g13876_DN2_SP0_c.t1, CP3_g13877_DN2_SP0_c.t1, CP3_g13878_DN3_SP0_c.t1, CP3_g13875_DN3_SP0_c.t1	As009G207430
OG0002459	CP3_g14579_DN2_SP0_c.t1, CP3_g14578_DN3_SP1_c.t1, CP3_g14580_DN2_SP0_c.t1	As009G219300
OG0002460	CP11_g33188_DN3_SP3_c.t1, CP1_g39560_DN3_SP0_c.t1, CP8_g53844_DN3_SP6_c.t1	As009G219940
OG0002461	CP3_g14233_DN3_SP0_c.t1	As010G220310
OG0002462	CP9_g29295_DN3_SP4_c.t1	As010G236970
OG0002463	CP9_g29273_DN3_SP5_c.t1	As010G237210
OG0002464	CP9_g29075_DN3_SP0_c.t1	As010G239170
OG0002465	CP7_g46192_DN3_SP8_c.t1, CP9_g29703_DN3_SP7_c.t1	As010G244070
OG0002466	CP10_g43367_DN3_SP6_c.t1, CP7_g46337_DN3_SP1_c.t1	As011G246020
OG0002467	CP7_g46304_DN3_SP8_c.t1	As011G246390
OG0002468	CP7_g46236_DN3_SP7_c.t1	As012G269940
OG0002468	CP10_g43489_DN3_SP5_c.t1	As011G247340
OG0002469	CP6_g7260_DN3_SP3_c.t1	As012G274440
OG0002469	CP12_g30031_DN3_SP1_c.t1	As011G249070
OG0002470	CP12_g30083_DN3_SP8_c.t1	As011G249540
OG0002472	CP12_g30111_DN3_SP8_c.t1	As011G249830
OG0002472	CP1_g38287_DN3_SP7_c.t1	As012G273760
OG0002473	CP12_g30132_DN3_SP8_c.t1, CP1_g38265_DN3_SP3_c.t1	As011G250030
OG0002474	CP12_g30618_DN3_SP0_c.t1	As011G254520
OG0002475	CP6_g7493_DN3_SP8_c.t1, CP12_g30667_DN3_SP7_c.t1	As011G255010
OG0002476	CP18_g12200_DN2_SP0_c.t1, CP6_g8913_DN1_SP0_c.t1, CP43_g41559_DN1_SP0_c.t1	As011G260890
OG0002476	CP3_g16251_DN1_SP0_c.t1, CP1_g39601_DN1_SP0_c.t1, CP14_g22865_DN1_SP0_c.t1, CP17_g5194_DN3_SP0_c.t1, CP2_g50478_DN3_SP0_c.t1, CP43_g41558_DN1_SP0_c.t1	As011G260880
OG0002477	CP12_g29856_DN3_SP1_c.t1, CP5_g1139_DN3_SP1_c.t1	As011G267110
OG0002478	CP10_g43468_DN3_SP5_c.t1	As012G282460
OG0002478	CP7_g46244_DN3_SP8_c.t1	As012G269880
OG0002479	CP13_g20690_DN3_SP0_c.t1, CP13_g19855_DN3_SP0_c.t1	As012G275080
OG0002480	CP4_g24640_DN3_SP3_c.t1	As012G282910
OG0002494	CP12_g29814_DN3_SP4_c.t1	As011G267440
OG0002494	CP5_g1184_DN3_SP6_c.t1	As001G000070
OG0002495	CP5_g1113_DN3_SP0_c.t1	As001G000720
OG0002496	CP16_g54801_DN3_SP5_c.t1	As007G180720, As001G002930
OG0002497	CP5_g849_DN3_SP1_c.t1, CP5_g850_DN3_SP8_c.t1	As001G003770
OG0002498	CP5_g841_DN3_SP8_c.t1, CP16_g55140_DN3_SP8_c.t1	As001G003890
OG0002499	CP8_g54171_DN3_SP6_c.t1	As001G012010, As001G010780, As005G113250
OG0002500	CP5_g590_DN3_SP8_c.t1, CP17_g4847_DN3_SP6_c.t1	As001G013480
OG0002501	CP7_g44716_DN3_SP2_c.t1	As001G016400
OG0002502	CP17_g5088_DN3_SP4_c.t1, CP4_g25219_DN3_SP5_c.t1	As004G079730
OG0002503	CP1_g37169_DN3_SP6_c.t1, CP2_g50498_DN3_SP6_c.t1	As008G189320, As001G018590, As001G018580
OG0002504	CP2_g49548_DN3_SP7_c.t1	As001G019510
OG0002504	CP1_g37269_DN3_SP8_c.t1	As008G187560
OG0002505	CP3_g16256_DN3_SP0_c.t1, CP1_g37323_DN3_SP5_c.t1	As008G187280
OG0002505	CP2_g49367_DN3_SP7_c.t1	As001G020220
OG0002506	CP1_g37348_DN3_SP0_c.t1	As008G187030
OG0002507	CP13_g19564_DN3_SP0_c.t1	As008G182970
OG0002507	CP1_g37751_DN3_SP0_c.t1	As001G023550
OG0002508	CP1_g37703_DN3_SP5_c.t1	As008G183400
OG0002510	CP1_g37592_DN3_SP8_c.t1	As008G184420
OG0002510	CP13_g19347_DN3_SP8_c.t1	As001G025530
OG0002511	CP7_g44862_DN3_SP0_c.t1	As001G027330
OG0002512	CP3_g13386_DN2_SP0_c.t1	As001G030940
OG0002512	CP7_g46412_DN3_SP0_c.t1	As012G268260
OG0002514	CP11_g33346_DN3_SP0_c.t1	As009G213190
OG0002515	CP11_g33222_DN3_SP5_c.t1	As009G212380
OG0002515	CP10_g43124_DN3_SP8_c.t1	As002G037470
OG0002517	CP5_g1229_DN3_SP8_c.t1, CP8_g53317_DN3_SP7_c.t1	As002G045300
OG0002518	CP8_g53537_DN3_SP2_c.t1	As002G047320
OG0002518	CP19_g17972_DN3_SP8_c.t1	As006G134700
OG0002519	CP19_g17973_DN3_SP2_c.t1, CP8_g53541_DN3_SP1_c.t1	As002G047340
OG0002520	CP8_g53580_DN3_SP3_c.t1	As002G047720
OG0002522	CP11_g32971_DN3_SP0_c.t1	As002G053700
OG0002522	CP2_g47861_DN3_SP4_c.t1	As005G117400
OG0002523	CP6_g7093_DN3_SP8_c.t1	As003G055760
OG0002524	CP19_g18394_DN3_SP0_c.t1	As003G060810
OG0002525	CP16_g55144_DN3_SP4_c.t1	As004G080270
OG0002525	CP7_g44281_DN3_SP6_c.t1	As003G063820
OG0002526	CP7_g44842_DN3_SP0_c.t1	As003G071140
OG0002526	CP19_g18125_DN3_SP8_c.t1	As007G164530
OG0002527	CP4_g25247_DN3_SP0_c.t1	As004G078670
OG0002527	CP7_g44803_DN3_SP8_c.t1	As003G071590
OG0002528	CP10_g43727_DN3_SP8_c.t1	As011G264850
OG0002528	CP5_g401_DN3_SP8_c.t1	As003G072370
OG0002529	CP5_g293_DN3_SP8_c.t1	As003G073400
OG0002530	CP5_g247_DN3_SP8_c.t1	As003G073920
OG0002531	CP16_g54864_DN3_SP8_c.t1, CP5_g183_DN3_SP8_c.t1	As003G074720
OG0002532	CP16_g54808_DN3_SP6_c.t1	As007G180670
OG0002533	CP5_g23_DN2_SP0_c.t1	As003G076500
OG0002534	CP20_g3998_DN2_SP0_c.t1	As004G080330, As004G080320
OG0002535	CP20_g4387_DN3_SP7_c.t1	As004G084730
OG0002536	CP11_g31787_DN3_SP8_c.t1	As004G085350
OG0002537	CP16_g55511_DN3_SP7_c.t1, CP11_g31810_DN1_SP0_c.t1, CP11_g31812_DN3_SP1_c.t1	As004G085480
OG0002538	CP6_g7584_DN3_SP8_c.t1, CP6_g7587_DN3_SP8_c.t1	As004G095080
OG0002539	CP6_g7501_DN2_SP0_c.t1	As004G095560
OG0002539	CP6_g7502_DN3_SP0_c.t1	As004G095510
OG0002541	CP3_g13094_DN3_SP1_c.t1	As012G288940
OG0002541	CP4_g23914_DN3_SP0_c.t1	As005G098580
OG0002542	CP4_g24105_DN3_SP8_c.t1, CP3_g13241_DN3_SP8_c.t1	As005G100920
OG0002543	CP4_g24146_DN3_SP4_c.t1	As005G101310
OG0002543	CP3_g13284_DN3_SP3_c.t1	As012G287170
OG0002544	CP4_g24342_DN3_SP7_c.t1	As005G103360
OG0002544	CP3_g13407_DN3_SP8_c.t1	As008G195470
OG0002545	CP4_g24557_DN3_SP6_c.t1	As005G105890, As005G105610, As005G105930
OG0002545	CP3_g13610_DN3_SP0_c.t1	As012G283910
OG0002546	CP2_g49094_DN3_SP0_c.t1	As005G105700, As005G105720
OG0002547	CP3_g13626_DN3_SP2_c.t1	As012G283750
OG0002547	CP4_g24575_DN3_SP0_c.t1	As005G106150
OG0002548	CP1_g39232_DN3_SP1_c.t1, CP4_g24877_DN3_SP1_c.t1, CP11_g33534_DN3_SP7_c.t1	As005G108450
OG0002549	CP4_g24721_DN3_SP0_c.t1	As005G111540
OG0002550	CP8_g54268_DN3_SP8_c.t1	As010G227270
OG0002551	CP3_g14741_DN3_SP0_c.t1	As010G224410
OG0002551	CP8_g53967_DN3_SP0_c.t1	As005G115520
OG0002552	CP3_g14513_DN1_SP0_c.t1	As010G222510
OG0002552	CP2_g47960_DN2_SP0_c.t1	As005G116390
OG0002553	CP2_g47636_DN2_SP0_c.t1	As005G119590
OG0002553	CP3_g14348_DN2_SP0_c.t1	As010G221160
OG0002554	CP2_g47585_DN3_SP0_c.t1	As005G120110, As005G120120, As005G120130
OG0002555	CP8_g54553_DN3_SP1_c.t1	As006G122230
OG0002555	CP1_g36501_DN3_SP6_c.t1	As008G198480
OG0002556	CP8_g54529_DN3_SP2_c.t1	As006G122430
OG0002556	CP1_g36517_DN3_SP0_c.t1	As008G198330
OG0002557	CP1_g36885_DN3_SP2_c.t1, CP4_g25601_DN3_SP2_c.t1	As006G127180
OG0002558	CP5_g1310_DN2_SP0_c.t1	As006G132660
OG0002559	CP10_g42143_DN2_SP0_c.t1	As006G133130
OG0002559	CP11_g32498_DN3_SP0_c.t1	As009G200430
OG0002560	CP11_g32437_DN3_SP4_c.t1	As009G201240
OG0002560	CP10_g42187_DN3_SP6_c.t1	As006G134910
OG0002561	CP11_g32303_DN3_SP8_c.t1	As009G202670, As006G135920
OG0002562	CP2_g48640_DN3_SP0_c.t1	As009G206940
OG0002562	CP10_g42478_DN3_SP0_c.t1	As006G138150, As006G138130
OG0002564	CP8_g54464_DN2_SP0_c.t1	As006G139890
OG0002566	CP4_g24989_DN3_SP8_c.t1, CP4_g24988_DN3_SP1_c.t1	As006G146200
OG0002567	CP7_g46110_DN3_SP6_c.t1, CP9_g29587_DN3_SP6_c.t1	As007G152810
OG0002568	CP9_g29174_DN3_SP2_c.t1	As010G238200
OG0002568	CP7_g45793_DN3_SP3_c.t1	As007G155930
OG0002569	CP9_g29253_DN3_SP0_c.t1	As010G237410
OG0002569	CP7_g45730_DN3_SP0_c.t1	As007G156520
OG0002571	CP9_g29297_DN3_SP8_c.t1	As010G236920
OG0002571	CP7_g45674_DN3_SP8_c.t1	As007G156990
OG0002572	CP9_g29374_DN3_SP0_c.t1, CP7_g45619_DN3_SP0_c.t1	As007G157610
OG0002573	CP9_g28625_DN3_SP0_c.t1	As010G233140
OG0002573	CP7_g45374_DN3_SP1_c.t1	As007G160020
OG0002574	CP7_g45259_DN3_SP0_c.t1	As007G161070
OG0002574	CP9_g28456_DN3_SP1_c.t1	As010G231590
OG0002578	CP1_g36923_DN3_SP2_c.t1	As008G193730, As008G193760
OG0002580	CP4_g25550_DN3_SP4_c.t1, CP1_g36841_DN3_SP8_c.t1	As008G194790
OG0002581	CP1_g36508_DN3_SP0_c.t1, CP1_g36511_DN3_SP2_c.t1, CP1_g36510_DN3_SP1_c.t1	As008G198400, As008G198390
OG0002582	CP4_g24691_DN3_SP8_c.t1	As009G213250
OG0002583	CP3_g14420_DN3_SP8_c.t1	As010G221700
OG0002583	CP1_g36968_DN3_SP0_c.t1, CP2_g48385_DN3_SP8_c.t1	As009G215910
OG0002584	CP8_g53883_DN3_SP5_c.t1	As009G219490
OG0002587	CP7_g45784_DN3_SP0_c.t1, CP9_g29184_DN3_SP0_c.t1	As010G238060
OG0002588	CP9_g29070_DN3_SP8_c.t1	As010G239220
OG0002589	CP9_g28914_DN2_SP0_c.t1	As010G241020
OG0002590	CP10_g43378_DN3_SP7_c.t1	As011G246160
OG0002590	CP7_g46325_DN3_SP8_c.t1	As010G241320, As012G269200
OG0002591	CP10_g43315_DN3_SP8_c.t1	As011G245450
OG0002591	CP7_g46387_DN3_SP8_c.t1	As012G268620
OG0002592	CP7_g46331_DN3_SP8_c.t1	As012G269150
OG0002592	CP10_g43371_DN3_SP8_c.t1	As011G246080
OG0002593	CP7_g46206_DN3_SP6_c.t1	As012G270160
OG0002593	CP12_g29885_DN3_SP8_c.t1	As011G247650
OG0002594	CP1_g37855_DN3_SP8_c.t1	As012G270470, As011G247800
OG0002595	CP12_g29961_DN3_SP7_c.t1	As012G270810, As011G248280
OG0002596	CP1_g39203_DN3_SP0_c.t1	As011G248880
OG0002596	CP6_g7281_DN3_SP8_c.t1	As012G274650
OG0002597	CP12_g30067_DN3_SP8_c.t1	As011G249380
OG0002597	CP1_g38338_DN3_SP8_c.t1	As012G274080
OG0002598	CP12_g30120_DN3_SP8_c.t1	As011G249910
OG0002600	CP10_g42235_DN3_SP0_c.t1, CP6_g7496_DN2_SP0_c.t1, CP6_g7495_DN1_SP0_c.t1	As011G255050
OG0002601	CP16_g55480_DN3_SP6_c.t1, CP5_g759_DN3_SP8_c.t1	As011G263820
OG0002602	CP7_g46447_DN3_SP0_c.t1, CP10_g43263_DN3_SP1_c.t1	As012G267890
