Orthogroup	Cardamine_glauca	Erysimum_linariifolium
OG0002582	Cg004G146280, Cg005G165840	El004G200330, El006G289290
OG0002583	Cg002G057300	El001G019480
OG0002583	Cg008G304310	El001G055030
OG0002584	Cg002G059840	El001G016530
OG0002584	Cg003G106410	El007G332610
OG0002585	Cg002G060950	El001G015510
OG0002585	Cg003G107360	El007G331300
OG0002586	Cg007G268740	El004G219360
OG0002586	Cg002G061310	El001G014990
OG0002587	Cg006G226280	El037G374570, El002G104040
OG0002587	Cg007G276040	El004G228030
OG0002588	Cg007G274750	El004G226850
OG0002589	Cg006G228430	El002G101660
OG0002589	Cg007G273230	El004G224850
OG0002590	Cg004G130210	El005G250260
OG0002590	Cg006G195450	El002G139700
OG0002591	Cg004G129360	El005G249450
OG0002591	Cg006G194870	El002G140370
OG0002592	Cg006G195380	El002G139770
OG0002592	Cg004G130000	El005G250190
OG0002593	Cg006G196810	El002G137870
OG0002593	Cg004G131840	El005G252050
OG0002594	Cg006G196990	El002G137640
OG0002594	Cg004G132020	El005G252250
OG0002595	Cg006G197460	El002G136940
OG0002596	Cg004G133110	El005G253420
OG0002596	Cg001G025430	El003G172120
OG0002597	Cg004G133760	El005G254160
OG0002597	Cg006G201820	El002G131410
OG0002598	Cg004G134400	El005G254770
OG0002599	Cg004G138810	El005G260150
OG0002599	Cg004G138790	El005G260140
OG0002600	Cg004G117520	El005G236550
OG0002601	Cg005G187800	El006G314180
OG0002601	Cg001G007960	El003G150280
OG0002602	Cg006G194350	El002G141200, El002G141150
OG0002602	Cg004G128840	El005G248970
OG0002603	Cg004G137900	El005G258950
OG0002603	Cg006G198370	El002G135710
OG0002604	Cg006G200350, Cg006G200340	El002G133260
OG0002605	Cg002G049880	El001G027780
OG0002605	Cg005G165190	El006G288670
OG0002606	Cg002G048360	El001G029450
OG0002607	Cg002G046470	El001G015460, El001G031720
OG0002608	Cg004G140240	El005G262740
OG0002609	Cg002G044260	El003G169120
OG0002610	Cg001G023070	El003G168980
OG0002610	Cg008G323540	El007G364540
OG0002611	Cg005G167400	El006G291200
OG0002612	Cg001G008120	El003G150460
OG0002614	Cg006G233090	El002G096390
OG0002614	Cg002G071810	El001G041300
OG0002615	Cg006G224070	El002G106430
OG0002616	Cg006G195130	El003G174610
OG0002618	Cg003G111580	El007G326810, El007G358580, El007G326800
OG0002622	Cg004G156600	El005G278680
OG0002622	Cg001G011750	El003G155090
OG0002623	Cg001G009490	El003G151940
OG0002624	Cg001G007540	El003G149920
OG0002626	Cg001G005790	El003G147990, El002G127200
OG0002627	Cg001G005660	El003G147850
OG0002627	Cg004G152120, Cg004G152130	El005G273610
OG0002628	Cg001G005250	El003G147440
OG0002629	Cg005G171540	El006G296020
OG0002629	Cg006G215190	El002G118160
OG0002630	Cg006G214160	El006G295540
OG0002631	Cg005G170890	El006G295330
OG0002631	Cg001G024370	El003G170530
OG0002632	Cg007G254160	El004G207500
OG0002632	Cg006G236820	El002G091990
OG0002633	Cg006G236410	El002G092460
OG0002634	Cg007G251730	El004G202960
OG0002634	Cg006G235890	El002G093070
OG0002635	Cg006G234480	El002G094740
OG0002636	Cg006G231150	El002G098770
OG0002636	Cg002G074990	El001G036820
OG0002637	Cg006G231950	El002G097880
OG0002637	Cg002G073980	El001G038280
OG0002638	Cg002G073040	El001G039710
OG0002638	Cg006G232670	El002G096890
OG0002639	Cg002G071560	El001G041580
OG0002639	Cg008G283550	El001G080100
OG0002640	Cg002G069670	El001G044240
OG0002640	Cg002G069610	El001G044170
OG0002641	Cg001G039610	El003G189270
OG0002642	Cg007G267110	El004G217310
OG0002642	Cg001G038360	El003G188230
OG0002643	Cg001G036740	El003G186210
OG0002643	Cg007G265600	El004G215660
OG0002644	Cg007G261140	El004G211630
OG0002645	Cg003G104790	El007G334590
OG0002645	Cg001G014770	El003G158500
OG0002646	Cg008G284860	El001G078520
OG0002646	Cg004G125850	El005G245580
OG0002647	Cg001G016240	El003G160120
OG0002647	Cg003G091740	El007G345040
OG0002648	Cg005G178960, Cg003G100040	El007G340010
OG0002649	Cg003G100680, Cg003G100640	El007G339070
OG0002650	Cg003G101600	El007G338030
OG0002650	Cg001G013330	El003G156860
OG0002651	Cg003G101870	El007G337750
OG0002651	Cg001G013490	El003G157080
OG0002652	Cg003G104970	El007G334340
OG0002653	Cg008G291370	El001G070990
OG0002653	Cg008G304700	El001G053980
OG0002654	Cg008G291000	El001G071380
OG0002655	Cg008G290480	El001G071970
OG0002655	Cg003G112980	El007G325070
OG0002656	Cg003G112520	El007G325810
OG0002656	Cg008G290090	El001G072320
OG0002657	Cg001G026100	El003G173070
OG0002658	Cg001G020090	El003G165150
OG0002658	Cg001G020080	El003G165140
OG0002659	Cg001G018670	El003G163290
OG0002659	Cg003G080990	El001G005870
OG0002660	Cg003G081250	El001G006160
OG0002660	Cg001G018380	El003G162910
OG0002661	Cg003G082440	El001G007610
OG0002662	Cg006G209140	El002G123590
OG0002662	Cg003G085310	El001G010040
OG0002663	Cg006G218580	El002G113730
OG0002664	Cg001G004500	El003G146540, El003G146560
OG0002665	Cg004G154100	El005G275590
OG0002666	Cg001G003670	El003G145720
OG0002667	Cg001G003580	El003G145610
OG0002667	Cg004G154550	El005G276690
OG0002668	Cg001G003120	El003G145130
OG0002669	Cg005G191910	El006G319320
OG0002669	Cg001G002440	El003G144330
OG0002670	Cg005G193240	El006G320730
OG0002670	Cg001G001050	El003G142680
OG0002671	Cg001G035430, Cg001G035370, Cg001G037170, Cg001G037150, Cg001G035480	El003G191260
OG0002672	Cg001G039980	El003G189620
OG0002672	Cg001G040000	El003G189630
OG0002673	Cg003G085790	El001G010320
OG0002673	Cg006G231220	El002G098680
OG0002675	Cg001G019890	El003G164930
OG0002675	Cg003G094180, Cg003G079840	El001G006550, El001G004550
OG0002676	Cg001G031290	El003G179390
OG0002676	Cg004G143230	El005G268960
OG0002678	Cg004G141720	El005G266980
OG0002678	Cg001G029250	El003G176970
OG0002679	Cg001G027460	El003G174880
OG0002679	Cg004G140350	El005G263210
OG0002680	Cg001G027370	El003G174760
OG0002680	Cg004G140250	El005G262780
OG0002681	Cg005G159310	El006G281660
OG0002682	Cg005G162720	El006G285720
OG0002683	Cg002G048260	El001G029570
OG0002684	Cg005G164360	El006G287750
OG0002684	Cg002G048940	El001G028790
OG0002685	Cg008G282470	El001G081590
OG0002685	Cg004G124550	El005G244010
OG0002686	Cg008G284840	El001G078540
OG0002687	Cg002G062050	El001G014260
OG0002687	Cg003G108090	El007G330590
OG0002688	Cg002G061410	El003G184900, El001G014850
OG0002688	Cg003G107680	El007G330940
OG0002689	Cg003G107210, Cg003G107230	El007G331490, El007G331480
OG0002690	Cg002G060600	El001G015920
OG0002690	Cg003G107200	El007G331500, El007G362080
OG0002691	Cg002G058340	El001G018270
OG0002691	Cg003G111260	El007G327110
OG0002692	Cg003G076390, Cg014G333200	El001G000570
OG0002692	Cg006G244970	El002G083040
OG0002693	Cg003G079020, Cg003G094930	El001G003590
OG0002694	Cg008G320500	El007G360400
OG0002694	Cg006G242690	El002G085580
OG0002695	Cg005G175040	El006G300710
OG0002695	Cg006G240500	El002G088110
OG0002696	Cg006G238260	El002G090460
OG0002696	Cg005G178380	El006G304670
OG0002697	Cg004G124370	El005G243810
OG0002698	Cg004G118470	El005G237600
OG0002698	Cg008G297670	El001G063570
OG0002699	Cg008G297720	El001G063520
OG0002700	Cg008G298520	El001G062480
OG0002701	Cg004G123240	El005G242440
OG0002701	Cg008G309700, Cg008G311530	El007G347620
OG0002702	Cg002G050180	El001G027440
OG0002702	Cg005G165710	El006G289180
OG0002704	Cg005G169450	El006G293470
OG0002705	Cg002G052300	El001G024990
OG0002705	Cg005G167600	El006G291430
OG0002706	Cg007G280120	El004G232980
OG0002706	Cg006G229620	El002G100340
OG0002707	Cg007G273830	El004G225650
OG0002707	Cg006G228070	El002G102060
OG0002708	Cg007G275920	El004G227930
OG0002708	Cg006G226360	El002G103950
OG0002709	Cg007G277570	El004G229920
OG0002710	Cg006G223040	El002G108040
OG0002710	Cg007G271860	El004G223240
OG0002712	Cg007G268870	El004G219500
OG0002712	Cg006G220310	El002G111900
OG0002713	Cg007G268850	El004G219480
OG0002714	Cg002G075780	El001G036010
OG0002714	Cg006G230740	El002G099180
OG0002715	Cg002G075240	El001G036540
OG0002715	Cg007G259070, Cg006G230950	El002G098960
OG0002716	Cg006G235670	El002G093330
OG0002716	Cg006G235680	El002G093320
OG0002717	Cg008G296640	El001G064770, El001G064930
OG0002718	Cg008G297620	El006G314750, El005G273050
OG0002718	Cg008G297610	El001G063620
OG0002719	Cg008G304370	El001G054720, El007G358870, El001G054630, El001G054650, El001G054710, El007G358880
OG0002720	Cg002G055860, Cg002G055870	El001G021180
OG0002720	Cg008G312780	El001G021170, El003G175950
OG0002721	Cg008G320100, Cg002G057520	El001G019290
OG0002721	Cg008G304120	El001G055370, El001G055400
OG0002722	Cg007G269660	El004G220330
OG0002722	Cg007G269270	El004G220040, El004G220010, El004G219970
OG0002723	Cg007G278720	El004G231390
OG0002723	Cg006G223740	El002G107150
OG0002724	Cg006G225190	El002G105170
OG0002724	Cg007G277070	El004G229290
OG0002725	Cg004G128900	El005G249020
OG0002725	Cg004G128890	El005G249010
OG0002726	Cg004G131810	El005G252010
OG0002726	Cg006G196770	El002G137910
OG0002728	Cg004G135830	El005G256580
OG0002729	Cg004G137420	El005G258370
OG0002729	Cg006G198920	El002G135120
OG0002730	Cg004G138720	El005G260070
OG0002731	Cg004G139650	El005G261310
OG0002731	Cg001G026890	El003G174120
OG0002733	Cg006G200320	El002G133280, El002G133290
OG0002734	Cg006G216290	El002G116260
OG0002734	Cg005G172030	El006G296690
OG0002735	Cg002G053200	El005G270080, El001G015850, El007G347040
OG0002736	Cg005G168440	El006G292290
OG0002737	Cg005G165210	El006G288690
OG0002737	Cg002G049890	El001G027770
OG0002738	Cg008G325200	El007G366770
OG0002739	Cg002G056900	El001G020020
OG0002739	Cg003G114270	El007G323770
OG0002740	Cg002G047290	El001G030760
OG0002741	Cg007G268720	El004G219310
OG0002743	Cg001G006750	El003G149070
OG0002745	Cg006G234120	El002G095140
OG0002746	Cg006G232120	El002G097500
OG0002747	Cg004G132410	El005G252740
OG0002748	Cg008G290140	El001G072260
OG0002750	Cg007G266810	El004G216860
OG0002750	Cg007G266700	El004G216680
OG0002751	Cg001G031920, Cg001G022360, Cg001G020110	El003G176340
OG0002753	Cg001G012270	El003G155630
OG0002753	Cg004G157060	El005G279200
OG0002754	Cg001G011480	El003G154710
OG0002754	Cg004G156490	El005G278580
OG0002755	Cg001G008810	El003G151190
OG0002757	Cg001G005760	El003G147960
OG0002758	Cg004G152720	El005G274110
OG0002758	Cg001G005150	El003G147310
OG0002759	Cg001G025330	El003G171990
OG0002760	Cg006G213440	El002G119920
OG0002761	Cg007G251260	El004G202610
OG0002762	Cg007G248710	El004G199080
OG0002762	Cg006G234340	El002G094900
OG0002763	Cg006G230930	El002G098990
OG0002763	Cg002G075300	El001G036440, El005G254090
OG0002764	Cg006G232230	El002G097400
OG0002765	Cg002G071440	El001G041700
OG0002765	Cg008G289240	El001G073390
OG0002766	Cg001G036690	El003G186090
OG0002766	Cg007G265470	El004G215440
OG0002767	Cg007G247120	El004G196520
OG0002768	Cg003G104110	El007G335290
OG0002768	Cg001G014440	El003G158200
OG0002769	Cg004G125040	El005G244600
OG0002770	Cg001G015880	El003G159750
OG0002771	Cg003G113070	El007G325180
OG0002772	Cg003G111710	El007G326680
OG0002772	Cg008G289660	El001G072820
OG0002773	Cg008G288290	El001G074300
OG0002773	Cg003G109370	El007G329140
OG0002774	Cg001G020810	El003G165960
OG0002774	Cg008G321520	El007G361760
OG0002775	Cg001G020730	El003G165830
OG0002775	Cg008G321380	El007G361630
OG0002776	Cg001G019470	El003G164500
OG0002776	Cg001G019480	El003G164510
OG0002778	Cg001G017800	El006G315620, El006G315680, El006G315670, El006G315600
OG0002779	Cg006G210920	El002G122280, El002G122260
OG0002780	Cg006G208480, Cg006G208490	El002G125070
OG0002781	Cg001G002540	El003G144640
OG0002782	Cg001G001730	El003G143540
OG0002783	Cg005G193670	El006G321420, El003G185630
OG0002783	Cg001G000720	El003G142360
OG0002784	Cg001G023400	El003G169400
OG0002785	Cg004G146590	El005G271310
OG0002786	Cg004G146450	El005G271090
OG0002787	Cg001G033810	El003G183460
OG0002787	Cg004G144510	El005G269790
OG0002788	Cg001G027580	El003G175050, El003G175040
OG0002788	Cg004G140580	El005G264070
OG0002789	Cg004G140020	El005G261870
OG0002789	Cg001G027110	El003G174430
OG0002790	Cg004G139550	El005G261140
OG0002790	Cg004G139570	El005G261160
OG0002791	Cg001G026080	El003G173020
OG0002791	Cg004G138670	El005G260000
OG0002792	Cg001G040840	El003G190810
OG0002793	Cg005G158650	El006G280890
OG0002794	Cg005G160520	El006G283130
OG0002794	Cg002G045870	El001G032610
OG0002795	Cg002G046280	El001G032030
OG0002795	Cg005G160970	El006G283810
OG0002796	Cg005G162240	El006G285270
OG0002797	Cg002G048500	El001G029310
OG0002797	Cg005G163700	El006G286840
OG0002798	Cg005G164190	El006G287510
OG0002798	Cg002G048870	El001G028860
OG0002799	Cg005G168130	El006G292010
OG0002799	Cg008G282450	El001G081610
OG0002800	Cg008G284360	El001G079090, El001G079130
OG0002801	Cg002G064840	El001G011750
OG0002801	Cg008G301250	El001G059240
OG0002802	Cg002G064470	El001G012040
OG0002802	Cg008G301510	El001G058930
OG0002803	Cg002G059960	El001G016500
OG0002803	Cg003G106480	El007G332480
OG0002804	Cg003G114720	El007G323250
OG0002805	Cg005G177240	El006G303140
OG0002806	Cg003G077840, Cg014G331810	El001G001830
OG0002807	Cg003G094790, Cg003G079210	El001G003760
OG0002808	Cg005G174250	El006G299770
OG0002809	Cg005G175300	El006G301090
OG0002809	Cg006G240090	El002G088490
OG0002810	Cg006G239580	El002G089040
OG0002810	Cg005G175920	El006G301820
OG0002811	Cg005G177730	El006G303940, El006G303870
OG0002812	Cg005G180920	El006G307010
OG0002812	Cg006G237700	El002G091070
OG0002813	Cg004G116340	El005G235320
OG0002813	Cg008G294580	El001G067100
OG0002814	Cg008G295900	El001G065770
OG0002814	Cg004G117360	El005G236370
OG0002817	Cg004G119970	El005G238940
OG0002817	Cg008G298840	El001G062190
OG0002818	Cg004G120710	El008G369160, El005G239850
OG0002818	Cg008G307240	El001G049030
OG0002819	Cg008G299420	El001G061460
OG0002819	Cg004G122120	El005G241360, El004G208960
OG0002820	Cg004G122420	El005G241700
OG0002821	Cg004G122880	El005G242120
OG0002822	Cg004G120220	El005G239190
OG0002822	Cg006G201970, Cg004G144820	El001G051730
OG0002823	Cg002G054010	El001G023270
OG0002823	Cg005G170320	El006G294600
OG0002824	Cg002G052630	El001G024570
OG0002824	Cg005G168590	El006G292430
OG0002825	Cg007G281250	El004G234250
OG0002825	Cg006G230360	El002G099570
OG0002826	Cg007G280430	El004G233410
OG0002826	Cg006G229880	El002G100090
OG0002827	Cg006G228500	El002G101590
OG0002827	Cg007G273140	El004G224750
OG0002828	Cg006G228460	El002G101630
OG0002828	Cg007G273180	El004G224800
OG0002829	Cg006G228100	El002G102030
OG0002829	Cg007G273710	El004G225420
OG0002830	Cg007G275030	El004G227110
OG0002830	Cg001G041990, Cg006G227190	El002G102980
OG0002831	Cg007G275250	El004G227310
OG0002831	Cg006G227070	El002G103110
OG0002832	Cg006G225470	El002G104900
OG0002832	Cg007G276900	El004G229080
OG0002833	Cg006G225460	El002G104910
OG0002833	Cg007G276910	El004G229090
OG0002834	Cg006G221990	El002G109260
OG0002835	Cg007G269710	El004G220280
OG0002835	Cg006G220660	El002G111040
OG0002836	Cg006G220320	El002G111880
OG0002837	Cg007G268580	El004G219180
OG0002837	Cg006G220110	El002G112080
OG0002838	Cg001G034750	El003G160480
OG0002838	Cg003G091150	El007G344790
OG0002840	Cg001G001000	El003G142660
OG0002840	Cg005G193300	El006G321040
OG0002841	Cg005G174210	El006G299660
OG0002841	Cg006G241210	El002G087280
OG0002842	Cg006G243380	El002G085040, El004G210630
OG0002843	Cg006G243490	El002G084620
OG0002844	Cg008G295150	El001G066560
OG0002845	Cg008G299150	El001G061710
OG0002846	Cg008G308090	El007G345300
OG0002847	Cg006G194250	El002G141310, El004G232590, El005G248720
OG0002849	Cg002G057620	El001G019160
OG0002849	Cg008G303990	El001G055610
OG0002850	Cg003G109460	El005G265700
OG0002851	Cg008G303370	El001G056360
OG0002851	Cg002G058080	El001G018520
OG0002852	Cg008G303280	El001G056450
OG0002853	Cg003G109540	El007G328960, El007G329000, El007G328980, El007G328900
OG0002854	Cg003G106380	El007G332630
OG0002855	Cg004G116680	El005G235660
OG0002855	Cg003G106280	El007G332750, El007G335530
OG0002856	Cg002G059810	El001G016580
OG0002856	Cg003G106240	El007G332780
OG0002857	Cg002G056750	El001G020240
OG0002858	Cg002G057690	El001G019110
OG0002859	Cg003G107410	El007G331230
OG0002859	Cg002G061080	El001G015320
OG0002860	Cg001G005730	El003G147930
OG0002860	Cg004G152010	El005G273490
OG0002861	Cg006G243950	El002G084100
OG0002861	Cg007G271430	El004G222780
OG0002862	Cg007G274910	El004G226970
OG0002863	Cg007G280930	El004G233640
OG0002863	Cg006G230010	El002G099950
OG0002864	Cg004G129310	El005G249400
OG0002865	Cg006G195120	El002G140050
OG0002865	Cg004G129660	El005G249770
OG0002866	Cg004G129930	El005G250070
OG0002866	Cg006G195300	El002G139870
OG0002867	Cg004G130070	El005G250220
OG0002867	Cg006G195400	El002G139750
OG0002868	Cg004G131820	El005G252020
OG0002868	Cg006G196780	El002G137890
OG0002869	Cg006G198990	El002G135050
OG0002869	Cg004G137390	El005G258340
OG0002871	Cg004G150540, Cg004G149610	El005G272660
OG0002871	Cg004G150590, Cg004G149700, Cg004G150550	El005G272670
OG0002872	Cg001G019090	El003G163910
OG0002872	Cg004G152480	El005G273840
OG0002873	Cg001G010220	El003G152820
OG0002873	Cg004G154970	El005G277270
OG0002874	Cg004G157370	El002G125460
OG0002875	Cg006G198880	El002G135170
OG0002875	Cg004G137430	El005G258380
OG0002876	Cg006G200290	El002G133320
OG0002877	Cg002G051490	El001G025910
OG0002877	Cg005G167000	El006G290710
OG0002878	Cg005G165390	El006G288830
OG0002879	Cg002G049180	El001G028480
OG0002879	Cg005G164630	El006G288020
OG0002880	Cg002G048950	El001G028780
OG0002880	Cg008G286550	El001G076490
OG0002881	Cg002G048560	El001G029230, El001G029240
OG0002884	Cg004G139040	El005G260590
OG0002884	Cg004G139050	El005G260600
OG0002885	Cg004G133460	El005G253860
OG0002886	Cg008G296620	El001G064780, El001G064940
OG0002890	Cg004G157040	El005G279170
OG0002890	Cg001G012200	El003G155550
OG0002891	Cg005G190860	El006G317940
OG0002891	Cg001G010000	El003G152590
OG0002892	Cg005G188810	El006G315440
OG0002892	Cg001G008550	El003G150920
OG0002893	Cg001G008350	El003G150720
OG0002893	Cg005G188320	El006G314920
OG0002894	Cg002G063600	El001G012650
OG0002894	Cg001G007740	El003G150110
OG0002895	Cg005G186470	El006G313380
OG0002895	Cg001G007360	El003G149730
OG0002896	Cg001G006600	El003G175600, El003G148930
OG0002896	Cg004G148410	El005G272300
OG0002897	Cg001G005490	El003G147680
OG0002897	Cg004G152380	El005G273770, El007G357480
OG0002898	Cg004G133080	El005G253390
OG0002899	Cg006G213880	El002G119590
OG0002899	Cg005G171070	El006G295580
OG0002900	Cg005G170920	El006G295360
OG0002900	Cg001G024250	El003G170390
OG0002901	Cg006G235310	El002G093720
OG0002901	Cg007G249840	El004G200460
OG0002902	Cg007G248730	El004G199100
OG0002902	Cg006G234420	El002G094820
OG0002903	Cg006G230710	El002G099220, El002G099240
OG0002904	Cg002G074960	El001G036860
OG0002905	Cg002G068840	El001G043170
OG0002906	Cg007G246660	El004G195790
OG0002906	Cg001G042200	El003G192500
OG0002907	Cg003G105050	El007G334240
OG0002907	Cg001G014900	El003G158630
OG0002908	Cg002G044910	El007G333550, El003G184560
OG0002909	Cg004G126280	El005G245990
OG0002909	Cg008G285600	El001G077780
OG0002910	Cg008G287170	El001G075600
OG0002910	Cg004G127430	El005G247340
OG0002911	Cg004G128160	El005G248210
OG0002911	Cg008G293990	El001G067770
OG0002912	Cg003G100790	El007G338960
OG0002912	Cg006G220990	El002G111380
OG0002913	Cg003G101700	El007G337930
OG0002914	Cg003G103320	El007G336120
OG0002914	Cg001G014160	El003G157890
OG0002915	Cg003G105760, Cg003G105650	El007G333500, El007G333360
OG0002916	Cg006G219180, Cg006G219410	El002G112810, El002G113060
OG0002917	Cg008G292400	El001G069570
OG0002917	Cg008G305870	El001G051680
OG0002918	Cg008G302920	El001G056900
OG0002919	Cg008G288570	El001G074050
OG0002920	Cg003G109910	El007G328620
OG0002921	Cg001G023650	El003G169750
OG0002921	Cg008G324980	El007G366540
OG0002924	Cg003G081580	El001G006670
OG0002924	Cg001G018220	El003G162750
OG0002925	Cg001G018020	El003G162550
OG0002926	Cg003G083790	El001G008790
OG0002927	Cg006G211730	El002G121780
OG0002928	Cg006G210690	El002G122610
OG0002928	Cg007G272200	El004G223620
OG0002929	Cg006G210110	El002G123420
OG0002929	Cg006G223640	El002G107360
OG0002930	Cg005G172740	El006G297930
OG0002930	Cg006G218250	El002G114100
OG0002931	Cg001G004600	El003G146660
OG0002932	Cg001G003150	El003G145160
OG0002932	Cg005G191200	El006G318400
OG0002933	Cg001G002810	El003G144720
OG0002933	Cg005G191570	El006G318850
OG0002934	Cg001G002270	El007G337960
OG0002934	Cg005G192050	El006G319510
OG0002935	Cg001G000980	El003G142640
OG0002936	Cg001G000900	El003G142560
OG0002936	Cg005G193440	El006G321180
OG0002937	Cg001G000810	El003G142450
OG0002937	Cg001G000800	El003G142440
OG0002938	Cg001G000420	El003G142000
OG0002938	Cg005G193950	El006G321710
OG0002940	Cg005G172360	El006G297120
OG0002940	Cg003G087440	El001G011270
OG0002942	Cg001G028310	El003G175870
OG0002942	Cg004G141340	El005G265640
OG0002943	Cg001G041930	El003G192270
OG0002943	Cg003G091200, Cg001G041940	El003G192320
OG0002944	Cg002G044130	El001G034770
OG0002944	Cg005G158230	El006G280380
OG0002945	Cg006G230200	El002G099750
OG0002946	Cg005G159390	El006G281740
OG0002947	Cg002G046250	El001G032060, El008G369360
OG0002947	Cg005G160910	El006G283620
OG0002949	Cg005G161380	El006G284230
OG0002949	Cg002G061750	El004G205200, El004G205230
OG0002950	Cg003G115860	El007G322010
OG0002950	Cg002G055390	El001G021700
OG0002951	Cg005G161900	El006G284930
OG0002952	Cg005G162170	El006G285190
OG0002952	Cg002G046910	El001G031240
OG0002953	Cg005G162370	El006G285380
OG0002954	Cg002G046960	El001G031120
OG0002954	Cg005G162450	El006G285450
OG0002955	Cg008G282410	El001G081670
OG0002955	Cg004G124570	El005G244030
OG0002956	Cg008G301450	El001G059010
OG0002956	Cg008G301570	El001G058850
OG0002957	Cg002G061790	El001G014510
OG0002957	Cg003G107990	El007G330710
OG0002959	Cg008G290760	El001G071650
OG0002959	Cg003G113250	El007G324950
OG0002960	Cg003G114350	El007G323690
OG0002961	Cg003G115260	El007G322630
OG0002961	Cg002G055980	El001G021040, El002G126230
OG0002962	Cg006G217900	El002G114540
OG0002963	Cg003G077260, Cg014G332360	El001G001460
OG0002963	Cg006G244370	El002G083710
OG0002964	Cg003G078270, Cg014G331380	El001G002820
OG0002964	Cg014G331370, Cg003G078280	El001G002830
OG0002965	Cg008G320400	El007G360320
OG0002965	Cg006G242660	El002G085610
OG0002966	Cg006G242520	El002G085770
OG0002966	Cg008G320260	El007G360120
OG0002967	Cg008G319840	El007G359850
OG0002967	Cg006G242320	El002G086000
OG0002968	Cg006G242310	El002G086060
OG0002968	Cg008G319810	El007G359820
OG0002969	Cg006G241910	El002G086530
OG0002969	Cg005G173320	El006G298630
OG0002970	Cg005G173450	El006G298800
OG0002970	Cg006G241800	El002G086640
OG0002971	Cg006G241820	El002G086630
OG0002971	Cg005G173430	El006G298780
OG0002972	Cg006G241180	El002G087300
OG0002972	Cg005G174260	El006G299780
OG0002973	Cg006G240020	El002G088590
OG0002973	Cg005G175510	El006G301330
OG0002974	Cg005G178160	El006G304390
OG0002974	Cg006G238430	El002G090240
OG0002975	Cg001G007500	El003G149870
OG0002975	Cg005G186750	El006G313590
OG0002976	Cg008G294700	El001G066980
OG0002976	Cg004G116440	El005G235420
OG0002977	Cg004G116520	El005G235500
OG0002977	Cg008G294890	El001G066800
OG0002978	Cg003G106460	El007G332510
OG0002979	Cg003G102660	El007G336770
OG0002979	Cg001G013980	El003G157650
OG0002980	Cg008G306940	El001G049590
OG0002981	Cg004G122070	El005G241320
OG0002981	Cg008G299460	El001G061410
OG0002982	Cg005G170270	El006G294550
OG0002982	Cg002G054000	El001G023280
OG0002983	Cg005G169870	El006G294040
OG0002983	Cg002G053500	El001G023720
OG0002984	Cg005G185350	El006G308160
OG0002985	Cg005G169360	El006G293370
OG0002985	Cg002G053170	El001G023990
OG0002986	Cg008G292390	El001G011130
OG0002987	Cg006G229800	El002G100160
OG0002988	Cg007G275970	El004G227990
OG0002988	Cg006G226320	El037G374530, El002G104000
OG0002990	Cg006G220190	El002G112010
OG0002990	Cg007G268700	El004G219300
OG0002991	Cg001G015270, Cg001G015280	El003G159000, El003G158990
OG0002992	Cg003G090340	El002G094780, El007G352850, El007G353080, El007G353280
OG0002993	Cg006G199590, Cg008G304000	El002G092430, El007G344720, El002G114060, El002G114020
OG0002995	Cg001G020250	El003G165270
OG0002995	Cg006G243120	El002G085110
OG0002996	Cg008G306130	El001G051310
OG0002997	Cg008G307760	El001G047370
OG0002997	Cg008G307740	El007G335910, El001G047430
OG0002998	Cg008G287730	El001G074930
OG0002998	Cg004G127960	El005G248020
OG0002999	Cg008G286270	El001G076840
OG0003000	Cg003G108950	El003G191250, El007G329650
OG0003001	Cg003G110030	El007G328460
OG0003001	Cg008G287990	El001G074620
OG0003002	Cg003G108000	El007G356890
OG0003003	Cg006G228620	El002G101450
OG0003003	Cg007G272880	El004G224460
OG0003004	Cg006G196230	El002G138840
OG0003004	Cg004G130950	El005G251180
OG0003005	Cg001G025450	El003G172150
OG0003005	Cg004G133090	El005G253400
OG0003006	Cg001G025090	El003G171520
OG0003006	Cg004G133420	El005G253760
OG0003007	Cg001G024970	El003G171390
OG0003007	Cg004G133430	El005G253830
OG0003008	Cg006G201070	El002G132540
OG0003008	Cg004G134930	El005G255470
OG0003009	Cg004G136290	El005G257090
OG0003009	Cg006G199750	El002G134090
OG0003010	Cg006G198630	El002G135430
OG0003010	Cg004G137650, Cg003G087300, Cg007G264530	El005G258720, El002G089400
OG0003011	Cg004G141050	El005G265040
OG0003012	Cg004G142080	El005G267400
OG0003013	Cg001G005200	El003G147390
OG0003014	Cg004G154090	El003G173380, El003G179040, El005G275570
OG0003014	Cg001G008800	El007G348450
OG0003014	Cg004G147790	El005G259140
OG0003015	Cg004G156030	El005G278150
OG0003015	Cg001G011090	El003G154230
OG0003016	Cg006G198100	El002G136120
OG0003016	Cg004G138220	El005G259340
OG0003017	Cg002G048420	El001G029380
OG0003017	Cg006G198200	El002G135950
OG0003018	Cg002G051320	El001G026130
OG0003018	Cg005G166870	El006G290550
OG0003019	Cg004G131140	El005G251400
OG0003020	Cg005G161760	El006G284780
OG0003020	Cg002G046690	El001G031560
OG0003022	Cg001G038290, Cg001G038260, Cg001G038240, Cg001G038280, Cg001G038250	El001G040760
OG0003022	Cg001G038930	El003G188600
OG0003023	Cg004G133610	El005G254020
OG0003023	Cg004G133620	El005G254030
OG0003025	Cg001G015050	El003G158810
OG0003025	Cg001G015080	El003G158840
OG0003028	Cg001G039940	El004G209370
