Orthogroup	Cardamine_glauca	Brassica_napus
OG0002693	Cg003G079020, Cg003G094930	XP_013685806.2, XP_013688532.1, XP_013735426.1, XP_048607006.1
OG0002694	Cg008G320500	XP_048637414.1, XP_013723691.2, XP_022548407.2, XP_013714353.1
OG0002695	Cg005G175040	XP_013752388.1, NP_001302809.1, XP_013680753.1
OG0002695	Cg006G240500	XP_013716310.1
OG0002696	Cg006G238260	XP_013716234.2, XP_022576287.1, XP_013709770.1
OG0002696	Cg005G178380	XP_013733767.1
OG0002697	Cg004G124380	XP_048615778.1, XP_013724102.2, XP_013750469.2, XP_013696447.2
OG0002697	Cg004G124370	XP_013696448.1, XP_022575626.2
OG0002698	Cg004G118470	XP_013752010.3, XP_048636222.1
OG0002698	Cg008G297670	XP_013683089.2, XP_013743093.1
OG0002699	Cg008G297720	XP_048625043.1, XP_013683090.2, XP_013703430.2, XP_022555139.2
OG0002700	Cg008G298520	XP_013728788.2, XP_013674679.2, XP_013681841.2, XP_013729998.2
OG0002701	Cg008G309700, Cg008G311530	XP_013684540.1, XP_013684656.2, XP_013750621.2, XP_013706886.1, XP_013644331.2, XP_013647383.2
OG0002702	Cg002G050180	XP_013677444.1, XP_048592987.1
OG0002702	Cg005G165710	XP_013744935.2, XP_013687726.2
OG0002703	Cg004G154240	XP_013655364.1
OG0002703	Cg006G216220	XP_013667656.1, XP_013657795.2, XP_048596399.1, XP_013656821.2, XP_022555687.1
OG0002704	Cg005G169450	XP_013688891.1, XP_013738285.1, XP_013691013.2
OG0002705	Cg002G052300	XP_013709350.2, XP_013707983.1, XP_048633932.1, XP_013727635.1
OG0002706	Cg007G280120	XP_013726974.2, XP_013650282.1
OG0002706	Cg006G229620	XP_013641665.1, XP_013691924.1
OG0002707	Cg007G273830	XP_013702955.1, XP_022544915.1
OG0002707	Cg006G228070	XP_013641729.1, XP_013723355.2
OG0002708	Cg007G275920	XP_013693259.2, XP_013671070.1
OG0002708	Cg006G226360	XP_013641873.1, XP_013711039.1
OG0002709	Cg007G277570	XP_013650085.2, XP_013666860.1
OG0002710	Cg006G223040	XP_022570891.2
OG0002710	Cg007G271860	XP_013649470.1, XP_048617309.1
OG0002712	Cg006G220310	XP_013707926.2, XP_013690324.1
OG0002713	Cg006G220280	XP_048592649.1, XP_013740696.1, XP_013657124.2, XP_013642101.1, XP_013696690.1
OG0002714	Cg006G230740	XP_013662199.1, XP_013711433.1, XP_013677769.1, XP_022563901.1, XP_013741230.1, XP_013672676.1
OG0002715	Cg002G075240	XP_048604261.1, XP_013720461.1
OG0002716	Cg006G235670	XP_013645821.1, XP_013640921.1, XP_048638072.1, XP_013663753.2
OG0002716	Cg006G235680	XP_013716224.2, XP_022556389.1
OG0002717	Cg008G296640	XP_048607949.1, XP_022554425.2
OG0002718	Cg008G297620	XP_013683016.2, XP_013647525.1, XP_013652419.1
OG0002718	Cg008G297610	XP_013658230.2, XP_013745610.2, XP_013683736.2
OG0002719	Cg008G304380, Cg008G304370, Cg008G304410	XP_013675334.1, XP_013721757.1
OG0002720	Cg002G055860, Cg002G055870	XP_013670483.2
OG0002720	Cg008G312780	XP_013693493.1, XP_048596992.1
OG0002721	Cg008G320100, Cg002G057520	XP_013720206.2, XP_013651813.1
OG0002722	Cg007G269660	XP_048615913.1, XP_013649882.1
OG0002722	Cg007G269270	XP_013724707.1, XP_013689556.2
OG0002723	Cg007G278720	XP_013719001.2, XP_022564865.1, XP_048630560.1, XP_013652467.2, XP_013720068.1
OG0002724	Cg006G225190	XP_048638492.1, XP_013717675.1
OG0002724	Cg007G277070	XP_013717820.1, XP_013701731.1, XP_013721151.2
OG0002725	Cg004G128900	XP_013749876.2, XP_013668255.1
OG0002725	Cg004G128890	XP_013670933.2, XP_048600593.1, XP_013673217.2, XP_013673188.2
OG0002726	Cg004G131810	XP_013701530.2, XP_048612965.1, XP_048595196.1
OG0002726	Cg006G196770	XP_022548830.2, XP_013703076.1
OG0002727	Cg004G132620	XP_013725142.2, XP_022550930.1, XP_013736334.2, XP_013653350.2, XP_013749732.1, XP_013696883.1
OG0002728	Cg004G135830	XP_013658412.1, XP_048594060.1, XP_048609141.1, XP_013736453.2
OG0002729	Cg004G137420	XP_048629589.1, XP_048627859.1, XP_013673316.2
OG0002729	Cg006G198920	XP_048635139.1, XP_013749057.2, XP_013680808.1
OG0002730	Cg004G138720	XP_048609190.1, XP_013736596.1, XP_048635241.1, XP_048613033.1, XP_048593346.1
OG0002731	Cg004G139650	XP_048614691.1, XP_013683723.2, XP_022568255.2
OG0002731	Cg001G026890	XP_013751582.1, XP_048600365.1
OG0002733	Cg006G200320	XP_013731118.1, XP_013715952.1, XP_013701067.1, XP_013646398.2, XP_048620343.1, XP_013714174.1, XP_013715914.1, XP_013715917.1
OG0002734	Cg006G216290, Cg005G172030	XP_013667660.1, XP_013662577.1, XP_048593874.1, XP_013671420.1
OG0002735	Cg002G053200	XP_013750018.1, XP_013647917.2, XP_013681597.1, XP_013675315.1
OG0002736	Cg005G168440	XP_048608509.1, XP_013740625.1, XP_013699258.3, XP_013744797.2
OG0002737	Cg005G165210	XP_013747858.2, XP_013686061.1
OG0002737	Cg002G049890	XP_048597144.1
OG0002738	Cg008G325200	XP_013695940.2, XP_048637346.1, XP_013705752.1, XP_013696042.2
OG0002739	Cg002G056900	XP_013691018.2, XP_022564679.2
OG0002739	Cg003G114270	XP_013690820.2
OG0002740	Cg002G047290	XP_013648312.2, XP_013648317.2, XP_013724430.1
OG0002741	Cg007G268720	XP_048591990.1, XP_013698594.2, XP_013652300.2
OG0002743	Cg001G006750	XP_013654202.2, XP_013699832.2
OG0002745	Cg006G234120	XP_048597774.1, XP_013732197.2, XP_013646503.2, XP_013696024.2
OG0002746	Cg006G232120	XP_013686475.2, XP_022569397.1, XP_048600163.1, XP_048630054.1
OG0002747	Cg008G319970	XP_048635738.1
OG0002747	Cg004G132410	XP_048632530.1, XP_013684712.1
OG0002748	Cg008G290140	XP_013740137.1, XP_022563277.1, XP_022551058.1, XP_013655031.2
OG0002748	Cg003G112590	XP_013701463.1
OG0002750	Cg007G266810, Cg007G266700, Cg007G266840	XP_048616750.1, XP_048591933.1
OG0002751	Cg001G031920, Cg001G022360, Cg001G020110	XP_013707124.1, XP_022571689.1, XP_048630592.1, XP_048628061.1, XP_048630597.1, XP_048630600.1, XP_022565322.1, XP_013726209.2, XP_048626603.1, XP_048624274.1, XP_048637567.1, XP_013645738.2
OG0002753	Cg001G012270	XP_013750562.2, XP_013671685.1
OG0002753	Cg004G157060	XP_013675942.1, XP_013652667.1, XP_013708830.1, XP_048597526.1
OG0002755	Cg001G008810	XP_013650216.1, XP_013670746.2
OG0002757	Cg004G151960	XP_048595556.1, XP_013703870.1
OG0002757	Cg001G005760	XP_048635052.1, XP_013650806.2, XP_013689915.1, XP_022561366.1
OG0002758	Cg004G152720	XP_013724947.2, XP_022561143.1
OG0002758	Cg001G005150	XP_048594787.1, XP_013732496.1, XP_013750240.1, XP_013670596.1
OG0002759	Cg001G025330	XP_013746155.3
OG0002760	Cg005G171260	XP_048635154.1, XP_048614476.1, XP_048635492.1
OG0002762	Cg007G248710	XP_013672458.3, XP_022575789.2
OG0002762	Cg006G234340	XP_048621322.1, XP_013708400.1
OG0002763	Cg006G230930	NP_001302884.1, XP_013701756.1, XP_013684839.2, XP_048617818.1
OG0002764	Cg006G232230	XP_013676301.1, XP_048638210.1
OG0002765	Cg002G071440	XP_048595254.1, XP_013684994.1, XP_048628348.1, XP_048600640.1
OG0002765	Cg008G289240	XP_013680599.1, XP_022573199.1
OG0002766	Cg001G036690	XP_013742973.2, XP_013732874.1
OG0002767	Cg007G247120	XP_013706816.1, XP_013748261.1
OG0002768	Cg003G104110	XP_013725372.2, XP_013714336.2
OG0002768	Cg001G014440	XP_048619715.1, XP_013704042.3
OG0002769	Cg004G125040	XP_013750367.1, XP_048635988.1
OG0002770	Cg001G015880	XP_013657001.1, XP_013705146.2, XP_013671257.2
OG0002771	Cg003G113070	XP_048606605.1, XP_013643097.2
OG0002772	Cg003G111710	XP_013643198.1, XP_013643028.2
OG0002772	Cg008G289660	XP_048598424.1, XP_013715183.2
OG0002773	Cg008G288290	XP_013715606.2, XP_013743200.1
OG0002773	Cg003G109370	XP_048632991.1
OG0002774	Cg001G020810	XP_013659145.1
OG0002774	Cg008G321520	XP_048637392.1, XP_048618297.1
OG0002775	Cg001G020730	XP_013737512.2, XP_013717501.1
OG0002775	Cg008G321380	XP_013681666.1, XP_013687211.1
OG0002776	Cg001G019470	XP_022562754.1, XP_013717301.3
OG0002776	Cg001G019480	XP_013728465.3, XP_013730023.1
OG0002779	Cg006G210920	XP_048594455.1, XP_048621701.1
OG0002780	Cg006G208480, Cg006G208490	XP_048617165.1, XP_048637985.1
OG0002781	Cg001G002540	XP_013707613.2, XP_013728996.1, XP_048600963.1, XP_048630497.1, XP_048633904.1
OG0002783	Cg001G000720	XP_013654305.2, XP_022555699.1
OG0002784	Cg001G023400	XP_013738320.1, XP_013655955.2
OG0002785	Cg004G146590	XP_013720353.1, XP_013651441.1
OG0002786	Cg004G146450	XP_013652902.1, XP_022544325.1
OG0002787	Cg001G033810	XP_013721139.1, XP_013690437.1
OG0002788	Cg001G027580	XP_048634002.1, XP_013659050.2
OG0002788	Cg004G140580	XP_013741115.1, XP_013717702.1, XP_013651509.3
OG0002789	Cg001G027110	XP_048621917.1, XP_013655687.1, XP_013671744.2, XP_013664755.1
OG0002790	Cg004G139550	XP_013647906.1, XP_048629068.1, XP_013714314.1
OG0002790	Cg004G139570	XP_048593177.1, XP_013729900.2
OG0002791	Cg004G138670	XP_013692607.1, XP_013743111.1, XP_048635243.1
OG0002793	Cg005G158650	XP_048634810.1, XP_048611289.1, XP_048610335.1, XP_013747568.2
OG0002794	Cg005G160520	XP_013691859.1, XP_013747945.1
OG0002794	Cg002G045870	XP_013710884.2, XP_013710863.2, XP_022574224.2, XP_013741984.2
OG0002795	Cg002G046280	XP_022546965.2, XP_048620813.1, XP_013688113.1, XP_013742052.1
OG0002796	Cg005G162240	XP_022554879.1, XP_013683831.2
OG0002797	Cg005G163700	XP_013724338.3, XP_013687885.1, XP_022574160.2, XP_013727820.1, XP_013747781.2
OG0002798	Cg005G164190	XP_013747808.2, XP_013692239.1, XP_013647897.1, XP_013724365.1
OG0002799	Cg005G168130	XP_013701987.1
OG0002799	Cg008G282450	XP_013731809.1, XP_013730112.1, XP_013723504.2
OG0002800	Cg008G284360	XP_013721525.1, XP_022554173.1, XP_013655670.2
OG0002801	Cg002G064840	XP_013667258.2, XP_048623348.1, XP_048627745.1, XP_013682275.1
OG0002802	Cg002G064470	XP_013722001.1
OG0002803	Cg002G059960	XP_048606729.1, XP_013666865.2
OG0002803	Cg003G106480	XP_048598940.1, XP_013706272.2
OG0002804	Cg003G114720	XP_048592783.1, XP_013690759.2
OG0002805	Cg005G177240	XP_013740682.2, XP_013705278.1, XP_013690921.1
OG0002806	Cg003G077840, Cg014G331810	XP_013681619.2, XP_013740782.1
OG0002807	Cg003G094790, Cg003G079210	XP_013675830.1, XP_048612539.1, XP_013711760.2, XP_013735432.2, XP_048637062.1, XP_048636983.1
OG0002808	Cg005G174250	XP_013737635.1, XP_013748690.2
OG0002808	Cg006G241190	XP_013697914.2, XP_048599392.1
OG0002809	Cg005G175300	XP_013734159.1, XP_013742765.1, XP_013677456.1, XP_013748769.2
OG0002809	Cg006G240090	XP_048597903.1, XP_013716169.1
OG0002810	Cg006G239580	XP_013696458.1
OG0002810	Cg005G175920	XP_013722550.1, XP_013643558.2
OG0002811	Cg005G177730	XP_013732592.1, XP_048636863.1, XP_048630342.1, XP_013664512.2
OG0002812	Cg005G180920	XP_013720459.1, XP_013745967.2
OG0002812	Cg006G237700	XP_013711955.1, XP_013641092.2
OG0002813	Cg004G116340	XP_048631586.1
OG0002813	Cg008G294580	XP_022565943.2, XP_048598273.1
OG0002814	Cg004G117360	XP_048636243.1, XP_013678408.2, XP_013735673.2, XP_022555126.1
OG0002817	Cg004G119970	XP_013660580.2, XP_048601716.1
OG0002817	Cg008G298840	XP_013727744.3, XP_013681872.2, XP_013730183.2
OG0002818	Cg004G120710	XP_013684435.2, XP_048632226.1
OG0002818	Cg008G307240	XP_048631622.1, XP_048595318.1, XP_022561819.1
OG0002819	Cg008G299420	XP_048599112.1, XP_048624976.1
OG0002819	Cg004G122120	XP_048602043.1, XP_013647855.1
OG0002820	Cg004G122420	XP_048626225.1, XP_048626171.1
OG0002821	Cg004G122880	XP_022576248.2, XP_013646385.2, XP_013696217.1, XP_013643999.2
OG0002821	Cg008G308860, Cg008G310510	XP_013675392.1, XP_013699403.2
OG0002822	Cg004G120220	XP_013745059.1, XP_013735770.2, XP_048632313.1, XP_048602135.1
OG0002822	Cg006G201970, Cg004G144820	XP_022547501.2
OG0002823	Cg002G054010	XP_022564069.2, XP_013663263.3
OG0002823	Cg005G170320	XP_013744699.2, XP_013687552.2
OG0002824	Cg002G052630	XP_013675841.1, XP_022573697.1
OG0002824	Cg005G168590	XP_013734719.2, XP_013723931.1
OG0002825	Cg007G281250	XP_013648561.1, XP_013672222.1
OG0002825	Cg006G230360	XP_013641495.2, XP_013749916.2
OG0002826	Cg007G280430	XP_013648592.2, XP_013702123.1
OG0002826	Cg006G229880	XP_022564220.2, XP_022547148.2
OG0002827	Cg006G228500	XP_048638359.1, XP_048614163.1
OG0002827	Cg007G273140	XP_048617344.1, XP_048592152.1
OG0002828	Cg006G228460	XP_048621137.1, XP_013726492.2
OG0002828	Cg007G273180	XP_013649573.1, XP_048613320.1, XP_013743338.2
OG0002829	Cg007G273710	XP_048592161.1, XP_013649610.2
OG0002830	Cg001G041990	XP_022566519.1, XP_013657249.2
OG0002830	Cg006G227190	XP_013715217.2
OG0002831	Cg007G275250	XP_013700616.2, XP_048592214.1
OG0002831	Cg006G227070	XP_013664416.1, XP_013643394.2
OG0002832	Cg006G225470	XP_013642244.1, XP_022543042.1
OG0002832	Cg007G276900	XP_013717967.1, XP_013702386.1
OG0002833	Cg006G225460	XP_013642243.2
OG0002833	Cg007G276910	XP_013717965.1, XP_013702384.2
OG0002834	Cg006G221990	XP_013732635.2, XP_013711186.3
OG0002835	Cg007G269710	XP_013652438.1, XP_022558004.2
OG0002835	Cg006G220660	XP_013682025.2, XP_048593946.1
OG0002836	Cg006G220320	XP_013657185.1, XP_013657121.2, XP_013698110.2, XP_048596573.1
OG0002837	Cg007G268580	XP_013686978.2, XP_013689288.2, XP_013699199.1, XP_013649307.2
OG0002837	Cg006G220110	XP_013708463.2, XP_013662817.2
OG0002838	Cg001G034750, Cg003G091150	XP_048619056.1, XP_048619272.1, XP_048593736.1, XP_013724023.2, XP_048600091.1, XP_048597499.1
OG0002840	Cg001G001000	XP_013701717.1, XP_022545842.2
OG0002840	Cg005G193300	XP_048612239.1, XP_013743531.2
OG0002841	Cg005G174210	XP_013737639.1, XP_013748693.2
OG0002841	Cg006G241210	XP_013666571.2
OG0002842	Cg006G243380	XP_013664862.2, XP_048597951.1, XP_013693246.2, XP_013698477.1
OG0002844	Cg008G295150	XP_048598265.1, XP_022554380.1, XP_048626176.1, XP_048626184.1, XP_048607918.1, XP_022554381.1, XP_013667714.2, XP_013712743.1
OG0002845	Cg008G299150	XP_013683191.1, XP_013683530.1, XP_013727676.1, XP_013667473.1, XP_048608020.1, XP_013730401.1
OG0002847	Cg006G194250	XP_048629351.1, XP_048602121.1, XP_013656818.2, XP_013678017.2, XP_013714158.1, XP_013656817.1, XP_013687524.2, XP_013662086.2
OG0002848	Cg002G057470	XP_048632652.1, XP_013720161.1
OG0002849	Cg002G057620	XP_048638554.1, XP_013693639.1
OG0002849	Cg008G303990	XP_048591056.1, XP_013708541.1
OG0002850	Cg003G109460	XP_048619495.1, XP_048632685.1
OG0002850	Cg003G109430	XP_048591965.1, XP_048632689.1, XP_022573413.1, XP_013693695.3
OG0002851	Cg008G303370	XP_013643485.2, XP_022562684.1
OG0002851	Cg002G058080	XP_048622042.1, XP_022543104.1
OG0002852	Cg008G303280	XP_048602581.1, XP_048626295.1, XP_048628277.1, XP_048605209.1, XP_048626294.1, XP_048628276.1, XP_048604344.1, XP_013665898.2, XP_048602589.1, XP_013643495.2, XP_022561985.1, XP_013724654.2, NP_001302823.1, XP_048625722.1
OG0002853	Cg003G109540	XP_013678261.2, XP_013727970.1, XP_048603219.1, XP_013718240.1, XP_013642814.1
OG0002854	Cg003G106380	XP_013683455.2, XP_048606422.1
OG0002855	Cg004G116680	XP_022571945.2, XP_022555106.2
OG0002855	Cg003G106280	XP_048606462.1, XP_048603010.1
OG0002856	Cg002G059810	XP_013647814.1, XP_013665768.2
OG0002856	Cg003G106240	XP_013716569.1, XP_013727173.2, XP_013732359.1
OG0002858	Cg002G057690	XP_013745185.1, XP_013680422.1, XP_013642415.2, XP_013693268.1
OG0002859	Cg003G107410	XP_013682111.1, XP_013732666.1, XP_048606186.1, XP_048602584.1
OG0002859	Cg002G061080	XP_013661759.1, XP_013688718.2
OG0002860	Cg001G005730	XP_013654169.2, XP_013730783.1
OG0002860	Cg004G152010	XP_048595558.1, XP_013729958.1, XP_013706287.1
OG0002861	Cg006G243950	XP_048621814.1, XP_013664860.1
OG0002861	Cg007G271430	XP_048592110.1, XP_013700810.2
OG0002862	Cg007G274910	XP_022564429.1, XP_013726480.2
OG0002863	Cg007G280930	XP_013726976.1, XP_013652551.2
OG0002863	Cg006G230010	XP_013641693.2, XP_013686030.1
OG0002864	Cg004G129310	XP_013652625.2, XP_013686393.3, XP_013642604.2, XP_013673126.1, XP_013737760.1, XP_048635845.1
OG0002865	Cg004G129660	XP_013686386.1, XP_013684800.2, XP_013749829.2, XP_013737790.1
OG0002866	Cg004G129930	XP_048614724.1, XP_048635828.1
OG0002866	Cg006G195300	XP_013647206.1, XP_013646258.1
OG0002867	Cg004G130070	XP_013749770.1, XP_022575453.2
OG0002867	Cg006G195400	XP_048594383.1, XP_013672991.2
OG0002868	Cg004G131820	XP_013644931.1, XP_013736309.1, XP_013684835.2, XP_013701528.1, XP_013697134.1
OG0002869	Cg006G198990	XP_048637779.1, XP_048616362.1
OG0002869	Cg004G137390	XP_013720662.2, XP_048632498.1, XP_013673315.1, XP_048629588.1, XP_013651371.1
OG0002871	Cg004G150540, Cg004G149610	XP_048620372.1
OG0002872	Cg004G152480	XP_013644460.1, XP_013719446.2
OG0002873	Cg001G010220	XP_013688214.1, XP_013687927.2, XP_013685887.2, XP_013720415.1
OG0002874	Cg004G157370	XP_048625891.1, XP_013664360.1, XP_022563150.1
OG0002875	Cg006G198880	XP_013702367.2, XP_048616370.1, XP_048636282.1, XP_013749061.2
OG0002875	Cg004G137430	XP_013652604.1, XP_048629580.1, XP_048614861.1
OG0002876	Cg006G200290	XP_022575169.1, XP_048635545.1, XP_048614767.1, XP_022552033.1, XP_013640830.2
OG0002877	Cg002G051490	XP_013711434.1, XP_022563667.2
OG0002877	Cg005G167000	XP_013745139.1
OG0002878	Cg005G165390	XP_013680795.2, XP_013740577.1
OG0002879	Cg002G049180	XP_013663356.2, XP_013708417.2
OG0002879	Cg005G164630	NP_001302841.1, XP_013727336.1
OG0002880	Cg002G048950	XP_013711565.2, XP_048626656.1, XP_013748981.1
OG0002880	Cg008G286550	XP_013692868.2, XP_013715700.2
OG0002881	Cg002G048560	XP_048629522.1, XP_013640723.1
OG0002886	Cg008G296620	XP_013659929.2, XP_013649846.1, XP_013651194.2, XP_048628147.1, XP_048630777.1, XP_013667830.1, XP_013667588.2
OG0002887	Cg008G298490	XP_013687416.1, XP_013683137.2, XP_013729960.1, XP_013681839.1, XP_013728756.1
OG0002890	Cg004G157040	XP_013675946.1, XP_013652668.1
OG0002890	Cg001G012200	XP_013656371.2, XP_022554683.1
OG0002891	Cg005G190860	XP_013743842.2, XP_013743777.2
OG0002891	Cg001G010000	XP_048621273.1, XP_048619205.1
OG0002892	Cg005G188810	XP_013681433.1, XP_013660040.2, XP_048612404.1, XP_013743929.1
OG0002892	Cg001G008550	XP_048636393.1, XP_013667591.2
OG0002893	Cg001G008350	XP_048601196.1, XP_013666638.2
OG0002893	Cg005G188320	XP_013664025.2, XP_013708225.1
OG0002894	Cg002G063600	XP_022566301.2, XP_048590761.1
OG0002894	Cg001G007740	XP_048636009.1, XP_013670672.2
OG0002895	Cg005G186470	XP_048597384.1, XP_013709877.1
OG0002895	Cg001G007360	XP_013673300.1, XP_013659672.2
OG0002896	Cg001G006600	XP_013655633.1, XP_013735202.1
OG0002896	Cg004G148410	XP_013677125.1, XP_013736703.1
OG0002897	Cg001G005490	XP_013647782.2, XP_048601096.1
OG0002897	Cg004G152380	XP_013729943.1, XP_022570456.1
OG0002898	Cg004G133080	XP_048614754.1, XP_048635715.1, XP_048614758.1, XP_013749697.1
OG0002899	Cg006G213880	XP_013733834.1, XP_013682253.1, XP_013659572.1, XP_048635486.1
OG0002900	Cg005G170920	XP_013734306.1, XP_013683555.1
OG0002900	Cg001G024250	XP_048626167.1, XP_048623592.1, XP_048626207.1
OG0002901	Cg006G235310	XP_048594217.1
OG0002901	Cg007G249840	XP_048626061.1, XP_013661651.2
OG0002902	Cg007G248730	XP_013692466.1, XP_048592483.1, XP_013672457.2, XP_013711419.1
OG0002903	Cg006G230710	XP_048594134.1, XP_022576452.2, XP_013737006.1, XP_013711853.2
OG0002904	Cg002G074960	XP_013707162.1, XP_013727821.1
OG0002905	Cg002G068840	XP_013692086.2, XP_013698384.1, XP_013666630.2, XP_048600965.1, XP_048602942.1
OG0002906	Cg007G246660	XP_013697703.1, XP_013661577.1, XP_013686307.1, XP_013747962.1
OG0002907	Cg003G105050	XP_013698321.2, XP_013667066.1
OG0002907	Cg001G014900	XP_013703148.1, XP_013738086.1
OG0002909	Cg004G126280	XP_013676515.2
OG0002909	Cg008G285600	XP_013653808.2, XP_048624337.1
OG0002910	Cg004G127430	XP_013747562.1, XP_048607955.1, XP_022575495.2, XP_013750088.1
OG0002911	Cg004G128160	XP_013697042.1, XP_013648218.1
OG0002911	Cg008G293990	XP_013679902.2
OG0002912	Cg003G100790	XP_013676260.2, XP_013715094.1, XP_013714843.2, XP_013666779.1
OG0002913	Cg003G101700	XP_013733096.2, XP_013685948.2, XP_048598777.1
OG0002914	Cg001G014160	XP_022550509.1, XP_013741757.2
OG0002916	Cg006G219180, Cg006G219410	XP_022545904.1, XP_013657157.2, XP_013657158.2, XP_022545905.1
OG0002917	Cg008G292400	XP_013712589.1, XP_013727106.1, XP_013720730.1
OG0002917	Cg008G305870	XP_013737464.2, XP_013659122.2
OG0002918	Cg008G302920	XP_048632648.1, XP_013736884.1
OG0002918	Cg008G289080	XP_013715471.2, XP_013702205.1
OG0002919	Cg008G288570	XP_048602676.1, XP_048603177.1, XP_048624865.1, XP_048607808.1
OG0002919	Cg008G288580	XP_048598157.1
OG0002920	Cg003G109910	XP_048627942.1, XP_048629532.1, XP_013727940.1
OG0002921	Cg001G023650	XP_013671706.1, XP_048622267.1
OG0002921	Cg008G324980	XP_013707583.1, XP_013698205.2
OG0002923	Cg001G019370	XP_013653891.2, XP_013671155.1
OG0002924	Cg003G081580	XP_013691008.1
OG0002924	Cg001G018220	XP_013671175.1, XP_013738118.2
OG0002925	Cg001G018020	XP_048596912.1, XP_013671198.1, XP_022572577.2, XP_013737602.2
OG0002926	Cg003G083790	XP_013653414.1, XP_013735560.2, XP_013684075.1, XP_013687948.2
OG0002927	Cg006G211730	XP_048637027.1, XP_048637109.1, XP_022546597.1, XP_013717320.2
OG0002928	Cg007G272200	XP_013728572.1, XP_013648996.2, XP_013697029.1, XP_013649507.1
OG0002929	Cg006G210110	XP_048617765.1
OG0002929	Cg006G223640	XP_013697362.2, XP_013748588.1, XP_013687852.2, NP_001303009.1
OG0002930	Cg006G218250	XP_013655109.2, XP_013677029.1, XP_013653252.1, XP_048618383.1
OG0002931	Cg001G004600	XP_013654251.3, XP_013643274.1, XP_022563116.1
OG0002932	Cg001G003150	XP_022550142.1, XP_048634072.1
OG0002932	Cg005G191200	XP_013743664.2, XP_048612322.1
OG0002933	Cg001G002810	XP_013722965.2, XP_048600972.1
OG0002933	Cg005G191570	XP_048620994.1, XP_048597453.1
OG0002934	Cg001G002270	XP_048631048.1, XP_013685558.1, XP_048593803.1, XP_013733287.2, XP_013723023.1
OG0002935	Cg001G000980	XP_048590900.1, XP_013661043.2, XP_013698717.1, XP_013656697.2
OG0002936	Cg001G000900	XP_013735608.1, XP_013747708.2, XP_013656686.2, XP_013701923.1
OG0002936	Cg005G193440	XP_022570909.2, XP_013746904.1
OG0002937	Cg001G000810	XP_013705825.2, XP_013647548.2, XP_022550105.1
OG0002937	Cg001G000800	XP_013647547.2
OG0002938	Cg001G000420	XP_013656747.2, XP_013685722.2, XP_048606267.1
OG0002938	Cg005G193950	XP_022554952.2, XP_048608805.1, XP_048627246.1, XP_048597513.1, XP_013712062.1
OG0002940	Cg005G172360	XP_013734255.1, XP_013698991.2
OG0002942	Cg001G028310	XP_013710079.2
OG0002942	Cg004G141340	XP_013677190.1, XP_013653025.2
OG0002943	Cg001G041930, Cg003G091200, Cg001G041940	XP_013710461.1, XP_048593644.1, XP_013701041.1, XP_013651868.2, XP_022573809.2, XP_013731592.1
OG0002944	Cg002G044130	XP_048620873.1, XP_048597334.1
OG0002944	Cg005G158230	XP_013702458.2, XP_013747535.2
OG0002945	Cg006G230200	XP_048598925.1, XP_013716715.2, XP_013750749.1, XP_013750677.1
OG0002946	Cg005G159390	XP_013752004.2, XP_013707998.1, XP_013740657.1, XP_013725822.1
OG0002947	Cg002G046250	XP_013742050.2, XP_022568967.2
OG0002947	Cg005G160910	XP_048634757.1, XP_013666712.2
OG0002948	Cg005G161370	XP_048611237.1, XP_048634749.1, XP_048609330.1, XP_013690899.1
OG0002949	Cg005G161380	XP_048636380.1, XP_013690969.1
OG0002949	Cg002G061750	XP_048636383.1
OG0002950	Cg003G115860	XP_013688486.2, XP_013661374.2
OG0002950	Cg002G055390	XP_048631797.1, XP_048597017.1, XP_013663025.1
OG0002951	Cg005G161900	XP_022574637.1, XP_013691465.2
OG0002952	Cg005G162170	XP_013687992.1, XP_022568144.2
OG0002952	Cg002G046910	XP_048597245.1, XP_022563289.1
OG0002953	Cg005G162370	XP_013747900.1, XP_013692652.1, XP_048634725.1, XP_013688015.2
OG0002953	Cg002G046930	XP_048620771.1, XP_048597240.1
OG0002954	Cg002G046960	XP_048620769.1, XP_048597238.1
OG0002954	Cg005G162450	XP_022557907.2, XP_013717461.1
OG0002955	Cg004G124570	XP_048635999.1, XP_048615297.1, XP_013736085.2
OG0002956	Cg008G301450	XP_013670063.1, XP_048599037.1
OG0002956	Cg008G301570	XP_013721856.2, XP_048599034.1, XP_013717607.2
OG0002957	Cg002G061790	XP_013702231.2, XP_013672576.1
OG0002957	Cg003G107990	XP_013680825.2, XP_013715850.2
OG0002959	Cg003G113250	XP_013643080.2, XP_048626565.1, XP_013723104.1
OG0002960	Cg003G114350	XP_013686195.1, XP_013653499.1, XP_013655826.2, XP_048595481.1, XP_048623822.1, XP_022552576.2, XP_013655823.1, XP_022547612.2, XP_048595482.1, XP_013672588.1, XP_013727455.2
OG0002961	Cg003G115260	XP_013686286.2, XP_013653760.1
OG0002961	Cg002G055980	XP_048596987.1, XP_013695858.1
OG0002962	Cg006G217900	XP_048622017.1, XP_022546425.2
OG0002963	Cg003G077260, Cg014G332360	XP_048595144.1, XP_013732724.1
OG0002964	Cg003G078270, Cg014G331380	NP_001303183.1, XP_048625446.1
OG0002964	Cg014G331370, Cg003G078280	XP_013657825.2, XP_013674718.3, XP_048595069.1
OG0002965	Cg008G320400	XP_013705393.1, XP_013681494.2
