Orthogroup	Cardamine_glauca	Odontarrhena_muralis
OG0002172	Cg007G280280	Om004G131400
OG0002174	Cg007G275430	Om004G138720
OG0002175	Cg007G277200	Om004G135900
OG0002175	Cg006G225030	Om005G203110
OG0002176	Cg008G315760, Cg008G315770, Cg006G223390	Om005G205080
OG0002177	Cg006G222900	Om005G205620
OG0002177	Cg007G271570	Om005G206770
OG0002178	Cg007G270930	Om005G207570, Om005G207580
OG0002179	Cg007G267570	Om005G212170
OG0002179	Cg006G219480	Om004G148110
OG0002181	Cg001G005860	Om004G160280
OG0002182	Cg003G108970	Om006G236900
OG0002183	Cg006G232490	Om005G193300
OG0002183	Cg002G072720	Om006G272790
OG0002184	Cg006G216090	Om005G191190
OG0002184	Cg006G233940	Om005G191200
OG0002185	Cg006G233960	Om005G191140
OG0002185	Cg007G248180	Om005G224450
OG0002186	Cg007G250020	Om005G221870
OG0002186	Cg006G235000	Om005G189720
OG0002187	Cg006G236240	Om005G188060
OG0002187	Cg004G124240	Om002G050980
OG0002188	Cg006G240770	Om005G182900, Om005G182910
OG0002189	Cg004G127090	Om002G054780
OG0002189	Cg008G286800	Om004G170890
OG0002190	Cg004G126310	Om002G053730
OG0002190	Cg008G285670	Om004G172450
OG0002191	Cg004G137790, Cg004G137800	Om002G068790, Om006G240730
OG0002192	Cg002G064030, Cg008G301910	Om006G243460
OG0002193	Cg008G300500, Cg007G246770, Cg007G245690	Om006G241710
OG0002194	Cg006G194300	Om003G089680
OG0002194	Cg004G128730	Om002G056880
OG0002195	Cg006G194780	Om003G090280, Om003G090260
OG0002196	Cg001G025380	Om003G100670
OG0002196	Cg004G133160	Om002G063030
OG0002197	Cg004G133970	Om002G064030
OG0002197	Cg006G201650	Om003G099750
OG0002198	Cg004G134550	Om002G064750
OG0002198	Cg006G201290	Om003G099350
OG0002199	Cg004G134720	Om002G065030
OG0002199	Cg006G201210	Om003G099270
OG0002201	Cg004G152860	Om002G083390
OG0002201	Cg004G152870	Om002G083400
OG0002202	Cg004G153070	Om002G083740, Om001G034310, Om007G306500
OG0002203	Cg008G286460	Om004G171270
OG0002204	Cg004G155480	Om002G086780
OG0002205	Cg006G199610	Om003G097440
OG0002206	Cg006G199920	Om003G097900
OG0002206	Cg004G135960	Om002G066630
OG0002207	Cg001G025360	Om003G100650
OG0002207	Cg001G025350	Om003G100640
OG0002208	Cg002G049270, Cg002G049260	Om003G120020
OG0002209	Cg005G160360	Om008G322160
OG0002209	Cg002G045740	Om003G125950
OG0002210	Cg001G006380	Om001G031760
OG0002213	Cg007G262640, Cg007G263470, Cg007G263410, Cg007G263430, Cg007G262660, Cg007G263490, Cg007G262670, Cg007G263450	Om005G215000
OG0002219	Cg004G156140, Cg001G011330	Om002G087540
OG0002220	Cg001G011030	Om001G024510
OG0002221	Cg004G155910	Om002G087230
OG0002222	Cg001G007990, Cg005G187860	Om001G029370
OG0002222	Cg008G305200	Om006G240230
OG0002223	Cg001G009510	Om001G027170
OG0002223	Cg006G221310	Om008G342050
OG0002224	Cg005G189770	Om004G154800
OG0002224	Cg001G008980	Om001G028010
OG0002225	Cg001G008460, Cg005G188430	Om001G028760
OG0002226	Cg001G006260	Om001G031930
OG0002226	Cg004G151100, Cg004G150230	Om002G081740
OG0002227	Cg001G004880, Cg004G153250	Om002G083870
OG0002228	Cg006G213670	Om007G276870
OG0002229	Cg006G230820	Om005G195670
OG0002230	Cg006G231230	Om005G195100
OG0002230	Cg002G074860	Om006G274890
OG0002231	Cg002G073230	Om006G273470
OG0002231	Cg006G232400, Cg006G232390	Om005G193400
OG0002232	Cg002G072700	Om006G272750
OG0002232	Cg006G232480	Om005G193310
OG0002234	Cg001G040020	Om007G316300
OG0002235	Cg007G266400	Om005G213350
OG0002236	Cg007G265010, Cg001G035960	Om005G214180
OG0002237	Cg001G035020	Om007G313680
OG0002238	Cg007G246020	Om005G228220
OG0002239	Cg007G247940	Om005G224740
OG0002239	Cg006G233830	Om005G191340
OG0002240	Cg003G104800	Om006G249610
OG0002240	Cg001G014800	Om006G256100
OG0002241	Cg008G282660	Om004G176460
OG0002241	Cg004G124690	Om002G051500
OG0002242	Cg004G125810	Om002G053050
OG0002242	Cg008G284830	Om004G173380
OG0002243	Cg001G026120	Om003G095690, Om005G224750
OG0002243	Cg007G281470	Om004G129970
OG0002244	Cg003G110810	Om006G234810
OG0002244	Cg003G085440	Om002G055320
OG0002245	Cg001G015670	Om007G286030
OG0002246	Cg003G098410	Om003G113060
OG0002247	Cg003G098610	Om003G113170
OG0002247	Cg001G015340	Om007G286410
OG0002248	Cg003G101740	Om003G116130
OG0002249	Cg003G102340	Om003G116870
OG0002250	Cg003G103220	Om003G118090
OG0002250	Cg001G014100	Om004G157570
OG0002251	Cg003G103590	Om003G118560, Om003G118570
OG0002252	Cg003G105170	Om006G249090
OG0002253	Cg008G293200, Cg006G219380	Om004G161870
OG0002254	Cg008G299910	Om006G241020
OG0002254	Cg008G292760	Om004G162410
OG0002255	Cg008G305880	Om006G240790
OG0002255	Cg008G292450	Om004G162850
OG0002256	Cg008G322740	Om008G358550
OG0002256	Cg001G021680	Om001G003240
OG0002257	Cg001G018650	Om001G008880
OG0002257	Cg001G018660	Om001G008870
OG0002258	Cg006G215520	Om007G291530
OG0002259	Cg001G003810	Om001G036060
OG0002259	Cg001G003820	Om001G036050
OG0002260	Cg001G035500	Om001G009370, Om001G009400
OG0002261	Cg001G003190	Om001G037080, Om001G037120, Om001G037110, Om001G037070
OG0002262	Cg001G002910	Om001G037920
OG0002263	Cg001G001580	Om001G039810
OG0002264	Cg001G000540	Om001G041380
OG0002265	Cg001G039320	Om007G315430
OG0002266	Cg008G314510	Om008G341990
OG0002266	Cg006G203110	Om007G287350
OG0002267	Cg001G029190	Om003G103830
OG0002267	Cg004G141700	Om002G073200
OG0002268	Cg004G140750	Om002G071970
OG0002268	Cg001G027810	Om003G102770
OG0002269	Cg001G027450	Om003G102640
OG0002269	Cg004G140340	Om002G071560
OG0002270	Cg004G140150, Cg004G152360, Cg004G140140	Om002G071290
OG0002270	Cg001G027280	Om003G102540
OG0002271	Cg004G139400	Om006G267950
OG0002271	Cg001G026680	Om003G101990
OG0002272	Cg001G025890	Om003G101380
OG0002273	Cg002G045720	Om003G125970
OG0002273	Cg005G160330	Om008G322130
OG0002274	Cg005G161540	Om008G323700
OG0002275	Cg005G161650	Om008G323920
OG0002276	Cg005G161660	Om008G323930
OG0002276	Cg002G046640	Om003G124310
OG0002277	Cg002G048440	Om003G121090
OG0002277	Cg005G163750	Om008G326900
OG0002278	Cg002G048880	Om003G120520
OG0002278	Cg005G164220	Om008G327390
OG0002279	Cg003G091460	Om004G176750
OG0002279	Cg004G118350	Om002G044630
OG0002280	Cg002G062600	Om006G269150
OG0002280	Cg008G302650	Om006G244380
OG0002281	Cg002G062530, Cg008G302680	Om006G244410
OG0002282	Cg003G108050	Om006G245100
OG0002283	Cg003G113380	Om006G231820
OG0002284	Cg006G244780	Om005G178350
OG0002284	Cg014G332830, Cg003G076740	Om004G158010
OG0002286	Cg006G242590	Om005G180870
OG0002286	Cg008G320310	Om007G292840
OG0002287	Cg006G240730	Om005G182950
OG0002288	Cg005G175520	Om007G280840
OG0002288	Cg006G240010	Om005G183650
OG0002289	Cg006G238660, Cg006G238610	Om005G185250, Om005G185230
OG0002290	Cg005G181600	Om007G284920
OG0002290	Cg006G237620	Om005G186400, Om004G159190
OG0002291	Cg001G007260	Om001G030300
OG0002292	Cg008G294830	Om007G301070, Om004G156820
OG0002292	Cg004G116490	Om002G042600
OG0002293	Cg004G117150	Om002G043250
OG0002294	Cg008G296540	Om007G298650
OG0002294	Cg004G117770	Om002G043960
OG0002295	Cg008G296710	Om007G298290
OG0002295	Cg004G117910	Om002G044120
OG0002296	Cg008G296990	Om007G297870
OG0002296	Cg004G118120	Om002G044320
OG0002297	Cg008G297060	Om007G297760
OG0002298	Cg004G119140	Om002G045020
OG0002299	Cg008G306500	Om007G294180
OG0002299	Cg004G121530	Om002G047980
OG0002301	Cg004G123040, Cg008G309130, Cg008G310830	Om002G049640
OG0002302	Cg005G169440	Om008G336130
OG0002302	Cg002G053210	Om006G254810
OG0002303	Cg007G280660	Om004G130500
OG0002303	Cg006G230170	Om005G196500
OG0002304	Cg006G229660	Om005G197220
OG0002304	Cg007G280170	Om004G131630
OG0002305	Cg007G279940	Om004G132000
OG0002305	Cg006G229530	Om005G197380
OG0002306	Cg006G229300	Om005G197630
OG0002306	Cg007G279720	Om004G132230
OG0002307	Cg006G227290	Om005G200550
OG0002308	Cg006G224920	Om005G203280
OG0002308	Cg007G277310	Om004G135690
OG0002309	Cg007G278240	Om004G134540
OG0002310	Cg006G224030	Om005G204370
OG0002310	Cg007G278380	Om004G134340
OG0002311	Cg006G221980	Om004G144480
OG0002311	Cg007G270730	Om005G208010
OG0002312	Cg007G270630	Om005G208170
OG0002313	Cg007G269410	Om005G209770
OG0002314	Cg007G267530	Om005G212210
OG0002315	Cg001G010060	Om001G026210
OG0002316	Cg006G237080	Om005G186980
OG0002320	Cg014G332530, Cg003G077100	Om004G158360
OG0002320	Cg006G244570	Om005G178530
OG0002321	Cg004G128230	Om002G056240
OG0002321	Cg008G293680	Om004G161260
OG0002322	Cg008G286110	Om004G136370, Om004G136390, Om004G171860, Om004G136360
OG0002324	Cg007G271660	Om005G206660, Om005G206650
OG0002325	Cg004G128970	Om002G055830, Om002G057160
OG0002326	Cg004G129220	Om002G057530
OG0002327	Cg006G195870	Om003G092230
OG0002327	Cg004G130510	Om002G059370
OG0002328	Cg004G132100	Om002G061320
OG0002328	Cg006G197110	Om003G094220
OG0002329	Cg004G134960	Om002G065240
OG0002329	Cg006G201050	Om003G099100
OG0002330	Cg006G200510	Om002G065460
OG0002331	Cg004G138020	Om002G069070
OG0002331	Cg006G198260	Om003G095830
OG0002333	Cg001G005820	Om001G032720, Om001G032730
OG0002334	Cg001G012310	Om001G022320
OG0002335	Cg006G197470	Om003G094750
OG0002335	Cg004G132490	Om002G061920
OG0002336	Cg004G132510	Om002G061950
OG0002336	Cg006G197490	Om003G094770
OG0002337	Cg002G054340	Om006G255900
OG0002337	Cg005G170590	Om008G337880
OG0002338	Cg002G050230	Om006G250880
OG0002338	Cg005G165830	Om008G330120
OG0002339	Cg005G164610	Om008G328120
OG0002339	Cg002G049160	Om003G120170
OG0002345	Cg006G222010	Om003G114180, Om004G144450
OG0002348	Cg001G012140	Om001G022630
OG0002349	Cg001G011970	Om001G022910
OG0002349	Cg004G156820	Om002G088200
OG0002350	Cg001G011390	Om001G023870
OG0002351	Cg001G009800	Om001G026660
OG0002352	Cg001G009300	Om001G027510
OG0002353	Cg001G005060	Om001G033940
OG0002354	Cg006G214780	Om007G292170
OG0002355	Cg007G255720	Om005G216430
OG0002355	Cg004G121050	Om002G047320
OG0002356	Cg006G236350	Om005G187980, Om007G308420
OG0002356	Cg007G252150	Om005G218770
OG0002357	Cg006G235550	Om005G189060
OG0002358	Cg006G231210	Om005G195120
OG0002359	Cg006G231370	Om005G194760
OG0002360	Cg002G074550	Om005G203380
OG0002361	Cg001G041440	Om007G317390
OG0002362	Cg002G070720	Om006G271070
OG0002363	Cg002G068660	Om006G269760
OG0002364	Cg007G264550, Cg007G264610	Om008G336250
OG0002364	Cg007G264560	Om005G214540
OG0002365	Cg007G261530, Cg007G261520, Cg001G034270	Om005G215350
OG0002366	Cg006G233310	Om005G192120
OG0002366	Cg007G247260	Om005G225630
OG0002367	Cg003G103990, Cg001G014350	Om003G119150
OG0002368	Cg005G164950	Om008G328710
OG0002368	Cg002G049460	Om003G119820
OG0002369	Cg005G165470	Om008G329410
OG0002370	Cg004G124930	Om002G051810
OG0002371	Cg004G125510	Om002G052630
OG0002371	Cg008G284250	Om004G174240
OG0002372	Cg004G126750	Om002G054270
OG0002372	Cg008G286190	Om004G171700
OG0002373	Cg008G287590	Om004G169920
OG0002373	Cg004G127900	Om002G055760
OG0002374	Cg001G016210	Om007G299120
OG0002375	Cg003G097800	Om003G112400
OG0002376	Cg001G015250	Om007G286550
OG0002376	Cg003G098850	Om003G113340
OG0002377	Cg001G013270	Om001G020490
OG0002377	Cg003G101390	Om003G115880
OG0002378	Cg001G013600	Om001G019530
OG0002378	Cg003G102040	Om003G116450
OG0002379	Cg001G014620	Om006G249920
OG0002380	Cg003G112820	Om006G232520
OG0002380	Cg008G290320	Om004G166210
OG0002381	Cg003G111460	Om006G233970
OG0002382	Cg008G288630	Om004G168290
OG0002382	Cg003G108980	Om006G236890
OG0002383	Cg008G323140	Om008G359100
OG0002383	Cg001G022320	Om001G002370
OG0002384	Cg008G320870	Om001G005940, Om008G356250
OG0002385	Cg003G079790, Cg003G094230	Om008G355540
OG0002385	Cg001G019940	Om001G006760
OG0002386	Cg001G018500	Om001G009080
OG0002387	Cg001G002950, Cg005G191390	Om001G037680
OG0002388	Cg001G002740	Om001G038210
OG0002389	Cg001G000120	Om001G041870
OG0002389	Cg005G171150	Om008G338820
OG0002390	Cg005G171270	Om008G338930
OG0002390	Cg006G213390	Om007G276750
OG0002392	Cg001G019930	Om001G006770
OG0002392	Cg003G079820, Cg003G094200	Om008G355490
OG0002393	Cg001G030440	Om003G104420
OG0002393	Cg004G142800	Om002G074760
OG0002394	Cg004G142310	Om002G074030
OG0002395	Cg001G029410	Om003G104010
OG0002395	Cg004G142090	Om002G073690
OG0002396	Cg001G027860	Om003G103140
OG0002397	Cg001G041300	Om007G317220
OG0002398	Cg002G043630	Om003G128860
OG0002399	Cg005G157930	Om008G319120
OG0002400	Cg005G159300	Om006G262180
OG0002400	Cg002G045020	Om003G127010
OG0002401	Cg002G045500	Om003G126210
OG0002402	Cg005G160270	Om008G322070
OG0002402	Cg002G045700	Om003G125990
OG0002403	Cg007G274110	Om004G140740
OG0002403	Cg006G227990	Om005G199570
OG0002404	Cg005G162380	Om008G325140
OG0002404	Cg008G303700	Om006G238670
OG0002406	Cg008G300950	Om006G242220
OG0002407	Cg002G066210	Om006G242550, Om006G242540
OG0002408	Cg002G062140, Cg003G108240	Om006G244830
OG0002409	Cg003G112870	Om006G232440, Om006G232450
OG0002410	Cg003G114090	Om006G231030
OG0002411	Cg007G273300	Om004G142100
OG0002412	Cg006G245030	Om005G178120
OG0002412	Cg014G332960, Cg003G076610	Om004G157830
OG0002413	Cg003G076290, Cg014G333290	Om004G157540
OG0002413	Cg006G244850	Om005G178250
OG0002414	Cg006G243030	Om005G180280
OG0002414	Cg003G079090, Cg003G094850	Om004G160600
OG0002415	Cg006G242290	Om005G181220
OG0002416	Cg008G319170	Om007G277950
OG0002416	Cg006G242140	Om005G181380
OG0002417	Cg005G173830	Om007G278870
OG0002417	Cg006G241450	Om005G182110
OG0002418	Cg005G174720	Om007G279890
OG0002418	Cg006G240760	Om005G182920
OG0002419	Cg006G239460	Om005G184250
OG0002419	Cg005G176120	Om007G281360
OG0002420	Cg005G179470	Om007G284190
OG0002420	Cg005G179460	Om007G284180
OG0002421	Cg005G180020	Om007G284530
OG0002421	Cg006G237780	Om005G186210
OG0002422	Cg003G102080	Om003G116490
OG0002423	Cg004G117310	Om002G043450
OG0002423	Cg008G295870	Om007G299650
OG0002424	Cg008G296160	Om007G299190
OG0002424	Cg004G117530	Om002G043710
OG0002425	Cg004G117580	Om002G043760
OG0002426	Cg004G117630	Om002G043810
OG0002426	Cg008G296330	Om007G298940
OG0002427	Cg004G118290	Om002G044570
OG0002427	Cg008G297290	Om007G297420
OG0002428	Cg004G119610	Om002G045550
OG0002428	Cg008G298510	Om007G296080
OG0002429	Cg006G239030	Om005G184690
OG0002430	Cg004G124290	Om002G051040
OG0002430	Cg004G124280	Om002G051020
OG0002431	Cg002G051200	Om006G252060
OG0002431	Cg005G166770	Om008G331860
OG0002432	Cg005G166860	Om008G332010
OG0002433	Cg006G230020	Om005G196700
OG0002434	Cg006G229280	Om005G197650
OG0002434	Cg007G279700	Om004G132260
OG0002435	Cg007G274020	Om004G140870
OG0002435	Cg006G227820	Om005G199790
OG0002436	Cg006G224240	Om005G204160
OG0002436	Cg007G278140	Om004G134750
OG0002437	Cg006G223780	Om005G204660
OG0002437	Cg007G278680	Om004G133980
OG0002438	Cg006G223670	Om005G204760
OG0002438	Cg007G278830	Om004G133620
OG0002439	Cg007G272610	Om004G142960
OG0002439	Cg006G223420	Om005G205030
OG0002440	Cg002G062310, Cg002G043150	Om003G129420
OG0002441	Cg006G222870	Om005G205650
OG0002442	Cg007G270850	Om005G207770
OG0002442	Cg006G222310	Om004G143940
OG0002443	Cg006G220970	Om004G145670
OG0002443	Cg007G269800	Om005G209380
OG0002444	Cg007G268910	Om005G210480
OG0002444	Cg006G220420	Om004G146750
OG0002445	Cg001G015290	Om007G286500
OG0002446	Cg001G012960	Om001G021220
OG0002447	Cg001G007770	Om001G029560
OG0002448	Cg002G056270	Om006G258430
OG0002449	Cg006G232990	Om005G192490
OG0002449	Cg002G072040	Om006G272210
OG0002450	Cg008G308620, Cg008G310320, Cg008G310280, Cg001G027050	Om006G263110
OG0002450	Cg006G237940	Om005G186060
OG0002451	Cg005G179020	Om007G283780
OG0002452	Cg006G238780	Om005G185090
OG0002453	Cg014G330790, Cg003G078750	Om004G160200
OG0002453	Cg006G243280	Om005G179940
OG0002454	Cg006G243290	Om005G179920
OG0002454	Cg003G078720, Cg014G330830	Om004G160150
OG0002455	Cg008G297280	Om007G297470, Om007G297430
OG0002455	Cg008G297250, Cg008G297270	Om007G297480
OG0002456	Cg008G298340	Om007G296270
OG0002456	Cg008G298430	Om007G296180
OG0002458	Cg004G152160, Cg002G051820	Om006G252900, Om006G252890
OG0002459	Cg003G110700	Om006G234910
OG0002460	Cg008G287930	Om004G169360
OG0002460	Cg003G106010	Om006G247760
OG0002461	Cg002G055490, Cg002G055500	Om006G257400
OG0002462	Cg007G277170	Om004G135990
OG0002463	Cg007G276940	Om004G136380
OG0002463	Cg006G225430	Om005G202660
OG0002464	Cg007G274800	Om004G139620
OG0002465	Cg006G230470	Om005G196090
OG0002465	Cg007G281360	Om004G130090
OG0002466	Cg004G129960	Om002G058600
OG0002466	Cg006G195330	Om003G091330
OG0002467	Cg004G130420	Om002G059120
OG0002467	Cg006G195730	Om003G091930
OG0002468	Cg006G196530	Om003G093430
OG0002468	Cg004G131520	Om002G060440
OG0002469	Cg001G025190	Om003G100420
OG0002469	Cg004G133330	Om002G063280
OG0002470	Cg004G133980	Om002G064040
OG0002470	Cg006G201640	Om003G099740
OG0002471	Cg004G134170	Om002G064290
OG0002472	Cg004G134300	Om002G064500
OG0002472	Cg006G201450	Om003G099560
OG0002473	Cg004G134540	Om002G064740
OG0002473	Cg006G201300	Om003G099360
OG0002474	Cg001G026970	Om003G102290
OG0002474	Cg004G139740	Om002G070890
OG0002475	Cg001G027500	Om003G102650
OG0002475	Cg004G140380	Om002G071660
OG0002476	Cg011G329260	Om008G348690
OG0002477	Cg004G156810, Cg001G011960	Om001G022930, Om002G088190
OG0002478	Cg004G131160	Om002G060170
OG0002478	Cg006G196430	Om003G093240
OG0002479	Cg005G171900	Om008G339820
OG0002479	Cg008G323960	Om008G360310, Om008G360830, Om008G360700
OG0002480	Cg005G165220	Om008G329150
OG0002482	Cg008G324740, Cg008G324730	Om008G362070, Om002G082070, Om002G082080
OG0002485	Cg008G306070	Om007G294530
OG0002494	Cg001G012420	Om001G022180
OG0002496	Cg005G193120	Om004G155830
OG0002497	Cg003G104650	Om006G249730
OG0002497	Cg001G009060	Om001G027880
OG0002498	Cg001G008970	Om001G028020
OG0002499	Cg008G302020	Om006G243670
OG0002500	Cg001G006070, Cg004G150810, Cg004G149920	Om001G032310
OG0002502	Cg005G171360	Om008G339020
OG0002504	Cg006G236150	Om005G188200
OG0002505	Cg006G235690	Om005G188870
OG0002505	Cg007G251380	Om005G219760
OG0002506	Cg007G250700	Om005G220560
OG0002506	Cg006G235430	Om005G189200
OG0002508	Cg002G073970	Om006G274070
OG0002508	Cg006G231960	Om005G194000
OG0002510	Cg006G233010	Om005G192470
OG0002511	Cg002G070090, Cg002G069640, Cg002G069630	Om006G258800
OG0002512	Cg002G046550	Om003G124540
OG0002512	Cg006G194660	Om003G090130
OG0002513	Cg004G126380	Om002G053810
OG0002513	Cg008G285820	Om004G172240
OG0002514	Cg004G126860, Cg008G286350	Om002G054400
OG0002515	Cg004G127400	Om002G055180
OG0002516	Cg001G015060, Cg001G015090	Om007G286760, Om007G286740
OG0002517	Cg001G012920	Om001G021280
OG0002517	Cg007G268210, Cg003G100410	Om003G115090
OG0002518	Cg001G014040	Om001G018700
OG0002519	Cg003G102860	Om003G117590
OG0002520	Cg003G103270	Om003G118140
OG0002522	Cg003G112310	Om006G233080
OG0002523	Cg001G023600	Om001G000210
OG0002523	Cg008G324960	Om008G362500
OG0002524	Cg003G081670	Om008G352230
OG0002524	Cg001G018140	Om001G009650
OG0002525	Cg006G209430	Om001G013860
OG0002526	Cg006G215870	Om007G291200
OG0002526	Cg001G015590	Om007G286110
OG0002527	Cg005G171660	Om008G339380
OG0002527	Cg006G215370	Om007G291660
OG0002528	Cg004G154020	Om002G084630
OG0002528	Cg001G003970	Om001G035710
OG0002529	Cg001G002990	Om001G037570, Om009G363220
OG0002529	Cg005G191270	Om004G152030
OG0002530	Cg001G002580	Om001G038400
OG0002531	Cg001G001800	Om001G039580
OG0002532	Cg001G001220	Om001G040450
OG0002533	Cg002G061280	Om001G041720
OG0002534	Cg003G085720, Cg003G085660, Cg003G085750	Om008G343760
OG0002535	Cg003G081900, Cg001G017930	Om008G352840
OG0002536	Cg001G018520	Om001G009040
OG0002536	Cg003G081100	Om008G353500
OG0002537	Cg003G080940	Om008G353650
OG0002537	Cg006G241360	Om005G182210
OG0002539	Cg001G027590	Om003G102700
OG0002539	Cg001G027600	Om003G102710
OG0002540	Cg001G025900	Om003G101390
OG0002541	Cg005G157460	Om008G318620
OG0002542	Cg005G159580	Om008G321170
OG0002542	Cg002G045180	Om003G126750
OG0002543	Cg005G159970	Om008G321630
OG0002543	Cg002G045560	Om003G126150
OG0002544	Cg005G161930	Om008G324390
OG0002544	Cg002G046750	Om003G124160
OG0002545	Cg005G164330	Om008G327780
OG0002545	Cg002G048910	Om003G120490
OG0002546	Cg006G220340	Om001G032320, Om008G327360, Om005G223600, Om005G223580, Om005G223690
OG0002547	Cg002G049070	Om003G120350
OG0002547	Cg005G164500	Om008G327970
OG0002548	Cg005G167870	Om007G278310, Om008G333730
OG0002548	Cg008G284320	Om004G174130
OG0002551	Cg003G107180	Om006G245990
OG0002553	Cg003G114670	Om006G230380
OG0002553	Cg002G056560	Om006G258940
OG0002554	Cg003G115200, Cg003G115190	Om008G349110, Om006G229790, Om006G229770
OG0002555	Cg003G077270, Cg014G332350	Om004G158540
OG0002555	Cg006G244360	Om005G178760
OG0002556	Cg003G077930, Cg014G331730	Om004G158740
OG0002556	Cg006G244180	Om005G178920
OG0002557	Cg006G240290	Om005G183350
OG0002558	Cg001G014400	Om002G081980, Om004G142620
OG0002559	Cg004G116530	Om002G042630
OG0002559	Cg008G294900	Om007G301000
OG0002560	Cg008G295650	Om007G300020
OG0002560	Cg004G117030	Om002G043100
OG0002561	Cg008G296910	Om007G297980
OG0002562	Cg008G307420	Om007G293330
OG0002562	Cg004G120620	Om002G046800
OG0002564	Cg004G122260	Om002G048840, Om002G048850
OG0002565	Cg005G170500	Om006G255810
OG0002566	Cg005G169040	Om008G335590
OG0002567	Cg006G229650	Om005G197230
OG0002568	Cg007G275910	Om004G137960
OG0002568	Cg006G226370	Om005G201600
OG0002569	Cg007G276700	Om004G136990
OG0002569	Cg006G225640	Om005G202460
OG0002571	Cg007G277190	Om004G135920
OG0002571	Cg006G225050	Om005G203100
OG0002572	Cg006G224400	Om005G203930
OG0002573	Cg007G270600	Om005G208210
OG0002573	Cg006G221710	Om004G144750
OG0002574	Cg006G220440	Om004G146730
OG0002574	Cg007G268890	Om005G210500
OG0002575	Cg006G221560	Om005G194880, Om005G194980, Om005G194910, Om005G195000, Om001G025040
OG0002577	Cg006G238700	Om005G185180
OG0002578	Cg006G239860, Cg006G239870	Om005G183810
OG0002580	Cg005G174660	Om007G279840
OG0002581	Cg006G244260	Om007G305570
OG0002582	Cg004G146280, Cg005G165840	Om008G330130
OG0002583	Cg002G057300	Om006G260240
OG0002583	Cg008G304310	Om006G239330
OG0002584	Cg003G106410	Om006G247270
OG0002585	Cg003G107360	Om006G245810
OG0002586	Cg002G061310	Om006G267290
OG0002587	Cg006G226280	Om005G201720
OG0002587	Cg007G276040	Om004G138100
OG0002588	Cg007G274750	Om004G139700
OG0002589	Cg007G273230	Om004G142230
OG0002590	Cg004G130210	Om002G058800
OG0002590	Cg006G195450	Om003G091560
OG0002591	Cg004G129360	Om002G057760
OG0002591	Cg006G194870	Om003G090550
OG0002592	Cg006G195380	Om003G091390
OG0002592	Cg004G130000	Om005G219360, Om002G058660
OG0002593	Cg006G196810	Om003G093810
OG0002593	Cg004G131840	Om002G060860
OG0002594	Cg006G196990	Om003G094080
OG0002594	Cg004G132020	Om002G061220
OG0002595	Cg004G132470	Om002G061900
OG0002595	Cg006G197460	Om003G094740
OG0002596	Cg004G133110	Om002G062960
OG0002596	Cg001G025430	Om003G100750
OG0002597	Cg004G133760	Om002G063790
OG0002597	Cg006G201820	Om003G099940
OG0002598	Cg004G134400	Om002G064590
OG0002599	Cg004G138810, Cg004G138790	Om002G069870
OG0002600	Cg004G117520	Om002G043700
OG0002601	Cg005G187800	Om001G038450
OG0002601	Cg001G007960	Om001G029380
OG0002602	Cg004G128840	Om002G057020
OG0002603	Cg004G137900	Om002G068940, Om001G032110
OG0002603	Cg006G198370	Om003G095950
OG0002604	Cg006G200350, Cg006G200340	Om007G278920, Om001G026100, Om001G006080, Om007G278910
OG0002605	Cg002G049880	Om003G119300
OG0002605	Cg005G165190	Om008G329110
OG0002607	Cg002G046470	Om003G117210, Om003G124640
OG0002608	Cg004G140240	Om001G031230
OG0002610	Cg001G023070	Om001G000970
OG0002610	Cg008G323540	Om008G359690
OG0002611	Cg005G167400	Om008G332990, Om008G332980
OG0002612	Cg001G008120	Om001G029250
OG0002614	Cg006G233090, Cg002G071810	Om005G192350
OG0002615	Cg006G224070	Om005G204320
OG0002616	Cg006G195130	Om007G290040
OG0002618	Cg003G111570, Cg003G111580	Om006G233830
OG0002622	Cg004G156600	Om002G088000
OG0002622	Cg001G011750	Om001G023370
OG0002623	Cg005G190160, Cg001G009490	Om001G027230
OG0002624	Cg001G007540	Om001G029870
OG0002625	Cg040G336990, Cg035G336760, Cg025G336140	Om006G269700
OG0002626	Cg001G005790	Om001G032770
OG0002627	Cg001G005660	Om001G032930
OG0002627	Cg004G152120, Cg004G152130	Om002G082410
OG0002628	Cg001G005250	Om001G033610
OG0002629	Cg005G171540	Om008G339210
OG0002629	Cg006G215190	Om007G291820
OG0002630	Cg006G214160	Om007G277280
OG0002631	Cg001G024370	Om007G276150
OG0002632	Cg007G254160	Om005G218520, Om011G366000
OG0002632	Cg006G236820	Om005G187310
OG0002633	Cg006G236410	Om005G187900
OG0002634	Cg007G251730	Om005G219420
OG0002635	Cg006G234480	Om005G190430
OG0002636	Cg006G231150	Om005G195180
OG0002636	Cg002G074990	Om006G275000
OG0002637	Cg006G231950	Om005G193990
OG0002637	Cg002G073980	Om006G274080
OG0002638	Cg002G073040	Om006G273050
OG0002638	Cg006G232670	Om005G192960
OG0002639	Cg002G071560	Om006G271850
OG0002639	Cg008G283550	Om004G175210
OG0002640	Cg002G069670	Om006G270780
OG0002641	Cg001G039610	Om007G315580
OG0002642	Cg007G267110	Om005G212770
OG0002642	Cg001G038360	Om007G314960
OG0002643	Cg001G036740	Om007G314320
