Orthogroup	Cardamine_glauca	Aethionema_saxatile
OG0001136	Cg008G324330	As004G089250
OG0001137	Cg008G322450	As004G087840
OG0001137	Cg001G021400	As003G057700
OG0001138	Cg001G018720	As003G060280
OG0001139	Cg006G218740	As003G067410
OG0001139	Cg006G219310	As007G162130
OG0001140	Cg001G004010	As003G072340
OG0001140	Cg004G153980	As011G264830
OG0001141	Cg002G060590, Cg002G060560	As010G224380
OG0001141	Cg001G037180	As004G077490
OG0001142	Cg008G310310, Cg008G308650, Cg001G027020	As004G095910
OG0001143	Cg002G046010	As005G102010
OG0001144	Cg002G046480	As012G286050
OG0001144	Cg005G161340, Cg005G161400	As005G102790
OG0001146	Cg005G164350	As005G105940
OG0001147	Cg008G300070, Cg007G247600	As005G110350
OG0001148	Cg003G112480	As005G117560
OG0001149	Cg002G055650	As010G220420
OG0001149	Cg003G115540	As005G120550
OG0001150	Cg008G296400	As009G202000
OG0001150	Cg004G117690	As006G135560
OG0001151	Cg004G122810	As006G140390
OG0001151	Cg008G308750, Cg008G310410	As009G208040
OG0001152	Cg002G049980	As012G282810
OG0001152	Cg005G165500	As006G142300
OG0001153	Cg005G170220	As012G276310
OG0001154	Cg007G275700	As010G238340
OG0001154	Cg006G226550	As007G155790
OG0001155	Cg006G225740	As007G156380
OG0001156	Cg006G222320	As007G159660
OG0001156	Cg007G270860	As010G233350
OG0001157	Cg006G234530	As008G186030
OG0001158	Cg007G271230	As010G233690
OG0001159	Cg007G277290, Cg007G277280	As010G236770, As010G236800, As010G236780, As010G236790
OG0001160	Cg006G194790	As011G245380
OG0001160	Cg004G129290	As012G268400
OG0001161	Cg004G138130	As011G253310
OG0001161	Cg006G198140	As012G271410
OG0001162	Cg006G200430, Cg006G200420	As012G273060
OG0001169	Cg003G101340	As002G045450, As002G045480
OG0001170	Cg004G121090	As022G292050, As022G292140, As048G294600, As012G279330, As012G280590, As009G206290, As001G015180
OG0001171	Cg007G250050	As001G021220
OG0001171	Cg006G234970	As008G186600
OG0001172	Cg006G232130	As008G183530
OG0001173	Cg001G014610, Cg007G246030	As002G032750
OG0001174	Cg004G126410	As002G036310
OG0001174	Cg008G285880	As009G214250
OG0001175	Cg003G103460	As002G047920
OG0001176	Cg003G113430	As005G118510
OG0001176	Cg008G290890	As002G052820
OG0001177	Cg008G288780, Cg008G288740, Cg008G288770	As002G054880
OG0001178	Cg008G288600	As002G055020
OG0001179	Cg001G022060	As003G057140
OG0001179	Cg004G142320	As011G256550
OG0001180	Cg001G021120	As003G057900
OG0001180	Cg008G321960	As004G087660
OG0001181	Cg001G019240	As003G059790
OG0001181	Cg003G093720, Cg003G080260	As004G085930
OG0001182	Cg005G172520	As004G081230
OG0001182	Cg006G217770	As003G069510
OG0001183	Cg001G004390	As003G072080
OG0001183	Cg004G153780	As011G264670, As010G236540
OG0001184	Cg002G044820	As012G287840
OG0001184	Cg005G159110	As005G100420
OG0001185	Cg002G045090	As012G287600
OG0001185	Cg005G159410	As005G100800
OG0001187	Cg005G174350	As006G126100
OG0001187	Cg006G241080	As008G195000
OG0001188	Cg005G176780	As006G128390
OG0001189	Cg004G116380	As006G132950
OG0001189	Cg008G294620	As009G200010
OG0001190	Cg004G119630	As006G137230
OG0001190	Cg008G298530	As009G204060
OG0001191	Cg008G307010	As009G206340
OG0001191	Cg004G121020	As006G138540
OG0001192	Cg001G025140	As012G274380
OG0001192	Cg007G255020, Cg004G122780	As006G140360
OG0001193	Cg002G050810	As012G282070
OG0001193	Cg005G166430	As006G143230
OG0001194	Cg002G050410	As012G282360
OG0001194	Cg004G124170	As006G143580
OG0001195	Cg006G228580	As007G153910
OG0001195	Cg007G272970	As010G241270
OG0001196	Cg007G275540	As010G238520
OG0001196	Cg006G226650	As007G155700
OG0001197	Cg002G052040	As008G186880
OG0001200	Cg008G300360	As009G212830
OG0001200	Cg007G253590	As012G268800
OG0001201	Cg008G303350	As009G216930
OG0001201	Cg002G058230	As010G222450
OG0001202	Cg002G056710, Cg002G057230	As010G221230
OG0001203	Cg002G063680, Cg002G063670	As010G226280
OG0001204	Cg001G026220	As010G226550
OG0001205	Cg006G196520	As012G269930
OG0001205	Cg004G131500	As011G247320
OG0001207	Cg001G025150	As012G274390
OG0001207	Cg004G133340	As011G249080
OG0001208	Cg006G200330	As012G273020
OG0001208	Cg004G135500	As011G250940
OG0001209	Cg004G135770	As011G251200
OG0001210	Cg004G136780	As011G252070
OG0001210	Cg006G199410	As012G272240
OG0001222	Cg001G009340	As001G003410
OG0001222	Cg005G190280	As007G178150
OG0001223	Cg004G151570	As011G262960
OG0001223	Cg001G006340	As001G013780
OG0001224	Cg006G236860	As008G188670
OG0001224	Cg007G254410	As001G019000
OG0001225	Cg002G071800	As001G025730
OG0001226	Cg002G068750, Cg002G068760, Cg002G068770	As001G026900
OG0001227	Cg004G125220	As002G034420
OG0001227	Cg008G283590	As005G107870
OG0001229	Cg003G104400, Cg003G104390, Cg003G104410	As002G049770, As002G049710, As002G049750, As002G047650, As002G047640, As002G048550, As002G048440, As002G048410, As002G048430
OG0001230	Cg003G109500	As009G218340
OG0001230	Cg008G288170	As002G055400
OG0001231	Cg003G109620	As009G218430
OG0001231	Cg008G288120	As002G055440
OG0001232	Cg005G191740, Cg001G004850, Cg001G021840	As003G057340
OG0001233	Cg001G018030	As003G060920
OG0001233	Cg003G081780	As004G084810
OG0001234	Cg007G276000	As010G238140
OG0001234	Cg006G204240	As003G065230
OG0001234	Cg008G318320	As004G082120
OG0001235	Cg004G153370	As010G228510, As011G264390
OG0001235	Cg001G004760	As003G071710
OG0001236	Cg001G026560	As004G096250
OG0001236	Cg005G174380	As006G125660
OG0001237	Cg005G159820	As005G101170
OG0001238	Cg005G159930	As012G287280
OG0001238	Cg002G045510	As005G101270
OG0001239	Cg002G046620	As012G285940
OG0001239	Cg005G161640	As005G103030
OG0001240	Cg005G162100	As005G103560
OG0001241	Cg005G162190	As005G103630
OG0001242	Cg008G284010	As005G108180
OG0001243	Cg008G300100, Cg007G267180	As005G110180
OG0001244	Cg003G101150, Cg003G101140	As005G111140
OG0001245	Cg002G055890	As010G220630
OG0001245	Cg006G234390, Cg003G115430	As005G120340
OG0001246	Cg006G244060, Cg006G243850	As008G198180
OG0001246	Cg014G331800, Cg003G077850	As006G122500
OG0001247	Cg003G078950, Cg003G095000	As006G123620
OG0001247	Cg004G123700	As006G141330
OG0001248	Cg006G238630, Cg006G238650, Cg006G238680	As006G129030, As006G129020, As008G192650
OG0001249	Cg005G167910, Cg005G167900	As006G130480, As006G148330, As006G148320
OG0001250	Cg008G295770	As009G201070
OG0001250	Cg004G117160	As006G135030
OG0001251	Cg004G117450	As006G135310
OG0001251	Cg008G296090	As009G201580
OG0001252	Cg004G117720	As006G135600
OG0001253	Cg004G121410	As006G138960
OG0001253	Cg008G306620	As009G205910, As007G182060
OG0001254	Cg006G198330	As012G271900
OG0001254	Cg005G170720	As006G148850
OG0001255	Cg007G279110	As010G241660
OG0001255	Cg006G228810	As007G153580
OG0001256	Cg007G273220	As010G241030
OG0001256	Cg006G228440	As007G153970
OG0001257	Cg007G273640	As010G240510
OG0001257	Cg006G228180	As007G154290
OG0001258	Cg006G227160	As007G155250
OG0001258	Cg007G275140	As010G238870
OG0001259	Cg006G226450	As007G155870
OG0001259	Cg007G275770	As010G238270
OG0001261	Cg006G231600, Cg002G074260	As008G183080
OG0001262	Cg006G231710, Cg006G231700, Cg006G231720	As008G183230
OG0001263	Cg006G233660	As008G185060
OG0001264	Cg004G129230	As011G245280
OG0001264	Cg006G194710	As012G268320
OG0001265	Cg006G198180	As012G271440
OG0001265	Cg004G138100	As011G253290
OG0001274	Cg005G190230	As007G178240
OG0001274	Cg001G009470	As001G003270
OG0001275	Cg006G225390	As007G156730
OG0001275	Cg001G005160	As001G014870
OG0001276	Cg007G249500	As001G021540
OG0001276	Cg006G234830	As008G186480
OG0001277	Cg007G248990, Cg007G249000	As006G125870
OG0001278	Cg004G144900	As001G026660, As001G026620
OG0001279	Cg008G295310	As009G200780
OG0001279	Cg004G116820	As006G134750
OG0001280	Cg002G070230	As001G027620
OG0001280	Cg001G039680	As004G078400
OG0001281	Cg001G042520	As004G098150
OG0001282	Cg001G014580	As002G032810
OG0001283	Cg002G049330	As012G283460
OG0001283	Cg005G164810	As002G033170
OG0001284	Cg003G110720	As009G219310
OG0001285	Cg003G101660	As002G046220
OG0001285	Cg001G013410	As006G132440
OG0001286	Cg003G102320	As002G046800, As002G046810
OG0001287	Cg001G013910	As006G134550
OG0001287	Cg003G102500	As002G047070
OG0001288	Cg008G291860	As002G051870
OG0001289	Cg001G023490	As003G055830
OG0001289	Cg008G324830	As004G090340
OG0001290	Cg003G082590	As004G084370
OG0001290	Cg001G017270	As003G061690
OG0001291	Cg006G212990	As003G062370
OG0001292	Cg005G176860	As006G128480
OG0001292	Cg004G116750	As003G068450, As006G132720
OG0001293	Cg002G047250, Cg002G047210	As012G285310, As003G069570
OG0001294	Cg005G192570	As007G180370
OG0001294	Cg001G001760	As003G074750
OG0001295	Cg001G037660, Cg001G037480, Cg001G037310, Cg001G037510, Cg001G037610, Cg001G037690	As004G077550, As004G077530, As004G077540, As004G077570
OG0001296	Cg005G192030, Cg005G171450	As004G079870
OG0001297	Cg003G080390, Cg003G093590, Cg003G080360, Cg003G093600	As004G085780
OG0001298	Cg001G027000	As004G095930
OG0001298	Cg004G139800	As011G254560
OG0001299	Cg005G158940	As005G100270
OG0001300	Cg002G048170	As012G284530
OG0001300	Cg005G163630	As005G104930
OG0001301	Cg002G048410	As012G284300
OG0001301	Cg005G163780	As005G105210
OG0001302	Cg003G114110	As005G119060
OG0001302	Cg002G056970	As010G221410
OG0001303	Cg003G076010	As006G121100
OG0001303	Cg005G160500, Cg006G245240	As008G199380
OG0001304	Cg006G238170, Cg005G178750	As006G129740
OG0001305	Cg004G121200	As006G138870
OG0001305	Cg008G306870	As009G206160
OG0001306	Cg008G306650	As009G205940
OG0001306	Cg004G121380	As006G138930
OG0001308	Cg005G170250	As006G144870
OG0001309	Cg005G168500	As006G147030
OG0001309	Cg002G052540	As012G278060
OG0001310	Cg006G229110	As007G153270
OG0001310	Cg007G279530	As010G242210
OG0001311	Cg008G307410	As009G206930
OG0001312	Cg008G309750, Cg008G311580	As009G209520
OG0001314	Cg004G129180	As011G245230
OG0001314	Cg006G194620	As012G268220, As012G268230
OG0001315	Cg004G132140, Cg006G197200	As011G247950
OG0001316	Cg006G201660	As012G273940
OG0001316	Cg004G133940	As011G249510
OG0001317	Cg004G136730	As012G272280
OG0001318	Cg002G071840	As012G274540
OG0001328	Cg001G009110, Cg005G189850	As001G003730
OG0001329	Cg025G336190	As010G228770, As010G228760
OG0001330	Cg004G153240	As011G264300
OG0001330	Cg001G004890	As001G015630
OG0001331	Cg007G254050, Cg007G254090, Cg007G254110, Cg007G254040	As001G019080
OG0001332	Cg007G252460	As001G019570
OG0001332	Cg006G236220	As008G187940
OG0001333	Cg007G250040	As001G021210
OG0001333	Cg006G234980	As008G186610
OG0001334	Cg006G230940	As008G182480
OG0001334	Cg002G075250	As001G022740
OG0001335	Cg008G285370	As009G214520
OG0001335	Cg004G126180	As002G035960
OG0001336	Cg004G127500, Cg008G287240	As002G037540
OG0001337	Cg003G101270	As002G045530
OG0001338	Cg001G013120, Cg003G101260	As002G045540
OG0001339	Cg003G102970	As002G047440
OG0001339	Cg001G014060	As006G134360
OG0001341	Cg008G304680	As009G215560
OG0001341	Cg008G291300	As002G052360
OG0001342	Cg008G290470	As002G053260
OG0001342	Cg003G112960	As005G118290
OG0001343	Cg008G289110	As002G054600
OG0001343	Cg008G302960	As009G217260
OG0001344	Cg001G023260	As003G056040
OG0001344	Cg008G324530	As004G089590
OG0001345	Cg001G021930	As003G057260
OG0001345	Cg008G322920	As004G088210
OG0001347	Cg001G017200	As003G061790
OG0001347	Cg004G116690	As006G132770
OG0001348	Cg004G153810	As011G264720
OG0001348	Cg001G004350	As003G072120
OG0001349	Cg004G154200	As011G265000
OG0001349	Cg001G003900	As003G072460
OG0001350	Cg001G002180	As003G074310
OG0001351	Cg007G254350, Cg007G254360, Cg007G254330, Cg007G254390	As004G076770
OG0001352	Cg006G208500	As004G080580
OG0001353	Cg001G021580, Cg008G322620	As004G087990
OG0001354	Cg002G044050	As012G288470
OG0001354	Cg005G158140	As005G099420
OG0001355	Cg002G045480	As012G287310
OG0001355	Cg005G159910	As005G101250
OG0001356	Cg002G047670	As012G284960
OG0001357	Cg005G163820	As005G105170
OG0001358	Cg005G164100	As005G105450
OG0001358	Cg002G048780	As012G284050
OG0001359	Cg002G061120	As010G224750
OG0001359	Cg003G107450	As005G114870
OG0001360	Cg005G174440	As006G125720
OG0001361	Cg005G174000	As006G125770
OG0001361	Cg006G241590	As008G195770
OG0001362	Cg004G137670	As011G253020
OG0001362	Cg005G182160	As006G130570
OG0001363	Cg001G013660, Cg007G248340	As006G132630, As006G132640
OG0001364	Cg008G295300	As009G200770
OG0001364	Cg004G116810	As006G134740
OG0001365	Cg004G116920	As006G134810
OG0001365	Cg008G295410	As009G201450
OG0001366	Cg008G296250	As009G201800
OG0001366	Cg004G117590	As006G135460
OG0001367	Cg008G307950	As009G207270
OG0001368	Cg008G294430	As006G147840
OG0001370	Cg006G224980	As007G157050
OG0001370	Cg007G277230	As010G236860
OG0001372	Cg004G118280, Cg008G297240	As009G202990
OG0001373	Cg006G201060	As012G273140
OG0001373	Cg004G134950	As011G250390, As010G231610
OG0001374	Cg007G275740, Cg006G226500	As010G238300
OG0001375	Cg007G280250	As010G243020
OG0001376	Cg004G129940	As011G246000
OG0001376	Cg006G195310	As012G269100
OG0001377	Cg004G133120	As011G248870
OG0001378	Cg006G201440	As012G273750
OG0001378	Cg004G134310	As011G249840
OG0001379	Cg004G136810	As011G252120
OG0001379	Cg006G199380	As012G272210
OG0001380	Cg004G136860	As011G252170
OG0001381	Cg006G234510, Cg006G234330	As012G274100
OG0001392	Cg001G005240	As001G014820
OG0001392	Cg004G152630	As011G263580
OG0001393	Cg004G153040	As011G264210
OG0001393	Cg001G004940	As001G015550
OG0001394	Cg006G214200, Cg006G214170	As001G016470, As001G016510, As001G016490
OG0001395	Cg003G103290	As002G047740
OG0001396	Cg008G311270, Cg008G309440	As001G019470, As001G019500
OG0001397	Cg006G235730	As008G187330
OG0001397	Cg007G251540	As001G020160
OG0001398	Cg002G075390, Cg006G230880	As001G022600
OG0001399	Cg002G074330, Cg006G231540	As001G023670
OG0001400	Cg002G073030	As001G024770
OG0001400	Cg006G232650	As008G183950
OG0001401	Cg001G040100	As001G027400
OG0001401	Cg008G295470	As009G201390, As009G201400
OG0001402	Cg001G039770	As004G078470
OG0001402	Cg002G070100	As001G027550
OG0001403	Cg007G247500	As001G031800
OG0001403	Cg006G233520	As008G184840
OG0001404	Cg007G247850	As001G032050
OG0001404	Cg006G233750	As008G185230
OG0001405	Cg008G285720	As002G036110
OG0001406	Cg001G002190	As003G074300
OG0001406	Cg008G306320	As002G039650
OG0001407	Cg003G099590	As002G044620
OG0001407	Cg001G012680	As007G166220
OG0001409	Cg003G111510, Cg008G289470	As002G054220
OG0001410	Cg008G324280	As004G089220
OG0001410	Cg001G023030	As003G056270
OG0001411	Cg001G022650	As003G056550
OG0001411	Cg001G022660	As003G056560, As003G056570
OG0001412	Cg001G021080	As003G057920
OG0001412	Cg008G321900	As004G087620
OG0001413	Cg001G019070	As003G059970
OG0001415	Cg005G172700	As004G081370
OG0001415	Cg006G218170	As003G069080
OG0001416	Cg006G216990	As003G070070
OG0001417	Cg001G003350	As003G073020
OG0001417	Cg005G191020	As007G179140
OG0001418	Cg001G001010	As003G075660
OG0001418	Cg005G193260, Cg005G193280	As007G180870
OG0001419	Cg001G038600	As007G162430, As007G154420, As004G077990
OG0001420	Cg003G080410, Cg003G093530, Cg001G019040	As004G085760
OG0001421	Cg001G027310, Cg004G140190	As004G095760
OG0001422	Cg004G120730	As006G138250
OG0001422	Cg008G307250	As009G206810, As005G098800
OG0001423	Cg005G161050	As005G102370
OG0001423	Cg002G046340	As012G286180
OG0001424	Cg008G284550, Cg008G284560	As005G108730
OG0001425	Cg002G066490	As010G227210
OG0001425	Cg008G301120	As005G112160
OG0001426	Cg007G269190	As005G116420
OG0001427	Cg003G077040, Cg014G332590	As006G122030
OG0001427	Cg006G244600	As008G198950
OG0001428	Cg006G243500	As008G197620
OG0001428	Cg003G078470, Cg014G331130	As006G123250
OG0001429	Cg014G330980, Cg003G078570	As006G123290
OG0001429	Cg002G043970	As012G288690
OG0001430	Cg006G242170, Cg008G319330	As006G125000
OG0001431	Cg006G241570	As008G195730
OG0001432	Cg005G175090	As006G127090
OG0001433	Cg006G239660	As008G193560
OG0001433	Cg005G175820	As006G127740
OG0001434	Cg005G177710	As006G128970
OG0001434	Cg008G286850	As009G212670
OG0001435	Cg005G178440	As006G129550
OG0001436	Cg008G297990	As009G203670
OG0001436	Cg004G119330	As009G203660, As006G136680
OG0001437	Cg008G298220	As009G203910
OG0001437	Cg004G119500	As006G136920
OG0001438	Cg008G307460	As009G206980
OG0001438	Cg004G120540	As006G138070
OG0001439	Cg007G274410	As010G239570
OG0001439	Cg006G227580	As007G154870
OG0001440	Cg006G224280	As007G157740
OG0001441	Cg007G272590	As010G235030
OG0001441	Cg006G223410	As007G158560
OG0001442	Cg007G271260, Cg006G222710	As007G159300
OG0001443	Cg006G221220	As007G160370
OG0001443	Cg007G270160	As010G232820
OG0001444	Cg001G015320	As007G165570, As007G165610, As007G165550, As007G165560, As007G165580
OG0001446	Cg008G288800, Cg003G108840	As009G217780
OG0001447	Cg007G272550	As010G234960, As010G234970, As010G235010, As010G234990
OG0001448	Cg006G195150	As012G268930
OG0001448	Cg004G129720	As011G245790
OG0001449	Cg006G195740	As012G269390
OG0001450	Cg006G195750	As011G246430, As012G269400
OG0001451	Cg006G196670	As012G270080
OG0001451	Cg004G131660	As011G247490
OG0001452	Cg006G196840	As012G270190
OG0001452	Cg004G131880	As011G247680
OG0001453	Cg006G197030	As012G270500
OG0001453	Cg004G132060	As011G247830
OG0001454	Cg004G132270	As011G248090
OG0001454	Cg006G197270	As012G270620
OG0001455	Cg001G025410	As012G274630
OG0001456	Cg004G136800	As011G252110
OG0001456	Cg006G199390	As012G272220
OG0001457	Cg004G137180	As011G252570
OG0001457	Cg006G199140	As012G272010
OG0001464	Cg001G010700	As001G001740
OG0001465	Cg004G155420	As011G265880
OG0001465	Cg001G010520	As001G001900
OG0001466	Cg001G009010	As001G003810
OG0001466	Cg005G189820	As007G177820
OG0001467	Cg003G082740, Cg003G082760, Cg003G082750, Cg003G082770, Cg003G082780	As004G084230
OG0001468	Cg001G006170	As001G014310
OG0001469	Cg006G214650	As001G016070
OG0001470	Cg005G170880	As004G083140
OG0001471	Cg007G250030	As001G021200
OG0001471	Cg006G234990	As008G186620
OG0001472	Cg006G230990	As008G182540
OG0001472	Cg002G075160	As001G022810
OG0001473	Cg002G074310, Cg006G231550	As001G023680
OG0001474	Cg001G014720, Cg001G014730	As002G032650, As001G030130
OG0001475	Cg006G233850	As008G185330
OG0001475	Cg007G248000	As001G032140
OG0001476	Cg004G125080	As002G032390
OG0001477	Cg008G318910, Cg008G288020, Cg007G250120, Cg007G250150	As002G032720, As002G032730, As002G032710
OG0001478	Cg004G125300	As002G034580, As002G034650, As002G034510
OG0001478	Cg008G283750	As005G107960
OG0001479	Cg004G126710	As004G079850, As009G213750, As002G036770, As005G102490
OG0001480	Cg003G096940, Cg001G015840	As002G042560
OG0001481	Cg008G293350	As002G050450
OG0001482	Cg008G291530	As002G052160
OG0001482	Cg008G304840	As009G215450
OG0001483	Cg008G304530	As009G215740
OG0001483	Cg008G291120	As002G052570
OG0001484	Cg008G291090	As002G052590
OG0001485	Cg008G289620	As002G054040
OG0001486	Cg008G289450	As002G054240
OG0001486	Cg002G053030, Cg003G111490, Cg003G111480	As005G116630, As005G116640
OG0001487	Cg008G302860	As002G054670
OG0001488	Cg001G023350	As003G055970
OG0001488	Cg008G324690	As004G089810
OG0001489	Cg003G080920	As004G085500
OG0001489	Cg001G018710	As003G060290
OG0001490	Cg006G217560	As003G069830
OG0001490	Cg005G172410	As004G081110
OG0001491	Cg006G216460	As003G070370
OG0001492	Cg005G193230	As007G180810
OG0001492	Cg004G152060, Cg001G002590	As003G075630
OG0001493	Cg008G318440	As008G195740, As004G082080
OG0001494	Cg003G081420, Cg003G081430	As004G085100
OG0001495	Cg008G324990, Cg008G325060	As004G090990
OG0001496	Cg004G141810, Cg001G029290	As004G094470, As011G256240
OG0001497	Cg001G026430, Cg001G026440	As004G096260
OG0001498	Cg006G242300, Cg006G202250	As004G098070
OG0001499	Cg002G043860	As012G288560, As005G099220
OG0001500	Cg005G158530	As005G099790
OG0001500	Cg002G044350	As012G288210
OG0001501	Cg005G158900	As005G100230
OG0001502	Cg005G161150	As005G102480
OG0001502	Cg002G046350	As012G286170
OG0001503	Cg002G046660	As012G285910
OG0001503	Cg005G161700	As005G103110
OG0001504	Cg005G162360	As005G103840
OG0001505	Cg002G047050	As012G285480
OG0001505	Cg005G162600	As005G103960
OG0001506	Cg004G124530	As006G142150
OG0001506	Cg008G282270	As005G106410
OG0001507	Cg002G060190	As010G224170
OG0001507	Cg003G106840	As005G115720
OG0001508	Cg003G111240	As005G116340
OG0001509	Cg002G057130	As010G221530
OG0001510	Cg006G240350	As008G194330
OG0001511	Cg006G238200	As008G191800
OG0001511	Cg005G178620	As006G129670
OG0001512	Cg005G179610	As006G130250
OG0001513	Cg004G116880	As006G134800
OG0001514	Cg004G119780, Cg008G298630	As006G137350
OG0001515	Cg004G121610	As006G139150, As006G139160
OG0001516	Cg004G122650	As006G140260
OG0001517	Cg002G050350	As012G282480
OG0001517	Cg005G166010	As006G142810
OG0001518	Cg005G166090, Cg002G050460	As006G142890
OG0001519	Cg007G274380	As010G239600
OG0001519	Cg006G227590	As007G154860
OG0001520	Cg002G058850	As010G223010
OG0001520	Cg006G226990	As007G155440
OG0001521	Cg006G224650, Cg007G277630	As007G157310
OG0001522	Cg006G222810	As007G159210
OG0001522	Cg007G271400	As010G233860
OG0001523	Cg007G270750	As007G159770, As007G159760
OG0001524	Cg006G219160	As007G162280
OG0001524	Cg003G109580	As009G218400
OG0001526	Cg006G245090, Cg005G190450	As007G177880, As012G287270
OG0001527	Cg008G294350	As009G200200
OG0001527	Cg007G280760	As010G243610
OG0001528	Cg008G295140	As010G237750, As009G200660
OG0001529	Cg008G299550	As009G204990, As009G204970, As009G204980
OG0001530	Cg002G062860	As009G208130, As009G208140
OG0001531	Cg008G287010	As009G212540
OG0001531	Cg004G127280	As009G212530
OG0001535	Cg006G194730	As012G268330
OG0001535	Cg004G129240	As011G245290
OG0001536	Cg006G195040	As012G268830
OG0001537	Cg006G196980	As012G270460
OG0001537	Cg004G132010	As011G247790
OG0001538	Cg004G132900	As011G248690
OG0001538	Cg006G197770	As012G271020
OG0001539	Cg004G133260	As011G257640
OG0001540	Cg005G172120, Cg005G172150	As012G275340
OG0001541	Cg002G044010	As012G288500
OG0001549	Cg004G156940, Cg001G012040	As008G189360, As001G000350
OG0001550	Cg006G198570	As001G002750
OG0001551	Cg001G009210	As001G003600
OG0001551	Cg005G190360	As007G178090
OG0001552	Cg001G008410, Cg005G188350	As001G004530
OG0001553	Cg007G250390	As001G020960
OG0001553	Cg006G235350	As008G186960
OG0001554	Cg006G234260	As008G185750
OG0001554	Cg007G248640	As001G022010
OG0001555	Cg006G232700	As008G183910
OG0001555	Cg002G073120	As001G024630
OG0001556	Cg005G169760	As006G145370
OG0001556	Cg002G072140	As001G025430
OG0001557	Cg004G124990, Cg010G326160, Cg003G092520, Cg003G076150, Cg007G245950	As002G034230
OG0001558	Cg008G285240, Cg004G126120	As002G035840
OG0001559	Cg003G091730	As002G040240
OG0001560	Cg003G090940	As002G040690
OG0001560	Cg001G016550	As007G162800
OG0001561	Cg001G015120, Cg001G015110	As002G044310
OG0001562	Cg003G103370	As002G047830
OG0001562	Cg008G285810	As006G134190, As004G089470, As006G134210
OG0001563	Cg008G299900, Cg008G292800	As002G050910
OG0001564	Cg005G169090, Cg006G225630	As002G051580
OG0001565	Cg008G288680	As002G054950
OG0001565	Cg003G108940	As009G217850
OG0001566	Cg008G322560	As004G087940
OG0001566	Cg001G021550	As003G057540
OG0001567	Cg006G210750	As003G063270
OG0001568	Cg006G217940, Cg006G217930	As003G069320
OG0001569	Cg005G172310	As004G081080
OG0001569	Cg006G217080	As003G070040
OG0001570	Cg002G047010	As012G285530
OG0001570	Cg006G215380	As004G078650, As003G071580
OG0001571	Cg004G153430	As011G264410
OG0001571	Cg001G004750	As003G071720
OG0001572	Cg001G001950	As003G074600
OG0001572	Cg005G192390	As007G180280
OG0001573	Cg001G001570	As003G074940
OG0001573	Cg005G192630	As007G180450
OG0001574	Cg001G000970	As003G075700
OG0001574	Cg005G193350	As007G180920
OG0001575	Cg001G000780	As003G075900
OG0001576	Cg001G038920	As004G078100
OG0001577	Cg001G039520, Cg001G039590, Cg001G039530, Cg001G039580	As004G078360
OG0001578	Cg008G325140	As004G090820
OG0001579	Cg008G325130	As004G090830
OG0001581	Cg002G043850	As012G288550
OG0001581	Cg005G157980	As005G099240
OG0001582	Cg002G046680	As012G285890
OG0001582	Cg005G161720	As005G103130
OG0001583	Cg005G163710	As005G105260
OG0001583	Cg002G048470	As012G284240
OG0001584	Cg005G164090	As012G284070, As005G105400
OG0001585	Cg002G049060	As012G283760
OG0001585	Cg005G164460	As005G106110
OG0001586	Cg008G300040	As005G109770, As005G109730, As005G109810
OG0001587	Cg008G302600	As005G113630, As005G113750, As005G113720
OG0001588	Cg002G060230	As010G223930
OG0001589	Cg003G111290	As005G116400
OG0001589	Cg002G058270	As010G222490
OG0001590	Cg002G051050	As012G281820
OG0001590	Cg003G113810	As006G143440, As005G118810
OG0001591	Cg006G243470, Cg003G078540, Cg014G331010	As006G123270
OG0001592	Cg006G243160	As008G197260
OG0001592	Cg003G094970, Cg003G078980	As006G123590, As006G123580
OG0001593	Cg005G173210	As006G125280
OG0001593	Cg006G241970	As008G196140
OG0001594	Cg005G174310	As006G126140
OG0001595	Cg004G118410, Cg004G118400	As006G136270, As006G136260, As006G136250
OG0001596	Cg008G298470	As009G204010
OG0001596	Cg004G119570	As006G137150
OG0001597	Cg008G306200, Cg004G121750	As009G205500, As006G139340
OG0001598	Cg004G122230	As006G139870
OG0001598	Cg008G299270	As009G204700
OG0001599	Cg008G312620, Cg004G123710	As006G141340, As006G141350
OG0001600	Cg005G170000, Cg002G053710	As006G145110
OG0001601	Cg006G228200	As007G154270
OG0001601	Cg007G273590	As010G240560
OG0001602	Cg006G224460	As007G157510
OG0001603	Cg007G271120	As010G233600
OG0001603	Cg006G222590	As007G159420
OG0001604	Cg006G222540	As007G159450
OG0001605	Cg006G222490	As007G159480
OG0001605	Cg007G270980	As010G233470
OG0001606	Cg005G191150	As007G179370
OG0001607	Cg006G233330, Cg007G247280	As008G184640
OG0001608	Cg006G234620	As008G186120, As008G186140
OG0001609	Cg008G299470	As009G204900
OG0001609	Cg006G243140	As008G197240
OG0001610	Cg008G285620	As009G214300
OG0001612	Cg004G129160	As011G245190
OG0001613	Cg006G196610	As012G270010
OG0001613	Cg004G131620	As011G247430
OG0001614	Cg006G198360	As012G271870
OG0001614	Cg004G137990	As011G253200
OG0001615	Cg005G175050	As011G261220
OG0001616	Cg004G153630, Cg001G004680	As011G264510
OG0001617	Cg004G155840, Cg001G010850	As011G266230
OG0001618	Cg006G194190	As012G267820
OG0001619	Cg002G053720, Cg005G170010	As012G276530
OG0001642	Cg004G149310	As011G262450
OG0001642	Cg001G006430	As001G012500
