Orthogroup	Arabidopsis_thaliana	Erysimum_linariifolium
OG0000777	AT5G54760.1	El007G337610
OG0000777	AT1G54290.1	El002G139980
OG0000778	AT5G13370.1	El001G068340
OG0000778	AT5G13380.1	El001G068330
OG0000779	AT4G22310.1	El003G163260
OG0000779	AT4G05590.2	El001G005880
OG0000779	AT4G14695.1	El001G005890
OG0000780	AT4G39800.1	El003G143390
OG0000780	AT2G22240.1	El006G320100
OG0000780	AT5G10170.1	El001G071850
OG0000781	AT2G43820.1	El006G284980
OG0000781	AT2G43840.1	El006G284970
OG0000783	AT5G22060.1	El001G058520
OG0000783	AT3G44110.1	El001G012380
OG0000784	AT3G44750.1	El001G013240
OG0000784	AT5G22650.1	El001G057740
OG0000785	AT4G33300.1	El003G149380, El003G190390
OG0000785	AT5G04720.1	El001G077820, El001G011000
OG0000785	AT1G33560.1	El002G121340, El002G121420
OG0000786	AT5G61180.1	El007G329720
OG0000787	AT3G12440.1, AT3G12430.1, AT3G12460.1	El005G248230
OG0000787	AT3G12410.1	El005G248240
OG0000787	AT3G12420.1	El005G248220
OG0000788	AT3G45060.1	El001G013900
OG0000788	AT5G60780.1	El007G330140
OG0000789	AT1G79550.1	El004G233100
OG0000789	AT1G56190.1	El002G141470
OG0000790	AT1G53945.1	El002G139530
OG0000790	AT1G53950.1	El002G139540
OG0000791	AT3G56560.1, AT5G39540.1, AT3G55210.1	El004G214360, El004G214390, El004G214320, El001G049510
OG0000791	AT3G56530.1	El001G027860
OG0000792	AT1G67470.1	El004G212380, El004G212990
OG0000794	AT2G28010.1, AT2G28040.1	El006G305910
OG0000794	AT2G28030.1, AT2G28225.1, AT2G28220.1	El006G305540, El006G307060, El006G307130, El079G376610
OG0000795	AT3G49130.1	El001G055270, El001G065250
OG0000796	AT5G66830.1	El003G192260, El003G192230, El001G014980
OG0000800	AT2G03550.1	El001G038650
OG0000800	AT3G48700.1	El001G018340, El001G018330
OG0000800	AT3G48690.1	El001G018320
OG0000801	AT3G10560.1	El005G245950
OG0000801	AT5G04660.1	El001G077910
OG0000801	AT3G10570.1	El005G245960
OG0000802	AT5G46170.1	El007G364590
OG0000802	AT1G30200.1	El002G116420
OG0000802	AT4G18380.1	El003G168230
OG0000803	AT4G19810.1	El003G166070
OG0000803	AT4G19720.1	El003G166190
OG0000803	AT4G19750.1, AT4G19760.1	El003G166130
OG0000804	AT5G40320.1	El001G042980
OG0000805	AT2G32220.1	El006G300040
OG0000805	AT4G15000.1	El003G174040
OG0000806	AT2G44380.1	El006G284320
OG0000807	AT2G44260.2	El006G284500
OG0000807	AT3G01880.1	El005G235080
OG0000807	AT3G01870.1	El005G235090
OG0000808	AT3G46440.1	El001G015640
OG0000808	AT5G59290.2	El007G331890
OG0000809	AT1G26630.1	El002G111290
OG0000809	AT1G69410.1	El004G220500
OG0000809	AT1G13950.1	El002G097790
OG0000810	AT1G50790.1, AT1G50820.2	El002G135060, El002G135080
OG0000812	AT2G27420.1	El006G307040
OG0000812	AT3G49340.1	El001G019260
OG0000814	AT5G60080.1	El007G330870, El007G330860
OG0000814	AT5G60090.1	El006G286600
OG0000818	AT3G49310.1	El001G019200
OG0000818	AT4G27720.1	El003G156330
OG0000818	AT1G64650.1	El004G193860
OG0000819	AT1G66240.1	El004G215390
OG0000819	AT3G56240.1	El001G027540
OG0000820	AT2G38905.1	El006G291160
OG0000820	AT3G05890.1	El005G240930
OG0000821	AT5G51950.1	El007G341730
OG0000821	AT5G51930.1	El007G341760
OG0000822	AT1G64910.1	El004G211210
OG0000822	AT2G22930.1, AT4G09500.2	El007G338710, El007G338690
OG0000823	AT5G47210.1	El007G366380
OG0000823	AT4G17520.1	El003G169440
OG0000824	AT1G33140.1, AT1G33120.1	El002G120820, El002G120810
OG0000824	AT4G10450.1	El001G008910
OG0000825	AT3G61600.1	El001G033640
OG0000825	AT4G01160.2	El001G001090
OG0000825	AT2G46260.1	El006G281820
OG0000826	AT2G25630.1, AT5G42260.1, AT5G44640.1	El007G357150, El007G361450, El007G361470
OG0000826	AT2G44450.1	El006G284260
OG0000827	AT5G54960.1	El007G337360
OG0000827	AT4G33070.1	El003G149610
OG0000827	AT5G01330.1, AT5G01320.1	El001G081500
OG0000828	AT2G32820.1	El007G353300, El004G212210, El027G373540
OG0000828	AT2G33300.1, AT2G33090.1	El006G298960
OG0000829	AT3G03480.1	El005G237810
OG0000829	AT5G17540.1	El001G063340, El001G063370
OG0000830	AT4G38510.5	El006G321770
OG0000830	AT1G76030.1	El004G228810
OG0000830	AT1G20260.1	El002G104580
OG0000831	AT1G20500.1	El002G104800, El002G104850
OG0000831	AT1G20490.1	El002G121030
OG0000831	AT5G38120.1	El003G186770
OG0000833	AT3G14840.2	El005G251190
OG0000833	AT1G53420.1	El002G138160
OG0000834	AT3G18610.1	El005G255920
OG0000834	AT1G48920.1	El002G132740
OG0000835	AT3G19130.1	El005G256540
OG0000835	AT1G49600.2	El002G133730
OG0000836	AT3G57240.1	El001G028700
OG0000836	AT3G57260.2	El001G028710
OG0000837	AT1G11620.1	El004G198960, El004G198980
OG0000837	AT1G11608.1	El002G094920
OG0000842	AT3G26230.1, AT3G26220.1	El001G040500
OG0000842	AT3G26280.2	El001G040560
OG0000842	AT3G26270.1	El001G040510
OG0000843	AT1G64900.1	El004G211200
OG0000843	AT1G64940.1, AT1G64950.1, AT2G12190.1, AT1G64930.1	El001G003350, El004G211220
OG0000844	AT3G09630.1	El005G244790
OG0000844	AT5G02870.1	El001G080030
OG0000845	AT5G50460.1	El003G159790, El007G343780
OG0000845	AT3G48570.1	El001G018250
OG0000846	AT4G33260.1	El003G149410
OG0000846	AT4G33270.1	El003G149400
OG0000847	AT5G09700.1	El007G351750, El007G351840
OG0000847	AT5G09730.1	El001G072330
OG0000847	AT5G64570.1	El007G325840
OG0000848	AT1G01100.1, AT5G47700.1	El002G083780
OG0000848	AT4G00810.1	El001G001510
OG0000849	AT2G46690.1	El006G281210
OG0000849	AT4G00880.1	El001G001440
OG0000849	AT3G61900.1	El001G034150
OG0000850	AT3G61280.1	El001G033180
OG0000850	AT2G45840.1	El006G282450
OG0000850	AT3G61290.1	El001G033190
OG0000851	AT2G41790.1	El006G287490
OG0000851	AT3G57470.2	El001G028910
OG0000852	AT4G12600.2	El001G005970
OG0000852	AT4G22380.1, AT5G20160.2	El001G059980
OG0000853	AT4G03070.1	El001G003730, El001G003740, El007G357630, El007G357660, El004G210190, El003G175020, El001G008390, El001G008400, El001G008350
OG0000853	AT4G03050.1	El003G177630, El001G003710
OG0000854	AT2G28340.1	El006G305380
OG0000854	AT1G08010.1, AT1G08000.1	El002G090680
OG0000855	AT3G47960.1	El001G017480
OG0000855	AT5G62680.1	El007G327970
OG0000857	AT3G32980.1	El001G046780
OG0000857	AT3G49120.1	El001G018910, El001G018930
OG0000858	AT3G28870.1, AT3G24260.1	El005G266540, El005G266570, El005G266660, El005G266700, El005G266520, El005G266550, El005G266190, El005G266510, El005G266590, El005G266620, El005G266210, El005G266530, El005G266180, El005G266110, El005G266140, El005G266200, El005G266220, El005G266560
OG0000859	AT3G60980.1	El004G206160, El004G206150, El007G340610
OG0000860	AT2G32470.1	El006G299740
OG0000861	AT1G03490.1	El002G128570
OG0000861	AT1G02540.1	El006G308620, El006G308500, El006G308550, El006G308470, El006G308420, El006G308390
OG0000862	AT3G01185.1	El001G054020
OG0000862	AT3G29797.1, AT3G30247.1, AT2G21655.1, AT2G21727.1, AT2G25482.1	El001G049350, El001G049340
OG0000863	AT5G37520.1	El003G184840
OG0000867	AT1G56650.1	El004G206610, El004G206600
OG0000867	AT1G66390.1	El004G215640
OG0000867	AT1G66380.1	El004G215600
OG0000868	AT5G06600.1	El001G075310
OG0000868	AT3G11910.1	El005G247660
OG0000869	AT5G47200.1	El007G366370
OG0000869	AT4G17530.1	El003G169430
OG0000870	AT1G28230.1	El002G113870
OG0000870	AT2G33750.1	El006G298180
OG0000871	AT3G02520.1	El005G236690
OG0000871	AT5G16050.1	El001G065290
OG0000871	AT5G38480.1	El003G187470
OG0000872	AT2G32540.1, AT2G32530.1	El006G299600
OG0000872	AT2G32610.1	El006G299530
OG0000873	AT3G04230.1	El005G238820
OG0000875	AT1G06620.1	El002G088970
OG0000875	AT1G03400.2	El002G085250, El001G009660
OG0000875	AT3G61400.1	El001G033360
OG0000876	AT5G23010.2	El001G057150
OG0000877	AT5G28340.1, AT5G28380.1, AT3G60960.1	El004G205960, El004G206170
OG0000878	AT1G61540.1	El004G199450, El004G199460
OG0000878	AT4G39590.1	El005G276480, El003G143100
OG0000879	AT1G06645.1	El002G089000
OG0000879	AT1G06640.1	El002G134780, El006G315870
OG0000879	AT1G06650.2	El002G088990
OG0000883	AT4G34670.1	El003G147740
OG0000883	AT3G04840.1	El005G239610
OG0000884	AT1G68340.1	El004G219080
OG0000884	AT1G25370.1	El002G112140
OG0000885	AT1G22450.1	El002G107520
OG0000885	AT5G57815.1	El007G333770
OG0000885	AT4G28060.1	El003G155910
OG0000886	AT1G45000.1	El002G128500
OG0000886	AT5G43010.1	El007G358150
OG0000887	AT2G47120.2	El006G280780
OG0000887	AT2G47150.1	El006G280750
OG0000887	AT3G29260.1, AT3G29250.1	El001G044830, El001G045120, El001G045130, El001G045110
OG0000887	AT2G47130.1	El006G280770
OG0000888	AT3G58500.1	El001G030130
OG0000888	AT2G42500.1	El006G286550
OG0000889	AT3G46460.1	El001G015670
OG0000890	AT3G53670.1	El001G024300
OG0000890	AT2G37480.1	El006G292870
OG0000891	AT1G22430.1	El002G107500
OG0000891	AT1G22440.1	El002G107510
OG0000892	AT5G25470.1	El001G052410, El001G052690, El001G052740, El001G052750
OG0000892	AT5G25475.4	El001G052730
OG0000893	AT5G24160.1	El001G055780
OG0000893	AT5G24150.1	El001G055790
OG0000894	AT3G46800.1, AT3G46810.1	El005G278090
OG0000895	AT2G04050.1	El005G269260, El005G269250
OG0000895	AT2G04040.1	El005G269230
OG0000897	AT3G53960.1	El001G024630
OG0000897	AT2G37900.1	El006G292380
OG0000899	AT1G34170.3, AT1G43950.1, AT1G35520.1, AT1G35240.1, AT1G34410.1, AT1G34390.1, AT1G34310.1, AT1G35540.1	El005G265840, El002G123000, El002G122570
OG0000900	AT1G13470.1	El002G097110
OG0000900	AT1G13520.1	El002G097130
OG0000900	AT1G13480.1	El002G097120
OG0000901	AT4G16500.1	El003G171120
OG0000902	AT5G05370.1	El001G076900
OG0000902	AT3G10860.1	El005G246250
OG0000903	AT1G64870.1	El004G211170
OG0000903	AT5G11220.1	El001G070460
OG0000903	AT3G45200.1	El001G014060
OG0000904	AT5G10360.1	El001G071630
OG0000904	AT4G31700.1	El003G151250
OG0000905	AT5G10270.1	El001G071720
OG0000905	AT5G64960.1	El007G325320
OG0000906	AT5G64910.2	El007G325370
OG0000906	AT5G10010.1	El001G072020
OG0000907	AT4G18596.2	El003G167900
OG0000907	AT5G45880.1	El007G364140
OG0000908	AT4G39235.1	El003G142710
OG0000908	AT3G05570.1	El005G240510
OG0000908	AT2G21640.1	El006G320680
OG0000909	AT1G24070.1	El002G109390
OG0000909	AT4G13410.1	El003G177580, El003G177690
OG0000910	AT5G60142.1	El007G330810
OG0000910	AT5G60130.1	El007G330830
OG0000910	AT5G60140.1	El007G330820
OG0000911	AT5G66710.1	El007G322850
OG0000911	AT3G50730.1	El001G020820
OG0000911	AT3G50720.1	El001G020810
OG0000912	AT4G02570.1	El001G003120
OG0000912	AT1G02980.1, AT1G43140.1	El002G084770
OG0000913	AT1G70600.1	El004G222240
OG0000914	AT4G04220.1	El001G005680, El001G010330, El001G005670, El001G010380, El001G049830, El001G049900
OG0000915	AT3G52910.1	El001G023450
OG0000915	AT2G36400.1	El006G294340
OG0000916	AT1G14500.1	El002G098490
OG0000917	AT1G13080.1	El002G096640
OG0000919	AT2G15345.1	El001G010770
OG0000920	AT1G53990.1	El002G139570
OG0000921	AT1G49650.1	El002G133840
OG0000921	AT1G49640.1	El002G133810
OG0000921	AT1G49660.1	El002G133850
OG0000922	AT4G07325.1	El002G125110, El002G129580
OG0000924	AT4G36350.1	El003G145870
OG0000924	AT1G56360.1	El004G208290
OG0000924	AT3G46120.1, AT2G18130.1	El005G276270
OG0000930	AT2G19770.1	El005G278220
OG0000930	AT4G29340.1	El003G154340
OG0000931	AT3G08530.1	El005G243590
OG0000931	AT3G11130.1	El005G246590
OG0000932	AT2G37270.1	El006G293200
OG0000932	AT3G11940.1	El005G247700
OG0000933	AT5G52360.1	El007G341220
OG0000935	AT4G05330.1	El001G004590
OG0000935	AT4G21160.1	El003G164910
OG0000936	AT4G21585.6	El003G164420
OG0000936	AT4G21600.1	El003G164360, El003G164390
OG0000937	AT4G24010.1	El003G160870
OG0000937	AT4G23990.1	El003G160920, El003G160910
OG0000937	AT4G24000.1	El003G160880
OG0000938	AT4G39650.1	El003G143170, El003G143180
OG0000938	AT4G39640.1	El003G143160
OG0000939	AT1G62020.1	El004G198750
OG0000939	AT2G21390.1	El006G321210
OG0000940	AT2G05710.1	El005G270560
OG0000940	AT4G35830.1	El003G146380
OG0000941	AT4G14160.1	El003G175710
OG0000941	AT1G05520.1	El002G087740
OG0000942	AT4G14320.2, AT3G23390.1	El005G264890, El003G175190
OG0000944	AT3G59540.1, AT2G43460.1	El006G285420
OG0000945	AT5G17080.1	El001G063870
OG0000946	AT5G01540.1	El001G081750
OG0000946	AT5G01560.1	El001G081780
OG0000946	AT5G01550.1	El001G081770
OG0000947	AT3G02230.1	El005G236400
OG0000948	AT3G55280.1, AT2G39460.1	El006G290470
OG0000950	AT5G26860.1	El001G050800
OG0000950	AT3G05790.1	El005G240780
OG0000951	AT5G46890.1, AT5G46900.1	El007G365900
OG0000952	AT2G43670.1, AT3G28250.1, AT1G78520.1	El004G231900
OG0000953	AT3G50120.1	El001G020220
OG0000953	AT3G50200.1	El001G020260
OG0000953	AT3G50160.1, AT3G50150.1	El001G020250
OG0000954	AT3G19390.1	El001G018940
OG0000954	AT3G19400.1	El001G051340
OG0000954	AT3G43960.1	El001G012230
OG0000955	AT1G35353.1, AT3G27900.2	El002G124080
OG0000958	AT1G61330.1	El004G199620
OG0000961	AT1G66600.1	El004G215890
OG0000961	AT1G66550.1	El004G215910, El004G215900, El004G215930, El004G215850
OG0000962	AT5G40000.1	El003G190380
OG0000962	AT3G28600.1	El001G043880
OG0000963	AT5G02380.1	El001G080770
OG0000963	AT3G09390.1	El005G244570
OG0000965	AT3G13640.1	El005G249560
OG0000965	AT4G19210.1	El003G166840
OG0000967	AT1G36050.1	El002G125010
OG0000967	AT1G22200.1	El002G107140
OG0000968	AT5G37820.2	El003G186280
OG0000968	AT5G37810.1	El003G186270
OG0000969	AT5G44585.1	El007G361300
OG0000969	AT5G44565.2	El007G361120
OG0000969	AT5G44578.1	El007G361250
OG0000970	AT5G67240.1	El007G323520
OG0000970	AT3G50090.1	El001G020160, El001G020170, El001G020200
OG0000971	AT3G55650.1, AT3G55810.1	El001G027040
OG0000971	AT3G04050.1	El005G238650, El005G235860
OG0000972	AT5G26620.1	El001G051100
OG0000972	AT3G05858.1	El005G240870
OG0000973	AT5G19000.2	El001G061490
OG0000973	AT3G06190.1	El005G241370
OG0000974	AT2G36340.1	El006G294450
OG0000975	AT1G19770.1	El002G104050, El037G374580
OG0000975	AT1G75470.1	El004G228040, El004G228070
OG0000976	AT1G14870.1, AT1G14880.1, AT5G35525.1	El002G098920
OG0000977	AT3G47040.2	El001G016440
OG0000977	AT3G47050.1	El001G016520
OG0000977	AT3G47010.1	El001G016420
OG0000977	AT3G47000.1	El001G016380
OG0000978	AT3G45710.1	El001G014710
OG0000978	AT3G45720.1	El001G014650
OG0000979	AT4G15755.1	El007G343610, El003G172310
OG0000980	AT5G25860.1	El001G051330
OG0000980	AT5G40050.1	El003G189500
OG0000980	AT2G33796.1	El001G072270
OG0000981	AT1G69100.2	El003G192220
OG0000981	AT4G22050.1	El003G163610
OG0000982	AT3G30823.1	El003G154200, El002G118330, El007G344390
OG0000983	AT5G22150.1, AT5G22160.1	El003G166100, El001G058350
OG0000986	AT4G31180.1	El003G151760
OG0000987	AT1G31740.1	El002G118910
OG0000988	AT5G05800.1	El001G076440
OG0000988	AT2G19220.1, AT3G11310.1, AT3G11300.1, AT3G11290.1	El005G246760
OG0000989	AT5G52070.1	El007G341580
OG0000989	AT5G42670.1	El007G357290
OG0000990	AT5G46430.1	El007G365050
OG0000990	AT4G18100.1	El003G168630
OG0000991	AT1G33080.1	El002G120770, El002G120710
OG0000991	AT1G33100.1, AT1G33090.1	El002G120730, El002G120800
OG0000992	AT2G21750.1	El006G320560
OG0000992	AT2G21740.1	El006G320570
OG0000992	AT4G39340.1	El003G142800
OG0000993	AT5G39740.1	El005G269200
OG0000994	AT2G30150.2	El006G302640, El006G302600
OG0000994	AT2G30140.1	El006G302660
OG0000995	AT2G31510.1	El006G300830
OG0000995	AT1G05890.2	El002G088240
OG0000996	AT1G06700.1	El002G089080
OG0000997	AT3G04120.1	El005G238720
OG0000997	AT1G13440.1	El002G097080
OG0000998	AT2G39700.1	El006G290140
OG0000998	AT3G55500.1	El001G053420, El001G053450, El001G026500
OG0000999	AT4G08380.1	El002G110860
OG0000999	AT4G08370.1	El001G011230, El001G011240, El001G011250, El001G011260, El007G356460
OG0000999	AT1G26250.1	El002G110870
OG0001000	AT2G16890.2	El005G274140
OG0001000	AT5G14860.1	El001G066650
OG0001001	AT5G25960.1, AT5G25950.1	El001G052080
OG0001002	AT3G13350.1	El005G249290
OG0001002	AT1G55650.1	El002G140740
OG0001003	AT3G15710.1	El005G252370
OG0001003	AT1G52600.1	El002G137460
OG0001004	AT4G03160.1	El002G126870
OG0001004	AT4G03170.1, AT1G20600.1	El006G289560
OG0001008	AT4G29270.1	El003G154400
OG0001008	AT4G29260.1	El003G154410
OG0001009	AT4G29700.1	El003G153620
OG0001009	AT4G29690.1	El003G153630
OG0001010	AT1G31880.2, AT2G21030.1	El002G119100
OG0001010	AT2G35600.1	El006G295510
OG0001011	AT1G32100.1	El002G119430
OG0001011	AT4G13660.1	El003G176820
OG0001012	AT1G57620.1	El004G206210, El004G206250
OG0001012	AT1G09580.1	El002G092390
OG0001014	AT5G48400.2	El007G348970
OG0001014	AT5G48410.1	El007G348950
OG0001015	AT4G25630.1	El003G158880
OG0001015	AT5G52470.1	El007G341110
OG0001016	AT5G11090.1	El001G070580
OG0001016	AT5G25280.1	El001G053340
OG0001017	AT5G65600.1	El007G324520
OG0001018	AT5G08520.1	El001G073190
OG0001018	AT5G23650.1	El001G056410
OG0001019	AT4G17640.1	El003G169270
OG0001019	AT5G47080.1	El007G366200
OG0001020	AT4G17900.1	El003G168910
OG0001020	AT5G46710.1	El007G365650
OG0001021	AT3G62960.1	El001G035250
OG0001022	AT2G47250.1	El006G280600
OG0001022	AT3G62310.1	El001G034590
OG0001023	AT5G22990.1	El001G057170
OG0001024	AT2G31430.1	El006G300990
OG0001024	AT2G31432.2, AT2G31425.1	El006G301000
OG0001025	AT1G06760.1	El002G089150
OG0001025	AT2G30620.1	El006G302030
OG0001026	AT3G01270.1	El005G235880
OG0001026	AT5G15110.1	El001G066370
OG0001027	AT1G12870.1	El002G096450
OG0001028	AT2G39380.1	El006G290570
OG0001028	AT3G55150.1	El001G026140, El001G026050
OG0001029	AT1G21920.1	El002G106390
OG0001029	AT1G77660.1	El004G230750
OG0001030	AT1G19840.1	El037G374680, El002G104150
OG0001030	AT1G75590.1	El004G228200
OG0001031	AT1G19970.1	El002G104290
OG0001031	AT1G75760.1	El004G228390
OG0001032	AT1G76600.1	El004G229530
OG0001032	AT1G21010.1	El002G105390
OG0001034	AT1G70680.1	El004G222320
OG0001034	AT1G23250.1	El002G108570
OG0001034	AT1G70670.1	El004G222310
OG0001035	AT3G04330.1, AT3G04320.2	El005G238930
OG0001036	AT1G78660.1	El004G232050
OG0001036	AT1G78680.1	El004G232060
OG0001037	AT1G80930.1	El004G233390
OG0001038	AT3G13020.1	El005G248910
OG0001038	AT3G13030.1	El005G248920
OG0001038	AT3G13010.1	El005G248890
OG0001039	AT1G48330.1	El002G131810
OG0001039	AT3G17580.1	El005G254490
OG0001040	AT1G51660.1	El002G136040
OG0001040	AT3G21220.1	El005G259320
OG0001041	AT1G29840.1	El002G115870
OG0001041	AT3G47560.2	El001G016990
OG0001041	AT2G19550.1	El005G278010, El002G092710, El002G092760
OG0001041	AT3G47590.1	El001G017050
OG0001043	AT1G51860.1	El002G136450, El002G136440
OG0001043	AT1G51890.2	El002G136460
OG0001044	AT3G55430.1	El001G026420
OG0001044	AT2G39640.1	El006G297520, El006G297350, El006G290230
OG0001045	AT3G45670.1	El001G014820
OG0001045	AT3G45790.1, AT3G46140.1	El004G209870, El001G015250
OG0001045	AT4G04632.1	El004G209880
OG0001047	AT2G05970.1	El006G315490
OG0001048	AT5G05030.1, AT5G11660.1	El005G276340
OG0001051	AT2G16770.1	El005G274010
OG0001051	AT4G35040.1	El003G147400
OG0001052	AT4G35200.1	El003G147260
OG0001052	AT4G35210.1	El003G147270
OG0001053	AT1G58290.1	El004G203410
OG0001053	AT2G31250.1	El006G301220
OG0001053	AT1G09940.1	El002G092920
OG0001054	AT1G61820.1	El004G199050
OG0001056	AT3G10470.1	El005G245810
OG0001056	AT5G04390.1	El001G078120
OG0001057	AT4G27660.1	El003G156420
OG0001057	AT5G54150.1	El007G338510
OG0001058	AT4G17170.1	El003G169930
OG0001058	AT4G35860.1	El003G146350
OG0001059	AT5G45100.1	El007G362400
OG0001059	AT4G19700.1	El003G166210
OG0001060	AT4G13940.1	El003G176170
OG0001060	AT3G23810.1	El005G265870
OG0001061	AT3G23000.1	El005G262870
OG0001061	AT4G14580.1	El003G174840
OG0001062	AT3G50000.1	El001G020070
OG0001062	AT5G67380.1	El007G323710
OG0001062	AT2G23080.1	El006G318970
OG0001063	AT2G28700.1	El005G240880
OG0001063	AT3G05860.1	El001G010010
OG0001064	AT2G37040.1	El006G293490
OG0001064	AT3G53260.1	El001G023870
OG0001065	AT2G37210.2	El006G293290
OG0001065	AT3G53450.1	El001G024080
OG0001066	AT2G37220.1	El006G293280
OG0001066	AT3G53460.4	El001G024090
OG0001067	AT1G79000.2	El004G232450
OG0001067	AT1G16710.1	El002G100690
OG0001068	AT1G72370.1	El004G224420, El002G108550
OG0001069	AT1G75080.1	El004G227610
OG0001069	AT1G19350.3	El002G103640
OG0001070	AT1G25480.1	El002G111970
OG0001070	AT1G68600.1	El004G219430
OG0001070	AT2G17470.2	El005G274890
OG0001071	AT1G14120.1	El002G097990
OG0001071	AT1G14130.1	El002G098000
OG0001072	AT5G23900.1	El001G056140
OG0001072	AT3G48960.1	El001G018670
OG0001073	AT1G57820.1	El004G205410
OG0001073	AT5G39550.1, AT1G66040.1, AT1G66050.1	El004G215080
OG0001074	AT1G67623.1	El004G218030
OG0001074	AT1G74875.1	El004G227410, El007G334050, El005G241840, El004G212310
OG0001075	AT3G15640.1	El005G252290
OG0001076	AT3G14970.1	El005G251330
OG0001076	AT3G15740.1	El003G179150, El005G247560, El005G252420, El007G354870, El007G354960, El007G355090, El007G322820
OG0001077	AT4G32110.1, AT4G32105.1	El003G150730
OG0001077	AT4G32100.1	El003G150740
OG0001078	AT5G51000.1	El005G270550
OG0001079	AT3G01325.1	El005G235750, El005G235740, El005G235760
OG0001080	AT5G67000.1	El002G127330, El007G323230
OG0001080	AT2G20350.1	El005G278780
OG0001084	AT2G20550.1	El005G279040
OG0001084	AT2G20560.1	El005G279050
OG0001084	AT4G28480.1	El003G155410
OG0001085	AT2G19730.1	El005G278160
OG0001085	AT4G29410.1	El003G154250, El003G153440
OG0001086	AT4G33430.2	El003G149270
OG0001086	AT2G13790.1	El005G271940
OG0001087	AT4G34640.1	El003G147770
OG0001087	AT4G34650.1	El003G147760
OG0001088	AT3G27840.1	El001G042770
OG0001088	AT3G27850.1	El001G042780
OG0001088	AT3G27830.1	El001G042760
OG0001089	AT3G28830.1	El001G044220
OG0001089	AT3G28790.1	El001G044180
OG0001090	AT3G21950.2	El006G316030
OG0001091	AT3G45450.1, AT3G48870.1	El001G018530
OG0001091	AT5G50920.1	El007G343260
OG0001092	AT5G06811.1	El001G075050
OG0001092	AT5G06810.1	El001G075060
OG0001093	AT5G19360.1	El001G060980
OG0001093	AT5G12180.1	El001G069340
OG0001094	AT5G10030.1	El001G072000
OG0001094	AT5G65210.1	El007G325030
OG0001095	AT4G12890.1	El003G179420
OG0001095	AT4G12870.1	El003G179490, El003G179600
OG0001095	AT4G12900.1	El003G179400
OG0001096	AT3G58040.1	El001G029560
OG0001096	AT2G41980.1	El006G287170
OG0001097	AT5G59260.1	El007G332190
OG0001097	AT5G59270.2	El007G332170
OG0001098	AT3G49700.1	El001G019610
OG0001098	AT5G65800.1	El007G324260
OG0001099	AT4G01070.1	El001G001190
OG0001100	AT2G32190.1	El006G300050
OG0001100	AT1G05340.1	El002G087550
OG0001101	AT5G14620.1	El001G066860
OG0001101	AT5G15380.1	El001G066060
OG0001102	AT3G02250.1	El005G236420
OG0001103	AT5G28490.1	El001G048150
OG0001103	AT3G04510.1	El005G239110
OG0001104	AT5G28060.1	El001G048610
OG0001105	AT1G80610.1	El004G233790
OG0001105	AT1G15800.1	El002G099870
OG0001106	AT1G16890.3	El002G100880
OG0001106	AT1G78870.2	El004G232270
OG0001107	AT1G17880.1	El002G102020
OG0001107	AT1G73230.1	El004G225400
OG0001108	AT1G74710.2	El004G227260
OG0001108	AT1G18870.1	El002G103070
OG0001109	AT1G77510.1	El004G230580
OG0001109	AT1G21750.1	El002G106240
OG0001110	AT1G69920.1	El004G221290
OG0001110	AT1G27140.1, AT1G27130.1	El002G109750
OG0001111	AT1G67430.1	El004G217580
OG0001111	AT1G27400.1	El002G113030
OG0001112	AT5G49160.1	El007G346100, El004G206270, El006G319140
OG0001113	AT5G06870.1	El001G074960
OG0001113	AT5G06860.1	El001G074980
OG0001114	AT5G06500.1	El001G075400
OG0001115	AT1G72430.1	El004G224470
OG0001115	AT1G17345.1	El002G101440
OG0001116	AT1G51560.1	El002G135940, El006G296230
OG0001116	AT3G21140.1	El005G259160
OG0001117	AT4G15740.1	El003G172370
OG0001120	AT2G17770.2	El005G275300
OG0001121	AT1G56400.1	El007G337550, El007G337540
OG0001121	AT3G29830.1	El001G045990
OG0001122	AT1G17770.1, AT2G24740.1	El002G101910
OG0001124	AT2G20450.1	El005G277730, El005G278890
OG0001124	AT4G27090.1	El003G157260
OG0001125	AT1G31450.1	El002G118710
OG0001125	AT2G35615.1	El006G295430
OG0001126	AT3G43570.1, AT1G58725.1, AT1G59030.1, AT1G59406.1, AT1G58525.1	El004G202860, El004G203000
OG0001127	AT1G14580.3	El002G098590
OG0001127	AT2G02080.1	El001G037110
OG0001128	AT2G04038.1	El001G039170
OG0001128	AT1G13600.1	El002G097220
OG0001129	AT3G28940.1, AT3G28930.1	El001G044450
OG0001130	AT3G30390.1	El001G046300
OG0001130	AT5G38820.2	El004G202740, El003G187880, El003G187870
OG0001131	AT4G25860.1	El003G158590, El003G158600
OG0001131	AT5G57240.3	El007G334500
OG0001132	AT5G03040.1	El001G079910
OG0001132	AT3G09710.2	El005G244900
OG0001133	AT4G26840.1	El003G157480
OG0001133	AT5G55160.2	El007G337080
OG0001134	AT5G13430.1, AT5G13440.1	El001G068280, El001G068270
OG0001135	AT5G64850.1	El007G325460
OG0001135	AT5G09960.1	El001G072080
OG0001136	AT4G17870.1	El003G168970
OG0001136	AT5G46790.1	El007G365740
OG0001137	AT5G45340.1	El007G363300
OG0001137	AT4G19230.2	El003G166810
OG0001138	AT4G22220.1	El003G163430
OG0001138	AT4G04080.1	El001G005750
OG0001139	AT1G27970.2	El002G113610
