Orthogroup	Cochlearia_excelsa	Cardamine_amara
OG0000958	g18479	evm.model.RL_3.347
OG0000962	g45549	evm.model.RL_2.225
OG0000963	g7494	evm.model.RL_1.847
OG0000964	g26701	evm.model.RL_8.1045
OG0000965	g7238	evm.model.RL_1.1272
OG0000965	g47303	evm.model.RL_2.1483
OG0000966	g17414	evm.model.RL_2.1504
OG0000966	g47314	evm.model.RL_2.1507
OG0000967	g27912	evm.model.RL_5.2441
OG0000967	g50234, g27514	evm.model.RL_5.3543
OG0000968	g46773	evm.model.RL_2.433
OG0000968	g25184, g16220	evm.model.RL_2.434
OG0000969	g40496	evm.model.RL_4.406
OG0000970	g18677, g76, g10717	evm.model.RL_8.2730
OG0000972	g4838, g18527	evm.model.RL_4.1104
OG0000972	g12522	evm.model.RL_1.518
OG0000973	g7660, g12501	evm.model.RL_1.554
OG0000975	g31877	evm.model.RL_5.1807
OG0000977	g2808	evm.model.RL_7.1667_evm.model.RL_7.1668_evm.model.RL_7.1669
OG0000978	g2943	evm.model.RL_7.1795, evm.model.RL_7.1794
OG0000979	g47124, g24424	evm.model.RL_4.534
OG0000981	g3375	evm.model.RL_2.1712
OG0000983	g778	evm.model.RL_4.1504, evm.model.RL_4.1506, evm.model.RL_4.1508
OG0000986	g47772	evm.model.RL_2.2624
OG0000986	g23347	evm.model.RL_3.121
OG0000987	g50608	evm.model.RL_5.2787
OG0000988	g29708	evm.model.RL_4.2964
OG0000988	g13113	evm.model.RL_1.1035
OG0000989	g4496, g3840, g28360, g26454	evm.model.RL_8.1304.1.687c855b
OG0000989	g37017, g37018	evm.model.RL_4.652
OG0000990	g24213, g17494	evm.model.RL_2.1364
OG0000991	g32657	evm.model.RL_5.2648
OG0000992	g36959, g50882, g54088	evm.model.RL_6.83
OG0000992	g22703	evm.model.RL_2.3399
OG0000993	g13525, g11661, g6390	evm.model.RL_1.2435, evm.model.RL_2.253, evm.model.RL_1.2104
OG0000994	g39943	evm.model.RL_6.1110
OG0000995	g51255	evm.model.RL_6.1248
OG0000995	g30960	evm.model.RL_5.448
OG0000996	g37900	evm.model.RL_6.1167
OG0000996	g31018	evm.model.RL_5.522
OG0000997	g12610	evm.model.RL_1.332, evm.model.RL_5.1192
OG0000998	g37327, g51789	evm.model.RL_6.2077
OG0000998	g2194	evm.model.RL_7.810
OG0001000	g29281	evm.model.RL_4.2147
OG0001001	g18547, g18546	evm.model.RL_4.1155
OG0001001	g51023	evm.model.RL_4.1156, evm.model.RL_4.1157
OG0001002	g13165, g7245	evm.model.RL_1.1244
OG0001002	g54314	evm.model.RL_5.3947
OG0001003	g36579	evm.model.RL_5.3722
OG0001004	g51862	evm.model.RL_6.2130
OG0001008	g23485	evm.model.RL_2.2446
OG0001008	g17010	evm.model.RL_2.2445
OG0001009	g34447	evm.model.RL_2.2487
OG0001010	g27725, g50616	evm.model.RL_5.2768
OG0001010	g51531	evm.model.RL_6.1643
OG0001011	g27768	evm.model.RL_5.2750
OG0001012	g41088, g41084, g41091, g44006	evm.model.RL_3.631
OG0001012	g27090	evm.model.RL_5.817
OG0001013	g11006	evm.model.RL_3.894, evm.model.RL_3.861, evm.model.RL_3.895
OG0001014	g10270	evm.model.RL_4.796
OG0001015	g47552, g23748	evm.model.RL_2.2077
OG0001016	g45562, g29459	evm.model.RL_4.2475
OG0001016	g10052	evm.model.RL_4.1210
OG0001017	g144	evm.model.RL_8.2647
OG0001018	g45502, g29578, g5494, g9985	evm.model.RL_4.1363
OG0001019	g47225	evm.model.RL_2.1315
OG0001019	g40682	evm.model.RL_4.90.4.687c86cd
OG0001020	g47245	evm.model.RL_2.1342
OG0001020	g40644, g10924	evm.model.RL_4.140
OG0001021	g18748	evm.model.RL_7.69
OG0001021	g37763	evm.model.RL_6.2938
OG0001022	g50817	evm.model.RL_6.2879
OG0001022	g1762	evm.model.RL_7.133
OG0001023	g13766	evm.model.RL_4.1424
OG0001024	g37905	evm.model.RL_6.1240, evm.model.RL_6.1238
OG0001025	g31022	evm.model.RL_5.529
OG0001025	g39900, g51220	evm.model.RL_6.1155
OG0001026	g12738, g7923	evm.model.RL_1.95
OG0001026	g29274	evm.model.RL_4.2120
OG0001027	g31437	evm.model.RL_5.977
OG0001028	g19114	evm.model.RL_7.855
OG0001029	g32015, g27506	evm.model.RL_5.3564
OG0001029	g46377	evm.model.RL_3.2167
OG0001030	g44444, g46220	evm.model.RL_3.1974
OG0001031	g50115	evm.model.RL_5.1826
OG0001031	g46230	evm.model.RL_3.1986
OG0001032	g46291	evm.model.RL_3.2070
OG0001032	g31961, g50165	evm.model.RL_5.3640
OG0001033	g42963, g42965	evm.model.RL_6.2269, evm.model.RL_6.971
OG0001034	g50282	evm.model.RL_5.3439
OG0001035	g1629	evm.model.RL_1.349
OG0001036	g46469	evm.model.RL_3.2263_evm.model.RL_3.2264_evm.model.RL_3.2265.6.687c9761
OG0001037	g44303	evm.model.RL_3.2379
OG0001038	g12253	evm.model.RL_1.1203
OG0001038	g7266	evm.model.RL_1.1204, evm.model.RL_1.1202, evm.model.RL_1.1201, evm.model.RL_7.2110
OG0001039	g36304	evm.model.RL_5.2178
OG0001039	g6935	evm.model.RL_1.1675
OG0001040	g28032	evm.model.RL_5.1907
OG0001040	g6683	evm.model.RL_1.2042
OG0001041	g49717	evm.model.RL_1.3135
OG0001041	g19512, g19511	evm.model.RL_7.1628
OG0001042	g14335	evm.model.RL_8.872
OG0001043	g36524	evm.model.RL_5.1891
OG0001044	g2210, g19086	evm.model.RL_7.820
OG0001045	g2937, g2912, g2933	evm.model.RL_7.1862, evm.model.RL_7.1863, evm.model.RL_7.1781, evm.model.RL_7.1780
OG0001046	g22655	evm.model.RL_5.3406, evm.model.RL_1.2620
OG0001048	g45421, g45419	evm.model.RL_4.3026
OG0001048	g17845, g45573	evm.model.RL_4.2422
OG0001051	g23035	evm.model.RL_2.3027
OG0001052	g47909, g47910	evm.model.RL_2.3036, evm.model.RL_2.3037
OG0001053	g41060	evm.model.RL_3.565
OG0001053	g49716	evm.model.RL_5.857
OG0001054	g40938, g38261	evm.model.RL_3.301
OG0001056	g13098	evm.model.RL_1.953
OG0001056	g5691	evm.model.RL_4.3093
OG0001057	g47639	evm.model.RL_2.2283, evm.model.RL_8.1506, evm.model.RL_8.1507
OG0001058	g24289, g17556	evm.model.RL_2.1269
OG0001058	g47940, g22966	evm.model.RL_2.3110
OG0001060	g17809, g24580	evm.model.RL_2.896
OG0001060	g6503	evm.model.RL_1.2283
OG0001061	g6557	evm.model.RL_1.2195
OG0001061	g47060	evm.model.RL_2.977, evm.model.RL_2.976
OG0001063	g47040, g44040, g7688	evm.model.RL_1.519
OG0001064	g51622	evm.model.RL_6.1802
OG0001064	g19204, g2368	evm.model.RL_7.1064, evm.model.RL_7.1062, evm.model.RL_7.1851, evm.model.RL_7.1063
OG0001065	g37200	evm.model.RL_6.1862
OG0001065	g2350	evm.model.RL_7.1043
OG0001066	g51631, g38065	evm.model.RL_6.1861
OG0001066	g2349, g19195	evm.model.RL_7.1042
OG0001067	g44345, g46495	evm.model.RL_3.2305.2.687c84be
OG0001067	g49979, g31659	evm.model.RL_5.1512
OG0001068	g44609, g45995	evm.model.RL_3.1631
OG0001069	g46181	evm.model.RL_3.1920
OG0001069	g50084	evm.model.RL_5.1770
OG0001070	g32197	evm.model.RL_5.3236, evm.model.RL_3.1246, evm.model.RL_1.2931
OG0001071	g31500	evm.model.RL_5.1253, evm.model.RL_5.1252
OG0001071	g31501, g25931	evm.model.RL_5.1254
OG0001072	g19445	evm.model.RL_4.1341, evm.model.RL_7.1485, evm.model.RL_7.1490
OG0001073	g54336	evm.model.RL_3.981
OG0001074	g26813, g53638, g42668, g42659, g4054, g3459, g44889	evm.model.RL_3.1141
OG0001074	g24702, g26730, g25999, g25125, g34268	evm.model.RL_3.1901
OG0001075	g13240, g12117, g12118	evm.model.RL_5.3732, evm.model.RL_1.1492
OG0001079	g36973	evm.model.RL_1.88
OG0001084	g13849	evm.model.RL_1.3239
OG0001084	g47674	evm.model.RL_2.2364
OG0001085	g13898	evm.model.RL_1.3150
OG0001086	g23182, g18153	evm.model.RL_2.2852
OG0001086	g6220	evm.model.RL_1.2662, evm.model.RL_1.2665.1.687c87f0
OG0001087	g23067	evm.model.RL_2.2991, evm.model.RL_2.2992
OG0001088	g10456, g10455	evm.model.RL_7.2239_evm.model.RL_7.2240
OG0001089	g16485	evm.model.RL_7.2158, evm.model.RL_7.2156
OG0001089	g10400	evm.model.RL_7.2159
OG0001091	g2682, g19439	evm.model.RL_7.1499
OG0001091	g1352	evm.model.RL_8.1196
OG0001092	g5587	evm.model.RL_4.2864
OG0001093	g41427, g650	evm.model.RL_4.1716
OG0001093	g5323, g45586	evm.model.RL_4.2368
OG0001094	g29524	evm.model.RL_4.2578
OG0001094	g164	evm.model.RL_8.2606.4.687c8562
OG0001096	g2044	evm.model.RL_7.550
OG0001096	g52024	evm.model.RL_6.2325
OG0001097	g1242	evm.model.RL_7.1696, evm.model.RL_7.1433
OG0001098	g123	evm.model.RL_8.2672
OG0001100	g37922	evm.model.RL_6.1311
OG0001100	g49491	evm.model.RL_5.396
OG0001101	g45664	evm.model.RL_4.2166
OG0001101	g13606	evm.model.RL_1.62, evm.model.RL_4.2096, evm.model.RL_6.857
OG0001102	g7885	evm.model.RL_1.137
OG0001102	g29235	evm.model.RL_4.2065
OG0001103	g10167	evm.model.RL_4.980
OG0001104	g12579, g7735	evm.model.RL_1.410.1.687c87ea
OG0001105	g46568	evm.model.RL_3.2411
OG0001105	g49952, g27323	evm.model.RL_5.1434.1.687c88b4
OG0001106	g49982, g31674	evm.model.RL_5.1531
OG0001106	g46483	evm.model.RL_3.2289
OG0001107	g50019, g31737	evm.model.RL_5.1620
OG0001108	g44509	evm.model.RL_3.1884
OG0001109	g46369	evm.model.RL_3.2155
OG0001109	g32009	evm.model.RL_5.3577.1.687c88c3
OG0001110	g45825	evm.model.RL_3.1388
OG0001110	g27567	evm.model.RL_5.3355
OG0001111	g41690	evm.model.RL_3.1119
OG0001111	g50412	evm.model.RL_5.3150.1.687c88c0
OG0001112	g4581	evm.model.RL_4.930, evm.model.RL_4.899
OG0001112	g10211	evm.model.RL_4.959
OG0001115	g45996	evm.model.RL_3.1636
OG0001115	g31697	evm.model.RL_5.1574
OG0001116	g28033	evm.model.RL_5.1917
OG0001116	g6688	evm.model.RL_1.2034
OG0001117	g24426	evm.model.RL_2.1109
OG0001117	g24429	evm.model.RL_2.1110
OG0001118	g51302	evm.model.RL_6.1339
OG0001120	g22964, g47945	evm.model.RL_2.3116
OG0001120	g6045	evm.model.RL_1.2960
OG0001121	g39398	evm.model.RL_8.1088, evm.model.RL_8.1100, evm.model.RL_8.1380
OG0001124	g17104, g23657	evm.model.RL_8.719, evm.model.RL_2.2224.1.687c86e5
OG0001125	g45025, g32527	evm.model.RL_5.2800
OG0001125	g51533	evm.model.RL_6.1648, evm.model.RL_6.1647
OG0001127	g31536	evm.model.RL_5.1306.2.687c88b3
OG0001127	g10732	evm.model.RL_7.2608
OG0001128	g10631	evm.model.RL_7.2474
OG0001128	g31465, g49877	evm.model.RL_5.1202
OG0001129	g10382	evm.model.RL_7.2143
OG0001130	g10319, g16265	evm.model.RL_7.2038
OG0001130	g46920	evm.model.RL_2.342
OG0001131	g47560, g23730	evm.model.RL_2.2102
OG0001131	g39310	evm.model.RL_8.1801
OG0001132	g29844, g5762	evm.model.RL_4.3238
OG0001132	g7476	evm.model.RL_1.879
OG0001133	g17111	evm.model.RL_2.2202
OG0001133	g1001	evm.model.RL_8.1609
OG0001134	g5272, g5271, g45622, g29355	evm.model.RL_4.2280, evm.model.RL_4.2281
OG0001135	g29536	evm.model.RL_4.2586.1.687c86da
OG0001136	g47242, g24232, g17506	evm.model.RL_2.1338
OG0001136	g40650	evm.model.RL_4.132
OG0001137	g10993	evm.model.RL_4.299
OG0001137	g17436	evm.model.RL_2.1485
OG0001138	g23966	evm.model.RL_2.1727
OG0001138	g41700	evm.model.RL_3.934
OG0001138	g28050	evm.model.RL_3.941
OG0001138	g40427	evm.model.RL_8.504
OG0001139	g32270	evm.model.RL_5.3160
OG0001140	g22956	evm.model.RL_2.3134
OG0001140	g13993	evm.model.RL_1.2971
OG0001142	g6574	evm.model.RL_1.2167
OG0001142	g11806	evm.model.RL_2.1010
OG0001143	g52233	evm.model.RL_6.2645
OG0001143	g1906	evm.model.RL_7.307
OG0001144	g1933, g18858	evm.model.RL_7.352
OG0001144	g37547	evm.model.RL_6.2569
OG0001146	g37399, g38167	evm.model.RL_6.2291
OG0001146	g7437	evm.model.RL_1.939
OG0001148	g9755	evm.model.RL_8.2539
OG0001148	g220	evm.model.RL_4.2615
OG0001149	g2491, g19321	evm.model.RL_7.1270
OG0001149	g19632	evm.model.RL_8.2824
OG0001150	g29202	evm.model.RL_4.2029
OG0001150	g7865	evm.model.RL_1.172
OG0001151	g12476	evm.model.RL_1.618
OG0001151	g10202	evm.model.RL_4.910
OG0001152	g19032	evm.model.RL_7.749, evm.model.RL_2.774
OG0001152	g51912	evm.model.RL_6.2180
OG0001154	g44475, g46190	evm.model.RL_2.2538, evm.model.RL_3.1935
OG0001155	g50128	evm.model.RL_5.1852
OG0001156	g50299, g32096	evm.model.RL_5.3413
OG0001156	g45854, g35995, g22228, g22334, g35994	evm.model.RL_3.1436
OG0001157	g31315	evm.model.RL_5.1006
OG0001157	g27152	evm.model.RL_5.997
OG0001158	g32060	evm.model.RL_5.3448
OG0001159	g44389	evm.model.RL_3.2075
OG0001159	g44390	evm.model.RL_3.2074
OG0001160	g36717	evm.model.RL_5.3932
OG0001161	g6686	evm.model.RL_1.2039
OG0001161	g54219	evm.model.RL_5.1911
OG0001162	g54120, g54121	evm.model.RL_5.2099, evm.model.RL_5.2098
OG0001166	g38518	evm.model.RL_6.90
OG0001169	g39433, g28457	evm.model.RL_8.1508
OG0001170	g10143	evm.model.RL_4.1045.1.687c86d1
OG0001171	g40989	evm.model.RL_3.403
OG0001172	g10660	evm.model.RL_7.2515
OG0001172	g31481	evm.model.RL_5.1229
OG0001173	g17141	evm.model.RL_2.2130
OG0001173	g17145	evm.model.RL_3.56
OG0001174	g12357	evm.model.RL_1.986
OG0001174	g29755	evm.model.RL_4.3033
OG0001175	g1055	evm.model.RL_8.1695
OG0001176	g9715	evm.model.RL_8.2629.2.687c8562
OG0001176	g29498, g45539	evm.model.RL_4.2535
OG0001177	g5524, g5527	evm.model.RL_4.2754, evm.model.RL_4.2758
OG0001178	g29609	evm.model.RL_4.2771
OG0001179	g24168	evm.model.RL_2.1426
OG0001180	g47317	evm.model.RL_2.1518
OG0001180	g40540	evm.model.RL_4.326, evm.model.RL_4.329
OG0001181	g47399	evm.model.RL_2.1682
OG0001181	g40455	evm.model.RL_8.446
OG0001182	g51414	evm.model.RL_6.1496
OG0001182	g32375	evm.model.RL_5.3024
OG0001183	g47934	evm.model.RL_2.3102
OG0001183	g6051, g14007	evm.model.RL_1.2951
OG0001184	g50789	evm.model.RL_6.2804
OG0001185	g1835	evm.model.RL_7.209
OG0001185	g37654	evm.model.RL_6.2774
OG0001186	g18898	evm.model.RL_7.655, evm.model.RL_7.423
OG0001187	g39793	evm.model.RL_6.1324
OG0001187	g26954	evm.model.RL_5.386
OG0001188	g5594	evm.model.RL_4.2897
OG0001188	g39949	evm.model.RL_6.1106, evm.model.RL_6.1103, evm.model.RL_6.1081
OG0001189	g7940	evm.model.RL_1.51.5.687c87e9
OG0001189	g5188	evm.model.RL_4.2182
OG0001190	g4934, g29034, g41480	evm.model.RL_4.1830
OG0001191	g10149	evm.model.RL_4.1037
OG0001191	g12854, g12562	evm.model.RL_1.445
OG0001192	g17606	evm.model.RL_2.1157
OG0001192	g12477	evm.model.RL_3.719, evm.model.RL_1.613
OG0001193	g2189	evm.model.RL_7.799
OG0001193	g51812, g37332	evm.model.RL_6.2091
OG0001194	g2180	evm.model.RL_7.769
OG0001194	g7548	evm.model.RL_1.761
OG0001196	g44483, g46180	evm.model.RL_3.1919
OG0001196	g27431, g50082	evm.model.RL_5.1768.4.687c88b6
OG0001197	g19149	evm.model.RL_7.925
OG0001198	g10125	evm.model.RL_4.1070
OG0001200	g672	evm.model.RL_4.1661
OG0001201	g499	evm.model.RL_4.1362
OG0001202	g2591	evm.model.RL_7.1368
OG0001203	g3287	evm.model.RL_7.1922
OG0001205	g36609	evm.model.RL_5.3779
OG0001205	g7109, g13232	evm.model.RL_1.1439
OG0001206	g7008	evm.model.RL_1.1573, evm.model.RL_1.1574
OG0001207	g24396, g17607	evm.model.RL_2.1156
OG0001207	g12065	evm.model.RL_1.1613
OG0001208	g13325	evm.model.RL_5.2092
OG0001208	g6854, g11987	evm.model.RL_1.1794
OG0001209	g54141	evm.model.RL_1.1817
OG0001210	g36442	evm.model.RL_5.2009
OG0001213	g37046	evm.model.RL_6.798
OG0001217	g47100	evm.model.RL_2.1059
OG0001218	g7727	evm.model.RL_1.414
OG0001218	g7717	evm.model.RL_1.432
OG0001222	g16960, g47771	evm.model.RL_2.2623
OG0001224	g31167	evm.model.RL_5.782.1.687c88af
OG0001224	g27062	evm.model.RL_3.697
OG0001225	g16608	evm.model.RL_7.2344
OG0001229	g28587, g28582, g28581	evm.model.RL_8.1764
OG0001230	g9884	evm.model.RL_8.2251
OG0001230	g5551	evm.model.RL_4.2814
OG0001231	g391	evm.model.RL_8.2262
OG0001231	g29634	evm.model.RL_4.2818
OG0001232	g17457	evm.model.RL_2.1447
OG0001233	g23931, g47447	evm.model.RL_2.1798
OG0001233	g40387, g25674	evm.model.RL_8.584
OG0001234	g36180	evm.model.RL_5.2302.1.687c88ba
OG0001235	g6092, g13735	evm.model.RL_1.2924
OG0001235	g23002	evm.model.RL_2.3067
OG0001236	g47093	evm.model.RL_2.1048, evm.model.RL_2.1124
OG0001236	g51298	evm.model.RL_6.1321
OG0001237	g37633	evm.model.RL_6.2736
OG0001237	g1864	evm.model.RL_7.233
OG0001238	g37629, g52280	evm.model.RL_6.2726
OG0001239	g18874	evm.model.RL_7.366
OG0001241	g38216	evm.model.RL_6.2485
OG0001241	g37514	evm.model.RL_6.2484
OG0001242	g5744, g45348	evm.model.RL_4.3208
OG0001243	g18038	evm.model.RL_3.1106
OG0001244	g28935	evm.model.RL_8.1492, evm.model.RL_8.1490_evm.model.RL_8.1491.1.687c97c0
OG0001245	g25	evm.model.RL_8.2812.1.687c8563
OG0001246	g39512	evm.model.RL_8.209
OG0001247	g25488	evm.model.RL_8.314
OG0001247	g7578	evm.model.RL_1.706
OG0001248	g51124, g51128, g37871	evm.model.RL_6.1025, evm.model.RL_6.1023, evm.model.RL_6.1022
OG0001249	g51720, g43710	evm.model.RL_6.1950
OG0001249	g37274	evm.model.RL_6.1951
OG0001250	g29244	evm.model.RL_4.2088
OG0001250	g12693, g7908	evm.model.RL_1.119
OG0001251	g12687	evm.model.RL_1.142
OG0001251	g29218	evm.model.RL_4.2059
OG0001252	g7863	evm.model.RL_1.175
OG0001253	g7694, g12874	evm.model.RL_1.487
OG0001253	g4796	evm.model.RL_4.1069
OG0001254	g36501	evm.model.RL_5.1926
OG0001254	g38012	evm.model.RL_6.1673
OG0001255	g17932, g46451	evm.model.RL_3.2240
OG0001256	g46014	evm.model.RL_3.1666
OG0001256	g27373, g50005	evm.model.RL_5.1590
OG0001257	g44576, g46050	evm.model.RL_3.1724
OG0001257	g31732	evm.model.RL_5.1613
OG0001258	g46154	evm.model.RL_3.1879
OG0001259	g46192	evm.model.RL_3.1941
OG0001261	g27264, g31519	evm.model.RL_5.1275
OG0001261	g10688	evm.model.RL_7.2564
OG0001262	g27261	evm.model.RL_5.1265
OG0001263	g49813, g31371	evm.model.RL_5.1088
OG0001263	g44235	evm.model.RL_3.227
OG0001264	g13174, g12242, g7243	evm.model.RL_1.1247
OG0001265	g36511	evm.model.RL_5.1915
OG0001265	g11879	evm.model.RL_1.2036
OG0001267	g40489	evm.model.RL_4.424
OG0001268	g26757, g50357	evm.model.RL_5.3304
OG0001269	g32401	evm.model.RL_5.2990
OG0001274	g50980	evm.model.RL_6.320
OG0001274	g23357	evm.model.RL_2.2611
OG0001275	g50146	evm.model.RL_5.3676
OG0001275	g23030	evm.model.RL_2.3032
OG0001276	g46965	evm.model.RL_5.975
OG0001278	g13569	evm.model.RL_1.2502
OG0001279	g5139	evm.model.RL_4.2124
OG0001279	g29275	evm.model.RL_1.92
OG0001280	g10372	evm.model.RL_7.2122
OG0001280	g16891	evm.model.RL_2.274
OG0001281	g40826	evm.model.RL_3.62
OG0001282	g23716	evm.model.RL_2.2133
OG0001283	g2067, g37382	evm.model.RL_7.669, evm.model.RL_6.2246
OG0001284	g26736	evm.model.RL_8.1082
OG0001284	g329, g9838	evm.model.RL_8.2362
OG0001285	g959	evm.model.RL_8.1534
OG0001286	g26849	evm.model.RL_8.1595
OG0001286	g28499, g991	evm.model.RL_8.1594
OG0001287	g39378, g1006	evm.model.RL_8.1616
OG0001288	g45567	evm.model.RL_4.2448
OG0001288	g601	evm.model.RL_4.1192
OG0001289	g47211, g24261	evm.model.RL_2.1299, evm.model.RL_2.1345
OG0001289	g10889	evm.model.RL_6.2673, evm.model.RL_4.71
OG0001290	g17264, g47466, g23883	evm.model.RL_2.1877
OG0001291	g27794	evm.model.RL_5.2667
OG0001292	g37889	evm.model.RL_6.1094
OG0001292	g7926	evm.model.RL_1.86
OG0001293	g18901	evm.model.RL_7.431
OG0001294	g50894	evm.model.RL_6.136
OG0001294	g22760	evm.model.RL_2.3344
OG0001295	g28333	evm.model.RL_2.345
OG0001296	g36926	evm.model.RL_6.178
OG0001296	g22456, g22457, g22454, g3733, g22455, g37997	evm.model.RL_6.1601
OG0001297	g40451	evm.model.RL_8.458
OG0001298	g47079	evm.model.RL_2.1012
OG0001299	g37691	evm.model.RL_6.2818
OG0001299	g37690	evm.model.RL_6.2817
OG0001299	g37689	evm.model.RL_7.2130, evm.model.RL_7.2125
OG0001300	g2037	evm.model.RL_7.540
OG0001300	g38182	evm.model.RL_6.2360
OG0001301	g2132, g18972	evm.model.RL_7.566
OG0001301	g11224	evm.model.RL_6.2344
OG0001302	g9683	evm.model.RL_8.2695
OG0001302	g2601	evm.model.RL_7.1397
OG0001303	g25341	evm.model.RL_8.21
OG0001303	g37594	evm.model.RL_6.2662
OG0001303	g49295	evm.model.RL_8.2905
OG0001304	g31093	evm.model.RL_5.641
OG0001304	g40030	evm.model.RL_6.956
OG0001305	g12556	evm.model.RL_1.464
OG0001306	g12871	evm.model.RL_1.484
OG0001307	g12971	evm.model.RL_1.690
OG0001309	g51683, g37238	evm.model.RL_6.1897
OG0001309	g2317	evm.model.RL_7.980
OG0001310	g31671	evm.model.RL_5.1528
OG0001310	g46484	evm.model.RL_3.2290
OG0001311	g10158	evm.model.RL_4.993
OG0001311	g4717	evm.model.RL_4.996, evm.model.RL_4.997
OG0001312	g12956	evm.model.RL_1.663
OG0001312	g10242	evm.model.RL_4.837
OG0001314	g7246	evm.model.RL_1.1243
OG0001314	g27980, g54312	evm.model.RL_5.3949.1.687c88c6
OG0001315	g7060	evm.model.RL_1.1499
OG0001315	g36576	evm.model.RL_5.3719
OG0001316	g54062	evm.model.RL_5.2189
OG0001316	g6946	evm.model.RL_1.1663
OG0001317	g36438	evm.model.RL_5.2013, evm.model.RL_1.1913
OG0001318	g17609	evm.model.RL_2.1143, evm.model.RL_2.1142, evm.model.RL_2.1144
OG0001319	g2386, g11318, g19210	evm.model.RL_7.1086
OG0001321	g18477	evm.model.RL_3.455, evm.model.RL_3.453
OG0001323	g23707, g23706	evm.model.RL_2.2152
OG0001324	g35173, g52649, g25011, g37158, g25179, g24638, g35058, g35444, g37809, g53927, g11093, g37808, g23228, g662, g124, g4330, g26801, g52642, g50793, g43647, g1790, g32919, g14252, g53068, g48957, g34702, g35181, g27660	evm.model.RL_5.2399
OG0001328	g16953, g23326	evm.model.RL_2.2657
OG0001328	g50995	evm.model.RL_6.350
OG0001330	g6114	evm.model.RL_1.2910
OG0001330	g13727	evm.model.RL_2.3056
OG0001331	g43986	evm.model.RL_3.667, evm.model.RL_3.668
OG0001331	g41089, g41082, g41085	evm.model.RL_3.1034
OG0001332	g41073	evm.model.RL_3.590.1.687c84ba
OG0001332	g31218	evm.model.RL_5.839
OG0001333	g44147, g40990	evm.model.RL_3.402
OG0001333	g31289, g49760, g27134	evm.model.RL_5.960
OG0001334	g31562	evm.model.RL_5.1344
OG0001334	g10777	evm.model.RL_7.2702
OG0001335	g5680	evm.model.RL_4.3077
OG0001335	g12368	evm.model.RL_1.963
OG0001336	g7363	evm.model.RL_1.1081
OG0001336	g5596, g29680	evm.model.RL_4.2903
OG0001337	g28452	evm.model.RL_8.1501
OG0001337	g17081	evm.model.RL_2.2271
OG0001338	g945	evm.model.RL_8.1500
OG0001339	g26842	evm.model.RL_8.1650.1.687c855c
OG0001339	g23683	evm.model.RL_2.2180.6.687c86e5
OG0001340	g29454	evm.model.RL_4.2468
OG0001341	g45552, g29474	evm.model.RL_4.2501
OG0001342	g45527	evm.model.RL_4.2574
OG0001342	g166	evm.model.RL_8.2604
OG0001343	g5508, g29591	evm.model.RL_4.2719.1.687c86db
OG0001343	g472	evm.model.RL_4.1400
OG0001344	g47233	evm.model.RL_2.1320
OG0001344	g10909, g40671	evm.model.RL_4.99
OG0001345	g47287	evm.model.RL_2.1439
OG0001345	g10970	evm.model.RL_4.254
OG0001346	g47350	evm.model.RL_2.1595
OG0001347	g17261	evm.model.RL_2.1884
OG0001348	g6048	evm.model.RL_1.2954, evm.model.RL_1.3116, evm.model.RL_2.3106
OG0001349	g22944, g47955, g47958	evm.model.RL_2.3148
OG0001350	g50917	evm.model.RL_6.165
OG0001351	g17896, g17900, g17918, g17911	evm.model.RL_3.691, evm.model.RL_3.694, evm.model.RL_3.696, evm.model.RL_3.695
OG0001352	g25932	evm.model.RL_5.2439
OG0001352	g40227	evm.model.RL_8.888
OG0001353	g16731, g18396	evm.model.RL_4.285
OG0001354	g11149, g18789	evm.model.RL_7.103
OG0001354	g50827	evm.model.RL_6.2900
OG0001355	g52282, g37630	evm.model.RL_6.2728
OG0001356	g1994, g18939	evm.model.RL_7.494
OG0001357	g2054	evm.model.RL_7.562
OG0001358	g37416	evm.model.RL_6.2313
OG0001358	g2112	evm.model.RL_7.612
OG0001359	g2928	evm.model.RL_7.1757
OG0001359	g28762	evm.model.RL_8.2056
OG0001360	g49490	evm.model.RL_5.394
OG0001360	g51296	evm.model.RL_6.1315
OG0001361	g37930	evm.model.RL_6.1355
OG0001361	g30901	evm.model.RL_5.331
OG0001362	g6706, g11898	evm.model.RL_1.1998
OG0001362	g40140	evm.model.RL_6.769
OG0001363	g23660	evm.model.RL_2.2219
OG0001364	g5140	evm.model.RL_4.2125
OG0001364	g12713	evm.model.RL_1.91
OG0001365	g45686, g29273	evm.model.RL_4.2116
OG0001366	g5076	evm.model.RL_4.2043
OG0001367	g10183	evm.model.RL_4.949
OG0001367	g7644	evm.model.RL_1.585
OG0001368	g25048, g36889	evm.model.RL_4.2199
OG0001370	g31960	evm.model.RL_5.3644.1.687c88c4
OG0001370	g46290	evm.model.RL_3.2068
OG0001372	g12761	evm.model.RL_1.233
OG0001372	g45745, g29153, g5005	evm.model.RL_4.1941
OG0001373	g12013, g6885	evm.model.RL_5.2136, evm.model.RL_1.1743
OG0001374	g44472	evm.model.RL_3.1938
OG0001374	g3704, g50089, g26819	evm.model.RL_5.1785
OG0001375	g49963	evm.model.RL_5.1469
OG0001375	g44314	evm.model.RL_3.2360
OG0001376	g7193	evm.model.RL_1.1318
OG0001376	g54341	evm.model.RL_5.3881
OG0001377	g12075	evm.model.RL_1.1593
