Orthogroup	Cochlearia_excelsa	Odontarrhena_muralis
OG0002992	g31322, g25025	Om005G190470
OG0002993	g49620, g31203	Om005G187860, Om003G105910
OG0002995	g26905	Om005G180200
OG0002996	g4855	Om007G294450
OG0002996	g4856, g10105	Om007G294460
OG0002998	g5581	Om004G169680
OG0002999	g45427	Om004G171560
OG0003000	g431	Om006G236920, Om001G028230, Om002G074790
OG0003001	g370	Om006G235720
OG0003001	g45475	Om004G169280
OG0003002	g854	Om008G340890, Om006G245180
OG0003003	g31698	Om005G198510
OG0003003	g44606	Om004G142600
OG0003004	g13225	Om002G059900
OG0003005	g24408	Om003G100780
OG0003005	g7001	Om002G062940
OG0003006	g47138	Om003G100310
OG0003006	g6985	Om002G063460
OG0003007	g47148	Om003G100140
OG0003008	g36364	Om003G099120
OG0003008	g6887	Om002G065210
OG0003009	g36414	Om003G097710
OG0003010	g36487	Om003G096150
OG0003011	g11754	Om002G072470, Om006G253400
OG0003012	g6460	Om002G073660
OG0003013	g23034	Om001G033660
OG0003014	g6032	Om002G084850
OG0003015	g13899	Om002G087410
OG0003015	g23470	Om001G024430
OG0003016	g36516	Om003G095590
OG0003017	g18973	Om003G121110
OG0003017	g36510, g54215	Om003G095720
OG0003019	g12156	Om002G060150, Om003G093200
OG0003020	g52153	Om008G324040
OG0003020	g1955	Om003G124250
OG0003022	g50741	Om003G125580, Om003G125590
OG0003025	g17157	Om007G286770, Om007G286750
OG0003028	g22785	Om001G039220, Om002G082330, Om002G082340
OG0003033	g23528	Om001G023390
OG0003033	g5922	Om002G087960
OG0003036	g23117	Om001G032340
OG0003036	g14285	Om002G081370
OG0003037	g47896	Om001G033430
OG0003038	g32524	Om007G292040
OG0003039	g41045	Om005G219900
OG0003040	g44102	Om005G220050
OG0003042	g10453	Om006G270890, Om007G316840
OG0003043	g45098	Om005G215230
OG0003044	g31374	Om005G191640, Om008G342460
OG0003044	g40886	Om005G225100
OG0003045	g12300, g13127, g7344	Om002G055510
OG0003046	g921	Om003G114970
OG0003046	g23590	Om001G021680, Om002G075500
OG0003047	g9772	Om006G233180
OG0003049	g40686	Om008G362020
OG0003050	g47437	Om001G009500, Om001G009530
OG0003052	g32769	Om001G013420
OG0003053	g40202	Om008G343180
OG0003054	g36243	Om007G287190
OG0003055	g27652	Om007G288550
OG0003056	g32325, g50461	Om007G288630
OG0003057	g22980	Om001G034980
OG0003058	g18263	Om001G037060
OG0003059	g51498	Om008G339200
OG0003060	g40456, g25564	Om008G354520
OG0003060	g17817	Om001G007850
OG0003061	g10867	Om008G362560
OG0003062	g25247, g46884	Om003G106080
OG0003063	g6442	Om002G074430
OG0003063	g24730	Om003G104330
OG0003065	g11854	Om002G070040
OG0003066	g40802	Om005G227050
OG0003066	g28238	Om003G128830
OG0003067	g37607	Om008G322230
OG0003068	g37522, g52132	Om003G124120, Om008G324510
OG0003070	g28913	Om006G242640
OG0003071	g834	Om006G244650
OG0003072	g28811	Om006G245150
OG0003073	g10117	Om002G048140
OG0003074	g19388	Om006G259940
OG0003075	g2604	Om006G259700
OG0003077	g22959	Om001G035610
OG0003078	g2487	Om006G257500
OG0003080	g39830	Om007G280260
OG0003080	g30956	Om005G183230
OG0003081	g39905	Om006G236700
OG0003081	g39906	Om007G281390
OG0003083	g27003	Om005G184950
OG0003083	g51176	Om007G282310
OG0003084	g13631	Om007G284410
OG0003085	g40121	Om007G284840
OG0003086	g45629, g5230, g45630	Om007G302030
OG0003087	g12768	Om002G044700
OG0003088	g6578, g11813, g41802, g11810	Om002G070930
OG0003089	g12535	Om002G047990
OG0003090	g12925	Om002G048750, Om002G048740
OG0003091	g2459	Om006G256870
OG0003092	g20044, g20047, g34723, g22137, g48984, g20480, g34718, g21275, g20470, g22141, g54397, g22133, g22139, g22143, g22134, g54399, g54396, g22142, g22135, g21268, g20036, g48983, g20474, g22264, g22136, g54398, g3772, g22138, g20020, g22144, g22140, g20459, g20042, g48980	Om013G369570
OG0003093	g44280	Om004G130220
OG0003093	g49943	Om005G196220
OG0003094	g31681	Om005G198160
OG0003095	g31691	Om005G198400
OG0003097	g50327	Om004G144880
OG0003098	g27285	Om005G195350, Om005G195360, Om005G195320, Om005G195330
OG0003099	g19364, g19363	Om006G258750
OG0003100	g26992	Om007G281570
OG0003100	g49556	Om005G184360
OG0003101	g5155	Om007G300660
OG0003102	g45628, g5240	Om004G160860, Om001G030780
OG0003103	g18597	Om006G236630, Om004G168490
OG0003104	g404	Om006G236360
OG0003105	g2753, g19492	Om006G263790
OG0003106	g2490	Om006G257570
OG0003107	g360	Om006G235560
OG0003108	g41388	Om006G242590
OG0003109	g32816	Om004G141640, Om004G141630, Om004G141620
OG0003110	g44312	Om004G131470
OG0003111	g13176, g7241	Om002G057580
OG0003112	g7555	Om002G050800
OG0003113	g7056	Om002G061480
OG0003114	g11967, g6816	Om002G066610
OG0003116	g6528	Om002G072400
OG0003116	g6525	Om002G072450
OG0003117	g17884	Om003G104350
OG0003118	g39535	Om004G159270
OG0003119	g13706, g14198	Om002G082520
OG0003120	g23061	Om001G033180
OG0003121	g7203	Om002G058470
OG0003121	g27988	Om003G091120
OG0003122	g51476	Om008G339600
OG0003122	g50553	Om007G291330
OG0003123	g2343	Om006G254500
OG0003124	g51685	Om008G334710
OG0003125	g39393, g17760, g6237	Om002G063680
OG0003126	g27814, g27851	Om008G333300, Om008G341030, Om008G343510
OG0003127	g44258	Om005G226480
OG0003127	g44256	Om005G226490
OG0003128	g44049	Om001G001680
OG0003129	g779	Om006G243590
OG0003139	g23495	Om001G023960
OG0003141	g47877	Om001G032590
OG0003142	g23014	Om001G034300, Om002G083730
OG0003143	g47162	Om007G275760
OG0003144	g31281	Om005G189600
OG0003145	g31282	Om005G189620
OG0003146	g10724	Om006G274680
OG0003146	g13694	Om005G194740
OG0003147	g10526	Om006G271760
OG0003149	g18599	Om006G232950, Om006G232940
OG0003150	g10367	Om006G269440
OG0003152	g40823	Om005G227850
OG0003153	g40822	Om005G227840
OG0003154	g16792	Om007G318090
OG0003154	g40781	Om005G226450
OG0003155	g5657	Om004G172280
OG0003156	g36284, g42124	Om003G122090, Om008G325600
OG0003157	g17122	Om003G117100
OG0003157	g23677	Om001G018820
OG0003158	g29517, g29515, g5427	Om004G165890
OG0003159	g47343	Om008G356240
OG0003159	g17382	Om001G005960
OG0003160	g37039	Om008G341950
OG0003161	g22790, g18291	Om001G039160
OG0003164	g24694	Om003G104110
OG0003165	g46482	Om004G132510, Om007G303950
OG0003166	g1861	Om003G126500
OG0003167	g52255	Om008G322090
OG0003168	g13010	Om002G051380, Om002G051370
OG0003169	g13057	Om002G052200
OG0003169	g29848, g5781	Om004G175320
OG0003170	g104	Om006G230930
OG0003171	g39504	Om004G158680
OG0003173	g38072	Om004G160450
OG0003174	g39645	Om007G302310
OG0003175	g49468	Om005G182000
OG0003176	g18628	Om007G278840
OG0003177	g51160	Om007G282500
OG0003178	g5213, g45638	Om007G301720
OG0003179	g29325	Om007G301830
OG0003180	g10174	Om007G303250
OG0003180	g12814	Om002G046490
OG0003182	g13009, g7525	Om002G051360, Om004G176840
OG0003183	g6279, g51761	Om008G332320
OG0003184	g38026, g51569	Om008G337660
OG0003186	g31785	Om005G200160
OG0003187	g27452, g50127	Om005G202340
OG0003188	g27466	Om005G202790, Om005G202780
OG0003190	g46371	Om004G134590
OG0003191	g17970	Om007G297700
OG0003192	g4815	Om007G294260
OG0003193	g41686, g32258	Om005G212300
OG0003195	g36937	Om004G153620
OG0003195	g38519	Om004G155760
OG0003196	g31567	Om005G195610
OG0003197	g49819	Om005G191820
OG0003198	g31150	Om005G186950
OG0003198	g49651	Om005G216370
OG0003199	g13683	Om002G081040, Om002G080210
OG0003200	g49687	Om005G186430
OG0003201	g49461	Om005G181850
OG0003202	g50865	Om005G180940
OG0003203	g7710	Om002G047360
OG0003204	g5686	Om004G172870
OG0003206	g10060	Om001G029130
OG0003206	g18563, g593	Om006G240090
OG0003207	g451	Om006G237420
OG0003208	g17964	Om004G135610
OG0003209	g7169	Om006G253850, Om002G059040
OG0003210	g7166	Om002G059160, Om002G059210, Om002G059250, Om007G306570, Om002G059220, Om002G059180, Om002G059200, Om002G059190
OG0003213	g12097	Om002G062000
OG0003213	g28015	Om003G094800
OG0003214	g12022	Om002G064780
OG0003215	g13311	Om002G065610
OG0003216	g6023	Om003G093560, Om002G085160, Om003G093580, Om003G093540, Om002G085190
OG0003217	g5895	Om002G088430
OG0003217	g17044	Om001G022680
OG0003218	g36167	Om003G093590
OG0003218	g36601	Om003G093570
OG0003219	g11880	Om003G095760
OG0003220	g54153	Om003G097690, Om002G066970
OG0003222	g11285	Om006G252540
OG0003222	g36096	Om006G252530
OG0003223	g23265, g47816	Om001G029420
OG0003224	g2178	Om006G251110
OG0003225	g18953	Om008G326500, Om006G250800, Om003G122210
OG0003226	g11195	Om008G324500
OG0003227	g44975	Om005G213510
OG0003230	g10896	Om008G362080, Om008G362050, Om008G362140
OG0003231	g24081	Om001G005230
OG0003231	g18409	Om008G356950, Om008G356960
OG0003233	g22698	Om001G040670
OG0003234	g40083	Om007G284290
OG0003235	g49868	Om005G192830
OG0003236	g31837	Om005G201240
OG0003239	g39531	Om004G159170, Om004G159180
OG0003249	g47803	Om001G028930
OG0003250	g16922, g23274	Om001G029300
OG0003251	g47094	Om003G101680
OG0003252	g18174, g18180, g18169, g18177, g18172, g18175, g18178, g18176, g18171	Om001G031430, Om001G031440
OG0003253	g11073, g11068, g11074	Om007G292810, Om007G292830
OG0003254	g52018	Om008G327260
OG0003254	g38192	Om001G006950, Om005G225650
OG0003255	g31237	Om005G188640
OG0003256	g31440	Om005G192950
OG0003257	g10438	Om007G297790, Om006G269890
OG0003260	g19045	Om006G250960
OG0003262	g47629	Om003G115380
OG0003263	g986	Om003G116700
OG0003264	g5379	Om004G164040
OG0003265	g29484	Om004G165000
OG0003266	g482	Om006G237810
OG0003266	g5505	Om004G167700
OG0003267	g29596	Om004G167860
OG0003268	g24165	Om001G002730, Om001G002720
OG0003269	g40412	Om008G353480
OG0003270	g50744	Om001G014260
OG0003271	g50449	Om007G288320, Om001G000550, Om003G118910
OG0003272	g25929	Om007G291170
OG0003273	g32478	Om007G291300
OG0003274	g13734	Om002G083980
OG0003275	g22983	Om001G034950
OG0003276	g22926	Om001G036180
OG0003276	g6024	Om002G085150, Om006G260160
OG0003277	g13960	Om005G221150, Om002G085620
OG0003278	g18331	Om001G041260
OG0003279	g22666, g18013, g18332, g53656	Om001G041270
OG0003280	g37138	Om008G338490
OG0003281	g18395, g16730	Om008G358380
OG0003282	g6356, g13572	Om002G077400, Om002G077340
OG0003283	g24796	Om003G094490
OG0003284	g47011	Om003G103760
OG0003285	g47706	Om005G189580, Om004G141300
OG0003286	g24504, g24502	Om003G102500
OG0003287	g17708, g24495	Om003G102230
OG0003289	g37525	Om008G324380, Om008G324370
OG0003292	g810	Om006G244220
OG0003293	g9818	Om006G234310
OG0003294	g29542	Om006G232700, Om004G166330
OG0003295	g9697	Om006G231440
OG0003296	g33	Om006G229680
OG0003296	g2526	Om006G258150
OG0003297	g2512	Om006G257850
OG0003298	g11077, g39684	Om007G292760
OG0003299	g39808	Om007G279530
OG0003299	g26953	Om005G182300
OG0003300	g51183	Om007G282080
OG0003301	g40132, g40134	Om007G285080, Om007G285060
OG0003302	g38278, g23196	Om001G030590
OG0003303	g29326, g45635	Om007G301850
OG0003304	g7537	Om002G051180
OG0003305	g29155, g5015	Om007G297630
OG0003306	g7739	Om002G046640
OG0003306	g10163	Om007G293240
OG0003307	g12843	Om002G047110
OG0003308	g7579	Om002G050360
OG0003309	g17178	Om007G286100, Om008G347750
OG0003310	g31680	Om005G198170
OG0003311	g27367	Om005G198300, Om005G198290
OG0003312	g46063	Om004G141070
OG0003313	g31755	Om004G140830
OG0003316	g46427	Om004G133650
OG0003317	g50249, g27523	Om005G205100
OG0003318	g50284	Om007G317980
OG0003319	g32139	Om004G145280
OG0003320	g32224	Om004G147500
OG0003321	g47799	Om001G028740
OG0003322	g31329	Om005G190840
OG0003324	g5133	Om007G300270
OG0003326	g5588	Om004G169960
OG0003327	g29713	Om004G171220, Om006G251220
OG0003328	g18579, g18577, g18575	Om006G238600, Om006G238590, Om006G238580
OG0003329	g41604	Om005G211810
OG0003330	g44723	Om005G208570
OG0003331	g13613	Om004G134380
OG0003332	g31854	Om005G201430
OG0003332	g44474	Om004G137790, Om004G173530
OG0003333	g46105	Om004G140320
OG0003333	g50041	Om005G200050
OG0003334	g46480	Om004G132590, Om004G132600
OG0003335	g27351	Om005G197770
OG0003336	g13163, g13164	Om002G057380, Om002G057390
OG0003337	g6967	Om002G063700
OG0003337	g54036	Om003G100080
OG0003338	g11833	Om002G070480
OG0003339	g7129	Om002G060160
OG0003340	g18989	Om003G120470
OG0003341	g2040	Om003G121490, Om003G121510
OG0003342	g1991	Om003G122450, Om008G355340
OG0003343	g36047, g1320, g1775	Om003G127730
OG0003344	g17527	Om003G095290
OG0003350	g23313	Om001G028090
OG0003352	g5050	Om007G298520
OG0003359	g16936	Om001G028860
OG0003360	g23277	Om001G029150
OG0003361	g20178, g8144	Om003G089580
OG0003362	g23153	Om001G031580
OG0003363	g23105	Om001G032510
OG0003364	g47897	Om001G033440, Om004G159490
OG0003365	g24361, g23159	Om001G031390
OG0003366	g51503, g24294	Om007G276460
OG0003367	g10734	Om004G140190
OG0003368	g25065, g25042, g10684	Om006G274340
OG0003369	g1558	Om006G273670
OG0003369	g4457	Om001G004520
OG0003369	g36689	Om007G316350
OG0003370	g49873	Om005G193070
OG0003370	g10607	Om006G272920
OG0003371	g1625	Om006G271110
OG0003372	g16888	Om003G119350, Om007G315730
OG0003373	g44980, g46774	Om005G213610
OG0003374	g45116	Om005G215590
OG0003374	g23620	Om001G021030
OG0003376	g47564, g23728	Om001G016920, Om005G202760
OG0003378	g47505, g47506	Om003G109000
OG0003379	g1008	Om003G117130
OG0003380	g1138, g39290, g28659	Om006G248500
OG0003382	g29508	Om004G165770
OG0003383	g423	Om006G236710
OG0003383	g5535	Om004G168410, Om008G361890
OG0003385	g24054, g17378	Om001G006070
OG0003387	g40309	Om001G012080
OG0003389	g51412	Om008G340540
OG0003390	g32462	Om007G290970
OG0003391	g18256, g22910	Om002G085880, Om001G036650
OG0003392	g22784, g18297	Om001G039240
OG0003393	g18300	Om001G039320
OG0003394	g46818	Om006G243900
OG0003395	g25748	Om008G350910, Om004G150600
OG0003396	g43177, g40360	Om008G351360
OG0003397	g40567	Om008G358480
OG0003398	g24890	Om003G104770
OG0003400	g47020	Om003G103640
OG0003401	g17719, g24507	Om008G358230
OG0003402	g47104	Om002G085790, Om002G085800, Om002G085780, Om002G085810, Om002G085820, Om001G032240, Om005G197950, Om003G101570, Om005G197940
OG0003403	g18747	Om003G128710, Om008G318900
OG0003404	g37720	Om008G319750
OG0003405	g1961	Om003G124140, Om008G324470
OG0003406	g10651	Om006G273650
OG0003407	g13005	Om002G051230
OG0003408	g19387	Om006G259790
OG0003409	g9680, g94	Om006G259490, Om006G230800
OG0003411	g45241	Om004G159970
OG0003412	g30910	Om005G182390
OG0003413	g26991	Om005G184280
OG0003413	g39904, g51218	Om007G281380
OG0003414	g29714	Om004G171230
OG0003415	g7935	Om002G042540, Om007G301260
OG0003416	g29198	Om007G298670
OG0003417	g12572, g4691	Om002G047230
OG0003418	g12855, g7711	Om002G047340
OG0003419	g29079	Om007G295060
OG0003421	g37164	Om001G034660
OG0003422	g51633	Om008G335790
OG0003422	g2346	Om006G254550
OG0003424	g38098	Om008G333400
OG0003424	g2307	Om006G253960
OG0003425	g31602	Om005G196190
OG0003426	g31692, g49995	Om005G198410
OG0003427	g27478	Om005G203080
OG0003427	g7428	Om002G052220
OG0003428	g50167, g31968	Om005G203350
OG0003429	g31971	Om005G203370
OG0003430	g32074	Om004G144790
OG0003431	g32130	Om004G145330
OG0003432	g50384	Om004G147260
OG0003433	g23298	Om001G028530
OG0003434	g36913	Om007G283260
OG0003436	g31185, g27083	Om005G187670
OG0003437	g27395, g13348	Om002G067280, Om001G002880
OG0003438	g7925	Om002G042870
OG0003438	g45676	Om007G300500
OG0003439	g28985	Om007G296980
OG0003440	g5969	Om005G202040
OG0003442	g330	Om006G234920
OG0003443	g520	Om006G238660
OG0003444	g19489, g2762, g50663	Om008G334660, Om006G263360
OG0003445	g41334	Om006G244430
OG0003446	g45889	Om005G206890
OG0003447	g27520	Om005G205020
OG0003448	g44322	Om004G131730, Om005G197260
OG0003449	g12268	Om002G056670
OG0003450	g13189	Om002G057740
OG0003451	g13291	Om002G064430, Om004G145120
OG0003452	g6906	Om002G064840
OG0003453	g6893, g13301	Om002G065060
OG0003454	g6160	Om002G081670
OG0003455	g23071, g18213	Om001G032960
OG0003457	g2258	Om006G252560
OG0003457	g38121	Om008G332240
OG0003458	g1908	Om003G125470
OG0003459	g36701	Om003G090850
OG0003459	g54334	Om002G058020
OG0003460	g46971	Om001G040150
OG0003463	g31612	Om005G196380
OG0003464	g12532	Om002G048040, Om002G048030, Om002G048020
OG0003466	g45490	Om004G168240, Om004G168230
OG0003481	g47714, g16999	Om001G025000
OG0003482	g5991	Om001G025990, Om002G086120
OG0003483	g36247	Om007G287140
OG0003483	g47765	Om001G027280
OG0003484	g23275	Om001G029290
OG0003485	g9767	Om006G233130
OG0003486	g28875	Om006G243690
OG0003487	g31135	Om005G186770
OG0003488	g41077	Om006G259530
OG0003489	g44107	Om005G220310, Om005G189160
OG0003490	g31300	Om005G189910
OG0003492	g46829	Om008G355190
OG0003493	g7456	Om002G052780, Om005G223250
OG0003494	g1497, g27273	Om001G008370
OG0003495	g1336, g41160	Om003G112280
OG0003496	g891	Om003G113990
OG0003497	g39308	Om006G249510
OG0003498	g5383, g29453	Om004G164190
OG0003499	g5449	Om004G166510
OG0003499	g229	Om006G232910
OG0003500	g256	Om006G233470
OG0003501	g6776	Om002G067190
OG0003502	g47388, g23995, g23992	Om001G007600
OG0003503	g23896	Om001G010540
OG0003504	g32731, g50730	Om001G012680
OG0003505	g40245, g25875	Om001G013700
OG0003506	g50548	Om007G291290
OG0003507	g32490	Om007G291380
OG0003508	g6053	Om002G084300
OG0003509	g47964, g22939	Om001G035990
OG0003510	g22848	Om001G037930
OG0003511	g46767	Om001G027950
OG0003513	g40467	Om002G074850, Om008G355200, Om001G007010
OG0003515	g40726	Om005G212720, Om005G212670, Om007G302820
OG0003517	g25845, g18080	Om003G105180
OG0003521	g37623	Om008G321730
OG0003522	g37583	Om008G322600
OG0003523	g2039, g11216	Om003G121530, Om008G326770
OG0003524	g2697, g287	Om006G234080
OG0003526	g11372	Om006G260080
OG0003527	g65	Om002G062740
OG0003528	g39934, g51191	Om007G281820
OG0003530	g29211	Om007G299010
OG0003531	g12908	Om007G294730
OG0003532	g12465	Om002G049650
OG0003533	g51775	Om008G331950
OG0003534	g2259	Om006G252550
OG0003535	g37173	Om008G336980
OG0003536	g31682	Om005G198140
OG0003536	g27360	Om004G133110, Om004G133080
OG0003537	g31758, g50035	Om005G199800
OG0003538	g50059	Om005G200830
OG0003539	g45973	Om004G143220
OG0003539	g27525	Om005G205170
OG0003540	g32062	Om004G143430
OG0003541	g45851	Om005G207830
OG0003544	g46828	Om008G332550
OG0003545	g51027, g38358	Om004G154630
OG0003546	g51277	Om007G279910
OG0003547	g45750	Om007G297200
OG0003548	g41451	Om007G295160
OG0003549	g12933	Om002G049290
OG0003551	g554, g18567	Om006G239340
OG0003553	g18617	Om006G234740, Om006G234760
OG0003554	g19347	Om006G258300
OG0003554	g19348	Om006G258310
OG0003555	g26281, g19428	Om006G261680
OG0003556	g50270	Om005G205540
OG0003557	g46089	Om004G140730, Om001G032370
OG0003558	g46489	Om004G132420, Om005G197730
OG0003560	g13214	Om003G092350, Om003G092380
OG0003561	g7140	Om002G059950, Om002G059930, Om002G059940
OG0003562	g6990	Om002G063240, Om002G063230
OG0003564	g28030	Om003G095480
OG0003565	g11751	Om002G072730
OG0003566	g43825, g24434, g16966	Om002G076030
OG0003566	g11619	Om005G224340, Om006G263660
OG0003567	g5994	Om002G086060
OG0003569	g27991	Om003G089520
OG0003572	g24508	Om003G102520
OG0003573	g29753	Om004G172130
OG0003574	g4965, g4918	Om007G296550
OG0003575	g29100	Om007G294800
OG0003584	g47696	Om001G024470
OG0003585	g2188, g4871	Om006G251650
OG0003586	g47749, g23394	Om001G026260
OG0003587	g18613, g32838	Om003G116620, Om001G014890, Om005G206400
OG0003588	g29793	Om003G105560, Om003G105540, Om004G173010
OG0003589	g23120, g47871	Om001G032230
OG0003590	g6113	Om002G083820
OG0003594	g27267	Om005G194540
OG0003595	g10412	Om006G270500
OG0003597	g49846	Om005G192210
OG0003598	g12411	Om002G051510
OG0003599	g7407	Om002G054110
OG0003600	g7379	Om002G054900
OG0003601	g25052, g25046, g25092, g5960	Om007G312910, Om007G307700
OG0003603	g23592	Om001G021650
OG0003604	g23628	Om001G020730
OG0003604	g28443	Om003G115520
OG0003605	g11152	Om003G127860
OG0003608	g31081	Om005G185670
OG0003609	g5422	Om004G165790
OG0003610	g214, g9752	Om006G232760
OG0003611	g24190	Om001G002140
OG0003612	g47272	Om001G002320
OG0003613	g10107	Om007G294430
OG0003615	g27670	Om007G289150
OG0003616	g47935	Om001G035230
OG0003617	g40272	Om008G345980
OG0003618	g2367	Om003G100680, Om006G254910
OG0003619	g13107, g7412	Om002G053910, Om002G053930, Om002G053920
OG0003620	g40499	Om008G356460
OG0003621	g40511, g40510	Om008G356730
OG0003621	g11034	Om008G356740, Om008G356750, Om008G356780
OG0003622	g40634	Om005G203660, Om008G360880
OG0003625	g37723	Om001G033190, Om008G319540
OG0003626	g1766	Om003G127890
OG0003627	g52277, g38246, g37628	Om008G321620, Om008G321610
OG0003628	g18855, g18844	Om003G124690
OG0003629	g38231	Om008G323580
OG0003631	g28910	Om006G242710
OG0003632	g49911	Om005G195050
OG0003633	g47, g2547	Om006G229960
OG0003634	g2546	Om006G258330
OG0003634	g19651	Om006G229930
OG0003635	g19314, g2478	Om006G229110
OG0003636	g39489	Om004G157990
OG0003637	g25468	Om004G159900
OG0003638	g39607	Om004G160360
OG0003639	g23211	Om001G030260
OG0003640	g5181, g29304	Om007G301210
OG0003641	g12574	Om002G047080
OG0003642	g10129	Om007G293950
OG0003643	g37331, g51811	Om008G331030
OG0003644	g36636	Om004G129730
OG0003645	g27347	Om005G197560
OG0003646	g50043	Om005G200080
OG0003647	g31831	Om005G201190
OG0003648	g32033	Om005G204870
OG0003650	g18957	Om003G121960
OG0003652	g30992	Om005G183760
OG0003654	g26962	Om005G183050
OG0003655	g45741	Om007G297620, Om002G044460
OG0003656	g45748	Om006G255510, Om006G255500
OG0003657	g13143, g7294, g12274	Om002G056410
OG0003658	g29777	Om004G172620
OG0003659	g406	Om006G236430
OG0003660	g1186, g28725	Om006G247730
OG0003662	g2823, g19542	Om006G266960
OG0003663	g44748	Om005G209120
OG0003665	g45952	Om002G069060, Om004G142710
OG0003666	g44289	Om004G130480, Om008G331540
OG0003667	g7261	Om002G057060
OG0003668	g12236, g7223	Om003G090650, Om003G093610
OG0003670	g13211	Om002G058860, Om002G058850
OG0003671	g7098	Om002G060590
OG0003672	g24373, g24364	Om003G100190
OG0003673	g13495	Om002G073850
OG0003674	g13528, g10280	Om002G075460
OG0003675	g1067	Om003G118740
OG0003675	g31100	Om005G185970
OG0003676	g12460, g47855	Om001G031360
OG0003678	g11900	Om001G004200, Om002G068540
OG0003679	g19263	Om006G256160
OG0003680	g19254	Om006G256000, Om006G255990
OG0003681	g51645	Om008G335440
OG0003682	g11268	Om006G250850
OG0003686	g18422	Om004G135320
OG0003689	g10470, g10471, g6406, g11312	Om001G002020, Om001G002010
OG0003695	g47664, g23556	Om001G022540
OG0003696	g16988	Om001G025640
OG0003697	g23123, g18199	Om001G032180
OG0003698	g47899	Om001G033480
OG0003699	g38127, g874	Om008G331900
OG0003700	g47167, g24337, g2670, g2656	Om007G275810
OG0003701	g10737	Om001G008520
OG0003702	g10559	Om006G272200
OG0003704	g40891	Om005G224950
OG0003705	g51961, g37370	Om008G328960
OG0003707	g26795, g1414	Om003G110270
OG0003709	g1079	Om006G250330, Om001G006650
OG0003710	g29360	Om004G161520
OG0003711	g17533	Om008G344920
OG0003711	g24258	Om001G000370
OG0003712	g40500	Om008G356470
OG0003713	g40483	Om008G355870
OG0003715	g40371	Om008G351530
OG0003717	g25375	Om004G157330, Om004G157980, Om004G157960
OG0003718	g36526	Om003G127810, Om003G095320
OG0003718	g54247	Om005G188660
OG0003719	g5765, g45343	Om004G175030, Om004G175100
OG0003720	g5799	Om004G176050
OG0003721	g40362	Om008G351440
OG0003723	g13469	Om002G072390
OG0003724	g24445	Om003G101320
OG0003726	g39241, g28052	Om008G319450
OG0003727	g37648	Om008G321160
OG0003728	g38224	Om008G324270
OG0003729	g52143	Om008G324290
OG0003730	g18969	Om003G121310
OG0003731	g47315	Om004G174640
OG0003732	g28743	Om006G246120, Om006G246070
OG0003733	g39715	Om007G277770, Om005G181270
OG0003735	g39733	Om007G278170
OG0003736	g37937	Om007G278990
OG0003737	g39760	Om007G278720
OG0003738	g51263	Om007G280190, Om005G183150
OG0003740	g30996	Om005G183860
OG0003741	g37804	Om007G284440
OG0003742	g40156	Om007G285320
OG0003743	g12747	Om007G299730
OG0003744	g16786	Om001G039780
OG0003746	g12502	Om002G048700
OG0003747	g12957, g12448	Om002G049950
OG0003748	g7565, g12983, g12431	Om002G050620
OG0003749	g12421, g12423, g12422	Om002G050870
OG0003750	g11277	Om006G250920, Om006G251680
OG0003752	g31696	Om005G198470, Om005G198460
OG0003753	g27510	Om005G204490
OG0003754	g50323, g32075	Om004G144780
OG0003755	g50351, g27585	Om004G145570
OG0003756	g47503	Om002G070660
OG0003759	g49920	Om005G195080
OG0003760	g31189, g49624	Om005G187720
OG0003761	g26955	Om005G182580
OG0003762	g1203	Om005G203500
OG0003763	g30854	Om005G181160
OG0003764	g30748	Om005G178540
OG0003764	g45260	Om004G158370
OG0003765	g5080	Om007G299180
OG0003766	g30090, g30097, g22343, g22274, g22486, g36091, g22507, g22468, g22287, g36092, g30096, g22485, g22271, g22467, g22506, g22286, g30089	Om007G298970
OG0003767	g9962	Om006G237940, Om005G192900
OG0003768	g326	Om006G234830
OG0003769	g28697	Om006G247910
OG0003771	g1207	Om006G247480
OG0003772	g47856	Om001G031540
OG0003773	g45781	Om005G209670
OG0003774	g44756	Om005G209300
OG0003775	g44357	Om004G133170, Om004G133180
OG0003776	g46478	Om005G197900
OG0003777	g44346	Om004G132320, Om004G132300, Om004G132330
OG0003778	g11949	Om002G067240
OG0003779	g6720	Om002G068230
OG0003781	g6483	Om002G073190
OG0003782	g13571	Om002G076450
OG0003783	g13581	Om002G077600
OG0003784	g54313	Om003G090110
OG0003785	g36713	Om003G090450
OG0003786	g36522	Om003G095490
OG0003787	g36409	Om003G097840
OG0003789	g11284	Om006G252500, Om006G252520
OG0003792	g11257	Om003G120000
OG0003797	g50324	Om003G094540, Om004G144810
OG0003798	g31919, g27458, g50136	Om005G202530
OG0003799	g44804	Om005G210420
OG0003803	g17406	Om003G103280, Om001G004370
OG0003804	g53282	Om007G283870, Om007G283880
OG0003806	g801	Om006G243970
OG0003807	g447	Om007G280460, Om006G268090, Om006G237350
OG0003823	g17052	Om001G022270
OG0003824	g47786, g23314	Om001G028040
OG0003826	g31245	Om008G343320, Om001G011320
OG0003827	g23068	Om001G032990
OG0003828	g32520	Om007G291980, Om007G291990
OG0003829	g32528	Om007G292290
OG0003830	g1681	Om005G216040, Om005G216010
OG0003831	g31228	Om005G188410
OG0003833	g51207	Om007G281620
OG0003835	g27189	Om005G191910
