Orthogroup	Cochlearia_excelsa	Erysimum_linariifolium
OG0002826	g31631	El002G100090
OG0002827	g50002	El002G101590
OG0002828	g50004	El002G101630
OG0002828	g44599, g46011	El004G224800
OG0002829	g50020	El002G102030
OG0002829	g31738	El004G225420
OG0002830	g44514	El004G227110
OG0002830	g31809	El002G102980
OG0002831	g44504	El004G227310
OG0002832	g31924	El002G104900
OG0002832	g46264	El004G229080
OG0002833	g31939	El002G104910
OG0002833	g46265	El004G229090
OG0002834	g50304	El002G109260
OG0002834	g32086	El004G221810
OG0002835	g45780	El004G220280
OG0002835	g32164	El002G111040
OG0002836	g50375	El002G111880
OG0002837	g41550	El004G219180
OG0002837	g50381	El002G112080
OG0002838	g23841, g17220	El003G160480, El007G344790
OG0002840	g22693	El003G142660
OG0002840	g50872	El006G321040
OG0002841	g39799	El006G299660
OG0002841	g49487	El002G087280
OG0002842	g26904	El002G085040, El004G210630
OG0002843	g495	El001G056490
OG0002844	g45675	El001G066560
OG0002845	g41455	El001G061710
OG0002848	g10014	El001G055320
OG0002849	g19410	El001G019160
OG0002849	g534	El001G055610
OG0002850	g403	El005G265700
OG0002851	g18583	El001G056360
OG0002851	g2683	El001G018520
OG0002852	g9974	El001G056450
OG0002853	g396	El007G328960, El007G329000, El007G328980, El007G328900
OG0002855	g12732	El005G235660
OG0002855	g1211	El007G332750, El007G335530
OG0002856	g1208	El001G016580
OG0002856	g39273	El007G332780
OG0002857	g11366	El001G020230, El001G020240
OG0002858	g2635	El001G019110
OG0002859	g28760	El007G331230
OG0002859	g19567	El001G015320
OG0002860	g23081	El003G147930
OG0002860	g14206	El005G273490
OG0002861	g49366	El002G084100
OG0002861	g44667	El004G222780
OG0002862	g46141, g44527	El004G226970
OG0002863	g46557	El004G233640
OG0002863	g31622	El002G099950
OG0002864	g13177, g7235	El005G249400
OG0002865	g12217, g13195	El005G249770
OG0002866	g12209	El005G250070
OG0002866	g54340	El002G139870
OG0002867	g12202	El005G250220
OG0002867	g36684	El002G139750
OG0002868	g7079, g12140	El005G252020
OG0002869	g28048	El002G135050
OG0002870	g10754	El007G332290
OG0002872	g14096	El005G273840
OG0002873	g23418, g47738	El003G152820
OG0002874	g13833	El002G125460
OG0002876	g36389	El002G133320
OG0002877	g2240	El001G025910
OG0002877	g37314	El006G290710
OG0002878	g51945	El006G288830
OG0002878	g2148	El001G027710
OG0002880	g18990	El001G028780
OG0002880	g29712	El001G076490
OG0002884	g17753, g17748, g17751, g53751, g17741	El005G260590, El005G260600
OG0002885	g12061	El005G253860, El003G170380
OG0002886	g5051	El001G064950, El001G064780, El001G064940
OG0002887	g4935	El001G066880
OG0002890	g13827	El005G279170
OG0002890	g47665	El003G155550
OG0002891	g38409	El006G317940
OG0002891	g23397	El003G152590
OG0002892	g38337, g51036	El006G315440
OG0002892	g16940	El003G150920
OG0002893	g16934	El003G150720
OG0002893	g38334	El006G314920
OG0002894	g11464	El001G012650
OG0002894	g23250	El003G150110
OG0002895	g53184	El006G313380
OG0002895	g23220	El003G149730
OG0002896	g23160	El003G175600, El003G148930
OG0002897	g23058	El003G147680
OG0002898	g14102	El005G253390
OG0002899	g32594	El002G119590
OG0002900	g38008	El006G295360
OG0002901	g41007	El004G200460
OG0002902	g40940	El004G199100
OG0002902	g31324	El002G094820
OG0002903	g27296, g27295	El002G099220, El002G099240
OG0002904	g1508	El001G036860
OG0002905	g10433	El001G043170
OG0002906	g40782	El004G195790
OG0002906	g44966, g16790	El003G192500
OG0002907	g28642	El007G334240
OG0002907	g17149	El003G158630
OG0002908	g28676	El007G333550, El003G184560
OG0002909	g13104	El005G245990
OG0002909	g5667	El001G077780
OG0002910	g7367	El005G247340
OG0002911	g7310	El005G248210
OG0002911	g29332	El001G067770
OG0002912	g39444	El007G338960
OG0002913	g23646	El003G157020
OG0002914	g23690	El003G157890
OG0002915	g28682, g39281	El007G333500, El007G333360
OG0002916	g27623	El002G112810, El002G113060
OG0002917	g5336	El001G069570
OG0002918	g469	El001G056900
OG0002919	g5533	El001G074050
OG0002921	g24268	El003G169750
OG0002921	g40703	El007G366540
OG0002924	g40397	El001G006670
OG0002924	g47436	El003G162750
OG0002925	g47448	El003G162550
OG0002926	g40315	El001G008790
OG0002927	g40280	El001G009400
OG0002927	g50717	El002G121780
OG0002928	g32748	El002G122610
OG0002928	g44634	El004G223620
OG0002929	g50241	El002G123420
OG0002930	g51401	El006G297930
OG0002931	g47925, g22984	El003G146660
OG0002932	g22880	El003G145160
OG0002933	g47985	El003G144720
OG0002933	g38445	El006G318850
OG0002934	g47998	El007G337960
OG0002934	g36927	El006G319510
OG0002935	g18307, g17604	El003G142640
OG0002936	g22683	El003G142560, El006G321180
OG0002937	g18318	El003G142440
OG0002938	g18349	El003G142000
OG0002938	g50844	El006G321710
OG0002942	g6510	El005G265640
OG0002943	g14376	El003G192270, El003G192320
OG0002944	g1757	El001G034770
OG0002944	g37730	El006G280380
OG0002945	g44298, g1161	El002G099750, El007G333190
OG0002946	g37656	El006G281740
OG0002947	g11185, g18831	El001G032060, El008G369360
OG0002949	g37550	El006G284230
OG0002949	g37551	El004G205200, El004G205230
OG0002950	g19311	El007G322010
OG0002950	g2472	El001G021700
OG0002951	g52138	El006G284930
OG0002952	g38217	El006G285190
OG0002953	g52121, g37504	El006G285380
OG0002954	g38212	El001G031120
OG0002954	g37500	El006G285450
OG0002955	g13008, g7526	El005G244030
OG0002956	g41372	El001G058850
OG0002957	g28806	El007G330710
OG0002958	g819, g821, g1256, g820	El001G057220, El001G057250
OG0002959	g9720	El001G071650
OG0002960	g19372, g9672, g86	El007G323690
OG0002961	g9633	El007G322630, El001G021040, El002G126230
OG0002962	g54015	El002G114540, El002G114530
OG0002964	g25462, g1474	El001G002820
OG0002964	g45229	El001G002830
OG0002965	g39675, g11063	El007G360320
OG0002966	g11076	El007G360120
OG0002967	g30857	El002G086000
OG0002968	g30859	El002G086060
OG0002968	g11089	El007G359820
OG0002969	g30875	El002G086530
OG0002970	g30880	El002G086640
OG0002971	g49459	El002G086630
OG0002971	g51336	El006G298780
OG0002972	g30912	El002G087300
OG0002972	g39798	El006G299780
OG0002973	g49537	El002G088590
OG0002973	g39862	El006G301330
OG0002974	g51113	El006G304390
OG0002974	g49575	El002G090240
OG0002975	g16915	El006G313590
OG0002976	g5184	El001G066980
OG0002976	g7934	El005G235420
OG0002977	g29296, g5176	El001G066800
OG0002978	g39265	El007G332510
OG0002979	g1013	El007G336770
OG0002979	g17123	El003G157650
OG0002980	g10144	El001G049590
OG0002981	g12923	El005G241320, El001G061410
OG0002982	g37163, g51576	El006G294550
OG0002984	g37177	El006G294010, El006G308160
OG0002985	g38063	El006G293370
OG0002985	g19199	El001G023990
OG0002987	g49959	El002G100160
OG0002988	g50095, g27436	El037G374530, El002G104000
OG0002990	g41526, g44836, g27606	El002G112010
OG0002991	g23761	El003G159000, El003G158990
OG0002993	g49620, g31203	El002G092430, El007G344720, El002G114060, El002G114020
OG0002995	g47342	El003G165270
OG0002995	g26905	El002G085110
OG0002996	g4855	El001G051310
OG0002997	g10179	El007G335910, El001G047430
OG0002998	g5581	El001G074930
OG0002999	g45427	El001G076840
OG0003000	g431	El003G191250, El007G329650
OG0003001	g370	El007G328460
OG0003001	g45475	El001G074620
OG0003002	g854	El007G330700
OG0003003	g31698	El002G101450
OG0003003	g44606	El004G224460
OG0003004	g13225	El005G251180
OG0003005	g24408	El003G172150
OG0003005	g7001	El005G253400
OG0003006	g47138	El003G171520
OG0003006	g6985	El005G253760
OG0003007	g47148	El003G171390
OG0003008	g36364	El002G132540
OG0003008	g6887	El005G255470
OG0003009	g36414	El002G134090
OG0003010	g36487	El002G135430
OG0003011	g11754	El005G265040, El005G265100
OG0003013	g23034	El003G147390
OG0003014	g6032	El003G173380, El003G179040, El005G275570
OG0003015	g13899	El005G278150
OG0003015	g23470	El003G154230
OG0003016	g36516	El002G136120
OG0003017	g18973	El001G029380
OG0003017	g36510, g54215	El002G135950
OG0003019	g12156	El005G251400, El002G138380
OG0003020	g52153	El006G284780
OG0003020	g1955	El001G031560
OG0003021	g45058	El004G213880, El004G213870, El004G213950, El004G213890
OG0003022	g50741	El001G040760, El003G188600
OG0003023	g13276	El005G254020
OG0003023	g12049	El005G254030
OG0003024	g28131, g28132, g28133, g29183	El002G129200
OG0003025	g17157	El003G158810, El003G158840
OG0003028	g22785	El004G209370, El003G143890, El001G006970
OG0003033	g23528	El003G155070
OG0003033	g5922	El005G278650
OG0003034	g47729	El004G225940
OG0003036	g23117	El003G148280
OG0003036	g14285	El005G272740
OG0003037	g47896	El003G147550
OG0003038	g32524	El002G118430, El006G295390
OG0003039	g41045	El004G201800
OG0003041	g44139	El004G200490
OG0003042	g10453	El001G042860, El003G190940
OG0003043	g45098	El004G212690
OG0003044	g31374	El002G095760
OG0003044	g40886	El004G197580
OG0003046	g921	El007G339690
OG0003046	g23590	El003G156130
OG0003047	g9772	El007G326150
OG0003048	g5488	El001G073130
OG0003049	g10898	El003G169350
OG0003049	g40686	El007G366280
OG0003050	g47437	El003G162740
OG0003052	g32769	El002G123120
OG0003053	g40202	El001G011450
OG0003054	g36243	El002G130190
OG0003054	g28117	El007G357390
OG0003055	g27652	El002G113880
OG0003056	g32325, g50461	El002G113930
OG0003057	g22980	El003G146600
OG0003058	g18263	El003G145200
OG0003059	g51498	El006G296000
OG0003060	g40456, g25564	El001G005080
OG0003061	g10867	El007G366560
OG0003062	g25247, g46884	El003G182720
OG0003063	g6442	El005G268140
OG0003063	g24730	El003G178200
OG0003064	g6537, g47044	El005G264760, El003G175160
OG0003065	g11854	El005G260370
OG0003066	g40802	El004G195180
OG0003066	g28238	El004G202720
OG0003067	g37607	El006G283040
OG0003068	g37522, g52132	El001G031390, El006G285030
OG0003069	g37390	El006G287950
OG0003071	g834	El001G014080
OG0003071	g28840	El007G330260
OG0003072	g28811	El007G330680
OG0003073	g10117	El005G240810
OG0003073	g4826	El001G050930
OG0003074	g19388	El001G019670
OG0003075	g2604	El001G019740
OG0003076	g2566	El001G020560
OG0003077	g47489	El003G160610
OG0003077	g22959	El003G146160
OG0003078	g2487	El001G021500
OG0003079	g26866	El002G082980
OG0003080	g39830	El006G300740
OG0003080	g30956	El002G088130
OG0003081	g39905	El007G329410
OG0003081	g39906	El006G302100
OG0003083	g27003	El002G089800
OG0003083	g51176	El006G303190
OG0003084	g13631	El006G306330, El006G306320
OG0003085	g40121	El006G307320, El006G307340, El006G307330
OG0003086	g5230	El001G067690
OG0003087	g12768	El005G237540
OG0003087	g4993	El001G063660
OG0003089	g12535	El005G240680
OG0003090	g4897	El001G061560, El001G061550
OG0003090	g12925	El005G241420, El005G241430
OG0003091	g2459	El001G022040
OG0003093	g44280	El004G234240
OG0003093	g49943	El002G099580
OG0003094	g31681	El002G101130
OG0003094	g46457	El004G231890
OG0003095	g31691	El002G101380, El007G343840
OG0003097	g50327	El002G109700
OG0003098	g27285	El002G098870
OG0003099	g19364, g19363	El001G020450
OG0003100	g26992	El006G302200
OG0003100	g49556	El002G089260
OG0003101	g5155	El001G066610
OG0003102	g45628, g5240	El001G067820, El001G067830
OG0003103	g18597	El007G329350, El001G074130
OG0003104	g404	El005G265710
OG0003105	g2753, g19492	El001G017420, El001G017430
OG0003106	g2490	El001G021440
OG0003107	g360	El007G328280
OG0003108	g739	El001G011780, El004G194940
OG0003108	g41388	El001G059220
OG0003109	g32816	El004G212780, El004G225430
OG0003110	g44312	El004G233200
OG0003111	g13176, g7241	El005G249350, El002G140600
OG0003112	g7555	El005G243440
OG0003112	g12237	El005G249470
OG0003113	g7056	El005G252500, El005G252490
OG0003114	g11967, g6816	El005G256680
OG0003115	g11875	El002G136030
OG0003116	g6525	El005G265020
OG0003117	g17884	El003G178310
OG0003118	g39535	El001G002330
OG0003119	g13706	El005G273670
OG0003120	g47892	El005G273720
OG0003120	g23061	El003G147710
OG0003121	g7203	El005G249990
OG0003121	g27988	El002G139970
OG0003122	g51476	El006G296350
OG0003122	g50553	El002G117340, El002G117320
OG0003123	g2343	El001G024170
OG0003124	g2314	El001G024760
OG0003126	g4037, g10063	El006G290660
OG0003127	g44256	El004G195910
OG0003128	g44049	El004G203100, El004G203250, El004G203200
OG0003130	g7564	El005G243300, El007G343200
OG0003131	g26685, g24826, g35827, g43066, g14338, g39174, g8002, g11587, g3507, g3066, g35515, g24825, g53676, g9316, g6233, g41541, g4888, g44810, g24012, g54242, g47232, g54115, g44194, g54114, g17571, g53261, g30800	El006G304810
OG0003135	g19757, g19706	El028G373680
OG0003139	g23495	El003G154530
OG0003141	g47877	El003G148100
OG0003142	g23014	El003G147000, El005G274630
OG0003143	g47162	El003G171140
OG0003144	g31281	El002G093920
OG0003145	g31282	El002G093940
OG0003145	g40997	El004G200360
OG0003146	g10724	El001G037280
OG0003146	g13694	El002G098530
OG0003147	g10526	El001G041670
OG0003150	g10367	El001G045030
OG0003151	g18127	El003G184140
OG0003152	g40823	El004G194660
OG0003153	g40822	El004G194670
OG0003154	g16792	El003G192430
OG0003154	g40781	El004G195930
OG0003155	g5657	El001G077440
OG0003157	g17122	El007G336960
OG0003157	g23677	El003G157610
OG0003158	g29517, g29515, g5427	El001G071880
OG0003159	g17382	El003G165430
OG0003160	g37039	El007G357720
OG0003161	g22790, g18291	El004G212140, El004G212330
OG0003162	g18055	El004G215020, El004G214990
OG0003164	g24694	El003G177750
OG0003165	g46482	El004G216330, El004G232260
OG0003166	g1861	El001G033390
OG0003167	g52255	El006G282910
OG0003168	g13010	El005G244080, El005G244060, El005G244050
OG0003169	g13057	El005G244760
OG0003169	g29848, g5781	El001G080200
OG0003170	g104	El007G323860
OG0003174	g39645	El001G004040
OG0003175	g49468	El002G086940
OG0003176	g18630	El006G299180
OG0003177	g51160	El006G303460, El006G303440, El006G303450
OG0003178	g5213, g45638	El001G067440
OG0003179	g29325	El001G067540
OG0003180	g10174	El001G047710
OG0003180	g12814	El005G239390
OG0003182	g13009, g7525	El005G244040, El001G081740
OG0003183	g6279, g51761	El003G171610, El006G290810
OG0003184	g38026, g51569	El006G294750, El006G294760
OG0003185	g51705	El006G292030, El006G292020
OG0003186	g31785	El002G102670
OG0003187	g27452, g50127	El002G104540
OG0003188	g27466	El002G105040
OG0003190	g46371	El004G230610
OG0003191	g44387	El003G153560
OG0003191	g17970	El004G229630, El004G229640
OG0003192	g4815	El001G050850
OG0003193	g32258	El002G112780
OG0003194	g38388	El006G317120
OG0003195	g36937	El006G320170
OG0003195	g38519	El006G320520
OG0003196	g31567, g49927	El002G099050
OG0003196	g27287	El001G036330
OG0003197	g49819	El002G095870
OG0003198	g31150	El002G091680
OG0003198	g49651	El004G209290
OG0003199	g13683	El005G272400, El005G272420
OG0003200	g49687	El007G360920
OG0003201	g49461	El002G086770
OG0003204	g5686	El001G078070
OG0003205	g18134, g46111	El003G172910
OG0003206	g10060	El003G150500
OG0003206	g18563, g593	El001G052960
OG0003207	g451	El007G330090
OG0003208	g46317, g17964	El004G229750
OG0003209	g7169	El005G250520
OG0003210	g7166	El005G250630, El005G277240
OG0003213	g12097	El002G120520, El005G252910
OG0003214	g12022	El005G255070
OG0003215	g13311	El005G255900
OG0003216	g6023	El005G276360, El005G276380, El005G276370, El005G276430
OG0003217	g5895	El005G279140
OG0003217	g17044	El003G155470
OG0003218	g36167	El002G138080
OG0003218	g36601	El002G138090
OG0003219	g11880	El002G135920
OG0003220	g6788	El005G257110
OG0003220	g54153	El002G134130
OG0003222	g11285	El001G025880
OG0003222	g36096	El001G025890
OG0003223	g47816	El006G314160, El003G150380
OG0003224	g2178	El001G027230
OG0003225	g18953	El001G030110, El001G027450
OG0003226	g11195	El006G285020
OG0003228	g1782	El001G019300
OG0003230	g10896	El007G366320
OG0003231	g24081	El003G165910
OG0003233	g22698	El001G045690
OG0003234	g40083	El006G306160
OG0003234	g49614	El002G090960
OG0003235	g49868	El002G096750
OG0003236	g31837	El002G103610
OG0003239	g39531	El001G002230
OG0003241	g4843	El004G212710
OG0003243	g43662, g53384, g53960, g35586, g15802, g53280	El003G177550
OG0003247	g36887	El006G317700
OG0003248	g23381	El003G152300
OG0003249	g47803	El003G150710
OG0003250	g16922, g23274	El003G150430
OG0003250	g51040	El006G314370
OG0003251	g47094	El003G173280, El003G173270
OG0003252	g18174, g18180, g18169, g18177, g18172, g18175, g18178, g18176, g18171	El003G148910
OG0003253	g11073, g11068, g11074	El007G360150
OG0003254	g52018	El006G287240
OG0003254	g38192	El006G286480
OG0003255	g31237	El002G093130
OG0003256	g31440	El002G096880
OG0003256	g1571	El001G039590
OG0003257	g10438	El001G043120
OG0003258	g10315	El001G046480
OG0003260	g19045	El001G027340, El005G270390
OG0003262	g47629	El007G338940, El003G156720
OG0003263	g47612	El003G157390
OG0003263	g986	El007G337350
OG0003264	g5379	El001G070380
OG0003265	g29484	El001G071200
OG0003266	g482	El001G056740
OG0003266	g5505	El001G073450
OG0003267	g29596	El001G073620
OG0003268	g24165	El003G167660, El003G167730, El003G167720, El003G167710
OG0003270	g50744	El002G124840, El002G124810, El002G124800
OG0003271	g50449	El002G113680
OG0003273	g50549	El002G117290
OG0003273	g32478	El006G296330
OG0003274	g13734	El005G274800
OG0003275	g22983	El003G146630
OG0003276	g6024	El005G276320
OG0003277	g22918	El003G145630
OG0003277	g13960	El005G276670
OG0003278	g18331	El003G142220
OG0003279	g18013, g18332	El003G142210
OG0003280	g37138	El006G295500
OG0003280	g27726	El002G118930
OG0003281	g18395, g16730	El007G363610
OG0003282	g6356, g13572	El003G183530, El005G270150
OG0003283	g24796	El003G178620, El003G180760
OG0003283	g11679	El005G268430
OG0003284	g47011	El003G176730
OG0003286	g24504, g24502	El003G174450
OG0003286	g11801	El005G261960, El005G261900, El006G317080
OG0003287	g17708, g24495	El003G174150
OG0003288	g50831	El007G343180
OG0003289	g37525	El006G284950
OG0003292	g810	El001G057570, El001G013610
OG0003293	g19420	El001G018170
OG0003293	g9818	El007G327220
OG0003294	g29542	El007G325720, El001G072230
OG0003295	g11375	El001G019580
OG0003295	g9697	El007G324370
OG0003296	g33	El007G322620
OG0003296	g2526	El001G021060
OG0003297	g2512	El001G021210
OG0003298	g39684	El007G360110
OG0003299	g39808	El006G299570
OG0003299	g26953	El002G087220
OG0003300	g51183	El006G302900
OG0003301	g40132, g40134	El006G308130, El006G308110
OG0003302	g38278	El006G311830
OG0003302	g23196	El003G149440
OG0003303	g29326, g45635	El001G067560
OG0003304	g7537	El005G243870
OG0003305	g29155, g5015	El001G064070
OG0003306	g7739	El005G239600
OG0003307	g4679	El001G049210
OG0003307	g12843	El005G239990
OG0003308	g7579	El005G242910
OG0003309	g17178	El007G349210, El003G159410
OG0003310	g31680	El002G101120
OG0003311	g27367	El002G101280, El007G358180
OG0003312	g46063	El004G225750
OG0003312	g31770	El002G102490
OG0003313	g31755	El004G226000
OG0003316	g46427	El001G045000, El002G107210, El002G107230
OG0003317	g50249, g27523	El002G107700
OG0003318	g50284	El002G108610, El002G108600
OG0003319	g32139	El002G110790
OG0003319	g27582	El002G110240, El002G110780
OG0003320	g32224	El002G112390
OG0003321	g38336	El006G315270
OG0003321	g47799	El003G150870
OG0003324	g5133	El001G066340
OG0003326	g5588	El001G075160
OG0003327	g29713	El001G076510
OG0003328	g18579, g18577, g18575	El001G056040, El001G018970
OG0003329	g41604	El004G218380
OG0003330	g44723	El004G221130
OG0003330	g27574	El002G110070
OG0003331	g13613	El004G230800
OG0003332	g31854	El002G103760
OG0003333	g46105	El004G226310
OG0003333	g50041	El002G102580
OG0003334	g46480	El004G232250, El004G232240
OG0003335	g27351	El002G100810
OG0003336	g13163, g13164	El005G249240
OG0003337	g6967	El005G254040
OG0003337	g54036	El002G131330
OG0003338	g11833	El005G261040
OG0003339	g7129	El005G251410
OG0003340	g18989	El001G028800
OG0003341	g2040	El007G357950, El007G357940, El001G029610, El001G029630
OG0003342	g1991	El001G030300
OG0003343	g36047	El003G187850
OG0003344	g17527	El003G192710, El003G192690
OG0003349	g8164, g15510, g40541, g36011, g22225, g32954, g15511, g23504, g53060, g34999, g36361, g35733, g26792, g16492, g21123, g35732, g39497, g27681, g654, g43397, g48857, g11931, g3362, g35475, g32955, g53167, g15643, g36904, g6520, g15653, g15652, g35253, g34271, g25344, g25463, g10604, g40542, g36010, g8165, g16493, g25540, g32940, g32946, g32943, g44896	El002G131210
OG0003350	g23313	El003G151280
OG0003351	g17288	El003G162880
OG0003352	g5050	El001G064800
OG0003355	g10243	El004G212230, El004G212370, El004G212060, El004G212130, El001G080590, El004G212110, El004G212040
OG0003356	g7422	El005G245980
OG0003360	g16924, g23277	El003G150530
OG0003361	g20178, g8144	El051G375550
OG0003361	g19731, g19779, g19981	El036G374370
OG0003362	g23153	El003G148830
OG0003363	g18203	El005G272520
OG0003364	g47897	El003G147540, El001G002690
OG0003365	g24361, g23159	El003G148920
OG0003366	g51503	El006G295910
OG0003367	g10734	El001G037090, El004G194920
OG0003368	g25065, g25042	El001G038000, El007G354790, El007G355260, El007G355020, El001G000920
OG0003369	g1558	El001G038860
OG0003369	g4457, g36689	El003G190160
OG0003370	g10607	El001G039920
OG0003371	g16837	El003G191530
OG0003371	g1625	El001G042520
OG0003372	g16888	El003G189590
OG0003372	g10379	El001G044520
OG0003373	g46774	El003G186260
OG0003374	g45116	El004G211560
OG0003374	g23620	El003G156520
OG0003375	g16788	El004G195510
OG0003376	g47564, g23728	El003G158550
OG0003377	g39328	El003G173480
OG0003378	g47505, g47506	El003G160360, El003G183370
OG0003379	g1008	El007G336930, El003G157630
OG0003380	g1138, g39290, g28659	El007G333790
OG0003381	g39288	El007G333680
OG0003382	g29508	El007G325270, El001G071760
OG0003383	g423	El007G329420
OG0003384	g17456	El003G167380
OG0003385	g24054, g17378	El007G361040, El003G165370
OG0003387	g40309	El001G008960
OG0003389	g51412	El006G297770
OG0003390	g32462	El002G116720, El002G116730
OG0003391	g18256, g22910	El003G145500
OG0003392	g22784, g18297	El003G143870
OG0003393	g18300	El003G143790
OG0003394	g46818	El001G058000
OG0003395	g47341	El003G165490
OG0003396	g43177, g40360	El001G007660
OG0003397	g40567	El007G363700
OG0003398	g24890	El003G179280
OG0003399	g52014	El003G176670
OG0003400	g17813, g47020	El003G176190, El003G176290, El003G176240, El003G176230
OG0003402	g47104	El003G173010
OG0003403	g18747	El001G035240, El006G279940
OG0003404	g37720	El006G280640
OG0003405	g1961	El001G031410
OG0003406	g10651	El001G039010
OG0003406	g10652	El001G038890
OG0003407	g13005	El005G243930
OG0003408	g19387	El001G019700
OG0003409	g9680, g94	El007G323750, El001G020040
OG0003411	g45241	El001G003050
OG0003412	g30910	El002G087290
OG0003413	g39904, g51218	El006G302090
OG0003414	g29714	El001G076520
OG0003415	g7935	El005G235410
OG0003416	g29198	El001G065100
OG0003417	g12572, g4691	El005G240070
OG0003418	g12855, g7711	El005G240170, El001G049520
OG0003419	g29079	El001G061510
OG0003421	g37164	El004G216690
OG0003422	g51633	El006G293120
OG0003422	g2346	El001G024140
OG0003424	g38098	El006G291570
OG0003424	g2307	El001G024900
OG0003425	g31602	El002G099540
OG0003426	g31692, g49995	El002G101390
OG0003427	g27478	El002G105280
OG0003427	g7428	El005G244780
OG0003428	g50167, g31968	El001G012130
OG0003429	g31971	El002G105530
OG0003430	g32074	El002G109630
OG0003431	g32130	El002G110280
OG0003432	g50384	El002G112120
OG0003433	g38343	El006G315810
OG0003435	g25165	El007G335520
OG0003436	g31185	El002G092320
OG0003437	g27395, g13348	El007G343160, El003G148670, El004G230620
OG0003438	g7925	El005G235730
OG0003438	g45676	El001G066520
OG0003439	g28985	El001G063430
OG0003440	g5969	El001G062840
OG0003441	g373	El007G328520, El007G328510
OG0003442	g330	El007G327750, El001G017570, El001G017600
OG0003443	g520	El001G055890
OG0003444	g19489, g2762, g50663	El001G017620
OG0003445	g41334	El001G013830
OG0003448	g44322	El004G232960, El002G100350
OG0003449	g12268	El005G248630
OG0003450	g13189	El005G249440
OG0003451	g13291	El005G254630
OG0003452	g6906	El005G255170
OG0003454	g6160	El005G272890
OG0003455	g18213	El003G147810
OG0003456	g5886	El005G279420
OG0003457	g2258	El001G025860
OG0003457	g38121	El006G290770
OG0003458	g1908	El007G344080, El001G032230
OG0003459	g36701	El002G140170
OG0003459	g54334	El005G249640
OG0003460	g46971	El002G125260
OG0003464	g12532	El005G240720
OG0003466	g45490	El001G073940, El001G073950
OG0003481	g47714	El003G153340
OG0003482	g5991	El005G277170
OG0003483	g36247	El002G130270
OG0003483	g47765	El003G151890
OG0003484	g23275	El003G150440
OG0003485	g9767	El003G149090
OG0003487	g31135	El002G091490
OG0003488	g41077	El004G205160, El004G205130
OG0003489	g44107	El004G201470, El002G093520
OG0003490	g31300	El002G094190
OG0003491	g10485	El001G042430
OG0003492	g46829	El004G214550, El003G185040
OG0003493	g7456	El005G245210
OG0003493	g13597	El005G245190
OG0003494	g1497, g27273	El002G098480
OG0003495	g1336	El007G342800
OG0003496	g891	El007G340720
OG0003497	g47563	El007G334410, El003G158560
OG0003498	g5383, g29453	El001G070470
OG0003499	g5449	El001G072390
OG0003499	g229	El007G325910
OG0003500	g256	El007G326420
OG0003501	g6776	El005G257310
OG0003502	g47388	El003G164270
OG0003502	g23995	El003G183380
OG0003503	g23896	El003G161530
OG0003504	g32731, g50730	El002G122210
OG0003505	g40245, g25875	El001G010410
OG0003506	g50548	El002G117280
OG0003507	g32490	El002G117390
OG0003508	g6053	El005G275150
OG0003508	g22982	El003G146620
OG0003509	g47964	El005G276250, El005G276220, El005G276230
OG0003509	g22939	El003G145910
OG0003510	g22848	El003G144870
OG0003511	g46767	El003G186510
OG0003512	g36183	El002G128740
OG0003513	g40467	El001G004740
OG0003515	g40726	El007G366240, El005G271220, El003G169910
OG0003517	g25845, g18080	El003G179740, El003G179730
OG0003519	g46257	El005G267380
OG0003520	g13463	El002G114040
OG0003521	g16812	El003G192020
OG0003522	g37583	El006G283370, El002G131890
OG0003523	g2039, g11216	El001G029650
OG0003524	g2697	El001G018410
OG0003524	g287	El007G326980
OG0003525	g45531	El001G071640
OG0003526	g128	El007G324280
OG0003526	g11372	El001G019590
OG0003527	g65	El007G323360, El007G349270
OG0003528	g39934, g51191	El006G302530
OG0003529	g17107	El003G157350
OG0003530	g29211	El001G065360
OG0003530	g7869	El005G236650
OG0003531	g12908	El001G061060
OG0003532	g12465	El005G242220
OG0003533	g51775	El004G199700, El006G290490
OG0003534	g2259	El006G290740
OG0003535	g37173	El006G294190, El007G348640
OG0003536	g31682	El002G101140
OG0003537	g31758	El002G102370
OG0003538	g50059	El002G103190
OG0003539	g45973	El004G223850
OG0003539	g27525	El002G107760
OG0003540	g32062	El002G108490
OG0003541	g45851	El004G221900
OG0003543	g27618	El002G112600
OG0003544	g46828	El007G352480, El007G352430, El007G353270, El007G352510, El003G181370
OG0003546	g51277	El006G300360
OG0003547	g45750	El001G063640
OG0003548	g41451	El001G061640, El001G061630
OG0003549	g12933	El005G241900, El007G345420
OG0003550	g10240	El007G347660
OG0003551	g554, g18567	El001G054820, El001G054990, El001G054900, El001G055020, El001G054950, El001G054830
OG0003553	g18617	El007G327590, El004G204620
OG0003554	g19347	El001G020830
OG0003555	g19428	El001G018300
OG0003556	g50270	El002G108100
OG0003557	g46089	El004G226080
OG0003558	g46489	El004G232340, El002G100760
OG0003559	g49967	El004G233010, El002G100330
OG0003560	g13214	El002G139250, El005G250730
OG0003561	g7140	El005G251200
OG0003562	g6990	El005G253640
OG0003563	g6849	El005G256290
OG0003564	g28030	El002G136330
OG0003565	g17770	El003G175720
OG0003565	g11751	El005G265530, El005G265450
OG0003567	g5994	El005G277090, El005G277100, El006G312470
OG0003568	g18126	El001G009050
