Orthogroup	Cochlearia_excelsa	Aethionema_saxatile
OG0002786	g46878, g25245	As004G091990
OG0002786	g13588	As011G261140
OG0002787	g46863	As004G092210
OG0002787	g11650	As011G258720
OG0002788	g47048	As004G095570
OG0002789	g47067, g17714	As004G095840
OG0002790	g11822, g13418, g6593	As011G254310, As004G096070
OG0002791	g6636	As004G096460
OG0002792	g46680	As004G097100
OG0002793	g37707, g50808	As005G099990
OG0002793	g1772	As012G288160
OG0002794	g11184	As005G101850
OG0002795	g37570	As005G102310
OG0002797	g2126	As012G284220
OG0002797	g37440	As005G105270
OG0002798	g37407	As005G105660
OG0002799	g5830, g45288, g51706	As005G106610
OG0002800	g5721, g45364, g13485	As005G108500
OG0002801	g738	As005G112300, As010G227050
OG0002802	g41374, g750, g28905	As005G112600
OG0002803	g2806	As010G224010
OG0002803	g1227	As005G115960
OG0002804	g2584	As010G221140
OG0002806	g39513	As008G198160
OG0002806	g25421	As006G122540
OG0002807	g39633, g45204, g49417	As006G123850
OG0002808	g51300	As006G126320
OG0002808	g30911	As008G195220
OG0002809	g39846, g30978	As006G127320
OG0002810	g31016	As006G127830
OG0002812	g49693	As008G190700
OG0002813	g5190	As006G132910
OG0002814	g7894	As006G135200
OG0002815	g29130	As009G203420
OG0002817	g7770	As006G137530
OG0002817	g41472	As009G204350
OG0002818	g12836, g7722	As006G138270
OG0002819	g12924, g12500	As006G139750
OG0002820	g7646, g12486	As006G140110
OG0002822	g7751	As006G144050
OG0002823	g19219, g37161	As006G144770
OG0002824	g2324, g51674	As006G146920
OG0002825	g46592	As010G243950
OG0002825	g27306	As007G152100
OG0002826	g46542	As010G243210
OG0002826	g31631	As007G152490
OG0002827	g50002	As007G153850
OG0002828	g50004	As007G153940
OG0002828	g44599, g46011	As010G241060
OG0002829	g31738	As007G154360
OG0002830	g44514	As010G238970
OG0002830	g31809	As007G155230
OG0002831	g44504	As010G238770
OG0002832	g31924	As007G156660
OG0002832	g46264	As010G237250
OG0002833	g31939	As007G156670
OG0002833	g46265	As010G237240
OG0002834	g50304, g32086	As007G159790
OG0002835	g45780	As010G232250
OG0002835	g32164	As007G160850
OG0002836	g50375	As007G161170
OG0002837	g41550, g50381	As007G161340
OG0002838	g23841, g17220	As007G162790
OG0002840	g22693, g50872	As007G180880
OG0002841	g39799, g49487	As008G195240
OG0002842	g26904	As008G197280, As008G197290, As008G197270
OG0002843	g495	As009G217030
OG0002845	g41455, g7654	As009G204620
OG0002846	g1354, g46810, g4672	As009G207360
OG0002847	g27977, g54373	As009G211870, As009G211860
OG0002848	g10014, g11380	As009G216240
OG0002849	g19410	As010G221970
OG0002849	g534	As009G216340
OG0002850	g403	As009G218290
OG0002851	g18583	As009G216910
OG0002851	g2683	As010G222370
OG0002852	g9974	As009G216990
OG0002853	g396	As009G218380
OG0002855	g12732, g1211	As009G219680
OG0002856	g1208	As009G219710, As010G223780
OG0002857	g11366	As010G221240
OG0002859	g19567	As010G224720
OG0002860	g23081, g14206	As010G226110, As011G263240
OG0002861	g49366, g44667	As010G233890
OG0002862	g46141, g44527	As010G239100
OG0002863	g46557, g31622	As010G243440
OG0002864	g13177, g7235	As011G245390
OG0002865	g12217, g13195	As011G245720
OG0002866	g54340	As011G245990
OG0002867	g12202	As011G246110
OG0002867	g36684	As012G269170
OG0002868	g7079, g12140	As011G247630, As012G270140
OG0002869	g28048	As012G271540
OG0002870	g10754	As011G260220, As011G260320, As011G260230, As011G260250
OG0002872	g23978, g14096	As011G263520
OG0002874	g13833, g23576	As011G267620
OG0002876	g36389	As012G272980
OG0002877	g2240, g37314	As012G281230
OG0002878	g2148	As012G282870
OG0002880	g18990, g29712	As012G283930
OG0002890	g13827	As011G267320
OG0002890	g47665	As001G000270
OG0002891	g38409	As007G179070
OG0002891	g23397	As001G002500
OG0002892	g38337, g51036	As007G176760
OG0002892	g16940	As001G004370
OG0002893	g16934, g38334	As001G004560
OG0002894	g11464	As010G226250
OG0002894	g23250	As001G005380
OG0002895	g53184	As006G131970
OG0002895	g23220	As001G005770
OG0002896	g23160	As001G012130
OG0002897	g23058	As001G014440
OG0002898	g14102	As001G014610
OG0002899	g32594	As001G016720
OG0002900	g38008	As004G079980
OG0002901	g41007	As001G021000
OG0002902	g40940	As001G021920
OG0002903	g27296, g27295	As001G022250
OG0002904	g1508	As001G023030
OG0002905	g10433	As001G026940
OG0002906	g40782, g44966, g16790	As001G031240
OG0002907	g28642	As002G049140
OG0002907	g17149	As002G032540
OG0002908	g28676	As002G034870, As002G049680
OG0002909	g13104	As002G036070
OG0002909	g5667	As009G214320
OG0002910	g7367	As002G037490
OG0002911	g7310, g29332	As002G039050
OG0002912	g39444	As002G045830
OG0002913	g23646	As002G046250
OG0002914	g23690	As002G047770, As006G134250
OG0002915	g28682, g39281	As002G049850
OG0002916	g27623	As002G050530
OG0002917	g5336	As002G051300
OG0002918	g469, g45497	As002G054630
OG0002919	g5533	As002G055050
OG0002920	g5564	As002G055540
OG0002921	g24268	As003G055710
OG0002921	g40703	As004G091060
OG0002922	g24242	As004G089490
OG0002923	g23996	As003G059680
OG0002924	g40397	As004G085010
OG0002924	g47436	As003G060750
OG0002925	g23930	As003G060930
OG0002926	g40315	As003G062430, As004G083750
OG0002927	g40280	As004G083280, As004G083270
OG0002927	g50717	As003G062980
OG0002928	g32748	As003G063290
OG0002928	g44634	As010G234620
OG0002929	g50241	As003G063510
OG0002931	g47925, g22984	As003G071890
OG0002932	g22880	As003G073230
OG0002933	g47985, g38445	As003G073620
OG0002934	g47998	As003G074190
OG0002934	g36927	As007G180010
OG0002936	g22683	As003G075770
OG0002937	g18318, g22672	As003G075880, As003G075870
OG0002938	g18349	As003G076270
OG0002938	g50844	As007G182120
OG0002939	g40218, g25941	As004G080670
OG0002940	g40213, g25942	As004G080970
OG0002942	g6510	As011G255680
OG0002943	g14376	As004G097800
OG0002944	g1757	As012G288390
OG0002944	g37730	As005G099470
OG0002945	g44298, g1161	As011G262010, As005G099620
OG0002946	g37656	As005G100780
OG0002947	g11185, g18831	As012G286270
OG0002949	g37550, g37551	As005G102770
OG0002950	g19311	As005G102900, As005G120840
OG0002951	g52138, g52140	As005G103310
OG0002952	g38217	As005G103620
OG0002953	g52121, g37504	As005G103850
OG0002954	g38212	As005G103920, As012G285590
OG0002956	g41372	As005G112690
OG0002957	g28806	As005G114440
OG0002958	g819, g821, g1256, g820	As007G178300, As005G115210, As005G115130, As005G115110
OG0002959	g9720	As005G118360
OG0002960	g19372, g9672, g86	As005G119270
OG0002961	g9633	As005G120200
OG0002962	g37634, g18620, g54015	As006G120960
OG0002964	g25462, g1474	As006G123120
OG0002965	g39675, g11063	As006G124330
OG0002966	g11076, g39683	As006G124460
OG0002967	g30857	As008G196470
OG0002968	g30859	As008G196450
OG0002968	g11089	As006G124680
OG0002969	g30875	As008G196060
OG0002970	g30880	As008G195970
OG0002971	g49459	As008G195980
OG0002971	g51336	As006G125540
OG0002972	g30912	As008G195210
OG0002972	g39798	As006G126330
OG0002973	g49537	As008G193960
OG0002973	g39862	As006G127510
OG0002974	g51113, g49575	As006G129330
OG0002975	g16915	As006G132020
OG0002976	g5184, g7934	As006G133020
OG0002977	g29296, g5176	As009G200420
OG0002978	g39265	As006G134070
OG0002979	g1013, g17123	As006G134610
OG0002980	g10144	As009G206310
OG0002981	g12923	As006G139720
OG0002982	g37163, g51576	As006G144850
OG0002984	g37177	As006G145240
OG0002985	g38063	As006G145790, As006G145780
OG0002986	g5337	As006G146440, As006G146490, As012G283220, As012G283210
OG0002987	g49961, g31637, g49959	As007G152650
OG0002988	g50095, g27436	As007G155970
OG0002990	g27606	As007G161280
OG0002991	g23761	As007G165450
OG0002993	g49620, g31203	As008G188150
OG0002995	g26905	As008G197220
OG0002996	g4855	As009G211470
OG0002996	g4856, g10105	As009G205440
OG0002997	g10179	As009G207200
OG0002998	g5581	As009G211120
OG0002999	g45427	As009G213270
OG0003000	g431	As009G217860
OG0003001	g370	As009G218700
OG0003003	g31698, g44606	As010G241350
OG0003004	g13225	As011G246950
OG0003005	g24408	As012G274670
OG0003005	g7001	As011G248900
OG0003006	g47138	As012G274340
OG0003006	g6985	As011G249140
OG0003007	g47148	As011G249150
OG0003008	g36364	As012G273130
OG0003008	g6887	As011G250370
OG0003009	g36414	As012G272550
OG0003010	g36487	As012G271740
OG0003011	g11754	As011G255440
OG0003012	g6460	As011G256320, As011G256300
OG0003013	g23034	As011G263620
OG0003014	g6032	As011G264920
OG0003015	g13899	As011G266410
OG0003016	g36516	As012G271370
OG0003017	g36510, g54215	As012G271460
OG0003019	g12156	As012G282450, As012G282290
OG0003020	g52153, g1955	As012G285870
OG0003033	g23528	As001G000700
OG0003033	g5922	As011G266880
OG0003034	g47729	As002G038300
OG0003034	g23441	As001G002000, As001G001990, As001G001960, As001G001980, As001G001970
OG0003036	g23117, g14285	As001G012870
OG0003038	g32524	As001G015900
OG0003039	g41045	As001G020340
OG0003040	g44102	As001G020420
OG0003041	g44139	As001G021030
OG0003042	g10453	As001G026770
OG0003044	g31374	As008G185100
OG0003044	g40886	As001G031920
OG0003045	g12300, g13127	As002G037950, As002G037960
OG0003046	g921, g23590	As002G045170, As002G045180
OG0003047	g241	As005G117310
OG0003048	g5488	As002G054230
OG0003049	g10898	As003G055940
OG0003049	g40686	As004G089930
OG0003050	g47437	As003G060760
OG0003052	g32769	As003G063420
OG0003053	g40202	As004G080710
OG0003054	g36243	As003G065530
OG0003054	g28117	As004G082430
OG0003055	g51393	As004G081510
OG0003055	g27652	As003G068720
OG0003057	g22980	As003G071950
OG0003058	g18263	As003G073190
OG0003059	g51498	As004G078830
OG0003060	g40456, g25564, g17817	As004G085950
OG0003061	g10867	As004G091040
OG0003062	g25247, g46884	As004G091700
OG0003063	g6442	As011G256870
OG0003063	g24730	As004G093720
OG0003065	g6603, g11854	As004G096320
OG0003066	g40802	As005G098610
OG0003066	g28238	As012G288910
OG0003067	g37607	As005G101750
OG0003068	g37522, g52132	As005G103410
OG0003069	g37390	As005G106180
OG0003070	g28913	As005G112350
OG0003071	g834	As010G225530
OG0003072	g28811	As005G114410
OG0003073	g10117	As005G117990, As006G139190
OG0003074	g19388	As010G221490
OG0003075	g2604	As010G221440
OG0003076	g2566	As005G119750
OG0003079	g26866	As008G199130
OG0003080	g39830	As006G127070
OG0003080	g30956	As008G194380
OG0003081	g39905	As006G127990, As007G162840, As009G218020
OG0003082	g11581	As006G128060
OG0003083	g27003	As008G192920
OG0003083	g51176	As006G128710
OG0003085	g40121	As006G130800
OG0003086	g45629	As011G265890
OG0003087	g12768	As006G136280
OG0003087	g4993	As009G203210
OG0003088	g6578, g11813, g41802, g11810	As006G138140
OG0003089	g12535	As006G139090
OG0003090	g4897	As009G204770, As009G204780
OG0003090	g12925	As006G139800, As006G139810
OG0003091	g37263	As006G147120, As006G147140
OG0003091	g2459	As012G278880
OG0003092	g20044, g20047, g34723, g22137, g48984, g20480, g34718, g21275, g20470, g22141, g54397, g22133, g22139, g22143, g22134, g54399, g54396, g22142, g22135, g21268, g20036, g48983, g20474, g22264, g22136, g54398, g3772, g22138, g20020, g22144, g22140, g20459, g20042, g48980	As208G297030, As006G149250
OG0003093	g44280	As010G243940
OG0003093	g49943	As007G152110
OG0003094	g31681	As007G153470
OG0003095	g31691	As007G153700
OG0003097	g50327	As007G160110
OG0003098	g27285	As008G182610, As008G182620
OG0003099	g19364, g19363	As010G221090, As008G186160
OG0003100	g26992	As008G193240
OG0003101	g5155	As009G200630
OG0003102	g45628, g5240	As009G211480
OG0003103	g18597	As009G218070
OG0003104	g404	As009G218280
OG0003106	g2490	As010G220410
OG0003108	g739	As010G227010
OG0003109	g32816	As010G240450
OG0003111	g13176, g7241	As011G245300, As012G268350
OG0003112	g7555	As012G268700, As011G245490
OG0003113	g7056	As011G248020
OG0003114	g11967, g6816	As011G251340, As011G251350, As012G272710
OG0003115	g11875	As012G271390, As011G253330
OG0003116	g6528, g6525	As011G255420
OG0003117	g6437, g17884	As011G257560
OG0003118	g39535	As011G259380
OG0003119	g13706, g14198	As011G263390
OG0003120	g47892	As011G263430
OG0003121	g7203, g27988	As012G269010
OG0003122	g51476, g50553	As012G274910
OG0003124	g51685	As012G278130
OG0003139	g23495	As001G001020
OG0003141	g47877	As001G013880, As001G013890
OG0003142	g23014	As001G015570
OG0003143	g47162	As001G018020
OG0003144	g31281	As008G186710
OG0003145	g31282, g40997	As001G021160
OG0003146	g10724	As001G023390
OG0003147	g10526	As001G025910
OG0003148	g16821	As004G097620
OG0003149	g18599	As001G027350
OG0003150	g10367	As001G027700
OG0003151	g18127	As001G029590
OG0003152	g40823	As001G030740
OG0003153	g40822	As001G030750
OG0003154	g16792	As004G097870
OG0003154	g40781	As001G031280
OG0003155	g5657	As009G214140, As002G036180
OG0003156	g36284, g42124	As002G042480
OG0003157	g17122	As006G134590, As002G047110
OG0003158	g29517, g29515, g5427	As002G053170
OG0003159	g47343	As004G086760
OG0003159	g17382	As003G058570
OG0003160	g37039	As004G082280
OG0003160	g32292	As003G065950
OG0003161	g22790, g18291	As003G074400
OG0003162	g18055	As004G079140
OG0003164	g24694	As004G094040
OG0003165	g46482	As010G242190, As004G096240
OG0003166	g1861	As012G287420
OG0003167	g52255	As005G101620, As005G101630
OG0003168	g13010	As005G106450, As005G106500
OG0003169	g13057, g29848, g5781	As005G107740
OG0003170	g104	As005G119110
OG0003171	g39504	As006G122380
OG0003174	g39645	As006G124110
OG0003175	g49468	As008G195660
OG0003176	g18628, g18630	As006G125980, As006G125970
OG0003177	g51160	As006G128880
OG0003178	g5213, g45638	As009G200280
OG0003179	g29325	As009G200340
OG0003180	g10174	As009G207110
OG0003180	g12814	As006G137880
OG0003181	g7702, g12869	As006G138760
OG0003182	g13009, g7525	As006G142190
OG0003183	g6279, g51761	As006G143710
OG0003184	g38026, g51569	As006G144650
OG0003185	g51705	As006G148040
OG0003186	g31785	As007G154910
OG0003186	g27408	As010G239450
OG0003187	g27452, g50127	As007G156370
OG0003188	g27466	As007G156780
OG0003190	g46371	As010G235870
OG0003191	g44387	As007G158880
OG0003193	g32258	As007G162010
OG0003194	g38388	As007G178260
OG0003195	g36937, g38519	As007G180480
OG0003196	g31567	As008G182440
OG0003197	g49819	As008G184830
OG0003198	g49651	As008G189210
OG0003199	g13683	As008G190490
OG0003200	g49687	As008G190800
OG0003201	g49461	As008G194490
OG0003202	g50865	As008G197050
OG0003203	g7710	As009G206950
OG0003204	g5686	As009G214600
OG0003205	g18134, g46111	As011G256540
OG0003206	g18563, g593	As009G215340
OG0003207	g451	As009G217560
OG0003208	g17964	As010G236670, As010G236680
OG0003209	g7169	As011G246360
OG0003210	g7166	As011G246440
OG0003213	g12097, g28015	As011G248330
OG0003214	g12022	As011G250070
OG0003215	g6865, g11999	As011G250690
OG0003216	g6023	As011G265500
OG0003217	g5895	As011G267290
OG0003218	g36167, g36601	As012G270030
OG0003219	g11880	As012G271490
OG0003220	g54153	As012G272530
OG0003221	g51354, g51355	As012G275000
OG0003222	g11285, g36096	As012G281200
OG0003223	g23265, g47816	As012G282130
OG0003224	g2178	As012G282320, As012G282440
OG0003225	g18953	As012G284760
OG0003226	g1962, g11195	As012G285770
OG0003247	g36887	As007G178960
OG0003249	g47803	As001G004570
OG0003250	g16922, g23274, g51040	As001G004950
OG0003251	g47094	As001G010070
OG0003252	g18174, g18180, g18169, g18177, g18172, g18175, g18178, g18176, g18171	As001G012160
OG0003253	g11073, g11068, g11074	As006G124430, As006G124420, As001G012340
OG0003254	g52018	As001G012950, As001G013440
OG0003254	g38192	As005G104800, As001G012960
OG0003255	g31237	As004G078910
OG0003256	g31440, g1571	As001G024690
OG0003257	g10438, g16854	As001G026920
OG0003258	g10315	As001G028150
OG0003260	g19045	As002G043840
OG0003261	g905	As002G044920
OG0003262	g47629	As002G045810
OG0003263	g47612	As006G134380
OG0003263	g986	As002G046720
OG0003264	g5379	As002G051950
OG0003265	g29484	As002G052510
OG0003266	g482	As009G217180
OG0003266	g5505	As002G054550
OG0003267	g29596	As002G054690
OG0003268	g24165	As003G057170
OG0003269	g40412	As003G063720, As003G063650, As003G063670, As003G060450, As004G085330
OG0003270	g50744	As003G064000
OG0003271	g50449	As003G068290
OG0003272	g25929	As003G071130
OG0003273	g32478	As012G274890
OG0003275	g22983	As003G071920
OG0003276	g22926	As003G072620
OG0003276	g6024	As011G265520
OG0003277	g22918, g13960	As003G072780
OG0003278	g18331	As003G076070
OG0003279	g18013, g18332	As003G076080
OG0003280	g37138	As004G079190
OG0003282	g6356, g13572	As004G092460
OG0003283	g24796	As004G093520
OG0003284	g47011	As004G094590
OG0003285	g24608, g47706	As004G094820
OG0003286	g24504, g24502, g11801	As004G095820
OG0003287	g17708, g24495	As004G096020
OG0003289	g37525	As005G103340
OG0003290	g5802	As005G107020
OG0003291	g18494	As008G189290
OG0003291	g41893, g3284, g43928, g32881, g18672, g53160, g35659	As005G112190
OG0003291	g25200, g25562, g37681, g24789	As008G189300
OG0003292	g810	As005G113660, As010G225920
OG0003293	g19420	As010G222620
OG0003293	g9818	As005G116260
OG0003294	g29542	As005G117700
OG0003295	g11375	As010G221600
OG0003295	g9697	As005G118770
OG0003296	g33	As005G120210
OG0003296	g2526	As010G220690
OG0003298	g11077, g39684	As006G124470
OG0003299	g39808, g26953	As006G126230
OG0003300	g51183	As006G128530
OG0003301	g40132, g40134	As006G130610
OG0003302	g38278, g23196	As006G131610
OG0003304	g7537	As006G142030
OG0003305	g29155, g5015	As009G202840
OG0003306	g7739, g10163	As006G138040
OG0003307	g4679	As006G138370
OG0003308	g7579	As006G141290
OG0003309	g17178	As006G148620, As009G212270
OG0003310	g31680	As007G153460
OG0003311	g27367	As007G153610
OG0003312	g46063	As010G240150
OG0003312	g31770	As007G154450
OG0003313	g31755	As007G154590
OG0003314	g44505, g46161	As010G238780, As007G155340
OG0003316	g46427	As007G158290
OG0003317	g50249, g27523	As007G158600
OG0003318	g50284	As007G159430
OG0003319	g27582	As007G160400
OG0003320	g32224	As007G161580
OG0003321	g38336	As007G176610
OG0003322	g31329	As008G185720
OG0003323	g49570	As008G192340, As008G192600
OG0003327	g29713	As009G213040
OG0003328	g18579, g18577, g18575	As009G216640, As010G222160
OG0003329	g41604	As010G229480
OG0003330	g44723, g27574	As010G232880
OG0003331	g13613	As010G235720
OG0003332	g31854, g44474	As010G238330
OG0003333	g46105, g50041	As010G239610
OG0003334	g46480	As010G242170
OG0003336	g13163, g13164	As012G268160, As011G245170
OG0003337	g54036	As011G249300
OG0003338	g11833, g13411	As011G254220
OG0003339	g7129	As012G269870
OG0003340	g18989	As012G283900
OG0003341	g2040	As012G284510, As012G284500
OG0003343	g1320, g1775	As012G288080
OG0003359	g16936	As001G004550
OG0003360	g16924, g23277	As001G004820
OG0003361	g20178, g8144	As001G006980
OG0003362	g23153	As001G012370
OG0003363	g18203	As011G262480
OG0003364	g47897	As001G014620
OG0003365	g24361, g23159	As001G014810
OG0003366	g51503	As001G017300, As004G079860
OG0003367	g10734	As001G023260
OG0003368	g25065, g25042, g10684	As001G023790
OG0003369	g1558	As001G024340
OG0003370	g49873	As008G184030
OG0003370	g10607	As001G024850
OG0003371	g16837	As004G097400
OG0003371	g1625	As001G026520
OG0003372	g16888	As004G078490
OG0003372	g10379	As001G027560
OG0003373	g44980	As001G028790
OG0003373	g46774	As004G077410
OG0003374	g45116	As001G029750
OG0003375	g16788	As001G031110
OG0003375	g46648	As004G097950
OG0003376	g47564, g23728	As002G033240, As002G032580
OG0003378	g47505, g47506	As002G040740
OG0003379	g1008	As002G047130
OG0003380	g1138, g39290, g28659	As002G049460
OG0003381	g39288	As002G049570
OG0003382	g29508	As002G053070
OG0003383	g423	As009G218010
OG0003383	g5535, g29612	As002G055090
OG0003384	g17456	As003G057350
OG0003385	g24054, g17378	As003G058630, As004G086710
OG0003386	g23972	As008G183260, As008G183150, As011G253860, As003G060190
OG0003387	g40309	As004G083680
OG0003387	g50688	As003G062620
OG0003390	g32462	As003G070950
OG0003391	g18256, g22910	As011G265200, As003G072890
OG0003392	g22784, g18297	As003G074460
OG0003393	g18300	As003G074560
OG0003393	g50899	As007G180240
OG0003395	g25748	As004G084260
OG0003396	g43177	As004G084450
OG0003397	g40567	As004G088040
OG0003399	g52014	As004G094640
OG0003400	g17813, g47020	As004G094890
OG0003402	g47104	As004G096470
OG0003403	g18747	As012G288800, As005G098850
OG0003404	g37720	As005G099700
OG0003405	g1961	As012G285790, As005G103390
OG0003406	g10651	As005G104810
OG0003407	g13005	As006G142110
OG0003408	g19387	As010G221480
OG0003409	g9680, g94	As005G119220
OG0003411	g45237, g45241	As006G123300
OG0003412	g30910	As008G195230
OG0003413	g39904, g51218	As006G127980
OG0003414	g29714	As009G213050
OG0003415	g7935	As006G133010, As006G132990
OG0003416	g29198	As009G202130
OG0003417	g4691	As006G138460
OG0003418	g12855, g7711	As006G138650
OG0003419	g29079	As009G204810
OG0003421	g37164	As006G144990
OG0003422	g51633	As006G146040
OG0003422	g2346	As012G277250
OG0003424	g38098	As006G147230
OG0003425	g31602	As007G152070
OG0003426	g31692, g49995	As007G153720
OG0003427	g27478	As007G156960
OG0003428	g50167, g31968	As007G157140
OG0003429	g31971	As007G157150
OG0003430	g32074	As007G160070
OG0003431	g32130	As007G160430
OG0003432	g50384, g41555	As007G161360
OG0003433	g38343, g23298	As007G176830
OG0003434	g36913	As007G179680
OG0003435	g25165	As008G186250
OG0003436	g31185, g27083	As008G188270, As008G188260
OG0003437	g27395, g13348	As009G200110
OG0003438	g7925, g45676	As009G200700
OG0003439	g28985	As009G203440
OG0003440	g5969	As009G203860
OG0003442	g330	As009G219280
OG0003444	g19489, g2762, g50663	As010G223080
OG0003446	g45889	As010G233880
OG0003448	g44322	As010G242830
OG0003449	g12268, g7280	As011G244700
OG0003450	g13189	As011G245440
OG0003451	g13291	As011G249780, As011G249760
OG0003452	g6906	As011G250120
OG0003453	g6893	As011G250250
OG0003454	g6160	As011G262740
OG0003455	g23071, g18213	As011G263340
OG0003456	g5886	As011G267510
OG0003457	g2258	As012G281150
OG0003458	g18818	As012G286630, As012G286600
OG0003481	g47714, g16999	As001G001730
OG0003482	g5991	As001G002340
OG0003483	g36247	As001G003300
OG0003484	g23275	As001G004940
OG0003485	g9767	As005G117350
OG0003486	g28875	As006G126730, As006G124720, As004G079930, As001G018450
OG0003486	g13394	As011G253710
OG0003487	g31135	As001G018480
OG0003488	g41077	As001G019520
OG0003489	g44107	As001G020530
OG0003490	g24766, g31300, g49765	As008G186500
OG0003491	g10485	As001G026430
OG0003492	g46829	As001G029250
OG0003493	g7456, g13597	As002G035090
OG0003495	g1336, g41160	As002G043280, As010G230860
OG0003496	g891	As002G044500
OG0003497	g39308	As002G048990
OG0003498	g5383, g29453	As002G052050
OG0003499	g5449, g229	As002G053620
OG0003500	g256	As005G117030
OG0003501	g6776	As002G053940
OG0003502	g47388, g23995, g23992	As003G059690
OG0003503	g23896	As003G061590
OG0003504	g32731, g50730	As003G063140
OG0003505	g40245, g25875	As003G063630
OG0003506	g50548	As003G071210
OG0003507	g32490	As003G071290
OG0003508	g6053	As011G264580
OG0003508	g22982	As003G071930
OG0003509	g47964	As003G072510, As011G265050
OG0003510	g22848	As003G073500
OG0003511	g46767	As004G077480
OG0003512	g36183	As004G082150
OG0003513	g40467	As004G086220
OG0003515	g40726	As004G090550
OG0003517	g25845, g18080	As011G258520, As004G092880
OG0003518	g11682	As004G093510
OG0003520	g13463	As011G255310, As004G095400, As004G095420
OG0003521	g16812, g37623	As005G101360
OG0003522	g37583	As005G102020, As012G286680
OG0003523	g2039, g11216	As005G104950
OG0003524	g287	As005G116500
OG0003526	g128	As005G118840
OG0003526	g11372	As010G221590
OG0003527	g65	As005G119570
OG0003528	g39934, g51191	As006G128300
OG0003529	g17107	As006G132680
OG0003530	g29211	As009G201820
OG0003530	g7869	As006G135480
OG0003531	g12908	As006G139510
OG0003532	g12465	As006G140580
OG0003533	g51775	As006G143930, As006G143600
OG0003534	g2259	As012G281180, As006G143730
OG0003535	g38041, g37173	As006G145120
OG0003536	g31682	As007G153480
OG0003536	g27360	As010G241850, As010G241810
OG0003537	g31758, g50035	As007G154540
OG0003538	g50059	As007G155370
OG0003539	g45973	As007G158680
OG0003540	g32062	As007G159330
OG0003541	g45851	As010G233300
OG0003542	g18026, g27614, g50390	As007G161510
OG0003544	g46828	As007G161850
OG0003545	g51027, g38358	As008G186910
OG0003546	g51277	As008G194740
OG0003547	g45750	As009G203240
OG0003548	g41451	As009G204690
OG0003549	g12933	As009G207460, As009G207450
OG0003550	g10240	As009G209470
OG0003551	g554, g18567	As009G215900
OG0003552	g16653	As009G219230
OG0003553	g18617	As009G219420
OG0003554	g19347, g19348	As010G220780, As010G220790
OG0003555	g26281, g19428	As010G222500
OG0003556	g50270	As010G234140
OG0003557	g46089	As010G239860, As011G256410
OG0003558	g46489	As010G242270
OG0003559	g44319, g49967	As010G242900
OG0003560	g13214	As012G269530
OG0003561	g7140	As011G246970
OG0003562	g6990	As011G249020
OG0003563	g6849	As012G272950
OG0003564	g6677	As011G253610
OG0003564	g28030	As012G271290
OG0003565	g17770	As011G255630, As011G255600
OG0003566	g41980, g41880, g43825, g24434, g16966, g14627, g23388, g4499, g43299, g26835, g4408, g43358, g11619, g4395	As011G256770
OG0003567	g5994	As011G265090
OG0003568	g18126	As012G285390
OG0003584	g47696	As001G001330
OG0003585	g2188, g4871	As004G094370, As001G001560
OG0003586	g47749, g23394	As001G002510
OG0003587	g32838	As001G004330
OG0003588	g29793	As009G214690, As009G214680
OG0003589	g23120, g47871	As001G013500
OG0003593	g16705	As001G023410
OG0003594	g10700, g27267	As001G023630
OG0003595	g10412	As001G027090, As001G027080
OG0003596	g10316	As001G028140
OG0003597	g49846	As008G184580
OG0003598	g12411	As002G034020
OG0003599	g12345, g7407	As002G036480
OG0003600	g7379	As002G037270
OG0003601	g25052, g25046, g25092, g5960	As002G038900
OG0003603	g41283	As002G045060
OG0003604	g47631, g23628, g28443	As002G045700
OG0003605	g11152	As002G046590
OG0003606	g47586, g23689	As006G134260
OG0003608	g31081	As002G052010
OG0003609	g5422	As002G053090, As002G053080
OG0003610	g214, g9752	As005G117640, As002G053540
OG0003611	g24190	As003G056740
OG0003612	g47272	As003G056880
OG0003613	g10107	As003G061640
OG0003614	g50440	As003G067760
OG0003615	g27670	As003G069250
OG0003616	g47935	As003G072090
OG0003617	g40272	As004G080040
OG0003618	g2367	As004G080680
OG0003619	g13107	As004G080810
OG0003620	g11044, g40499	As004G086980
OG0003621	g40511, g40510	As004G087120
OG0003622	g40634	As004G089020
OG0003624	g10866	As004G091020
OG0003625	g37723	As005G099540
OG0003626	g1766	As012G288200
OG0003627	g38246, g37628	As005G101300
OG0003628	g18855, g18844	As012G286090, As005G102640
OG0003629	g38231	As005G102860
OG0003630	g52144	As012G285840
OG0003631	g41382, g28910	As005G112390
OG0003632	g49911	As005G116550
OG0003633	g47, g2547	As010G220870
OG0003633	g46	As005G119880
OG0003634	g19651	As005G119910
OG0003635	g19314, g2478	As005G120780
OG0003636	g39489	As006G121740
OG0003637	g25468	As006G123230
OG0003638	g39607	As006G123700
OG0003639	g23211	As006G131900
OG0003640	g5181, g29304	As009G199910
OG0003641	g12574, g7718	As006G138200
OG0003644	g27297	As007G151930
OG0003644	g36636	As010G244340
OG0003645	g27347	As007G153070
OG0003646	g50043	As007G154850
OG0003647	g31831	As007G155620
OG0003648	g32033, g50243	As007G158410
OG0003650	g1976	As007G164430
OG0003652	g30992	As008G194280, As008G193860
OG0003653	g30946	As008G194560, As008G194590, As008G194680, As008G194690, As008G194540
OG0003654	g26962	As008G194630, As008G194620, As008G194610
