Orthogroup	Cochlearia_excelsa	Brassica_napus
OG0000989	g37018	XP_048595917.1, XP_048623481.1, XP_048631161.1
OG0000991	g27797, g32657	XP_013715110.2, XP_048621440.1, XP_022559289.2, XP_013717486.1
OG0000992	g36959, g50882, g54088	XP_013715961.2, XP_013710672.1, XP_013705730.2, XP_048612245.1
OG0000992	g22703	XP_013691607.2, XP_013669339.1, XP_048619419.1
OG0000993	g13525, g11661, g6390	XP_013657069.2, XP_013686792.1, XP_013686793.1, XP_013702408.1, XP_013661794.1
OG0000994	g39943	XP_022571594.1, XP_013683273.2, XP_048610281.1
OG0000995	g51255	XP_013734144.1, XP_013742756.2, XP_048634325.1, XP_022557085.1
OG0000995	g30960	XP_048594274.1, XP_013660618.1, XP_048599429.1, XP_048613770.1
OG0000996	g37900	XP_013683243.1, XP_013733937.1, XP_013722568.1, XP_013739745.1, XP_048610255.1, XP_013748788.2
OG0000996	g31018	XP_013696459.1, XP_048599454.1, XP_013716282.1
OG0000997	g12610	NP_001302700.1, NP_001302513.1, XP_013657351.1, XP_013671783.2, XP_013731099.1, XP_048626255.1, XP_013711569.1, XP_048620724.1, XP_013660586.1, XP_048614560.1, XP_048636131.1, XP_048632209.1, XP_013745047.1
OG0000998	g37327, g51789	XP_013692936.1, XP_013748313.2
OG0000998	g2194	XP_013686476.1, XP_048597121.1, XP_013651397.2, XP_013746470.1
OG0000999	g27596	XP_022553988.2, XP_022553987.2, XP_048606772.1, XP_022545966.2
OG0001000	g29281	XP_022554376.1, XP_013727999.2, XP_013713988.3, XP_013666007.2
OG0001000	g14070	XP_022555447.1, XP_013736812.1, XP_013724944.1
OG0001001	g18547, g18546	XP_013644013.2, XP_013647247.1
OG0001001	g51023	XP_013675356.1
OG0001002	g13165, g7245	XP_013749862.2, XP_022568113.2
OG0001002	g54314	XP_013691615.1, XP_013646265.1
OG0001003	g7061, g12110, g13245	XP_013698095.1, XP_013702812.1, XP_013682811.2, XP_013676069.1
OG0001003	g36579	XP_048628498.1, XP_013746609.1, XP_048628207.1, XP_048628219.1, XP_013698089.2, XP_013744788.1, XP_013698762.1
OG0001004	g51862	XP_022556308.2, XP_013747361.2, XP_022563473.2, XP_022575964.2
OG0001004	g37353, g37347	XP_013716963.2
OG0001005	g6249, g50592, g43746, g32335, g35536, g4447, g23217, g13771, g45, g6248, g39866, g17234, g22309, g14229, g7499, g24583, g43747, g43333, g22365, g6041, g18397, g53074, g35340, g3827, g53269, g39865, g22366, g4437, g7498, g44072, g22306, g40004, g40181, g24710, g16635, g45185, g15784, g44212, g42186, g10259, g44, g35339, g35084, g35099, g12920, g35535, g46919, g53723, g27835, g36043, g22898, g13772, g23218, g5891, g49886	XP_048596447.1
OG0001005	g35271	XP_013700092.1
OG0001008	g23485	XP_048631157.1, XP_013685935.1, XP_048593660.1
OG0001008	g17010	XP_013661497.2, XP_013681579.2
OG0001009	g34447	XP_013695677.1, XP_013667664.1
OG0001010	g50616	XP_013677336.1, XP_048594521.1, XP_013659030.1, XP_048635179.1, XP_013639860.1, XP_013731419.1, XP_048612854.1
OG0001010	g51531	XP_013688670.1, XP_048629627.1, XP_022570392.1, XP_013659519.2, XP_013747309.1
OG0001011	g27768	XP_022546643.1, XP_022553793.1, XP_013749185.1, XP_048635175.1, XP_013749184.1, XP_048628342.1
OG0001012	g41088, g41084, g41091, g44006	XP_013730540.2, XP_013686772.1, XP_048600922.1, XP_013746507.1
OG0001012	g27090	XP_013646446.2, XP_013695750.3, XP_013640292.1, XP_013655338.1
OG0001013	g11006	XP_013705772.1, XP_022544116.2, XP_048607116.1, XP_048632617.1, XP_013701024.2, XP_022551740.2
OG0001015	g47552, g23748	XP_013722578.1, XP_013656522.2, XP_013705800.1, XP_013741534.2, XP_013642045.1, XP_013740003.2
OG0001016	g45562, g29459	XP_013726297.1, XP_013661883.1, XP_013712644.1, XP_022549338.2, XP_013678601.2
OG0001016	g10052	XP_022547964.2, XP_013660869.3, XP_048629455.1, XP_048591083.1, XP_013706459.1
OG0001017	g144	XP_013733222.1, XP_013643229.2
OG0001018	g9985	XP_048617945.1, XP_013647161.2, XP_013675562.2, XP_048626299.1, XP_048628278.1, XP_048602560.1
OG0001019	g47225	XP_013725727.2, XP_013710924.1, XP_013737297.2, XP_022572493.1
OG0001019	g40682	XP_013677276.1, XP_048614350.1, XP_048637342.1, XP_013648827.2
OG0001020	g47245	XP_013723398.2, XP_022550295.1, XP_048632794.1, XP_013707790.1, XP_013726851.1, XP_013655969.2
OG0001020	g40644, g10924	XP_048596626.1, XP_013746814.1, XP_013703117.1, XP_013693324.2
OG0001021	g18748	XP_013652054.1, XP_013731570.1, XP_013746269.1, XP_013746299.1
OG0001021	g37763	XP_013732554.1, XP_013747507.1, XP_013690409.1
OG0001022	g50817	XP_022554898.1, XP_013734891.2
OG0001022	g38328	XP_013648758.2
OG0001022	g1762	XP_013749451.1, XP_048597327.1
OG0001023	g13766	XP_013650472.3, XP_048593314.1, XP_048598996.1, XP_013704083.1
OG0001025	g31022	XP_013723260.2, XP_013695530.1
OG0001025	g39900, g51220	XP_013748794.1, XP_013711726.1, XP_013722567.1, XP_013643573.2, XP_013733939.1, XP_013702262.2
OG0001026	g12738, g7923	XP_013729694.2, XP_048602016.1, XP_048605990.1, XP_013735648.1
OG0001026	g45683	XP_013659606.1
OG0001026	g29274	XP_022549240.1, XP_022568216.1, XP_048607919.1, XP_022554386.2, XP_048626374.1
OG0001028	g19114	XP_048610006.1, XP_022573670.2, XP_013708821.2
OG0001029	g32015, g27506	XP_022564676.1, XP_013722095.2, XP_013653392.2, XP_013721836.2, XP_048612773.1, XP_013693857.2
OG0001029	g46377	XP_013681291.1, XP_048615798.1, XP_013693789.2, XP_048603346.1
OG0001030	g50100	XP_013646715.1, XP_013709945.2
OG0001030	g44444	XP_013717865.2, XP_048592232.1, XP_013718622.1, XP_013670324.1
OG0001031	g50115	XP_013729465.1, XP_013741500.1
OG0001031	g46230	XP_013717813.1, XP_013699019.1, XP_048616337.1, XP_013648760.1
OG0001032	g46291	XP_013652109.1, XP_013652116.1, XP_022571311.1, XP_013693708.1
OG0001032	g31961	XP_022569204.1, XP_013710123.2
OG0001032	g50165	XP_013742038.2, XP_048638504.1
OG0001033	g42963, g42965	XP_013746229.1, XP_013651196.1
OG0001034	g50282	XP_013665721.1, XP_013651582.2
OG0001034	g45873	XP_013717451.2, XP_013652200.1
OG0001034	g44690	XP_013652209.1, XP_013746978.1, XP_013698971.1, XP_048592084.1
OG0001035	g1629	XP_022568445.1, XP_022547394.2, XP_022547392.2, XP_022568452.1
OG0001036	g46468	XP_013694055.1, XP_013676784.1
OG0001036	g46469	XP_013650135.2, XP_013685900.2
OG0001037	g44303	XP_048628930.1, XP_048611735.1, XP_022554626.2, XP_013699401.1, XP_048591678.1, XP_013650308.2, XP_013726993.2
OG0001037	g13042	XP_048605446.1, XP_048615280.1
OG0001038	g12253	XP_048600600.1, XP_022544481.1, XP_048635876.1, XP_048615157.1
OG0001038	g7266	XP_048632358.1, XP_013693666.1, XP_048600601.1, XP_013673204.3
OG0001039	g36304	XP_022559420.1, XP_013639871.1, XP_013652212.2, XP_013654608.2, XP_013654657.1
OG0001039	g6935	XP_013681640.1, XP_013741101.1, XP_013705693.1
OG0001040	g28032	NP_001302867.1, XP_013655549.1, XP_048630074.1, XP_013749047.2, XP_013726826.1
OG0001040	g6683	XP_013736612.2, XP_013685046.1, XP_013685049.2, XP_013736608.2, XP_013670250.2, XP_013674707.1
OG0001041	g49717	XP_013691513.2, XP_013748447.1
OG0001041	g19512, g19511	XP_013672840.1, XP_013639891.1, XP_048626561.1, XP_013691495.1
OG0001043	g36524	XP_048636911.1, XP_013749028.2, XP_048637749.1
OG0001043	g36525	XP_013640724.2, XP_013699249.2
OG0001044	g25841, g2210, g19086	XP_048592979.1, XP_048616770.1, XP_013692916.2, XP_013710398.2, XP_048620620.1, XP_013742339.1, XP_022568097.1
OG0001045	g2937, g2912, g2933	XP_022560052.1, XP_013746279.2, XP_048638558.1, XP_048638559.1, XP_048638560.1
OG0001046	g22655	XP_048625397.1, XP_048620142.1, XP_048605546.1, XP_048614973.1
OG0001048	g45421, g45419	XP_013681593.1, XP_013724277.1
OG0001048	g17845, g45573	XP_013720783.1, XP_013720795.2, XP_048625233.1, XP_048625231.1
OG0001051	g6121	XP_013641989.1, XP_013655849.2, XP_013685167.1, XP_013736815.2
OG0001051	g23035	XP_013656155.2, XP_013717992.1, XP_013670600.2, XP_013731054.2
OG0001052	g47909, g47910	XP_013718065.2, XP_048619335.1, XP_013718064.2, XP_013730946.1
OG0001053	g41060	XP_013672224.1, XP_048595836.1, XP_013733138.1, XP_013744720.2
OG0001053	g49716	XP_022569925.2, XP_013716421.2
OG0001054	g40938, g38261	XP_013672459.3, XP_022575794.2
OG0001055	g6371, g16676, g16674	XP_013723130.1, XP_048604523.1, XP_013652916.2, XP_022552742.2, XP_048626320.1, XP_022552741.2, NP_001302500.1
OG0001056	g13098	XP_048635945.1, XP_013670327.1, XP_048609522.1, XP_048600699.1
OG0001056	g5691	XP_013732898.2, XP_022569432.2, XP_013740063.2, XP_022553453.1, XP_013721481.3
OG0001057	g47639	XP_022567454.2, XP_013668281.1, XP_013705463.3, XP_013741587.1, XP_013681088.1, XP_013730828.3, XP_013733498.1
OG0001058	g24289, g17556	XP_013741999.1, XP_022569078.1, XP_013655802.1, XP_013671347.1, XP_013733825.1
OG0001058	g47940	XP_013748838.1, XP_022561214.1
OG0001058	g22966	XP_013642527.1, XP_013647394.1
OG0001059	g40535	XP_048592583.1, XP_048601829.1, XP_013713857.1, XP_048596591.1, XP_013697178.1
OG0001059	g24114, g17402	XP_048620942.1, XP_013717350.1, XP_048627602.1, XP_013734028.1, XP_013660888.1, XP_048607340.1, XP_013718498.1
OG0001060	g17809, g24580	XP_013695581.1, XP_013734056.2, XP_013742588.2, XP_048634023.1
OG0001060	g6503	XP_048592512.1, XP_022552010.2, XP_013732911.1, XP_048601646.1, XP_013711974.1, XP_013685436.2
OG0001061	g6557	XP_048635190.1, XP_048612861.1, NP_001303016.1, XP_022576023.1
OG0001061	g47060	XP_048601874.1, XP_013734374.2, XP_048631737.1, XP_013644418.1
OG0001062	g2597, g19373	XP_013686876.2, XP_022570746.1, XP_048622060.1
OG0001063	g47040, g44040	XP_013677458.2, XP_048637077.1, XP_048601807.1, XP_013657477.2, XP_048595732.1
OG0001064	g51622	NP_001302615.1, XP_013694760.2, NP_001303114.1, XP_048611047.1
OG0001064	g19204, g2368	XP_013750013.2, XP_048592953.1, XP_022543902.2, NP_001303204.1, XP_013684774.1, XP_013666976.1, NP_001302899.1
OG0001065	g37200	XP_013691215.1, XP_022554734.1, XP_022571668.1, XP_013691135.1, XP_048636521.1
OG0001065	g2350	XP_048610893.1
OG0001066	g51631, g38065	XP_013688985.1, XP_013738305.2, XP_013692252.2, XP_013694669.2, XP_048611053.1, XP_022574077.2
OG0001066	g2349, g19195	XP_013678329.1, XP_013661120.1, XP_013647925.2, XP_013750032.1
OG0001067	g44345, g46495	XP_013676914.2, XP_048592359.1, XP_048629888.1, XP_022559073.2, XP_048603380.1
OG0001067	g49979, g31659	XP_013711049.2, XP_013682931.2, XP_013711182.2, XP_022563890.1
OG0001068	g44609, g45995	XP_048633656.1, XP_013743875.1, XP_013688377.1, XP_022551842.1, XP_013702546.1, NP_001302623.1, XP_013743327.1, XP_013729351.1
OG0001069	g46181	XP_013698897.1, XP_013649931.1, XP_013648890.1, XP_013682534.1
OG0001069	g50084	XP_013696538.1, XP_013641895.1, XP_013737959.2, XP_013746614.2, XP_013664647.1, XP_013664433.1
OG0001070	g32197	XP_013697582.1, XP_013642103.1, XP_013657193.1, XP_048593938.1, XP_048626650.1, XP_048617805.1, XP_048593251.1
OG0001071	g31500	XP_048638225.1, XP_013693229.2, XP_048614010.1, XP_013727228.2
OG0001071	g31501, g25931	XP_013677797.2, XP_013657373.1
OG0001072	g19445	XP_013661033.1, XP_013661023.2, XP_022550757.1, NP_001303228.1, XP_013642428.1, XP_022566783.1, XP_013660390.1, NP_001302907.1
OG0001073	g6899, g13299	XP_048622959.1, XP_013664029.3, XP_048591889.1, XP_022560724.2
OG0001074	g26813, g53638, g42668, g42659, g4054, g3459, g44889	XP_013660219.1, XP_013699725.2
OG0001075	g13240, g12117, g12118	XP_048635771.1, XP_013702782.1, XP_048609062.1, XP_013702077.2, XP_013697638.1, XP_048635769.1, XP_048635770.1, XP_013697641.1, XP_048595085.1, XP_013682821.1
OG0001079	g36973	XP_048636341.1, XP_048636262.1
OG0001079	g12736	XP_048610739.1
OG0001084	g51025	XP_013710541.2, XP_048612797.1
OG0001084	g13849	XP_048597530.1, XP_013733106.1
OG0001084	g47674	XP_013734669.1, XP_013696286.1, XP_013703116.1, XP_013738230.2, XP_048621758.1
OG0001085	g13898	XP_013744435.1, XP_048593108.1, XP_013671721.1, XP_013670897.1, XP_013732461.1, XP_013664453.1
OG0001086	g18153	XP_013672254.1, XP_013707345.2, XP_013735174.1, XP_013664211.1, XP_013656251.2, XP_013701820.2
OG0001086	g6220	XP_013736712.2, XP_022555421.1, XP_022562123.1, XP_048591592.1
OG0001087	g23067	XP_022563005.1, XP_022572796.1
OG0001087	g18215	XP_013648704.2, XP_022569988.1
OG0001088	g10457	XP_048618084.1, XP_013644617.1, XP_013725092.2
OG0001089	g16485	XP_013646137.2, XP_048618115.1
OG0001089	g10400	XP_013665666.1, XP_048631465.1, XP_013675535.2, XP_013694057.1, XP_013689113.2, XP_013657960.2, XP_048631463.1, XP_048627535.1
OG0001091	g2682, g19439	XP_013727054.1, XP_022552604.1, XP_013744927.2, XP_022556748.2
OG0001091	g1352	XP_013682852.1, XP_013683300.1
OG0001092	g1033	XP_013746252.3, XP_013693891.1
OG0001092	g5587	XP_013715247.2, XP_013745639.3
OG0001093	g650	XP_022555443.2, XP_013721979.3, XP_048624962.1, XP_013665925.1
OG0001093	g5323	XP_013668005.1, XP_013720811.1
OG0001093	g45586	XP_048602800.1, XP_013702611.2, XP_013716324.2, XP_048607879.1
OG0001094	g29524	XP_048598408.1, XP_048626273.1, XP_013712735.2, XP_013678618.1
OG0001094	g164	XP_013678434.1, XP_048616794.1, XP_022562492.2, XP_048626578.1, XP_048590857.1, XP_048626571.1, XP_048606598.1
OG0001095	g24918	XP_013695976.2, XP_013719583.2, XP_022545523.1, XP_013708205.2
OG0001096	g2044	XP_013648371.1, XP_013728425.1, XP_013686060.1, XP_048609686.1, XP_048609684.1, XP_013678336.1, XP_013663529.1, XP_013699147.1
OG0001096	g52024	XP_048634683.1, XP_048608609.1, XP_013724378.1
OG0001097	g1242	XP_013709869.1, XP_013660033.1, XP_013729604.2, XP_013716811.2
OG0001098	g123	XP_013710440.1, XP_013741704.1, XP_013647108.2, XP_013646579.1, XP_013712014.3, XP_013722427.2, XP_048627053.1
OG0001099	g25399	XP_048625484.1, XP_013660542.2, XP_013684345.2, XP_013735320.2, NP_001302991.1, XP_048612304.1, XP_013718524.2
OG0001100	g37922	XP_013695949.1, XP_013747214.1, XP_013675817.1
OG0001100	g49491	XP_013687380.2
OG0001101	g45664	XP_013667686.1, XP_013714561.2, XP_048604373.1
OG0001101	g13606	XP_048617211.1, XP_022544854.2, XP_013701081.2
OG0001102	g7885	XP_048601994.1, XP_048633271.1, XP_048614283.1, XP_013678404.2, XP_048632157.1, XP_013735675.2
OG0001102	g29235	XP_013728393.2, XP_013728721.2, XP_013728764.1, XP_013720927.1, XP_013667787.2
OG0001103	g10167	XP_022548008.2, XP_022568441.1, XP_048630185.1, XP_013647282.2, XP_048591168.1, XP_048628738.1, XP_013659797.1, XP_013677971.1
OG0001104	g12579, g7735	XP_022568417.1, XP_022543455.1, XP_013729665.1, XP_048595309.1, XP_013643865.1, XP_048602039.1, XP_013750763.1, XP_013723543.1, XP_048629906.1, XP_013663076.1, XP_022563267.1
OG0001105	g46568	XP_013650339.2, XP_013727006.1, XP_048630824.1, XP_013676934.2, XP_013692746.2, XP_013648575.2, XP_013699169.1
OG0001105	g27323	XP_013710202.2, XP_013662220.2, XP_013687645.2, XP_013641703.2
OG0001106	g49982, g31674	XP_013682948.2
OG0001106	g46483	XP_013676804.1, XP_013676780.1, XP_013676909.1
OG0001107	g50019, g31737	XP_048621125.1, XP_013664592.2, XP_013723359.2, XP_013641740.1
OG0001108	g44509	XP_048613750.1, XP_013672189.1, XP_048592213.1, XP_013700626.2, XP_022548960.1, XP_013682507.1
OG0001109	g46369	XP_013696245.2, XP_013650033.2, XP_013685367.2, XP_048609795.1
OG0001109	g32009	XP_048592731.1, XP_013643816.1, XP_013646852.1, XP_013695693.1, XP_013722128.2, XP_013728290.1
OG0001110	g45825	XP_013642184.2, XP_013678038.2
OG0001110	g32116	XP_048592685.1, XP_013666512.1, XP_013698071.2, XP_013662788.1
OG0001111	g41690, g44903	XP_013668656.2, XP_013688300.1, XP_013706899.1, XP_048616135.1, XP_013701831.1
OG0001111	g50412	XP_013652998.2, XP_013662516.1, XP_022555612.1, XP_013659835.1
OG0001112	g4581	XP_013743643.2, XP_013688667.2, XP_013666855.2, XP_013711672.1
OG0001112	g10211	XP_048591182.1
OG0001113	g5584	XP_013743188.1, XP_013715249.2, XP_048624751.1
OG0001113	g5583, g1670	XP_013715681.1, XP_013743187.2, XP_013743186.2, XP_013715682.1, XP_048623166.1
OG0001114	g26057, g29675, g26080, g14752, g8695	XP_048624165.1, XP_048623193.1, XP_048624163.1, XP_048624166.1, XP_048624168.1, XP_048624167.1, XP_013679582.1, XP_013715331.1, XP_048598083.1, XP_013699796.2, XP_013715334.1, XP_048624159.1, XP_048624156.1, XP_013668580.2, XP_013715339.2
OG0001115	g45996	XP_013700688.1, XP_013729344.1, XP_013746827.2, XP_013649551.1, XP_013698814.1, XP_022544738.1
OG0001115	g31697	XP_048638349.1, XP_013682971.2, XP_048594102.1
OG0001116	g28033	XP_048630075.1, XP_013749050.2, XP_013726848.1
OG0001116	g6688	XP_048630317.1, XP_013718120.2, XP_013693192.2, XP_013640422.1, XP_013672494.1, XP_013685039.1, XP_013736615.2
OG0001117	g24426	XP_013710659.2, XP_013654712.2, XP_048628111.1, XP_013689357.1, XP_013741269.2
OG0001117	g24429	XP_013745549.2
OG0001118	g51302	XP_013744395.2, XP_013723861.1
OG0001120	g22964, g47945	XP_048607215.1, XP_048629118.1, XP_013656483.2, XP_022561691.1, XP_013748856.1
OG0001120	g6045	XP_013693795.1, XP_048595581.1, XP_048617820.1, XP_048593235.1
OG0001121	g39398	XP_048608296.1, XP_013647592.2, XP_048604198.1, XP_048591899.1, XP_048616145.1, XP_048610875.1
OG0001124	g17104, g23657	XP_013741712.1, XP_013711743.1, XP_013738141.1, XP_048619110.1, XP_013742639.1
OG0001125	g45025, g32527	XP_048595028.1, XP_013659281.1
OG0001125	g51533	XP_013746163.2, XP_022574952.1, XP_013691746.2, XP_048629639.1, XP_013679404.2, XP_048631292.1
OG0001126	g44067	XP_013659362.2, XP_013729232.2, XP_013729236.2, XP_013713414.2, XP_013730056.1, XP_048623679.1, XP_048596287.1
OG0001126	g44059	XP_048596276.1
OG0001127	g31536	XP_048614040.1, XP_013696071.1, XP_022543883.2, XP_013657390.2, XP_013677784.1
OG0001127	g10732	XP_048624475.1, XP_048596660.1, XP_013691839.2, XP_048637246.1, XP_013736158.1
OG0001128	g10631	XP_022555284.1, XP_048596692.1, XP_013720642.2, XP_048600280.1, XP_048603868.1, XP_013647528.2, XP_013640250.1
OG0001128	g31465, g49877	XP_013731084.1, XP_013710432.2, XP_013669997.2, XP_013691364.1
OG0001129	g10382	XP_013644518.2, XP_013703352.1, XP_048602955.1, XP_013665663.1, XP_048631458.1, XP_048602956.1, XP_048602953.1, XP_013703353.1, XP_048591287.1, XP_013677578.2, XP_048631457.1, XP_013666619.2, XP_013703462.1, XP_048591286.1
OG0001130	g10319	XP_013644464.2, XP_048618131.1
OG0001130	g16265	XP_013660791.2, XP_013698470.2
OG0001130	g46920	XP_013707009.1, XP_013665358.2, XP_013699140.1
OG0001131	g23730	XP_022568300.1, XP_013741636.1, XP_022546766.1
OG0001131	g39310	XP_022549018.1, XP_013696969.1
OG0001132	g29844, g5762	XP_013706254.1, XP_022549533.2, XP_048623973.1, XP_013745929.2, XP_013720238.2, XP_048602617.1
OG0001132	g7476	XP_048600734.1, XP_013724095.2, XP_048632299.1, XP_048606133.1
OG0001133	g17111	XP_013741756.2, XP_013742468.1, XP_013725659.1, XP_013656546.2
OG0001133	g1001	XP_013666828.1, XP_013666952.1, XP_013685781.1
OG0001134	g5272, g5271, g45622, g29355	XP_013679653.1, XP_013640510.1, XP_022554337.1, XP_013728253.1, XP_013728234.2, XP_022554338.1, XP_013667931.1, XP_022549284.1, XP_048604067.1, XP_013640511.1
OG0001135	g29536	XP_013722909.1, XP_013715388.1, XP_048603570.1, XP_048602717.1
OG0001136	g47242, g24232, g17506	XP_048638059.1, XP_013654623.2, XP_048594666.1, XP_013741049.2, XP_013706191.1, XP_048632792.1
OG0001136	g40650	XP_013693067.2, XP_013703268.1, XP_013661965.1, XP_013743291.1
OG0001137	g10993	XP_013721661.1, XP_013656410.2, XP_013681701.2, XP_013674835.1, XP_013712839.1, XP_013723627.2
OG0001137	g17436	XP_022562871.2, XP_048628575.1, XP_048629087.1, XP_013716072.2, XP_022565448.2, XP_013670307.2
OG0001138	g23966	XP_013734010.2, XP_013672047.2, XP_013678650.1, XP_013656125.2
OG0001138	g40427	XP_048624270.1
OG0001139	g32270	XP_013663214.1, XP_013721612.1, XP_048592637.1, XP_013662537.1, XP_013698259.1
OG0001140	g22956	XP_022552925.2, XP_013643742.2, XP_013748988.2, XP_022562786.2, XP_048607219.1, XP_013675271.1, XP_013654948.2
OG0001140	g13993	XP_048590978.1, XP_022553943.2, XP_013695417.2, XP_013659288.1
OG0001141	g2867	XP_013704799.1, XP_048590730.1, XP_013711615.2, XP_013671997.1
OG0001142	g6574	XP_013749200.1, XP_048627822.1, XP_013691333.1
OG0001142	g11806	XP_013655688.2, XP_048621909.1, XP_013664769.1, XP_013668465.1, XP_048628118.1, XP_013730400.1, XP_048636833.1, XP_048628250.1, XP_013703028.1
OG0001143	g52233	XP_048634767.1, XP_013665709.1, XP_013734794.2, XP_022551676.1
OG0001143	g1906	XP_013691276.2, XP_048634264.1, XP_013651976.2, XP_022570762.2, XP_013712128.2
OG0001144	g1933, g18858	XP_013708399.1, XP_013663819.1, XP_013742071.1, XP_048609629.1
OG0001144	g37547	XP_013688619.2, XP_013688641.1
OG0001146	g37399	XP_013734466.1, XP_013647891.1, XP_013747824.1, XP_048610401.1
OG0001146	g7437	XP_013736105.1, XP_013684738.1
OG0001148	g9755	XP_013672893.1, XP_013643132.1, XP_048631277.1, XP_048595456.1, XP_013698733.1, XP_013721998.1, XP_048616631.1, XP_013675414.1
OG0001148	g220	XP_048602712.1
OG0001149	g2491, g19321	XP_013718190.1, XP_013644370.1, XP_013737156.2, XP_013745556.2, XP_013655028.1, XP_048596999.1
OG0001149	g19632	XP_048631530.1, XP_013702003.1, XP_013712904.1, XP_013653740.1
OG0001150	g29202	XP_022567496.2, XP_048607936.1, XP_013651294.2, XP_013667606.2, XP_013667809.2
OG0001150	g7865	XP_013659457.2, XP_022544178.1, XP_013659279.2, XP_048626823.1, XP_048614260.1, XP_048606003.1, XP_048632176.1
OG0001151	g12476	XP_013681047.2, XP_013681024.1, XP_013644007.2, XP_013696345.1
OG0001151	g10202	XP_013699352.1, XP_013703667.2, XP_013647337.2, XP_022558458.2, XP_013659105.2, XP_013642754.2
OG0001152	g19032	XP_048597140.1, XP_048620649.1, XP_022556880.1, XP_013746452.2
OG0001152	g51912	XP_013692940.1, XP_013747863.1
OG0001153	g38034	XP_048608463.1, XP_048631550.1, XP_013748445.1, XP_013748441.2, XP_013686493.2
OG0001154	g44475, g46190	XP_013702819.1, XP_013649919.1, XP_013693172.2, XP_022568260.1, XP_013682543.2, XP_013648906.1
OG0001155	g50128	XP_022567113.1, XP_013737933.1, XP_022570964.1, XP_013729966.2, XP_013642027.2
OG0001156	g32096	XP_013662867.2, XP_013693120.1, XP_022563735.1, XP_013711421.3
OG0001156	g45854, g35995, g22228, g22334, g35994	XP_048616026.1, XP_013699250.1, XP_013713077.2
OG0001157	g31315	XP_048638129.1, XP_048613948.1
OG0001157	g49774	XP_013749300.2, XP_013657434.1
OG0001157	g27152	XP_048613942.1, XP_013645261.2
OG0001158	g32060	XP_013738219.1, XP_013698044.2, XP_013653341.2
OG0001159	g44389	XP_013652107.1, XP_013652117.1, XP_013717859.1, XP_013723494.1
OG0001159	g44390	XP_048604079.1, XP_013718816.2, XP_013717879.1, XP_013723503.1
OG0001160	g36717	XP_013698901.1, XP_048636882.1, XP_013656427.1
OG0001160	g7236	XP_048626746.1
OG0001161	g6686	XP_013639886.1, XP_013672499.2, XP_048635260.1, XP_013718116.2, XP_013693364.2
OG0001161	g36513, g54219	XP_013723685.1, XP_013655550.1, XP_013700727.1, XP_013640747.2, XP_022575154.1, XP_048636954.1, XP_013726846.1
OG0001162	g54120, g54121	XP_048637938.1, XP_013701212.2, XP_048637936.1, XP_013701304.2
OG0001163	g50666, g36215, g36181, g36213	XP_022545217.2, XP_013681939.3, XP_013718795.2
OG0001166	g36956	XP_022557726.2
OG0001169	g17077	XP_013669955.1, XP_013651313.2
OG0001169	g39433, g28457	XP_013733891.1, XP_013733524.1, XP_013730840.1, XP_048624709.1
OG0001170	g10143	XP_022561434.2
OG0001171	g40989	XP_013711801.2, XP_013749135.2, XP_013749521.1, XP_013692326.1, XP_013675717.1, XP_013745385.1, XP_013749142.2, XP_013702044.1
OG0001172	g10660	XP_013677482.2, XP_013718088.1, XP_013690939.1
OG0001172	g49895	XP_013660255.1, XP_013710395.1, XP_013710396.1, XP_048596543.1
OG0001172	g31481	XP_013641363.2, XP_013676295.1
OG0001173	g17141	XP_013686075.1, XP_013741362.2
OG0001173	g17145	XP_022550888.2, XP_048595674.1, XP_013725724.1, XP_013656532.2, NP_001302940.1, XP_013741384.1
OG0001174	g12357	XP_013648158.2, XP_013684718.1, XP_013730910.2, XP_013676500.1
OG0001174	g29755	XP_048623244.1, XP_048623229.1, XP_022549190.2, XP_048598565.1, XP_048595706.1, XP_013715642.1
OG0001175	g1055	XP_013682733.2, XP_013733429.2, XP_013680478.1, XP_048598836.1
OG0001175	g23700	XP_048633030.1, XP_048619098.1
OG0001176	g9715	XP_013738533.1, XP_013712215.1, XP_048606594.1, XP_013714596.1
OG0001176	g29498, g45539	XP_048598390.1, XP_022554298.1, XP_013678765.1, XP_048626244.1
OG0001177	g5527	XP_048610942.1, XP_013744470.2, XP_048609788.1, XP_048626313.1, XP_013685365.2, XP_022553990.2, XP_048602680.1
OG0001178	g29609	XP_013718916.2, XP_048602678.1, XP_048598476.1, XP_013746790.1
OG0001179	g24168	XP_048638437.1, XP_022567680.2
OG0001180	g47317	XP_013678605.1, XP_048607344.1, XP_013718530.1, XP_013672717.1, XP_013734223.2
OG0001180	g40540	XP_013734076.1, XP_013677076.3, XP_013687423.1, XP_013681688.1
OG0001181	g47399	XP_013642975.1, XP_022550362.1, XP_013685757.2, XP_013656136.2, XP_048622794.1, XP_048618956.1
OG0001181	g40455	XP_013711517.1, XP_013661999.2, XP_022555047.2, XP_022571893.2
OG0001182	g51414	XP_022558402.1, XP_048634399.1, XP_013734254.1, XP_013702865.2, XP_022574977.1, XP_022556523.1, XP_013748544.2
OG0001182	g32375	XP_013652905.2, XP_013731868.1, XP_013693315.2, XP_013662646.1
OG0001183	g47934	XP_022555770.1, XP_048607208.1, NP_001303099.1
OG0001183	g14007	XP_048619550.1, XP_013749094.2
