Orthogroup	Brassica_rapa	Odontarrhena_muralis
OG0000587	XP_009142592.2, XP_009142458.1	Om008G320250
OG0000587	XP_009119663.1	Om005G178890
OG0000588	XP_009135413.1, XP_009146304.2	Om002G060100
OG0000588	XP_009142075.2, XP_009142853.1	Om008G326370
OG0000588	XP_009106983.1	Om003G093150
OG0000589	NP_001288817.1, XP_009131970.2, XP_009131969.1, XP_009120502.2	Om006G245680
OG0000589	XP_033128544.1, XP_009149989.2, XP_033128490.1, XP_009150251.1, XP_009150252.1	Om006G267230
OG0000590	XP_009134831.1, XP_009124879.1, XP_009147225.2	Om002G047710
OG0000590	XP_009151184.2	Om007G293960
OG0000590	XP_009119607.1	Om005G179630
OG0000591	XP_009127255.1	Om001G027320
OG0000592	XP_009147950.1, XP_009145001.1, XP_009113515.2, XP_009145932.2	Om002G064890, Om002G064880
OG0000592	XP_009110365.2, XP_009117627.1, XP_009149259.2	Om005G199600
OG0000593	XP_009117329.1	Om004G133070
OG0000594	XP_009151311.1, XP_009151334.1	Om006G262800
OG0000595	XP_009150272.1	Om006G269050
OG0000595	XP_009131878.1, XP_033138647.1	Om006G243810, Om006G243820
OG0000596	XP_009131764.1, XP_009126410.1	Om007G281510, Om006G241720
OG0000596	XP_009127018.1	Om007G281450, Om003G117040
OG0000598	XP_033132730.1, XP_009108442.1	Om001G004930, Om002G071420
OG0000600	XP_009132193.2, XP_009120170.1	Om006G250410
OG0000601	XP_009126050.2, XP_033137542.1, XP_009131469.1	Om007G299770
OG0000601	XP_009139830.1, XP_018512375.1	Om007G315410
OG0000602	XP_009130717.1	Om004G174460
OG0000602	XP_009116015.1, XP_009103848.1	Om006G254960
OG0000602	XP_009146894.2, XP_009135040.1, XP_009123155.1	Om002G052520
OG0000603	XP_033135966.1, XP_018510519.1, XP_033131351.1	Om001G014500, Om008G359600, Om005G223970, Om018G373750, Om008G341190, Om001G025330
OG0000604	XP_009133818.1	Om003G128580, Om008G319190
OG0000604	XP_009137484.1, XP_009138683.1	Om007G285830
OG0000605	XP_009128020.1	Om004G140130
OG0000605	XP_009128018.1	Om004G140160
OG0000606	XP_009115095.2, XP_033132955.1, XP_009137369.2, XP_033143799.1	Om002G061700
OG0000606	XP_009104437.1	Om004G129810
OG0000606	XP_033146855.1	Om003G094590
OG0000607	XP_009112175.1, XP_033142287.1	Om002G066240
OG0000607	XP_009138254.2	Om001G031830
OG0000608	XP_009139389.1	Om003G120910
OG0000608	XP_033145724.1	Om004G153420, Om018G374080, Om003G120920
OG0000609	XP_009105540.1, XP_033139716.1, XP_009140789.1	Om001G033800, Om001G033790
OG0000613	XP_009134673.1	Om002G043790
OG0000613	XP_009119920.1	Om003G115420
OG0000614	XP_009122490.1, XP_009122487.2, XP_009131101.2, XP_033140950.1, XP_009125742.2	Om004G167200, Om004G167190
OG0000615	XP_033129532.1, XP_009102287.2	Om002G084910
OG0000615	XP_009138409.2, XP_009146753.2, XP_009109323.1	Om001G035770
OG0000615	XP_009136602.1	Om006G257560
OG0000616	XP_009120601.1	Om006G244670
OG0000616	XP_009116035.1	Om008G335980, Om006G254660
OG0000617	XP_033133507.1, XP_033135304.1, XP_009135956.1, XP_009103070.1	Om004G159110
OG0000617	XP_009134519.1	Om004G158130
OG0000618	XP_033140046.1	Om004G133000
OG0000618	XP_009149136.1	Om005G198040
OG0000618	XP_033144430.1	Om001G020760
OG0000619	XP_009133125.1	Om008G335990, Om008G336000
OG0000619	XP_009116034.1	Om006G254680
OG0000620	XP_009110340.1, XP_009117610.1, XP_009149298.1	Om007G289350, Om005G200260
OG0000620	XP_009106063.1, XP_009128023.1	Om004G140080
OG0000621	XP_009139868.1	Om005G199690
OG0000622	XP_033134424.1	Om004G145830, Om004G145910
OG0000625	XP_009147372.1	Om002G043480
OG0000625	XP_009126494.1, XP_009138056.1, XP_009117075.1, XP_009108896.1, XP_009140630.1	Om001G028720
OG0000626	XP_009112935.1	Om005G226500
OG0000627	XP_009127510.1, XP_009105134.2, XP_009108190.2, XP_009142640.1, XP_009137609.2	Om001G018740
OG0000627	XP_009132384.1, XP_009120058.1	Om003G117480
OG0000628	XP_009106439.2, XP_009104594.1	Om004G134080
OG0000628	XP_009145864.1, XP_009135596.1, XP_009112516.1	Om002G065810
OG0000629	XP_033132468.1	Om008G345860, Om006G267530, Om001G024090, Om008G345620
OG0000630	XP_009139763.1, XP_009110931.1, XP_033132524.1	Om005G221290
OG0000632	XP_009142329.1, XP_009143129.1	Om008G322280
OG0000633	XP_009147901.1, XP_009139828.1	Om006G268280
OG0000633	XP_009138908.1	Om004G129890
OG0000635	XP_009141158.1	Om007G280320
OG0000636	XP_009122189.1	Om004G171070
OG0000636	XP_009122192.2, XP_009122191.1, XP_009122193.2	Om004G171050
OG0000636	XP_009122190.1	Om004G171040, Om004G171060
OG0000640	XP_033137052.1, XP_033137055.1, XP_033137065.1	Om006G258730
OG0000641	XP_009135772.1	Om005G193540, Om002G069920
OG0000642	XP_009140217.2	Om007G315380
OG0000645	XP_009139538.1	Om005G206760
OG0000645	XP_009139540.1	Om008G329430, Om005G208230
OG0000646	XP_009151804.1, XP_033140751.1	Om006G269470
OG0000646	XP_009117734.1, XP_009147394.2	Om002G043170
OG0000646	XP_033145972.1	Om007G315500
OG0000647	XP_009104986.1	Om002G052310
OG0000648	XP_009116937.2, XP_009138719.2, XP_033148261.1, XP_009116934.2	Om003G128400, Om003G128430, Om003G128440
OG0000649	XP_009107631.1	Om006G253830
OG0000649	XP_009106271.1, XP_033140577.1	Om004G136710
OG0000650	XP_009128838.1	Om008G359210
OG0000650	XP_033136899.1	Om008G359260
OG0000650	XP_009114384.1	Om008G359240, Om008G359230, Om008G359250
OG0000651	XP_009113386.1	Om006G246340
OG0000651	XP_033143217.1, XP_018511888.1, XP_009131959.1	Om005G203940
OG0000652	XP_018513985.1, XP_018515206.1, XP_033129546.1, XP_033129545.1, XP_033129547.1, XP_033140481.1, XP_033140480.1	Om006G237830, Om006G237880, Om006G237860
OG0000653	XP_033139182.1	Om007G305010, Om007G281870, Om006G265690
OG0000654	XP_033140117.1, XP_009126707.2, XP_009126706.2, XP_033141247.1, XP_033138534.1	Om006G246810, Om006G247060, Om006G245900
OG0000655	XP_033147084.1	Om006G270570
OG0000658	XP_009139284.1, XP_009103883.2, XP_009116083.2, XP_033128345.1, XP_009111747.2, XP_009129876.1, XP_009151189.1	Om003G106660, Om007G293840, Om006G254110
OG0000660	XP_009110948.1	Om005G185150
OG0000660	XP_009149960.1, XP_009126715.1, XP_009120428.1	Om006G246670
OG0000661	XP_033147704.1, XP_033147703.1, XP_009132808.2, XP_009132800.2, XP_009141153.1, XP_009141156.2	Om007G280270, Om008G327370
OG0000662	XP_009121540.1	Om007G299230
OG0000662	NP_001288811.1, XP_009134666.2	Om002G043690
OG0000662	XP_009126071.1, XP_009121539.1	Om007G299200
OG0000663	XP_009103050.1, XP_033132851.1, XP_009109858.1	Om004G147530, Om004G147600
OG0000664	XP_009126224.2, XP_033141429.1	Om001G038790
OG0000665	XP_009152013.1, XP_009152014.1	Om008G325860, Om008G332120
OG0000666	XP_018509456.1	Om001G024180, Om001G024200
OG0000669	XP_009142992.1, XP_009142247.2, XP_018513612.1	Om008G323950, Om001G002100, Om001G002090
OG0000671	XP_009139821.1, XP_009139831.1, XP_033145949.1, XP_009140207.1	Om006G248300
OG0000672	XP_009132979.1, XP_009143793.1, XP_009141364.2	Om008G340360
OG0000672	XP_009115256.1	Om007G289610
OG0000673	XP_009152110.1, XP_033128899.1, XP_033128897.1	Om006G272930
OG0000673	XP_033142071.1, XP_009133984.1	Om004G158090
OG0000674	XP_009111182.2, XP_009119610.2	Om005G179570
OG0000674	XP_009118697.1, XP_009142519.2	Om008G319260
OG0000674	XP_009111298.1	Om004G159710
OG0000675	XP_009149029.1, XP_009110466.1, XP_009117793.1, XP_009132842.1	Om005G196790, Om007G279730
OG0000676	XP_033146574.1, XP_018510682.2	Om006G251430
OG0000676	XP_009106087.1, XP_009104770.1, XP_009128039.2	Om004G139720
OG0000677	XP_009103118.1	Om004G136950, Om004G145150
OG0000677	XP_009103117.1, XP_009110058.1, XP_009115434.2	Om001G025590
OG0000678	XP_033133642.1, XP_033133691.1, XP_033133968.1	Om003G121880
OG0000682	XP_033145258.1, XP_009128728.2, XP_033141181.1, XP_009104162.1, XP_033145947.1, XP_033147003.1, XP_033133869.1, XP_033141130.1, XP_009128331.1, XP_033132648.1, XP_033144013.1, XP_033137616.1, XP_033129223.1	Om002G081140
OG0000685	XP_009137849.2, XP_009128647.1	Om001G024490
OG0000685	XP_009109183.1, XP_009142114.1	Om002G087370
OG0000686	XP_009138241.1, XP_009108772.2, XP_009108771.2	Om001G031630, Om001G031650, Om001G031590
OG0000686	XP_033132567.1	Om001G031660
OG0000687	XP_009136779.1, XP_009146162.2	Om007G275820
OG0000687	XP_009104091.1, XP_009133709.1	Om008G322470, Om008G322490
OG0000688	XP_033141482.1	Om001G026700
OG0000688	XP_009101264.1, XP_009129159.1, XP_033141019.1	Om002G067310
OG0000689	XP_009134165.1, XP_009114767.1, XP_009145157.1, XP_009113572.3	Om005G205310, Om001G012690
OG0000691	XP_009114784.1	Om007G298400
OG0000692	XP_009138937.1, XP_009116558.1	Om003G122540, Om003G122530
OG0000692	XP_009116559.1, XP_009104171.1	Om003G122550
OG0000692	XP_009142877.1	Om008G326170
OG0000693	XP_009116275.2, XP_009139140.2	Om006G251440
OG0000695	XP_009106065.1	Om004G140010
OG0000697	XP_018515541.1	Om003G096530, Om003G095790, Om003G096510, Om003G095780
OG0000699	XP_018511597.1, XP_009144401.1, XP_009142183.1	Om008G325440
OG0000700	XP_009124394.1, XP_033145137.1, XP_033145138.1, XP_009144398.2	Om072G377210, Om007G282900, Om072G377220, Om007G282910
OG0000702	XP_033141368.1, XP_009121658.2, XP_009131410.2	Om007G301290
OG0000702	XP_009147447.1	Om002G042520
OG0000703	XP_009122681.1	Om004G173900
OG0000703	XP_009141596.2	Om008G337070
OG0000703	XP_009125243.2	Om006G255340
OG0000704	XP_009133184.1, XP_009133165.2, XP_009137017.2	Om001G004670, Om001G004680
OG0000705	XP_009142226.1	Om008G324600
OG0000706	XP_009129973.1	Om006G239960
OG0000707	XP_009127619.1	Om005G211110
OG0000708	XP_009118185.2	Om005G190620
OG0000709	XP_018509681.1, XP_009115843.1	Om007G296380
OG0000710	XP_009148668.1, XP_033128179.1, XP_033134915.1, XP_018510377.2, XP_018510527.2, XP_009117974.1, XP_009118029.1	Om005G193740, Om005G194960, Om005G193780
OG0000711	XP_033145483.1, XP_009139957.1	Om005G226640
OG0000712	XP_033135275.1	Om001G029690
OG0000714	XP_033140234.1	Om005G213220
OG0000714	XP_018509195.1	Om005G213140
OG0000715	XP_009114618.1, XP_009134272.1	Om008G353360
OG0000716	XP_009119398.1, XP_033145912.1	Om001G030930
OG0000717	XP_009103307.2, XP_009103306.1, XP_009110196.1, XP_009149590.1	Om005G203310
OG0000718	XP_009121182.1	Om002G055310
OG0000718	XP_009130626.1	Om004G177070
OG0000719	XP_009126643.1, XP_009120506.1, XP_009120505.1, XP_009131966.1	Om006G245640
OG0000720	XP_033131562.1, XP_009115870.1	Om003G128230
OG0000720	XP_009102816.1, XP_033140189.1	Om004G159420
OG0000720	XP_009118750.1	Om008G319350
OG0000722	XP_009105641.2	Om005G208970
OG0000722	XP_009117913.2, XP_009110550.1, XP_009148716.1	Om005G194430
OG0000723	XP_009129919.1, XP_009111696.1, XP_009151135.1	Om007G294640
OG0000724	XP_009139357.2, XP_033146550.1, XP_033146548.1, XP_033146544.1	Om006G252130, Om006G252070, Om006G252080, Om006G252100, Om006G252120
OG0000726	XP_033147922.1	Om001G037180, Om001G037210
OG0000730	XP_009114166.2, XP_009114171.1, XP_009129102.2, XP_009152206.2	Om006G274110
OG0000730	XP_018508167.2, XP_009148685.1, XP_009117944.1	Om005G193950
OG0000731	XP_009152073.2, XP_009129563.3	Om008G338660
OG0000731	XP_009152074.1	Om008G338680
OG0000732	XP_009126921.1	Om006G250070
OG0000732	XP_009148743.1	Om006G255490
OG0000734	XP_033146319.1, XP_009107343.1, XP_009132599.1	Om003G112660
OG0000735	XP_033139648.1	Om003G118250
OG0000735	XP_033139644.1	Om003G118240
OG0000736	XP_009122071.1, XP_009131149.1	Om004G165740
OG0000736	XP_009138550.2	Om001G039680
OG0000738	XP_009143902.1, XP_018512685.2, XP_009132883.2	Om007G278680
OG0000739	XP_009111137.3, XP_009119352.2	Om005G180900
OG0000739	XP_009108082.1	Om002G071940
OG0000740	XP_033134333.1	Om004G147780
OG0000741	XP_009135307.1	Om002G057710
OG0000741	XP_033144542.1	Om003G119120
OG0000741	XP_009103725.1, XP_009106876.1	Om003G090420
OG0000742	XP_033138842.1, XP_033129922.1, XP_033138930.1, XP_033138929.1	Om068G377170
OG0000744	XP_009131699.1	Om007G295290
OG0000744	XP_018509769.2	Om007G295300
OG0000749	XP_009152111.1	Om005G193040
OG0000749	XP_009103071.2, XP_009109883.2	Om004G147040
OG0000750	XP_033145642.1	Om007G291180, Om001G009690
OG0000750	XP_009113004.1	Om005G228180
OG0000751	XP_009130786.1, XP_009125523.1, XP_009150486.1, XP_033134796.1, XP_009122664.2	Om004G173690
OG0000752	XP_009111649.1, XP_033140466.1, XP_009151025.1, XP_009151026.1	Om006G239670, Om006G239690, Om006G239700, Om006G239680
OG0000752	XP_009131181.1	Om004G164920
OG0000753	XP_009123045.1	Om001G015620
OG0000754	XP_009107648.1	Om001G015760
OG0000754	XP_009136205.1, XP_009112251.2, XP_009123167.1	Om008G342780
OG0000755	XP_033135546.1, XP_009114502.1	Om008G355040
OG0000755	XP_009114501.1, XP_009144518.1	Om008G355050
OG0000757	XP_009141676.1	Om004G175670
OG0000757	XP_009103881.1, XP_033137111.1	Om008G335340, Om006G254280
OG0000758	XP_009106716.1, XP_009128391.1	Om004G131100
OG0000758	XP_009149028.1	Om005G196770
OG0000759	XP_009132709.1	Om007G282010
OG0000759	XP_009118992.3, XP_018510674.2, XP_009110956.2	Om005G184700
OG0000760	XP_009139107.1, XP_009116338.1	Om006G250500
OG0000761	XP_009136050.2	Om002G067830
OG0000762	XP_033130573.1, XP_009102127.1	Om002G087650, Om001G015670
OG0000762	XP_018511278.2, XP_033134716.1	Om002G087620
OG0000763	XP_009107058.1, XP_009106949.1, XP_009106947.1, XP_009107056.1	Om003G091650
OG0000763	XP_009147560.1, XP_009147557.1, XP_033133353.1	Om003G091630
OG0000764	XP_009147811.2, XP_009147833.2	Om003G096690, Om003G096670, Om003G096680
OG0000772	XP_009151865.1, XP_033140743.1, XP_009111599.1	Om006G270510
OG0000773	XP_009105516.1, XP_009127750.1, XP_009104992.1, XP_009110049.1, XP_009111611.1	Om005G209150
OG0000774	XP_009137585.1, XP_009109180.2, XP_009142147.2	Om001G017860
OG0000775	XP_009135111.1	Om004G172920
OG0000776	XP_009133397.1	Om008G330800
OG0000776	XP_009123454.1, XP_009146942.1, XP_009135066.2	Om002G051640
OG0000777	XP_009109147.2	Om001G020010
OG0000777	XP_009107080.1, XP_009106912.1	Om003G091110
OG0000779	XP_009135828.1, XP_009137252.1	Om001G008900
OG0000779	XP_009114601.1	Om008G353570
OG0000779	XP_033136512.1	Om008G353560
OG0000780	XP_009127742.1	Om001G039760
OG0000780	XP_009125321.1	Om004G165850
OG0000781	XP_009133642.2, XP_009133637.2, XP_033142578.1, XP_009142974.1	Om008G324460, Om008G324450, Om008G324440, Om008G324430
OG0000781	XP_009142972.2	Om008G324410
OG0000783	XP_009131855.1, XP_009120690.1, XP_009120689.2, XP_009126521.2	Om006G243370
OG0000784	XP_009131883.1	Om006G244140
OG0000785	XP_009108808.1, XP_009123518.1	Om001G030640, Om001G030650
OG0000785	XP_009122572.1	Om004G172580
OG0000786	XP_009130300.3	Om006G236980
OG0000787	XP_018514801.1, XP_033148411.1	Om002G056150, Om002G056160, Om002G056140
OG0000787	XP_033148417.1, XP_018513181.1	Om002G056130
OG0000788	XP_033128496.1, XP_009107824.2	Om006G267680
OG0000788	XP_009126582.2, XP_009120613.1	Om006G244510
OG0000788	XP_009149905.2, XP_009150093.1	Om006G267760
OG0000789	XP_009106677.1, XP_009128369.1, XP_009104523.2	Om004G131580
OG0000789	XP_009135249.2, XP_009146585.2, XP_009124670.2	Om002G056630
OG0000790	XP_033131859.1, XP_033131049.1	Om003G091770, Om003G091720, Om003G091750
OG0000790	XP_033132034.1, XP_018508416.1	Om003G091710
OG0000792	XP_033140794.1	Om003G120840
OG0000793	XP_033140998.1, XP_009137118.2	Om004G131020
OG0000794	XP_018513869.1, XP_033145155.1, XP_033145148.1, XP_033134889.1, XP_009102820.2	Om002G070500, Om007G283840
OG0000798	XP_009136806.2, XP_009136839.1	Om007G276100, Om001G000190
OG0000799	XP_033131136.1, XP_009110036.1, XP_033131861.1, XP_033130159.1, XP_033131728.1, XP_033133893.1, XP_033138373.1, XP_033144073.1	Om005G222980
OG0000800	XP_009152168.1, XP_009151494.1	Om006G261660
OG0000801	XP_009122576.1	Om002G053550
OG0000801	XP_009130829.1	Om004G172640
OG0000801	XP_009146826.1	Om002G053590, Om002G053560
OG0000802	XP_009101540.1	Om008G359660
OG0000802	XP_009115183.1	Om007G290710
OG0000802	XP_009131656.1	Om001G002180
OG0000803	XP_009133224.2	Om003G116420, Om001G004780
OG0000804	XP_033145682.1, XP_009147327.1	Om005G228300
OG0000806	XP_009142259.1	Om008G323550
OG0000806	XP_009133672.1	Om008G323530
OG0000807	XP_009142253.1	Om008G323720
OG0000807	XP_033134893.1, XP_033129641.1	Om002G042240
OG0000807	XP_009134576.1, XP_009124050.1	Om002G042250
OG0000808	XP_009140939.2, XP_009103712.1	Om007G283270
OG0000808	XP_009132004.1	Om006G246460
OG0000809	XP_009103102.1, XP_009115386.2, XP_009110029.1	Om004G146010
OG0000810	XP_033128714.1	Om003G096380, Om003G096550
OG0000812	XP_009150151.1, XP_009151947.1	Om002G079240, Om006G260420, Om003G122710, Om003G122690
OG0000813	XP_009135523.1	Om002G063840, Om006G261060
OG0000813	XP_033148597.1	Om002G063830, Om002G063810, Om002G063820
OG0000814	XP_033140223.1, XP_009126623.1, XP_009121323.1	Om002G070350, Om006G243840, Om006G245340
OG0000819	XP_009146823.1	Om002G053630
OG0000819	XP_009103992.1, XP_009139111.1, XP_009116322.1	Om006G250650
OG0000820	XP_009134854.1, XP_009123629.1, XP_009141770.1, XP_009133311.1	Om002G048210
OG0000821	XP_009106994.2, XP_009132572.1, XP_009127263.1	Om003G113100
OG0000823	XP_009101440.1, XP_009128949.1, XP_009114287.2	Om008G362180
OG0000823	XP_009108330.1, XP_009136852.1, XP_009130695.1	Om001G000380
OG0000824	XP_009123738.1	Om001G012010, Om001G012020
OG0000825	XP_009104323.1	Om003G126780
OG0000825	XP_009133768.1, XP_009142670.2	Om008G321070
OG0000826	XP_009143030.1, XP_009142262.2	Om008G323390
OG0000827	XP_009120024.1	Om003G116690
OG0000827	XP_033139781.1	Om004G176620
OG0000828	XP_009133160.2	Om005G219460, Om007G278890, Om008G356770
OG0000829	XP_009130368.1, XP_009130369.1	Om002G045010
OG0000829	XP_009131598.1	Om007G296880
OG0000830	XP_009149511.1, XP_033131956.1	Om005G202380
OG0000830	XP_009106252.1	Om004G136890
OG0000831	XP_009149529.2, XP_009103340.1	Om005G202570
OG0000833	XP_009146320.2, XP_009146321.2, XP_009116594.2, XP_009135396.1, XP_009135398.1	Om002G059910
OG0000834	XP_033148795.1, XP_033148805.1	Om002G065630
OG0000834	XP_009144995.1, XP_033128558.1	Om003G098980
OG0000835	XP_009112131.1, XP_009135617.1, XP_009145825.1	Om002G066410
OG0000835	XP_009107272.1, XP_009147873.1, XP_009145104.2	Om003G098020
OG0000836	XP_009116429.1, XP_009117182.2, XP_009116431.1	Om003G120370
OG0000836	XP_009104047.1	Om003G120360
OG0000837	XP_033137025.1, XP_009115734.2, XP_033137048.1, XP_033134382.1, XP_033137047.1, XP_033137117.1	Om006G258280, Om006G258260
OG0000838	XP_033146034.1	Om001G021120
OG0000839	XP_009107611.2, XP_009124888.1	Om001G015280
OG0000842	XP_009152068.2, XP_009129559.1	Om005G227440
OG0000842	XP_009121600.1	Om001G002220
OG0000843	XP_009108016.1	Om006G236790
OG0000844	XP_009146912.2, XP_009135047.2, XP_033146973.1	Om002G052240
OG0000844	XP_009122746.1, XP_009130738.1	Om004G175120
OG0000845	XP_009134065.1	Om007G285800
OG0000846	XP_009123591.1, XP_009138177.2	Om001G030620
OG0000847	XP_033131649.1, XP_009122535.2	Om004G166450, Om004G166440
OG0000847	XP_009112141.1, XP_009130462.1, XP_033128184.1	Om006G232840
OG0000848	XP_009118792.1, XP_009119670.1, XP_009111207.1	Om005G178800
OG0000849	XP_009111393.1	Om004G158520
OG0000849	XP_033134734.1	Om003G127390
OG0000850	XP_009116794.1, XP_009116793.1	Om003G126290
OG0000850	XP_009138780.1	Om003G126300
OG0000851	XP_009142777.2	Om008G327440
OG0000851	XP_009139032.1, XP_033135962.1	Om003G120650
OG0000852	XP_009144500.1, XP_009134282.1, XP_009135868.1, XP_009114610.2	Om008G353510, Om001G009030
OG0000853	XP_009134375.1, XP_009122199.1, XP_009122188.2	Om004G160710
OG0000853	XP_009144527.1, XP_009134376.3, XP_033135804.1	Om004G160690
OG0000854	XP_033145166.1, XP_009103676.1	Om007G283720
OG0000854	XP_009118398.1, XP_009110913.1, XP_009148049.1	Om005G185890
OG0000855	XP_009149857.2, XP_033132775.1, XP_009150212.1	Om006G263670
OG0000855	XP_009130227.2, XP_033136799.1, XP_009112096.3, XP_009151387.1	Om006G235120
OG0000857	XP_009123209.1	Om006G263880
OG0000857	XP_009149762.1, XP_009151778.1	Om006G260880
OG0000858	XP_009106277.2, XP_009107599.1, XP_033130385.1, XP_009102757.1	Om002G073040
OG0000861	XP_033148480.1, XP_033148481.1, XP_033148783.1	Om005G180100
OG0000867	XP_009135860.2, NP_001289193.1, XP_009105202.1	Om005G213710
OG0000868	XP_009122271.2, XP_009130948.2, XP_009125652.2	Om004G170100
OG0000868	XP_009121086.2, XP_009135191.1, XP_009146672.2	Om002G055490
OG0000869	XP_009136853.1, XP_009114288.1, XP_009128948.1, XP_009101441.1	Om001G000390, Om008G362170
OG0000870	XP_009109745.1, XP_009109746.1	Om007G288540
OG0000870	XP_033133447.1, XP_033147677.1	Om008G340790
OG0000871	XP_009147332.1, XP_009134679.1	Om002G043820
OG0000871	XP_009139790.1, XP_009125075.2	Om007G314750
OG0000872	XP_009141247.1	Om007G279510
OG0000873	XP_009120979.2, XP_009134755.1, XP_009131657.1, XP_009124006.2, XP_009125004.1	Om007G295910
OG0000875	XP_009119045.1	Om005G184100
OG0000875	XP_009119544.1	Om005G180310, Om001G026980
OG0000875	XP_009119545.1	Om005G180320
OG0000875	XP_009116811.1	Om003G126460
OG0000876	XP_009136399.1, XP_009136397.1	Om002G086200
OG0000879	XP_009118492.2, XP_009118490.2, XP_033136487.1, XP_033136486.1, XP_033136490.1	Om005G184110
OG0000883	XP_009108713.1, XP_009138316.1, XP_009110285.2	Om001G033060
OG0000884	XP_009127623.1, XP_033130272.1, XP_033131424.1	Om005G211060
OG0000885	XP_009145340.1, XP_009110136.2, XP_009103236.2	Om005G204940
OG0000885	XP_009144153.1, XP_009137757.1	Om001G021960
OG0000886	XP_009101818.1, XP_009123705.1	Om008G341510
OG0000887	XP_009117089.1	Om008G319930
OG0000887	XP_009117309.1	Om008G319920
OG0000888	XP_009104146.1, XP_009116529.1, XP_009138958.1	Om003G122230
OG0000888	XP_009142847.1, XP_009142071.1, XP_009133540.2	Om008G326480
OG0000889	XP_009116231.1, XP_009103953.1, XP_009139171.2	Om006G252000
OG0000889	XP_009120438.1	Om006G246440, Om006G246450
OG0000890	XP_009103879.1, XP_009116062.1	Om006G254370
OG0000890	XP_009133182.1, XP_009141669.1, XP_009143485.1	Om008G335550
OG0000891	XP_009145341.1	Om005G204900
OG0000891	XP_009103237.1, XP_009110138.1	Om005G204930
OG0000892	XP_009151073.1, XP_009129961.1, XP_018510844.2, XP_033146797.1, XP_009135555.1	Om006G240260, Om006G240250
OG0000893	XP_009139532.2, XP_009130083.1, XP_009141944.1	Om006G238770
OG0000894	XP_033130575.1	Om002G058710
OG0000894	XP_033136721.1	Om002G087350
OG0000895	XP_009136124.1, XP_033137192.1, XP_033131073.1	Om008G357430, Om008G357440
OG0000897	XP_009133215.1	Om008G334790, Om008G334800
OG0000897	XP_033146942.1	Om006G254020
OG0000900	XP_009117993.1	Om005G193320
OG0000900	XP_009117992.1, XP_009110579.1	Om005G193340
OG0000901	XP_033137268.1, XP_009145792.1, XP_009124841.1, XP_009145812.1	Om002G082990, Om002G082970, Om007G275790
OG0000902	XP_009122147.1, XP_009130880.1	Om004G171650, Om004G171970
OG0000902	XP_009122586.1, XP_009146798.2	Om002G054040
OG0000903	XP_033146919.1	Om004G164180, Om004G164000, Om007G288460
OG0000904	XP_009125304.2, XP_009131151.2, XP_009122062.2, XP_009108917.1, XP_009126736.2	Om001G028210
OG0000905	XP_009122072.1	Om004G165730
OG0000905	XP_009150573.1	Om006G232350
OG0000906	XP_009122099.1, XP_009125334.1, XP_033142799.1	Om004G166090
OG0000907	XP_009132011.1	Om001G002610, Om008G358980, Om008G358950
OG0000908	XP_009101890.1	Om001G040680
OG0000908	XP_009147223.1	Om002G047730
OG0000908	XP_009117380.1	Om004G155910
OG0000909	XP_009139627.1	Om007G280210
OG0000909	XP_009121507.1, XP_009131529.1	Om007G298720
OG0000910	XP_018510757.1	Om006G245280
OG0000910	XP_033140224.1	Om006G245290
OG0000911	XP_009112328.1, XP_009103493.2	Om006G229870
OG0000912	XP_009134424.1, XP_009111273.1	Om004G160050
OG0000913	XP_009103183.2, XP_009110108.1, XP_009115545.2, XP_009104949.1	Om004G143650
OG0000913	XP_009105729.1, XP_009127813.2	Om005G207400
OG0000914	XP_033134193.1, XP_009134748.1	Om002G045570
OG0000915	XP_009115989.2, XP_009125239.2, XP_009148749.1	Om006G255370
OG0000915	XP_033146123.1, XP_009143588.1, XP_009133081.1	Om008G337180
OG0000916	XP_009148827.2	Om005G194670
OG0000916	XP_009117895.1	Om005G194680
OG0000917	XP_009110600.1, XP_009140378.1, XP_009140379.2, XP_009112493.1, XP_009118033.1	Om005G192690
OG0000917	XP_009110601.1, XP_009110602.2	Om005G192650, Om005G192670
OG0000919	XP_033147539.1, XP_009136030.1	Om002G063780
OG0000920	XP_009106950.1, XP_009106952.1	Om003G091660, Om003G091680
OG0000920	XP_009147567.1	Om003G091780
OG0000921	XP_009145106.2, XP_009147879.1	Om003G097940
OG0000923	XP_009132432.1	Om005G226510, Om005G226520, Om005G226560
OG0000924	XP_009109316.1	Om001G036070
OG0000930	XP_009102137.1, XP_009112628.1, XP_009117521.2	Om002G087470
OG0000930	XP_009109044.1, XP_009128846.1, XP_009137845.1	Om001G024260
OG0000931	XP_033147832.1, XP_009135023.1	Om006G251030
OG0000931	XP_033147831.1, XP_009122366.2, XP_033142262.1	Om002G054470
OG0000932	XP_009141642.2, XP_009133144.1, XP_033148461.1	Om008G335890
OG0000932	XP_009121046.1, XP_009146669.1, XP_009135197.1	Om002G055520
OG0000933	XP_009127248.1	Om003G113540
OG0000933	XP_009132530.1	Om007G286610
OG0000934	XP_033136818.1	Om001G004220
OG0000935	XP_033142081.1, XP_009114487.1	Om008G355400
OG0000935	XP_009137170.1, XP_009108507.1, XP_009134478.1, XP_033138209.1	Om001G006870
OG0000936	XP_009134988.2	Om001G007510
OG0000937	XP_009137409.1	Om001G011310
OG0000937	XP_009137605.1	Om001G011350, Om001G011370
OG0000937	XP_033143750.1	Om001G011380, Om001G011360
