Orthogroup	Brassica_rapa	Aethionema_saxatile
OG0002656	XP_009122536.1	As002G053570
OG0002657	XP_009136898.1	As003G056450
OG0002657	XP_033136812.1	As004G089010
OG0002658	XP_009134095.1, XP_033130185.1, XP_009134117.2	As003G058870
OG0002659	XP_009137247.1, XP_009135776.1	As003G060340
OG0002660	XP_009137266.1, XP_009136013.1	As003G060580
OG0002661	XP_009137353.1	As003G061470
OG0002661	XP_009108173.1	As004G084490
OG0002662	XP_009145120.1	As003G063950
OG0002662	XP_009134149.2	As004G080190
OG0002663	XP_009143848.1	As004G081750
OG0002663	XP_009113703.1, XP_009109757.1	As003G068530
OG0002664	XP_009151156.2, XP_033133995.1	As003G072000, As003G071990
OG0002665	XP_009102292.1, XP_009150753.1	As011G264930
OG0002666	XP_009144195.1, XP_009144127.1, XP_009138429.1, XP_009109314.1	As003G072660
OG0002667	XP_009143412.1	As003G072790
OG0002667	XP_009150734.1	As011G265360
OG0002669	XP_009140398.1	As007G179900
OG0002669	XP_009133477.1	As003G074060
OG0002670	XP_009140291.1	As007G180820
OG0002670	XP_009101891.1	As003G075640
OG0002672	XP_009125114.1	As004G078520
OG0002673	XP_009134133.1	As004G080350
OG0002674	XP_009134275.1, XP_009134274.1	As004G085250
OG0002675	XP_009134406.2, XP_009114483.1	As004G086350
OG0002676	XP_009139654.1	As004G093110
OG0002676	XP_009102414.1	As011G258120, As011G258130
OG0002677	XP_009135205.1, XP_009135204.1	As004G093500
OG0002678	XP_033133915.1	As004G093530
OG0002678	XP_033137785.1, XP_018513670.1	As004G094510
OG0002679	XP_009107777.1	As004G095650
OG0002680	XP_009148494.1	As004G095740
OG0002680	XP_009145248.1, XP_009135840.1	As011G254910
OG0002681	XP_009133779.1, XP_009142417.1, XP_009142649.2	As005G100710
OG0002682	XP_009117196.2	As012G285320
OG0002684	XP_009142001.1, XP_009116437.1	As005G105950
OG0002686	XP_009122637.1	As005G109060
OG0002686	XP_018512499.1	As009G201790, As009G201760
OG0002687	XP_009126614.1, XP_009120570.1	As005G114330
OG0002688	XP_009150059.1	As010G224920
OG0002688	XP_009126629.2	As005G114620
OG0002689	XP_033142238.1, XP_033139181.1, XP_009120469.1	As005G115500
OG0002690	XP_009149967.1	As010G224390
OG0002690	XP_009150431.1	As005G115510
OG0002691	XP_009149806.1	As010G222530
OG0002691	XP_009150400.1	As005G116360
OG0002692	XP_009134549.1, XP_009111482.1	As006G121510
OG0002693	XP_009111250.1, XP_009134385.1	As006G123750
OG0002694	XP_009101725.1, XP_018509639.2	As006G124270
OG0002695	XP_009144057.1, XP_009132810.1	As006G127050
OG0002695	XP_009118574.1	As008G194410
OG0002696	XP_033135886.1, XP_033145183.1	As006G129490
OG0002697	XP_009146986.1	As006G142000, As006G133830
OG0002698	XP_009130592.2	As006G136330
OG0002698	XP_033138427.1	As009G203310
OG0002699	XP_009107516.1, XP_009126186.1	As009G203390
OG0002700	XP_009102087.1	As009G204050, As006G137200
OG0002701	XP_009134954.1, XP_009147099.1, XP_033129713.1	As006G140860
OG0002702	XP_009103981.1	As012G282650
OG0002702	XP_009141889.1	As006G142520
OG0002703	XP_018510218.1	As006G142840
OG0002703	XP_009115179.1, XP_009109605.1	As011G265040
OG0002704	XP_009133115.1, XP_009141626.1	As006G145710
OG0002705	XP_009116111.1, XP_009139253.1	As006G148860
OG0002706	XP_009106669.1	As010G242850
OG0002706	XP_009149069.1	As007G152830
OG0002707	XP_033131773.1	As010G240220
OG0002707	XP_009149249.1	As007G154380
OG0002708	XP_009128096.1, XP_009149449.1	As007G155940
OG0002709	XP_009106356.1, XP_009149608.1, XP_009103299.1	As007G157250
OG0002710	XP_009103215.1	As007G158990
OG0002710	XP_009105806.2	As010G234240
OG0002711	XP_009103138.2, XP_009115478.1	As007G159880
OG0002712	XP_033130124.1	As007G161180
OG0002713	XP_009103073.1, XP_009109888.1, XP_009115331.1	As007G161210
OG0002714	XP_009148897.1	As008G182320
OG0002715	XP_009101330.2, XP_009129220.2, XP_018510015.1	As008G182490
OG0002716	XP_009148363.1, XP_009118258.1	As008G187170
OG0002717	XP_033143161.1, XP_009128147.1	As009G202340
OG0002718	XP_009126179.1, XP_033138380.1	As009G203250, As009G203380
OG0002719	XP_009130001.1	As009G215820
OG0002720	XP_009149357.3	As010G220600, As010G220610
OG0002721	XP_009151976.1	As010G221870, As010G221880
OG0002722	XP_009127717.1	As010G232310
OG0002723	XP_009128274.1, XP_009106458.1	As010G235340
OG0002724	XP_009149558.1	As010G237080
OG0002725	XP_009146550.1, XP_009124680.2	As011G244940
OG0002726	XP_009146244.2, XP_009115530.2	As011G247620
OG0002726	XP_009147645.1	As012G270130
OG0002727	XP_009114826.2, XP_009135480.2, XP_009146158.1	As011G248410
OG0002728	XP_009147876.1	As012G272740
OG0002728	XP_009112103.1, XP_009135620.1	As011G251250
OG0002729	XP_009145617.1	As011G252830
OG0002729	XP_009144938.1	As012G271580
OG0002730	XP_009135765.1, XP_009145464.1, XP_009109403.2, XP_009109391.2, XP_009145463.1	As011G253790
OG0002731	XP_009145329.3	As011G254440
OG0002733	XP_009107309.1, XP_009147907.1, XP_009102051.1	As012G273010
OG0002734	XP_009115191.1, XP_009109616.1	As012G275240
OG0002736	XP_009133223.1, XP_009141712.1, XP_009116096.1	As012G278190
OG0002737	XP_009116346.1	As012G282920
OG0002753	XP_009144375.1	As001G000210
OG0002753	XP_009102000.1, XP_033136500.1	As011G267350
OG0002755	XP_009126691.1	As001G004000
OG0002757	XP_033134127.1	As011G263180
OG0002758	XP_009138343.1	As011G263700
OG0002759	XP_009102673.1, XP_009108140.1, XP_018508480.1	As001G015740
OG0002760	XP_009151434.1	As001G017010, As007G159080
OG0002762	XP_009105258.1	As001G021940
OG0002762	XP_033136604.1	As008G185820
OG0002763	XP_009114228.2, XP_009101333.1	As008G182460
OG0002764	XP_018514981.1	As008G183640
OG0002764	XP_009152157.1	As001G024270
OG0002765	XP_033129178.1	As001G025940
OG0002766	XP_009139744.1	As004G077360
OG0002767	XP_009112971.2, XP_009124339.1	As001G031510
OG0002768	XP_009124813.1	As002G032910
OG0002769	XP_009146930.1	As002G034270
OG0002770	XP_009132697.1	As002G042380
OG0002771	XP_009125328.1, XP_009131144.1	As002G053190
OG0002771	XP_009150591.1	As005G118190
OG0002772	XP_009150453.1	As005G116840
OG0002772	XP_009122502.1	As002G054010
OG0002773	XP_009122336.1	As002G055290
OG0002773	XP_033143271.1	As009G218230
OG0002774	XP_009101630.1	As004G087290
OG0002775	XP_009137032.1, XP_009101638.1	As003G058200
OG0002776	XP_009137195.2, XP_009108497.1	As003G059570
OG0002777	XP_009137218.1, XP_009108535.1, XP_009135393.2, XP_009135379.1	As003G059960
OG0002779	XP_009107936.1	As003G063190, As003G063150, As003G063170
OG0002780	XP_009148001.1, XP_009107907.1	As003G064140
OG0002781	XP_033142581.1, XP_009134121.1	As003G073970
OG0002782	XP_009112537.1	As003G074780, As007G180390
OG0002783	XP_009117425.3, XP_009109989.1	As003G075620
OG0002784	XP_009108335.1, XP_009114289.1, XP_009101442.1	As004G089990
OG0002785	XP_009108026.1	As004G091710
OG0002785	XP_009123668.1	As011G259610
OG0002786	XP_009108020.2, XP_009108022.1	As004G091990
OG0002787	XP_009124259.1	As004G092210
OG0002788	XP_033146653.1	As004G095570
OG0002788	XP_009135850.1, XP_018508327.1	As011G255120
OG0002789	XP_009107798.1, XP_009148323.1	As004G095840
OG0002790	XP_009145390.2, XP_009108947.1	As011G254310, As004G096070
OG0002791	XP_009145466.1	As004G096460
OG0002793	XP_009142463.1, XP_009142574.1	As005G099990
OG0002793	XP_009104372.1	As012G288160
OG0002794	XP_009143123.2	As005G101850
OG0002794	XP_009116754.2, XP_009138817.1	As012G286850
OG0002795	XP_009133690.1, XP_009116713.1, XP_009138843.1	As005G102310
OG0002796	XP_009142951.1	As005G103720, As005G103730
OG0002797	XP_009142053.1, XP_009142820.2	As005G105270
OG0002798	XP_009142776.1, XP_009133511.2	As005G105660
OG0002800	XP_009125513.1, XP_009125512.1	As005G108500
OG0002801	XP_009120766.2, XP_009131818.2	As005G112300, As010G227050
OG0002802	XP_009124332.1, XP_009131837.2, XP_009120732.1	As005G112600
OG0002803	XP_009149935.1	As010G224010
OG0002803	XP_009120395.1	As005G115960
OG0002804	XP_009103462.1	As005G119640
OG0002804	XP_009101772.2	As010G221140
OG0002805	XP_009133846.1	As006G121540, As006G128670
OG0002806	XP_033134028.1	As008G198160
OG0002806	XP_009134479.1	As006G122540
OG0002807	XP_009144526.2, XP_009134374.2, XP_033147974.1	As006G123850
OG0002808	XP_009143993.1	As006G126320
OG0002808	XP_009119194.1	As008G195220
OG0002809	XP_009132779.1, XP_009144217.2, XP_009118554.1	As006G127320
OG0002810	XP_009144273.2	As006G127830
OG0002812	XP_018514149.2	As006G130890
OG0002812	XP_009118379.1, XP_009148092.2	As008G190700
OG0002814	XP_009147370.1, XP_009134654.1	As006G135200
OG0002815	XP_009119215.1	As006G136420
OG0002815	XP_009107521.1	As009G203420
OG0002817	XP_009125000.1	As006G137530
OG0002817	XP_033141891.1, XP_009131669.1	As009G204350
OG0002818	XP_009134806.1	As006G138270
OG0002818	XP_009111932.1	As009G206780
OG0002819	XP_009124936.1	As006G139750
OG0002820	XP_033147484.1, XP_033147346.1	As006G140110
OG0002821	XP_009124640.1, XP_009147125.1, XP_009129764.1	As006G140460
OG0002822	XP_009134772.1	As006G144050
OG0002823	XP_009115972.1, XP_009141570.2	As006G144770
OG0002824	XP_009139279.1, XP_009133209.1	As006G146920
OG0002825	XP_009104453.1	As010G243950
OG0002825	XP_009148942.1	As007G152100
OG0002826	XP_009104497.1	As010G243210
OG0002826	XP_009117784.1	As007G152490
OG0002827	XP_009149197.1, XP_009110405.1, XP_009105927.1	As007G153850
OG0002828	XP_033134650.1	As007G153940
OG0002828	XP_009105932.1, XP_018512273.2	As010G241060
OG0002829	XP_009105977.2	As007G154360
OG0002830	XP_009110321.1	As007G155230
OG0002831	XP_033131375.1	As010G238770
OG0002831	XP_009117578.1	As007G155350
OG0002832	XP_009149532.1	As007G156660
OG0002832	XP_009106282.1	As010G237250
OG0002833	XP_009149531.1	As007G156670
OG0002833	XP_009106283.1	As010G237240
OG0002834	XP_009110077.1, XP_009127784.3	As007G159790
OG0002835	XP_033140924.1	As010G232250
OG0002835	XP_009109917.1	As007G160850
OG0002836	XP_009127674.1, XP_009109894.2, XP_009115339.1	As007G161170
OG0002837	XP_009127632.1, XP_009105388.1, XP_009103064.1	As007G161340
OG0002838	XP_009137440.2, XP_009109254.1, XP_009137922.1	As007G162790
OG0002840	XP_009109490.2, XP_009140284.1	As007G180880
OG0002841	XP_009143996.1, XP_009119203.1	As008G195240
OG0002842	XP_009118711.1, XP_009111159.2	As008G197280, As008G197290, As008G197270
OG0002843	XP_009130109.1	As009G217030
OG0002845	XP_009131702.1, XP_009120942.1, XP_009126285.1	As009G204620
OG0002846	XP_009151293.1, XP_033140558.1	As009G207360
OG0002848	XP_009130063.1, XP_033136871.1	As009G216240
OG0002849	XP_009149749.1	As010G221970
OG0002849	XP_009150952.1	As009G216340
OG0002850	XP_033144965.1	As009G218290
OG0002850	XP_009137074.2	As009G216690
OG0002851	XP_009150900.1	As009G216910
OG0002851	XP_009149792.1	As010G222370
OG0002852	XP_033140402.1, XP_033140424.1, XP_033138606.1, XP_033140401.1, XP_009150889.1, XP_009141613.1	As009G216990
OG0002853	XP_033140414.1, XP_009150119.1	As009G218380
OG0002854	XP_009126737.1	As009G219520, As009G219510, As009G219570, As009G219550
OG0002855	XP_033143134.1, XP_033138849.1	As009G219680
OG0002856	XP_009149925.1	As009G219710, As010G223780
OG0002857	XP_009136539.1, XP_009136540.1	As010G221240
OG0002858	XP_009151870.1	As010G222090, As010G222100, As010G222110
OG0002859	XP_009120490.1	As010G224720
OG0002860	XP_009108847.1, XP_009121221.2	As010G226110, As011G263240
OG0002861	XP_033134978.1, XP_009105765.1	As010G233890
OG0002862	XP_009128044.2	As010G239100
OG0002863	XP_009106722.1, XP_009149022.1	As010G243440
OG0002864	XP_009135306.1, XP_009124755.1, XP_009146490.1	As011G245390
OG0002865	XP_009135323.1, XP_009146455.1	As011G245720
OG0002866	XP_009147532.1	As011G245990
OG0002867	XP_009146418.1	As011G246110
OG0002867	XP_009106937.1	As012G269170
OG0002868	XP_033137390.1, XP_009135443.1, XP_009146243.1	As011G247630, As012G270140
OG0002869	XP_009147805.1	As012G271540
OG0002869	XP_009135690.1, XP_009145620.1	As011G252800
OG0002870	XP_009109522.2	As011G260220, As011G260320, As011G260230, As011G260250
OG0002872	XP_009135421.1, XP_033131096.1	As011G263520
OG0002874	XP_009112679.1, XP_033136498.1, XP_009137763.1	As011G267620
OG0002875	XP_009147796.1, XP_009144936.1, XP_009145616.1	As012G271600
OG0002876	XP_009147789.1	As012G271660
OG0002876	XP_009144984.2, XP_033128466.1	As012G272980
OG0002877	XP_033134471.1	As012G281230
OG0002878	XP_018510027.1	As012G282870
OG0002879	XP_009116415.1, XP_009141984.1	As012G283630
OG0002880	XP_009116438.1, XP_009122173.1	As012G283930
OG0002881	XP_033142147.1, XP_033142153.1	As012G284190
OG0002890	XP_018508762.1	As011G267320
OG0002890	XP_009109096.1	As001G000270
OG0002891	XP_009140504.1	As007G179070
OG0002891	XP_009137924.1	As001G002500
OG0002892	XP_009117078.2, XP_009140629.1	As007G176760
OG0002892	XP_009126505.1	As001G004370
OG0002893	XP_009126353.1, XP_009117066.1	As001G004560
OG0002894	XP_009123310.1	As010G226250
OG0002894	XP_009125713.1	As001G005380
OG0002895	XP_009117035.2	As006G131970
OG0002895	XP_009125229.1	As001G005770
OG0002896	XP_009120274.1	As001G012130
OG0002896	XP_009136242.1	As011G262260
OG0002897	XP_009109269.1	As001G014440
OG0002897	XP_009121212.1	As011G263470
OG0002898	XP_033147760.1, XP_033147762.1	As001G014610
OG0002899	XP_009114906.1, XP_009145197.1	As001G016720
OG0002900	XP_009133032.1	As004G079980
OG0002900	XP_009145334.1	As001G017470
OG0002901	XP_009113180.2	As001G021000
OG0002902	XP_009105208.1, XP_009105227.1	As001G021920
OG0002903	XP_009110504.1, XP_009148900.1, XP_009117843.1	As001G022250
OG0002904	XP_033133796.1	As008G182720
OG0002904	XP_009101297.1	As001G023030
OG0002905	XP_009111591.1, XP_009129380.1	As001G026940
OG0002906	XP_009112751.2, XP_009112933.2, XP_033145430.1	As001G031240
OG0002907	XP_009120262.1	As002G049140
OG0002907	XP_009137559.1	As002G032540
OG0002909	XP_009122720.2	As002G036070
OG0002909	XP_009130837.2	As009G214320
OG0002910	XP_009121251.1, XP_009146694.1	As002G037490
OG0002911	XP_009135230.1, XP_009125949.1	As002G039050
OG0002912	XP_033140814.1, XP_009119917.1	As002G045830
OG0002912	XP_009115399.1	As006G132290
OG0002913	XP_009127085.1, XP_009119976.1, XP_009143267.2	As002G046250
OG0002914	XP_009142444.1	As002G047770, As006G134250
OG0002915	XP_018512220.1, XP_009120321.1, XP_009132086.2, XP_009126795.2	As002G049850
OG0002916	XP_009109817.2, XP_009109821.2	As002G050530
OG0002917	XP_009125838.1, XP_009121897.1, XP_009111684.1	As002G051300
OG0002918	XP_009136376.1, XP_009122440.1	As002G054630
OG0002919	XP_009125700.2, XP_009131008.2	As002G055050
OG0002919	XP_033138440.1	As002G055040
OG0002920	XP_009122361.1, XP_009130192.1	As002G055540
OG0002921	XP_009144582.1	As003G055710
OG0002921	XP_009101424.1	As004G091060
OG0002922	XP_009101479.1	As004G089490
OG0002922	XP_009130911.1	As003G056070
OG0002923	XP_033142729.1, XP_009135013.1	As003G059680
OG0002924	XP_009128630.2	As004G085010
OG0002924	XP_009136152.2	As003G060750
OG0002926	XP_009103315.2, XP_009134193.1, XP_009113616.1	As003G062430, As004G083750
OG0002927	XP_033147546.1, XP_009114783.1	As003G062980
OG0002928	XP_009104891.1, XP_009105842.2	As010G234620
OG0002930	XP_033132590.1, XP_009102915.1	As003G069000
OG0002931	XP_018509315.1, XP_018513560.1, XP_009151452.1, XP_009109286.1, XP_009138380.1	As003G071890
OG0002932	XP_009139866.1	As003G073230
OG0002932	XP_009140467.1	As007G179420
OG0002933	XP_009123833.1, XP_009117296.1	As003G073620
OG0002934	XP_009109400.1, XP_009132311.1	As003G074190
OG0002936	XP_009150026.2, XP_009109502.1	As003G075770
OG0002937	XP_009101910.1, XP_009144504.2, XP_009101916.1	As003G075880, As003G075870
OG0002938	XP_009109546.1	As003G076270
OG0002938	XP_009134016.2, XP_009117454.1	As007G182120
OG0002939	XP_018515018.2, XP_009113487.2, XP_009134096.1	As004G080670
OG0002940	XP_009132978.1, XP_009134086.1	As004G080970
OG0002941	XP_033133164.1, XP_009138379.1, XP_009151594.1, XP_009151705.1	As004G092810
OG0002942	XP_009108100.1	As004G095150
OG0002942	XP_009102589.1	As011G255680
OG0002943	XP_009107662.1, XP_009125176.1, XP_033145809.1	As004G097800
OG0002944	XP_009116918.2	As012G288390
OG0002944	XP_009142535.1	As005G099470
OG0002945	XP_009120342.1, XP_009147290.1	As011G262010, As005G099620
OG0002946	XP_009142659.1, XP_009133771.1	As005G100780
OG0002946	XP_009138762.1	As012G287630
OG0002947	XP_009138841.1	As012G286270
OG0002947	XP_009142304.1	As005G102260
OG0002949	XP_033148313.1, XP_009143033.1	As005G102770
OG0002950	NP_001288967.1	As005G102900, As005G120840
OG0002951	XP_009142232.1, XP_009142975.1, XP_033148359.1	As005G103310
OG0002952	XP_009142217.1, XP_009116631.1	As005G103620
OG0002953	XP_009142942.1	As005G103850
OG0002953	XP_033135976.1	As012G285610
OG0002954	XP_033135970.1	As005G103920, As012G285590
OG0002956	XP_033138587.1, XP_009126507.2, XP_033138519.1, XP_033138515.1	As005G112690
OG0002957	XP_009150196.1	As010G225170
OG0002957	XP_009131934.2	As005G114440
OG0002958	XP_033141994.1, XP_033141995.1, XP_033142430.1	As007G178300, As005G115210, As005G115130, As005G115110
OG0002960	XP_009103426.1, XP_009112373.2, XP_009112378.2, XP_009112374.2, XP_033140772.1, XP_033140770.1, XP_009141044.1	As005G119270
OG0002961	XP_009103512.2, XP_033136989.1	As005G120200
OG0002962	XP_009120050.1, XP_009107409.1	As006G120960
OG0002963	XP_009111392.1, XP_033142127.1	As006G122220
OG0002963	XP_009119674.1	As008G198490
OG0002964	XP_009111301.1	As006G123120
OG0002965	XP_033140981.1, XP_009131504.2	As006G124330
OG0002966	XP_009118682.2	As008G197040
OG0002966	XP_009113950.1	As006G124460
OG0002967	XP_009111125.2, XP_009118668.1	As008G196470
OG0002968	XP_009118665.1	As008G196450
OG0002968	XP_009101754.2, XP_009113971.3	As006G124680
OG0002969	XP_009119289.1	As008G196060
OG0002969	XP_009143871.2	As006G125390
OG0002970	XP_009143881.1	As006G125530
OG0002970	XP_033138316.1, XP_009118628.1	As008G195970
OG0002971	XP_009111095.2	As008G195980
OG0002971	XP_033143063.1, XP_033147605.1	As006G125540
OG0002972	XP_009119197.1	As008G195210
OG0002972	XP_009143988.1	As006G126330
OG0002973	XP_009119083.1	As008G193960
OG0002973	XP_009132771.1	As006G127510
OG0002974	XP_009122944.2, XP_009118947.1	As006G129330
OG0002975	XP_009108828.1, XP_033141108.1, XP_009125401.1	As006G132020
OG0002976	XP_009131411.1, XP_009134602.1	As006G133020
OG0002977	NP_001288826.1	As006G133120
OG0002977	XP_009121647.1	As009G200420
OG0002978	XP_009132027.1, XP_009126728.2	As006G134070
OG0002979	XP_009132389.2, XP_009142687.1	As006G134610
OG0002980	XP_009134820.1	As006G138640
OG0002980	XP_018508090.1, XP_009111755.1	As009G206310
OG0002981	XP_009120923.1	As006G139720
OG0002982	XP_009143601.1	As006G144850
OG0002983	XP_009143564.1	As006G145220
OG0002983	XP_009139432.1	As012G276680
OG0002984	XP_009143563.1, XP_033145303.1, XP_009144121.1	As006G145240
OG0002986	XP_009125836.1	As006G146440, As006G146490, As012G283220, As012G283210
OG0002987	XP_009117779.1, XP_033134672.1	As007G152650
OG0002988	XP_009149457.1	As007G155970
OG0002989	XP_033132354.1	As007G160830, As007G160820
OG0002990	XP_009115318.1	As007G161280
OG0002991	XP_009137530.1, XP_009109203.1	As007G165450
OG0002993	XP_009118303.1	As008G188150
OG0002994	XP_009119470.2, XP_033138391.1, XP_033136640.1, XP_033136638.1, XP_033145146.1, XP_033134023.1, XP_033134021.1	As008G195400
OG0002995	XP_009119564.1	As008G197220
OG0002996	XP_009111709.1	As009G211470
OG0002996	XP_033141212.1	As009G205440
OG0002997	XP_009111902.1, XP_009151268.1	As009G207200
OG0002999	XP_009122152.1, XP_009125601.1	As009G213270
OG0003000	XP_009136444.1, XP_009130153.1, XP_033138938.1	As009G217860
OG0003001	XP_009151343.1	As009G218700
OG0003003	XP_009149182.1, XP_018508624.1	As010G241350
OG0003004	XP_009147604.1, XP_009146322.1	As011G246950
OG0003005	XP_018513588.2	As012G274670
OG0003005	XP_009114660.1, XP_009146068.1	As011G248900
OG0003006	XP_009146394.1	As012G274340
OG0003006	XP_009135507.1	As011G249140
OG0003007	XP_009124512.1	As011G249150
OG0003008	XP_009144999.2	As012G273130
OG0003008	XP_018514773.1	As011G250370
OG0003009	XP_009111697.2	As011G251640
OG0003009	XP_009147869.1	As012G272550
OG0003010	XP_009147782.1, XP_009144924.1	As012G271740
OG0003011	XP_009123200.1	As011G255440
OG0003012	XP_009106012.2, XP_033130363.1	As011G256320, As011G256300
OG0003013	XP_009112404.1, XP_009121185.1	As011G263620
OG0003014	XP_009150755.2	As011G264920
OG0003015	XP_009102145.1	As011G266410
OG0003016	XP_009144890.1, XP_009145502.1	As012G271370
OG0003017	XP_009104078.2, XP_009139005.1	As012G271460, As012G284290
OG0003018	XP_009116220.1, XP_009141803.1	As012G281520
OG0003019	XP_033142451.1, XP_009146297.2, XP_009116545.1	As012G282450, As012G282290
OG0003020	XP_009133652.1, XP_009142239.1	As012G285870
OG0003033	XP_009129299.1	As001G000700
OG0003034	XP_018509452.1	As001G002000, As001G001990, As001G001960, As001G001980, As001G001970
OG0003035	XP_033129437.1, XP_033129426.1, XP_009123412.1, XP_033139103.1, XP_033133937.1, XP_033129409.1	As001G005220
OG0003036	XP_009115347.1, XP_009123232.1	As001G012870
OG0003037	XP_009107945.1	As001G014600
OG0003038	XP_009102667.1, XP_009114993.1	As001G015900
OG0003039	XP_009118254.1	As008G187230
OG0003039	XP_033133365.1, XP_009138566.2	As001G020340
OG0003040	XP_009113267.1	As001G020420
OG0003041	XP_009113184.1	As001G021030
OG0003041	XP_009148412.1	As008G186920
OG0003042	XP_033140676.1, XP_009151914.1	As001G026770
OG0003043	XP_009124229.1	As004G076940
OG0003044	XP_009112702.1, XP_009113054.1	As001G031920
OG0003045	XP_009135195.1, XP_009146670.2	As002G037950, As002G037960
OG0003046	XP_009119888.1, XP_018508983.1	As002G045170, As002G045180
OG0003047	XP_009125762.1	As002G053800
OG0003048	XP_009130268.1	As005G116650
OG0003048	XP_009131085.1	As002G054230
OG0003049	XP_009114296.1, XP_009128942.1	As004G089930
OG0003050	XP_009128631.1	As004G085000
OG0003050	XP_009108586.1	As003G060760
OG0003051	XP_009136588.1	As003G060980
OG0003051	XP_009102714.1	As004G084740
OG0003052	XP_009114731.1, XP_009107924.1	As003G063420
OG0003053	XP_009134083.1	As004G080710
OG0003054	XP_009114049.1	As004G082430
OG0003055	XP_009141342.1	As004G081510
OG0003055	XP_009109744.2, XP_009113689.1, XP_009102925.2	As003G068720
OG0003056	XP_009141344.2, XP_033145300.1	As003G068860
OG0003057	XP_009112442.1, XP_009150777.1, XP_009121096.1	As011G264610
OG0003058	XP_033145482.1	As007G179280
OG0003058	XP_009140331.1, XP_009138463.1	As003G073190
OG0003059	XP_009143704.1, XP_009133010.1	As004G078830
OG0003060	XP_009134324.1, XP_009114533.1, XP_009146404.1	As004G085950
OG0003061	XP_009101423.2	As004G091040
OG0003062	XP_033132299.1, XP_009124445.1, XP_033143490.1	As004G091700
OG0003063	XP_009102476.1	As011G256870
OG0003063	XP_009139642.1	As004G093720
OG0003064	XP_009102630.1, XP_009147054.1	As004G095360
OG0003065	XP_009109297.1	As004G096320
OG0003066	XP_009112913.1	As005G098610
OG0003066	XP_009138687.1	As012G288910
OG0003067	XP_009143136.1	As005G101750
OG0003067	XP_009138811.1, XP_009116762.1	As012G286910
OG0003068	XP_009104224.1	As005G103410
OG0003069	XP_009133486.1	As005G106180
OG0003070	XP_009120760.1, XP_009126487.1, XP_033143944.1	As010G226890
OG0003071	XP_009126590.1	As005G114060
OG0003072	XP_033138136.1, XP_009120549.2, XP_009120547.2, XP_009126618.2, XP_009131930.1	As005G114410
OG0003073	XP_009151162.1, XP_009111720.1	As005G117990, As006G139190
OG0003074	XP_009101260.1	As010G221490
OG0003074	XP_009112204.1	As005G118890
OG0003075	XP_009112205.1	As005G118970
OG0003075	XP_009101448.1	As010G221440
OG0003076	XP_009103473.1, XP_009136548.1	As005G119750
OG0003079	XP_009111466.1	As006G121290
OG0003079	XP_009119731.1, XP_009118831.2	As008G199130
OG0003080	XP_009141151.1	As006G127070
OG0003080	XP_009118571.1	As008G194380
OG0003081	XP_033142401.1, XP_033135290.1	As009G218020
OG0003082	XP_009141068.2, XP_009132739.2, NP_001288861.1, XP_009141067.1, XP_009132738.2	As006G128060
OG0003083	XP_009118447.2, XP_009118969.1	As008G192920
OG0003083	XP_033145178.1	As006G128710
OG0003084	XP_009133885.1	As006G130370
OG0003085	XP_009140787.1	As006G130800
OG0003087	XP_033148194.1	As006G136280
OG0003087	XP_009131588.1	As009G203210
OG0003088	XP_009145312.1	As006G138140
OG0003089	XP_009147210.1, XP_009124863.1	As006G139090
OG0003090	XP_009131712.1	As009G204770, As009G204780
OG0003091	XP_009133242.1, XP_018514248.2	As006G147120, As006G147140
OG0003091	XP_009115879.2, XP_009136634.2	As012G278880
OG0003093	XP_033141834.1	As010G243940
OG0003093	XP_009148946.1	As007G152110
OG0003094	XP_009149144.1	As007G153470
OG0003095	XP_009110418.1, XP_009127356.2	As007G153700
OG0003096	XP_033135719.1	As007G159050
OG0003097	XP_009115452.2, XP_009105677.1	As007G160110
OG0003098	XP_009117872.1	As008G182610, As008G182620
OG0003099	XP_009102397.1, XP_009128663.1, XP_009115709.2	As010G221090, As008G186160
OG0003101	XP_018512337.1	As009G200630
OG0003101	XP_009125023.1	As009G206010
OG0003102	XP_009125948.1	As009G211480
OG0003103	XP_009136476.1, XP_009125697.1	As009G218070
OG0003104	XP_009136510.1	As009G218270
OG0003104	XP_009136512.1	As009G218280
OG0003106	XP_009115795.1	As010G220410
OG0003107	XP_009149910.1	As010G223630
OG0003109	XP_009104823.1	As010G240450
OG0003111	XP_009146498.1, XP_009135304.1, XP_009124744.1	As012G268350
OG0003112	XP_009135012.1	As012G268700, As011G245490
OG0003113	XP_009135457.1, XP_009115229.1, XP_009146195.2	As011G248020
OG0003114	XP_009145811.1, XP_009112081.1, XP_009135622.1	As011G251340, As011G251350, As012G272710
OG0003115	XP_033137015.1	As012G271390, As011G253330
OG0003116	XP_009135859.1, XP_009102616.1, XP_018508396.1, XP_033130723.1	As011G255420
OG0003117	XP_018510169.1, XP_009139686.1	As011G257560
OG0003118	XP_009112390.1, XP_009134452.1, XP_009111324.1	As011G259380
OG0003119	XP_009136308.2, XP_009112386.1, XP_009136307.1	As011G263390
OG0003121	XP_009106913.1, XP_009107079.2	As012G269010
OG0003122	XP_018513988.2, XP_033142172.1, XP_009143737.2	As012G274910
OG0003123	XP_009143502.1	As012G277270
OG0003124	XP_009141702.1, XP_018514348.1	As012G278130
OG0003139	XP_018512740.1, XP_009128708.1	As001G001020
OG0003141	XP_009113444.1	As001G013880, As001G013890
