Orthogroup	Brassica_rapa	Erysimum_linariifolium
OG0001724	XP_009141105.2, XP_009141107.1, XP_009141106.2, XP_009132898.1	El006G314560, El006G314530
OG0001725	XP_009120984.1	El001G062350
OG0001727	XP_009126830.1, XP_009124333.1	El007G334200
OG0001729	XP_009117330.1	El001G039480
OG0001730	XP_009144342.1, XP_009109104.1	El003G155650
OG0001731	XP_009137892.1, XP_009128077.1	El003G153010
OG0001731	XP_009128090.1, XP_033143092.1	El003G153030
OG0001732	XP_033132561.1, XP_033129019.1	El003G152950
OG0001732	XP_033136933.1	El005G277410
OG0001733	XP_033144457.1	El003G152490
OG0001733	XP_009140510.2, XP_033136659.1	El006G317790
OG0001734	XP_009127424.1	El003G152110
OG0001734	XP_009140523.1, XP_018509992.2	El006G317370
OG0001735	XP_009123222.1, XP_009136258.1	El005G272490
OG0001735	XP_009138219.1	El003G148740, El003G148760
OG0001736	XP_009102804.1	El003G146930
OG0001736	XP_009150843.1	El005G274740
OG0001737	XP_009143714.1	El006G296070
OG0001737	XP_009115017.1, XP_009108141.1	El002G118060
OG0001739	XP_009148264.1, XP_009118302.2, XP_009110814.1	El002G092450
OG0001740	XP_009113319.1	El004G203330
OG0001740	XP_009118280.1	El002G092970
OG0001741	XP_009148365.1, XP_009144443.2	El002G093360
OG0001741	XP_033135058.1	El004G202310
OG0001742	XP_009103701.1	El005G268840
OG0001742	XP_009136111.2, XP_009136112.2	El005G268820
OG0001743	XP_009148449.1	El002G094250
OG0001743	XP_009113142.1, XP_009104571.1	El004G199730
OG0001744	XP_009140063.1, XP_009125171.1	El003G192150
OG0001744	XP_009151999.1, XP_009111550.1	El001G041620
OG0001745	XP_009129413.1	El001G042400
OG0001745	XP_009151955.2	El003G191560
OG0001746	XP_009111598.1, XP_009129369.1	El001G043710
OG0001746	XP_033146497.1	El003G190550
OG0001747	XP_009151764.1, XP_009129279.1	El001G045970
OG0001748	XP_033146671.1	El003G187020
OG0001748	XP_009105249.1, XP_009127514.1	El004G217060
OG0001749	XP_009112826.1	El004G194370
OG0001749	XP_033145244.1, XP_009125197.2	El003G193300
OG0001750	XP_009112749.1, XP_009112944.1	El004G195950
OG0001751	XP_009146683.2, XP_009121170.1	El005G247460
OG0001751	XP_009130944.1	El003G156450, El001G075450
OG0001752	XP_033140735.1, XP_033137693.1, XP_033136182.1, XP_033134974.1, XP_033140736.1	El004G211750
OG0001753	XP_009135220.1, XP_009120759.1, XP_009146627.1	El005G248070
OG0001753	XP_009122312.1	El001G074890
OG0001754	XP_009132634.1	El007G343080
OG0001754	XP_033145004.1, XP_009137493.2	El003G159540
OG0001755	NP_001288890.1, XP_009139437.1	El003G158780
OG0001755	XP_009119803.1	El006G315970
OG0001756	XP_009119836.1, XP_009127205.1	El007G340320
OG0001756	XP_009137691.1	El003G156210
OG0001757	XP_009142543.1	El003G157800
OG0001758	XP_009120885.1, XP_009126362.1	El001G060870
OG0001758	XP_009121835.1	El001G068930
OG0001759	XP_009122409.1	El001G073810
OG0001759	XP_033141224.1	El007G329790
OG0001760	XP_009136854.2	El003G169340
OG0001760	XP_009101449.1, XP_009114297.1, XP_009123181.1	El007G366270
OG0001761	XP_018512058.1	El007G364130
OG0001761	XP_009108375.1	El003G167880
OG0001762	XP_009101579.1, XP_009114398.1	El007G363880
OG0001763	XP_009108447.1, XP_009137027.1, XP_033143291.1, XP_033142725.1, XP_033129016.1	El003G165920
OG0001764	XP_009108552.1, XP_009137242.2, XP_009135638.1	El003G163540
OG0001765	XP_009108189.1, XP_009128680.1, XP_033142102.1	El001G007810, El001G007780, El001G007820, El001G007770, El001G007760, El001G007800
OG0001766	XP_009128713.1	El001G008940
OG0001767	XP_009127881.1	El004G223720
OG0001768	XP_009132934.1, XP_009143849.1	El006G298420
OG0001768	XP_009102938.1, XP_009109759.1	El002G113690
OG0001769	XP_009121068.1	El005G275440
OG0001769	XP_009147904.1, XP_009138402.1	El003G146140
OG0001770	XP_009136523.1, XP_009101536.1, XP_009115679.1	El001G019980
OG0001771	XP_033145363.1, XP_009117324.1	El006G319370
OG0001771	XP_009109394.1	El003G144250
OG0001772	XP_009109544.1	El003G142020
OG0001772	XP_009127592.1, XP_009105070.2, XP_009105351.1	El004G218570
OG0001773	XP_018511212.1, XP_009127238.1	El007G341130
OG0001773	XP_009132984.1, XP_033147652.1	El006G296940
OG0001774	XP_033130163.1, XP_033130162.1, XP_033135959.1	El007G358320, El007G358310
OG0001775	XP_018508154.1, XP_009137235.1	El003G163690
OG0001775	XP_033136404.1	El001G005410
OG0001777	XP_009111328.1	El001G002220
OG0001777	XP_009140001.1	El003G191080
OG0001778	XP_009133822.1	El006G280150
OG0001778	XP_009104397.2, XP_009138714.1, XP_018510485.2	El001G035120
OG0001779	XP_009104393.2, XP_033134518.1	El001G034890
OG0001779	XP_018510515.1, XP_009142520.1	El006G280240
OG0001780	XP_009133697.1, XP_009143100.1	El006G283390
OG0001780	XP_009116735.1	El001G032300
OG0001781	XP_009138874.1	El001G031750
OG0001781	XP_033144394.1, XP_009142257.1	El006G284390
OG0001782	XP_009104181.1	El001G030630
OG0001782	XP_009142900.1, XP_009142155.1	El006G285860
OG0001783	XP_009131790.1, XP_009120819.1, XP_009126438.1	El001G059850
OG0001784	XP_009103421.1, XP_009112217.1	El007G323780
OG0001784	XP_033137082.1	El001G020010
OG0001785	XP_009111488.1	El001G000510
OG0001785	XP_009119711.1, XP_033134756.1	El002G083170
OG0001786	XP_009119692.1	El002G083400
OG0001786	XP_009111418.1, XP_009134509.1	El001G001170
OG0001787	XP_009111329.1	El001G002210
OG0001787	XP_009119637.1, XP_009118775.1	El002G084070
OG0001788	XP_009134442.2	El001G002680
OG0001788	XP_009118751.1, XP_009119618.2	El002G084350
OG0001789	XP_009144554.1	El001G003060
OG0001790	XP_009141170.2, XP_009144214.2	El006G301050
OG0001790	XP_009111007.1	El002G088450
OG0001791	XP_009144265.1	El006G301610
OG0001792	XP_009144322.1, XP_009141046.1	El006G302590
OG0001792	XP_009119003.1	El002G089480
OG0001793	XP_009118982.1, XP_009110954.1	El002G089670
OG0001793	XP_009132703.1	El006G302910
OG0001794	XP_009110946.1, XP_009118962.1	El002G089960
OG0001794	XP_033145174.1	El006G303680, El006G303660
OG0001795	XP_009131518.1, XP_009121520.1	El001G065270
OG0001796	XP_009134722.1, XP_009130340.1	El005G237440
OG0001796	XP_009126167.1	El001G063800
OG0001797	XP_009131602.1	El001G063270
OG0001797	XP_009119307.1, XP_009134730.1	El005G237880
OG0001798	XP_009151134.1	El001G051500
OG0001798	XP_009134865.2, XP_009124947.2, XP_009129619.1	El005G241040
OG0001799	XP_009151198.1	El001G049640
OG0001799	XP_009134866.3, XP_009129620.3	El005G241060
OG0001800	XP_009124922.2, XP_009129666.2	El005G241570
OG0001800	XP_009120957.1	El001G062020
OG0001801	XP_009111860.1, XP_009129753.1	El007G346960
OG0001801	XP_009147117.2	El005G242280
OG0001802	XP_009148655.1, XP_009105215.1, XP_033131752.1, XP_009105222.1	El004G216120, El004G216130, El004G216110, El004G216100, El004G216150, El004G216160
OG0001803	XP_009141590.1, XP_009133082.1	El006G294330
OG0001803	XP_009125240.1, XP_009115990.1	El001G023460
OG0001804	XP_009106690.1	El004G233300
OG0001804	XP_009117774.1	El002G100180
OG0001805	XP_009106604.1	El004G232290
OG0001805	XP_009149118.1, XP_009117740.1	El002G100830
OG0001806	XP_009117710.2, XP_009149177.2, XP_009110415.1	El002G101400
OG0001807	XP_009141518.1, XP_009133042.1	El006G295230
OG0001807	XP_009110275.1	El002G103790
OG0001808	XP_009106260.1	El004G228880
OG0001808	XP_033128788.1, XP_018511350.2	El002G104630
OG0001809	XP_009105687.2	El004G221530
OG0001809	XP_009103133.1, XP_033134496.1	El002G109610
OG0001810	XP_009103096.2, XP_009115380.1, XP_033133892.1	El002G111250
OG0001810	XP_033130281.1	El004G220370
OG0001811	XP_009127609.1	El004G218800
OG0001811	XP_033135890.1, XP_009103055.1	El002G112320
OG0001812	XP_009105356.1, XP_009105067.1	El004G218670
OG0001812	XP_009109860.1, XP_033131565.1, XP_009113829.2	El002G112420
OG0001814	XP_009117377.1, XP_009134000.1, XP_009140298.1	El006G320670
OG0001814	XP_009107919.1	El003G142730
OG0001815	XP_033141912.1, XP_009120955.1	El001G062010
OG0001816	XP_009147274.2	El005G240000
OG0001816	XP_009151216.1	El001G049220, El002G126610
OG0001817	XP_009125611.1, XP_009130890.1	El001G076650
OG0001817	XP_009122344.1, XP_009146748.2	El005G246660
OG0001818	XP_009150150.1, XP_009149741.1	El001G019310
OG0001818	XP_009111629.1, XP_009150973.1	El001G055350
OG0001819	XP_033136602.1	El007G322530
OG0001819	XP_009136572.1, XP_009115770.1	El001G021130
OG0001820	XP_009150176.1, XP_009151545.1	El001G018460
OG0001821	XP_018507999.1, XP_009144846.1	El002G137170
OG0001821	XP_033143237.1	El005G252660
OG0001823	XP_033130191.1, XP_009102040.1	El005G278770
OG0001824	XP_009133186.2, XP_009141672.1, XP_009143481.1	El006G292810
OG0001824	XP_009116065.1, XP_009139382.1	El001G024360
OG0001825	XP_009139144.1, XP_009116267.1	El001G026860
OG0001826	XP_009139075.1	El001G028130
OG0001826	XP_009142724.1, XP_009133469.1	El006G288290
OG0001827	XP_009139054.1, XP_009139056.2, XP_009102593.2	El001G028340
OG0001827	XP_009139058.1	El001G028330
OG0001828	XP_009142272.1	El006G284100
OG0001828	XP_009116696.1, XP_009138865.1	El001G031880
OG0001830	XP_009104141.1	El001G030050, El001G030020, El001G030060, El001G030040
OG0001831	XP_009101406.1, XP_009101403.1	El007G366750, El007G366760
OG0001832	XP_033147509.1	El006G311880
OG0001833	XP_009138028.1, XP_009126756.1	El003G151290, El007G355170, El007G349780
OG0001834	XP_033129228.1, XP_009148998.1	El002G099860
OG0001834	XP_009149003.1	El002G099850
OG0001835	XP_009149501.1, XP_009103356.2	El002G104460
OG0001835	XP_009149502.1	El002G104470
OG0001836	XP_009113095.1	El004G198360
OG0001836	XP_033143589.1, XP_009112689.1, XP_009113094.1	El004G198350
OG0001838	XP_033139596.1, XP_033139577.1, XP_033139588.1, XP_033139584.1	El003G169520
OG0001839	XP_009113231.1, XP_009103635.1, XP_009108412.1, XP_009125435.1	El006G308060
OG0001840	XP_033141162.1	El007G363170
OG0001844	XP_009137843.1	El003G154430
OG0001844	XP_033135889.1, XP_033135397.1	El005G278230
OG0001845	XP_009108984.1	El003G152640
OG0001846	XP_009121160.1	El005G274690
OG0001846	XP_009103898.1, XP_009108618.1	El003G147050
OG0001847	XP_009108268.1	El003G170500
OG0001847	XP_009136808.1	El003G170510
OG0001848	XP_009113268.1	El004G201670
OG0001848	XP_009144440.1, XP_009123061.1, XP_009148373.1	El002G093440
OG0001849	XP_009113135.1, XP_033133490.1	El004G199570
OG0001849	XP_009113134.1	El004G199580
OG0001850	XP_009129451.1	El001G041770
OG0001851	XP_009125153.1	El003G191690
OG0001851	XP_009151968.1, XP_009111569.1, XP_009129421.1	El001G042290
OG0001852	XP_009125108.1, XP_009139909.1	El003G189520
OG0001853	XP_009127488.1, XP_009121205.1	El004G216170
OG0001854	XP_018508323.2, XP_009127457.1	El004G215170
OG0001855	XP_009127403.1, XP_009105152.1	El004G213220
OG0001856	XP_009113077.2	El004G198060
OG0001856	XP_009110677.2, XP_009118117.2	El002G095480
OG0001857	XP_009139890.1	El003G158380
OG0001857	XP_009126905.2, XP_009132156.1, XP_009120217.1	El007G334850
OG0001858	XP_009122631.1, XP_033145073.1	El001G078440
OG0001858	XP_009123014.1	El005G245620
OG0001859	XP_009122791.2, XP_009146828.1	El005G245930
OG0001859	XP_009122588.1	El001G078010
OG0001860	XP_009122159.1	El001G076640
OG0001860	XP_009122333.1, XP_009146747.1	El005G246670
OG0001861	XP_009146737.2, XP_009135159.1	El005G246770
OG0001861	XP_009130902.1	El001G076420
OG0001862	XP_009122266.1	El001G075350
OG0001862	XP_009146676.1	El005G247630
OG0001863	XP_009139031.1	El003G159360
OG0001863	XP_009132603.1, XP_009127298.1	El007G342570
OG0001864	XP_009132440.1	El007G337920
OG0001865	XP_009127074.1, XP_009119997.1	El007G337710
OG0001865	XP_009143182.1	El003G157130, El007G323630
OG0001866	XP_009120015.1, XP_009127046.1	El007G337450
OG0001866	XP_009143005.2	El003G157320
OG0001867	XP_009132125.2, XP_009137558.2, XP_033148011.1	El003G158640
OG0001868	XP_009120880.2	El001G060780
OG0001868	XP_009121880.1	El001G069410
OG0001869	XP_009150651.1	El007G324500
OG0001869	XP_009125292.1, XP_009131169.1	El001G071390
OG0001870	XP_009125301.1	El001G071560
OG0001871	XP_009150600.1, XP_009130498.1, XP_009112172.1	El007G325040
OG0001872	XP_009125339.1, XP_009131131.1	El007G325640
OG0001873	XP_009125365.1, XP_009131114.1, XP_033137485.1	El001G072510
OG0001874	XP_009122492.1, XP_033140952.1, XP_009150044.2, XP_018515122.2	El001G072930
OG0001875	XP_009131044.1, XP_009122430.1	El001G073590
OG0001875	XP_009111957.1	El001G057050
OG0001876	XP_009111971.1, XP_009136427.1	El007G329880
OG0001876	XP_009131026.1	El001G073780
OG0001877	XP_009125688.1, XP_009122341.1	El001G074360, El007G361230
OG0001877	XP_009136508.1	El007G329080
OG0001878	XP_009136847.1	El003G169500
OG0001878	XP_009101434.1	El007G366430
OG0001879	XP_033144963.1	El003G168880
OG0001879	XP_009128889.1	El007G365590
OG0001880	XP_009131523.1, XP_009108355.2, XP_009123729.1, XP_033133277.1	El003G168490, El003G168500
OG0001881	XP_009134167.1	El003G165050
OG0001882	XP_009114518.1	El001G004950
OG0001882	XP_009134899.1, XP_009108494.1	El003G164470
OG0001883	XP_009114542.1	El001G005140
OG0001883	XP_009108530.1, XP_009135267.2	El003G164080
OG0001884	XP_009110502.2, XP_009148904.1, XP_009148905.2	El002G099270
OG0001884	XP_009104417.2	El004G201750
OG0001885	XP_009107959.1, XP_009124372.1	El002G120850
OG0001885	XP_009113612.1, XP_009128712.1	El001G008930
OG0001886	XP_009145124.1, XP_009107914.2	El002G123760
OG0001886	XP_009134146.3	El001G010120
OG0001887	XP_033144726.1, XP_033144721.1, XP_033144725.1	El001G010980
OG0001888	XP_033146330.1	El006G297620, El006G297650
OG0001889	XP_009112486.1	El005G276660
OG0001889	XP_009143525.1	El003G145650
OG0001890	XP_009109413.1	El003G144020
OG0001890	XP_009131731.1, XP_033133063.1, XP_033133065.1	El003G144080
OG0001891	XP_009137566.2, XP_009139729.2	El003G158510
OG0001891	XP_033128851.1	El002G093730
OG0001892	XP_009101809.1, XP_009123868.1	El007G358360
OG0001892	XP_009102956.1	El002G113350
OG0001893	XP_009134195.2	El001G008750
OG0001894	XP_009143265.1, XP_033143903.1, XP_009141852.1	El006G289800
OG0001895	XP_018508173.1, XP_033136860.1	El007G366460, El001G061110, El007G366450
OG0001896	XP_009145744.1	El003G156000
OG0001897	XP_009144682.1, XP_018508933.2	El003G176310
OG0001898	XP_033132436.1, XP_009145264.1	El005G261820
OG0001898	XP_009148189.1	El003G174350
OG0001899	XP_009144716.1	El003G173640
OG0001900	XP_009140122.2, XP_009125195.2	El003G193280
OG0001901	XP_033147574.1, XP_009147975.1	El006G280020, El006G314870
OG0001901	XP_009116930.1	El001G034900
OG0001902	XP_009104360.1, XP_033135036.1	El001G034370
OG0001902	XP_009142577.1, XP_033142600.1	El006G280920
OG0001903	XP_009138823.1	El001G032390
OG0001903	XP_009133708.2, XP_009104096.2	El006G283290
OG0001904	XP_009133694.1	El006G283400, El005G276440
OG0001905	XP_009104239.1, XP_009116678.2, XP_009138888.1	El001G031640
OG0001906	XP_009116593.1, XP_009104200.1, XP_009138918.1	El001G030910
OG0001906	XP_009142919.1, XP_009142178.1	El006G285650
OG0001907	XP_033128469.1, XP_009115250.2, XP_009150195.1	El001G018080
OG0001908	XP_018515502.1, XP_033141666.1	El007G327060
OG0001909	XP_009121075.2, XP_009104300.2	El001G002050
OG0001909	XP_009119625.2	El002G084210
OG0001910	XP_009121784.1, XP_009134342.1	El001G004290
OG0001910	XP_009118698.1	El002G085510
OG0001911	XP_033136507.1	El007G359030
OG0001911	XP_033138359.1	El002G086320
OG0001912	XP_033145354.1	El006G300250
OG0001912	XP_033132327.1, XP_009119152.1	El002G087680
OG0001913	XP_009111031.1	El002G087980
OG0001914	XP_018508993.1	El006G300060, El006G299460, El006G299140
OG0001915	XP_009141141.1, XP_009144238.1	El006G301250
OG0001915	XP_009119085.1	El002G088570
OG0001916	XP_009118445.1	El002G089870
OG0001917	XP_033145157.1, XP_033130795.1	El006G304830
OG0001917	XP_009110925.1, XP_033128636.1	El002G090370
OG0001918	XP_009133998.1	El006G311260
OG0001919	XP_009131402.1	El001G067110
OG0001919	XP_009124046.1, XP_009134595.1	El005G235310
OG0001920	XP_009126111.1	El001G064620
OG0001920	XP_009118514.1, XP_009147326.1	El005G236980
OG0001921	XP_009131539.1	El001G064590
OG0001921	XP_009134709.1, XP_009147323.1	El005G237030
OG0001922	XP_009124867.1	El005G240610
OG0001922	XP_009129890.1, XP_009111736.1	El001G050590
OG0001923	XP_018513479.1, XP_018514240.2	El006G290680
OG0001923	XP_009103949.1	El001G025950
OG0001924	XP_018508793.1	El001G024110
OG0001924	XP_033148452.1, XP_009143512.2, XP_033145870.1	El006G293190
OG0001925	XP_009112438.2, XP_009141703.2, XP_009143436.1, XP_009133221.1	El006G292300
OG0001926	XP_009141725.1, XP_009143416.1	El006G292050
OG0001926	XP_033144772.1	El001G022190
OG0001927	NP_001288927.1	El004G234000
OG0001927	XP_009148959.2, XP_009117814.1, NP_001288904.1	El002G099720
OG0001928	XP_009104569.1	El004G231810
OG0001928	XP_009117723.1, XP_018508065.1	El002G101220
OG0001929	XP_009105959.1, XP_033139311.1, XP_009104833.2	El004G225140
OG0001930	XP_033128122.1	El002G102880
OG0001930	XP_009106103.2, XP_009104763.2	El004G226920
OG0001931	XP_009106132.1	El004G227290
OG0001931	XP_033136765.1, XP_033130082.1	El002G103090
OG0001932	XP_009110277.1, XP_009149419.1	El002G103650
OG0001933	XP_009149596.1	El002G105540
OG0001933	XP_009106346.1, XP_009104658.1, XP_009128202.1	El004G229820
OG0001934	XP_009145372.1	El002G107070
OG0001934	XP_009128268.1	El004G231250
OG0001935	XP_009115559.1	El002G108450
OG0001935	XP_009104937.1, XP_009105746.1	El004G222450
OG0001936	XP_009109056.2	El003G154700
OG0001936	XP_009127773.2	El004G221590, El004G221550
OG0001937	XP_009115410.1	El002G110660
OG0001937	XP_018512388.1, NP_001288866.1	El004G220720
OG0001938	XP_009109828.1, XP_018509656.1	El002G112870
OG0001938	XP_009113784.1	El002G112880
OG0001939	XP_009140276.2, XP_009117405.2	El006G321200
OG0001939	XP_033141615.1	El003G142550
OG0001940	XP_009111833.1, XP_009151630.1	El001G078890
OG0001941	XP_033141693.1	El007G341920, El001G061320
OG0001942	XP_009146431.1	El002G120860
OG0001943	XP_009135178.2, XP_009121213.1	El005G247400
OG0001944	XP_009135173.1, XP_033148392.1	El005G247240
OG0001944	XP_009125636.1	El001G075960
OG0001945	XP_009150138.1, XP_033142375.1	El001G019460
OG0001946	XP_018510153.1, XP_009149793.1	El001G018470
OG0001946	XP_033129543.1	El001G056380
OG0001948	XP_009123303.1	El001G012570
OG0001948	XP_009126529.1, XP_009120675.1, XP_009131865.2	El001G058280
OG0001949	XP_033138585.1	El001G059600
OG0001949	XP_009108311.1	El002G123090
OG0001950	XP_009146432.1, XP_009135345.2	El005G250020
OG0001950	XP_009147531.1	El002G139900
OG0001951	XP_009135415.1, XP_009146301.1	El005G251320
OG0001951	XP_009144780.1	El002G138350
OG0001952	XP_009146065.1, XP_033142689.1	El005G253480
OG0001953	XP_009145802.1	El005G256760
OG0001953	XP_009145107.1, XP_009107284.1	El002G133940
OG0001954	XP_009131304.1	El001G068760
OG0001954	XP_009110170.1, XP_009145585.1	El005G258760
OG0001955	XP_018514902.1, XP_033132398.1, XP_009147743.1	El002G136180
OG0001956	XP_009117148.1, XP_009108756.1, XP_009136272.1, XP_033130559.1	El005G272900
OG0001957	XP_009141396.1, XP_009143747.1	El006G296470
OG0001957	XP_009115139.1	El002G117120
OG0001958	XP_009136247.1	El005G272340, El005G272320, El005G272330, El002G122830, El002G122740
OG0001959	XP_009138901.1	El001G031320
OG0001960	XP_009147640.1	El002G138030
OG0001961	XP_009124542.2, XP_009147843.1	El002G134580
OG0001962	XP_009118443.1	El002G089890
OG0001962	XP_033134900.1	El002G089900
OG0001963	XP_033143200.1, XP_009134405.1, XP_009111258.1	El001G003370, El001G003360
OG0001971	XP_009137831.1, XP_009128967.1	El003G154550
OG0001971	XP_009112635.1	El005G278310
OG0001972	XP_009127899.1	El003G152730
OG0001972	XP_009112559.2, XP_009102225.1	El005G277150
OG0001973	XP_009127366.1	El003G152000
OG0001973	XP_009140529.1, XP_033136694.1	El006G317160
OG0001974	XP_009140555.1, XP_009117126.2	El006G316920
OG0001974	XP_018509094.1, XP_009127051.2	El003G151600
OG0001975	XP_009120554.1, XP_009138202.1, XP_009108778.2	El003G149010
OG0001976	XP_009108706.1, XP_009109058.1	El003G147660
OG0001976	XP_033144072.1	El005G273780
OG0001977	XP_033146294.1, XP_009143631.1	El006G295300
OG0001977	XP_009145691.1	El003G170760
OG0001978	XP_009110738.2, XP_009148453.1, XP_009118197.2	El002G094430
OG0001979	XP_009101256.1, XP_009114196.1	El001G037660
OG0001979	XP_009117896.1, XP_033133805.1	El002G098500
OG0001980	XP_009129118.1	El001G037910
OG0001980	XP_009148724.1	El002G098290
OG0001981	XP_009118034.2, XP_009148547.2, XP_009110603.1	El002G096620
OG0001982	XP_009152031.1	El001G041150
OG0001982	XP_009148558.1	El002G096460
OG0001983	XP_009151986.1, XP_009129443.1	El001G041880
OG0001983	XP_009140049.1	El003G192010
OG0001984	XP_009111567.1	El001G042150
OG0001984	XP_009125158.1	El003G191790
OG0001985	XP_009148603.2, XP_009110658.1, XP_033135464.1	El002G095790
OG0001986	XP_009104020.1, XP_009116374.1	El001G028110
OG0001986	XP_009142726.1	El006G288280
OG0001987	XP_009125545.1, XP_033145109.1	El001G078480
OG0001987	XP_009146852.1	El005G245600
OG0001988	XP_009125615.2, XP_009122175.1, XP_009130901.1	El001G076460
OG0001989	XP_009146726.1, XP_033144401.1	El005G246990
OG0001990	XP_009119959.1, XP_009127108.1	El007G338320
OG0001990	XP_009143344.1	El003G156940
OG0001991	XP_033139647.1, XP_033138720.1, XP_009132403.1, XP_033143601.1	El007G337200
OG0001991	XP_009142911.2	El003G157450
OG0001992	XP_009142532.2	El003G157810
OG0001992	XP_009121283.2, XP_009126977.1	El007G336220
OG0001993	XP_009120126.1, XP_009132341.1	El007G336010
OG0001993	XP_009137598.1, XP_009142357.1	El003G157980
OG0001994	XP_009120273.2, XP_009120272.1, XP_033140790.1	El007G334110
OG0001994	XP_009139558.1, XP_009121735.1	El003G158670
OG0001995	XP_009131265.1	El001G069290
OG0001995	XP_009120882.1	El001G060820
OG0001996	XP_018510950.1, XP_009131226.1	El001G069870
OG0001996	XP_009151114.2	El001G052040
OG0001997	XP_009122532.1, XP_009125355.1	El001G072380
OG0001997	XP_009140390.1	El006G319400
OG0001998	XP_009122517.1	El001G072630
OG0001998	XP_009150498.1, XP_009130446.1	El007G326220
OG0001999	XP_009122323.1	El001G074150
OG0001999	XP_009136493.1	El007G329230
OG0002000	XP_033140395.1, XP_009150122.1, XP_009112002.2	El007G329030
OG0002001	XP_009101493.1	El007G365710
OG0002001	XP_009131125.3	El003G168950
OG0002003	XP_009134294.2	El001G005630
OG0002004	XP_009114643.1, XP_009134253.1	El001G006790
OG0002004	XP_009137288.1	El003G162630
OG0002005	XP_033142088.1	El001G007880
OG0002005	XP_009137370.1, XP_033142594.1	El003G161210
OG0002006	XP_009137437.1	El003G161120
OG0002006	XP_009128691.1, XP_009108204.1	El001G008010
OG0002007	XP_033140710.1	El001G008050
OG0002007	XP_033133158.1, XP_009137456.1, XP_009137395.1	El003G161100
OG0002008	XP_009134196.1	El001G008580
OG0002008	XP_033136180.1	El002G120350
OG0002009	XP_033132778.1	El002G130040, El002G130050, El002G130070
OG0002010	XP_033134710.1	El002G114680
OG0002011	XP_009109670.2, XP_009115249.1	El002G115310
OG0002011	XP_009141366.1	El006G297070
OG0002012	XP_009121107.1	El005G274980
OG0002012	XP_033132554.1, XP_009139882.1, XP_009138365.3	El003G146790
OG0002013	XP_009112439.2, XP_009150781.1	El005G275130
OG0002013	XP_009138382.1	El003G146640
OG0002014	XP_009148721.2, XP_009138395.2	El003G146260
OG0002014	XP_033135030.1	El005G275310
OG0002015	XP_033144470.1, XP_033146460.1, XP_009109342.1	El003G145390
OG0002016	XP_009117319.1	El006G319230
OG0002016	XP_009138524.1	El003G144410
OG0002017	XP_033140754.1, XP_009130164.1	El003G143710
OG0002017	XP_009112529.1	El006G319840
OG0002018	XP_009140281.2	El006G321130
OG0002018	XP_009109497.1, XP_033128052.1, XP_009150927.2	El003G142590
OG0002020	XP_033135489.1	El004G210730
OG0002021	XP_009137405.1, XP_009137528.1	El003G161020, El003G161000
OG0002021	XP_009108208.1	El001G008090
OG0002022	XP_009140724.1	El002G101690
OG0002022	XP_009101541.1, XP_009114371.1	El007G364600
OG0002023	XP_009135833.2, XP_033147281.1	El005G262340
OG0002023	XP_009148417.1	El003G174550
OG0002024	XP_018514767.1, XP_009108983.1	El005G261100
OG0002025	XP_009140713.1	El006G281630
OG0002026	XP_009142283.1, XP_009143068.3	El006G283860
OG0002026	XP_009138848.1	El001G032000
OG0002027	XP_009104052.1, XP_009116436.2	El001G028770
OG0002027	XP_009141999.1	El006G287780
OG0002028	XP_009150080.1	El001G014250
OG0002028	XP_009120574.1, XP_009126605.1	El007G330530
OG0002029	XP_009119689.1	El002G083460
OG0002029	XP_009134503.1	El001G001250
OG0002030	XP_009134422.1, XP_009111272.2	El001G003160
OG0002030	XP_009119583.1	El002G084830
OG0002031	XP_009118627.1, XP_009119270.1, XP_009111094.1	El006G298810
OG0002032	XP_009143963.1	El006G299980
OG0002032	XP_018511271.1	El002G087510
OG0002033	XP_009118483.1	El002G089140
OG0002033	XP_033145612.1, XP_009144285.1	El006G302020
OG0002034	XP_033135888.1	El002G090080
OG0002034	XP_009140963.1, XP_009125053.2	El006G304140
OG0002035	XP_009132396.1	El007G336940
OG0002036	XP_009121543.1, XP_009131501.1	El001G065560
OG0002036	XP_009117910.1	El005G236480
OG0002037	XP_009126069.2, XP_009122871.1	El001G065550
OG0002037	XP_009117930.1	El005G236500
OG0002038	XP_009114653.1, XP_009135495.1, XP_009146067.1	El005G253410
OG0002039	XP_009139150.1	El001G026790
OG0002039	XP_009143285.1	El006G290030
OG0002040	XP_009148757.1, XP_009125246.1, XP_009115997.1	El001G023560
OG0002041	XP_009103859.1, XP_009116029.1, XP_009139421.1	El001G023970
OG0002043	XP_009148918.1	El007G361440, El002G131960
OG0002043	XP_009147933.1, XP_009107330.1	El002G132700
OG0002044	XP_009110479.1, XP_009148947.1	El002G099590
OG0002044	XP_009106762.1, XP_009104454.2	El004G234220
OG0002045	XP_009148966.1	El002G099790
OG0002045	XP_009104468.2, XP_009106738.2	El004G233900
OG0002046	XP_009149042.1	El002G100080
OG0002046	XP_009106708.2, XP_033140663.1	El004G233420
OG0002047	XP_009117762.1, XP_033128779.1	El002G100480
OG0002047	XP_009106636.1	El006G318640, El004G232630
OG0002048	XP_033128465.1	El002G101570
OG0002048	XP_009127943.1	El004G224720
OG0002049	XP_009127973.1	El004G225240
OG0002049	XP_009110386.1	El002G101920
OG0002050	XP_009110205.1, XP_009149567.1	El002G105240
OG0002050	XP_033132176.1	El004G229390
