Orthogroup	Noccaea_praecox	Rorippa_islandica
OG0003029	Np011G4361800	Roisl.0115s0378.1.p
OG0003030	Np004G1983500	Roisl.0013s0015.1.p
OG0003031	Np007G3811300	Roisl.0115s0462.1.p
OG0003032	Np007G3904200	Roisl.0074s0328.1.p
OG0003033	Np006G3358300	Roisl.0017s0183.1.p
OG0003034	Np001G0008000	Roisl.0024s0624.1.p
OG0003035	Np005G2883200	Roisl.0091s0269.1.p
OG0003037	Np003G1847400	Roisl.0082s0277.1.p
OG0003037	Np005G2876400	Roisl.0091s0204.1.p
OG0003038	Np007G4214600	Roisl.0027s0035.1.p, Roisl.0027s0025.1.p
OG0003038	Np007G3962200	Roisl.0214s0847.1.p
OG0003039	Np001G0666300	Roisl.0018s0203.1.p
OG0003040	Np001G0661700	Roisl.0018s0157.1.p, Roisl.0018s0156.1.p
OG0003041	Np001G0655600	Roisl.0018s0123.1.p
OG0003043	Np006G3286900	Roisl.0028s0380.1.p
OG0003043	Np001G0629300	Roisl.0026s0077.1.p
OG0003044	Np001G0563800	Roisl.0046s1332.1.p
OG0003045	Np007G4224200	Roisl.0016s0261.1.p, Roisl.0213s0501.1.p
OG0003046	Np002G0971100	Roisl.0209s0042.1.p, Roisl.0046s1242.1.p, Roisl.0046s1246.1.p, Roisl.0075s0066.1.p, Roisl.0046s1243.1.p, Roisl.0046s1245.1.p
OG0003047	Np002G0918900	Roisl.0019s0832.1.p
OG0003048	Np002G0916300	Roisl.0019s0818.1.p
OG0003049	Np002G0907300	Roisl.0019s0775.1.p
OG0003050	Np005G3108300	Roisl.0022s0012.1.p, Roisl.0053s0128.1.p
OG0003051	Np004G2098100	Roisl.0015s0071.1.p
OG0003051	Np005G2816200	Roisl.0022s0124.1.p
OG0003052	Np005G2606400	Roisl.0115s0721.1.p
OG0003053	Np004G2086100	Roisl.0204s0058.1.p, Roisl.0204s0056.1.p
OG0003054	Np002G1130800, Np005G3183900, Np005G3183800	Roisl.0091s0274.1.p
OG0003055	Np003G1470000	Roisl.0210s1630.1.p
OG0003056	Np003G1472600	Roisl.0210s1647.1.p
OG0003057	Np001G0140600	Roisl.0046s0316.1.p
OG0003057	Np001G0140400	Roisl.0046s0315.1.p
OG0003059	Np006G3211900	Roisl.0067s0066.1.p
OG0003061	Np006G3263300	Roisl.0028s0200.1.p
OG0003062	Np006G3263800	Roisl.0028s0205.1.p
OG0003063	Np004G2255900, Np006G3297200	Roisl.0191s0409.1.p
OG0003064	Np007G4192500	Roisl.0039s0042.1.p
OG0003064	Np001G0150600	Roisl.0046s0411.1.p
OG0003065	Np007G4186600	Roisl.0091s1192.1.p
OG0003066	Np007G4183300	Roisl.0039s0108.1.p
OG0003067	Np001G0163700	Roisl.0036s0082.1.p
OG0003068	Np007G4142700, Np007G4142600	Roisl.0079s0235.1.p
OG0003069	Np001G0190400, Np007G4111200	Roisl.0074s0921.1.p
OG0003070	Np007G4076300	Roisl.0074s0651.1.p
OG0003070	Np004G1909400	Roisl.0021s0540.1.p
OG0003071	Np002G0815400	Roisl.0012s0211.1.p
OG0003071	Np007G3902800	Roisl.0074s0343.1.p
OG0003072	Np007G3935900	Roisl.0074s0136.1.p
OG0003073	Np004G1990500	Roisl.0013s0075.1.p
OG0003074	Np005G3125300	Roisl.0032s0033.1.p
OG0003074	Np002G0947600	Roisl.0024s0019.1.p
OG0003075	Np003G1467300, Np003G1467200	Roisl.0210s1599.1.p
OG0003076	Np004G2593900	Roisl.0210s0057.1.p
OG0003077	Np004G2592300	Roisl.0210s0071.1.p
OG0003077	Np005G3123000	Roisl.0080s0677.1.p
OG0003078	Np004G2576700	Roisl.0210s0205.1.p
OG0003079	Np004G2570600	Roisl.0210s0273.1.p
OG0003080	Np006G3487700, Np006G3542500	Roisl.0033s0152.1.p, Roisl.0033s0153.1.p
OG0003081	Np002G1164300	Roisl.0214s0579.1.p
OG0003081	Np004G2477800, Np003G1703900	Roisl.0021s0160.1.p
OG0003082	Np001G0270500	Roisl.0011s0058.1.p
OG0003083	Np004G2414300	Roisl.0007s0635.1.p
OG0003084	Np004G2408600	Roisl.0007s0584.1.p
OG0003085	Np004G2372800	Roisl.0007s0285.1.p
OG0003085	Np002G0798300	Roisl.0004s0500.1.p
OG0003086	Np002G0768100	Roisl.0004s0270.1.p
OG0003087	Np004G2347900	Roisl.0007s0064.1.p
OG0003087	Np004G2348000	Roisl.0007s0065.1.p
OG0003088	Np004G2347800, Np004G2347700	Roisl.0007s0062.1.p
OG0003089	Np004G1961700	Roisl.0007s0011.1.p
OG0003090	Np004G2321200	Roisl.0191s0085.1.p, Roisl.0019s0068.1.p
OG0003092	Np001G0393900	Roisl.0012s0314.1.p
OG0003093	Np005G2681700	Roisl.0001s0269.1.p
OG0003094	Np005G2655400	Roisl.0001s0097.1.p
OG0003094	Np005G2655500	Roisl.0001s0099.1.p
OG0003095	Np003G1869800	Roisl.0191s0667.1.p, Roisl.0191s0661.1.p
OG0003095	Np005G2655200	Roisl.0001s0095.1.p
OG0003096	Np004G1999500	Roisl.0003s0224.1.p
OG0003097	Np002G0865600	Roisl.0019s0570.1.p
OG0003097	Np004G2270000	Roisl.0191s0317.1.p
OG0003098	Np003G1880000	Roisl.0191s0643.1.p
OG0003100	Np002G1106600, Np007G3931500, Np005G3095900, Np002G0972300, Np003G1627100	Roisl.0043s0002.1.p
OG0003101	Np007G3748300	Roisl.0029s0031.1.p, Roisl.0066s0092.1.p
OG0003102	Np006G3664300	Roisl.0021s0593.1.p
OG0003103	Np006G3601000	Roisl.0082s0672.1.p
OG0003104	Np001G0092500	Roisl.0080s0113.1.p
OG0003104	Np006G3534600, Np006G3535100, Np006G3534800, Np006G3535600, Np006G3472600, Np006G3472400, Np006G3534900	Roisl.0033s0077.1.p
OG0003106	Np006G3380800	Roisl.0017s0034.1.p
OG0003116	Np006G3666200	Roisl.0021s0573.1.p
OG0003116	Np005G2732400	Roisl.0003s0059.1.p
OG0003117	Np003G1452900	Roisl.0210s1493.1.p
OG0003118	Np003G1429800	Roisl.0210s1296.1.p
OG0003118	Np007G4233700, Np002G1225000	Roisl.0016s0179.1.p
OG0003119	Np003G1418200	Roisl.0210s1195.1.p
OG0003120	Np001G0032600	Roisl.0024s0419.1.p
OG0003121	Np006G3575000	Roisl.0028s0675.1.p
OG0003122	Np005G2811000, Np003G1554900	Roisl.0022s0163.1.p
OG0003123	Np004G2006600	Roisl.0013s0193.1.p
OG0003123	Np005G2724200	Roisl.0003s0122.1.p
OG0003124	Np006G3429900	Roisl.0028s0808.1.p
OG0003124	Np004G2117900	Roisl.0213s0145.1.p
OG0003125	Np004G2487200	Roisl.0021s0068.1.p
OG0003126	Np004G2164600	Roisl.0213s0441.1.p
OG0003127	Np001G0521600	Roisl.0046s1006.1.p
OG0003128	Np005G3113900	Roisl.0210s2193.1.p
OG0003129	Np001G0057000	Roisl.0024s0236.1.p
OG0003130	Np001G0066500	Roisl.0024s0174.1.p
OG0003131	Np003G1334000	Roisl.0210s0484.1.p
OG0003131	Np001G0088500	Roisl.0080s0085.1.p
OG0003132	Np001G0500200	Roisl.0046s0840.1.p
OG0003132	Np001G0112000	Roisl.0046s0075.1.p
OG0003134	Np007G3830400	Roisl.0115s0583.1.p
OG0003135	Np005G2737900	Roisl.0019s0183.1.p
OG0003135	Np003G1887700	Roisl.0191s0604.1.p
OG0003135	Np005G2608000, Np005G2709100	Roisl.0018s0080.1.p, Roisl.0018s0228.1.p
OG0003138	Np003G1660900	Roisl.0189s0127.1.p
OG0003139	Np005G2800000	Roisl.0022s0243.1.p
OG0003140	Np004G2329500	Roisl.0046s1026.1.p, Roisl.0191s0028.1.p
OG0003141	Np007G3918500, Np004G1933500	Roisl.0074s0243.1.p
OG0003142	Np004G2576100	Roisl.0210s0213.1.p
OG0003143	Np003G1865600	Roisl.0082s0424.1.p
OG0003144	Np004G2117200	Roisl.0046s1517.1.p
OG0003145	Np003G1293300	Roisl.0030s0195.1.p, Roisl.0030s0194.1.p
OG0003146	Np003G1290600	Roisl.0030s0174.1.p
OG0003147	Np001G0210500, Np001G0210600	Roisl.0011s0520.1.p
OG0003148	Np002G1226100	Roisl.0010s0175.1.p
OG0003149	Np002G0702400	Roisl.0115s0028.1.p, Roisl.0115s0029.1.p
OG0003150	Np002G0707100	Roisl.0115s0065.1.p
OG0003152	Np004G2399300	Roisl.0007s0498.1.p
OG0003153	Np002G0729100	Roisl.0115s0246.1.p
OG0003154	Np004G2342200	Roisl.0007s0005.1.p
OG0003155	Np002G0758200	Roisl.0184s0141.1.p
OG0003155	Np002G0759300	Roisl.0184s0140.1.p, Roisl.0004s0214.1.p
OG0003156	Np004G2354400	Roisl.0011s0365.1.p, Roisl.0007s0126.1.p
OG0003157	Np002G0782200, Np004G2360900	Roisl.0004s0375.1.p
OG0003158	Np004G1933000	Roisl.0006s0396.1.p
OG0003159	Np006G3396100	Roisl.0028s1039.1.p
OG0003160	Np006G3392000	Roisl.0054s0016.1.p
OG0003161	Np001G0451300, Np006G3443700, Np006G3441100	Roisl.0020s0141.1.p
OG0003163	Np005G3044300	Roisl.0002s0259.1.p
OG0003163	Np007G3836500	Roisl.0115s0634.1.p
OG0003164	Np007G3815100	Roisl.0115s0494.1.p
OG0003164	Np005G3024500, Np001G0654000	Roisl.0002s0136.1.p
OG0003165	Np002G0810700	Roisl.0019s0133.1.p
OG0003166	Np004G2376500	Roisl.0007s0312.1.p
OG0003166	Np002G0810000	Roisl.0019s0125.1.p
OG0003167	Np001G0203100	Roisl.0025s0007.1.p
OG0003167	Np005G3173300	Roisl.0009s0217.1.p
OG0003168	Np005G3154800	Roisl.0070s0015.1.p
OG0003168	Np001G0190000	Roisl.0184s0170.1.p
OG0003169	Np005G3178400	Roisl.0009s0179.1.p
OG0003169	Np001G0206300	Roisl.0011s0553.1.p
OG0003172	Np002G0796300	Roisl.0209s0015.1.p
OG0003173	Np006G3304300	Roisl.0028s0491.1.p
OG0003175	Np001G0419900	Roisl.0214s0276.1.p, Roisl.0066s0387.1.p
OG0003177	Np003G1844800	Roisl.0189s0248.1.p, Roisl.0189s0247.1.p
OG0003178	Np004G2422300	Roisl.0007s0695.1.p
OG0003179	Np005G2997000	Roisl.0002s0014.1.p
OG0003180	Np006G3408500	Roisl.0028s0933.1.p
OG0003181	Np001G0526400	Roisl.0024s0638.1.p, Roisl.0046s1050.1.p
OG0003182	Np001G0662600	Roisl.0018s0168.1.p
OG0003183	Np001G0650800	Roisl.0018s0089.1.p, Roisl.0028s0210.1.p
OG0003184	Np001G0632700	Roisl.0026s0046.1.p, Roisl.0026s0049.1.p
OG0003185	Np001G0681800, Np001G0681900	Roisl.0019s0079.1.p
OG0003188	Np001G0599100	Roisl.0046s1594.1.p
OG0003189	Np006G3341200	Roisl.0017s0293.1.p
OG0003189	Np001G0584800	Roisl.0046s1490.1.p
OG0003190	Np001G0565300	Roisl.0046s1346.1.p
OG0003190	Np006G3371000	Roisl.0017s0096.1.p
OG0003191	Np004G2094400	Roisl.0191s0454.1.p
OG0003191	Np002G0898800	Roisl.0019s0747.1.p
OG0003192	Np007G3751100, Np001G0215100	Roisl.0066s0121.1.p
OG0003193	Np001G0609400	Roisl.0046s1672.1.p
OG0003194	Np006G3341400	Roisl.0002s0063.1.p, Roisl.0017s0291.1.p
OG0003196	Np006G3643900	Roisl.0023s0022.1.p
OG0003197	Np003G1811000	Roisl.0046s0273.1.p, Roisl.0055s0031.1.p
OG0003198	Np001G0149500	Roisl.0046s0402.1.p
OG0003198	Np007G4190500	Roisl.0039s0052.1.p
OG0003199	Np007G3718600	Roisl.0022s0523.1.p, Roisl.0214s0485.1.p
OG0003200	Np001G0157800	Roisl.0046s0481.1.p
OG0003201	Np007G4190800	Roisl.0039s0051.1.p
OG0003201	Np001G0149600	Roisl.0046s0404.1.p
OG0003202	Np003G1468100	Roisl.0210s1606.1.p
OG0003202	Np007G4173500, Np007G4173600	Roisl.0079s0004.1.p
OG0003203	Np007G4158200	Roisl.0079s0113.1.p
OG0003203	Np001G0173200	Roisl.0079s0117.1.p
OG0003204	Np001G0027400, Np007G4168600, Np007G4141800	Roisl.0074s0407.1.p
OG0003206	Np007G4085100	Roisl.0074s0723.1.p
OG0003207	Np007G4057200	Roisl.0066s0019.1.p
OG0003207	Np007G4057400	Roisl.0074s0531.1.p
OG0003208	Np007G3947200	Roisl.0074s0067.1.p
OG0003210	Np005G3127900	Roisl.0032s0008.1.p
OG0003210	Np005G3127200	Roisl.0032s0012.1.p
OG0003211	Np004G2555000	Roisl.0091s0713.1.p
OG0003213	Np004G2509200	Roisl.0091s1130.1.p, Roisl.0091s1129.1.p
OG0003214	Np002G1155400	Roisl.0214s0630.1.p
OG0003214	Np004G2482000	Roisl.0021s0120.1.p
OG0003215	Np004G2448900	Roisl.0021s0364.1.p
OG0003216	Np006G3608400, Np004G2442200	Roisl.0021s0413.1.p
OG0003217	Np001G0261700	Roisl.0011s0112.1.p
OG0003218	Np004G2388900	Roisl.0007s0401.1.p
OG0003219	Np004G2320200	Roisl.0191s0092.1.p
OG0003220	Np002G0831300	Roisl.0019s0316.1.p
OG0003220	Np004G2319100	Roisl.0191s0099.1.p
OG0003221	Np004G2312500	Roisl.0191s0123.1.p
OG0003222	Np002G0838900	Roisl.0019s0399.1.p
OG0003222	Np004G2312200	Roisl.0191s0128.1.p
OG0003223	Np002G1172300	Roisl.0214s0527.1.p, Roisl.0214s0526.1.p
OG0003224	Np002G1145600	Roisl.0214s0679.1.p
OG0003224	Np002G1146400	Roisl.0214s0675.1.p
OG0003225	Np005G3014200	Roisl.0002s0073.1.p
OG0003225	Np005G3014900	Roisl.0002s0077.1.p
OG0003226	Np004G2001300	Roisl.0013s0159.1.p, Roisl.0013s0153.1.p, Roisl.0013s0152.1.p
OG0003227	Np005G2645900, Np007G3785800	Roisl.0001s0028.1.p
OG0003228	Np005G2639400	Roisl.0008s0317.1.p
OG0003229	Np004G2266000	Roisl.0191s0341.1.p
OG0003230	Np005G2774800	Roisl.0022s0426.1.p
OG0003231	Np001G0240700	Roisl.0011s0287.1.p
OG0003231	Np001G0241000	Roisl.0011s0276.1.p
OG0003233	Np005G2679800, Np001G0426900	Roisl.0001s0256.1.p, Roisl.0008s0004.1.p
OG0003234	Np002G0799700, Np002G0799500	Roisl.0004s0506.1.p
OG0003234	Np005G3159000, Np001G0130100	Roisl.0046s0222.1.p
OG0003236	Np006G3688100, Np006G3687900	Roisl.0046s0587.1.p
OG0003237	Np005G3142200	Roisl.0213s0821.1.p
OG0003237	Np001G0184700	Roisl.0185s0049.1.p
OG0003238	Np002G1102700	Roisl.0209s0539.1.p
OG0003246	Np001G0464300	Roisl.0209s0369.1.p
OG0003247	Np001G0465200	Roisl.0209s0382.1.p
OG0003248	Np001G0480500	Roisl.0046s0720.1.p
OG0003250	Np003G1420200	Roisl.0210s1217.1.p
OG0003251	Np003G1409200	Roisl.0210s1104.1.p
OG0003252	Np003G1388500	Roisl.0210s0927.1.p
OG0003252	Np001G0137600	Roisl.0046s0292.1.p
OG0003253	Np004G2157900	Roisl.0091s0472.1.p
OG0003254	Np001G0036900	Roisl.0024s0392.1.p
OG0003254	Np003G1365300	Roisl.0210s0741.1.p
OG0003255	Np003G1365200	Roisl.0210s0739.1.p
OG0003256	Np003G1364400	Roisl.0210s0729.1.p
OG0003257	Np003G1359000	Roisl.0210s0677.1.p
OG0003258	Np001G0046700	Roisl.0024s0311.1.p
OG0003258	Np003G1356500	Roisl.0210s0651.1.p
OG0003259	Np006G3507900	Roisl.0082s0763.1.p
OG0003259	Np003G1307200	Roisl.0042s0098.1.p
OG0003261	Np006G3535700, Np006G3472300	Roisl.0033s0078.1.p
OG0003262	Np004G2543600	Roisl.0091s0814.1.p
OG0003263	Np004G1984000	Roisl.0013s0020.1.p
OG0003264	Np007G4193000	Roisl.0028s0686.1.p
OG0003265	Np007G3841800	Roisl.0053s0382.1.p
OG0003266	Np004G2276700, Np002G0923900	Roisl.0191s0304.1.p
OG0003267	Np004G2138200	Roisl.0213s0300.1.p
OG0003268	Np001G0044000	Roisl.0209s0100.1.p
OG0003268	Np001G0087700	Roisl.0040s0109.1.p, Roisl.0209s0102.1.p
OG0003269	Np003G1354600	Roisl.0210s0641.1.p
OG0003269	Np001G0049700	Roisl.0024s0287.1.p
OG0003270	Np001G0094700	Roisl.0080s0135.1.p
OG0003273	Np003G1512100	Roisl.0210s1957.1.p
OG0003274	Np005G2682500	Roisl.0001s0277.1.p, Roisl.0066s0072.1.p
OG0003275	Np007G4081000, Np006G3420100, Np007G4081500, Np007G4081300	Roisl.0074s0691.1.p, Roisl.0074s0689.1.p
OG0003276	Np003G1545100	Roisl.0080s0447.1.p, Roisl.0080s0448.1.p
OG0003277	Np003G1585100	Roisl.0080s0732.1.p
OG0003277	Np005G2790900	Roisl.0022s0314.1.p
OG0003278	Np001G0507400	Roisl.0046s0905.1.p
OG0003279	Np001G0507200	Roisl.0046s0903.1.p, Roisl.0024s0467.1.p
OG0003280	Np003G1273700, Np001G0351000, Np002G1167100	Roisl.0006s0103.1.p
OG0003281	Np005G3078900, Np003G1262100	Roisl.0021s0326.1.p, Roisl.0002s0033.1.p, Roisl.0034s0114.1.p
OG0003282	Np004G2305200, Np002G0848500	Roisl.0191s0167.1.p
OG0003283	Np004G2050000	Roisl.0189s0069.1.p
OG0003284	Np005G3097000	Roisl.0008s0100.1.p
OG0003285	Np005G2906500	Roisl.0091s0419.1.p
OG0003286	Np007G3927200, Np005G2893600	Roisl.0091s0329.1.p
OG0003287	Np002G0737200	Roisl.0191s0059.1.p, Roisl.0191s0061.1.p, Roisl.0191s0060.1.p
OG0003289	Np007G3832600	Roisl.0115s0599.1.p
OG0003289	Np005G3040100	Roisl.0002s0236.1.p
OG0003291	Np002G1227800	Roisl.0010s0183.1.p
OG0003292	Np004G2271400, Np004G2271800	Roisl.0191s0321.1.p
OG0003294	Np007G4034400	Roisl.0074s0400.1.p
OG0003295	Np005G2918800	Roisl.0091s0483.1.p
OG0003297	Np001G0062100, Np001G0061900, Np001G0081700, Np003G1877300, Np001G0081300, Np001G0061700	Roisl.0024s0199.1.p
OG0003298	Np005G2896000, Np005G2895600	Roisl.0091s0340.1.p
OG0003299	Np005G3058400	Roisl.0021s0035.1.p, Roisl.0021s0060.1.p
OG0003299	Np004G2173200	Roisl.0189s0245.1.p
OG0003300	Np004G1956500	Roisl.0006s0083.1.p
OG0003301	Np001G0002100	Roisl.0024s0671.1.p
OG0003301	Np001G0531400	Roisl.0046s1087.1.p
OG0003302	Np006G3231600	Roisl.0035s0133.1.p
OG0003303	Np006G3351500	Roisl.0017s0227.1.p
OG0003303	Np001G0572600	Roisl.0046s1396.1.p
OG0003304	Np005G2783700	Roisl.0023s0030.1.p, Roisl.0022s0384.1.p
OG0003305	Np005G3078100, Np007G3880200	Roisl.0082s0011.1.p
OG0003306	Np007G3884100	Roisl.0053s0430.1.p
OG0003306	Np001G0178600	Roisl.0014s0025.1.p
OG0003307	Np002G0908900	Roisl.0019s0784.1.p
OG0003307	Np004G2097100	Roisl.0015s0065.1.p
OG0003308	Np007G3741200	Roisl.0066s0027.1.p
OG0003309	Np004G1914000	Roisl.0006s0528.1.p
OG0003309	Np007G4070400	Roisl.0074s0620.1.p
OG0003310	Np003G1754300, Np004G2025100	Roisl.0179s0044.1.p
OG0003311	Np006G3216300, Np006G3213000	Roisl.0035s0013.1.p
OG0003312	Np002G0768600	Roisl.0004s0276.1.p
OG0003313	Np005G2651900	Roisl.0001s0069.1.p
OG0003314	Np007G4193500, Np002G0775800	Roisl.0039s0032.1.p
OG0003314	Np001G0154500	Roisl.0046s0445.1.p
OG0003315	Np007G4178100	Roisl.0039s0134.1.p
OG0003316	Np003G1468300	Roisl.0210s1608.1.p
OG0003317	Np007G4158700	Roisl.0079s0106.1.p
OG0003317	Np001G0172700	Roisl.0014s0127.1.p
OG0003318	Np007G4042300	Roisl.0074s0430.1.p
OG0003319	Np007G3915600	Roisl.0074s0261.1.p
OG0003319	Np005G3013200	Roisl.0002s0068.1.p
OG0003320	Np004G1982900, Np004G1982700	Roisl.0013s0008.1.p
OG0003321	Np005G2765500	Roisl.0022s0513.1.p, Roisl.0044s0002.1.p, Roisl.0003s0267.1.p
OG0003322	Np005G3142000	Roisl.0213s0820.1.p
OG0003323	Np007G3828500	Roisl.0115s0574.1.p
OG0003324	Np005G2740800	Roisl.0003s0025.1.p
OG0003325	Np002G0906600	Roisl.0019s0773.1.p
OG0003325	Np001G0163600	Roisl.0036s0081.1.p
OG0003326	Np001G0536200	Roisl.0046s1137.1.p
OG0003327	Np003G1888500	Roisl.0191s0527.1.p
OG0003328	Np004G2587700	Roisl.0210s0104.1.p
OG0003329	Np005G2729900, Np005G2729400	Roisl.0003s0075.1.p
OG0003330	Np004G2522600	Roisl.0091s1001.1.p
OG0003330	Np006G3505900	Roisl.0082s0756.1.p
OG0003331	Np004G2505300	Roisl.0091s1160.1.p
OG0003332	Np004G2423000	Roisl.0007s0707.1.p
OG0003332	Np001G0252100	Roisl.0011s0163.1.p
OG0003333	Np004G2404300	Roisl.0007s0545.1.p
OG0003334	Np004G2363200, Np004G2363100, Np004G2363300, Np004G2362900	Roisl.0007s0196.1.p
OG0003335	Np004G2350700	Roisl.0007s0091.1.p
OG0003336	Np002G0837500	Roisl.0019s0376.1.p
OG0003337	Np004G2306800	Roisl.0191s0158.1.p
OG0003338	Np002G0858700	Roisl.0191s0270.1.p, Roisl.0019s0528.1.p
OG0003339	Np001G0009200	Roisl.0024s0614.1.p
OG0003340	Np005G2955700	Roisl.0005s0035.1.p
OG0003342	Np002G0972000	Roisl.0209s0039.1.p
OG0003342	Np005G3112800	Roisl.0210s2224.1.p
OG0003343	Np005G2750600, Np005G2750800	Roisl.0044s0101.1.p
OG0003344	Np006G3686600, Np006G3686700, Np006G3686800	Roisl.0046s0578.1.p
OG0003347	Np005G2670100	Roisl.0001s0178.1.p
OG0003348	Np005G3073900	Roisl.0001s0176.1.p, Roisl.0210s1698.1.p
OG0003349	Np005G2644400	Roisl.0001s0011.1.p
OG0003350	Np005G2704800	Roisl.0003s0248.1.p
OG0003351	Np002G0829700	Roisl.0019s0300.1.p, Roisl.0019s0301.1.p
OG0003353	Np003G1616600, Np001G0033400, Np003G1342700	Roisl.0184s0075.1.p
OG0003355	Np008G4268400, Np005G2952700	Roisl.0213s0703.1.p, Roisl.0001s0550.1.p
OG0003356	Np004G2106600	Roisl.0213s0046.1.p
OG0003361	Np001G0456600	Roisl.0031s0027.1.p, Roisl.0031s0026.1.p
OG0003364	Np001G0216200	Roisl.0011s0494.1.p
OG0003365	Np003G1313400, Np003G1309200, Np003G1292900, Np003G1501100, Np003G1662500	Roisl.0066s0292.1.p
OG0003369	Np007G3877300, Np007G3877200, Np007G3876600	Roisl.0053s0169.1.p
OG0003369	Np007G3876800	Roisl.0053s0168.1.p
OG0003372	Np001G0479400	Roisl.0046s0713.1.p
OG0003372	Np001G0068900	Roisl.0024s0151.1.p
OG0003373	Np004G2108100, Np004G2107200	Roisl.0213s0051.1.p, Roisl.0213s0060.1.p
OG0003374	Np004G2057100	Roisl.0209s0147.1.p
OG0003375	Np007G3976200	Roisl.0012s0019.1.p
OG0003375	Np002G0801700	Roisl.0012s0018.1.p
OG0003376	Np005G3101300	Roisl.0043s0017.1.p
OG0003376	Np007G3895100	Roisl.0038s0065.1.p
OG0003377	Np003G1434200	Roisl.0210s1334.1.p, Roisl.0014s0142.1.p
OG0003378	Np003G1432700	Roisl.0210s1321.1.p
OG0003379	Np005G3192000	Roisl.0009s0097.1.p
OG0003384	Np005G2695600	Roisl.0001s0390.1.p
OG0003385	Np003G1343600	Roisl.0210s0560.1.p
OG0003386	Np003G1337800	Roisl.0210s0518.1.p
OG0003386	Np003G1337700	Roisl.0210s0517.1.p
OG0003387	Np003G1724800	Roisl.0214s0246.1.p
OG0003387	Np005G2814600	Roisl.0022s0137.1.p
OG0003388	Np005G2815200	Roisl.0022s0131.1.p
OG0003389	Np004G2461500	Roisl.0028s0640.1.p, Roisl.0010s0005.1.p
OG0003390	Np004G2526500	Roisl.0091s0967.1.p
OG0003390	Np006G3525100	Roisl.0033s0037.1.p
OG0003392	Np001G0403100, Np001G0402400	Roisl.0012s0229.1.p
OG0003393	Np004G2141300	Roisl.0213s0325.1.p
OG0003394	Np004G2141400	Roisl.0213s0326.1.p
OG0003395	Np001G0508700	Roisl.0046s0915.1.p
OG0003396	Np003G1360000	Roisl.0024s0349.1.p, Roisl.0210s0687.1.p
OG0003397	Np005G2637600, Np001G0045800	Roisl.0008s0301.1.p
OG0003398	Np001G0064300	Roisl.0024s0194.1.p
OG0003399	Np006G3656800	Roisl.0024s0167.1.p
OG0003400	Np001G0068400	Roisl.0024s0157.1.p
OG0003401	Np001G0111300	Roisl.0046s0070.1.p
OG0003402	Np003G1492500	Roisl.0210s1816.1.p
OG0003404	Np003G1542000	Roisl.0080s0427.1.p
OG0003405	Np003G1573000	Roisl.0021s0073.1.p, Roisl.0091s1119.1.p, Roisl.0080s0649.1.p
OG0003406	Np004G1961600	Roisl.0013s0200.1.p
OG0003406	Np005G3139800	Roisl.0028s0950.1.p
OG0003407	Np005G2606700, Np001G0426500	Roisl.0029s0019.1.p
OG0003408	Np003G1296900, Np003G1297000	Roisl.0042s0158.1.p
OG0003410	Np003G1262400	Roisl.0079s0289.1.p, Roisl.0034s0118.1.p
OG0003412	Np007G4141500	Roisl.0079s0240.1.p
OG0003412	Np003G1251500	Roisl.0034s0028.1.p
OG0003413	Np007G4090700	Roisl.0074s0772.1.p
OG0003414	Np002G0728300	Roisl.0115s0235.1.p, Roisl.0007s0457.1.p
OG0003415	Np006G3705000	Roisl.0082s0130.1.p
OG0003416	Np002G0763500, Np002G0763600	Roisl.0004s0237.1.p
OG0003417	Np007G4077100	Roisl.0074s0658.1.p
OG0003418	Np007G4055800	Roisl.0074s0521.1.p
OG0003419	Np004G1930100	Roisl.0006s0418.1.p
OG0003420	Np006G3388800, Np006G3388600	Roisl.0054s0030.1.p
OG0003421	Np007G3852100	Roisl.0053s0317.1.p
OG0003422	Np005G2691100	Roisl.0001s0354.1.p
OG0003423	Np003G1836300	Roisl.0019s0108.1.p, Roisl.0188s0020.1.p, Roisl.0179s0031.1.p
OG0003424	Np001G0198300	Roisl.0025s0075.1.p
OG0003425	Np004G2266100	Roisl.0191s0340.1.p
OG0003426	Np001G0359100	Roisl.0005s0199.1.p
OG0003427	Np004G1952200	Roisl.0006s0232.1.p
OG0003428	Np004G1952000, Np004G1952100	Roisl.0006s0233.1.p
OG0003428	Np007G3812900	Roisl.0115s0476.1.p
OG0003429	Np004G1938400	Roisl.0006s0357.1.p
OG0003429	Np007G3716700	Roisl.0214s0501.1.p
OG0003431	Np005G2911400	Roisl.0091s0442.1.p
OG0003432	Np005G2913900	Roisl.0091s0456.1.p
OG0003432	Np001G0548000	Roisl.0046s1235.1.p
OG0003433	Np001G0522600, Np001G0522200, Np001G0522900, Np001G0522500, Np001G0523000	Roisl.0046s1015.1.p
OG0003434	Np003G1845300	Roisl.0189s0240.1.p, Roisl.0189s0238.1.p
OG0003435	Np003G1844600	Roisl.0189s0253.1.p
OG0003438	Np005G2882600	Roisl.0091s0263.1.p
OG0003439	Np001G0113100	Roisl.0074s0929.1.p
OG0003439	Np007G4112000	Roisl.0074s0989.1.p
OG0003440	Np005G2863600	Roisl.0091s0134.1.p
OG0003441	Np002G1056500	Roisl.0056s0046.1.p
OG0003442	Np001G0656000	Roisl.0008s0090.1.p, Roisl.0028s0134.1.p
OG0003443	Np001G0636000	Roisl.0026s0020.1.p
