Orthogroup	Noccaea_praecox	Arabidopsis_lyrata_Rawat
OG0001963	Np002G0715600	AL2G40480
OG0001964	Np004G2399900	AL1G28420
OG0001964	Np002G0720700	AL2G40170
OG0001965	Np004G2344900	AL1G33980
OG0001965	Np002G0762200	AL2G36690
OG0001966	Np005G2670200	AL7G15540
OG0001966	Np005G2671200, Np005G2671700	AL7G15420
OG0001967	Np004G2349200	AL1G33520
OG0001968	Np002G0772000	AL2G35890
OG0001968	Np002G0771900	AL2G35900
OG0001969	Np007G3760900	AL3G50120
OG0001969	Np005G2661600	AL7G15880
OG0001970	Np007G3757800	AL3G50490
OG0001970	Np005G2665400	AL7G15670
OG0001971	Np007G3755200	AL3G50720
OG0001971	Np005G2673500	AL7G15260
OG0001972	Np007G3754100	AL3G50800
OG0001972	Np005G2675000	AL7G15120
OG0001973	Np004G1918300	AL1G62900
OG0001974	Np007G4048500	AL3G27290
OG0001975	Np001G0553300	AL5G33800
OG0001975	Np006G3387800	AL4G32750
OG0001977	Np005G3072100	AL7G42970
OG0001977	Np005G3081900	AL3G39170
OG0001978	Np007G4235000	AL3G11690
OG0001979	Np005G3049800	AL7G41580
OG0001979	Np007G3840000	AL3G37470
OG0001980	Np005G3045200	AL7G41330
OG0001980	Np007G3838300	AL3G37240
OG0001982	Np001G0601000	AL5G37410
OG0001982	Np006G3318500	AL4G38110
OG0001983	Np001G0461100	AL5G25240
OG0001983	Np001G0460400	AL5G25250
OG0001984	Np001G0222500	AL5G15530
OG0001984	Np004G2446100	AL1G24520
OG0001985	Np001G0370800	AL8G13110
OG0001985	Np005G2904200	AL7G35070
OG0001986	Np004G1977900	AL1G57120, AL1G57150
OG0001986	Np007G3960300	AL3G32680
OG0001987	Np004G1962100	AL1G58680
OG0001987	Np001G0281300	AL3G34420
OG0001988	Np004G1954500	AL1G59510
OG0001988	Np007G3810600	AL3G35170
OG0001989	Np007G3903700	AL3G28800
OG0001989	Np004G1946700	AL1G60420
OG0001992	Np005G2932800	AL7G36650
OG0001992	Np001G0343000	AL8G11580
OG0001993	Np003G1879100	AL6G51830
OG0001994	Np003G1815800	AL6G46650
OG0001994	Np005G2846300	AL7G30600
OG0001995	Np005G2856300	AL7G31320, AL8G44690
OG0001995	Np005G2856100	AL7G31310
OG0001997	Np003G1847300	AL6G48780
OG0001997	Np005G2876600	AL7G32830
OG0001998	Np001G0693900	AL5G45770
OG0001998	Np006G3206700	AL4G47540
OG0001999	Np006G3243200, Np006G3243600	AL4G44610
OG0001999	Np001G0667300	AL5G43200
OG0002000	Np006G3248300	AL4G44170
OG0002000	Np001G0663100	AL5G42870
OG0002001	Np001G0663000	AL5G42840
OG0002001	Np006G3248400	AL4G44160
OG0002002	Np001G0653500	AL5G42260
OG0002002	Np006G3258300	AL4G43240
OG0002003	Np004G2482700	AL1G21290, AL3G43770
OG0002003	Np001G0627300	AL5G39590
OG0002004	Np006G3299900	AL4G39660
OG0002004	Np001G0619300	AL5G38870
OG0002005	Np005G2773500	AL7G24970
OG0002005	Np003G1637500	AL8G28260
OG0002007	Np006G3347000	AL4G36170
OG0002007	Np006G3346900	AL4G36210
OG0002008	Np006G3437700, Np006G3352800	AL4G35810, AL3G46850, AL4G35820
OG0002009	Np001G0537300	AL5G32320
OG0002009	Np006G3358700	AL4G35190
OG0002010	Np006G3226900, Np006G3227000, Np006G3227100	AL8G10360, AL8G10380
OG0002011	Np006G3709400	AL4G10340
OG0002011	Np005G2607400	AL7G10740
OG0002012	Np003G1775600	AL6G43620
OG0002013	Np007G4185000	AL3G16290
OG0002013	Np001G0145700	AL6G38980
OG0002014	Np001G0692300	AL5G45610
OG0002014	Np006G3210100	AL4G47230
OG0002015	Np006G3211100	AL4G47140
OG0002015	Np001G0691000	AL5G45440
OG0002016	Np007G3921000, Np007G3920800	AL3G30120
OG0002017	Np006G3290200	AL4G40440
OG0002017	Np001G0628400	AL5G39680
OG0002018	Np007G4191300	AL3G15700
OG0002018	Np002G1063300	AL1G65330
OG0002019	Np003G1466500, Np007G4172800	AL6G30140, AL3G17250
OG0002020	Np007G3921100, Np004G2067700	AL3G30140
OG0002020	Np007G3921500	nbis-gene-717
OG0002021	Np007G3923200	AL3G30280
OG0002021	Np004G2000600	AL1G54550
OG0002022	Np007G3926000	AL3G30510
OG0002022	Np004G1997600	AL1G54820
OG0002023	Np001G0188100	AL5G19430
OG0002023	Np005G3151200	AL7G51130
OG0002024	Np005G3118000	AL7G46180
OG0002025	Np007G3829700	AL3G36530
OG0002025	Np005G3038000	AL7G40840
OG0002026	Np003G1464600	AL6G29910, AL6G29900
OG0002027	Np004G2590700	AL1G10860
OG0002028	Np003G1883900	nbis-gene-1674
OG0002029	Np003G1883800	nbis-gene-1675
OG0002029	Np004G2587800	AL1G11100
OG0002030	Np004G2577700	AL1G12020
OG0002030	Np003G1869900	AL6G50980
OG0002031	Np006G3512500, Np004G2544200	AL1G15380
OG0002032	Np002G1113400	AL1G66490
OG0002032	Np004G2498000	AL1G19860
OG0002033	Np004G2481800	AL1G21390
OG0002033	Np002G1157700, Np003G1714600	AL2G16440
OG0002034	Np004G2473500	AL1G22270
OG0002034	Np002G1178100	AL2G15020
OG0002035	Np004G2465900	AL1G22810
OG0002035	Np002G1188900	AL2G14160
OG0002036	Np002G1213800	AL2G12540
OG0002036	Np004G2450800	AL1G23990, AL1G24100
OG0002037	Np001G0226400	AL5G15110
OG0002037	Np004G2444400	AL1G24710
OG0002038	Np004G2418200	AL1G26660
OG0002041	Np004G2306400	AL1G36950
OG0002041	Np002G0847100	AL2G30140
OG0002042	Np005G3199600, Np005G3198200	AL7G47610
OG0002042	Np002G1240400	AL2G10640
OG0002043	Np005G2602100	AL7G10270
OG0002044	Np007G3769300	AL3G49430
OG0002045	Np005G2631800	AL7G18530
OG0002045	Np006G3629000	AL4G18660
OG0002046	Np006G3561600	AL4G22500, AL4G22510
OG0002048	Np003G1777100	AL6G43640
OG0002056	Np003G1540000	AL8G35080
OG0002056	Np001G0469500	AL5G26420
OG0002057	Np001G0480400	AL5G27400
OG0002057	Np001G0068000	AL8G39930
OG0002058	Np003G1456800	AL6G29370
OG0002058	Np007G4213900	AL3G13800
OG0002059	Np003G1456400	AL6G29350
OG0002059	Np003G1415400	AL6G25370
OG0002060	Np003G1455700	AL6G29290
OG0002060	Np003G1454000	AL6G29100
OG0002061	Np007G4221400	AL3G13100
OG0002061	Np003G1448200	AL6G28560
OG0002062	Np003G1439700	AL6G27820
OG0002062	Np007G4227800	AL3G12440
OG0002063	Np007G4230500	AL3G12180
OG0002063	Np003G1435100	AL6G27380
OG0002064	Np003G1432800	AL6G27130
OG0002064	Np007G4232000	AL3G12000
OG0002065	Np003G1430500	AL6G26920
OG0002066	Np007G4234200, Np007G4234100	AL3G11770
OG0002066	Np003G1429400	AL6G26810
OG0002067	Np003G1412900	AL6G25100
OG0002067	Np007G4250200	AL3G10460
OG0002068	Np003G1403700	AL6G24160
OG0002068	Np007G4089200	AL3G24150
OG0002069	Np003G1397900	AL6G23710
OG0002069	Np004G2102100	AL1G40640
OG0002070	Np003G1383700	AL6G22390
OG0002071	Np003G1367400	AL8G16020
OG0002072	Np003G1361600	AL6G20320
OG0002072	Np001G0040400	AL8G42220
OG0002073	Np003G1357500	AL6G19930
OG0002074	Np001G0094400	AL8G37910, AL665U10010
OG0002074	Np003G1338700	AL6G18170
OG0002075	Np003G1857500	AL6G49930
OG0002075	Np004G2570500	AL1G12890
OG0002076	Np006G3586100	AL4G22250
OG0002076	Np006G3586200	AL4G22230
OG0002077	Np006G3590700	AL4G21790
OG0002077	Np004G2513800	AL1G18380
OG0002078	Np004G2544400	AL1G15350
OG0002078	Np006G3559600	AL4G27350
OG0002079	Np004G2547300	AL1G15100
OG0002080	Np004G2565100	AL1G13450
OG0002081	Np001G0422600	AL8G18280
OG0002081	Np004G2009800	AL1G53390
OG0002082	Np004G2423500	AL1G26250
OG0002082	Np001G0251400	AL5G12020
OG0002083	Np001G0011600	AL8G44700, AL3G51730
OG0002084	Np001G0511000	AL5G29980
OG0002084	Np001G0021800	AL8G43900
OG0002086	Np001G0087100	AL8G38550
OG0002086	Np003G1332900	AL6G17610
OG0002087	Np001G0505500	AL5G29400
OG0002087	Np001G0119700	AL6G36250
OG0002088	Np001G0120500	AL6G36360, AL6G36400
OG0002089	Np001G0430700	AL5G20980
OG0002089	Np003G1487800	AL6G32040
OG0002090	Np003G1511700	AL6G34070
OG0002090	Np001G0446600	AL5G23410
OG0002091	Np003G1526700	AL8G36220
OG0002092	Np005G2799200	AL7G27030
OG0002092	Np003G1563300	AL8G33120
OG0002093	Np005G2797300	AL7G26870
OG0002093	Np003G1567700	AL8G32810
OG0002094	Np005G2792500	AL7G26520
OG0002094	Np003G1581100	AL8G31910
OG0002095	Np005G2788800	AL7G26120
OG0002096	Np003G1609800	AL8G30330
OG0002096	Np005G2785700	AL7G25810
OG0002097	Np003G1862300	AL6G50340
OG0002097	Np004G2573400	AL1G12530
OG0002099	Np003G1307800	nbis-gene-1471
OG0002100	Np003G1257600	AL6G10960
OG0002100	Np007G4138300	AL3G20070
OG0002101	Np007G4225200	AL3G12790
OG0002101	Np003G1254500	AL6G10660
OG0002102	Np001G0213200	AL5G16310
OG0002102	Np005G3184200	AL7G48700
OG0002103	Np001G0543000	AL2G16880
OG0002103	Np004G2412000	AL1G27290
OG0002104	Np004G2406200	AL1G27860
OG0002104	Np002G0709500	AL2G40980
OG0002105	Np004G2400700	AL1G28320
OG0002105	Np002G0717100	AL2G40340
OG0002106	Np004G2398400, Np004G2398100	nbis-gene-93
OG0002106	Np002G0723900	AL2G39850
OG0002108	Np002G0725200	AL2G39640
OG0002108	Np004G2397000	AL1G28660
OG0002109	Np004G2326500	AL1G35590
OG0002109	Np002G0741900	AL2G38290
OG0002110	Np002G1136800	AL1G34520
OG0002111	Np004G2343000	AL1G34120
OG0002111	Np002G0760500	AL2G36810
OG0002112	Np004G1908500	AL1G63680
OG0002112	Np007G4076800	AL3G25230
OG0002113	Np004G1909600	AL1G63560
OG0002113	Np007G4076200	AL3G25290
OG0002114	Np007G4073400	AL3G25480
OG0002115	Np002G0912300	AL2G26310
OG0002115	Np004G2099100	AL1G40540
OG0002116	Np007G3856000	AL3G38820
OG0002117	Np005G3054200	AL7G41850
OG0002117	Np007G3844600	AL3G37920
OG0002118	Np005G3051000	AL7G41630
OG0002118	Np007G3840400	AL3G37520
OG0002119	Np007G3826200, Np007G3890300	AL3G36310
OG0002120	Np005G2785800	AL1G52050, AL1G51930, AL7G25820, AL2G26020
OG0002121	Np005G2926500	AL7G36380
OG0002121	Np005G3031100	AL7G40180
OG0002121	Np001G0349900	AL8G11810
OG0002122	Np005G3025500, Np005G3025300	AL7G39950
OG0002122	Np007G3815500	AL3G35610
OG0002123	Np006G3701400	AL4G10950
OG0002123	Np005G2613800	AL7G11270
OG0002124	Np004G2385000	AL1G29830
OG0002124	Np002G0819800	AL2G32430
OG0002125	Np007G3727400	AL3G48360
OG0002127	Np005G3183100	AL7G48910
OG0002128	Np001G0370000, Np001G0339600	AL8G13060
OG0002128	Np005G2904500	AL7G35140
OG0002129	Np004G1955700	AL1G59390
OG0002129	Np007G3808400	AL3G35030
OG0002130	Np007G4028000	AL3G28350
OG0002130	Np004G1942000	AL1G60940
OG0002131	Np006G3417000	AL4G30680
OG0002131	Np001G0351500	AL8G11820
OG0002132	Np004G2138300	AL5G18540, AL5G18840
OG0002133	Np005G2833800	AL7G29690
OG0002134	Np005G2647600	AL7G16810
OG0002134	Np007G3780500	AL3G47480
OG0002135	Np007G3770800	AL3G49230
OG0002135	Np005G2655000	AL7G16340
OG0002136	Np003G1797200	AL6G45060
OG0002137	Np005G2831400	AL7G29490
OG0002138	Np005G2702100	AL7G19310
OG0002138	Np006G3637100	AL4G17060
OG0002139	Np005G2849000, Np005G2848900	AL1G48290, AL1G48270, AL7G30890
OG0002140	Np005G2888600	AL7G33950
OG0002142	Np001G0394200	AL8G15060
OG0002142	Np005G2884000	AL7G33530
OG0002143	Np005G2874400	AL7G33040
OG0002143	Np003G1849400	AL6G49040
OG0002144	Np003G1770600	AL6G43150
OG0002144	Np004G2046100	AL1G50560
OG0002145	Np001G0691800	AL5G45570
OG0002145	Np006G3209800	AL4G47260
OG0002146	Np006G3229200	AL4G45720
OG0002146	Np001G0676800, Np001G0677000	AL5G44210
OG0002147	Np001G0674300	AL5G43930
OG0002147	Np006G3231700	AL4G45420
OG0002148	Np001G0667600	AL5G43220
OG0002148	Np006G3242600	AL4G44640
OG0002149	Np001G0657700	AL5G42500
OG0002149	Np001G0657600	AL5G42490
OG0002150	Np001G0628700	AL5G39720
OG0002150	Np006G3291300	AL4G40320
OG0002151	Np006G3306900	AL4G39030
OG0002151	Np001G0477300, Np001G0613300	AL5G38250
OG0002152	Np001G0612300	AL5G38110
OG0002152	Np006G3306200	AL4G39120
OG0002153	Np001G0582300, Np001G0606000	AL5G37760
OG0002153	Np006G3310400	AL4G38690
OG0002154	Np006G3351400	AL4G35900
OG0002155	Np006G3377800	AL4G33470
OG0002155	Np001G0562100	AL5G34280
OG0002156	Np003G1637400	AL8G28270
OG0002156	Np005G2773600	AL7G24980
OG0002157	Np007G3916300	AL3G29830
OG0002157	Np005G3012700	AL7G39050
OG0002158	Np005G3088200	AL9U10320
OG0002158	Np007G3870000	AL3G39890
OG0002159	Np001G0466600, Np001G0469400	AL4G20430, AL5G25940, AL5G26410
OG0002160	Np002G0912800	AL2G26270
OG0002160	Np004G2099300	AL1G40570
OG0002161	Np004G2095800	AL1G40210
OG0002162	Np001G0288700, Np007G3741300	AL3G52120
OG0002162	Np005G2734200	AL7G21810
OG0002164	Np006G3325600, Np006G3325000, Np001G0567300	AL1G53000, AL4G37660
OG0002165	Np010G4347100, Np007G4015300	nbis-gene-1095
OG0002165	Np006G3371800, Np006G3371700	AL4G33890
OG0002166	Np006G3310700, Np006G3310600, Np006G3310500, Np001G0329000, Np001G0330500	AL8G10930
OG0002167	Np006G3709100	AL4G10380
OG0002168	Np006G3706000	AL4G10600
OG0002168	Np005G2611100	AL7G11010
OG0002169	Np005G2611500	AL7G11050
OG0002169	Np006G3705600	AL4G10660
OG0002170	Np006G3692800	AL4G11490
OG0002170	Np006G3702400	AL4G11110
OG0002171	Np003G1783300	AL6G44160
OG0002172	Np001G0155300	AL6G40350
OG0002172	Np007G4196100	AL3G15240
OG0002174	Np006G3237400	AL825U10020, AL4G44930
OG0002174	Np004G2594600	AL1G10510
OG0002175	Np005G2796300	AL7G26710, AL6G35060
OG0002176	Np001G0145000	AL6G38920
OG0002177	Np007G4162700	AL3G18100
OG0002177	Np001G0167900	AL8G22390
OG0002178	Np001G0172600	AL8G21740
OG0002178	Np007G4158900	AL3G18420
OG0002179	Np007G4143800	AL3G19640
OG0002179	Np007G4143900	AL3G19620
OG0002180	Np007G4093200	AL3G23760
OG0002180	Np003G1324600	AL6G16880
OG0002181	Np004G1997500	AL1G54830
OG0002181	Np007G3926100	AL3G30520
OG0002182	Np007G3938800	AL3G31330
OG0002182	Np004G1991900	AL1G55300
OG0002183	Np007G3943300	AL1G56000
OG0002184	Np007G3960700	AL3G32720
OG0002184	Np004G1977400	AL1G57200
OG0002185	Np001G0193500	AL5G18710
OG0002185	Np005G3159600	AL7G50540
OG0002186	Np007G3833200	AL3G36840, AL3G32630
OG0002186	Np005G3040600	AL7G41020, AL1G56850
OG0002187	Np005G3106800	nbis-gene-1894
OG0002187	Np002G0997900	AL2G19730
OG0002188	Np002G1062500	AL1G65290
OG0002189	Np006G3399000	AL4G31970
OG0002190	Np006G3320900	AL4G37890
OG0002190	Np001G0536600	nbis-gene-1351
OG0002191	Np004G2543400	AL1G15470
OG0002191	Np006G3557300	AL4G27210
OG0002192	Np004G2485100	AL1G21080, AL4G15180
OG0002193	Np002G1145500	AL2G17280
OG0002193	Np004G2484300	AL1G21160
OG0002194	Np002G1151400	AL2G16810
OG0002194	Np004G2483000	AL1G21260
OG0002195	Np002G1170800	AL2G15560
OG0002195	Np004G2476800	AL1G21910
OG0002196	Np002G1209600	AL2G12950
OG0002196	Np004G2455800	AL1G23640
OG0002197	Np004G2413800	AL1G27100
OG0002197	Np001G0279600	AL5G10210, AL5G10330
OG0002198	Np004G2311200	AL1G36560
OG0002199	Np003G1727300, Np002G0841700	AL2G30590
OG0002199	Np004G2310800	AL1G36600
OG0002200	Np002G0839800	AL2G30720, nbis-gene-593, nbis-gene-594
OG0002202	Np002G1244600	AL2G10250
OG0002203	Np005G2750300	AL7G22890
OG0002205	Np002G0970500	AL2G23720
OG0002206	Np004G2364200	AL1G31840
OG0002207	Np005G2614800	AL7G11360
OG0002208	Np005G2693700	AL7G13340
OG0002208	Np006G3677700	AL4G12970
OG0002209	Np002G0954400, Np001G0401400, Np005G2646000, Np005G2647700	AL7G16970, AL7G17490
OG0002210	Np005G2645500	AL7G17010
OG0002211	Np005G3069400	AL7G42720
OG0002211	Np007G3856300	AL3G38840
OG0002212	Np004G2100600	AL1G40760
OG0002213	Np005G2787100	AL7G25990
OG0002216	Np005G2703900	AL7G19460
OG0002221	Np006G3407800	AL941U10010, AL4G31280
OG0002223	Np003G1448000	AL6G28540
OG0002223	Np007G4222300	AL3G12980, AL288U10020
OG0002224	Np003G1741400	AL8G24020
OG0002225	Np003G1415500	AL6G25380
OG0002225	Np007G4248600	AL3G10610
OG0002226	Np003G1406900	AL6G24450
OG0002227	Np004G2509300	AL1G18830
OG0002228	Np006G3598400	nbis-gene-1031
OG0002228	Np004G2515900	AL1G18080
OG0002229	Np006G3559000	AL4G27310
OG0002229	Np004G2543700	AL1G15440
OG0002230	Np004G2559600	AL1G13940
OG0002230	Np001G0412400	AL349U10010
OG0002231	Np004G2560700	AL1G13820
OG0002232	Np001G0400300	AL8G15720
OG0002232	Np004G2566400	AL1G13320
OG0002234	Np005G2811600	AL7G28000
OG0002235	Np005G2810900	AL7G27930
OG0002235	Np004G2140400	AL1G44600
OG0002236	Np003G1664700	AL8G26580
OG0002237	Np004G2119700	AL1G42870, AL4G30030
OG0002239	Np003G1841700	nbis-gene-1081
OG0002240	Np004G2159200	AL1G49630
OG0002241	Np004G2051700	AL1G46580
OG0002241	Np006G3406500	AL4G31440
OG0002242	Np001G0016800	AL8G44290
OG0002242	Np001G0516900	AL5G30440
OG0002243	Np003G1332600	AL6G17570
OG0002243	Np001G0086900	AL8G38570
OG0002244	Np001G0099200	AL269U10020, AL3G41370, AL3G41380, AL3G41390, AL215U10060, AL269U10010, AL3G41400, AL8G37440, AL269U10050, AL269U10030, AL269U10040
OG0002246	Np001G0431000	AL6G32110
OG0002247	Np001G0431400	AL5G21230
OG0002248	Np005G3080600	AL9U11100, AL9U11080
OG0002248	Np005G3079600	AL9U11190
OG0002249	Np003G1526300	AL8G36260
OG0002249	Np001G0458300	AL5G24910
OG0002250	Np003G1541600	nbis-gene-2169
OG0002250	Np007G4246900	AL3G10800
OG0002251	Np003G1557700	AL8G33610
OG0002251	Np005G2801900	AL7G27240
OG0002252	Np005G2795100	AL7G26690
OG0002252	Np003G1573400	AL8G32460
OG0002253	Np003G1612400	AL8G30240
OG0002253	Np005G2785000	AL7G25730
OG0002254	Np004G2573500	AL1G12520
OG0002254	Np003G1862600	AL6G50380
OG0002255	Np007G3770500	AL3G49330
OG0002255	Np005G2863500	AL7G31960
OG0002256	Np007G4105400	AL3G22830
OG0002256	Np003G1309800	AL6G15720
OG0002257	Np007G4110300	AL3G22520
OG0002257	Np003G1303700	AL6G15220
OG0002258	Np006G3354100	AL4G35730
OG0002258	Np003G1280000	AL6G13070
OG0002259	Np003G1271200	AL6G12190
OG0002260	Np006G3358200	AL4G35230
OG0002261	Np005G3184000	AL7G48710
OG0002261	Np001G0212700	AL5G16340
OG0002263	Np004G2407900	AL1G27620
OG0002264	Np004G2404200	AL1G28030
OG0002265	Np004G2326300	AL1G35620
OG0002266	Np002G0745000	AL2G37970
OG0002266	Np004G2328600	AL1G35380, AL1G35190
OG0002267	Np002G0756400	AL2G37070
OG0002267	Np004G2341600	AL1G34410
OG0002268	Np002G0768400, Np004G2350500	AL1G33390
OG0002269	Np002G0779500	AL2G35430
OG0002269	Np004G2357600	AL1G32470
OG0002270	Np004G2358600	AL1G32380
OG0002270	Np002G0780700	AL2G35310
OG0002271	Np001G0653400	AL5G42240
OG0002271	Np004G1908200	AL1G63710
OG0002272	Np007G4076100	AL3G25300
OG0002272	Np004G1909700	AL1G63550
OG0002273	Np007G4074500	AL3G25420
OG0002273	Np004G1911900	AL1G63410
OG0002274	Np007G3845000	AL3G37960
OG0002274	Np005G3055800	AL7G41880
OG0002275	Np005G3053400	AL7G41700
OG0002275	Np005G3053500, Np004G2287600	AL7G41710
OG0002276	Np002G0811400	AL2G33180
OG0002276	Np004G2380300	AL1G30290
OG0002277	Np002G0875600	AL2G28180
OG0002278	Np007G3718500	AL7G24170
OG0002279	Np005G2759600	AL7G23750
OG0002279	Np007G3722800	AL3G47830
OG0002280	Np005G3176900	AL7G49370
OG0002280	Np001G0205700	AL5G17050
OG0002281	Np001G0209300	AL5G16650
OG0002281	Np005G3182000	AL7G49020
OG0002282	Np004G2436200	AL1G25220
OG0002282	Np001G0230700	AL5G14700
OG0002283	Np007G3968600	AL3G33000
OG0002283	Np004G1972400	AL1G57430
OG0002284	Np004G1946500	AL1G60440
OG0002285	Np006G3425300	AL4G30300
OG0002285	Np006G3425100	AL4G30310
OG0002286	Np006G3580000, Np006G3403400	AL4G19090
OG0002287	Np005G2992800	AL7G38160
OG0002287	Np006G3400900	AL4G31800
OG0002288	Np001G0344800	AL8G11670
OG0002288	Np005G2930000, Np005G2929800	AL7G36590
OG0002289	Np005G2955300	AL7G37360
OG0002290	Np001G0124700, Np007G4115400	AL3G22040, AL6G43000
OG0002291	Np001G0520800	AL5G30730
OG0002291	Np004G2026600	AL1G52230
OG0002292	Np001G0513500	AL5G30260
OG0002292	Np001G0513400	AL5G30250
OG0002293	Np005G2838100	AL7G30120
OG0002293	Np003G1845000	AL8G25580
OG0002294	Np001G0392700	AL8G14880
OG0002294	Np005G2886000	AL7G33660
OG0002295	Np003G1763200	AL6G41440
OG0002295	Np004G2418300	AL1G26650
OG0002296	Np006G3401200	AL4G31770
OG0002296	Np005G2982700	AL7G37930
OG0002297	Np006G3203900	AL4G47730
OG0002298	Np006G3236400	AL4G45020
OG0002298	Np001G0670300	AL5G43510
OG0002299	Np001G0617500	AL5G38690
OG0002299	Np006G3301400	AL4G39530
OG0002300	Np006G3310800	AL4G38680
OG0002301	Np006G3321500	AL4G37850
OG0002301	Np001G0599400	AL5G37260
OG0002302	Np006G3337100	AL4G36870
OG0002302	Np001G0588900	AL5G36440
OG0002303	Np001G0585300	AL5G36140
OG0002303	Np006G3340300	AL5G26020, AL4G36590
OG0002304	Np004G2277000	AL3G41580, AL3G41420
OG0002305	Np002G0902500	AL2G26920
OG0002306	Np003G1830000	AL6G47740
OG0002307	Np006G3700100	AL4G10790
OG0002307	Np005G2612800	AL7G11180
OG0002308	Np005G2622500	AL7G12250
OG0002308	Np006G3690300	AL4G11860
OG0002309	Np004G2048300	AL1G50870
OG0002310	Np003G1784900, Np003G1784800	nbis-gene-543, AL6G44530
OG0002310	Np003G1785700	AL6G44540
OG0002311	Np003G1401900, Np003G1401400	AL7G33110, AL7G21380
OG0002312	Np005G2945300	AL7G37060, AL8G10840
OG0002313	Np001G0165500	AL8G22900
OG0002314	Np001G0186300	AL5G20160
OG0002315	Np007G3928500	AL3G30750
OG0002315	Np004G1996200	AL1G54970
OG0002316	Np004G1994900	AL1G55060
OG0002316	Np007G3930500	AL3G30930
OG0002317	Np007G3932200	AL3G31010
OG0002318	Np007G3941600	AL3G31550
OG0002318	Np004G1990100	AL1G55500
OG0002320	Np004G2594400, Np004G2594300	AL1G10550
OG0002321	Np004G2593800	AL1G10600
OG0002321	Np003G1891100	AL6G52760
OG0002322	Np003G1893000	AL6G53000
OG0002323	Np003G1875000	AL6G51480
OG0002323	Np004G2578800	AL1G11860, AL1G11870
OG0002324	Np004G2520600, Np004G2520400	AL1G17620, AL1G17650
OG0002325	Np004G2503600	AL1G19310
OG0002326	Np004G2485000	AL1G21090
OG0002326	Np002G1146800	AL2G17170
OG0002327	Np001G0258900	AL5G11460
OG0002327	Np004G2421300	AL1G26500
OG0002328	Np004G2400600	AL1G28340
OG0002328	Np002G0717300	AL2G40320
OG0002329	Np004G2399800	AL1G28430
OG0002329	Np002G0720800	AL2G40140
OG0002330	Np004G2385800	AL1G29760
OG0002332	Np004G2369000	AL1G31310
OG0002333	Np002G0828200	AL2G31830
OG0002333	Np004G2320800	AL1G36060
OG0002334	Np004G2294900	AL1G37620
OG0002334	Np002G0855500	AL2G29590
OG0002335	Np004G2284400	AL3G41520, AL1G38260
OG0002335	Np002G0860300	AL2G29230
OG0002336	Np002G1197200	AL2G13650
OG0002337	Np002G1151600, Np002G1151700, Np002G1151900, Np005G2739800, Np005G2843700	AL2G16790
OG0002338	Np003G1745200	AL4G28250
OG0002339	Np007G3762000	AL3G50060, AL3G50050
OG0002340	Np007G3772300	AL3G52690
OG0002340	Np005G2653200	AL7G16490
OG0002341	Np005G2637800	nbis-gene-1722
OG0002342	Np007G3781700	AL3G47260
OG0002342	Np005G2642700	AL7G17340
OG0002343	Np005G2716300	AL7G20450
OG0002343	Np006G3654800	AL4G15300
OG0002344	Np005G2716400	AL7G20460
OG0002344	Np006G3655300	AL4G15170
OG0002345	Np006G3659800	AL4G14640
OG0002346	Np003G1595300	AL8G31100
OG0002346	Np005G2789600	AL7G26230
OG0002352	Np005G2733000	AL7G21730
OG0002353	Np003G1447200	AL6G28460
OG0002353	Np007G4223500	AL3G12910
OG0002354	Np003G1442700	AL6G28080
OG0002354	Np007G4225400	AL3G12730
OG0002355	Np003G1442400, Np005G3021400, Np003G1442500	AL3G44980, AL6G28060
OG0002356	Np003G1437900	AL6G27660
OG0002356	Np007G4228900	AL3G12350
OG0002357	Np003G1429500	AL6G26820
OG0002357	Np003G1285700	AL6G13700, AL4G42800
OG0002358	Np007G4238000	AL3G11410
OG0002358	Np003G1425200	AL6G26430
OG0002359	Np003G1422700	AL6G26200
OG0002359	Np007G4243200	AL3G11130
OG0002360	Np003G1397600	AL6G23690
OG0002360	Np004G2102000	AL1G40650
OG0002361	Np001G0124300	AL6G36760
OG0002361	Np003G1373100	AL6G21490
OG0002362	Np001G0038800	AL8G42320
OG0002362	Np003G1362100	AL6G20350
OG0002363	Np003G1350900	AL6G19320
OG0002363	Np001G0056200	AL8G40790
OG0002364	Np003G1348900	AL6G18970, AL6G19170
OG0002365	Np003G1340900, Np003G1341200	AL6G18320, AL6G18280
OG0002366	Np003G1859600	AL6G50080
OG0002367	Np006G3604700	AL4G23780
OG0002367	Np006G3604800	AL295U10010, AL4G23790, AL4G23820
OG0002368	Np004G2549400	AL1G14920
OG0002368	Np006G3568100	AL4G27830
OG0002369	Np001G0409800	AL8G16620
OG0002369	Np004G2560500	AL1G13840
OG0002370	Np001G0406300	AL8G16230
OG0002370	Np004G2561300	AL1G13760
OG0002371	Np001G0401300, Np005G2958200	AL8G15810
OG0002372	Np005G2803200, Np005G2803400	AL7G27400, AL7G27420
OG0002373	Np004G2000000, Np004G2000200	AL7G51730, AL2G17050, AL2G17000, AL2G17060
OG0002375	Np001G0244700	AL5G13380
OG0002376	Np005G3167700, Np005G3167600	AL299U10020, AL8G37720
OG0002377	Np001G0436000	AL5G21710
OG0002377	Np003G1495100	AL6G32650
OG0002378	Np001G0439300	AL5G22410
OG0002378	Np003G1503000	AL6G33280
OG0002379	Np001G0466200	AL5G25840
OG0002379	Np003G1534900	AL8G35540
OG0002380	Np003G1564700	AL8G33000
