Orthogroup	Arabidopsis_arenosa	Capsella_rubella
OG0001152	jg19679, jg16002	XP_006292105.2, XP_006295372.1
OG0001153	jg15602	XP_006292679.1
OG0001153	jg19316	XP_006293844.1
OG0001154	jg27685	XP_006298620.1
OG0001154	jg8392	XP_006284572.1
OG0001155	jg26084	XP_023640325.1
OG0001156	jg24380	XP_006298797.1
OG0001156	jg6739	XP_006286591.2
OG0001157	jg20082	XP_006293869.1
OG0001157	jg20081	XP_006293871.1
OG0001158	jg14434, jg14456	XP_006292716.1
OG0001159	jg1526	XP_006301874.2
OG0001159	jg20364	XP_006281663.1
OG0001159	jg20363	XP_006281526.1, XP_006281589.1
OG0001160	jg5660	XP_006287189.1
OG0001160	jg24256	XP_006297091.1
OG0001161	jg29807	XP_006305287.1
OG0001162	jg29666	XP_023645485.1
OG0001162	jg646	XP_006300839.1
OG0001163	jg29896	XP_006307338.1
OG0001163	jg29897	XP_006307363.1
OG0001164	jg3434	XP_023643591.1
OG0001164	jg30743	XP_006307595.1
OG0001166	jg25950	XP_006299714.1
OG0001166	jg32955	XP_006304814.1
OG0001167	jg11652	XP_023634827.1
OG0001167	jg11654	XP_006286071.1
OG0001167	jg11656	XP_006282782.1
OG0001168	jg8886	XP_006283828.1
OG0001168	jg8885	XP_006285747.1
OG0001169	jg9040	XP_006285500.1
OG0001169	jg27410	XP_006297239.1
OG0001170	jg7471	XP_006288353.1
OG0001171	jg12352	XP_006295963.1
OG0001171	jg21140	XP_006279734.1
OG0001171	jg12350	XP_023635413.1
OG0001171	jg9406	XP_006296148.1, XP_006285848.1
OG0001174	jg7592	XP_006287663.1
OG0001174	jg10234	XP_006286135.1
OG0001175	jg5403	XP_006288512.1
OG0001175	jg24046	XP_006298399.1
OG0001176	jg24030	XP_006297456.1
OG0001176	jg5397	XP_023636384.1
OG0001177	jg5058	XP_006289327.1
OG0001177	jg5795	XP_006289743.1
OG0001178	jg4818	XP_006288924.1
OG0001178	jg23492	XP_006281334.1
OG0001179	jg23460	XP_023637368.1
OG0001180	jg18241	XP_006293974.1, XP_006289200.2
OG0001180	jg18240	XP_006296207.2
OG0001181	jg27422	XP_006299253.2
OG0001182	jg20965	XP_006281232.1
OG0001182	jg3202	XP_006302934.1
OG0001183	jg31462, jg31461	XP_023644761.1
OG0001184	jg18686	XP_006294716.2
OG0001184	jg31821	XP_006305269.1
OG0001185	jg23601	XP_006280412.1
OG0001185	jg14826	XP_006293030.1
OG0001186	jg6213	XP_006288378.1
OG0001186	jg14699	XP_006291603.1
OG0001187	jg2186, jg26373, jg32987, jg25803	XP_023635372.1
OG0001187	jg5772, jg5778, jg5777, jg5773	XP_023637687.1
OG0001188	jg17127	XP_006293526.1
OG0001188	jg23985	XP_006300013.1
OG0001189	jg5820	XP_006287335.1
OG0001189	jg2253	XP_006301879.1
OG0001190	jg9690	XP_006283844.1
OG0001190	jg22190	XP_006280563.1
OG0001191	jg22198, jg22200	XP_006280681.1
OG0001192	jg3275	XP_006302110.1
OG0001192	jg17606, jg30737	XP_023645849.1
OG0001193	jg33802	XP_006307187.2
OG0001193	jg25240	XP_006297501.1
OG0001194	jg3123	XP_006302076.1
OG0001194	jg30415	XP_006307129.1
OG0001195	jg13525, jg13526	XP_006291684.1, XP_006291597.1
OG0001195	jg27026, jg27028	XP_006296728.1
OG0001196	jg13411	XP_023638407.1
OG0001197	jg25265	XP_023641970.1
OG0001197	jg25266	XP_006297473.1
OG0001198	jg2839	XP_006302205.1, XP_023643889.1
OG0001199	jg10825	XP_006285152.1
OG0001199	jg20383	XP_006281043.1
OG0001200	jg10874	XP_023635006.1
OG0001200	jg10873	XP_006285186.1
OG0001201	jg10311	XP_006284645.1
OG0001201	jg24007	XP_006296630.2
OG0001202	jg10940	XP_006285541.1
OG0001202	jg10938	XP_006284156.1, XP_006286180.1
OG0001203	jg15001	XP_006293081.1
OG0001203	jg23765	XP_006282371.1
OG0001204	jg16178	XP_006291850.1
OG0001204	jg19979	XP_006295053.1
OG0001205	jg19763	XP_006293880.1
OG0001205	jg16050	XP_006290798.1
OG0001206	jg15958	XP_006290908.1
OG0001207	jg15832	XP_006291482.1
OG0001207	jg19542	XP_006294608.1
OG0001208	jg19495	XP_006294671.1
OG0001208	jg15824	XP_006291542.1
OG0001209	jg15812	XP_006292009.1
OG0001209	jg19519	XP_006295204.1
OG0001210	jg18869	XP_006293523.1
OG0001210	jg15277	XP_006292903.1
OG0001211	jg28168	XP_023641161.1
OG0001213	jg24450, jg24448	XP_023642338.1
OG0001214	jg24624	XP_006298735.1
OG0001214	jg21551	XP_006281220.1
OG0001215	jg24859	XP_006297259.1
OG0001215	jg12919, jg3551	XP_006302065.1
OG0001216	jg26016	XP_006298561.1
OG0001218	jg7369	XP_006288972.1
OG0001219	jg4729	XP_006290155.1
OG0001220	jg15331	XP_006290941.1
OG0001220	jg9281	XP_006283471.1
OG0001221	jg20290	XP_023634974.1
OG0001221	jg20291	XP_023635305.1
OG0001222	jg27924	XP_006299674.1
OG0001222	jg8730	XP_006284661.1
OG0001223	jg31088	XP_023633067.1
OG0001225	jg10282	XP_006285231.1
OG0001225	jg10281	XP_006285984.2, XP_006284790.1
OG0001225	jg10280	XP_006282510.1
OG0001231	jg24142	XP_006296882.1
OG0001231	jg5531	XP_006286949.1
OG0001232	jg5313	XP_006290223.1
OG0001232	jg3231	XP_006300573.1
OG0001233	jg16728	XP_006296458.1
OG0001233	jg717	XP_006301677.1
OG0001233	jg9747	XP_006285104.1
OG0001234	jg6380	XP_006287242.1
OG0001234	jg4915	XP_023636702.1
OG0001235	jg4714	XP_006287542.1
OG0001235	jg23344	XP_006280327.1
OG0001236	jg24716	XP_006298847.1
OG0001236	jg7869	XP_006288913.1
OG0001237	jg17926	XP_023639929.1
OG0001237	jg4366	XP_006290197.1, XP_006288477.1
OG0001238	jg1754	XP_006302158.1, XP_023643987.1
OG0001238	jg1760, jg1756	XP_006302157.1
OG0001239	jg27122	XP_006279145.2, XP_023641383.1, XP_006299258.1
OG0001239	jg26836	XP_006296520.2
OG0001240	jg28802	XP_023645130.1
OG0001240	jg18345	XP_023639642.1
OG0001241	jg28803	XP_006306675.1
OG0001241	jg1216	XP_006301254.1
OG0001241	jg18349	XP_006293603.2
OG0001242	jg31408	XP_023646030.1
OG0001243	jg6725	XP_023636558.1
OG0001243	jg6722, jg6724	XP_023636377.1
OG0001244	jg23623	XP_023635129.1
OG0001244	jg14846	XP_006292824.1
OG0001244	jg14847	XP_006291909.1
OG0001245	jg23352	XP_006282353.1
OG0001245	jg23353	XP_006280264.2
OG0001245	jg23350	XP_006281776.1
OG0001246	jg2271	XP_006302876.2
OG0001246	jg31267	XP_023644968.1
OG0001247	jg23126	XP_006282301.1
OG0001247	jg4575, jg4444	XP_006286992.1
OG0001248	jg6008	XP_006287824.1
OG0001248	jg14112	XP_006292339.1
OG0001249	jg4534	XP_006289352.2
OG0001250	jg1400	XP_023643321.1
OG0001251	jg22189	XP_006281475.1
OG0001252	jg7969	XP_006286693.1
OG0001252	jg28603	XP_006303888.2
OG0001253	jg7854	XP_023636386.1
OG0001254	jg24897	XP_006297659.1
OG0001254	jg4038	XP_006287710.1
OG0001255	jg4017	XP_006288343.1
OG0001255	jg24887	XP_023641438.1
OG0001256	jg3569	XP_006302220.1
OG0001256	jg30192, jg30204	XP_006307407.1
OG0001257	jg3343	XP_006300652.1
OG0001257	jg3335	XP_006300667.2
OG0001257	jg30658	XP_006306668.2
OG0001258	jg3184	XP_023643892.1, XP_023644037.1, XP_023643859.1
OG0001258	jg3183	XP_006301452.2
OG0001258	jg3182	XP_006300537.2
OG0001259	jg3174	XP_006302187.1
OG0001259	jg30473	XP_006304733.1
OG0001260	jg27866	XP_006297928.2
OG0001260	jg8802	XP_006284044.1
OG0001261	jg8761	XP_023634197.1
OG0001261	jg27903	XP_006297376.1
OG0001262	jg33718	XP_006306349.1
OG0001262	jg25318	XP_006299300.1
OG0001263	jg15203	XP_006291925.1
OG0001263	jg18765	XP_006295118.1
OG0001264	jg11657	XP_006285603.1
OG0001265	jg26493	XP_006298575.1
OG0001265	jg11263	XP_006282717.1
OG0001266	jg30410	XP_023632825.1
OG0001266	jg3115	XP_006303044.1
OG0001267	jg9458	XP_006283709.1
OG0001267	jg9459	XP_006283725.1
OG0001268	jg2473	XP_006301669.1
OG0001268	jg2472	XP_006301082.1
OG0001269	jg20578	XP_023635558.1
OG0001269	jg20581	XP_023637102.1
OG0001270	jg33175	XP_006305447.1
OG0001270	jg26147	XP_023642398.1
OG0001271	jg33177	XP_006303590.2
OG0001272	jg33178	XP_006306192.1
OG0001272	jg26149	XP_023641677.1
OG0001273	jg7488	XP_006288443.1
OG0001273	jg10132	XP_023634587.1
OG0001275	jg12798	XP_006284975.1
OG0001275	jg411	XP_006301484.2
OG0001276	jg10354	XP_006283446.1
OG0001276	jg7725	XP_023636619.1
OG0001277	jg7745	XP_023636874.1
OG0001277	jg10383	XP_006285476.1
OG0001278	jg19988	XP_023640459.1
OG0001278	jg16192	XP_006290645.1
OG0001279	jg16043	XP_006291137.1
OG0001279	jg19757	XP_006294223.1
OG0001280	jg19568	XP_006293841.1
OG0001280	jg15878	XP_006292641.1
OG0001281	jg15850	XP_006290426.1
OG0001281	jg27054, jg27053, jg27051, jg27052	XP_006299293.1, XP_006300210.2, XP_006299888.1, XP_023642620.1, XP_006300054.1
OG0001282	jg15809	XP_006290821.1
OG0001282	jg19524	XP_023639545.1
OG0001283	jg24767	XP_006297293.1
OG0001283	jg15557	XP_006290813.1
OG0001284	jg15507	XP_006290649.1
OG0001284	jg19207	XP_006293364.2
OG0001285	jg22032	XP_023635116.1
OG0001285	jg9666	XP_006283941.1
OG0001286	jg18849	XP_006293761.1
OG0001286	jg15258	XP_006290660.1
OG0001287	jg27953	XP_006299063.2
OG0001287	jg8711, jg8710	XP_006283620.1, XP_006286288.1
OG0001288	jg16946	XP_006294291.1
OG0001288	jg9258	XP_006286014.1
OG0001289	jg19812	XP_006294088.1
OG0001289	jg19811, jg19810	XP_023642488.1
OG0001290	jg24702	XP_006298680.1
OG0001291	jg25517	XP_006299659.1
OG0001291	jg25619	XP_006299342.1
OG0001292	jg25735	XP_006298502.2
OG0001292	jg25736	XP_023643867.1, XP_006298733.1
OG0001293	jg28687	XP_023645692.1
OG0001294	jg29931	XP_023646073.1
OG0001295	jg30277	XP_006304061.1
OG0001295	jg2909	XP_006302536.2
OG0001296	jg12315	XP_006292428.1
OG0001297	jg13688, jg13692	XP_006291941.1
OG0001298	jg31215	XP_023646004.1
OG0001298	jg2351	XP_006300894.1
OG0001299	jg18551	XP_006295624.1
OG0001299	jg17865	XP_006295542.1
OG0001299	jg18550	XP_006295462.1
OG0001303	jg14397	XP_006292351.1
OG0001305	jg29977	XP_006306843.1
OG0001305	jg12960	XP_006292297.1
OG0001306	jg24005	XP_023642185.1
OG0001306	jg5372	XP_023636865.1
OG0001307	jg23972	XP_023642084.1
OG0001307	jg5329	XP_023637662.1
OG0001308	jg4947	XP_006287808.1, XP_006289730.1
OG0001309	jg4667	XP_006287855.1
OG0001309	jg6158	XP_006287875.1
OG0001310	jg29150	XP_006305673.1
OG0001310	jg17815	XP_006294934.1
OG0001311	jg28936	XP_023644998.1
OG0001311	jg18219	XP_006295428.1
OG0001312	jg18517	XP_006295225.1
OG0001312	jg31442	XP_006303421.1
OG0001313	jg14212	XP_023638891.1, XP_023638345.1
OG0001314	jg29913	XP_006306966.1
OG0001314	jg13077	XP_006290810.1
OG0001315	jg29852	XP_006303839.1
OG0001315	jg13151	XP_023638647.1
OG0001316	jg23131	XP_006280543.1
OG0001316	jg31272	XP_006307562.1
OG0001317	jg6215	XP_006289641.1
OG0001317	jg14704	XP_006291566.1
OG0001318	jg22973	XP_006280094.1
OG0001318	jg22975	XP_006280116.2
OG0001319	jg22915	XP_023633463.1
OG0001320	jg22565	XP_023635113.1, XP_006280483.2
OG0001321	jg22402	XP_023636051.1
OG0001321	jg9787	XP_006282447.1
OG0001322	jg16890	XP_006294712.1
OG0001323	jg4427	XP_006288845.1
OG0001323	jg25133	XP_006296752.1
OG0001324	jg4384	XP_006289833.2
OG0001324	jg25109	XP_006299389.1
OG0001325	jg4381	XP_006289845.1
OG0001325	jg25107	XP_006299322.1
OG0001326	jg4235	XP_006287286.1
OG0001326	jg25006	XP_023642013.1
OG0001327	jg12791	XP_006285359.1
OG0001328	jg2281, jg3527	XP_006300770.1
OG0001328	jg3583	XP_006301366.1
OG0001329	jg30724	XP_006304134.2
OG0001330	jg30702	XP_006307172.1
OG0001330	jg3390	XP_006301025.1
OG0001331	jg33741	XP_006307505.1
OG0001331	jg25311	XP_006297676.1
OG0001332	jg33653	XP_006305079.1
OG0001332	jg25403	XP_006299874.1
OG0001333	jg21012, jg13496	XP_023639044.1, XP_023638794.1
OG0001334	jg11359	XP_006283605.1
OG0001334	jg11360	XP_006283660.1
OG0001335	jg26529	XP_006298722.1
OG0001335	jg11297	XP_006285099.1
OG0001336	jg11295, jg11294	XP_006284628.1
OG0001336	jg26526	XP_023642766.1
OG0001337	jg11261	XP_023634244.1
OG0001337	jg26491	XP_006298685.1
OG0001338	jg2955	XP_006302202.1
OG0001338	jg30304	XP_006307384.1
OG0001339	jg29788	XP_006305243.1
OG0001339	jg13235	XP_023638297.1
OG0001340	jg20497	XP_023640247.1
OG0001340	jg10721	XP_023633849.1
OG0001341	jg20536	XP_006280075.1
OG0001342	jg20557	XP_006280421.1
OG0001342	jg10653	XP_006283694.1
OG0001343	jg20595	XP_006280231.1
OG0001344	jg33288	XP_006307613.1
OG0001344	jg18717	XP_023640683.1
OG0001345	jg33449	XP_006306783.2
OG0001345	jg25618	XP_006297003.1
OG0001346	jg33483	XP_006305156.2
OG0001346	jg25596	XP_006297968.1
OG0001347	jg10699	XP_006283578.1
OG0001347	jg8809	XP_023641953.1
OG0001348	jg14969	XP_006291804.1
OG0001348	jg23750	XP_023640090.1
OG0001349	jg7479	XP_006288279.1
OG0001349	jg10115	XP_006284039.1
OG0001350	jg10250	XP_006284090.1
OG0001350	jg7609	XP_006288038.1
OG0001351	jg10490	XP_023634937.1
OG0001351	jg10491	XP_006283416.1
OG0001352	jg28086	XP_006296662.1, XP_006299825.1
OG0001353	jg16331	XP_006291967.1
OG0001353	jg20161	XP_006293393.1
OG0001355	jg25041	XP_006295290.2, XP_006298880.1
OG0001356	jg16068	XP_023638438.1
OG0001357	jg19583	XP_006295196.1
OG0001357	jg15895	XP_006292016.1
OG0001358	jg15688	XP_023638231.1
OG0001358	jg19397	XP_006295648.1
OG0001359	jg15639	XP_023639214.1
OG0001360	jg15600	XP_006290875.1
OG0001360	jg12424	XP_006283556.1
OG0001362	jg21429	XP_006279695.1
OG0001362	jg24672	XP_006298644.1
OG0001363	jg29526, jg29071	XP_023646069.1
OG0001364	jg3499	XP_006301100.2
OG0001364	jg30793	XP_006304125.1
OG0001365	jg31935	XP_023633080.1
OG0001365	jg7406	XP_023636304.1, XP_006286720.1
OG0001366	jg6641	XP_006289311.1
OG0001367	jg28283	XP_006299558.2
OG0001368	jg5206	XP_023643335.1, XP_023640560.1
OG0001368	jg15910	XP_023638509.1
OG0001368	jg20086	XP_006294353.1
OG0001369	jg19711	XP_023640207.1
OG0001369	jg19710	XP_006296255.1
OG0001370	jg3625	XP_006301545.1
OG0001370	jg1176	XP_006301603.2
OG0001371	jg24271	XP_006297596.1
OG0001371	jg5672	XP_006290233.2
OG0001372	jg6780	XP_006288726.1
OG0001372	jg24328	XP_006298582.1
OG0001373	jg6511	XP_006289101.2
OG0001373	jg25014	XP_006299590.1
OG0001374	jg12457	XP_006285765.1
OG0001375	jg25500	XP_006290552.2, XP_023641451.1
OG0001376	jg25545	XP_006298478.1
OG0001376	jg33521	XP_006305665.1
OG0001377	jg32925	XP_023645618.1
OG0001378	jg5109	XP_006288291.1
OG0001378	jg26249	XP_006298010.2
OG0001379	jg33279	XP_023644680.1
OG0001379	jg18228	XP_006295816.1
OG0001380	jg5678, jg5677, jg5679, jg5675	XP_006289884.1
OG0001381	jg887	XP_006300518.1
OG0001381	jg29504	XP_006305166.1
OG0001382	jg29926	XP_023632877.1
OG0001382	jg29929	XP_006304892.1
OG0001383	jg30747	XP_023632670.1
OG0001383	jg30749, jg30748	XP_006303563.1, XP_006306432.1
OG0001384	jg2673	XP_023643683.1
OG0001384	jg30903	XP_006307377.1
OG0001385	jg8640	XP_006285239.1
OG0001385	jg8639	XP_006285859.2
OG0001386	jg31988, jg31982	XP_006304333.1, XP_006305802.1, XP_006304616.1, XP_006305804.1, XP_006304338.1
OG0001387	jg8977	XP_006285322.1
OG0001387	jg27524	XP_006299560.1, XP_006298370.1
OG0001389	jg25693, jg25691	XP_006297484.2, XP_006297485.1
OG0001390	jg26543, jg26539, jg26554	XP_006299852.1
OG0001391	jg18288	XP_023640389.1, XP_006296436.2
OG0001391	jg18372	XP_006295811.2
OG0001392	jg5762	XP_006289574.1
OG0001393	jg20873	XP_023644498.1
OG0001396	jg9727	XP_006284522.2
OG0001396	jg22254	XP_006281120.1
OG0001397	jg9722	XP_023634521.1
OG0001397	jg22246	XP_006281006.1
OG0001398	jg8040	XP_006287033.2
OG0001398	jg12651	XP_006283152.1
OG0001399	jg24228	XP_006297040.1
OG0001399	jg5628, jg32476	XP_006286451.1
OG0001400	jg12560	XP_006282728.1
OG0001400	jg5346	XP_006288701.1
OG0001401	jg5077	XP_006286948.1
OG0001401	jg5801	XP_006286943.1
OG0001402	jg4936	XP_006287910.1
OG0001402	jg6394	XP_006287805.1
OG0001403	jg4806	XP_006286951.1
OG0001403	jg23481	XP_006279743.1
OG0001404	jg4675	XP_006288079.1
OG0001404	jg6171	XP_006288023.2
OG0001405	jg17845	XP_006294419.2
OG0001405	jg29134	XP_006305197.1
OG0001407	jg18039	XP_006294683.1
OG0001407	jg23963	XP_006298213.1
OG0001408	jg18135	XP_006294352.2
OG0001408	jg18133	XP_023640189.1
OG0001409	jg18147	XP_006293369.1
OG0001409	jg28993	XP_006304954.1
OG0001410	jg28856	XP_006304256.1
OG0001410	jg18307, jg18308	XP_006295112.1
OG0001411	jg32739	XP_006307278.2
OG0001411	jg20950	XP_006280322.2
OG0001412	jg18530	XP_006294835.1
OG0001412	jg31482	XP_006303318.1
OG0001413	jg31842	XP_006305386.1, XP_006305387.1
OG0001413	jg11449	XP_006285396.1
OG0001414	jg14845	XP_006291568.1
OG0001414	jg23621	XP_006280882.1
OG0001415	jg23602	XP_006281630.1
OG0001416	jg23321	XP_006280903.2
OG0001416	jg14683	XP_006291610.2
OG0001417	jg22832	XP_006281559.1
OG0001418	jg27482	XP_006298709.1
OG0001418	jg27480	XP_006298712.1, XP_023642278.1
OG0001418	jg12055, jg27484	XP_006299028.1
OG0001419	jg9793	XP_006284484.1
OG0001421	jg4256	XP_023637319.1
OG0001422	jg3854	XP_006288787.1
OG0001422	jg24803	XP_006296628.1
OG0001423	jg13489	XP_006291663.1
OG0001423	jg12672	XP_006284302.1
OG0001425	jg8815	XP_006283444.1
OG0001426	jg25309	XP_023642397.1
OG0001426	jg33746	XP_023645707.1
OG0001427	jg33717	XP_006303856.1
OG0001427	jg25319	XP_006299973.1
OG0001428	jg18799	XP_006295128.1
OG0001428	jg15228	XP_006291962.1
OG0001429	jg9657	XP_023634164.1
OG0001429	jg22016, jg22023	XP_006280943.1
OG0001430	jg10055	XP_006283336.1
OG0001430	jg21619	XP_006281810.1
OG0001431	jg17108	XP_023640775.1, XP_023639578.1
OG0001431	jg12209, jg16559	XP_006285936.2
OG0001432	jg31048	XP_006303361.1
OG0001432	jg2568	XP_006302877.1
OG0001433	jg10709	XP_006284518.1
OG0001434	jg20601	XP_006281129.1
OG0001435	jg33185	XP_006303537.1
OG0001436	jg33443	XP_006305213.1
OG0001436	jg25633	XP_006297987.1
OG0001437	jg20362	XP_006281584.2
OG0001437	jg10847	XP_006286032.1
OG0001438	jg10871	XP_006284491.1
OG0001438	jg20314	XP_023633064.1
OG0001439	jg7486, jg7485	XP_006286574.1, XP_006289266.1
OG0001440	jg8820	XP_006283076.1
OG0001440	jg27836	XP_006296934.1
OG0001441	jg7683	XP_006288225.1
OG0001441	jg10309	XP_006284145.1
OG0001442	jg7711	XP_006287678.1
OG0001442	jg10341	XP_023633998.1
OG0001443	jg10474	XP_006292541.1, XP_023633821.1
OG0001444	jg10124	XP_023634664.1
OG0001445	jg1466, jg1467	XP_006300999.1
OG0001445	jg16335	XP_006292276.1
OG0001446	jg4792	XP_006288334.1
OG0001446	jg20370, jg27662	XP_006299339.1
OG0001447	jg16005	XP_023638784.1
OG0001447	jg19686	XP_023639705.1
OG0001448	jg16689	XP_006293793.1
OG0001448	jg8536	XP_006285725.1
OG0001449	jg21495, jg21488, jg21481, jg21446, jg32662, jg21450	XP_006282012.1
OG0001449	jg15947, jg16892	XP_006290302.2
OG0001450	jg19480	XP_006295937.1
OG0001450	jg15765	XP_023638556.1
OG0001451	jg19435	XP_006294271.1
OG0001451	jg15724, jg15657	XP_006291106.2
OG0001452	jg15517	XP_006291993.1
OG0001452	jg19217	XP_006295744.1
OG0001453	jg16647	XP_006295067.1
OG0001453	jg8469	XP_006284584.2
OG0001454	jg18958	XP_006294669.1
OG0001454	jg15338	XP_006292744.1
OG0001455	jg15306	XP_023639299.1
OG0001455	jg18912	XP_006294028.2
OG0001456	jg25765	XP_023642276.1
OG0001457	jg29573, jg29580	XP_023643455.1
OG0001458	jg28108	XP_023642469.1
OG0001459	jg28119	XP_006298861.1
OG0001459	jg9434	XP_006295293.1
OG0001460	jg28141, jg28136, jg28139	XP_006300000.1
OG0001460	jg9456	XP_006283576.2
OG0001461	jg19121	XP_006295593.1
OG0001462	jg19025	XP_023640924.1
OG0001463	jg25152	XP_006300024.2
OG0001464	jg7635	XP_006289973.1, XP_006287511.1, XP_006289075.1, XP_006289361.1
OG0001464	jg7634	XP_006287522.1
OG0001465	jg16546	XP_006294260.2
OG0001465	jg8365	XP_006283861.1
OG0001466	jg16662	XP_006296223.1
OG0001466	jg8497	XP_006283476.1
OG0001467	jg16825	XP_006295962.2
OG0001467	jg16822	XP_006294757.2, XP_006294809.1
OG0001468	jg8655	XP_006283895.2
OG0001468	jg16842	XP_006294451.2
OG0001469	jg16909	XP_006296025.1
OG0001469	jg9294	XP_006282685.1
OG0001470	jg32097	XP_006307171.1
OG0001470	jg32096	XP_006307120.1
OG0001471	jg24503	XP_006296924.1
OG0001471	jg6584	XP_006286818.2
OG0001472	jg24473	XP_006299753.1
OG0001472	jg6608	XP_006290150.1
OG0001473	jg24470	XP_006298162.1
OG0001474	jg28249	XP_006299702.2, XP_006299006.2, XP_023642162.1
OG0001475	jg16040	XP_006292699.1
OG0001475	jg19755	XP_006295189.1
OG0001476	jg20312	XP_006280829.1
OG0001476	jg20311	XP_023641049.1
OG0001477	jg21605	XP_023645806.1
OG0001477	jg24593	XP_006298146.1
OG0001478	jg26326	XP_006300159.1
OG0001478	jg33363	XP_006305947.1
OG0001479	jg29412	XP_023645993.1
OG0001479	jg1099	XP_006300698.1
OG0001480	jg620	XP_006302977.1
OG0001481	jg30105	XP_023632570.1
OG0001481	jg30101	XP_006306876.1
OG0001482	jg21645	XP_006282073.1
OG0001482	jg10045	XP_006286123.1
OG0001483	jg30602	XP_023645467.1
OG0001483	jg8847	XP_006283612.1
OG0001484	jg30858	XP_006304240.1
OG0001484	jg2734	XP_006300566.1
OG0001485	jg20734	XP_006279601.2
OG0001485	jg20730	XP_006280276.1
OG0001486	jg9282	XP_006285418.1
OG0001486	jg16917	XP_006294309.1
OG0001488	jg17587	XP_006295093.2
OG0001489	jg964, jg911, jg968, jg963	XP_006302300.1, XP_006300344.1
OG0001490	jg24501, jg26885, jg7563, jg7566, jg2203, jg7477, jg27440	XP_023641237.1
OG0001491	jg26004	XP_006297828.1
OG0001492	jg26238	XP_006299565.1
OG0001493	jg26666, jg26665	XP_023641376.1
OG0001499	jg2169, jg2168, jg2170	XP_006301721.1
OG0001499	jg1737	XP_006279433.1
OG0001500	jg32351, jg32353, jg31529	XP_023645172.1
OG0001500	jg21053	XP_006283325.1
OG0001500	jg14209	XP_006297101.1
OG0001501	jg24209	XP_006297506.1
OG0001501	jg5604	XP_006287454.2
OG0001502	jg24200	XP_006299622.1
OG0001502	jg5594	XP_006287967.1
OG0001503	jg5333	XP_006286494.1
OG0001503	jg23973	XP_006297525.1
OG0001504	jg33131	XP_006279141.1
OG0001505	jg23933	XP_006299113.2
OG0001505	jg5269	XP_006287919.1
OG0001506	jg5196	XP_006288684.1
OG0001506	jg25195	XP_006298580.1
OG0001507	jg4974	XP_006287989.1
OG0001507	jg6430	XP_006287976.1
OG0001508	jg4639	XP_006288700.1
OG0001508	jg23055	XP_006281136.1
OG0001509	jg4628	XP_006287610.2
OG0001510	jg31195	XP_006306551.1
OG0001510	jg2378	XP_006301709.2
OG0001511	jg17723	XP_006294376.1
OG0001511	jg29182	XP_006305035.1
OG0001512	jg29144	XP_006307105.2
OG0001512	jg17830	XP_006294153.2
OG0001513	jg17843	XP_006296346.2
OG0001514	jg18040	XP_006294814.2
OG0001515	jg29016	XP_006303580.1
OG0001515	jg18129	XP_006296023.1
OG0001516	jg28967	XP_006303456.2
OG0001516	jg18171	XP_006294854.1
OG0001517	jg28852	XP_006307127.2
OG0001517	jg18312	XP_023639728.1
OG0001518	jg28765	XP_006306347.1
OG0001518	jg18441	XP_006296322.1
OG0001519	jg28759	XP_023645479.1
OG0001519	jg20901	XP_006280788.1
OG0001520	jg28753	XP_006305893.1
OG0001520	jg20875	XP_006282000.1
OG0001521	jg3657	XP_006300906.1
OG0001521	jg30106	XP_006305808.1
OG0001522	jg31460	XP_006306891.1
OG0001522	jg18526	XP_006296011.1
OG0001523	jg18529	XP_006295874.1
OG0001523	jg31474	XP_023644852.1
OG0001524	jg31662	XP_006305529.1
OG0001526	jg14851	XP_006291932.2
OG0001526	jg23627	XP_006281275.1
OG0001527	jg23596	XP_006279568.1
OG0001527	jg15480	XP_006290542.1
OG0001528	jg8835	XP_006285502.1
OG0001529	jg6307	XP_006286479.1
OG0001529	jg14777	XP_006290782.1
OG0001530	jg22577, jg22578	XP_006279883.2
OG0001530	jg22576	XP_023645176.1
OG0001531	jg6119	XP_006287572.1
OG0001532	jg22893, jg22892	XP_006280452.1
OG0001532	jg22894	XP_006279520.1
OG0001533	jg22886	XP_006282023.1
OG0001533	jg22887	XP_006279819.1, XP_006294467.1
OG0001534	jg20450	XP_006279755.2
OG0001534	jg10826	XP_006285483.1, XP_006281834.2, XP_006301900.1
OG0001535	jg9827	XP_006285534.1
OG0001535	jg22545	XP_006280374.1
OG0001536	jg528, jg527	XP_006302401.1, XP_006302676.2
OG0001537	jg7971	XP_006288563.1
OG0001538	jg28618	XP_006305432.1
OG0001538	jg7956	XP_023637045.1
OG0001539	jg4429	XP_023644501.1, XP_023636118.1, XP_006289339.2, XP_023637685.1
OG0001540	jg25055	XP_006297404.2
OG0001540	jg4308	XP_006287509.1
OG0001541	jg4227	XP_006286800.1
OG0001541	jg25001	XP_006298787.1
OG0001542	jg4085	XP_006287591.1
OG0001542	jg24914	XP_023642237.1, XP_006297503.1
OG0001543	jg3365	XP_006302726.1
OG0001543	jg30685	XP_006305527.2
OG0001544	jg3364	XP_006301355.1
OG0001544	jg30684	XP_006304594.1
OG0001545	jg3320	XP_006302740.1
OG0001545	jg30645	XP_006305316.2
OG0001546	jg3154	XP_023642834.1
OG0001546	jg3158	XP_006301180.1
OG0001547	jg27862	XP_006299401.1, XP_006299544.1
OG0001547	jg8810	XP_006283971.1
OG0001547	jg27861	XP_006299387.1
OG0001548	jg8754	XP_023634733.1
OG0001548	jg27908	XP_006298413.1
