Orthogroup	Arabidopsis_arenosa	Arabidopsis_thaliana
OG0002357	jg5420	AT5G15940.2
OG0002357	jg4156	AT5G04070.1
OG0002358	jg24022	AT3G02160.1
OG0002358	jg5382	AT5G15570.1
OG0002360	jg5123	AT5G13090.1
OG0002360	jg31250	AT1G24270.1
OG0002361	jg6384	AT5G25110.1
OG0002361	jg4922	AT5G10930.1
OG0002362	jg23491	AT5G64840.1
OG0002362	jg4813	AT5G09930.1
OG0002363	jg4716	AT5G08590.1
OG0002364	jg6207	AT5G23575.1
OG0002364	jg4703	AT5G08500.1
OG0002365	jg14358, jg4634	AT5G07940.1
OG0002367	jg17921	AT2G29250.1
OG0002367	jg17919, jg17920	AT2G29220.1
OG0002368	jg28850	AT1G05160.1
OG0002368	jg18315	AT2G32440.1
OG0002369	jg20843	AT5G43700.1
OG0002369	jg28741	AT1G04240.2
OG0002370	jg20809	AT5G43900.3
OG0002370	jg28734	AT1G04160.1
OG0002371	jg28696	AT1G03800.1
OG0002371	jg20772	AT5G44210.1
OG0002372	jg9899	AT4G25680.1
OG0002372	jg9901	AT4G25660.1
OG0002373	jg1026	AT1G59790.1
OG0002373	jg1025	AT1G59800.1
OG0002374	jg11078	AT4G15970.1
OG0002375	jg13162	AT2G03590.1
OG0002375	jg13163	AT2G03600.4
OG0002376	jg23050	AT5G61060.2, AT5G61070.1
OG0002377	jg14053	AT3G43740.2
OG0002377	jg5974	AT5G21090.1
OG0002378	jg14142	AT3G44280.1
OG0002379	jg14470	AT3G46830.1
OG0002380	jg9255	AT4G31490.1, AT4G31480.3
OG0002381	jg22370	AT5G55400.1
OG0002381	jg9779	AT4G26700.1
OG0002382	jg22287	AT5G54630.1
OG0002382	jg9731	AT4G27240.1
OG0002383	jg9706	AT4G27440.1
OG0002383	jg22207	AT5G54190.1
OG0002385	jg25090, jg15459	AT3G11400.2
OG0002385	jg4357	AT5G06000.1
OG0002386	jg24996	AT3G10570.1
OG0002386	jg4215	AT5G04660.1
OG0002387	jg4155	AT5G04060.1
OG0002387	jg24955	AT3G10200.2
OG0002388	jg12789	AT5G41670.1
OG0002388	jg424	AT1G64190.1
OG0002390	jg3430	AT1G77610.1
OG0002390	jg30738	AT1G21870.1
OG0002391	jg3399	AT1G77310.1
OG0002391	jg30708	AT1G21610.3
OG0002392	jg3287	AT1G76270.1
OG0002392	jg30595	AT1G20550.1
OG0002393	jg27888	AT2G17560.1
OG0002394	jg8726	AT4G36080.1
OG0002394	jg27928	AT2G17930.1
OG0002395	jg25274	AT3G13062.2
OG0002395	jg33779	AT1G55960.1
OG0002396	jg25370	AT3G13772.1
OG0002396	jg33670	AT1G55130.1
OG0002397	jg25402	AT3G13970.1
OG0002398	jg25522	AT3G15020.1
OG0002398	jg33527	AT1G53240.1
OG0002399	jg8901	AT4G34520.1
OG0002400	jg33503, jg33502	AT1G53023.1
OG0002400	jg33504	AT1G53025.2
OG0002401	jg18756	AT2G36250.1
OG0002401	jg15199	AT3G52750.1
OG0002402	jg11651	AT4G12910.1
OG0002402	jg26880	AT3G25420.1
OG0002403	jg26832	AT3G24880.1, AT3G24870.1
OG0002404	jg11479	AT4G13560.1
OG0002405	jg11390	AT4G14030.1
OG0002406	jg17347	AT2G26400.2
OG0002406	jg11286	AT4G14716.1
OG0002406	jg11288	AT4G14710.5
OG0002407	jg11248	AT4G14910.2
OG0002407	jg26473	AT3G22425.2
OG0002408	jg2967	AT1G73250.1
OG0002409	jg3011	AT1G73690.1
OG0002409	jg30327	AT1G18040.1
OG0002410	jg3084	AT1G74310.1
OG0002410	jg11293	AT4G14670.1
OG0002411	jg30396	AT1G18720.1
OG0002411	jg3096	AT1G74440.1
OG0002412	jg30419	AT1G18910.1
OG0002412	jg3128	AT1G74770.1
OG0002413	jg2424	AT1G68560.1
OG0002413	jg14373	AT3G45940.1
OG0002414	jg2437	AT1G68650.1
OG0002415	jg31143	AT1G26150.1
OG0002415	jg2441	AT1G68690.1
OG0002416	jg2443	AT1G68710.3
OG0002416	jg31145	AT1G26130.2
OG0002417	jg31124	AT1G26360.1
OG0002417	jg2503	AT1G69240.1
OG0002418	jg2480	AT1G68980.1
OG0002418	jg2508	AT1G69290.1
OG0002419	jg9577	AT4G28550.1
OG0002419	jg28261	AT2G20440.1
OG0002420	jg12754	AT5G41310.1
OG0002420	jg506	AT1G63640.3
OG0002422	jg13559	AT3G27970.1
OG0002422	jg12638	AT5G40310.2
OG0002423	jg29741	AT1G12820.1
OG0002423	jg13377	AT3G26810.1
OG0002424	jg29587	AT1G11510.1
OG0002424	jg28308	AT2G20805.1, AT2G20613.1
OG0002425	jg20485	AT5G45930.1
OG0002425	jg10744	AT4G18480.1
OG0002426	jg20547	AT5G45400.1
OG0002426	jg10665	AT4G19130.2
OG0002427	jg31361	AT1G28350.1
OG0002427	jg18491	AT2G33840.1
OG0002428	jg20278	AT5G47600.1
OG0002429	jg10880	AT4G17410.2
OG0002429	jg20302	AT5G47430.6
OG0002430	jg10156	AT4G23460.1
OG0002431	jg24466	AT3G05570.1
OG0002432	jg10247	AT4G22810.1
OG0002432	jg7606	AT4G12050.1
OG0002433	jg14094, jg14087	AT3G43990.1
OG0002433	jg17052	AT2G25120.1
OG0002433	jg10209	AT4G23120.1
OG0002434	jg7646	AT4G12430.1
OG0002434	jg10272	AT4G22590.1
OG0002435	jg7665	AT4G12590.1
OG0002436	jg10303	AT4G22290.1
OG0002437	jg20655	AT5G44785.2
OG0002437	jg10566	AT4G20010.1
OG0002438	jg10482	AT4G20920.2
OG0002438	jg10483	AT4G20910.1
OG0002439	jg21641	AT5G49910.1
OG0002439	jg10051	AT4G24280.1
OG0002440	jg7804	AT4G05400.1
OG0002440	jg10454	AT4G21140.1
OG0002441	jg10408	AT4G21540.1
OG0002442	jg10399	AT4G21630.1
OG0002442	jg10398	AT4G21650.1
OG0002443	jg14276, jg14275	AT3G45140.1
OG0002444	jg4121	AT5G03780.1
OG0002444	jg21363, jg28512	AT1G01150.1
OG0002445	jg893	AT1G60880.1
OG0002445	jg889	AT1G60920.1
OG0002446	jg16169	AT3G61180.1
OG0002447	jg19704	AT2G43630.1
OG0002447	jg16011	AT3G59640.1
OG0002449	jg15808	AT3G57880.1
OG0002449	jg33316	AT1G51570.1
OG0002450	jg19466	AT2G41770.1
OG0002450	jg15753	AT3G57420.1
OG0002451	jg19413	AT2G41340.1
OG0002451	jg15675	AT3G57080.1
OG0002452	jg15682	AT3G57020.1
OG0002453	jg15364	AT3G54250.1
OG0002453	jg19054	AT2G38700.1
OG0002454	jg18852	AT2G37060.1
OG0002455	jg15548, jg15263	AT3G53310.1
OG0002456	jg18738	AT2G36060.2
OG0002456	jg15177	AT3G52560.4
OG0002457	jg27939	AT2G17990.3
OG0002458	jg27997	AT2G18360.1
OG0002459	jg8656	AT4G36810.1
OG0002460	jg9385	AT4G30260.2
OG0002460	jg28061	AT2G18840.1
OG0002461	jg9515	AT4G29190.1
OG0002461	jg28179	AT2G19810.1
OG0002462	jg19326	AT2G40600.1
OG0002463	jg19016	AT2G38390.1
OG0002463	jg19015	AT2G38380.1
OG0002464	jg10225	AT4G23000.1
OG0002464	jg7579	AT4G11800.1
OG0002465	jg8635	AT4G37100.1
OG0002465	jg16812	AT2G23520.1
OG0002466	jg32078	AT1G34060.1
OG0002467	jg7620	AT4G12110.1
OG0002467	jg10252	AT4G22756.1
OG0002468	jg6536	AT5G26250.1
OG0002468	jg24525	AT3G05960.1
OG0002469	jg28260	AT2G20430.1
OG0002469	jg9576	AT4G28556.1
OG0002470	jg19802	AT2G44470.3
OG0002470	jg19801	AT2G44460.1
OG0002471	jg27909	AT2G17740.1
OG0002471	jg19787	AT2G44370.1
OG0002472	jg19683	AT2G43480.1
OG0002472	jg6259	AT5G24070.1
OG0002473	jg24339	AT3G04600.1
OG0002476	jg24787	AT3G08730.1
OG0002476	jg24786	AT3G08720.1
OG0002477	jg3887	AT5G01390.1
OG0002477	jg24805	AT3G08910.1
OG0002478	jg25059	AT3G11100.1
OG0002478	jg4478, jg4311	AT5G05550.2
OG0002479	jg25181	AT3G12240.1, AT3G12230.1
OG0002479	jg25180	AT3G12220.1
OG0002480	jg11556	AT4G13266.1
OG0002481	jg25418	AT3G14100.1
OG0002481	jg33638	AT1G54080.2
OG0002482	jg13857	AT3G30280.1
OG0002482	jg21287	AT5G47950.1
OG0002483	jg25776	AT3G16980.1
OG0002485	jg12546	AT5G39730.1
OG0002485	jg12545	AT5G39720.1
OG0002486	jg2097	AT1G66400.1
OG0002486	jg12244	AT5G37770.1
OG0002487	jg1980	AT1G65690.1
OG0002487	jg12103	AT5G36970.1
OG0002489	jg24565	AT3G06310.1
OG0002489	jg5733	AT5G18800.1
OG0002490	jg15019	AT3G51340.1
OG0002490	jg15020	AT3G51350.1
OG0002490	jg15017	AT3G51330.1
OG0002491	jg28549	AT1G02405.1
OG0002491	jg2717	AT1G70990.1
OG0002492	jg1183	AT1G58220.1
OG0002492	jg29341	AT1G09710.2
OG0002493	jg1229	AT1G57870.3
OG0002493	jg29359	AT1G09840.1
OG0002494	jg29420	AT1G10360.1
OG0002494	jg29421	AT1G10370.1
OG0002495	jg567	AT1G63180.1
OG0002495	jg29735	AT1G12780.1
OG0002496	jg13352	AT3G26650.1
OG0002497	jg29819	AT1G13580.2
OG0002497	jg13209	AT3G25540.1
OG0002498	jg13126	AT2G03280.2
OG0002498	jg29873	AT1G14020.1
OG0002499	jg29922	AT1G14450.2
OG0002500	jg29956	AT1G14720.1
OG0002500	jg12989	AT2G01850.1
OG0002501	jg30055	AT1G15690.1
OG0002502	jg30251	AT1G17270.1
OG0002502	jg21712	AT5G50420.1
OG0002503	jg30790	AT1G22270.1
OG0002503	jg3496	AT1G78190.1
OG0002504	jg2662, jg30910	AT1G23380.2, AT1G70510.2
OG0002505	jg30927	AT1G23550.1
OG0002505	jg2652	AT1G70440.1
OG0002506	jg2624	AT1G70140.1
OG0002507	jg29591	AT1G11560.1
OG0002507	jg768	AT1G61790.1
OG0002508	jg16509	AT2G21060.1
OG0002508	jg8336	AT4G38680.1
OG0002509	jg16651	AT2G22200.1
OG0002509	jg8477	AT4G39780.1
OG0002510	jg8571	AT4G37640.1
OG0002510	jg16736	AT2G22950.1
OG0002511	jg8597	AT4G37390.1
OG0002511	jg1112	AT1G59500.1
OG0002511	jg16765	AT2G23170.1
OG0002512	jg8614	AT4G36900.1
OG0002512	jg16792	AT2G23340.1
OG0002513	jg8837	AT4G35160.1
OG0002513	jg8838	AT4G35150.1
OG0002514	jg9246, jg8941	AT4G34200.1
OG0002515	jg9106	AT4G32830.1
OG0002515	jg17202, jg17214	AT2G25880.3
OG0002516	jg17090	AT2G25300.1
OG0002516	jg9187	AT4G32120.1
OG0002517	jg9232	AT4G31680.1
OG0002517	jg9236	AT4G31650.2, AT4G31640.1
OG0002518	jg2634	AT1G70220.1
OG0002518	jg30970	AT1G24050.1
OG0002519	jg9687	AT4G27595.1
OG0002519	jg1797	AT1G65010.1
OG0002520	jg2139	AT1G66690.1, AT1G66700.1
OG0002520	jg2160, jg2136	AT1G66720.1
OG0002521	jg17091	AT2G25305.1
OG0002521	jg22211	AT5G54220.1
OG0002522	jg14068, jg14041	AT1G48150.1, AT1G50780.1
OG0002522	jg6748, jg6704	AT5G27130.1
OG0002523	jg7230	AT4G09120.1
OG0002523	jg7227	AT4G09110.1
OG0002523	jg7231	AT4G09130.1
OG0002524	jg21560, jg21557, jg21559	AT5G49305.1
OG0002524	jg21883	AT5G52000.1
OG0002524	jg21599	AT1G32880.1
OG0002530	jg9348	AT4G30620.1
OG0002530	jg16864	AT2G24020.1
OG0002531	jg8344	AT4G38770.1
OG0002532	jg22888	AT5G59550.2
OG0002532	jg14446, jg16552	AT3G46620.1
OG0002533	jg14677	AT3G48590.1
OG0002533	jg23318	AT5G63470.1
OG0002534	jg14593	AT3G47890.1
OG0002534	jg14594	AT3G47910.2
OG0002535	jg13008	AT2G01970.1
OG0002536	jg24168	AT3G03340.2
OG0002536	jg5577	AT5G17440.1
OG0002537	jg9450, jg9452	AT1G17990.1, AT1G18020.1
OG0002537	jg3330	AT1G76680.2
OG0002537	jg3331, jg3332	AT1G76690.1
OG0002538	jg3252	AT1G75960.1
OG0002538	jg5462	AT5G16370.1
OG0002539	jg5417	AT5G15900.2
OG0002539	jg5416	AT5G15890.1
OG0002540	jg5386	AT5G15610.1
OG0002540	jg24025	AT3G02200.2
OG0002541	jg5310	AT5G14895.1
OG0002541	jg23955	AT3G01430.1
OG0002542	jg5272	AT5G14500.2
OG0002542	jg23936	AT3G01590.1
OG0002543	jg15280	AT3G53480.1
OG0002543	jg18877	AT2G37280.3
OG0002544	jg5035	AT5G11950.1
OG0002544	jg6513	AT5G26140.2
OG0002545	jg23441	AT5G64400.2
OG0002545	jg4773	AT5G09570.1
OG0002546	jg23373	AT5G63880.2
OG0002546	jg4741	AT5G09260.1
OG0002547	jg7879	AT4G02930.1
OG0002548	jg28666	AT1G03520.1
OG0002548	jg7929	AT4G03340.1
OG0002549	jg29115	AT1G07630.1
OG0002549	jg17867	AT2G28890.1
OG0002550	jg17989	AT2G29680.1
OG0002550	jg29080	AT1G07270.1
OG0002551	jg18130	AT2G30800.1
OG0002551	jg29015	AT1G06670.1
OG0002552	jg18314	AT2G32430.1
OG0002552	jg28851	AT1G05170.2
OG0002553	jg18417	AT2G33240.1
OG0002553	jg28780	AT1G04600.1
OG0002554	jg28732	AT1G04140.2
OG0002554	jg20806	AT5G43930.4
OG0002555	jg20785	AT5G44100.1
OG0002555	jg28712	AT1G03930.1
OG0002556	jg18450	AT2G33530.1
OG0002556	jg31330	AT1G28110.1
OG0002557	jg18483	AT2G33790.1
OG0002557	jg31351	AT1G28290.1
OG0002558	jg18677	AT2G35520.2
OG0002558	jg31862	AT1G32210.1
OG0002559	jg14918	AT3G50500.2
OG0002559	jg23700	AT5G66880.1
OG0002560	jg23549	AT5G65380.1
OG0002561	jg23471	AT5G64667.1
OG0002561	jg4796	AT5G09805.1
OG0002563	jg23194	AT5G62410.1
OG0002563	jg14534	AT3G47460.2
OG0002564	jg23160	AT5G62100.1
OG0002564	jg4552	AT5G07220.1
OG0002565	jg4589	AT5G07470.1
OG0002565	jg23112	AT5G61640.2
OG0002566	jg6284	AT5G24310.1
OG0002566	jg14768	AT3G49290.1
OG0002567	jg14299	AT3G45310.1
OG0002567	jg22979	AT5G60360.3
OG0002568	jg22967	AT5G60220.1
OG0002568	jg14333	AT3G45600.1
OG0002569	jg22940	AT5G60010.1
OG0002569	jg14362	AT3G45810.1
OG0002570	jg14504	AT3G47060.1
OG0002570	jg22804	AT5G58870.1
OG0002571	jg30058	AT1G15720.1
OG0002571	jg22739	AT5G58340.1
OG0002572	jg3763	AT1G80070.1
OG0002572	jg8345	AT4G38780.1
OG0002573	jg26585	AT3G23325.1
OG0002574	jg22645	AT5G57440.1
OG0002574	jg9877	AT4G25840.1
OG0002576	jg22518	AT5G56440.1
OG0002577	jg22371	AT5G55410.2
OG0002577	jg22377	AT5G55460.1
OG0002578	jg11858	AT5G33340.1
OG0002579	jg7987	AT4G02300.1
OG0002579	jg7986	AT4G02320.1
OG0002580	jg4515	AT5G06910.1
OG0002580	jg25176	AT3G12170.2
OG0002581	jg15746	AT3G57340.1
OG0002582	jg25000	AT3G10600.1
OG0002582	jg4225	AT5G04770.1
OG0002583	jg4163	AT5G04160.1
OG0002583	jg24962	AT3G10290.1
OG0002584	jg24807	AT3G08930.1
OG0002584	jg3870	AT5G01460.1
OG0002585	jg13403	AT3G27020.1
OG0002585	jg12721	AT5G41000.1
OG0002586	jg30035	AT1G15480.1
OG0002586	jg3744	AT1G80270.1
OG0002587	jg3564	AT1G78820.1
OG0002587	jg3565	AT1G78830.1
OG0002588	jg3316	AT1G76540.1
OG0002588	jg30639	AT1G20930.1
OG0002589	jg3302	AT1G76405.2
OG0002590	jg3286	AT1G76260.1
OG0002590	jg30594	AT1G20540.1
OG0002591	jg30559	AT1G20340.1
OG0002591	jg3265	AT1G76100.2
OG0002592	jg30548	AT1G20200.1
OG0002592	jg3254	AT1G75990.1
OG0002593	jg6607	AT5G27880.1
OG0002594	jg16293	AT3G62230.1
OG0002595	jg8154	AT4G00872.1
OG0002596	jg33645	AT1G54130.1
OG0002596	jg25410	AT3G14050.1
OG0002597	jg33643	AT1G54115.1
OG0002597	jg25414	AT3G14070.1
OG0002598	jg33628	AT1G54000.1, AT1G54010.1
OG0002599	jg25441	AT3G14290.1
OG0002599	jg33613	AT1G53850.1
OG0002600	jg15200	AT3G52760.1
OG0002600	jg18762	AT2G36300.1
OG0002601	jg26636	AT3G23730.1
OG0002601	jg11378	AT4G14130.1
OG0002602	jg11281	AT4G14740.1
OG0002602	jg26516	AT3G22810.1
OG0002603	jg11152	AT4G15550.1
OG0002604	jg3088	AT1G74360.1
OG0002605	jg31168	AT1G25450.1
OG0002605	jg2419	AT1G68530.1
OG0002606	jg2439	AT1G68670.1
OG0002606	jg31157	AT1G25550.1
OG0002607	jg18522	AT2G34210.1
OG0002607	jg7065	AT4G08350.1
OG0002608	jg20646	AT5G44860.1
OG0002608	jg10576	AT4G19950.1
OG0002609	jg26053	AT3G19170.1
OG0002609	jg33084	AT1G49630.1
OG0002610	jg33145	AT1G50110.1
OG0002610	jg33144	AT1G50090.1
OG0002611	jg33220	AT1G50840.2
OG0002612	jg25593	AT3G15480.1
OG0002612	jg33486	AT1G52910.1
OG0002613	jg33488	AT1G52930.1
OG0002613	jg25589, jg17500	AT3G15460.1
OG0002614	jg25587	AT3G15450.1
OG0002615	jg13593, jg13592	AT3G28270.1
OG0002616	jg14973, jg14972	AT3G50930.1
OG0002617	jg27502	AT2G14720.1
OG0002618	jg27671	AT2G16280.1
OG0002618	jg8902	AT4G34510.1
OG0002619	jg27753	AT2G16640.1
OG0002619	jg25731	AT3G16620.1
OG0002620	jg27774	AT2G16780.1
OG0002620	jg8851	AT4G35050.1
OG0002621	jg27780	AT2G16850.1
OG0002621	jg8846	AT4G35100.1
OG0002622	jg10288	AT4G22460.1
OG0002623	jg7498	AT4G11310.1
OG0002623	jg7499	AT4G11320.1
OG0002624	jg16379	AT3G63080.1
OG0002624	jg20229	AT2G48150.1
OG0002625	jg16197	AT3G61415.1
OG0002625	jg19994	AT2G45950.2
OG0002626	jg16031	AT3G59830.1
OG0002626	jg19732	AT2G43850.1
OG0002627	jg19518	AT2G42180.1
OG0002628	jg15801	AT3G57785.1
OG0002629	jg15747	AT3G57350.1
OG0002629	jg19446	AT2G41620.1
OG0002630	jg19299	AT2G40400.1
OG0002631	jg15456	AT3G55180.1
OG0002631	jg19113, jg19155	AT2G39400.1
OG0002632	jg26603	AT3G23550.1
OG0002632	jg26604	AT3G23560.1
OG0002633	jg18949	AT2G37840.1
OG0002633	jg15327	AT3G53930.2
OG0002634	jg9670	AT4G27730.1
OG0002634	jg22073	AT5G53510.1
OG0002635	jg26998	AT2G04795.1
OG0002635	jg11969	AT5G35732.2
OG0002636	jg12406	AT5G38650.1
OG0002636	jg2246	AT1G67250.1, AT1G62920.1
OG0002637	jg9492	AT4G29430.1
OG0002637	jg28167	AT2G19720.1
OG0002638	jg19176	AT2G39530.1
OG0002638	jg19175	AT2G39518.1
OG0002639	jg13035	AT1G25220.2
OG0002639	jg31201	AT5G57890.1
OG0002640	jg28510	AT1G01170.1
OG0002641	jg8358	AT4G38905.1
OG0002641	jg16536	AT2G21237.1
OG0002642	jg8388	AT4G39180.1
OG0002642	jg16572	AT2G21540.1
OG0002643	jg7395	AT4G10480.1
OG0002643	jg31956	AT1G33040.1
OG0002644	jg28324	AT2G20900.1
OG0002644	jg9623	AT4G28130.1
OG0002645	jg16092	AT2G14635.1, AT3G60350.1
OG0002645	jg19853	AT2G44900.1
OG0002646	jg19693	AT2G43570.1
OG0002647	jg5659	AT5G18180.1
OG0002647	jg24249	AT3G03920.1
OG0002648	jg24633	AT3G06830.1
OG0002648	jg21539	AT5G49180.1
OG0002649	jg24853	AT3G09300.1
OG0002649	jg3940	AT5G02100.1
OG0002650	jg24869	AT3G09410.1
OG0002650	jg24867	AT3G09405.1
OG0002651	jg25114	AT3G11630.1
OG0002651	jg4397	AT5G06290.1
OG0002652	jg25279	AT3G13090.1
OG0002652	jg25280	AT3G13100.1
OG0002653	jg32939	AT1G48590.2
OG0002653	jg25917	AT3G17980.1
OG0002654	jg16716	AT2G22830.1
OG0002654	jg8558	AT4G37760.1
OG0002655	jg13722	AT3G29100.3
OG0002655	jg12519	AT5G39510.1
OG0002656	jg11311	AT4G14550.2
OG0002656	jg26547	AT3G23050.1
OG0002657	jg26535	AT3G22970.1
OG0002657	jg11300	AT4G14620.1
OG0002658	jg26460	AT3G22330.1
OG0002658	jg26457	AT3G22310.1
OG0002659	jg26404	AT3G21945.1
OG0002659	jg26405	AT3G21960.1
OG0002659	jg18224	AT2G31620.1
OG0002659	jg26403	AT3G21940.1
OG0002660	jg12238	AT5G37720.1
OG0002660	jg2070	AT1G66260.1
OG0002661	jg6869, jg6868	AT5G28900.1, AT5G28850.2
OG0002662	jg8074	AT4G01630.1
OG0002663	jg13727	AT1G03230.1
OG0002663	jg28639	AT1G03220.1
OG0002664	jg27466, jg27463, jg27470, jg27453, jg27459	AT2G14510.2, AT2G14440.1
OG0002664	jg29110	AT1G07550.1
OG0002665	jg29334	AT1G09645.1
OG0002665	jg1282	AT1G57765.2
OG0002666	jg29386	AT1G10090.1
OG0002666	jg1124	AT1G58520.1
OG0002668	jg29557	AT1G11330.2
OG0002669	jg28425	AT1G01980.1
OG0002669	jg29618	AT1G11770.1
OG0002670	jg29855	AT1G13860.1
OG0002670	jg13149	AT2G03480.1
OG0002671	jg29882	AT1G14100.1
OG0002671	jg29883	AT1G14110.1
OG0002672	jg12956	AT2G01570.1
OG0002672	jg29978	AT1G14920.1
OG0002673	jg30004	AT1G15180.1
OG0002673	jg30003	AT1G15170.1
OG0002673	jg30001	AT1G15160.1, AT1G15150.1
OG0002674	jg30226	AT1G17050.1
OG0002674	jg3530	AT1G78510.1
OG0002675	jg2876	AT1G72420.1
OG0002675	jg30260	AT1G17350.2
OG0002677	jg8282	AT4G38220.2
OG0002678	jg16516	AT2G21130.1
OG0002678	jg8342	AT4G38740.1
OG0002679	jg8493	AT4G39910.1
OG0002679	jg16660	AT2G22310.1
OG0002680	jg16733	AT2G22910.1
OG0002680	jg8568	AT4G37670.2
OG0002681	jg8895	AT4G34570.1
OG0002681	jg27693	AT2G16370.1
OG0002682	jg8908	AT4G34450.1
OG0002683	jg8939	AT4G34220.1
OG0002683	jg27560	AT2G15300.1
OG0002684	jg17144	AT2G25610.2
OG0002685	jg17229	AT2G25940.1
OG0002685	jg9093	AT4G32940.1
OG0002686	jg8997	AT4G33720.1
OG0002687	jg27495, jg27496	AT2G14690.1
OG0002688	jg17046	AT2G25080.1
OG0002688	jg9213	AT4G31870.1
OG0002689	jg6736, jg2065	AT1G66235.1
OG0002690	jg31270	AT1G27430.1
OG0002690	jg31247	AT1G24300.1
OG0002693	jg33739, jg33731	AT4G00315.1, AT1G55660.1
OG0002693	jg11228	AT4G15075.1
OG0002693	jg11226	AT4G15060.1
OG0002694	jg1060	AT1G59722.1
OG0002695	jg25409, jg24742	AT3G14040.1, AT3G07850.1
OG0002696	jg7593, jg7595	AT4G11930.1
OG0002696	jg28036, jg7594	AT4G11940.1
OG0002696	jg8524	AT4G38065.1
OG0002697	jg14770	AT3G49307.1
OG0002697	jg14763	AT3G49270.3
OG0002697	jg14769	AT3G49300.1
OG0002698	jg12830	AT5G35926.2, AT5G41840.1
OG0002698	jg12829	AT5G41830.2, AT4G00320.1
OG0002698	jg12832, jg12787	AT5G41630.1
OG0002699	jg21867	AT5G51860.1
OG0002699	jg21868	AT5G51870.3
OG0002700	jg21905	AT5G52140.1
OG0002700	jg21904	AT5G52130.1
OG0002700	jg21907	AT5G52155.1
OG0002705	jg9726	AT4G27280.1
OG0002705	jg22253	AT5G54490.1
OG0002706	jg5611	AT5G17740.1
OG0002706	jg5608	AT5G17730.1
OG0002706	jg5612	AT5G17750.1
OG0002707	jg27699	AT2G16430.2
OG0002708	jg5318	AT5G14960.1
OG0002708	jg23964	AT3G01330.1
OG0002710	jg5042	AT5G12020.1
OG0002710	jg5043	AT5G12030.1
OG0002711	jg4786	AT5G09740.1
OG0002711	jg23465	AT5G64610.1
OG0002712	jg12313	AT5G38130.1
OG0002712	jg14893	AT3G50300.1
OG0002713	jg4721	AT5G08640.1
OG0002714	jg23091	AT5G61460.1
OG0002714	jg4609	AT5G07660.1
OG0002715	jg17680	AT2G27600.1
OG0002716	jg17701	AT2G27720.2
OG0002717	jg18229	AT2G31680.1
OG0002717	jg28929	AT1G05810.2
OG0002718	jg28770	AT1G04520.1
OG0002718	jg18431	AT2G33330.1
OG0002719	jg4027	AT5G02940.2
OG0002719	jg20838	AT5G43745.1
OG0002720	jg9914	AT4G25520.1
OG0002720	jg9915	AT4G25515.1
OG0002721	jg32781, jg2026	AT1G47500.1
OG0002721	jg32780	AT1G47490.1
OG0002722	jg32737	AT1G46912.1
OG0002722	jg32736	AT1G46840.1
OG0002723	jg18562	AT2G34590.1
OG0002723	jg31554	AT1G30120.1
OG0002724	jg31718	AT1G31120.1
OG0002724	jg18624	AT2G35060.2
OG0002725	jg16282	AT3G62120.1
OG0002726	jg9159	AT4G32342.2
OG0002726	jg6413	AT5G25360.3
OG0002727	jg14003, jg13978	AT3G43190.1
OG0002727	jg5946	AT5G20830.1
OG0002728	jg14284	AT3G45210.1
OG0002728	jg23008	AT5G60680.1
OG0002729	jg14332	AT3G45577.1, AT3G45590.1
OG0002729	jg22968	AT5G60230.2
OG0002730	jg11291	AT4G14690.1
OG0002731	jg22450	AT5G56040.2
OG0002731	jg9798	AT4G26540.1
OG0002732	jg14759	AT3G49200.1
OG0002732	jg14760	AT3G49210.1
OG0002733	jg4548	AT5G07180.1
OG0002733	jg23175	AT5G62230.1
OG0002734	jg4407	AT5G05657.1, AT5G06330.1
OG0002734	jg25117	AT3G11660.1
OG0002735	jg19281	AT2G40290.1
OG0002735	jg4303	AT5G05470.1
OG0002736	jg4246	AT5G04960.1
OG0002736	jg25011	AT3G10710.1
OG0002737	jg4105	AT5G03610.1
OG0002738	jg9608	AT4G28280.2
OG0002738	jg28292	AT2G20700.1
OG0002739	jg3928	AT5G01050.1
OG0002739	jg3929	AT5G01040.1
OG0002740	jg24808	AT3G08940.2
OG0002740	jg3862	AT5G01530.1
OG0002741	jg30201, jg30188	AT1G16825.1
OG0002741	jg3572	AT1G78895.1
OG0002742	jg8805	AT4G35410.2
OG0002743	jg9728	AT4G27260.1
OG0002743	jg22255	AT5G54510.1
OG0002744	jg25394	AT3G13900.1
OG0002744	jg33660	AT1G54280.1
OG0002745	jg33553	AT1G53450.1
OG0002745	jg25499	AT3G14830.1
OG0002746	jg25546	AT3G15220.1
OG0002746	jg33520	AT1G53165.3
OG0002747	jg14149	AT3G44340.1
OG0002747	jg9126	AT4G32640.1
OG0002748	jg21618	AT5G49710.3
OG0002748	jg10018	AT4G24590.4
OG0002749	jg11435	AT4G13780.1
OG0002750	jg26544	AT1G60740.1
OG0002750	jg914	AT1G65970.1
OG0002750	jg2035	AT1G65980.1
OG0002751	jg11195	AT4G15260.1
OG0002751	jg11193	AT4G15280.2
OG0002752	jg26362	AT3G21650.1
OG0002752	jg11175	AT4G15415.1
OG0002754	jg25732	AT3G16630.1
OG0002755	jg30342	AT1G18200.1
OG0002755	jg3005	AT1G73640.1
OG0002756	jg29771	AT1G13110.1
OG0002757	jg9554	AT4G28770.2
OG0002757	jg28234	AT2G20230.1
OG0002758	jg28223	AT2G20140.1
OG0002758	jg9528	AT4G29040.1
