Orthogroup	Arabidopsis_arenosa	Rorippa_islandica
OG0003886	jg22534, jg21879	Roisl.0189s0169.1.p
OG0003887	jg15139	Roisl.0046s1199.1.p
OG0003889	jg28863	Roisl.0091s0780.1.p
OG0003890	jg14281	Roisl.0041s0063.1.p, Roisl.0027s0119.1.p
OG0003891	jg29252	Roisl.0091s1176.1.p
OG0003892	jg29263, jg29262	Roisl.0091s1187.1.p
OG0003893	jg29302	Roisl.0091s1222.1.p
OG0003894	jg32982	Roisl.0091s1238.1.p
OG0003895	jg29687	Roisl.0010s0117.1.p, Roisl.0021s0334.1.p
OG0003896	jg30350	Roisl.0007s0309.1.p
OG0003897	jg30394	Roisl.0007s0260.1.p
OG0003898	jg30423	Roisl.0007s0236.1.p
OG0003899	jg30452	Roisl.0007s0202.1.p, Roisl.0213s0166.1.p
OG0003900	jg8079	Roisl.0191s0631.1.p, Roisl.0012s0372.1.p
OG0003901	jg660, jg652, jg656, jg662	Roisl.0010s0042.1.p
OG0003902	jg858	Roisl.0209s0745.1.p
OG0003903	jg1211	Roisl.0214s0783.1.p
OG0003903	jg1209	Roisl.0214s0782.1.p
OG0003905	jg20271	Roisl.0005s0015.1.p
OG0003906	jg16496, jg16499	Roisl.0063s0009.1.p
OG0003907	jg14505	Roisl.0209s0415.1.p
OG0003908	jg8682	Roisl.0001s0273.1.p, Roisl.0001s0239.1.p
OG0003909	jg8866	Roisl.0001s0094.1.p
OG0003910	jg8923	Roisl.0001s0031.1.p
OG0003910	jg8924	Roisl.0001s0030.1.p
OG0003911	jg9286	Roisl.0003s0129.1.p
OG0003912	jg30889	Roisl.0191s0162.1.p
OG0003913	jg9652	Roisl.0022s0457.1.p
OG0003914	jg16969	Roisl.0038s0009.1.p
OG0003915	jg28911	Roisl.0157s0001.1.p
OG0003915	jg28910	Roisl.0059s0012.1.p
OG0003915	jg259	Roisl.0069s0002.1.p
OG0003916	jg31391	Roisl.0213s0130.1.p
OG0003917	jg7242	Roisl.0032s0064.1.p
OG0003917	jg32212	Roisl.0046s0057.1.p
OG0003920	jg16679	Roisl.0209s0192.1.p, Roisl.0013s0174.1.p, Roisl.0021s0590.1.p, Roisl.0046s0585.1.p
OG0003922	jg13808	Roisl.0184s0234.1.p, Roisl.0184s0242.1.p, Roisl.0184s0230.1.p
OG0003923	jg14521	Roisl.0209s0439.1.p
OG0003924	jg4485	Roisl.0008s0024.1.p
OG0003925	jg23023	Roisl.0080s0186.1.p
OG0003925	jg4661	Roisl.0210s0556.1.p
OG0003926	jg22513, jg22512, jg23259, jg23340, jg23345	Roisl.0080s0680.1.p
OG0003927	jg5500	Roisl.0210s1371.1.p
OG0003929	jg7175	Roisl.0214s0837.1.p
OG0003930	jg20649	Roisl.0012s0350.1.p
OG0003931	jg21820	Roisl.0189s0226.1.p
OG0003941	jg5348	Roisl.0210s1225.1.p
OG0003943	jg5184, jg5207	Roisl.0210s1070.1.p
OG0003945	jg6497	Roisl.0046s0284.1.p
OG0003946	jg2560, jg27086	Roisl.0019s0569.1.p
OG0003947	jg9200	Roisl.0003s0212.1.p
OG0003948	jg4954	Roisl.0210s0843.1.p
OG0003949	jg6653	Roisl.0046s0405.1.p
OG0003950	jg4671	Roisl.0210s0569.1.p
OG0003951	jg6159	Roisl.0210s1979.1.p
OG0003952	jg4663	Roisl.0210s0558.1.p
OG0003953	jg23097	Roisl.0080s0103.1.p
OG0003954	jg9987	Roisl.0022s0128.1.p
OG0003955	jg10007	Roisl.0022s0113.1.p
OG0003956	jg17667	Roisl.0204s0060.1.p
OG0003957	jg17674	Roisl.0204s0055.1.p
OG0003958	jg18046	Roisl.0033s0026.1.p
OG0003959	jg18440	Roisl.0028s0739.1.p
OG0003960	jg28742	Roisl.0210s0360.1.p
OG0003961	jg9956	Roisl.0022s0156.1.p
OG0003962	jg31485, jg31488, jg31493	Roisl.0213s0212.1.p
OG0003963	jg8075, jg22196	Roisl.0028s0818.1.p
OG0003964	jg15487	Roisl.0046s1539.1.p
OG0003965	jg1448	Roisl.0184s0079.1.p
OG0003966	jg23569	Roisl.0024s0451.1.p
OG0003967	jg23403	Roisl.0053s0048.1.p, Roisl.0024s0292.1.p
OG0003968	jg23346	Roisl.0024s0249.1.p
OG0003970	jg23102	Roisl.0080s0097.1.p
OG0003971	jg16861, jg1560	Roisl.0018s0318.1.p, Roisl.0184s0218.1.p
OG0003972	jg23061, jg23063	Roisl.0080s0139.1.p
OG0003973	jg23043	Roisl.0080s0160.1.p
OG0003974	jg16943, jg6203	Roisl.0210s2022.1.p
OG0003975	jg14712	Roisl.0046s0811.1.p
OG0003976	jg6451	Roisl.0046s0247.1.p
OG0003977	jg6486	Roisl.0046s0271.1.p
OG0003978	jg29608	Roisl.0021s0250.1.p
OG0003979	jg22977, jg14300	Roisl.0080s0237.1.p
OG0003980	jg22969	Roisl.0080s0243.1.p
OG0003981	jg13351, jg13355	Roisl.0011s0438.1.p
OG0003982	jg22819	Roisl.0080s0394.1.p
OG0003983	jg22794	Roisl.0080s0409.1.p
OG0003984	jg22768	Roisl.0080s0437.1.p
OG0003985	jg22653	Roisl.0080s0548.1.p, Roisl.0080s0547.1.p
OG0003986	jg22473	Roisl.0080s0703.1.p
OG0003987	jg7191, jg14727	Roisl.0046s0824.1.p
OG0003988	jg22226, jg22224	Roisl.0052s0016.1.p
OG0003989	jg4526, jg4527	Roisl.0210s0436.1.p
OG0003990	jg22047, jg22046	Roisl.0031s0100.1.p
OG0003991	jg2592, jg4281	Roisl.0019s0208.1.p
OG0003993	jg4208	Roisl.0030s0185.1.p
OG0003994	jg4076	Roisl.0016s0064.1.p, Roisl.0030s0059.1.p
OG0003995	jg3966	Roisl.0034s0135.1.p
OG0003996	jg3964	Roisl.0034s0134.1.p
OG0003997	jg12729	Roisl.0009s0118.1.p
OG0003998	jg24971	Roisl.0074s0988.1.p
OG0003999	jg788	Roisl.0209s0676.1.p
OG0003999	jg3687	Roisl.0115s0120.1.p
OG0004000	jg3305	Roisl.0004s0247.1.p
OG0004001	jg3293	Roisl.0004s0258.1.p
OG0004002	jg3248	Roisl.0004s0300.1.p
OG0004004	jg33598	Roisl.0006s0451.1.p
OG0004005	jg33791, jg33793, jg33790, jg33789	Roisl.0007s0772.1.p
OG0004006	jg33764	Roisl.0021s0507.1.p
OG0004007	jg33702, jg33703, jg33701	Roisl.0021s0549.1.p
OG0004008	jg33684	Roisl.0006s0533.1.p
OG0004008	jg33683	Roisl.0006s0532.1.p
OG0004009	jg32601	Roisl.0179s0082.1.p
OG0004010	jg30250, jg33600	Roisl.0006s0453.1.p
OG0004011	jg18771	Roisl.0054s0013.1.p
OG0004012	jg22028	Roisl.0012s0226.1.p, Roisl.0031s0076.1.p
OG0004013	jg11329	Roisl.0075s0192.1.p
OG0004014	jg11287, jg11285	Roisl.0002s0260.1.p
OG0004015	jg11124	Roisl.0002s0111.1.p, Roisl.0002s0113.1.p
OG0004016	jg2985, jg2984	Roisl.0019s0137.1.p, Roisl.0019s0136.1.p
OG0004017	jg3083	Roisl.0004s0474.1.p
OG0004018	jg460, jg27475	Roisl.0194s0047.1.p
OG0004020	jg13449	Roisl.0011s0515.1.p
OG0004021	jg10388	Roisl.0091s0155.1.p
OG0004022	jg20535	Roisl.0005s0297.1.p
OG0004023	jg26129	Roisl.0115s0294.1.p
OG0004024	jg26130	Roisl.0115s0295.1.p
OG0004024	jg33157	Roisl.0006s0084.1.p
OG0004025	jg18614	Roisl.0028s0911.1.p
OG0004026	jg18628	Roisl.0028s0927.1.p
OG0004027	jg20426	Roisl.0005s0173.1.p
OG0004028	jg30085	Roisl.0007s0538.1.p
OG0004029	jg10275	Roisl.0091s0066.1.p
OG0004029	jg7648	Roisl.0209s0242.1.p
OG0004030	jg1912, jg32449, jg32458	Roisl.0082s0078.1.p
OG0004031	jg21616	Roisl.0191s0686.1.p
OG0004032	jg10563	Roisl.0091s0301.1.p
OG0004033	jg10540	Roisl.0012s0316.1.p, Roisl.0091s0278.1.p
OG0004034	jg10396	Roisl.0091s0163.1.p
OG0004036	jg25931	Roisl.0074s0127.1.p
OG0004037	jg11003	Roisl.0002s0020.1.p
OG0004038	jg12326, jg10952	Roisl.0091s0654.1.p, Roisl.0091s0655.1.p
OG0004039	jg21502, jg23956	Roisl.0016s0077.1.p
OG0004040	jg23739, jg17130	Roisl.0023s0088.1.p
OG0004041	jg16343	Roisl.0018s0411.1.p
OG0004042	jg16250	Roisl.0018s0314.1.p
OG0004043	jg9088	Roisl.0003s0334.1.p
OG0004044	jg26976, jg16200	Roisl.0018s0265.1.p
OG0004045	jg11134, jg16193	Roisl.0018s0260.1.p
OG0004046	jg16003	Roisl.0018s0069.1.p
OG0004047	jg15750	Roisl.0026s0157.1.p
OG0004048	jg12921	Roisl.0011s0024.1.p
OG0004049	jg15677	Roisl.0026s0189.1.p
OG0004050	jg32133, jg32129	Roisl.0046s1667.1.p, Roisl.0046s1666.1.p
OG0004051	jg15360	Roisl.0046s1398.1.p, Roisl.0046s1399.1.p
OG0004052	jg15291	Roisl.0046s1336.1.p
OG0004053	jg15284	Roisl.0046s1330.1.p
OG0004054	jg26820	Roisl.0053s0184.1.p, Roisl.0053s0183.1.p
OG0004055	jg33750	Roisl.0021s0520.1.p
OG0004056	jg2834	Roisl.0019s0311.1.p
OG0004058	jg19311	Roisl.0028s0584.1.p
OG0004059	jg26827, jg26795	Roisl.0053s0202.1.p
OG0004059	jg26797	Roisl.0053s0203.1.p
OG0004060	jg16928	Roisl.0051s0018.1.p
OG0004061	jg10019	Roisl.0022s0104.1.p
OG0004062	jg33017	Roisl.0013s0029.1.p
OG0004063	jg32068	Roisl.0193s0007.1.p
OG0004064	jg7344	Roisl.0020s0073.1.p, Roisl.0020s0075.1.p
OG0004066	jg5792	Roisl.0210s1650.1.p
OG0004066	jg24530	Roisl.0039s0140.1.p
OG0004068	jg24400	Roisl.0039s0026.1.p
OG0004069	jg20152	Roisl.0067s0078.1.p
OG0004070	jg20052	Roisl.0035s0094.1.p
OG0004071	jg27568, jg27569	Roisl.0045s0075.1.p
OG0004072	jg19814, jg19813	Roisl.0028s0130.1.p
OG0004073	jg19705	Roisl.0028s0231.1.p
OG0004074	jg30228	Roisl.0007s0423.1.p
OG0004074	jg19535	Roisl.0028s0386.1.p
OG0004076	jg24138	Roisl.0016s0244.1.p
OG0004077	jg24183	Roisl.0016s0277.1.p
OG0004078	jg5662, jg24258	Roisl.0016s0336.1.p
OG0004079	jg24320	Roisl.0016s0385.1.p
OG0004081	jg24388	Roisl.0039s0016.1.p
OG0004082	jg24395	Roisl.0039s0023.1.p
OG0004083	jg24421	Roisl.0039s0045.1.p
OG0004084	jg24518	Roisl.0039s0128.1.p
OG0004085	jg16606, jg24538	Roisl.0039s0148.1.p
OG0004086	jg24681	Roisl.0079s0122.1.p
OG0004087	jg25245	Roisl.0074s0718.1.p
OG0004088	jg25328	Roisl.0074s0644.1.p
OG0004089	jg25432	Roisl.0074s0546.1.p, Roisl.0074s0548.1.p
OG0004090	jg12085, jg12054, jg25561	Roisl.0074s0433.1.p
OG0004091	jg25643	Roisl.0074s0347.1.p
OG0004092	jg25800	Roisl.0074s0228.1.p
OG0004093	jg25916	Roisl.0074s0141.1.p
OG0004094	jg26122	Roisl.0115s0288.1.p
OG0004095	jg21504, jg21535	Roisl.0036s0057.1.p, Roisl.0036s0078.1.p
OG0004096	jg13788, jg13786	Roisl.0184s0222.1.p
OG0004098	jg26610	Roisl.0053s0328.1.p
OG0004099	jg26591	Roisl.0053s0349.1.p
OG0004100	jg26520	Roisl.0115s0637.1.p
OG0004101	jg26519	Roisl.0115s0636.1.p
OG0004102	jg26348	Roisl.0115s0502.1.p, Roisl.0115s0503.1.p, Roisl.0115s0501.1.p
OG0004103	jg2498	Roisl.0019s0599.1.p, Roisl.0019s0626.1.p
OG0004104	jg21592, jg21593	Roisl.0198s0002.1.p
OG0004104	jg14640	Roisl.0209s0677.1.p
OG0004105	jg6871	Roisl.0046s0493.1.p
OG0004106	jg8218	Roisl.0015s0042.1.p
OG0004107	jg28490, jg33286	Roisl.0020s0180.1.p, Roisl.0210s0101.1.p
OG0004109	jg28984	Roisl.0091s0901.1.p
OG0004110	jg29121, jg29138	Roisl.0091s1061.1.p
OG0004111	jg1469, jg29258	Roisl.0089s0003.1.p
OG0004113	jg29517	Roisl.0021s0183.1.p
OG0004114	jg604	Roisl.0010s0115.1.p
OG0004114	jg29690	Roisl.0021s0337.1.p
OG0004115	jg29960	Roisl.0007s0661.1.p
OG0004116	jg30311	Roisl.0007s0344.1.p
OG0004117	jg30330	Roisl.0007s0329.1.p
OG0004118	jg2846	Roisl.0019s0297.1.p
OG0004119	jg21621, jg21620	Roisl.0076s0005.1.p
OG0004120	jg2777	Roisl.0019s0369.1.p
OG0004121	jg30963	Roisl.0019s0507.1.p
OG0004122	jg29728	Roisl.0021s0363.1.p
OG0004122	jg576	Roisl.0010s0128.1.p
OG0004124	jg412	Roisl.0050s0070.1.p
OG0004125	jg7808, jg7816	Roisl.0082s0304.1.p, Roisl.0012s0291.1.p, Roisl.0185s0023.1.p
OG0004126	jg27613	Roisl.0012s0301.1.p
OG0004127	jg14139, jg14137	Roisl.0037s0030.1.p
OG0004128	jg7764	Roisl.0082s0262.1.p
OG0004129	jg32897	Roisl.0013s0130.1.p
OG0004130	jg8586	Roisl.0001s0378.1.p
OG0004131	jg8705	Roisl.0001s0252.1.p
OG0004132	jg8745	Roisl.0001s0213.1.p
OG0004133	jg8993	Roisl.0008s0322.1.p
OG0004134	jg26654	Roisl.0053s0296.1.p
OG0004135	jg26680	Roisl.0053s0276.1.p
OG0004136	jg8182	Roisl.0191s0494.1.p
OG0004137	jg21991	Roisl.0031s0045.1.p
OG0004138	jg30989	Roisl.0191s0264.1.p
OG0004138	jg30988	Roisl.0191s0263.1.p
OG0004139	jg14092, jg7316, jg12165, jg27198, jg32633, jg1318, jg17388, jg32425, jg14924, jg14341, jg32323, jg1179, jg13579, jg17245, jg1951, jg20609, jg17124, jg1473, jg27703, jg17364, jg32062, jg11548	Roisl.0048s0001.1.p
OG0004141	jg1525, jg1529	Roisl.0194s0021.1.p, Roisl.0194s0009.1.p
OG0004142	jg7263, jg26695	Roisl.0066s0258.1.p
OG0004144	jg27146, jg27142, jg27151	Roisl.0038s0048.1.p
OG0004145	jg27297, jg11890, jg13849, jg6933, jg6846, jg6926, jg6929, jg11807, jg8258, jg6930, jg6927, jg6924, jg6923, jg6931, jg27296, jg27295, jg6936, jg6937	Roisl.0083s0023.1.p
OG0004146	jg17871	Roisl.0082s0665.1.p, Roisl.0091s1036.1.p
OG0004147	jg18277	Roisl.0017s0443.1.p
OG0004147	jg14010	Roisl.0082s0731.1.p
OG0004148	jg12920	Roisl.0011s0023.1.p
OG0004149	jg13547, jg13600	Roisl.0025s0010.1.p
OG0004150	jg16136	Roisl.0006s0547.1.p, Roisl.0018s0202.1.p
OG0004152	jg7121	Roisl.0020s0001.1.p
OG0004153	jg9723	Roisl.0022s0392.1.p
OG0004155	jg23295	Roisl.0024s0200.1.p
OG0004155	jg23296	Roisl.0024s0201.1.p
OG0004165	jg16853	Roisl.0021s0575.1.p
OG0004166	jg9357	Roisl.0003s0064.1.p
OG0004167	jg9351	Roisl.0003s0070.1.p
OG0004168	jg23290	Roisl.0024s0196.1.p
OG0004169	jg5568	Roisl.0210s1432.1.p
OG0004170	jg5514	Roisl.0210s1388.1.p
OG0004173	jg5426	Roisl.0210s1298.1.p
OG0004174	jg5341	Roisl.0210s1219.1.p
OG0004175	jg5336	Roisl.0210s1213.1.p
OG0004176	jg5322, jg5324	Roisl.0210s1203.1.p
OG0004177	jg30928	Roisl.0191s0195.1.p
OG0004178	jg5217	Roisl.0210s1103.1.p
OG0004179	jg21894, jg21895, jg21893	Roisl.0016s0389.1.p, Roisl.0075s0115.1.p
OG0004181	jg13715	Roisl.0188s0071.1.p
OG0004182	jg6376	Roisl.0046s0181.1.p
OG0004183	jg1325, jg1328, jg4751	Roisl.0210s0643.1.p, Roisl.0063s0001.1.p
OG0004184	jg4693	Roisl.0210s0590.1.p
OG0004185	jg4467, jg4482, jg4686	Roisl.0210s0584.1.p
OG0004186	jg9986, jg723	Roisl.0022s0129.1.p
OG0004187	jg17473, jg17474	Roisl.0010s0035.1.p
OG0004188	jg17560	Roisl.0209s0514.1.p
OG0004189	jg17626	Roisl.0204s0113.1.p
OG0004190	jg17661, jg20921	Roisl.0204s0066.1.p
OG0004191	jg17812	Roisl.0082s0605.1.p, Roisl.0082s0608.1.p
OG0004192	jg18077	Roisl.0033s0054.1.p
OG0004193	jg18082	Roisl.0033s0059.1.p
OG0004194	jg18091	Roisl.0033s0068.1.p
OG0004195	jg18178	Roisl.0033s0116.1.p
OG0004197	jg18251	Roisl.0017s0468.1.p
OG0004198	jg18289, jg18291	Roisl.0017s0432.1.p
OG0004199	jg32828	Roisl.0013s0171.1.p
OG0004200	jg32734	Roisl.0066s0347.1.p
OG0004201	jg32743	Roisl.0066s0336.1.p
OG0004202	jg31346	Roisl.0213s0084.1.p
OG0004203	jg31426	Roisl.0213s0159.1.p, Roisl.0028s0816.1.p
OG0004204	jg31498	Roisl.0213s0219.1.p, Roisl.0213s0221.1.p, Roisl.0213s0220.1.p
OG0004205	jg18543	Roisl.0028s0846.1.p
OG0004206	jg31571	Roisl.0213s0288.1.p
OG0004207	jg31600	Roisl.0213s0306.1.p
OG0004208	jg102, jg31616	Roisl.0213s0319.1.p
OG0004209	jg31656	Roisl.0213s0352.1.p, Roisl.0213s0353.1.p
OG0004210	jg31838	Roisl.0213s0493.1.p
OG0004211	jg13096	Roisl.0011s0185.1.p
OG0004212	jg23688	Roisl.0024s0568.1.p
OG0004213	jg23691	Roisl.0020s0068.1.p
OG0004214	jg23677	Roisl.0024s0560.1.p
OG0004215	jg23616	Roisl.0024s0494.1.p
OG0004216	jg11076, jg11396, jg11393	Roisl.0189s0087.1.p
OG0004217	jg23326	Roisl.0024s0232.1.p
OG0004218	jg23239	Roisl.0024s0154.1.p
OG0004219	jg33439	Roisl.0018s0371.1.p
OG0004220	jg28668, jg28403, jg23077	Roisl.0080s0122.1.p
OG0004221	jg23029	Roisl.0080s0177.1.p
OG0004222	jg10959	Roisl.0091s0687.1.p
OG0004223	jg20883	Roisl.0012s0110.1.p
OG0004223	jg20881	Roisl.0046s0017.1.p, Roisl.0032s0044.1.p
OG0004225	jg6365	Roisl.0046s0171.1.p
OG0004225	jg6364	Roisl.0046s0170.1.p
OG0004226	jg5843	Roisl.0210s1702.1.p
OG0004227	jg5933	Roisl.0210s1793.1.p
OG0004228	jg6035	Roisl.0210s1884.1.p
OG0004229	jg22854	Roisl.0080s0361.1.p
OG0004230	jg22824	Roisl.0080s0389.1.p
OG0004231	jg22667	Roisl.0080s0534.1.p
OG0004231	jg13120	Roisl.0011s0209.1.p
OG0004232	jg22561	Roisl.0080s0635.1.p
OG0004233	jg10228	Roisl.0091s0019.1.p
OG0004234	jg22419	Roisl.0080s0754.1.p
OG0004235	jg21513	Roisl.0046s0901.1.p, Roisl.0209s0450.1.p, Roisl.0032s0101.1.p
OG0004236	jg22301	Roisl.0179s0056.1.p, Roisl.0080s0861.1.p
OG0004237	jg7980	Roisl.0082s0442.1.p
OG0004238	jg7849	Roisl.0082s0402.1.p
OG0004239	jg4411	Roisl.0042s0025.1.p
OG0004240	jg24968	Roisl.0074s0992.1.p
OG0004241	jg4158	Roisl.0030s0139.1.p
OG0004242	jg4022	Roisl.0030s0006.1.p
OG0004243	jg3852	Roisl.0034s0043.1.p
OG0004244	jg12693	Roisl.0020s0006.1.p, Roisl.0184s0039.1.p, Roisl.0020s0004.1.p, Roisl.0214s0158.1.p, Roisl.0009s0155.1.p
OG0004245	jg12748	Roisl.0009s0105.1.p
OG0004245	jg12749	Roisl.0025s0024.1.p
OG0004246	jg3688	Roisl.0115s0119.1.p
OG0004247	jg3630	Roisl.0115s0188.1.p
OG0004249	jg3440	Roisl.0004s0128.1.p
OG0004250	jg24780	Roisl.0079s0223.1.p
OG0004251	jg33774	Roisl.0021s0497.1.p
OG0004252	jg5834	Roisl.0189s0122.1.p
OG0004252	jg31181	Roisl.0191s0437.1.p
OG0004253	jg33525	Roisl.0006s0393.1.p
OG0004254	jg11510	Roisl.0058s0043.1.p
OG0004255	jg19819	Roisl.0028s0125.1.p
OG0004256	jg2929	Roisl.0019s0202.1.p
OG0004257	jg21766	Roisl.0191s0253.1.p, Roisl.0191s0252.1.p
OG0004258	jg29774	Roisl.0021s0409.1.p
OG0004259	jg13615	Roisl.0025s0071.1.p
OG0004260	jg21742	Roisl.0012s0038.1.p
OG0004261	jg13528, jg13529	Roisl.0011s0568.1.p
OG0004262	jg13288, jg13289	Roisl.0011s0379.1.p
OG0004263	jg31055	Roisl.0191s0318.1.p
OG0004264	jg2525	Roisl.0019s0624.1.p
OG0004265	jg20446	Roisl.0005s0195.1.p
OG0004266	jg20474	Roisl.0005s0228.1.p
OG0004267	jg20539	Roisl.0005s0303.1.p
OG0004268	jg20580	Roisl.0005s0355.1.p
OG0004269	jg17376	Roisl.0029s0084.1.p
OG0004271	jg33278	Roisl.0006s0192.1.p
OG0004272	jg33344	Roisl.0006s0235.1.p
OG0004273	jg33415	Roisl.0006s0281.1.p
OG0004274	jg10735	Roisl.0091s0458.1.p
OG0004275	jg10739, jg10736	Roisl.0091s0461.1.p
OG0004276	jg10188	Roisl.0091s0500.1.p
OG0004277	jg10876	Roisl.0091s0595.1.p
OG0004278	jg14996	Roisl.0046s1063.1.p
OG0004279	jg10126	Roisl.0008s0178.1.p
OG0004280	jg10157	Roisl.0008s0143.1.p
OG0004281	jg21830	Roisl.0189s0212.1.p
OG0004282	jg10076	Roisl.0008s0220.1.p
OG0004283	jg18611	Roisl.0028s0908.1.p
OG0004284	jg10260	Roisl.0091s0057.1.p
OG0004285	jg10565	Roisl.0091s0303.1.p
OG0004286	jg10486	Roisl.0091s0247.1.p
OG0004287	jg10458	Roisl.0091s0220.1.p
OG0004288	jg10925	Roisl.0091s0648.1.p, Roisl.0091s0681.1.p
OG0004289	jg23920	Roisl.0016s0039.1.p
OG0004290	jg6509	Roisl.0046s0289.1.p, Roisl.0014s0037.1.p
OG0004291	jg16370	Roisl.0018s0439.1.p
OG0004292	jg16208	Roisl.0018s0276.1.p
OG0004295	jg15887	Roisl.0026s0030.1.p
OG0004296	jg15843	Roisl.0026s0067.1.p, Roisl.0026s0094.1.p
OG0004297	jg15838	Roisl.0026s0069.1.p
OG0004298	jg15785	Roisl.0026s0128.1.p
OG0004299	jg15162, jg15692	Roisl.0026s0208.1.p
OG0004300	jg15630	Roisl.0046s1665.1.p
OG0004301	jg15598	Roisl.0046s1632.1.p
OG0004302	jg15439	Roisl.0046s1496.1.p, Roisl.0046s1495.1.p
OG0004303	jg22061	Roisl.0031s0113.1.p
OG0004304	jg26735	Roisl.0053s0249.1.p
OG0004305	jg27931	Roisl.0066s0126.1.p
OG0004306	jg27963	Roisl.0066s0096.1.p
OG0004307	jg28026	Roisl.0066s0287.1.p
OG0004308	jg28133	Roisl.0214s0347.1.p
OG0004310	jg19395	Roisl.0028s0503.1.p
OG0004311	jg19357, jg19362	Roisl.0028s0532.1.p, Roisl.0028s0533.1.p
OG0004312	jg19340	Roisl.0028s0550.1.p
OG0004313	jg19251	Roisl.0017s0403.1.p
OG0004314	jg19134	Roisl.0017s0290.1.p
OG0004315	jg19050	Roisl.0017s0229.1.p
OG0004316	jg18917	Roisl.0017s0106.1.p
OG0004317	jg7605	Roisl.0213s0517.1.p
OG0004318	jg16833	Roisl.0006s0557.1.p
OG0004319	jg31196	Roisl.0191s0455.1.p
OG0004320	jg28763	Roisl.0210s0381.1.p, Roisl.0036s0124.1.p
OG0004321	jg14406	Roisl.0209s0329.1.p
OG0004322	jg6553	Roisl.0046s0319.1.p
OG0004323	jg6613	Roisl.0046s0376.1.p
OG0004324	jg6623	Roisl.0046s0384.1.p
OG0004325	jg6637	Roisl.0046s0391.1.p, Roisl.0014s0058.1.p
OG0004326	jg20112	Roisl.0035s0034.1.p
OG0004327	jg20110	Roisl.0035s0035.1.p
OG0004328	jg20059	Roisl.0035s0088.1.p, Roisl.0184s0100.1.p
OG0004330	jg31102	Roisl.0191s0364.1.p
OG0004331	jg26321	Roisl.0053s0311.1.p, Roisl.0115s0477.1.p
OG0004332	jg19964	Roisl.0035s0181.1.p
OG0004334	jg19639	Roisl.0028s0297.1.p
OG0004335	jg19633	Roisl.0028s0302.1.p
OG0004336	jg19609	Roisl.0028s0328.1.p
OG0004337	jg20330	Roisl.0005s0057.1.p
OG0004338	jg20337	Roisl.0005s0063.1.p
OG0004339	jg20352	Roisl.0005s0076.1.p
OG0004340	jg24504	Roisl.0039s0115.1.p
OG0004341	jg24527	Roisl.0039s0137.1.p
OG0004342	jg24619	Roisl.0079s0054.1.p
OG0004343	jg24625	Roisl.0079s0065.1.p
OG0004344	jg24746	Roisl.0079s0189.1.p
OG0004345	jg24936	Roisl.0074s1019.1.p
OG0004346	jg25070	Roisl.0074s0884.1.p
OG0004347	jg25138	Roisl.0074s0819.1.p
OG0004348	jg25156	Roisl.0074s0799.1.p
OG0004348	jg4445	Roisl.0210s0395.1.p
OG0004349	jg25215	Roisl.0074s0747.1.p
OG0004350	jg25282	Roisl.0074s0685.1.p
OG0004351	jg25327	Roisl.0074s0645.1.p
OG0004352	jg25380	Roisl.0074s0598.1.p
OG0004353	jg25416	Roisl.0074s0564.1.p
OG0004354	jg25429	Roisl.0074s0551.1.p
OG0004355	jg25501	Roisl.0074s0482.1.p
OG0004356	jg25570	Roisl.0074s0425.1.p
OG0004357	jg25581	Roisl.0074s0418.1.p
OG0004358	jg25584	Roisl.0074s0414.1.p, Roisl.0184s0185.1.p
OG0004359	jg25640, jg25642	Roisl.0074s0348.1.p
OG0004360	jg28295	Roisl.0214s0462.1.p, Roisl.0214s0495.1.p, Roisl.0214s0463.1.p
OG0004361	jg25799	Roisl.0074s0229.1.p
OG0004362	jg26001	Roisl.0074s0063.1.p
OG0004363	jg26037	Roisl.0074s0033.1.p
OG0004364	jg26103	Roisl.0115s0266.1.p
OG0004365	jg26173	Roisl.0115s0338.1.p, Roisl.0115s0337.1.p
OG0004366	jg26203	Roisl.0115s0370.1.p
OG0004367	jg26260	Roisl.0115s0425.1.p
OG0004368	jg26285	Roisl.0115s0444.1.p
OG0004370	jg12240	Roisl.0064s0034.1.p
OG0004372	jg21297	Roisl.0041s0029.1.p, Roisl.0208s0012.1.p
OG0004373	jg26640	Roisl.0053s0303.1.p
OG0004374	jg26574	Roisl.0053s0368.1.p
OG0004375	jg26466	Roisl.0115s0590.1.p
OG0004376	jg26391	Roisl.0115s0540.1.p
OG0004377	jg26370	Roisl.0115s0525.1.p
OG0004378	jg26369	Roisl.0115s0524.1.p
OG0004379	jg26339	Roisl.0115s0493.1.p
OG0004380	jg1860	Roisl.0022s0028.1.p
OG0004381	jg5712	Roisl.0210s1575.1.p
OG0004382	jg15052	Roisl.0046s1116.1.p, Roisl.0046s1120.1.p
OG0004383	jg15041	Roisl.0046s1103.1.p
OG0004384	jg28536	Roisl.0210s0181.1.p
OG0004385	jg28663	Roisl.0210s0284.1.p
OG0004387	jg28945	Roisl.0091s0861.1.p
OG0004388	jg29146	Roisl.0091s1069.1.p
OG0004391	jg29346	Roisl.0021s0016.1.p
OG0004392	jg29628	Roisl.0021s0275.1.p
OG0004393	jg29698	Roisl.0021s0343.1.p
OG0004394	jg29703	Roisl.0021s0349.1.p
OG0004395	jg29732	Roisl.0021s0366.1.p
OG0004396	jg8011	Roisl.0007s0477.1.p
OG0004397	jg30693	Roisl.0049s0052.1.p
