Orthogroup	Arabidopsis_arenosa	Raphanus_sativus
OG0000639	jg20027	XP_018442037.1, XP_018442016.1, XP_018465207.1, XP_018465847.1
OG0000640	jg17301, jg16638, jg7235, jg7239, jg9506	XP_018467789.1, XP_018473813.1, XP_018435810.1
OG0000641	jg22542	XP_018456813.1, XP_018474802.1, XP_018476206.1
OG0000641	jg9501, jg28170	XP_018470644.1
OG0000642	jg20045	XP_018472634.1, XP_018480963.1
OG0000642	jg20044	XP_018441003.1
OG0000643	jg24894	XP_018452783.1
OG0000643	jg4029	XP_018437364.1, XP_018446142.1, XP_018473354.1, XP_018432649.1, XP_018460139.1, XP_018434551.1, XP_018471930.1
OG0000644	jg12687	XP_018455832.1, XP_018459464.1, XP_018459463.1
OG0000645	jg15742	XP_018448205.1, XP_018484425.1, XP_018482290.1, XP_018482288.1, XP_018450182.1
OG0000646	jg15274	XP_018493523.1, XP_018442533.1
OG0000648	jg24833	XP_018469432.1
OG0000649	jg30331	XP_018441574.1, XP_018446748.1
OG0000649	jg32943	XP_018492088.1
OG0000650	jg26039	XP_018464617.1
OG0000650	jg27622	XP_018438143.1, XP_018488161.1
OG0000650	jg8969	XP_018447489.1, XP_018450408.1
OG0000652	jg24137	XP_018490659.1, XP_018493208.1, XP_018490663.1, XP_018493211.1
OG0000652	jg5528, jg5527, jg5529	XP_018445142.1
OG0000653	jg9978	XP_018471124.1
OG0000655	jg25476	XP_018486243.1, XP_018491167.1, XP_018491166.1
OG0000656	jg13121	XP_018457043.1, XP_018457040.1, XP_018441632.1, XP_018478851.1
OG0000656	jg29875	XP_018436306.1, XP_018437300.1, XP_018433534.1
OG0000660	jg22455	XP_018463195.1, XP_018453569.1
OG0000660	jg22454	XP_018466349.1
OG0000660	jg6374	XP_018466487.1
OG0000660	jg2339, jg1451	XP_018459693.1
OG0000660	jg1450	XP_018466338.1
OG0000661	jg20170	XP_018433204.1, XP_018478107.1
OG0000661	jg28590	XP_018450702.1, XP_018492614.1
OG0000661	jg7985	XP_018451972.1
OG0000662	jg20023	XP_018459725.1
OG0000662	jg31068, jg31060, jg32001, jg31999, jg31063, jg31071, jg31062, jg31070	XP_018437563.1, XP_018437624.1, XP_018473908.1
OG0000663	jg30377	XP_018447363.1, XP_018433501.1, XP_018473549.1
OG0000663	jg3057, jg3055	XP_018468147.1, XP_018443048.1, XP_018443041.1
OG0000664	jg519	XP_018455787.1
OG0000664	jg520	XP_018460477.1, XP_018455501.1
OG0000665	jg30012	XP_018462275.1, XP_018488842.1, XP_018449209.1, XP_018467269.1, XP_018432885.1, XP_018438367.1, XP_018438371.1, XP_018486255.1
OG0000666	jg10136	XP_018447147.1
OG0000666	jg10135	XP_018450048.1
OG0000667	jg16134, jg8236	XP_018441951.1, XP_018483892.1, XP_018474548.1, XP_018488450.1, XP_018443963.1, XP_018480632.1, XP_018488422.1, XP_018467498.1
OG0000668	jg26182	XP_018435555.1
OG0000669	jg7297, jg32073	XP_018493577.1, XP_018459682.1, XP_018458870.1, XP_018463905.1, XP_018473027.1, XP_018441333.1
OG0000672	jg7542	XP_018482404.1
OG0000673	jg28860, jg28859	XP_018490199.1, XP_018490200.1, XP_018438500.1, XP_018449908.1, XP_018450033.1
OG0000674	jg32794, jg11554, jg13202, jg13204, jg13203, jg13205, jg25151	XP_018448827.1, XP_018458975.1, XP_018487503.1, XP_018473940.1
OG0000678	jg4725	XP_018476747.1
OG0000678	jg4724, jg4726	XP_018471739.1, XP_018471735.1, XP_018471587.1, XP_018471182.1, XP_018446423.1, XP_018443363.1, XP_018476619.1
OG0000679	jg18279, jg3680, jg30084	XP_018473291.1, XP_018473277.1
OG0000680	jg31455	XP_018493025.1, XP_018435471.1
OG0000681	jg3771	XP_018446065.1, XP_018446062.1
OG0000681	jg25639, jg27276	XP_018492767.1, XP_018440843.1
OG0000681	jg33426	XP_018451227.1, XP_018492654.1, XP_018434253.1
OG0000682	jg27025	XP_018437933.1, XP_018436307.1
OG0000683	jg13733	XP_018439099.1
OG0000683	jg23996	XP_018433504.1, XP_018488830.1
OG0000683	jg12511, jg12510	XP_018482043.1
OG0000684	jg19597	XP_018463536.1
OG0000684	jg15901	XP_018480161.1, XP_018480159.1, XP_018488031.1
OG0000684	jg15902	XP_018485396.1
OG0000685	jg24063	XP_018440368.1, XP_018440291.1, XP_018438271.1, XP_018491252.1
OG0000685	jg22144	XP_018454893.1
OG0000686	jg31036, jg32202	XP_018450980.1, XP_018450440.1
OG0000687	jg32585	XP_018489215.1
OG0000689	jg17627	XP_018454165.1
OG0000689	jg13883, jg11719	XP_018461805.1
OG0000690	jg9057	XP_018444799.1, XP_018462037.1
OG0000691	jg5409	XP_018445411.1
OG0000691	jg5411	XP_018443082.1
OG0000691	jg24052	XP_018489226.1
OG0000692	jg15110, jg15107, jg15108, jg15109, jg15104	XP_018479257.1
OG0000693	jg15323, jg18223, jg11941	XP_018482876.1, XP_018482877.1, XP_018482875.1, XP_018475758.1, XP_018475759.1, XP_018475757.1
OG0000694	jg18323, jg18324, jg18325	XP_018477291.1, XP_018482998.1
OG0000694	jg11191, jg11192	XP_018449651.1, XP_018448700.1
OG0000695	jg10990	XP_018460245.1, XP_018453706.1, XP_018480612.1, XP_018478174.1
OG0000695	jg19905	XP_018464208.1, XP_018444964.1, XP_018476409.1
OG0000696	jg14771	XP_018437292.1, XP_018485633.1, XP_018485758.1, XP_018463091.1
OG0000696	jg9671	XP_018470366.1, XP_018470364.1
OG0000697	jg7014, jg22948	XP_018469452.1, XP_018469278.1
OG0000699	jg16630	XP_018435523.1, XP_018438706.1
OG0000700	jg33255	XP_018448838.1, XP_018488108.1, XP_018489248.1
OG0000700	jg33205	XP_018487331.1, XP_018486600.1, XP_018480112.1, XP_018480123.1
OG0000701	jg24650, jg22155, jg22181	XP_018490610.1
OG0000701	jg12639	XP_018479661.1
OG0000702	jg19469	XP_018441016.1
OG0000702	jg15757	XP_018458785.1, XP_018493251.1, XP_018458786.1
OG0000702	jg15758	XP_018442463.1
OG0000703	jg19220	XP_018477722.1, XP_018433722.1
OG0000703	jg18797	XP_018475694.1, XP_018440566.1
OG0000703	jg15530	XP_018478381.1
OG0000704	jg6629	XP_018454576.1, XP_018478498.1, XP_018433003.1, XP_018440240.1
OG0000705	jg19236	XP_018476681.1
OG0000705	jg24843	XP_018439329.1, XP_018493606.1, XP_018466220.1, XP_018492897.1, XP_018489491.1
OG0000706	jg20091	XP_018437511.1, XP_018481594.1
OG0000706	jg8090	XP_018452409.1, XP_018452545.1
OG0000706	jg28523	XP_018432605.1
OG0000707	jg19759	XP_018461824.1, XP_018441961.1, XP_018477601.1, XP_018463229.1, XP_018473095.1
OG0000707	jg12915	XP_018456669.1, XP_018433492.1, XP_018440270.1
OG0000708	jg25698	XP_018440478.1
OG0000708	jg25697, jg25696	XP_018486986.1
OG0000708	jg25701	XP_018491619.1
OG0000709	jg21001	XP_018457142.1, XP_018457143.1
OG0000710	jg16811	XP_018449984.1
OG0000710	jg17059, jg17057	XP_018481204.1, XP_018440592.1
OG0000710	jg9446	XP_018474661.1, XP_018436003.1
OG0000711	jg10114	XP_018487978.1
OG0000711	jg1803, jg16860	XP_018462342.1, XP_018435986.1
OG0000714	jg17744, jg17748, jg17745, jg17749, jg17782	XP_018438597.1, XP_018479820.1, XP_018464135.1, XP_018479819.1, XP_018487383.1, XP_018473614.1
OG0000715	jg14776	XP_018468441.1, XP_018464528.1
OG0000716	jg25329	XP_018486599.1
OG0000716	jg22529	XP_018476220.1
OG0000717	jg29905	XP_018445312.1, XP_018447724.1, XP_018467325.1, XP_018434259.1, XP_018447730.1
OG0000717	jg2566	XP_018452425.1, XP_018446056.1, XP_018442214.1, XP_018442301.1
OG0000718	jg13303	XP_018480769.1, XP_018482812.1
OG0000719	jg21878	XP_018476835.1, XP_018449581.1
OG0000719	jg21876	XP_018447527.1, XP_018476837.1
OG0000720	jg16341, jg28245, jg14836	XP_018460340.1, XP_018484503.1, XP_018484502.1
OG0000721	jg19426	XP_018435521.1
OG0000722	jg10860, jg10861	XP_018461956.1
OG0000723	jg13042	XP_018435704.1
OG0000723	jg13041, jg13040	XP_018480604.1, XP_018462738.1, XP_018437620.1, XP_018462615.1
OG0000724	jg1966	XP_018474497.1, XP_018450560.1, XP_018450559.1
OG0000725	jg21758	XP_018464502.1, XP_018458859.1, XP_018487587.1, XP_018487586.1, XP_018458858.1, XP_018463251.1
OG0000726	jg23705	XP_018477825.1
OG0000727	jg32201	XP_018467114.1, XP_018453777.1, XP_018462778.1, XP_018443338.1, XP_018467478.1, XP_018479273.1, XP_018484801.1, XP_018436416.1
OG0000728	jg5587	XP_018475637.1, XP_018461386.1
OG0000728	jg24190	XP_018487399.1
OG0000729	jg14774	XP_018437770.1, XP_018463092.1, XP_018489207.1, XP_018468390.1
OG0000730	jg18280	XP_018439634.1
OG0000730	jg30083	XP_018436659.1
OG0000731	jg31508, jg31511	XP_018434454.1
OG0000732	jg6398, jg6397	XP_018434704.1
OG0000734	jg14522	XP_018472544.1, XP_018472542.1
OG0000735	jg20854, jg22914, jg6107	XP_018475412.1
OG0000735	jg6105	XP_018443417.1, XP_018444324.1, XP_018473962.1, XP_018469698.1
OG0000736	jg22863	XP_018473397.1, XP_018468713.1
OG0000736	jg22865	XP_018474681.1
OG0000737	jg7958	XP_018457330.1, XP_018457360.1, XP_018476448.1
OG0000738	jg4113	XP_018444424.1
OG0000738	jg18782	XP_018483482.1
OG0000739	jg13784, jg3684	XP_018464273.1, XP_018464163.1, XP_018478073.1, XP_018481790.1, XP_018481795.1
OG0000740	jg3506	XP_018457630.1, XP_018471111.1, XP_018445764.1
OG0000740	jg32168	XP_018493153.1
OG0000741	jg3081	XP_018445112.1, XP_018456568.1, XP_018445085.1
OG0000742	jg33386	XP_018465114.1, XP_018490718.1
OG0000742	jg33382	XP_018461380.1, XP_018450610.1
OG0000744	jg16180	XP_018481714.1
OG0000745	jg9487	XP_018470719.1, XP_018480925.1, XP_018467361.1
OG0000745	jg9833	XP_018447084.1, XP_018450361.1, XP_018448371.1
OG0000747	jg25749, jg7994	XP_018452458.1
OG0000747	jg28587	XP_018447361.1, XP_018440212.1, XP_018486155.1
OG0000748	jg991, jg972, jg971, jg973, jg974	XP_018467541.1, XP_018467294.1, XP_018455755.1, XP_018438607.1, XP_018438492.1
OG0000749	jg21536, jg11386, jg11583, jg11459, jg11374	XP_018458991.1, XP_018482171.1, XP_018439916.1
OG0000751	jg808, jg32895	XP_018468036.1, XP_018444633.1, XP_018481220.1, XP_018443662.1, XP_018468038.1, XP_018468041.1
OG0000751	jg809	XP_018446830.1, XP_018468039.1, XP_018444793.1
OG0000753	jg5680	XP_018460354.1
OG0000753	jg9686	XP_018483560.1, XP_018478105.1
OG0000761	jg13905	XP_018457970.1
OG0000761	jg14743	XP_018463254.1, XP_018460650.1, XP_018441186.1
OG0000762	jg24181	XP_018435264.1
OG0000763	jg5151, jg5150	XP_018476562.1
OG0000764	jg16653	XP_018438871.1, XP_018438859.1, XP_018484540.1
OG0000764	jg4847	XP_018446836.1
OG0000764	jg8480	XP_018472123.1
OG0000765	jg11066, jg12670, jg12694, jg18146, jg6336	XP_018487990.1, XP_018480095.1
OG0000766	jg6087	XP_018474500.1
OG0000766	jg14210	XP_018464122.1
OG0000767	jg4512	XP_018476983.1, XP_018481550.1, XP_018442195.1
OG0000768	jg4188	XP_018474767.1
OG0000769	jg3768	XP_018460716.1
OG0000769	jg13948	XP_018459102.1, XP_018463753.1
OG0000770	jg3257	XP_018446993.1
OG0000770	jg8314	XP_018441151.1, XP_018450724.1
OG0000771	jg23719	XP_018457879.1, XP_018433287.1, XP_018466948.1
OG0000771	jg14942, jg14941	XP_018436111.1
OG0000772	jg2184	XP_018470551.1
OG0000772	jg12325	XP_018483877.1
OG0000774	jg9824	XP_018478674.1, XP_018471993.1, XP_018471922.1, XP_018450364.1, XP_018447082.1
OG0000775	jg30585	XP_018458483.1
OG0000776	jg30654, jg30655, jg30653	XP_018434112.1, XP_018462207.1, XP_018434864.1
OG0000777	jg23965, jg23966	XP_018453426.1, XP_018436440.1, XP_018436437.1
OG0000777	jg23968	XP_018479616.1
OG0000781	jg17906	XP_018483109.1, XP_018462181.1, XP_018437332.1
OG0000782	jg11370	XP_018451203.1, XP_018484062.1
OG0000782	jg26624, jg28889	XP_018447524.1
OG0000783	jg21117, jg18394	XP_018474112.1, XP_018474125.1, XP_018435551.1, XP_018474114.1
OG0000784	jg18476	XP_018482770.1
OG0000784	jg31345	XP_018450062.1, XP_018449271.1
OG0000785	jg6136	XP_018463947.1, XP_018477323.1
OG0000787	jg22572	XP_018476969.1, XP_018452079.1
OG0000787	jg15206	XP_018484029.1
OG0000788	jg32421	XP_018443037.1
OG0000788	jg9051	XP_018459255.1, XP_018471053.1
OG0000788	jg4219	XP_018445561.1
OG0000789	jg18918, jg15310	XP_018488991.1, XP_018443984.1
OG0000789	jg3980	XP_018478208.1, XP_018478226.1
OG0000790	jg31209	XP_018466233.1, XP_018450603.1
OG0000791	jg30302, jg17000, jg16985	XP_018462375.1, XP_018488962.1, XP_018489018.1
OG0000792	jg33749, jg33608, jg33546, jg33609	XP_018448889.1, XP_018435330.1
OG0000793	jg25511	XP_018490687.1
OG0000793	jg33536	XP_018450814.1
OG0000793	jg19576	XP_018436534.1, XP_018483473.1
OG0000794	jg13630	XP_018479378.1, XP_018479376.1
OG0000794	jg13621	XP_018462694.1, XP_018462081.1
OG0000795	jg13678	XP_018449257.1
OG0000796	jg13243	XP_018454121.1, XP_018484586.1
OG0000796	jg31164	XP_018479243.1, XP_018479227.1, XP_018451545.1
OG0000797	jg14496	XP_018439383.1
OG0000797	jg14502	XP_018468637.1
OG0000798	jg7453	XP_018453061.1, XP_018462739.1, XP_018475685.1, XP_018481882.1
OG0000799	jg33360	XP_018435752.1
OG0000799	jg33356	XP_018489572.1
OG0000800	jg11720	XP_018468562.1, XP_018484181.1, XP_018447698.1
OG0000800	jg26949	XP_018489104.1
OG0000801	jg16333	XP_018493079.1
OG0000801	jg28582	XP_018462079.1, XP_018489918.1
OG0000801	jg8009	XP_018471830.1
OG0000802	jg657, jg661, jg15467, jg15468	XP_018493418.1
OG0000802	jg27921	XP_018491973.1
OG0000803	jg19730	XP_018456347.1, XP_018474924.1, XP_018436586.1
OG0000803	jg19731	XP_018434677.1
OG0000804	jg24849	XP_018440930.1, XP_018441810.1
OG0000804	jg2071, jg2077, jg2075	XP_018492698.1, XP_018492703.1, XP_018489291.1
OG0000805	jg25201	XP_018438260.1, XP_018461726.1
OG0000808	jg17636, jg22014, jg22010, jg22012	XP_018469754.1, XP_018469582.1, XP_018469560.1, XP_018469756.1, XP_018469559.1
OG0000812	jg21716, jg14675	XP_018468347.1, XP_018470186.1, XP_018480557.1, XP_018474807.1, XP_018482306.1, XP_018434633.1
OG0000813	jg1251, jg1262	XP_018446825.1
OG0000813	jg2042, jg2041	XP_018439004.1
OG0000814	jg29600	XP_018458313.1, XP_018458311.1
OG0000814	jg14945	XP_018475647.1
OG0000816	jg22300	XP_018480534.1
OG0000816	jg33661	XP_018447687.1, XP_018488678.1
OG0000817	jg4336	XP_018445576.1, XP_018445237.1
OG0000817	jg28110, jg28109, jg25078, jg25077, jg25076	XP_018441707.1
OG0000818	jg16714, jg3860	XP_018470012.1, XP_018470013.1
OG0000818	jg3861	XP_018464712.1, XP_018464734.1
OG0000818	jg3859	XP_018474209.1
OG0000819	jg18768	XP_018484331.1, XP_018466502.1
OG0000819	jg12775, jg14174	XP_018443703.1, XP_018443714.1
OG0000820	jg13313	XP_018438542.1, XP_018438674.1
OG0000820	jg13314	XP_018455350.1
OG0000820	jg13311, jg13310	XP_018462418.1, XP_018434601.1
OG0000823	jg33058, jg14026, jg14027, jg2447	XP_018488053.1
OG0000824	jg26166	XP_018492721.1
OG0000825	jg25817, jg25816, jg25818	XP_018488255.1, XP_018488254.1, XP_018490444.1, XP_018490445.1
OG0000826	jg29013	XP_018467337.1, XP_018492892.1, XP_018472632.1
OG0000827	jg1163	XP_018433182.1, XP_018457379.1
OG0000827	jg29371	XP_018432640.1, XP_018466361.1
OG0000827	jg18184	XP_018448141.1
OG0000828	jg31093	XP_018447443.1, XP_018460428.1, XP_018441867.1, XP_018441904.1, XP_018433973.1
OG0000828	jg29864	XP_018436027.1
OG0000828	jg2524	XP_018453111.1
OG0000829	jg1828, jg1830, jg1823, jg1707	XP_018462004.1, XP_018488160.1, XP_018469036.1, XP_018452122.1, XP_018452150.1
OG0000831	jg10305	XP_018483117.1
OG0000832	jg17854	XP_018434695.1
OG0000832	jg22860	XP_018476768.1
OG0000834	jg8095	XP_018468323.1
OG0000834	jg28521	XP_018492246.1
OG0000836	jg6084, jg6489, jg6488	XP_018482156.1, XP_018479308.1
OG0000837	jg2132, jg2130, jg6025, jg6019, jg5565, jg6017, jg6021	XP_018475276.1, XP_018475434.1, XP_018474254.1, XP_018474250.1, XP_018474251.1, XP_018474259.1, XP_018474256.1, XP_018474253.1, XP_018448346.1
OG0000839	jg4020	XP_018476713.1, XP_018445523.1
OG0000839	jg24889	XP_018493547.1, XP_018467244.1, XP_018440536.1, XP_018493498.1
OG0000841	jg21626	XP_018452298.1
OG0000842	jg33086	XP_018451794.1, XP_018479911.1
OG0000842	jg33087	XP_018465084.1, XP_018458392.1
OG0000843	jg20075	XP_018480814.1, XP_018436699.1
OG0000843	jg8149	XP_018453096.1
OG0000844	jg15605	XP_018459234.1, XP_018485858.1
OG0000845	jg7391	XP_018452764.1, XP_018450186.1
OG0000845	jg12014, jg31966, jg31967	XP_018432644.1, XP_018454658.1, XP_018441969.1
OG0000846	jg6538, jg6537	XP_018482921.1, XP_018477709.1
OG0000850	jg849, jg850, jg852	XP_018459403.1
OG0000851	jg8416	XP_018485050.1
OG0000851	jg16766	XP_018450354.1, XP_018435205.1, XP_018439266.1
OG0000851	jg8415	XP_018485048.1
OG0000852	jg5732	XP_018476249.1
OG0000852	jg7670	XP_018473664.1, XP_018473665.1, XP_018453798.1
OG0000857	jg14283	XP_018443763.1, XP_018443756.1
OG0000857	jg1750, jg4951	XP_018445381.1, XP_018445408.1
OG0000858	jg3200	XP_018460239.1
OG0000858	jg20963	XP_018460393.1, XP_018481937.1, XP_018433250.1
OG0000859	jg5919, jg5905	XP_018445052.1
OG0000860	jg6134	XP_018443256.1
OG0000861	jg23019	XP_018471876.1, XP_018444593.1
OG0000861	jg14269	XP_018438224.1
OG0000861	jg14268	XP_018439382.1
OG0000862	jg10150, jg10149	XP_018474128.1
OG0000863	jg3643	XP_018447024.1
OG0000863	jg25235	XP_018490884.1, XP_018440584.1, XP_018432578.1
OG0000864	jg11179	XP_018480600.1, XP_018479758.1
OG0000865	jg14343, jg14340	XP_018437119.1, XP_018437621.1, XP_018439686.1
OG0000866	jg17233	XP_018493393.1
OG0000867	jg20328	XP_018452336.1, XP_018477460.1, XP_018453323.1, XP_018440370.1
OG0000867	jg10866	XP_018463643.1, XP_018484088.1, XP_018451204.1, XP_018471809.1
OG0000868	jg14879	XP_018439322.1
OG0000868	jg14882	XP_018437744.1
OG0000868	jg14884	XP_018467553.1
OG0000870	jg15594	XP_018461217.1
OG0000870	jg2066	XP_018475089.1, XP_018471640.1, XP_018488912.1, XP_018488911.1
OG0000871	jg18903, jg18906	XP_018441375.1, XP_018484215.1
OG0000871	jg15302	XP_018442409.1, XP_018432937.1
OG0000872	jg20671, jg17154, jg17149	XP_018490871.1
OG0000872	jg19800	XP_018483985.1
OG0000873	jg24562	XP_018487429.1
OG0000873	jg24564	XP_018443261.1
OG0000874	jg29813, jg29812	XP_018438996.1, XP_018434320.1
OG0000874	jg29814	XP_018449347.1, XP_018460556.1
OG0000876	jg835, jg834	XP_018438802.1
OG0000877	jg27673, jg27674	XP_018453943.1, XP_018453945.1
OG0000882	jg29640	XP_018487783.1
OG0000882	jg31753, jg18695	XP_018492616.1
OG0000884	jg22307	XP_018475649.1
OG0000886	jg20122	XP_018464410.1
OG0000887	jg32196	XP_018489575.1
OG0000887	jg32195, jg32207, jg32206, jg32199, jg32198	XP_018487846.1
OG0000887	jg32224, jg32208	XP_018487847.1
OG0000889	jg10403	XP_018468729.1, XP_018469371.1
OG0000890	jg5682	XP_018486572.1, XP_018435129.1, XP_018486515.1, XP_018472868.1, XP_018443998.1, XP_018443130.1
OG0000893	jg4972	XP_018487320.1
OG0000893	jg4967, jg4971	XP_018467562.1, XP_018446492.1
OG0000894	jg16754	XP_018443979.1
OG0000894	jg23642	XP_018440933.1
OG0000894	jg14863	XP_018440873.1
OG0000895	jg5886, jg5952	XP_018443450.1
OG0000895	jg21290, jg27698	XP_018446480.1
OG0000897	jg4451, jg4440	XP_018445477.1, XP_018476417.1, XP_018469741.1
OG0000897	jg25143	XP_018493037.1, XP_018489790.1, XP_018460959.1
OG0000898	jg4293	XP_018476517.1, XP_018474611.1, XP_018446077.1, XP_018446090.1, XP_018468591.1
OG0000898	jg25029	XP_018435213.1, XP_018492608.1
OG0000899	jg3547	XP_018472203.1, XP_018469725.1
OG0000899	jg3549	XP_018457158.1
OG0000901	jg15536, jg15518	XP_018490983.1, XP_018438251.1, XP_018489194.1
OG0000902	jg19422, jg19423	XP_018443497.1, XP_018443499.1
OG0000903	jg9507, jg9508	XP_018475125.1, XP_018450975.1
OG0000903	jg9509	XP_018460075.1, XP_018477277.1, XP_018450974.1
OG0000904	jg26050	XP_018439798.1, XP_018464403.1, XP_018488750.1, XP_018491681.1
OG0000904	jg33079	XP_018451631.1, XP_018451650.1, XP_018434284.1, XP_018493315.1
OG0000905	jg10635	XP_018450891.1
OG0000906	jg10087	XP_018482582.1
OG0000906	jg10086	XP_018469937.1, XP_018469936.1
OG0000907	jg23903	XP_018486861.1, XP_018487380.1
OG0000907	jg23902	XP_018454107.1, XP_018479360.1
OG0000907	jg19776	XP_018484479.1
OG0000908	jg15877	XP_018478094.1, XP_018491522.1, XP_018446787.1, XP_018465392.1
OG0000908	jg19566	XP_018436552.1, XP_018436553.1, XP_018476480.1, XP_018483637.1, XP_018482781.1
OG0000910	jg19081	XP_018475266.1
OG0000910	jg12157	XP_018463773.1
OG0000911	jg8403	XP_018483411.1
OG0000911	jg16590	XP_018438688.1, XP_018482392.1, XP_018482405.1
OG0000912	jg24471	XP_018462652.1, XP_018433457.1, XP_018438856.1, XP_018490741.1, XP_018490290.1, XP_018488558.1
OG0000912	jg6610	XP_018477981.1, XP_018452709.1
OG0000913	jg24070	XP_018493587.1, XP_018490613.1
OG0000914	jg8126	XP_018473411.1, XP_018452323.1, XP_018463921.1, XP_018448007.1
OG0000914	jg28485, jg28488	XP_018473037.1
OG0000915	jg8160	XP_018474394.1, XP_018474393.1, XP_018453052.1
OG0000916	jg29783	XP_018450253.1, XP_018450251.1, XP_018462934.1
OG0000917	jg30806	XP_018449356.1, XP_018448283.1
OG0000917	jg30805	XP_018490490.1
OG0000920	jg10479	XP_018467705.1
OG0000920	jg13278	XP_018444619.1, XP_018443391.1, XP_018443389.1
OG0000923	jg14598	XP_018440994.1, XP_018488795.1
OG0000923	jg23222	XP_018457495.1, XP_018458213.1, XP_018491983.1
OG0000924	jg11516	XP_018477815.1, XP_018433141.1
OG0000924	jg5442	XP_018445345.1, XP_018472759.1
OG0000925	jg6373	XP_018480744.1
OG0000925	jg4905	XP_018472530.1
OG0000927	jg17992	XP_018473911.1
OG0000927	jg4331	XP_018442223.1, XP_018472846.1
OG0000928	jg18107	XP_018482351.1, XP_018475828.1, XP_018475112.1
OG0000928	jg29024	XP_018486112.1, XP_018471445.1
OG0000929	jg18121, jg29018	XP_018472672.1, XP_018493462.1
OG0000929	jg18122	XP_018441507.1, XP_018476849.1, XP_018483165.1
OG0000930	jg6089	XP_018474246.1, XP_018463996.1, XP_018474248.1, XP_018474249.1, XP_018475474.1
OG0000930	jg6088, jg6092, jg7080	XP_018442343.1
OG0000931	jg15476	XP_018487027.1, XP_018477634.1
OG0000931	jg22862	XP_018467866.1
OG0000932	jg9631	XP_018478587.1, XP_018485218.1
OG0000933	jg12264, jg12275, jg31435, jg22657, jg22375	XP_018462721.1
OG0000933	jg22659	XP_018469043.1
OG0000934	jg22621	XP_018454332.1, XP_018454333.1
OG0000935	jg22372, jg12274, jg22376, jg12263	XP_018473522.1, XP_018470613.1, XP_018467069.1
OG0000936	jg8767	XP_018450136.1, XP_018450221.1
OG0000938	jg25455	XP_018486162.1
OG0000939	jg32270	XP_018447523.1
OG0000939	jg30781	XP_018434632.1, XP_018489857.1
OG0000940	jg31318	XP_018467772.1
OG0000940	jg9651	XP_018470235.1, XP_018470234.1, XP_018470229.1
OG0000942	jg9189	XP_018467822.1
OG0000943	jg14891	XP_018448740.1, XP_018489458.1
OG0000943	jg14890	XP_018470413.1, XP_018466662.1
OG0000944	jg14820	XP_018468994.1, XP_018469051.1, XP_018458699.1
OG0000944	jg14885	XP_018434765.1
OG0000946	jg29010	XP_018489736.1
OG0000947	jg20203	XP_018466366.1, XP_018437979.1, XP_018437980.1
OG0000947	jg16365	XP_018464258.1, XP_018489518.1, XP_018444206.1, XP_018481002.1
OG0000948	jg15726, jg15655	XP_018434270.1, XP_018443203.1
OG0000948	jg15729, jg15652	XP_018489242.1, XP_018489243.1
OG0000949	jg19166	XP_018477118.1, XP_018477119.1, XP_018439501.1, XP_018439493.1, XP_018473222.1
OG0000950	jg24621	XP_018470026.1
OG0000950	jg27008	XP_018465270.1
OG0000951	jg8755	XP_018449130.1, XP_018463972.1
OG0000951	jg27085, jg11955	XP_018492013.1, XP_018492044.1
OG0000952	jg29316	XP_018469118.1
OG0000952	jg29314	XP_018459389.1, XP_018459387.1, XP_018486545.1
OG0000954	jg24255	XP_018488327.1
OG0000955	jg29845, jg6616, jg6617	XP_018442799.1, XP_018437048.1, XP_018437091.1, XP_018437069.1, XP_018437058.1, XP_018472259.1, XP_018460873.1
OG0000956	jg2623	XP_018453289.1
OG0000956	jg9527	XP_018471515.1, XP_018451550.1
OG0000956	jg2619	XP_018460945.1
OG0000957	jg8434	XP_018468031.1
OG0000957	jg2577	XP_018468819.1, XP_018464190.1
OG0000957	jg8435	XP_018448357.1
OG0000959	jg507, jg510, jg493	XP_018461210.1
OG0000962	jg13195	XP_018457253.1, XP_018457255.1, XP_018437404.1, XP_018438131.1, XP_018481175.1, XP_018458390.1
OG0000963	jg5307	XP_018445207.1
OG0000963	jg27785, jg27786	XP_018487373.1
OG0000964	jg18250, jg18234	XP_018436314.1, XP_018436317.1, XP_018481665.1, XP_018479859.1, XP_018462794.1, XP_018482200.1, XP_018483167.1
OG0000965	jg9904	XP_018447285.1, XP_018472436.1, XP_018481824.1
OG0000965	jg21942	XP_018487033.1, XP_018433068.1
OG0000966	jg14722	XP_018433864.1, XP_018471090.1, XP_018471089.1, XP_018486016.1
OG0000966	jg6239	XP_018484024.1
OG0000967	jg6431, jg6432	XP_018482130.1, XP_018481511.1, XP_018437705.1, XP_018434393.1, XP_018491315.1, XP_018489812.1
OG0000968	jg22954	XP_018469356.1, XP_018464888.1
OG0000969	jg22750	XP_018452003.1, XP_018474983.1, XP_018473735.1
OG0000969	jg4288	XP_018475028.1
OG0000971	jg20467	XP_018456820.1
OG0000971	jg20468	XP_018434533.1
OG0000972	jg33244	XP_018448843.1
OG0000973	jg10865	XP_018461953.1, XP_018471811.1
OG0000973	jg20329	XP_018463645.1, XP_018484093.1, XP_018451205.1, XP_018478014.1, XP_018452862.1
OG0000974	jg24768	XP_018488516.1
OG0000974	jg25061	XP_018436577.1, XP_018490874.1
OG0000975	jg18954	XP_018473039.1
OG0000975	jg15332	XP_018442849.1, XP_018488351.1
