Orthogroup	Cardamine_amara	Arabidopsis_thaliana
OG0004167	evm.model.RL_2.2245	AT4G27310.1
OG0004168	evm.model.RL_4.2200	AT5G14270.2
OG0004168	evm.model.RL_1.39	AT3G01770.1
OG0004169	evm.model.RL_1.231	AT3G03090.1
OG0004170	evm.model.RL_1.316	AT3G03960.1
OG0004171	evm.model.RL_1.359	AT3G04470.1
OG0004172	evm.model.RL_1.422	AT3G05020.1
OG0004173	evm.model.RL_1.415	AT3G04970.1
OG0004174	evm.model.RL_1.701	AT3G07560.1
OG0004175	evm.model.RL_6.2170	AT2G40475.1
OG0004176	evm.model.RL_6.1879	AT2G37770.2
OG0004177	evm.model.RL_6.1920	AT2G38150.1
OG0004178	evm.model.RL_5.1470	AT1G16250.1
OG0004179	evm.model.RL_5.1733, evm.model.RL_5.1731	AT1G18970.1
OG0004180	evm.model.RL_7.2425.2.687c84bd	AT3G25940.1
OG0004181	evm.model.RL_5.3668	AT1G20720.2
OG0004182	evm.model.RL_3.1598	AT1G72040.1
OG0004183	evm.model.RL_2.1971.2.687c86e4	AT4G24580.1
OG0004184	evm.model.RL_2.1983	AT4G24690.1
OG0004185	evm.model.RL_2.1997	AT4G24820.1
OG0004186	evm.model.RL_2.249	AT5G39800.1, AT5G40080.1
OG0004187	evm.model.RL_2.2025	AT4G25140.1
OG0004188	evm.model.RL_8.1295	AT5G51960.1
OG0004189	evm.model.RL_5.1149	AT1G12910.1
OG0004189	evm.model.RL_7.2363	AT3G26640.1
OG0004190	evm.model.RL_5.1116	AT1G12550.1
OG0004191	evm.model.RL_5.688	AT1G08310.2
OG0004192	evm.model.RL_5.175	AT1G03140.1
OG0004193	evm.model.RL_4.2030	AT5G16100.2
OG0004194	evm.model.RL_4.2010	AT5G16300.1
OG0004195	evm.model.RL_7.1887	AT5G17270.1
OG0004195	evm.model.RL_7.1756	AT5G37130.1
OG0004196	evm.model.RL_3.135, evm.model.RL_4.1064	AT5G27820.1
OG0004198	evm.model.RL_4.1160	AT5G25930.1
OG0004199	evm.model.RL_2.2708	AT4G31980.1
OG0004200	evm.model.RL_4.1300_evm.model.RL_4.1302.1.687c9998	AT5G24280.1
OG0004201	evm.model.RL_4.1388	AT5G23380.1
OG0004201	evm.model.RL_4.2711	AT5G08360.1
OG0004202	evm.model.RL_8.2170	AT5G60990.1
OG0004203	evm.model.RL_3.1101, evm.model.RL_3.1202	AT4G28360.1, AT1G52370.1
OG0004204	evm.model.RL_8.2332	AT5G62620.1
OG0004205	evm.model.RL_8.1930	AT5G58560.1
OG0004206	evm.model.RL_7.1439	AT3G49580.1
OG0004206	evm.model.RL_7.1440	AT3G49570.1
OG0004207	evm.model.RL_7.1797	AT3G45650.2
OG0004208	evm.model.RL_3.1787	AT1G73790.1
OG0004208	evm.model.RL_8.832	AT4G09550.1
OG0004209	evm.model.RL_3.1550	AT1G71450.1
OG0004210	evm.model.RL_3.1562	AT1G71710.1
OG0004211	evm.model.RL_3.1599, evm.model.RL_3.1011	AT1G72050.3
OG0004212	evm.model.RL_3.2177	AT1G77760.1
OG0004213	evm.model.RL_3.1838	AT1G74220.1
OG0004214	evm.model.RL_3.1728	AT1G73220.1
OG0004215	evm.model.RL_3.2233	AT1G78360.1
OG0004216	evm.model.RL_3.2398	AT1G80730.1
OG0004217	evm.model.RL_1.1169	AT3G12700.1
OG0004218	evm.model.RL_1.1452	AT3G15340.1, AT5G36690.1, AT5G36780.1
OG0004219	evm.model.RL_1.1481	AT3G15540.1
OG0004220	evm.model.RL_1.1522	AT3G15990.1
OG0004221	evm.model.RL_1.1721_evm.model.RL_1.1722_evm.model.RL_1.1723	AT3G18100.1
OG0004222	evm.model.RL_1.1732	AT3G18210.1
OG0004223	evm.model.RL_1.1809	AT3G19000.1
OG0004224	evm.model.RL_1.1834.1.687c87ee	AT3G19290.3
OG0004225	evm.model.RL_1.1861	AT3G19580.1
OG0004226	evm.model.RL_1.2038	AT3G21180.1
OG0004227	evm.model.RL_1.2095	AT3G21700.3
OG0004228	evm.model.RL_1.2096	AT3G21710.2
OG0004229	evm.model.RL_1.2134	AT3G22240.1
OG0004230	evm.model.RL_1.2146.3.687c87ef	AT3G22380.2
OG0004232	evm.model.RL_1.2257	AT3G23600.1
OG0004233	evm.model.RL_1.2279	AT3G23770.1
OG0004234	evm.model.RL_1.2976	AT2G17950.1
OG0004235	evm.model.RL_1.3101.2.687c87f1	AT2G19110.1
OG0004236	evm.model.RL_2.2406	AT4G28880.1
OG0004236	evm.model.RL_2.2405	AT4G28860.1
OG0004237	evm.model.RL_2.575, evm.model.RL_2.576	AT5G36160.1
OG0004238	evm.model.RL_5.3975	AT1G55920.1
OG0004240	evm.model.RL_5.3865	AT1G54060.1
OG0004241	evm.model.RL_5.3842	AT1G53780.2, AT1G53750.1
OG0004242	evm.model.RL_5.3797	AT1G53390.1
OG0004243	evm.model.RL_5.3783	AT1G53210.1
OG0004244	evm.model.RL_5.1934	AT1G51355.1
OG0004245	evm.model.RL_5.2145	AT3G27740.1
OG0004246	evm.model.RL_5.2190, evm.model.RL_8.814	AT1G48200.1
OG0004247	evm.model.RL_6.1568	AT2G34770.1
OG0004248	evm.model.RL_2.124, evm.model.RL_2.119, evm.model.RL_1.603	AT3G66656.1
OG0004249	evm.model.RL_4.1149	AT5G26050.1
OG0004251	evm.model.RL_7.627	AT3G57390.1
OG0004252	evm.model.RL_7.556	AT3G57980.2
OG0004252	evm.model.RL_6.2339	AT2G42150.1
OG0004253	evm.model.RL_7.291	AT3G60740.1
OG0004254	evm.model.RL_1.361, evm.model.RL_5.399	AT5G05620.1, AT3G61650.1
OG0004255	evm.model.RL_7.134	AT3G62300.2
OG0004256	evm.model.RL_4.3177	AT5G03550.1
OG0004259	evm.model.RL_5.1931	AT2G21920.1
OG0004260	evm.model.RL_8.64	AT4G00480.2
OG0004261	evm.model.RL_2.2420	AT4G29033.1
OG0004263	evm.model.RL_6.308, evm.model.RL_6.220, evm.model.RL_6.269	AT2G23220.1, AT2G23190.1
OG0004264	evm.model.RL_6.1513	AT2G34220.2, AT2G34230.1
OG0004265	evm.model.RL_5.3087, evm.model.RL_5.3108	AT1G27890.1, AT1G27820.1, AT1G61470.1
OG0004266	evm.model.RL_8.1556	AT3G52830.1, AT5G54720.1
OG0004266	evm.model.RL_8.1559	AT5G54710.2
OG0004266	evm.model.RL_8.1065	AT5G50140.1
OG0004268	evm.model.RL_7.1874, evm.model.RL_7.1893, evm.model.RL_7.1905, evm.model.RL_7.1895	AT3G44670.1, AT3G44480.3, AT3G44630.3, AT3G44400.1, AT3G25510.1
OG0004275	evm.model.RL_2.2418	AT4G29020.1
OG0004276	evm.model.RL_7.2465	AT3G25580.1, AT2G18990.1
OG0004277	evm.model.RL_2.2540	AT4G30210.3
OG0004278	evm.model.RL_2.2619	AT4G31130.1
OG0004279	evm.model.RL_2.2651	AT4G31380.1
OG0004280	evm.model.RL_2.2835	AT4G33210.1
OG0004281	evm.model.RL_2.2913.1.687c86e7	AT4G33980.2
OG0004282	evm.model.RL_2.2986	AT4G34590.1
OG0004283	evm.model.RL_2.3043	AT4G35180.1
OG0004284	evm.model.RL_5.2812	AT1G31280.1
OG0004285	evm.model.RL_7.1963, evm.model.RL_5.2740	AT1G32200.1
OG0004286	evm.model.RL_3.705, evm.model.RL_3.704	AT1G56240.1, AT1G56250.1
OG0004287	evm.model.RL_7.2679	AT2G01340.1
OG0004288	evm.model.RL_7.2578	AT2G02720.1
OG0004289	evm.model.RL_7.2462	AT3G25590.1
OG0004290	evm.model.RL_7.2304	AT3G27230.1
OG0004291	evm.model.RL_4.64	AT5G47320.1
OG0004292	evm.model.RL_7.2199	AT3G28455.1
OG0004293	evm.model.RL_3.787	AT5G45010.1
OG0004294	evm.model.RL_3.784	AT1G54380.1
OG0004294	evm.model.RL_6.2373	AT2G42510.2
OG0004295	evm.model.RL_6.2244	AT2G41190.1
OG0004296	evm.model.RL_1.914	AT3G10050.1
OG0004297	evm.model.RL_1.1029	AT3G11230.2
OG0004298	evm.model.RL_1.1094	AT3G11830.1
OG0004299	evm.model.RL_8.1190	AT5G50850.1
OG0004301	evm.model.RL_8.1233	AT5G51300.1
OG0004302	evm.model.RL_8.1262	AT5G51590.1
OG0004303	evm.model.RL_2.2168	AT4G26510.1
OG0004304	evm.model.RL_8.1872	AT5G57990.1
OG0004305	evm.model.RL_4.1135	AT5G26210.1
OG0004306	evm.model.RL_4.2279	AT5G13450.1
OG0004307	evm.model.RL_4.2399	AT3G14390.1, AT5G11880.1
OG0004309	evm.model.RL_4.2702	AT5G08420.1
OG0004310	evm.model.RL_4.2733	AT5G08160.1
OG0004311	evm.model.RL_2.1367.3.687c86e2	AT4G18140.1
OG0004311	evm.model.RL_4.180.1.687c86cd	AT5G46410.2
OG0004312	evm.model.RL_2.1388	AT4G18340.1
OG0004313	evm.model.RL_2.1455	AT4G18980.1
OG0004314	evm.model.RL_2.1553	AT4G20040.1
OG0004315	evm.model.RL_2.1584	AT4G20420.1
OG0004316	evm.model.RL_2.1607	AT4G20970.1
OG0004317	evm.model.RL_2.1618.2.687c86e3	AT4G21105.1
OG0004318	evm.model.RL_2.1770	AT4G22710.1, AT4G22690.1
OG0004319	evm.model.RL_2.1786	AT4G22790.1
OG0004320	evm.model.RL_2.1857	AT4G23420.3, AT4G23430.2
OG0004321	evm.model.RL_2.1919	AT4G24060.1
OG0004322	evm.model.RL_8.710	AT4G10670.1, AT4G10710.1
OG0004323	evm.model.RL_5.2475	AT1G35430.1
OG0004323	evm.model.RL_8.845	AT4G09170.1
OG0004324	evm.model.RL_1.2169	AT3G22660.1
OG0004325	evm.model.RL_5.3782	AT1G53200.1
OG0004326	evm.model.RL_5.2969	AT1G29640.1
OG0004327	evm.model.RL_5.2889	AT1G30470.1
OG0004328	evm.model.RL_5.2874	AT1G30580.1
OG0004329	evm.model.RL_6.791, evm.model.RL_6.10	AT2G20970.2
OG0004330	evm.model.RL_2.3104	AT4G35790.1
OG0004331	evm.model.RL_2.3205	AT4G37240.1
OG0004332	evm.model.RL_2.3213	AT4G37180.2
OG0004333	evm.model.RL_8.773, evm.model.RL_8.771	AT4G10080.1
OG0004334	evm.model.RL_8.575	AT4G12020.2
OG0004336	evm.model.RL_2.633	AT5G35320.1
OG0004337	evm.model.RL_1.2452	AT2G04280.1
OG0004337	evm.model.RL_2.744	AT4G12700.1
OG0004338	evm.model.RL_2.767	AT4G12790.1
OG0004339	evm.model.RL_2.962	AT4G14420.1
OG0004340	evm.model.RL_2.998	AT4G14720.2
OG0004341	evm.model.RL_2.1011	AT4G14805.1
OG0004342	evm.model.RL_5.3840	AT1G53720.1
OG0004343	evm.model.RL_7.72	AT3G62930.1
OG0004344	evm.model.RL_6.2852	AT2G47050.1
OG0004345	evm.model.RL_6.2779	AT2G46370.4
OG0004348	evm.model.RL_6.2440	AT2G43140.2
OG0004349	evm.model.RL_7.541	AT3G58110.1
OG0004349	evm.model.RL_6.2359	AT2G42370.1
OG0004350	evm.model.RL_4.1667	AT5G19820.1
OG0004351	evm.model.RL_7.813	AT3G55490.1, AT1G19080.1
OG0004352	evm.model.RL_6.2119	AT2G40080.1
OG0004353	evm.model.RL_4.1476	AT5G22380.1
OG0004354	evm.model.RL_8.2007	AT5G59050.1
OG0004355	evm.model.RL_8.2439	AT5G63690.1
OG0004356	evm.model.RL_8.2483	AT5G64040.2
OG0004358	evm.model.RL_8.2745	AT5G67060.1
OG0004359	evm.model.RL_8.2763	AT5G66920.1
OG0004360	evm.model.RL_7.1037, evm.model.RL_8.2915	AT1G02090.1
OG0004361	evm.model.RL_8.75	AT4G00585.1
OG0004362	evm.model.RL_5.208	AT1G03475.1
OG0004363	evm.model.RL_6.1427	AT2G33410.1
OG0004364	evm.model.RL_6.1423	AT2G33380.1
OG0004365	evm.model.RL_5.457	AT1G05960.2
OG0004366	evm.model.RL_6.1218	AT2G31230.1
OG0004367	evm.model.RL_6.1200	AT2G31081.1
OG0004368	evm.model.RL_6.1139	AT2G30470.1
OG0004369	evm.model.RL_6.1128	AT2G30360.1
OG0004370	evm.model.RL_6.1123	AT2G30300.1
OG0004371	evm.model.RL_6.1089	AT2G29980.1
OG0004372	evm.model.RL_1.78	AT3G01420.1
OG0004373	evm.model.RL_1.195	AT3G02750.3
OG0004374	evm.model.RL_1.444	AT3G05220.1
OG0004375	evm.model.RL_4.1046	AT5G27550.1
OG0004376	evm.model.RL_1.478.1.687c87ea	AT3G05545.1
OG0004377	evm.model.RL_1.532	AT3G05975.1
OG0004378	evm.model.RL_1.546	AT3G06120.1
OG0004379	evm.model.RL_1.576	AT3G06410.1
OG0004381	evm.model.RL_6.1697	AT2G36010.2
OG0004382	evm.model.RL_6.1711	AT2G36190.1
OG0004383	evm.model.RL_6.1788	AT2G36950.1
OG0004384	evm.model.RL_7.1026	AT3G53580.1
OG0004385	evm.model.RL_5.1457, evm.model.RL_6.949	AT1G16040.1
OG0004386	evm.model.RL_5.1605.1.687c88b5	AT1G17720.1
OG0004387	evm.model.RL_3.1749	AT1G73450.1, AT1G73460.1
OG0004388	evm.model.RL_5.1682	AT1G18510.1
OG0004388	evm.model.RL_3.1821	AT1G74045.1
OG0004389	evm.model.RL_5.1707.1.687c88b6	AT1G18710.1
OG0004390	evm.model.RL_3.2117	AT1G77130.1
OG0004391	evm.model.RL_3.1596	AT1G72020.1
OG0004392	evm.model.RL_5.3477	AT1G22885.2
OG0004392	evm.model.RL_4.399	AT5G44568.1
OG0004393	evm.model.RL_5.3293	AT1G26610.1
OG0004394	evm.model.RL_5.3210	AT1G25260.1
OG0004395	evm.model.RL_2.1999	AT4G24840.1
OG0004396	evm.model.RL_6.316	AT2G24280.1
OG0004397	evm.model.RL_5.1191	AT1G13390.1
OG0004398	evm.model.RL_5.1141	AT1G12840.1
OG0004399	evm.model.RL_5.1132	AT1G12760.1
OG0004400	evm.model.RL_5.1058	AT1G11890.1
OG0004401	evm.model.RL_5.970	AT1G11080.2
OG0004402	evm.model.RL_5.926	AT1G70450.1
OG0004403	evm.model.RL_5.870	AT1G10070.1
OG0004404	evm.model.RL_5.764	AT1G09040.1, AT1G09050.1
OG0004405	evm.model.RL_5.653	AT1G08050.1
OG0004406	evm.model.RL_5.640.2.687c88ae	AT1G07890.1
OG0004407	evm.model.RL_4.2110	AT2G16930.1, AT5G15220.1
OG0004408	evm.model.RL_4.2013	AT5G16270.1
OG0004409	evm.model.RL_4.1956	AT5G16840.2
OG0004410	evm.model.RL_4.1797	AT5G18560.1
OG0004411	evm.model.RL_4.1786	AT5G18650.1
OG0004412	evm.model.RL_4.1108	AT5G26660.1
OG0004413	evm.model.RL_4.1054	AT5G27670.1
OG0004414	evm.model.RL_4.780	AT5G48270.1
OG0004415	evm.model.RL_4.2928	AT5G06160.1
OG0004416	evm.model.RL_4.1178	AT5G25610.1
OG0004418	evm.model.RL_4.1371	AT5G23535.1
OG0004419	evm.model.RL_4.1409, evm.model.RL_4.2727	AT5G23140.1
OG0004420	evm.model.RL_8.2207	AT5G61340.2
OG0004421	evm.model.RL_7.1431	AT3G49645.2
OG0004422	evm.model.RL_3.1218_evm.model.RL_3.1220	AT1G68370.1
OG0004423	evm.model.RL_3.1356	AT1G69680.1
OG0004424	evm.model.RL_3.1421	AT1G70260.1
OG0004425	evm.model.RL_3.1462	AT1G70700.3
OG0004426	evm.model.RL_3.1586	AT1G71910.1
OG0004427	evm.model.RL_3.1604	AT1G72125.1
OG0004427	evm.model.RL_3.1605	AT1G72120.1
OG0004428	evm.model.RL_3.1968	AT1G75520.1
OG0004429	evm.model.RL_3.1872	AT1G74590.1
OG0004430	evm.model.RL_3.1869	AT1G74550.1
OG0004430	evm.model.RL_3.1868	AT1G74540.1
OG0004431	evm.model.RL_3.1687	AT1G72880.1
OG0004432	evm.model.RL_3.2255	AT1G78600.2
OG0004433	evm.model.RL_3.2300	AT1G78950.2
OG0004433	evm.model.RL_3.2301	AT1G78955.1
OG0004434	evm.model.RL_3.2330	AT1G79270.1
OG0004436	evm.model.RL_1.1187, evm.model.RL_1.1190	AT3G12920.1
OG0004437	evm.model.RL_1.1329	AT3G14080.1
OG0004438	evm.model.RL_1.1342	AT3G14200.1
OG0004440	evm.model.RL_1.1431, evm.model.RL_1.1435	AT3G15170.1
OG0004441	evm.model.RL_1.1460	AT3G15355.1
OG0004442	evm.model.RL_1.1476	AT3G15490.1
OG0004443	evm.model.RL_1.1550_evm.model.RL_1.1554	AT3G16220.1
OG0004444	evm.model.RL_1.1769	AT3G18570.1
OG0004445	evm.model.RL_1.1892	AT3G19830.1
OG0004445	evm.model.RL_5.2016	AT1G50260.1
OG0004446	evm.model.RL_1.1924	AT3G20050.1
OG0004447	evm.model.RL_1.2015	AT3G20898.1
OG0004448	evm.model.RL_1.2017	AT3G20920.1
OG0004449	evm.model.RL_1.2261, evm.model.RL_1.2053	AT3G21320.1
OG0004450	evm.model.RL_1.2109	AT3G21865.1
OG0004451	evm.model.RL_1.2224	AT3G23250.1
OG0004452	evm.model.RL_6.527	AT2G26060.1
OG0004452	evm.model.RL_2.2814	AT4G32990.1
OG0004453	evm.model.RL_1.3033	AT2G18510.1
OG0004454	evm.model.RL_1.2998	AT2G18160.1
OG0004455	evm.model.RL_1.3096	AT2G19060.1, AT2G19050.1
OG0004456	evm.model.RL_1.3226	AT2G20510.2
OG0004456	evm.model.RL_6.1702	AT2G36070.1
OG0004457	evm.model.RL_5.3707	AT1G52400.1
OG0004458	evm.model.RL_5.1921	AT1G51510.1
OG0004460	evm.model.RL_5.2148	AT1G48610.1
OG0004461	evm.model.RL_6.1530	AT2G34410.1
OG0004461	evm.model.RL_5.2918	AT1G29890.2
OG0004462	evm.model.RL_7.1198	AT3G51910.1
OG0004463	evm.model.RL_7.983.1.687c84b7	AT3G53990.1
OG0004464	evm.model.RL_7.919, evm.model.RL_7.858	AT3G55120.1
OG0004466	evm.model.RL_7.694	AT3G56710.1
OG0004467	evm.model.RL_8.1419	AT5G53270.1, AT5G53260.1
OG0004468	evm.model.RL_7.548.1.687c84b5	AT3G58060.1
OG0004469	evm.model.RL_7.539, evm.model.RL_6.1927	AT2G27340.2, AT3G58130.1
OG0004470	evm.model.RL_7.501	AT3G58610.1
OG0004471	evm.model.RL_6.2661	AT2G45300.1, AT1G48860.1
OG0004472	evm.model.RL_7.228	AT3G61440.1
OG0004473	evm.model.RL_7.132	AT3G62320.1
OG0004474	evm.model.RL_7.65	AT3G63010.1
OG0004475	evm.model.RL_5.2100	AT1G49190.2
OG0004477	evm.model.RL_8.1039	AT5G49690.1
OG0004480	evm.model.RL_4.3184	AT5G03490.1
OG0004481	evm.model.RL_2.2875	AT4G33610.1
OG0004482	evm.model.RL_5.3442, evm.model.RL_5.3373	AT1G24145.1
OG0004483	evm.model.RL_3.1422	AT1G23965.1, AT1G23995.1
OG0004485	evm.model.RL_7.400	AT3G59590.1
OG0004492	evm.model.RL_1.2246	AT3G23460.1
OG0004492	evm.model.RL_1.2247	AT3G23480.2
OG0004492	evm.model.RL_1.2249	AT3G23470.2
OG0004498	evm.model.RL_2.2339	AT4G28270.1
OG0004499	evm.model.RL_2.2370	AT4G28530.1
OG0004500	evm.model.RL_2.2407	AT4G28890.1
OG0004501	evm.model.RL_2.2519	AT4G29960.1
OG0004502	evm.model.RL_8.1808	AT5G57330.1
OG0004503	evm.model.RL_2.2543.1.687c86e6	AT4G30240.1
OG0004504	evm.model.RL_6.279	AT2G23940.1
OG0004505	evm.model.RL_2.2571	AT4G30590.1
OG0004506	evm.model.RL_2.2585	AT4G30770.1
OG0004507	evm.model.RL_7.560, evm.model.RL_7.531	AT3G58230.1
OG0004508	evm.model.RL_2.2692	AT4G31800.1
OG0004509	evm.model.RL_2.2725	AT4G32150.1
OG0004509	evm.model.RL_6.440	AT2G25340.1
OG0004510	evm.model.RL_6.442	AT4G32175.1, AT2G25355.1
OG0004511	evm.model.RL_2.2816	AT4G33000.1
OG0004512	evm.model.RL_2.2960	AT4G34380.1
OG0004513	evm.model.RL_2.2971.1.687c86e7	AT4G34460.1
OG0004514	evm.model.RL_2.1219	AT4G16620.1
OG0004515	evm.model.RL_3.502	AT1G59890.2
OG0004516	evm.model.RL_3.345	AT1G61350.1
OG0004517	evm.model.RL_3.2397	AT1G80740.1
OG0004518	evm.model.RL_2.1881	AT4G23680.1
OG0004519	evm.model.RL_7.2699	AT2G01540.1
OG0004520	evm.model.RL_5.3221	AT1G25350.2
OG0004521	evm.model.RL_7.2434, evm.model.RL_7.2433	AT3G25882.1
OG0004522	evm.model.RL_7.2213	AT3G28140.1
OG0004522	evm.model.RL_2.207	AT5G40190.1
OG0004523	evm.model.RL_7.2147	AT3G28910.1
OG0004524	evm.model.RL_7.2072	AT3G29575.1
OG0004525	evm.model.RL_3.908.1.687c84bb	AT1G65270.1
OG0004526	evm.model.RL_5.1107, evm.model.RL_3.198	AT1G12440.1
OG0004527	evm.model.RL_1.1158.1.687c87ec	AT3G12600.1
OG0004529	evm.model.RL_1.1134	AT3G12280.1
OG0004530	evm.model.RL_8.2059	AT5G59810.1
OG0004531	evm.model.RL_8.1666.1.687c855c	AT5G55850.2
OG0004532	evm.model.RL_8.1698	AT5G56200.1
OG0004533	evm.model.RL_8.1738, evm.model.RL_8.1739	AT5G56660.1, AT5G56650.1
OG0004534	evm.model.RL_8.1750	AT5G56780.1
OG0004535	evm.model.RL_8.1829	AT5G57530.1
OG0004536	evm.model.RL_8.1864	AT5G57910.1
OG0004537	evm.model.RL_4.747	AT5G47890.1
OG0004538	evm.model.RL_4.2333	AT5G12870.1
OG0004539	evm.model.RL_4.2345	AT5G12400.1
OG0004540	evm.model.RL_4.2380	AT5G12050.1
OG0004541	evm.model.RL_4.2398	AT5G11890.1
OG0004542	evm.model.RL_4.2473	AT5G11110.1
OG0004543	evm.model.RL_4.2518	AT5G10650.1
OG0004544	evm.model.RL_4.2550	AT5G10280.1
OG0004545	evm.model.RL_4.2666	AT5G08790.1
OG0004546	evm.model.RL_4.2743	AT5G08080.3
OG0004547	evm.model.RL_4.2804	AT5G07440.1
OG0004548	evm.model.RL_2.1398	AT4G18430.1
OG0004549	evm.model.RL_2.1409	AT4G18510.1
OG0004550	evm.model.RL_2.1473	AT4G19120.1
OG0004551	evm.model.RL_8.542	AT4G12440.2
OG0004552	evm.model.RL_2.1870	AT4G23530.1
OG0004553	evm.model.RL_2.1872	AT4G23550.1
OG0004554	evm.model.RL_2.1917.1.687c86e4	AT4G24040.1
OG0004557	evm.model.RL_5.2294, evm.model.RL_5.2293	AT1G45201.3
OG0004558	evm.model.RL_5.3082	AT1G28130.1
OG0004559	evm.model.RL_5.3052	AT1G28440.1
OG0004560	evm.model.RL_5.3048	AT1G28490.1
OG0004561	evm.model.RL_5.2952	AT1G29770.1
OG0004562	evm.model.RL_5.2940	AT1G30110.1
OG0004563	evm.model.RL_5.2848, evm.model.RL_5.2847	AT1G30840.1
OG0004564	evm.model.RL_2.3070	AT4G35480.1
OG0004566	evm.model.RL_2.3167	AT4G36470.1
OG0004567	evm.model.RL_2.484.2.687c86e0	AT4G39630.1
OG0004568	evm.model.RL_2.570	AT5G36260.1
OG0004569	evm.model.RL_2.529	AT5G37020.1
OG0004570	evm.model.RL_5.1543	AT1G09157.1
OG0004571	evm.model.RL_7.1621	AT3G47630.2
OG0004572	evm.model.RL_6.1596	AT2G35120.1
OG0004573	evm.model.RL_4.96	AT5G47030.1
OG0004574	evm.model.RL_6.1659	AT2G35680.1
OG0004575	evm.model.RL_6.1460	AT2G33730.1
OG0004576	evm.model.RL_8.699	AT1G66770.1, AT4G10850.1
OG0004577	evm.model.RL_8.666	AT4G11150.1
OG0004578	evm.model.RL_8.427	AT4G05020.2
OG0004579	evm.model.RL_4.420.1.687c86ce	AT5G44400.1
OG0004581	evm.model.RL_4.201	AT5G46230.1
OG0004582	evm.model.RL_4.94	AT5G47050.1
OG0004583	evm.model.RL_2.741.2.687c86e1	AT4G12720.4
OG0004584	evm.model.RL_2.845	AT4G13420.1
OG0004585	evm.model.RL_2.912	AT4G14080.1
OG0004586	evm.model.RL_1.2130	AT3G22200.2
OG0004587	evm.model.RL_6.2702	AT2G45660.1
OG0004588	evm.model.RL_6.2648	AT2G45140.1
OG0004589	evm.model.RL_6.2592	AT2G44620.1
OG0004590	evm.model.RL_6.2591	AT2G44610.1
OG0004591	evm.model.RL_6.2584	AT2G44581.1, AT2G44578.1
OG0004592	evm.model.RL_6.2467	AT2G43430.1
OG0004593	evm.model.RL_4.3307	AT5G02290.1
OG0004594	evm.model.RL_4.3198	AT5G03380.1
OG0004595	evm.model.RL_4.1586	AT5G20680.1
OG0004596	evm.model.RL_4.794, evm.model.RL_4.1558	AT5G20970.1
OG0004597	evm.model.RL_4.1494	AT5G22270.1
OG0004598	evm.model.RL_4.1454	AT5G22740.1
OG0004600	evm.model.RL_8.2440	AT5G63700.1
OG0004601	evm.model.RL_8.2489, evm.model.RL_3.1098	AT5G64100.1
OG0004602	evm.model.RL_8.2536	AT5G64530.1
OG0004603	evm.model.RL_8.2628	AT5G65410.1
OG0004604	evm.model.RL_8.2634	AT5G65480.1
OG0004606	evm.model.RL_8.2793	AT5G66650.1
OG0004607	evm.model.RL_8.2847, evm.model.RL_7.1257	AT3G51280.1
OG0004608	evm.model.RL_8.2615	AT5G65274.1
OG0004609	evm.model.RL_8.245, evm.model.RL_2.351	AT4G02250.1
OG0004610	evm.model.RL_4.454	AT5G43390.1, AT5G43400.1
OG0004611	evm.model.RL_6.1392	AT2G33040.1
OG0004612	evm.model.RL_6.1247	AT2G31500.1
OG0004613	evm.model.RL_6.996, evm.model.RL_5.611	AT2G28920.1
OG0004614	evm.model.RL_6.810	AT2G27260.1
OG0004615	evm.model.RL_6.834	AT2G27490.1
OG0004616	evm.model.RL_1.54	AT3G01610.2
OG0004617	evm.model.RL_1.43	AT3G01740.1
OG0004617	evm.model.RL_4.2197	AT5G14290.1
OG0004618	evm.model.RL_1.18	AT5G14030.1
OG0004619	evm.model.RL_1.1838	AT3G19250.1
OG0004619	evm.model.RL_1.14	AT3G19330.1
OG0004620	evm.model.RL_1.779	AT3G08710.1
OG0004621	evm.model.RL_1.196	AT3G02760.1
OG0004622	evm.model.RL_4.1961	AT5G16790.1
OG0004622	evm.model.RL_1.219	AT3G02950.1
OG0004623	evm.model.RL_1.319	AT3G03980.1
OG0004624	evm.model.RL_1.512	AT3G05800.1
OG0004625	evm.model.RL_1.524	AT3G05930.1
OG0004626	evm.model.RL_1.538	AT3G06035.1
OG0004627	evm.model.RL_1.541	AT3G06060.2
OG0004628	evm.model.RL_1.566	AT3G06330.1
OG0004629	evm.model.RL_1.681	AT3G07390.1
OG0004630	evm.model.RL_1.716	AT3G07680.1
OG0004631	evm.model.RL_1.721	AT3G07730.1, AT4G01170.1
OG0004632	evm.model.RL_1.741	AT3G07880.1
OG0004633	evm.model.RL_1.744	AT3G07910.1
OG0004634	evm.model.RL_6.2179	AT2G40530.1
OG0004635	evm.model.RL_6.2145	AT2G40260.1
OG0004636	evm.model.RL_6.2142	AT2G40230.1
OG0004637	evm.model.RL_6.2127	AT2G40116.1
OG0004638	evm.model.RL_6.2081	AT2G39720.1
OG0004639	evm.model.RL_6.1732	AT2G36360.4
OG0004640	evm.model.RL_6.1739	AT2G36420.1
OG0004641	evm.model.RL_6.1778	AT2G36870.1
OG0004642	evm.model.RL_6.1823	AT2G37590.1
OG0004643	evm.model.RL_6.1972	AT2G38650.1
OG0004644	evm.model.RL_5.1443	AT1G15880.1
OG0004645	evm.model.RL_5.1448	AT1G15940.1
OG0004646	evm.model.RL_5.1618	AT1G17860.1
OG0004647	evm.model.RL_5.1691	AT1G18570.1
