Orthogroup	Cardamine_amara	Euclidium_syriacum
OG0003196	evm.model.RL_5.1351	ESY5_g2868_DN3_SP8_c0.t1
OG0003198	evm.model.RL_5.753	ESY5_g3216_DN3_SP4_c0.t1
OG0003199	evm.model.RL_1.2703, evm.model.RL_1.2705	ESY40_g12605_DN3_SP8_c0.t1, ESY11_g53470_DN3_SP2_c0.t1
OG0003200	evm.model.RL_5.702, evm.model.RL_5.701	ESY5_g3139_DN3_SP3_c0.t1
OG0003201	evm.model.RL_5.324	ESY5_g4957_DN2_SP0_c0.t1
OG0003201	evm.model.RL_5.890	ESY5_g3460_DN1_SP0_c0.t1
OG0003202	evm.model.RL_5.246, evm.model.RL_6.1773	ESY4_g26384_DN3_SP1_c0.t1, ESY3_g31064_DN3_SP1_c0.t1
OG0003203	evm.model.RL_4.991, evm.model.RL_1.452	ESY10_g15690_DN3_SP7_c0.t1
OG0003204	evm.model.RL_4.3085	ESY7_g19088_DN3_SP1_c0.t1
OG0003204	evm.model.RL_1.958	ESY3_g31104_DN3_SP0_c0.t1
OG0003205	evm.model.RL_3.1813, evm.model.RL_4.1197	ESY5_g4196_DN3_SP0_c0.t1
OG0003206	evm.model.RL_4.1201	ESY6_g49969_DN3_SP7_c0.t1
OG0003207	evm.model.RL_8.2151	ESY6_g49594_DN3_SP0_c0.t1
OG0003208	evm.model.RL_3.2086, evm.model.RL_3.2085	ESY2_g34694_DN2_SP0_c2.t1
OG0003209	evm.model.RL_1.1350	ESY3_g30375_DN3_SP0_c0.t1, ESY3_g30377_DN2_SP0_c0.t1
OG0003210	evm.model.RL_1.1360	ESY20_g13281_DN1_SP0_c0.t1, ESY20_g12994_DN1_SP0_c0.t1
OG0003211	evm.model.RL_5.1621, evm.model.RL_1.1456.1.687c87ed	ESY3_g30575_DN3_SP3_c0.t1, ESY5_g4754_DN1_SP0_c0.t1
OG0003212	evm.model.RL_1.1511	ESY3_g30642_DN3_SP0_c0.t1
OG0003213	evm.model.RL_1.1540	ESY3_g29996_DN3_SP0_c0.t1
OG0003214	evm.model.RL_1.1714	ESY3_g29725_DN3_SP8_c0.t1
OG0003214	evm.model.RL_5.904, evm.model.RL_5.2149	ESY2_g37975_DN3_SP4_c0.t1
OG0003215	evm.model.RL_5.2123	ESY2_g37863_DN3_SP0_c0.t1
OG0003215	evm.model.RL_1.1771	ESY3_g29650_DN3_SP1_c0.t1
OG0003216	evm.model.RL_1.3003	ESY11_g54223_DN3_SP1_c0.t1
OG0003217	evm.model.RL_1.3250, evm.model.RL_2.2358	ESY4_g24005_DN3_SP0_c15.t1
OG0003220	evm.model.RL_1.1862	ESY3_g29396_DN3_SP8_c0.t1
OG0003222	evm.model.RL_7.871_evm.model.RL_7.872.2.687c9766.3.687cb0fa.1.687cc9ee	ESY1_g10807_DN3_SP1_c0.t1
OG0003224	evm.model.RL_7.766	ESY1_g10641_DN3_SP8_c0.t1
OG0003225	evm.model.RL_7.735	ESY1_g11428_DN3_SP6_c0.t1
OG0003226	evm.model.RL_7.384, evm.model.RL_6.2504	ESY1_g11896_DN3_SP8_c0.t1
OG0003227	evm.model.RL_3.1031	ESY12_g51722_DN3_SP0_c0.t1, ESY12_g51723_DN3_SP0_c0.t1
OG0003228	evm.model.RL_7.1825, evm.model.RL_7.1824, evm.model.RL_7.1823, evm.model.RL_5.2144	ESY1_g11404_DN3_SP0_c0.t1, ESY3_g32389_DN3_SP0_c0.t1, ESY3_g32390_DN3_SP0_c0.t1, ESY7_g17316_DN3_SP0_c0.t1
OG0003230	evm.model.RL_4.80	ESY1_g10757_DN2_SP0_c0.t1, ESY4_g24858_DN2_SP0_c0.t1, ESY10_g14864_DN2_SP0_c0.t1, ESY5_g3840_DN1_SP0_c0.t1, ESY5_g2590_DN1_SP0_c0.t1
OG0003231	evm.model.RL_2.1544, evm.model.RL_2.1543	ESY9_g43214_DN3_SP0_c0.t1, ESY5_g2660_DN3_SP0_c0.t1
OG0003231	evm.model.RL_4.372	ESY7_g16695_DN3_SP0_c0.t1, ESY1_g10949_DN3_SP0_c0.t1
OG0003232	evm.model.RL_7.111, evm.model.RL_4.517, evm.model.RL_4.565	ESY5_g5258_DN3_SP0_c0.t1, ESY5_g5293_DN3_SP0_c0.t1
OG0003233	evm.model.RL_2.3405, evm.model.RL_2.3407	ESY4_g26794_DN1_SP0_c0.t1
OG0003234	evm.model.RL_6.881	ESY8_g58999_DN2_SP0_c12.t1
OG0003234	evm.model.RL_5.682, evm.model.RL_5.680	ESY5_g3100_DN3_SP0_c2.t1
OG0003235	evm.model.RL_5.1168	ESY5_g2599_DN2_SP0_c0.t1
OG0003235	evm.model.RL_5.1169	ESY5_g2600_DN3_SP0_c0.t1
OG0003247	evm.model.RL_2.2574	ESY4_g24682_DN3_SP6_c0.t1
OG0003247	evm.model.RL_6.288	ESY8_g59503_DN3_SP7_c0.t1
OG0003248	evm.model.RL_2.2580	ESY4_g24717_DN3_SP0_c0.t1
OG0003248	evm.model.RL_6.291	ESY8_g59477_DN3_SP0_c0.t1
OG0003249	evm.model.RL_2.2722	ESY4_g25072_DN3_SP6_c0.t1
OG0003249	evm.model.RL_6.435	ESY8_g59354_DN2_SP1_c0.t1
OG0003250	evm.model.RL_2.2747	ESY4_g25227_DN3_SP8_c0.t1
OG0003251	evm.model.RL_2.806, evm.model.RL_2.1056	ESY2_g38887_DN3_SP0_c0.t1
OG0003253	evm.model.RL_4.455, evm.model.RL_4.458, evm.model.RL_4.457, evm.model.RL_4.456	ESY8_g58177_DN3_SP0_c0.t1, ESY8_g58176_DN3_SP0_c0.t1
OG0003254	evm.model.RL_6.2319, evm.model.RL_6.2380	ESY12_g51341_DN1_SP0_c0.t1, ESY12_g51353_DN3_SP0_c0.t1, ESY7_g16421_DN2_SP0_c0.t1
OG0003255	evm.model.RL_5.2818	ESY16_g61979_DN3_SP0_c0.t1
OG0003255	evm.model.RL_5.877	ESY5_g3426_DN3_SP0_c0.t1
OG0003257	evm.model.RL_7.2212	ESY21_g55547_DN2_SP0_c0.t1
OG0003257	evm.model.RL_2.206	ESY8_g60359_DN3_SP0_c0.t1
OG0003258	evm.model.RL_2.344	ESY8_g60964_DN3_SP0_c0.t1
OG0003260	evm.model.RL_7.756	ESY1_g10602_DN3_SP0_c0.t1
OG0003260	evm.model.RL_7.757	ESY1_g10589_DN3_SP0_c0.t1
OG0003261	evm.model.RL_8.1404, evm.model.RL_8.1405	ESY6_g47213_DN3_SP1_c0.t1
OG0003262	evm.model.RL_8.1467, evm.model.RL_2.2260	ESY16_g62194_DN2_SP0_c0.t1
OG0003263	evm.model.RL_8.1587	ESY6_g47971_DN1_SP0_c0.t1
OG0003264	evm.model.RL_4.2459	ESY7_g18162_DN3_SP0_c0.t1
OG0003264	evm.model.RL_4.1205	ESY6_g49964_DN3_SP0_c0.t1
OG0003265	evm.model.RL_4.2513	ESY7_g18076_DN3_SP5_c14.t1
OG0003265	evm.model.RL_7.1730	ESY6_g50009_DN3_SP2_c0.t1
OG0003266	evm.model.RL_4.1394	ESY6_g50182_DN3_SP0_c0.t1
OG0003266	evm.model.RL_4.2714	ESY7_g18674_DN2_SP0_c0.t1
OG0003267	evm.model.RL_3.1810, evm.model.RL_4.2731	ESY7_g18650_DN3_SP0_c0.t1
OG0003268	evm.model.RL_2.1429, evm.model.RL_2.1427	ESY9_g42724_DN3_SP0_c0.t1, ESY9_g42725_DN3_SP0_c0.t1
OG0003269	evm.model.RL_8.523	ESY7_g16086_DN3_SP0_c0.t1
OG0003270	evm.model.RL_6.842, evm.model.RL_6.841	ESY14_g20842_DN3_SP0_c0.t1
OG0003271	evm.model.RL_5.3091	ESY8_g58547_DN3_SP0_c10.t1
OG0003271	evm.model.RL_3.1577	ESY3_g32035_DN3_SP0_c14.t1
OG0003272	evm.model.RL_5.2878, evm.model.RL_5.2879	ESY20_g13170_DN3_SP0_c0.t1
OG0003273	evm.model.RL_5.2870	ESY4_g23686_DN3_SP8_c0.t1
OG0003274	evm.model.RL_1.2922	ESY11_g54016_DN3_SP8_c0.t1
OG0003274	evm.model.RL_2.3064	ESY4_g25380_DN3_SP2_c0.t1
OG0003275	evm.model.RL_2.3084	ESY4_g25325_DN3_SP0_c0.t1
OG0003276	evm.model.RL_1.3001	ESY11_g54220_DN3_SP7_c0.t1
OG0003277	evm.model.RL_2.3174	ESY4_g26255_DN3_SP0_c0.t1
OG0003278	evm.model.RL_6.28	ESY8_g59895_DN3_SP7_c0.t1
OG0003278	evm.model.RL_2.3449	ESY4_g26879_DN3_SP5_c0.t1
OG0003279	evm.model.RL_2.3450	ESY4_g26888_DN3_SP0_c0.t1
OG0003280	evm.model.RL_6.1644, evm.model.RL_5.2785	ESY16_g61840_DN3_SP1_c0.t1
OG0003281	evm.model.RL_4.286	ESY7_g16801_DN3_SP0_c0.t1
OG0003283	evm.model.RL_2.814, evm.model.RL_1.2388	ESY3_g27567_DN2_SP0_c0.t1
OG0003284	evm.model.RL_2.875, evm.model.RL_1.2295	ESY15_g65959_DN3_SP7_c0.t1
OG0003285	evm.model.RL_2.883	ESY15_g65979_DN3_SP2_c0.t1
OG0003287	evm.model.RL_2.1020	ESY22_g40908_DN3_SP8_c0.t1
OG0003287	evm.model.RL_1.2155	ESY3_g28793_DN3_SP5_c0.t1
OG0003288	evm.model.RL_8.1199, evm.model.RL_6.2902	ESY12_g52232_DN3_SP7_c0.t1
OG0003289	evm.model.RL_6.2510	ESY12_g52163_DN3_SP0_c9.t1
OG0003290	evm.model.RL_4.3336	ESY7_g19548_DN3_SP0_c0.t1, ESY7_g19549_DN3_SP0_c0.t1, ESY7_g19550_DN3_SP0_c0.t1, ESY7_g19555_DN2_SP0_c0.t1
OG0003292	evm.model.RL_4.1451, evm.model.RL_4.1450	ESY6_g48999_DN3_SP8_c0.t1
OG0003292	evm.model.RL_7.1868	ESY1_g7298_DN3_SP3_c0.t1
OG0003293	evm.model.RL_7.1529	ESY1_g9201_DN3_SP2_c0.t1
OG0003293	evm.model.RL_8.2404.1.687c8561	ESY6_g49699_DN3_SP1_c0.t1
OG0003294	evm.model.RL_8.2552	ESY6_g50630_DN3_SP7_c0.t1
OG0003294	evm.model.RL_4.2600	ESY7_g17922_DN3_SP8_c0.t1
OG0003296	evm.model.RL_8.2802	ESY6_g50278_DN3_SP0_c0.t1
OG0003296	evm.model.RL_7.1298	ESY1_g10076_DN2_SP0_c0.t1
OG0003297	evm.model.RL_7.1286, evm.model.RL_5.2415	ESY6_g50233_DN3_SP7_c0.t1
OG0003298	evm.model.RL_4.461	ESY8_g58163_DN3_SP8_c0.t1
OG0003299	evm.model.RL_6.1347	ESY20_g12691_DN3_SP0_c0.t1
OG0003299	evm.model.RL_5.366	ESY5_g4879_DN3_SP0_c0.t1
OG0003301	evm.model.RL_6.773, evm.model.RL_6.776	ESY8_g59087_DN3_SP3_c0.t1, ESY8_g59090_DN3_SP5_c0.t1
OG0003302	evm.model.RL_6.562	ESY8_g59216_DN3_SP3_c0.t1
OG0003302	evm.model.RL_2.2837	ESY4_g25958_DN3_SP0_c11.t1
OG0003304	evm.model.RL_4.3424	ESY7_g19659_DN3_SP0_c0.t1
OG0003304	evm.model.RL_1.784, evm.model.RL_1.785	ESY3_g30793_DN2_SP0_c0.t1
OG0003305	evm.model.RL_1.226	ESY3_g32387_DN3_SP0_c0.t1
OG0003305	evm.model.RL_4.1952	ESY7_g17241_DN3_SP8_c0.t1
OG0003306	evm.model.RL_1.400	ESY3_g31926_DN3_SP8_c0.t1
OG0003307	evm.model.RL_4.1025, evm.model.RL_1.433	ESY3_g31809_DN3_SP7_c0.t1
OG0003308	evm.model.RL_1.705	ESY3_g30673_DN3_SP0_c0.t1
OG0003308	evm.model.RL_4.786	ESY15_g64738_DN2_SP0_c0.t1
OG0003309	evm.model.RL_2.2035	ESY13_g56755_DN3_SP0_c0.t1
OG0003310	evm.model.RL_5.1547	ESY5_g4375_DN3_SP0_c0.t1
OG0003310	evm.model.RL_3.2249	ESY2_g36113_DN3_SP0_c0.t1
OG0003312	evm.model.RL_3.1757	ESY2_g35942_DN3_SP0_c0.t1
OG0003312	evm.model.RL_5.1665, evm.model.RL_5.1660	ESY5_g4215_DN3_SP0_c0.t1
OG0003313	evm.model.RL_5.1645, evm.model.RL_3.1770	ESY2_g34862_DN3_SP8_c0.t1
OG0003314	evm.model.RL_3.1888, evm.model.RL_5.1727	ESY2_g35006_DN2_SP0_c13.t1
OG0003315	evm.model.RL_3.2093	ESY2_g34688_DN3_SP0_c0.t1
OG0003315	evm.model.RL_5.3625	ESY5_g2546_DN3_SP0_c0.t1
OG0003316	evm.model.RL_5.3536, evm.model.RL_5.3534	ESY2_g35033_DN3_SP0_c0.t1
OG0003317	evm.model.RL_5.3509, evm.model.RL_7.1892, evm.model.RL_7.1877, evm.model.RL_5.3506	ESY5_g2264_DN3_SP0_c92.t1
OG0003318	evm.model.RL_5.3436	ESY5_g2094_DN3_SP5_c0.t1, ESY2_g35588_DN3_SP0_c15.t1
OG0003319	evm.model.RL_5.3327	ESY5_g1561_DN3_SP8_c0.t1, ESY16_g62349_DN3_SP0_c0.t1
OG0003319	evm.model.RL_3.1355	ESY2_g35443_DN3_SP0_c0.t1
OG0003320	evm.model.RL_5.3205	ESY13_g57570_DN3_SP0_c0.t1, ESY6_g47537_DN3_SP3_c0.t1, ESY8_g60779_DN3_SP6_c0.t1
OG0003321	evm.model.RL_6.420	ESY8_g59362_DN3_SP0_c0.t1
OG0003321	evm.model.RL_2.2711	ESY4_g25050_DN3_SP2_c0.t1
OG0003322	evm.model.RL_5.1034	ESY5_g3705_DN3_SP8_c0.t1
OG0003323	evm.model.RL_5.608, evm.model.RL_5.609	ESY5_g4506_DN3_SP0_c0.t1
OG0003324	evm.model.RL_1.97, evm.model.RL_2.41	ESY7_g17487_DN3_SP1_c0.t1
OG0003325	evm.model.RL_4.1014	ESY10_g15652_DN1_SP0_c0.t1, ESY6_g49830_DN3_SP0_c0.t1
OG0003326	evm.model.RL_4.2873, evm.model.RL_4.2874	ESY7_g18714_DN3_SP8_c0.t1
OG0003327	evm.model.RL_4.2972.1.687c86dc	ESY7_g18864_DN3_SP8_c0.t1
OG0003327	evm.model.RL_7.774	ESY1_g10649_DN3_SP6_c0.t1
OG0003328	evm.model.RL_4.1335	ESY6_g50117_DN3_SP5_c0.t1
OG0003329	evm.model.RL_3.1164	ESY21_g55175_DN3_SP0_c0.t1
OG0003330	evm.model.RL_3.1377	ESY2_g35467_DN3_SP7_c0.t1
OG0003330	evm.model.RL_5.3345	ESY3_g28806_DN3_SP0_c0.t1
OG0003331	evm.model.RL_3.2171	ESY2_g35092_DN3_SP6_c0.t1
OG0003332	evm.model.RL_3.1936	ESY2_g36000_DN1_SP0_c0.t1
OG0003333	evm.model.RL_3.1800	ESY2_g34896_DN3_SP0_c0.t1
OG0003333	evm.model.RL_5.1672	ESY5_g4205_DN3_SP0_c0.t1
OG0003334	evm.model.RL_3.2280_evm.model.RL_3.2281	ESY2_g36161_DN3_SP0_c0.t1, ESY2_g36158_DN1_SP0_c0.t1, ESY2_g36162_DN3_SP0_c0.t1, ESY2_g36164_DN3_SP0_c0.t1, ESY7_g18276_DN2_SP0_c0.t1
OG0003335	evm.model.RL_3.2292, evm.model.RL_5.1524	ESY2_g36822_DN3_SP8_c0.t1
OG0003336	evm.model.RL_1.1239_evm.model.RL_1.1238	ESY3_g30186_DN3_SP0_c0.t1, ESY12_g51957_DN3_SP0_c0.t1, ESY3_g30187_DN3_SP0_c0.t1, ESY3_g30185_DN3_SP0_c0.t1
OG0003337	evm.model.RL_1.1640, evm.model.RL_5.2218	ESY2_g38331_DN3_SP0_c0.t1
OG0003339	evm.model.RL_5.3785	ESY2_g36927_DN1_SP0_c0.t1
OG0003340	evm.model.RL_1.148	ESY12_g52238_DN3_SP0_c0.t1
OG0003341	evm.model.RL_7.545, evm.model.RL_7.546, evm.model.RL_7.544	ESY1_g11520_DN3_SP0_c0.t1, ESY1_g11518_DN2_SP0_c0.t1
OG0003342	evm.model.RL_7.496	ESY1_g11398_DN3_SP0_c0.t1
OG0003343	evm.model.RL_7.152	ESY1_g12418_DN3_SP8_c0.t1
OG0003344	evm.model.RL_5.1884	ESY7_g16743_DN3_SP0_c0.t1, ESY2_g37168_DN1_SP0_c0.t1
OG0003345	evm.model.RL_4.2457, evm.model.RL_8.1142, evm.model.RL_8.329	ESY12_g50873_DN2_SP0_c0.t1, ESY1_g5741_DN2_SP0_c0.t1
OG0003348	evm.model.RL_5.2191	ESY2_g37471_DN2_SP0_c0.t1
OG0003350	evm.model.RL_2.2679, evm.model.RL_2.2675	ESY4_g24966_DN3_SP0_c0.t1
OG0003351	evm.model.RL_2.1766	ESY9_g43804_DN3_SP0_c0.t1
OG0003352	evm.model.RL_6.1394, evm.model.RL_4.2003	ESY7_g17315_DN3_SP0_c0.t1, ESY7_g17314_DN3_SP0_c0.t1, ESY7_g17313_DN3_SP0_c0.t1
OG0003356	evm.model.RL_1.970, evm.model.RL_1.968	ESY3_g31128_DN3_SP0_c0.t1
OG0003359	evm.model.RL_2.2719, evm.model.RL_2.2720	ESY4_g25065_DN3_SP0_c0.t1
OG0003360	evm.model.RL_2.2737	ESY8_g59336_DN3_SP0_c0.t1
OG0003362	evm.model.RL_1.2698, evm.model.RL_2.2895_evm.model.RL_2.2896	ESY4_g25794_DN3_SP0_c0.t1
OG0003363	evm.model.RL_2.2952	ESY4_g25699_DN3_SP4_c0.t1
OG0003364	evm.model.RL_2.3010	ESY4_g25522_DN3_SP8_c5.t1
OG0003365	evm.model.RL_2.2887	ESY4_g25817_DN3_SP0_c0.t1, ESY4_g25821_DN3_SP0_c0.t1
OG0003366	evm.model.RL_2.1264, evm.model.RL_6.1602	ESY16_g61626_DN3_SP8_c0.t1
OG0003367	evm.model.RL_7.2610	ESY10_g14468_DN3_SP0_c0.t1
OG0003367	evm.model.RL_5.1307	ESY5_g2824_DN3_SP3_c0.t1
OG0003368	evm.model.RL_7.2560, evm.model.RL_2.175	ESY1_g10629_DN3_SP0_c0.t1
OG0003369	evm.model.RL_7.2499	ESY10_g14152_DN3_SP0_c0.t1
OG0003370	evm.model.RL_5.1188	ESY5_g2629_DN3_SP0_c0.t1
OG0003370	evm.model.RL_7.2438	ESY10_g14020_DN3_SP0_c0.t1
OG0003371	evm.model.RL_2.43	ESY8_g60282_DN3_SP8_c0.t1
OG0003371	evm.model.RL_7.2258	ESY21_g55847_DN3_SP8_c0.t1
OG0003372	evm.model.RL_2.260, evm.model.RL_7.2135	ESY2_g34545_DN3_SP2_c0.t1
OG0003373	evm.model.RL_2.435, evm.model.RL_3.1021	ESY2_g35237_DN3_SP8_c0.t1
OG0003374	evm.model.RL_3.870	ESY2_g34354_DN3_SP6_c0.t1
OG0003374	evm.model.RL_2.2276	ESY16_g62153_DN3_SP8_c0.t1
OG0003375	evm.model.RL_3.108	ESY2_g33403_DN3_SP4_c0.t1
OG0003375	evm.model.RL_2.134	ESY8_g60106_DN3_SP8_c0.t1
OG0003376	evm.model.RL_2.2106	ESY13_g56265_DN3_SP0_c23.t1
OG0003378	evm.model.RL_8.1081	ESY15_g65237_DN3_SP6_c19.t1
OG0003379	evm.model.RL_8.1622	ESY6_g48011_DN3_SP0_c0.t1
OG0003379	evm.model.RL_2.2189	ESY16_g61657_DN3_SP0_c0.t1, ESY16_g62419_DN3_SP0_c0.t1
OG0003380	evm.model.RL_8.1854	ESY6_g48512_DN3_SP2_c0.t1
OG0003381	evm.model.RL_2.2321	ESY4_g23900_DN3_SP0_c0.t1
OG0003382	evm.model.RL_8.2586, evm.model.RL_4.2555	ESY6_g50564_DN3_SP8_c0.t1
OG0003383	evm.model.RL_8.2214	ESY6_g49512_DN3_SP8_c8.t1
OG0003384	evm.model.RL_2.1448	ESY9_g42792_DN3_SP8_c21.t1
OG0003385	evm.model.RL_2.1586	ESY9_g43311_DN2_SP0_c0.t1
OG0003386	evm.model.RL_2.1717	ESY9_g43719_DN3_SP0_c0.t1
OG0003387	evm.model.RL_5.2640, evm.model.RL_8.740	ESY14_g19794_DN3_SP1_c0.t1
OG0003389	evm.model.RL_6.1493, evm.model.RL_5.3027	ESY1_g5863_DN3_SP6_c0.t1
OG0003390	evm.model.RL_5.2894, evm.model.RL_5.2893	ESY4_g23652_DN3_SP6_c0.t1
OG0003391	evm.model.RL_2.3184	ESY4_g26298_DN3_SP6_c0.t1
OG0003393	evm.model.RL_6.148	ESY8_g59691_DN3_SP1_c17.t1
OG0003394	evm.model.RL_4.1465	ESY6_g49020_DN3_SP8_c0.t1
OG0003394	evm.model.RL_2.504	ESY17_g40201_DN3_SP4_c0.t1
OG0003395	evm.model.RL_2.1576, evm.model.RL_8.673	ESY18_g63696_DN3_SP0_c0.t1
OG0003396	evm.model.RL_8.651, evm.model.RL_8.647	ESY18_g63651_DN3_SP0_c0.t1, ESY18_g63511_DN3_SP0_c0.t1
OG0003397	evm.model.RL_5.2478	ESY6_g49205_DN3_SP0_c0.t1
OG0003397	evm.model.RL_4.280	ESY7_g16807_DN3_SP8_c0.t1
OG0003398	evm.model.RL_2.792	ESY17_g39558_DN3_SP4_c0.t1
OG0003399	evm.model.RL_2.880, evm.model.RL_2.879, evm.model.RL_2.881	ESY10_g14466_DN3_SP0_c0.t1, ESY8_g58513_DN3_SP0_c15.t1, ESY12_g51744_DN3_SP0_c0.t1
OG0003400	evm.model.RL_2.895, evm.model.RL_4.524	ESY27_g13527_DN3_SP8_c0.t1
OG0003401	evm.model.RL_4.811	ESY22_g40751_DN2_SP1_c0.t1
OG0003401	evm.model.RL_2.997	ESY22_g40754_DN3_SP8_c0.t1
OG0003402	evm.model.RL_3.1029	ESY2_g38873_DN3_SP0_c0.t1
OG0003404	evm.model.RL_6.2876	ESY12_g51430_DN3_SP8_c0.t1
OG0003405	evm.model.RL_7.383	ESY1_g11897_DN3_SP8_c0.t1
OG0003406	evm.model.RL_7.2487	ESY10_g14144_DN3_SP0_c0.t1
OG0003407	evm.model.RL_4.3414	ESY7_g19646_DN3_SP0_c0.t1
OG0003407	evm.model.RL_1.791	ESY3_g30806_DN3_SP8_c0.t1
OG0003408	evm.model.RL_7.1417, evm.model.RL_8.2678	ESY6_g50420_DN2_SP0_c0.t1
OG0003409	evm.model.RL_7.1405, evm.model.RL_8.2712	ESY6_g50406_DN3_SP1_c0.t1
OG0003410	evm.model.RL_8.105, evm.model.RL_5.16	ESY5_g5496_DN3_SP3_c0.t1
OG0003411	evm.model.RL_1.2540, evm.model.RL_8.274	ESY20_g13268_DN3_SP0_c5.t1
OG0003411	evm.model.RL_8.271	ESY20_g13263_DN2_SP0_c9.t1
OG0003412	evm.model.RL_6.1335	ESY20_g12680_DN3_SP0_c0.t1
OG0003412	evm.model.RL_5.372	ESY5_g4871_DN3_SP0_c0.t1
OG0003413	evm.model.RL_6.1150	ESY8_g58604_DN3_SP6_c0.t1
OG0003414	evm.model.RL_6.1075	ESY8_g58736_DN3_SP0_c0.t1
OG0003415	evm.model.RL_1.55	ESY3_g32643_DN3_SP0_c0.t1
OG0003416	evm.model.RL_4.2017	ESY7_g17333_DN3_SP7_c0.t1
OG0003417	evm.model.RL_1.441	ESY3_g31798_DN3_SP8_c0.t1
OG0003417	evm.model.RL_4.1035	ESY10_g15590_DN3_SP5_c0.t1
OG0003418	evm.model.RL_1.450	ESY3_g31786_DN3_SP8_c0.t1
OG0003419	evm.model.RL_4.1757	ESY7_g16926_DN3_SP8_c0.t1
OG0003421	evm.model.RL_6.1735, evm.model.RL_6.1734	ESY9_g44365_DN3_SP7_c43.t1
OG0003423	evm.model.RL_6.1883, evm.model.RL_6.1885, evm.model.RL_6.1884	ESY9_g45087_DN3_SP0_c0.t1
OG0003424	evm.model.RL_6.1969	ESY9_g45359_DN3_SP6_c0.t1
OG0003424	evm.model.RL_7.965	ESY1_g10987_DN3_SP8_c0.t1
OG0003425	evm.model.RL_5.1400	ESY5_g2925_DN3_SP7_c0.t1
OG0003426	evm.model.RL_8.1158, evm.model.RL_5.1570	ESY5_g4344_DN3_SP8_c31.t1
OG0003427	evm.model.RL_5.3653	ESY5_g3897_DN2_SP0_c15.t1
OG0003428	evm.model.RL_5.3631	ESY5_g2549_DN3_SP0_c0.t1
OG0003429	evm.model.RL_5.3627, evm.model.RL_3.2091	ESY2_g34690_DN3_SP8_c0.t1
OG0003430	evm.model.RL_5.3366, evm.model.RL_3.1399	ESY2_g35497_DN3_SP2_c0.t1
OG0003431	evm.model.RL_5.3321	ESY5_g1600_DN3_SP0_c0.t1
OG0003432	evm.model.RL_5.3225.4.687c88c0	ESY5_g1076_DN3_SP6_c0.t1
OG0003432	evm.model.RL_5.1069	ESY2_g34463_DN3_SP0_c0.t1
OG0003433	evm.model.RL_6.406	ESY8_g59381_DN3_SP5_c0.t1
OG0003435	evm.model.RL_8.2870	ESY5_g5507_DN3_SP0_c0.t1
OG0003436	evm.model.RL_5.811	ESY5_g3312_DN3_SP0_c0.t1
OG0003437	evm.model.RL_8.1200	ESY3_g29341_DN3_SP6_c0.t1
OG0003437	evm.model.RL_5.1765, evm.model.RL_5.1781	ESY2_g34155_DN3_SP0_c0.t1
OG0003438	evm.model.RL_1.87	ESY3_g32606_DN3_SP0_c0.t1
OG0003439	evm.model.RL_4.1893	ESY7_g17158_DN3_SP7_c0.t1
OG0003439	evm.model.RL_1.265	ESY3_g32294_DN3_SP0_c0.t1
OG0003440	evm.model.RL_4.1852	ESY2_g35022_DN3_SP5_c0.t1, ESY2_g35355_DN3_SP0_c0.t1, ESY7_g19168_DN3_SP0_c0.t1, ESY7_g17106_DN3_SP0_c0.t1
OG0003441	evm.model.RL_8.2291	ESY6_g49391_DN3_SP0_c0.t1, ESY6_g49390_DN3_SP0_c0.t1
OG0003442	evm.model.RL_8.2359	ESY6_g49800_DN3_SP8_c0.t1
OG0003443	evm.model.RL_7.1476, evm.model.RL_4.1330.2.687c86d3	ESY6_g50111_DN3_SP0_c0.t1
OG0003444	evm.model.RL_7.1571_evm.model.RL_7.1573	ESY1_g8991_DN3_SP0_c0.t1, ESY11_g53639_DN1_SP0_c0.t1, ESY11_g53638_DN3_SP0_c0.t1
OG0003445	evm.model.RL_4.1428	ESY6_g48970_DN3_SP8_c0.t1
OG0003446	evm.model.RL_3.1501, evm.model.RL_5.3458	ESY2_g35627_DN2_SP0_c0.t1
OG0003447	evm.model.RL_5.3513, evm.model.RL_3.1610	ESY2_g35772_DN3_SP7_c0.t1
OG0003448	evm.model.RL_3.2346, evm.model.RL_5.1483	ESY2_g36693_DN3_SP2_c0.t1
OG0003449	evm.model.RL_1.1181	ESY2_g33397_DN3_SP0_c0.t1, ESY20_g12703_DN3_SP0_c0.t1, ESY8_g58283_DN3_SP0_c0.t1, ESY2_g37005_DN3_SP0_c0.t1, ESY8_g58285_DN3_SP0_c0.t1, ESY20_g12705_DN3_SP0_c0.t1, ESY3_g30119_DN3_SP0_c0.t1
OG0003450	evm.model.RL_5.3922	ESY2_g36286_DN3_SP0_c0.t1
OG0003450	evm.model.RL_1.1259	ESY3_g30226_DN2_SP0_c0.t1
OG0003451	evm.model.RL_1.1689	ESY3_g29761_DN3_SP1_c0.t1
OG0003452	evm.model.RL_1.1720	ESY3_g29719_DN3_SP7_c0.t1
OG0003452	evm.model.RL_1.1719	ESY3_g29720_DN3_SP0_c0.t1
OG0003453	evm.model.RL_1.1729	ESY3_g29710_DN3_SP0_c0.t1, ESY3_g29708_DN3_SP0_c0.t1
OG0003455	evm.model.RL_2.2987, evm.model.RL_1.2817	ESY4_g25574_DN3_SP1_c0.t1
OG0003456	evm.model.RL_5.3753	ESY2_g36984_DN3_SP0_c0.t1
