Orthogroup	Cardamine_amara	Brassica_rapa
OG0000935	evm.model.RL_2.1623	XP_009137170.1, XP_009108507.1, XP_009134478.1, XP_033138209.1
OG0000936	evm.model.RL_2.1661	XP_009134917.1
OG0000936	evm.model.RL_2.1663	XP_009134988.2
OG0000937	evm.model.RL_8.883, evm.model.RL_2.1913_evm.model.RL_2.1914	XP_009137409.1
OG0000938	evm.model.RL_2.3376	XP_009109459.1
OG0000938	evm.model.RL_2.3377	XP_009126140.1, XP_009126030.2
OG0000939	evm.model.RL_2.3425, evm.model.RL_6.46	XP_009117406.1
OG0000940	evm.model.RL_1.2529	XP_009148490.2, XP_009136177.2
OG0000940	evm.model.RL_1.2530	XP_009150005.2, XP_009109264.2
OG0000941	evm.model.RL_2.925	XP_033132232.1, XP_009139544.2
OG0000941	evm.model.RL_5.413.1.687c88ac	XP_009111051.1
OG0000942	evm.model.RL_6.2495	XP_009109575.1, XP_033147980.1, XP_009102623.1, XP_009135856.1
OG0000946	evm.model.RL_4.3392	XP_009130647.1
OG0000946	evm.model.RL_4.3394	XP_009130644.2
OG0000946	evm.model.RL_4.3393	XP_009125403.1
OG0000947	evm.model.RL_4.2073	XP_009121556.2, XP_009131489.2, XP_018512493.2
OG0000947	evm.model.RL_1.134	XP_009147367.1, XP_009117866.1, XP_009134656.1
OG0000948	evm.model.RL_6.2059, evm.model.RL_7.833	NP_001288915.1
OG0000950	evm.model.RL_4.1087	XP_009129901.1, XP_009151165.1
OG0000950	evm.model.RL_1.511	XP_009124965.1
OG0000951	evm.model.RL_4.105	XP_033136889.1, XP_009114315.1
OG0000952	evm.model.RL_6.2492	XP_009107417.1
OG0000953	evm.model.RL_7.1379	XP_009136538.1, XP_009115692.1
OG0000953	evm.model.RL_7.1371	XP_009128936.1
OG0000954	evm.model.RL_1.1843	XP_009145796.1, XP_009111878.1
OG0000956	evm.model.RL_5.2612	XP_033133977.1, XP_033133978.1, XP_033136192.1, XP_033141552.1, XP_033143241.1, XP_033135707.1, XP_009140734.3, XP_033136817.1, XP_009121087.3
OG0000962	evm.model.RL_2.225	XP_009103750.1, XP_033145627.1, XP_009125282.1, XP_009122028.1
OG0000962	evm.model.RL_7.2182	XP_009111601.1
OG0000963	evm.model.RL_1.847	XP_018511645.1, XP_009146932.1
OG0000965	evm.model.RL_1.1272	XP_009135315.1, XP_009117623.1
OG0000965	evm.model.RL_2.1483	XP_009137000.2, XP_018509337.2, XP_018510714.2
OG0000966	evm.model.RL_2.1500	XP_009137013.1
OG0000967	evm.model.RL_5.2441	XP_009107911.1
OG0000967	evm.model.RL_5.3543	XP_033134135.1, XP_033130846.1, XP_033137049.1
OG0000968	evm.model.RL_2.433	XP_009140164.3, XP_009140165.3
OG0000968	evm.model.RL_2.434	XP_009140163.1, XP_009139751.1
OG0000970	evm.model.RL_8.2730	XP_009103441.1, XP_033131879.1
OG0000970	evm.model.RL_7.1381, evm.model.RL_2.611	XP_009101681.1
OG0000970	evm.model.RL_6.92	XP_033137035.1
OG0000972	evm.model.RL_4.1104	XP_033136548.1, XP_033129761.1, XP_018512095.1
OG0000972	evm.model.RL_1.518	XP_033142910.1, XP_033134240.1, XP_033147700.1
OG0000973	evm.model.RL_1.554	XP_009124937.1, XP_009129652.1, XP_009134877.1
OG0000974	evm.model.RL_6.1729	XP_009141579.2
OG0000975	evm.model.RL_5.1807	XP_009110260.1, XP_009149461.1, XP_009149463.2
OG0000976	evm.model.RL_5.1341, evm.model.RL_5.1340	XP_009117862.1, XP_009117863.1
OG0000977	evm.model.RL_7.1667_evm.model.RL_7.1668_evm.model.RL_7.1669	XP_009149942.1
OG0000979	evm.model.RL_4.534	XP_033133731.1
OG0000983	evm.model.RL_4.1504, evm.model.RL_4.1506, evm.model.RL_4.1508	XP_033141978.1, XP_009121341.1
OG0000986	evm.model.RL_6.66	XP_009129024.2
OG0000986	evm.model.RL_3.121	XP_009137996.1, XP_009127185.1
OG0000988	evm.model.RL_4.2964	XP_009122178.1
OG0000988	evm.model.RL_1.1035	XP_009122269.1
OG0000989	evm.model.RL_8.1304.1.687c855b	XP_009132553.1, XP_009127254.1
OG0000989	evm.model.RL_4.652	XP_009114054.1
OG0000990	evm.model.RL_4.178	XP_009136905.1, XP_009131393.1, XP_009108351.1, XP_009101512.2, XP_009114357.2
OG0000991	evm.model.RL_5.2650	XP_009123743.1
OG0000991	evm.model.RL_5.2648	XP_033133849.1, XP_009123741.1
OG0000992	evm.model.RL_6.83	XP_033137141.1, XP_033145418.1
OG0000992	evm.model.RL_2.3399	XP_009114168.1
OG0000993	evm.model.RL_1.2435, evm.model.RL_2.253, evm.model.RL_1.2104	XP_009136123.2, XP_033131075.1
OG0000994	evm.model.RL_6.1111	XP_009144324.2
OG0000994	evm.model.RL_6.1110	XP_009132715.2, XP_009144325.3
OG0000995	evm.model.RL_6.1248	XP_009132793.1, XP_018514214.1
OG0000995	evm.model.RL_5.448, evm.model.RL_7.480	XP_009111019.1, XP_033138240.1
OG0000996	evm.model.RL_6.1167	XP_009132750.2, XP_009141095.2, XP_009144276.2
OG0000996	evm.model.RL_5.522	XP_009119040.1, XP_009118488.1
OG0000997	evm.model.RL_1.332, evm.model.RL_5.1192	XP_009110581.2, XP_033128937.1, XP_009117998.2, XP_009125005.2, XP_009124017.2
OG0000998	evm.model.RL_6.2077	XP_009143296.1, NP_001288961.1, XP_009141827.1
OG0000998	evm.model.RL_7.810	NP_001288942.1, XP_009139160.1
OG0001000	evm.model.RL_4.2147	XP_009131425.1, XP_009121628.1
OG0001001	evm.model.RL_4.1155	XP_009151113.1
OG0001001	evm.model.RL_4.1156, evm.model.RL_4.1157	XP_009129937.1, XP_033140417.1
OG0001002	evm.model.RL_1.1244	XP_009146528.1
OG0001002	evm.model.RL_5.3947	XP_009147492.1, XP_033148487.1
OG0001003	evm.model.RL_5.3722	XP_009144827.1, XP_009147676.1
OG0001004	evm.model.RL_6.2130	XP_009141871.1, XP_009144094.2
OG0001008	evm.model.RL_2.2446	XP_009128910.1, XP_033144108.1, XP_009109045.1
OG0001008	evm.model.RL_2.2445	XP_009109046.1, XP_009137842.1
OG0001009	evm.model.RL_2.2489, evm.model.RL_2.2488	XP_009128542.1, XP_009109027.1
OG0001009	evm.model.RL_2.2487	XP_009128553.1
OG0001010	evm.model.RL_5.2768	XP_009108006.1, XP_009145222.1, XP_009114942.1
OG0001010	evm.model.RL_6.1643	XP_033147602.1, XP_009141499.1
OG0001011	evm.model.RL_5.2750	XP_009114918.1, XP_009145209.1
OG0001012	evm.model.RL_3.631	XP_009113355.1, XP_009122967.1
OG0001012	evm.model.RL_5.817	XP_009148259.1, XP_009110817.1
OG0001013	evm.model.RL_3.894, evm.model.RL_3.861, evm.model.RL_3.895	XP_033144908.1, XP_018512093.1
OG0001015	evm.model.RL_2.2077	XP_009109199.3, XP_009137547.1, XP_009139370.1
OG0001016	evm.model.RL_4.2475	XP_009131193.1, XP_009121994.1, XP_033140349.1
OG0001016	evm.model.RL_4.1210	XP_018510605.1, XP_033128074.1
OG0001017	evm.model.RL_8.2647	XP_009150650.1
OG0001018	evm.model.RL_4.1363	XP_009132223.2, XP_009122461.1, XP_009125735.1, XP_033129528.1, XP_033141221.1
OG0001019	evm.model.RL_2.1315	XP_009136859.1
OG0001019	evm.model.RL_4.90.4.687c86cd	XP_009128933.1, XP_033129476.1
OG0001020	evm.model.RL_2.1342	XP_009131146.1, XP_009136883.1, XP_009108346.1
OG0001020	evm.model.RL_4.140	XP_009114333.1, XP_009101497.1
OG0001021	evm.model.RL_7.69	XP_033135541.1, XP_033131242.1, XP_009138699.1
OG0001021	evm.model.RL_6.2938	XP_033146189.1, XP_009142495.1
OG0001022	evm.model.RL_6.2879	XP_009133805.1
OG0001022	evm.model.RL_7.133	XP_009116902.1
OG0001023	evm.model.RL_4.1424	XP_009102241.2, XP_009120616.2
OG0001025	evm.model.RL_5.529	XP_009119033.1
OG0001025	evm.model.RL_6.1155	XP_009144283.1
OG0001026	evm.model.RL_1.95	XP_009125036.2, XP_009134622.2
OG0001026	evm.model.RL_4.2120	XP_009121613.1, XP_009131435.1
OG0001027	evm.model.RL_5.977	XP_009110595.1, XP_033134916.1
OG0001028	evm.model.RL_6.2049	XP_009141801.1, XP_033148184.1, XP_033148009.1
OG0001028	evm.model.RL_7.855	XP_009139196.1, XP_033134654.1
OG0001029	evm.model.RL_5.3564	XP_009110163.2, XP_009103275.1, XP_009145387.1
OG0001029	evm.model.RL_3.2167	XP_009128241.1
OG0001030	evm.model.RL_5.1813	XP_033131403.1
OG0001030	evm.model.RL_3.1974	XP_009106211.1, XP_033141536.1
OG0001031	evm.model.RL_5.1826	XP_009149494.2, XP_033133412.1, XP_009103369.1
OG0001031	evm.model.RL_3.1986	XP_009106230.1, XP_009104697.1
OG0001032	evm.model.RL_3.2070	XP_009104665.2, XP_009128186.1
OG0001032	evm.model.RL_5.3640	XP_033132215.1, XP_009149582.1, XP_009103312.1
OG0001033	evm.model.RL_6.971	XP_033130553.1
OG0001034	evm.model.RL_5.3439	XP_033132096.1
OG0001035	evm.model.RL_1.349	XP_009111890.1, XP_009111889.1
OG0001036	evm.model.RL_3.2263_evm.model.RL_3.2264_evm.model.RL_3.2265.6.687c9761	XP_009106586.1
OG0001037	evm.model.RL_3.2379	XP_009106705.2
OG0001038	evm.model.RL_1.1203	XP_033136292.1
OG0001038	evm.model.RL_1.1204	XP_009135274.1, XP_009124697.1
OG0001039	evm.model.RL_5.2178	XP_033146794.1, XP_009147972.1, XP_009107365.1
OG0001039	evm.model.RL_1.1675	XP_009135535.1, XP_009113935.1, XP_033148078.1
OG0001040	evm.model.RL_5.1907	XP_009107171.2, XP_009144891.1
OG0001040	evm.model.RL_1.2042	XP_018512632.1, XP_033142627.1, XP_033137003.1
OG0001041	evm.model.RL_1.3135	XP_009149898.1
OG0001041	evm.model.RL_7.1628	XP_009149895.1
OG0001042	evm.model.RL_5.1875	XP_009144904.1
OG0001043	evm.model.RL_5.1891	XP_009144872.2
OG0001044	evm.model.RL_7.820	XP_009103956.2, XP_009116237.2, XP_009139167.2
OG0001045	evm.model.RL_7.1862, evm.model.RL_7.1863, evm.model.RL_7.1781, evm.model.RL_7.1780	XP_033128846.1
OG0001048	evm.model.RL_4.3026	XP_009130864.1
OG0001048	evm.model.RL_4.2422	XP_009121922.1, XP_009121921.1
OG0001051	evm.model.RL_2.3027	XP_033134065.1, XP_009106517.1
OG0001052	evm.model.RL_2.3036	XP_009108624.1
OG0001053	evm.model.RL_3.565	XP_009102827.1, XP_009113325.1
OG0001053	evm.model.RL_5.857	XP_009118289.1
OG0001054	evm.model.RL_3.300	XP_009105752.1
OG0001054	evm.model.RL_3.301	XP_009105270.1
OG0001055	evm.model.RL_7.2495, evm.model.RL_7.2468	XP_033141184.1
OG0001056	evm.model.RL_1.953	XP_018514567.1
OG0001056	evm.model.RL_4.3093	XP_033138098.1, XP_009130819.1, XP_033140883.1
OG0001057	evm.model.RL_2.2283	XP_009143803.1, XP_009137684.1
OG0001057	evm.model.RL_8.1506, evm.model.RL_8.1507	XP_009119949.2, XP_009132452.1
OG0001058	evm.model.RL_2.1269	XP_009108296.1, XP_009144713.1
OG0001058	evm.model.RL_2.3110	XP_009138391.1, XP_009149208.1
OG0001060	evm.model.RL_2.896	XP_009107496.2, XP_009139575.1
OG0001060	evm.model.RL_1.2283	XP_009102577.2, XP_009106322.2, XP_009135865.1
OG0001061	evm.model.RL_1.2195	XP_009145244.1, XP_009108423.1
OG0001061	evm.model.RL_2.977, evm.model.RL_2.976	XP_033128319.1, XP_018513016.2
OG0001062	evm.model.RL_8.2716, evm.model.RL_6.209, evm.model.RL_7.1391	XP_009101566.2
OG0001063	evm.model.RL_1.519	XP_009147196.1, XP_033132500.1, XP_033131800.1, XP_033131807.1, XP_033134074.1
OG0001064	evm.model.RL_6.1802	XP_009143533.1, XP_009141625.1
OG0001064	evm.model.RL_7.1064, evm.model.RL_7.1062, evm.model.RL_7.1851, evm.model.RL_7.1063	XP_009103852.1, XP_009116020.2, XP_033145799.1
OG0001065	evm.model.RL_6.1862	XP_009141638.1, XP_009133130.1, XP_009143522.2
OG0001065	evm.model.RL_7.1043	XP_009139409.1, XP_009103862.1, XP_009116037.2
OG0001066	evm.model.RL_6.1861	XP_009133135.1, XP_009143521.1, XP_009141639.1
OG0001066	evm.model.RL_7.1042	XP_009116038.1
OG0001067	evm.model.RL_3.2305.2.687c84be	XP_009106616.2, XP_033140002.1
OG0001067	evm.model.RL_5.1512	XP_033132698.1, XP_033136560.1
OG0001068	evm.model.RL_3.1631	XP_009140544.1, XP_009104860.2, XP_009105896.2, XP_009127928.1
OG0001069	evm.model.RL_3.1920	XP_009106166.1, XP_009104725.1
OG0001069	evm.model.RL_5.1770	XP_009149416.1, XP_009110278.1, XP_009117543.1
OG0001070	evm.model.RL_5.3236	XP_009115330.1, XP_033132492.1
OG0001070	evm.model.RL_1.2931	XP_033131362.1
OG0001071	evm.model.RL_5.1253, evm.model.RL_5.1252	XP_009148694.2, XP_009148695.2
OG0001071	evm.model.RL_5.1254	XP_009148696.1, XP_009110557.1
OG0001072	evm.model.RL_4.1341	XP_009141778.1
OG0001072	evm.model.RL_7.1490	XP_009151668.1, XP_009149775.1, NP_001288976.1
OG0001076	evm.model.RL_2.2967	XP_009129306.1, XP_033141124.1, XP_033141522.1
OG0001079	evm.model.RL_1.88	XP_009142846.1, XP_033147379.1
OG0001080	evm.model.RL_8.2750	XP_033146059.1
OG0001080	evm.model.RL_6.2063	XP_009109960.1, XP_009137615.2
OG0001080	evm.model.RL_8.2749	XP_009103814.2
OG0001084	evm.model.RL_1.3239	XP_033136939.1
OG0001084	evm.model.RL_2.2364	XP_009129591.1, XP_009137789.1, XP_033133070.1
OG0001085	evm.model.RL_1.3150	XP_033136547.1, XP_009102142.1, XP_009117526.1
OG0001085	evm.model.RL_2.2463	XP_009128755.2, XP_009137848.1, XP_009109042.1
OG0001086	evm.model.RL_2.2852	XP_009138188.2, XP_009122672.2, XP_009108801.1
OG0001086	evm.model.RL_1.2662, evm.model.RL_1.2665.1.687c87f0	XP_009136222.1, XP_009122945.1
OG0001087	evm.model.RL_2.2991, evm.model.RL_2.2992	XP_009138312.1, XP_009110680.1, XP_033132207.1
OG0001089	evm.model.RL_7.2158, evm.model.RL_7.2156	XP_009151843.1
OG0001089	evm.model.RL_7.2159	XP_033140773.1, XP_009111607.2, XP_018511998.2
OG0001090	evm.model.RL_5.2336	XP_033137030.1
OG0001091	evm.model.RL_7.1499	XP_009149790.3, XP_009151567.1
OG0001091	evm.model.RL_8.1196	XP_009132682.1
OG0001092	evm.model.RL_4.2863	XP_009125663.1
OG0001092	evm.model.RL_4.2864	XP_009122299.1
OG0001093	evm.model.RL_4.1716	XP_009126355.1, XP_009120894.1
OG0001093	evm.model.RL_4.2368	XP_009121874.2, XP_009125853.1, XP_009131258.2
OG0001094	evm.model.RL_4.2578	XP_033137440.1, XP_009125331.1
OG0001094	evm.model.RL_8.2606.4.687c8562	XP_009130499.1, XP_033136254.1, XP_033134815.1, XP_018515521.1
OG0001095	evm.model.RL_2.776, evm.model.RL_2.779	XP_009114146.1
OG0001096	evm.model.RL_7.550	XP_009104101.2, XP_033145588.1, XP_018510603.2
OG0001096	evm.model.RL_6.2325	XP_009142031.1, XP_018513518.1
OG0001097	evm.model.RL_7.1433	XP_009117047.1
OG0001098	evm.model.RL_7.1425	XP_009149709.1, XP_009136516.1
OG0001098	evm.model.RL_8.2672	XP_009112200.2, XP_009150670.2, XP_009130528.1
OG0001100	evm.model.RL_6.1311	XP_009141212.1
OG0001100	evm.model.RL_5.396	XP_009119163.1
OG0001101	evm.model.RL_4.2166	XP_009121653.1, XP_033140944.1
OG0001101	evm.model.RL_1.62, evm.model.RL_4.2096, evm.model.RL_6.857	XP_033130223.1
OG0001102	evm.model.RL_1.137	XP_033139813.1, XP_009147366.1, XP_009134657.1
OG0001102	evm.model.RL_4.2065	XP_009131492.1, XP_009121550.2
OG0001103	evm.model.RL_4.980	XP_009151249.2
OG0001103	evm.model.RL_1.364	XP_033144330.1, XP_009123983.1, XP_033147471.1
OG0001104	evm.model.RL_1.410.1.687c87ea	XP_009124973.1, XP_009151240.1, XP_009124208.2, XP_009111923.1, XP_009129842.1
OG0001105	evm.model.RL_3.2411	XP_009106732.1, XP_009128404.2, XP_009104472.1
OG0001105	evm.model.RL_5.1434.1.687c88b4	XP_009117804.1, XP_009149011.1
OG0001106	evm.model.RL_5.1531	XP_009149125.1
OG0001106	evm.model.RL_3.2289	XP_009128314.1, XP_009117738.1, XP_009106601.1
OG0001107	evm.model.RL_5.1620	XP_009117639.1, XP_009149241.1
OG0001108	evm.model.RL_3.1884	XP_009128061.2, XP_009104748.1
OG0001108	evm.model.RL_5.1724	XP_009149372.1
OG0001109	evm.model.RL_3.2155	XP_009106410.1, XP_009128231.1
OG0001109	evm.model.RL_5.3577.1.687c88c3	XP_009103284.1, XP_009149696.1, XP_009110169.1
OG0001110	evm.model.RL_3.1387	XP_009105667.1, XP_033141565.1
OG0001110	evm.model.RL_3.1388	XP_009105666.1
OG0001111	evm.model.RL_3.1119	XP_009127555.1, XP_009105119.1, XP_009105285.2
OG0001111	evm.model.RL_5.3150.1.687c88c0	XP_009113763.1, XP_009109807.1
OG0001112	evm.model.RL_4.930, evm.model.RL_4.899	XP_018513688.2, XP_009117317.1
OG0001112	evm.model.RL_4.959	XP_033129765.1
OG0001115	evm.model.RL_3.1636	XP_009127933.1, XP_009105904.2, XP_009104858.1
OG0001115	evm.model.RL_5.1574	XP_033129817.1, XP_009110414.1
OG0001116	evm.model.RL_5.1917	XP_009144895.1
OG0001116	evm.model.RL_1.2034	XP_009145516.1, XP_009109818.1, XP_009135731.1
OG0001117	evm.model.RL_2.1109	XP_009107853.1, XP_033144775.1
OG0001118	evm.model.RL_6.1339	XP_009141243.1
OG0001120	evm.model.RL_2.3116	XP_009109260.1, XP_009138393.1
OG0001120	evm.model.RL_1.2960	XP_033131373.1
OG0001124	evm.model.RL_1.3221	XP_009102230.1
OG0001124	evm.model.RL_2.2224.1.687c86e5	XP_009137637.1
OG0001125	evm.model.RL_5.2800	XP_009114987.1
OG0001125	evm.model.RL_6.1648, evm.model.RL_6.1647	XP_009142095.2, XP_009143645.1, XP_009133173.2
OG0001127	evm.model.RL_5.1306.2.687c88b3	XP_018510654.1, XP_009148837.2, XP_009110535.1
OG0001127	evm.model.RL_7.2608	XP_033136407.1, XP_009129169.2, XP_009101274.2
OG0001128	evm.model.RL_7.2474	XP_033136460.1, XP_033139879.1, XP_033128423.1
OG0001128	evm.model.RL_5.1202	XP_033134932.1, XP_009148651.1
OG0001129	evm.model.RL_7.2143	XP_009129350.1, XP_009151827.1
OG0001130	evm.model.RL_7.2038	XP_009151751.1, XP_009129680.1, XP_009111808.1
OG0001130	evm.model.RL_2.342	XP_009139807.1, XP_009107602.2
OG0001131	evm.model.RL_2.2102	XP_009139626.1, XP_033148013.1
OG0001131	evm.model.RL_8.1801	XP_009120250.1
OG0001132	evm.model.RL_4.3238	XP_033137659.1, XP_033145108.1, XP_009125473.2
OG0001132	evm.model.RL_1.879	XP_009123236.2, XP_009135043.1
OG0001133	evm.model.RL_2.2202	XP_009137622.1, XP_009142838.1, XP_009109166.1
OG0001133	evm.model.RL_8.1609	XP_009120039.1
OG0001134	evm.model.RL_4.2280, evm.model.RL_4.2281	XP_009125912.2, XP_009131335.2
OG0001135	evm.model.RL_8.2570.2.687c8562	XP_009130479.1, XP_009112162.1, XP_033128212.1
OG0001135	evm.model.RL_4.2586.1.687c86da	XP_009122107.1, XP_009125337.1
OG0001136	evm.model.RL_2.1338	XP_009131115.1, XP_033133181.1, XP_009136879.1
OG0001136	evm.model.RL_4.132	XP_009101488.1, XP_009114327.1
OG0001137	evm.model.RL_4.299	XP_033139919.1, XP_009101608.1, XP_009113867.1
OG0001137	evm.model.RL_2.1485	XP_009137004.1, XP_009132702.2
OG0001138	evm.model.RL_2.1727	XP_009135725.1, XP_009108554.1
OG0001138	evm.model.RL_8.504	XP_009114585.1
OG0001139	evm.model.RL_5.3101	XP_009109763.1, XP_009113718.1, XP_009102940.2
OG0001139	evm.model.RL_5.3160	XP_009109823.2, XP_009102992.2, XP_009113780.2
OG0001140	evm.model.RL_2.3134	XP_009147799.1, XP_009138405.2, XP_009109258.1
OG0001140	evm.model.RL_1.2971	XP_033129554.1, XP_033134404.1, XP_009112461.1
OG0001142	evm.model.RL_1.2167	XP_009145308.1
OG0001142	evm.model.RL_2.1010	XP_009107804.1, XP_009148136.1, XP_009144702.1, XP_009144350.1
OG0001143	evm.model.RL_6.2645	XP_009142317.1, XP_009133702.2
OG0001143	evm.model.RL_7.307	XP_009139311.1, XP_009104273.2, XP_009116736.1
OG0001144	evm.model.RL_7.352	XP_009116687.1, XP_009138870.1
OG0001144	evm.model.RL_6.2576, evm.model.RL_6.2577	XP_033146049.1, XP_033148324.1
OG0001144	evm.model.RL_6.2569	XP_009143026.1
OG0001145	evm.model.RL_1.467	XP_009147239.1
OG0001146	evm.model.RL_6.2291	XP_009133502.1, XP_018514895.1
OG0001146	evm.model.RL_1.939	XP_009135103.1
OG0001147	evm.model.RL_4.1695	XP_009126373.2, XP_009120876.1
OG0001148	evm.model.RL_8.2539	XP_009150538.1, XP_009112140.1, XP_009130460.1
OG0001148	evm.model.RL_4.2615	XP_009125351.1
OG0001149	evm.model.RL_7.1270	XP_009149246.1, XP_009136601.1, XP_009115794.2
OG0001149	evm.model.RL_8.2824	XP_009130564.1, XP_009103537.1
OG0001150	evm.model.RL_4.2029	XP_009131520.2, XP_033138818.1
OG0001150	evm.model.RL_1.172	XP_009118329.1, XP_009147335.1, XP_009134683.1
OG0001151	evm.model.RL_1.618	XP_009134924.2, XP_009147133.1
OG0001152	evm.model.RL_7.749, evm.model.RL_2.774	XP_009116333.1, XP_033146521.1
OG0001152	evm.model.RL_6.2180	XP_009141911.1, XP_009142696.1
OG0001153	evm.model.RL_7.1106	XP_009125231.2, XP_009148742.1, XP_009145588.2
OG0001154	evm.model.RL_2.2538, evm.model.RL_3.1935	XP_009106179.1, XP_009128085.2, XP_009104714.1
OG0001154	evm.model.RL_5.1776	XP_009117538.2, XP_009149433.1
OG0001155	evm.model.RL_3.2009	XP_009104689.3
OG0001155	evm.model.RL_5.1852	XP_009110236.1, XP_018515393.1
OG0001156	evm.model.RL_5.3413	XP_009115513.2, XP_009110097.1
OG0001156	evm.model.RL_3.1436	XP_009127796.1, XP_009105707.1
OG0001157	evm.model.RL_5.1006	XP_033128948.1
OG0001157	evm.model.RL_5.997	XP_009148463.1
OG0001158	evm.model.RL_5.3448	XP_009115558.1, XP_009103190.1
OG0001159	evm.model.RL_3.2075	XP_033131608.1, XP_009106331.1
OG0001159	evm.model.RL_3.2074	XP_033141467.1, XP_009106330.1
OG0001160	evm.model.RL_5.3932	XP_009103723.2
OG0001160	evm.model.RL_1.1253	XP_009146491.1
OG0001161	evm.model.RL_1.2039	XP_009109756.2, XP_009145509.1
OG0001161	evm.model.RL_5.1911	XP_009107173.1, XP_009147757.1, XP_009144893.1
OG0001162	evm.model.RL_5.2099, evm.model.RL_5.2098	XP_009107315.1, XP_033128869.1, XP_009147916.1
OG0001164	evm.model.RL_8.2333	XP_018512024.2
OG0001165	evm.model.RL_4.2449	XP_009131201.1
OG0001165	evm.model.RL_4.2450	XP_009121957.1
OG0001169	evm.model.RL_8.1508	XP_009132451.1, XP_009119951.1
OG0001170	evm.model.RL_1.453	XP_033144882.1
OG0001170	evm.model.RL_4.1045.1.687c86d1	XP_009129866.1
OG0001171	evm.model.RL_3.403	XP_009113156.1, XP_009104198.1
OG0001171	evm.model.RL_3.404	XP_009148437.1
OG0001171	evm.model.RL_5.961	XP_009144404.1
OG0001172	evm.model.RL_7.2515	XP_009152169.1
OG0001172	evm.model.RL_5.1229	XP_018514957.1
OG0001173	evm.model.RL_2.2130	XP_009139916.1
OG0001173	evm.model.RL_3.56	XP_009112889.1
OG0001174	evm.model.RL_1.986	XP_033142266.1, XP_009122650.1
OG0001174	evm.model.RL_4.3033	XP_033130435.1, XP_033138400.1, XP_033135332.1, XP_033138059.1
OG0001175	evm.model.RL_8.1695	XP_009132330.1, XP_009120133.1
OG0001175	evm.model.RL_8.1693	XP_009120131.1
OG0001176	evm.model.RL_8.2629.2.687c8562	XP_009112184.1, XP_009150631.1
OG0001176	evm.model.RL_4.2535	XP_009131159.1, XP_009125300.1
OG0001177	evm.model.RL_4.2754, evm.model.RL_4.2758	XP_033146260.1, XP_009125712.2
OG0001178	evm.model.RL_4.2771	XP_009125702.1, XP_009122400.2
OG0001178	evm.model.RL_8.2202	XP_009136458.2
OG0001179	evm.model.RL_2.1426	XP_033129042.1
OG0001179	evm.model.RL_1.2341	XP_033144188.1
OG0001180	evm.model.RL_2.1518	XP_009108431.1, XP_009132958.1
OG0001180	evm.model.RL_4.326, evm.model.RL_4.329	XP_009128764.1, XP_009101616.1
OG0001181	evm.model.RL_2.1682	XP_033148024.1, XP_009108529.2, XP_009137213.2
OG0001181	evm.model.RL_8.446	XP_009114536.1
OG0001182	evm.model.RL_6.1496	XP_009141359.2, XP_009132974.1, XP_009143809.2, XP_009143811.2
OG0001182	evm.model.RL_5.3024	XP_009102887.1, XP_009123178.1
OG0001183	evm.model.RL_2.3102	XP_009109275.3
OG0001183	evm.model.RL_1.2951	XP_009112445.1, XP_009150775.1, XP_033131361.1
OG0001184	evm.model.RL_6.2804	XP_009142429.1
OG0001185	evm.model.RL_7.209	XP_009116830.1, XP_009104332.1
OG0001185	evm.model.RL_6.2774	XP_009142662.1
OG0001186	evm.model.RL_7.655, evm.model.RL_7.423	XP_009138921.1
OG0001186	evm.model.RL_7.426, evm.model.RL_7.424, evm.model.RL_7.656	XP_033130959.1
OG0001187	evm.model.RL_6.1324	XP_033147675.1, XP_009133158.1
OG0001187	evm.model.RL_5.386	XP_009111056.1, XP_009118601.1
OG0001188	evm.model.RL_4.2897	XP_009122253.1
OG0001189	evm.model.RL_1.51.5.687c87e9	XP_009147448.1, XP_009134597.1
OG0001189	evm.model.RL_4.2182	XP_033142251.1, XP_009121662.1, XP_009125973.1
OG0001190	evm.model.RL_1.314	XP_009102089.2, XP_009130401.1
OG0001190	evm.model.RL_4.1830	XP_033142654.1, XP_009121003.2, XP_033138875.1
OG0001191	evm.model.RL_4.1037	XP_009151205.1, XP_009129863.1
OG0001191	evm.model.RL_1.445	XP_009147261.1, XP_009134816.1
OG0001192	evm.model.RL_2.1157	XP_033144768.1, XP_009107883.2, XP_009146474.1
OG0001193	evm.model.RL_7.799	XP_009139148.2, XP_009116262.1
OG0001193	evm.model.RL_6.2091	XP_009141837.2, XP_009143283.2, XP_009133384.1
OG0001194	evm.model.RL_7.769	XP_009116286.1
OG0001194	evm.model.RL_1.761	XP_009123935.1, XP_009147001.1
OG0001196	evm.model.RL_3.1919	XP_009106164.3, XP_009128073.1
OG0001196	evm.model.RL_5.1768.4.687c88b6	XP_009110279.2, XP_009149408.1, XP_009117548.1
OG0001197	evm.model.RL_7.925	XP_009116134.1
OG0001198	evm.model.RL_4.1070	XP_009129885.1, XP_033135104.1, XP_033135107.1, XP_009111773.1, XP_033129709.1
OG0001200	evm.model.RL_4.1661	XP_009126397.1
OG0001201	evm.model.RL_4.1362	XP_009141677.1
OG0001202	evm.model.RL_7.1368	XP_009115694.1
OG0001202	evm.model.RL_7.1435	XP_018515359.1
OG0001203	evm.model.RL_7.1922	XP_033130038.1, NP_001288883.1, NP_001288810.1, XP_009132305.2
OG0001205	evm.model.RL_5.3779	XP_033128388.1, XP_009107000.1
