Orthogroup	Cardamine_amara	Arabidopsis_lyrata_Rawat
OG0004281	evm.model.RL_2.2913.1.687c86e7	AL7G17410
OG0004282	evm.model.RL_2.2986	AL7G16620
OG0004283	evm.model.RL_2.3043	AL7G16020
OG0004284	evm.model.RL_5.2812	AL1G49770
OG0004285	evm.model.RL_7.1963, evm.model.RL_5.2740	AL1G46330
OG0004286	evm.model.RL_3.705, evm.model.RL_3.704	AL1G65870
OG0004287	evm.model.RL_7.2679	AL5G10300
OG0004288	evm.model.RL_7.2578	AL5G11910
OG0004289	evm.model.RL_7.2462	AL5G14100
OG0004290	evm.model.RL_7.2304	AL5G16400
OG0004291	evm.model.RL_4.64	AL8G10730
OG0004292	evm.model.RL_7.2199	AL5G18080
OG0004293	evm.model.RL_3.787	AL8G14410, AL2G18990
OG0004294	evm.model.RL_3.784	AL1G64650
OG0004294	evm.model.RL_6.2373	AL4G41050
OG0004295	evm.model.RL_6.2244	AL4G39160
OG0004296	evm.model.RL_1.914	AL3G21380
OG0004297	evm.model.RL_1.1029	AL3G22750
OG0004298	evm.model.RL_1.1094	AL3G23390
OG0004299	evm.model.RL_8.1190	AL8G25020
OG0004300	evm.model.RL_8.1230	AL1G52040
OG0004301	evm.model.RL_8.1233	AL2G22290, AL8G25570
OG0004302	evm.model.RL_8.1262	AL130U10010, AL8G25870
OG0004303	evm.model.RL_2.2168	AL7G26410
OG0004304	evm.model.RL_8.1872	AL8G34070
OG0004305	evm.model.RL_4.1135	AL6G38210
OG0004306	evm.model.RL_4.2279	AL6G24070
OG0004307	evm.model.RL_4.2399	AL3G26740, AL6G22640
OG0004309	evm.model.RL_4.2702	AL6G18890
OG0004310	evm.model.RL_4.2733	AL6G18550
OG0004311	evm.model.RL_2.1367.3.687c86e2	AL7G36290
OG0004311	evm.model.RL_4.180.1.687c86cd	AL8G12000
OG0004312	evm.model.RL_2.1388	AL7G36050
OG0004313	evm.model.RL_2.1455	AL7G35180
OG0004314	evm.model.RL_2.1553	AL7G33810, AL7G33820
OG0004315	evm.model.RL_2.1584	AL7G33470
OG0004316	evm.model.RL_2.1607	AL7G33180
OG0004317	evm.model.RL_2.1618.2.687c86e3	AL7G33020
OG0004318	evm.model.RL_2.1770	AL7G30900
OG0004319	evm.model.RL_2.1786	AL7G30720
OG0004320	evm.model.RL_2.1857	AL7G30030
OG0004321	evm.model.RL_2.1919	AL7G29220
OG0004322	evm.model.RL_8.710	AL6G43890, AL6G44740, AL6G44760
OG0004323	evm.model.RL_5.2475	AL1G50270
OG0004323	evm.model.RL_8.845	AL6G42920
OG0004324	evm.model.RL_1.2169	AL3G36960
OG0004325	evm.model.RL_5.3782	AL1G61600
OG0004326	evm.model.RL_5.2969	AL1G43470
OG0004327	evm.model.RL_5.2889	AL1G44480
OG0004328	evm.model.RL_5.2874	AL1G44620
OG0004329	evm.model.RL_6.791, evm.model.RL_6.10	AL4G10100
OG0004330	evm.model.RL_2.3104	AL7G15280
OG0004331	evm.model.RL_2.3205	AL7G14050
OG0004332	evm.model.RL_2.3213	AL7G13980
OG0004333	evm.model.RL_8.773, evm.model.RL_8.771	AL6G43860
OG0004334	evm.model.RL_8.575	AL6G46820
OG0004335	evm.model.RL_3.983	AL176U10010, AL7G41730
OG0004336	evm.model.RL_1.2570	AL3G43930
OG0004336	evm.model.RL_2.633	AL7G44130
OG0004337	evm.model.RL_1.2452	AL3G41980
OG0004337	evm.model.RL_2.744	AL9U12210
OG0004338	evm.model.RL_2.767	AL9U11810
OG0004339	evm.model.RL_2.962	AL7G41740, AL7G41770
OG0004340	evm.model.RL_2.998	AL7G41240
OG0004341	evm.model.RL_2.1011	AL7G41060
OG0004342	evm.model.RL_5.3840	AL1G62420
OG0004343	evm.model.RL_7.72	AL5G45710
OG0004344	evm.model.RL_6.2852	AL4G46550
OG0004345	evm.model.RL_6.2779	AL4G45660
OG0004348	evm.model.RL_6.2440	AL4G41800
OG0004349	evm.model.RL_7.541	AL5G39800
OG0004349	evm.model.RL_6.2359	AL4G40790
OG0004350	evm.model.RL_4.1667	AL6G31340
OG0004351	evm.model.RL_7.813	AL5G36640
OG0004352	evm.model.RL_6.2119	AL4G37700, AL301U10020
OG0004353	evm.model.RL_4.1476	AL6G33400
OG0004354	evm.model.RL_8.2007	AL8G35660
OG0004355	evm.model.RL_8.2439	AL8G40840
OG0004356	evm.model.RL_8.2483	AL8G41300
OG0004358	evm.model.RL_8.2745	AL8G44310
OG0004359	evm.model.RL_8.2763	AL8G44470
OG0004360	evm.model.RL_7.1037, evm.model.RL_8.2915	AL1G10140
OG0004361	evm.model.RL_8.75	AL6G52850
OG0004362	evm.model.RL_5.208	AL1G12980
OG0004362	evm.model.RL_8.353	AL6G49730
OG0004363	evm.model.RL_6.1427	AL4G29080
OG0004364	evm.model.RL_6.1423	AL4G29030
OG0004365	evm.model.RL_5.457	AL1G15910
OG0004366	evm.model.RL_6.1218	AL4G26450
OG0004367	evm.model.RL_6.1200	AL4G26240
OG0004368	evm.model.RL_6.1139	AL4G25350
OG0004369	evm.model.RL_6.1128	AL4G25220
OG0004370	evm.model.RL_6.1123	AL4G25160
OG0004371	evm.model.RL_6.1089	AL4G24730
OG0004372	evm.model.RL_1.78	AL3G10760
OG0004373	evm.model.RL_1.195	AL3G12160
OG0004374	evm.model.RL_1.444	AL3G15650
OG0004375	evm.model.RL_4.1046	AL6G39460
OG0004376	evm.model.RL_1.478.1.687c87ea	AL3G16160
OG0004377	evm.model.RL_1.532	AL3G16780
OG0004378	evm.model.RL_1.546	AL3G16970
OG0004379	evm.model.RL_1.576	AL3G17360
OG0004380	evm.model.RL_1.671	AL3G18580
OG0004381	evm.model.RL_6.1697	AL4G32110, AL970U10020
OG0004382	evm.model.RL_6.1711	AL4G32290
OG0004383	evm.model.RL_6.1788	AL4G33190
OG0004384	evm.model.RL_7.1026	AL5G34510
OG0004385	evm.model.RL_5.1457, evm.model.RL_6.949	AL1G28210
OG0004386	evm.model.RL_5.1605.1.687c88b5	AL1G30070
OG0004387	evm.model.RL_3.1749	AL2G33220, AL2G33230
OG0004388	evm.model.RL_5.1682	AL1G30950
OG0004388	evm.model.RL_3.1821	nbis-gene-598
OG0004389	evm.model.RL_5.1707.1.687c88b6	AL1G31160
OG0004390	evm.model.RL_3.2117	AL2G37310
OG0004391	evm.model.RL_3.1596	AL2G31650
OG0004392	evm.model.RL_5.3477	AL1G36440
OG0004392	evm.model.RL_4.399	AL8G15180
OG0004393	evm.model.RL_5.3293	AL1G39120
OG0004394	evm.model.RL_5.3210	AL1G40100
OG0004395	evm.model.RL_2.1999	AL7G28340
OG0004396	evm.model.RL_6.316	AL4G14630
OG0004397	evm.model.RL_5.1191	AL1G25130
OG0004398	evm.model.RL_5.1141	AL1G24480
OG0004399	evm.model.RL_5.1132	AL1G24350
OG0004400	evm.model.RL_5.1058	AL1G23060
OG0004401	evm.model.RL_5.970	AL1G22060
OG0004402	evm.model.RL_5.926	nbis-gene-583
OG0004403	evm.model.RL_5.870	AL1G20770
OG0004404	evm.model.RL_5.764	AL1G19490, AL1G19480
OG0004405	evm.model.RL_5.652	AL1G18390
OG0004405	evm.model.RL_5.653	AL1G18400
OG0004406	evm.model.RL_5.640.2.687c88ae	AL1G18170
OG0004407	evm.model.RL_4.2110	AL6G26070
OG0004408	evm.model.RL_4.2013	AL6G27160
OG0004409	evm.model.RL_4.1956	AL6G27860
OG0004410	evm.model.RL_4.1797	AL6G29830
OG0004411	evm.model.RL_4.1786	AL6G29920
OG0004412	evm.model.RL_4.1108	AL6G38530
OG0004413	evm.model.RL_4.1054	AL6G39360
OG0004414	evm.model.RL_4.780	AL8G21000
OG0004415	evm.model.RL_4.2928	AL6G16130
OG0004416	evm.model.RL_4.1178	AL6G37440
OG0004418	evm.model.RL_4.1371	AL6G34810, AL4G15050
OG0004419	evm.model.RL_4.1409, evm.model.RL_4.2727	nbis-gene-1553
OG0004420	evm.model.RL_8.2207	AL8G38000
OG0004421	evm.model.RL_7.1431	AL7G47510
OG0004422	evm.model.RL_3.1218_evm.model.RL_3.1220	AL2G27230
OG0004423	evm.model.RL_3.1356	AL2G28850, AL7G43580
OG0004424	evm.model.RL_3.1421	AL2G29550
OG0004425	evm.model.RL_3.1462	AL2G30130
OG0004426	evm.model.RL_3.1586	AL2G31520, AL106U10030
OG0004427	evm.model.RL_3.1604	AL2G31750
OG0004427	evm.model.RL_3.1605	AL2G31740
OG0004428	evm.model.RL_3.1968	AL2G35510
OG0004429	evm.model.RL_3.1872	AL2G34480
OG0004430	evm.model.RL_3.1869	AL2G34440
OG0004430	evm.model.RL_3.1868	AL2G34420
OG0004431	evm.model.RL_3.1687	AL2G32610
OG0004432	evm.model.RL_3.2255	AL2G39000
OG0004433	evm.model.RL_3.2300	AL2G39390
OG0004433	evm.model.RL_3.2301	AL2G39400
OG0004434	evm.model.RL_3.2330	AL2G39870
OG0004436	evm.model.RL_1.1187, evm.model.RL_1.1190	AL3G24600
OG0004437	evm.model.RL_1.1329	AL3G26310
OG0004438	evm.model.RL_1.1342	AL3G26460
OG0004440	evm.model.RL_1.1431, evm.model.RL_1.1435	AL3G27560
OG0004441	evm.model.RL_1.1460	AL3G27830
OG0004442	evm.model.RL_1.1476	AL3G28050
OG0004443	evm.model.RL_1.1550_evm.model.RL_1.1554	AL3G28920
OG0004444	evm.model.RL_1.1769	AL451U10010, AL3G31880
OG0004445	evm.model.RL_1.1892	AL3G33340
OG0004445	evm.model.RL_5.2016	AL1G57850
OG0004446	evm.model.RL_1.1924	AL3G33730
OG0004447	evm.model.RL_1.2015	AL3G34860
OG0004448	evm.model.RL_1.2017	AL3G34880
OG0004449	evm.model.RL_1.2261, evm.model.RL_1.2053	AL3G35380
OG0004450	evm.model.RL_1.2109	AL3G36020
OG0004451	evm.model.RL_1.2224	AL3G37900
OG0004452	evm.model.RL_6.527	AL4G18210
OG0004452	evm.model.RL_2.2814	AL7G18690
OG0004453	evm.model.RL_1.3033	AL3G51840, AL3G46120
OG0004454	evm.model.RL_1.2998	AL3G51360
OG0004455	evm.model.RL_1.3096	AL3G52860, AL3G52870
OG0004456	evm.model.RL_1.3226	AL3G53520
OG0004456	evm.model.RL_6.1702	AL4G32160
OG0004457	evm.model.RL_5.3707	AL1G60660
OG0004458	evm.model.RL_5.1921	AL1G59400
OG0004460	evm.model.RL_5.2148	AL1G55270
OG0004461	evm.model.RL_6.1530	AL4G30380
OG0004461	evm.model.RL_5.2918	AL1G43740
OG0004462	evm.model.RL_7.1198	AL5G32400
OG0004463	evm.model.RL_7.983.1.687c84b7	AL5G34990
OG0004464	evm.model.RL_7.919, evm.model.RL_7.858	AL5G36240
OG0004465	evm.model.RL_7.738	AL4G38240
OG0004466	evm.model.RL_7.694	AL5G38080
OG0004467	evm.model.RL_8.1419	AL8G27920, AL8G27910
OG0004468	evm.model.RL_7.548.1.687c84b5	AL2G40280, AL5G39730
OG0004469	evm.model.RL_7.539, evm.model.RL_6.1927	AL5G39820
OG0004470	evm.model.RL_7.501	AL5G40370
OG0004471	evm.model.RL_6.2661	AL4G44400, AL1G55650
OG0004472	evm.model.RL_7.228	AL5G43740
OG0004474	evm.model.RL_7.65	AL5G45800
OG0004475	evm.model.RL_5.2100	AL1G56060
OG0004477	evm.model.RL_8.1039	AL8G23620
OG0004480	evm.model.RL_6.1486	AL4G29720
OG0004480	evm.model.RL_4.3184	AL6G12870
OG0004481	evm.model.RL_2.2875	AL7G17900
OG0004483	evm.model.RL_3.1422	AL1G37750
OG0004485	evm.model.RL_7.400	nbis-gene-569
OG0004485	evm.model.RL_7.399	AL5G41520
OG0004492	evm.model.RL_1.2246	AL3G38120
OG0004492	evm.model.RL_1.2247	AL3G38170, AL242U10030
OG0004498	evm.model.RL_2.2339	AL7G24330
OG0004499	evm.model.RL_2.2370	AL7G24020
OG0004500	evm.model.RL_2.2407	AL7G23600
OG0004501	evm.model.RL_2.2519	AL7G22280
OG0004502	evm.model.RL_8.1808	AL8G33290
OG0004503	evm.model.RL_2.2543.1.687c86e6	AL7G21910
OG0004504	evm.model.RL_6.279	AL4G13970
OG0004505	evm.model.RL_2.2571	AL7G21550
OG0004506	evm.model.RL_2.2585	AL7G21370
OG0004507	evm.model.RL_7.560, evm.model.RL_7.531	nbis-gene-1389
OG0004508	evm.model.RL_2.2692	AL7G20210
OG0004509	evm.model.RL_2.2725	AL7G19710
OG0004510	evm.model.RL_6.442	AL7G19680, AL4G16790
OG0004511	evm.model.RL_2.2816	AL7G18680
OG0004512	evm.model.RL_2.2960	AL7G16890
OG0004513	evm.model.RL_2.2971.1.687c86e7	AL7G16770
OG0004514	evm.model.RL_2.1219	nbis-gene-1840
OG0004515	evm.model.RL_3.502	AL2G16860
OG0004516	evm.model.RL_3.345	AL2G14980
OG0004517	evm.model.RL_3.2397	AL2G40680
OG0004518	evm.model.RL_2.1881	AL7G29680
OG0004519	evm.model.RL_7.2699	AL5G10560
OG0004520	evm.model.RL_5.3221	AL1G39980
OG0004520	evm.model.RL_3.1212	AL6G31240
OG0004521	evm.model.RL_7.2434, evm.model.RL_7.2433	AL5G14520
OG0004522	evm.model.RL_7.2213	AL5G17640
OG0004522	evm.model.RL_2.207	AL7G49820
OG0004523	evm.model.RL_7.2147	AL5G18690
OG0004524	evm.model.RL_7.2072	AL5G19620
OG0004525	evm.model.RL_3.908.1.687c84bb	AL2G20300
OG0004526	evm.model.RL_5.1107, evm.model.RL_3.198	AL1G23780
OG0004527	evm.model.RL_1.1158.1.687c87ec	AL3G24270
OG0004529	evm.model.RL_1.1134	AL3G23940
OG0004530	evm.model.RL_8.2059	AL8G36360
OG0004531	evm.model.RL_8.1666.1.687c855c	AL8G31420
OG0004532	evm.model.RL_8.1698	AL8G31830
OG0004533	evm.model.RL_8.1738, evm.model.RL_8.1739	AL8G32470
OG0004534	evm.model.RL_8.1750	AL8G32620
OG0004535	evm.model.RL_8.1829	AL8G33520
OG0004536	evm.model.RL_8.1864	AL8G33980
OG0004537	evm.model.RL_4.747	AL8G19880
OG0004538	evm.model.RL_4.2333	AL6G23430
OG0004539	evm.model.RL_4.2345	AL6G23200
OG0004540	evm.model.RL_4.2380	AL6G22840
OG0004541	evm.model.RL_4.2398	AL6G22650
OG0004542	evm.model.RL_4.2473	AL6G21740
OG0004543	evm.model.RL_4.2518	AL6G21180
OG0004544	evm.model.RL_4.2550	AL6G20780
OG0004545	evm.model.RL_4.2666	AL6G19540
OG0004546	evm.model.RL_4.2743	AL6G18460
OG0004547	evm.model.RL_4.2804	AL6G17740
OG0004548	evm.model.RL_2.1398	AL7G35860
OG0004549	evm.model.RL_2.1409	AL7G35770
OG0004550	evm.model.RL_2.1473	AL7G34970
OG0004552	evm.model.RL_2.1870	AL7G29880
OG0004553	evm.model.RL_2.1872	AL7G29860
OG0004554	evm.model.RL_2.1917.1.687c86e4	AL7G29240
OG0004557	evm.model.RL_5.2294, evm.model.RL_5.2293	AL1G52860
OG0004558	evm.model.RL_5.3082	AL1G41660
OG0004559	evm.model.RL_5.3052	AL1G42070
OG0004560	evm.model.RL_5.3048	AL1G42100
OG0004561	evm.model.RL_5.2952	AL1G43600
OG0004562	evm.model.RL_5.2940	AL1G44010
OG0004563	evm.model.RL_5.2848, evm.model.RL_5.2847	AL1G45110
OG0004564	evm.model.RL_2.3070	AL7G15690
OG0004566	evm.model.RL_2.3167	AL7G14570
OG0004567	evm.model.RL_2.484.2.687c86e0	AL7G11780
OG0004568	evm.model.RL_2.570	AL7G45190
OG0004569	evm.model.RL_2.529	AL7G45850
OG0004570	evm.model.RL_5.1543	AL7G50660, AL1G19610
OG0004571	evm.model.RL_7.1621	AL5G26920
OG0004572	evm.model.RL_6.1596	AL4G31130
OG0004573	evm.model.RL_4.96	AL8G11250
OG0004574	evm.model.RL_6.1659	AL4G31760
OG0004575	evm.model.RL_6.1460	AL4G29410
OG0004576	evm.model.RL_8.699	nbis-gene-549, AL6G44910
OG0004577	evm.model.RL_8.666	AL6G45340
OG0004578	evm.model.RL_8.427	AL6G48630
OG0004579	evm.model.RL_4.420.1.687c86ce	AL8G15470
OG0004580	evm.model.RL_4.417	AL8G15400
OG0004581	evm.model.RL_4.201	AL8G12230
OG0004582	evm.model.RL_4.94	AL8G11180, AL8G11200
OG0004583	evm.model.RL_2.741.2.687c86e1	AL9U12230
OG0004584	evm.model.RL_2.845	AL9U10190, AL9U10180
OG0004585	evm.model.RL_2.912	AL7G42340
OG0004586	evm.model.RL_1.2130	AL3G36410
OG0004587	evm.model.RL_6.2702	AL4G44830
OG0004588	evm.model.RL_6.2648	AL4G44250
OG0004589	evm.model.RL_6.2592	AL4G43660
OG0004590	evm.model.RL_6.2591	AL4G43650
OG0004591	evm.model.RL_6.2584	AL4G43610, AL4G43600
OG0004592	evm.model.RL_6.2467	AL4G42170
OG0004593	evm.model.RL_4.3307	AL6G11550
OG0004594	evm.model.RL_4.3198	AL6G12710
OG0004595	evm.model.RL_4.1586	AL6G32240
OG0004596	evm.model.RL_4.794, evm.model.RL_4.1558	AL6G32540
OG0004597	evm.model.RL_4.1494	AL6G33270
OG0004598	evm.model.RL_4.1454	AL6G33730
OG0004600	evm.model.RL_8.2440	AL8G40850
OG0004601	evm.model.RL_8.2489, evm.model.RL_3.1098	AL8G41370
OG0004602	evm.model.RL_8.2536	AL8G41920
OG0004603	evm.model.RL_8.2628	AL8G42980
OG0004604	evm.model.RL_8.2634	AL8G43060
OG0004606	evm.model.RL_8.2793	AL8G44840
OG0004607	evm.model.RL_8.2847, evm.model.RL_7.1257	AL5G31700
OG0004608	evm.model.RL_8.2615	AL8G42840
OG0004609	evm.model.RL_8.245, evm.model.RL_2.351	AL6G50890
OG0004610	evm.model.RL_4.454	AL8G16970, AL8G16960
OG0004611	evm.model.RL_6.1392	AL4G28590
OG0004612	evm.model.RL_6.1247	AL4G26760
OG0004613	evm.model.RL_6.996, evm.model.RL_5.611	AL4G23450
OG0004614	evm.model.RL_6.810	AL4G21170
OG0004615	evm.model.RL_6.834	AL8G17300, AL4G21480
OG0004616	evm.model.RL_1.54	AL3G10540
OG0004617	evm.model.RL_4.2197	AL6G24990
OG0004618	evm.model.RL_1.18	AL6G24690
OG0004619	evm.model.RL_1.1838	AL3G32650
OG0004619	evm.model.RL_1.14	AL3G32730
OG0004620	evm.model.RL_1.779	AL3G19710
OG0004621	evm.model.RL_1.196	AL3G12170
OG0004622	evm.model.RL_4.1961	AL6G27810
OG0004622	evm.model.RL_1.219	AL3G12410
OG0004623	evm.model.RL_1.319	AL3G13890
OG0004624	evm.model.RL_1.512	AL3G16540
OG0004625	evm.model.RL_1.524	AL3G16690
OG0004626	evm.model.RL_1.538	AL3G16870
OG0004627	evm.model.RL_1.541	AL3G16900
OG0004628	evm.model.RL_1.566	AL3G17260
OG0004629	evm.model.RL_1.681	AL3G18690
OG0004630	evm.model.RL_1.716	nbis-gene-675
OG0004631	evm.model.RL_1.721	AL3G19090
OG0004632	evm.model.RL_1.741	AL3G19250
OG0004633	evm.model.RL_1.744	AL3G19280
OG0004634	evm.model.RL_6.2179	AL4G38380
OG0004635	evm.model.RL_6.2145	AL4G37980
OG0004636	evm.model.RL_6.2142	AL4G37950
OG0004637	evm.model.RL_6.2127	AL4G37780
OG0004638	evm.model.RL_6.2081	AL4G37180
OG0004639	evm.model.RL_6.1732	AL4G32520
OG0004640	evm.model.RL_6.1739	AL4G32600
OG0004641	evm.model.RL_6.1778	AL4G33080
OG0004642	evm.model.RL_6.1823	AL4G34090, AL4G34160
OG0004643	evm.model.RL_6.1972	AL4G35930
OG0004644	evm.model.RL_5.1443	AL1G28040
OG0004645	evm.model.RL_5.1448	AL1G28100
OG0004646	evm.model.RL_5.1618	AL1G30220
OG0004647	evm.model.RL_5.1691	AL1G31010
OG0004649	evm.model.RL_5.3606.1.687c88c3	AL1G34570, AL1G34150
OG0004650	evm.model.RL_5.3562	AL264U10030, AL1G35230, AL1G35210
OG0004651	evm.model.RL_5.3430	AL1G37150
OG0004652	evm.model.RL_5.3411	AL1G37320
OG0004653	evm.model.RL_5.3414	AL1G37290
OG0004654	evm.model.RL_5.3326	AL1G38720
OG0004655	evm.model.RL_2.1963, evm.model.RL_2.1965	AL7G28700
OG0004656	evm.model.RL_2.1992	AL7G28410
OG0004657	evm.model.RL_2.1998	AL7G28350
OG0004658	evm.model.RL_2.2088, evm.model.RL_1.2200	AL7G27310, AL6G48970
OG0004659	evm.model.RL_6.414	AL4G16380
OG0004660	evm.model.RL_6.386, evm.model.RL_6.389	AL4G15910
OG0004661	evm.model.RL_5.1118	AL1G23910
OG0004662	evm.model.RL_5.883	AL1G20920
OG0004663	evm.model.RL_5.860	AL1G20680
OG0004664	evm.model.RL_5.835	AL1G20320
OG0004665	evm.model.RL_5.813	AL1G20060
OG0004666	evm.model.RL_5.777	nbis-gene-53
OG0004667	evm.model.RL_5.762	AL1G19450
OG0004668	evm.model.RL_5.712	AL1G18940
OG0004669	evm.model.RL_5.647	AL1G18330
OG0004670	evm.model.RL_5.560	AL1G17230
OG0004671	evm.model.RL_5.339	AL1G14600
OG0004672	evm.model.RL_4.2202	AL6G24930
OG0004673	evm.model.RL_4.1992	AL6G27410
OG0004674	evm.model.RL_4.1863	AL6G28890
OG0004675	evm.model.RL_4.1856	AL6G28970
OG0004676	evm.model.RL_4.1801	AL6G29790, nbis-gene-1942
OG0004677	evm.model.RL_4.1793	AL6G29870
OG0004678	evm.model.RL_4.1739	AL6G30560
OG0004679	evm.model.RL_4.1084	AL6G38820
OG0004680	evm.model.RL_4.999	AL6G40160
OG0004681	evm.model.RL_4.960	AL6G40940
OG0004682	evm.model.RL_4.918	AL8G22970
OG0004683	evm.model.RL_4.812	AL8G21370
OG0004684	evm.model.RL_4.808	AL8G21330
OG0004685	evm.model.RL_4.2252	AL6G24370
OG0004686	evm.model.RL_4.760.1.687c86d0, evm.model.RL_8.1121	AL8G20290
OG0004687	evm.model.RL_7.403	AL5G41480
OG0004688	evm.model.RL_4.2916	AL6G16300
OG0004689	evm.model.RL_4.3006	AL6G15210
OG0004692	evm.model.RL_4.1177	AL6G37490
OG0004693	evm.model.RL_4.1218	AL6G36850
OG0004694	evm.model.RL_4.1399	AL6G34490
OG0004695	evm.model.RL_8.2270	AL8G38730
OG0004696	evm.model.RL_8.2289	AL8G38970
OG0004697	evm.model.RL_8.2300	AL8G39100
OG0004698	evm.model.RL_8.2309	AL8G39210
OG0004699	evm.model.RL_8.2318	AL8G39360
OG0004700	evm.model.RL_8.2355	AL8G39850
OG0004701	evm.model.RL_7.1285	AL5G31420
OG0004702	evm.model.RL_7.1498.1.687c84b9	AL5G28390
OG0004703	evm.model.RL_7.1537_evm.model.RL_7.1538.1.687c9769	AL5G27840
OG0004704	evm.model.RL_7.1686	AL5G25930, AL4G20270
OG0004705	evm.model.RL_1.2380	AL3G40570
OG0004706	evm.model.RL_7.1980	AL5G21520
OG0004706	evm.model.RL_8.1488	AL5G21420
OG0004707	evm.model.RL_3.1312	AL2G28400
OG0004708	evm.model.RL_3.1325.4.687c84bc	AL2G28530
OG0004709	evm.model.RL_3.1381	AL22U10110
OG0004710	evm.model.RL_3.1591	AL2G31570
OG0004711	evm.model.RL_3.1614	AL2G31880
OG0004712	evm.model.RL_3.2046.1.687c84bd	AL2G36460
OG0004713	evm.model.RL_3.1983	AL2G35700
OG0004713	evm.model.RL_5.1825	AL1G32690
OG0004714	evm.model.RL_3.1966	AL2G35480
OG0004715	evm.model.RL_5.3251	AL1G39670
OG0004716	evm.model.RL_3.1865	AL2G34390
OG0004717	evm.model.RL_5.1634	AL1G30430
OG0004718	evm.model.RL_3.2309	nbis-gene-619
OG0004719	evm.model.RL_3.2380	AL2G40460
OG0004720	evm.model.RL_3.2405	AL2G40770
OG0004721	evm.model.RL_3.2425	AL2G40960
OG0004722	evm.model.RL_3.2432	AL2G41040
OG0004723	evm.model.RL_3.2439	AL2G41120
OG0004724	evm.model.RL_3.2440	AL2G41130
OG0004725	evm.model.RL_5.1398	AL1G27550
OG0004726	evm.model.RL_1.1164	AL3G24330
OG0004727	evm.model.RL_1.1186	AL3G24560
OG0004728	evm.model.RL_1.1216	AL3G24860
OG0004729	evm.model.RL_1.1257	AL3G25390
OG0004730	evm.model.RL_1.1315	AL3G26150
OG0004731	evm.model.RL_1.1411	AL3G27240
OG0004732	evm.model.RL_1.1421	AL3G27380
OG0004733	evm.model.RL_1.1467	AL3G27950
OG0004734	evm.model.RL_1.1603	AL3G29690
OG0004735	evm.model.RL_5.2203	AL1G54680
OG0004735	evm.model.RL_1.1656	AL3G30380
OG0004736	evm.model.RL_1.1740	AL3G31510
OG0004737	evm.model.RL_1.1772	AL3G31910
OG0004738	evm.model.RL_1.1793	AL3G32190
OG0004739	evm.model.RL_1.1808	AL3G32370
OG0004740	evm.model.RL_1.1912	AL3G33500
OG0004741	evm.model.RL_1.2065	AL3G35530
OG0004742	evm.model.RL_1.2159	AL3G36830
OG0004743	evm.model.RL_1.2162	AL3G36870
OG0004744	evm.model.RL_1.2217	AL3G37810
OG0004745	evm.model.RL_1.2238	AL3G38040
OG0004746	evm.model.RL_1.2302	AL3G39100
OG0004748	evm.model.RL_5.3948, evm.model.RL_3.1758	AL2G33270
OG0004749	evm.model.RL_1.2827	AL6G49210, AL3G49110
OG0004750	evm.model.RL_1.3130	AL3G48770
OG0004751	evm.model.RL_1.3208	AL3G53320
OG0004752	evm.model.RL_5.3965	AL1G63970
OG0004754	evm.model.RL_5.1993	AL1G58160, AL1G58810, AL1G58840
OG0004755	evm.model.RL_5.2028	AL1G57650
OG0004756	evm.model.RL_5.2147	AL1G55280
OG0004757	evm.model.RL_1.2263	AL3G38380
OG0004758	evm.model.RL_7.2548	AL5G12770
OG0004759	evm.model.RL_7.962	AL5G35240
OG0004761	evm.model.RL_7.1227	AL5G32040
OG0004762	evm.model.RL_6.587	AL4G19400
OG0004763	evm.model.RL_7.805	AL5G36730
OG0004765	evm.model.RL_7.709	AL5G37990
OG0004766	evm.model.RL_7.685	AL5G38190
OG0004767	evm.model.RL_7.626	AL5G38930
OG0004769	evm.model.RL_7.567	AL5G39530
OG0004770	evm.model.RL_4.1143, evm.model.RL_2.493	AL2G11990, AL2G11930
OG0004771	evm.model.RL_7.232	AL5G43670
OG0004772	evm.model.RL_2.1227	AL7G52620
OG0004775	evm.model.RL_4.1012	nbis-gene-1592
OG0004777	evm.model.RL_5.1046	AL1G22950
OG0004778	evm.model.RL_8.1769.1.687c855d	AL52U10010, nbis-gene-2159
OG0004779	evm.model.RL_1.2887	AL3G49940
OG0004780	evm.model.RL_1.2288	AL3G38830, AL520U10010
OG0004781	evm.model.RL_1.1914	AL3G33520
OG0004782	evm.model.RL_1.1049	AL3G22960
OG0004783	evm.model.RL_8.2280	AL8G38860
OG0004783	evm.model.RL_4.2825	AL6G17460
OG0004786	evm.model.RL_8.2103	AL8G10160, AL8G10150, AL8G36850
OG0004801	evm.model.RL_2.2342	AL7G24300
OG0004802	evm.model.RL_2.2343	AL7G24290
OG0004803	evm.model.RL_2.2756, evm.model.RL_2.2347	AL7G19330
OG0004804	evm.model.RL_2.2360	AL7G24130
OG0004805	evm.model.RL_2.2427	AL7G23350
OG0004806	evm.model.RL_2.2533	AL7G22030
OG0004807	evm.model.RL_2.2586	AL7G21360
OG0004808	evm.model.RL_2.2690, evm.model.RL_8.1220	AL7G20230
OG0004809	evm.model.RL_2.2697	AL7G20140
OG0004810	evm.model.RL_4.936	AL954U10010, AL8G23340
OG0004811	evm.model.RL_2.2800	AL7G18860
OG0004812	evm.model.RL_2.2788	AL7G19010
OG0004813	evm.model.RL_2.2820	AL7G18630
OG0004815	evm.model.RL_2.2996	AL7G16500
