Orthogroup	Cardamine_amara	Cardamine_glauca
OG0000824	evm.model.RL_8.737	Cg003G083770
OG0000825	evm.model.RL_7.212	Cg002G045150
OG0000825	evm.model.RL_2.223	Cg014G332690, Cg003G076910
OG0000825	evm.model.RL_6.2770	Cg005G159470
OG0000826	evm.model.RL_4.393	Cg008G321150
OG0000827	evm.model.RL_8.1586	Cg003G102230
OG0000827	evm.model.RL_2.2823	Cg001G007240
OG0000827	evm.model.RL_4.3372	Cg008G282540
OG0000829	evm.model.RL_4.1889, evm.model.RL_4.1890	Cg008G297830
OG0000830	evm.model.RL_3.2014	Cg007G276620
OG0000831	evm.model.RL_5.3686	Cg006G225530
OG0000833	evm.model.RL_1.1403	Cg004G130960
OG0000834	evm.model.RL_1.1773	Cg004G135270
OG0000834	evm.model.RL_5.2125	Cg006G200740
OG0000835	evm.model.RL_1.1819	Cg004G135790
OG0000835	evm.model.RL_5.2067	Cg006G200030
OG0000836	evm.model.RL_7.641	Cg002G049030
OG0000841	evm.model.RL_3.847	Cg003G083050
OG0000842	evm.model.RL_7.2394	Cg002G072470
OG0000842	evm.model.RL_7.2390	Cg002G072400
OG0000842	evm.model.RL_7.2392	Cg002G072420
OG0000843	evm.model.RL_3.875, evm.model.RL_3.879	Cg002G067390, Cg002G067380, Cg007G260490, Cg007G260480
OG0000843	evm.model.RL_3.876, evm.model.RL_3.878	Cg007G260510
OG0000843	evm.model.RL_3.927, evm.model.RL_3.937	Cg001G026240, Cg001G026460, Cg007G262830
OG0000844	evm.model.RL_1.867	Cg004G125230
OG0000844	evm.model.RL_4.3252	Cg008G283640
OG0000845	evm.model.RL_2.2005, evm.model.RL_8.1161	Cg001G015930
OG0000845	evm.model.RL_7.1523	Cg002G058370
OG0000846	evm.model.RL_2.2840_evm.model.RL_2.2841	Cg001G007070
OG0000846	evm.model.RL_4.840	Cg008G300000
OG0000847	evm.model.RL_4.2614	Cg008G290080
OG0000847	evm.model.RL_8.2540	Cg003G112490
OG0000848	evm.model.RL_2.602.1.687c86e1, evm.model.RL_5.66.1.687c88a9, evm.model.RL_2.768	Cg001G033730, Cg006G244290
OG0000849	evm.model.RL_6.2812	Cg005G159010
OG0000849	evm.model.RL_8.147	Cg014G332380, Cg003G077230
OG0000849	evm.model.RL_7.178	Cg002G044730
OG0000850	evm.model.RL_7.242	Cg002G045450
OG0000850	evm.model.RL_7.243	Cg002G045460
OG0000850	evm.model.RL_7.240	Cg002G045440
OG0000851	evm.model.RL_6.2305	Cg005G164180
OG0000852	evm.model.RL_4.1630	Cg008G300650
OG0000853	evm.model.RL_8.338	Cg003G094800
OG0000854	evm.model.RL_6.936	Cg005G178980
OG0000854	evm.model.RL_5.648	Cg006G238090
OG0000855	evm.model.RL_7.1584	Cg002G059040
OG0000855	evm.model.RL_8.2339	Cg003G110450
OG0000857	evm.model.RL_7.2100	Cg008G317780, Cg002G066130
OG0000857	evm.model.RL_7.1477	Cg002G057800
OG0000861	evm.model.RL_5.250	Cg006G242500
OG0000863	evm.model.RL_2.1036	Cg001G026700
OG0000868	evm.model.RL_4.2884	Cg008G287420
OG0000868	evm.model.RL_1.1099.1.687c87ec	Cg004G127670
OG0000869	evm.model.RL_4.74	Cg008G324790
OG0000869	evm.model.RL_2.1304	Cg001G023430
OG0000870	evm.model.RL_5.3073	Cg006G218420
OG0000870	evm.model.RL_6.1464, evm.model.RL_5.3407, evm.model.RL_6.1463	Cg005G172890
OG0000871	evm.model.RL_1.168	Cg004G117640
OG0000871	evm.model.RL_4.2035	Cg008G296340
OG0000871	evm.model.RL_2.373	Cg001G038170
OG0000872	evm.model.RL_6.1343	Cg005G174170
OG0000873	evm.model.RL_4.1815	Cg008G298690
OG0000873	evm.model.RL_1.341	Cg004G119870
OG0000875	evm.model.RL_5.516	Cg006G239610
OG0000879	evm.model.RL_5.517	Cg006G239600
OG0000883	evm.model.RL_1.401	Cg004G120520
OG0000883	evm.model.RL_2.2995	Cg001G005560
OG0000884	evm.model.RL_3.1214	Cg007G268460
OG0000884	evm.model.RL_5.3223	Cg006G220070
OG0000885	evm.model.RL_5.3520.2.687c88c3	Cg006G223510
OG0000885	evm.model.RL_2.2318.1.687c86e5	Cg001G012610
OG0000886	evm.model.RL_5.2304	Cg006G204220
OG0000886	evm.model.RL_4.585, evm.model.RL_4.584	Cg008G318350
OG0000887	evm.model.RL_6.2862	Cg005G185200, Cg005G185190
OG0000888	evm.model.RL_7.511	Cg002G047840
OG0000888	evm.model.RL_6.2372	Cg005G163520
OG0000889	evm.model.RL_7.825	Cg002G051090
OG0000889	evm.model.RL_7.1733	Cg002G060830
OG0000890	evm.model.RL_7.1019	Cg002G052850
OG0000890	evm.model.RL_6.1835	Cg005G169010
OG0000891	evm.model.RL_5.3522	Cg006G223530
OG0000891	evm.model.RL_5.3521	Cg006G223520
OG0000892	evm.model.RL_4.1191	Cg008G305220
OG0000893	evm.model.RL_4.1312, evm.model.RL_4.1319, evm.model.RL_4.1316, evm.model.RL_7.1624	Cg008G303820
OG0000893	evm.model.RL_5.2193, evm.model.RL_4.1314, evm.model.RL_4.1320, evm.model.RL_4.1317, evm.model.RL_7.1622	Cg008G303810
OG0000894	evm.model.RL_1.3195	Cg004G155970, Cg004G156070
OG0000895	evm.model.RL_1.2442, evm.model.RL_1.2443, evm.model.RL_1.2440, evm.model.RL_1.2441	Cg004G143380
OG0000897	evm.model.RL_7.630, evm.model.RL_7.986.1.687c84b7	Cg002G052600
OG0000897	evm.model.RL_6.1893	Cg005G168540
OG0000898	evm.model.RL_5.1876	Cg006G197730
OG0000900	evm.model.RL_5.1195	Cg006G232460
OG0000900	evm.model.RL_5.1196	Cg006G232450
OG0000901	evm.model.RL_2.1203	Cg001G024700
OG0000902	evm.model.RL_4.3002	Cg008G286220
OG0000902	evm.model.RL_1.998	Cg004G126600
OG0000903	evm.model.RL_7.1829	Cg002G062240, Cg002G062220
OG0000904	evm.model.RL_4.2543	Cg008G290810
OG0000904	evm.model.RL_2.2680	Cg001G008880
OG0000905	evm.model.RL_4.2551	Cg008G290680
OG0000905	evm.model.RL_8.2581	Cg003G113200
OG0000906	evm.model.RL_8.2576.2.687c8562	Cg003G112910
OG0000906	evm.model.RL_4.2580	Cg008G290420
OG0000907	evm.model.RL_2.1418	Cg001G022170
OG0000907	evm.model.RL_4.240	Cg008G323080
OG0000908	evm.model.RL_2.3408	Cg001G001080
OG0000908	evm.model.RL_1.481	Cg004G121360
OG0000908	evm.model.RL_6.74	Cg005G193190
OG0000909	evm.model.RL_5.3381.1.687c88c2	Cg006G221900
OG0000909	evm.model.RL_2.844	Cg001G029520
OG0000909	evm.model.RL_4.2021	Cg008G296480
OG0000910	evm.model.RL_8.2090	Cg003G107900
OG0000910	evm.model.RL_8.2089	Cg003G107890
OG0000910	evm.model.RL_8.2088	Cg001G040240, Cg003G107880
OG0000911	evm.model.RL_8.2788	Cg003G115090
OG0000912	evm.model.RL_8.279	Cg014G330920, Cg003G078630
OG0000912	evm.model.RL_5.154	Cg006G243400
OG0000914	evm.model.RL_8.493	Cg003G080790, Cg003G080780
OG0000915	evm.model.RL_7.1095	Cg002G053780
OG0000915	evm.model.RL_6.1737	Cg005G170130
OG0000916	evm.model.RL_5.1292	Cg006G231430
OG0000917	evm.model.RL_5.1164	Cg006G232840
OG0000919	evm.model.RL_1.1647	Cg004G133710, Cg004G133740, Cg004G133750
OG0000921	evm.model.RL_5.2064	Cg006G199990
OG0000923	evm.model.RL_8.1096, evm.model.RL_8.1098, evm.model.RL_8.1154	Cg003G096160, Cg003G096130, Cg003G090580
OG0000924	evm.model.RL_2.3157	Cg001G003800
OG0000924	evm.model.RL_3.688	Cg006G206780, Cg003G091340
OG0000924	evm.model.RL_1.2997	Cg004G154270
OG0000930	evm.model.RL_1.3153	Cg004G156100
OG0000930	evm.model.RL_2.2456	Cg001G011180
OG0000931	evm.model.RL_1.762	Cg004G124190
OG0000931	evm.model.RL_1.1022	Cg004G126890
OG0000932	evm.model.RL_6.1855	Cg005G169230
OG0000932	evm.model.RL_1.1104	Cg004G127700
OG0000933	evm.model.RL_2.2073	Cg001G015200
OG0000933	evm.model.RL_8.1331	Cg003G099100
OG0000934	evm.model.RL_2.1503	Cg001G021230
OG0000935	evm.model.RL_8.408	Cg003G079860, Cg003G094160
OG0000935	evm.model.RL_2.1623	Cg001G019870
OG0000936	evm.model.RL_2.1661	Cg001G019420
OG0000936	evm.model.RL_2.1663	Cg001G019400
OG0000937	evm.model.RL_8.883	Cg003G086600
OG0000938	evm.model.RL_2.3376	Cg008G305500, Cg001G001460
OG0000938	evm.model.RL_2.3377	Cg001G001440
OG0000939	evm.model.RL_3.281	Cg007G248470
OG0000939	evm.model.RL_6.46	Cg005G193500, Cg005G193490
OG0000940	evm.model.RL_1.2529	Cg004G145690
OG0000940	evm.model.RL_2.619, evm.model.RL_1.2530	Cg001G033460
OG0000941	evm.model.RL_2.925	Cg001G028160
OG0000941	evm.model.RL_1.2269	Cg004G141250
OG0000941	evm.model.RL_5.413.1.687c88ac	Cg006G240800
OG0000942	evm.model.RL_2.952	Cg001G027900
OG0000942	evm.model.RL_1.2239	Cg004G140870
OG0000942	evm.model.RL_6.2495	Cg005G162110
OG0000943	evm.model.RL_1.485, evm.model.RL_4.1067	Cg008G306640
OG0000944	evm.model.RL_6.2468	Cg002G046950, Cg005G162410
OG0000945	evm.model.RL_4.1934	Cg008G297310
OG0000946	evm.model.RL_4.3392	Cg008G282340
OG0000946	evm.model.RL_4.3394	Cg008G282310
OG0000946	evm.model.RL_4.3393	Cg008G282330
OG0000947	evm.model.RL_4.2073	Cg008G295950
OG0000947	evm.model.RL_1.134	Cg004G117390
OG0000948	evm.model.RL_6.2059	Cg005G166790
OG0000950	evm.model.RL_4.1087	Cg008G306410
OG0000950	evm.model.RL_1.511	Cg004G121620
OG0000952	evm.model.RL_3.2247	Cg007G279180
OG0000953	evm.model.RL_7.1379	Cg002G056770
OG0000953	evm.model.RL_7.1375	Cg002G056740
OG0000953	evm.model.RL_7.1371	Cg002G056730
OG0000954	evm.model.RL_1.1843	Cg004G136070
OG0000954	evm.model.RL_1.1844	Cg004G136080
OG0000956	evm.model.RL_5.2612	Cg005G182100
OG0000958	evm.model.RL_3.347	Cg007G249620, Cg007G249660, Cg007G249630, Cg007G249640, Cg007G249650, Cg007G249250, Cg007G249240, Cg007G249230, Cg007G249210
OG0000962	evm.model.RL_2.225	Cg002G069340
OG0000962	evm.model.RL_7.2182	Cg002G069350
OG0000963	evm.model.RL_4.3303	Cg008G283130
OG0000963	evm.model.RL_1.847	Cg004G125020
OG0000964	evm.model.RL_8.1045	Cg003G091510
OG0000965	evm.model.RL_1.1272	Cg004G129490
OG0000965	evm.model.RL_2.1483	Cg001G021420
OG0000966	evm.model.RL_2.1504	Cg001G021220
OG0000967	evm.model.RL_5.2441	Cg006G208540
OG0000967	evm.model.RL_5.3543	Cg006G223750
OG0000968	evm.model.RL_2.433	Cg001G036860
OG0000968	evm.model.RL_2.434	Cg001G036850
OG0000969	evm.model.RL_4.406	Cg008G320930
OG0000970	evm.model.RL_8.2730	Cg003G114490
OG0000970	evm.model.RL_7.1381, evm.model.RL_2.611	Cg002G056790
OG0000972	evm.model.RL_4.1104	Cg008G306250
OG0000973	evm.model.RL_4.1755	Cg008G299390
OG0000973	evm.model.RL_1.554	Cg004G122110
OG0000974	evm.model.RL_2.107	Cg003G091210, Cg003G091610
OG0000975	evm.model.RL_5.1807	Cg006G226270
OG0000975	evm.model.RL_5.1808	Cg006G226260
OG0000976	evm.model.RL_5.1341, evm.model.RL_5.1340	Cg006G230970
OG0000977	evm.model.RL_7.1667_evm.model.RL_7.1668_evm.model.RL_7.1669	Cg002G060010
OG0000978	evm.model.RL_7.1795	Cg002G061540
OG0000978	evm.model.RL_7.1794	Cg002G061530
OG0000979	evm.model.RL_4.534	Cg008G319100, Cg008G319070, Cg008G319160, Cg008G319120, Cg008G319080, Cg008G319110, Cg008G319090
OG0000980	evm.model.RL_2.2453	Cg001G011210
OG0000986	evm.model.RL_6.66	Cg005G193270
OG0000986	evm.model.RL_2.2624	Cg001G009330, Cg004G148460
OG0000987	evm.model.RL_5.2787	Cg006G214510
OG0000988	evm.model.RL_4.2964	Cg008G286600
OG0000988	evm.model.RL_1.1035	Cg004G127030
OG0000989	evm.model.RL_8.1304.1.687c855b	Cg001G034280, Cg003G098720
OG0000989	evm.model.RL_4.652	Cg008G315380, Cg001G036560
OG0000990	evm.model.RL_2.1364	Cg001G022750
OG0000990	evm.model.RL_4.178	Cg008G323820, Cg008G323510
OG0000991	evm.model.RL_5.2648	Cg006G212740, Cg006G212750
OG0000992	evm.model.RL_6.83	Cg005G193070
OG0000992	evm.model.RL_2.3399	Cg001G001180
OG0000993	evm.model.RL_1.2435	Cg004G143300
OG0000993	evm.model.RL_2.253	Cg001G040010
OG0000994	evm.model.RL_6.1110	Cg005G176710
OG0000995	evm.model.RL_6.1248	Cg005G175140
OG0000995	evm.model.RL_5.448	Cg006G240330
OG0000996	evm.model.RL_6.1167	Cg005G175960
OG0000996	evm.model.RL_5.522	Cg006G239550
OG0000997	evm.model.RL_1.332	Cg004G119800
OG0000997	evm.model.RL_5.1192	Cg006G232510
OG0000998	evm.model.RL_6.2077	Cg005G166590
OG0000998	evm.model.RL_7.810	Cg002G050950
OG0001000	evm.model.RL_1.2864	Cg004G152760
OG0001000	evm.model.RL_4.2147	Cg008G295070
OG0001001	evm.model.RL_4.1155	Cg008G305680
OG0001001	evm.model.RL_4.1156, evm.model.RL_4.1157	Cg008G305660, Cg008G305670, Cg008G305650
OG0001002	evm.model.RL_1.1244	Cg004G129200
OG0001002	evm.model.RL_5.3947	Cg006G194640
OG0001003	evm.model.RL_5.3722	Cg006G197170
OG0001004	evm.model.RL_6.2128, evm.model.RL_6.2129	Cg004G143070, Cg005G166040
OG0001008	evm.model.RL_2.2446	Cg001G011250
OG0001008	evm.model.RL_2.2445	Cg001G011260
OG0001009	evm.model.RL_2.2489	Cg001G010880
OG0001009	evm.model.RL_2.2488	Cg001G010890
OG0001009	evm.model.RL_2.2487	Cg001G010900
OG0001010	evm.model.RL_5.2768	Cg006G214300
OG0001010	evm.model.RL_6.1643	Cg005G171020
OG0001011	evm.model.RL_5.2750	Cg006G214110
OG0001011	evm.model.RL_2.869	Cg001G029030
OG0001012	evm.model.RL_3.631	Cg007G253190
OG0001012	evm.model.RL_5.817	Cg006G236470
OG0001013	evm.model.RL_3.894	Cg007G261710
OG0001013	evm.model.RL_3.895	Cg007G261330, Cg007G261700
OG0001014	evm.model.RL_4.796	Cg008G312280, Cg008G312240
OG0001015	evm.model.RL_2.2077	Cg001G015150
OG0001015	evm.model.RL_8.1347	Cg003G099210
OG0001016	evm.model.RL_4.2475	Cg008G291560
OG0001016	evm.model.RL_4.1210	Cg008G304900
OG0001017	evm.model.RL_8.2647	Cg003G113600
OG0001018	evm.model.RL_4.1363	Cg008G303340
OG0001019	evm.model.RL_2.1315	Cg001G023320
OG0001019	evm.model.RL_1.3213	Cg004G156770
OG0001019	evm.model.RL_4.90.4.687c86cd	Cg008G324660
OG0001020	evm.model.RL_2.1342	Cg001G023010
OG0001020	evm.model.RL_4.140	Cg008G324240
OG0001021	evm.model.RL_7.69	Cg002G043740
OG0001021	evm.model.RL_6.2938	Cg005G157750
OG0001022	evm.model.RL_6.2879	Cg005G158440
OG0001022	evm.model.RL_7.133	Cg002G044320
OG0001023	evm.model.RL_4.1424	Cg008G302720
OG0001024	evm.model.RL_6.1242	Cg005G175200
OG0001024	evm.model.RL_6.1240	Cg005G175210
OG0001024	evm.model.RL_6.1238	Cg005G175230
OG0001025	evm.model.RL_5.529	Cg006G239470
OG0001025	evm.model.RL_6.1155	Cg005G176090
OG0001026	evm.model.RL_1.95	Cg004G116850
OG0001026	evm.model.RL_4.2120	Cg008G295370
OG0001027	evm.model.RL_5.977	Cg006G234800
OG0001028	evm.model.RL_6.2049	Cg005G166890
OG0001028	evm.model.RL_7.855	Cg002G051340
OG0001029	evm.model.RL_5.3564	Cg006G224090
OG0001029	evm.model.RL_3.2167	Cg007G278280
OG0001030	evm.model.RL_5.1813	Cg006G226140
OG0001030	evm.model.RL_3.1974	Cg007G276150
OG0001031	evm.model.RL_5.1826	Cg006G226000
OG0001031	evm.model.RL_3.1986	Cg007G276300
OG0001032	evm.model.RL_3.2070	Cg007G277250
OG0001032	evm.model.RL_5.3640	Cg006G224970
OG0001033	evm.model.RL_6.2269	Cg005G164590
OG0001034	evm.model.RL_5.3439	Cg006G222600
OG0001035	evm.model.RL_1.349	Cg004G119960
OG0001036	evm.model.RL_3.2263_evm.model.RL_3.2264_evm.model.RL_3.2265.6.687c9761	Cg007G279350
OG0001037	evm.model.RL_3.2379	Cg007G280410
OG0001038	evm.model.RL_1.1203	Cg004G128790
OG0001038	evm.model.RL_1.1204	Cg004G128800
OG0001038	evm.model.RL_1.1202, evm.model.RL_1.1201	Cg004G128780
OG0001039	evm.model.RL_5.2178	Cg006G201560
OG0001039	evm.model.RL_1.1675	Cg004G134100
OG0001040	evm.model.RL_5.1907	Cg006G198110
OG0001040	evm.model.RL_1.2042	Cg004G138190
OG0001041	evm.model.RL_7.1628	Cg002G059490
OG0001042	evm.model.RL_8.872	Cg003G086340
OG0001042	evm.model.RL_4.656	Cg006G197580
OG0001043	evm.model.RL_5.1891	Cg006G197900
OG0001044	evm.model.RL_7.820	Cg002G051030
OG0001045	evm.model.RL_7.1862, evm.model.RL_7.1863, evm.model.RL_7.1781	Cg002G061730, Cg002G061740, Cg002G061710, Cg002G061420
OG0001048	evm.model.RL_4.3026	Cg008G285980
OG0001048	evm.model.RL_4.2422	Cg008G292100
OG0001051	evm.model.RL_1.2855	Cg004G152660
OG0001051	evm.model.RL_2.3027	Cg001G005210
OG0001053	evm.model.RL_3.565	Cg007G252050
OG0001053	evm.model.RL_5.857	Cg006G236030
OG0001054	evm.model.RL_3.302	Cg007G248700
OG0001054	evm.model.RL_3.300	Cg007G248680
OG0001054	evm.model.RL_3.301	Cg007G248690
OG0001055	evm.model.RL_7.2468	Cg002G073200
OG0001056	evm.model.RL_1.953	Cg004G126090
OG0001056	evm.model.RL_4.3093	Cg008G285170
OG0001057	evm.model.RL_2.2283	Cg001G012980
OG0001057	evm.model.RL_8.1507	Cg003G101330
OG0001058	evm.model.RL_2.1269	Cg001G023830
OG0001058	evm.model.RL_2.3110	Cg001G004310
OG0001060	evm.model.RL_2.896	Cg001G028550
OG0001060	evm.model.RL_1.2283	Cg004G141450
OG0001061	evm.model.RL_1.2195	Cg004G140280
OG0001061	evm.model.RL_2.977	Cg001G027410
OG0001061	evm.model.RL_2.976	Cg001G027420
OG0001062	evm.model.RL_8.2716	Cg003G114330
OG0001062	evm.model.RL_6.209	Cg005G191660
OG0001063	evm.model.RL_1.519	Cg004G121700
OG0001064	evm.model.RL_6.1802	Cg005G169470
OG0001064	evm.model.RL_7.1064, evm.model.RL_7.1062, evm.model.RL_7.1851, evm.model.RL_7.1063	Cg002G053300
OG0001065	evm.model.RL_6.1862	Cg005G169290
OG0001065	evm.model.RL_7.1043	Cg002G053100
OG0001066	evm.model.RL_6.1861	Cg005G169280
OG0001066	evm.model.RL_7.1042	Cg002G053090
OG0001067	evm.model.RL_3.2305.2.687c84be	Cg007G279690
OG0001067	evm.model.RL_5.1512	Cg006G229270
OG0001068	evm.model.RL_1.394	Cg004G120450
OG0001068	evm.model.RL_3.1631	Cg007G272830
OG0001069	evm.model.RL_3.1920	Cg007G275550
OG0001069	evm.model.RL_5.1770	Cg006G226630
OG0001070	evm.model.RL_5.3236	Cg006G220230
OG0001070	evm.model.RL_1.2931	Cg004G153470
OG0001071	evm.model.RL_5.1253, evm.model.RL_5.1252	Cg006G231870
OG0001071	evm.model.RL_5.1254	Cg006G231860
OG0001072	evm.model.RL_4.1341	Cg008G303550
OG0001072	evm.model.RL_7.1490	Cg002G057900
OG0001073	evm.model.RL_3.981	Cg006G194220, Cg006G196340, Cg008G321390
OG0001074	evm.model.RL_3.1141	Cg007G267550
OG0001075	evm.model.RL_5.3732	Cg006G197020
OG0001075	evm.model.RL_1.1492	Cg004G132050
OG0001076	evm.model.RL_1.1416	Cg004G131110
OG0001079	evm.model.RL_1.88	Cg006G219620
OG0001080	evm.model.RL_8.2750	Cg003G114750
OG0001080	evm.model.RL_6.2063	Cg005G166750
OG0001080	evm.model.RL_8.2749	Cg003G114740
OG0001084	evm.model.RL_1.3239	Cg004G156900
OG0001084	evm.model.RL_2.2364	Cg001G012060
OG0001085	evm.model.RL_1.3150	Cg004G156040
OG0001085	evm.model.RL_2.2463	Cg001G011110
OG0001086	evm.model.RL_2.2852	Cg001G006950
OG0001086	evm.model.RL_1.2662	Cg004G148040
OG0001087	evm.model.RL_2.2991, evm.model.RL_2.2992	Cg001G005580
OG0001089	evm.model.RL_7.2156	Cg002G069650
OG0001089	evm.model.RL_7.2159	Cg002G069620
OG0001090	evm.model.RL_5.2336	Cg006G204860
OG0001091	evm.model.RL_7.1499	Cg002G058070
OG0001091	evm.model.RL_8.1196	Cg003G097140
OG0001092	evm.model.RL_4.2863	Cg008G287640
OG0001092	evm.model.RL_4.2864	Cg008G287630
OG0001093	evm.model.RL_4.1716	Cg008G299800
OG0001093	evm.model.RL_4.2368	Cg008G292620
OG0001094	evm.model.RL_4.2578	Cg008G290440
OG0001094	evm.model.RL_8.2606.4.687c8562	Cg003G112950
OG0001095	evm.model.RL_2.776	Cg001G031340
OG0001095	evm.model.RL_2.779	Cg002G062810
OG0001096	evm.model.RL_7.550	Cg002G048270
OG0001096	evm.model.RL_6.2325	Cg005G163960
OG0001097	evm.model.RL_7.1696	Cg002G060290
OG0001097	evm.model.RL_7.1433	Cg002G060280
OG0001097	evm.model.RL_8.1983, evm.model.RL_8.1985	Cg003G106670
OG0001098	evm.model.RL_7.1425	Cg002G057150
OG0001098	evm.model.RL_8.2672	Cg003G113860
OG0001100	evm.model.RL_6.1311	Cg005G174480
OG0001100	evm.model.RL_5.396	Cg006G240970
OG0001101	evm.model.RL_4.2166	Cg008G294840
OG0001101	evm.model.RL_6.857	Cg005G179890, Cg005G179990, Cg005G179950, Cg005G179870
OG0001102	evm.model.RL_1.137	Cg004G117400
OG0001102	evm.model.RL_4.2065	Cg008G296020
OG0001103	evm.model.RL_4.980	Cg008G307550
OG0001103	evm.model.RL_1.364	Cg004G120130
OG0001104	evm.model.RL_4.989	Cg008G307440
OG0001105	evm.model.RL_3.2411	Cg007G280810
OG0001105	evm.model.RL_5.1434.1.687c88b4	Cg006G230100
OG0001106	evm.model.RL_5.1531	Cg006G229080
OG0001106	evm.model.RL_3.2289	Cg007G279520
OG0001107	evm.model.RL_5.1620	Cg006G228110
OG0001107	evm.model.RL_3.1729	Cg007G273690
OG0001108	evm.model.RL_3.1884	Cg007G275190
OG0001108	evm.model.RL_5.1724	Cg006G227110
OG0001109	evm.model.RL_3.2155	Cg007G278150
OG0001109	evm.model.RL_5.3577.1.687c88c3	Cg006G224230
OG0001110	evm.model.RL_3.1387	Cg007G270340
OG0001110	evm.model.RL_3.1388	Cg007G270350
OG0001110	evm.model.RL_5.3355	Cg006G221540
OG0001111	evm.model.RL_5.3150.1.687c88c0	Cg006G219210
OG0001112	evm.model.RL_4.930	Cg008G308320
OG0001112	evm.model.RL_4.899	Cg008G310530, Cg008G308880
OG0001115	evm.model.RL_3.1636	Cg007G272910
OG0001115	evm.model.RL_5.1574	Cg006G228630
OG0001116	evm.model.RL_5.1917	Cg006G198210
OG0001116	evm.model.RL_1.2034	Cg004G138070
OG0001117	evm.model.RL_2.1109	Cg001G025620
OG0001117	evm.model.RL_2.1111	Cg001G025610
OG0001120	evm.model.RL_2.3116	Cg001G004200
OG0001120	evm.model.RL_1.2960	Cg004G153880
OG0001124	evm.model.RL_8.719, evm.model.RL_2.2224.1.687c86e5	Cg001G013610
OG0001125	evm.model.RL_5.2800	Cg006G214750
OG0001125	evm.model.RL_6.1647	Cg005G170980
OG0001127	evm.model.RL_5.1306.2.687c88b3	Cg006G231330
OG0001127	evm.model.RL_7.2608	Cg002G074740
OG0001128	evm.model.RL_7.2474	Cg002G073250
OG0001128	evm.model.RL_5.1202	Cg006G232370
OG0001129	evm.model.RL_7.2143	Cg002G069980
OG0001130	evm.model.RL_7.2038	Cg002G065630
OG0001130	evm.model.RL_2.342	Cg001G038590
OG0001131	evm.model.RL_2.2102	Cg001G014890
OG0001131	evm.model.RL_8.1801	Cg003G104840
OG0001132	evm.model.RL_4.3238	Cg008G283760
OG0001132	evm.model.RL_1.879	Cg004G125310
OG0001133	evm.model.RL_2.2202	Cg001G013830
OG0001133	evm.model.RL_8.1609	Cg003G102440
OG0001134	evm.model.RL_4.2280, evm.model.RL_4.2281	Cg008G293580
OG0001135	evm.model.RL_8.2570.2.687c8562	Cg003G112830
OG0001135	evm.model.RL_4.2586.1.687c86da	Cg008G290350
OG0001136	evm.model.RL_2.1338	Cg001G023060
OG0001136	evm.model.RL_4.132	Cg008G324330
OG0001137	evm.model.RL_4.299	Cg008G322450
OG0001137	evm.model.RL_2.1485	Cg001G021400
OG0001138	evm.model.RL_2.1727	Cg001G018720
OG0001139	evm.model.RL_5.3101	Cg006G218740
OG0001139	evm.model.RL_5.3160	Cg006G219310
OG0001140	evm.model.RL_2.3134	Cg001G004010
OG0001140	evm.model.RL_1.2971	Cg004G153980
OG0001141	evm.model.RL_2.424	Cg001G037180
OG0001142	evm.model.RL_1.2167	Cg004G139820
OG0001142	evm.model.RL_2.1010	Cg008G310310, Cg008G308650, Cg001G027020
OG0001143	evm.model.RL_6.2645	Cg005G160690
OG0001143	evm.model.RL_7.307	Cg002G046010
OG0001144	evm.model.RL_7.352	Cg002G046480
OG0001144	evm.model.RL_6.2576	Cg005G161340
OG0001144	evm.model.RL_6.2569	Cg005G161400
OG0001145	evm.model.RL_1.467	Cg004G121230
OG0001146	evm.model.RL_6.2291	Cg005G164350
OG0001146	evm.model.RL_1.939	Cg004G125930
OG0001147	evm.model.RL_4.1695	Cg008G300070
OG0001148	evm.model.RL_8.2539	Cg003G112480
OG0001148	evm.model.RL_4.2615	Cg008G290070
OG0001149	evm.model.RL_7.1270	Cg002G055650
OG0001149	evm.model.RL_8.2824	Cg003G115540
OG0001150	evm.model.RL_4.2029	Cg008G296400
OG0001150	evm.model.RL_1.172	Cg004G117690
OG0001151	evm.model.RL_1.618	Cg004G122810
OG0001151	evm.model.RL_4.910	Cg008G308750, Cg008G310410
OG0001152	evm.model.RL_7.749, evm.model.RL_2.774	Cg002G049980
OG0001152	evm.model.RL_6.2180	Cg005G165500
OG0001153	evm.model.RL_7.1106	Cg002G053920
OG0001153	evm.model.RL_6.1726	Cg005G170220
OG0001154	evm.model.RL_2.2538, evm.model.RL_3.1935	Cg007G275700
OG0001154	evm.model.RL_5.1776	Cg006G226550
OG0001155	evm.model.RL_3.2009	Cg007G276600
OG0001155	evm.model.RL_5.1852	Cg006G225740
OG0001156	evm.model.RL_5.3413	Cg006G222320
OG0001156	evm.model.RL_3.1436	Cg007G270860
OG0001157	evm.model.RL_5.1006	Cg006G234530
OG0001158	evm.model.RL_3.1469	Cg007G271230
OG0001159	evm.model.RL_3.2075	Cg007G277290
OG0001159	evm.model.RL_3.2074	Cg007G277280
OG0001160	evm.model.RL_5.3932	Cg006G194790
OG0001160	evm.model.RL_1.1253	Cg004G129290
OG0001161	evm.model.RL_1.2039	Cg004G138130
OG0001161	evm.model.RL_5.1911	Cg006G198140
OG0001162	evm.model.RL_5.2099	Cg006G200430
OG0001162	evm.model.RL_5.2098	Cg006G200420
OG0001165	evm.model.RL_4.2449	Cg008G291840
