Orthogroup	Cardamine_amara	Camelina_sativa
OG0001403	evm.model.RL_3.207	XP_010418293.1, XP_010473516.1, XP_010430366.1
OG0001403	evm.model.RL_5.1103.1.687ccf5d	XP_010476211.1, XP_019098962.1
OG0001404	evm.model.RL_3.237	XP_019098712.1, XP_010418243.1, XP_010473467.1, XP_010430305.1
OG0001404	evm.model.RL_5.1080	XP_010493725.1, XP_010458632.1, XP_010476165.1, XP_019098956.1, XP_010476166.1, XP_010458633.1
OG0001405	evm.model.RL_4.3052	XP_010423525.1, XP_010452389.1, XP_010491015.1
OG0001406	evm.model.RL_2.3306.5.687c86e8	XP_010446608.1, XP_010437163.1, XP_010432013.1
OG0001406	evm.model.RL_4.1097	XP_010421535.1
OG0001407	evm.model.RL_8.1379	XP_010445330.1, XP_010482665.1, XP_010442834.1
OG0001407	evm.model.RL_2.2310	XP_010433278.1, XP_019088521.1
OG0001408	evm.model.RL_4.2538	XP_010484857.1
OG0001409	evm.model.RL_8.2437	XP_010484121.1, XP_019093959.1, XP_010444283.1
OG0001410	evm.model.RL_4.136	XP_010494856.1, XP_010481419.1, XP_010441551.1
OG0001410	evm.model.RL_2.1340	XP_010449545.1, XP_010439931.1
OG0001411	evm.model.RL_2.1374	XP_019088219.1, XP_010412989.1
OG0001411	evm.model.RL_2.1373	XP_019082301.1, XP_010439890.1
OG0001412	evm.model.RL_2.1520	XP_010439673.1, XP_010449322.1, XP_010434378.1
OG0001412	evm.model.RL_4.336	XP_019089008.1
OG0001413	evm.model.RL_2.1698	XP_010434104.1, XP_019087802.1, XP_010448968.1
OG0001414	evm.model.RL_5.2628	XP_019099357.1, XP_010461165.1, XP_019094733.1, XP_010478761.1, XP_019091268.1, XP_019099354.1, XP_019094201.1
OG0001415	evm.model.RL_6.1481	XP_010469414.1, XP_010413796.1, XP_010497641.1, XP_010509819.1
OG0001415	evm.model.RL_5.3055	XP_010499369.1, XP_010460635.1, XP_010478215.1
OG0001416	evm.model.RL_6.1518	XP_010413757.1, XP_010509774.1, XP_010469375.1
OG0001416	evm.model.RL_5.2974	XP_010460732.1, XP_019099267.1, XP_010478322.1
OG0001417	evm.model.RL_2.3197	XP_010446738.1, XP_010432132.1, XP_010437300.1
OG0001417	evm.model.RL_6.263	XP_010417123.1, XP_010429332.1, XP_010472374.1
OG0001419	evm.model.RL_2.341	XP_010435791.1, XP_010441011.1, XP_010496569.1
OG0001419	evm.model.RL_2.143	XP_010450095.1
OG0001420	evm.model.RL_8.461	XP_019089386.1, XP_010455773.1
OG0001420	evm.model.RL_2.1701	XP_010434101.1, XP_010439398.1, XP_010448965.1
OG0001421	evm.model.RL_1.2187	XP_010466587.1, XP_010511906.1, XP_010488327.1
OG0001422	evm.model.RL_1.423	XP_019099954.1, XP_010464004.1, XP_010485901.1
OG0001422	evm.model.RL_4.1009	XP_010455152.1, XP_010421653.1, XP_010494039.1
OG0001423	evm.model.RL_6.2604	XP_019101177.1, XP_010506412.1, XP_010518081.1
OG0001423	evm.model.RL_7.338	XP_010512335.1, XP_010469207.1, XP_010413581.1
OG0001424	evm.model.RL_4.3149	XP_010495061.1, XP_010424789.1, XP_010456386.1
OG0001424	evm.model.RL_4.3150	XP_010490871.1, XP_010423661.1, XP_010452275.1
OG0001425	evm.model.RL_7.1951	XP_010503020.1, XP_010514707.1, XP_010425800.1
OG0001425	evm.model.RL_4.1585	XP_010493179.1, XP_010454374.2, XP_010420914.1, XP_010454375.1
OG0001427	evm.model.RL_8.125	XP_010427843.1, XP_010422763.1, XP_010456208.1
OG0001428	evm.model.RL_5.145	XP_010481284.1, XP_010474870.1
OG0001428	evm.model.RL_8.268.2.687c8556	XP_010457281.1, XP_010429707.1, XP_010456028.1, XP_010422586.1
OG0001429	evm.model.RL_8.273	XP_010429788.1, XP_010422579.1, XP_010456021.1
OG0001429	evm.model.RL_7.96	XP_010468926.1, XP_019082833.1, XP_010512668.1
OG0001430	evm.model.RL_5.283	XP_010475082.1, XP_010457473.1, XP_010483396.1
OG0001431	evm.model.RL_5.332, evm.model.RL_5.333	XP_010484287.1, XP_010475149.1, XP_010462562.1
OG0001431	evm.model.RL_6.1359	XP_010469553.1, XP_010509976.1, XP_010418672.1
OG0001432	evm.model.RL_5.445	XP_019098791.1, XP_010475306.1, XP_010485440.1, XP_010457691.1
OG0001432	evm.model.RL_6.1255, evm.model.RL_6.2014	XP_019083009.1, XP_010510182.1, XP_010469692.1, XP_019082538.1
OG0001433	evm.model.RL_5.511	XP_010486299.1, XP_010475389.1, XP_010457783.1
OG0001433	evm.model.RL_6.1182	XP_010414200.1, XP_010469783.1, XP_010510269.1
OG0001434	evm.model.RL_6.1031	XP_010469976.1, XP_010510518.1
OG0001434	evm.model.RL_4.2939	XP_010452516.1, XP_010423394.1, XP_010423393.2, XP_010491151.1, XP_010452515.1
OG0001435	evm.model.RL_5.628	XP_010487969.1, XP_010475551.1
OG0001435	evm.model.RL_6.975	XP_010510591.1, XP_010470054.1
OG0001436	evm.model.RL_4.1873	XP_010492732.1
OG0001436	evm.model.RL_1.283	XP_010485708.1, XP_010463816.1
OG0001437	evm.model.RL_4.1850.2.687c86d6	XP_010420526.2, XP_010492770.1
OG0001437	evm.model.RL_1.301	XP_010463840.1, XP_010485733.1, XP_010514202.1
OG0001438	evm.model.RL_4.987	XP_010455167.1, XP_010421680.1, XP_010494083.1
OG0001438	evm.model.RL_1.403	XP_010485871.1, XP_010463974.1, XP_010419519.1
OG0001439	evm.model.RL_3.1806.3.687c84bd	XP_010416224.1, XP_010428349.1, XP_010471478.1
OG0001439	evm.model.RL_5.1677	XP_010459465.1, XP_010498236.1, XP_010477026.1
OG0001440	evm.model.RL_5.3582	XP_010498627.1, XP_010477418.1, XP_010459893.1
OG0001440	evm.model.RL_3.2148	XP_010416685.1, XP_010428822.1, XP_010471937.1
OG0001441	evm.model.RL_3.1607	XP_010471233.1, XP_010414836.1, XP_010415949.1, XP_010428078.1
OG0001441	evm.model.RL_5.3511	XP_010477513.1, XP_010498725.1, XP_010460011.1
OG0001442	evm.model.RL_3.1482, evm.model.RL_3.1472	XP_010427874.1, XP_010471084.1, XP_010415770.1
OG0001442	evm.model.RL_1.3076, evm.model.RL_5.3450	XP_010460095.1, XP_010477602.1, XP_010498819.1
OG0001443	evm.model.RL_5.3331	XP_010460245.1, XP_010498984.1, XP_010477794.1
OG0001443	evm.model.RL_3.1368	XP_010415635.1, XP_010470976.1, XP_010512032.1
OG0001444	evm.model.RL_6.375, evm.model.RL_2.2061	XP_010438877.1, XP_010433632.1, XP_010433631.1, XP_010448428.1, XP_010448427.1, XP_010438876.1, XP_010433630.1
OG0001446	evm.model.RL_4.2752	XP_010423150.1, XP_010452771.1, XP_010491422.1
OG0001446	evm.model.RL_8.2183	XP_010456983.1, XP_010483776.1, XP_010443929.2
OG0001448	evm.model.RL_1.1298	XP_019101700.1, XP_010465251.1, XP_010487157.1
OG0001449	evm.model.RL_5.3848	XP_010462290.1, XP_010501046.1, XP_010479962.1
OG0001450	evm.model.RL_5.3847	XP_010479961.1, XP_010501045.1, XP_010462289.1
OG0001450	evm.model.RL_1.1359	XP_010501842.1, XP_010465323.1
OG0001451	evm.model.RL_5.3763	XP_010462159.1, XP_010479836.1, XP_010500932.1
OG0001452	evm.model.RL_5.3749	XP_019090834.1, XP_010500912.1, XP_010479815.1
OG0001453	evm.model.RL_5.3731	XP_010462117.1, XP_010500881.1, XP_010479784.1
OG0001453	evm.model.RL_1.1493	XP_010465540.2, XP_010487396.1
OG0001454	evm.model.RL_1.1513.1.687c87ed	XP_010465583.1, XP_010487433.1, XP_010503552.1
OG0001454	evm.model.RL_5.3715	XP_010500854.1, XP_010462090.1, XP_010479762.1
OG0001455	evm.model.RL_1.1597	XP_010465690.1, XP_010487533.1, XP_010504546.1
OG0001455	evm.model.RL_2.1134.1.687c86e2	XP_010434908.1, XP_010440232.1, XP_010449877.1
OG0001456	evm.model.RL_1.1919	XP_010508334.1, XP_010487959.1, XP_010466172.1
OG0001456	evm.model.RL_5.2007	XP_010500600.1, XP_010461885.1, XP_010479491.1
OG0001457	evm.model.RL_1.1949	XP_010488002.1, XP_019092429.1
OG0001457	evm.model.RL_5.1982	XP_010479529.2, XP_010479528.1, XP_010461919.1, XP_010500641.1
OG0001459	evm.model.RL_6.410, evm.model.RL_8.1345	XP_019097912.1, XP_010462817.1, XP_010480575.1, XP_010498575.1, XP_010477388.1, XP_019090820.1
OG0001461	evm.model.RL_6.1390	XP_010509934.1, XP_010413918.1, XP_010473869.1
OG0001463	evm.model.RL_6.2116, evm.model.RL_1.1954	XP_019089003.1
OG0001464	evm.model.RL_2.2505	XP_010438252.1, XP_010433057.1, XP_010447803.1
OG0001464	evm.model.RL_1.3115	XP_010415277.1, XP_010489489.1, XP_010467880.1
OG0001465	evm.model.RL_1.3105	XP_010415086.1, XP_010467868.1, XP_010489462.1
OG0001465	evm.model.RL_2.2523	XP_010438228.1, XP_010433037.1, XP_010447778.1
OG0001466	evm.model.RL_2.2666	XP_010432848.1, XP_010438023.1, XP_010447510.1
OG0001466	evm.model.RL_6.353	XP_010429439.1, XP_010417213.1, XP_010472466.1
OG0001467	evm.model.RL_4.3235	XP_010452166.1, XP_010423780.1, XP_010490773.1
OG0001467	evm.model.RL_8.675	XP_010435535.1, XP_010455509.1, XP_010422048.1
OG0001468	evm.model.RL_2.2928	XP_019089283.1, XP_019088273.1
OG0001470	evm.model.RL_6.1661	XP_010505090.1, XP_010516772.1, XP_010509574.1
OG0001470	evm.model.RL_2.1235	XP_010440105.1, XP_010434773.1, XP_010449723.1
OG0001471	evm.model.RL_3.401	XP_010430082.1, XP_010418041.1, XP_010473290.1
OG0001471	evm.model.RL_5.959	XP_010492159.1, XP_019091978.1, XP_010475982.1
OG0001472	evm.model.RL_5.1338.1.687c88b3	XP_010459002.1, XP_010496591.1, XP_010476561.1
OG0001472	evm.model.RL_7.2711	XP_010502149.1, XP_010424941.1, XP_010513896.1
OG0001473	evm.model.RL_7.2569	XP_010502291.1, XP_019102146.1, XP_010425051.1
OG0001473	evm.model.RL_5.1280	XP_010476492.1, XP_019098986.1, XP_019095267.1, XP_019098988.1, XP_010458935.1
OG0001474	evm.model.RL_2.2119, evm.model.RL_2.2120	XP_010474055.1, XP_010513411.2, XP_010438812.1, XP_010433564.1, XP_010433563.1, XP_010448335.1, XP_010438811.1, XP_010448337.1
OG0001475	evm.model.RL_5.1070	XP_010493627.1, XP_019094311.1
OG0001475	evm.model.RL_3.254	XP_010430292.1, XP_010418231.1, XP_010473457.1
OG0001476	evm.model.RL_1.855	XP_010473408.1, XP_010464594.1, XP_010486519.1, XP_010490711.1, XP_010423852.1, XP_010452095.1
OG0001477	evm.model.RL_4.2828	XP_010456431.1, XP_010423241.1, XP_010491324.1
OG0001478	evm.model.RL_1.878	XP_010486540.1, XP_010475713.1, XP_010464623.1
OG0001478	evm.model.RL_4.3239	XP_010452163.1, XP_010423783.1, XP_010490768.1
OG0001479	evm.model.RL_1.1007	XP_010452436.1, XP_010464788.1
OG0001480	evm.model.RL_2.2014	XP_010438942.1, XP_010448490.1, XP_010433698.1
OG0001481	evm.model.RL_7.2306	XP_010513748.1, XP_010468469.1
OG0001482	evm.model.RL_4.2479.2.687c86d9	XP_010491801.1, XP_010419661.1, XP_010453146.1
OG0001482	evm.model.RL_4.1216	XP_019097565.1, XP_010454842.1
OG0001483	evm.model.RL_4.1238	XP_010493736.1, XP_010454817.1, XP_010421336.1
OG0001483	evm.model.RL_4.2517	XP_010422821.1, XP_010491744.1, XP_010453101.1
OG0001484	evm.model.RL_4.2520	XP_010491739.1, XP_010453098.1, XP_010422823.1
OG0001484	evm.model.RL_4.1240	XP_019098755.1, XP_010454815.1, XP_010493733.1, XP_010421334.1
OG0001485	evm.model.RL_4.2665	XP_010423021.1, XP_010491540.1, XP_010452897.1
OG0001485	evm.model.RL_8.2454	XP_010461080.1, XP_010444306.1
OG0001486	evm.model.RL_4.2685	XP_010491500.1, XP_010423053.1
OG0001487	evm.model.RL_4.1410	XP_010454593.1, XP_010421112.1, XP_010493427.1
OG0001487	evm.model.RL_4.2729	XP_010491445.1, XP_010452798.1
OG0001488	evm.model.RL_2.1312	XP_010434638.1, XP_010449589.1, XP_010439978.1
OG0001488	evm.model.RL_4.88.3.687c86cd	XP_010441500.1, XP_010494932.1, XP_010481366.1
OG0001489	evm.model.RL_8.507	XP_010433071.1, XP_010496158.1, XP_010422246.1
OG0001489	evm.model.RL_2.1728	XP_010448921.1, XP_010434068.1
OG0001490	evm.model.RL_5.3006	XP_010478281.1, XP_010460695.1, XP_010499438.1
OG0001490	evm.model.RL_6.1505	XP_010469393.1, XP_010413770.1, XP_010509790.1
OG0001491	evm.model.RL_5.2927	XP_019095986.1, XP_010480919.1, XP_010480918.1, XP_019091102.1, XP_010480901.1, XP_010418992.1, XP_010474126.1, XP_010463147.1, XP_010501794.1, XP_010513573.1, XP_010513574.1, XP_010460774.1, XP_010478370.1, XP_010499514.1
OG0001492	evm.model.RL_2.3410	XP_010431891.1, XP_010446458.1, XP_010437036.1
OG0001492	evm.model.RL_6.69	XP_010472158.1, XP_010429083.1, XP_010416918.1
OG0001493	evm.model.RL_5.2277	XP_010461511.1, XP_010500237.1, XP_010479116.1
OG0001493	evm.model.RL_4.579	XP_010481911.1, XP_010494270.1, XP_010442084.1
OG0001494	evm.model.RL_8.552	XP_010455670.1, XP_010422199.1, XP_019089626.1
OG0001494	evm.model.RL_8.553	XP_010455668.1, XP_010434250.1
OG0001495	evm.model.RL_4.44	XP_010497126.2
OG0001496	evm.model.RL_1.2318	XP_010466800.1, XP_010513281.1, XP_010488507.1
OG0001496	evm.model.RL_2.859	XP_010440560.1, XP_010450187.1, XP_010435243.1
OG0001497	evm.model.RL_2.1052	XP_010435039.1, XP_010449957.1
OG0001497	evm.model.RL_2.1051, evm.model.RL_2.1050	XP_010435036.1, XP_010440322.1
OG0001498	evm.model.RL_5.271	XP_010483158.1, XP_010475060.1, XP_010457451.1
OG0001498	evm.model.RL_6.81	XP_010414604.1, XP_019096829.1
OG0001499	evm.model.RL_7.81	XP_010518472.1
OG0001500	evm.model.RL_7.137	XP_010468972.1
OG0001501	evm.model.RL_6.2821	XP_010518360.1, XP_019100665.1, XP_010507970.1
OG0001502	evm.model.RL_6.2596	XP_010508265.1, XP_010506396.1, XP_010518072.1
OG0001502	evm.model.RL_7.339	XP_010512333.1, XP_010413582.1
OG0001503	evm.model.RL_7.376	XP_010413620.1, XP_010512285.1, XP_010469257.1
OG0001503	evm.model.RL_6.2534	XP_010517995.1, XP_010506315.1, XP_010508340.1
OG0001504	evm.model.RL_7.401	XP_010512222.1, XP_010413675.1, XP_010469302.1
OG0001504	evm.model.RL_6.2473	XP_019100602.1, XP_019101204.1, XP_019082368.1
OG0001505	evm.model.RL_7.413	XP_010469361.1, XP_010512205.1
OG0001505	evm.model.RL_6.2454	XP_010508448.1, XP_010517888.1, XP_010506196.1
OG0001506	evm.model.RL_1.795	XP_010466312.1, XP_010464506.1, XP_010486436.1
OG0001506	evm.model.RL_4.3398	XP_019090515.1, XP_019097746.1, XP_010423972.1
OG0001507	evm.model.RL_7.1688	XP_019102267.1, XP_010503301.1, XP_010426138.1
OG0001507	evm.model.RL_8.2005	XP_010483542.1, XP_010443673.1, XP_010454777.1
OG0001508	evm.model.RL_7.1528	XP_010426348.1, XP_010515172.1, XP_010503490.1
OG0001508	evm.model.RL_8.2412	XP_010460278.1, XP_010444242.1, XP_010484081.1
OG0001509	evm.model.RL_7.1423	XP_010503636.1, XP_010426495.1, XP_010515331.1
OG0001509	evm.model.RL_8.2673	XP_010444600.1, XP_010484426.1, XP_010463595.1
OG0001510	evm.model.RL_6.1252, evm.model.RL_6.2012	XP_010510186.1, XP_010469720.1, XP_010414113.1
OG0001510	evm.model.RL_5.446	XP_010485468.1, XP_010475308.1, XP_010457696.1
OG0001511	evm.model.RL_5.638	XP_019095167.1, XP_010457991.1, XP_010488050.1
OG0001511	evm.model.RL_6.963	XP_010510607.1, XP_010470065.1, XP_010414502.1
OG0001512	evm.model.RL_5.675	XP_010475610.1, XP_010458052.1
OG0001512	evm.model.RL_6.884	XP_010473183.2, XP_010510718.1, XP_010417938.1
OG0001513	evm.model.RL_1.99	XP_010463552.1, XP_010514495.1, XP_010485522.1
OG0001514	evm.model.RL_1.329	XP_010485779.1, XP_010463882.1, XP_010518233.1
OG0001515	evm.model.RL_1.508	XP_010486053.1, XP_019092153.1, XP_019096326.1, XP_019092152.1, XP_010417855.1, XP_019099625.1
OG0001516	evm.model.RL_1.598	XP_010442460.1, XP_010464239.1, XP_010486178.1
OG0001517	evm.model.RL_7.764, evm.model.RL_8.939, evm.model.RL_8.950, evm.model.RL_8.956, evm.model.RL_8.946, evm.model.RL_8.967, evm.model.RL_8.960, evm.model.RL_8.931	XP_010516193.1, XP_010504473.1, XP_010427402.1
OG0001517	evm.model.RL_6.2133	XP_010505737.1, XP_010508901.1, XP_010517427.1
OG0001518	evm.model.RL_6.2123	XP_010508916.1, XP_019100541.1, XP_010517405.1
OG0001518	evm.model.RL_7.773	XP_010516177.1, XP_010504460.1, XP_010427389.1
OG0001519	evm.model.RL_3.1803.1.687c84bd	XP_010428344.1, XP_010416219.1, XP_010471474.1
OG0001519	evm.model.RL_5.1676	XP_019091734.1, XP_010477024.1, XP_010498234.1
OG0001520	evm.model.RL_7.1561	XP_019100234.1, XP_019102289.1, XP_019084807.1, XP_019084808.1
OG0001520	evm.model.RL_5.1737	XP_019091339.1, XP_019097107.1, XP_019094857.1
OG0001522	evm.model.RL_5.3455	XP_010498809.1, XP_019091033.1, XP_010477589.1
OG0001522	evm.model.RL_3.1497	XP_010415790.1, XP_019094044.1, XP_010427902.1
OG0001523	evm.model.RL_5.3397	XP_010498889.1, XP_010477685.1, XP_010460158.2
OG0001523	evm.model.RL_3.1425	XP_010427802.1, XP_010415708.1, XP_010471027.1
OG0001524	evm.model.RL_5.3145	XP_010499222.1, XP_010478083.1
OG0001524	evm.model.RL_8.2258	XP_010457848.1, XP_010483870.1, XP_010444018.1
OG0001526	evm.model.RL_8.2889	XP_010474804.1, XP_010457077.1, XP_019098079.1
OG0001526	evm.model.RL_6.302	XP_010429382.1
OG0001527	evm.model.RL_4.2206	XP_010492219.1, XP_010453537.1, XP_010420047.1
OG0001527	evm.model.RL_3.2478, evm.model.RL_3.2417	XP_010472534.1, XP_010429527.1, XP_010417301.1
OG0001528	evm.model.RL_4.2141	XP_010453620.1
OG0001529	evm.model.RL_4.1742	XP_010492959.1, XP_010420701.1, XP_010456588.1
OG0001531	evm.model.RL_4.2925	XP_010491169.1, XP_010423379.1
OG0001531	evm.model.RL_1.1061	XP_010497100.1, XP_010486824.1, XP_010464871.1
OG0001532	evm.model.RL_8.1961	XP_010483484.1, XP_010443630.1, XP_010454263.1
OG0001533	evm.model.RL_7.1341	XP_019090154.1
OG0001534	evm.model.RL_3.1128	XP_010417510.1, XP_010429765.1, XP_010472733.1
OG0001535	evm.model.RL_5.3938	XP_010501174.1, XP_010462411.1, XP_010480096.1
OG0001535	evm.model.RL_1.1248	XP_010487093.1, XP_010465173.1, XP_010500435.1
OG0001536	evm.model.RL_1.1285.1.687c87ec	XP_010501017.1, XP_010487133.1, XP_010465221.1
OG0001536	evm.model.RL_5.3904	XP_010440811.1, XP_010501127.1, XP_010480038.1
OG0001537	evm.model.RL_5.3735	XP_010479795.1, XP_010462129.1, XP_010500891.1
OG0001537	evm.model.RL_1.1488	XP_010465530.1, XP_010503198.1, XP_010487385.1
OG0001538	evm.model.RL_1.1579	XP_010504356.1, XP_010487509.1, XP_010465671.1
OG0001538	evm.model.RL_5.1879	XP_010479701.1, XP_010500794.1, XP_010462039.1
OG0001539	evm.model.RL_1.3095	XP_019096599.1
OG0001539	evm.model.RL_1.2407	XP_019092675.1, XP_019096710.1
OG0001540	evm.model.RL_6.1538	XP_010509743.1, XP_010504911.1, XP_010516597.1
OG0001540	evm.model.RL_6.990	XP_010470040.1, XP_010513271.1
OG0001540	evm.model.RL_6.1537	XP_010412869.1, XP_010504909.1, XP_010516596.1, XP_010509744.1
OG0001541	evm.model.RL_7.100	XP_010480212.1, XP_010480211.1, XP_010414935.1, XP_010511232.1, XP_010413258.1, XP_010413255.1, XP_010413256.1, XP_010512663.1, XP_010468930.1
OG0001543	evm.model.RL_4.606	XP_010489663.1, XP_010453168.1, XP_010428960.1
OG0001544	evm.model.RL_2.1071	XP_010434978.1
OG0001544	evm.model.RL_2.1073	XP_010434409.1, XP_010440299.1, XP_010440301.1, XP_010434972.1, XP_010434973.1, XP_019089660.1
OG0001547	evm.model.RL_1.1985	XP_010466262.1, XP_010488047.1, XP_010509132.1, XP_010505991.1, XP_010517689.1, XP_010508647.1
OG0001549	evm.model.RL_1.3242	XP_010415513.1, XP_010467797.1, XP_010489018.1
OG0001549	evm.model.RL_2.2363	XP_010433215.1
OG0001550	evm.model.RL_1.1045	XP_010486792.1, XP_010495361.1, XP_010464842.1
OG0001551	evm.model.RL_2.2641	XP_010438054.1, XP_010447581.1, XP_010432874.1
OG0001551	evm.model.RL_6.334	XP_010429421.1, XP_010472451.1, XP_010417201.1
OG0001552	evm.model.RL_2.2718	XP_010447442.1, XP_010445015.1, XP_010432775.1
OG0001552	evm.model.RL_6.428	XP_010429524.1, XP_019083497.1, XP_010472528.1
OG0001553	evm.model.RL_3.442	XP_010510936.1, XP_010417992.1, XP_010473235.1
OG0001553	evm.model.RL_5.928	XP_010458422.1, XP_010491600.1, XP_010475939.1
OG0001554	evm.model.RL_5.1033	XP_010493132.1, XP_010458574.1, XP_010476100.1
OG0001554	evm.model.RL_3.294	XP_010473410.1, XP_010418166.1, XP_010430215.1
OG0001555	evm.model.RL_5.1175.1.687c88b2	XP_010458769.1, XP_010476314.1, XP_010495090.1
OG0001555	evm.model.RL_7.2459	XP_010502437.1, XP_010425207.1, XP_010514179.1
OG0001556	evm.model.RL_6.1774	XP_010509432.1, XP_010505228.1, XP_010516909.1
OG0001556	evm.model.RL_7.2372	XP_010514297.1, XP_010502579.1, XP_010425366.1
OG0001557	evm.model.RL_1.844	XP_010464577.1, XP_010486501.1
OG0001557	evm.model.RL_8.37, evm.model.RL_8.7	XP_010502109.1, XP_010424877.1, XP_010424871.1, XP_010502108.1, XP_010513850.1
OG0001558	evm.model.RL_4.3091	XP_010423582.1, XP_010490948.1, XP_010452336.1
OG0001558	evm.model.RL_1.957	XP_010464726.1, XP_010486664.1, XP_010485001.1, XP_010485171.1
OG0001559	evm.model.RL_8.1043	XP_010441020.1, XP_010442441.1, XP_010482263.1
OG0001559	evm.model.RL_2.1941	XP_010439066.1, XP_010448587.1, XP_010433798.1
OG0001560	evm.model.RL_8.1068	XP_010482292.1, XP_010445994.1, XP_010441309.1
OG0001560	evm.model.RL_2.1949	XP_010448576.1, XP_010433782.1, XP_010439053.1
OG0001561	evm.model.RL_2.2079_evm.model.RL_2.2080	XP_010448396.1, XP_019086689.1, XP_010438846.1
OG0001562	evm.model.RL_8.1685	XP_010483074.1, XP_010450614.1
OG0001562	evm.model.RL_4.3043	XP_010452397.1, XP_010491026.1, XP_010423513.1
OG0001563	evm.model.RL_4.1710	XP_010454214.1, XP_019083887.1, XP_010493003.1
OG0001564	evm.model.RL_6.1841	XP_010509340.1, XP_010517012.1, XP_010505326.1
OG0001565	evm.model.RL_4.2765	XP_010423160.1, XP_010491406.1, XP_010452752.1
OG0001565	evm.model.RL_8.2193	XP_010483785.1, XP_010457045.1, XP_010443936.2
OG0001566	evm.model.RL_4.289.2.687c86cd	XP_010484805.2, XP_010494646.1
OG0001566	evm.model.RL_2.1472	XP_010434453.1, XP_010439763.1, XP_010449398.1
OG0001567	evm.model.RL_5.2552	XP_010499959.1, XP_010461248.1, XP_010478849.1
OG0001567	evm.model.RL_5.2553	XP_010499958.1, XP_010480881.1, XP_010461247.1
OG0001568	evm.model.RL_5.3038	XP_010478243.2, XP_010478242.1, XP_010499397.1, XP_010460659.1
OG0001569	evm.model.RL_6.1517	XP_010509773.1, XP_010469377.1, XP_010413759.1
OG0001569	evm.model.RL_5.2980	XP_010460728.1, XP_010478312.1
OG0001570	evm.model.RL_7.409	XP_010469310.1, XP_010413686.1, XP_010512211.1
OG0001570	evm.model.RL_5.2841	XP_010460906.1, XP_010478531.1, XP_010499643.1
OG0001571	evm.model.RL_1.2927	XP_010467512.1, XP_010515076.2, XP_010489368.1
OG0001571	evm.model.RL_2.3068	XP_010446922.1, XP_010432279.1, XP_010437469.1
OG0001572	evm.model.RL_2.3327	XP_010431992.1, XP_010437140.1, XP_010446568.1
OG0001572	evm.model.RL_6.143	XP_010472232.1, XP_010429165.1, XP_010417002.1
OG0001573	evm.model.RL_2.3363	XP_010431963.1, XP_010446535.1, XP_010437099.1
OG0001573	evm.model.RL_6.121	XP_010429136.1, XP_019093502.1, XP_010416975.1
OG0001574	evm.model.RL_2.3417	XP_010446434.1, XP_010437018.1, XP_010431873.1
OG0001574	evm.model.RL_6.57	XP_010472146.1, XP_010416901.1, XP_010429066.1
OG0001575	evm.model.RL_6.40	XP_010429033.1, XP_010416877.1, XP_010472114.1
OG0001575	evm.model.RL_2.3437	XP_010431846.1, XP_010446416.1, XP_010436993.1
OG0001577	evm.model.RL_2.285	XP_010435888.1, XP_010441065.1, XP_010450807.1
OG0001578	evm.model.RL_4.38	XP_010494993.1, XP_010441439.1, XP_010481310.1
OG0001579	evm.model.RL_2.1281	XP_010440031.1, XP_010434690.1, XP_010449640.1
OG0001581	evm.model.RL_7.80	XP_010413226.1, XP_010468913.1, XP_010512681.1
OG0001581	evm.model.RL_6.2915	XP_010506800.1, XP_010518470.1, XP_010507868.1
OG0001582	evm.model.RL_7.374	XP_010469259.1, XP_010512282.1, XP_010413622.1
OG0001582	evm.model.RL_6.2532	XP_010517992.1, XP_010506314.1, XP_019101190.1
OG0001583	evm.model.RL_6.2350	XP_010506043.1, XP_010508593.1, XP_010517746.1
OG0001583	evm.model.RL_7.575	XP_010504720.1, XP_019102423.1, XP_010427669.1
OG0001584	evm.model.RL_6.2315	XP_010517683.1, XP_010505985.1
OG0001585	evm.model.RL_7.645	XP_010504649.1, XP_010516334.1, XP_010427590.1
OG0001585	evm.model.RL_6.2279	XP_010505933.1, XP_010517642.1, XP_010508713.1
OG0001586	evm.model.RL_4.1698	XP_010454234.1, XP_010493023.1
OG0001587	evm.model.RL_4.1438	XP_010454563.1, XP_010493394.1
OG0001588	evm.model.RL_7.1692	XP_010503298.1, XP_010426126.1, XP_010515006.1
OG0001589	evm.model.RL_8.2417	XP_010444249.1, XP_010460502.1, XP_010484091.1
OG0001590	evm.model.RL_7.822	XP_010516108.1, XP_010427311.1, XP_010504395.1
OG0001590	evm.model.RL_8.2667	XP_010484418.1, XP_010444593.1, XP_010463520.1
OG0001591	evm.model.RL_5.148	XP_010457286.1, XP_019098372.1, XP_010474879.1
OG0001591	evm.model.RL_8.270	XP_010429750.1, XP_010422582.1, XP_010456024.1
OG0001592	evm.model.RL_5.184	XP_010474942.1, XP_010474941.1, XP_010457329.1
OG0001592	evm.model.RL_8.317	XP_019089026.1, XP_010422524.1, XP_010455935.1
OG0001593	evm.model.RL_6.1428	XP_010509891.1, XP_010473856.1, XP_010413867.1
OG0001593	evm.model.RL_5.299	XP_010475106.1, XP_010457494.1
OG0001594	evm.model.RL_5.380	XP_010475203.1, XP_010484818.1
OG0001594	evm.model.RL_6.1328	XP_010414005.1, XP_010510027.1, XP_010469599.1
OG0001595	evm.model.RL_1.243	XP_010463772.1, XP_010507797.1, XP_010485660.1
OG0001595	evm.model.RL_1.242	XP_010507732.1
