Orthogroup	Cardamine_amara	Conringia_planisiliqua
OG0002690	evm.model.RL_8.2038	CP8_g53969_DN1_SP0_c.t1
OG0002691	evm.model.RL_7.1521	CP3_g14516_DN1_SP0_c.t1
OG0002691	evm.model.RL_8.2414	CP2_g47964_DN2_SP0_c.t1
OG0002692	evm.model.RL_8.2878	CP1_g36445_DN3_SP4_c.t1
OG0002693	evm.model.RL_8.321	CP11_g32003_DN3_SP8_c.t1
OG0002694	evm.model.RL_4.437	CP13_g20176_DN3_SP1_c.t1
OG0002694	evm.model.RL_5.232	CP1_g36700_DN3_SP0_c.t1
OG0002695	evm.model.RL_6.1261	CP4_g25585_DN3_SP8_c.t1
OG0002695	evm.model.RL_5.439	CP1_g36874_DN3_SP8_c.t1
OG0002696	evm.model.RL_5.631	CP1_g37051_DN2_SP0_c.t1
OG0002696	evm.model.RL_6.980	CP4_g25868_DN3_SP0_c.t1
OG0002697	evm.model.RL_1.780_evm.model.RL_1.781.1.687c9a65	CP10_g42834_DN3_SP3_c.t1
OG0002698	evm.model.RL_1.250	CP10_g42326_DN3_SP4_c.t1
OG0002699	evm.model.RL_4.1900	CP11_g32227_DN3_SP8_c.t1
OG0002700	evm.model.RL_4.1831	CP8_g54516_DN3_SP3_c.t1
OG0002700	evm.model.RL_1.311	CP10_g42390_DN3_SP3_c.t1
OG0002701	evm.model.RL_4.843	CP10_g42724_DN3_SP5_c.t1, CP2_g48757_DN3_SP0_c.t1
OG0002702	evm.model.RL_7.734	CP3_g13736_DN3_SP8_c.t1
OG0002702	evm.model.RL_6.2160	CP4_g24681_DN3_SP8_c.t1
OG0002703	evm.model.RL_1.2993	CP7_g44878_DN3_SP8_c.t1
OG0002704	evm.model.RL_6.1805	CP4_g25034_DN3_SP8_c.t1
OG0002704	evm.model.RL_7.1056	CP3_g14027_DN3_SP6_c.t1
OG0002705	evm.model.RL_7.957, evm.model.RL_7.952	CP3_g13933_DN3_SP8_c.t1
OG0002705	evm.model.RL_6.1979	CP4_g24853_DN3_SP7_c.t1
OG0002706	evm.model.RL_3.2348	CP9_g29583_DN3_SP7_c.t1
OG0002706	evm.model.RL_5.1482	CP7_g46107_DN3_SP8_c.t1
OG0002707	evm.model.RL_3.1742	CP9_g28975_DN3_SP8_c.t1
OG0002707	evm.model.RL_5.1625	CP7_g45956_DN3_SP8_c.t1
OG0002708	evm.model.RL_3.1952	CP9_g29175_DN3_SP8_c.t1
OG0002708	evm.model.RL_5.1797	CP7_g45792_DN3_SP5_c.t1
OG0002709	evm.model.RL_3.2098	CP9_g29337_DN3_SP4_c.t1
OG0002710	evm.model.RL_5.3479	CP7_g45497_DN3_SP7_c.t1
OG0002710	evm.model.RL_3.1545	CP9_g28764_DN3_SP6_c.t1
OG0002711	evm.model.RL_3.1418_evm.model.RL_3.1419	CP9_g28635_DN2_SP0_c.t1
OG0002711	evm.model.RL_5.3383	CP7_g45386_DN3_SP8_c.t1
OG0002712	evm.model.RL_5.3243	CP7_g45243_DN3_SP0_c.t1
OG0002713	evm.model.RL_3.1251	CP9_g28452_DN3_SP7_c.t1
OG0002715	evm.model.RL_5.1343	CP1_g37799_DN3_SP0_c.t1
OG0002716	evm.model.RL_5.898	CP1_g37325_DN3_SP5_c.t1
OG0002716	evm.model.RL_5.897	CP1_g37324_DN3_SP1_c.t1
OG0002717	evm.model.RL_4.2002	CP11_g32335_DN3_SP0_c.t1
OG0002718	evm.model.RL_4.1909	CP11_g32239_DN3_SP0_c.t1
OG0002719	evm.model.RL_4.1248	CP2_g48394_DN3_SP0_c.t1
OG0002719	evm.model.RL_4.1250, evm.model.RL_4.1249, evm.model.RL_4.1251	CP2_g48393_DN3_SP0_c.t1
OG0002720	evm.model.RL_4.775	CP3_g14275_DN2_SP0_c.t1
OG0002721	evm.model.RL_7.1457	CP3_g14436_DN2_SP6_c.t1
OG0002722	evm.model.RL_3.1311	CP9_g28520_DN3_SP0_c.t1
OG0002722	evm.model.RL_3.1285	CP9_g28486_DN3_SP0_c.t1
OG0002723	evm.model.RL_3.2206	CP9_g29450_DN3_SP6_c.t1
OG0002723	evm.model.RL_5.3542	CP7_g45564_DN3_SP0_c.t1
OG0002724	evm.model.RL_5.3663	CP7_g45688_DN3_SP1_c.t1
OG0002724	evm.model.RL_3.2051	CP9_g29283_DN3_SP8_c.t1
OG0002725	evm.model.RL_1.1214	CP10_g43268_DN3_SP6_c.t1
OG0002725	evm.model.RL_1.1213	CP10_g43267_DN3_SP3_c.t1
OG0002726	evm.model.RL_1.1472	CP12_g29882_DN3_SP7_c.t1
OG0002726	evm.model.RL_5.3755	CP7_g46209_DN3_SP5_c.t1
OG0002727	evm.model.RL_1.1556	CP12_g29977_DN3_SP8_c.t1
OG0002728	evm.model.RL_5.2065	CP1_g38144_DN3_SP8_c.t1
OG0002728	evm.model.RL_1.1822	CP12_g30256_DN3_SP8_c.t1
OG0002729	evm.model.RL_1.1975	CP12_g30410_DN3_SP2_c.t1
OG0002729	evm.model.RL_5.1974	CP1_g38034_DN3_SP4_c.t1
OG0002730	evm.model.RL_1.2094	CP12_g30531_DN3_SP2_c.t1
OG0002731	evm.model.RL_1.2151	CP12_g30609_DN3_SP6_c.t1
OG0002731	evm.model.RL_2.1023	CP6_g7423_DN3_SP7_c.t1
OG0002732	evm.model.RL_3.714	CP1_g37916_DN3_SP0_c.t1
OG0002733	evm.model.RL_5.2091	CP1_g38177_DN3_SP3_c.t1
OG0002734	evm.model.RL_6.1548	CP4_g25282_DN3_SP7_c.t1
OG0002735	evm.model.RL_7.1058, evm.model.RL_7.1053	CP3_g14029_DN3_SP0_c.t1
OG0002736	evm.model.RL_6.1901	CP4_g24927_DN3_SP8_c.t1
OG0002737	evm.model.RL_6.2207	CP4_g24639_DN3_SP7_c.t1
OG0002737	evm.model.RL_7.725	CP3_g13704_DN3_SP5_c.t1
OG0002738	evm.model.RL_4.31, evm.model.RL_4.28	CP13_g19806_DN3_SP0_c.t1, CP13_g19734_DN3_SP0_c.t1
OG0002739	evm.model.RL_7.1404	CP3_g14381_DN2_SP0_c.t1
OG0002739	evm.model.RL_8.2710	CP20_g4260_DN2_SP0_c.t1, CP2_g47674_DN3_SP0_c.t1
OG0002741	evm.model.RL_3.1238	CP9_g28435_DN3_SP8_c.t1
OG0002743	evm.model.RL_2.2874	CP5_g654_DN3_SP0_c.t1
OG0002745	evm.model.RL_5.1047	CP1_g37478_DN3_SP0_c.t1
OG0002746	evm.model.RL_5.1230	CP1_g37688_DN3_SP2_c.t1
OG0002746	evm.model.RL_7.2518	CP13_g19501_DN3_SP8_c.t1
OG0002747	evm.model.RL_4.472	CP12_g29953_DN3_SP2_c.t1
OG0002748	evm.model.RL_8.2550	CP2_g47833_DN2_SP0_c.t1
OG0002750	evm.model.RL_2.399	CP5_g1656_DN3_SP0_c.t1
OG0002753	evm.model.RL_2.2344	CP5_g1170_DN3_SP4_c.t1
OG0002753	evm.model.RL_1.3258	CP12_g29829_DN2_SP8_c.t1
OG0002754	evm.model.RL_1.3187	CP5_g1094_DN3_SP8_c.t1
OG0002755	evm.model.RL_6.378	CP16_g55172_DN3_SP8_c.t1
OG0002755	evm.model.RL_2.2684	CP5_g828_DN3_SP1_c.t1
OG0002757	evm.model.RL_1.2803	CP10_g43992_DN3_SP1_c.t1
OG0002757	evm.model.RL_2.2973	CP5_g559_DN3_SP4_c.t1
OG0002758	evm.model.RL_2.3033	CP5_g502_DN3_SP8_c.t1
OG0002759	evm.model.RL_2.1140	CP6_g7272_DN2_SP0_c.t1
OG0002762	evm.model.RL_3.307	CP2_g49092_DN3_SP8_c.t1
OG0002762	evm.model.RL_5.1026	CP1_g37457_DN3_SP7_c.t1
OG0002763	evm.model.RL_5.1345	CP1_g37801_DN2_SP0_c.t1
OG0002764	evm.model.RL_5.1216	CP1_g37676_DN3_SP1_c.t1
OG0002764	evm.model.RL_7.2506	CP13_g19490_DN3_SP0_c.t1
OG0002765	evm.model.RL_7.2321	CP13_g19305_DN3_SP0_c.t1
OG0002766	evm.model.RL_2.442	CP5_g1735_DN3_SP2_c.t1
OG0002767	evm.model.RL_3.173	CP2_g48954_DN3_SP8_c.t1
OG0002767	evm.model.RL_5.1134	CP1_g37578_DN3_SP8_c.t1
OG0002769	evm.model.RL_1.851	CP10_g42905_DN3_SP3_c.t1
OG0002770	evm.model.RL_8.1176	CP8_g52923_DN3_SP7_c.t1
OG0002772	evm.model.RL_8.2457.1.687c8561	CP2_g47921_DN3_SP8_c.t1
OG0002772	evm.model.RL_4.2661	CP11_g33001_DN3_SP6_c.t1
OG0002773	evm.model.RL_4.2800	CP11_g33148_DN3_SP4_c.t1
OG0002773	evm.model.RL_8.2241	CP2_g48138_DN3_SP6_c.t1
OG0002774	evm.model.RL_2.1540	CP6_g6833_DN3_SP0_c.t1
OG0002774	evm.model.RL_4.364	CP13_g20088_DN2_SP0_c.t1
OG0002775	evm.model.RL_2.1550	CP6_g6823_DN3_SP0_c.t1
OG0002775	evm.model.RL_4.375	CP13_g20098_DN3_SP0_c.t1
OG0002776	evm.model.RL_2.1657	CP6_g6698_DN3_SP5_c.t1
OG0002776	evm.model.RL_2.1656	CP6_g6699_DN3_SP0_c.t1
OG0002777	evm.model.RL_2.1695, evm.model.RL_2.1696	CP19_g18493_DN2_SP0_c.t1
OG0002778	evm.model.RL_2.1819	CP19_g18351_DN3_SP0_c.t1
OG0002779	evm.model.RL_5.2565	CP7_g44493_DN3_SP0_c.t1
OG0002779	evm.model.RL_5.2567	CP7_g44494_DN3_SP0_c.t1, CP7_g44497_DN3_SP0_c.t1
OG0002780	evm.model.RL_5.2437, evm.model.RL_5.2438	CP21_g10997_DN3_SP1_c.t1
OG0002781	evm.model.RL_2.3278	CP5_g244_DN3_SP8_c.t1
OG0002782	evm.model.RL_2.3347	CP5_g177_DN3_SP8_c.t1
OG0002783	evm.model.RL_2.3442	CP5_g74_DN3_SP0_c.t1
OG0002784	evm.model.RL_2.1307	CP6_g7076_DN3_SP4_c.t1
OG0002785	evm.model.RL_2.631	CP5_g2316_DN3_SP0_c.t1
OG0002785	evm.model.RL_1.2575	CP17_g5826_DN3_SP0_c.t1
OG0002786	evm.model.RL_1.2563	CP17_g5405_DN2_SP0_c.t1
OG0002786	evm.model.RL_2.625	CP5_g2247_DN2_SP0_c.t1
OG0002787	evm.model.RL_2.599	CP5_g2117_DN3_SP0_c.t1
OG0002787	evm.model.RL_1.2488	CP12_g31130_DN2_SP0_c.t1
OG0002788	evm.model.RL_2.965	CP6_g7500_DN2_SP0_c.t1
OG0002788	evm.model.RL_1.2213	CP12_g30674_DN2_SP0_c.t1
OG0002789	evm.model.RL_1.2177	CP12_g30641_DN3_SP1_c.t1
OG0002789	evm.model.RL_2.1001	CP6_g7452_DN3_SP8_c.t1
OG0002790	evm.model.RL_1.2141_evm.model.RL_1.2143.1.687c9a6b	CP12_g30600_DN3_SP5_c.t1
OG0002791	evm.model.RL_1.2089	CP12_g30526_DN3_SP8_c.t1
OG0002794	evm.model.RL_7.290	CP3_g13318_DN3_SP8_c.t1
OG0002795	evm.model.RL_7.332	CP3_g13358_DN3_SP6_c.t1
OG0002795	evm.model.RL_6.2617	CP4_g24242_DN3_SP7_c.t1
OG0002796	evm.model.RL_6.2480	CP4_g24369_DN2_SP2_c.t1
OG0002798	evm.model.RL_6.2304	CP4_g24545_DN3_SP8_c.t1
OG0002799	evm.model.RL_6.1929	CP4_g24904_DN3_SP0_c.t1
OG0002799	evm.model.RL_4.3381	CP11_g33714_DN3_SP0_c.t1
OG0002800	evm.model.RL_4.3170	CP11_g33527_DN3_SP3_c.t1, CP2_g49166_DN3_SP0_c.t1, CP11_g33531_DN3_SP0_c.t1
OG0002801	evm.model.RL_7.1957	CP8_g54245_DN3_SP8_c.t1
OG0002803	evm.model.RL_7.1666	CP3_g14695_DN3_SP8_c.t1
OG0002803	evm.model.RL_8.1967	CP8_g53893_DN3_SP7_c.t1
OG0002804	evm.model.RL_8.2748	CP2_g47631_DN3_SP0_c.t1
OG0002805	evm.model.RL_6.1070	CP4_g25782_DN3_SP4_c.t1
OG0002806	evm.model.RL_8.208	CP11_g32157_DN3_SP6_c.t1
OG0002808	evm.model.RL_6.1334	CP4_g25519_DN3_SP8_c.t1
OG0002808	evm.model.RL_5.373	CP1_g36559_DN3_SP8_c.t1
OG0002809	evm.model.RL_6.1231	CP4_g25614_DN3_SP8_c.t1
OG0002810	evm.model.RL_5.519	CP1_g36949_DN3_SP0_c.t1
OG0002810	evm.model.RL_6.1170	CP4_g25681_DN3_SP5_c.t1
OG0002811	evm.model.RL_6.1029, evm.model.RL_6.1030	CP4_g25827_DN3_SP0_c.t1
OG0002812	evm.model.RL_5.692	CP1_g37115_DN3_SP6_c.t1
OG0002813	evm.model.RL_1.47	CP10_g42127_DN3_SP5_c.t1
OG0002813	evm.model.RL_4.2186	CP11_g32528_DN3_SP8_c.t1
OG0002814	evm.model.RL_4.2076	CP11_g32409_DN3_SP5_c.t1
OG0002814	evm.model.RL_1.131	CP10_g42214_DN3_SP6_c.t1
OG0002815	evm.model.RL_4.1897	CP11_g32224_DN3_SP0_c.t1
OG0002816	evm.model.RL_1.338	CP10_g42415_DN1_SP0_c.t1
OG0002817	evm.model.RL_1.350	CP10_g42424_DN3_SP6_c.t1
OG0002817	evm.model.RL_4.1804	CP8_g54490_DN3_SP8_c.t1
OG0002818	evm.model.RL_1.421	CP10_g42489_DN3_SP8_c.t1
OG0002818	evm.model.RL_4.1011	CP2_g48625_DN3_SP5_c.t1
OG0002819	evm.model.RL_4.1752	CP8_g54436_DN1_SP0_c.t1
OG0002819	evm.model.RL_1.553	CP10_g42622_DN2_SP0_c.t1
OG0002820	evm.model.RL_1.581	CP10_g42651_DN3_SP0_c.t1
OG0002821	evm.model.RL_1.625	CP10_g42689_DN3_SP1_c.t1
OG0002822	evm.model.RL_1.372.1.687c87ea	CP10_g42446_DN3_SP8_c.t1
OG0002823	evm.model.RL_7.1110	CP3_g14086_DN3_SP8_c.t1
OG0002823	evm.model.RL_6.1718	CP4_g25121_DN3_SP8_c.t1
OG0002824	evm.model.RL_7.989.1.687c84b7, evm.model.RL_7.629	CP3_g13968_DN3_SP3_c.t1
OG0002824	evm.model.RL_6.1888	CP4_g24942_DN3_SP3_c.t1
OG0002825	evm.model.RL_3.2449	CP9_g29689_DN3_SP2_c.t1
OG0002825	evm.model.RL_5.1404	CP7_g46179_DN3_SP1_c.t1
OG0002826	evm.model.RL_3.2381	CP9_g29616_DN3_SP3_c.t1
OG0002826	evm.model.RL_5.1455	CP7_g46132_DN3_SP1_c.t1
OG0002827	evm.model.RL_5.1585	CP7_g45999_DN3_SP8_c.t1
OG0002827	evm.model.RL_3.1658	CP9_g28905_DN3_SP7_c.t1
OG0002829	evm.model.RL_5.1622	CP7_g45960_DN2_SP2_c.t1
OG0002829	evm.model.RL_3.1731	CP9_g28957_DN2_SP0_c.t1
OG0002830	evm.model.RL_3.1870	CP9_g29095_DN3_SP4_c.t1
OG0002830	evm.model.RL_5.1718	CP7_g45875_DN3_SP8_c.t1
OG0002831	evm.model.RL_3.1889	CP9_g29113_DN3_SP1_c.t1
OG0002831	evm.model.RL_5.1728	CP7_g45862_DN3_SP0_c.t1
OG0002832	evm.model.RL_5.3683	CP7_g45711_DN3_SP8_c.t1
OG0002832	evm.model.RL_3.2039	CP9_g29269_DN3_SP8_c.t1
OG0002833	evm.model.RL_5.3682	CP7_g45710_DN3_SP8_c.t1, CP23_g21375_DN2_SP0_c.t1
OG0002833	evm.model.RL_3.2040	CP9_g29270_DN3_SP8_c.t1
OG0002834	evm.model.RL_5.3392	CP7_g45398_DN3_SP8_c.t1
OG0002835	evm.model.RL_5.3271	CP7_g45278_DN3_SP7_c.t1
OG0002836	evm.model.RL_5.3244	CP7_g45244_DN3_SP0_c.t1
OG0002837	evm.model.RL_3.1226	CP9_g28421_DN2_SP0_c.t1
OG0002837	evm.model.RL_5.3227	CP7_g45228_DN3_SP0_c.t1
OG0002840	evm.model.RL_2.3414	CP5_g100_DN3_SP4_c.t1
OG0002840	evm.model.RL_6.62	CP16_g54783_DN3_SP7_c.t1
OG0002841	evm.model.RL_6.1338	CP4_g25522_DN3_SP0_c.t1
OG0002841	evm.model.RL_5.371	CP1_g36561_DN3_SP0_c.t1
OG0002842	evm.model.RL_5.156	CP16_g55223_DN3_SP0_c.t1, CP1_g36745_DN3_SP0_c.t1
OG0002843	evm.model.RL_5.146	CP1_g36780_DN3_SP3_c.t1
OG0002843	evm.model.RL_4.1372	CP2_g48283_DN3_SP8_c.t1
OG0002844	evm.model.RL_4.2140, evm.model.RL_4.2139	CP11_g32475_DN3_SP0_c.t1, CP11_g32476_DN3_SP0_c.t1
OG0002845	evm.model.RL_4.1775	CP8_g54463_DN3_SP8_c.t1
OG0002847	evm.model.RL_5.3988	CP7_g46456_DN3_SP8_c.t1
OG0002848	evm.model.RL_4.1278	CP2_g48371_DN3_SP2_c.t1
OG0002848	evm.model.RL_7.1452	CP3_g14431_DN3_SP8_c.t1
OG0002849	evm.model.RL_7.1464, evm.model.RL_7.1463	CP3_g14448_DN3_SP8_c.t1
OG0002849	evm.model.RL_4.1297	CP2_g48351_DN3_SP8_c.t1
OG0002850	evm.model.RL_8.2247	CP2_g48130_DN3_SP0_c.t1
OG0002851	evm.model.RL_4.1358	CP2_g48296_DN3_SP0_c.t1
OG0002851	evm.model.RL_7.1500	CP3_g14491_DN3_SP8_c.t1
OG0002852	evm.model.RL_4.1369	CP2_g48287_DN3_SP8_c.t1
OG0002853	evm.model.RL_8.2256	CP2_g48120_DN3_SP2_c.t1
OG0002854	evm.model.RL_8.1960	CP8_g53881_DN3_SP2_c.t1
OG0002855	evm.model.RL_1.80	CP10_g42159_DN2_SP0_c.t1
OG0002855	evm.model.RL_8.1944	CP8_g53871_DN3_SP0_c.t1
OG0002856	evm.model.RL_7.1655	CP3_g14673_DN3_SP1_c.t1
OG0002856	evm.model.RL_8.1940	CP8_g53867_DN3_SP0_c.t1
OG0002858	evm.model.RL_1.1984, evm.model.RL_7.1470	CP3_g14455_DN3_SP2_c.t1
OG0002859	evm.model.RL_8.2051	CP8_g53996_DN3_SP8_c.t1
OG0002860	evm.model.RL_2.2976	CP5_g556_DN3_SP0_c.t1
OG0002861	evm.model.RL_5.94	CP1_g36544_DN2_SP0_c.t1
OG0002861	evm.model.RL_3.1502	CP9_g28725_DN2_SP0_c.t1
OG0002863	evm.model.RL_3.2399	CP9_g29636_DN3_SP2_c.t1
OG0002863	evm.model.RL_5.1442	CP7_g46146_DN3_SP0_c.t1
OG0002864	evm.model.RL_1.1255	CP10_g43310_DN3_SP2_c.t1
OG0002865	evm.model.RL_1.1291	CP10_g43339_DN3_SP8_c.t1
OG0002866	evm.model.RL_1.1317	CP10_g43364_DN3_SP7_c.t1
OG0002867	evm.model.RL_1.1327	CP10_g43374_DN3_SP0_c.t1
OG0002867	evm.model.RL_5.3871	CP7_g46329_DN3_SP0_c.t1
OG0002868	evm.model.RL_1.1473	CP12_g29883_DN3_SP5_c.t1
OG0002868	evm.model.RL_5.3754	CP7_g46208_DN3_SP6_c.t1
OG0002869	evm.model.RL_5.1975	CP1_g38038_DN3_SP5_c.t1
OG0002870	evm.model.RL_8.1994	CP5_g68_DN3_SP0_c.t1
OG0002871	evm.model.RL_1.2732	CP15_g36145_DN3_SP0_c.t1, CP17_g5028_DN3_SP0_c.t1
OG0002872	evm.model.RL_1.2837	CP10_g43913_DN3_SP1_c.t1
OG0002873	evm.model.RL_2.2545	CP5_g976_DN3_SP8_c.t1
OG0002873	evm.model.RL_1.3061	CP10_g43636_DN3_SP5_c.t1
OG0002874	evm.model.RL_1.3291	CP12_g29802_DN3_SP8_c.t1
OG0002874	evm.model.RL_2.2325	CP5_g1190_DN3_SP0_c.t1
OG0002875	evm.model.RL_5.1970	CP1_g38031_DN3_SP5_c.t1
OG0002875	evm.model.RL_1.1976	CP12_g30411_DN3_SP6_c.t1
OG0002876	evm.model.RL_5.2089	CP1_g38174_DN3_SP8_c.t1
OG0002877	evm.model.RL_7.868	CP3_g13846_DN3_SP8_c.t1
OG0002878	evm.model.RL_6.2191	CP4_g24651_DN3_SP8_c.t1
OG0002879	evm.model.RL_7.658	CP3_g13639_DN3_SP0_c.t1
OG0002879	evm.model.RL_6.2264	CP4_g24585_DN3_SP1_c.t1
OG0002880	evm.model.RL_7.634	CP3_g13614_DN2_SP0_c.t1
OG0002880	evm.model.RL_4.2970	CP11_g33330_DN3_SP0_c.t1
OG0002882	evm.model.RL_4.176	CP2_g50541_DN3_SP0_c.t1
OG0002882	evm.model.RL_4.317	CP13_g20008_DN3_SP0_c.t1, CP13_g20003_DN3_SP0_c.t1
OG0002886	evm.model.RL_4.2007, evm.model.RL_4.2006, evm.model.RL_4.2005	CP11_g32338_DN3_SP0_c.t1
OG0002887	evm.model.RL_4.1834	CP8_g54518_DN3_SP5_c.t1
OG0002890	evm.model.RL_1.3256	CP12_g29832_DN3_SP8_c.t1
OG0002890	evm.model.RL_2.2350	CP5_g1164_DN3_SP8_c.t1
OG0002891	evm.model.RL_6.272	CP16_g55037_DN3_SP5_c.t1
OG0002891	evm.model.RL_2.2561	CP5_g951_DN3_SP8_c.t1
OG0002892	evm.model.RL_6.416	CP16_g55249_DN3_SP1_c.t1
OG0002892	evm.model.RL_2.2707	CP5_g806_DN3_SP2_c.t1
OG0002893	evm.model.RL_2.2721	CP5_g791_DN3_SP8_c.t1
OG0002893	evm.model.RL_6.433	CP16_g55282_DN3_SP5_c.t1
OG0002894	evm.model.RL_7.1916	CP3_g15261_DN3_SP6_c.t1
OG0002894	evm.model.RL_2.2778	CP5_g743_DN3_SP8_c.t1
OG0002895	evm.model.RL_6.518	CP18_g12567_DN3_SP7_c.t1
OG0002895	evm.model.RL_2.2809	CP5_g715_DN3_SP6_c.t1
OG0002896	evm.model.RL_2.2886	CP5_g641_DN3_SP8_c.t1
OG0002896	evm.model.RL_1.2691	CP15_g34852_DN3_SP8_c.t1
OG0002897	evm.model.RL_2.2999	CP5_g534_DN3_SP0_c.t1
OG0002897	evm.model.RL_1.2830	CP10_g43921_DN3_SP0_c.t1
OG0002899	evm.model.RL_6.1637	CP4_g25192_DN3_SP7_c.t1
OG0002900	evm.model.RL_6.1657	CP4_g25174_DN3_SP0_c.t1
OG0002901	evm.model.RL_5.932	CP1_g37366_DN3_SP8_c.t1
OG0002901	evm.model.RL_3.389	CP2_g49224_DN3_SP8_c.t1
OG0002902	evm.model.RL_3.309	CP2_g49093_DN3_SP0_c.t1
OG0002902	evm.model.RL_5.1019	CP1_g37452_DN3_SP0_c.t1
OG0002903	evm.model.RL_5.1366	CP1_g37822_DN3_SP2_c.t1
OG0002904	evm.model.RL_5.1322	CP1_g37780_DN3_SP1_c.t1
OG0002904	evm.model.RL_7.2632	CP13_g19622_DN3_SP3_c.t1
OG0002906	evm.model.RL_3.133_evm.model.RL_3.134.1.687c975b	CP2_g48915_DN3_SP7_c.t1
OG0002906	evm.model.RL_2.130	CP19_g17895_DN3_SP3_c.t1
OG0002907	evm.model.RL_8.1821	CP8_g53740_DN3_SP8_c.t1
OG0002907	evm.model.RL_2.2100	CP19_g18057_DN3_SP8_c.t1
OG0002908	evm.model.RL_5.918	CP8_g53798_DN3_SP2_c.t1
OG0002909	evm.model.RL_1.972	CP10_g43025_DN3_SP8_c.t1
OG0002909	evm.model.RL_4.3062	CP11_g33418_DN3_SP8_c.t1
OG0002910	evm.model.RL_1.1072	CP10_g43127_DN3_SP0_c.t1
OG0002911	evm.model.RL_1.1144	CP10_g43201_DN3_SP0_c.t1
OG0002911	evm.model.RL_4.2240	CP11_g32584_DN3_SP0_c.t1
OG0002912	evm.model.RL_8.1465	CP8_g53343_DN3_SP8_c.t1
OG0002912	evm.model.RL_5.3306	CP7_g45306_DN3_SP7_c.t1
OG0002913	evm.model.RL_2.2242	CP5_g1285_DN3_SP0_c.t1
OG0002914	evm.model.RL_2.2170	CP19_g17985_DN3_SP3_c.t1
OG0002916	evm.model.RL_5.3147, evm.model.RL_5.3169	CP7_g45162_DN3_SP0_c.t1, CP7_g45137_DN3_SP0_c.t1
OG0002917	evm.model.RL_4.2390	CP11_g32735_DN3_SP8_c.t1
OG0002917	evm.model.RL_4.1141	CP2_g48510_DN3_SP5_c.t1
OG0002918	evm.model.RL_4.1404	CP2_g48252_DN3_SP5_c.t1
OG0002919	evm.model.RL_4.2775	CP11_g33121_DN3_SP4_c.t1
OG0002920	evm.model.RL_8.2282	CP2_g48094_DN3_SP0_c.t1
OG0002921	evm.model.RL_2.1288	CP6_g7098_DN3_SP8_c.t1
OG0002921	evm.model.RL_4.50	CP13_g19751_DN3_SP8_c.t1
OG0002922	evm.model.RL_4.118, evm.model.RL_4.109	CP13_g19817_DN3_SP3_c.t1
OG0002923	evm.model.RL_2.1667_evm.model.RL_2.1668_evm.model.RL_2.1669_evm.model.RL_2.1670	CP6_g6687_DN3_SP0_c.t1, CP19_g18524_DN3_SP0_c.t1, CP19_g18523_DN3_SP0_c.t1, CP19_g18526_DN3_SP0_c.t1, CP19_g18525_DN3_SP0_c.t1
OG0002924	evm.model.RL_8.561	CP20_g4421_DN3_SP7_c.t1
OG0002924	evm.model.RL_2.1780	CP19_g18401_DN3_SP8_c.t1
OG0002925	evm.model.RL_8.585	CP20_g4398_DN3_SP0_c.t1
OG0002925	evm.model.RL_2.1799	CP19_g18383_DN3_SP6_c.t1
OG0002926	evm.model.RL_8.734	CP20_g4223_DN3_SP4_c.t1
OG0002927	evm.model.RL_5.2599	CP7_g44519_DN3_SP8_c.t1
OG0002928	evm.model.RL_5.2550	CP7_g44477_DN3_SP7_c.t1
OG0002928	evm.model.RL_3.1575	CP9_g28798_DN3_SP8_c.t1
OG0002929	evm.model.RL_5.2522.1.687c88bb	CP7_g44427_DN3_SP6_c.t1
OG0002929	evm.model.RL_5.3531	CP7_g45557_DN3_SP8_c.t1
OG0002931	evm.model.RL_2.3080	CP5_g450_DN3_SP0_c.t1
OG0002934	evm.model.RL_2.3299, evm.model.RL_2.3300	CP5_g223_DN1_SP0_c.t1
OG0002935	evm.model.RL_8.36, evm.model.RL_8.6, evm.model.RL_2.3416	CP5_g98_DN3_SP0_c.t1
OG0002936	evm.model.RL_2.3423	CP5_g91_DN3_SP8_c.t1
OG0002936	evm.model.RL_6.48	CP16_g54772_DN3_SP1_c.t1
OG0002937	evm.model.RL_2.3434	CP5_g81_DN3_SP0_c.t1
OG0002938	evm.model.RL_2.3471	CP5_g40_DN2_SP0_c.t1
OG0002940	evm.model.RL_6.1510	CP4_g25324_DN3_SP0_c.t1
OG0002942	evm.model.RL_2.918	CP6_g7563_DN3_SP8_c.t1
OG0002942	evm.model.RL_1.2275	CP12_g30750_DN3_SP8_c.t1
OG0002943	evm.model.RL_2.106, evm.model.RL_2.108, evm.model.RL_1.2621	CP6_g8765_DN3_SP0_c.t1
OG0002944	evm.model.RL_7.113	CP3_g13144_DN3_SP1_c.t1
OG0002944	evm.model.RL_6.2897	CP4_g23977_DN3_SP5_c.t1
OG0002945	evm.model.RL_8.1908	CP8_g53835_DN3_SP0_c.t1
OG0002946	evm.model.RL_6.2776	CP4_g24088_DN1_SP8_c.t1
OG0002947	evm.model.RL_7.329	CP3_g13354_DN3_SP3_c.t1
OG0002948	evm.model.RL_6.2573, evm.model.RL_6.2572	CP4_g24281_DN3_SP2_c.t1
OG0002949	evm.model.RL_7.1804	CP4_g24282_DN3_SP0_c.t1
OG0002951	evm.model.RL_6.2512	CP4_g24339_DN3_SP8_c.t1
OG0002952	evm.model.RL_6.2489	CP4_g24363_DN3_SP0_c.t1
