Orthogroup	Cardamine_amara	Odontarrhena_muralis
OG0001698	evm.model.RL_6.2103	Om008G331230
OG0001698	evm.model.RL_7.781	Om006G251420
OG0001699	evm.model.RL_7.1010, evm.model.RL_7.1028	Om006G254450
OG0001699	evm.model.RL_6.1842	Om008G335740
OG0001700	evm.model.RL_4.504, evm.model.RL_3.2325	Om004G132030
OG0001700	evm.model.RL_4.503	Om005G197400
OG0001700	evm.model.RL_5.1492	Om005G197410
OG0001701	evm.model.RL_5.3694	Om005G202490
OG0001701	evm.model.RL_3.2028	Om004G136730
OG0001702	evm.model.RL_3.2106	Om004G135300
OG0001702	evm.model.RL_5.3612	Om005G203630
OG0001703	evm.model.RL_5.3566	Om005G204270
OG0001703	evm.model.RL_3.2166	Om004G134510, Om004G134520
OG0001704	evm.model.RL_5.3480	Om005G205400
OG0001704	evm.model.RL_3.1546	Om005G206360
OG0001705	evm.model.RL_5.3444	Om004G143510
OG0001705	evm.model.RL_3.1465	Om005G207240
OG0001707	evm.model.RL_5.2917	Om007G290330
OG0001708	evm.model.RL_4.1111	Om007G294410
OG0001708	evm.model.RL_1.523	Om002G048250
OG0001709	evm.model.RL_8.2364	Om006G234880
OG0001709	evm.model.RL_7.1574	Om006G263370
OG0001710	evm.model.RL_5.3622	Om005G203520
OG0001710	evm.model.RL_5.2450	Om004G135420
OG0001711	evm.model.RL_2.1119	Om003G100880
OG0001712	evm.model.RL_5.2066	Om003G098000
OG0001712	evm.model.RL_1.1820	Om002G066430
OG0001713	evm.model.RL_5.2048	Om003G097760
OG0001713	evm.model.RL_1.1856	Om002G066890
OG0001714	evm.model.RL_1.1979.1.687c87ee	Om002G068390
OG0001714	evm.model.RL_5.1966	Om003G096360
OG0001715	evm.model.RL_1.2354	Om002G074240
OG0001715	evm.model.RL_1.2352, evm.model.RL_1.2335	Om002G073870
OG0001717	evm.model.RL_7.2607	Om002G072020, Om002G071990
OG0001719	evm.model.RL_3.584	Om001G033670
OG0001721	evm.model.RL_5.1165	Om005G192720
OG0001725	evm.model.RL_4.1817	Om007G295930
OG0001726	evm.model.RL_1.3173, evm.model.RL_8.1511	Om008G320870, Om004G140910
OG0001727	evm.model.RL_2.335	Om006G249120, Om006G249140
OG0001729	evm.model.RL_2.222	Om003G101660, Om003G101630
OG0001730	evm.model.RL_2.2341	Om001G022330
OG0001731	evm.model.RL_2.2529	Om001G025490
OG0001732	evm.model.RL_2.2535	Om001G025650
OG0001733	evm.model.RL_2.2569	Om001G026390
OG0001733	evm.model.RL_6.284	Om004G155150, Om004G152530, Om004G152500
OG0001734	evm.model.RL_2.2601	Om001G027010
OG0001734	evm.model.RL_6.306	Om004G154900, Om004G152250
OG0001735	evm.model.RL_1.2719	Om002G080750
OG0001735	evm.model.RL_2.2902	Om001G031710
OG0001736	evm.model.RL_2.3061	Om001G034500
OG0001736	evm.model.RL_1.2912	Om002G083880
OG0001737	evm.model.RL_5.2826	Om007G291760
OG0001738	evm.model.RL_5.2712, evm.model.RL_6.1622	Om007G276800
OG0001739	evm.model.RL_3.621	Om011G365610, Om020G374570
OG0001739	evm.model.RL_5.822	Om005G187890
OG0001740	evm.model.RL_3.562	Om005G219000
OG0001740	evm.model.RL_5.861	Om005G188440
OG0001741	evm.model.RL_5.902.5.687c88b0	Om005G188920
OG0001741	evm.model.RL_3.532	Om006G242680
OG0001742	evm.model.RL_1.2421, evm.model.RL_1.2424	Om001G004530
OG0001743	evm.model.RL_5.980	Om005G189990
OG0001743	evm.model.RL_3.355	Om005G222730
OG0001744	evm.model.RL_2.99	Om007G317860
OG0001744	evm.model.RL_7.2327	Om006G271810
OG0001745	evm.model.RL_7.2267	Om006G271170
OG0001745	evm.model.RL_2.48	Om007G317150
OG0001746	evm.model.RL_7.2193	Om001G030190
OG0001746	evm.model.RL_2.216	Om007G316400
OG0001748	evm.model.RL_2.384	Om007G314610
OG0001748	evm.model.RL_3.1080	Om005G213090
OG0001749	evm.model.RL_3.50	Om005G228290
OG0001749	evm.model.RL_2.171	Om007G318200
OG0001750	evm.model.RL_2.126	Om004G171530
OG0001750	evm.model.RL_3.151	Om005G226430
OG0001751	evm.model.RL_1.1088	Om002G055350
OG0001751	evm.model.RL_4.2898	Om004G170240
OG0001753	evm.model.RL_1.1131	Om002G055940
OG0001753	evm.model.RL_4.2853	Om004G169640
OG0001754	evm.model.RL_8.1211	Om003G112010
OG0001754	evm.model.RL_2.2020	Om007G285960
OG0001755	evm.model.RL_2.2086, evm.model.RL_8.1356.1.687c855b	Om007G286780
OG0001756	evm.model.RL_8.1392	Om003G114260
OG0001757	evm.model.RL_2.2178	Om003G118050
OG0001758	evm.model.RL_4.1707	Om006G241000
OG0001758	evm.model.RL_4.2337	Om004G162180
OG0001759	evm.model.RL_8.2180.1.687c855f, evm.model.RL_8.2181	Om006G237060
OG0001760	evm.model.RL_4.87	Om008G362010
OG0001761	evm.model.RL_4.241	Om008G358970, Om008G358940
OG0001761	evm.model.RL_2.1420	Om001G002630
OG0001762	evm.model.RL_4.261	Om008G358630
OG0001763	evm.model.RL_2.1542	Om001G005220
OG0001764	evm.model.RL_8.490	Om008G353770
OG0001764	evm.model.RL_2.1722	Om001G008640
OG0001766	evm.model.RL_8.739	Om008G347910
OG0001767	evm.model.RL_3.1585.3.687c84bc	Om005G205800
OG0001767	evm.model.RL_5.2533	Om001G013410
OG0001768	evm.model.RL_5.3090	Om007G288330
OG0001769	evm.model.RL_1.2970	Om002G084600
OG0001769	evm.model.RL_2.3132	Om001G035630
OG0001770	evm.model.RL_8.2700	Om006G230950
OG0001770	evm.model.RL_7.1401	Om006G259560
OG0001771	evm.model.RL_6.186	Om004G154310
OG0001771	evm.model.RL_2.3293	Om001G038770
OG0001772	evm.model.RL_2.3469	Om001G041500
OG0001772	evm.model.RL_3.1175	Om005G211660
OG0001773	evm.model.RL_8.1343	Om003G113680
OG0001773	evm.model.RL_6.1524	Om008G340200
OG0001775	evm.model.RL_2.1705	Om001G008380
OG0001777	evm.model.RL_8.172, evm.model.RL_8.173	Om004G159160
OG0001777	evm.model.RL_2.24	Om007G316940
OG0001778	evm.model.RL_6.2917	Om008G319150
OG0001778	evm.model.RL_7.82	Om003G128550
OG0001779	evm.model.RL_7.99	Om003G128300
OG0001779	evm.model.RL_6.2909	Om008G319250
OG0001780	evm.model.RL_6.2642	Om008G322630
OG0001781	evm.model.RL_7.354	Om003G124590
OG0001781	evm.model.RL_6.2559	Om008G323600
OG0001782	evm.model.RL_7.455	Om003G123090
OG0001782	evm.model.RL_6.2427	Om008G325780
OG0001783	evm.model.RL_4.1615	Om008G359220
OG0001784	evm.model.RL_8.2709	Om006G230840
OG0001784	evm.model.RL_7.1403	Om006G259520
OG0001785	evm.model.RL_8.56	Om004G157560
OG0001785	evm.model.RL_8.2867.2.687c8563	Om005G178240
OG0001786	evm.model.RL_5.30	Om005G178470
OG0001786	evm.model.RL_8.123	Om004G158260
OG0001787	evm.model.RL_8.174	Om004G159150
OG0001787	evm.model.RL_5.90.4.687c88a9	Om005G179160
OG0001788	evm.model.RL_8.238	Om004G159460
OG0001788	evm.model.RL_5.122	Om005G179440, Om003G116020
OG0001789	evm.model.RL_8.275	Om004G159990, Om004G160000
OG0001790	evm.model.RL_6.1233	Om007G280560
OG0001790	evm.model.RL_5.465	Om005G183490
OG0001791	evm.model.RL_6.1185	Om005G183900
OG0001792	evm.model.RL_6.1112	Om007G281860
OG0001792	evm.model.RL_5.553	Om005G203340, Om005G184540
OG0001793	evm.model.RL_5.570	Om005G184770
OG0001793	evm.model.RL_6.1090	Om007G282090
OG0001794	evm.model.RL_5.594	Om005G185160
OG0001795	evm.model.RL_1.169	Om002G043830
OG0001795	evm.model.RL_4.2033	Om007G298910
OG0001796	evm.model.RL_4.1927	Om007G297370
OG0001797	evm.model.RL_4.1883	Om007G296780
OG0001797	evm.model.RL_1.274	Om002G045080
OG0001798	evm.model.RL_4.1131	Om007G294650, Om005G212940
OG0001798	evm.model.RL_1.530	Om002G048320
OG0001799	evm.model.RL_4.1048, evm.model.RL_5.1092	Om007G293700
OG0001799	evm.model.RL_1.531	Om002G048330
OG0001800	evm.model.RL_1.575	Om002G048990
OG0001800	evm.model.RL_4.1789	Om007G295460
OG0001801	evm.model.RL_4.868	Om007G305650
OG0001801	evm.model.RL_1.642	Om002G049720
OG0001803	evm.model.RL_6.1738	Om008G337160
OG0001803	evm.model.RL_7.1094	Om006G255350
OG0001805	evm.model.RL_3.2291	Om004G132470
OG0001805	evm.model.RL_5.1526	Om005G197810
OG0001806	evm.model.RL_3.1627	Om004G142690
OG0001806	evm.model.RL_5.1571	Om005G198420
OG0001807	evm.model.RL_6.1666	Om008G338460, Om008G338470
OG0001807	evm.model.RL_5.1784	Om005G201470
OG0001808	evm.model.RL_3.2021	Om004G136980
OG0001808	evm.model.RL_5.3698	Om005G202440
OG0001809	evm.model.RL_3.1401	Om005G208300
OG0001809	evm.model.RL_5.3368	Om004G144770
OG0001810	evm.model.RL_5.3292, evm.model.RL_3.1314	Om004G146130
OG0001811	evm.model.RL_3.1197	Om005G211370
OG0001812	evm.model.RL_3.1182, evm.model.RL_5.3203	Om005G211590
OG0001814	evm.model.RL_6.75	Om004G155870
OG0001815	evm.model.RL_4.1787	Om007G295450
OG0001816	evm.model.RL_1.434	Om002G047120
OG0001816	evm.model.RL_4.1026	Om007G293510
OG0001817	evm.model.RL_4.2985	Om004G171380
OG0001817	evm.model.RL_1.1025	Om002G054530
OG0001818	evm.model.RL_7.1456	Om006G260370
OG0001818	evm.model.RL_4.1280	Om006G239080
OG0001819	evm.model.RL_8.2809	Om006G229570
OG0001819	evm.model.RL_7.1291	Om006G258020
OG0001820	evm.model.RL_7.1507_evm.model.RL_7.1508	Om006G261480, Om006G261450, Om006G261340
OG0001820	evm.model.RL_4.1361	Om006G238200
OG0001821	evm.model.RL_5.3706	Om003G094580
OG0001821	evm.model.RL_1.1520	Om002G061690
OG0001823	evm.model.RL_1.3207	Om002G088090, Om003G118780
OG0001824	evm.model.RL_6.1829	Om008G335410
OG0001824	evm.model.RL_7.1016	Om006G254330
OG0001825	evm.model.RL_6.2099	Om008G331140
OG0001826	evm.model.RL_7.690	Om003G119720
OG0001826	evm.model.RL_6.2237	Om008G328620
OG0001828	evm.model.RL_6.2586, evm.model.RL_6.2589	Om008G323210
OG0001828	evm.model.RL_7.345.6.687c84b4	Om003G124760
OG0001830	evm.model.RL_7.519	Om003G122150, Om003G122160
OG0001830	evm.model.RL_7.521	Om003G122140
OG0001831	evm.model.RL_4.34, evm.model.RL_5.3836, evm.model.RL_4.29, evm.model.RL_4.32, evm.model.RL_4.30, evm.model.RL_4.33, evm.model.RL_4.130	Om008G362720
OG0001832	evm.model.RL_7.2294, evm.model.RL_1.2728, evm.model.RL_7.2297, evm.model.RL_7.2293	Om008G338530, Om008G335500, Om008G335450
OG0001833	evm.model.RL_2.2674.1.687c86e6	Om001G028080
OG0001833	evm.model.RL_2.2673	Om001G028070
OG0001834	evm.model.RL_5.1433	Om008G335300
OG0001834	evm.model.RL_5.1432	Om005G196550, Om008G335310
OG0001835	evm.model.RL_5.1844	Om005G202280
OG0001837	evm.model.RL_4.3019	Om004G172100, Om006G261930
OG0001838	evm.model.RL_2.1297	Om001G000280, Om001G000290
OG0001839	evm.model.RL_6.783	Om004G176150
OG0001844	evm.model.RL_2.2444	Om001G024060
OG0001845	evm.model.RL_2.2556	Om001G026200
OG0001846	evm.model.RL_1.2890	Om002G083690
OG0001846	evm.model.RL_2.3050	Om001G034280
OG0001847	evm.model.RL_2.1240	Om007G276170
OG0001847	evm.model.RL_2.1238	Om007G276160
OG0001848	evm.model.RL_5.910	Om005G189000
OG0001851	evm.model.RL_2.57	Om007G317310
OG0001851	evm.model.RL_7.2277	Om006G271240
OG0001852	evm.model.RL_2.270	Om007G315660
OG0001854	evm.model.RL_3.967	Om005G214490
OG0001855	evm.model.RL_3.929	Om005G215030
OG0001856	evm.model.RL_3.246	Om005G224800
OG0001856	evm.model.RL_5.1074	Om005G191370
OG0001857	evm.model.RL_8.1778.1.687c855d	Om006G249860
OG0001858	evm.model.RL_4.3113	Om004G173240
OG0001858	evm.model.RL_1.935	Om002G053140
OG0001859	evm.model.RL_1.962	Om002G053510
OG0001859	evm.model.RL_4.3080	Om004G172790
OG0001860	evm.model.RL_4.2984	Om004G171350
OG0001861	evm.model.RL_1.1036	Om002G054630
OG0001861	evm.model.RL_4.2962	Om004G171130
OG0001862	evm.model.RL_4.2888	Om004G170140
OG0001862	evm.model.RL_1.1096	Om002G055460
OG0001863	evm.model.RL_2.2038	Om007G286190
OG0001863	evm.model.RL_8.1249	Om003G112570
OG0001864	evm.model.RL_8.1536, evm.model.RL_2.2241	Om003G116120
OG0001865	evm.model.RL_8.1553	Om003G116350
OG0001865	evm.model.RL_2.2233.3.687c86e5	Om001G020020
OG0001866	evm.model.RL_8.1578	Om003G116580
OG0001866	evm.model.RL_2.2218	Om001G019420
OG0001867	evm.model.RL_8.1824, evm.model.RL_2.2099	Om006G249280
OG0001868	evm.model.RL_4.1700	Om006G240910
OG0001869	evm.model.RL_8.2649	Om006G231560
OG0001869	evm.model.RL_4.2527	Om004G165280
OG0001870	evm.model.RL_8.2625	Om006G231800
OG0001870	evm.model.RL_4.2537	Om004G165450
OG0001871	evm.model.RL_8.2605, evm.model.RL_8.2626	Om006G232050
OG0001871	evm.model.RL_4.2577, evm.model.RL_4.2576	Om004G166020, Om004G166050
OG0001872	evm.model.RL_8.2560	Om006G232620
OG0001873	evm.model.RL_4.2632	Om004G166720
OG0001873	evm.model.RL_4.2633	Om004G166730
OG0001874	evm.model.RL_4.2671	Om005G225550
OG0001875	evm.model.RL_4.2730	Om004G167850
OG0001875	evm.model.RL_4.1414	Om006G237550
OG0001876	evm.model.RL_8.2171	Om006G237180
OG0001876	evm.model.RL_4.2749	Om004G168040
OG0001877	evm.model.RL_4.2808	Om004G168890
OG0001878	evm.model.RL_4.65	Om008G362390
OG0001879	evm.model.RL_2.1347	Om001G001080
OG0001879	evm.model.RL_4.155, evm.model.RL_4.143, evm.model.RL_4.145	Om006G254640
OG0001880	evm.model.RL_2.1375	Om001G001830
OG0001881	evm.model.RL_2.1609	Om001G006590
OG0001882	evm.model.RL_8.429	Om008G354800
OG0001882	evm.model.RL_2.1659	Om001G007480
OG0001883	evm.model.RL_8.450	Om008G354400
OG0001884	evm.model.RL_5.1371	Om005G195870
OG0001884	evm.model.RL_3.503	Om004G129530
OG0001885	evm.model.RL_5.2644	Om001G012040
OG0001885	evm.model.RL_8.738	Om008G347930
OG0001886	evm.model.RL_5.2462	Om001G014110
OG0001886	evm.model.RL_8.835	Om008G343340
OG0001887	evm.model.RL_8.920	Om008G344790
OG0001887	evm.model.RL_5.2413	Om001G014790
OG0001888	evm.model.RL_6.1502	Om007G289400
OG0001889	evm.model.RL_1.3017	Om002G085610
OG0001889	evm.model.RL_2.3173	Om001G036380
OG0001890	evm.model.RL_2.3310	Om001G039100
OG0001890	evm.model.RL_2.3309	Om001G039090
OG0001891	evm.model.RL_2.2114	Om001G017880
OG0001891	evm.model.RL_5.933	Om005G214820, Om005G189340
OG0001892	evm.model.RL_4.573	Om008G341440
OG0001892	evm.model.RL_5.3120	Om007G287980
OG0001893	evm.model.RL_8.728	Om008G347990
OG0001895	evm.model.RL_4.62, evm.model.RL_4.58, evm.model.RL_4.59, evm.model.RL_4.63	Om008G362400, Om008G362420, Om008G362410
OG0001896	evm.model.RL_1.356	Om003G104810
OG0001896	evm.model.RL_1.686	Om002G050160
OG0001897	evm.model.RL_1.2287	Om002G072930
OG0001897	evm.model.RL_2.893	Om003G103660
OG0001898	evm.model.RL_2.1006	Om003G102430
OG0001900	evm.model.RL_2.169	Om007G318210
OG0001901	evm.model.RL_6.2930	Om008G318990
OG0001901	evm.model.RL_7.98	Om003G128330
OG0001902	evm.model.RL_7.155	Om003G127700
OG0001902	evm.model.RL_6.2845	Om008G320130
OG0001903	evm.model.RL_7.302	Om003G125620
OG0001903	evm.model.RL_6.2650	Om008G322500
OG0001904	evm.model.RL_6.2641	Om008G322650
OG0001905	evm.model.RL_7.364	Om003G124360
OG0001905	evm.model.RL_6.2541	Om008G323900
OG0001906	evm.model.RL_7.422	Om003G123560
OG0001906	evm.model.RL_6.2447	Om008G325480
OG0001907	evm.model.RL_7.1535	Om006G262480
OG0001908	evm.model.RL_7.1643, evm.model.RL_8.2418	Om001G033950
OG0001909	evm.model.RL_5.107	Om005G179340
OG0001910	evm.model.RL_8.377	Om007G293120
OG0001910	evm.model.RL_5.223	Om005G180580
OG0001911	evm.model.RL_4.536	Om007G278040
OG0001911	evm.model.RL_5.290	Om005G181450
OG0001912	evm.model.RL_6.1296	Om007G279800
OG0001912	evm.model.RL_5.409	Om005G182830
OG0001913	evm.model.RL_5.428	Om005G183110
OG0001914	evm.model.RL_6.1239	Om007G280480
OG0001915	evm.model.RL_6.1217	Om007G280730
OG0001915	evm.model.RL_5.473	Om005G183620
OG0001916	evm.model.RL_6.1059	Om007G282370
OG0001917	evm.model.RL_5.625	Om005G185570
OG0001918	evm.model.RL_1.2265	Om005G205290
OG0001918	evm.model.RL_4.785	Om005G197370
OG0001919	evm.model.RL_4.2187	Om007G301400
OG0001919	evm.model.RL_1.46	Om002G042440
OG0001920	evm.model.RL_4.1999	Om007G298360
OG0001920	evm.model.RL_1.192	Om002G044080
OG0001921	evm.model.RL_4.1996	Om007G298300
OG0001921	evm.model.RL_1.198	Om002G044130
OG0001922	evm.model.RL_1.491	Om002G047840
OG0001922	evm.model.RL_4.1073	Om007G294100
OG0001923	evm.model.RL_6.2043	Om006G263060
OG0001924	evm.model.RL_7.1040	Om006G254590, Om006G254600
OG0001924	evm.model.RL_6.1854	Om008G335870, Om008G335880
OG0001926	evm.model.RL_6.1923	Om008G334240
OG0001926	evm.model.RL_7.1203	Om006G256730
OG0001927	evm.model.RL_3.2431	Om004G130460
OG0001927	evm.model.RL_5.1419	Om005G196440
OG0001928	evm.model.RL_3.2242	Om004G133220
OG0001928	evm.model.RL_5.1558	Om005G198220
OG0001929	evm.model.RL_5.1606	Om005G199150
OG0001930	evm.model.RL_5.1705	Om005G200480
OG0001930	evm.model.RL_3.1852	Om004G139600
OG0001931	evm.model.RL_3.1887.2.687c84bd	Om004G138990
OG0001931	evm.model.RL_5.1726	Om005G200760
OG0001932	evm.model.RL_5.1771	Om005G201280
OG0001932	evm.model.RL_3.1923	Om004G138920
OG0001933	evm.model.RL_5.3626, evm.model.RL_3.2092	Om004G135540
OG0001934	evm.model.RL_5.3548	Om005G204640
OG0001934	evm.model.RL_3.2197	Om004G134040
OG0001935	evm.model.RL_5.3449	Om004G143370
OG0001935	evm.model.RL_3.1480, evm.model.RL_3.1470	Om005G207130
OG0001936	evm.model.RL_2.2423	Om001G023770
OG0001937	evm.model.RL_5.3313	Om004G145490
OG0001937	evm.model.RL_3.1342	Om005G209270
OG0001938	evm.model.RL_5.3164	Om005G200410
OG0001939	evm.model.RL_6.47, evm.model.RL_3.2	Om004G156080
OG0001939	evm.model.RL_2.3424	Om001G040860
OG0001940	evm.model.RL_5.61, evm.model.RL_5.60	Om007G275580
OG0001940	evm.model.RL_4.3151_evm.model.RL_4.3152	Om003G128050
OG0001942	evm.model.RL_1.1314, evm.model.RL_8.726, evm.model.RL_8.725	Om002G058530
OG0001943	evm.model.RL_1.1082	Om006G260840, Om002G055280
OG0001943	evm.model.RL_3.680	Om004G170270
OG0001944	evm.model.RL_1.1063	Om002G055050
OG0001944	evm.model.RL_4.2922	Om004G170530
OG0001945	evm.model.RL_7.1442	Om006G239300
OG0001946	evm.model.RL_4.1360	Om006G238210
OG0001947	evm.model.RL_7.1856, evm.model.RL_7.1853, evm.model.RL_7.1854	Om008G357080, Om008G357160
OG0001949	evm.model.RL_4.1604	Om006G242170, Om008G349600
OG0001950	evm.model.RL_1.1312	Om002G058500
OG0001950	evm.model.RL_5.3885	Om003G091220
OG0001951	evm.model.RL_1.1415	Om002G060120
OG0001951	evm.model.RL_5.3790.1.687c88c5	Om003G093170
OG0001952	evm.model.RL_1.1599	Om002G063070
OG0001953	evm.model.RL_1.1837	Om002G066670
OG0001953	evm.model.RL_5.2056	Om003G097860
OG0001954	evm.model.RL_1.2002	Om002G068670
OG0001955	evm.model.RL_5.1904.2.687c88b7	Om003G095570
OG0001955	evm.model.RL_1.2047	Om002G069310
OG0001956	evm.model.RL_1.2761	Om001G031980, Om002G081680
OG0001957	evm.model.RL_5.2885	Om007G291060
OG0001958	evm.model.RL_1.2688, evm.model.RL_1.2689	Om002G080310
OG0001960	evm.model.RL_5.3761	Om003G093690
OG0001961	evm.model.RL_5.2010	Om003G097180
OG0001963	evm.model.RL_8.302	Om004G160330
OG0001971	evm.model.RL_2.2434	Om001G023940
OG0001971	evm.model.RL_1.3157	Om002G087550
OG0001972	evm.model.RL_2.2548	Om001G026000
OG0001972	evm.model.RL_1.3055	Om002G086100
OG0001973	evm.model.RL_2.2607	Om001G027090
OG0001974	evm.model.RL_2.2649	Om001G027730
OG0001975	evm.model.RL_1.2679	Om002G080030
OG0001975	evm.model.RL_2.2880	Om001G031270
OG0001977	evm.model.RL_6.1662	Om008G338230
OG0001977	evm.model.RL_2.1216	Om007G275940, Om007G275980
OG0001978	evm.model.RL_5.988	Om005G190090
OG0001979	evm.model.RL_7.2587	Om006G274640
OG0001979	evm.model.RL_5.1297	Om005G194690
OG0001980	evm.model.RL_7.2568	Om006G274410
OG0001980	evm.model.RL_5.1279	Om005G194480
OG0001981	evm.model.RL_5.1162	Om005G192640
OG0001982	evm.model.RL_7.2359	Om006G272160
OG0001982	evm.model.RL_5.1145.1.687c88b2	Om005G192430
OG0001983	evm.model.RL_7.2309	Om006G271570
OG0001983	evm.model.RL_2.78	Om007G317710
OG0001984	evm.model.RL_7.2284.2.687c84bc	Om006G271340
OG0001984	evm.model.RL_2.66	Om007G317420
OG0001985	evm.model.RL_2.1772	Om005G191720
OG0001986	evm.model.RL_7.691	Om003G119710
OG0001986	evm.model.RL_6.2238	Om008G328610
OG0001987	evm.model.RL_4.3117	Om004G173310
OG0001987	evm.model.RL_1.933.1.687c87eb	Om002G053110
OG0001988	evm.model.RL_1.1033	Om002G054590
OG0001988	evm.model.RL_4.2966	Om004G171170
OG0001989	evm.model.RL_1.1051	Om002G054880
OG0001989	evm.model.RL_4.2934	Om004G170700
OG0001990	evm.model.RL_8.1519	Om003G115910
OG0001991	evm.model.RL_8.1602, evm.model.RL_2.2205	Om003G116940
OG0001992	evm.model.RL_8.1673	Om003G118060
OG0001993	evm.model.RL_8.1690	Om003G118380
OG0001994	evm.model.RL_8.1831	Om006G249190
OG0001995	evm.model.RL_4.1704	Om006G240960
OG0001996	evm.model.RL_4.2415	Om004G163300
OG0001996	evm.model.RL_4.1154	Om006G240660
OG0001997	evm.model.RL_6.184	Om004G154290
OG0001998	evm.model.RL_4.2643	Om004G166800
OG0001998	evm.model.RL_8.2505	Om006G233220
OG0001999	evm.model.RL_4.2785	Om004G168530
OG0001999	evm.model.RL_8.2233.1.687c8560	Om006G236530
OG0002000	evm.model.RL_8.2252	Om006G236270
OG0002000	evm.model.RL_4.2815	Om004G169020
OG0002001	evm.model.RL_4.135	Om008G361450
OG0002001	evm.model.RL_2.1339	Om001G001010
OG0002002	evm.model.RL_2.1545	Om001G005240
OG0002002	evm.model.RL_4.371	Om008G356940
OG0002003	evm.model.RL_2.1720	Om001G008610
OG0002003	evm.model.RL_8.484	Om008G353820
OG0002004	evm.model.RL_8.570	Om008G352250
OG0002004	evm.model.RL_2.1791	Om001G009710
OG0002005	evm.model.RL_2.1888	Om001G011050
OG0002006	evm.model.RL_2.1897	Om001G011140
OG0002006	evm.model.RL_3.841, evm.model.RL_8.681	Om008G350700
OG0002007	evm.model.RL_2.1899	Om001G011150
OG0002008	evm.model.RL_8.721	Om008G348100
OG0002008	evm.model.RL_5.2680	Om001G011710
OG0002009	evm.model.RL_5.2260	Om007G287260
OG0002010	evm.model.RL_6.1492	Om008G340550
OG0002011	evm.model.RL_5.2991	Om007G289690
OG0002012	evm.model.RL_1.2937	Om002G084180
OG0002012	evm.model.RL_2.3072	Om001G034750
OG0002013	evm.model.RL_1.2943	Om002G084270
OG0002013	evm.model.RL_2.3083	Om001G034940
OG0002014	evm.model.RL_2.3119	Om001G035480
OG0002014	evm.model.RL_1.2961	Om002G084500
OG0002015	evm.model.RL_1.3041	Om002G085980
OG0002015	evm.model.RL_2.3195	Om001G036770
OG0002016	evm.model.RL_2.3281_evm.model.RL_2.3282.1.687c9a00	Om001G038580, Om001G038560, Om001G038570
OG0002017	evm.model.RL_1.1371	Om001G039480
OG0002018	evm.model.RL_6.53	Om004G156050
OG0002018	evm.model.RL_2.3421	Om001G040820
OG0002019	evm.model.RL_5.2807	Om007G292090
OG0002019	evm.model.RL_6.1651	Om008G338320
OG0002020	evm.model.RL_5.900	Om003G118340
OG0002021	evm.model.RL_2.1907	Om001G011260
OG0002021	evm.model.RL_3.849, evm.model.RL_8.689	Om008G350590
OG0002022	evm.model.RL_5.1594	Om005G198860
OG0002022	evm.model.RL_4.209	Om008G359650
OG0002023	evm.model.RL_1.2184	Om002G071280
OG0002023	evm.model.RL_2.992	Om003G102530
OG0002024	evm.model.RL_2.1031	Om003G102110
OG0002024	evm.model.RL_1.2137	Om002G070550
OG0002026	evm.model.RL_7.335	Om003G124910
OG0002027	evm.model.RL_7.635	Om003G120430
OG0002027	evm.model.RL_6.2288	Om008G327840
OG0002028	evm.model.RL_8.2111	Om006G244960
OG0002029	evm.model.RL_5.39	Om005G178520, Om004G163610
OG0002029	evm.model.RL_8.130	Om004G158350
OG0002030	evm.model.RL_8.281	Om004G160070
OG0002030	evm.model.RL_5.162	Om005G179880
OG0002031	evm.model.RL_6.1406	Om005G181490
OG0002032	evm.model.RL_6.1318	Om007G279240
OG0002032	evm.model.RL_5.392	Om005G182620
OG0002033	evm.model.RL_5.528	Om005G184230
OG0002033	evm.model.RL_6.1156	Om007G281320
OG0002034	evm.model.RL_5.604	Om005G185280
OG0002034	evm.model.RL_6.1014	Om007G282940
OG0002035	evm.model.RL_8.1621	Om003G117120
OG0002036	evm.model.RL_4.2057	Om007G299260
OG0002036	evm.model.RL_1.143	Om002G043630, Om005G194130
OG0002037	evm.model.RL_4.2056	Om007G299250
OG0002037	evm.model.RL_1.145	Om002G043650
OG0002038	evm.model.RL_1.1591	Om002G062950
OG0002039	evm.model.RL_7.800	Om006G251670
OG0002039	evm.model.RL_6.2090	Om008G331050
OG0002040	evm.model.RL_6.1752	Om008G336950
OG0002040	evm.model.RL_7.1089	Om006G255270
OG0002041	evm.model.RL_6.1871	Om008G336080
OG0002041	evm.model.RL_7.1052	Om006G254750
OG0002042	evm.model.RL_6.1945, evm.model.RL_6.1944, evm.model.RL_6.1986	Om008G333890, Om008G333900, Om008G333910
OG0002043	evm.model.RL_5.2127	Om005G196000
OG0002044	evm.model.RL_5.1407, evm.model.RL_5.1406	Om005G196230
OG0002045	evm.model.RL_5.1425	Om005G196530
OG0002045	evm.model.RL_3.2424	Om004G130530
OG0002046	evm.model.RL_5.1454	Om005G196930
OG0002046	evm.model.RL_3.2382	Om004G131250
OG0002047	evm.model.RL_5.1496	Om005G197450
OG0002047	evm.model.RL_3.2320	Om004G132100
OG0002048	evm.model.RL_5.1583	Om005G198740
OG0002049	evm.model.RL_3.1715	Om004G141840
OG0002049	evm.model.RL_5.1610	Om005G199260
OG0002050	evm.model.RL_5.3657	Om005G203040
OG0002050	evm.model.RL_3.2057	Om004G136030
OG0002051	evm.model.RL_5.3648	Om005G203120
OG0002052	evm.model.RL_5.3634	Om005G203290
