Orthogroup	Cardamine_amara	Arabidopsis_lyrata_NCBI
OG0000935	evm.model.RL_8.408	XP_020876431.1
OG0000935	evm.model.RL_2.1623	XP_020875591.1
OG0000936	evm.model.RL_2.1661	XP_002869881.1
OG0000936	evm.model.RL_2.1663	XP_020873648.1
OG0000937	evm.model.RL_8.883	XP_002869749.1
OG0000938	evm.model.RL_2.3376	XP_020874815.1
OG0000938	evm.model.RL_2.3377	XP_020874683.1
OG0000939	evm.model.RL_3.281	XP_002888041.1
OG0000939	evm.model.RL_2.3425, evm.model.RL_6.46	XP_020884273.1, XP_020884275.1
OG0000940	evm.model.RL_1.2529	XP_020886238.1
OG0000940	evm.model.RL_1.2530	XP_020875297.1, XP_020886509.1
OG0000941	evm.model.RL_2.925	XP_020872742.1
OG0000941	evm.model.RL_1.2269	XP_020889060.1
OG0000941	evm.model.RL_5.413.1.687c88ac	XP_020866807.1
OG0000942	evm.model.RL_2.952	XP_002868292.1, XP_002883429.1
OG0000943	evm.model.RL_1.485, evm.model.RL_4.1067	XP_002874343.1
OG0000944	evm.model.RL_7.404.1.687c84b4	XP_020887834.1
OG0000946	evm.model.RL_4.3392	XP_020879046.1
OG0000946	evm.model.RL_4.3394	XP_020878636.1
OG0000946	evm.model.RL_4.3393	XP_020875809.1
OG0000947	evm.model.RL_1.134	XP_002882214.1
OG0000950	evm.model.RL_4.1087	XP_020878871.1
OG0000950	evm.model.RL_1.510	XP_020888173.1
OG0000950	evm.model.RL_1.511	XP_020887890.1
OG0000951	evm.model.RL_4.105	XP_002863385.1
OG0000952	evm.model.RL_6.2492	XP_002875436.2
OG0000953	evm.model.RL_7.1379	XP_002877729.1
OG0000953	evm.model.RL_7.1375	XP_002877733.1
OG0000953	evm.model.RL_7.1371	XP_020882548.1
OG0000954	evm.model.RL_1.1843	XP_002883178.1
OG0000954	evm.model.RL_1.1844	XP_020888176.1
OG0000956	evm.model.RL_5.2612	XP_020885239.1, XP_020887945.1, XP_020886130.1, XP_020887942.1
OG0000958	evm.model.RL_3.347	XP_002888092.1
OG0000961	evm.model.RL_3.1024, evm.model.RL_3.1027	XP_020865634.1, XP_020891616.1, XP_020865712.1, XP_020865923.1
OG0000962	evm.model.RL_7.2182	XP_020881935.1
OG0000963	evm.model.RL_4.3303	XP_020876814.1
OG0000963	evm.model.RL_1.847	XP_002884732.1
OG0000964	evm.model.RL_8.1045	XP_020886140.1
OG0000965	evm.model.RL_1.1272	XP_020889282.1
OG0000965	evm.model.RL_2.1483	XP_020889255.1
OG0000966	evm.model.RL_2.1504	XP_020874292.1
OG0000966	evm.model.RL_2.1500	XP_020872601.1
OG0000967	evm.model.RL_5.2441	XP_002891208.1
OG0000967	evm.model.RL_5.3543	XP_020867711.1
OG0000968	evm.model.RL_2.433	XP_002868544.1
OG0000968	evm.model.RL_2.434	XP_002868543.1
OG0000969	evm.model.RL_4.406	XP_020871272.1, XP_002862971.1
OG0000970	evm.model.RL_8.2730	XP_002865016.1
OG0000970	evm.model.RL_2.611	XP_020881754.1
OG0000970	evm.model.RL_6.92	XP_002876016.1
OG0000972	evm.model.RL_4.1104	XP_020879013.1
OG0000972	evm.model.RL_1.518	XP_020887896.1
OG0000973	evm.model.RL_1.554	XP_002884563.1
OG0000974	evm.model.RL_6.1729	XP_020884569.1
OG0000975	evm.model.RL_5.1807	XP_020867738.1
OG0000975	evm.model.RL_3.1964	XP_002887598.2
OG0000977	evm.model.RL_7.1667_evm.model.RL_7.1668_evm.model.RL_7.1669	XP_002877536.1
OG0000978	evm.model.RL_7.1795, evm.model.RL_7.1794	XP_002875744.1
OG0000979	evm.model.RL_4.534	XP_020875425.1
OG0000980	evm.model.RL_6.1784, evm.model.RL_6.1720	XP_020884019.1, XP_020877869.1
OG0000986	evm.model.RL_6.66	XP_020872428.1
OG0000986	evm.model.RL_2.2624	XP_002869341.1, XP_020880643.1
OG0000987	evm.model.RL_5.2787	XP_020867027.1
OG0000988	evm.model.RL_4.2964	XP_020875978.1
OG0000988	evm.model.RL_1.1035	XP_020887810.1, XP_020889482.1, XP_020888339.1, XP_020888266.1
OG0000989	evm.model.RL_8.1304.1.687c855b	XP_002864152.1
OG0000989	evm.model.RL_4.652	XP_020871642.1
OG0000990	evm.model.RL_2.1364	XP_002865192.1
OG0000990	evm.model.RL_4.178	XP_002868011.1
OG0000991	evm.model.RL_5.2650	XP_002891027.1
OG0000991	evm.model.RL_5.2648	XP_002891028.1
OG0000992	evm.model.RL_6.83	XP_002880398.1, XP_002880397.1
OG0000992	evm.model.RL_2.3399	XP_020874823.1
OG0000993	evm.model.RL_1.2435, evm.model.RL_2.253	XP_002870764.1
OG0000993	evm.model.RL_7.385	XP_002876523.1
OG0000994	evm.model.RL_6.1111	XP_002879256.2
OG0000994	evm.model.RL_6.1110	XP_020884862.1
OG0000995	evm.model.RL_6.1248	XP_002881179.1
OG0000995	evm.model.RL_7.480	XP_020869097.1
OG0000996	evm.model.RL_6.1167	XP_002879278.1
OG0000996	evm.model.RL_5.522	XP_002892354.1
OG0000997	evm.model.RL_1.332, evm.model.RL_5.1192	XP_002882331.1
OG0000998	evm.model.RL_6.2077	XP_020884844.1
OG0000998	evm.model.RL_7.810	XP_002878036.1
OG0001000	evm.model.RL_1.2864	XP_020887316.1, XP_002884022.1
OG0001000	evm.model.RL_4.2147	XP_002871633.2
OG0001001	evm.model.RL_4.1155	XP_020877885.1, XP_020877855.1
OG0001002	evm.model.RL_1.1244	XP_020887444.1, XP_020887370.1
OG0001003	evm.model.RL_5.3722	XP_020870777.1
OG0001004	evm.model.RL_6.2128, evm.model.RL_6.2129	XP_020883132.1
OG0001004	evm.model.RL_6.2130	XP_002865781.1, XP_020874170.1
OG0001008	evm.model.RL_2.2446	XP_002867417.1, XP_002867418.1
OG0001008	evm.model.RL_2.2445	XP_020874323.1
OG0001009	evm.model.RL_2.2489, evm.model.RL_2.2488	XP_020872233.1, XP_002867393.1
OG0001009	evm.model.RL_2.2487	XP_020872341.1
OG0001010	evm.model.RL_5.2768	XP_020870657.1
OG0001010	evm.model.RL_6.1643	XP_002881403.1
OG0001011	evm.model.RL_5.2750	XP_020870367.1
OG0001011	evm.model.RL_2.869	XP_002870365.1
OG0001012	evm.model.RL_3.631	XP_002891999.2
OG0001012	evm.model.RL_5.817	XP_020868194.1
OG0001013	evm.model.RL_3.861	XP_020890922.1
OG0001013	evm.model.RL_3.895	XP_020890932.1, XP_020890947.1
OG0001015	evm.model.RL_2.2077	XP_020873624.1
OG0001015	evm.model.RL_8.1347	XP_020867686.1
OG0001016	evm.model.RL_4.2475	XP_020878282.1
OG0001017	evm.model.RL_8.2647	XP_020871719.1
OG0001018	evm.model.RL_4.1363	XP_002872065.1
OG0001019	evm.model.RL_2.1315	XP_020872604.1
OG0001019	evm.model.RL_4.90.4.687c86cd	XP_002863370.1
OG0001020	evm.model.RL_2.1342	XP_020875189.1
OG0001020	evm.model.RL_4.140	XP_002863393.1
OG0001021	evm.model.RL_7.69	XP_002876697.2
OG0001021	evm.model.RL_6.2938	XP_002863058.1, XP_002880329.1
OG0001022	evm.model.RL_6.2879	XP_020884103.1
OG0001022	evm.model.RL_7.133	XP_020865875.1, XP_020882224.1
OG0001023	evm.model.RL_4.1424	XP_002874106.1
OG0001024	evm.model.RL_6.1242	XP_002879327.1
OG0001024	evm.model.RL_6.1240	XP_002892748.2, XP_002879326.1
OG0001025	evm.model.RL_5.529	XP_002892357.1
OG0001025	evm.model.RL_6.1155	XP_020883950.1
OG0001026	evm.model.RL_1.95	XP_002882189.1
OG0001026	evm.model.RL_4.2120	XP_020879202.1
OG0001028	evm.model.RL_6.2049	XP_002881652.1
OG0001028	evm.model.RL_7.855	XP_020882281.1
OG0001029	evm.model.RL_5.3564	XP_020869900.1
OG0001029	evm.model.RL_3.2167	XP_020887562.1, XP_020891532.1
OG0001030	evm.model.RL_5.1813	XP_002893072.1
OG0001030	evm.model.RL_3.1974	XP_020891247.1
OG0001031	evm.model.RL_5.1826	XP_020866482.1
OG0001031	evm.model.RL_3.1986	XP_020891733.1
OG0001032	evm.model.RL_3.2070	XP_020865943.1
OG0001032	evm.model.RL_5.3640	XP_002890422.1
OG0001033	evm.model.RL_6.971	XP_020885458.1
OG0001034	evm.model.RL_5.3439	XP_020867348.1
OG0001035	evm.model.RL_1.349	XP_020886198.1
OG0001036	evm.model.RL_3.2263_evm.model.RL_3.2264_evm.model.RL_3.2265.6.687c9761	XP_002887752.1, XP_002862660.1
OG0001037	evm.model.RL_3.2379	XP_002887803.1
OG0001038	evm.model.RL_1.1203	XP_020886309.1
OG0001038	evm.model.RL_1.1204	XP_020886311.1
OG0001038	evm.model.RL_1.1202, evm.model.RL_1.1201	XP_020887655.1
OG0001039	evm.model.RL_5.2178	XP_020868404.1
OG0001039	evm.model.RL_1.1675	XP_002883069.1
OG0001040	evm.model.RL_5.1907	XP_020868714.1
OG0001040	evm.model.RL_1.2042	XP_020886547.1
OG0001041	evm.model.RL_7.1630	XP_002877567.1
OG0001041	evm.model.RL_1.3135	XP_020886455.1
OG0001041	evm.model.RL_7.1628	XP_002877568.1
OG0001042	evm.model.RL_8.872	XP_020883059.1
OG0001042	evm.model.RL_4.656	XP_020874903.1
OG0001043	evm.model.RL_5.1891	XP_020866833.1
OG0001044	evm.model.RL_7.820	XP_020880020.1
OG0001045	evm.model.RL_7.1862, evm.model.RL_7.1863, evm.model.RL_7.1781	XP_020882010.1, XP_002877436.1
OG0001048	evm.model.RL_4.3026	XP_002873051.1
OG0001048	evm.model.RL_4.3034	XP_020876004.1
OG0001051	evm.model.RL_1.2855	XP_002884017.1
OG0001051	evm.model.RL_2.3027	XP_002869111.1
OG0001053	evm.model.RL_3.565	XP_002888255.1
OG0001053	evm.model.RL_5.857	XP_020868328.1
OG0001054	evm.model.RL_3.301	XP_020890207.1
OG0001055	evm.model.RL_7.2495, evm.model.RL_7.2468	XP_020880423.1
OG0001056	evm.model.RL_1.953	XP_020886159.1
OG0001056	evm.model.RL_4.3093	XP_002871091.1
OG0001057	evm.model.RL_2.2283	XP_020872212.1
OG0001057	evm.model.RL_8.1506	XP_020871348.1
OG0001057	evm.model.RL_8.1507	XP_020871753.1
OG0001058	evm.model.RL_2.1269	XP_020872770.1
OG0001058	evm.model.RL_2.3110	XP_020874262.1
OG0001060	evm.model.RL_2.896	XP_002870350.1
OG0001060	evm.model.RL_1.2283	XP_020886799.1
OG0001061	evm.model.RL_1.2195	XP_020886679.1
OG0001061	evm.model.RL_2.977, evm.model.RL_2.976	XP_002868276.1
OG0001062	evm.model.RL_8.2716	XP_020884610.1
OG0001062	evm.model.RL_6.209	XP_002878657.1
OG0001063	evm.model.RL_1.519	XP_020884864.1, XP_020889036.1
OG0001064	evm.model.RL_6.1802	XP_020883370.1
OG0001064	evm.model.RL_7.1064, evm.model.RL_7.1062, evm.model.RL_7.1851, evm.model.RL_7.1063	XP_002877909.1
OG0001065	evm.model.RL_6.1862	XP_002881496.1
OG0001065	evm.model.RL_7.1043	XP_002877920.1
OG0001066	evm.model.RL_6.1861	XP_020883957.1
OG0001066	evm.model.RL_7.1042	XP_002877921.1
OG0001067	evm.model.RL_3.2305.2.687c84be	XP_020891455.1
OG0001067	evm.model.RL_5.1512	XP_020867776.1
OG0001068	evm.model.RL_3.1631	XP_002888871.1
OG0001069	evm.model.RL_3.1920	XP_020889991.1
OG0001069	evm.model.RL_5.1770	XP_020870402.1
OG0001070	evm.model.RL_5.3236	XP_002893421.1
OG0001070	evm.model.RL_3.1246	XP_002887192.2
OG0001070	evm.model.RL_1.2931	XP_002886114.1
OG0001071	evm.model.RL_5.1253, evm.model.RL_5.1252	XP_002892788.2
OG0001071	evm.model.RL_5.1254	XP_002892789.1
OG0001072	evm.model.RL_4.1341	XP_020879087.1
OG0001073	evm.model.RL_3.981	XP_020865646.1, XP_020891559.1
OG0001074	evm.model.RL_3.1141	XP_002887133.1
OG0001074	evm.model.RL_3.1901	XP_020865752.1
OG0001075	evm.model.RL_5.3732	XP_002894400.1
OG0001075	evm.model.RL_1.1492	XP_020888464.1
OG0001076	evm.model.RL_1.1416	XP_002885063.1
OG0001076	evm.model.RL_2.2967	XP_020889501.1
OG0001079	evm.model.RL_1.88	XP_020885943.1, XP_020886104.1
OG0001080	evm.model.RL_6.2063	XP_002884195.1
OG0001080	evm.model.RL_8.2749	XP_002865034.1
OG0001084	evm.model.RL_1.3239	XP_002886287.1
OG0001084	evm.model.RL_2.2364	XP_002869499.1
OG0001085	evm.model.RL_1.3150	XP_020886245.1
OG0001085	evm.model.RL_2.2463	XP_020875343.1
OG0001086	evm.model.RL_2.2852	XP_020873068.1
OG0001086	evm.model.RL_1.2662	XP_002883809.1
OG0001086	evm.model.RL_1.2665.1.687c87f0	XP_002883811.1
OG0001087	evm.model.RL_2.2991, evm.model.RL_2.2992	XP_002869133.1
OG0001088	evm.model.RL_7.2239_evm.model.RL_7.2240	XP_002875404.2
OG0001089	evm.model.RL_7.2158, evm.model.RL_7.2156	XP_002875472.1
OG0001089	evm.model.RL_7.2159	XP_020882602.1
OG0001090	evm.model.RL_5.2336	XP_002885898.2
OG0001091	evm.model.RL_7.1499	XP_020880781.1
OG0001091	evm.model.RL_8.1196	XP_020871170.1
OG0001092	evm.model.RL_4.2863	XP_020878978.1
OG0001092	evm.model.RL_4.2864	XP_020878977.1
OG0001093	evm.model.RL_4.1716	XP_002873943.1
OG0001093	evm.model.RL_4.2368	XP_020878341.1
OG0001094	evm.model.RL_4.2578	XP_020879331.1
OG0001094	evm.model.RL_8.2606.4.687c8562	XP_002864946.1
OG0001095	evm.model.RL_2.776	XP_002863285.1
OG0001095	evm.model.RL_2.779	XP_020876978.1
OG0001096	evm.model.RL_7.550	XP_002876454.1
OG0001096	evm.model.RL_6.2325	XP_002881813.1
OG0001097	evm.model.RL_7.1433	XP_020891342.1
OG0001097	evm.model.RL_8.1983, evm.model.RL_8.1985	XP_020890327.1
OG0001098	evm.model.RL_7.1425	XP_020881551.1
OG0001098	evm.model.RL_8.2672	XP_002866689.1
OG0001100	evm.model.RL_6.1311	XP_002879373.1, XP_020883690.1
OG0001101	evm.model.RL_4.2166	XP_020879023.1
OG0001101	evm.model.RL_1.62	XP_002871663.2
OG0001102	evm.model.RL_1.137	XP_002884311.1
OG0001102	evm.model.RL_4.2065	XP_020876574.1
OG0001103	evm.model.RL_4.980	XP_002874426.1
OG0001103	evm.model.RL_1.364	XP_020889558.1
OG0001104	evm.model.RL_4.989	XP_002874417.1
OG0001104	evm.model.RL_1.410.1.687c87ea	XP_002882383.1
OG0001105	evm.model.RL_3.2411	XP_020890395.1
OG0001105	evm.model.RL_5.1434.1.687c88b4	XP_020868673.1
OG0001106	evm.model.RL_5.1531	XP_002892926.1
OG0001106	evm.model.RL_3.2289	XP_002887758.1
OG0001107	evm.model.RL_5.1620	XP_002892972.1
OG0001107	evm.model.RL_3.1729	XP_002888915.1
OG0001108	evm.model.RL_3.1884	XP_020891734.1
OG0001108	evm.model.RL_5.1724	XP_002890303.2
OG0001109	evm.model.RL_3.2155	XP_020891315.1
OG0001110	evm.model.RL_3.1387	XP_002863104.1
OG0001110	evm.model.RL_5.3355	XP_020869675.1
OG0001111	evm.model.RL_3.1119	XP_020890875.1
OG0001111	evm.model.RL_5.3150.1.687c88c0	XP_002890725.2
OG0001112	evm.model.RL_4.930, evm.model.RL_4.899	XP_002863965.1
OG0001115	evm.model.RL_3.1636	XP_002888874.1
OG0001115	evm.model.RL_5.1574	XP_002890221.2
OG0001116	evm.model.RL_5.1917	XP_002894323.1
OG0001116	evm.model.RL_1.2034	XP_020888988.1
OG0001117	evm.model.RL_2.1109	XP_020875154.1
OG0001120	evm.model.RL_2.3116	XP_002869051.1
OG0001120	evm.model.RL_1.2960	XP_020889546.1
OG0001121	evm.model.RL_8.1088, evm.model.RL_8.1100	XP_002864357.1
OG0001121	evm.model.RL_8.1380	XP_002864356.1, XP_002894644.1
OG0001124	evm.model.RL_1.3221	XP_002884203.1
OG0001124	evm.model.RL_8.719, evm.model.RL_2.2224.1.687c86e5	XP_002867523.1
OG0001125	evm.model.RL_5.2800	XP_002891144.1
OG0001125	evm.model.RL_6.1648, evm.model.RL_6.1647	XP_002879561.1
OG0001127	evm.model.RL_5.1306.2.687c88b3	XP_020869197.1
OG0001127	evm.model.RL_7.2608	XP_020881175.1
OG0001128	evm.model.RL_7.2474	XP_002875253.2
OG0001128	evm.model.RL_5.1202	XP_002892761.1
OG0001129	evm.model.RL_7.2143	XP_002877144.1, XP_002877143.1
OG0001130	evm.model.RL_7.2038	XP_002877215.1
OG0001130	evm.model.RL_2.342	XP_002870820.2
OG0001131	evm.model.RL_2.2102	XP_002869647.2, XP_020873532.1
OG0001131	evm.model.RL_8.1801	XP_020888959.1
OG0001132	evm.model.RL_4.3238	XP_020876824.1
OG0001132	evm.model.RL_1.879	XP_020888858.1
OG0001133	evm.model.RL_2.2202	XP_020873834.1
OG0001133	evm.model.RL_8.1609	XP_002866079.1
OG0001134	evm.model.RL_4.2280, evm.model.RL_4.2281	XP_002873612.1, XP_020879150.1
OG0001135	evm.model.RL_8.2570.2.687c8562	XP_020886652.1
OG0001135	evm.model.RL_4.2586.1.687c86da	XP_002871394.1
OG0001136	evm.model.RL_2.1338	XP_002870080.1
OG0001136	evm.model.RL_4.132	XP_020871512.1
OG0001137	evm.model.RL_4.299	XP_020882070.1
OG0001137	evm.model.RL_2.1485	XP_020874975.1
OG0001138	evm.model.RL_2.1727	XP_002867782.1
OG0001138	evm.model.RL_3.941	XP_002884299.1
OG0001138	evm.model.RL_8.504	XP_020877737.1
OG0001139	evm.model.RL_5.3101	XP_020867732.1
OG0001139	evm.model.RL_5.3160	XP_002893460.1
OG0001140	evm.model.RL_2.3134	XP_002867039.2
OG0001140	evm.model.RL_1.2971	XP_020887910.1
OG0001141	evm.model.RL_2.424	XP_002870876.1
OG0001142	evm.model.RL_1.2167	XP_002885514.1
OG0001142	evm.model.RL_2.1010	XP_020874326.1
OG0001143	evm.model.RL_6.2645	XP_020882791.1
OG0001143	evm.model.RL_7.307	XP_002876568.1
OG0001144	evm.model.RL_7.352	XP_002876537.2
OG0001144	evm.model.RL_6.2569	XP_002880113.1
OG0001145	evm.model.RL_1.467	XP_020886546.1, XP_020888848.1, XP_020886545.1
OG0001146	evm.model.RL_6.2291	XP_002881787.1
OG0001146	evm.model.RL_1.939	XP_020887597.1
OG0001147	evm.model.RL_4.1695	XP_002871893.1
OG0001148	evm.model.RL_8.2539	XP_020890283.1
OG0001148	evm.model.RL_4.2615	XP_020877965.1
OG0001149	evm.model.RL_7.1270	XP_002877790.1
OG0001149	evm.model.RL_8.2824	XP_002866761.1
OG0001150	evm.model.RL_4.2029	XP_020878435.1
OG0001150	evm.model.RL_1.172	XP_020887335.1
OG0001151	evm.model.RL_1.618	XP_020889431.1
OG0001151	evm.model.RL_4.910	XP_020866366.1
OG0001152	evm.model.RL_7.749, evm.model.RL_2.774	XP_002878078.1
OG0001152	evm.model.RL_6.2180	XP_002879876.1
OG0001153	evm.model.RL_7.1106	XP_020880763.1
OG0001153	evm.model.RL_6.1726	XP_002879601.1
OG0001154	evm.model.RL_2.2538, evm.model.RL_3.1935	XP_002889016.1
OG0001154	evm.model.RL_5.1776	XP_020867723.1
OG0001155	evm.model.RL_3.2009	XP_002889052.1
OG0001155	evm.model.RL_5.1852	XP_020869056.1
OG0001156	evm.model.RL_5.3413	XP_020869255.1
OG0001156	evm.model.RL_3.1436	XP_020891124.1
OG0001157	evm.model.RL_5.1006	XP_002889866.1
OG0001157	evm.model.RL_5.997	XP_020866048.1
OG0001158	evm.model.RL_3.1469	XP_020890198.1
OG0001158	evm.model.RL_5.3448	XP_020867431.1
OG0001159	evm.model.RL_3.2075	XP_020890682.1
OG0001159	evm.model.RL_3.2074	XP_002881678.1, XP_002889092.1
OG0001160	evm.model.RL_5.3932	XP_020866782.1
OG0001160	evm.model.RL_1.1253	XP_020888094.1
OG0001161	evm.model.RL_1.2039	XP_020887651.1
OG0001161	evm.model.RL_5.1911	XP_002894326.1
OG0001162	evm.model.RL_5.2099, evm.model.RL_5.2098	XP_002891483.1, XP_002891482.1, XP_002891481.1
OG0001164	evm.model.RL_8.2333	XP_020870349.1
OG0001165	evm.model.RL_4.2449	XP_002873510.1
OG0001165	evm.model.RL_4.2450	XP_020877052.1, XP_020876790.1
OG0001166	evm.model.RL_3.386	XP_020884293.1, XP_020882911.1
OG0001169	evm.model.RL_8.1508	XP_002864307.1, XP_020871511.1
OG0001170	evm.model.RL_1.453	XP_002882407.1
OG0001170	evm.model.RL_4.1045.1.687c86d1	XP_020876892.1
OG0001171	evm.model.RL_3.403	XP_002888117.1
OG0001171	evm.model.RL_5.961	XP_002889843.1
OG0001172	evm.model.RL_7.2515	XP_002875208.1
OG0001172	evm.model.RL_5.1229	XP_020866589.1
OG0001173	evm.model.RL_2.2130	XP_002869627.2
OG0001173	evm.model.RL_3.56	XP_020890826.1
OG0001174	evm.model.RL_1.986	XP_020886842.1, XP_020887374.1
OG0001174	evm.model.RL_4.3033	XP_020876162.1
OG0001175	evm.model.RL_8.1695	XP_002864439.1
OG0001176	evm.model.RL_8.2629.2.687c8562	XP_020890110.1
OG0001176	evm.model.RL_4.2535	XP_002873459.1
OG0001177	evm.model.RL_4.2754, evm.model.RL_4.2758	XP_020877019.1, XP_020877014.1
OG0001177	evm.model.RL_4.2755	XP_020877020.1
OG0001178	evm.model.RL_4.2771	XP_002873324.1
OG0001178	evm.model.RL_8.2201, evm.model.RL_8.2202	XP_020889153.1
OG0001179	evm.model.RL_2.1426	XP_020874423.1
OG0001179	evm.model.RL_1.2341	XP_020887722.1
OG0001179	evm.model.RL_2.834	XP_020876376.1
OG0001180	evm.model.RL_2.1518	XP_020874997.1
OG0001180	evm.model.RL_4.326, evm.model.RL_4.329	XP_020877464.1
OG0001181	evm.model.RL_2.1682	XP_020873301.1
OG0001181	evm.model.RL_8.446	XP_020876375.1
OG0001182	evm.model.RL_5.3024	XP_020867305.1
OG0001183	evm.model.RL_2.3102	XP_002867056.1
OG0001183	evm.model.RL_1.2951	XP_002886126.2
OG0001184	evm.model.RL_6.2804	XP_002880253.1
OG0001185	evm.model.RL_7.209	XP_020882405.1
OG0001185	evm.model.RL_6.2774	XP_020885626.1
OG0001186	evm.model.RL_7.655, evm.model.RL_7.423	XP_002878265.1
OG0001186	evm.model.RL_7.426, evm.model.RL_7.424, evm.model.RL_7.656	XP_020881021.1
OG0001187	evm.model.RL_6.1324	XP_020873161.1, XP_020885568.1
OG0001187	evm.model.RL_5.386	XP_002892277.1
OG0001188	evm.model.RL_4.2897	XP_020876281.1
OG0001188	evm.model.RL_6.1106, evm.model.RL_6.1103, evm.model.RL_6.1081	XP_002881085.1
OG0001189	evm.model.RL_1.51.5.687c87e9	XP_002884269.2
OG0001189	evm.model.RL_4.2182	XP_020878051.1
OG0001190	evm.model.RL_1.314	XP_002884421.1
OG0001190	evm.model.RL_4.1830	XP_020876693.1
OG0001191	evm.model.RL_4.1037	XP_002874372.1
OG0001191	evm.model.RL_1.445	XP_020889042.1
OG0001192	evm.model.RL_2.1157	XP_020872639.1
OG0001192	evm.model.RL_3.719, evm.model.RL_1.613	XP_020888041.1
OG0001193	evm.model.RL_7.799	XP_020880280.1
OG0001193	evm.model.RL_6.2091	XP_002881679.1
OG0001194	evm.model.RL_7.769	XP_002876343.1
OG0001194	evm.model.RL_1.761	XP_020887499.1
OG0001196	evm.model.RL_3.1919	XP_020889990.1
OG0001196	evm.model.RL_5.1768.4.687c88b6	XP_020868414.1
OG0001197	evm.model.RL_7.925	XP_002876258.1
OG0001198	evm.model.RL_4.1070	XP_002874341.1
OG0001200	evm.model.RL_4.1661	XP_020879093.1
OG0001201	evm.model.RL_4.1362	XP_020881674.1
OG0001202	evm.model.RL_7.1368	XP_020882330.1
OG0001202	evm.model.RL_7.1434	XP_020881964.1, XP_020878000.1
OG0001202	evm.model.RL_7.1435	XP_020881967.1
OG0001203	evm.model.RL_7.1922	XP_020881502.1, XP_002875656.1
OG0001205	evm.model.RL_5.3779	XP_020867199.1
OG0001205	evm.model.RL_1.1439	XP_002882920.1
OG0001206	evm.model.RL_1.1573, evm.model.RL_1.1574	XP_002885140.1, XP_020889140.1
OG0001207	evm.model.RL_2.1156	XP_002868160.1
OG0001207	evm.model.RL_1.1613	XP_020889225.1
OG0001208	evm.model.RL_5.2092	XP_020869205.1, XP_020869854.1
OG0001208	evm.model.RL_1.1794	XP_002883153.1
OG0001209	evm.model.RL_5.2069.3.687c88b9	XP_002891522.1
OG0001210	evm.model.RL_1.1917	XP_020887417.1
OG0001210	evm.model.RL_5.2009	XP_002891569.1
OG0001213	evm.model.RL_6.798	XP_020874240.1
OG0001218	evm.model.RL_1.414	XP_020886533.1
OG0001218	evm.model.RL_1.432	XP_002884491.1
OG0001222	evm.model.RL_2.2623	XP_002867311.1
OG0001222	evm.model.RL_6.327	XP_002880577.1
OG0001223	evm.model.RL_1.2775	XP_002883920.1
OG0001223	evm.model.RL_2.2911	XP_002869181.2
OG0001224	evm.model.RL_5.782.1.687c88af	XP_020867893.1, XP_002892492.1
OG0001224	evm.model.RL_3.697	XP_002891952.1
OG0001225	evm.model.RL_7.2344	XP_020879816.1, XP_002875345.2
OG0001226	evm.model.RL_7.2215	XP_020880926.1, XP_002875424.1
OG0001226	evm.model.RL_7.2214	XP_002875426.2
OG0001227	evm.model.RL_1.866	XP_020885883.1
OG0001227	evm.model.RL_4.3256.3.687c86dd	XP_020879561.1
OG0001229	evm.model.RL_8.1767, evm.model.RL_8.1766	XP_002864486.1
OG0001230	evm.model.RL_8.2251	XP_002864755.1
OG0001230	evm.model.RL_4.2814	XP_002873305.1
OG0001231	evm.model.RL_8.2262	XP_002866459.1
OG0001231	evm.model.RL_4.2818	XP_002871264.2
OG0001232	evm.model.RL_2.1447	XP_020874304.1
OG0001233	evm.model.RL_2.1798	XP_002869798.1
OG0001233	evm.model.RL_8.584	XP_002874733.1
OG0001234	evm.model.RL_3.1960	XP_020890246.1
OG0001234	evm.model.RL_4.587	XP_002863704.1
OG0001235	evm.model.RL_1.2924	XP_020888615.1
OG0001235	evm.model.RL_2.3067	XP_020875128.1
OG0001236	evm.model.RL_2.1048, evm.model.RL_2.1124	XP_020873905.1
OG0001236	evm.model.RL_6.1321	XP_020884384.1
OG0001237	evm.model.RL_6.2736	XP_020885384.1
OG0001237	evm.model.RL_7.233	XP_020881555.1
OG0001238	evm.model.RL_6.2726	XP_020883117.1
OG0001238	evm.model.RL_7.248	XP_020881577.1
OG0001239	evm.model.RL_7.366	XP_002876531.1
OG0001239	evm.model.RL_6.2540	XP_020882985.1
OG0001241	evm.model.RL_6.2485	XP_002881921.1
OG0001241	evm.model.RL_6.2484	XP_002881920.1
OG0001242	evm.model.RL_4.3208	XP_020878746.1
OG0001242	evm.model.RL_1.891	XP_002882637.1
OG0001243	evm.model.RL_4.1692	XP_020878088.1
OG0001243	evm.model.RL_3.1106	XP_020889717.1
OG0001244	evm.model.RL_8.1492, evm.model.RL_8.1490_evm.model.RL_8.1491.1.687c97c0	XP_020869163.1
OG0001244	evm.model.RL_4.1606, evm.model.RL_4.1607	XP_020877340.1, XP_020867001.1
OG0001245	evm.model.RL_7.1290	XP_002877780.1
OG0001245	evm.model.RL_8.2812.1.687c8563	XP_002866757.1
OG0001246	evm.model.RL_5.82, evm.model.RL_5.106, evm.model.RL_5.35	XP_002889394.1
OG0001246	evm.model.RL_8.209	XP_002874969.1
OG0001247	evm.model.RL_8.314	XP_020878329.1
OG0001247	evm.model.RL_1.706	XP_020888763.1
