Orthogroup	Arabidopsis_arenosa	Cardamine_amara
OG0003892	jg24563	evm.model.RL_1.564
OG0003893	jg24266	evm.model.RL_1.326
OG0003893	jg5669	evm.model.RL_4.1824
OG0003894	jg6653	evm.model.RL_4.1041
OG0003896	jg21580	evm.model.RL_4.928
OG0003896	jg2347	evm.model.RL_3.1166
OG0003897	jg4353	evm.model.RL_4.2945
OG0003898	jg4252	evm.model.RL_8.2460, evm.model.RL_4.3035
OG0003899	jg26913, jg6452	evm.model.RL_4.1174.1.687c86d2, evm.model.RL_4.1173.1.687c86d2
OG0003900	jg23586	evm.model.RL_8.2661
OG0003903	jg8463	evm.model.RL_2.3374
OG0003904	jg3315	evm.model.RL_3.2062
OG0003905	jg3305	evm.model.RL_3.2054
OG0003907	jg3248	evm.model.RL_3.2003
OG0003908	jg3574	evm.model.RL_3.2293
OG0003909	jg3630	evm.model.RL_3.2342
OG0003912	jg33516	evm.model.RL_5.3773
OG0003913	jg25617	evm.model.RL_1.1498
OG0003914	jg25655	evm.model.RL_1.1533
OG0003916	jg26122	evm.model.RL_1.1885
OG0003917	jg26173	evm.model.RL_1.1938, evm.model.RL_1.1937
OG0003918	jg26219, jg26218	evm.model.RL_1.1982
OG0003919	jg26377	evm.model.RL_1.2102
OG0003920	jg26519	evm.model.RL_1.2180
OG0003921	jg28131	evm.model.RL_1.3129
OG0003922	jg33552, jg2920, jg33551	evm.model.RL_5.3800
OG0003923	jg32849, jg32872	evm.model.RL_5.2215
OG0003925	jg15460, jg15458	evm.model.RL_7.851, evm.model.RL_7.839
OG0003926	jg16167	evm.model.RL_7.258
OG0003930	jg30863	evm.model.RL_5.3462, evm.model.RL_8.2865
OG0003930	jg28461	evm.model.RL_5.3461
OG0003933	jg13786, jg13788	evm.model.RL_7.2077
OG0003935	jg4551	evm.model.RL_4.2827
OG0003938	jg30874	evm.model.RL_5.3451, evm.model.RL_1.3075, evm.model.RL_5.3410, evm.model.RL_5.3408
OG0003948	jg9424	evm.model.RL_2.2518
OG0003950	jg31838	evm.model.RL_5.2754
OG0003951	jg11012	evm.model.RL_2.1187
OG0003952	jg1448	evm.model.RL_5.139, evm.model.RL_3.710
OG0003954	jg13020	evm.model.RL_7.2611
OG0003955	jg13096	evm.model.RL_7.2561
OG0003956	jg20031, jg20030	evm.model.RL_6.2772
OG0003957	jg13508	evm.model.RL_7.2262
OG0003958	jg12205	evm.model.RL_2.472
OG0003958	jg2058	evm.model.RL_3.994
OG0003959	jg19340	evm.model.RL_6.2198
OG0003960	jg4208	evm.model.RL_4.3074
OG0003961	jg25039	evm.model.RL_1.1005
OG0003961	jg4285	evm.model.RL_4.3009
OG0003962	jg25093	evm.model.RL_1.1048
OG0003963	jg539	evm.model.RL_3.158
OG0003965	jg21742	evm.model.RL_8.1188
OG0003967	jg25162, jg25160	evm.model.RL_4.2365
OG0003968	jg4994	evm.model.RL_4.2427
OG0003969	jg4979	evm.model.RL_4.2443
OG0003971	jg4709, jg15145	evm.model.RL_4.2688
OG0003972	jg24963	evm.model.RL_1.936
OG0003972	jg4607	evm.model.RL_4.2784.2.687c86db
OG0003973	jg20330	evm.model.RL_4.76.2.687c86cc
OG0003974	jg15185	evm.model.RL_7.1122
OG0003974	jg10733	evm.model.RL_2.1416
OG0003975	jg10486	evm.model.RL_2.1598, evm.model.RL_5.1369
OG0003976	jg10228	evm.model.RL_2.1804
OG0003977	jg15242	evm.model.RL_7.1081
OG0003978	jg31416	evm.model.RL_5.3023
OG0003979	jg32420	evm.model.RL_5.2611
OG0003980	jg8682	evm.model.RL_2.3172
OG0003981	jg8673	evm.model.RL_2.3179
OG0003982	jg8586	evm.model.RL_2.3263
OG0003983	jg16675	evm.model.RL_6.149
OG0003984	jg7371	evm.model.RL_8.755
OG0003985	jg20755	evm.model.RL_1.2920
OG0003985	jg7731	evm.model.RL_8.456
OG0003986	jg20519	evm.model.RL_4.263
OG0003987	jg11634	evm.model.RL_2.793
OG0003988	jg11336	evm.model.RL_2.958
OG0003989	jg11141, jg11140	evm.model.RL_2.1091
OG0003990	jg12729	evm.model.RL_2.103
OG0003991	jg16292	evm.model.RL_7.142
OG0003991	jg20113	evm.model.RL_6.2853
OG0003992	jg20092	evm.model.RL_6.2829
OG0003993	jg16188	evm.model.RL_7.234
OG0003994	jg31049	evm.model.RL_5.3330
OG0003994	jg2567	evm.model.RL_3.1365, evm.model.RL_3.1367
OG0003995	jg19752	evm.model.RL_6.64, evm.model.RL_6.2531
OG0003996	jg19725	evm.model.RL_6.2502
OG0003998	jg3966	evm.model.RL_4.3306
OG0003999	jg24971	evm.model.RL_1.944
OG0004000	jg22977	evm.model.RL_8.2105
OG0004001	jg22871	evm.model.RL_8.2020
OG0004002	jg23326	evm.model.RL_8.2420
OG0004003	jg17667	evm.model.RL_6.838
OG0004004	jg8116	evm.model.RL_8.116
OG0004005	jg18141	evm.model.RL_6.1226, evm.model.RL_6.1180
OG0004006	jg17674	evm.model.RL_6.845
OG0004007	jg24357	evm.model.RL_1.388
OG0004007	jg24356	evm.model.RL_1.387
OG0004008	jg24401	evm.model.RL_1.426_evm.model.RL_1.427.1.687c9a63
OG0004009	jg32891	evm.model.RL_5.2197
OG0004010	jg24746	evm.model.RL_1.742
OG0004011	jg19274	evm.model.RL_6.2143
OG0004011	jg15571	evm.model.RL_7.760
OG0004012	jg19226	evm.model.RL_6.2107
OG0004013	jg15534	evm.model.RL_7.780
OG0004013	jg31018, jg20332	evm.model.RL_7.2003
OG0004014	jg1912, jg32449, jg32458	evm.model.RL_5.2405
OG0004015	jg19134	evm.model.RL_6.2033
OG0004016	jg19160	evm.model.RL_6.2054
OG0004017	jg18879	evm.model.RL_6.1852
OG0004018	jg4814	evm.model.RL_4.2588
OG0004019	jg19050	evm.model.RL_6.1971
OG0004021	jg19033	evm.model.RL_6.1958
OG0004022	jg17021	evm.model.RL_6.385
OG0004022	jg17009	evm.model.RL_5.3001
OG0004024	jg30126	evm.model.RL_2.890, evm.model.RL_2.887, evm.model.RL_2.889, evm.model.RL_6.1160, evm.model.RL_2.888, evm.model.RL_5.1491, evm.model.RL_5.1486
OG0004025	jg30889	evm.model.RL_5.3441
OG0004026	jg9984	evm.model.RL_2.2002
OG0004027	jg9946	evm.model.RL_2.2037
OG0004027	jg21814	evm.model.RL_8.1246
OG0004028	jg9909	evm.model.RL_2.2070
OG0004029	jg22102	evm.model.RL_8.1455
OG0004030	jg16928	evm.model.RL_6.337
OG0004031	jg18715, jg18716	evm.model.RL_6.1672
OG0004032	jg16496, jg16499	evm.model.RL_6.8, evm.model.RL_4.82
OG0004033	jg29663	evm.model.RL_5.1086
OG0004035	jg29138, jg29121	evm.model.RL_5.632
OG0004036	jg21275	evm.model.RL_4.746
OG0004037	jg28606, jg28607	evm.model.RL_8.47
OG0004038	jg5426	evm.model.RL_4.2039
OG0004039	jg6553	evm.model.RL_4.1112
OG0004040	jg6670	evm.model.RL_4.1027
OG0004040	jg6669	evm.model.RL_4.1028
OG0004041	jg23061, jg23063	evm.model.RL_8.2190
OG0004042	jg6798, jg6799	evm.model.RL_4.976
OG0004043	jg21541	evm.model.RL_4.905
OG0004044	jg4272	evm.model.RL_4.3022
OG0004045	jg6365	evm.model.RL_4.1235
OG0004045	jg6364	evm.model.RL_4.1236
OG0004046	jg6216	evm.model.RL_4.1359
OG0004046	jg14707	evm.model.RL_7.1502
OG0004047	jg6210	evm.model.RL_4.1365.2.687c86d3
OG0004048	jg4661	evm.model.RL_4.2735
OG0004048	jg23023	evm.model.RL_8.2150
OG0004049	jg23102	evm.model.RL_8.2231
OG0004050	jg14238	evm.model.RL_7.1864
OG0004050	jg6117	evm.model.RL_4.1441, evm.model.RL_4.1442
OG0004051	jg14134	evm.model.RL_7.1928
OG0004051	jg6029	evm.model.RL_4.1500
OG0004052	jg2749	evm.model.RL_3.1533, evm.model.RL_3.1534
OG0004053	jg3501	evm.model.RL_3.2221
OG0004054	jg25245	evm.model.RL_1.1188
OG0004055	jg25365, jg25364	evm.model.RL_1.1287
OG0004056	jg11106	evm.model.RL_2.1120
OG0004057	jg25799	evm.model.RL_1.1637
OG0004058	jg25800	evm.model.RL_1.1638
OG0004059	jg25916	evm.model.RL_1.1709
OG0004060	jg16629	evm.model.RL_6.109
OG0004061	jg25940	evm.model.RL_1.1731
OG0004062	jg25980	evm.model.RL_1.1760
OG0004063	jg26001	evm.model.RL_1.1781
OG0004064	jg26198	evm.model.RL_1.1960
OG0004065	jg26282	evm.model.RL_1.2029
OG0004066	jg26459	evm.model.RL_1.2142
OG0004067	jg26742	evm.model.RL_1.2332
OG0004068	jg27568, jg27569	evm.model.RL_1.2757
OG0004069	jg33031, jg33036	evm.model.RL_5.2090
OG0004070	jg25519	evm.model.RL_1.1418
OG0004071	jg15692, jg15162	evm.model.RL_7.674
OG0004072	jg19486	evm.model.RL_6.2317
OG0004073	jg15971	evm.model.RL_7.429
OG0004074	jg12752	evm.model.RL_2.129
OG0004075	jg20627	evm.model.RL_4.358
OG0004078	jg9700	evm.model.RL_2.2263
OG0004080	jg13212, jg13211	evm.model.RL_7.2528, evm.model.RL_7.2471
OG0004081	jg25026, jg16888	evm.model.RL_1.943, evm.model.RL_1.994
OG0004084	jg13238, jg13240	evm.model.RL_7.2444
OG0004087	jg14010	evm.model.RL_8.1487
OG0004087	jg18277	evm.model.RL_6.1301
OG0004092	jg9357	evm.model.RL_2.2567
OG0004093	jg9312	evm.model.RL_2.2598.1.687c86e6
OG0004094	jg8993	evm.model.RL_2.2891
OG0004095	jg8981	evm.model.RL_2.2900
OG0004096	jg8924	evm.model.RL_2.2954
OG0004097	jg1209	evm.model.RL_3.592
OG0004097	jg1211	evm.model.RL_3.594
OG0004098	jg29389	evm.model.RL_5.873
OG0004099	jg12921	evm.model.RL_7.2676
OG0004100	jg13658	evm.model.RL_7.2161
OG0004101	jg22382	evm.model.RL_8.1633
OG0004102	jg367	evm.model.RL_3.15
OG0004102	jg12847	evm.model.RL_2.190
OG0004103	jg25138	evm.model.RL_1.1095
OG0004105	jg22226, jg22224	evm.model.RL_8.1526
OG0004106	jg22301	evm.model.RL_8.1566
OG0004107	jg3957, jg15207	evm.model.RL_1.3004
OG0004107	jg19292	evm.model.RL_6.2156
OG0004108	jg22473	evm.model.RL_8.1701.5.687c855d
OG0004109	jg4954	evm.model.RL_4.2462
OG0004111	jg4671	evm.model.RL_4.2723
OG0004112	jg23097	evm.model.RL_8.2226
OG0004113	jg10739, jg10736	evm.model.RL_2.1411
OG0004114	jg10735	evm.model.RL_2.1414
OG0004115	jg10711	evm.model.RL_2.1436
OG0004117	jg10447, jg10446	evm.model.RL_2.1628
OG0004118	jg10388	evm.model.RL_2.1678
OG0004119	jg32023	evm.model.RL_5.2605
OG0004119	jg7343	evm.model.RL_8.775
OG0004120	jg10458	evm.model.RL_2.1619
OG0004121	jg32601	evm.model.RL_5.2351
OG0004122	jg32536	evm.model.RL_2.1003, evm.model.RL_5.2369
OG0004123	jg31426	evm.model.RL_6.1501, evm.model.RL_5.3013
OG0004124	jg31651	evm.model.RL_5.2853
OG0004125	jg8670	evm.model.RL_2.3182
OG0004126	jg18831	evm.model.RL_6.1785
OG0004127	jg8574	evm.model.RL_6.357
OG0004128	jg8317, jg8318	evm.model.RL_2.3472
OG0004129	jg29117	evm.model.RL_5.616
OG0004130	jg13706	evm.model.RL_7.2134
OG0004131	jg28315	evm.model.RL_1.3282
OG0004132	jg18465	evm.model.RL_6.1454
OG0004132	jg32474	evm.model.RL_5.2394
OG0004133	jg20988	evm.model.RL_4.602
OG0004134	jg32828	evm.model.RL_5.2228
OG0004136	jg7605	evm.model.RL_8.569
OG0004137	jg20337	evm.model.RL_4.85
OG0004138	jg11307	evm.model.RL_2.974
OG0004139	jg12746	evm.model.RL_2.112
OG0004140	jg20152	evm.model.RL_6.2893
OG0004141	jg20110, jg20111	evm.model.RL_6.2851
OG0004142	jg19771	evm.model.RL_6.2545
OG0004143	jg19705	evm.model.RL_6.2490
OG0004144	jg19618	evm.model.RL_6.2419
OG0004145	jg19609	evm.model.RL_6.2413
OG0004147	jg5967	evm.model.RL_4.1555
OG0004148	jg6011	evm.model.RL_4.1514
OG0004149	jg6133	evm.model.RL_4.1426.1.687c86d3
OG0004150	jg22953	evm.model.RL_8.2087
OG0004151	jg22819	evm.model.RL_8.1975
OG0004152	jg23403	evm.model.RL_2.616, evm.model.RL_2.617, evm.model.RL_8.2491
OG0004153	jg8218	evm.model.RL_8.43
OG0004154	jg8136	evm.model.RL_8.134, evm.model.RL_8.137
OG0004155	jg8142	evm.model.RL_8.142
OG0004156	jg7980	evm.model.RL_8.259
OG0004157	jg7978	evm.model.RL_8.262
OG0004158	jg4027	evm.model.RL_4.3246.1.687c86dd
OG0004158	jg20838	evm.model.RL_4.502
OG0004159	jg28742	evm.model.RL_5.278
OG0004161	jg18253	evm.model.RL_6.1280, evm.model.RL_6.1282
OG0004162	jg18091	evm.model.RL_6.1142
OG0004163	jg18082	evm.model.RL_6.1134
OG0004164	jg29048	evm.model.RL_5.545
OG0004166	jg14082	evm.model.RL_7.1984
OG0004167	jg9723	evm.model.RL_2.2245
OG0004168	jg5242	evm.model.RL_4.2200
OG0004168	jg23917	evm.model.RL_1.39
OG0004169	jg24138	evm.model.RL_1.231
OG0004170	jg24258	evm.model.RL_1.316
OG0004171	jg24320	evm.model.RL_1.359
OG0004172	jg24395	evm.model.RL_1.422
OG0004173	jg24388	evm.model.RL_1.415
OG0004174	jg24711	evm.model.RL_1.701
OG0004175	jg19311	evm.model.RL_6.2170
OG0004176	jg18940	evm.model.RL_6.1879
OG0004178	jg30112	evm.model.RL_5.1470
OG0004179	jg30423	evm.model.RL_5.1733, evm.model.RL_5.1731
OG0004180	jg13272	evm.model.RL_7.2425.2.687c84bd
OG0004181	jg30616	evm.model.RL_5.3668
OG0004182	jg2833	evm.model.RL_3.1598
OG0004183	jg10019	evm.model.RL_2.1971.2.687c86e4
OG0004184	jg10007	evm.model.RL_2.1983
OG0004185	jg9989	evm.model.RL_2.1997
OG0004186	jg12555, jg7217	evm.model.RL_2.249
OG0004187	jg9956	evm.model.RL_2.2025
OG0004188	jg22534, jg21879	evm.model.RL_8.1295
OG0004189	jg13353	evm.model.RL_7.2363
OG0004190	jg29698	evm.model.RL_5.1116
OG0004191	jg29193	evm.model.RL_5.688
OG0004193	jg5435	evm.model.RL_4.2030
OG0004194	jg5453	evm.model.RL_4.2010
OG0004195	jg5554	evm.model.RL_7.1887
OG0004195	jg7040, jg5555	evm.model.RL_7.1756
OG0004196	jg6613	evm.model.RL_3.135, evm.model.RL_4.1064
OG0004198	jg6486	evm.model.RL_4.1160
OG0004199	jg9200	evm.model.RL_2.2708
OG0004200	jg6281	evm.model.RL_4.1300_evm.model.RL_4.1302.1.687c9998
OG0004201	jg6186	evm.model.RL_4.1388
OG0004201	jg4684	evm.model.RL_4.2711
OG0004202	jg23043	evm.model.RL_8.2170
OG0004203	jg33427	evm.model.RL_3.1101, evm.model.RL_3.1202
OG0004204	jg23214	evm.model.RL_8.2332
OG0004205	jg22768	evm.model.RL_8.1930
OG0004206	jg14813	evm.model.RL_7.1439
OG0004206	jg14812	evm.model.RL_7.1440
OG0004207	jg14339	evm.model.RL_7.1797
OG0004208	jg3020	evm.model.RL_3.1787
OG0004208	jg7261	evm.model.RL_8.832
OG0004209	jg2777	evm.model.RL_3.1550
OG0004210	jg2793	evm.model.RL_3.1562
OG0004211	jg2834	evm.model.RL_3.1599, evm.model.RL_3.1011
OG0004212	jg3447	evm.model.RL_3.2177
OG0004213	jg3076	evm.model.RL_3.1838
OG0004214	jg2964, jg18182, jg18181	evm.model.RL_3.1728
OG0004215	jg3511	evm.model.RL_3.2233
OG0004216	jg3688	evm.model.RL_3.2398
OG0004217	jg25226	evm.model.RL_1.1169
OG0004218	jg25561, jg12054, jg12085	evm.model.RL_1.1452
OG0004219	jg25599	evm.model.RL_1.1481
OG0004220	jg25640	evm.model.RL_1.1522
OG0004221	jg25931	evm.model.RL_1.1721_evm.model.RL_1.1722_evm.model.RL_1.1723
OG0004222	jg25941	evm.model.RL_1.1732
OG0004223	jg26037	evm.model.RL_1.1809
OG0004224	jg26066	evm.model.RL_1.1834.1.687c87ee
OG0004225	jg26103	evm.model.RL_1.1861
OG0004226	jg26299	evm.model.RL_1.2038
OG0004227	jg26369	evm.model.RL_1.2095
OG0004228	jg26370	evm.model.RL_1.2096
OG0004229	jg26450	evm.model.RL_1.2134
OG0004230	jg26466	evm.model.RL_1.2146.3.687c87ef
OG0004232	jg26610	evm.model.RL_1.2257
OG0004233	jg26640	evm.model.RL_1.2279
OG0004234	jg27931	evm.model.RL_1.2976
OG0004235	jg28093	evm.model.RL_1.3101.2.687c87f1
OG0004236	jg9544	evm.model.RL_2.2406
OG0004237	jg12031	evm.model.RL_2.575, evm.model.RL_2.576
OG0004238	jg33774	evm.model.RL_5.3975
OG0004239	jg33757	evm.model.RL_5.3960
OG0004240	jg33636	evm.model.RL_5.3865
OG0004241	jg30250, jg33600	evm.model.RL_5.3842
OG0004242	jg33548	evm.model.RL_5.3797
OG0004243	jg33525	evm.model.RL_5.3783
OG0004244	jg33278	evm.model.RL_5.1934
OG0004245	jg25934, jg13532	evm.model.RL_5.2145
OG0004246	jg32897	evm.model.RL_5.2190, evm.model.RL_8.814
OG0004248	jg24613	evm.model.RL_2.124, evm.model.RL_2.119, evm.model.RL_1.603
OG0004249	jg6497	evm.model.RL_4.1149
OG0004250	jg3717, jg8187	evm.model.RL_3.2426
OG0004251	jg15750	evm.model.RL_7.627
OG0004252	jg15817	evm.model.RL_7.556
OG0004253	jg16132	evm.model.RL_7.291
OG0004254	jg4319, jg16221	evm.model.RL_1.361, evm.model.RL_5.399
OG0004255	jg16300	evm.model.RL_7.134
OG0004256	jg4097	evm.model.RL_4.3177
OG0004257	jg19611	evm.model.RL_6.2647
OG0004260	jg8195	evm.model.RL_8.64
OG0004261	jg9529	evm.model.RL_2.2420
OG0004263	jg16775, jg16774, jg16770	evm.model.RL_6.308, evm.model.RL_6.220, evm.model.RL_6.269
OG0004264	jg18523, jg18524	evm.model.RL_6.1513
OG0004265	jg31305	evm.model.RL_5.3087, evm.model.RL_5.3108
OG0004266	jg32077	evm.model.RL_8.1556, evm.model.RL_8.1558, evm.model.RL_8.1559
OG0004266	jg22294	evm.model.RL_4.528
OG0004267	jg23332	evm.model.RL_8.2428
OG0004268	jg14195, jg14188, jg14199	evm.model.RL_7.1874, evm.model.RL_7.1893, evm.model.RL_7.1905, evm.model.RL_7.1895
OG0004269	jg6754	evm.model.RL_5.2398
OG0004275	jg9531	evm.model.RL_2.2418
OG0004276	jg13217, jg28081	evm.model.RL_7.2465
OG0004277	jg9390	evm.model.RL_2.2540
OG0004278	jg9286	evm.model.RL_2.2619
OG0004279	jg9264	evm.model.RL_2.2651
OG0004280	jg9063	evm.model.RL_2.2835
OG0004281	jg8968	evm.model.RL_2.2913.1.687c86e7
OG0004282	jg8893	evm.model.RL_2.2986
OG0004283	jg8833	evm.model.RL_2.3043
OG0004284	jg31742	evm.model.RL_5.2812
OG0004285	jg31861	evm.model.RL_7.1963, evm.model.RL_5.2740
OG0004286	jg1437, jg1438	evm.model.RL_3.705, evm.model.RL_3.704
OG0004287	jg12924	evm.model.RL_7.2679
OG0004288	jg13070	evm.model.RL_7.2578
OG0004289	jg13219	evm.model.RL_7.2462
OG0004290	jg13449	evm.model.RL_7.2304
OG0004291	jg20313	evm.model.RL_4.64
OG0004292	jg13615	evm.model.RL_7.2199
OG0004293	jg20624	evm.model.RL_3.787
OG0004294	jg1585	evm.model.RL_3.784
OG0004294	jg19567	evm.model.RL_6.2373
OG0004295	jg19395	evm.model.RL_6.2244
OG0004296	jg24936	evm.model.RL_1.914
OG0004297	jg25070	evm.model.RL_1.1029
OG0004298	jg25137	evm.model.RL_1.1094
OG0004299	jg21744	evm.model.RL_8.1190
OG0004300	jg21785, jg32509	evm.model.RL_8.1230
OG0004301	jg1918, jg21791	evm.model.RL_8.1233
OG0004302	jg21830	evm.model.RL_8.1262
OG0004303	jg9800	evm.model.RL_2.2168
OG0004304	jg22702	evm.model.RL_8.1872
OG0004305	jg6531	evm.model.RL_4.1135
OG0004306	jg5158	evm.model.RL_4.2279
OG0004307	jg25451, jg5026	evm.model.RL_4.2399
OG0004309	jg4693	evm.model.RL_4.2702
OG0004310	jg4663	evm.model.RL_4.2733
OG0004311	jg20426	evm.model.RL_4.180.1.687c86cd
OG0004312	jg10762	evm.model.RL_2.1388
OG0004313	jg10690	evm.model.RL_2.1455
OG0004314	jg10563	evm.model.RL_2.1553
OG0004315	jg10513, jg10510	evm.model.RL_2.1584
OG0004316	jg10476	evm.model.RL_2.1607
OG0004317	jg10459	evm.model.RL_2.1618.2.687c86e3
OG0004318	jg10260	evm.model.RL_2.1770
OG0004319	jg10248	evm.model.RL_2.1786
OG0004320	jg10161, jg10160	evm.model.RL_2.1857
OG0004321	jg10077	evm.model.RL_2.1919
OG0004322	jg7419, jg7422	evm.model.RL_8.710
OG0004323	jg32212	evm.model.RL_5.2475
OG0004323	jg7242	evm.model.RL_8.845
OG0004324	jg26497	evm.model.RL_1.2169
OG0004325	jg33524	evm.model.RL_5.3782
OG0004326	jg31497	evm.model.RL_5.2969
OG0004327	jg31600	evm.model.RL_5.2889
OG0004328	jg31616	evm.model.RL_5.2874
OG0004329	jg16503	evm.model.RL_6.791, evm.model.RL_6.10
OG0004330	jg8759	evm.model.RL_2.3104
OG0004331	jg8648	evm.model.RL_2.3205
OG0004332	jg8643	evm.model.RL_2.3213
OG0004333	jg7344	evm.model.RL_8.773, evm.model.RL_8.771
OG0004334	jg7603	evm.model.RL_8.575
OG0004336	jg27212	evm.model.RL_1.2570
OG0004336	jg11921	evm.model.RL_2.633
OG0004337	jg26940	evm.model.RL_1.2452
OG0004337	jg11711	evm.model.RL_2.744
OG0004339	jg11329	evm.model.RL_2.962
OG0004340	jg11285	evm.model.RL_2.998
OG0004341	jg11262	evm.model.RL_2.1011
OG0004342	jg33598	evm.model.RL_5.3840
OG0004343	jg16362	evm.model.RL_7.72
OG0004344	jg20112	evm.model.RL_6.2852
OG0004348	jg19639	evm.model.RL_6.2440
OG0004349	jg15831	evm.model.RL_7.541
OG0004349	jg19541	evm.model.RL_6.2359
OG0004350	jg5843	evm.model.RL_4.1667
OG0004351	jg15487	evm.model.RL_7.813
OG0004352	jg19244	evm.model.RL_6.2119
OG0004353	jg6049	evm.model.RL_4.1476
OG0004354	jg22854	evm.model.RL_8.2007
OG0004355	jg23346	evm.model.RL_8.2439
OG0004356	jg23395	evm.model.RL_8.2483
OG0004358	jg23677	evm.model.RL_8.2745
OG0004359	jg23696	evm.model.RL_8.2763
OG0004360	jg28408	evm.model.RL_7.1037, evm.model.RL_8.2915
OG0004361	jg8182	evm.model.RL_8.75
OG0004362	jg28663	evm.model.RL_5.208
OG0004363	jg18440	evm.model.RL_6.1427
OG0004364	jg18436	evm.model.RL_6.1423
OG0004365	jg28945	evm.model.RL_5.457
OG0004366	jg18178	evm.model.RL_6.1218
OG0004367	jg18161	evm.model.RL_6.1200
OG0004368	jg18088	evm.model.RL_6.1139
OG0004369	jg18077	evm.model.RL_6.1128
OG0004370	jg18071	evm.model.RL_6.1123
OG0004371	jg18032	evm.model.RL_6.1089
OG0004372	jg21502, jg23956	evm.model.RL_1.78
OG0004373	jg24097	evm.model.RL_1.195
OG0004374	jg24421	evm.model.RL_1.444
OG0004375	jg6647	evm.model.RL_4.1046
OG0004376	jg24464	evm.model.RL_1.478.1.687c87ea
OG0004377	jg24527	evm.model.RL_1.532
OG0004378	jg24543	evm.model.RL_1.546
OG0004379	jg24576	evm.model.RL_1.576
OG0004380	jg24681	evm.model.RL_1.671
OG0004381	jg18734	evm.model.RL_6.1697
OG0004382	jg18750	evm.model.RL_6.1711
OG0004383	jg18837	evm.model.RL_6.1788
OG0004384	jg15291	evm.model.RL_7.1026
OG0004385	jg30095	evm.model.RL_5.1457, evm.model.RL_6.949
OG0004386	jg30297	evm.model.RL_5.1605.1.687c88b5
OG0004387	jg2984, jg2985	evm.model.RL_3.1749
OG0004388	jg30374	evm.model.RL_5.1682
OG0004388	jg3054, jg3051	evm.model.RL_3.1821
OG0004389	jg30394	evm.model.RL_5.1707.1.687c88b6
OG0004390	jg3380	evm.model.RL_3.2117
OG0004391	jg2831	evm.model.RL_3.1596
OG0004393	jg31095	evm.model.RL_5.3293
OG0004394	jg31196	evm.model.RL_5.3210
OG0004395	jg9987	evm.model.RL_2.1999
OG0004396	jg16905	evm.model.RL_6.316
OG0004397	jg29802	evm.model.RL_5.1191
OG0004398	jg29743	evm.model.RL_5.1141
OG0004399	jg29732	evm.model.RL_5.1132
OG0004400	jg29628	evm.model.RL_5.1058
OG0004401	jg29517	evm.model.RL_5.970
OG0004402	jg2653	evm.model.RL_5.926
OG0004403	jg29385	evm.model.RL_5.870
OG0004404	jg29263, jg29262	evm.model.RL_5.764
OG0004405	jg29165	evm.model.RL_5.652
OG0004405	jg29166	evm.model.RL_5.653
OG0004406	jg29146	evm.model.RL_5.640.2.687c88ae
OG0004407	jg5348	evm.model.RL_4.2110
OG0004408	jg5450	evm.model.RL_4.2013
OG0004409	jg5514	evm.model.RL_4.1956
OG0004410	jg5702	evm.model.RL_4.1797
OG0004411	jg5712	evm.model.RL_4.1786
OG0004412	jg6558	evm.model.RL_4.1108
OG0004413	jg6637	evm.model.RL_4.1054
OG0004414	jg21359	evm.model.RL_4.780
OG0004415	jg4378	evm.model.RL_4.2928
OG0004416	jg6447	evm.model.RL_4.1178
OG0004418	jg6203	evm.model.RL_4.1371
OG0004419	jg6159	evm.model.RL_4.1409, evm.model.RL_4.2727
OG0004420	jg23078	evm.model.RL_8.2207
OG0004421	jg21513	evm.model.RL_7.1431
OG0004422	jg2401	evm.model.RL_3.1218_evm.model.RL_3.1220
OG0004423	jg27086, jg2560	evm.model.RL_3.1356
OG0004424	jg2637	evm.model.RL_3.1421
OG0004425	jg2684	evm.model.RL_3.1462
OG0004427	jg2841	evm.model.RL_3.1604
OG0004428	jg3209	evm.model.RL_3.1968
OG0004429	jg3111	evm.model.RL_3.1872
OG0004430	jg3108	evm.model.RL_3.1869
OG0004430	jg3107	evm.model.RL_3.1868
OG0004431	jg2929	evm.model.RL_3.1687
OG0004432	jg3539	evm.model.RL_3.2255
OG0004434	jg3615	evm.model.RL_3.2330
OG0004436	jg25250	evm.model.RL_1.1187, evm.model.RL_1.1190
OG0004437	jg25416	evm.model.RL_1.1329
OG0004438	jg25429	evm.model.RL_1.1342
OG0004440	jg25540	evm.model.RL_1.1431, evm.model.RL_1.1435
OG0004441	jg25570	evm.model.RL_1.1460
OG0004442	jg25594	evm.model.RL_1.1476
OG0004443	jg25669	evm.model.RL_1.1550_evm.model.RL_1.1554
OG0004444	jg25988	evm.model.RL_1.1769
OG0004445	jg26130	evm.model.RL_1.1892
OG0004445	jg33157	evm.model.RL_5.2016
OG0004446	jg26155	evm.model.RL_1.1924
OG0004447	jg26260	evm.model.RL_1.2015
OG0004448	jg26262	evm.model.RL_1.2017
OG0004449	jg26321	evm.model.RL_1.2261, evm.model.RL_1.2053
OG0004450	jg26391	evm.model.RL_1.2109
OG0004451	jg26574	evm.model.RL_1.2224
OG0004452	jg17239	evm.model.RL_6.527
OG0004452	jg9088	evm.model.RL_2.2814
OG0004453	jg28012, jg27478	evm.model.RL_1.3033
OG0004454	jg27963	evm.model.RL_1.2998
OG0004455	jg28089, jg28088	evm.model.RL_1.3096
OG0004456	jg28270	evm.model.RL_1.3226
OG0004456	jg18739	evm.model.RL_6.1702
OG0004457	jg33432	evm.model.RL_5.3707
