Orthogroup	Arabidopsis_arenosa	Brassica_napus
OG0000674	jg7985	XP_048595164.1, XP_013725151.2, XP_048625809.1, XP_013660384.2
OG0000676	jg3081	XP_048615976.1, XP_013649750.2, XP_048603623.1, XP_048617386.1, XP_013674869.1, XP_048591751.1
OG0000677	jg31035	XP_048592674.1, XP_048618633.1
OG0000677	jg31038	XP_048623009.1
OG0000685	jg9487	XP_013681586.1, XP_013661498.1, XP_013693908.1, XP_013667603.1, XP_013665997.2, XP_048591631.1, XP_013681594.2
OG0000685	jg9833	XP_013656534.2, XP_013725663.1, XP_013698418.1, XP_013741271.1
OG0000686	jg8987, jg8986	XP_048633065.1, XP_048620325.1, XP_048593441.1, XP_013729282.2, XP_013654866.1
OG0000686	jg8985	XP_048606362.1, XP_048594823.1
OG0000687	jg10990	XP_013737363.1, XP_013688207.1
OG0000687	jg19905	XP_013648377.1, XP_013728415.1, XP_013734799.1, XP_013683709.1
OG0000688	jg13042	XP_013724731.1
OG0000688	jg13039	XP_013687112.1
OG0000688	jg13041, jg13040	XP_022562945.1, XP_013664956.2, XP_048599820.1, XP_013724725.1, XP_022552727.2, XP_013691947.2
OG0000689	jg32073	XP_013717473.1, XP_022571867.1, XP_048617710.1, XP_013657209.1, XP_022565946.1, XP_048636312.1, XP_048596822.1, XP_013719778.1
OG0000690	jg10358	XP_013658448.1, XP_013673568.2, XP_048620140.1, XP_048598716.1, XP_048637542.1
OG0000691	jg25695, jg25694	XP_048602160.1, XP_013676344.1
OG0000691	jg14485	XP_048612043.1
OG0000692	jg15901	XP_048609678.1, XP_048634286.1, XP_013692318.2, XP_013663673.1
OG0000692	jg15902	XP_013692317.2, XP_013663678.1, XP_013724456.1, XP_013648333.2
OG0000692	jg19597	XP_013673090.1, XP_013657030.1
OG0000693	jg15530	XP_013710482.2, XP_013672165.1, XP_013742366.2
OG0000693	jg18797	XP_013734568.2, XP_013716868.1, XP_048636437.1, XP_013748038.1
OG0000693	jg19220	XP_022574124.1, XP_022557226.1, XP_013692297.2, XP_013748037.1
OG0000694	jg16966	XP_048633672.1, XP_048633671.1, XP_013743891.1
OG0000694	jg17004, jg16990	XP_048612354.1, XP_022573888.2, XP_048597410.1, XP_013659076.1, XP_013734122.1, XP_013746597.2, XP_022573891.2, XP_048611937.1
OG0000695	jg3061	XP_022569842.2, XP_013707952.2, XP_013649689.2
OG0000695	jg890	XP_013701202.2, XP_013672251.1, XP_013745313.1, XP_013701106.1
OG0000696	jg30012	XP_013655520.1, XP_013749020.1, XP_013717539.1, XP_013724772.1, XP_013640363.1, XP_013686923.1, XP_013749742.1, XP_013693302.1, XP_013741030.2
OG0000697	jg33312, jg33219	XP_048637759.1, XP_048616389.1
OG0000698	jg9105	XP_013652530.2
OG0000698	jg8978	XP_013691686.3
OG0000699	jg19081	XP_048636463.1
OG0000699	jg12157	XP_013748951.2, XP_048627309.1, XP_013687456.1
OG0000702	jg5269	XP_013659613.1, XP_013667682.1, XP_013714887.1, XP_013727891.2, XP_013712807.1
OG0000702	jg13510	XP_013644636.2, XP_013707604.2
OG0000702	jg23933	XP_013730598.2, XP_048614356.1
OG0000703	jg4113	XP_013668363.1, XP_048624324.1
OG0000703	jg18782	XP_013687601.2, XP_048612031.1
OG0000703	jg15218	XP_022559733.1, XP_013750000.3
OG0000704	jg10608	XP_013746931.2, XP_048627597.1, XP_048632079.1, XP_013659142.1, XP_013669107.1, XP_048601479.1, XP_013746930.1, XP_013715956.1
OG0000705	jg19721	XP_013725471.2, XP_013691612.2
OG0000706	jg6398, jg6397	XP_048602282.1
OG0000707	jg24863	XP_048600743.1, XP_022545225.2
OG0000708	jg29593	XP_013712580.3, XP_013708411.2
OG0000709	jg15043	XP_013662914.2, XP_048620501.1
OG0000709	jg5626	XP_048625028.1, XP_048625029.1
OG0000710	jg29845	XP_013673589.1, XP_013641365.2, XP_013674760.1, XP_048590921.1, XP_048621242.1, XP_013693652.2, XP_013664663.1, XP_013664664.2, XP_048621251.1, XP_048627255.1, XP_048627119.1, XP_048597714.1, XP_013712107.2, XP_048621249.1, XP_048627257.1, XP_013708896.1, XP_013693719.2
OG0000711	jg16816	XP_013681372.1, XP_013681488.1
OG0000711	jg16817	XP_022556891.2
OG0000712	jg9122	XP_013666703.2
OG0000712	jg6363	XP_048601165.1, XP_048636011.1
OG0000714	jg12325	XP_013742985.2, XP_022550379.1, XP_022556851.2, XP_022573842.2
OG0000714	jg2184	XP_022551747.2, XP_048610962.1
OG0000715	jg7653, jg7652, jg7651	XP_013713902.1, XP_013699153.2, XP_013735499.1, XP_048606949.1, XP_013678010.2
OG0000717	jg30653, jg30655, jg30654	XP_013695131.1, XP_013642321.2, XP_013706687.1, XP_013722142.2, XP_013708587.2, XP_013669935.1, XP_013651629.1
OG0000718	jg3840	XP_013731818.1
OG0000719	jg22922	XP_013652951.2, XP_013681055.2, XP_013710571.2, XP_013710460.2, XP_013714837.1, XP_013715770.2, XP_013691323.2
OG0000719	jg29456, jg13625, jg13628	XP_013710771.1, XP_013655355.1, XP_048638088.1, XP_022558515.1
OG0000720	jg16333	XP_013648518.2, XP_048616268.1, XP_013749433.2, XP_013711819.2
OG0000720	jg8009	XP_022570032.1, XP_048632067.1, XP_048626301.1, XP_048612379.1, XP_013676984.1
OG0000720	jg28582	XP_048621817.1, XP_013710785.2
OG0000721	jg25749	XP_048626479.1
OG0000722	jg2566	XP_013750525.1, XP_013690926.1, XP_048591841.1, XP_013743731.1, XP_013728862.1
OG0000722	jg29905	XP_048597698.1, XP_013677795.1, XP_013657379.1, XP_048638229.1, XP_013693025.1
OG0000723	jg26920	XP_013660850.2, XP_013737459.2
OG0000723	jg6538, jg6537	XP_013647307.1, XP_013643810.2, XP_013643985.1, XP_048591108.1
OG0000724	jg27921	XP_022574511.1, XP_013742334.1, XP_048611332.1
OG0000725	jg11146	XP_048633007.1, XP_022561712.2
OG0000727	jg33545	XP_013655345.1
OG0000728	jg5720	XP_013730298.2, XP_048608899.1
OG0000728	jg5724	XP_013740223.2, XP_013740224.2, XP_013681903.1
OG0000729	jg12501	XP_048596044.1, XP_048596498.1, XP_013749996.1, XP_048604902.1, XP_048619976.1, XP_048629401.1, XP_048604930.1, XP_048605088.1, XP_048629760.1, XP_048630638.1, XP_013713621.1, XP_048633277.1, XP_048630542.1, XP_013709195.1, XP_048605561.1, XP_048633281.1, XP_048622811.1, XP_048600055.1, XP_048624890.1, XP_013701035.1
OG0000730	jg13121	XP_048624512.1, XP_048596672.1, XP_048596671.1, XP_048624511.1, XP_048600105.1, XP_022560165.2, XP_022555796.2, XP_013703839.1, XP_013664910.1
OG0000730	jg29875	XP_013641353.2, XP_013673140.2, XP_013676233.1, XP_013664680.1
OG0000731	jg13303	XP_048637160.1, XP_013727593.3, XP_013703997.3, XP_048626930.1, XP_048620195.1, XP_048618010.1, XP_048637162.1, XP_048602879.1, XP_013729200.1, XP_013733822.2
OG0000731	jg13301, jg13300, jg13302	XP_013644847.2
OG0000732	jg15206	XP_048633967.1, XP_013714400.1
OG0000733	jg13883, jg32285, jg11719	XP_048637527.1
OG0000733	jg19855	XP_013658792.2
OG0000734	jg14522	XP_013707864.1, XP_022570808.2, XP_013640549.1, XP_013720072.1, XP_013675062.1, XP_013701996.1, XP_013683328.1
OG0000735	jg6374	XP_048637709.1
OG0000735	jg22455	XP_022543947.2, XP_013674581.1
OG0000735	jg22454	XP_048617352.1
OG0000736	jg4856	XP_013723249.1, XP_013668159.1, XP_013680282.1, XP_048627693.1
OG0000736	jg8490	XP_013703890.1, XP_013738561.1
OG0000737	jg8415	XP_013647553.1, XP_048619416.1
OG0000737	jg8416	XP_013705677.2, XP_013647554.2
OG0000737	jg16766	XP_013686538.1, XP_013710235.1, XP_013660073.2
OG0000738	jg18389	XP_013692892.1, XP_022574989.2, XP_022553201.2, XP_013740481.3, XP_048608412.1, XP_013734199.1
OG0000738	jg18427	XP_013696925.2, XP_048610902.1, XP_048636703.1
OG0000739	jg1966	XP_013697044.1, XP_022564003.2, XP_013666411.1, XP_013696307.2
OG0000739	jg8637	XP_013646527.1
OG0000741	jg25329	XP_013684767.1, XP_013686960.1
OG0000741	jg22529	XP_013702714.2, XP_013682764.1, XP_013734031.1
OG0000744	jg5732	XP_013730364.1, XP_048608017.1
OG0000744	jg7670	XP_013661130.2
OG0000749	jg29796, jg29795	XP_048618752.1, XP_048618755.1, XP_048618756.1, XP_013644815.1
OG0000749	jg31164	XP_013711782.1
OG0000750	jg411	XP_048595701.1, XP_048625963.1
OG0000751	jg4130	XP_048624157.1, XP_022554178.1, XP_013730128.1, XP_022565449.1, XP_013675485.1, XP_013659213.1, XP_048637901.1, XP_048604454.1, XP_013666192.2
OG0000752	jg6373	XP_013659137.2, XP_048602302.1, XP_013675341.1, XP_048602307.1, XP_048617917.1, XP_013647225.2, XP_013705117.1, XP_013647227.2
OG0000752	jg4905	XP_013726417.2, XP_048607850.1
OG0000753	jg32585	XP_013703339.2, XP_013711851.2
OG0000753	jg7800, jg7801	XP_013664576.1, XP_013701030.1
OG0000754	jg32553	XP_048621678.1, XP_022545522.2
OG0000754	jg27368	XP_013736728.2, XP_022555418.2, XP_048595535.1, XP_048594844.1
OG0000755	jg793	XP_013751028.2
OG0000755	jg7774, jg7775	XP_013661982.2, XP_013641787.1
OG0000755	jg7777	XP_048596722.1
OG0000755	jg7776	XP_013661981.2, XP_022555718.1
OG0000756	jg6649	XP_022563077.1, XP_022547547.1
OG0000756	jg20649	XP_022561299.1, XP_048637394.1, XP_013715333.2, XP_013682132.2
OG0000757	jg3980	XP_013682353.1, XP_013703612.1
OG0000757	jg15310, jg18918	XP_013651900.1, XP_022546826.1
OG0000758	jg18280	XP_013748705.1, XP_013692825.1
OG0000758	jg30083	XP_013646630.1, XP_013688969.2
OG0000759	jg18040	XP_013733968.1, XP_022554692.1
OG0000760	jg15605	XP_048633902.1, XP_013693676.1, XP_013663429.1
OG0000761	jg26167	XP_048632487.1
OG0000761	jg26166	XP_013698060.1, XP_048630925.1, XP_013725052.2
OG0000762	jg28193	XP_013671948.1, XP_048593087.1, XP_048619842.1, XP_048620373.1, XP_048593093.1
OG0000762	jg28192, jg28191	XP_013708766.2, XP_048621074.1, XP_048597536.1
OG0000763	jg33628	XP_048629879.1, XP_048628098.1, XP_048629690.1, XP_013672981.1, XP_013732602.1, XP_048594386.1, XP_013670370.2, XP_048629687.1, XP_048626472.1, XP_013719112.1
OG0000763	jg33630	XP_048627914.1, XP_048637701.1, XP_013640458.1, NP_001302979.1, XP_013640461.2, XP_013643635.1
OG0000764	jg33255	XP_048606490.1, XP_048594443.1, XP_022564918.2, XP_048636968.1, XP_013725276.2, XP_048616384.1, XP_013640770.2
OG0000764	jg33205	XP_048637782.1, XP_022560916.1, XP_013701468.3, XP_048637793.1
OG0000766	jg33562, jg33565, jg33563, jg33605	XP_048601808.1, XP_013746475.2
OG0000766	jg33662	XP_048615594.1
OG0000768	jg7542	XP_022545486.1
OG0000769	jg30318, jg32228, jg20879, jg13556	XP_048613182.1, XP_013657354.2
OG0000772	jg13621	XP_048591300.1, XP_048618109.1, XP_048631456.1, XP_013665668.2, XP_013698108.1, XP_013687495.2
OG0000773	jg13678	XP_013674913.2, XP_048621851.1
OG0000774	jg9824	XP_013738098.1, XP_013707550.2, XP_013656535.2, XP_013697632.1, XP_048598326.1
OG0000775	jg24987, jg24986	XP_013640887.1, XP_048600697.1, XP_013640888.1, NP_001302941.1, XP_013750304.2, XP_013672784.1, XP_013648149.2, XP_013684730.1
OG0000776	jg19236	XP_013734555.2
OG0000776	jg25072, jg24843	XP_048612270.1, XP_022575597.1, XP_048600762.1, XP_048606150.1, XP_048615286.1, XP_013736065.1
OG0000777	jg33661	XP_048629872.1, XP_013740478.1, XP_048636903.1, XP_013727885.1
OG0000779	jg10300	XP_013672059.2, XP_048618979.1, XP_013737566.1
OG0000779	jg7672	XP_013661131.2, XP_048629926.1, XP_013674959.1
OG0000779	jg11290	XP_022566124.1
OG0000780	jg8480	XP_048633682.1, NP_001302750.1
OG0000780	jg16653	XP_048633567.1, XP_013671397.1, XP_013712562.1, NP_001303082.1
OG0000780	jg4847	XP_048602765.1, XP_048626278.1, XP_013678689.2
OG0000781	jg19730	XP_013734745.2, XP_013683854.2, XP_048631784.1, XP_013683852.1, XP_013690683.1, XP_013744361.1
OG0000781	jg19731	XP_022557928.1, XP_013688467.1
OG0000782	jg26302	XP_013718177.2, XP_022557528.2, XP_048635053.1
OG0000783	jg6008	XP_048599027.1, XP_048628527.1, XP_013717635.1, XP_013717661.1, XP_013680187.2
OG0000784	jg14210	XP_013670064.1
OG0000784	jg6087	XP_013715809.1, XP_013682206.2
OG0000785	jg9051	XP_048606374.1, XP_048594832.1, XP_013664221.1, XP_013735164.2
OG0000785	jg4219	XP_022549370.2, XP_013729408.3
OG0000786	jg31666, jg31667	XP_022546470.2, XP_013665729.1, XP_048637059.1
OG0000786	jg23062	XP_048609680.1, XP_048603201.1
OG0000786	jg7465	XP_048617068.1
OG0000787	jg25201	XP_048605264.1, XP_048600625.1
OG0000787	jg25197, jg25198	XP_048605427.1, XP_048600636.1, XP_013651965.1
OG0000788	jg14268	XP_013721238.2, XP_013646893.2, XP_013677304.1, XP_013723968.2
OG0000788	jg23019	XP_048602534.1, XP_048605903.1, XP_013665866.1
OG0000788	jg14269	XP_013723965.2, XP_013670264.2
OG0000789	jg3643	XP_013702622.2, XP_048616297.1
OG0000789	jg25235	XP_013696540.3, XP_013648233.2, XP_048635890.1, XP_013685642.2, XP_022567020.1, XP_013673186.1
OG0000792	jg26182	XP_048609717.1, XP_022552682.1, XP_048603285.1
OG0000793	jg6618, jg17299, jg27947, jg6619, jg3684	XP_048611778.1, XP_048604907.1, XP_022551670.2, XP_048603415.1, XP_013739655.1, XP_013705799.2
OG0000793	jg13784	XP_048593219.1
OG0000794	jg17744, jg17748, jg17745, jg17749, jg17782	XP_048633759.1, XP_022574399.1, XP_048633760.1, XP_013733667.3, XP_022547455.1, XP_013735366.2
OG0000795	jg9782, jg14748	XP_048627157.1, XP_022551941.2, XP_048626752.1, XP_022555820.1
OG0000798	jg10881	XP_013737344.1, XP_013742011.1, XP_013737322.1, XP_013737210.1, XP_013697744.2, XP_013726597.1, XP_013737701.1, XP_013733809.1, XP_048595036.1, XP_022550562.1
OG0000798	jg10949, jg18704	XP_013677039.2
OG0000800	jg13156, jg13154	XP_013692450.2
OG0000801	jg24995, jg4212	XP_013729417.1, XP_013729416.2
OG0000801	jg4215	XP_013650801.3, XP_013724535.2
OG0000801	jg24996	XP_013672779.1, XP_013750224.2
OG0000802	jg20453	XP_022543742.2, XP_013733253.1
OG0000802	jg31565	XP_013657792.1, XP_048596397.1, XP_013667657.1
OG0000802	jg10755	XP_022569639.2, XP_013671098.2
OG0000803	jg10600	XP_013660890.2, XP_013734018.1, XP_013660891.1
OG0000803	jg10602, jg10601	XP_048632072.1
OG0000804	jg12639	XP_048633423.1, XP_013720317.2
OG0000804	jg22155, jg22181	XP_013750933.2, XP_048636158.1
OG0000806	jg19791, jg19790	XP_022574634.1, XP_013725463.1
OG0000806	jg20857	XP_013692443.1, XP_022571482.1
OG0000807	jg19776	XP_013680861.1, XP_022574268.2, XP_013725415.2
OG0000807	jg23902	XP_013657922.1, XP_013724353.1, XP_013658692.2, XP_013646088.1
OG0000807	jg23903	XP_013739257.2, XP_013684276.2, XP_022575700.2, XP_048636274.1
OG0000808	jg17854	XP_013676424.1, XP_048633780.1, XP_048592839.1
OG0000808	jg14426	XP_048601822.1
OG0000808	jg22860	XP_013682382.2, XP_013732490.1
OG0000809	jg31093	XP_013655625.2, XP_048592664.1, XP_013721784.1, XP_013685285.1, XP_048606753.1, XP_048614603.1
OG0000809	jg2524	XP_013649368.1, XP_013703047.1
OG0000810	jg33214, jg33216, jg33213	XP_013701613.3
OG0000812	jg14774	XP_013646988.1, XP_013718193.1, XP_013749848.1, XP_013745093.1, XP_013749847.1
OG0000813	jg25824, jg25827	XP_013679776.1, XP_048609093.1, XP_013739397.2
OG0000813	jg25821, jg25823	XP_048635673.1, XP_022575356.2, XP_013713442.1
OG0000814	jg22947, jg7014, jg22948	XP_013645522.1, XP_022563709.2, XP_013645524.1, XP_048606050.1, XP_013709223.3
OG0000815	jg5917, jg27926	XP_048614932.1, XP_048620457.1
OG0000818	jg14771	XP_013718113.1
OG0000818	jg9671	XP_013671621.1, XP_013699469.2, XP_013671620.1, XP_013673864.2
OG0000819	jg2066	XP_013672778.1, XP_013750227.2
OG0000819	jg15594	XP_013648021.2, XP_013698571.2, XP_013742312.1, XP_013698297.1, XP_013663436.1, XP_013742450.1
OG0000821	jg21878	XP_048598705.1, XP_022569216.1, XP_013640566.1, XP_013674757.1, XP_013710533.2
OG0000821	jg21876	XP_013640564.1, XP_048610235.1, XP_013674759.1
OG0000823	jg20328	XP_013707220.1, XP_013696642.2, XP_013677262.1, XP_013696519.1, XP_048628773.1, XP_013726268.2, XP_013714565.1
OG0000823	jg10866	XP_013655952.1, XP_013697151.1, XP_013737312.2, XP_022572484.2, XP_013724347.2, XP_013676771.2
OG0000824	jg31967, jg31966, jg12014	XP_013685760.1, XP_013717489.2
OG0000824	jg7391	XP_013687949.1, XP_013677350.1, XP_013695278.1, XP_013685963.1
OG0000825	jg16216	XP_013648450.1, XP_048616211.1
OG0000825	jg20027	XP_013734842.2, XP_013725852.1, XP_013747886.2
OG0000826	jg17154, jg17149, jg20671	XP_048608880.1
OG0000826	jg19800	XP_013692804.1, XP_013692665.1, XP_048611236.1, XP_048634751.1
OG0000827	jg22321	XP_013707553.1, XP_013666722.1
OG0000827	jg3893, jg3894	XP_013720169.2, XP_048630770.1, XP_048624394.1
OG0000828	jg6099, jg21117, jg18394	XP_013679381.2, XP_048608421.1, XP_013739005.2
OG0000829	jg5587	XP_048607977.1
OG0000830	jg8314	XP_048622434.1, XP_013729997.1, XP_013642031.1, XP_048594040.1, XP_013706155.1, XP_013653450.1, XP_048592758.1
OG0000830	jg3257	XP_013717953.2, XP_013701838.1
OG0000831	jg30585	XP_022543040.1, XP_013653429.1
OG0000831	jg30587	XP_013727415.1, XP_048594036.1, XP_013741491.2
OG0000832	jg21269	XP_048594226.1
OG0000832	jg16861	XP_048596492.1
OG0000833	jg25500	XP_013719749.2, XP_048612995.1, XP_048635790.1, XP_013719747.1, XP_022550946.1, XP_013644686.2, XP_048609040.1, XP_013736270.2, XP_048609043.1, XP_013736272.2
OG0000833	jg33550	XP_013645059.1, XP_013751356.2
OG0000834	jg25992	XP_048612874.1, XP_013708066.1, XP_048613486.1, XP_013708424.2
OG0000835	jg26050	XP_048594083.1, XP_013658340.1, XP_013692174.1, XP_013736454.1, XP_048634897.1, XP_013749341.2, XP_013706636.1
OG0000835	jg33079	XP_022572204.2, XP_013714944.1, XP_022569595.1, XP_013720639.1, XP_013749109.2, XP_048636329.1, XP_013721217.1
OG0000836	jg15652, jg15729	XP_013748986.3, XP_048620697.1, XP_048620699.1, XP_048620700.1, XP_048620698.1, XP_013708624.1, XP_013704324.2, XP_048620696.1, XP_022570324.2
OG0000837	jg29600	XP_048621321.1
OG0000838	jg1494	XP_048611931.1, XP_022565909.2
OG0000841	jg17308	XP_013689554.1
OG0000842	jg13311, jg13310	XP_013707031.2, XP_013644752.1, XP_013733743.1
OG0000842	jg13313	XP_013655426.2, XP_013708392.1, XP_013674227.2, XP_013729212.1
OG0000842	jg13314	XP_013655423.2, XP_048625558.1
OG0000843	jg23076	XP_013674460.2, XP_013695667.2
OG0000844	jg24889	XP_022575577.1, XP_013750381.1, XP_013739339.2, XP_048600737.1, XP_013724130.2
OG0000844	jg4020	XP_048598654.1, XP_013747656.2, XP_048624353.1, XP_048607721.1, XP_013725099.2
OG0000845	jg14675, jg21716	XP_013671253.1, XP_013641955.1, XP_013680915.1, XP_013739563.1, XP_013669920.1, XP_013657003.1, XP_013706284.1, XP_013680895.1, XP_013727067.1, XP_022571381.1
OG0000846	jg9057, jg9056	NP_001303176.1, XP_013735165.2, XP_022562697.1, XP_013707700.2
OG0000847	jg4785	XP_013652260.2, XP_013700968.2, XP_013741053.1, XP_013715362.2, XP_013737494.1
OG0000847	jg23461	XP_013667291.2, XP_048625794.1, XP_048603256.1, XP_013700922.2, XP_013643130.2, XP_013672892.1
OG0000848	jg8160	XP_013735333.2, XP_013732713.1, XP_022569746.1, XP_013722755.2
OG0000849	jg20075	XP_013746849.1, XP_048634797.1, XP_013709936.1, XP_013751996.1
OG0000849	jg8149	XP_013732716.2, XP_013732715.2
OG0000850	jg19981	XP_048609362.1
OG0000850	jg16180	XP_013741936.1, XP_013646094.2
OG0000851	jg19469	XP_013747807.2, XP_013691973.1
OG0000853	jg27529, jg7904	XP_048607005.1, XP_048607004.1, XP_013676552.2, XP_013688552.1, XP_048595206.1, XP_013688553.1, XP_022544981.2
OG0000854	jg17795	XP_048633763.1, XP_022556995.1, XP_013647671.3, XP_013692534.1
OG0000854	jg29161	XP_013716496.2, XP_013697513.2, XP_048594250.1, XP_013729511.1, XP_013711604.1, XP_013641124.2
OG0000855	jg14598	XP_048638604.1, XP_022553540.2, XP_013710285.2, XP_022550736.1, XP_013693304.2, XP_013742223.1
OG0000855	jg23222	XP_048603331.1, XP_013664554.2, XP_048629745.1, XP_013661178.2, XP_013707358.2, XP_013642907.2, XP_013721080.1
OG0000857	jg13905	XP_013658061.3, XP_013707079.1
OG0000857	jg14743	NP_001302880.1, XP_013642419.2, XP_013745226.2, XP_013680432.2
OG0000858	jg26666, jg26665	XP_013669820.2, XP_013730341.2, XP_013724423.1, XP_013730349.2, XP_013751027.2, XP_013699630.1, XP_013751026.1
OG0000859	jg16191, jg16274, jg16195	XP_048622953.1, XP_048627097.1, XP_048616249.1, XP_048616248.1
OG0000860	jg6102	XP_013701844.2, XP_013715890.1, XP_022547511.1, XP_048608096.1, XP_013715984.2, XP_048608101.1, XP_048617184.1, XP_048602520.1, XP_048605819.1
OG0000860	jg20854, jg22914, jg6107	XP_013679056.2
OG0000860	jg6109	XP_048623299.1, XP_013665871.2
OG0000861	jg28664	XP_048599193.1
OG0000861	jg32295	XP_048615672.1, XP_048628136.1, XP_048629605.1, XP_048628245.1, XP_048628132.1, XP_048628251.1, XP_048628134.1, XP_048629611.1, XP_048628145.1, XP_048628252.1, XP_048616714.1, XP_048616713.1, XP_048616715.1, XP_048616716.1, XP_048615673.1
OG0000862	jg27667, jg17127	XP_048600643.1, XP_048606315.1, XP_048606351.1, XP_013713786.2, XP_048605386.1, XP_048605287.1, XP_048600627.1, XP_048600634.1, XP_048600629.1, XP_048600633.1, XP_048600631.1, XP_048600632.1, XP_048600628.1, XP_048600630.1, XP_048605322.1, XP_048605356.1, XP_048600639.1, XP_048605545.1, XP_048600637.1, XP_048605577.1, XP_048605668.1, XP_048605633.1, XP_048605607.1, XP_048600638.1
OG0000863	jg11231, jg11229	XP_013660283.2, XP_048630309.1, XP_048630143.1, XP_013666211.1
OG0000867	jg2094, jg1355, jg2095	XP_013716215.1, XP_048604202.1, XP_013645823.2, XP_022545155.2, XP_013645829.2
OG0000868	jg4451, jg4440	XP_013715514.1, XP_013670840.2, XP_048607779.1, XP_048624644.1, XP_048602977.1, XP_048602654.1
OG0000868	jg25143	XP_013747462.1, XP_048607280.1, XP_013697170.1, XP_013750103.1, XP_013711963.3
OG0000869	jg20329	XP_022572488.1, XP_022562703.1, XP_013726230.1, XP_048628774.1, XP_013677263.1, XP_013696530.1, XP_013697483.1, XP_013703132.1, XP_013714567.1
OG0000869	jg10865	XP_013738324.1, XP_048637952.1, XP_013724498.1, XP_013655953.1
OG0000870	jg31345	XP_013682179.2, XP_013655112.2
OG0000870	jg18476	XP_048601876.1, XP_013642150.2, XP_013748509.1
OG0000871	jg24070	XP_013750937.2, XP_048636156.1, XP_048606001.1, XP_013735698.1
OG0000872	jg18325, jg18324, jg18323	XP_048634359.1
OG0000873	jg5682	XP_048630795.1, XP_013683157.2, XP_048625011.1, XP_013745049.1, XP_013735760.2, XP_013681866.1, XP_013640642.1, XP_013660585.1, XP_013742258.2, XP_048614561.1
OG0000875	jg29010	XP_048612613.1
OG0000876	jg6136	XP_013672920.2, XP_013730921.3, XP_048617959.1, XP_048604352.1, XP_013678219.2
OG0000876	jg6137, jg6138	XP_048617963.1, XP_048617958.1, XP_013672922.1, XP_048632653.1
OG0000877	jg20005	XP_013750994.1, XP_013750996.1, XP_048610338.1
OG0000877	jg16189, jg16272, jg16194	XP_048616247.1, XP_048616246.1, XP_048627098.1
OG0000878	jg809	XP_048633609.1, XP_013669375.1, XP_048633626.1
OG0000878	jg32895, jg808	XP_013650494.2, XP_013735848.1, XP_013665066.2
OG0000879	jg29011, jg29013	XP_048599214.1
OG0000883	jg8883	XP_022570096.1, XP_013729691.1, XP_013750767.2, XP_013723536.1, XP_013684418.1, XP_013735787.2
OG0000884	jg2396	XP_048611420.1, XP_013659973.1, XP_013699708.2, XP_013652241.3, XP_048615851.1
OG0000884	jg31179	XP_013655160.1, XP_048626648.1, XP_048606778.1, XP_013642123.1, XP_022571531.1, XP_048592645.1, XP_022556418.1
OG0000885	jg22684, jg9631	XP_013705682.1, XP_013671668.1, XP_013750362.2
OG0000886	jg20963	XP_013644990.1, XP_013692216.2, XP_013712226.1, XP_013726672.1, XP_048603511.1
OG0000887	jg20122	XP_048597455.1, XP_013716852.2
OG0000888	jg15877	XP_022562947.1, XP_013648351.1, XP_013714457.1, XP_048597212.1, XP_013663647.1, XP_013728924.1
OG0000888	jg19566	XP_013688167.1, XP_048636342.1, XP_013687877.1, XP_013744991.1, XP_013724355.1, XP_013683765.2
OG0000889	jg22862	XP_013682427.1, XP_048606307.1
OG0000889	jg15476	XP_013710403.1, XP_013686631.1, XP_013647993.2, XP_048616768.1, XP_013742338.1, XP_022568098.1
OG0000889	jg14428	XP_013719102.1, XP_013716583.1
OG0000890	jg15302	XP_013647940.1, XP_013702641.2, XP_013661164.1, XP_013678309.1
OG0000890	jg18906, jg18903	XP_013689046.2, XP_013723941.1, XP_022574097.2, XP_013744730.2, XP_013748343.2, XP_013692064.2
OG0000891	jg30805	XP_048596941.1, XP_013749522.2
OG0000891	jg30806	XP_013653375.2, XP_013666532.1, XP_013722057.1, XP_013730498.2
OG0000892	jg6431, jg6432	XP_013663090.2, XP_013703680.1, XP_013675348.2, XP_013700073.1, XP_022543302.1, XP_013731520.3, XP_022575338.1, XP_048635634.1, XP_013718657.1, XP_013655505.1, XP_013741092.2
OG0000895	jg26907	XP_013657073.1, XP_013688159.2, XP_048596532.1, XP_022569985.1, XP_048619474.1, XP_048593178.1
OG0000897	jg18954	XP_013723878.1, XP_013734715.2
OG0000898	jg33386	XP_013701392.1, XP_048629576.1, XP_048637737.1, XP_013724786.2, XP_013655530.2, XP_013724788.2, XP_048594430.1, XP_048624728.1, XP_048598845.1, XP_013700425.1, XP_013724781.2, XP_013655534.1, XP_013655529.1, XP_048606502.1
OG0000899	jg32095, jg32328, jg27885, jg32120, jg32126, jg32131	XP_013710711.1, XP_048596148.1, XP_048624206.1, XP_048611412.1, XP_048619713.1, XP_013730059.2, XP_048623439.1, XP_013675256.1, XP_013724981.2
OG0000900	jg29813, jg29812	XP_013731076.2, XP_048621261.1, XP_013712649.2
OG0000900	jg29814	XP_048622338.1, XP_013654506.2, XP_013657352.1
OG0000901	jg10994	XP_013671639.1, XP_013691433.1, XP_013707961.1, XP_013655763.2, XP_013671613.1, XP_013671625.1
OG0000902	jg4293	XP_022549392.1, XP_013737859.1, XP_013724163.2
OG0000902	jg25029	XP_013713866.1, XP_013730895.1, XP_048629189.1, XP_048615235.1, XP_013750248.1
