Orthogroup	Arabidopsis_arenosa	Aethionema_saxatile
OG0002594	jg25606	As011G247800
OG0002595	jg25654	As012G270810, As011G248280
OG0002596	jg25734	As011G248880
OG0002596	jg11095	As012G274650
OG0002597	jg25819	As011G249380
OG0002597	jg32878	As012G274080
OG0002598	jg25901, jg32929	As011G249910
OG0002600	jg24053, jg11318	As011G255050
OG0002601	jg17141, jg9143	As011G263820
OG0002602	jg33779, jg25274	As012G267890
OG0002603	jg26268, jg33282	As012G271860
OG0002604	jg33028	As012G273030
OG0002605	jg15615, jg19350, jg19348	As012G282930
OG0002606	jg15814, jg19518	As012G284350
OG0002607	jg16069	As012G286060, As012G286070
OG0002622	jg28237	As011G266930
OG0002622	jg9556	As001G000680
OG0002623	jg16906, jg9298	As001G003260
OG0002624	jg17191	As006G132160
OG0002624	jg9109	As001G006190
OG0002626	jg27659	As011G263160
OG0002626	jg8908	As001G014170
OG0002627	jg8895	As001G014270
OG0002627	jg27693	As011G263300
OG0002628	jg27763, jg27764	As011G263570
OG0002628	jg8856	As001G014800
OG0002629	jg18624	As004G078820
OG0002629	jg31718	As001G015750
OG0002630	jg18682	As004G079350
OG0002631	jg18702	As004G083150
OG0002631	jg10941	As001G017580
OG0002632	jg29285	As001G019060
OG0002633	jg29334	As008G188110
OG0002634	jg1124	As001G019900
OG0002634	jg29386	As008G187830
OG0002635	jg778	As001G021860
OG0002636	jg29956	As001G022990
OG0002637	jg29873	As008G183390
OG0002637	jg13126	As001G023970
OG0002639	jg13398	As001G025840
OG0002639	jg4013	As005G107930
OG0002640	jg13664	As001G027310
OG0002641	jg12519	As004G078380
OG0002641	jg13722	As001G027640
OG0002642	jg2246, jg12406	As001G028250
OG0002643	jg12244	As004G077380
OG0002643	jg2097	As001G028850
OG0002644	jg1797	As001G029730
OG0002645	jg22616	As002G048900
OG0002645	jg9862	As002G032620
OG0002647	jg10018	As007G163080, As007G163060
OG0002647	jg21618	As002G039660
OG0002648	jg22040, jg9648	As002G044830
OG0002649	jg4973, jg7212	As004G083470, As002G045400
OG0002650	jg22232	As002G046120
OG0002651	jg22287	As002G046390
OG0002651	jg9731	As006G132490
OG0002652	jg22636	As002G049070
OG0002652	jg28069	As011G265690
OG0002653	jg4922	As002G052290
OG0002653	jg6384	As009G215520
OG0002654	jg23576	As005G118680
OG0002654	jg4884	As002G052650
OG0002655	jg4830, jg23527	As002G053250
OG0002656	jg23465	As005G117600
OG0002656	jg4786	As002G053570
OG0002657	jg10803	As003G056450
OG0002657	jg20406, jg11178	As004G089010
OG0002658	jg10483, jg10482	As003G058870
OG0002659	jg10303	As003G060340
OG0002660	jg7646	As004G085180
OG0002660	jg10272	As003G060580
OG0002661	jg10156	As003G061470
OG0002661	jg7505	As004G084490
OG0002662	jg32239	As003G063950
OG0002662	jg7266	As004G080190
OG0002663	jg18450	As004G081750
OG0002663	jg31330	As003G068530
OG0002664	jg8772, jg8774	As003G072000, As003G071990
OG0002665	jg28072, jg27939	As011G264930
OG0002666	jg8686	As003G072660
OG0002667	jg27997, jg8676	As011G265360
OG0002668	jg8632, jg8634	As003G073280, As003G073270
OG0002669	jg16716	As007G179900
OG0002669	jg8558	As003G074060
OG0002670	jg16576	As007G180820
OG0002670	jg8391	As003G075640
OG0002671	jg12644	As004G077580
OG0002672	jg12545	As004G078520
OG0002673	jg7223	As004G080350
OG0002674	jg7655, jg7654	As004G085250
OG0002675	jg10454, jg7804	As004G086350
OG0002676	jg11651	As004G093110
OG0002676	jg26880	As011G258120, As011G258130
OG0002677	jg11606, jg11607	As004G093500
OG0002678	jg26685	As004G093530
OG0002678	jg11458	As004G094510
OG0002679	jg11311	As004G095650
OG0002679	jg26547	As011G254990
OG0002680	jg11300	As004G095740
OG0002680	jg26535	As011G254910
OG0002681	jg20042	As005G100710
OG0002681	jg16227	As012G287670
OG0002683	jg15825	As012G284450
OG0002684	jg19446, jg15747	As005G105950
OG0002685	jg3887	As006G142160, As005G106640
OG0002686	jg4156	As005G109060
OG0002686	jg5420	As009G201790, As009G201760
OG0002687	jg14299	As010G225290
OG0002687	jg22979	As005G114330
OG0002688	jg14362	As010G224920
OG0002688	jg22940	As005G114620
OG0002689	jg22892, jg22893, jg22894	As005G115500
OG0002690	jg14448	As010G224390
OG0002690	jg22891	As005G115510
OG0002691	jg14677	As010G222530
OG0002691	jg23318	As005G116360
OG0002692	jg8197	As006G121510
OG0002692	jg28450	As008G199080
OG0002693	jg28650	As008G197190
OG0002693	jg7879	As006G123750
OG0002694	jg20764	As006G124270
OG0002694	jg28692	As008G196950
OG0002695	jg18229	As006G127050
OG0002695	jg28929	As008G194410
OG0002696	jg29137	As006G129490
OG0002697	jg24786	As006G142000, As006G133830
OG0002698	jg24162	As006G136330
OG0002698	jg5572	As009G203310
OG0002699	jg24168	As006G136410
OG0002699	jg5577	As009G203390
OG0002700	jg24249	As009G204050, As006G137200
OG0002701	jg24669, jg21433	As006G140860
OG0002702	jg19299	As006G142520
OG0002703	jg19253	As006G142840
OG0002703	jg27958, jg31567	As011G265040
OG0002704	jg18852	As006G145710
OG0002705	jg15364, jg19054	As006G148860
OG0002706	jg3635	As010G242850
OG0002706	jg30121	As007G152830
OG0002707	jg2980	As010G240220
OG0002707	jg30320	As007G154380
OG0002708	jg3194, jg30491	As007G155940
OG0002709	jg3356, jg30676	As007G157250
OG0002710	jg30847	As007G158990
OG0002710	jg2768	As010G234240
OG0002711	jg30970	As007G159880
OG0002712	jg31157	As007G161180
OG0002715	jg12961, jg29976	As008G182490
OG0002716	jg29421, jg29420	As008G187170
OG0002717	jg5462, jg3252	As009G202340
OG0002718	jg5567, jg5566	As009G203250, As009G203380
OG0002719	jg6344, jg6343, jg6345	As009G215820
OG0002720	jg14975	As010G220600, As010G220610
OG0002721	jg14776	As010G221870, As010G221880
OG0002722	jg2508	As010G232310
OG0002723	jg3482, jg30782	As010G235340
OG0002725	jg25280, jg25279	As011G244940
OG0002726	jg25587	As011G247620
OG0002727	jg25671	As011G248410
OG0002728	jg33084	As012G272740
OG0002728	jg26053	As011G251250
OG0002729	jg33220	As012G271580
OG0002730	jg26368	As011G253790
OG0002731	jg26473	As011G254440
OG0002732	jg33390, jg33387, jg33388, jg33389, jg33391	As012G271000
OG0002733	jg33034, jg33030	As012G273010
OG0002734	jg18562	As012G275240
OG0002735	jg15548, jg15263	As012G276980
OG0002736	jg18964, jg15348	As012G278190
OG0002737	jg15614	As012G282920
OG0002753	jg9604	As001G000210
OG0002753	jg28290	As011G267350
OG0002754	jg9528	As001G000880
OG0002754	jg28223	As011G266760
OG0002755	jg17008	As007G177280
OG0002755	jg9227	As001G004000
OG0002757	jg27664	As011G263180
OG0002758	jg27780	As011G263700
OG0002759	jg11078	As004G078810
OG0002761	jg7392	As011G262270, As001G019870, As001G019840, As001G017230, As001G019880, As001G019890
OG0002762	jg766	As001G021940
OG0002762	jg29598	As008G185820
OG0002763	jg29978	As008G182460
OG0002764	jg29838	As008G183640
OG0002764	jg13167	As001G024270
OG0002766	jg12238	As004G077360
OG0002766	jg2070	As001G028940
OG0002767	jg567	As001G031510
OG0002768	jg9828	As002G032910
OG0002769	jg24869	As002G034270
OG0002770	jg21732	As002G042380
OG0002771	jg4836	As002G053190
OG0002771	jg23518	As005G118190
OG0002772	jg23373	As005G116840
OG0002772	jg4741	As002G054010
OG0002773	jg4589	As002G055290
OG0002773	jg23112, jg22829	As009G218230
OG0002774	jg10576	As003G058130
OG0002774	jg20646	As004G087290
OG0002775	jg10566, jg20655	As003G058200
OG0002776	jg10408	As003G059570
OG0002777	jg10364	As003G059960
OG0002778	jg10209, jg17052, jg14094, jg14087	As003G061140
OG0002779	jg32078	As003G063190, As003G063150, As003G063170
OG0002780	jg32276	As003G064140
OG0002781	jg16733	As007G179830
OG0002781	jg8568	As003G073970
OG0002782	jg16660	As003G074780, As007G180390
OG0002783	jg16536, jg8358, jg1110	As003G075620
OG0002784	jg10862	As004G089990
OG0002785	jg11929	As004G091710
OG0002785	jg27217	As011G259610
OG0002786	jg27182	As004G091990, As011G261140
OG0002787	jg11969	As004G092210
OG0002787	jg26998	As011G258720
OG0002788	jg11323	As004G095570
OG0002788	jg26564	As011G255120
OG0002789	jg26516	As011G254740
OG0002789	jg11281	As004G095840
OG0002790	jg26457, jg26460	As011G254310, As004G096070
OG0002791	jg11175, jg26362	As004G096460
OG0002792	jg12631, jg24579, jg24617	As004G097100
OG0002793	jg20107	As005G099990
OG0002793	jg16285	As012G288160
OG0002794	jg16133	As012G286850
OG0002795	jg16089	As005G102310
OG0002796	jg19693	As005G103720, As005G103730
OG0002797	jg15801	As012G284220
OG0002798	jg19466, jg15753	As005G105660
OG0002799	jg18992	As005G106610
OG0002800	jg4105, jg2325	As005G108500
OG0002801	jg14003, jg13978	As005G112300, As010G227050
OG0002802	jg14053, jg5974	As005G112600
OG0002803	jg14504	As010G224010
OG0002803	jg22804	As005G115960
OG0002804	jg23684	As005G119640
OG0002805	jg17989	As006G121540, As006G128670
OG0002806	jg8074	As006G122540
OG0002807	jg7905, jg28659	As006G123850
OG0002808	jg18315	As006G126320
OG0002808	jg28850	As008G195220
OG0002809	jg18196	As006G127320
OG0002810	jg29015	As006G127830
OG0002811	jg17918	As006G128950, As006G128980
OG0002812	jg17651	As006G130890
OG0002812	jg29196	As008G190700
OG0002813	jg23925	As006G132910
OG0002814	jg5386	As009G200910
OG0002814	jg24025	As006G135200
OG0002815	jg24169	As006G136420
OG0002816	jg24285, jg24296	As006G137410
OG0002817	jg5693	As009G204350
OG0002818	jg24394	As006G138270
OG0002818	jg6697	As009G206780
OG0002819	jg5754	As009G204860
OG0002819	jg24550	As006G139750
OG0002820	jg24588, jg24586, jg24587	As006G140110
OG0002821	jg24633, jg21539	As006G140460
OG0002822	jg24339	As006G144050
OG0002823	jg15199, jg18756	As006G144770
OG0002824	jg15327, jg18949	As006G146920
OG0002825	jg3744	As010G243950
OG0002825	jg30035	As007G152100
OG0002826	jg3668	As010G243210
OG0002827	jg30272, jg2900	As007G153850
OG0002828	jg30275	As007G153940
OG0002828	jg2905	As010G241060
OG0002829	jg2967	As007G154360
OG0002830	jg3109	As010G238970
OG0002830	jg30407	As007G155230
OG0002831	jg3128	As010G238770
OG0002831	jg30419	As007G155350
OG0002832	jg30594	As007G156660
OG0002832	jg3286	As010G237250
OG0002833	jg30595	As007G156670
OG0002833	jg3287	As010G237240
OG0002834	jg30956, jg2639	As007G159790
OG0002835	jg2503	As010G232250
OG0002835	jg31124	As007G160850
OG0002836	jg2462, jg31156	As007G161170
OG0002837	jg2408, jg31175	As007G161340
OG0002838	jg10051, jg21641	As007G162790
OG0002840	jg8388, jg16572	As007G180880
OG0002841	jg18318, jg28848	As008G195240
OG0002842	jg13727, jg28639	As008G197280, As008G197290, As008G197270
OG0002843	jg6204	As009G217030
OG0002844	jg5314	As009G200670
OG0002845	jg5733, jg24565	As009G204620
OG0002846	jg21592, jg21593, jg14640	As009G207360
OG0002847	jg33796	As009G211870, As009G211860
OG0002848	jg6309, jg14781, jg21514	As009G216240
OG0002849	jg14768	As010G221970
OG0002849	jg6284	As009G216340
OG0002850	jg23122	As009G218290
OG0002850	jg23118	As009G216690
OG0002851	jg6217	As009G216910
OG0002851	jg14710	As010G222370
OG0002852	jg6208	As009G216990
OG0002853	jg23129	As009G218380
OG0002854	jg22793, jg16801, jg16800	As009G219520, As009G219510, As009G219570, As009G219550
OG0002855	jg23958, jg22783	As009G219680
OG0002856	jg14517	As009G219710, As010G223780
OG0002857	jg14880, jg14881	As010G221240
OG0002858	jg14759	As010G222090, As010G222100, As010G222110
OG0002859	jg14398	As010G224720
OG0002860	jg8902, jg27671	As010G226110, As011G263240
OG0002861	jg28549, jg2717	As010G233890
OG0002862	jg3095	As010G239100
OG0002863	jg3689, jg30078	As010G243440
OG0002864	jg33707	As012G268420
OG0002864	jg25328	As011G245390
OG0002865	jg33670	As012G268900
OG0002865	jg25370	As011G245720
OG0002867	jg25414	As011G246110
OG0002867	jg33643	As012G269170
OG0002868	jg25589, jg17500, jg33488	As011G247630, As012G270140
OG0002869	jg26209	As011G252800
OG0002871	jg27548	As011G262600
OG0002872	jg10363, jg27754	As011G263520
OG0002873	jg28061	As011G265610
OG0002874	jg28324, jg9623	As011G267620
OG0002875	jg33226	As012G271600
OG0002876	jg17711, jg17713	As012G271660
OG0002876	jg33038	As012G272980
OG0002877	jg15440, jg19126	As012G281230
OG0002878	jg15609	As012G282870
OG0002879	jg15675, jg19413	As012G283630
OG0002880	jg15746	As012G283930
OG0002881	jg20295, jg15795	As012G284190
OG0002890	jg28288	As011G267320
OG0002890	jg9600	As001G000270
OG0002891	jg16850	As007G179070
OG0002891	jg9365	As001G002500
OG0002892	jg17067	As007G176760
OG0002892	jg9201	As001G004370
OG0002893	jg9187, jg17090	As001G004560
OG0002894	jg14149	As010G226250
OG0002894	jg9126	As001G005380
OG0002895	jg17229	As006G131970
OG0002895	jg9093	As001G005770
OG0002896	jg9002	As001G012130
OG0002896	jg27472	As011G262260
OG0002897	jg8877	As001G014440
OG0002897	jg27747	As011G263470
OG0002898	jg25731	As001G014610
OG0002899	jg31862, jg18677	As001G016720
OG0002900	jg18699	As004G079980
OG0002900	jg10928	As001G017470
OG0002902	jg768	As001G021920
OG0002903	jg30001, jg30004, jg30003	As001G022250
OG0002904	jg12992	As001G023030
OG0002905	jg13580	As001G026940
OG0002906	jg506, jg12754	As001G031240
OG0002907	jg22645	As002G049140
OG0002907	jg9877	As002G032540
OG0002908	jg22703	As002G034870, As002G049680
OG0002909	jg25000	As002G036070
OG0002909	jg4225	As009G214320
OG0002910	jg4407	As009G212330
OG0002910	jg25117	As002G037490
OG0002911	jg25196, jg5197	As002G039050
OG0002912	jg22134	As002G045830
OG0002912	jg31086	As006G132290
OG0002913	jg22253, jg9726	As002G046250
OG0002914	jg9798	As002G047770, As006G134250
OG0002915	jg22709, jg22722	As002G049850
OG0002916	jg31270, jg31247	As002G050530
OG0002917	jg5035, jg6513	As002G051300
OG0002918	jg6165, jg4672	As002G054630
OG0002919	jg4617	As002G055050
OG0002920	jg23160	As002G055540
OG0002921	jg10884	As003G055710
OG0002921	jg20300	As004G091060
OG0002922	jg20374	As004G089490
OG0002923	jg10398, jg10399	As003G059680
OG0002924	jg7620	As004G085010
OG0002924	jg10252	As003G060750
OG0002925	jg7590	As003G060930
OG0002926	jg31956, jg7395	As003G062430, As004G083750
OG0002927	jg7333	As004G083280, As004G083270
OG0002927	jg32038	As003G062980
OG0002928	jg32099	As003G063290
OG0002928	jg2806	As010G234620
OG0002929	jg32162	As003G063510
OG0002930	jg31361	As003G069000
OG0002931	jg8788	As003G071890
OG0002932	jg8635	As003G073230
OG0002932	jg16812	As007G179420
OG0002933	jg8597, jg1112, jg16765	As003G073620
OG0002934	jg8548	As003G074190
OG0002934	jg16697	As007G180010
OG0002936	jg8378	As003G075770
OG0002937	jg8368, jg8367	As003G075880, As003G075870
OG0002938	jg8319	As003G076270
OG0002938	jg16501	As007G182120
OG0002939	jg7095, jg7150, jg7152, jg7089, jg7093	As004G080670
OG0002940	jg18522, jg7065	As004G080970
OG0002942	jg11378	As004G095150
OG0002942	jg26636	As011G255680
OG0002943	jg12733, jg12736	As004G097800
OG0002944	jg16323	As012G288390
OG0002944	jg20156	As005G099470
OG0002945	jg30058	As011G262010, As005G099620
OG0002946	jg20035	As005G100780
OG0002946	jg16220	As012G287630
OG0002947	jg16092	As012G286270
OG0002947	jg19853	As005G102260
OG0002948	jg19803, jg6320, jg6321, jg6319	As005G102730, As005G102740
OG0002949	jg19801, jg19802	As005G102770
OG0002950	jg23794	As005G102900, As005G120840
OG0002951	jg19735	As005G103310
OG0002952	jg19704, jg16011	As005G103620
OG0002953	jg19684	As005G103850
OG0002953	jg16004	As012G285610
OG0002954	jg16001	As005G103920, As012G285590
OG0002955	jg3870	As005G106570
OG0002956	jg5968, jg5980	As005G112690
OG0002957	jg14333	As010G225170
OG0002957	jg22967	As005G114440
OG0002958	jg22939	As007G178300, As005G115210, As005G115130, As005G115110
OG0002959	jg4864	As005G118360
OG0002960	jg23644	As005G119270
OG0002961	jg23738, jg14960	As005G120200
OG0002962	jg31399, jg31398	As006G120960
OG0002963	jg28510	As008G198490
OG0002964	jg7987	As006G123120
OG0002965	jg20772	As006G124330
OG0002966	jg28712	As008G197040
OG0002966	jg20785	As006G124460
OG0002967	jg20806	As006G124650
OG0002967	jg28732	As008G196470
OG0002968	jg28734	As008G196450
OG0002968	jg20809	As006G124680
OG0002969	jg28770	As008G196060
OG0002969	jg18431	As006G125390
OG0002970	jg18416	As006G125530
OG0002970	jg28782	As008G195970
OG0002971	jg28780	As008G195980
OG0002971	jg18417	As006G125540
OG0002972	jg28851	As008G195210
OG0002972	jg18314	As006G126330
OG0002973	jg28968	As008G193960
OG0002973	jg18168	As006G127510
OG0002974	jg17867, jg29115	As006G129330
OG0002975	jg9106, jg17202, jg17214	As006G132020
OG0002976	jg5272, jg23936	As006G133020
OG0002977	jg23942	As006G133120
OG0002977	jg5291	As009G200420
OG0002978	jg22802, jg4935	As006G134070
OG0002979	jg22370, jg9779	As006G134610
OG0002980	jg6650	As009G206310
OG0002981	jg5757	As006G139720
OG0002982	jg18762	As006G144850
OG0002983	jg18805	As006G145220
OG0002983	jg15243	As012G276680
OG0002984	jg18811	As006G145240
OG0002985	jg18861	As006G145790, As006G145780
OG0002987	jg30101, jg30102, jg30105	As007G152650
OG0002988	jg3199	As010G238160
OG0002988	jg30496	As007G155970
OG0002990	jg31168	As010G229850, As007G161280
OG0002991	jg9914, jg9915	As007G165450
OG0002992	jg28308, jg29587	As008G185970
OG0002993	jg29328, jg33147	As008G188150
OG0002995	jg28643	As008G197220
OG0002996	jg6550	As009G211470
OG0002996	jg6549	As009G205440
OG0002997	jg6869, jg6868	As009G207200
OG0002998	jg4515	As009G211120
OG0002999	jg4300	As009G213270
OG0003000	jg23066	As009G217860
OG0003001	jg23175	As009G218700
OG0003002	jg14332	As010G225190
OG0003003	jg30260, jg2876	As010G241350
OG0003004	jg33553, jg25499	As011G246950
OG0003005	jg11098	As012G274670
OG0003005	jg25732	As011G248900
OG0003006	jg11046	As012G274340
OG0003006	jg25774	As011G249140
OG0003007	jg11025, jg25776	As011G249150
OG0003008	jg32956	As012G273130
OG0003008	jg25951	As011G250370
OG0003009	jg26102	As011G251640
OG0003009	jg33116	As012G272550
OG0003010	jg33256	As012G271740
OG0003010	jg26245	As011G253010
OG0003011	jg26603, jg26604	As011G255440
OG0003012	jg26733	As011G256320, As011G256300
OG0003013	jg27774, jg8851	As011G263620
OG0003014	jg7308, jg27935, jg7305, jg9226	As011G264920
OG0003015	jg28167	As011G266410
OG0003016	jg33327, jg26307	As012G271370
OG0003017	jg33316	As012G271460
OG0003018	jg15456, jg19155, jg19113	As012G281520
OG0003019	jg25520, jg33530	As012G282450, As012G282290
OG0003020	jg19750, jg16039	As012G285870
OG0003033	jg9554	As001G000700
OG0003033	jg28234	As011G266880
OG0003034	jg9407, jg9408	As001G002000, As001G001990, As001G001960, As001G001980, As001G001970
OG0003036	jg8939, jg27560	As001G012870
OG0003038	jg31745, jg18696	As001G015900
OG0003039	jg1020	As001G020340
OG0003040	jg1007, jg1006	As001G020420
OG0003041	jg908	As001G021030
OG0003041	jg29471	As008G186920
OG0003042	jg13546	As001G026770
OG0003043	jg12047	As004G076940
OG0003044	jg29670	As008G185100
OG0003044	jg636	As001G031920
OG0003046	jg22063, jg9649	As002G045170, As002G045180
OG0003048	jg23343	As005G116650
OG0003048	jg4713	As002G054230
OG0003049	jg10857	As003G055940
OG0003049	jg20338	As004G089930
OG0003050	jg7611	As004G085000
OG0003051	jg10226	As003G060980
OG0003051	jg7580	As004G084740
OG0003052	jg7273	As004G080140
OG0003052	jg32134	As003G063420
OG0003053	jg7038	As004G080710
OG0003053	jg18153	As003G064290
OG0003054	jg2026, jg32781, jg32780	As003G065530
OG0003054	jg21040	As004G082430
OG0003055	jg31346	As003G068720
OG0003056	jg18483	As003G068860
OG0003057	jg8782	As003G071950
OG0003057	jg27898	As011G264610
OG0003058	jg16826	As007G179280
OG0003058	jg8641	As003G073190
OG0003059	jg18626	As004G078830
OG0003059	jg20638	As004G087400
OG0003060	jg7746, jg10386, jg10265	As004G085950
OG0003061	jg20298	As004G091040
OG0003062	jg11928, jg27216	As004G091700
OG0003063	jg26802	As011G256870
OG0003063	jg11569	As004G093720
OG0003064	jg11343, jg26585	As004G095360
OG0003065	jg11197, jg26393	As004G096320
OG0003066	jg473	As005G098610
OG0003067	jg19931	As005G101750
OG0003067	jg16137	As012G286910
OG0003068	jg16025	As005G103410
OG0003069	jg19427	As005G106180
OG0003070	jg14019	As010G226890
OG0003071	jg14284	As010G225530
OG0003072	jg22971	As005G114410
OG0003073	jg24505	As005G117990, As006G139190
OG0003074	jg14832	As010G221490
OG0003074	jg23604	As005G118890
OG0003075	jg23613	As005G118970
OG0003075	jg14840	As010G221440
OG0003076	jg23700, jg14918	As005G119750
OG0003079	jg8173	As006G121290
OG0003079	jg28445	As008G199130
OG0003080	jg18226	As006G127070
OG0003080	jg28931	As008G194380
OG0003081	jg23086	As006G127990, As007G162840, As009G218020
OG0003082	jg18090	As006G128060
OG0003083	jg29084	As008G192920
OG0003085	jg17631, jg32718, jg17630	As006G130800
OG0003087	jg24157	As006G136280
OG0003087	jg5558	As009G203210
OG0003088	jg24383, jg26488	As006G138140
OG0003089	jg24489, jg6591	As006G139090
OG0003090	jg5747	As009G204770, As009G204780
OG0003090	jg24558	As006G139800, As006G139810
OG0003091	jg15076	As012G278880
OG0003092	jg17399, jg28331, jg12879, jg28334, jg12882, jg12885, jg12888, jg33852	As208G297030, As006G149250
OG0003093	jg3743	As010G243940
OG0003093	jg30036	As007G152110
OG0003094	jg30226	As007G153470
OG0003095	jg30251, jg21712	As007G153700
OG0003096	jg21075, jg30849	As007G159050
OG0003097	jg31013, jg2600	As007G160110
OG0003099	jg14901	As010G221090, As008G186160
OG0003101	jg5310	As009G200630
OG0003101	jg23955	As009G206010
OG0003102	jg5193	As009G211480
OG0003103	jg23091, jg4609	As009G218070
OG0003104	jg23117	As009G218270
OG0003104	jg23121	As009G218280
OG0003105	jg14593, jg14594	As010G223280, As009G219090
OG0003106	jg15002	As010G220410
OG0003107	jg14534	As010G223630
OG0003108	jg14006	As010G227010
OG0003109	jg2969	As010G240450
OG0003110	jg33825	As010G243040
OG0003111	jg33714	As012G268350
OG0003112	jg24755	As012G268700, As011G245490
OG0003113	jg25627, jg25626	As011G248020
OG0003115	jg33324	As012G271390, As011G253330
OG0003116	jg26601	As011G255420
OG0003117	jg26819, jg11577, jg11576	As011G257560
OG0003118	jg27267, jg8029	As011G259380
OG0003119	jg27699	As011G263390
OG0003120	jg27706	As011G263430
OG0003121	jg25394, jg33660	As012G269010
OG0003122	jg18598, jg31625	As012G274910
OG0003124	jg18962	As012G278130
OG0003139	jg9516, jg9490	As001G001020
OG0003141	jg8919	As001G013880, As001G013890
OG0003142	jg8819	As001G015570
OG0003143	jg18707	As004G083010
OG0003143	jg10996	As001G018020
OG0003144	jg29490	As008G186710
OG0003144	jg926	As001G021150
OG0003145	jg29493, jg897	As001G021160
OG0003146	jg13587	As007G179740
OG0003146	jg13037	As001G023390
OG0003147	jg12721	As005G112830
OG0003147	jg13403	As001G025910
OG0003148	jg12699	As004G097620
OG0003149	jg23120	As001G027350
OG0003150	jg13735	As001G027700
OG0003150	jg12508	As004G078350
OG0003151	jg12039	As001G029590
OG0003152	jg424	As001G030740
OG0003152	jg12789	As004G098120
OG0003153	jg425, jg12788	As001G030750
OG0003154	jg12751	As004G097870
OG0003154	jg525	As001G031280
OG0003155	jg4244	As009G214140, As002G036180
OG0003156	jg32893	As002G042480
OG0003157	jg22352	As006G134590, As002G047110
OG0003158	jg4841, jg4839, jg4842	As002G053170
OG0003159	jg10522, jg10517, jg10529	As003G058570
OG0003160	jg21015	As004G082280
OG0003161	jg1851	As003G074400
OG0003162	jg914, jg26544, jg2034	As004G079140
OG0003163	jg7728	As004G085770
OG0003164	jg11526	As004G094040
OG0003164	jg26746	As011G256430
OG0003165	jg3567	As010G242190, As004G096240
OG0003166	jg19994	As005G101140
OG0003166	jg16197	As012G287420
OG0003167	jg19944, jg19943	As005G101620, As005G101630
OG0003168	jg24809, jg24810	As005G106450, As005G106500
OG0003169	jg24885, jg4005	As005G107740
OG0003170	jg14852	As010G221360
OG0003170	jg23628	As005G119110
OG0003171	jg8093	As006G122380
OG0003172	jg8084	As006G122440
OG0003174	jg7929, jg28666	As006G124110
OG0003175	jg28807	As008G195660
OG0003175	jg18355	As006G125860
OG0003176	jg18367, jg18368	As006G125980, As006G125970
OG0003177	jg17960, jg17959	As006G128880
OG0003178	jg23897	As006G133380
OG0003178	jg5227	As009G200280
OG0003179	jg23888	As006G133480
OG0003179	jg5220	As009G200340
OG0003180	jg6807	As009G207110
OG0003180	jg24352	As006G137880
OG0003181	jg29268, jg24462	As006G138760
OG0003182	jg24808, jg3862	As006G142190
OG0003183	jg19133	As006G143710
OG0003184	jg18742	As006G144650
OG0003185	jg18990, jg18991	As006G148040
OG0003186	jg30373	As007G154910
OG0003186	jg3050	As010G239450
OG0003187	jg3254	As010G237510
OG0003187	jg30548	As007G156370
OG0003189	jg30614	As007G156790
OG0003190	jg3423	As010G235870
OG0003190	jg30731	As007G157810
OG0003191	jg9450, jg9452	As007G158880
OG0003192	jg30322	As007G159840
OG0003193	jg31244	As007G162010
OG0003194	jg9297, jg16907	As007G178260
OG0003195	jg16644, jg16596	As007G180480
OG0003199	jg27502, jg27504	As008G190490
OG0003200	jg29205	As008G190800
OG0003201	jg28793, jg29413	As008G194490
OG0003202	jg28709, jg18821	As008G197050
OG0003203	jg6728	As009G206950
OG0003204	jg4197	As009G214600
OG0003205	jg3045	As011G256540
OG0003206	jg6413	As009G215340
OG0003207	jg23024	As009G217560
OG0003209	jg25437	As011G246360
OG0003212	jg25631	As011G248070
OG0003213	jg25663, jg33399	As011G248330
OG0003214	jg25921	As011G250070
OG0003215	jg32978	As011G250690
OG0003216	jg27969, jg27971, jg27972	As011G265500
OG0003217	jg28284	As011G267290
OG0003218	jg33508, jg33509	As012G270030
OG0003219	jg33313	As012G271490
OG0003220	jg33119	As012G272530
OG0003221	jg21865, jg6167, jg8207	As012G275000
OG0003222	jg15437, jg15438	As012G281200
OG0003223	jg17144, jg9140	As012G282130
OG0003224	jg15564	As012G282320, As012G282440
OG0003225	jg15584	As012G284760
OG0003226	jg16026, jg19727	As012G285770
OG0003247	jg9348	As001G002660
OG0003247	jg16864	As007G178960
OG0003248	jg16869	As001G002810, As007G178580
OG0003249	jg9186, jg17092	As001G004570
OG0003250	jg9152, jg17134	As001G004950
OG0003251	jg11600, jg11196, jg11193, jg11195	As001G010070
OG0003252	jg8997	As001G012160
OG0003253	jg20781, jg20782, jg20783	As006G124430, As006G124420, As001G012340
OG0003254	jg19489	As001G012950, As001G013440
OG0003255	jg31731	As001G015840
OG0003255	jg29393	As004G078910
OG0003256	jg29786, jg13229	As001G024690
OG0003257	jg13576, jg12620	As001G026920
OG0003258	jg12421	As004G077970
OG0003258	jg13882	As001G028150
OG0003259	jg669, jg668, jg665	As001G032020, As001G032030
OG0003260	jg15574	As002G043840
OG0003261	jg22033	As002G044910
OG0003263	jg9755	As006G134380
OG0003263	jg22322	As002G046720
OG0003264	jg4959, jg6420, jg6421	As002G051950
OG0003265	jg4901	As002G052510
OG0003266	jg4681	As002G054550
OG0003267	jg4665	As002G054690
OG0003268	jg10718	As003G057170
OG0003271	jg31325, jg15555	As003G068290
OG0003272	jg25166, jg31613, jg31612	As003G071130
OG0003273	jg18601	As012G274890
