Orthogroup	Arabidopsis_arenosa	Odontarrhena_muralis
OG0001799	jg24526	Om002G048330
OG0001800	jg24575	Om002G048990
OG0001800	jg5709	Om007G295460
OG0001801	jg21465	Om007G305650
OG0001801	jg24652	Om002G049720
OG0001802	jg2160, jg2136	Om004G157380
OG0001802	jg2137, jg2139	Om005G213450
OG0001803	jg18776	Om008G337160
OG0001803	jg15217	Om006G255350
OG0001804	jg3657	Om007G278010
OG0001804	jg30106	Om005G197040
OG0001805	jg3571	Om004G132470
OG0001805	jg30190	Om005G197810
OG0001806	jg2868	Om004G142690
OG0001806	jg30254	Om005G198420
OG0001807	jg18709	Om008G338460, Om008G338470
OG0001807	jg30478	Om005G201470
OG0001808	jg3264	Om004G136980
OG0001808	jg30558	Om005G202440
OG0001809	jg2617	Om005G208300
OG0001809	jg30992	Om004G144770
OG0001810	jg31096, jg2511	Om004G146130
OG0001811	jg2378	Om005G211370
OG0001812	jg2362, jg31208	Om005G211590
OG0001814	jg16582	Om004G155870
OG0001814	jg8396	Om001G040560
OG0001815	jg5711	Om007G295450
OG0001816	jg24409	Om002G047120
OG0001816	jg6671	Om007G293510
OG0001817	jg4317	Om004G171380
OG0001817	jg25066	Om002G054530
OG0001818	jg14777	Om006G260370
OG0001818	jg6307	Om006G239080
OG0001819	jg23746	Om006G229570
OG0001819	jg14968	Om006G258020
OG0001820	jg14703	Om006G261480
OG0001820	jg6214	Om006G238200
OG0001821	jg33428	Om003G094580
OG0001821	jg25638	Om002G061690
OG0001822	jg26325, jg26326	Om002G069440
OG0001822	jg33363, jg33365	Om003G095310
OG0001823	jg28249	Om002G088090, Om003G118780
OG0001824	jg18912	Om008G335410
OG0001824	jg15306	Om006G254330
OG0001825	jg19217	Om008G331140
OG0001826	jg15645, jg15715	Om003G119720
OG0001826	jg19390	Om008G328620
OG0001827	jg15686	Om003G119940
OG0001828	jg19816	Om008G323210
OG0001828	jg16074	Om003G124760
OG0001830	jg15867, jg15870	Om003G122150, Om003G122160
OG0001830	jg15856	Om003G122140
OG0001831	jg20277, jg20279	Om008G362720
OG0001832	jg18685, jg18681, jg18683, jg17348	Om008G338530, Om008G335500, Om008G335450
OG0001833	jg9237	Om001G028080
OG0001833	jg9238	Om001G028070
OG0001834	jg30069	Om005G196550, Om008G335310
OG0001836	jg699	Om005G224440
OG0001837	jg4255	Om004G172100, Om006G261930
OG0001837	jg15231, jg4256	Om004G172140, Om004G172120, Om004G172110
OG0001838	jg10873	Om001G000280, Om001G000290
OG0001839	jg6233, jg17587, jg6230	Om004G176150
OG0001844	jg9511	Om001G024060
OG0001844	jg28173	Om002G087490
OG0001845	jg9370	Om001G026200
OG0001846	jg27834	Om002G083690
OG0001846	jg8821	Om001G034280
OG0001847	jg10938	Om007G276170
OG0001847	jg10940	Om007G276160
OG0001848	jg29436	Om005G189000
OG0001849	jg829	Om005G222900
OG0001851	jg12684	Om007G317310
OG0001851	jg13473	Om006G271240
OG0001852	jg12535	Om007G315660
OG0001854	jg2015, jg2048	Om005G214490
OG0001854	jg2018	Om005G214450
OG0001855	jg1915	Om005G215030
OG0001856	jg678	Om005G224800
OG0001856	jg29646	Om005G191370
OG0001857	jg22592	Om006G249860
OG0001858	jg4164	Om004G173240
OG0001858	jg24964	Om002G053140
OG0001859	jg24993	Om002G053510
OG0001859	jg4202	Om004G172790
OG0001860	jg4318	Om004G171350
OG0001860	jg25067	Om002G054540
OG0001861	jg25079	Om002G054630
OG0001861	jg4338	Om004G171130
OG0001862	jg4435, jg4456	Om004G170140
OG0001862	jg25140	Om002G055460
OG0001863	jg9945	Om007G286190
OG0001863	jg21819	Om003G112570
OG0001864	jg22254, jg9727	Om003G116120
OG0001865	jg22291	Om003G116350
OG0001865	jg9734	Om001G020020
OG0001866	jg22313	Om003G116580
OG0001866	jg9748	Om001G019420
OG0001867	jg22648, jg9878, jg9879	Om006G249280
OG0001868	jg5050	Om004G162720
OG0001869	jg23575	Om006G231560
OG0001869	jg4883	Om004G165280
OG0001870	jg23551	Om006G231800
OG0001870	jg4872	Om004G165450
OG0001871	jg23530	Om006G232050
OG0001871	jg4828	Om004G166020, Om004G166050
OG0001872	jg23483	Om006G232620
OG0001873	jg4769	Om004G166720
OG0001873	jg4768	Om004G166730
OG0001874	jg4729	Om005G225550
OG0001875	jg4666	Om004G167850
OG0001875	jg6147	Om006G237550
OG0001876	jg23044	Om006G237180
OG0001876	jg4642	Om004G168040
OG0001877	jg4582	Om004G168890
OG0001878	jg10871	Om001G000310
OG0001878	jg20314	Om008G362390
OG0001879	jg10816	Om001G001080
OG0001879	jg20394	Om006G254640
OG0001880	jg10784, jg10783, jg10785	Om001G001830
OG0001881	jg10474	Om001G006590
OG0001882	jg7761	Om008G354800
OG0001882	jg10406	Om001G007480
OG0001883	jg7738	Om008G354400
OG0001883	jg10378	Om001G008000
OG0001884	jg30007	Om005G195870
OG0001884	jg1013	Om004G129530
OG0001885	jg31968	Om001G012040
OG0001885	jg7390	Om008G347930
OG0001886	jg32230	Om001G014110
OG0001886	jg7258	Om008G343340
OG0001887	jg7149, jg7096	Om008G344790
OG0001887	jg32330	Om001G014790
OG0001888	jg18515	Om007G289400
OG0001889	jg27993	Om002G085610
OG0001889	jg8680	Om001G036380
OG0001890	jg8533	Om001G039100
OG0001890	jg8534	Om001G039090
OG0001891	jg9863	Om001G017880
OG0001891	jg29470	Om005G214820, Om005G189340
OG0001892	jg20932	Om008G341440
OG0001892	jg31295	Om007G287980
OG0001893	jg7399	Om008G347990
OG0001894	jg19228	Om008G330850
OG0001895	jg13762	Om008G362420
OG0001896	jg9641	Om003G104810
OG0001896	jg24697	Om002G050160
OG0001897	jg26652	Om002G072930
OG0001897	jg11426	Om003G103660
OG0001898	jg26514	Om002G071120
OG0001898	jg11277	Om003G102430
OG0001900	jg12821	Om007G318210
OG0001901	jg20195	Om008G318990
OG0001901	jg16337	Om003G128330
OG0001902	jg16279	Om003G127700
OG0001902	jg20104	Om008G320130
OG0001903	jg16122	Om003G125620
OG0001903	jg19903	Om008G322500
OG0001905	jg16052	Om003G124360
OG0001905	jg19769	Om008G323900
OG0001906	jg15979	Om003G123560
OG0001906	jg19650	Om008G325480
OG0001907	jg14661	Om006G262480
OG0001908	jg23323, jg8835	Om001G033950
OG0001909	jg28561, jg28560	Om005G179340
OG0001910	jg7838	Om007G293120
OG0001910	jg28681	Om005G180580
OG0001911	jg20875	Om007G278040
OG0001911	jg28753	Om005G181450
OG0001912	jg18269	Om007G279800
OG0001912	jg28885	Om005G182830
OG0001913	jg28916	Om005G183110
OG0001913	jg18237	Om007G280140
OG0001915	jg18177	Om007G280730
OG0001915	jg28966	Om005G183620
OG0001916	jg17975	Om007G282370
OG0001917	jg29129	Om005G185570
OG0001918	jg17380	Om005G205290
OG0001918	jg17379	Om005G197370
OG0001919	jg5257	Om007G301400
OG0001919	jg23924	Om002G042440
OG0001920	jg5465	Om007G298360
OG0001920	jg24095	Om002G044080
OG0001921	jg5468	Om007G298300
OG0001921	jg24100	Om002G044130
OG0001922	jg24478	Om002G047840
OG0001922	jg6603	Om007G294100
OG0001923	jg19122	Om006G263060
OG0001923	jg15444	Om006G252450
OG0001924	jg15280	Om006G254590, Om006G254600
OG0001924	jg18877	Om008G335870, Om008G335880
OG0001925	jg33000	Om008G334680
OG0001926	jg18988, jg19001	Om008G334240
OG0001926	jg15086	Om006G256730
OG0001927	jg3722	Om004G130460
OG0001927	jg30055	Om005G196440
OG0001928	jg3520	Om004G133220
OG0001928	jg30236	Om005G198220
OG0001929	jg30298	Om005G199150
OG0001929	jg2943	Om004G141960
OG0001930	jg30392	Om005G200480
OG0001930	jg3090	Om004G139600
OG0001931	jg3126	Om004G138990
OG0001931	jg30417	Om005G200760
OG0001932	jg30462	Om005G201280
OG0001932	jg3163, jg3164	Om004G138920
OG0001933	jg30660, jg3348	Om004G135540
OG0001934	jg30776, jg30774	Om005G204640
OG0001934	jg3473	Om004G134040
OG0001935	jg30877	Om004G143370
OG0001935	jg2692	Om005G207130
OG0001936	jg9527	Om001G023770
OG0001937	jg31077	Om004G145490
OG0001937	jg2539	Om005G209270
OG0001938	jg31252	Om005G200410
OG0001939	jg16558	Om004G156080
OG0001939	jg8377	Om001G040860
OG0001940	jg21363, jg28512	Om007G275580
OG0001940	jg4121	Om003G128050
OG0001941	jg5761	Om008G361130
OG0001942	jg25399	Om002G058520
OG0001943	jg25124	Om006G260840, Om002G055280
OG0001943	jg16131	Om004G170270
OG0001944	jg25109	Om002G055050
OG0001944	jg4384	Om004G170530
OG0001945	jg14808	Om006G239300
OG0001946	jg6215	Om006G238210
OG0001947	jg14243	Om008G357080, Om008G357160
OG0001948	jg6033	Om006G243640
OG0001949	jg5907	Om006G242170, Om008G349600
OG0001950	jg25397	Om002G058500
OG0001950	jg33657	Om003G091220
OG0001951	jg25516	Om002G060120
OG0001951	jg33533	Om003G093170
OG0001952	jg11077	Om003G100590
OG0001952	jg25742	Om002G063070
OG0001953	jg26069	Om002G066670
OG0001953	jg33100	Om003G097860
OG0001954	jg26249	Om002G068670
OG0001955	jg33328	Om003G095570
OG0001955	jg26313	Om002G069310
OG0001956	jg27574	Om001G031980, Om002G081680
OG0001957	jg18587	Om008G339760
OG0001957	jg31604	Om007G291060
OG0001958	jg12055, jg27484, jg27482, jg27480	Om002G080310
OG0001959	jg16018	Om003G123980
OG0001959	jg16020	Om003G124030, Om003G124050
OG0001960	jg33503, jg33502, jg33504	Om003G093690
OG0001961	jg33174	Om003G097180
OG0001962	jg29070	Om001G016520, Om001G004390, Om001G004380, Om005G185120
OG0001963	jg7854	Om004G160330
OG0001964	jg21170	Om006G269240, Om007G284900
OG0001971	jg9518	Om001G023940
OG0001971	jg28180	Om002G087550
OG0001972	jg9378	Om001G026000
OG0001972	jg28052	Om002G086100
OG0001973	jg9302	Om001G027090
OG0001974	jg9266	Om001G027730
OG0001975	jg27431	Om002G080030
OG0001975	jg9008, jg27457	Om001G031270
OG0001976	jg8875	Om001G033290
OG0001977	jg18705	Om008G338230
OG0001977	jg10961	Om007G275940, Om007G275980
OG0001978	jg29540	Om005G190090
OG0001979	jg13058	Om006G274640
OG0001979	jg29930	Om005G194690
OG0001980	jg13079	Om006G274410
OG0001980	jg29911	Om005G194480
OG0001981	jg29763	Om005G192640
OG0001982	jg13358	Om006G272160
OG0001983	jg13424	Om006G271570
OG0001983	jg12707	Om007G317710
OG0001984	jg13459	Om006G271340
OG0001984	jg12695	Om007G317420
OG0001986	jg15716, jg15644	Om003G119710
OG0001986	jg19391	Om008G328610
OG0001987	jg4160	Om004G173310
OG0001987	jg24961	Om002G053110
OG0001988	jg25074	Om002G054590
OG0001988	jg4334	Om004G171170
OG0001989	jg25096	Om002G054880
OG0001989	jg4372	Om004G170700
OG0001990	jg22215	Om003G115910
OG0001991	jg22335, jg9763	Om003G116940
OG0001992	jg22432	Om003G118060
OG0001993	jg22462	Om003G118380
OG0001995	jg5064	Om004G162520
OG0001995	jg5808	Om006G240960
OG0001996	jg5005	Om004G163300
OG0001996	jg6490	Om006G240660
OG0001997	jg4782	Om004G166500
OG0001997	jg16707	Om004G154290
OG0001998	jg4759	Om004G166800
OG0001998	jg23417	Om006G233220
OG0001999	jg4606	Om004G168530
OG0001999	jg23104	Om006G236530
OG0002000	jg23127	Om006G236270
OG0002000	jg4572	Om004G169020
OG0002001	jg20386	Om008G361450
OG0002001	jg10824	Om001G001010
OG0002002	jg10572	Om001G005240
OG0002002	jg20651	Om008G356940
OG0002003	jg10328	Om001G008610
OG0002003	jg7694	Om008G353820
OG0002004	jg7604	Om008G352250
OG0002004	jg10241	Om001G009710
OG0002005	jg10115	Om001G011050
OG0002006	jg10105	Om001G011140
OG0002006	jg7462	Om008G350700
OG0002007	jg10103	Om001G011150
OG0002008	jg7406	Om008G348100
OG0002008	jg31935	Om001G011710
OG0002009	jg32774, jg32773	Om007G287260
OG0002010	jg18506	Om008G340550
OG0002010	jg31408	Om007G289210
OG0002011	jg31460	Om007G289690
OG0002012	jg27884	Om002G084180
OG0002012	jg8797	Om001G034750
OG0002013	jg27893	Om002G084270
OG0002013	jg8786	Om001G034940
OG0002014	jg8741	Om001G035480
OG0002014	jg27914	Om002G084500
OG0002015	jg28030	Om002G085980
OG0002016	jg8565	Om001G038580, Om001G038560, Om001G038570
OG0002018	jg16565	Om004G156050
OG0002018	jg8381	Om001G040820
OG0002020	jg29423, jg31456	Om001G034960, Om003G121500
OG0002020	jg29573, jg29580	Om003G118340
OG0002021	jg10095	Om001G011260
OG0002022	jg30282	Om005G198860
OG0002022	jg20454	Om008G359650
OG0002023	jg26525	Om002G071280
OG0002023	jg11292	Om003G102530
OG0002024	jg11240	Om003G102110
OG0002024	jg26453	Om002G070550
OG0002025	jg20045	Om008G320880
OG0002026	jg19840	Om008G322960
OG0002026	jg16086	Om003G124910
OG0002027	jg15744	Om003G120430
OG0002027	jg19442	Om008G327840
OG0002028	jg22983	Om006G244960
OG0002029	jg28491	Om005G178520, Om004G163610
OG0002029	jg8132	Om004G158350
OG0002030	jg7956	Om004G160070
OG0002030	jg28618	Om005G179880
OG0002031	jg18415	Om005G181490
OG0002032	jg18297	Om007G279240
OG0002032	jg28866	Om005G182620
OG0002033	jg29023	Om005G184230
OG0002033	jg18108	Om007G281320
OG0002034	jg29106	Om005G185280
OG0002034	jg17904	Om007G282940
OG0002036	jg5406	Om007G299260
OG0002036	jg24047	Om002G043630, Om005G194130
OG0002037	jg5407	Om007G299250
OG0002037	jg24049	Om002G043650
OG0002038	jg25733	Om002G062950
OG0002038	jg24463	Om002G047680, Om002G047660
OG0002039	jg15506	Om006G251670
OG0002039	jg19206	Om008G331050
OG0002040	jg18794	Om008G336950
OG0002040	jg15225	Om006G255270
OG0002041	jg18858	Om008G336080
OG0002041	jg15268	Om006G254750
OG0002042	jg19016, jg19015	Om008G333890, Om008G333900, Om008G333910
OG0002043	jg32974	Om005G196000
OG0002044	jg30037	Om005G196230
OG0002044	jg3740	Om004G130240
OG0002045	jg30064	Om005G196530
OG0002045	jg3715	Om004G130530
OG0002046	jg30092	Om005G196930
OG0002046	jg3669	Om004G131250
OG0002047	jg30135	Om005G197450
OG0002047	jg3603	Om004G132100
OG0002049	jg2953	Om004G141840
OG0002049	jg30303	Om005G199260
OG0002050	jg30633	Om005G203040
OG0002050	jg3309	Om004G136030
OG0002051	jg30641	Om005G203120
OG0002051	jg19528	Om008G326890
OG0002052	jg30651	Om005G203290
OG0002052	jg3333	Om004G135680
OG0002053	jg30688	Om005G203670
OG0002053	jg3367	Om004G135260
OG0002054	jg30858	Om005G205610
OG0002054	jg2734	Om005G206670
OG0002055	jg30888	Om004G143590
OG0002055	jg2685	Om005G207260
OG0002057	jg9196	Om001G028770
OG0002058	jg16852	Om002G054980
OG0002059	jg28852	Om005G182430
OG0002059	jg18312	Om007G279370
OG0002060	jg2640	Om005G207980
OG0002061	jg6245	Om006G238560
OG0002062	jg23050	Om006G237120, Om006G237100
OG0002063	jg4534	Om004G169430
OG0002064	jg15029, jg15031, jg15028, jg15030	Om006G257280
OG0002066	jg3343	Om004G135550
OG0002066	jg17699, jg30658	Om005G203360
OG0002068	jg3611	Om004G132010
OG0002069	jg3621	Om004G131890
OG0002069	jg3620	Om004G131900
OG0002070	jg30116	Om005G197200
OG0002070	jg3641	Om004G131620
OG0002071	jg25322	Om002G057590
OG0002071	jg33711	Om003G090250
OG0002072	jg33690	Om003G090630
OG0002072	jg25340	Om002G057860
OG0002073	jg33547	Om003G092900
OG0002073	jg25504	Om002G059990
OG0002074	jg11029	Om003G100200
OG0002074	jg25783	Om002G063560
OG0002075	jg28207	Om002G087690
OG0002076	jg33819	Om003G089420
OG0002076	jg25230	Om002G056580
OG0002077	jg33319	Om003G095670
OG0002078	jg15522	Om006G251490, Om006G251520
OG0002078	jg15521	Om006G251550
OG0002079	jg6228, jg9829	Om004G166410, Om008G327820
OG0002081	jg16559, jg12209, jg17107, jg17108	Om002G065870
OG0002084	jg17238, jg3748, jg12357	Om004G143450, Om004G143460, Om004G143470, Om004G143480, Om004G148160, Om004G130160
OG0002085	jg9867	Om006G274630, Om006G274600, Om002G087630
OG0002086	jg10579	Om001G005140, Om001G005160, Om001G005200
OG0002091	jg32432	Om003G103390, Om003G103380, Om003G103400
OG0002093	jg27536	Om002G081050
OG0002093	jg8930	Om001G032460
OG0002094	jg27676, jg8901	Om002G082280
OG0002094	jg27675	Om001G012400
OG0002095	jg27850	Om002G083810
OG0002095	jg8818	Om001G034330
OG0002096	jg1360	Om005G218150, Om011G365770
OG0002096	jg29297	Om005G187440
OG0002097	jg1109	Om005G219500
OG0002097	jg29392	Om005G188630
OG0002098	jg898	Om005G221650
OG0002098	jg927	Om006G246890, Om008G322200
OG0002099	jg29507	Om005G189760
OG0002099	jg885	Om005G221910
OG0002100	jg29857	Om005G193850
OG0002101	jg12702	Om007G317520
OG0002101	jg13450	Om006G271470
OG0002103	jg376	Om005G228710
OG0002104	jg482	Om005G226920
OG0002104	jg12764	Om007G318160
OG0002105	jg29727	Om005G192200
OG0002105	jg579	Om005G225670
OG0002106	jg29639	Om005G191260
OG0002107	jg15633	Om003G119610
OG0002107	jg19371	Om008G328900
OG0002108	jg3899	Om004G176520
OG0002108	jg24818	Om002G051460
OG0002109	jg4050	Om004G174680
OG0002110	jg24909	Om002G052490
OG0002110	jg4061	Om004G174510
OG0002111	jg24962	Om002G053120
OG0002111	jg4163	Om004G173250
OG0002112	jg4248	Om004G172230
OG0002112	jg25012	Om002G053820
OG0002113	jg6748, jg6704	Om003G114100
OG0002114	jg9674	Om001G021230
OG0002115	jg9765	Om001G019090
OG0002115	jg22336	Om003G116960
OG0002116	jg22385	Om003G117540
OG0002117	jg5125, jg31249	Om004G161820
OG0002118	jg6473	Om006G240600
OG0002118	jg4999	Om004G163430
OG0002119	jg4903, jg6368	Om004G164940
OG0002120	jg6207	Om006G238120
OG0002120	jg4703	Om004G167400
OG0002121	jg23128	Om006G236250
OG0002121	jg4569	Om004G169060
OG0002122	jg20299	Om008G362550
OG0002122	jg10885	Om001G000150
OG0002123	jg10678	Om001G003360
OG0002124	jg20547	Om008G358210
OG0002125	jg10550	Om001G005590
OG0002125	jg20668	Om008G356610
OG0002126	jg7782	Om008G355180
OG0002126	jg10439	Om001G007020
OG0002127	jg7468	Om008G350880
OG0002127	jg10110	Om001G011090
OG0002128	jg7412	Om008G349780
OG0002128	jg31933	Om001G011680
OG0002129	jg32069	Om001G012640
OG0002130	jg33245	Om007G279600
OG0002131	jg8007	Om004G159440
OG0002131	jg28579	Om005G179470
OG0002133	jg8787	Om006G235890, Om001G034910
OG0002133	jg8773	Om001G035040
OG0002134	jg8733	Om001G035620
OG0002136	jg16532	Om004G156300
OG0002136	jg8353	Om001G041190
OG0002137	jg12520	Om007G315590
OG0002138	jg18535	Om008G340220
OG0002138	jg18534	Om008G340230
OG0002139	jg32681	Om007G287540
OG0002139	jg20966	Om008G341530
OG0002140	jg7369	Om008G347460
OG0002141	jg26655	Om002G073010
OG0002142	jg16372	Om003G128810
OG0002142	jg20219	Om008G327150
OG0002143	jg16368	Om003G128750
OG0002143	jg20210	Om008G318810
OG0002144	jg19569, jg19570	Om008G326450, Om008G326440
OG0002145	jg19506	Om008G327060
OG0002145	jg15822	Om003G121400, Om003G121340
OG0002146	jg6085	Om006G244120
OG0002149	jg23280	Om006G234620
OG0002150	jg14875	Om006G259210
OG0002151	jg23714	Om006G229950
OG0002152	jg28441	Om005G178170
OG0002153	jg28449	Om005G178080
OG0002153	jg8192	Om004G157660
OG0002154	jg20784	Om007G292790
OG0002154	jg28708	Om005G180930
OG0002155	jg20833	Om007G277730
OG0002155	jg28739	Om005G181260
OG0002156	jg26716	Om007G278520
OG0002157	jg18306	Om005G182510
OG0002158	jg9684	Om001G021010
OG0002158	jg9683	Om001G021020
OG0002159	jg24082	Om002G043950
OG0002159	jg5448	Om007G298660
OG0002161	jg1288	Om002G046380
OG0002162	jg26612	Om002G072610
OG0002163	jg24620	Om002G049390
OG0002164	jg21548	Om002G049440
OG0002165	jg5162	Om004G161340
OG0002166	jg15580	Om006G250840
OG0002166	jg19297	Om008G330000
OG0002167	jg19176	Om008G331770
OG0002167	jg19175	Om008G331780
OG0002168	jg18719	Om008G338030
OG0002168	jg15147	Om006G256110
OG0002169	jg19046	Om008G333390, Om008G333380
OG0002170	jg30087	Om005G196840
OG0002170	jg3677	Om004G131130
OG0002171	jg30108	Om005G197080
OG0002171	jg3656	Om004G131420
OG0002172	jg30110	Om005G197100
OG0002172	jg3654	Om004G131400
OG0002173	jg30132	Om005G197420
OG0002174	jg30453, jg3148	Om004G138720
OG0002175	jg3317	Om004G135900
OG0002175	jg30640	Om005G203110
OG0002176	jg30817	Om005G205080
OG0002177	jg30859	Om005G205620
OG0002177	jg2726	Om005G206770
OG0002179	jg2304, jg2301	Om005G212170
OG0002179	jg31239	Om004G148110
OG0002181	jg8916	Om004G160280
OG0002182	jg23069	Om006G236900
OG0002183	jg29809	Om005G193300
OG0002183	jg13276	Om006G272790
OG0002184	jg31581	Om005G191190
OG0002184	jg29633	Om005G191200
OG0002185	jg29631	Om005G191140
OG0002185	jg698	Om005G224450
OG0002186	jg888	Om005G221870
OG0002186	jg29503	Om005G189720
OG0002187	jg29348	Om005G188060
OG0002187	jg24772	Om002G050980
OG0002188	jg28890, jg28894	Om005G182900, Om005G182910
OG0002189	jg25089	Om002G054780
OG0002189	jg4355	Om004G170890
OG0002190	jg25004	Om002G053730
OG0002190	jg4233	Om004G172450
OG0002191	jg26254	Om002G068790
OG0002191	jg6499, jg6500	Om006G240730
OG0002192	jg14132, jg6016	Om006G243460
OG0002193	jg5863, jg5862	Om006G241710
OG0002194	jg33784	Om003G089680
OG0002194	jg25258	Om002G056880
OG0002195	jg25324	Om002G057600
OG0002195	jg33710	Om003G090280, Om003G090260
OG0002196	jg11089	Om003G100670
OG0002196	jg25740	Om002G063030
OG0002197	jg25847	Om002G064030
OG0002197	jg32900	Om003G099750
OG0002198	jg25918	Om002G064750
OG0002199	jg25935	Om002G065030
OG0002199	jg32944	Om003G099270
OG0002201	jg27801	Om002G083390
OG0002201	jg27802	Om002G083400
OG0002202	jg27843, jg27842	Om001G034310, Om007G306500
OG0002203	jg4325	Om004G171270
OG0002204	jg28108	Om002G086780
OG0002205	jg33144	Om003G097440
OG0002206	jg33094	Om003G097900
OG0002206	jg26065	Om002G066630
OG0002207	jg11083	Om003G100650
OG0002207	jg11082	Om003G100640
OG0002208	jg15682	Om003G120020
OG0002209	jg19936	Om008G322160
OG0002209	jg16146	Om003G125950
OG0002210	jg8926, jg8973	Om001G031760
OG0002213	jg1925	Om005G215000
OG0002215	jg14940	Om003G119060
OG0002215	jg22523	Om003G119050
OG0002219	jg28179, jg9515	Om002G087540
OG0002220	jg9485	Om001G024510
OG0002221	jg28146	Om002G087230
OG0002222	jg9146	Om001G029370
OG0002222	jg6429	Om006G240230
OG0002223	jg9301	Om001G027170
OG0002223	jg31115, jg31041	Om008G342050
OG0002224	jg16960	Om004G154800
OG0002225	jg9197, jg17080, jg1644	Om001G028760
OG0002226	jg8962	Om001G031930
OG0002226	jg27575	Om002G081740
OG0002227	jg8814, jg27855	Om002G083870
OG0002228	jg31889	Om007G276870
OG0002229	jg29990	Om005G195670
OG0002230	jg13008	Om006G274890
OG0002231	jg13209	Om006G273470
OG0002231	jg29819	Om005G193400
OG0002232	jg13279	Om006G272750
OG0002232	jg29810	Om005G193310
OG0002233	jg13647, jg13646	Om006G270620, Om006G270630
OG0002234	jg12550	Om007G316300
OG0002235	jg2168, jg2169, jg2170	Om005G213350
OG0002235	jg1737	Om005G213380
OG0002236	jg2043, jg12191	Om005G214180
OG0002237	jg12103	Om007G313680
OG0002237	jg1980	Om005G214670
OG0002238	jg406	Om005G228220
OG0002239	jg681	Om005G224740
OG0002239	jg29644	Om005G191340
OG0002240	jg22618	Om006G249610
OG0002240	jg9865	Om006G256100
OG0002241	jg3905	Om004G176460
OG0002241	jg24822	Om002G051500
OG0002242	jg24955	Om002G053050
OG0002242	jg4155	Om004G173380
OG0002243	jg3763	Om004G129970
OG0002244	jg25129, jg26374	Om002G055320
OG0002245	jg9955	Om007G286030
OG0002246	jg20681, jg21868	Om003G113060
OG0002247	jg21881	Om003G113170
OG0002247	jg9921	Om007G286410
OG0002248	jg22255	Om003G116130
OG0002249	jg22331	Om003G116870
OG0002250	jg22433	Om003G118090
OG0002250	jg9791	Om004G157570
OG0002251	jg22478	Om003G118560, Om003G118570
OG0002252	jg22661	Om006G249090
OG0002253	jg5123, jg31250	Om004G161870
OG0002254	jg5802	Om006G241020
OG0002254	jg5073	Om004G162410
OG0002255	jg6514	Om006G240790
OG0002255	jg5040	Om004G162850
OG0002256	jg20523	Om008G358550
OG0002256	jg10686	Om001G003240
OG0002257	jg10301	Om001G008880
OG0002257	jg10302	Om001G008870
OG0002258	jg31652	Om007G291530
OG0002259	jg8701	Om001G036060
OG0002259	jg8703, jg8702	Om001G036050
OG0002260	jg10259, jg32041, jg32044, jg13662	Om001G009370, Om001G009400
OG0002261	jg8640	Om001G037080, Om001G037120, Om001G037110, Om001G037070
OG0002261	jg8639	Om001G037090, Om001G037130
OG0002262	jg8609	Om001G037920
OG0002263	jg8477	Om001G039810
OG0002264	jg16509	Om004G156530
OG0002264	jg8336	Om001G041380
OG0002265	jg12495	Om007G315430
OG0002266	jg21021	Om008G341990
OG0002266	jg32752	Om007G287350
OG0002267	jg26683	Om002G073200
OG0002268	jg26579	Om002G071970
OG0002268	jg11339	Om003G102770
OG0002269	jg11308	Om003G102640
OG0002269	jg26546	Om002G071560
OG0002270	jg26526	Om002G071290
OG0002270	jg11295, jg11294	Om003G102540
OG0002271	jg26441	Om006G267950
OG0002271	jg11225	Om003G101990
OG0002272	jg26346	Om002G069570
OG0002272	jg11151	Om003G101380
OG0002273	jg16148	Om003G125970
OG0002273	jg19939	Om008G322130
OG0002274	jg19778	Om008G323700
OG0002275	jg19762	Om008G323920
OG0002276	jg19761	Om008G323930
OG0002276	jg16047	Om003G124310
OG0002277	jg15806	Om003G121090
OG0002277	jg19527	Om008G326900
OG0002278	jg15752	Om003G120520
OG0002278	jg19463	Om008G327390
OG0002279	jg3883	Om004G176750
OG0002279	jg24149	Om002G044630
OG0002280	jg14242	Om006G269150
OG0002280	jg6125	Om006G244380
OG0002281	jg14247, jg6128	Om006G244410
OG0002282	jg22975	Om006G245100
OG0002283	jg23549	Om006G231820
OG0002284	jg28466	Om005G178350
OG0002284	jg8103	Om004G158010
OG0002285	jg28680, jg28702, jg19788, jg16077	Om005G180560
OG0002286	jg20780	Om007G292840
OG0002287	jg28898	Om005G182950
OG0002288	jg18167	Om007G280840
OG0002288	jg28969	Om005G183650
OG0002289	jg29103, jg29100	Om005G185250, Om005G185230
OG0002290	jg17615	Om007G284920
OG0002290	jg29204	Om005G186400, Om004G159190
OG0002291	jg9078	Om001G030300
OG0002292	jg5284	Om007G301070, Om004G156820
OG0002294	jg5449	Om007G298650
OG0002294	jg24083	Om002G043960
OG0002295	jg5469	Om007G298290
OG0002295	jg24099	Om002G044120
OG0002296	jg5503	Om007G297870
OG0002296	jg24119	Om002G044320
OG0002297	jg5509	Om007G297760
OG0002297	jg24124	Om002G044400
OG0002298	jg24191	Om002G045020
OG0002299	jg6592	Om007G294180
OG0002299	jg24488	Om002G047980
OG0002301	jg24642, jg21508	Om002G049640
OG0002302	jg18853	Om008G336130
OG0002302	jg15264	Om006G254810
OG0002303	jg3718	Om004G130500
OG0002303	jg30063	Om005G196500
OG0002304	jg30117	Om005G197220
OG0002304	jg3640	Om004G131630
OG0002305	jg3613	Om004G132000
OG0002305	jg30129	Om005G197380
