Orthogroup	Raphanus_sativus	Arabidopsis_lyrata_NCBI
OG0003079	XP_018482767.1	XP_020870322.1
OG0003080	XP_018484965.1	XP_002881146.1
OG0003081	XP_018433155.1	XP_002886604.2
OG0003081	XP_018490039.1	XP_020869791.1
OG0003082	XP_018441505.1	XP_002875083.1
OG0003083	XP_018449960.1, XP_018449527.1, XP_018491114.1, XP_018441598.1	XP_002892843.1
OG0003084	XP_018472429.1, XP_018472428.1	XP_020865961.1
OG0003084	XP_018438966.1, XP_018467344.1	XP_002892869.1
OG0003085	XP_018440899.1	XP_002890281.1
OG0003085	XP_018441493.1	XP_020891015.1
OG0003086	XP_018444704.1	XP_002889066.1
OG0003086	XP_018449695.1	XP_020866803.1
OG0003087	XP_018462940.1, XP_018479996.1, XP_018451771.1	XP_020868213.1
OG0003088	XP_018466782.1	XP_020870112.1
OG0003088	XP_018482212.1	XP_002890403.1
OG0003089	XP_018483423.1, XP_018437006.1	XP_002875612.2, XP_020881776.1
OG0003090	XP_018437132.1	XP_020869832.1
OG0003092	XP_018447958.1	XP_002865343.1, XP_002865344.2
OG0003093	XP_018468588.1, XP_018468744.1, XP_018471428.1, XP_018483838.1, XP_018447663.1	XP_002867011.1
OG0003094	XP_018447548.1	XP_002869118.1
OG0003094	XP_018449758.1	XP_002869117.1
OG0003095	XP_018455977.1	XP_020877429.1
OG0003095	XP_018470921.1	XP_020874608.1
OG0003096	XP_018479048.1, XP_018480266.1, XP_018467821.1	XP_002867263.1
OG0003097	XP_018435718.1, XP_018451086.1	XP_020866640.1
OG0003098	XP_018473587.1, XP_018474531.1, XP_018472931.1	XP_020879122.1
OG0003100	XP_018435952.1, XP_018459045.1, XP_018461037.1, XP_018461036.1, XP_018435899.1	XP_002866860.1, XP_002886809.1, XP_002872377.1, XP_002879049.1, XP_002893899.1, XP_002863192.1, XP_020871405.1, XP_020880674.1
OG0003101	XP_018450606.1, XP_018450605.1, XP_018492248.1	XP_002886156.2, XP_020887974.1
OG0003102	XP_018470385.1	XP_002867334.1
OG0003102	XP_018484097.1	XP_020884549.1
OG0003104	XP_018452352.1, XP_018466407.1	XP_020871025.1
OG0003104	XP_018477641.1	XP_002879268.1
OG0003105	XP_018464941.1, XP_018458406.1	XP_002868658.2, XP_020866180.1, XP_020880697.1, XP_020876971.1, XP_020872478.1, XP_020881868.1, XP_020873016.1
OG0003106	XP_018438104.1, XP_018482199.1, XP_018461239.1, XP_018473092.1	XP_002881483.1
OG0003106	XP_018489891.1, XP_018489910.1	XP_020881950.1
OG0003116	XP_018480475.1, XP_018478544.1	XP_020885721.1
OG0003116	XP_018484555.1	XP_020874270.1
OG0003117	XP_018442203.1, XP_018476756.1	XP_002871786.1
OG0003118	XP_018446419.1	XP_002871696.2
OG0003118	XP_018487135.1	XP_020886892.1
OG0003119	XP_018473688.1, XP_018473691.1, XP_018446890.1	XP_020878034.1
OG0003120	XP_018445630.1	XP_002871417.1
OG0003120	XP_018456898.1, XP_018456899.1	XP_002864949.1
OG0003121	XP_018487016.1, XP_018473275.1	XP_020884315.1, XP_002881250.1
OG0003122	XP_018478245.1, XP_018466313.1, XP_018471910.1	XP_002869685.1
OG0003123	XP_018449533.1, XP_018466373.1, XP_018468528.1	XP_002869348.1
OG0003124	XP_018476989.1	XP_002893545.1
OG0003125	XP_018490851.1, XP_018492636.1	XP_020866980.1
OG0003125	XP_018439221.1	XP_002892550.1
OG0003126	XP_018447223.1	XP_020866460.1
OG0003127	XP_018433130.1	XP_020881475.1
OG0003127	XP_018441267.1	XP_020883205.1
OG0003128	XP_018474489.1, XP_018442794.1	XP_020878591.1
OG0003128	XP_018449055.1	XP_002870516.1
OG0003129	XP_018456443.1, XP_018485519.1, XP_018463381.1	XP_020885884.1, XP_002875922.1
OG0003130	XP_018457589.1	XP_020888136.1
OG0003130	XP_018457587.1	XP_002866528.1
OG0003131	XP_018444348.1	XP_002873308.1
OG0003131	XP_018479277.1	XP_002862353.1
OG0003132	XP_018433933.1	XP_020881666.1
OG0003132	XP_018477713.1, XP_018460743.1	XP_020878938.1
OG0003133	XP_018439486.1	XP_020890046.1
OG0003134	XP_018491747.1, XP_018486906.1	XP_020886724.1
OG0003135	XP_018468218.1	XP_020872486.1
OG0003136	XP_018444898.1, XP_018443260.1	XP_002872005.1
OG0003138	XP_018470231.1, XP_018473283.1	XP_020871713.1, XP_002864162.1
OG0003139	XP_018455528.1, XP_018454343.1, XP_018454344.1	XP_002867588.1
OG0003140	XP_018486667.1, XP_018438296.1	XP_020871821.1, XP_020867047.1, XP_020869804.1, XP_020869802.1
OG0003141	XP_018489745.1, XP_018490034.1, XP_018490059.1	XP_020889192.1
OG0003142	XP_018457959.1	XP_020878222.1, XP_020866988.1
OG0003143	XP_018456004.1	XP_002874910.1
OG0003144	XP_018440194.1, XP_018440195.1	XP_002878025.2
OG0003145	XP_018475775.1	XP_002873164.1
OG0003146	XP_018445921.1	XP_020878126.1
OG0003148	XP_018456489.1, XP_018457695.1	XP_002887955.1
OG0003150	XP_018471536.1	XP_020890391.1
OG0003150	XP_018435395.1	XP_020868015.1
OG0003152	XP_018437586.1	XP_002892904.2
OG0003153	XP_018442842.1, XP_018442857.1	XP_002889216.1
OG0003154	XP_018468461.1, XP_018466273.1, XP_018447865.1	XP_020869362.1
OG0003155	XP_018444498.1, XP_018480131.1	XP_002887656.1
OG0003156	XP_018437163.1, XP_018481207.1, XP_018481219.1	XP_002875292.1
OG0003157	XP_018443309.1	XP_020870088.1
OG0003158	XP_018464611.1, XP_018479505.1, XP_018479511.1	XP_020887589.1
OG0003158	XP_018493519.1, XP_018446968.1	XP_002894431.1
OG0003159	XP_018479907.1, XP_018479904.1, XP_018464752.1, XP_018438473.1, XP_018481767.1, XP_018481766.1, XP_018438139.1	XP_002881427.1
OG0003160	XP_018474072.1, XP_018483938.1	XP_020884825.1, XP_002887089.1
OG0003161	XP_018463897.1	XP_020879437.1, XP_020878695.1
OG0003161	XP_018436491.1	XP_020881723.1
OG0003163	XP_018469218.1	XP_002870291.1
OG0003163	XP_018437886.1, XP_018437897.1	XP_020886054.1
OG0003164	XP_018487025.1	XP_002883306.1
OG0003165	XP_018442167.1, XP_018468245.1	XP_002888929.1
OG0003166	XP_018433417.1	XP_002892991.1
OG0003167	XP_018437459.1	XP_020882452.1
OG0003168	XP_018479628.1, XP_018479629.1	XP_002868719.1
OG0003168	XP_018483893.1, XP_018458470.1	XP_002875495.1
OG0003169	XP_018477153.1	XP_020880903.1
OG0003171	XP_018457940.1	XP_020883247.1
OG0003172	XP_018482076.1	XP_002886956.1, XP_020865619.1
OG0003172	XP_018446457.1	XP_020865697.1
OG0003173	XP_018477609.1	XP_002894209.2
OG0003175	XP_018460395.1, XP_018477608.1, XP_018434676.1	XP_020890613.1, XP_002894011.1
OG0003176	XP_018484089.1, XP_018466271.1, XP_018463644.1, XP_018468378.1, XP_018467041.1	XP_002868057.1
OG0003177	XP_018453660.1, XP_018453332.1, XP_018455648.1, XP_018462475.1, XP_018462276.1, XP_018469377.1	XP_002865850.1, XP_020882882.1
OG0003178	XP_018473296.1	XP_002864011.1
OG0003178	XP_018484485.1	XP_020867997.1
OG0003179	XP_018470857.1, XP_018470869.1	XP_002870155.1
OG0003179	XP_018481811.1	XP_002881412.1
OG0003180	XP_018463585.1, XP_018449414.1, XP_018472102.1	XP_002870123.1, XP_020883100.1
OG0003181	XP_018480439.1, XP_018439845.1, XP_018468187.1	XP_020881927.1, XP_020882348.1
OG0003182	XP_018432801.1	XP_020882239.1
OG0003182	XP_018446529.1	XP_020887656.1
OG0003183	XP_018459605.1, XP_018478390.1, XP_018491577.1, XP_018444714.1	XP_020880100.1, XP_002880069.1
OG0003184	XP_018460877.1, XP_018467526.1, XP_018445091.1	XP_020880516.1
OG0003185	XP_018453614.1, XP_018478421.1	XP_002876652.1
OG0003186	XP_018438199.1	XP_002877393.1
OG0003187	XP_018491918.1	XP_002878059.1
OG0003189	XP_018491034.1	XP_002876279.1
OG0003190	XP_018486252.1	XP_020880332.1
OG0003190	XP_018484160.1	XP_020884543.1
OG0003191	XP_018452025.1, XP_018472474.1	XP_020891172.1
OG0003192	XP_018492704.1	XP_020886292.1, XP_020877834.1
OG0003193	XP_018458575.1, XP_018461052.1	XP_020880686.1
OG0003194	XP_018477725.1, XP_018433808.1	XP_020873566.1, XP_020884364.1
OG0003195	XP_018480297.1	XP_002880518.1
OG0003195	XP_018481804.1, XP_018472343.1, XP_018472353.1	XP_002869012.1
OG0003196	XP_018440017.1	XP_020883634.1
OG0003197	XP_018473164.1, XP_018473169.1	XP_020877179.1, XP_002874707.1
OG0003198	XP_018477910.1	XP_020876956.1
OG0003198	XP_018487073.1	XP_020888394.1
OG0003199	XP_018441290.1	XP_020887575.1
OG0003199	XP_018469335.1, XP_018470190.1	XP_002869504.1
OG0003200	XP_018481734.1, XP_018438253.1	XP_002874434.1
OG0003201	XP_018434342.1, XP_018486219.1	XP_020889286.1, XP_020876965.1
OG0003202	XP_018476471.1	XP_020876091.1
OG0003203	XP_018485862.1	XP_002882518.1, XP_002882519.1
OG0003205	XP_018467655.1	XP_020874092.1
OG0003206	XP_018488741.1, XP_018489272.1, XP_018437747.1, XP_018437736.1, XP_018490999.1	XP_020889473.1
OG0003207	XP_018460494.1, XP_018460484.1	XP_020888651.1
OG0003208	XP_018487580.1, XP_018435453.1, XP_018488247.1	XP_002885269.2
OG0003211	XP_018451114.1	XP_002892237.1
OG0003211	XP_018437802.1, XP_018469114.1	XP_002889800.1
OG0003212	XP_018471513.1, XP_018471500.1, XP_018448154.1	XP_020871007.1
OG0003213	XP_018449633.1	XP_002889693.1
OG0003214	XP_018436756.1	XP_002886639.1
OG0003215	XP_018437984.1, XP_018488934.1	XP_020869514.1
OG0003216	XP_018460875.1	XP_002889990.1
OG0003217	XP_018478432.1, XP_018478796.1	XP_020882401.1, XP_020873596.1
OG0003218	XP_018451953.1	XP_020868579.1
OG0003219	XP_018484053.1, XP_018438360.1	XP_020866574.1
OG0003220	XP_018455332.1	XP_020865874.1
OG0003220	XP_018483138.1	XP_020867355.1
OG0003221	XP_018440614.1	XP_020869024.1
OG0003222	XP_018470975.1	XP_020869161.1
OG0003223	XP_018438641.1	XP_002888114.1, XP_020890145.1
OG0003224	XP_018453115.1	XP_002888193.1
OG0003224	XP_018453114.1	XP_020890334.1
OG0003225	XP_018481091.1, XP_018481673.1	XP_002868169.2
OG0003226	XP_018489448.1, XP_018482650.1	XP_002894087.1
OG0003228	XP_018459414.1, XP_018459413.1, XP_018482020.1, XP_018482016.1	XP_002862299.1, XP_002862297.1, XP_002869195.1
OG0003229	XP_018460426.1, XP_018448145.1, XP_018483898.1	XP_020868627.1, XP_020869051.1
OG0003230	XP_018470292.1	XP_002867490.1
OG0003230	XP_018472149.1	XP_020890911.1
OG0003231	XP_018480908.1	XP_020882139.1
OG0003231	XP_018437340.1	XP_002876894.1
OG0003233	XP_018480974.1, XP_018447662.1	XP_002867021.1, XP_020868290.1
OG0003236	XP_018437137.1, XP_018483956.1	XP_002880449.1
OG0003239	XP_018436486.1	XP_002877402.1
OG0003240	XP_018443373.1	XP_020872735.1
OG0003240	XP_018466525.1, XP_018462630.1	XP_002868043.1
OG0003246	XP_018440640.1	XP_020880211.1
OG0003247	XP_018440386.1	XP_002877511.1
OG0003247	XP_018491435.1	XP_020886739.1
OG0003248	XP_018467211.1, XP_018465720.1, XP_018457465.1, XP_018440623.1	XP_020880361.1, XP_020880360.1
OG0003249	XP_018434983.1, XP_018434781.1	XP_020888647.1
OG0003250	XP_018467487.1	XP_002871651.1
OG0003250	XP_018488339.1	XP_020888147.1
OG0003251	XP_018472582.1	XP_002873645.1
OG0003252	XP_018446331.1, XP_018455770.1	XP_002873544.1
OG0003254	XP_018493200.1	XP_020884793.1
OG0003254	XP_018475886.1	XP_002873446.1
OG0003255	XP_018444074.1	XP_002873445.1
OG0003255	XP_018443996.1	XP_002873444.1
OG0003256	XP_018446157.1, XP_018475891.1, XP_018475892.1, XP_018471782.1	XP_002873441.1, XP_020878014.1
OG0003257	XP_018473287.1, XP_018458588.1, XP_018442151.1	XP_002873413.1
OG0003258	XP_018487160.1	XP_020871289.1
OG0003259	XP_018433010.1	XP_020883502.1
OG0003259	XP_018476440.1	XP_020869365.1, XP_020876050.1
OG0003260	XP_018477840.1, XP_018476746.1	XP_020883054.1
OG0003261	XP_018434491.1, XP_018478294.1	XP_002881119.1
OG0003262	XP_018486190.1	XP_002892300.2
OG0003262	XP_018439127.1	XP_020873864.1, XP_002879352.1
OG0003263	XP_018488101.1, XP_018488102.1, XP_018477533.1	XP_002894166.1, XP_020869379.1
OG0003264	XP_018464056.1, XP_018466710.1	XP_020874598.1, XP_002870561.1, XP_002881256.1, XP_002862858.1
OG0003265	XP_018483953.1, XP_018483113.1, XP_018483112.1	XP_002868681.1
OG0003266	XP_018473886.1, XP_018447480.1	XP_020867576.1
OG0003267	XP_018464443.1	XP_002890869.1
OG0003267	XP_018491904.1	XP_002890868.1
OG0003268	XP_018477565.1, XP_018465229.1	XP_002864752.1, XP_020872000.1
OG0003269	XP_018488472.1, XP_018439924.1	XP_020882936.1
OG0003270	XP_018440358.1, XP_018466699.1, XP_018432816.1	XP_020871210.1
OG0003271	XP_018477375.1, XP_018457961.1	XP_002872062.1
OG0003272	XP_018448222.1	XP_020880690.1, XP_020880689.1
OG0003273	XP_018465672.1, XP_018469573.1	XP_002875706.1
OG0003273	XP_018473462.1	XP_020879238.1
OG0003274	XP_018435855.1	XP_020887399.1
OG0003275	XP_018493081.1, XP_018486333.1, XP_018434185.1	XP_002884941.1, XP_020889664.1
OG0003276	XP_018474224.1, XP_018474226.1, XP_018455615.1	XP_002866267.1, XP_002868499.1
OG0003277	XP_018457653.1, XP_018484221.1, XP_018484222.1	XP_020873729.1
OG0003278	XP_018433784.1, XP_018472304.1	XP_020881404.1
OG0003279	XP_018441653.1, XP_018465167.1, XP_018486662.1	XP_020882187.1, XP_002864972.1, XP_020880282.1
OG0003280	XP_018468240.1	XP_002873099.1, XP_002873082.1
OG0003281	XP_018445038.1, XP_018463575.1, XP_018468284.1	XP_002889929.1, XP_020879427.1
OG0003282	XP_018488213.1, XP_018468197.1, XP_018460846.1, XP_018459398.1, XP_018443208.1	XP_002893274.1, XP_002893039.1
OG0003283	XP_018459881.1, XP_018459265.1, XP_018432987.1	XP_020885080.1
OG0003285	XP_018478640.1, XP_018469979.1, XP_018469976.1	XP_020875114.1
OG0003286	XP_018458659.1, XP_018482594.1, XP_018469182.1, XP_018482595.1, XP_018469236.1	XP_002869968.1
OG0003287	XP_018452227.1, XP_018456644.1	XP_020869192.1, XP_020866076.1
OG0003288	XP_018474893.1	XP_020891623.1, XP_020871969.1, XP_020880292.1, XP_020881695.1, XP_020871400.1, XP_020882083.1
OG0003289	XP_018470163.1	XP_020886714.1
OG0003290	XP_018492375.1	XP_020886691.1
OG0003290	XP_018470779.1	XP_002870266.2
OG0003291	XP_018491197.1	XP_002887948.1, XP_020889821.1
OG0003292	XP_018448298.1, XP_018450269.1, XP_018489148.1	XP_002890630.1
OG0003293	XP_018488120.1	XP_002894342.1
OG0003294	XP_018489724.1, XP_018438173.1, XP_018438165.1	XP_020887501.1
OG0003295	XP_018462847.1, XP_018454134.1, XP_018453906.1	XP_002868000.1
OG0003297	XP_018490373.1	XP_020871092.1, XP_020877374.1, XP_002862247.1
OG0003298	XP_018470200.1, XP_018471363.1	XP_002869973.2
OG0003299	XP_018459274.1, XP_018475817.1	XP_020889657.1, XP_002865852.1
OG0003300	XP_018445269.1	XP_002894238.1
OG0003301	XP_018472211.1	XP_020871744.1
OG0003301	XP_018440879.1	XP_020880791.1
OG0003302	XP_018432609.1	XP_002878389.1
OG0003303	XP_018484291.1	XP_002876245.1
OG0003304	XP_018467766.1, XP_018467765.1	XP_020873256.1
OG0003305	XP_018452118.1	XP_002883602.2
OG0003306	XP_018432599.1	XP_002885739.1
OG0003306	XP_018483316.1	XP_020870886.1
OG0003307	XP_018445075.1	XP_002890706.1, XP_020889986.1
OG0003308	XP_018491781.1	XP_002886267.1
OG0003309	XP_018450628.1, XP_018433210.1	XP_002891820.1
OG0003310	XP_018472411.1	XP_002891295.2
OG0003311	XP_018437948.1, XP_018441439.1	XP_002880290.2
OG0003311	XP_018478262.1, XP_018464362.1	XP_002880289.1
OG0003312	XP_018445323.1	XP_020891076.1
OG0003312	XP_018434067.1	XP_020882962.1
OG0003313	XP_018453007.1	XP_002867109.1
OG0003314	XP_018478348.1, XP_018485867.1	XP_002882393.1
OG0003315	XP_018441772.1	XP_020878093.1
OG0003316	XP_018491098.1	XP_020888345.1
OG0003316	XP_018446578.1	XP_020878476.1
OG0003317	XP_018434745.1, XP_018482885.1	XP_020868605.1
OG0003318	XP_018486535.1, XP_018486550.1, XP_018487332.1, XP_018487217.1	XP_020889206.1, XP_002885081.1
OG0003319	XP_018492321.1, XP_018440605.1	XP_002883029.1
OG0003320	XP_018447646.1	XP_020867827.1, XP_020867826.1
OG0003320	XP_018488559.1	XP_020886324.1
OG0003321	XP_018469308.1	XP_002867241.1
OG0003322	XP_018481820.1	XP_002870821.2
OG0003322	XP_018481494.1, XP_018438122.1	XP_020881615.1
OG0003323	XP_018490435.1	XP_020886735.1
OG0003323	XP_018459671.1	XP_002885493.1
OG0003324	XP_018482593.1, XP_018478849.1	XP_002869392.1
OG0003324	XP_018455879.1	XP_002884180.1
OG0003325	XP_018453648.1, XP_018458009.1	XP_020866536.1
OG0003326	XP_018440634.1, XP_018484974.1, XP_018484961.1	XP_020880250.1
OG0003327	XP_018456205.1	XP_020879193.1
OG0003328	XP_018474365.1, XP_018474377.1	XP_002872915.1
OG0003329	XP_018469527.1	XP_002869367.1
OG0003330	XP_018489408.1, XP_018461520.1, XP_018487414.1, XP_018434778.1	XP_002892393.2
OG0003331	XP_018454376.1	XP_020870304.1
OG0003331	XP_018465404.1, XP_018492384.1, XP_018450959.1	XP_020869690.1
OG0003332	XP_018447906.1	XP_020869165.1
OG0003332	XP_018483253.1	XP_020879963.1
OG0003333	XP_018433331.1, XP_018433313.1, XP_018490122.1	XP_020868127.1
OG0003334	XP_018482040.1, XP_018461426.1, XP_018461425.1, XP_018449524.1, XP_018450592.1, XP_018462008.1	XP_020868413.1
OG0003335	XP_018458491.1, XP_018445720.1, XP_018467932.1	XP_020870360.1
OG0003336	XP_018452835.1	XP_020865624.1
OG0003337	XP_018441228.1	XP_002888791.1
OG0003337	XP_018451208.1	XP_020868670.1
OG0003338	XP_018456071.1, XP_018445969.1	XP_020867324.1, XP_020890345.1
OG0003339	XP_018456863.1	XP_020871347.1
OG0003340	XP_018437294.1, XP_018439052.1	XP_020874330.1
OG0003341	XP_018437688.1, XP_018438059.1, XP_018461695.1, XP_018481863.1	XP_002874766.2
OG0003342	XP_018468051.1, XP_018490433.1, XP_018480976.1	XP_020891358.1
OG0003343	XP_018467797.1	XP_020873133.1, XP_020873139.1
OG0003346	YP_009046893.1	YP_009357246.1
OG0003347	XP_018449179.1, XP_018450115.1, XP_018450116.1, XP_018477189.1, XP_018453496.1, XP_018450063.1, XP_018450117.1	XP_020874911.1
OG0003348	XP_018481259.1, XP_018466529.1, XP_018469213.1	XP_002867064.1, XP_020876592.1, XP_020875685.1
OG0003349	XP_018484477.1	XP_002862579.1, XP_020873869.1
OG0003350	XP_018480244.1, XP_018480263.1, XP_018470799.1, XP_018451193.1	XP_020872078.1
OG0003351	XP_018443506.1, XP_018446243.1	XP_020890857.1, XP_020890856.1
OG0003353	XP_018451416.1, XP_018451441.1, XP_018483946.1	XP_020872612.1
OG0003354	XP_018448068.1, XP_018489497.1	XP_020870004.1, XP_020866397.1
OG0003356	XP_018489081.1	XP_002893492.1
OG0003360	XP_018488156.1, XP_018490147.1	XP_020885993.1
OG0003364	XP_018464158.1, XP_018478686.1, XP_018434490.1	XP_002875354.1
OG0003366	XP_018466488.1	XP_020868680.1
OG0003366	XP_018490527.1, XP_018461936.1, XP_018490639.1, XP_018440603.1	XP_020889072.1
OG0003367	XP_018437284.1, XP_018437282.1	XP_020888729.1
OG0003372	XP_018448768.1, XP_018434949.1, XP_018434944.1	XP_020881711.1
OG0003373	XP_018467688.1	XP_002893495.1
OG0003373	XP_018469307.1	XP_002890755.1
OG0003374	XP_018489025.1	XP_020870920.1
OG0003375	XP_018488540.1	XP_002864086.1
OG0003375	XP_018466451.1	XP_002887691.1
OG0003376	XP_018486665.1	XP_002883713.1
OG0003377	XP_018475805.1, XP_018461364.1	XP_002873768.1
OG0003378	XP_018442098.1	XP_020877574.1
OG0003378	XP_018464059.1	XP_002882243.1
OG0003379	XP_018455833.1, XP_018466159.1	XP_020874969.1
OG0003381	XP_018442764.1	XP_020878342.1
OG0003381	XP_018474875.1	XP_020888342.1
OG0003382	XP_018435777.1, XP_018435778.1	XP_002887334.2, XP_002887335.1, XP_020868106.1
OG0003383	XP_018474396.1	XP_002871438.1
OG0003383	XP_018477216.1	XP_020878464.1
OG0003384	XP_018449847.1	XP_020883076.1, XP_020883073.1, XP_020875167.1
OG0003385	XP_018446876.1	XP_002873346.1
OG0003386	XP_018476072.1, XP_018470406.1	XP_002873323.2
OG0003387	XP_018451126.1	XP_020873618.1
OG0003388	XP_018453546.1	XP_020873379.1
OG0003389	XP_018463033.1, XP_018458358.1, XP_018438834.1	XP_002879398.1, XP_002880840.1
OG0003390	XP_018435197.1, XP_018435196.1, XP_018479842.1	XP_020882988.1
OG0003392	XP_018484881.1	XP_020889551.1, XP_020889541.1
OG0003393	XP_018433134.1	XP_020885711.1
OG0003393	XP_018478912.1, XP_018477035.1	XP_002890883.1
OG0003395	XP_018438447.1	XP_002877702.1
OG0003396	XP_018457904.1, XP_018474951.1	XP_020885853.1, XP_002873421.1
OG0003397	XP_018461792.1, XP_018449377.1, XP_018468025.1, XP_018480782.1, XP_018493346.1	XP_002869205.1
OG0003398	XP_018458211.1	XP_002866539.1
OG0003399	XP_018458184.1, XP_018458201.1, XP_018452513.1	XP_020888635.1, XP_020871873.1
OG0003400	XP_018466241.1	XP_020872001.1
OG0003400	XP_018455039.1, XP_018488692.1, XP_018488700.1	XP_020880378.1
OG0003401	XP_018458680.1	XP_002874156.1, XP_002874157.1
OG0003402	XP_018468395.1, XP_018470597.1, XP_018442741.1	XP_020878866.1
OG0003404	XP_018456453.1, XP_018472778.1	XP_002864584.1, XP_020881342.1
OG0003405	XP_018475934.1, XP_018465492.1, XP_018457395.1	XP_002864474.1, XP_020871998.1
OG0003408	XP_018475446.1, XP_018469509.1, XP_018461907.1, XP_018443901.1, XP_018446364.1	XP_020875938.1
OG0003409	XP_018474350.1, XP_018474347.1	XP_002873102.1
OG0003409	XP_018475987.1, XP_018475342.1	XP_020875870.1
OG0003410	XP_018491679.1	XP_002882613.1
OG0003410	XP_018472605.1	XP_002870955.1
OG0003411	XP_018434966.1	XP_020878637.1, XP_020887193.1
OG0003412	XP_018491826.1, XP_018491493.1	XP_002884700.1
OG0003413	XP_018480608.1	XP_020888259.1
OG0003414	XP_018472283.1, XP_018448615.1, XP_018456237.1	XP_020890423.1
OG0003415	XP_018484165.1, XP_018454040.1, XP_018451025.1	XP_002866831.1
OG0003416	XP_018463696.1, XP_018477284.1, XP_018446995.1	XP_002887644.1
OG0003417	XP_018434588.1, XP_018450674.1, XP_018450769.1, XP_018491763.1, XP_018432538.1	XP_002894517.2
OG0003418	XP_018434857.1	XP_002891764.2
OG0003419	XP_018492252.1	XP_020867130.1, XP_020867129.1
OG0003420	XP_018479915.1, XP_018479914.1	XP_020883204.1
OG0003421	XP_018464052.1	XP_020889002.1
OG0003421	XP_018484315.1	XP_002868307.1
OG0003422	XP_018470452.1	XP_020875667.1
OG0003423	XP_018453494.1, XP_018454852.1, XP_018455928.1, XP_018445754.1	XP_020890526.1
OG0003424	XP_018454494.1, XP_018477414.1	XP_020881940.1
OG0003425	XP_018482125.1	XP_020868631.1
OG0003426	XP_018454968.1, XP_018454824.1	XP_002870049.1
OG0003427	XP_018432588.1, XP_018473903.1	XP_002891660.1
OG0003428	XP_018488118.1, XP_018490244.1	XP_002891661.2
OG0003428	XP_018490329.1	XP_020888735.1
OG0003429	XP_018441445.1	XP_002894411.1
OG0003431	XP_018480798.1	XP_002870028.2, XP_002870027.1
OG0003432	XP_018451947.1	XP_002870036.1
OG0003433	XP_018468978.1, XP_018481461.1	XP_002877765.1
OG0003434	XP_018453344.1, XP_018476226.1	XP_002864107.1, XP_002864109.1
OG0003435	XP_018461457.1, XP_018452535.1, XP_018462246.1, XP_018473833.1, XP_018472316.1, XP_018470136.1	XP_020882871.1
OG0003437	XP_018454148.1	XP_002870315.2
OG0003438	XP_018446744.1, XP_018485256.1	XP_020875107.1
OG0003439	XP_018438395.1, XP_018445847.1	XP_002882700.2
OG0003440	XP_018479184.1, XP_018462382.1, XP_018459197.1, XP_018448486.1, XP_018468874.1	XP_020873666.1
OG0003441	XP_018451147.1, XP_018449609.1, XP_018458431.1	XP_020873946.1, XP_002893827.1
OG0003442	XP_018435158.1	XP_020883493.1
OG0003443	XP_018486283.1, XP_018446672.1	XP_002879998.1, XP_002876472.1
OG0003444	XP_018477125.1, XP_018473067.1, XP_018439307.1, XP_018473066.1	XP_020884616.1
OG0003445	XP_018446163.1, XP_018458563.1	XP_002878125.1
OG0003446	XP_018458719.1, XP_018480853.1	XP_002879857.1
OG0003447	XP_018491377.1, XP_018489558.1, XP_018489566.1	XP_020888991.1
OG0003448	XP_018433912.1, XP_018491298.1, XP_018491297.1, XP_018486189.1, XP_018486229.1	XP_002883519.1, XP_002880717.1
OG0003449	XP_018457662.1, XP_018451621.1, XP_018471964.1, XP_018471950.1	XP_020872566.1
OG0003450	XP_018434214.1, XP_018478672.1	XP_020884532.1
OG0003452	XP_018459452.1, XP_018452161.1	XP_002874587.1
OG0003452	XP_018462170.1	XP_002891076.2
OG0003453	XP_018481687.1, XP_018436474.1, XP_018477954.1	XP_020884425.1
OG0003454	XP_018456026.1, XP_018434164.1, XP_018483573.1	XP_002882117.1, XP_002884016.2
OG0003455	XP_018466875.1, XP_018481797.1, XP_018480837.1, XP_018437700.1	XP_020884939.1
OG0003456	XP_018437287.1	XP_020882884.1, XP_020870671.1
OG0003457	XP_018480307.1, XP_018480284.1	XP_020885150.1
OG0003457	XP_018433817.1	XP_002878300.1
OG0003458	XP_018433820.1	XP_020885153.1
OG0003460	XP_018493525.1, XP_018493526.1	XP_002882461.1
OG0003460	XP_018435305.1	XP_002882462.1
OG0003461	XP_018488313.1	XP_002884601.2
OG0003462	XP_018486251.1, XP_018492595.1	XP_020887583.1, XP_020889068.1
OG0003463	XP_018485438.1	XP_020879962.1, XP_002884846.2
OG0003464	XP_018434854.1, XP_018491055.1, XP_018466759.1, XP_018464816.1, XP_018466018.1	XP_020888313.1
OG0003465	XP_018490167.1, XP_018433012.1, XP_018486387.1	XP_020888817.1, XP_020888523.1
OG0003466	XP_018434667.1, XP_018488698.1	XP_020888913.1, XP_002884984.1
OG0003467	XP_018492116.1	XP_020886990.1
OG0003468	XP_018472483.1, XP_018472484.1	XP_020873688.1, XP_020873601.1
OG0003469	XP_018454475.1, XP_018454521.1	XP_020875159.1
OG0003470	XP_018451210.1, XP_018493230.1, XP_018481900.1	XP_002889723.1
OG0003471	XP_018451514.1	XP_020867702.1, XP_020867703.1
OG0003472	XP_018450100.1, XP_018460009.1, XP_018450060.1, XP_018459388.1, XP_018486546.1, XP_018441520.1, XP_018464428.1	XP_020870240.1
OG0003473	XP_018487299.1, XP_018480513.1	XP_002892539.2
OG0003474	XP_018434009.1	XP_002888200.1
OG0003475	XP_018434946.1	XP_002889936.1
