Orthogroup	Raphanus_sativus	Arabidopsis_arenosa
OG0002085	XP_018488921.1, XP_018462238.1, XP_018439357.1	jg23497
OG0002087	XP_018433852.1	jg14810
OG0002087	XP_018478938.1, XP_018465292.1	jg6332
OG0002088	XP_018462829.1	jg6346, jg6344, jg6343, jg6345
OG0002089	XP_018440075.1	jg13967
OG0002089	XP_018445733.1, XP_018471549.1	jg5913
OG0002090	XP_018473122.1, XP_018443178.1	jg6128
OG0002090	XP_018465598.1, XP_018463839.1, XP_018457325.1	jg14247
OG0002091	XP_018453282.1	jg22906
OG0002092	XP_018470527.1	jg9862
OG0002093	XP_018450359.1, XP_018449189.1, XP_018469796.1	jg9847
OG0002093	XP_018452387.1	jg22583
OG0002094	XP_018481814.1, XP_018478990.1, XP_018470913.1	jg9812
OG0002094	XP_018456973.1	jg22478
OG0002096	XP_018454785.1, XP_018445055.1	jg22313
OG0002096	XP_018470476.1	jg9748
OG0002097	XP_018469612.1, XP_018469610.1	jg7942
OG0002097	XP_018433541.1	jg28622
OG0002098	XP_018462061.1, XP_018462874.1, XP_018455367.1	jg8916
OG0002099	XP_018458137.1, XP_018465717.1, XP_018443411.1, XP_018445575.1, XP_018473407.1	jg4334
OG0002100	XP_018437899.1, XP_018437197.1, XP_018492596.1	jg24822
OG0002101	XP_018437655.1	jg24149
OG0002101	XP_018472194.1, XP_018475909.1	jg3883
OG0002102	XP_018463595.1, XP_018478308.1	jg13424
OG0002102	XP_018477652.1, XP_018477638.1	jg12707
OG0002103	XP_018445360.1	jg1013
OG0002103	XP_018451285.1, XP_018493206.1	jg30007
OG0002104	XP_018439368.1, XP_018492989.1	jg30063
OG0002104	XP_018445904.1	jg3718
OG0002105	XP_018439930.1, XP_018443279.1	jg30108
OG0002105	XP_018442795.1	jg3656
OG0002106	XP_018453684.1	jg30129
OG0002106	XP_018459770.1, XP_018459781.1	jg3613
OG0002107	XP_018443796.1, XP_018454417.1, XP_018443933.1	jg3607, jg30132
OG0002108	XP_018460635.1, XP_018453347.1	jg3603
OG0002108	XP_018436133.1	jg30135
OG0002109	XP_018473654.1, XP_018491422.1	jg30776, jg30774
OG0002109	XP_018459812.1, XP_018468359.1	jg3473
OG0002110	XP_018445657.1, XP_018445475.1	jg3367
OG0002110	XP_018450510.1, XP_018450511.1	jg30688
OG0002111	XP_018447287.1, XP_018462206.1	jg30650
OG0002111	XP_018442293.1	jg3329
OG0002112	XP_018451122.1	jg33725
OG0002112	XP_018466232.1, XP_018492551.1	jg25317
OG0002113	XP_018440802.1, XP_018451768.1	jg33711
OG0002113	XP_018488767.1	jg25322
OG0002114	XP_018433611.1	jg25340
OG0002114	XP_018436259.1	jg33690
OG0002115	XP_018469324.1	jg2301, jg2304
OG0002115	XP_018481319.1, XP_018490756.1	jg31239
OG0002116	XP_018461184.1, XP_018447917.1	jg11426
OG0002117	XP_018482018.1	jg11339
OG0002117	XP_018434395.1, XP_018489992.1	jg26579
OG0002118	XP_018447112.1, XP_018470900.1	jg11317
OG0002118	XP_018460318.1, XP_018441664.1	jg26550
OG0002119	XP_018485694.1, XP_018441595.1	jg26430
OG0002120	XP_018448260.1	jg32507
OG0002120	XP_018470475.1	jg9749
OG0002121	XP_018483998.1, XP_018460590.1	jg10803, jg11097
OG0002121	XP_018454137.1	jg20406
OG0002122	XP_018472017.1, XP_018462962.1, XP_018484529.1	jg11151
OG0002122	XP_018486156.1	jg26346
OG0002123	XP_018478955.1, XP_018480466.1, XP_018440631.1	jg16587
OG0002124	XP_018481268.1	jg30278
OG0002124	XP_018456869.1, XP_018452726.1	jg2910
OG0002127	XP_018484821.1, XP_018452204.1, XP_018461440.1, XP_018442015.1	jg13450, jg12702
OG0002128	XP_018478041.1, XP_018466543.1	jg20523
OG0002128	XP_018447086.1	jg10686
OG0002129	XP_018492783.1	jg33308
OG0002129	XP_018487315.1	jg26283
OG0002130	XP_018434619.1, XP_018486394.1	jg25615
OG0002131	XP_018475733.1, XP_018475724.1	jg18584
OG0002131	XP_018435769.1, XP_018438372.1	jg20413
OG0002132	XP_018451327.1, XP_018451348.1, XP_018468485.1, XP_018468495.1	jg13661, jg13701
OG0002133	XP_018467929.1	jg10128
OG0002134	XP_018469348.1	jg8911
OG0002134	XP_018486882.1, XP_018434971.1	jg27603
OG0002135	XP_018463247.1, XP_018452725.1	jg27751
OG0002136	XP_018454922.1	jg7451
OG0002137	XP_018470096.1, XP_018463406.1, XP_018481260.1	jg10103
OG0002137	XP_018458952.1, XP_018458951.1	jg7458
OG0002138	XP_018468061.1	jg9143
OG0002138	XP_018438026.1	jg17141
OG0002139	XP_018479170.1, XP_018479169.1	jg13662, jg32041, jg32044, jg10259
OG0002140	XP_018443918.1, XP_018443956.1	jg10574
OG0002141	XP_018481669.1	jg10572
OG0002141	XP_018481636.1, XP_018480657.1	jg20651
OG0002142	XP_018477472.1	jg20687
OG0002142	XP_018451333.1, XP_018467962.1, XP_018485004.1	jg10533
OG0002143	XP_018449807.1, XP_018471316.1, XP_018449282.1	jg10461
OG0002144	XP_018476720.1	jg7266
OG0002144	XP_018449760.1, XP_018487282.1	jg32239
OG0002145	XP_018444099.1	jg16345
OG0002146	XP_018441004.1	jg20043
OG0002146	XP_018487036.1	jg16232
OG0002147	XP_018442657.1, XP_018442642.1	jg16211
OG0002147	XP_018433789.1	jg20016
OG0002148	XP_018432727.1, XP_018442228.1	jg16148
OG0002148	XP_018441187.1	jg19939
OG0002149	XP_018482041.1, XP_018482036.1, XP_018465370.1, XP_018492825.1	jg16085
OG0002150	XP_018439058.1, XP_018439060.1	jg19493
OG0002151	XP_018483467.1	jg19384
OG0002151	XP_018488365.1	jg15700
OG0002152	XP_018442496.1, XP_018488373.1, XP_018488374.1	jg15716, jg15644
OG0002153	XP_018489160.1	jg15614
OG0002153	XP_018433059.1	jg19347
OG0002154	XP_018442391.1, XP_018484290.1	jg19046
OG0002155	XP_018442736.1, XP_018490087.1	jg15268
OG0002156	XP_018483815.1, XP_018470966.1	jg9675
OG0002157	XP_018440762.1	jg25764
OG0002157	XP_018470394.1	jg11054
OG0002158	XP_018447941.1	jg11528
OG0002159	XP_018436153.1	jg17551, jg14480, jg14510
OG0002160	XP_018444600.1, XP_018446209.1	jg2297
OG0002160	XP_018451202.1	jg31242
OG0002161	XP_018447799.1, XP_018439862.1	jg31208
OG0002162	XP_018454708.1, XP_018441248.1	jg28052
OG0002162	XP_018446806.1	jg9378
OG0002164	XP_018463329.1, XP_018466386.1, XP_018434406.1	jg19238
OG0002165	XP_018461701.1	jg18900
OG0002165	XP_018482442.1, XP_018433550.1	jg18902
OG0002166	XP_018480873.1, XP_018480874.1	jg20335
OG0002167	XP_018478600.1	jg16537
OG0002167	XP_018470464.1, XP_018478926.1, XP_018480223.1, XP_018447695.1, XP_018447854.1	jg8359
OG0002168	XP_018463739.1, XP_018483569.1	jg16558
OG0002168	XP_018454096.1	jg8377
OG0002169	XP_018463650.1, XP_018485283.1, XP_018448252.1	jg8381
OG0002169	XP_018463933.1	jg16565
OG0002170	XP_018438835.1	jg16644
OG0002170	XP_018462172.1, XP_018477287.1	jg16596
OG0002171	XP_018474873.1, XP_018452399.1	jg7374
OG0002172	XP_018456640.1, XP_018463759.1	jg6726
OG0002172	XP_018491332.1	jg24381
OG0002174	XP_018462247.1, XP_018437120.1, XP_018440978.1	jg19970
OG0002174	XP_018490814.1	jg28438
OG0002175	XP_018460733.1, XP_018471011.1, XP_018450360.1, XP_018450014.1, XP_018469384.1	jg9829, jg6228
OG0002177	XP_018486839.1, XP_018486981.1	jg24642
OG0002177	XP_018440113.1, XP_018483431.1	jg21508
OG0002178	XP_018478758.1	jg21433
OG0002178	XP_018486869.1, XP_018492830.1	jg24669
OG0002179	XP_018441350.1	jg24777
OG0002179	XP_018485388.1	jg24776
OG0002180	XP_018463387.1, XP_018491218.1	jg4498
OG0002181	XP_018488674.1, XP_018486792.1, XP_018439472.1	jg32901
OG0002182	XP_018487090.1, XP_018434514.1	jg25935
OG0002182	XP_018443045.1	jg32944
OG0002184	XP_018460673.1, XP_018486973.1	jg26069
OG0002184	XP_018451775.1, XP_018488861.1, XP_018466972.1	jg33100
OG0002185	XP_018478108.1, XP_018458751.1	jg13685
OG0002185	XP_018478477.1	jg12550
OG0002186	XP_018459660.1, XP_018486887.1	jg26484
OG0002187	XP_018458153.1	jg12026
OG0002187	XP_018457728.1, XP_018462914.1	jg1811
OG0002189	XP_018482917.1, XP_018477198.1, XP_018476924.1	jg18719
OG0002190	XP_018459964.1	jg19262
OG0002190	XP_018463319.1, XP_018469806.1	jg15080
OG0002191	XP_018434647.1	jg28898
OG0002191	XP_018482292.1, XP_018482340.1	jg18256
OG0002192	XP_018481363.1, XP_018464948.1	jg29418
OG0002193	XP_018456299.1, XP_018454179.1	jg1088
OG0002193	XP_018436478.1, XP_018440579.1	jg29425
OG0002194	XP_018454859.1	jg1009
OG0002194	XP_018485919.1, XP_018479695.1, XP_018433115.1	jg29436
OG0002195	XP_018452745.1	jg888
OG0002195	XP_018491712.1	jg29503
OG0002196	XP_018448144.1, XP_018448165.1, XP_018486928.1, XP_018468115.1	jg29679
OG0002197	XP_018434934.1	jg29990
OG0002197	XP_018433778.1	jg12916
OG0002198	XP_018454888.1	jg2726
OG0002199	XP_018433780.1	jg2722
OG0002199	XP_018439529.1	jg30864
OG0002200	XP_018453676.1, XP_018453681.1, XP_018446467.1, XP_018446468.1, XP_018456372.1	jg2735, jg2736, jg2737
OG0002201	XP_018454029.1	jg665
OG0002201	XP_018454450.1, XP_018454451.1	jg668, jg669
OG0002202	XP_018491386.1	jg12854
OG0002203	XP_018470715.1, XP_018479068.1	jg9485
OG0002203	XP_018435822.1	jg28162
OG0002205	XP_018462514.1	jg2048
OG0002205	XP_018444730.1	jg2015
OG0002206	XP_018469085.1	jg30453
OG0002207	XP_018451373.1, XP_018433497.1	jg8406
OG0002208	XP_018435067.1, XP_018466610.1	jg16761
OG0002209	XP_018448454.1, XP_018450156.1	jg8926, jg8973
OG0002210	XP_018470075.1	jg8930
OG0002211	XP_018462486.1, XP_018482762.1	jg11433
OG0002211	XP_018492277.1, XP_018489774.1	jg26655
OG0002212	XP_018492233.1, XP_018438726.1	jg31263
OG0002213	XP_018479101.1, XP_018482652.1	jg9765
OG0002213	XP_018470804.1	jg22336
OG0002214	XP_018463813.1	jg2135, jg2210, jg2183, jg2196, jg2191, jg12328, jg12334
OG0002216	XP_018448441.1, XP_018448440.1	jg9155
OG0002221	XP_018485176.1, XP_018434401.1, XP_018434116.1	jg18644
OG0002222	XP_018456381.1, XP_018456382.1	jg31398, jg31399
OG0002223	XP_018438620.1, XP_018490530.1	jg24169
OG0002224	XP_018473430.1	jg21654
OG0002224	XP_018451922.1, XP_018446380.1	jg10015
OG0002225	XP_018471960.1	jg5284
OG0002226	XP_018443306.1, XP_018443308.1, XP_018467623.1	jg5193
OG0002227	XP_018484146.1	jg17615
OG0002227	XP_018451258.1, XP_018491496.1	jg29204
OG0002228	XP_018463192.1, XP_018471615.1, XP_018490110.1	jg29137
OG0002229	XP_018439129.1	jg18263
OG0002229	XP_018432861.1	jg28895
OG0002230	XP_018448143.1	jg28750
OG0002230	XP_018454574.1	jg20860
OG0002231	XP_018449646.1, XP_018449645.1, XP_018452176.1	jg28739
OG0002231	XP_018483461.1, XP_018441619.1	jg20833
OG0002232	XP_018477113.1, XP_018457023.1	jg20764, jg28692
OG0002233	XP_018435648.1	jg7842
OG0002234	XP_018469715.1, XP_018469471.1	jg9955
OG0002234	XP_018454822.1, XP_018472318.1, XP_018462256.1	jg21786
OG0002235	XP_018469202.1	jg9948
OG0002235	XP_018449926.1, XP_018451652.1	jg31614
OG0002236	XP_018462907.1, XP_018454993.1	jg21912
OG0002237	XP_018482242.1, XP_018465685.1	jg18515
OG0002238	XP_018455013.1	jg27958, jg31567, jg19253
OG0002239	XP_018479888.1	jg18605
OG0002239	XP_018464276.1, XP_018448124.1, XP_018439324.1	jg31652
OG0002240	XP_018476668.1, XP_018462287.1, XP_018477266.1, XP_018433271.1	jg18692
OG0002241	XP_018467501.1, XP_018486793.1	jg31889
OG0002241	XP_018434585.1	jg18662
OG0002242	XP_018438467.1	jg23675
OG0002242	XP_018437099.1	jg14894
OG0002243	XP_018446971.1, XP_018472354.1	jg4569
OG0002243	XP_018432841.1	jg23128
OG0002244	XP_018438108.1, XP_018481119.1	jg23024
OG0002248	XP_018488291.1, XP_018490351.1	jg11607
OG0002249	XP_018473264.1, XP_018468487.1	jg22910
OG0002250	XP_018468952.1, XP_018472113.1	jg22783
OG0002250	XP_018439116.1	jg23958
OG0002251	XP_018457076.1	jg22661
OG0002251	XP_018472453.1	jg9885
OG0002252	XP_018481224.1, XP_018467256.1	jg9828
OG0002252	XP_018461401.1, XP_018471298.1	jg22546
OG0002253	XP_018452411.1, XP_018452081.1	jg22305
OG0002253	XP_018478585.1, XP_018478800.1	jg9743
OG0002254	XP_018490533.1, XP_018490529.1, XP_018488305.1	jg28621
OG0002254	XP_018458723.1	jg7945
OG0002255	XP_018433685.1	jg27754
OG0002255	XP_018451068.1	jg10363
OG0002256	XP_018492651.1, XP_018485524.1	jg25079
OG0002256	XP_018442731.1	jg4338
OG0002257	XP_018432598.1	jg25045
OG0002257	XP_018443403.1, XP_018443406.1	jg4289
OG0002258	XP_018436382.1	jg19029
OG0002258	XP_018475025.1, XP_018475027.1	jg4101
OG0002259	XP_018442351.1	jg4024
OG0002259	XP_018454172.1	jg4025
OG0002260	XP_018484737.1	jg18992
OG0002261	XP_018479673.1	jg12706
OG0002261	XP_018465483.1, XP_018463596.1	jg13426
OG0002262	XP_018447760.1	jg3754
OG0002262	XP_018450090.1, XP_018458796.1	jg30024
OG0002263	XP_018445954.1	jg3740
OG0002263	XP_018451356.1, XP_018487922.1	jg30037
OG0002264	XP_018453075.1	jg3689
OG0002264	XP_018490145.1	jg30078
OG0002266	XP_018471308.1	jg3445
OG0002266	XP_018451099.1, XP_018447379.1	jg30755
OG0002267	XP_018462298.1, XP_018444212.1	jg3356
OG0002267	XP_018481179.1, XP_018463236.1, XP_018459126.1	jg30676
OG0002268	XP_018442221.1, XP_018444234.1, XP_018462511.1, XP_018480192.1, XP_018483004.1	jg3278
OG0002269	XP_018474148.1	jg30500
OG0002270	XP_018492856.1, XP_018492826.1	jg30491
OG0002270	XP_018472402.1	jg3194
OG0002271	XP_018461316.1	jg16060
OG0002271	XP_018468465.1	jg33734, jg33737
OG0002272	XP_018493509.1	jg25324
OG0002272	XP_018440798.1	jg33710
OG0002273	XP_018432589.1	jg25334
OG0002273	XP_018451462.1	jg33696
OG0002274	XP_018432850.1	jg26584
OG0002274	XP_018484947.1, XP_018484962.1	jg11342
OG0002275	XP_018467187.1	jg11325
OG0002275	XP_018447289.1	jg11326
OG0002276	XP_018458011.1	jg2980
OG0002276	XP_018477174.1	jg30320
OG0002277	XP_018468274.1, XP_018443991.1, XP_018454853.1	jg2490
OG0002277	XP_018451392.1, XP_018449537.1	jg31128
OG0002278	XP_018434301.1	jg28286
OG0002279	XP_018449075.1, XP_018463993.1	jg9556
OG0002280	XP_018461863.1	jg12659
OG0002280	XP_018479382.1	jg13518
OG0002281	XP_018478807.1, XP_018439074.1	jg13467
OG0002281	XP_018445410.1	jg12691
OG0002282	XP_018435164.1	jg29810
OG0002282	XP_018441005.1, XP_018482729.1	jg13279
OG0002283	XP_018461327.1, XP_018438097.1	jg26102
OG0002283	XP_018447572.1, XP_018487459.1, XP_018435917.1	jg33116
OG0002284	XP_018447205.1, XP_018441033.1	jg25654
OG0002285	XP_018478906.1	jg18534
OG0002285	XP_018478907.1	jg18535
OG0002286	XP_018482910.1, XP_018466872.1, XP_018439776.1	jg17348
OG0002287	XP_018469062.1	jg10961
OG0002287	XP_018435013.1	jg18705
OG0002288	XP_018467604.1, XP_018435772.1	jg20394
OG0002288	XP_018478456.1	jg10816
OG0002289	XP_018481969.1, XP_018481968.1, XP_018451200.1	jg10885
OG0002289	XP_018485072.1	jg20299
OG0002290	XP_018488909.1, XP_018438383.1	jg27436, jg24998, jg7251
OG0002291	XP_018481253.1, XP_018481234.1	jg14928
OG0002291	XP_018449738.1, XP_018449725.1	jg32608
OG0002292	XP_018479275.1, XP_018479274.1	jg14880
OG0002293	XP_018482201.1	jg10171
OG0002293	XP_018469179.1	jg21792
OG0002294	XP_018484549.1	jg20668
OG0002294	XP_018451782.1, XP_018471909.1	jg10550
OG0002295	XP_018474876.1, XP_018460205.1	jg7223
OG0002295	XP_018480281.1	jg29948
OG0002296	XP_018473543.1, XP_018461014.1	jg18702
OG0002296	XP_018470825.1	jg10941
OG0002297	XP_018483327.1, XP_018445412.1	jg16378
OG0002298	XP_018479155.1, XP_018479123.1	jg19978
OG0002298	XP_018446859.1	jg16176
OG0002299	XP_018488392.1, XP_018488354.1	jg15721, jg15659
OG0002299	XP_018479973.1	jg19430
OG0002300	XP_018490340.1	jg19346, jg17835
OG0002300	XP_018446238.1	jg15613
OG0002301	XP_018459968.1	jg19258
OG0002301	XP_018492191.1	jg15566
OG0002302	XP_018476243.1, XP_018439499.1, XP_018439491.1	jg19168
OG0002302	XP_018483521.1	jg15469
OG0002303	XP_018491882.1	jg15440
OG0002304	XP_018448062.1	jg31019
OG0002305	XP_018450234.1	jg8321
OG0002306	XP_018441141.1	jg28830
OG0002306	XP_018454487.1, XP_018456888.1	jg7681
OG0002307	XP_018464644.1	jg16576
OG0002307	XP_018484482.1	jg8391
OG0002308	XP_018472361.1	jg8501
OG0002308	XP_018477101.1	jg16664
OG0002310	XP_018455363.1, XP_018475945.1	jg7396
OG0002310	XP_018476803.1	jg7399
OG0002311	XP_018449817.1	jg10469, jg9334
OG0002312	XP_018449178.1	jg10862
OG0002313	XP_018462134.1, XP_018465077.1	jg21556
OG0002314	XP_018436813.1, XP_018437243.1	jg13830
OG0002316	XP_018447539.1	jg32924
OG0002316	XP_018489283.1, XP_018492528.1	jg25887
OG0002317	XP_018490869.1	jg25901
OG0002318	XP_018488929.1	jg25954
OG0002318	XP_018488056.1	jg32958
OG0002319	XP_018479487.1, XP_018479473.1	jg14415
OG0002319	XP_018437433.1	jg14414, jg14411, jg14413
OG0002320	XP_018487697.1, XP_018490809.1, XP_018487703.1	jg28441
OG0002321	XP_018434831.1	jg28446
OG0002321	XP_018456212.1, XP_018472852.1	jg8171
OG0002322	XP_018474906.1, XP_018461978.1, XP_018454652.1	jg8197
OG0002323	XP_018437487.1	jg8057
OG0002323	XP_018452062.1	jg28560, jg28561
OG0002324	XP_018451353.1, XP_018485956.1	jg29100, jg29103
OG0002325	XP_018435965.1, XP_018450266.1, XP_018450265.1	jg29248
OG0002326	XP_018433107.1	jg29419
OG0002326	XP_018457505.1	jg1059, jg1057
OG0002327	XP_018455954.1, XP_018434723.1	jg13034
OG0002327	XP_018438364.1	jg29934
OG0002328	XP_018443271.1, XP_018493143.1	jg30110
OG0002328	XP_018452124.1, XP_018463295.1, XP_018470354.1	jg3654
OG0002329	XP_018436593.1, XP_018439635.1	jg30117
OG0002329	XP_018457626.1	jg3640
OG0002330	XP_018437110.1	jg30272
OG0002332	XP_018447737.1	jg3109
OG0002332	XP_018450883.1	jg30407
OG0002333	XP_018454442.1	jg2850
OG0002333	XP_018449290.1	jg30814
OG0002334	XP_018451090.1	jg30956
OG0002334	XP_018470751.1, XP_018470748.1	jg2639
OG0002335	XP_018438676.1	jg31013
OG0002335	XP_018454834.1	jg2600
OG0002336	XP_018454988.1	jg705
OG0002336	XP_018454963.1, XP_018468668.1, XP_018487492.1, XP_018462242.1, XP_018462241.1	jg699
OG0002337	XP_018457742.1, XP_018463781.1	jg1006, jg1007
OG0002338	XP_018454149.1	jg18356
OG0002340	XP_018440451.1	jg27706
OG0002340	XP_018451053.1, XP_018483499.1	jg8880
OG0002341	XP_018479049.1, XP_018479040.1, XP_018461793.1	jg9015
OG0002341	XP_018461794.1, XP_018462325.1	jg9014
OG0002342	XP_018438655.1, XP_018461391.1, XP_018457999.1	jg27575
OG0002343	XP_018469397.1, XP_018461104.1, XP_018477194.1	jg9243
OG0002343	XP_018433125.1	jg16964
OG0002344	XP_018433814.1	jg16960
OG0002346	XP_018472977.1	jg22389
OG0002346	XP_018484625.1, XP_018472447.1	jg9785
OG0002352	XP_018449889.1	jg9370
OG0002353	XP_018460052.1	jg5572
OG0002353	XP_018490457.1	jg24162
OG0002354	XP_018442953.1	jg5536
OG0002354	XP_018485603.1	jg24143
OG0002355	XP_018471109.1, XP_018471085.1, XP_018472923.1, XP_018472910.1, XP_018478230.1, XP_018470949.1	jg5533, jg5532, jg5535
OG0002356	XP_018446662.1, XP_018472647.1	jg5496
OG0002356	XP_018440355.1	jg24116
OG0002357	XP_018469427.1, XP_018487696.1	jg5420
OG0002357	XP_018445744.1, XP_018445743.1	jg4156
OG0002358	XP_018491349.1	jg24022
OG0002358	XP_018471052.1, XP_018445963.1	jg5382
OG0002360	XP_018490301.1, XP_018449311.1	jg31250
OG0002361	XP_018459216.1, XP_018461079.1	jg6384
OG0002361	XP_018445276.1	jg4922
OG0002362	XP_018439359.1, XP_018458177.1	jg23491
OG0002362	XP_018446851.1	jg4813
OG0002363	XP_018476595.1, XP_018446954.1	jg4716
OG0002364	XP_018482694.1	jg6207
OG0002364	XP_018445707.1	jg4703
OG0002365	XP_018470447.1, XP_018470445.1	jg14358, jg4634
OG0002366	XP_018461700.1, XP_018481020.1	jg18901
OG0002367	XP_018439612.1	jg17919, jg17920
OG0002368	XP_018471215.1	jg28850
OG0002368	XP_018435085.1	jg18315
OG0002369	XP_018452274.1	jg20843
OG0002369	XP_018489802.1, XP_018471000.1	jg28741
OG0002370	XP_018455524.1, XP_018483435.1	jg20809
OG0002370	XP_018486415.1	jg28734
OG0002371	XP_018449794.1	jg28696
OG0002371	XP_018437782.1	jg20772
OG0002372	XP_018471183.1, XP_018450756.1, XP_018471184.1	jg9899, jg9901
OG0002375	XP_018462816.1, XP_018454831.1	jg13162
OG0002375	XP_018477793.1	jg13163
OG0002376	XP_018457410.1, XP_018432933.1, XP_018434871.1	jg23050
OG0002377	XP_018472049.1	jg14053
OG0002378	XP_018436702.1	jg14142
OG0002378	XP_018468386.1, XP_018473489.1	jg6036
OG0002379	XP_018441639.1	jg14470
OG0002380	XP_018482363.1, XP_018470880.1, XP_018450638.1	jg9255, jg22602
OG0002381	XP_018476591.1	jg22370
OG0002381	XP_018450246.1	jg9779
OG0002382	XP_018470149.1	jg22287
OG0002383	XP_018468982.1, XP_018468981.1	jg9706
OG0002383	XP_018482038.1	jg22207
OG0002385	XP_018432932.1	jg4357
OG0002386	XP_018490895.1	jg24996
OG0002386	XP_018475778.1	jg4215
OG0002387	XP_018445745.1, XP_018445742.1	jg4155
OG0002387	XP_018492023.1	jg24955
OG0002388	XP_018484238.1	jg12789
OG0002388	XP_018456674.1, XP_018456461.1	jg424
OG0002390	XP_018455744.1	jg3430
OG0002390	XP_018443560.1, XP_018450162.1, XP_018450155.1	jg30738
OG0002391	XP_018449378.1, XP_018446905.1, XP_018452855.1	jg3399
OG0002392	XP_018445883.1	jg3287
OG0002392	XP_018440411.1	jg30595
OG0002393	XP_018437219.1	jg27888
OG0002394	XP_018470038.1	jg8726
OG0002394	XP_018490478.1, XP_018455391.1	jg27928
OG0002395	XP_018492506.1	jg25274
OG0002396	XP_018466048.1, XP_018493150.1, XP_018491013.1	jg25370
OG0002397	XP_018486288.1	jg25402
OG0002398	XP_018488425.1	jg25522
OG0002399	XP_018491462.1	jg27675
OG0002399	XP_018449750.1	jg8901
OG0002400	XP_018439753.1, XP_018435409.1, XP_018489498.1	jg33503, jg33502
OG0002400	XP_018442467.1	jg33504
OG0002401	XP_018477047.1	jg18756
OG0002401	XP_018493567.1	jg15199
OG0002402	XP_018447936.1	jg11651
OG0002402	XP_018490155.1	jg26880
OG0002403	XP_018483360.1	jg11595
OG0002403	XP_018491659.1, XP_018491528.1	jg26832
OG0002404	XP_018449995.1, XP_018481038.1	jg11479
OG0002404	XP_018432834.1	jg26723
OG0002405	XP_018451335.1	jg11390
OG0002406	XP_018471261.1	jg11286, jg11288
OG0002407	XP_018459661.1, XP_018461864.1	jg11248
OG0002407	XP_018489070.1, XP_018487107.1	jg26473
OG0002408	XP_018452186.1, XP_018452192.1	jg2967
OG0002409	XP_018450244.1	jg30327
OG0002410	XP_018445102.1, XP_018445590.1	jg3084
OG0002411	XP_018481704.1, XP_018439456.1, XP_018447581.1	jg30396
OG0002411	XP_018464774.1, XP_018444286.1	jg3096
OG0002412	XP_018436397.1	jg30419
OG0002412	XP_018443441.1	jg3128
OG0002413	XP_018471107.1, XP_018456911.1, XP_018445541.1	jg2424, jg14373
OG0002415	XP_018437839.1	jg31143
OG0002416	XP_018445599.1, XP_018456573.1	jg2443
OG0002416	XP_018458551.1	jg31145
OG0002417	XP_018448300.1, XP_018448170.1	jg31124
OG0002417	XP_018469434.1	jg2503
OG0002418	XP_018464687.1	jg2480
OG0002418	XP_018446158.1	jg2508
OG0002419	XP_018439765.1	jg9577
OG0002420	XP_018466017.1	jg12754
OG0002420	XP_018457069.1	jg506
OG0002422	XP_018481583.1, XP_018455356.1	jg13559
OG0002423	XP_018441202.1	jg13377
OG0002424	XP_018481209.1, XP_018444053.1	jg29587, jg28308
OG0002425	XP_018433081.1	jg20485
OG0002425	XP_018471259.1	jg10744
OG0002426	XP_018465381.1, XP_018452496.1, XP_018434579.1	jg20547
OG0002426	XP_018484871.1	jg10665
OG0002427	XP_018461129.1, XP_018450477.1, XP_018432592.1	jg31361
OG0002428	XP_018481835.1, XP_018464024.1, XP_018482279.1, XP_018482278.1, XP_018482042.1, XP_018461759.1	jg20278
OG0002429	XP_018471594.1	jg10880
OG0002429	XP_018457256.1	jg20302
OG0002430	XP_018454311.1	jg7505
OG0002430	XP_018484136.1	jg10156
OG0002431	XP_018484233.1	jg8394
OG0002431	XP_018491854.1	jg24466
OG0002432	XP_018479168.1	jg10247
OG0002432	XP_018462696.1, XP_018469103.1	jg7606
OG0002434	XP_018477754.1, XP_018450873.1	jg10272
OG0002435	XP_018453050.1	jg7665
OG0002435	XP_018452596.1	jg10290
OG0002436	XP_018457884.1	jg7673
OG0002436	XP_018477918.1, XP_018477915.1, XP_018472435.1	jg10303
OG0002437	XP_018478192.1	jg20655
OG0002437	XP_018483765.1, XP_018483766.1	jg10566
OG0002438	XP_018470359.1	jg10482
OG0002438	XP_018470356.1	jg10483
OG0002440	XP_018457814.1	jg7804
OG0002440	XP_018469990.1	jg10454
OG0002441	XP_018481924.1, XP_018481923.1	jg10408
OG0002442	XP_018481920.1, XP_018460837.1, XP_018468529.1, XP_018471360.1	jg10399
OG0002443	XP_018445869.1, XP_018446376.1, XP_018445868.1, XP_018456307.1, XP_018446361.1	jg14276, jg14275
OG0002444	XP_018454377.1, XP_018483320.1, XP_018483319.1	jg4121
OG0002445	XP_018454192.1, XP_018454191.1	jg893, jg889
OG0002446	XP_018432726.1	jg16169
OG0002446	XP_018482160.1, XP_018480009.1, XP_018442023.1	jg19973
OG0002447	XP_018477097.1	jg19704
OG0002447	XP_018487297.1	jg16011
OG0002449	XP_018445769.1, XP_018445795.1, XP_018483674.1	jg15808, jg33316
OG0002450	XP_018440161.1, XP_018476107.1	jg19466
OG0002451	XP_018482373.1	jg19413
OG0002451	XP_018487169.1	jg15675
OG0002453	XP_018484589.1	jg15364
OG0002453	XP_018485479.1	jg19054
OG0002454	XP_018473247.1	jg18852
OG0002455	XP_018489310.1, XP_018475154.1, XP_018475155.1, XP_018475324.1, XP_018442734.1	jg15548, jg15263
OG0002456	XP_018478235.1, XP_018433683.1	jg18738
OG0002456	XP_018478083.1, XP_018478081.1	jg15177
