Orthogroup	Raphanus_sativus	Cochlearia_excelsa
OG0000650	XP_018464617.1	g6843
OG0000650	XP_018447489.1, XP_018450408.1	g23142
OG0000650	XP_018483104.1	g18192
OG0000652	XP_018490659.1, XP_018493208.1, XP_018490663.1, XP_018493211.1	g12661
OG0000652	XP_018445142.1	g5008, g5012
OG0000653	XP_018473547.1, XP_018476081.1, XP_018442038.1, XP_018460339.1, XP_018486697.1, XP_018486735.1, XP_018445227.1, XP_018478042.1	g11148, g37743
OG0000655	XP_018461419.1	g51449, g37082, g7149
OG0000655	XP_018486243.1, XP_018491167.1, XP_018491166.1	g32425
OG0000656	XP_018457043.1, XP_018457040.1, XP_018441632.1, XP_018478851.1	g10673
OG0000656	XP_018436306.1, XP_018437300.1, XP_018433534.1	g31492
OG0000658	XP_018480675.1, XP_018481221.1, XP_018484740.1, XP_018484707.1, XP_018454544.1, XP_018456988.1, XP_018434447.1	g9960
OG0000660	XP_018466349.1	g28538
OG0000660	XP_018459693.1	g28539
OG0000661	XP_018433204.1, XP_018478107.1	g37733, g50833
OG0000661	XP_018450702.1, XP_018492614.1	g30793
OG0000661	XP_018451972.1	g39558
OG0000663	XP_018447363.1, XP_018433501.1, XP_018473549.1	g27410
OG0000663	XP_018468147.1, XP_018443048.1, XP_018443041.1	g46124, g44549
OG0000665	XP_018467269.1	g28014, g13252
OG0000665	XP_018432885.1, XP_018438367.1, XP_018438371.1	g36560
OG0000667	XP_018441951.1, XP_018483892.1, XP_018474548.1	g1892, g18715, g37597
OG0000669	XP_018493577.1, XP_018459682.1, XP_018458870.1, XP_018463905.1, XP_018473027.1, XP_018441333.1	g32732, g40273
OG0000671	XP_018453788.1, XP_018488196.1, XP_018453755.1	g25667
OG0000673	XP_018490199.1, XP_018490200.1, XP_018438500.1, XP_018449908.1, XP_018450033.1	g30919, g30920
OG0000674	XP_018448827.1, XP_018458975.1, XP_018487503.1, XP_018473940.1	g13131
OG0000678	XP_018471739.1, XP_018471735.1, XP_018471587.1, XP_018471182.1	g5478, g5477, g5483, g5481
OG0000679	XP_018480436.1	g49954, g31625, g51289
OG0000680	XP_018461356.1	g1753, g13730
OG0000680	XP_018493025.1, XP_018435471.1	g32394
OG0000681	XP_018451227.1, XP_018492654.1, XP_018434253.1	g36563, g54263
OG0000682	XP_018437933.1, XP_018436307.1	g37077, g37094, g6394, g45137, g37420
OG0000683	XP_018433504.1, XP_018488830.1	g12697
OG0000684	XP_018480161.1, XP_018480159.1, XP_018488031.1	g18931
OG0000684	XP_018485396.1	g18930, g1998
OG0000685	XP_018491252.1	g12753
OG0000685	XP_018454893.1	g932
OG0000687	XP_018489215.1	g53790
OG0000687	XP_018490091.1	g53772, g53779
OG0000689	XP_018461805.1	g48909
OG0000690	XP_018444799.1, XP_018462037.1	g18149, g23193
OG0000691	XP_018445411.1	g5081
OG0000691	XP_018489226.1	g7879, g6216
OG0000692	XP_018479257.1	g1550, g2440, g2441, g2438
OG0000693	XP_018482876.1, XP_018482877.1, XP_018482875.1, XP_018475758.1, XP_018475759.1, XP_018475757.1	g51261, g51258, g39834
OG0000694	XP_018477291.1, XP_018482998.1	g39803
OG0000694	XP_018465429.1	g39806
OG0000694	XP_018449651.1, XP_018448700.1	g47095
OG0000695	XP_018460245.1, XP_018453706.1, XP_018480612.1, XP_018478174.1	g17578
OG0000695	XP_018464208.1, XP_018444964.1, XP_018476409.1	g18804
OG0000696	XP_018437292.1, XP_018485633.1, XP_018485758.1, XP_018463091.1	g2629
OG0000696	XP_018470366.1, XP_018470364.1	g47643
OG0000697	XP_018469452.1, XP_018469278.1	g860, g862
OG0000699	XP_018435523.1, XP_018438706.1, XP_018436123.1, XP_018443537.1, XP_018451653.1, XP_018450187.1, XP_018438293.1, XP_018434766.1, XP_018437768.1, XP_018439162.1, XP_018458860.1, XP_018489452.1, XP_018479766.1	g51991
OG0000700	XP_018448838.1, XP_018488108.1, XP_018489248.1, XP_018487331.1, XP_018486600.1, XP_018480112.1, XP_018480123.1	g28045, g28051
OG0000701	XP_018490610.1	g45114
OG0000701	XP_018482457.1, XP_018479661.1, XP_018434146.1	g53817
OG0000702	XP_018441016.1	g52005
OG0000703	XP_018477722.1, XP_018433722.1	g37337
OG0000703	XP_018478381.1	g19065
OG0000704	XP_018458834.1, XP_018446382.1, XP_018481425.1, XP_018486259.1, XP_018464828.1	g4789, g10133
OG0000705	XP_018476681.1	g37342
OG0000705	XP_018439329.1, XP_018493606.1, XP_018466220.1, XP_018492897.1, XP_018489491.1	g13022, g7512
OG0000706	XP_018437511.1, XP_018481594.1	g50800
OG0000706	XP_018452409.1, XP_018452545.1	g45222
OG0000707	XP_018461824.1, XP_018441961.1, XP_018477601.1, XP_018463229.1, XP_018473095.1	g52160, g37530
OG0000707	XP_018456669.1, XP_018433492.1, XP_018440270.1	g10812
OG0000708	XP_018440478.1	g12089
OG0000708	XP_018491619.1	g12085, g12088, g12084, g12086, g12087, g12083
OG0000709	XP_018457142.1, XP_018457143.1	g22655
OG0000713	XP_018458399.1, XP_018460227.1, XP_018475819.1, XP_018453872.1, XP_018453870.1, XP_018458513.1	g4632, g39532
OG0000714	XP_018438597.1	g51082, g51084, g28179
OG0000715	XP_018480663.1	g18570
OG0000716	XP_018451827.1	g36715
OG0000716	XP_018439316.1, XP_018486599.1, XP_018476220.1	g54319
OG0000717	XP_018445312.1, XP_018447724.1, XP_018467325.1, XP_018434259.1, XP_018447730.1	g31518
OG0000717	XP_018452425.1, XP_018446056.1, XP_018442214.1, XP_018442301.1	g45812
OG0000718	XP_018435104.1, XP_018435153.1, XP_018480769.1, XP_018482812.1	g16643
OG0000719	XP_018476835.1, XP_018449581.1	g1309
OG0000719	XP_018447527.1, XP_018476837.1	g1310
OG0000720	XP_018460340.1, XP_018484503.1, XP_018484502.1	g18725, g18726, g18727, g18724
OG0000723	XP_018464937.1, XP_018480604.1, XP_018462738.1, XP_018437620.1, XP_018462615.1	g1518, g1520
OG0000724	XP_018474497.1, XP_018450560.1, XP_018450559.1	g30842, g49434
OG0000726	XP_018477825.1	g4059
OG0000726	XP_018477826.1, XP_018479180.1	g44626
OG0000728	XP_018475637.1, XP_018461386.1	g45753
OG0000730	XP_018439634.1	g39816
OG0000730	XP_018436659.1	g31624
OG0000732	XP_018434704.1	g587
OG0000732	XP_018489695.1, XP_018491638.1	g18655
OG0000734	XP_018472544.1, XP_018472542.1	g28342, g1326, g41169
OG0000735	XP_018475412.1	g28860
OG0000736	XP_018468713.1	g50687, g39240
OG0000737	XP_018457330.1, XP_018457360.1, XP_018476448.1	g39592
OG0000737	XP_018465701.1	g45240, g25475
OG0000738	XP_018444424.1	g29827
OG0000738	XP_018477529.1, XP_018465485.1	g19214
OG0000740	XP_018457630.1, XP_018471111.1, XP_018445764.1	g46440
OG0000740	XP_018493153.1	g32883, g27873
OG0000741	XP_018445112.1, XP_018456568.1, XP_018445085.1	g46133, g44537
OG0000742	XP_018490729.1, XP_018466244.1	g36539
OG0000742	XP_018461380.1, XP_018450610.1	g28026
OG0000743	XP_018491005.1, XP_018490138.1, XP_018463070.1	g37256
OG0000744	XP_018481714.1	g18713
OG0000745	XP_018470719.1, XP_018480925.1, XP_018467361.1	g47697
OG0000745	XP_018447084.1, XP_018450361.1, XP_018448371.1	g23710
OG0000747	XP_018452458.1	g6993
OG0000747	XP_018447361.1, XP_018440212.1, XP_018486155.1	g49388, g30789, g26898
OG0000748	XP_018467541.1, XP_018467294.1, XP_018455755.1, XP_018438607.1, XP_018438492.1	g17396, g44135, g44131
OG0000749	XP_018479332.1	g10211
OG0000749	XP_018458991.1, XP_018482171.1, XP_018439916.1	g4581
OG0000750	XP_018457231.1, XP_018457254.1, XP_018448412.1, XP_018450110.1, XP_018450300.1	g23088, g23092
OG0000751	XP_018468036.1, XP_018444633.1, XP_018481220.1, XP_018443662.1, XP_018468038.1, XP_018468041.1	g16954, g25974
OG0000761	XP_018457970.1	g6195
OG0000761	XP_018460650.1	g19417
OG0000762	XP_018435264.1	g12773
OG0000763	XP_018470111.1	g5274
OG0000763	XP_018476562.1	g29359
OG0000764	XP_018438871.1, XP_018438859.1, XP_018484540.1	g38506
OG0000764	XP_018446836.1	g29511
OG0000764	XP_018472123.1	g22739
OG0000766	XP_018474500.1	g28866, g807
OG0000766	XP_018464122.1	g3089
OG0000767	XP_018476983.1, XP_018481550.1	g5584
OG0000767	XP_018442213.1, XP_018442181.1	g5583, g1670
OG0000768	XP_018446666.1, XP_018437577.1, XP_018444146.1, XP_018442531.1, XP_018446667.1	g45398
OG0000769	XP_018459102.1, XP_018463753.1	g38177, g9749
OG0000770	XP_018441151.1, XP_018450724.1	g31913
OG0000771	XP_018457879.1, XP_018433287.1, XP_018466948.1	g19649
OG0000771	XP_018436111.1	g11359, g19349
OG0000772	XP_018445071.1, XP_018442660.1, XP_018445069.1, XP_018470551.1, XP_018464765.1, XP_018454927.1	g41820
OG0000772	XP_018483877.1, XP_018460035.1, XP_018461819.1	g46750
OG0000774	XP_018478674.1, XP_018471993.1, XP_018471922.1, XP_018450364.1, XP_018447082.1	g47581
OG0000775	XP_018458483.1	g27461
OG0000776	XP_018434159.1, XP_018434141.1, XP_018449464.1, XP_018449455.1, XP_018462209.1, XP_018465069.1	g31967
OG0000777	XP_018453426.1, XP_018436440.1, XP_018436437.1	g36973
OG0000777	XP_018479616.1	g12736
OG0000781	XP_018482837.1	g37867, g37860, g37868
OG0000782	XP_018451203.1, XP_018484062.1	g24567
OG0000782	XP_018447524.1	g30936, g49502
OG0000783	XP_018474112.1, XP_018474125.1, XP_018435551.1, XP_018474114.1	g51317, g51340, g51316
OG0000784	XP_018450062.1, XP_018449271.1	g50452, g50492
OG0000787	XP_018476969.1	g1090
OG0000787	XP_018480530.1, XP_018455117.1	g23718
OG0000787	XP_018484029.1	g11321
OG0000788	XP_018459255.1, XP_018471053.1	g18150
OG0000788	XP_018445561.1	g29776
OG0000789	XP_018436843.1	g19178
OG0000789	XP_018488991.1, XP_018443984.1	g37224
OG0000790	XP_018461441.1, XP_018447567.1	g44868
OG0000790	XP_018466233.1, XP_018450603.1	g32229
OG0000790	XP_018447586.1	g44869
OG0000791	XP_018462375.1, XP_018488962.1, XP_018489018.1	g31729
OG0000793	XP_018490687.1	g12159
OG0000793	XP_018450814.1	g54285
OG0000793	XP_018436534.1, XP_018483473.1	g52074
OG0000794	XP_018462694.1, XP_018462081.1	g10410
OG0000795	XP_018456779.1, XP_018471154.1, XP_018467249.1, XP_018436803.1, XP_018449257.1	g44749
OG0000796	XP_018454121.1, XP_018484586.1	g10608
OG0000796	XP_018479243.1, XP_018479227.1, XP_018451545.1	g32196
OG0000797	XP_018439383.1	g2808
OG0000797	XP_018443128.1	g19524
OG0000797	XP_018468637.1	g2807
OG0000799	XP_018435752.1	g36525
OG0000799	XP_018489572.1	g36524
OG0000800	XP_018468562.1, XP_018484181.1, XP_018447698.1	g17612
OG0000801	XP_018493079.1	g1754
OG0000801	XP_018471830.1	g39542
OG0000802	XP_018480943.1, XP_018480134.1, XP_018483522.1	g19102
OG0000803	XP_018456347.1, XP_018474924.1, XP_018436586.1	g38223
OG0000803	XP_018434677.1	g37524
OG0000804	XP_018440930.1, XP_018441810.1	g7507, g2527
OG0000804	XP_018492698.1, XP_018492703.1, XP_018489291.1	g13025
OG0000809	XP_018443701.1	g15720, g15438, g19865
OG0000813	XP_018446825.1	g6899, g13299
OG0000813	XP_018439004.1	g54336
OG0000814	XP_018458313.1, XP_018458311.1	g27166
OG0000814	XP_018475647.1	g6867
OG0000816	XP_018480534.1	g39401
OG0000817	XP_018445576.1, XP_018445237.1	g29708
OG0000817	XP_018441707.1	g13113
OG0000818	XP_018470012.1, XP_018470013.1	g5834
OG0000818	XP_018464712.1, XP_018464734.1	g5833
OG0000823	XP_018488053.1	g24626, g6994
OG0000824	XP_018492721.1, XP_018488232.1, XP_018488233.1	g11934
OG0000825	XP_018488255.1, XP_018488254.1, XP_018490444.1, XP_018490445.1	g6958
OG0000825	XP_018487556.1	g13279
OG0000827	XP_018433182.1, XP_018457379.1	g41060
OG0000827	XP_018432640.1, XP_018466361.1	g49716
OG0000827	XP_018448141.1	g27098
OG0000828	XP_018441867.1, XP_018441904.1	g27587
OG0000828	XP_018436027.1, XP_018453111.1	g32151
OG0000829	XP_018462004.1, XP_018488160.1, XP_018469036.1, XP_018452122.1, XP_018452150.1	g11006
OG0000832	XP_018434695.1	g39999
OG0000832	XP_018476768.1, XP_018472486.1	g1260
OG0000833	XP_018479837.1	g46873
OG0000834	XP_018492246.1	g49354
OG0000834	XP_018489651.1, XP_018489360.1	g49351
OG0000835	XP_018453667.1	g37905
OG0000836	XP_018482156.1, XP_018479308.1	g18547, g18546
OG0000836	XP_018435613.1	g51023
OG0000839	XP_018476713.1, XP_018445523.1	g29846, g5767
OG0000839	XP_018493547.1, XP_018467244.1, XP_018440536.1, XP_018493498.1	g7481
OG0000840	XP_018451863.1, XP_018451865.1	g54357, g54355, g54356
OG0000841	XP_018476194.1, XP_018476192.1, XP_018452298.1	g26701
OG0000842	XP_018451794.1, XP_018479911.1, XP_018465084.1, XP_018458392.1	g36403, g36381
OG0000843	XP_018489245.1	g1795
OG0000844	XP_018442769.1	g2152
OG0000845	XP_018452764.1, XP_018450186.1	g40312
OG0000845	XP_018432644.1, XP_018454658.1, XP_018441969.1	g27798, g32658
OG0000846	XP_018482921.1, XP_018477709.1	g4864
OG0000850	XP_018459403.1	g24753
OG0000851	XP_018485050.1	g48007
OG0000851	XP_018450354.1, XP_018435205.1, XP_018439266.1, XP_018485048.1	g38444
OG0000857	XP_018443763.1, XP_018443756.1	g46806
OG0000857	XP_018445381.1, XP_018445408.1	g29451
OG0000858	XP_018460393.1, XP_018481937.1, XP_018433250.1	g37044
OG0000859	XP_018445052.1	g28935
OG0000860	XP_018443256.1, XP_018435854.1	g13766
OG0000861	XP_018471876.1, XP_018444593.1	g828
OG0000861	XP_018438224.1	g3011
OG0000861	XP_018439382.1	g3012
OG0000863	XP_018471771.1, XP_018447024.1	g44317
OG0000863	XP_018490884.1, XP_018440584.1, XP_018432578.1	g13146
OG0000865	XP_018437119.1, XP_018437621.1, XP_018439686.1	g19586
OG0000866	XP_018493393.1	g14335
OG0000867	XP_018452336.1, XP_018477460.1, XP_018453323.1, XP_018440370.1	g10891, g40691
OG0000867	XP_018463643.1, XP_018484088.1, XP_018451204.1, XP_018471809.1	g24255
OG0000868	XP_018439322.1, XP_018463850.1, XP_018437744.1, XP_018467553.1	g2592
OG0000869	XP_018482087.1, XP_018477827.1	g3375
OG0000869	XP_018463025.1, XP_018475631.1, XP_018475492.1	g40440
OG0000870	XP_018461217.1	g2161
OG0000870	XP_018475089.1, XP_018471640.1	g29778
OG0000870	XP_018488912.1, XP_018488911.1	g12365
OG0000871	XP_018441375.1, XP_018484215.1	g51643
OG0000871	XP_018442409.1, XP_018432937.1	g19181, g2336
OG0000872	XP_018454772.1	g52166
OG0000872	XP_018490871.1	g19425
OG0000872	XP_018483985.1	g37548
OG0000873	XP_018458857.1, XP_018474284.1	g29149, g29151
OG0000873	XP_018470989.1	g47995
OG0000874	XP_018438996.1, XP_018434320.1	g49875
OG0000874	XP_018437575.1, XP_018449347.1, XP_018460556.1	g31459, g53611
OG0000875	XP_018447322.1, XP_018432629.1	g27797
OG0000876	XP_018438802.1	g18479
OG0000882	XP_018487783.1	g27747
OG0000882	XP_018439479.1	g38007
OG0000882	XP_018492616.1	g50590
OG0000887	XP_018487846.1	g5006
OG0000888	XP_018470367.1	g47313
OG0000889	XP_018467713.1, XP_018468275.1	g47385
OG0000890	XP_018486572.1, XP_018435129.1, XP_018486515.1, XP_018472868.1, XP_018443998.1, XP_018443130.1	g29042, g4923
OG0000894	XP_018440873.1	g19373, g2597
OG0000895	XP_018443450.1	g740
OG0000896	XP_018488007.1	g11274
OG0000896	XP_018443653.1	g11430, g26094, g37070, g37071, g37072
OG0000897	XP_018445477.1, XP_018476417.1, XP_018469741.1	g29666
OG0000897	XP_018493037.1, XP_018489790.1, XP_018460959.1	g13126, g7345, g12305
OG0000898	XP_018476517.1, XP_018474611.1, XP_018446077.1, XP_018446090.1	g29730, g5640
OG0000898	XP_018435213.1, XP_018492608.1	g12349
OG0000899	XP_018472203.1, XP_018469725.1	g46468
OG0000899	XP_018457158.1	g46469
OG0000901	XP_018490983.1, XP_018438251.1, XP_018489194.1	g2066
OG0000902	XP_018443497.1, XP_018443499.1	g42965, g42963
OG0000903	XP_018475125.1, XP_018450975.1	g23485
OG0000903	XP_018460075.1, XP_018477277.1, XP_018450974.1	g17010
OG0000904	XP_018439798.1, XP_018464403.1, XP_018488750.1, XP_018491681.1	g6829, g11975
OG0000904	XP_018451631.1, XP_018451650.1, XP_018434284.1, XP_018493315.1	g36401
OG0000906	XP_018482582.1	g17236
OG0000906	XP_018469937.1, XP_018469936.1	g23857
OG0000907	XP_018486861.1, XP_018487380.1	g7952
OG0000907	XP_018484479.1	g37537
OG0000908	XP_018478094.1, XP_018491522.1, XP_018446787.1, XP_018465392.1	g11209, g1980, g18951
OG0000908	XP_018436552.1, XP_018436553.1, XP_018476480.1, XP_018483637.1, XP_018482781.1	g52055
OG0000910	XP_018475266.1, XP_018463773.1	g38113, g37307
OG0000911	XP_018483411.1	g22703
OG0000911	XP_018438688.1, XP_018482392.1, XP_018482405.1	g36959, g50882, g54088
OG0000912	XP_018462652.1, XP_018433457.1, XP_018438856.1, XP_018490741.1, XP_018490290.1, XP_018488558.1	g7695
OG0000912	XP_018477981.1, XP_018452709.1	g4794, g10126
OG0000913	XP_018445950.1	g18093
OG0000913	XP_018493587.1, XP_018490613.1	g7867
OG0000914	XP_018473411.1, XP_018452323.1, XP_018463921.1, XP_018448007.1	g25399
OG0000916	XP_018450253.1, XP_018450251.1, XP_018462934.1	g31437
OG0000917	XP_018449356.1, XP_018448283.1	g27518
OG0000922	XP_018443317.1, XP_018442806.1, XP_018456348.1	g29369
OG0000923	XP_018440994.1, XP_018488795.1	g2757
OG0000923	XP_018457495.1, XP_018458213.1, XP_018491983.1	g340
OG0000924	XP_018477815.1, XP_018433141.1	g50312
OG0000924	XP_018445345.1, XP_018472759.1	g29200
OG0000925	XP_018480744.1	g18564
OG0000925	XP_018472530.1	g29481
OG0000926	XP_018448601.1, XP_018477066.1, XP_018447208.1, XP_018460924.1, XP_018472776.1, XP_018449973.1, XP_018470659.1, XP_018445626.1	g23312
OG0000927	XP_018473911.1, XP_018442223.1, XP_018472846.1	g29713
OG0000928	XP_018482351.1, XP_018475828.1, XP_018475112.1	g39900, g51220
OG0000928	XP_018486112.1, XP_018471445.1	g31022
OG0000929	XP_018472672.1, XP_018493462.1	g37900, g26987, g31018, g49550
OG0000930	XP_018474246.1, XP_018463996.1, XP_018474248.1, XP_018474249.1, XP_018475474.1	g3079
OG0000931	XP_018487027.1, XP_018477634.1	g2212, g19095
OG0000932	XP_018478587.1, XP_018485218.1, XP_018471452.1	g17066, g23580
OG0000932	XP_018433812.1	g50244
OG0000933	XP_018462721.1	g1115
OG0000934	XP_018445628.1	g23730
OG0000934	XP_018454332.1, XP_018454333.1	g39310
OG0000936	XP_018450136.1, XP_018450221.1	g18231
OG0000938	XP_018486162.1	g7162
OG0000939	XP_018447523.1	g27912
OG0000939	XP_018434632.1, XP_018489857.1	g50234
OG0000940	XP_018470235.1, XP_018470234.1, XP_018470229.1	g23591
OG0000941	XP_018447774.1, XP_018488704.1, XP_018466293.1, XP_018492576.1, XP_018488713.1, XP_018483528.1, XP_018436759.1	g6533, g24536, g17723
OG0000944	XP_018468994.1, XP_018469051.1, XP_018458699.1	g11378
OG0000944	XP_018434765.1	g2591
OG0000945	XP_018476133.1	g43834, g14814
OG0000946	XP_018472691.1, XP_018489673.1	g31012
OG0000947	XP_018466366.1, XP_018437979.1, XP_018437980.1	g37763
OG0000947	XP_018464258.1, XP_018489518.1, XP_018444206.1, XP_018481002.1	g18748
OG0000948	XP_018434270.1, XP_018443203.1	g18992
OG0000949	XP_018477505.1, XP_018493420.1	g51777, g2220
OG0000949	XP_018477118.1, XP_018477119.1, XP_018439501.1, XP_018439493.1, XP_018473222.1	g37318
OG0000950	XP_018470026.1	g12941, g12477
OG0000950	XP_018465270.1	g22610, g16415, g49017
OG0000950	XP_018451544.1	g17606
OG0000951	XP_018449130.1, XP_018463972.1	g22969
OG0000951	XP_018492013.1, XP_018492044.1	g11622
OG0000952	XP_018469118.1	g27082
OG0000952	XP_018459389.1, XP_018459387.1, XP_018486545.1	g49628, g49629
OG0000954	XP_018488327.1	g7801
OG0000955	XP_018442799.1, XP_018437048.1, XP_018437091.1, XP_018437069.1, XP_018437058.1, XP_018472259.1, XP_018460873.1	g31477
OG0000957	XP_018468031.1	g22720
OG0000957	XP_018448357.1	g22721
OG0000962	XP_018457253.1, XP_018457255.1, XP_018437404.1	g16672
OG0000963	XP_018445207.1	g29281
OG0000963	XP_018487373.1	g14070
OG0000964	XP_018436314.1, XP_018436317.1, XP_018481665.1, XP_018479859.1, XP_018462794.1, XP_018482200.1, XP_018483167.1	g37911
OG0000965	XP_018447285.1, XP_018472436.1, XP_018481824.1	g47552, g23748
OG0000966	XP_018433864.1, XP_018471090.1, XP_018471089.1, XP_018486016.1	g19445
OG0000967	XP_018482130.1, XP_018481511.1, XP_018437705.1, XP_018434393.1, XP_018491315.1, XP_018489812.1	g602
OG0000968	XP_018469356.1, XP_018464888.1	g41318
OG0000968	XP_018455147.1	g28800
OG0000968	XP_018457632.1	g28799
OG0000969	XP_018452003.1	g1171
OG0000969	XP_018475028.1	g5642
OG0000970	XP_018433658.1, XP_018453258.1, XP_018478769.1	g10457
OG0000971	XP_018438553.1, XP_018463447.1, XP_018456820.1, XP_018434533.1, XP_018464299.1, XP_018455111.1	g43973
OG0000973	XP_018463645.1, XP_018484093.1	g17532, g47214
OG0000974	XP_018488516.1	g12990
OG0000974	XP_018436577.1, XP_018490874.1	g12335
OG0000975	XP_018442849.1, XP_018488351.1	g2322
OG0000976	XP_018472810.1, XP_018474166.1, XP_018472807.1, XP_018462376.1, XP_018462367.1, XP_018458813.1, XP_018444390.1	g26454
OG0000976	XP_018453068.1	g37017, g37018
OG0000978	XP_018477428.1, XP_018447570.1, XP_018453633.1, XP_018439565.1, XP_018439564.1, XP_018486222.1, XP_018487301.1, XP_018490633.1	g47886
OG0000980	XP_018482690.1	g10340
OG0000983	XP_018473103.1, XP_018462576.1, XP_018448314.1, XP_018445350.1	g45719, g5064
OG0000984	XP_018446955.1, XP_018446428.1, XP_018476005.1	g5091
OG0000984	XP_018485568.1, XP_018433954.1, XP_018485598.1	g7889
OG0000985	XP_018476804.1, XP_018459871.1	g40140
OG0000985	XP_018490669.1, XP_018458267.1, XP_018458269.1, XP_018493090.1	g6706, g11898
OG0000986	XP_018482882.1, XP_018476246.1	g51255
OG0000986	XP_018451234.1, XP_018489718.1	g30960
OG0000987	XP_018468841.1	g28366, g41220
OG0000987	XP_018473285.1	g879
OG0000987	XP_018481601.1, XP_018468903.1	g17162
OG0000988	XP_018488819.1, XP_018467182.1	g23705
OG0000988	XP_018472264.1	g23707, g23706
OG0000989	XP_018440748.1, XP_018474623.1, XP_018473121.1	g38167, g37399
OG0000989	XP_018490766.1	g7437
OG0000990	XP_018435589.1	g9918
OG0000991	XP_018474435.1, XP_018462759.1	g22654
OG0000992	XP_018445826.1	g5587
OG0000992	XP_018452987.1	g1033
OG0000993	XP_018447028.1, XP_018475618.1, XP_018475974.1, XP_018470080.1	g5792
OG0000993	XP_018438222.1, XP_018486150.1	g7494
OG0000994	XP_018464391.1, XP_018440067.1	g49952
OG0000994	XP_018485827.1, XP_018464389.1	g27323
OG0000994	XP_018456806.1, XP_018470242.1, XP_018463352.1	g46568
OG0000995	XP_018487872.1	g27907
OG0000995	XP_018451981.1	g44850
OG0000996	XP_018437949.1, XP_018439288.1, XP_018475591.1	g2912, g2937, g2933
OG0000997	XP_018439483.1	g32197
OG0000998	XP_018436513.1, XP_018435403.1, XP_018457112.1, XP_018452922.1	g6045
OG0000998	XP_018462645.1, XP_018480564.1, XP_018449453.1	g22964, g47945
OG0001001	XP_018440892.1, XP_018482905.1	g37165
OG0001001	XP_018491813.1, XP_018481282.1, XP_018464832.1	g2397
OG0001002	XP_018491929.1, XP_018435490.1, XP_018441443.1	g6557
OG0001002	XP_018469701.1, XP_018463513.1, XP_018466238.1	g47060
OG0001003	XP_018461820.1	g25184
OG0001003	XP_018481839.1	g16220
OG0001003	XP_018458511.1, XP_018461817.1, XP_018460034.1	g46773
OG0001004	XP_018466269.1, XP_018464195.1	g10270
OG0001005	XP_018454684.1, XP_018482806.1, XP_018481735.1, XP_018466633.1	g40644, g10924
OG0001005	XP_018458419.1, XP_018477844.1, XP_018447301.1	g47245, g17514
OG0001007	XP_018447743.1	g17365
OG0001007	XP_018469997.1	g24033
OG0001007	XP_018474698.1, XP_018454906.1	g25539
OG0001008	XP_018441144.1, XP_018475259.1	g3287
OG0001009	XP_018478920.1	g2210
OG0001009	XP_018491208.1, XP_018492247.1	g19086
OG0001010	XP_018450976.1, XP_018460080.1, XP_018470642.1, XP_018481658.1	g23477
OG0001010	XP_018440303.1, XP_018464789.1	g13896
OG0001011	XP_018482186.1, XP_018466337.1	g10114, g4838, g18527
OG0001011	XP_018438290.1	g12522
OG0001012	XP_018468388.1, XP_018483819.1	g47639
OG0001013	XP_018472197.1, XP_018476598.1, XP_018445540.1	g41449
OG0001013	XP_018487372.1, XP_018462416.1, XP_018432842.1, XP_018462363.1	g7660, g12501
OG0001014	XP_018468443.1	g24465
OG0001015	XP_018461406.1, XP_018437238.1	g5942
OG0001015	XP_018450903.1, XP_018462726.1, XP_018450902.1, XP_018461385.1, XP_018462725.1	g5941
OG0001016	XP_018434605.1, XP_018448981.1, XP_018448982.1	g31167
OG0001016	XP_018457239.1, XP_018467266.1	g27062
OG0001017	XP_018440847.1	g32060
OG0001017	XP_018471636.1	g44683
OG0001018	XP_018450275.1, XP_018450157.1, XP_018448473.1, XP_018482470.1, XP_018482238.1, XP_018448474.1, XP_018479030.1	g47909, g47910
OG0001019	XP_018436469.1, XP_018491004.1, XP_018486369.1	g37254
OG0001022	XP_018458886.1	g43676
OG0001022	XP_018458811.1	g49314, g25459, g30766, g180
OG0001030	XP_018467725.1	g37046
OG0001031	XP_018446070.1	g45664
OG0001031	XP_018453436.1	g13606
OG0001032	XP_018475923.1, XP_018476395.1, XP_018442157.1, XP_018465326.1	g29459
OG0001032	XP_018455994.1, XP_018452808.1	g45562
OG0001032	XP_018484641.1, XP_018461074.1	g10052
OG0001033	XP_018472987.1, XP_018439037.1	g39943
OG0001034	XP_018436975.1, XP_018475297.1	g39793
OG0001034	XP_018447601.1, XP_018486734.1	g26954
OG0001035	XP_018468034.1, XP_018483322.1, XP_018459491.1, XP_018450680.1	g14026, g38532
OG0001036	XP_018474457.1, XP_018474473.1, XP_018474462.1, XP_018474446.1	g32424
OG0001037	XP_018460813.1, XP_018483537.1	g36926
OG0001037	XP_018433625.1	g22456, g3733, g22455
OG0001038	XP_018438116.1, XP_018437667.1, XP_018467400.1, XP_018435658.1, XP_018456019.1	g10400
OG0001038	XP_018479370.1	g16485
OG0001039	XP_018452101.1, XP_018439095.1	g18572
OG0001040	XP_018467686.1	g36956
OG0001042	XP_018472027.1, XP_018439344.1	g2682, g19439
OG0001042	XP_018475841.1	g1352
OG0001044	XP_018489983.1, XP_018489986.1	g13098
OG0001044	XP_018475499.1, XP_018444409.1, XP_018469616.1	g29792, g5691
OG0001044	XP_018438560.1	g7431
OG0001045	XP_018455748.1, XP_018455739.1, XP_018468717.1	g46369
OG0001045	XP_018484508.1, XP_018461926.1	g27495, g50209
