Orthogroup	Raphanus_sativus	Cardamine_hirsuta
OG0001600	XP_018462211.1	CARHR280650
OG0001603	XP_018469709.1, XP_018441573.1, XP_018458341.1, XP_018458343.1	CARHR157210
OG0001603	XP_018458208.1, XP_018432865.1	CARHR277120
OG0001604	XP_018455401.1, XP_018438168.1, XP_018447577.1	CARHR019640
OG0001604	XP_018488682.1	CARHR156900
OG0001605	XP_018479665.1	CARHR214730
OG0001606	XP_018459306.1	CARHR196020
OG0001606	XP_018492964.1	CARHR077180
OG0001607	XP_018436796.1, XP_018436794.1, XP_018490656.1	CARHR077060
OG0001607	XP_018471571.1, XP_018445140.1	CARHR196250
OG0001608	XP_018466893.1, XP_018487608.1, XP_018441530.1	CARHR096420
OG0001610	XP_018449250.1, XP_018437376.1, XP_018436105.1	CARHR026930
OG0001611	XP_018444540.1, XP_018444577.1	CARHR200620
OG0001611	XP_018443957.1, XP_018464060.1, XP_018471632.1	CARHR193480
OG0001612	XP_018442261.1	CARHR193440
OG0001612	XP_018476665.1, XP_018446643.1	CARHR200890
OG0001613	XP_018473166.1, XP_018444992.1	CARHR201490
OG0001613	XP_018479309.1	CARHR187230
OG0001614	XP_018465325.1, XP_018467457.1, XP_018439354.1	CARHR293810
OG0001614	XP_018446745.1	CARHR203030
OG0001615	XP_018438180.1, XP_018438868.1	CARHR113510
OG0001615	XP_018446746.1, XP_018474549.1	CARHR149410
OG0001616	XP_018492647.1, XP_018492630.1, XP_018440966.1, XP_018452174.1	CARHR278540
OG0001617	XP_018442503.1, XP_018476199.1	CARHR204210
OG0001617	XP_018436595.1, XP_018490910.1	CARHR277750
OG0001618	XP_018457260.1, XP_018455118.1	CARHR190440
OG0001618	XP_018443876.1	CARHR204990
OG0001619	XP_018452582.1, XP_018452583.1	CARHR251400
OG0001619	XP_018438622.1, XP_018440100.1	CARHR002790
OG0001620	XP_018468568.1, XP_018493581.1	CARHR007360
OG0001620	XP_018460859.1, XP_018436851.1	CARHR122100
OG0001621	XP_018473498.1	CARHR123230
OG0001621	XP_018437399.1, XP_018450632.1	CARHR006910
OG0001622	XP_018437191.1, XP_018488680.1	CARHR006790
OG0001622	XP_018476026.1, XP_018482753.1	CARHR123430
OG0001623	XP_018485195.1	CARHR123880
OG0001623	XP_018440014.1, XP_018486892.1	CARHR006550
OG0001624	XP_018480435.1	CARHR124430
OG0001625	XP_018433644.1	CARHR125420
OG0001625	XP_018451572.1, XP_018451560.1	CARHR005230
OG0001626	XP_018447371.1, XP_018435550.1	CARHR003980
OG0001627	XP_018447095.1, XP_018449448.1, XP_018476847.1	CARHR003850
OG0001627	XP_018433484.1, XP_018484565.1	CARHR127340
OG0001628	XP_018449457.1, XP_018449454.1	CARHR003410
OG0001628	XP_018434246.1, XP_018453263.1	CARHR179430
OG0001629	XP_018472965.1, XP_018452712.1, XP_018452722.1	CARHR251960
OG0001629	XP_018491842.1	CARHR003010
OG0001630	XP_018458862.1, XP_018458546.1, XP_018462574.1, XP_018478035.1, XP_018478034.1	CARHR233160
OG0001631	XP_018484718.1, XP_018441584.1	CARHR180850
OG0001631	XP_018490454.1	CARHR027230
OG0001632	XP_018475290.1	CARHR128030
OG0001633	XP_018481679.1	CARHR275500
OG0001634	XP_018456468.1	CARHR274990
OG0001634	XP_018432909.1, XP_018467480.1	CARHR014280
OG0001636	XP_018483449.1, XP_018439025.1, XP_018469926.1, XP_018469903.1, XP_018488716.1	CARHR158560
OG0001637	XP_018475160.1, XP_018490214.1, XP_018475829.1, XP_018444782.1, XP_018470481.1	CARHR193380
OG0001638	XP_018445979.1, XP_018443027.1, XP_018475607.1	CARHR192840, CARHR193470
OG0001638	XP_018446150.1	CARHR192860
OG0001639	XP_018481769.1	CARHR139720
OG0001640	XP_018448011.1, XP_018448015.1, XP_018450358.1	CARHR234270
OG0001640	XP_018474762.1, XP_018452892.1	CARHR268820
OG0001641	XP_018470568.1	CARHR268540
OG0001641	XP_018476532.1, XP_018482651.1	CARHR234450
OG0001642	XP_018475494.1, XP_018476372.1, XP_018456105.1, XP_018476373.1, XP_018452211.1, XP_018452579.1, XP_018462279.1	CARHR268390, CARHR268370, CARHR268380
OG0001643	XP_018454236.1	CARHR235000
OG0001643	XP_018481876.1, XP_018455298.1, XP_018468654.1	CARHR267500
OG0001644	XP_018464406.1, XP_018485701.1, XP_018487038.1, XP_018436909.1, XP_018436911.1	CARHR086260
OG0001645	XP_018491635.1, XP_018490217.1	CARHR086000
OG0001646	XP_018445907.1	CARHR207660
OG0001646	XP_018492561.1, XP_018488520.1, XP_018433038.1	CARHR085760
OG0001647	XP_018445473.1	CARHR167320
OG0001647	XP_018447329.1, XP_018476286.1, XP_018446336.1	CARHR209240
OG0001648	XP_018477120.1	CARHR213750
OG0001648	XP_018485220.1, XP_018452549.1	CARHR148550
OG0001649	XP_018484621.1	CARHR213540
OG0001649	XP_018478701.1, XP_018463699.1, XP_018462284.1	CARHR148370
OG0001650	XP_018481634.1	CARHR047340, CARHR212940
OG0001650	XP_018457421.1	CARHR047370
OG0001651	XP_018493130.1	CARHR016710
OG0001651	XP_018470833.1, XP_018452113.1	CARHR073320
OG0001652	XP_018456516.1, XP_018456518.1	CARHR073000
OG0001652	XP_018450978.1	CARHR072980
OG0001653	XP_018452353.1	CARHR016930
OG0001653	XP_018452939.1	CARHR072860
OG0001654	XP_018480181.1	CARHR214140
OG0001655	XP_018470278.1	CARHR057150
OG0001656	XP_018446755.1	CARHR070020
OG0001656	XP_018448147.1, XP_018433387.1, XP_018442173.1	CARHR021310
OG0001657	XP_018484637.1, XP_018451816.1, XP_018450118.1	CARHR243770
OG0001657	XP_018493339.1	CARHR107590
OG0001658	XP_018433873.1	CARHR108370
OG0001658	XP_018477860.1, XP_018484588.1, XP_018482966.1	CARHR244420
OG0001659	XP_018450469.1	CARHR045990
OG0001659	XP_018492549.1, XP_018490886.1, XP_018490889.1	CARHR087260
OG0001660	XP_018485452.1	CARHR044160, CARHR044150
OG0001660	XP_018461937.1, XP_018492695.1, XP_018433932.1, XP_018440779.1	CARHR089480
OG0001661	XP_018489655.1, XP_018470268.1	CARHR043260
OG0001661	XP_018466752.1, XP_018465935.1, XP_018439755.1	CARHR215330, CARHR090360
OG0001662	XP_018483557.1	CARHR130220
OG0001662	XP_018477064.1, XP_018460294.1, XP_018436864.1, XP_018478109.1	CARHR162240
OG0001663	XP_018437130.1, XP_018434464.1, XP_018481409.1	CARHR130590
OG0001663	XP_018489856.1	CARHR162650
OG0001664	XP_018438636.1, XP_018482291.1	CARHR130810
OG0001665	XP_018472869.1, XP_018441658.1, XP_018484748.1	CARHR130820
OG0001666	XP_018470222.1	CARHR221290
OG0001666	XP_018439638.1, XP_018491535.1	CARHR098630
OG0001667	XP_018486964.1, XP_018432642.1	CARHR091780
OG0001668	XP_018489121.1	CARHR000070
OG0001668	XP_018484546.1	CARHR290460
OG0001669	XP_018483687.1	CARHR290560
OG0001669	XP_018484180.1	CARHR290570, CARHR290590
OG0001670	XP_018444838.1, XP_018468940.1	CARHR067150
OG0001670	XP_018453084.1	CARHR067160
OG0001671	XP_018462085.1, XP_018437494.1	CARHR286820
OG0001671	XP_018477572.1, XP_018481957.1	CARHR262060
OG0001672	XP_018456836.1	CARHR147640
OG0001672	XP_018451010.1, XP_018450996.1	CARHR013260
OG0001673	XP_018441514.1, XP_018441513.1	CARHR146980
OG0001673	XP_018482120.1, XP_018433351.1	CARHR013800
OG0001674	XP_018440810.1, XP_018440809.1, XP_018432895.1	CARHR094960
OG0001674	XP_018451468.1	CARHR039890
OG0001675	XP_018464498.1, XP_018438313.1	CARHR095470
OG0001676	XP_018491948.1, XP_018467240.1, XP_018491949.1	CARHR096900
OG0001676	XP_018448390.1, XP_018449363.1	CARHR041550
OG0001677	XP_018486454.1, XP_018461303.1	CARHR091690
OG0001677	XP_018451829.1, XP_018441879.1, XP_018485395.1	CARHR042150
OG0001678	XP_018491604.1	CARHR042220, CARHR042200
OG0001679	XP_018439615.1, XP_018451647.1, XP_018451645.1, XP_018492848.1	CARHR042880
OG0001679	XP_018440694.1	CARHR090690
OG0001680	XP_018484113.1	CARHR036080
OG0001681	XP_018471579.1	CARHR224330
OG0001681	XP_018452836.1, XP_018433871.1	CARHR174290
OG0001682	XP_018437142.1, XP_018457557.1, XP_018452925.1, XP_018477328.1	CARHR174280
OG0001682	XP_018482982.1	CARHR224320
OG0001683	XP_018493328.1, XP_018457645.1	CARHR287470
OG0001683	XP_018447959.1, XP_018450704.1	CARHR243230
OG0001684	XP_018489533.1, XP_018437489.1	CARHR106990
OG0001684	XP_018482252.1, XP_018451563.1, XP_018471416.1	CARHR243290
OG0001685	XP_018468433.1	CARHR253230
OG0001685	XP_018468430.1, XP_018478860.1, XP_018478751.1, XP_018450764.1	CARHR228970
OG0001686	XP_018476038.1	CARHR253100
OG0001687	XP_018469540.1, XP_018461917.1, XP_018448101.1	CARHR228540
OG0001687	XP_018452059.1	CARHR252710
OG0001688	XP_018489697.1	CARHR101680
OG0001688	XP_018438534.1	CARHR101690
OG0001689	XP_018432608.1, XP_018451925.1	CARHR034370
OG0001689	XP_018476557.1	CARHR260390
OG0001690	XP_018480551.1, XP_018486616.1	CARHR173320
OG0001691	XP_018480983.1, XP_018485752.1, XP_018490739.1, XP_018460345.1	CARHR173120
OG0001691	XP_018485318.1	CARHR143030
OG0001692	XP_018490534.1	CARHR172970
OG0001692	XP_018432614.1, XP_018433328.1	CARHR143180
OG0001693	XP_018436468.1	CARHR142340
OG0001693	XP_018493597.1, XP_018442860.1	CARHR172430
OG0001694	XP_018479475.1, XP_018482317.1	CARHR263470, CARHR134660
OG0001695	XP_018492824.1, XP_018442745.1	CARHR170580
OG0001695	XP_018483422.1	CARHR139990
OG0001696	XP_018487171.1, XP_018463553.1, XP_018442576.1	CARHR170570
OG0001696	XP_018433490.1, XP_018473273.1	CARHR139890
OG0001697	XP_018475902.1, XP_018477830.1	CARHR138320
OG0001697	XP_018492134.1	CARHR169740
OG0001698	XP_018483390.1	CARHR137910
OG0001698	XP_018446598.1	CARHR169170
OG0001699	XP_018436523.1	CARHR137340
OG0001699	XP_018432699.1, XP_018462613.1, XP_018482285.1	CARHR168130
OG0001700	XP_018458572.1	CARHR167120
OG0001701	XP_018478241.1, XP_018491684.1, XP_018466253.1, XP_018489715.1	CARHR164470
OG0001701	XP_018472992.1	CARHR133520
OG0001702	XP_018469813.1	CARHR266850
OG0001703	XP_018432786.1, XP_018432894.1	CARHR217040
OG0001705	XP_018437046.1, XP_018467070.1, XP_018478161.1	CARHR253320, CARHR134890
OG0001706	XP_018471563.1	CARHR247440
OG0001706	XP_018481705.1, XP_018481194.1, XP_018460609.1, XP_018475334.1, XP_018437129.1	CARHR112640
OG0001707	XP_018476712.1	CARHR259810
OG0001707	XP_018492396.1	CARHR034540
OG0001708	XP_018476654.1, XP_018476653.1	CARHR261040
OG0001708	XP_018434291.1, XP_018467066.1	CARHR023200
OG0001709	XP_018471953.1	CARHR256220
OG0001709	XP_018488580.1, XP_018447635.1, XP_018447652.1	CARHR032530
OG0001710	XP_018489422.1	CARHR080380
OG0001710	XP_018440389.1, XP_018477970.1, XP_018477968.1	CARHR186920
OG0001711	XP_018477088.1	CARHR185930
OG0001711	XP_018467494.1, XP_018492849.1	CARHR162300, CARHR079450
OG0001712	XP_018492404.1, XP_018492406.1	CARHR079350
OG0001712	XP_018440589.1, XP_018457186.1	CARHR185790
OG0001714	XP_018489872.1, XP_018438386.1	CARHR075800
OG0001714	XP_018490339.1, XP_018438326.1	CARHR075810
OG0001715	XP_018490248.1, XP_018490307.1	CARHR077260
OG0001715	XP_018438722.1, XP_018438717.1, XP_018435262.1	CARHR077250
OG0001716	XP_018433360.1, XP_018449642.1	CARHR008540
OG0001716	XP_018491429.1	CARHR078710
OG0001717	XP_018433087.1, XP_018435429.1, XP_018489842.1	CARHR091890
OG0001719	XP_018486437.1, XP_018492043.1	CARHR080800
OG0001719	XP_018449535.1	CARHR194120
OG0001720	XP_018490396.1, XP_018490397.1	CARHR080930
OG0001720	XP_018445876.1, XP_018445715.1	CARHR194400
OG0001721	XP_018436960.1, XP_018487371.1	CARHR081000
OG0001723	XP_018491897.1	CARHR081600
OG0001723	XP_018457414.1, XP_018440522.1	CARHR182810
OG0001724	XP_018457146.1, XP_018462155.1	CARHR259560
OG0001724	XP_018490693.1, XP_018492207.1	CARHR084250
OG0001725	XP_018481316.1, XP_018465282.1	CARHR184600, CARHR086050
OG0001726	XP_018492439.1, XP_018432929.1	CARHR093310
OG0001726	XP_018465203.1, XP_018467817.1	CARHR038200
OG0001727	XP_018438591.1, XP_018488997.1	CARHR093660
OG0001727	XP_018451593.1	CARHR038740
OG0001728	XP_018485210.1, XP_018485207.1, XP_018468660.1	CARHR235690
OG0001728	XP_018476646.1, XP_018457771.1	CARHR265830
OG0001729	XP_018452089.1, XP_018440250.1, XP_018465290.1, XP_018452099.1	CARHR161020, CARHR161030
OG0001730	XP_018482447.1, XP_018482512.1	CARHR001000
OG0001730	XP_018457308.1, XP_018472521.1	CARHR249200
OG0001731	XP_018455273.1, XP_018475350.1	CARHR249240
OG0001731	XP_018467519.1, XP_018463398.1	CARHR001060
OG0001732	XP_018453214.1, XP_018453150.1	CARHR249720
OG0001732	XP_018469920.1, XP_018489580.1	CARHR001700
OG0001733	XP_018432757.1	CARHR001990
OG0001733	XP_018474452.1, XP_018474456.1, XP_018471006.1	CARHR250330
OG0001734	XP_018459707.1	CARHR053980
OG0001734	XP_018437765.1	CARHR009780
OG0001735	XP_018441310.1, XP_018458649.1, XP_018457667.1	CARHR051970
OG0001735	XP_018485920.1, XP_018435255.1	CARHR011170
OG0001736	XP_018452774.1, XP_018434102.1	CARHR051380
OG0001736	XP_018479893.1	CARHR011400
OG0001737	XP_018481993.1	CARHR029730, CARHR029740
OG0001737	XP_018488731.1	CARHR012260
OG0001738	XP_018469436.1, XP_018454954.1	CARHR049410
OG0001738	XP_018447206.1, XP_018443223.1	CARHR012450
OG0001739	XP_018460871.1	CARHR013460
OG0001739	XP_018458807.1	CARHR013450
OG0001740	XP_018433688.1, XP_018448285.1	CARHR023460
OG0001741	XP_018469682.1, XP_018447441.1	CARHR246350
OG0001741	XP_018456823.1, XP_018445040.1	CARHR186780
OG0001742	XP_018468327.1	CARHR063760
OG0001742	XP_018447418.1, XP_018447419.1, XP_018491397.1	CARHR023790
OG0001743	XP_018436788.1	CARHR024220
OG0001745	XP_018481083.1, XP_018481041.1, XP_018468162.1, XP_018449264.1	CARHR246940
OG0001745	XP_018478835.1	CARHR113360
OG0001746	XP_018485321.1, XP_018441266.1	CARHR113620
OG0001746	XP_018449254.1, XP_018472254.1	CARHR246580
OG0001747	XP_018469111.1, XP_018483408.1, XP_018447625.1	CARHR245970
OG0001747	XP_018480934.1	CARHR114500
OG0001748	XP_018462234.1, XP_018432561.1	CARHR095490
OG0001748	XP_018493111.1, XP_018436985.1, XP_018485987.1	CARHR040370
OG0001749	XP_018488874.1, XP_018491691.1	CARHR106780
OG0001749	XP_018449667.1, XP_018468759.1	CARHR243060
OG0001750	XP_018461106.1, XP_018479054.1, XP_018470434.1	CARHR239500
OG0001751	XP_018483195.1	CARHR238880
OG0001752	XP_018436769.1	CARHR024250
OG0001752	XP_018484550.1	CARHR024240
OG0001754	XP_018438487.1, XP_018438488.1, XP_018438457.1, XP_018438465.1, XP_018438456.1	CARHR106430, CARHR106420
OG0001756	XP_018478894.1, XP_018478895.1	CARHR221940
OG0001756	XP_018478125.1, XP_018482761.1, XP_018477892.1, XP_018451137.1, XP_018467663.1	CARHR221950
OG0001763	XP_018486795.1	CARHR077510
OG0001763	XP_018446689.1, XP_018459158.1	CARHR195630
OG0001764	XP_018492838.1	CARHR076960
OG0001765	XP_018472780.1	CARHR196820
OG0001765	XP_018491352.1, XP_018486396.1	CARHR076790
OG0001766	XP_018445369.1, XP_018466723.1, XP_018466865.1	CARHR196960
OG0001767	XP_018491492.1	CARHR011590
OG0001767	XP_018465402.1, XP_018437946.1	CARHR011670
OG0001768	XP_018457918.1, XP_018469439.1	CARHR063440
OG0001768	XP_018442469.1, XP_018470820.1	CARHR198470
OG0001769	XP_018491903.1	CARHR075220
OG0001769	XP_018473712.1, XP_018444371.1	CARHR198940
OG0001770	XP_018470624.1, XP_018456805.1	CARHR125330
OG0001770	XP_018450872.1, XP_018470998.1	CARHR199140
OG0001771	XP_018485792.1, XP_018459271.1	CARHR286950
OG0001772	XP_018475961.1	CARHR202760
OG0001772	XP_018491445.1	CARHR279570, CARHR217670
OG0001774	XP_018473262.1, XP_018474781.1	CARHR205160
OG0001774	XP_018452312.1, XP_018486750.1	CARHR274710
OG0001775	XP_018446034.1	CARHR205540
OG0001775	XP_018483295.1	CARHR275340
OG0001776	XP_018441423.1	CARHR002540
OG0001776	XP_018459241.1	CARHR251260, CARHR251250
OG0001777	XP_018492639.1	CARHR007280
OG0001777	XP_018439722.1	CARHR122360
OG0001778	XP_018477301.1, XP_018480546.1	CARHR122670
OG0001778	XP_018441825.1, XP_018448094.1	CARHR007160
OG0001779	XP_018441751.1	CARHR122910
OG0001779	XP_018493006.1, XP_018436197.1, XP_018489398.1	CARHR007080
OG0001780	XP_018434847.1	CARHR006720
OG0001780	XP_018478353.1, XP_018433289.1	CARHR123480
OG0001781	XP_018483070.1	CARHR005700
OG0001781	XP_018437135.1	CARHR124820
OG0001782	XP_018473240.1, XP_018472692.1, XP_018433162.1, XP_018487677.1, XP_018486128.1, XP_018458815.1	CARHR127220, CARHR127210
OG0001783	XP_018455814.1	CARHR179160
OG0001783	XP_018486257.1, XP_018447501.1	CARHR003230
OG0001784	XP_018446266.1	CARHR232650
OG0001784	XP_018472938.1, XP_018452874.1	CARHR264220
OG0001785	XP_018476838.1, XP_018456761.1	CARHR264920
OG0001786	XP_018478408.1	CARHR116920, CARHR232890
OG0001787	XP_018455090.1	CARHR181040
OG0001787	XP_018440722.1	CARHR036230
OG0001788	XP_018487540.1	CARHR180890
OG0001789	XP_018451043.1, XP_018451040.1, XP_018433080.1	CARHR029780
OG0001789	XP_018440018.1	CARHR128780
OG0001790	XP_018454237.1, XP_018489874.1, XP_018462984.1	CARHR277300
OG0001790	XP_018489087.1	CARHR157310
OG0001791	XP_018489997.1, XP_018492667.1	CARHR276790
OG0001792	XP_018455035.1	CARHR276680, CARHR276690
OG0001793	XP_018453422.1, XP_018447406.1	CARHR026830
OG0001793	XP_018453492.1	CARHR026840
OG0001794	XP_018468902.1	CARHR214990
OG0001794	XP_018460741.1, XP_018461448.1, XP_018460153.1, XP_018460214.1, XP_018461452.1	CARHR189590
OG0001795	XP_018479310.1	CARHR187320
OG0001796	XP_018437694.1	CARHR152960
OG0001796	XP_018475881.1, XP_018444945.1, XP_018454285.1	CARHR191390
OG0001797	XP_018444387.1, XP_018433120.1	CARHR104630
OG0001797	XP_018476918.1	CARHR191310
OG0001798	XP_018439584.1	CARHR150570
OG0001798	XP_018464996.1, XP_018471367.1, XP_018446895.1, XP_018446887.1, XP_018463809.1	CARHR274090
OG0001799	XP_018461611.1, XP_018468366.1	CARHR273480, CARHR273460
OG0001800	XP_018441527.1	CARHR155400
OG0001800	XP_018472314.1	CARHR285380
OG0001801	XP_018475486.1, XP_018475489.1, XP_018455799.1, XP_018455828.1, XP_018455120.1, XP_018453969.1, XP_018461402.1, XP_018471296.1	CARHR271030, CARHR270260
OG0001802	XP_018470368.1, XP_018456121.1, XP_018456289.1	CARHR269290
OG0001802	XP_018452163.1	CARHR234180
OG0001803	XP_018491094.1, XP_018440784.1	CARHR086320
OG0001803	XP_018464149.1, XP_018473454.1, XP_018473463.1	CARHR206740
OG0001804	XP_018464313.1, XP_018476359.1, XP_018445050.1	CARHR207610
OG0001804	XP_018434319.1	CARHR109370
OG0001805	XP_018432778.1, XP_018439229.1, XP_018440378.1	CARHR085060
OG0001805	XP_018442845.1, XP_018442850.1	CARHR208760
OG0001806	XP_018441818.1	CARHR084770
OG0001806	XP_018446908.1	CARHR209090
OG0001807	XP_018476288.1, XP_018471986.1, XP_018471989.1	CARHR209140
OG0001807	XP_018432924.1	CARHR084750
OG0001808	XP_018451551.1, XP_018443235.1	CARHR211310
OG0001809	XP_018457955.1	CARHR148580
OG0001809	XP_018446673.1, XP_018459686.1	CARHR213760
OG0001810	XP_018470281.1	CARHR244670
OG0001811	XP_018439644.1	CARHR017680
OG0001811	XP_018442687.1	CARHR071950
OG0001812	XP_018442871.1, XP_018465452.1, XP_018443418.1	CARHR070430
OG0001812	XP_018459133.1	CARHR021700
OG0001813	XP_018480912.1	CARHR021640
OG0001814	XP_018446322.1	CARHR070240
OG0001814	XP_018450026.1, XP_018462204.1, XP_018464139.1	CARHR021530
OG0001815	XP_018468361.1	CARHR069630
OG0001815	XP_018439919.1, XP_018439400.1	CARHR020800
OG0001816	XP_018448993.1	CARHR064960
OG0001816	XP_018456081.1, XP_018456082.1	CARHR064970
OG0001818	XP_018451455.1, XP_018434508.1	CARHR019950
OG0001818	XP_018445356.1, XP_018445362.1	CARHR068430
OG0001819	XP_018486290.1, XP_018433535.1	CARHR107720
OG0001819	XP_018478489.1	CARHR243840
OG0001820	XP_018447330.1, XP_018467207.1	CARHR244410
OG0001820	XP_018435804.1	CARHR108360
OG0001821	XP_018464437.1, XP_018473204.1	CARHR130710
OG0001821	XP_018487363.1, XP_018442737.1	CARHR162800
OG0001822	XP_018484639.1, XP_018441067.1, XP_018441011.1	CARHR147510
OG0001822	XP_018484812.1	CARHR131280
OG0001824	XP_018470256.1, XP_018470255.1, XP_018442347.1, XP_018438927.1	CARHR066000
OG0001825	XP_018454649.1	CARHR267930
OG0001826	XP_018445181.1, XP_018445134.1	CARHR067640
OG0001827	XP_018483516.1, XP_018483515.1, XP_018455458.1	CARHR236890
OG0001827	XP_018452988.1	CARHR110280
OG0001828	XP_018484970.1	CARHR025170
OG0001828	XP_018452854.1, XP_018472047.1	CARHR062490
OG0001829	XP_018472085.1	CARHR225180
OG0001829	XP_018485118.1	CARHR175620
OG0001830	XP_018457244.1, XP_018466844.1, XP_018480386.1	CARHR176640
OG0001830	XP_018484469.1, XP_018451174.1, XP_018447067.1	CARHR225990
OG0001831	XP_018493010.1	CARHR006900
OG0001831	XP_018469093.1	CARHR182190, CARHR185730
OG0001831	XP_018493007.1	CARHR007110
OG0001832	XP_018458526.1, XP_018459584.1, XP_018485904.1	CARHR097170
OG0001832	XP_018493176.1, XP_018471094.1, XP_018473698.1	CARHR041850
OG0001833	XP_018486786.1	CARHR091300
OG0001833	XP_018447927.1	CARHR042360
OG0001834	XP_018473006.1, XP_018436933.1	CARHR128450
OG0001834	XP_018453166.1, XP_018456854.1	CARHR265440
OG0001836	XP_018443392.1	CARHR204790
OG0001836	XP_018450636.1	CARHR007070
OG0001837	XP_018461191.1, XP_018492628.1, XP_018438656.1	CARHR105810
OG0001838	XP_018441656.1	CARHR293450
OG0001838	XP_018450923.1, XP_018471287.1	CARHR243580
OG0001839	XP_018462572.1, XP_018447658.1	CARHR231190
OG0001839	XP_018457971.1, XP_018465315.1	CARHR255520
OG0001840	XP_018478914.1, XP_018467851.1, XP_018469811.1	CARHR229930
OG0001840	XP_018472916.1	CARHR254330
OG0001842	XP_018464304.1, XP_018442209.1	CARHR002580
OG0001842	XP_018469000.1	CARHR227350
OG0001843	XP_018456780.1	CARHR252160
OG0001843	XP_018447089.1	CARHR227680
OG0001844	XP_018456421.1	CARHR252530, CARHR215970
OG0001844	XP_018471234.1	CARHR228240
OG0001845	XP_018434349.1	CARHR007940
OG0001846	XP_018432970.1, XP_018488577.1	CARHR167290
OG0001846	XP_018465625.1	CARHR136480
OG0001847	XP_018445228.1, XP_018460349.1, XP_018485753.1, XP_018490538.1	CARHR173110
OG0001847	XP_018485022.1	CARHR143040
OG0001848	XP_018489415.1, XP_018444640.1	CARHR172440
OG0001848	XP_018481748.1, XP_018481743.1	CARHR142360
OG0001849	XP_018467557.1, XP_018485145.1	CARHR171030
OG0001849	XP_018444958.1, XP_018476618.1	CARHR140380
OG0001850	XP_018482145.1, XP_018480169.1, XP_018480170.1, XP_018481770.1	CARHR170610
OG0001850	XP_018483222.1, XP_018437380.1	CARHR140010
OG0001851	XP_018491414.1, XP_018464902.1, XP_018460723.1	CARHR170510
OG0001851	XP_018482193.1, XP_018481506.1	CARHR139810
OG0001852	XP_018461320.1, XP_018459087.1, XP_018459088.1	CARHR170410
OG0001852	XP_018476584.1, XP_018477304.1	CARHR139510
OG0001853	XP_018474927.1	CARHR139340
OG0001853	XP_018462707.1, XP_018481619.1, XP_018491109.1, XP_018445553.1	CARHR170310
OG0001854	XP_018468996.1, XP_018481618.1	CARHR170090
OG0001854	XP_018467023.1, XP_018480570.1, XP_018461570.1	CARHR170070
OG0001855	XP_018484004.1, XP_018439934.1	CARHR136060
OG0001855	XP_018459889.1, XP_018458565.1	CARHR159410, CARHR166770
OG0001856	XP_018434126.1	CARHR134670
OG0001856	XP_018484532.1, XP_018484535.1	CARHR165660
OG0001857	XP_018483045.1, XP_018483772.1	CARHR164700, CARHR164710
OG0001858	XP_018493236.1	CARHR163240
OG0001858	XP_018458999.1, XP_018481305.1	CARHR131570
OG0001859	XP_018469853.1, XP_018469840.1	CARHR244880
OG0001859	XP_018457342.1, XP_018452426.1, XP_018485404.1	CARHR108920
OG0001860	XP_018466680.1, XP_018449275.1, XP_018470424.1	CARHR245160
OG0001860	XP_018453261.1	CARHR109200
OG0001861	XP_018454175.1	CARHR057670
OG0001862	XP_018473197.1, XP_018475109.1	CARHR253680, CARHR253690
OG0001863	XP_018455915.1	CARHR252950
OG0001864	XP_018439157.1, XP_018439154.1	CARHR114080
OG0001864	XP_018451759.1, XP_018448373.1	CARHR246210
OG0001865	XP_018439931.1	CARHR034770
OG0001865	XP_018472585.1, XP_018472618.1	CARHR259540
OG0001866	XP_018460015.1, XP_018451676.1	CARHR009750
OG0001866	XP_018493571.1	CARHR082890
OG0001867	XP_018476437.1, XP_018476438.1	CARHR137660, CARHR137650
OG0001868	XP_018467550.1	CARHR035560
OG0001869	XP_018490279.1, XP_018438875.1, XP_018470327.1, XP_018491321.1	CARHR021420
OG0001871	XP_018492613.1, XP_018489306.1	CARHR076590
OG0001871	XP_018489301.1, XP_018489773.1	CARHR076600
OG0001872	XP_018488414.1	CARHR080620
OG0001872	XP_018436945.1, XP_018488880.1	CARHR099540
OG0001873	XP_018451082.1, XP_018441349.1	CARHR014380
OG0001874	XP_018441412.1	CARHR115580
OG0001875	XP_018480923.1	CARHR262680
OG0001875	XP_018454635.1, XP_018482683.1	CARHR152150
OG0001876	XP_018478934.1	CARHR262800, CARHR262760
OG0001876	XP_018482807.1, XP_018480827.1, XP_018482809.1	CARHR262810
OG0001877	XP_018478592.1, XP_018478570.1	CARHR214290
OG0001877	XP_018469881.1, XP_018469882.1, XP_018442832.1	CARHR059450
OG0001878	XP_018456950.1	CARHR248510, CARHR248500
OG0001878	XP_018492372.1, XP_018489980.1, XP_018474670.1	CARHR000740
OG0001879	XP_018472065.1, XP_018472076.1	CARHR010860
OG0001879	XP_018467755.1	CARHR233470
OG0001880	XP_018440934.1, XP_018486303.1	CARHR010920
OG0001880	XP_018438084.1, XP_018438083.1	CARHR051770
OG0001881	XP_018479568.1, XP_018463633.1	CARHR012350
OG0001881	XP_018457643.1	CARHR049540
OG0001882	XP_018451598.1, XP_018451600.1, XP_018465140.1, XP_018490369.1	CARHR012400
OG0001883	XP_018457733.1, XP_018452019.1	CARHR048420
OG0001883	XP_018483880.1, XP_018466656.1	CARHR013010
OG0001884	XP_018440402.1	CARHR146590
OG0001884	XP_018440381.1, XP_018484640.1	CARHR013590
OG0001885	XP_018478386.1, XP_018452128.1	CARHR145010
