Orthogroup	Raphanus_sativus	Arabidopsis_thaliana
OG0001116	XP_018450143.1	AT5G53742.1
OG0001120	XP_018438982.1	AT2G32240.1
OG0001120	XP_018475050.1, XP_018474136.1, XP_018438984.1	AT2G32235.1
OG0001121	XP_018470782.1, XP_018445464.1, XP_018445550.1, XP_018470784.1, XP_018445463.1, XP_018445548.1, XP_018473369.1	AT5G13440.1, AT5G13430.1
OG0001122	XP_018486819.1	AT5G65600.1
OG0001122	XP_018468375.1	AT5G10530.1
OG0001123	XP_018446600.1, XP_018472105.1	AT5G10450.4
OG0001123	XP_018492299.1, XP_018492155.1, XP_018457790.1	AT5G65430.3
OG0001124	XP_018483598.1	AT2G29190.1, AT2G29140.1, AT2G29200.1
OG0001125	XP_018440856.1, XP_018440854.1	AT2G33000.1
OG0001126	XP_018449550.1	AT1G47395.1, AT1G47400.1
OG0001127	XP_018489459.1, XP_018449551.1	AT1G28660.1, AT1G28670.1, AT1G28640.1, AT1G28650.1
OG0001128	XP_018457592.1, XP_018468309.1, XP_018468422.1	AT1G68310.1
OG0001128	XP_018438577.1	AT3G09380.1
OG0001129	XP_018459283.1	AT1G31450.1
OG0001129	XP_018482491.1, XP_018475583.1, XP_018436363.1	AT2G35615.1
OG0001130	XP_018472169.1, XP_018465176.1, XP_018442486.1	AT5G19550.1
OG0001130	XP_018455236.1, XP_018453076.1, XP_018456917.1	AT1G62800.2
OG0001131	XP_018470574.1, XP_018452071.1	AT5G55160.2
OG0001132	XP_018435238.1, XP_018440376.1	AT3G10550.1
OG0001132	XP_018471458.1, XP_018471457.1, XP_018446727.1, XP_018446697.1	AT5G04540.1
OG0001133	XP_018458412.1, XP_018458414.1, XP_018444845.1	AT5G03790.1
OG0001134	XP_018487458.1	AT3G09810.1
OG0001134	XP_018476601.1, XP_018471714.1, XP_018445240.1	AT5G03290.1
OG0001135	XP_018467636.1	AT5G01150.1
OG0001136	XP_018460782.1, XP_018446319.1	AT5G41770.1
OG0001139	XP_018438703.1, XP_018464071.1, XP_018467058.1	AT1G16890.3
OG0001140	XP_018443201.1, XP_018445856.1	AT1G76650.1
OG0001140	XP_018477760.1, XP_018480129.1, XP_018477759.1, XP_018445857.1	AT1G76640.1
OG0001141	XP_018462817.1	AT2G02080.1
OG0001141	XP_018462460.1, XP_018488197.1, XP_018451217.1	AT1G14580.3
OG0001142	XP_018490576.1	AT1G23140.1
OG0001142	XP_018452966.1	AT1G70800.1
OG0001143	XP_018449572.1, XP_018444068.1, XP_018443784.1	AT1G19570.1, AT1G19550.1
OG0001143	XP_018472303.1	AT1G75270.1
OG0001144	XP_018451523.1, XP_018439320.1	AT1G55520.1
OG0001144	XP_018486503.1	AT3G13445.1
OG0001145	XP_018447351.1, XP_018447350.1, XP_018488466.1, XP_018432733.1	AT1G17880.1
OG0001146	XP_018440483.1	AT2G20550.1, AT2G20560.1
OG0001146	XP_018444977.1, XP_018447047.1, XP_018477448.1	AT4G28480.1
OG0001147	XP_018454278.1, XP_018491773.1	AT1G64030.1
OG0001148	XP_018441936.1, XP_018433113.1, XP_018483668.1, XP_018457768.1	AT3G30390.1
OG0001148	XP_018484726.1	AT5G38820.2
OG0001149	XP_018478159.1, XP_018455442.1, XP_018447749.1, XP_018457483.1, XP_018478359.1	AT4G18100.1
OG0001150	XP_018446193.1, XP_018490477.1, XP_018491007.1	AT3G61630.1
OG0001150	XP_018438034.1, XP_018438223.1, XP_018475250.1, XP_018475258.1, XP_018465208.1	AT2G46310.1
OG0001151	XP_018482059.1, XP_018465594.1, XP_018467285.1, XP_018474803.1	AT2G45120.1
OG0001151	XP_018485142.1, XP_018443593.1, XP_018489522.1	AT3G60580.1
OG0001152	XP_018475530.1, XP_018441098.1, XP_018493147.1, XP_018459600.1, XP_018460708.1	AT3G59540.1, AT2G43460.1
OG0001153	XP_018459226.1, XP_018462535.1, XP_018432719.1	AT3G56320.1
OG0001153	XP_018433749.1, XP_018463991.1	AT2G40520.1
OG0001154	XP_018438973.1	AT2G21600.1
OG0001154	XP_018450459.1, XP_018451466.1, XP_018484232.1	AT4G39220.1
OG0001156	XP_018492075.1, XP_018456643.1, XP_018434436.1, XP_018483401.1, XP_018437455.1, XP_018438913.1	AT3G04920.1
OG0001157	XP_018435060.1	AT2G46760.1
OG0001157	XP_018434439.1	AT2G46750.1
OG0001157	XP_018438022.1	AT2G46740.1
OG0001158	XP_018436149.1	AT3G46530.1
OG0001159	XP_018482314.1, XP_018464232.1, XP_018481836.1, XP_018444822.1	AT1G54620.1, AT5G46980.1
OG0001160	XP_018444469.1, XP_018476775.1, XP_018461628.1, XP_018471678.1	AT5G18190.1
OG0001160	XP_018441868.1	AT3G03940.1
OG0001161	XP_018439265.1, XP_018464558.1, XP_018451763.1, XP_018441244.1, XP_018432846.1	AT3G04120.1
OG0001162	XP_018486357.1, XP_018438328.1	AT1G12240.1
OG0001162	XP_018454447.1, XP_018461976.1	AT1G62660.1
OG0001163	XP_018471622.1	AT1G14230.1
OG0001163	XP_018471892.1, XP_018437618.1, XP_018437616.1	AT1G14240.1, AT1G14250.1
OG0001164	XP_018456104.1	AT1G77660.1
OG0001164	XP_018447984.1, XP_018447904.1, XP_018447946.1, XP_018434826.1, XP_018449083.1	AT1G21920.1
OG0001166	XP_018436815.1, XP_018490133.1	AT3G18280.2
OG0001166	XP_018490929.1	AT1G48750.1
OG0001168	XP_018478270.1	AT4G34640.1
OG0001168	XP_018471127.1	AT4G34650.1
OG0001169	XP_018490588.1, XP_018464566.1	AT2G13800.1, AT2G13790.1
OG0001170	XP_018442479.1, XP_018444333.1	AT5G03060.1
OG0001170	XP_018458956.1, XP_018464695.1	AT4G11100.1
OG0001171	XP_018479065.1	AT5G38330.1, AT5G42242.1, AT5G38317.1
OG0001171	XP_018463694.1, XP_018482286.1, XP_018479064.1, XP_018469668.1	AT4G30070.1
OG0001174	XP_018474794.1, XP_018452168.1	AT4G11920.1
OG0001174	XP_018478670.1, XP_018478611.1, XP_018471581.1	AT4G22910.1
OG0001175	XP_018474864.1, XP_018475126.1, XP_018442177.1	AT5G15800.2
OG0001175	XP_018437242.1, XP_018460307.1, XP_018460304.1, XP_018490821.1	AT3G02310.1
OG0001176	XP_018489743.1, XP_018441361.1, XP_018493378.1	AT3G02250.1
OG0001176	XP_018446813.1, XP_018476865.1	AT5G15740.1
OG0001177	XP_018445830.1, XP_018470895.1, XP_018474742.1	AT5G12180.1
OG0001177	XP_018442459.1, XP_018447814.1	AT5G19360.1
OG0001178	XP_018446855.1, XP_018468596.1	AT5G09960.1
OG0001178	XP_018439358.1, XP_018458200.1, XP_018491643.1, XP_018491637.1	AT5G64850.1
OG0001179	XP_018486330.1, XP_018486336.1, XP_018452445.1, XP_018437533.1	AT5G64560.1
OG0001179	XP_018468451.1	AT5G09720.1, AT5G09690.2
OG0001181	XP_018481600.1	AT3G21950.2, AT5G38020.1
OG0001182	XP_018486206.1	AT1G45050.1
OG0001182	XP_018446199.1	AT1G75440.1
OG0001183	XP_018451330.1, XP_018451299.1, XP_018436174.1	AT1G29370.1, AT1G29350.1
OG0001184	XP_018482911.1, XP_018439777.1	AT2G35600.1
OG0001184	XP_018488855.1, XP_018479159.1	AT1G31880.2, AT2G21030.1
OG0001185	XP_018489764.1, XP_018491200.1, XP_018489766.1, XP_018437909.1, XP_018457011.1, XP_018455239.1	AT5G65800.1
OG0001185	XP_018439133.1, XP_018481662.1, XP_018463653.1	AT3G49700.1
OG0001186	XP_018454761.1, XP_018454750.1	AT5G23660.1
OG0001186	XP_018434134.1, XP_018493448.1	AT3G48740.1
OG0001188	XP_018487858.1, XP_018487857.1, XP_018435486.1, XP_018479323.1	AT3G01185.1
OG0001189	XP_018465831.1	AT5G19580.1
OG0001189	XP_018461640.1, XP_018445339.1	AT1G67290.1
OG0001190	XP_018444052.1	AT4G27585.1
OG0001190	XP_018468112.1, XP_018465018.1, XP_018448092.1, XP_018473294.1	AT5G54100.1
OG0001191	XP_018476575.1	AT5G54160.1
OG0001192	XP_018470683.1, XP_018445322.1	AT1G76160.1
OG0001193	XP_018451855.1, XP_018440054.1	AT1G56110.1
OG0001193	XP_018487273.1, XP_018486296.1, XP_018487338.1	AT3G12860.1
OG0001194	XP_018458497.1, XP_018445814.1, XP_018443067.1	AT1G74710.2
OG0001194	XP_018447868.1, XP_018447660.1	AT1G18870.1
OG0001195	XP_018491374.1	AT2G05070.1, AT2G05100.2
OG0001196	XP_018436954.1	AT3G27080.1
OG0001196	XP_018478365.1, XP_018480847.1	AT5G40930.1
OG0001197	XP_018438278.1, XP_018491542.1	AT3G13020.1
OG0001197	XP_018463084.1, XP_018438827.1, XP_018485877.1, XP_018489865.1	AT3G13030.1
OG0001198	XP_018454393.1, XP_018446248.1	AT1G72110.1
OG0001199	XP_018447495.1, XP_018468897.1, XP_018483857.1	AT4G17870.1
OG0001199	XP_018478656.1, XP_018452254.1	AT5G46790.1
OG0001200	XP_018468370.1, XP_018459246.1, XP_018468291.1	AT4G17480.1
OG0001201	XP_018450871.1, XP_018463146.1, XP_018450766.1	AT4G22220.1
OG0001202	XP_018449094.1	AT4G16765.1
OG0001202	XP_018470827.1, XP_018468403.1	AT4G16770.1
OG0001203	XP_018450578.1, XP_018480373.1, XP_018440173.1, XP_018485038.1	AT3G51160.1
OG0001203	XP_018441256.1, XP_018437504.1	AT5G66280.1
OG0001204	XP_018491599.1, XP_018491670.1	AT3G61260.1
OG0001204	XP_018439974.1, XP_018479156.1, XP_018479124.1	AT2G45820.1
OG0001205	XP_018461829.1	AT2G44160.1
OG0001205	XP_018491108.1, XP_018491107.1, XP_018445552.1	AT3G59970.3
OG0001206	XP_018459989.1, XP_018442569.1, XP_018459988.1	AT3G59190.2
OG0001207	XP_018485834.1, XP_018477358.1, XP_018445261.1, XP_018445167.1	AT3G58120.1
OG0001207	XP_018474718.1, XP_018475040.1, XP_018435209.1	AT2G42380.2
OG0001208	XP_018472926.1	AT2G41980.1
OG0001208	XP_018443004.1, XP_018444960.1, XP_018477873.1, XP_018444961.1, XP_018486062.1	AT3G58040.1
OG0001209	XP_018445717.1, XP_018491914.1, XP_018491911.1, XP_018477049.1	AT3G57930.1
OG0001209	XP_018478660.1, XP_018482622.1, XP_018433733.1	AT2G42190.1
OG0001210	XP_018439646.1, XP_018437500.1, XP_018474976.1	AT2G37210.2
OG0001210	XP_018486069.1, XP_018464954.1	AT3G53450.1
OG0001211	XP_018480592.1, XP_018448083.1, XP_018472445.1, XP_018470108.1, XP_018468571.1	AT4G29410.1
OG0001211	XP_018433632.1, XP_018433617.1, XP_018466787.1, XP_018467197.1, XP_018434332.1	AT2G19730.1
OG0001212	XP_018464705.1, XP_018436401.1, XP_018436400.1	AT4G03170.1, AT1G20600.1
OG0001214	XP_018492484.1, XP_018493554.1	AT3G06750.1
OG0001214	XP_018462135.1, XP_018434287.1, XP_018463316.1, XP_018478356.1, XP_018453171.1	AT5G49280.1
OG0001215	XP_018437201.1, XP_018437390.1, XP_018481231.1	AT2G01280.1
OG0001216	XP_018434145.1, XP_018491136.1	AT3G18820.1
OG0001216	XP_018447239.1, XP_018459861.1	AT1G49300.1
OG0001217	XP_018469187.1	AT4G26010.2
OG0001217	XP_018481475.1, XP_018479090.1	AT1G34510.1
OG0001218	XP_018489696.1, XP_018489618.1, XP_018464669.1	AT4G10265.1
OG0001218	XP_018439618.1	AT4G10270.1
OG0001219	XP_018436145.1, XP_018436142.1, XP_018446276.1, XP_018468567.1, XP_018468581.1	AT5G08730.1
OG0001221	XP_018483546.1	AT5G47490.1
OG0001221	XP_018457008.1, XP_018455946.1	AT5G47480.1
OG0001222	XP_018490047.1, XP_018453378.1	AT2G17880.1
OG0001222	XP_018448120.1, XP_018459445.1, XP_018454959.1, XP_018480787.1	AT4G36040.1
OG0001223	XP_018473922.1, XP_018473945.1, XP_018493142.1, XP_018473959.1, XP_018473951.1, XP_018473930.1, XP_018462801.1	AT1G26680.4
OG0001224	XP_018449922.1, XP_018455685.1, XP_018488606.1, XP_018455693.1, XP_018455916.1, XP_018454169.1	AT3G43570.1, AT1G58725.1, AT1G59030.1, AT1G59406.1, AT1G58525.1
OG0001225	XP_018456316.1	AT4G22513.1, AT4G22517.1, AT4G22610.1, AT4G22520.1
OG0001231	XP_018441770.1	AT3G03110.1
OG0001231	XP_018471108.1, XP_018471084.1, XP_018446328.1, XP_018458863.1	AT5G17020.1
OG0001232	XP_018456849.1	AT5G14920.1
OG0001232	XP_018463659.1, XP_018469596.1, XP_018469564.1, XP_018444378.1	AT1G75750.1
OG0001233	XP_018483181.1, XP_018481626.1	AT2G22890.1
OG0001233	XP_018449515.1, XP_018450911.1, XP_018455290.1	AT4G27030.1
OG0001234	XP_018474464.1, XP_018474465.1, XP_018492900.1, XP_018440165.1, XP_018472603.1, XP_018474463.1, XP_018470766.1	AT5G10840.1
OG0001235	XP_018446409.1, XP_018476389.1, XP_018462547.1	AT5G08570.1
OG0001235	XP_018457299.1, XP_018492974.1, XP_018492975.1	AT5G63680.1
OG0001236	XP_018487093.1, XP_018487091.1	AT3G07590.1
OG0001236	XP_018475699.1	AT4G02840.2
OG0001237	XP_018478828.1	AT2G29260.1
OG0001237	XP_018471103.1	AT5G06060.1
OG0001240	XP_018436042.1, XP_018465449.1	AT1G04800.1
OG0001240	XP_018482277.1	AT2G32690.1
OG0001241	XP_018475852.1, XP_018462020.1, XP_018483706.1, XP_018439703.1	AT2G32730.1
OG0001242	XP_018470515.1	AT1G29020.2
OG0001242	XP_018479883.1, XP_018479882.1, XP_018484357.1	AT2G34030.1
OG0001243	XP_018456641.1	AT5G28030.1
OG0001243	XP_018437970.1, XP_018463757.1, XP_018452245.1	AT5G28020.1
OG0001244	XP_018488958.1	AT5G67560.1
OG0001244	XP_018481072.1, XP_018481057.1	AT3G49870.1
OG0001245	XP_018435216.1, XP_018489801.1	AT5G63750.1, AT5G63760.1
OG0001246	XP_018446783.1, XP_018442884.1, XP_018461681.1	AT1G67430.1
OG0001246	XP_018450554.1	AT1G27400.1
OG0001247	XP_018439421.1, XP_018492573.1	AT5G61780.1
OG0001247	XP_018470706.1, XP_018476180.1	AT5G07350.2
OG0001248	XP_018471573.1, XP_018446563.1	AT5G22060.1
OG0001248	XP_018437689.1, XP_018432653.1, XP_018491633.1, XP_018476224.1	AT3G44110.1
OG0001249	XP_018456743.1	AT5G58380.1
OG0001249	XP_018446818.1, XP_018471687.1	AT5G07070.1
OG0001251	XP_018469271.1, XP_018473295.1, XP_018448093.1	AT5G54095.1
OG0001252	XP_018461885.1, XP_018476355.1, XP_018456767.1	AT4G02480.1
OG0001252	XP_018437202.1	AT1G02890.1
OG0001253	XP_018473282.1, XP_018466094.1, XP_018473280.1, XP_018456961.1	AT4G02740.2
OG0001254	XP_018488308.1, XP_018435331.1	AT3G09710.2
OG0001254	XP_018472949.1, XP_018470609.1	AT5G03040.1
OG0001255	XP_018445525.1	AT5G02840.1
OG0001255	XP_018434911.1, XP_018487453.1, XP_018487083.1	AT3G09600.1
OG0001256	XP_018462967.1, XP_018448577.1, XP_018456181.1	AT1G78880.1
OG0001256	XP_018435911.1, XP_018465499.1, XP_018464069.1	AT1G16860.1
OG0001257	XP_018482960.1	AT1G76810.1
OG0001257	XP_018451697.1	AT1G21160.1
OG0001258	XP_018444090.1	AT1G75300.1
OG0001258	XP_018442333.1	AT1G75290.2, AT1G75280.1
OG0001259	XP_018442373.1, XP_018448305.1, XP_018442873.1	AT1G75220.1
OG0001259	XP_018440214.1, XP_018432666.1	AT1G19450.1
OG0001260	XP_018441930.1	AT2G17390.1
OG0001260	XP_018444337.1, XP_018451821.1, XP_018448115.1	AT4G35450.5
OG0001261	XP_018450393.1, XP_018450394.1	AT4G35780.1
OG0001261	XP_018441113.1, XP_018466323.1, XP_018457101.1, XP_018452146.1, XP_018485426.1	AT2G17700.1
OG0001262	XP_018449829.1, XP_018448976.1	AT1G55570.1
OG0001262	XP_018488493.1, XP_018492552.1, XP_018437678.1	AT3G13390.1
OG0001263	XP_018467309.1, XP_018473140.1, XP_018433993.1	AT2G36320.1
OG0001265	XP_018486237.1, XP_018459666.1	AT3G22630.1
OG0001265	XP_018449306.1, XP_018463472.1	AT4G14800.2
OG0001266	XP_018449968.1, XP_018449997.1, XP_018483910.1, XP_018438286.1	AT1G18835.1
OG0001266	XP_018443000.1	AT1G74660.1
OG0001267	XP_018447810.1, XP_018449870.1, XP_018467867.1	AT4G29700.1
OG0001267	XP_018468810.1	AT4G29690.1
OG0001268	XP_018469695.1, XP_018461225.1, XP_018453444.1	AT1G68907.1
OG0001270	XP_018477279.1	AT3G19980.1
OG0001271	XP_018487594.1, XP_018485424.1, XP_018437038.1, XP_018437034.1, XP_018461644.1, XP_018488236.1, XP_018488970.1	AT1G50400.1, AT3G20000.1
OG0001272	XP_018477811.1, XP_018486040.1	AT1G50410.1
OG0001272	XP_018488242.1, XP_018493435.1	AT3G20010.1
OG0001273	XP_018473155.1, XP_018476814.1	AT4G11220.1
OG0001273	XP_018478296.1, XP_018447140.1, XP_018444788.1	AT4G23630.1
OG0001274	XP_018447438.1, XP_018447450.1, XP_018441733.1, XP_018432673.1	AT1G04170.1
OG0001275	XP_018462806.1, XP_018479706.1	AT5G41720.1
OG0001276	XP_018463047.1	AT4G21940.2
OG0001276	XP_018471842.1	AT4G04720.1, AT4G04740.2
OG0001277	XP_018472664.1, XP_018452346.1	AT4G04890.1
OG0001277	XP_018480642.1, XP_018477464.1	AT4G21750.1
OG0001278	XP_018480207.1, XP_018479129.1, XP_018436605.1	AT2G45900.1
OG0001278	XP_018492410.1, XP_018492399.1, XP_018477180.1	AT3G61380.1
OG0001279	XP_018447000.1	AT3G59920.1
OG0001279	XP_018461823.1, XP_018441960.1	AT2G44100.1
OG0001280	XP_018482776.1, XP_018483636.1	AT2G42520.1
OG0001280	XP_018465393.1, XP_018491523.1	AT3G58510.1
OG0001281	XP_018460536.1, XP_018461594.1, XP_018464228.1, XP_018449905.1	AT2G05400.3
OG0001282	XP_018445713.1, XP_018446182.1, XP_018485191.1, XP_018491910.1, XP_018486574.1	AT3G57890.2
OG0001282	XP_018440754.1	AT2G42230.2
OG0001283	XP_018440503.1, XP_018493113.1	AT3G08510.1
OG0001283	XP_018490672.1, XP_018467611.1, XP_018477637.1	AT3G55940.1
OG0001284	XP_018484534.1, XP_018484531.1, XP_018493159.1	AT3G55610.1
OG0001284	XP_018472629.1	AT2G39800.1
OG0001285	XP_018462465.1	AT5G53090.1
OG0001285	XP_018471282.1	AT4G27760.1
OG0001286	XP_018440140.1, XP_018484284.1, XP_018459001.1	AT2G37040.1
OG0001286	XP_018484019.1, XP_018492187.1	AT3G53260.1
OG0001287	XP_018455556.1	AT2G18080.1
OG0001287	XP_018477994.1, XP_018470474.1	AT4G36190.1, AT4G36195.1
OG0001288	XP_018434299.1, XP_018467426.1, XP_018478792.1	AT2G24530.1
OG0001288	XP_018458653.1, XP_018485316.1, XP_018482367.1, XP_018451543.1	AT4G31440.1
OG0001289	XP_018473421.1	AT2G44570.1
OG0001289	XP_018455347.1, XP_018438288.1, XP_018438329.1	AT2G44560.1, AT2G44540.1, AT2G44550.1
OG0001290	XP_018462745.1, XP_018491121.1, XP_018486036.1, XP_018491153.1	AT3G07470.1
OG0001292	XP_018439152.1	AT3G16660.2
OG0001292	XP_018439652.1, XP_018489426.1, XP_018493399.1	AT3G16670.1
OG0001293	XP_018470976.1, XP_018449902.1, XP_018449903.1, XP_018448189.1, XP_018449490.1, XP_018449483.1, XP_018491149.1, XP_018448188.1	AT1G03710.1
OG0001295	XP_018450895.1, XP_018444933.1, XP_018439463.1, XP_018436764.1	AT1G17520.2
OG0001295	XP_018456867.1, XP_018453047.1	AT1G72740.1
OG0001296	XP_018482339.1	AT5G38180.1, AT5G38197.1, AT5G38195.1, AT5G38160.1, AT5G38170.1
OG0001297	XP_018482952.1, XP_018482953.1, XP_018435188.1, XP_018482950.1, XP_018482951.1, XP_018435189.1, XP_018482954.1	AT3G28930.1, AT3G28940.1
OG0001298	XP_018449883.1, XP_018442967.1, XP_018469207.1	AT1G24600.1
OG0001298	XP_018446061.1, XP_018445993.1, XP_018468898.1, XP_018446377.1	AT1G67920.1
OG0001299	XP_018462169.1	AT2G34490.1
OG0001300	XP_018474736.1, XP_018444258.1, XP_018444179.1	AT3G09455.1, AT5G02502.1
OG0001300	XP_018437317.1, XP_018489122.1, XP_018465314.1	AT3G12587.1
OG0001301	XP_018465218.1, XP_018455256.1, XP_018455426.1, XP_018456267.1	AT5G46890.1, AT5G46900.1
OG0001305	XP_018491011.1	AT1G14910.1
OG0001305	XP_018441504.1, XP_018483872.1, XP_018457921.1	AT2G01600.1
OG0001306	XP_018492657.1, XP_018493426.1	AT3G01040.2
OG0001306	XP_018476624.1, XP_018446583.1	AT5G15470.1
OG0001307	XP_018446507.1	AT3G01310.1
OG0001307	XP_018476925.1, XP_018473399.1, XP_018444846.1	AT5G15070.2
OG0001308	XP_018445405.1, XP_018445378.1, XP_018470132.1, XP_018470134.1, XP_018475921.1, XP_018445379.1, XP_018445406.1, XP_018470130.1, XP_018470131.1	AT5G11170.1, AT5G11200.2
OG0001309	XP_018472651.1, XP_018456073.1, XP_018445259.1	AT5G08200.1
OG0001309	XP_018483776.1	AT5G23130.1
OG0001310	XP_018480879.1, XP_018489520.1	AT1G07900.1
OG0001310	XP_018434197.1, XP_018478657.1	AT2G28500.1
OG0001311	XP_018489085.1, XP_018489693.1	AT1G05870.1
OG0001311	XP_018475760.1, XP_018482878.1	AT2G31560.1
OG0001312	XP_018436829.1	AT2G34160.1
OG0001312	XP_018489118.1, XP_018483735.1, XP_018481028.1, XP_018450381.1, XP_018450380.1	AT1G29250.1
OG0001313	XP_018447121.1	AT3G20555.1
OG0001314	XP_018433795.1	AT1G14380.1
OG0001314	XP_018441119.1, XP_018452329.1, XP_018463001.1	AT2G02790.1
OG0001315	XP_018460557.1, XP_018449917.1, XP_018460552.1, XP_018442003.1, XP_018483111.1	AT1G13830.2
OG0001315	XP_018480905.1	AT2G03505.1
OG0001316	XP_018493050.1	AT5G61840.1
OG0001316	XP_018493452.1, XP_018450549.1, XP_018449173.1	AT1G27440.1
OG0001317	XP_018471386.1, XP_018492451.1, XP_018492452.1	AT3G48800.1
OG0001318	XP_018472909.1, XP_018456061.1, XP_018456053.1	AT5G60300.3
OG0001318	XP_018443250.1, XP_018464901.1, XP_018468705.1, XP_018468702.1	AT5G60310.1
OG0001319	XP_018472596.1, XP_018453268.1, XP_018468534.1	AT5G59780.3
OG0001319	XP_018436504.1	AT3G46130.1
OG0001320	XP_018474211.1, XP_018464904.1, XP_018474210.1	AT5G56810.1
OG0001320	XP_018464366.1, XP_018464375.1, XP_018462222.1, XP_018453555.1, XP_018453554.1, XP_018469561.1, XP_018474165.1	AT5G56820.1
OG0001321	XP_018466599.1, XP_018471537.1	AT5G55660.1
OG0001321	XP_018450366.1, XP_018470855.1	AT4G26630.1
OG0001322	XP_018487749.1	AT1G01800.1
OG0001322	XP_018491592.1, XP_018491664.1, XP_018478613.1, XP_018478630.1	AT2G24190.2
OG0001323	XP_018469888.1, XP_018444017.1	AT5G06480.1
OG0001323	XP_018489798.1, XP_018491325.1	AT3G11780.2
OG0001324	XP_018470180.1, XP_018465028.1	AT5G06230.1
OG0001324	XP_018488625.1, XP_018492780.1	AT3G11570.1
OG0001325	XP_018490054.1, XP_018466197.1, XP_018438170.1, XP_018489895.1	AT3G11550.1
OG0001326	XP_018476120.1, XP_018446206.1	AT5G04870.1
OG0001327	XP_018443184.1	AT5G41685.1
OG0001327	XP_018453179.1, XP_018453080.1	AT1G64220.1
OG0001329	XP_018433947.1, XP_018464738.1, XP_018461923.1, XP_018488697.1, XP_018465074.1	AT1G21720.1
OG0001330	XP_018439866.1	AT1G21540.1, AT1G21530.2
OG0001330	XP_018456001.1, XP_018471707.1, XP_018471708.1	AT1G77240.1
OG0001331	XP_018450673.1, XP_018432518.1, XP_018434941.1, XP_018450767.1	AT1G55680.1
OG0001331	XP_018488497.1, XP_018488439.1	AT3G13340.1
OG0001332	XP_018450021.1, XP_018465269.1, XP_018450917.1	AT1G54200.1
OG0001332	XP_018434251.1, XP_018486458.1	AT3G13980.1
OG0001333	XP_018457984.1	AT3G45530.1, AT3G27473.1, AT3G27480.1, AT3G27490.1, AT5G42840.1, AT3G27500.1, AT3G28650.1
OG0001334	XP_018485263.1	AT4G14240.1
OG0001334	XP_018450681.1	AT4G14230.1
OG0001335	XP_018435022.1	AT3G22930.1
OG0001335	XP_018449876.1	AT4G14640.1
OG0001336	XP_018440961.1	AT3G22900.1
OG0001337	XP_018449316.1	AT4G14815.1
OG0001338	XP_018443519.1, XP_018471624.1	AT1G73150.1
OG0001338	XP_018469049.1, XP_018447357.1, XP_018473038.1	AT1G17790.1
OG0001339	XP_018442582.1, XP_018442711.1, XP_018433948.1, XP_018433957.1	AT1G13260.1
OG0001339	XP_018482500.1, XP_018483034.1, XP_018434660.1	AT3G25730.1
OG0001340	XP_018455576.1, XP_018482218.1	AT5G45830.1
OG0001340	XP_018469268.1	AT4G18660.1
OG0001341	XP_018454141.1	AT5G45500.1
OG0001342	XP_018442067.1, XP_018452096.1	AT5G45340.1
OG0001342	XP_018468493.1, XP_018480585.1	AT4G19230.2
OG0001343	XP_018451251.1, XP_018470207.1, XP_018472406.1	AT4G19600.1
OG0001343	XP_018433185.1, XP_018483781.1	AT5G45190.2
OG0001344	XP_018447822.1, XP_018489356.1	AT1G51420.2
OG0001344	XP_018478696.1, XP_018482918.1, XP_018476036.1	AT2G35840.1
OG0001345	XP_018449622.1, XP_018491187.1	AT1G52570.1
OG0001345	XP_018488587.1, XP_018439621.1, XP_018439533.1	AT3G15730.1
OG0001346	XP_018469627.1	AT1G52880.1
OG0001346	XP_018490713.1, XP_018459446.1, XP_018434054.1, XP_018434020.1, XP_018490926.1	AT3G15510.1
OG0001347	XP_018450003.1, XP_018450916.1	AT4G18905.2
OG0001347	XP_018449884.1	AT4G18900.1
OG0001347	XP_018467835.1	AT4G35370.1
OG0001348	XP_018484494.1	AT3G50920.1
OG0001348	XP_018441873.1	AT5G66450.3
OG0001349	XP_018474731.1	AT4G11140.1
OG0001349	XP_018468552.1, XP_018482617.1	AT4G23750.1
OG0001350	XP_018478142.1	AT4G22770.1
OG0001350	XP_018452758.1	AT4G12080.1
OG0001351	XP_018483973.1	AT4G20840.1
OG0001351	XP_018450302.1, XP_018471131.1, XP_018447264.1, XP_018483974.1	AT4G20830.1
OG0001352	XP_018490403.1	AT3G25170.1
OG0001352	XP_018438646.1, XP_018438645.1	AT2G19040.1, AT2G19045.1, AT2G19030.1, AT2G19020.1
OG0001353	XP_018488926.1, XP_018480700.1, XP_018467305.1	AT3G62650.1
OG0001353	XP_018437213.1	AT2G47485.1
OG0001354	XP_018478132.1	AT3G62380.1
OG0001356	XP_018486958.1, XP_018459089.1	AT3G60120.1
OG0001357	XP_018474594.1	AT2G42680.1
OG0001357	XP_018480566.1	AT3G58680.1
OG0001358	XP_018458570.1, XP_018465396.1, XP_018489537.1	AT3G56960.1
OG0001358	XP_018439601.1, XP_018438067.1, XP_018475281.1	AT2G41210.1
OG0001359	XP_018444863.1	AT3G56700.2
OG0001360	XP_018449706.1	AT3G56300.1
OG0001360	XP_018484722.1	AT5G38830.1
OG0001362	XP_018482890.1	AT5G48655.1
OG0001362	XP_018461636.1, XP_018435313.1, XP_018485402.1	AT3G07200.1
OG0001363	XP_018473001.1	AT1G11145.1
OG0001364	XP_018450844.1	AT1G22300.1
OG0001365	XP_018492840.1, XP_018434167.1	AT1G32850.1
OG0001365	XP_018452390.1, XP_018476383.1	AT4G10590.1, AT4G10570.1
