Orthogroup	Raphanus_sativus	Capsella_rubella
OG0000426	XP_018448906.1, XP_018448910.1, XP_018479067.1, XP_018479015.1	XP_023638435.1
OG0000426	XP_018438037.1	XP_023641943.1
OG0000428	XP_018479337.1, XP_018465190.1, XP_018460297.1	XP_006306907.1, XP_006299894.2
OG0000429	XP_018480153.1, XP_018480148.1	XP_006290300.2, XP_023638962.1
OG0000429	XP_018484515.1	XP_023643802.1
OG0000429	XP_018488419.1	XP_023639062.1
OG0000430	XP_018477683.1, XP_018480647.1, XP_018470399.1	XP_023633999.1
OG0000430	XP_018454436.1, XP_018468363.1, XP_018467988.1	XP_006288911.1
OG0000430	XP_018432940.1	XP_006298837.1
OG0000431	XP_018455033.1	XP_006306016.2
OG0000431	XP_018454198.1	XP_006301035.1
OG0000432	XP_018484158.1, XP_018456287.1	XP_006304837.1, XP_006304764.1
OG0000432	XP_018467703.1	XP_006286118.1
OG0000434	XP_018479081.1	XP_006292281.1, XP_006282881.1
OG0000436	XP_018436508.1	XP_006292028.1
OG0000436	XP_018452038.1, XP_018456378.1, XP_018462482.1, XP_018472756.1	XP_006281290.1
OG0000436	XP_018462480.1, XP_018472739.1	XP_006281292.1
OG0000437	XP_018440186.1, XP_018468070.1, XP_018452619.1, XP_018480447.1, XP_018471301.1, XP_018475936.1	XP_006285100.1
OG0000437	XP_018433620.1, XP_018433635.1, XP_018466789.1	XP_006298740.2
OG0000439	XP_018444167.1, XP_018462534.1, XP_018474942.1, XP_018468976.1, XP_018472431.1	XP_006285493.1, XP_006286640.1
OG0000440	XP_018473980.1, XP_018460512.1, XP_018473671.1, XP_018473745.1, XP_018465420.1, XP_018474786.1, XP_018439137.1	XP_006279058.2, XP_006282291.1, XP_006279059.2, XP_006281745.1, XP_006281865.1
OG0000442	XP_018460504.1, XP_018483731.1	XP_023639792.1
OG0000442	XP_018474689.1, XP_018461799.1	XP_023639393.1
OG0000443	XP_018441747.1, XP_018441771.1	XP_006296156.2
OG0000443	XP_018445407.1, XP_018445380.1	XP_006289984.1
OG0000443	XP_018438036.1	XP_006289091.1
OG0000444	XP_018484999.1, XP_018476195.1, XP_018439834.1	XP_006294594.1
OG0000444	XP_018489072.1, XP_018460715.1, XP_018460196.1, XP_018444604.1	XP_006292538.1
OG0000444	XP_018447094.1, XP_018447093.1	XP_006304792.1
OG0000445	XP_018471092.1, XP_018468255.1, XP_018465052.1, XP_018434282.1, XP_018454868.1, XP_018454424.1, XP_018491299.1, XP_018483281.1, XP_018483283.1	XP_006288822.1
OG0000446	XP_018474245.1, XP_018475864.1, XP_018470167.1, XP_018467887.1, XP_018464079.1, XP_018468639.1	XP_023636253.1
OG0000447	XP_018462129.1, XP_018462041.1, XP_018459768.1, XP_018473372.1, XP_018435031.1, XP_018436594.1, XP_018486886.1, XP_018436693.1, XP_018487139.1, XP_018481826.1	XP_006299325.2, XP_006295174.1, XP_006298737.1, XP_006292003.1
OG0000448	XP_018478572.1	XP_023638828.1
OG0000448	XP_018477746.1, XP_018462084.1	XP_023638075.1, XP_023638714.1
OG0000448	XP_018477447.1	XP_006290512.1
OG0000449	XP_018434498.1, XP_018440487.1, XP_018440703.1, XP_018490673.1	XP_006290714.1, XP_006293285.1
OG0000449	XP_018436791.1	XP_006297834.2, XP_006297586.1
OG0000450	XP_018490086.1	XP_023636141.1
OG0000451	XP_018459194.1	XP_023634050.1
OG0000451	XP_018479821.1, XP_018476596.1, XP_018478321.1	XP_023644131.1, XP_023645318.1
OG0000452	XP_018437519.1	XP_023644385.1, XP_023643227.1
OG0000457	XP_018447098.1	XP_006298710.2
OG0000457	XP_018439236.1, XP_018486636.1, XP_018486441.1, XP_018434861.1, XP_018436924.1	XP_006295201.1
OG0000458	XP_018440326.1, XP_018489142.1, XP_018489134.1	XP_006303584.1
OG0000458	XP_018450113.1, XP_018455597.1	XP_006306520.1, XP_006281547.1
OG0000460	XP_018437562.1, XP_018433373.1	XP_006300251.2
OG0000460	XP_018475255.1, XP_018469141.1	XP_006279506.2
OG0000460	XP_018478676.1, XP_018465305.1, XP_018469403.1	XP_023635326.1
OG0000463	XP_018486159.1	XP_006305314.1
OG0000463	XP_018465908.1	XP_023638910.1
OG0000464	XP_018490136.1, XP_018475655.1, XP_018492222.1, XP_018470744.1, XP_018482397.1, XP_018470754.1, XP_018482381.1	XP_006305341.1
OG0000466	XP_018474685.1	XP_023636137.1, XP_006286383.2, XP_023636135.1, XP_023637346.1
OG0000467	XP_018463134.1, XP_018436386.1, XP_018458424.1	XP_006282377.2
OG0000468	XP_018438598.1	XP_006293027.2
OG0000470	XP_018449840.1	XP_006295495.1
OG0000470	XP_018450109.1, XP_018450076.1	XP_006285852.1
OG0000471	XP_018477230.1	XP_006283096.1, XP_023638885.1
OG0000471	XP_018451283.1, XP_018488355.1, XP_018456203.1	XP_023633959.1, XP_023635542.1, XP_006285407.1, XP_023634251.1, XP_023635356.1
OG0000472	XP_018436020.1, XP_018451135.1, XP_018459834.1	XP_023640316.1
OG0000473	XP_018486184.1	XP_023633292.1
OG0000474	XP_018492843.1, XP_018492859.1, XP_018451138.1, XP_018466622.1, XP_018479574.1, XP_018479584.1	XP_006306324.1
OG0000474	XP_018487229.1	XP_023633873.1
OG0000475	XP_018447683.1, XP_018477165.1	XP_006297863.1, XP_023634441.1
OG0000475	XP_018434903.1, XP_018467449.1, XP_018466409.1, XP_018452120.1	XP_006302389.1
OG0000476	XP_018443479.1, XP_018444867.1, XP_018443457.1, XP_018443452.1, XP_018443454.1, XP_018459667.1	XP_006290011.1, XP_006290077.2
OG0000477	XP_018458197.1	XP_006281265.1
OG0000477	XP_018483256.1	XP_006291992.1
OG0000477	XP_018451153.1, XP_018435159.1	XP_006303395.1
OG0000480	XP_018438106.1	XP_006301968.1
OG0000480	XP_018482804.1	XP_006292136.1
OG0000481	XP_018434119.1, XP_018439323.1, XP_018463219.1, XP_018454290.1	XP_006302194.1
OG0000481	XP_018471952.1	XP_006306441.1
OG0000481	XP_018486280.1, XP_018462009.1, XP_018465574.1, XP_018486216.1, XP_018488871.1	XP_006307429.1
OG0000482	XP_018453362.1, XP_018452816.1, XP_018454355.1	XP_006302783.2, XP_006302799.1
OG0000483	XP_018434449.1, XP_018447786.1, XP_018463979.1, XP_018447384.1, XP_018447509.1, XP_018452934.1, XP_018452974.1, XP_018440972.1, XP_018465960.1, XP_018472922.1, XP_018472937.1	XP_006287450.1
OG0000484	XP_018453622.1, XP_018477665.1, XP_018484103.1, XP_018449814.1, XP_018446815.1	XP_006285734.1, XP_006284215.2
OG0000485	XP_018484783.1	XP_006285535.1
OG0000485	XP_018467731.1	XP_006283872.2
OG0000491	XP_018458328.1	XP_006290974.1, XP_023638796.1
OG0000491	XP_018469528.1	XP_006292831.2
OG0000492	XP_018481357.1, XP_018489758.1	XP_006292723.1
OG0000492	XP_018461742.1	XP_023639637.1
OG0000492	XP_018484868.1	XP_023640971.1
OG0000493	XP_018435558.1	XP_023633447.1
OG0000493	XP_018479649.1, XP_018479659.1, XP_018479640.1, XP_018479650.1, XP_018474882.1, XP_018479653.1, XP_018479646.1, XP_018479656.1	XP_006282518.2, XP_006282935.2, XP_006299208.2, XP_023635052.1, XP_006285278.2
OG0000494	XP_018435173.1	XP_006304561.1
OG0000494	XP_018435234.1, XP_018461914.1, XP_018461912.1, XP_018434767.1, XP_018434755.1	XP_006297749.1, XP_023638942.1
OG0000496	XP_018436159.1	XP_023638299.1
OG0000496	XP_018459318.1, XP_018436846.1, XP_018441415.1	XP_006290566.1
OG0000497	XP_018472418.1	XP_006302320.1
OG0000497	XP_018493056.1, XP_018485951.1, XP_018459559.1, XP_018440890.1	XP_006297793.1
OG0000497	XP_018482522.1	XP_006300238.1, XP_006279086.1
OG0000498	XP_018488299.1	XP_023634896.1
OG0000499	XP_018439783.1	XP_006299969.1
OG0000500	XP_018458798.1, XP_018458799.1, XP_018465302.1, XP_018460033.1, XP_018483303.1, XP_018483304.1, XP_018477775.1	XP_006285696.1, XP_006284616.1, XP_006285820.1
OG0000501	XP_018442552.1	XP_023644931.1
OG0000501	XP_018452749.1	XP_023636909.1
OG0000501	XP_018468572.1	XP_023636853.1
OG0000501	XP_018468856.1	XP_023637440.1
OG0000502	XP_018459116.1	XP_006282225.1, XP_006285777.2
OG0000506	XP_018441898.1, XP_018445535.1, XP_018475654.1, XP_018472677.1, XP_018473739.1, XP_018452029.1, XP_018452436.1, XP_018471689.1	XP_006298349.1
OG0000508	XP_018479000.1, XP_018478994.1	XP_023644564.1
OG0000509	XP_018481840.1, XP_018463403.1, XP_018466030.1, XP_018460249.1	XP_023634870.1, XP_023634869.1, XP_023634868.1, XP_023634998.1
OG0000510	XP_018481751.1, XP_018482642.1, XP_018482636.1	XP_006283966.1
OG0000510	XP_018482631.1	XP_006286126.1
OG0000511	XP_018468150.1	XP_006286772.2, XP_023637093.1, XP_023636777.1, XP_023637293.1, XP_006287748.1
OG0000512	XP_018434206.1, XP_018481551.1, XP_018481338.1, XP_018461095.1, XP_018449387.1, XP_018468341.1, XP_018444034.1	XP_023639201.1, XP_023634592.1, XP_023635605.1
OG0000514	XP_018460325.1	XP_023636009.1
OG0000516	XP_018443460.1	XP_006301381.2
OG0000517	XP_018470952.1	XP_023636180.1, XP_006286602.2
OG0000517	XP_018474283.1, XP_018458864.1, XP_018475915.1, XP_018475916.1, XP_018475914.1, XP_018474282.1, XP_018465334.1, XP_018475800.1	XP_006288551.1, XP_006286773.1
OG0000518	XP_018475406.1, XP_018475421.1	XP_006287603.1, XP_006287621.1
OG0000519	XP_018438934.1	XP_023633585.1
OG0000519	XP_018437742.1	XP_023639333.1, XP_023639984.1, XP_006296089.1, XP_023640382.1
OG0000520	XP_018459623.1, XP_018438711.1, XP_018438602.1, XP_018459619.1	XP_023641021.1, XP_023633094.1
OG0000521	XP_018439875.1, XP_018439876.1	XP_006279830.1
OG0000521	XP_018439874.1	XP_006302848.1, XP_023638609.1
OG0000522	XP_018443166.1, XP_018468105.1	XP_006288904.1
OG0000522	XP_018474904.1	XP_006295241.1
OG0000522	XP_018487234.1, XP_018436713.1, XP_018436724.1, XP_018486838.1	XP_006298823.1
OG0000523	XP_018479776.1	XP_006295556.1
OG0000524	XP_018443613.1	XP_006289788.1, XP_006286408.1
OG0000525	XP_018434492.1, XP_018437578.1, XP_018433131.1	XP_006294283.1
OG0000525	XP_018468068.1, XP_018482666.1, XP_018482109.1, XP_018461146.1, XP_018437418.1	XP_023640494.1
OG0000526	XP_018472587.1	XP_006290128.2, XP_006288398.1
OG0000526	XP_018444690.1	XP_006289643.1
OG0000529	XP_018441986.1	XP_023640832.1
OG0000530	XP_018462526.1, XP_018454889.1, XP_018458021.1, XP_018473532.1, XP_018474787.1, XP_018466331.1, XP_018473534.1, XP_018469288.1, XP_018468689.1, XP_018468599.1, XP_018469285.1	XP_006281328.1, XP_023644524.1, XP_006281300.1, XP_006281568.2, XP_006281315.1
OG0000531	XP_018455706.1, XP_018447590.1, XP_018448708.1, XP_018437276.1, XP_018474826.1, XP_018456317.1, XP_018481098.1	XP_023636897.1, XP_006307315.1, XP_023637350.1, XP_006287584.1
OG0000532	XP_018479385.1, XP_018435888.1	XP_006279034.1, XP_023646070.1, XP_023633576.1, XP_023633140.1, XP_023634575.1
OG0000533	XP_018488036.1	XP_006303206.2, XP_023644515.1, XP_006303684.2, XP_006306682.2, XP_006304528.2
OG0000534	XP_018464109.1	XP_006285238.1
OG0000535	XP_018480141.1, XP_018480143.1, XP_018477360.1	XP_023639310.1, XP_006292940.1, XP_023643968.1
OG0000536	XP_018452656.1	XP_023636124.1
OG0000537	XP_018489230.1, XP_018441276.1	XP_006299274.1
OG0000537	XP_018482565.1	XP_006279754.1
OG0000537	XP_018437326.1, XP_018437186.1	XP_006299382.1
OG0000538	XP_018481709.1	XP_023639004.1
OG0000538	XP_018481645.1	XP_006292955.1, XP_006280457.1
OG0000539	XP_018473559.1	XP_006294799.1
OG0000539	XP_018466688.1, XP_018477299.1	XP_006294711.2
OG0000540	XP_018479850.1, XP_018479853.1	XP_006296353.1, XP_006295923.1
OG0000542	XP_018439009.1, XP_018491722.1	XP_006304044.1
OG0000542	XP_018454408.1	XP_006302601.1
OG0000542	XP_018443990.1	XP_006305436.1, XP_006302599.1
OG0000543	XP_018482909.1	XP_006282091.1
OG0000546	XP_018464672.1	XP_006299219.1
OG0000547	XP_018472876.1	XP_006294804.1
OG0000547	XP_018475100.1	XP_006293537.1
OG0000547	XP_018483075.1, XP_018480920.1	XP_006294823.1
OG0000547	XP_018475187.1	XP_006294805.1
OG0000548	XP_018462272.1	XP_023640696.1
OG0000549	XP_018478844.1, XP_018475816.1, XP_018476323.1, XP_018473322.1	XP_006296071.1
OG0000553	XP_018452119.1, XP_018485998.1, XP_018485651.1	XP_006298559.1
OG0000553	XP_018434792.1, XP_018457866.1, XP_018483334.1, XP_018463176.1	XP_006281111.1
OG0000554	XP_018473196.1, XP_018459369.1	XP_006289945.1, XP_006289150.1, XP_006289892.1, XP_006289038.1, XP_006289530.1
OG0000555	XP_018444295.1	XP_006289499.1
OG0000555	XP_018487627.1	XP_006297238.2
OG0000556	XP_018452815.1	XP_006300373.1, XP_006301650.1, XP_006300970.1, XP_006300567.1, XP_006301518.1, XP_006301153.1, XP_023644074.1
OG0000557	XP_018438696.1, XP_018441306.1, XP_018439158.1	XP_006295774.1
OG0000561	XP_018459117.1, XP_018463751.1, XP_018459745.1, XP_018463510.1	XP_006283580.2
OG0000561	XP_018476741.1, XP_018471720.1, XP_018446092.1	XP_006287642.1
OG0000562	XP_018437867.1, XP_018462994.1	XP_023640782.1
OG0000562	XP_018442594.1, XP_018474506.1, XP_018452733.1, XP_018452746.1	XP_006288634.1
OG0000563	XP_018473212.1, XP_018464505.1, XP_018486517.1, XP_018446223.1, XP_018446224.1, XP_018478040.1	XP_006296217.1
OG0000563	XP_018434570.1	XP_006306408.1
OG0000565	XP_018467734.1, XP_018467735.1	XP_023634906.1, XP_006305371.2, XP_006282354.2
OG0000565	XP_018458285.1	XP_006307176.1
OG0000566	XP_018464529.1	XP_023643825.1
OG0000566	XP_018454928.1	XP_006301857.1, XP_006301880.2
OG0000567	XP_018467658.1	XP_006301228.1
OG0000568	XP_018433679.1	XP_006293539.1
OG0000568	XP_018475001.1	XP_023640833.1
OG0000569	XP_018452221.1, XP_018438951.1	XP_006282161.1
OG0000569	XP_018433894.1	XP_006291526.2
OG0000569	XP_018465206.1, XP_018469166.1	XP_023639144.1
OG0000570	XP_018453519.1, XP_018474295.1, XP_018464497.1, XP_018479483.1, XP_018465923.1, XP_018465913.1, XP_018465861.1	XP_023633431.1, XP_006281770.2
OG0000571	XP_018482282.1, XP_018482019.1	XP_006285796.1
OG0000572	XP_018433234.1	XP_023645110.1
OG0000573	XP_018469322.1, XP_018462016.1	XP_006286514.2
OG0000573	XP_018437960.1	XP_023643234.1
OG0000573	XP_018453097.1, XP_018452882.1	XP_023636527.1
OG0000574	XP_018454080.1, XP_018465196.1	XP_023644443.1, XP_023634288.1, XP_023634289.1, XP_023639646.1, XP_023644547.1, XP_023634291.1, XP_023638875.1, XP_023638871.1, XP_023636055.1, XP_023644525.1
OG0000578	XP_018461397.1	XP_023642289.1
OG0000579	XP_018435059.1, XP_018492659.1	XP_006298764.1
OG0000579	XP_018486362.1	XP_006288858.1
OG0000580	XP_018475509.1, XP_018434184.1, XP_018482204.1	XP_006304411.1, XP_006296287.1
OG0000580	XP_018438858.1, XP_018482570.1	XP_023640384.1
OG0000580	XP_018490107.1, XP_018490296.1, XP_018460893.1, XP_018483176.1	XP_006306052.2
OG0000581	XP_018443856.1, XP_018443863.1, XP_018469498.1, XP_018469696.1	XP_006305248.1
OG0000581	XP_018443383.1	XP_006289991.2
OG0000582	XP_018489091.1	XP_006279365.1, XP_006290972.1
OG0000582	XP_018435038.1, XP_018435017.1, XP_018435036.1	XP_006279387.1, XP_023639269.1
OG0000583	XP_018492076.1, XP_018438284.1	XP_006306947.1
OG0000583	XP_018455904.1	XP_006301908.1
OG0000583	XP_018441399.1, XP_018492431.1	XP_006297150.1
OG0000584	XP_018457726.1, XP_018484616.1	XP_006280606.1
OG0000584	XP_018458070.1, XP_018457997.1, XP_018433159.1	XP_006302364.1
OG0000585	XP_018460408.1, XP_018460409.1	XP_023644273.1, XP_023644274.1, XP_006290149.1, XP_006299146.1, XP_023639070.1
OG0000587	XP_018436118.1, XP_018436117.1	XP_006306039.1
OG0000588	XP_018481206.1	XP_006296522.1
OG0000588	XP_018482773.1, XP_018477377.1	XP_006293402.1
OG0000588	XP_018434714.1, XP_018477378.1, XP_018478433.1, XP_018465973.1	XP_006294909.2
OG0000589	XP_018453568.1, XP_018456508.1	XP_006281068.1
OG0000591	XP_018469875.1, XP_018452770.1, XP_018452060.1	XP_006300773.2, XP_006300799.2, XP_006279182.1
OG0000591	XP_018470772.1, XP_018478653.1	XP_006283180.1
OG0000592	XP_018455901.1	XP_006300599.1
OG0000592	XP_018487295.1	XP_006306306.1
OG0000592	XP_018483709.1	XP_006283149.1
OG0000593	XP_018442174.1, XP_018454471.1	XP_006303021.1
OG0000593	XP_018491756.1, XP_018492689.1, XP_018439825.1, XP_018491766.1	XP_023641172.1, XP_023641173.1
OG0000594	XP_018467791.1, XP_018467792.1	XP_006285487.1
OG0000595	XP_018454193.1	XP_006300900.1, XP_006301531.2, XP_006301074.2, XP_006291424.1
OG0000595	XP_018442454.1	XP_006302485.1
OG0000597	XP_018481732.1, XP_018481730.1	XP_023634247.1
OG0000598	XP_018489191.1	XP_006297788.1
OG0000599	XP_018450465.1	XP_006284805.1
OG0000600	XP_018434245.1, XP_018491851.1, XP_018438845.1, XP_018432524.1, XP_018492958.1	XP_006298749.2, XP_006288900.1
OG0000601	XP_018476102.1, XP_018483976.1, XP_018433124.1, XP_018441302.1	XP_006302652.1
OG0000602	XP_018487247.1, XP_018448341.1, XP_018490150.1, XP_018490178.1	XP_023635091.1
OG0000602	XP_018469382.1, XP_018469489.1	XP_023635090.1
OG0000603	XP_018455126.1, XP_018455103.1	XP_023633867.1
OG0000604	XP_018443031.1, XP_018478056.1	XP_006284608.1
OG0000604	XP_018467051.1, XP_018455545.1, XP_018473101.1	XP_006281071.2
OG0000604	XP_018478493.1	XP_006282715.2
OG0000605	XP_018474771.1, XP_018476127.1	XP_006288016.1
OG0000605	XP_018438056.1, XP_018449928.1, XP_018451654.1, XP_018455384.1, XP_018474439.1	XP_006288028.1
OG0000606	XP_018455889.1	XP_006279894.1, XP_006279896.1
OG0000606	XP_018471327.1, XP_018465013.1, XP_018465621.1, XP_018450899.1, XP_018460124.1	XP_023633912.1
OG0000609	XP_018489545.1	XP_006299159.1
OG0000609	XP_018435908.1	XP_006299158.1
OG0000610	XP_018484682.1, XP_018484683.1	XP_006293928.2
OG0000613	XP_018440083.1, XP_018490689.1, XP_018491115.1	XP_006297006.1
OG0000613	XP_018472032.1, XP_018476362.1	XP_006287085.1
OG0000615	XP_018461407.1, XP_018486630.1	XP_006285622.1
OG0000616	XP_018468735.1	XP_006282852.1
OG0000616	XP_018449691.1, XP_018485049.1, XP_018466372.1	XP_006304509.1
OG0000617	XP_018442912.1	XP_006287716.1
OG0000617	XP_018475461.1, XP_018475458.1, XP_018444546.1, XP_018445851.1	XP_023636468.1, XP_006289527.2
OG0000618	XP_018469217.1, XP_018468421.1, XP_018474431.1	XP_006288633.1
OG0000618	XP_018491324.1, XP_018489797.1	XP_006299992.1
OG0000619	XP_018450331.1	XP_006303851.2
OG0000619	XP_018482906.1	XP_023645942.1, XP_023645936.1, XP_023645933.1
OG0000620	XP_018443661.1	XP_006282975.2
OG0000621	XP_018482817.1	XP_023638646.1
OG0000621	XP_018473380.1	XP_006292921.1
OG0000622	XP_018477885.1	XP_006296028.1
OG0000622	XP_018442154.1	XP_006281217.1
OG0000623	XP_018487216.1, XP_018433150.1	XP_023642075.1
OG0000623	XP_018481676.1	XP_006292747.1
OG0000623	XP_018460127.1, XP_018447714.1, XP_018485259.1	XP_006284367.1
OG0000625	XP_018488440.1	XP_006298063.2
OG0000625	XP_018486180.1	XP_023644511.1, XP_006285516.1, XP_006305841.2, XP_006301562.1, XP_006303103.2
OG0000626	XP_018447876.1, XP_018481892.1, XP_018477688.1, XP_018458808.1	XP_006307305.1
OG0000627	XP_018438947.1	XP_006300628.2
OG0000628	XP_018479037.1, XP_018448451.1, XP_018448450.1	XP_023633722.1, XP_023635373.1
OG0000628	XP_018450172.1, XP_018450174.1	XP_006285227.2
OG0000629	XP_018453841.1, XP_018450641.1, XP_018449949.1	XP_023633003.1, XP_006306025.2, XP_023646043.1
OG0000630	XP_018436239.1, XP_018478991.1	XP_006305364.1
OG0000635	XP_018444701.1	XP_006282092.1
OG0000635	XP_018489056.1, XP_018482187.1, XP_018487239.1, XP_018469024.1	XP_006307224.1, XP_006305882.1
OG0000636	XP_018461609.1, XP_018457938.1, XP_018455160.1, XP_018455156.1, XP_018475363.1	XP_006281389.1
OG0000636	XP_018488748.1, XP_018488719.1	XP_023639231.1, XP_023634554.1, XP_006306379.1, XP_006301929.1, XP_006301392.1
OG0000637	XP_018468157.1, XP_018487285.1	XP_006291822.1
OG0000637	XP_018471568.1	XP_006279700.1
OG0000637	XP_018477213.1	XP_006291831.1
OG0000638	XP_018472831.1, XP_018457895.1, XP_018461614.1, XP_018452654.1	XP_023640155.1
OG0000638	XP_018436507.1, XP_018489229.1, XP_018465789.1, XP_018490042.1	XP_006292540.1, XP_006291954.1
OG0000639	XP_018446165.1	XP_006290834.1
OG0000639	XP_018442037.1, XP_018442016.1, XP_018465207.1, XP_018465847.1	XP_006293934.1
OG0000640	XP_018467789.1, XP_018473813.1, XP_018435810.1	XP_006285219.1
OG0000641	XP_018456813.1, XP_018474802.1, XP_018476206.1	XP_023639830.1
OG0000641	XP_018470644.1	XP_006284576.2, XP_006298806.1
OG0000642	XP_018472634.1, XP_018480963.1	XP_023640852.1
OG0000642	XP_018441003.1	XP_006293455.1
OG0000643	XP_018432649.1, XP_018460139.1, XP_018434551.1	XP_023635831.1
OG0000644	XP_018455832.1, XP_018459464.1, XP_018459463.1	XP_006286222.2
OG0000645	XP_018448205.1, XP_018484425.1, XP_018482290.1, XP_018482288.1, XP_018450182.1	XP_006292190.1
OG0000646	XP_018493523.1, XP_018442533.1	XP_006291609.1
OG0000647	XP_018470923.1	XP_006296839.2
OG0000648	XP_018469432.1	XP_006300213.2
OG0000649	XP_018441574.1, XP_018446748.1	XP_006305339.1
OG0000649	XP_018492088.1	XP_006305354.1
OG0000649	XP_018433971.1, XP_018439687.1, XP_018489685.1	XP_006297909.2
OG0000650	XP_018464617.1	XP_006300262.2
OG0000650	XP_018438143.1, XP_018488161.1	XP_006300291.2
OG0000650	XP_018447489.1, XP_018450408.1	XP_006285576.1
OG0000652	XP_018490659.1, XP_018493208.1, XP_018490663.1, XP_018493211.1	XP_006300073.1
OG0000652	XP_018445142.1	XP_023637148.1, XP_023637147.1, XP_006289583.1
OG0000653	XP_018471124.1	XP_006284383.1
OG0000653	XP_018473547.1, XP_018476081.1, XP_018442038.1, XP_018460339.1, XP_018486697.1, XP_018486735.1, XP_018445227.1, XP_018478042.1	XP_023640451.1
OG0000655	XP_018461417.1, XP_018461419.1, XP_018483127.1, XP_018483126.1, XP_018439700.1	XP_006295085.1
OG0000655	XP_018486243.1, XP_018491167.1, XP_018491166.1	XP_006298665.1, XP_023645207.1
OG0000656	XP_018457043.1, XP_018457040.1, XP_018441632.1, XP_018478851.1	XP_006290597.1
OG0000656	XP_018436306.1, XP_018437300.1, XP_018433534.1	XP_006305938.1
OG0000658	XP_018480675.1, XP_018481221.1, XP_018484740.1, XP_018484707.1, XP_018454544.1, XP_018456988.1, XP_018434447.1	XP_006289159.2
OG0000660	XP_018463195.1	XP_023633415.1
OG0000660	XP_018466487.1	XP_006289584.1
OG0000661	XP_018433204.1, XP_018478107.1	XP_006293931.1
OG0000661	XP_018450702.1, XP_018492614.1	XP_006306147.1
OG0000661	XP_018451972.1	XP_006287360.1
OG0000662	XP_018459725.1	XP_006296301.2
OG0000662	XP_018437563.1, XP_018437624.1, XP_018473908.1	XP_023645557.1, XP_023632853.1, XP_023632850.1
OG0000663	XP_018447363.1, XP_018433501.1, XP_018473549.1	XP_006294924.1, XP_006303329.1
OG0000663	XP_018468147.1, XP_018443048.1, XP_018443041.1	XP_006300334.1
OG0000664	XP_018455787.1	XP_023643217.1
OG0000665	XP_018462275.1, XP_018488842.1, XP_018449209.1, XP_018467269.1, XP_018432885.1, XP_018438367.1, XP_018438371.1, XP_018486255.1	XP_006303766.1
OG0000666	XP_018447147.1	XP_006285702.1
OG0000666	XP_018451679.1, XP_018451677.1, XP_018482621.1, XP_018482619.1	XP_023633807.1, XP_006283785.1
OG0000667	XP_018441951.1, XP_018483892.1, XP_018474548.1, XP_018488450.1, XP_018443963.1, XP_018480632.1, XP_018488422.1, XP_018467498.1	XP_023638319.1, XP_006288849.1
OG0000668	XP_018435555.1	XP_023642668.1
OG0000669	XP_018493577.1, XP_018459682.1, XP_018458870.1, XP_018463905.1, XP_018473027.1, XP_018441333.1	XP_006305745.1, XP_006288747.2, XP_023644817.1
OG0000670	XP_018475516.1	XP_006281932.1
OG0000672	XP_018435261.1	XP_023642307.1
OG0000673	XP_018479136.1, XP_018490077.1, XP_018490078.1, XP_018487839.1	XP_006306557.1
OG0000673	XP_018490199.1, XP_018490200.1, XP_018438500.1, XP_018449908.1, XP_018450033.1	XP_006304823.1
OG0000674	XP_018448827.1, XP_018458975.1, XP_018487503.1, XP_018473940.1	XP_006289129.1, XP_006282029.1
OG0000678	XP_018476747.1	XP_006287397.1
OG0000678	XP_018471739.1, XP_018471735.1, XP_018471587.1, XP_018471182.1, XP_018446423.1, XP_018443363.1, XP_018476619.1	XP_023635724.1, XP_006282953.1
OG0000679	XP_018473291.1, XP_018473277.1	XP_006295193.1, XP_006303403.1
OG0000680	XP_018477897.1, XP_018441447.1, XP_018459901.1	XP_006294128.1
OG0000680	XP_018493025.1, XP_018435471.1	XP_006307403.1
OG0000681	XP_018446065.1, XP_018446062.1	XP_006300701.2
OG0000681	XP_018492767.1, XP_018440843.1	XP_023641515.1
OG0000681	XP_018451227.1, XP_018492654.1, XP_018434253.1	XP_023644969.1
OG0000682	XP_018437933.1, XP_018436307.1	XP_006299238.2
OG0000683	XP_018439099.1	XP_006290859.1
OG0000683	XP_018433504.1, XP_018488830.1	XP_006296782.1
OG0000683	XP_018482043.1	XP_006285019.1
OG0000684	XP_018463536.1	XP_006295699.1
OG0000684	XP_018480161.1, XP_018480159.1, XP_018488031.1	XP_023638965.1
OG0000684	XP_018485396.1	XP_006293271.1
OG0000685	XP_018440368.1, XP_018440291.1, XP_018438271.1, XP_018491252.1	XP_006298921.1
OG0000685	XP_018454893.1	XP_006279770.1
OG0000686	XP_018434114.1, XP_018437792.1	XP_006304961.1
OG0000687	XP_018489215.1	XP_006307405.1
OG0000690	XP_018444799.1, XP_018462037.1	XP_006283731.1
OG0000691	XP_018445411.1	XP_006287957.1
OG0000691	XP_018443082.1	XP_006288045.1
OG0000691	XP_018489226.1	XP_006299343.1
OG0000693	XP_018482876.1, XP_018482877.1, XP_018482875.1, XP_018475758.1, XP_018475759.1, XP_018475757.1	XP_023639743.1, XP_006291741.1, XP_006284422.1
OG0000694	XP_018477291.1, XP_018482998.1	XP_006293730.1
OG0000694	XP_018449651.1, XP_018448700.1	XP_006285915.1
OG0000695	XP_018460245.1, XP_018453706.1, XP_018480612.1, XP_018478174.1	XP_006284774.1
OG0000695	XP_018464208.1, XP_018444964.1, XP_018476409.1	XP_006295243.1
