Orthogroup	Raphanus_sativus	Brassica_oleracea
OG0003080	XP_018484965.1	XP_013636345.1
OG0003081	XP_018433155.1	XP_013605799.1
OG0003081	XP_018490039.1	XP_013585886.1
OG0003082	XP_018483874.1	XP_013593661.1
OG0003082	XP_018441505.1	XP_013619192.1
OG0003083	XP_018449960.1, XP_018449527.1	XP_013603290.1
OG0003083	XP_018491114.1	XP_013584180.1
OG0003083	XP_018441598.1	XP_013603047.1
OG0003084	XP_018472428.1	XP_013616357.1
OG0003084	XP_018438966.1, XP_018467344.1	XP_013585839.1
OG0003085	XP_018440899.1	XP_013586515.1
OG0003085	XP_018441493.1	XP_013604296.1
OG0003086	XP_018444704.1	XP_013591112.1
OG0003086	XP_018449695.1	XP_013603501.1
OG0003087	XP_018462940.1	XP_013595429.1
OG0003087	XP_018451771.1	XP_013604083.1
OG0003088	XP_018466782.1	XP_013597183.1
OG0003088	XP_018482212.1	XP_013587710.1
OG0003089	XP_018483423.1	XP_013584686.1
OG0003089	XP_018437006.1	XP_013596104.1
OG0003090	XP_018453019.1	XP_013590235.1
OG0003090	XP_018437132.1	XP_013596250.1
OG0003091	XP_018448681.1	XP_013639118.1
OG0003091	XP_018467778.1, XP_018453769.1	XP_013608080.1
OG0003092	XP_018447958.1	XP_013600460.1
OG0003093	XP_018468588.1	XP_013606732.1
OG0003093	XP_018468744.1, XP_018471428.1	XP_013596958.1
OG0003093	XP_018483838.1	XP_013625071.1
OG0003094	XP_018447548.1	XP_013622102.1
OG0003094	XP_018449758.1	XP_013627797.1
OG0003095	XP_018455977.1	XP_013611862.1
OG0003095	XP_018470921.1	XP_013635607.1
OG0003096	XP_018479048.1, XP_018480266.1	XP_013596785.1
OG0003096	XP_018467821.1	XP_013594732.1, XP_013623290.1
OG0003097	XP_018435718.1	XP_013586201.1
OG0003097	XP_018451086.1	XP_013604543.1
OG0003098	XP_018473587.1	XP_013621904.1
OG0003098	XP_018474531.1	XP_013590868.1, XP_013585949.1
OG0003098	XP_018472931.1	XP_013621903.1
OG0003101	XP_018450606.1, XP_018450605.1, XP_018492248.1	XP_013622571.1
OG0003102	XP_018470385.1	XP_013601295.1
OG0003102	XP_018484097.1	XP_013598587.1
OG0003104	XP_018477641.1	XP_013632659.1
OG0003106	XP_018438104.1	XP_013632511.1
OG0003106	XP_018482199.1, XP_018461239.1	XP_013633398.1
OG0003106	XP_018473092.1	XP_013628003.1
OG0003106	XP_018489891.1, XP_018489910.1	XP_013603716.1
OG0003110	XP_018465220.1, XP_018459168.1, XP_018436083.1, XP_018463924.1, XP_018453742.1, XP_018460514.1, XP_018462831.1, XP_018459752.1, XP_018474015.1, XP_018453710.1, XP_018435795.1, XP_018473861.1	XP_013629799.1, XP_013608059.1, XP_013639452.1, XP_013594336.1, XP_013601122.1, XP_013617555.1, XP_013630145.1, XP_013617353.1, XP_013617530.1, XP_013639487.1, XP_013594698.1, XP_013589193.1, XP_013608433.1, XP_013613868.1, XP_013617176.1, XP_013589415.1, XP_013623915.1, XP_013613393.1
OG0003110	XP_018479570.1	XP_013590815.1
OG0003116	XP_018480475.1, XP_018478544.1	XP_013636248.1
OG0003116	XP_018484555.1	XP_013597687.1
OG0003117	XP_018438437.1, XP_018464551.1	XP_013596938.1
OG0003117	XP_018442203.1	XP_013608592.1
OG0003117	XP_018476756.1	XP_013621754.1
OG0003118	XP_018446419.1	XP_013612574.1
OG0003118	XP_018487135.1	XP_013622302.1
OG0003119	XP_018473688.1	XP_013625759.1
OG0003119	XP_018473691.1	XP_013628575.1
OG0003119	XP_018446890.1	XP_013606307.1
OG0003120	XP_018445630.1	XP_013612478.1
OG0003120	XP_018456898.1, XP_018456899.1	XP_013612912.1
OG0003121	XP_018473275.1	XP_013621855.1
OG0003122	XP_018478245.1, XP_018466313.1	XP_013599156.1
OG0003122	XP_018471910.1	XP_013609353.1
OG0003123	XP_018449533.1, XP_018466373.1, XP_018468528.1	XP_013585512.1
OG0003124	XP_018476989.1	XP_013621843.1
OG0003125	XP_018490851.1, XP_018492636.1	XP_013637678.1
OG0003125	XP_018439221.1	XP_013638185.1
OG0003127	XP_018441267.1	XP_013598692.1
OG0003128	XP_018474489.1	XP_013625226.1
OG0003128	XP_018442794.1	XP_013606543.1
OG0003128	XP_018449055.1	XP_013605210.1
OG0003129	XP_018456443.1	XP_013612554.1
OG0003129	XP_018485519.1, XP_018463381.1	XP_013630101.1
OG0003130	XP_018457589.1	XP_013621902.1, XP_013611847.1
OG0003130	XP_018457587.1	XP_013611848.1
OG0003131	XP_018444348.1	XP_013610491.1
OG0003131	XP_018479277.1	XP_013594198.1
OG0003132	XP_018433933.1	XP_013599558.1
OG0003132	XP_018477713.1, XP_018460743.1	XP_013599450.1
OG0003133	XP_018439486.1	XP_013606241.1, XP_013611551.1
OG0003134	XP_018475640.1	XP_013627713.1
OG0003134	XP_018491747.1	XP_013585164.1
OG0003134	XP_018486906.1	XP_013625286.1
OG0003135	XP_018468218.1	XP_013616904.1
OG0003136	XP_018444898.1, XP_018443260.1	XP_013608340.1
OG0003138	XP_018471218.1	XP_013621015.1
OG0003138	XP_018470231.1	XP_013616676.1
OG0003138	XP_018473283.1	XP_013626360.1
OG0003139	XP_018455528.1, XP_018454343.1, XP_018454344.1	XP_013613066.1
OG0003140	XP_018486667.1	XP_013583982.1
OG0003140	XP_018438296.1	XP_013596529.1
OG0003141	XP_018433189.1	XP_013603574.1
OG0003141	XP_018489745.1	XP_013585073.1
OG0003141	XP_018490034.1	XP_013626977.1
OG0003141	XP_018490059.1	XP_013626721.1
OG0003142	XP_018457959.1	XP_013616119.1, XP_013610982.1
OG0003143	XP_018456004.1	XP_013610597.1
OG0003144	XP_018435344.1	XP_013623183.1
OG0003145	XP_018475775.1	XP_013626839.1, XP_013626036.1
OG0003146	XP_018441142.1	XP_013588930.1
OG0003146	XP_018486854.1, XP_018490474.1	XP_013586553.1
OG0003146	XP_018445921.1	XP_013608534.1, XP_013592481.1, XP_013611813.1
OG0003147	XP_018477513.1	XP_013631927.1
OG0003147	XP_018454764.1	XP_013610563.1
OG0003148	XP_018456489.1	XP_013611383.1
OG0003148	XP_018457695.1	XP_013612794.1
OG0003149	XP_018483701.1	XP_013635786.1
OG0003149	XP_018491576.1	XP_013591718.1
OG0003150	XP_018471536.1	XP_013621497.1
OG0003150	XP_018435395.1	XP_013586747.1
OG0003151	XP_018445054.1, XP_018443785.1	XP_013618902.1, XP_013592571.1
OG0003152	XP_018443573.1, XP_018442802.1	XP_013590336.1
OG0003152	XP_018437586.1	XP_013600228.1
OG0003153	XP_018442842.1, XP_018442857.1	XP_013589443.1
OG0003154	XP_018468461.1, XP_018466273.1	XP_013637848.1
OG0003154	XP_018447865.1	XP_013600485.1
OG0003155	XP_018444498.1	XP_013592879.1
OG0003155	XP_018480131.1	XP_013620252.1
OG0003156	XP_018437163.1	XP_013597351.1
OG0003156	XP_018481207.1, XP_018481219.1	XP_013584395.1
OG0003157	XP_018443309.1	XP_013637788.1
OG0003158	XP_018464611.1, XP_018479505.1, XP_018479511.1	XP_013592216.1
OG0003158	XP_018493519.1, XP_018446968.1	XP_013591932.1
OG0003159	XP_018464752.1, XP_018438473.1	XP_013634458.1
OG0003159	XP_018481767.1, XP_018481766.1	XP_013627561.1, XP_013635219.1
OG0003159	XP_018438139.1	XP_013635148.1
OG0003160	XP_018474072.1	XP_013626053.1
OG0003160	XP_018483938.1	XP_013636514.1
OG0003161	XP_018436491.1	XP_013628717.1
OG0003162	XP_018447879.1	XP_013600942.1
OG0003162	XP_018483906.1, XP_018483907.1	XP_013631363.1
OG0003163	XP_018469218.1	XP_013590267.1
OG0003163	XP_018437886.1, XP_018437897.1	XP_013584581.1
OG0003164	XP_018487025.1	XP_013638428.1
OG0003165	XP_018442167.1	XP_013588343.1
OG0003165	XP_018468245.1	XP_013616529.1
OG0003166	XP_018433417.1	XP_013586943.1
OG0003167	XP_018437459.1	XP_013595347.1, XP_013615808.1, XP_013618483.1, XP_013616401.1
OG0003167	XP_018481504.1	XP_013634686.1
OG0003168	XP_018479628.1, XP_018479629.1	XP_013634970.1
OG0003168	XP_018483893.1, XP_018458470.1	XP_013592981.1
OG0003169	XP_018478026.1	XP_013631931.1
OG0003169	XP_018477153.1	XP_013598377.1
OG0003170	XP_018463377.1	XP_013617218.1
OG0003171	XP_018457940.1	XP_013594187.1, XP_013597565.1, XP_013616068.1, XP_013628685.1
OG0003171	XP_018483051.1	XP_013597563.1
OG0003172	XP_018482076.1	XP_013615516.1, XP_013615612.1, XP_013633268.1, XP_013636804.1
OG0003173	XP_018477609.1	XP_013590841.1
OG0003174	XP_018480715.1, XP_018461879.1	XP_013635273.1
OG0003175	XP_018460395.1, XP_018477608.1	XP_013637468.1
OG0003175	XP_018434676.1	XP_013614074.1
OG0003176	XP_018484089.1, XP_018466271.1, XP_018463644.1	XP_013597715.1
OG0003176	XP_018468378.1, XP_018467041.1	XP_013638389.1
OG0003177	XP_018462475.1	XP_013615869.1
OG0003177	XP_018462276.1, XP_018469377.1	XP_013619601.1
OG0003178	XP_018473296.1	XP_013623218.1
OG0003178	XP_018484485.1	XP_013637689.1
OG0003179	XP_018470857.1, XP_018470869.1	XP_013601448.1
OG0003179	XP_018481811.1	XP_013633852.1
OG0003180	XP_018463585.1, XP_018449414.1	XP_013599880.1
OG0003180	XP_018472102.1	XP_013601254.1
OG0003181	XP_018480439.1	XP_013596066.1
OG0003181	XP_018439845.1	XP_013604625.1
OG0003181	XP_018468187.1	XP_013587411.1
OG0003182	XP_018432801.1	XP_013602188.1
OG0003182	XP_018446529.1	XP_013592667.1
OG0003183	XP_018459605.1, XP_018478390.1	XP_013636188.1
OG0003183	XP_018444714.1	XP_013592846.1
OG0003184	XP_018460877.1, XP_018467526.1, XP_018445091.1	XP_013591321.1
OG0003185	XP_018489735.1	XP_013603135.1
OG0003185	XP_018491273.1	XP_013619604.1
OG0003185	XP_018453614.1	XP_013633212.1
OG0003185	XP_018478421.1	XP_013633697.1
OG0003186	XP_018438199.1	XP_013601589.1
OG0003187	XP_018487261.1	XP_013604525.1
OG0003187	XP_018491916.1	XP_013604523.1
OG0003188	XP_018486999.1, XP_018490675.1	XP_013600378.1
OG0003188	XP_018442524.1	XP_013588390.1
OG0003188	XP_018464704.1	XP_013631747.1
OG0003189	XP_018491034.1	XP_013599987.1
OG0003190	XP_018484160.1	XP_013637052.1
OG0003191	XP_018447396.1, XP_018447416.1	XP_013622350.1
OG0003191	XP_018452025.1	XP_013591704.1
OG0003191	XP_018472474.1	XP_013618382.1
OG0003192	XP_018492704.1	XP_013629365.1
OG0003193	XP_018458575.1, XP_018461052.1	XP_013637505.1
OG0003194	XP_018477725.1	XP_013634166.1, XP_013622577.1
OG0003194	XP_018433808.1	XP_013636900.1
OG0003195	XP_018480297.1	XP_013635798.1
OG0003195	XP_018481804.1	XP_013594088.1
OG0003195	XP_018472343.1, XP_018472353.1	XP_013587371.1
OG0003196	XP_018440017.1	XP_013604482.1
OG0003197	XP_018457856.1	XP_013616719.1
OG0003198	XP_018477910.1	XP_013599214.1
OG0003198	XP_018487073.1	XP_013625240.1
OG0003199	XP_018441290.1	XP_013598936.1
OG0003199	XP_018469335.1, XP_018470190.1	XP_013584034.1
OG0003200	XP_018481734.1	XP_013597464.1
OG0003200	XP_018438253.1	XP_013620153.1
OG0003201	XP_018434342.1	XP_013637007.1
OG0003201	XP_018486219.1	XP_013630501.1
OG0003202	XP_018476471.1	XP_013629186.1
OG0003203	XP_018485862.1	XP_013637974.1
OG0003203	XP_018452479.1	XP_013613345.1
OG0003204	XP_018435958.1	XP_013628471.1, XP_013614514.1
OG0003204	XP_018486998.1, XP_018488292.1	XP_013627820.1
OG0003206	XP_018488741.1, XP_018489272.1	XP_013626292.1
OG0003206	XP_018437747.1, XP_018437736.1	XP_013589107.1
OG0003206	XP_018490999.1	XP_013584086.1
OG0003207	XP_018488272.1, XP_018461935.1, XP_018460494.1, XP_018460484.1	XP_013617240.1, XP_013614751.1
OG0003208	XP_018487580.1	XP_013583243.1
OG0003208	XP_018435453.1	XP_013592561.1
OG0003208	XP_018488247.1	XP_013624242.1
OG0003210	XP_018461487.1	XP_013597033.1
OG0003211	XP_018451114.1	XP_013585969.1, XP_013604927.1
OG0003211	XP_018469114.1	XP_013586018.1
OG0003212	XP_018471513.1, XP_018471500.1	XP_013591104.1
OG0003212	XP_018448154.1	XP_013614906.1, XP_013601003.1
OG0003212	XP_018450387.1	XP_013603992.1
OG0003213	XP_018449633.1	XP_013600465.1
OG0003213	XP_018449826.1	XP_013605492.1
OG0003213	XP_018484908.1	XP_013584786.1
OG0003214	XP_018436756.1	XP_013639274.1
OG0003215	XP_018437984.1	XP_013601056.1
OG0003215	XP_018488934.1	XP_013584903.1
OG0003216	XP_018460875.1	XP_013605689.1
OG0003217	XP_018478432.1, XP_018478796.1	XP_013595349.1
OG0003218	XP_018451953.1	XP_013600644.1, XP_013638400.1
OG0003219	XP_018484053.1	XP_013584191.1
OG0003219	XP_018438360.1	XP_013596119.1
OG0003220	XP_018455332.1	XP_013590857.1
OG0003220	XP_018483138.1	XP_013587604.1
OG0003221	XP_018440614.1	XP_013585215.1
OG0003222	XP_018470975.1	XP_013586243.1
OG0003223	XP_018438641.1	XP_013591905.1
OG0003224	XP_018453115.1	XP_013607739.1
OG0003224	XP_018453114.1	XP_013611455.1
OG0003225	XP_018481091.1, XP_018481673.1	XP_013596193.1
OG0003226	XP_018489448.1	XP_013584912.1
OG0003226	XP_018482650.1	XP_013590751.1
OG0003227	XP_018480362.1	XP_013595915.1
OG0003227	XP_018453688.1	XP_013636291.1
OG0003228	XP_018459414.1, XP_018459413.1, XP_018482020.1, XP_018482016.1	XP_013596875.1
OG0003229	XP_018460426.1, XP_018448145.1	XP_013604042.1
OG0003229	XP_018483898.1	XP_013584937.1
OG0003230	XP_018470292.1	XP_013600854.1
OG0003230	XP_018472149.1	XP_013621552.1
OG0003231	XP_018480908.1	XP_013596305.1
OG0003231	XP_018437340.1	XP_013619343.1
OG0003232	XP_018465659.1	XP_013624318.1
OG0003232	XP_018459316.1, XP_018460962.1	XP_013583357.1
OG0003233	XP_018480974.1	XP_013598410.1
OG0003233	XP_018447662.1	XP_013625066.1
OG0003234	XP_018439702.1	XP_013586528.1
OG0003236	XP_018437137.1	XP_013600370.1
OG0003237	XP_018481267.1	XP_013596330.1
OG0003237	XP_018437804.1	XP_013619546.1
OG0003239	XP_018436486.1	XP_013629364.1
OG0003240	XP_018461090.1	XP_013597331.1, XP_013597330.1
OG0003240	XP_018443373.1	XP_013607664.1
OG0003240	XP_018466525.1, XP_018462630.1	XP_013597467.1, XP_013597438.1
OG0003241	XP_018483535.1	XP_013636030.1
OG0003244	XP_018464661.1, XP_018490922.1	XP_013627840.1
OG0003244	XP_018463710.1, XP_018459026.1, XP_018463720.1, XP_018478617.1, XP_018466737.1, XP_018466701.1, XP_018474122.1, XP_018458500.1, XP_018460940.1, XP_018460941.1, XP_018448725.1, XP_018464970.1, XP_018461760.1, XP_018473644.1, XP_018463407.1, XP_018466278.1, XP_018466676.1, XP_018435136.1	XP_013639668.1, XP_013617223.1
OG0003246	XP_018440640.1	XP_013629440.1
OG0003247	XP_018440386.1	XP_013628916.1
OG0003247	XP_018491435.1	XP_013603198.1
OG0003248	XP_018440623.1	XP_013604989.1
OG0003249	XP_018434983.1, XP_018434781.1	XP_013616098.1
OG0003250	XP_018467487.1	XP_013626748.1
OG0003250	XP_018488339.1	XP_013626717.1
OG0003251	XP_018442113.1	XP_013606111.1
OG0003251	XP_018471911.1	XP_013612922.1
OG0003251	XP_018472582.1	XP_013628017.1
OG0003253	XP_018455187.1	XP_013619138.1, XP_013615348.1
OG0003253	XP_018447256.1	XP_013623148.1
OG0003254	XP_018475886.1	XP_013621877.1
OG0003255	XP_018443996.1	XP_013609933.1
OG0003256	XP_018446157.1	XP_013612271.1
OG0003256	XP_018475891.1, XP_018475892.1	XP_013628481.1
OG0003257	XP_018473287.1	XP_013622892.1
OG0003257	XP_018458588.1, XP_018442151.1	XP_013606296.1
OG0003258	XP_018487160.1	XP_013618601.1, XP_013625676.1
OG0003259	XP_018433010.1	XP_013636853.1
OG0003259	XP_018476440.1	XP_013629643.1
OG0003260	XP_018478768.1	XP_013631665.1, XP_013623635.1
OG0003260	XP_018440533.1	XP_013586714.1
OG0003260	XP_018477840.1	XP_013637083.1
OG0003260	XP_018476746.1	XP_013630190.1
OG0003261	XP_018472733.1	XP_013583536.1
OG0003261	XP_018434491.1	XP_013631192.1, XP_013631547.1
OG0003262	XP_018486190.1	XP_013639047.1, XP_013585303.1
OG0003262	XP_018439127.1	XP_013634890.1
OG0003263	XP_018488101.1, XP_018488102.1	XP_013639595.1, XP_013594292.1
OG0003263	XP_018477533.1	XP_013590881.1
OG0003264	XP_018476329.1	XP_013625481.1
OG0003265	XP_018483953.1	XP_013636548.1
OG0003265	XP_018483113.1, XP_018483112.1	XP_013592106.1
OG0003266	XP_018473886.1	XP_013584161.1
OG0003266	XP_018447480.1	XP_013601991.1
OG0003267	XP_018464443.1	XP_013638641.1
OG0003267	XP_018491904.1	XP_013598069.1
OG0003268	XP_018438216.1	XP_013619592.1
OG0003268	XP_018477565.1, XP_018465229.1	XP_013595030.1, XP_013588798.1
OG0003269	XP_018488472.1	XP_013628721.1
OG0003269	XP_018439924.1	XP_013618320.1
OG0003270	XP_018440358.1	XP_013620443.1, XP_013603998.1, XP_013620012.1, XP_013628049.1
OG0003270	XP_018466699.1, XP_018432816.1	XP_013599160.1
OG0003271	XP_018477375.1	XP_013611206.1
OG0003273	XP_018465672.1, XP_018469573.1	XP_013619379.1
OG0003273	XP_018473462.1	XP_013630610.1
OG0003274	XP_018435855.1	XP_013596191.1
OG0003275	XP_018493081.1, XP_018486333.1	XP_013629035.1, XP_013629003.1
OG0003275	XP_018434185.1	XP_013611055.1
OG0003276	XP_018474224.1, XP_018474226.1	XP_013623849.1
OG0003276	XP_018455615.1	XP_013608263.1
OG0003277	XP_018457653.1	XP_013637852.1
OG0003277	XP_018484221.1, XP_018484222.1	XP_013598721.1
OG0003278	XP_018433784.1	XP_013600017.1
OG0003278	XP_018472304.1	XP_013601415.1
OG0003279	XP_018441653.1, XP_018465167.1, XP_018486662.1	XP_013629284.1
OG0003280	XP_018468240.1	XP_013618798.1
OG0003281	XP_018445038.1, XP_018463575.1	XP_013606293.1
OG0003281	XP_018468284.1	XP_013620134.1
OG0003282	XP_018488213.1	XP_013625686.1
OG0003282	XP_018468197.1, XP_018460846.1, XP_018459398.1	XP_013618927.1
OG0003282	XP_018443208.1	XP_013589991.1
OG0003283	XP_018459881.1, XP_018459265.1, XP_018432987.1	XP_013618150.1
OG0003284	XP_018443928.1, XP_018464462.1	XP_013615302.1, XP_013594268.1, XP_013590411.1
OG0003284	XP_018452157.1, XP_018452142.1	XP_013618775.1, XP_013592888.1
OG0003284	XP_018474758.1	XP_013630841.1, XP_013623729.1
OG0003285	XP_018478640.1	XP_013595287.1
OG0003285	XP_018469979.1, XP_018469976.1	XP_013597144.1
OG0003286	XP_018458659.1, XP_018482594.1	XP_013597656.1
OG0003286	XP_018469182.1	XP_013590315.1
OG0003286	XP_018482595.1	XP_013587751.1
OG0003286	XP_018469236.1	XP_013596550.1
OG0003287	XP_018452227.1, XP_018456644.1	XP_013588203.1, XP_013588687.1
OG0003288	XP_018474893.1	XP_013632808.1
OG0003289	XP_018470163.1	XP_013601899.1
OG0003290	XP_018492375.1	XP_013585579.1
OG0003290	XP_018470779.1	XP_013602618.1
OG0003291	XP_018491197.1	XP_013610417.1
OG0003292	XP_018448298.1, XP_018450269.1	XP_013603948.1
OG0003292	XP_018489148.1	XP_013585218.1
OG0003292	XP_018453435.1	XP_013589625.1
OG0003293	XP_018488120.1	XP_013589141.1
OG0003294	XP_018481308.1	XP_013590367.1
OG0003294	XP_018489724.1	XP_013584644.1
OG0003294	XP_018438173.1, XP_018438165.1	XP_013590010.1
OG0003295	XP_018462847.1, XP_018454134.1, XP_018453906.1	XP_013596396.1, XP_013593683.1
OG0003297	XP_018490373.1	XP_013627992.1
OG0003298	XP_018470200.1, XP_018471363.1	XP_013597444.1
OG0003299	XP_018459274.1, XP_018475817.1	XP_013628653.1
OG0003300	XP_018445269.1	XP_013591583.1
OG0003301	XP_018472211.1	XP_013606872.1
OG0003301	XP_018440879.1	XP_013604985.1
OG0003302	XP_018432609.1	XP_013592195.1, XP_013605739.1
OG0003303	XP_018473145.1	XP_013625096.1
OG0003303	XP_018484291.1	XP_013637094.1
OG0003305	XP_018451906.1	XP_013605021.1
OG0003305	XP_018452118.1	XP_013609024.1
OG0003306	XP_018432599.1	XP_013599181.1
OG0003306	XP_018483316.1	XP_013597997.1
OG0003307	XP_018485001.1	XP_013584388.1
OG0003307	XP_018445075.1	XP_013588345.1
OG0003308	XP_018491781.1	XP_013626395.1
OG0003308	XP_018436987.1, XP_018436982.1	XP_013596115.1
OG0003309	XP_018450628.1	XP_013627449.1
OG0003309	XP_018433210.1	XP_013588108.1
OG0003310	XP_018472411.1	XP_013587823.1
OG0003311	XP_018437948.1, XP_018441439.1	XP_013634888.1
OG0003311	XP_018478262.1	XP_013636455.1
OG0003311	XP_018464362.1	XP_013637098.1
OG0003312	XP_018445323.1	XP_013591778.1
OG0003312	XP_018434067.1	XP_013633862.1
OG0003313	XP_018453007.1	XP_013617435.1
OG0003314	XP_018478348.1	XP_013597363.1
OG0003314	XP_018485867.1	XP_013586242.1, XP_013622822.1
OG0003315	XP_018441772.1	XP_013624312.1
OG0003316	XP_018491098.1	XP_013584446.1
OG0003316	XP_018446578.1	XP_013612414.1
OG0003317	XP_018434745.1	XP_013618091.1
OG0003317	XP_018482885.1	XP_013594178.1
OG0003318	XP_018486535.1, XP_018486550.1, XP_018487332.1, XP_018487217.1	XP_013638705.1
OG0003319	XP_018492321.1	XP_013586220.1
OG0003319	XP_018440605.1	XP_013609528.1
OG0003320	XP_018447646.1	XP_013599854.1
OG0003320	XP_018488559.1	XP_013638364.1
OG0003321	XP_018469308.1	XP_013592610.1
OG0003322	XP_018481820.1	XP_013635149.1
OG0003322	XP_018481494.1, XP_018438122.1	XP_013596807.1
OG0003323	XP_018459671.1	XP_013615501.1
OG0003324	XP_018482593.1, XP_018478849.1	XP_013596126.1
OG0003324	XP_018455879.1	XP_013583986.1
OG0003325	XP_018453648.1, XP_018458009.1	XP_013612669.1
OG0003326	XP_018441406.1	XP_013636954.1, XP_013596553.1
OG0003326	XP_018475467.1	XP_013626630.1
OG0003326	XP_018440634.1	XP_013603048.1
OG0003326	XP_018484974.1, XP_018484961.1	XP_013598609.1
OG0003327	XP_018456205.1	XP_013608711.1
OG0003327	XP_018470171.1	XP_013586129.1
OG0003328	XP_018474365.1, XP_018474377.1	XP_013629961.1
OG0003329	XP_018450201.1	XP_013627651.1
OG0003329	XP_018469527.1	XP_013621574.1
OG0003330	XP_018489408.1, XP_018461520.1	XP_013605553.1
OG0003330	XP_018487414.1, XP_018434778.1	XP_013585960.1
OG0003331	XP_018454376.1	XP_013611858.1
OG0003331	XP_018465404.1, XP_018492384.1	XP_013586543.1
OG0003332	XP_018447906.1	XP_013602028.1, XP_013594619.1
OG0003332	XP_018483253.1	XP_013595615.1
OG0003333	XP_018451730.1, XP_018451727.1	XP_013600383.1
OG0003333	XP_018433331.1, XP_018433313.1	XP_013601816.1
OG0003333	XP_018490122.1	XP_013583790.1
OG0003334	XP_018482040.1	XP_013584344.1, XP_013584274.1
OG0003334	XP_018461426.1, XP_018461425.1	XP_013600307.1
OG0003334	XP_018449524.1, XP_018450592.1, XP_018462008.1	XP_013603207.1
OG0003335	XP_018458491.1	XP_013593319.1
OG0003335	XP_018445720.1, XP_018467932.1	XP_013587156.1
OG0003336	XP_018452835.1	XP_013587762.1
OG0003337	XP_018441228.1	XP_013587289.1
OG0003337	XP_018451208.1	XP_013605807.1
OG0003338	XP_018456071.1	XP_013591291.1
OG0003338	XP_018445969.1	XP_013591580.1
OG0003339	XP_018448623.1	XP_013617944.1
OG0003339	XP_018456863.1	XP_013609647.1, XP_013609452.1
OG0003340	XP_018437294.1, XP_018439052.1	XP_013615958.1
OG0003340	XP_018482523.1	XP_013595774.1
OG0003341	XP_018437688.1, XP_018438059.1	XP_013618833.1
OG0003341	XP_018461695.1, XP_018481863.1	XP_013596459.1
OG0003342	XP_018468051.1	XP_013618506.1
OG0003342	XP_018480976.1	XP_013636454.1
OG0003343	XP_018467797.1	XP_013594086.1
OG0003343	XP_018448082.1	XP_013627410.1
OG0003345	XP_018477128.1	XP_013636237.1
OG0003346	YP_006665995.1	YP_004927471.1
OG0003347	XP_018449179.1, XP_018450115.1, XP_018450116.1	XP_013630706.1
OG0003347	XP_018477189.1	XP_013593542.1
OG0003347	XP_018453496.1	XP_013637586.1
OG0003347	XP_018450063.1, XP_018450117.1	XP_013594202.1
OG0003348	XP_018481259.1	XP_013627999.1, XP_013596503.1
OG0003348	XP_018466529.1	XP_013594692.1
OG0003348	XP_018469213.1	XP_013591373.1
OG0003349	XP_018484477.1	XP_013598221.1
OG0003350	XP_018480244.1, XP_018480263.1	XP_013599173.1
OG0003350	XP_018470799.1	XP_013604699.1
OG0003350	XP_018451193.1	XP_013621886.1
OG0003351	XP_018443506.1, XP_018446243.1	XP_013589975.1
OG0003352	XP_018473002.1, XP_018475321.1	XP_013630085.1
OG0003353	XP_018451416.1, XP_018451441.1	XP_013604996.1
OG0003353	XP_018483946.1	XP_013597203.1
OG0003354	XP_018447394.1, XP_018447395.1	XP_013603375.1, XP_013601406.1, XP_013614496.1, XP_013603053.1
OG0003354	XP_018448068.1, XP_018489497.1	XP_013614582.1
OG0003356	XP_018485853.1	XP_013639410.1, XP_013615700.1
OG0003356	XP_018489081.1	XP_013614712.1
OG0003360	XP_018488156.1, XP_018490147.1	XP_013627810.1
OG0003362	XP_018461510.1	XP_013609366.1
OG0003364	XP_018464158.1, XP_018478686.1, XP_018434490.1	XP_013618566.1
OG0003364	XP_018480907.1	XP_013632284.1
OG0003365	XP_018471553.1, XP_018471554.1, XP_018468809.1	XP_013614477.1, XP_013616745.1, XP_013614554.1, XP_013616747.1
OG0003365	XP_018468919.1	XP_013616718.1, XP_013614556.1, XP_013616715.1
OG0003366	XP_018466488.1	XP_013591153.1, XP_013628661.1
OG0003366	XP_018490527.1, XP_018461936.1	XP_013627943.1
OG0003366	XP_018490639.1	XP_013585503.1
OG0003366	XP_018440603.1	XP_013590743.1
OG0003367	XP_018437284.1, XP_018437282.1	XP_013593035.1
OG0003369	XP_018476396.1, XP_018476419.1, XP_018476182.1	XP_013599070.1
OG0003370	XP_018460045.1	XP_013596651.1
OG0003370	XP_018463215.1, XP_018479421.1	XP_013633502.1, XP_013639570.1, XP_013632741.1
OG0003370	XP_018456020.1	XP_013628239.1
OG0003370	XP_018448383.1	XP_013632607.1, XP_013589496.1, XP_013614051.1, XP_013625852.1
OG0003372	XP_018448768.1	XP_013616779.1
OG0003372	XP_018434949.1, XP_018434944.1	XP_013604323.1
OG0003373	XP_018467688.1	XP_013585733.1
OG0003374	XP_018489025.1	XP_013584260.1
OG0003375	XP_018488540.1	XP_013637877.1
OG0003376	XP_018486665.1	XP_013625258.1, XP_013593096.1
OG0003377	XP_018475805.1, XP_018461364.1	XP_013615821.1, XP_013628658.1, XP_013628657.1
OG0003378	XP_018442098.1	XP_013606169.1
OG0003381	XP_018442764.1	XP_013612647.1
OG0003381	XP_018474875.1	XP_013630806.1
OG0003382	XP_018435777.1, XP_018435778.1	XP_013619962.1
OG0003383	XP_018474396.1	XP_013622688.1
OG0003383	XP_018477216.1	XP_013598733.1
