Orthogroup	Raphanus_sativus	Rorippa_islandica
OG0002172	XP_018491332.1	Roisl.0039s0010.1.p
OG0002173	XP_018466904.1, XP_018439907.1, XP_018481890.1, XP_018467843.1, XP_018467844.1, XP_018471042.1, XP_018462730.1, XP_018450453.1	Roisl.0066s0382.1.p
OG0002174	XP_018462247.1, XP_018437120.1, XP_018440978.1	Roisl.0035s0175.1.p
OG0002174	XP_018490814.1	Roisl.0210s0050.1.p
OG0002175	XP_018438246.1, XP_018460733.1, XP_018471011.1, XP_018450360.1, XP_018450014.1, XP_018469384.1	Roisl.0068s0005.1.p
OG0002176	XP_018434196.1, XP_018477838.1	Roisl.0046s0354.1.p
OG0002177	XP_018486839.1, XP_018486981.1	Roisl.0079s0080.1.p
OG0002177	XP_018440113.1, XP_018483431.1	Roisl.0036s0060.1.p
OG0002178	XP_018478758.1	Roisl.0014s0130.1.p
OG0002178	XP_018486869.1, XP_018492830.1	Roisl.0079s0104.1.p
OG0002179	XP_018441350.1	Roisl.0079s0220.1.p
OG0002179	XP_018485388.1	Roisl.0079s0219.1.p
OG0002180	XP_018486208.1	Roisl.0074s0790.1.p
OG0002180	XP_018463387.1, XP_018491218.1	Roisl.0210s0409.1.p
OG0002181	XP_018488674.1, XP_018486792.1, XP_018439472.1	Roisl.0013s0126.1.p
OG0002182	XP_018487090.1, XP_018434514.1	Roisl.0074s0122.1.p
OG0002182	XP_018443045.1	Roisl.0013s0084.1.p
OG0002183	XP_018438592.1	Roisl.0074s0089.1.p
OG0002184	XP_018460673.1, XP_018486973.1	Roisl.0074s0001.1.p
OG0002184	XP_018451775.1, XP_018488861.1, XP_018466972.1	Roisl.0006s0039.1.p
OG0002185	XP_018478108.1, XP_018458751.1	Roisl.0188s0091.1.p
OG0002185	XP_018478477.1	Roisl.0009s0297.1.p
OG0002186	XP_018459660.1, XP_018486887.1	Roisl.0115s0604.1.p
OG0002187	XP_018458153.1	Roisl.0053s0107.1.p
OG0002187	XP_018457728.1, XP_018462914.1	Roisl.0021s0630.1.p
OG0002188	XP_018485999.1	Roisl.0091s1180.1.p
OG0002189	XP_018482917.1, XP_018477198.1, XP_018476924.1	Roisl.0028s1013.1.p
OG0002190	XP_018459964.1	Roisl.0017s0410.1.p
OG0002190	XP_018463319.1, XP_018469806.1	Roisl.0046s1142.1.p
OG0002191	XP_018434647.1	Roisl.0091s0816.1.p
OG0002192	XP_018433108.1	Roisl.0021s0088.1.p
OG0002193	XP_018456299.1, XP_018454179.1	Roisl.0214s0680.1.p
OG0002193	XP_018436478.1, XP_018440579.1	Roisl.0021s0095.1.p
OG0002194	XP_018454859.1	Roisl.0214s0649.1.p
OG0002194	XP_018485919.1, XP_018479695.1, XP_018433115.1	Roisl.0021s0110.1.p
OG0002195	XP_018452745.1	Roisl.0214s0539.1.p
OG0002195	XP_018491712.1	Roisl.0021s0170.1.p
OG0002196	XP_018448144.1, XP_018448165.1, XP_018486928.1, XP_018468115.1	Roisl.0021s0321.1.p
OG0002197	XP_018434934.1	Roisl.0007s0629.1.p
OG0002197	XP_018433778.1	Roisl.0011s0020.1.p
OG0002198	XP_018484858.1, XP_018491879.1	Roisl.0191s0135.1.p
OG0002198	XP_018454888.1	Roisl.0019s0418.1.p
OG0002199	XP_018433780.1	Roisl.0019s0423.1.p
OG0002199	XP_018439529.1	Roisl.0191s0139.1.p
OG0002200	XP_018453676.1, XP_018453681.1, XP_018446467.1, XP_018446468.1, XP_018456372.1	Roisl.0019s0409.1.p
OG0002201	XP_018454029.1	Roisl.0010s0040.1.p
OG0002201	XP_018454450.1, XP_018454451.1	Roisl.0209s0045.1.p, Roisl.0209s0044.1.p
OG0002202	XP_018475708.1, XP_018475701.1	Roisl.0200s0014.1.p
OG0002203	XP_018470715.1, XP_018479068.1	Roisl.0044s0104.1.p
OG0002203	XP_018435822.1	Roisl.0214s0367.1.p
OG0002205	XP_018473394.1, XP_018462514.1, XP_018444730.1	Roisl.0209s0049.1.p
OG0002206	XP_018469085.1	Roisl.0007s0201.1.p
OG0002207	XP_018451373.1, XP_018433497.1	Roisl.0115s0657.1.p
OG0002208	XP_018435067.1, XP_018466610.1	Roisl.0046s0506.1.p
OG0002209	XP_018448454.1, XP_018450156.1	Roisl.0008s0340.1.p
OG0002210	XP_018470075.1	Roisl.0001s0024.1.p
OG0002210	XP_018488732.1	Roisl.0047s0026.1.p
OG0002211	XP_018462486.1, XP_018482762.1	Roisl.0075s0093.1.p
OG0002211	XP_018492277.1, XP_018489774.1	Roisl.0053s0293.1.p
OG0002212	XP_018492233.1, XP_018438726.1	Roisl.0015s0100.1.p
OG0002213	XP_018479101.1, XP_018482652.1	Roisl.0022s0351.1.p
OG0002213	XP_018470804.1	Roisl.0080s0824.1.p
OG0002214	XP_018463813.1	Roisl.0024s0084.1.p, Roisl.0024s0055.1.p, Roisl.0024s0054.1.p, Roisl.0024s0069.1.p, Roisl.0046s0030.1.p, Roisl.0046s0028.1.p
OG0002216	XP_018448441.1, XP_018448440.1	Roisl.0003s0255.1.p
OG0002221	XP_018485176.1, XP_018434401.1, XP_018434116.1	Roisl.0028s0941.1.p
OG0002222	XP_018456381.1, XP_018456382.1	Roisl.0213s0135.1.p, Roisl.0001s0530.1.p
OG0002223	XP_018442723.1, XP_018459150.1	Roisl.0210s1444.1.p
OG0002223	XP_018438620.1, XP_018490530.1	Roisl.0016s0272.1.p
OG0002224	XP_018473430.1	Roisl.0214s0088.1.p
OG0002224	XP_018451922.1, XP_018446380.1	Roisl.0022s0108.1.p
OG0002225	XP_018471960.1	Roisl.0210s1162.1.p
OG0002225	XP_018440157.1, XP_018492358.1	Roisl.0016s0058.1.p
OG0002226	XP_018443306.1, XP_018443308.1, XP_018467623.1	Roisl.0210s1079.1.p, Roisl.0213s0664.1.p, Roisl.0053s0034.1.p
OG0002227	XP_018484146.1	Roisl.0204s0131.1.p
OG0002227	XP_018451258.1, XP_018491496.1	Roisl.0091s1128.1.p
OG0002228	XP_018475408.1	Roisl.0082s0646.1.p
OG0002228	XP_018463192.1, XP_018471615.1, XP_018490110.1	Roisl.0091s1059.1.p
OG0002229	XP_018439129.1	Roisl.0017s0455.1.p
OG0002229	XP_018432861.1	Roisl.0091s0813.1.p
OG0002230	XP_018448143.1	Roisl.0210s0368.1.p
OG0002230	XP_018454574.1	Roisl.0012s0121.1.p
OG0002231	XP_018449646.1, XP_018449645.1, XP_018452176.1	Roisl.0210s0357.1.p
OG0002231	XP_018483461.1, XP_018441619.1	Roisl.0012s0168.1.p
OG0002232	XP_018477113.1, XP_018457023.1	Roisl.0012s0253.1.p, Roisl.0210s0311.1.p
OG0002233	XP_018435648.1	Roisl.0082s0321.1.p
OG0002234	XP_018469715.1, XP_018469471.1	Roisl.0022s0157.1.p
OG0002235	XP_018469202.1	Roisl.0022s0164.1.p
OG0002235	XP_018449926.1, XP_018451652.1	Roisl.0213s0317.1.p
OG0002236	XP_018462907.1, XP_018454993.1	Roisl.0189s0142.1.p, Roisl.0189s0140.1.p
OG0002236	XP_018479096.1	Roisl.0022s0201.1.p
OG0002237	XP_018482242.1, XP_018465685.1	Roisl.0028s0817.1.p
OG0002238	XP_018455013.1	Roisl.0213s0284.1.p
OG0002239	XP_018479888.1	Roisl.0028s0902.1.p
OG0002239	XP_018464276.1, XP_018448124.1, XP_018439324.1	Roisl.0213s0346.1.p
OG0002240	XP_018476668.1, XP_018462287.1, XP_018477266.1, XP_018433271.1	Roisl.0028s0984.1.p
OG0002241	XP_018467501.1, XP_018486793.1	Roisl.0209s0186.1.p
OG0002241	XP_018434585.1	Roisl.0028s0957.1.p
OG0002242	XP_018438467.1	Roisl.0024s0558.1.p
OG0002242	XP_018437099.1	Roisl.0046s0970.1.p
OG0002243	XP_018446971.1, XP_018472354.1	Roisl.0210s0471.1.p
OG0002243	XP_018432841.1	Roisl.0080s0071.1.p
OG0002244	XP_018438108.1, XP_018481119.1	Roisl.0080s0185.1.p
OG0002245	XP_018480944.1, XP_018480896.1, XP_018481008.1	Roisl.0028s0141.1.p
OG0002248	XP_018488291.1, XP_018490351.1	Roisl.0033s0048.1.p
OG0002249	XP_018473264.1, XP_018468487.1	Roisl.0080s0300.1.p
OG0002250	XP_018468952.1, XP_018472113.1	Roisl.0080s0422.1.p
OG0002250	XP_018439116.1	Roisl.0016s0078.1.p
OG0002251	XP_018457076.1	Roisl.0080s0541.1.p
OG0002251	XP_018472453.1	Roisl.0022s0231.1.p
OG0002252	XP_018481224.1, XP_018467256.1	Roisl.0022s0285.1.p
OG0002252	XP_018461401.1, XP_018471298.1	Roisl.0080s0652.1.p
OG0002253	XP_018452411.1, XP_018452081.1	Roisl.0080s0857.1.p
OG0002253	XP_018478585.1, XP_018478800.1	Roisl.0022s0373.1.p
OG0002254	XP_018490533.1, XP_018490529.1, XP_018488305.1	Roisl.0210s0246.1.p
OG0002254	XP_018458723.1	Roisl.0082s0410.1.p
OG0002255	XP_018433685.1	Roisl.0066s0316.1.p
OG0002255	XP_018451068.1	Roisl.0091s0133.1.p
OG0002256	XP_018492651.1, XP_018485524.1	Roisl.0074s0876.1.p
OG0002256	XP_018442731.1	Roisl.0042s0085.1.p
OG0002257	XP_018432598.1	Roisl.0074s0911.1.p
OG0002257	XP_018443403.1, XP_018443406.1	Roisl.0042s0130.1.p
OG0002258	XP_018436382.1	Roisl.0017s0211.1.p
OG0002258	XP_018475025.1, XP_018475027.1	Roisl.0030s0082.1.p
OG0002259	XP_018442351.1	Roisl.0030s0007.1.p
OG0002259	XP_018454172.1	Roisl.0030s0008.1.p, Roisl.0030s0009.1.p
OG0002260	XP_018475905.1	Roisl.0034s0063.1.p
OG0002260	XP_018484737.1	Roisl.0017s0184.1.p
OG0002261	XP_018479673.1	Roisl.0009s0143.1.p
OG0002261	XP_018465483.1, XP_018463596.1	Roisl.0011s0512.1.p
OG0002262	XP_018447760.1	Roisl.0115s0053.1.p
OG0002262	XP_018450090.1, XP_018458796.1	Roisl.0007s0594.1.p
OG0002263	XP_018451356.1, XP_018487922.1	Roisl.0007s0579.1.p, Roisl.0007s0580.1.p
OG0002264	XP_018453075.1	Roisl.0115s0118.1.p
OG0002264	XP_018490145.1	Roisl.0007s0544.1.p
OG0002266	XP_018471308.1	Roisl.0004s0124.1.p
OG0002266	XP_018451099.1, XP_018447379.1	Roisl.0191s0033.1.p
OG0002267	XP_018462298.1, XP_018444212.1	Roisl.0004s0201.1.p
OG0002267	XP_018481179.1, XP_018463236.1, XP_018459126.1	Roisl.0049s0039.1.p
OG0002268	XP_018442221.1, XP_018444234.1, XP_018462511.1	Roisl.0004s0274.1.p
OG0002269	XP_018466265.1	Roisl.0004s0346.1.p
OG0002269	XP_018474148.1	Roisl.0007s0158.1.p
OG0002270	XP_018492856.1, XP_018492826.1	Roisl.0007s0167.1.p
OG0002270	XP_018472402.1	Roisl.0004s0357.1.p
OG0002271	XP_018461316.1	Roisl.0018s0115.1.p
OG0002271	XP_018468465.1	Roisl.0021s0530.1.p
OG0002272	XP_018493509.1	Roisl.0074s0648.1.p
OG0002272	XP_018440798.1	Roisl.0021s0543.1.p
OG0002273	XP_018432589.1	Roisl.0074s0638.1.p
OG0002273	XP_018451462.1	Roisl.0021s0558.1.p
OG0002274	XP_018432850.1	Roisl.0053s0357.1.p
OG0002274	XP_018484947.1, XP_018484962.1	Roisl.0075s0181.1.p
OG0002275	XP_018467187.1	Roisl.0075s0194.1.p
OG0002275	XP_018447289.1	Roisl.0075s0193.1.p
OG0002276	XP_018458011.1	Roisl.0019s0143.1.p
OG0002276	XP_018477174.1	Roisl.0007s0338.1.p
OG0002277	XP_018468274.1, XP_018443991.1, XP_018454853.1	Roisl.0019s0631.1.p
OG0002277	XP_018451392.1, XP_018449537.1	Roisl.0191s0383.1.p
OG0002278	XP_018434301.1	Roisl.0214s0487.1.p
OG0002279	XP_018449075.1, XP_018463993.1	Roisl.0044s0022.1.p
OG0002280	XP_018461863.1	Roisl.0009s0197.1.p
OG0002280	XP_018479382.1	Roisl.0011s0560.1.p
OG0002281	XP_018478807.1, XP_018439074.1	Roisl.0011s0528.1.p
OG0002281	XP_018445410.1	Roisl.0009s0157.1.p
OG0002282	XP_018435164.1	Roisl.0021s0442.1.p
OG0002282	XP_018441005.1, XP_018482729.1	Roisl.0011s0374.1.p
OG0002283	XP_018461327.1, XP_018438097.1	Roisl.0115s0265.1.p
OG0002283	XP_018447572.1, XP_018487459.1, XP_018435917.1	Roisl.0006s0055.1.p
OG0002284	XP_018447205.1, XP_018441033.1	Roisl.0074s0336.1.p
OG0002285	XP_018478906.1	Roisl.0028s0838.1.p
OG0002285	XP_018478907.1	Roisl.0028s0839.1.p
OG0002286	XP_018482910.1, XP_018466872.1, XP_018439776.1	Roisl.0028s0976.1.p, Roisl.0028s0975.1.p
OG0002287	XP_018469062.1	Roisl.0091s0689.1.p
OG0002287	XP_018435013.1	Roisl.0028s0995.1.p
OG0002288	XP_018467604.1, XP_018435772.1	Roisl.0005s0125.1.p
OG0002288	XP_018478456.1	Roisl.0091s0534.1.p
OG0002289	XP_018481969.1, XP_018481968.1, XP_018451200.1	Roisl.0091s0604.1.p
OG0002289	XP_018485072.1	Roisl.0005s0037.1.p
OG0002290	XP_018488909.1, XP_018438383.1	Roisl.0074s0955.1.p
OG0002291	XP_018481253.1, XP_018481234.1	Roisl.0046s0999.1.p
OG0002291	XP_018449738.1, XP_018449725.1	Roisl.0179s0073.1.p
OG0002292	XP_018479275.1, XP_018479274.1	Roisl.0046s0952.1.p
OG0002293	XP_018482201.1	Roisl.0008s0136.1.p
OG0002293	XP_018469179.1	Roisl.0189s0243.1.p
OG0002294	XP_018484549.1	Roisl.0012s0327.1.p
OG0002294	XP_018451782.1, XP_018471909.1	Roisl.0091s0287.1.p
OG0002295	XP_018474876.1, XP_018460205.1	Roisl.0032s0071.1.p
OG0002295	XP_018480281.1	Roisl.0007s0674.1.p
OG0002296	XP_018473543.1, XP_018461014.1	Roisl.0028s0993.1.p
OG0002296	XP_018470825.1	Roisl.0091s0666.1.p
OG0002297	XP_018483327.1, XP_018445412.1	Roisl.0018s0447.1.p
OG0002298	XP_018479155.1, XP_018479123.1	Roisl.0035s0166.1.p
OG0002298	XP_018446859.1	Roisl.0018s0240.1.p
OG0002299	XP_018488392.1, XP_018488354.1	Roisl.0026s0173.1.p
OG0002299	XP_018479973.1	Roisl.0028s0474.1.p
OG0002300	XP_018490340.1	Roisl.0046s1645.1.p, Roisl.0028s0545.1.p
OG0002301	XP_018459968.1	Roisl.0017s0407.1.p
OG0002301	XP_018492191.1	Roisl.0046s1596.1.p
OG0002302	XP_018476243.1, XP_018439499.1, XP_018439491.1	Roisl.0017s0324.1.p
OG0002302	XP_018483521.1	Roisl.0046s1521.1.p
OG0002303	XP_018491882.1	Roisl.0046s1497.1.p
OG0002303	XP_018483886.1, XP_018458144.1	Roisl.0017s0300.1.p
OG0002304	XP_018448062.1	Roisl.0191s0282.1.p
OG0002305	XP_018450234.1	Roisl.0115s0739.1.p
OG0002305	XP_018465118.1, XP_018442126.1	Roisl.0019s0761.1.p
OG0002306	XP_018441141.1	Roisl.0091s0748.1.p
OG0002306	XP_018454487.1, XP_018456888.1	Roisl.0082s0174.1.p
OG0002307	XP_018464644.1	Roisl.0188s0109.1.p, Roisl.0082s0121.1.p
OG0002307	XP_018484482.1	Roisl.0115s0675.1.p
OG0002308	XP_018472361.1	Roisl.0001s0465.1.p
OG0002308	XP_018477101.1	Roisl.0046s0602.1.p
OG0002309	XP_018476880.1, XP_018468760.1	Roisl.0210s2144.1.p
OG0002310	XP_018455363.1, XP_018475945.1	Roisl.0020s0138.1.p
OG0002310	XP_018476803.1	Roisl.0057s0002.1.p
OG0002311	XP_018449817.1	Roisl.0091s0243.1.p, Roisl.0015s0137.1.p, Roisl.0210s2212.1.p, Roisl.0091s0470.1.p, Roisl.0053s0013.1.p, Roisl.0058s0036.1.p, Roisl.0058s0035.1.p
OG0002312	XP_018449178.1	Roisl.0091s0575.1.p
OG0002312	XP_018455763.1, XP_018478141.1, XP_018478150.1	Roisl.0005s0056.1.p
OG0002313	XP_018462134.1, XP_018465077.1	Roisl.0198s0032.1.p
OG0002315	XP_018492530.1, XP_018440968.1	Roisl.0074s0178.1.p
OG0002316	XP_018447539.1	Roisl.0013s0107.1.p
OG0002316	XP_018489283.1, XP_018492528.1	Roisl.0074s0161.1.p
OG0002317	XP_018451173.1	Roisl.0013s0100.1.p
OG0002317	XP_018490869.1	Roisl.0074s0152.1.p
OG0002318	XP_018488929.1	Roisl.0074s0099.1.p
OG0002318	XP_018488056.1	Roisl.0013s0073.1.p
OG0002319	XP_018479487.1, XP_018479473.1	Roisl.0209s0334.1.p
OG0002319	XP_018437433.1	Roisl.0209s0333.1.p
OG0002320	XP_018487697.1, XP_018490809.1, XP_018487703.1	Roisl.0210s0053.1.p
OG0002321	XP_018434831.1	Roisl.0210s0058.1.p
OG0002321	XP_018456212.1, XP_018472852.1	Roisl.0191s0508.1.p
OG0002322	XP_018474906.1, XP_018461978.1, XP_018454652.1	Roisl.0191s0476.1.p
OG0002323	XP_018452062.1	Roisl.0210s0182.1.p
OG0002324	XP_018451353.1, XP_018485956.1	Roisl.0091s1025.1.p, Roisl.0091s1022.1.p
OG0002326	XP_018433107.1	Roisl.0021s0089.1.p
OG0002326	XP_018457505.1	Roisl.0214s0671.1.p
OG0002327	XP_018455954.1, XP_018434723.1	Roisl.0011s0132.1.p
OG0002327	XP_018438364.1	Roisl.0007s0688.1.p, Roisl.0007s0689.1.p
OG0002328	XP_018443271.1, XP_018493143.1	Roisl.0007s0513.1.p
OG0002328	XP_018452124.1, XP_018463295.1, XP_018470354.1	Roisl.0115s0158.1.p
OG0002329	XP_018436593.1, XP_018439635.1	Roisl.0007s0503.1.p
OG0002329	XP_018457626.1	Roisl.0115s0177.1.p
OG0002330	XP_018437110.1	Roisl.0007s0381.1.p
OG0002330	XP_018457469.1	Roisl.0019s0229.1.p
OG0002332	XP_018447737.1	Roisl.0007s0251.1.p, Roisl.0004s0443.1.p
OG0002333	XP_018454442.1	Roisl.0019s0293.1.p
OG0002333	XP_018449290.1	Roisl.0191s0086.1.p
OG0002334	XP_018451090.1	Roisl.0191s0220.1.p
OG0002334	XP_018470751.1, XP_018470748.1	Roisl.0019s0505.1.p
OG0002335	XP_018438676.1	Roisl.0191s0276.1.p
OG0002335	XP_018454834.1	Roisl.0019s0534.1.p
OG0002336	XP_018454988.1	Roisl.0209s0584.1.p
OG0002336	XP_018454963.1, XP_018468668.1, XP_018487492.1, XP_018462242.1, XP_018462241.1	Roisl.0209s0580.1.p
OG0002337	XP_018457742.1, XP_018463781.1	Roisl.0214s0647.1.p, Roisl.0214s0648.1.p
OG0002340	XP_018440451.1	Roisl.0066s0329.1.p
OG0002340	XP_018451053.1, XP_018483499.1	Roisl.0001s0077.1.p
OG0002341	XP_018479049.1, XP_018479040.1, XP_018461793.1	Roisl.0043s0025.1.p
OG0002341	XP_018461794.1, XP_018462325.1	Roisl.0008s0303.1.p
OG0002342	XP_018438655.1, XP_018461391.1, XP_018457999.1	Roisl.0045s0060.1.p
OG0002343	XP_018469397.1, XP_018461104.1, XP_018477194.1	Roisl.0003s0173.1.p
OG0002343	XP_018433125.1	Roisl.0051s0046.1.p
OG0002344	XP_018461107.1, XP_018482824.1	Roisl.0003s0172.1.p
OG0002344	XP_018433814.1	Roisl.0051s0044.1.p
OG0002345	XP_018470891.1, XP_018461183.1	Roisl.0003s0118.1.p
OG0002346	XP_018472977.1	Roisl.0080s0780.1.p
OG0002346	XP_018484625.1, XP_018472447.1	Roisl.0022s0327.1.p
OG0002352	XP_018449889.1	Roisl.0003s0052.1.p, Roisl.0003s0053.1.p
OG0002353	XP_018460052.1	Roisl.0210s1436.1.p
OG0002353	XP_018490457.1	Roisl.0016s0265.1.p
OG0002354	XP_018442953.1	Roisl.0210s1406.1.p
OG0002354	XP_018485603.1	Roisl.0016s0247.1.p
OG0002355	XP_018471109.1, XP_018471085.1, XP_018472923.1, XP_018472910.1, XP_018478230.1, XP_018470949.1	Roisl.0210s1404.1.p, Roisl.0210s1405.1.p
OG0002356	XP_018446662.1, XP_018472647.1	Roisl.0210s1366.1.p
OG0002356	XP_018440355.1	Roisl.0016s0224.1.p
OG0002357	XP_018469427.1, XP_018487696.1	Roisl.0210s1292.1.p
OG0002357	XP_018445744.1, XP_018445743.1	Roisl.0030s0136.1.p
OG0002358	XP_018491349.1	Roisl.0016s0141.1.p
OG0002358	XP_018471052.1, XP_018445963.1	Roisl.0210s1256.1.p
OG0002359	XP_018476992.1, XP_018474881.1, XP_018443938.1	Roisl.0210s1236.1.p
OG0002359	XP_018486552.1, XP_018488841.1	Roisl.0016s0111.1.p
OG0002360	XP_018490301.1, XP_018449311.1	Roisl.0015s0089.1.p
OG0002361	XP_018459216.1, XP_018461079.1	Roisl.0046s0186.1.p
OG0002361	XP_018445276.1	Roisl.0210s0807.1.p
OG0002362	XP_018439359.1, XP_018458177.1	Roisl.0024s0373.1.p
OG0002362	XP_018446851.1	Roisl.0210s0705.1.p
OG0002363	XP_018493043.1	Roisl.0024s0244.1.p
OG0002364	XP_018482694.1	Roisl.0210s2025.1.p
OG0002364	XP_018445707.1	Roisl.0210s0600.1.p
OG0002365	XP_018470447.1, XP_018470445.1	Roisl.0210s0539.1.p, Roisl.0210s0535.1.p
OG0002366	XP_018461700.1, XP_018481020.1	Roisl.0017s0094.1.p
OG0002366	XP_018475096.1	Roisl.0082s0385.1.p
OG0002367	XP_018439612.1	Roisl.0209s0524.1.p, Roisl.0082s0710.1.p
OG0002368	XP_018471215.1	Roisl.0091s0767.1.p
OG0002368	XP_018435085.1	Roisl.0028s0631.1.p
OG0002369	XP_018452274.1	Roisl.0012s0145.1.p
OG0002369	XP_018489802.1, XP_018471000.1	Roisl.0210s0359.1.p
OG0002370	XP_018455524.1, XP_018483435.1	Roisl.0012s0197.1.p
OG0002370	XP_018486415.1	Roisl.0210s0350.1.p
OG0002371	XP_018449794.1	Roisl.0210s0314.1.p
OG0002371	XP_018437782.1	Roisl.0012s0244.1.p
OG0002372	XP_018471183.1, XP_018450756.1, XP_018471184.1	Roisl.0022s0219.1.p, Roisl.0022s0216.1.p
OG0002375	XP_018477793.1	Roisl.0011s0258.1.p, Roisl.0011s0262.1.p
OG0002376	XP_018457410.1, XP_018432933.1	Roisl.0080s0154.1.p
OG0002376	XP_018434871.1	Roisl.0080s0153.1.p
OG0002378	XP_018436702.1	Roisl.0037s0027.1.p
OG0002378	XP_018468386.1, XP_018473489.1	Roisl.0210s1885.1.p
OG0002379	XP_018441639.1	Roisl.0209s0389.1.p
OG0002380	XP_018482363.1, XP_018470880.1, XP_018450638.1	Roisl.0003s0163.1.p, Roisl.0080s0596.1.p
OG0002381	XP_018476591.1	Roisl.0080s0793.1.p
OG0002381	XP_018450246.1	Roisl.0022s0334.1.p
OG0002382	XP_018470149.1	Roisl.0080s0877.1.p
OG0002383	XP_018468982.1, XP_018468981.1	Roisl.0022s0405.1.p
OG0002383	XP_018482038.1	Roisl.0052s0049.1.p
OG0002385	XP_018432932.1, XP_018432621.1, XP_018434088.1	Roisl.0074s0870.1.p
OG0002386	XP_018490895.1	Roisl.0074s0959.1.p
OG0002386	XP_018475778.1	Roisl.0030s0191.1.p
OG0002387	XP_018445745.1, XP_018445742.1	Roisl.0030s0135.1.p
OG0002387	XP_018492023.1	Roisl.0074s1005.1.p
OG0002388	XP_018484238.1	Roisl.0066s0304.1.p, Roisl.0209s0261.1.p, Roisl.0009s0062.1.p
OG0002388	XP_018456674.1, XP_018456461.1	Roisl.0050s0077.1.p
OG0002389	XP_018469396.1	Roisl.0007s0465.1.p
OG0002390	XP_018455744.1, XP_018443560.1, XP_018450162.1, XP_018450155.1	Roisl.0004s0138.1.p
OG0002392	XP_018445883.1	Roisl.0004s0264.1.p
OG0002392	XP_018440411.1	Roisl.0007s0080.1.p
OG0002393	XP_018437219.1	Roisl.0066s0185.1.p
OG0002394	XP_018470038.1	Roisl.0001s0233.1.p
OG0002394	XP_018490478.1, XP_018455391.1	Roisl.0066s0129.1.p
OG0002395	XP_018492506.1	Roisl.0074s0694.1.p
OG0002396	XP_018466048.1, XP_018493150.1, XP_018491013.1	Roisl.0074s0608.1.p
OG0002397	XP_018486288.1	Roisl.0074s0579.1.p
OG0002397	XP_018483923.1, XP_018487471.1	Roisl.0006s0499.1.p
OG0002398	XP_018488425.1	Roisl.0074s0464.1.p
OG0002399	XP_018491462.1	Roisl.0065s0015.1.p
OG0002399	XP_018449750.1	Roisl.0001s0055.1.p
OG0002400	XP_018442467.1	Roisl.0006s0372.1.p
OG0002401	XP_018477047.1	Roisl.0028s1054.1.p
OG0002401	XP_018493567.1	Roisl.0046s1247.1.p
OG0002402	XP_018447936.1	Roisl.0082s0030.1.p
OG0002402	XP_018490155.1	Roisl.0001s0534.1.p, Roisl.0001s0535.1.p
OG0002403	XP_018483360.1	Roisl.0058s0069.1.p
OG0002403	XP_018491659.1, XP_018491528.1	Roisl.0053s0174.1.p
OG0002404	XP_018449995.1, XP_018481038.1	Roisl.0075s0059.1.p
OG0002404	XP_018432834.1	Roisl.0053s0256.1.p
OG0002405	XP_018451335.1	Roisl.0075s0126.1.p
OG0002405	XP_018447332.1	Roisl.0075s0127.1.p
OG0002406	XP_018471261.1	Roisl.0002s0261.1.p, Roisl.0002s0263.1.p
OG0002407	XP_018459661.1, XP_018461864.1	Roisl.0002s0233.1.p
OG0002407	XP_018489070.1, XP_018487107.1	Roisl.0115s0595.1.p
OG0002408	XP_018492341.1, XP_018432708.1	Roisl.0007s0341.1.p
OG0002408	XP_018452186.1, XP_018452192.1	Roisl.0019s0158.1.p
OG0002409	XP_018450244.1	Roisl.0007s0331.1.p
OG0002410	XP_018445102.1, XP_018445590.1	Roisl.0004s0473.1.p
OG0002411	XP_018481704.1, XP_018439456.1, XP_018447581.1	Roisl.0007s0258.1.p
OG0002411	XP_018464774.1, XP_018444286.1	Roisl.0004s0457.1.p
OG0002412	XP_018436397.1	Roisl.0007s0240.1.p
OG0002412	XP_018443441.1	Roisl.0004s0423.1.p
OG0002413	XP_018471107.1, XP_018456911.1, XP_018445541.1	Roisl.0019s0699.1.p, Roisl.0209s0297.1.p
OG0002414	XP_018447715.1, XP_018479263.1, XP_018479256.1	Roisl.0214s0248.1.p
OG0002415	XP_018437839.1	Roisl.0191s0400.1.p
OG0002416	XP_018445599.1, XP_018456573.1	Roisl.0019s0682.1.p
OG0002416	XP_018458551.1	Roisl.0191s0401.1.p
OG0002417	XP_018448300.1, XP_018448170.1	Roisl.0191s0379.1.p
OG0002417	XP_018469434.1	Roisl.0019s0604.1.p
OG0002418	XP_018464687.1	Roisl.0019s0647.1.p
OG0002418	XP_018446158.1	Roisl.0019s0610.1.p
OG0002420	XP_018466017.1	Roisl.0009s0096.1.p
OG0002420	XP_018457069.1	Roisl.0010s0188.1.p
OG0002421	XP_018452945.1	Roisl.0008s0031.1.p
OG0002422	XP_018481583.1, XP_018455356.1	Roisl.0025s0031.1.p
OG0002423	XP_018441202.1	Roisl.0011s0464.1.p
OG0002424	XP_018465248.1	Roisl.0021s0230.1.p
OG0002425	XP_018433081.1	Roisl.0005s0237.1.p
OG0002425	XP_018471259.1	Roisl.0091s0466.1.p
OG0002426	XP_018465381.1, XP_018452496.1, XP_018434579.1	Roisl.0005s0310.1.p
OG0002427	XP_018461129.1, XP_018450477.1, XP_018432592.1	Roisl.0213s0096.1.p
OG0002428	XP_018481835.1, XP_018464024.1, XP_018482279.1, XP_018482278.1, XP_018482042.1, XP_018461759.1	Roisl.0005s0021.1.p
OG0002429	XP_018471594.1	Roisl.0091s0599.1.p
