Orthogroup	Raphanus_sativus	Arabidopsis_lyrata_Rawat
OG0003195	XP_018480297.1	AL4G13600
OG0003195	XP_018481804.1, XP_018472343.1, XP_018472353.1	AL7G13940
OG0003196	XP_018440017.1	AL4G16380
OG0003197	XP_018473164.1, XP_018473169.1	AL6G46230
OG0003198	XP_018487073.1	AL3G15730
OG0003199	XP_018469335.1, XP_018470190.1	AL7G24150
OG0003200	XP_018481734.1, XP_018438253.1	AL6G40700
OG0003201	XP_018434342.1, XP_018486219.1	AL3G15720, AL6G39520
OG0003202	XP_018476471.1	AL6G30310
OG0003203	XP_018485862.1	AL3G18500, AL3G18560
OG0003206	XP_018488741.1, XP_018489272.1, XP_018437747.1, XP_018437736.1, XP_018490999.1	AL3G24510
OG0003208	XP_018487580.1, XP_018435453.1, XP_018488247.1	AL3G31960
OG0003211	XP_018451114.1	AL1G14420
OG0003211	XP_018437802.1, XP_018469114.1	AL1G21030
OG0003212	XP_018471513.1, XP_018471500.1, XP_018448154.1	AL1G17260
OG0003213	XP_018449633.1	AL1G18840
OG0003214	XP_018436756.1	AL2G16650
OG0003215	XP_018437984.1, XP_018488934.1	AL1G24330
OG0003216	XP_018460875.1	AL1G24840
OG0003217	XP_018478432.1, XP_018478796.1	AL5G11280, AL98U10010
OG0003218	XP_018451953.1	AL1G29530
OG0003219	XP_018484053.1, XP_018438360.1	AL1G36120
OG0003220	XP_018455332.1	AL2G31610
OG0003220	XP_018483138.1	AL1G36180
OG0003221	XP_018440614.1	AL1G36440
OG0003222	XP_018470975.1	AL1G36480
OG0003224	XP_018453115.1	AL2G17270
OG0003224	XP_018453114.1	AL2G17210
OG0003225	XP_018481091.1, XP_018481673.1	AL7G39240
OG0003226	XP_018489448.1, XP_018482650.1	AL1G54490
OG0003228	XP_018459414.1, XP_018459413.1, XP_018482020.1, XP_018482016.1	AL746U10010, AL7G17750
OG0003229	XP_018460426.1, XP_018448145.1, XP_018483898.1	AL1G38980, AL1G50130
OG0003230	XP_018470292.1	AL7G25090
OG0003230	XP_018472149.1	AL2G19600
OG0003231	XP_018480908.1	AL5G13670
OG0003231	XP_018437340.1	AL5G13530
OG0003232	XP_018465659.1	AL4G12760
OG0003232	XP_018459316.1, XP_018460962.1	AL1G60350, AL3G29500, AL3G45750, AL6G50810
OG0003233	XP_018480974.1, XP_018447662.1	AL7G14730, AL1G65990
OG0003236	XP_018437137.1, XP_018483956.1	AL4G12050
OG0003239	XP_018436486.1	AL5G23970
OG0003240	XP_018466525.1, XP_018462630.1	nbis-gene-1826
OG0003246	XP_018440640.1	AL5G25610
OG0003247	XP_018440386.1	AL5G25720
OG0003247	XP_018491435.1	AL8G35700
OG0003248	XP_018467211.1, XP_018465720.1, XP_018457465.1, XP_018440623.1	AL5G27420, AL5G27410
OG0003249	XP_018434983.1, XP_018434781.1	AL8G11800
OG0003250	XP_018467487.1	AL6G25960
OG0003250	XP_018488339.1	AL3G10980
OG0003251	XP_018472582.1	AL6G24700
OG0003252	XP_018446331.1, XP_018455770.1	AL6G22790
OG0003254	XP_018493200.1	AL8G42510
OG0003254	XP_018475886.1	AL6G20740
OG0003255	XP_018444074.1	AL6G20720
OG0003255	XP_018443996.1	AL6G20710
OG0003256	XP_018446157.1, XP_018475891.1, XP_018475892.1, XP_018471782.1	AL6G20630, AL6G20600
OG0003257	XP_018473287.1, XP_018458588.1, XP_018442151.1	AL6G20070
OG0003258	XP_018487160.1	AL8G41670
OG0003259	XP_018433010.1	AL4G24480
OG0003259	XP_018476440.1	AL1G51360, AL6G15610
OG0003260	XP_018477840.1, XP_018476746.1	AL4G25370
OG0003261	XP_018434491.1, XP_018478294.1	AL4G25450
OG0003262	XP_018486190.1	AL1G15450
OG0003262	XP_018439127.1	AL80U10030, AL4G27260
OG0003263	XP_018488101.1, XP_018488102.1, XP_018477533.1	AL1G56240, AL1G56150
OG0003264	XP_018464056.1, XP_018466710.1	AL4G28510, AL7G46580, AL7G46610, AL120U10020
OG0003265	XP_018483953.1, XP_018483113.1, XP_018483112.1	AL7G50050
OG0003266	XP_018473886.1, XP_018447480.1	AL1G38520
OG0003267	XP_018464443.1	AL1G44360
OG0003267	XP_018491904.1	AL1G44340
OG0003268	XP_018477565.1, XP_018465229.1	AL8G38440, AL8G38480
OG0003269	XP_018488472.1, XP_018439924.1	AL8G41330
OG0003270	XP_018440358.1, XP_018466699.1, XP_018432816.1	AL8G37880
OG0003271	XP_018477375.1, XP_018457961.1	AL6G34820
OG0003272	XP_018448222.1	AL5G14020
OG0003273	XP_018465672.1, XP_018469573.1	AL5G23460
OG0003273	XP_018473462.1	AL6G34090
OG0003274	XP_018435855.1	AL3G51610
OG0003275	XP_018493081.1, XP_018486333.1, XP_018434185.1	AL3G24820, AL2G30990
OG0003276	XP_018474224.1, XP_018474226.1, XP_018455615.1	AL8G34650, AL7G45810
OG0003277	XP_018457653.1, XP_018484221.1, XP_018484222.1	AL7G26350
OG0003278	XP_018433784.1, XP_018472304.1	nbis-gene-1334
OG0003279	XP_018441653.1, XP_018465167.1, XP_018486662.1	AL5G29510, AL8G43350
OG0003280	XP_018468240.1	AL6G12940, AL6G12510
OG0003281	XP_018445038.1, XP_018463575.1, XP_018468284.1	AL1G23670
OG0003282	XP_018488213.1, XP_018468197.1, XP_018460846.1, XP_018459398.1, XP_018443208.1	AL1G37060, AL1G31870
OG0003283	XP_018459881.1, XP_018459265.1, XP_018432987.1	AL4G17320
OG0003285	XP_018478640.1, XP_018469979.1, XP_018469976.1	AL7G35260
OG0003286	XP_018458659.1, XP_018482594.1, XP_018469182.1, XP_018482595.1, XP_018469236.1	AL7G34350
OG0003287	XP_018452227.1, XP_018456644.1	AL1G35730
OG0003288	XP_018474893.1	AL8G40910, AL8G41190, AL8G41200, AL8G43360, AL8G41820, AL8G21440, AL5G41570
OG0003289	XP_018470163.1	AL3G36770
OG0003290	XP_018492375.1	AL3G36430
OG0003290	XP_018470779.1	AL7G40810
OG0003291	XP_018491197.1	AL2G11630
OG0003292	XP_018448298.1, XP_018450269.1, XP_018489148.1	AL1G38750
OG0003293	XP_018488120.1	nbis-gene-289
OG0003295	XP_018462847.1, XP_018454134.1, XP_018453906.1	AL7G36000
OG0003297	XP_018490373.1	AL835U10030
OG0003298	XP_018470200.1, XP_018471363.1	AL7G34450
OG0003299	XP_018459274.1, XP_018475817.1	AL2G22290, AL8G25570
OG0003300	XP_018445269.1	AL1G57840
OG0003301	XP_018472211.1	AL8G45520
OG0003301	XP_018440879.1	AL5G31810
OG0003302	XP_018432609.1	AL5G43940
OG0003303	XP_018473145.1	AL4G35890
OG0003303	XP_018484291.1	AL5G35220
OG0003304	XP_018467766.1, XP_018467765.1	AL7G25610
OG0003305	XP_018452118.1	AL3G41250
OG0003306	XP_018432599.1	AL3G41820
OG0003306	XP_018483316.1	AL8G21020
OG0003307	XP_018445075.1	AL1G40390, AL2G26540
OG0003308	XP_018491781.1, XP_018436987.1, XP_018436982.1	AL3G53200
OG0003309	XP_018450628.1, XP_018433210.1	AL1G63250
OG0003310	XP_018472411.1	AL1G52440
OG0003311	XP_018437948.1, XP_018441439.1	AL4G46800
OG0003311	XP_018478262.1, XP_018464362.1	AL4G46790
OG0003312	XP_018445323.1	AL2G36230
OG0003312	XP_018434067.1	AL4G43230
OG0003313	XP_018453007.1	AL7G16570
OG0003314	XP_018478348.1, XP_018485867.1	AL3G15480
OG0003315	XP_018441772.1	AL6G38310
OG0003316	XP_018491098.1	AL3G17070
OG0003316	XP_018446578.1	AL6G30330
OG0003317	XP_018434745.1, XP_018482885.1	AL8G21720
OG0003318	XP_018486535.1, XP_018486550.1, XP_018487332.1, XP_018487217.1	AL3G29360, AL3G27770
OG0003319	XP_018492321.1, XP_018440605.1	AL3G29790
OG0003320	XP_018447646.1	AL1G56520, AL1G56550
OG0003320	XP_018488559.1	AL3G32270
OG0003321	XP_018469308.1	AL7G19320
OG0003322	XP_018481820.1	AL7G51640
OG0003323	XP_018490435.1	AL3G36480, AL3G36490
OG0003323	XP_018459671.1	AL3G36500
OG0003324	XP_018482593.1, XP_018478849.1	AL7G22020
OG0003324	XP_018455879.1	AL3G52930
OG0003325	XP_018453648.1, XP_018458009.1	AL8G23210
OG0003326	XP_018440634.1, XP_018484974.1, XP_018484961.1	AL5G32230
OG0003327	XP_018456205.1	AL6G52110
OG0003328	XP_018474365.1, XP_018474377.1	AL6G52390
OG0003329	XP_018469527.1	AL7G21500
OG0003330	XP_018489408.1, XP_018461520.1, XP_018487414.1, XP_018434778.1	AL1G17450
OG0003331	XP_018465404.1, XP_018492384.1, XP_018450959.1	AL1G19170
OG0003332	XP_018447906.1	AL1G26300
OG0003332	XP_018483253.1	AL5G11930
OG0003333	XP_018433331.1, XP_018433313.1, XP_018490122.1	AL1G28020
OG0003334	XP_018482040.1, XP_018461426.1, XP_018461425.1, XP_018449524.1, XP_018450592.1, XP_018462008.1	AL1G31910
OG0003335	XP_018458491.1, XP_018445720.1, XP_018467932.1	AL1G33380
OG0003336	XP_018452835.1	AL2G31030
OG0003337	XP_018441228.1	AL2G30170
OG0003337	XP_018451208.1	AL1G36860
OG0003338	XP_018456071.1, XP_018445969.1	AL1G38020, AL2G29300
OG0003339	XP_018448623.1	AL8G44850
OG0003339	XP_018456863.1	AL8G44860
OG0003340	XP_018437294.1, XP_018439052.1	AL7G37400
OG0003341	XP_018437688.1, XP_018438059.1, XP_018461695.1, XP_018481863.1	AL6G47190
OG0003342	XP_018468051.1, XP_018490433.1, XP_018480976.1	AL2G23110
OG0003343	XP_018467797.1	AL7G22930, AL7G22920
OG0003346	YP_006665995.1	nbis-gene-816
OG0003347	XP_018449179.1, XP_018450115.1, XP_018450116.1, XP_018477189.1, XP_018453496.1, XP_018450063.1, XP_018450117.1	AL7G15550
OG0003348	XP_018481259.1, XP_018466529.1, XP_018469213.1	AL7G15570, nbis-gene-2233
OG0003349	XP_018484477.1	AL310U10010, AL7G17140
OG0003350	XP_018480244.1, XP_018480263.1, XP_018470799.1, XP_018451193.1	AL7G19510
OG0003351	XP_018443506.1, XP_018446243.1	AL2G31750, AL2G31740
OG0003353	XP_018451416.1, XP_018451441.1, XP_018483946.1	AL7G25270
OG0003354	XP_018448068.1, XP_018489497.1	nbis-gene-140, nbis-gene-141
OG0003356	XP_018489081.1	AL1G41370
OG0003360	XP_018488156.1, XP_018490147.1	AL3G47040, AL3G46980
OG0003362	XP_018461510.1, XP_018467649.1	AL3G46020
OG0003364	XP_018464158.1, XP_018478686.1, XP_018434490.1	nbis-gene-1218
OG0003364	XP_018480907.1	AL7G48570
OG0003366	XP_018466488.1	AL1G62400
OG0003366	XP_018490527.1, XP_018461936.1, XP_018490639.1, XP_018440603.1	AL3G26700
OG0003372	XP_018448768.1, XP_018434949.1, XP_018434944.1	AL5G27310
OG0003373	XP_018467688.1	AL1G41430
OG0003373	XP_018469307.1	AL1G41520
OG0003374	XP_018489025.1	AL1G47090
OG0003375	XP_018488540.1	AL8G25150
OG0003375	XP_018466451.1	AL2G37760
OG0003376	XP_018486665.1	AL3G43370
OG0003377	XP_018475805.1, XP_018461364.1	AL6G27230
OG0003378	XP_018442098.1	AL6G27120
OG0003378	XP_018464059.1	AL3G11990
OG0003379	XP_018455833.1, XP_018466159.1	AL7G48170
OG0003381	XP_018442764.1	AL6G23000
OG0003381	XP_018474875.1	AL3G23680
OG0003382	XP_018435777.1, XP_018435778.1	nbis-gene-589, AL2G30430, AL1G67430
OG0003383	XP_018474396.1	AL6G21300
OG0003383	XP_018477216.1	AL6G36640
OG0003384	XP_018449847.1	AL7G13160
OG0003385	XP_018446876.1	AL6G18570
OG0003386	XP_018476072.1, XP_018470406.1	AL6G18110
OG0003387	XP_018451126.1	AL7G28260
OG0003388	XP_018453546.1	AL7G28310
OG0003389	XP_018463033.1, XP_018458358.1, XP_018438834.1	AL4G27970, AL4G20060
OG0003390	XP_018435197.1, XP_018435196.1, XP_018479842.1	AL4G25040
OG0003392	XP_018484881.1	AL8G15900, AL8G15910
OG0003393	XP_018433134.1	AL4G30860
OG0003393	XP_018478912.1, XP_018477035.1	AL1G44680
OG0003396	XP_018457904.1, XP_018474951.1	AL8G42060, AL6G20170
OG0003397	XP_018461792.1, XP_018449377.1, XP_018468025.1, XP_018480782.1, XP_018493346.1	AL7G17940
OG0003398	XP_018458211.1	AL8G40260
OG0003399	XP_018458184.1, XP_018458201.1, XP_018452513.1	AL3G51140, AL8G39970
OG0003400	XP_018466241.1	AL8G39880
OG0003400	XP_018455039.1, XP_018488692.1, XP_018488700.1	AL5G27380
OG0003401	XP_018458680.1	AL6G35300, AL6G35310
OG0003402	XP_018468395.1, XP_018470597.1, XP_018442741.1	AL6G32480
OG0003404	XP_018456453.1, XP_018472778.1	AL8G34910, AL5G26480
OG0003405	XP_018475934.1, XP_018465492.1, XP_018457395.1	AL8G32490, AL2G30930, AL239U10010
OG0003408	XP_018475446.1, XP_018469509.1, XP_018461907.1, XP_018443901.1, XP_018446364.1	AL6G14640
OG0003409	XP_018474350.1, XP_018474347.1	AL6G13010
OG0003409	XP_018475987.1, XP_018475342.1	nbis-gene-1444
OG0003410	XP_018491679.1	AL3G20470
OG0003410	XP_018472605.1	AL6G11350
OG0003411	XP_018434966.1	AL6G10480, AL3G19870
OG0003412	XP_018491826.1, XP_018491493.1	AL3G19840
OG0003413	XP_018480608.1	AL3G23980
OG0003414	XP_018472283.1, XP_018448615.1, XP_018456237.1	AL2G39350
OG0003415	XP_018484165.1, XP_018454040.1, XP_018451025.1	AL7G11100
OG0003416	XP_018463696.1, XP_018477284.1, XP_018446995.1	AL2G36660
OG0003417	XP_018434588.1, XP_018450674.1, XP_018450769.1, XP_018491763.1, XP_018432538.1	AL1G63740
OG0003418	XP_018434857.1	AL1G62330
OG0003419	XP_018492252.1	AL1G61950, AL1G61940
OG0003420	XP_018479915.1, XP_018479914.1	AL4G32720
OG0003421	XP_018464052.1	AL3G38530
OG0003421	XP_018484315.1	AL7G42230
OG0003422	XP_018470452.1	AL7G13570
OG0003423	XP_018453494.1, XP_018454852.1, XP_018455928.1, XP_018445754.1	AL2G33500
OG0003424	XP_018454494.1, XP_018477414.1	AL5G18110
OG0003425	XP_018482125.1	AL1G38970
OG0003426	XP_018454968.1, XP_018454824.1	AL7G35990
OG0003427	XP_018432588.1, XP_018473903.1	AL1G59730
OG0003428	XP_018488118.1, XP_018490244.1	AL1G59770
OG0003428	XP_018490329.1	AL3G35370
OG0003429	XP_018441445.1	AL1G61250
OG0003431	XP_018480798.1	AL7G35570, AL7G35560
OG0003432	XP_018451947.1	AL7G35690
OG0003433	XP_018468978.1, XP_018481461.1	AL5G30890
OG0003434	XP_018453344.1, XP_018476226.1	AL8G25630, AL8G25670
OG0003435	XP_018461457.1, XP_018452535.1, XP_018462246.1, XP_018473833.1, XP_018472316.1, XP_018470136.1	AL8G25510
OG0003438	XP_018446744.1, XP_018485256.1	AL7G33430
OG0003439	XP_018460596.1, XP_018465642.1	AL3G21950
OG0003439	XP_018438395.1, XP_018445847.1	AL3G22350, AL4G14330
OG0003440	XP_018479184.1, XP_018462382.1, XP_018459197.1, XP_018448486.1, XP_018468874.1	AL7G31970
OG0003441	XP_018451147.1, XP_018449609.1, XP_018458431.1	AL7G44820, AL1G49060
OG0003442	XP_018435158.1	AL4G43550
OG0003443	XP_018486283.1, XP_018446672.1	AL4G41200, AL5G40420
OG0003444	XP_018477125.1, XP_018473067.1, XP_018439307.1, XP_018473066.1	AL4G39500
OG0003445	XP_018446163.1, XP_018458563.1	AL5G38460
OG0003446	XP_018458719.1, XP_018480853.1	AL4G37970
OG0003447	XP_018491377.1, XP_018489558.1, XP_018489566.1	AL3G42760
OG0003448	XP_018433912.1, XP_018491298.1, XP_018491297.1, XP_018486189.1, XP_018486229.1	AL3G39820, AL4G17820
OG0003449	XP_018457662.1, XP_018451621.1, XP_018471964.1, XP_018471950.1	AL7G14320
OG0003450	XP_018434214.1, XP_018478672.1	AL4G11920
OG0003451	XP_018433257.1	AL3G54010
OG0003452	XP_018459452.1, XP_018452161.1	AL6G43400
OG0003452	XP_018462170.1	AL1G48590
OG0003453	XP_018481687.1, XP_018436474.1, XP_018477954.1	AL5G30070, AL6G40800, AL4G46990
OG0003454	XP_018456026.1, XP_018434164.1, XP_018483573.1	AL4G46930, AL3G49500
OG0003455	XP_018466875.1, XP_018481797.1, XP_018480837.1, XP_018437700.1	AL4G44960
OG0003456	XP_018437287.1	AL4G43870, AL364U10030
OG0003457	XP_018480307.1, XP_018480284.1	AL4G42820
OG0003457	XP_018433817.1	AL5G41980
OG0003458	XP_018433820.1	AL4G42780
OG0003459	XP_018462417.1, XP_018489090.1	AL3G17060
OG0003460	XP_018493525.1, XP_018493526.1	AL3G17200
OG0003460	XP_018435305.1	AL3G17220
OG0003461	XP_018488313.1	AL3G17740
OG0003462	XP_018486251.1, XP_018492595.1	AL3G20090, AL3G20300
OG0003463	XP_018485438.1	AL5G11970, AL3G23010
OG0003464	XP_018434854.1, XP_018491055.1, XP_018466759.1, XP_018464816.1, XP_018466018.1	AL3G23520
OG0003465	XP_018490167.1, XP_018433012.1, XP_018486387.1	AL3G27280, AL3G25540
OG0003466	XP_018434667.1, XP_018488698.1	AL3G25750, AL3G25760
OG0003467	XP_018492116.1	AL3G28520
OG0003468	XP_018472483.1, XP_018472484.1	AL7G28870, AL7G28860
OG0003469	XP_018454475.1, XP_018454521.1	AL7G21230
OG0003470	XP_018451210.1, XP_018493230.1, XP_018481900.1	AL1G19360
OG0003471	XP_018451514.1	AL1G18400, AL1G18390
OG0003472	XP_018450100.1, XP_018460009.1, XP_018450060.1, XP_018459388.1, XP_018486546.1, XP_018441520.1, XP_018464428.1	AL1G20040
OG0003473	XP_018487299.1, XP_018480513.1	AL1G20580
OG0003474	XP_018434009.1	AL2G17490
OG0003475	XP_018434946.1	AL1G23810
OG0003476	XP_018439955.1	AL1G24550, AL5G15480
OG0003477	XP_018435452.1, XP_018450831.1	AL1G48800
OG0003479	XP_018484189.1	AL1G29930, AL7G49920
OG0003481	XP_018433596.1	AL8G11080, AL7G37540
OG0003482	XP_018491448.1	AL3G53130
OG0003483	XP_018435083.1, XP_018433977.1, XP_018483859.1	AL355U10020, nbis-gene-1167, AL4G45560
OG0003484	XP_018480212.1	AL7G10290
OG0003484	XP_018469229.1	AL7G24500
OG0003485	XP_018472091.1	AL7G13210
OG0003485	XP_018472090.1	AL7G13200
OG0003486	XP_018468385.1, XP_018470842.1, XP_018463340.1, XP_018448401.1, XP_018448399.1, XP_018450579.1, XP_018450546.1, XP_018463336.1, XP_018441115.1	AL7G15290
OG0003487	XP_018468715.1, XP_018449258.1, XP_018484957.1	AL7G16600
OG0003488	XP_018438415.1, XP_018438417.1	AL4G14490
OG0003490	XP_018487406.1	nbis-gene-656, AL1G36810
OG0003492	XP_018462568.1	AL4G17230, AL3G51230, AL3G46760, AL1G58120, AL5G20080, AL9U11550, AL5G11870
OG0003494	XP_018438637.1, XP_018450178.1, XP_018479053.1, XP_018466704.1, XP_018466209.1	AL1G63660
OG0003497	XP_018442803.1, XP_018462399.1	AL2G25780, AL2G25790, AL2G26510
OG0003498	XP_018489128.1	AL6G52880
OG0003501	XP_018469405.1	nbis-gene-1562, AL6G35620, AL6G35640, AL6G35630, nbis-gene-1563
OG0003502	XP_018475295.1	AL8G27140
OG0003503	XP_018479984.1	AL5G13720
OG0003512	XP_018474801.1	AL4G19450
OG0003513	XP_018472673.1, XP_018465138.1, XP_018474931.1, XP_018474281.1	AL6G46950, AL5G26130, AL5G26000
OG0003515	XP_018446039.1	AL6G26760
OG0003516	XP_018489939.1, XP_018442284.1	AL6G22130
OG0003517	XP_018487588.1, XP_018492718.1	AL3G33220
OG0003518	XP_018433634.1, XP_018433619.1, XP_018445283.1	AL6G19240, AL5G33000
OG0003519	XP_018465184.1, XP_018466009.1	AL8G38080
OG0003521	XP_018477859.1, XP_018464894.1	AL4G21200
OG0003522	XP_018465507.1	AL4G22650, AL4G22670
OG0003523	XP_018458844.1, XP_018441963.1	AL4G21740
OG0003525	XP_018465787.1, XP_018465045.1	AL4G25280, AL136U10020
OG0003527	XP_018483638.1	AL4G26650
OG0003528	XP_018474141.1, XP_018435061.1	AL4G26840
OG0003529	XP_018433575.1, XP_018475498.1, XP_018466808.1	AL4G27630
OG0003530	XP_018477517.1	AL8G16560, AL8G16440, AL1G13830, AL37U10050
OG0003532	XP_018448126.1, XP_018483778.1, XP_018479777.1	AL1G44970
OG0003534	XP_018435149.1	AL8G44020
OG0003535	XP_018464440.1, XP_018443349.1	AL6G20960
OG0003535	XP_018486249.1, XP_018462026.1	AL8G43010
OG0003536	XP_018474978.1, XP_018475657.1, XP_018492071.1, XP_018434721.1	AL8G39020
OG0003537	XP_018463062.1, XP_018439423.1, XP_018458746.1	AL8G38580
OG0003538	XP_018484501.1	AL3G41810, AL6G37550, AL6G38760
OG0003540	XP_018468739.1	AL6G34110
OG0003541	XP_018444694.1, XP_018444496.1	AL8G37090, AL8G37100
OG0003543	XP_018462058.1, XP_018456198.1, XP_018472004.1	AL8G35960, AL8G35970
OG0003544	XP_018454296.1	AL8G35820
OG0003545	XP_018451967.1, XP_018473732.1, XP_018476979.1, XP_018470321.1	AL8G34390
OG0003546	XP_018445952.1, XP_018452473.1, XP_018474908.1	AL8G33840
OG0003547	XP_018466328.1	AL8G31980
OG0003547	XP_018491685.1	AL1G18420
OG0003548	XP_018472981.1, XP_018464982.1, XP_018437322.1, XP_018457792.1	AL8G31210
OG0003549	XP_018475513.1, XP_018469579.1, XP_018443368.1	AL6G17430
OG0003550	XP_018442778.1	AL6G15910
OG0003551	XP_018476049.1, XP_018470429.1	AL6G15010
OG0003552	XP_018443239.1	AL6G42620
OG0003552	XP_018452902.1, XP_018452931.1, XP_018452927.1	AL3G48780
OG0003553	XP_018436257.1, XP_018480064.1, XP_018443230.1, XP_018444514.1	AL6G12050
OG0003554	XP_018483860.1	AL5G16870
OG0003555	XP_018454804.1, XP_018444007.1	AL2G39440, AL1G47190
OG0003556	XP_018436848.1, XP_018447589.1, XP_018447587.1, XP_018453012.1	AL1G35880
OG0003558	XP_018464501.1, XP_018488206.1	AL1G57220
OG0003559	XP_018477621.1	AL7G41840
OG0003560	XP_018451425.1, XP_018446839.1, XP_018449349.1	AL7G41570
OG0003562	XP_018462776.1, XP_018449224.1, XP_018471158.1, XP_018478463.1, XP_018461765.1	AL7G39490
OG0003563	XP_018454357.1, XP_018454353.1, XP_018444352.1	AL2G33060
OG0003564	XP_018451529.1	AL1G31510
OG0003565	XP_018481456.1, XP_018482835.1, XP_018456114.1	AL5G14340, AL5G14330
OG0003566	XP_018466562.1, XP_018454628.1, XP_018461008.1, XP_018452509.1	AL2G28650
OG0003567	XP_018457016.1, XP_018457002.1	AL8G13020
OG0003568	XP_018454985.1, XP_018481256.1	AL8G17920, AL1G66580
OG0003571	XP_018472077.1, XP_018468532.1	AL7G33290
OG0003573	XP_018460244.1, XP_018458728.1, XP_018478175.1, XP_018482089.1	AL7G38440
OG0003575	XP_018489933.1	AL5G45730
OG0003575	XP_018438691.1	AL39U10030, AL4G47450
OG0003577	XP_018440349.1	AL4G46560
OG0003578	XP_018491001.1, XP_018491002.1	AL6G15510, AL5G44050
OG0003579	XP_018484164.1	AL5G43050
OG0003580	XP_018490924.1	AL5G37470
OG0003581	XP_018446311.1, XP_018445163.1	AL5G39800
OG0003582	XP_018489924.1	AL5G39310
OG0003583	XP_018459161.1, XP_018444148.1, XP_018491624.1	AL5G36240
OG0003584	XP_018480965.1, XP_018453210.1, XP_018452705.1, XP_018487974.1	AL5G21410, AL5G34180
OG0003586	XP_018446576.1, XP_018459563.1	AL7G52790
OG0003586	XP_018453211.1	AL2G24900
OG0003587	XP_018491344.1	AL5G37300
OG0003589	XP_018439814.1, XP_018439812.1	AL5G32090
OG0003590	XP_018439904.1, XP_018473170.1	AL4G34700
OG0003591	XP_018464112.1, XP_018464111.1	AL4G29720
OG0003592	XP_018483587.1, XP_018483586.1	AL4G18850, AL5G21960
OG0003593	XP_018441321.1, XP_018493576.1	AL1G48460
OG0003594	XP_018474723.1, XP_018480463.1, XP_018454430.1	AL6G45780, AL6G45770
OG0003595	XP_018440387.1, XP_018456919.1	AL6G38480, AL1G54410
OG0003596	XP_018484814.1	AL6G39870
OG0003597	XP_018493556.1	AL1G13720
OG0003598	XP_018475030.1	AL8G29180
OG0003599	XP_018474995.1	AL3G13950
OG0003601	XP_018486469.1, XP_018465541.1, XP_018491302.1, XP_018433526.1	AL3G24300
OG0003602	XP_018435414.1, XP_018435415.1	AL3G28050
OG0003603	XP_018441021.1	AL1G60430
OG0003604	XP_018485267.1	AL4G14630
OG0003605	XP_018491369.1, XP_018436680.1	AL3G34460, AL3G34450
OG0003606	XP_018434915.1, XP_018486528.1	AL3G34530
OG0003607	XP_018451006.1	AL7G41980
OG0003608	XP_018492739.1, XP_018493291.1, XP_018491190.1	AL7G41870, AL3G37950
OG0003609	XP_018456546.1, XP_018438307.1	AL5G11210, AL5G11200
OG0003610	XP_018477388.1	AL1G64960
OG0003611	XP_018433865.1	AL1G65310
OG0003612	XP_018484390.1, XP_018484820.1, XP_018440691.1	AL5G33080
OG0003613	XP_018465151.1	AL1G36590, AL1G10800
OG0003614	XP_018482135.1	AL1G12360, AL1G12370
OG0003615	XP_018434747.1, XP_018487934.1	AL1G15560
OG0003616	XP_018487269.1, XP_018490390.1, XP_018483166.1	AL1G16040
OG0003617	XP_018440957.1	AL1G16310
OG0003617	XP_018440967.1	AL1G16320
OG0003618	XP_018467910.1, XP_018448210.1	AL1G18720
OG0003619	XP_018478446.1, XP_018455825.1, XP_018456690.1	AL1G20790, AL1G47570, AL1G47560, AL1G20660
OG0003620	XP_018440361.1	AL2G16960
OG0003621	XP_018489352.1, XP_018489762.1, XP_018487203.1	nbis-gene-65
OG0003622	XP_018469185.1	AL1G22110
OG0003623	XP_018487258.1, XP_018441088.1	AL1G23470
OG0003624	XP_018480518.1, XP_018434775.1, XP_018437078.1, XP_018437079.1	AL1G32130
OG0003625	XP_018481148.1	AL1G28770
OG0003625	XP_018459789.1, XP_018460756.1	AL2G39560
OG0003627	XP_018441525.1	AL1G33710
OG0003628	XP_018483840.1	AL8G14810
OG0003629	XP_018471506.1, XP_018484476.1	AL5G22780, AL5G22860, AL7G17190, AL7G17200
OG0003630	XP_018470519.1	AL7G18660
OG0003631	XP_018447803.1, XP_018478019.1	AL5G22610, AL7G17670
OG0003632	XP_018467456.1, XP_018451447.1, XP_018451454.1	AL4G16790, AL7G19680
OG0003633	XP_018433066.1	AL1G38010
OG0003634	XP_018457503.1, XP_018457500.1	AL6G52820
OG0003635	XP_018489473.1, XP_018453313.1	nbis-gene-42
OG0003635	XP_018482424.1	AL4G26240
OG0003636	XP_018480678.1	AL4G23680
OG0003637	XP_018437579.1, XP_018433981.1, XP_018433983.1	AL4G22700, AL1G37360, AL1G37380, AL1G37370
OG0003638	XP_018490525.1, XP_018490514.1	AL3G18170, nbis-gene-672
OG0003641	XP_018479484.1, XP_018471903.1	AL4G21510
OG0003642	XP_018436127.1, XP_018438750.1, XP_018438680.1	AL5G29230, AL5G29210
OG0003645	XP_018465437.1, XP_018479179.1, XP_018461424.1	nbis-gene-1801
OG0003646	XP_018464639.1	AL8G26400
OG0003647	YP_009046922.1	AL2G21070, AL2G21520
OG0003648	XP_018479892.1	AL3G53090
OG0003656	XP_018439998.1	AL5G27830
OG0003656	XP_018458317.1	AL5G27840
OG0003657	XP_018437151.1, XP_018488789.1, XP_018488788.1	AL5G27130
OG0003659	XP_018493263.1	AL3G11320
OG0003661	XP_018474317.1	AL6G22680
